ParlaMint-NO_2020-06-19.ana.ud168e128	His Fredrik Gruvan will present a draft constitution.
ParlaMint-NO_2020-06-19.ana.ud168e754	The debate on the distribution from the Prime Minister has thus ended. The President will propose that the statement by the Prime Minister on the status and further progress of the authorities' handling of covid-19 be recorded in the minutes. - It's a note. At the request of the Financial Committee, the President shall propose that cases be brought before the Court of Justice of the European Communities. 2–4 is treated as a single agent. - It's a note.
ParlaMint-NO_2020-06-19.ana.ud168e798	At the request of the Financial Committee, the President will propose that speaking time be allocated as follows: 25 minutes, 25 minutes, right 25 minutes, 15 minutes, 15 minutes of the Progress Party, 15 minutes of the Centre Party, 10 minutes of the Socialist Left Party, 10 minutes of the Left Party, 10 minutes of the Christian People's Party, 10 minutes of the Environment Party, 10 minutes of the Green Party, 10 minutes of the Red Party and 10 minutes of the Government. In addition, the President will propose that, within the allocated speaking time, there be given an opportunity to reply to replies from members of the Government and to four replies from the main speakers to the parties and the parties to their parliamentary leaders. In addition, it is suggested that those who have to sign up to 3 minutes in addition to the allocated speaking time should have a speaking time. - It's a note.
ParlaMint-NO_2020-06-19.ana.ud168e809	Let me begin by thanking the Committee for a good cooperation in dealing with the matters I am now going to talk about, but also a rather hectic collapse half-way so far. We are in the middle of the most serious shock of the Norwegian economy has experienced in the post-war period. Infective measures in Norway and the world, together with a sharp fall in oil prices, have hit us hard. This has a major impact on the Norwegian economy and jobs and, in particular, on both industries and geography. I am therefore pleased that we have come into port with the revised national budget and the government's plan to take Norway out of the corona crisis. The aim of the measures is to create more and include more. With the consensus we are now presenting, we continue to take the day-to-day back, and we point out a clear direction for the country out of the crisis. Norway shall forward. Freedom is going down, and people are going back to work. We're going to create more and include more. The measures of the Government’s proposals are largely determined following the negotiations. It's been very important to the Right. The way out of the crisis is to get people back to work, secure more legs to stand on, create a green future, bet on knowledge and skills and include more in the workplace. That's what we, from our side, got through in these negotiations. We agree to give 1.3 billion. extra kr for transportation. It will help to keep the activity up and connect the city and build closer together. We also agree to give health and care 1 billion. Extra kroner. This will benefit patients and vulnerable elderly people. It will be important for the Right in the future to contribute to the return of health cows. We will remove the excess in the compensation scheme for enterprises from May and August. I'm also pleased that we agree to give more money to combat recriminalism in Oslo. The challenges we faced before the coronary crisis have not disappeared. Getting out of the crisis, we're still going to solve the climate challenges. We have to get more people to work, and we have to make sure that the next generation has an even better starting point than we have. Yes, we actually have to make sure that if such a crisis should hit us again, then the next generation has to have a bigger toolbox than we were so lucky to have guarded when this happened, had. If we are to do this, we must ensure that more jobs are created in the private sector. Nine out of ten who are now on leave, work in the private sector. I hope that in such a situation we will not have a gallop ahead where we will resort to increased taxes and charges for Norwegian business. We need more people who want to invest in Norwegian jobs, not fewer. The taxes must then be kept down and market access maintained. In the consensus presented by the government parties and the Progress Party, we have a package that makes it more profitable to invest in Norwegian jobs and provides valuable replenishment of competence for Norwegian workers. In total, we hope that these measures can help create more and include more.
ParlaMint-NO_2020-06-19.ana.ud168e832	It's going to be line change.
ParlaMint-NO_2020-06-19.ana.ud168e837	The representative, Kapur, talked about the meaning of work. So we know that the largest hotel chains in Norway already have alerted cancellations. Concert trust election Merethe Sutton in the Nordic Choice Hotels says that there is between being cancelled and keeping working right now. Unfortunately, this is also the case in a lot of other workplaces. And although there are some positive signs in the development of the Norwegian economy, it's still quite uncertain how the cottage gets too many. Is it ignition? Is there any basis for continuing to add? In connection with this, the Labour Party has proposed to expand the permitting regime so that people can keep their jobs. The right-hand side has said no to that. So my question is simply what Right will say to Merethe and all the other workers who are now concerned that they are going to be unemployed after the summer because the permit scheme is not extended.
ParlaMint-NO_2020-06-19.ana.ud168e844	Thank you for the question. There is no doubt that Norwegian business, including travel, has been in an exceptional situation. They've been hit hard. Nor is there any doubt that very many of the challenges they have now seen in the last quarter will probably continue for several quarters to come. For this reason, the government parties in the negotiations with the Progress Party, first of all, have also underlined the need to pay particular attention to seasonal activities, which also constitute a number of hotels. In particular, with regard to the permitting mechanism, we have said that the government, together with the social partners and the business community, is being asked to follow through the summer, so that when one comes to the harvest, it should be reviewed and, if necessary, come back to the Stortinget if more measures are needed. But starting at that end now means we're wrong. We believe that it is now important to get the activity up and start the actions that get people back to work. But we have that buffer right over summer to review the situation.
ParlaMint-NO_2020-06-19.ana.ud168e851	The representative Kapur has four years of experience from the Municipal Committee of Stortinget. When he was in that committee, I expect him to talk a lot about local self-government, good municipal economy, that the values must remain in the communities, etc. – the very same thing that many of us are talking about. One of the most difficult issues in the negotiations between government parties and us in the Progress Party was how the distribution between state and coastal communities should be in terms of revenue from growth in the aquaculture sector. Where it has been important for us to say that it is the coastal communities that are going to be left with the majority of the income, it has been very important for the government parties to give the state the majority. Why has it been so important for the Right and the Government to transfer very large revenues from Nærøysund, Fröya, Smøla and other coastal municipalities and to the Ministry of Finance in Akersgata?
ParlaMint-NO_2020-06-19.ana.ud168e858	There is no doubt that for the government it has been important that this industry has good framework conditions and growth potential. These include: therefore you didn't go on with any of the ideas that were around base rate taxation. And when we presented the new scheme, it was well received by the industry, also by many municipalities. Then there's no doubt that there's been a discussion afterwards about the distribution between the state and the municipality. There have been good negotiations with the Progress Party. We've thought it's important to create predictability, and you also have to have a model that doesn't start with just one particular year, but looks at it over time. I am pleased that we have reached the consensus we have, where the municipalities now get more than what they had put up to. This is also something many in the Right have been concerned about, and since the representative has taken a line on what has happened in the negotiations, I would like to congratulate him on the result, which we can all support.
ParlaMint-NO_2020-06-19.ana.ud168e867	When we adopted the compensation scheme in Stortinget, we pointed out in the Center Party that the proportion was too high. It was going to be at zero, not ten thousand. Fortunately, the government and the support party, the Progress Party, have come to an end. We pointed out one more thing, that it was fundamentally wrong to discriminate between those who owned their operating assets and those who leased and leased operating assets. I want to take an example, because I see Minister of Forest Bollestad sitting in the hall. A layer of timber, which owns four cutting machines, is given approx. 80000 kroner less than those leasing cutting machines. There is enormous discrimination organised through leasing and traditional depreciation. Why does the Right believe that those who own, depreciate and operate traditionally and conservatively should not receive the same help as those who lease? Now you have all the possibilities to make improvements, but the right has not done anything. What's the reason why it's better that people lease instead of owning?
ParlaMint-NO_2020-06-19.ana.ud168e876	When the government introduced the compensation system, which we negotiated through a broad settlement, there were two things that were important. One was that you had to get there quickly with the help, and the other was that you shouldn't try to get a millimetre adjustment, which would delay it all. The government has participated in the recordings that have been made. In the context of this new and extended compensation scheme, a number of measures have been taken, including: in the case of seasonal holdings, the equity requirement, by which many have been occupied. And the government has been clear about one thing – that there will be a need to keep up with the situation. The system we now have is going to last August. We want to keep up with the market. If there is a need to make further adjustments, there will be room for it, but in this session we have prioritised those who were most likely to go bankrupt, and it was important to get them over the knee.
ParlaMint-NO_2020-06-19.ana.ud168e885	When it comes to something as central as the funding of well-being, the government has drawn after itself this whole spring, because well-being is in many ways municipal economy; it is in our municipalities that the well-being of our citizens is created. And had it been up to the government, the municipalities had not received much more than a few hundred million in sum of what has come from the government's crisis packages, it's on the Stortinget it's been spent on six billion. SEK in appropriations for the municipalities. At present, there is a great deal of uncertainty in the municipality of Norway as to whether they will be compensated for their increased expenditure and the lost tax revenue, and it is cut in the budgets, in our well-being around the municipality of Norway. So my question to the representative is how the government will create security in the municipalities so that they can maintain their welfare level, and whether the municipalities will be compensated for all increased expenses and lost tax revenue.
ParlaMint-NO_2020-06-19.ana.ud168e891	Thank you for the question. We've been crystal clear that municipalities don't have to fear that they won't be compensated for their additional costs and costs related to the coronary crisis. The Minister of Finance has said that, the Minister of Municipal Affairs has said it, I have said it in several rounds, and not least we now have a sample where KS itself sits with the Ministry of Finance, the Ministry of Health and Welfare and the Ministry of Local Affairs, so that we can follow that development successfully and continuously and come back to the idea of what action can be taken. It is also true that every crisis package, every single penny in each crisis package, has gone to a municipality, even if it has not gone to the municipal register – to business and workers. Everyone lives in a municipality, and that money goes there. Then there's no doubt that it's not the municipalities that's going to permit ahead, it's the private business. But we have to follow closely, there is no doubt that we have security, because a secure municipality also creates security for its inhabitants.
ParlaMint-NO_2020-06-19.ana.ud168e896	Replicate cord shift complete.
ParlaMint-NO_2020-06-19.ana.ud168e901	14 weeks ago, throughout Norway, people and businesses were hit hard and at the moment by the extensive disease prevention measures undertaken by the coronary apathy. Over the 14 weeks, people and businesses throughout Norway have contributed and taken responsibility. Then it is our responsibility as elected representatives of the United Kingdom to stand up for people and businesses throughout Norway and to ensure that the measures taken are taken, that they meet those in need, that they meet fairly, and that there is no one standing outside. The Committee has examined two representative proposals which are closely related to the consequences of the coronary apathy. One is a representative publisher linked to ensuring the payment of money to all those who have been outsourced through the crisis. The second is to amend and extend the compensation scheme for large-scale traders. Both proposals are closely linked to the work we did in the Storting and in the Financial Committee on the first weekend after the crisis. For those who have now waited a long time for compensation — well, if one had followed the government’s proposal, there would have been nothing to wait for, because there was no proposal for compensation of wages in the government’s proposal. And for self-employed and freelancers who had to wait a long time for income protection – well, if one had followed the government’s proposal, they would not have waited, because there had been nothing to wait for. There was no arrangement on the part of the government, but the Stortinget had to provide a proper income insurance for those affected by the coronary apathy – both workers and self-employed workers. In the government’s proposal, there was a proposal to reduce the employer’s period of leave from 15 to 2 days. We supported that in order to relieving companies that were in an acute, serious situation, but at the same time it would be too brutal to the workers if one from day 3, i.e. where one earlier that week didn't suppose that one could come in a situation where one was being permated and suddenly from day 3 down to 62.4 p.m. of former wages and salaries within 3G. This means, for example, that an engineer who was on leave and who earns 750,000 kroner, from day 3 would get more than half his salary. Therefore, it was absolutely essential that the Storting should make a quick decision. But there was one more thing that was important in that regard. It was quite right to reduce the cost to businesses of leave, but the government had not done so, at the same time, to reduce the cost to businesses of those who were still in work, but who became ill or had sick kids. If one hadn't made sure to clean it up, there would have been a lot of pressure in the direction that the companies would have permitted for security reasons people who were so in danger of getting sick, or for example. single-parents who have many days of care for their own children. It's been a long time, and a lot of people are still waiting for payoffs from Nav. Fortunately, payments have recently begun to be made through compensation of pay. When we gave the setting, it was approx. 180,000 who had received compensation for their wages and salaries. A few days later, today, it's over 250,000. It's good that the payments are finally being speeded up, so people get the money. The Committee is also very clear that anyone who has waited a long time for money is expected to be paid before the summer. So the business compensation scheme. Changes are now being made in some areas. The centre party has been all the time concerned that this scheme has been important to get in place quickly, but that it falls crooked, not least through the excess that has been in the compensation scheme, which was initially NOK 10000. We proposed that it be removed, and I record that the majority now do it from May. But there's no reason to think that you're not going to do it for the months of April and March. It is equally important for those companies that had a significant fall in turnover during that period that a caretaker removes the excess. It is also important to ensure that one includes several determined costs in the scheme. It is clear that when all the necessary costs related to insurance, watchkeeping, maintenance and unavoidable compensation of employees are not included, there will be little left for the smallest, even if one has removed the excess. Therefore, both the Centre Party and a minority in the Committee consider that further changes to the compensation mechanism are needed. To the seasonal holdings. The majority of the Stortinget decided to have a system for seasonal holdings which was particularly severely affected by the measures implemented by the government. Then there came back a solution from the government parties, to which also the support party the Progress Party has now joined, where seasonal businesses are defined as enterprises that have all or part of their activity outdoors. This means, for example: that SkiStar Trysil gets support. It is an enterprise that is significantly affected, but Trysil-Knut Hotel, for example, which is at least as hard hit, but which operates indoors, is not defined by the government parties and the Progress Party as a seasonal enterprise and is therefore not to be handled in the same way. It is completely incomprehensible, and it is a breach of promises by the majority that one has not provided a proper system for seasonal farms in line with the Storting assumptions. It is now up to the majority to put in place a maintenance cost-related mechanism. There is one evidence that Alpine facilities and amusement parks are to benefit from that scheme. However, there are a number of establishments in Norway that have high maintenance costs that are government-determined and that one cannot escape, both for vehicles, for fire-related lifts, and other HMS requirements. One should of course establish a general and industry-independent system. So in the case of owning versus leasing, which was one of the challenges I signed, the exchange of lines with the Council of State when the case was dealt with, and as the Council of State said the government was concerned that one should look further. The result is that it has not happened. It is still the case that there is an anti-proprietary attitude to the way the scheme is designed. It is therefore appropriate to ensure that changes are made in order, inter alia, to: depreciation and amortisation are included in the plan. There is now a need to implement strong measures to reduce unemployment, to get people to work. The Centre Party has a comprehensive approach in its alternative revised budget to facilitate more activity in the construction sector, to compensate municipalities for their expenses, so that they can both ensure that people are safe in work, that they maintain a good school offer and a good elderly offer, and that they can also be an engine to facilitate increased activity in the construction sector. We provide a comprehensive package for the yard industry, which is hard hit by the crisis. Some shipyards are well protected by the fact that we have now made changes to the Petroleum Tax Act, but other shipyards depend entirely on the fact that we now need to build more ships, mining vessels for the Defence and marine research vessels. And we need to facilitate a green transition in Norway, through a green investment company, and strengthen preparedness for the future. With that, I take up the proposals of the Centre Party and the proposals we're part of.
ParlaMint-NO_2020-06-19.ana.ud168e933	The representative, Sigbjørn Gülsvik, has drawn up the suggestions he made. It's going to be line change.
ParlaMint-NO_2020-06-19.ana.ud168e940	First of all, I must say congratulations on the day! 100 years isn't so bad. As rapporteur, it is common for cakes to be distributed to 100-year-olds, so there are probably many Senterparti-rapporteurs who hand out cake to themselves today. I congratulate you on the day! I want to thank for the cooperation this spring, but in my reply I want to focus on international cooperation. The centre party cuts as usual in all the funds that go to the EEA Finance Facility, and I guess that's the first thing you do no matter what budget you make. I think it is very risky in the times we are now in, to stand outside of EU cooperation. It makes us more dependent on other parts of the world, like China, if we don't want to be with our closest allies and our closest partners. So even in times like these, the Central Party still believes it is important to continue the fight against the EEA. Then I have to ask the centre party the question: What customers is the centre party to which our export companies are going to sell, when they want to rock on the basis of our main trade agreement?
ParlaMint-NO_2020-06-19.ana.ud168e949	First, I would like to thank you for your congratulations on the 100th anniversary. It might have been okay if Vetle Wang Soleim had clarified that it is the Center Party that is 100 years old, but in any case: thank you for that! [[Laughter]] Secondly, to the EEA Agreement: the Government Parties and the Advance Party also belong to the EEA funds – with more than a billion dollars compared to their draft budget. I fully agree that that is not enough. We have to cut more in the record-breaking allocation to the EEA so that we can use the money on more sensible things than a bird's-cash project in Romania, fencing or whatever it might be. We're going to have international cooperation. There are very many countries in the world which have extensive trade with the EU, but only Norway, Iceland and Liechtenstein have the EEA Agreement. Through this crisis, we have really seen how we are being overrun by the EEA Agreement, by the fact that almost the smallest decision we made in this matter was only preliminary treatment before it went to censorship in Brussels.
ParlaMint-NO_2020-06-19.ana.ud168e956	Let me also start by congratulating the Centre Party on the first 100 years. I record that at a mature age, the Centre Party – and also the representative Gülsvik – has been very concerned about the high level of fees in Norway. This is a positive development supported by the Progress Party. We are also concerned about this, and we are very pleased that in the agreement we have adopted today there is a significant reduction in taxes and taxes, in addition to what we have done in the past: both the removal of inheritance tax and a significant reduction in car charges. But if we look a little ahead in time, what fees does the representative Gülsvik think it will be possible to remove or reduce in a future cooperative constellation with the Socialist Left Party and perhaps the Green Party as well?
ParlaMint-NO_2020-06-19.ana.ud168e961	First of all, I would like to thank you for the congratulations. I would also like to say that I am very pleased that the Progress Party has now become a party that is once again a bit concerned with reducing taxes, and at least helps to reduce some of the fees that a person himself was at the head of when he sat with the Minister of Finance for six and a half years. The level of taxation in Norway is now above 5 billion. kr higher than the last Senterpartiet put in government, so it would be very sensible if a person were given a change of charging policy, to receive lower charges in Norway, because the charges are at least before them, most harsh. We have to get a fairer tax policy where one provides lower taxes to people with low incomes, and then those with high incomes can contribute something more to the community than what they do today. They have good back to carry it.
ParlaMint-NO_2020-06-19.ana.ud168e968	The answer was as expected, but there was really no answer to the question. For the sake of order, I can add that after the participation of the Advance Party in government, the total tax and tax level is reduced by 26 billion. kr. But my question was about the future cooperative structure in which the Centre Party may be going in and working together on tax policy with the Socialist Left Party, the Green Party and, for that matter, the Workers' Party. What fees does the representative think can be reduced or eliminated in that cooperative structure?
ParlaMint-NO_2020-06-19.ana.ud168e973	When the Progress Party left the government, after six and a half years with Siv Jensen as Minister of Finance, the fees were more than six billion. kr higher than when the Socialist Left Party with Kristin Halvorsen was Minister of Finance in Norway. I also think it might be a struggle to get back down on that level. For the Central Party, at least it is quite clear that we are going to ensure that taxes that affect both people and business in Norway are reduced. Of course, we hope that both the Swedish Labour Party and the Swedish Labour Party will help to reduce the fees down from the record high level that the Advance Party has contributed to the government.
ParlaMint-NO_2020-06-19.ana.ud168e978	Congratulations to Gælsvik and the Center Party for 100 years! Now, when we're discussing and getting presented to the alternative budgets, we're going to have a look at both the additions and the types of containment proposed by the different parties. This year, and in previous years, the central party has three types of invasion: either that Norway will break its international agreements and funds that we have binding agreements around, that one should lay down some government jobs in a rural, such as in Leikanger, or, as at the third discovery, that one should have higher taxes for some of the local owners through the tax changes to which the government provides. In its proposal, the Central Party also spends 30 million. a measure increasing the stockpiling of cereals, which has a total amount of money far in the right hands of 30 million. What kind of new invading is the Central Party going to do to finance the rest of the 100 million needed for this emergency storage? Break More Appointments? Is there any village other than Leikang? [[President clubs]]
ParlaMint-NO_2020-06-19.ana.ud168e988	When we make our alternative budgets, we of course base ourselves on the proceeds calculations we get from the Ministry of Finance. That's the way it is on every occasion. Then I register that the representative Storehaug now repeats the exercise he had at the state budget in the fall, that cutting the EEA funds will mean breaking our international obligations. Then it is interesting that the representative Storehaug himself is involved in cutting a billion of EEA funds into proposals for revision. I believe there is a need to cut more in EEA funds to facilitate good action across Norway that will contribute to increased activity and value creation and provide targeted action through reduced fees for industries and businesses that are struggling today. It is good policy for people and business throughout Norway.
ParlaMint-NO_2020-06-19.ana.ud168e995	Replicate cord shift complete.
ParlaMint-NO_2020-06-19.ana.ud168e1000	An unusual six-month goes to the end. The size has treated several crisis packages to address the economic consequences of the coronary virus and the closure of Norway. I would like to thank the Financial Committee for its cooperation in what has been a difficult time for the country, and which is still too many. At the same time, I would like to point out that there are now some clear political differences attached to the crisis management between the Labour Party on one side and the Right Party on the other. The main differences are employment and social justice. It is socially fair to give people opportunities, income protection and justice, as the Labour Party has been the driving force in all the crisis packages. It is socially fair to create more areas of action when unemployment is high. 4000 more propose the Worker's Party now. We're also going to follow up on it. Several places of study and several places of study are also concerned with social justice, so that people can complete education or build more skills. Then they are stronger on the way back into work. It counters the fact that there is a greater difference between people and that the crisis in society today does not end up strengthening the personal crisis for individuals and families who are at risk. It is socially fair to prevent cancellations, especially when there are alternatives, as a longer period of leave. The working party proposes to extend the period of leave. Unfortunately, we don't get multiples for that because of the right part. In practice, this means that ordinary workers are now at risk of being laid off in the late summer, because cancellation processes take time, it requires planning, so too many workers and employers can extend the permit arrangements in the budget of the cottage just too late. What's not socially fair is to cut the taxes on wealth. It's the most accurate and reclaimed tax we have. It's a tax that helps those who have the most, also pay the most. It is also quite difficult to see that this should be a crisis response from the right government, as they have tended to cut taxes on wealth in both sunshine and rain for seven consecutive years. It appears to be a purely ideologically motivated cut that gives the greatest advantage to those who have the most money. This happens at the same time as the government budgets down-adjusted salaries for many of those who have worked in the front line in this crisis – nurses, health professionals, care workers across the country – in the government’s proposal for community schemes. In other words, rich people are given priority over workers. They make it easier to spend money on having money rather than spending money on going to work. The working party is not supported. Dropping exchange restrictions is not socially fair. It should have been one of the lessons of the financial crisis, that when the community sets up too large companies with crisis loans, with state guarantees and with compensation schemes, the money must also be demanded not to go into the pockets of owners and shareholders. The community's money must go to the community, and at least there's a social contract that the Labour Party wants to maintain. The municipalities and the counties offer their citizens well-being, and they encourage increased demand in business. They order furniture, electronics and equipment for schools and care homes, and they started repairing road sections and construction projects that can commission many small and large entrepreneurs across the country. It means more work, which means more jobs. If it is to be possible, municipalities and counties will need to have a secure economy. That is why the Labour Party proposes 6 billion. kr in an immediate promise to cover lost income and to increase additional costs associated with the coronary apathy, and we also propose 1.5 billion. to increase private business demand through increased public procurement. Then, of course, the municipalities and counties must also be further compensated if needed. The Labour Party has always said that we have to keep spending money in good times in order to be able to spend more when there are difficult times. What we're experiencing now is undoubtedly difficult times. The most responsible thing now is to use the economic muscles that are needed to minimise the crisis. Finally, I would like to address the Workers' Party's proposals.
ParlaMint-NO_2020-06-19.ana.ud168e1030	The representative of Hadia Tajik has drawn up the proposals she referred to. It's going to be line change.
ParlaMint-NO_2020-06-19.ana.ud168e1037	Over the last few months, the Labour Party has helped to reduce the overall pressure on taxes and taxes to save jobs through a wide-ranging settlement here in the United Kingdom. I was hoping you would keep going, we need more people who want to invest in Norwegian private jobs, not fewer. But then the taxes have to be kept down. Nevertheless, the Workers' Party proposes not to reduce the valuation of shares and operating resources in the property tax, as proposed by the Government. Working capital is the tractor of the farmer and the fishing boat of the fisherman, and I therefore wonder why the representative Tajik and the Workers' Party no longer sees the value of a lower tax pressure for Norwegian jobs, as has been seen in the spring.
ParlaMint-NO_2020-06-19.ana.ud168e1042	I thank you for the question. I would like to remind the representative, Mr Kapur, that most of the changes related to taxes and taxes that the Labour Party has been making during this spring are about postings, so it is about giving more liquidity to companies that are in a rather pressing economic situation. There has been a lot of discussion about the devices on, for example. The oil tax, but I would like to remind you that the tax changes have been quite concretely linked to investments that you have to carry out in order to receive depreciation. In this way, it differs from the property tax, which does not require any investment for the cuts proposed by the government party here and wants to be implemented. We have asked for information several times, if the government party can prove that they cut the wealth tax to create jobs. So far they have not been able to document it. If they now suddenly have that type of documentation, they would have to provide it to us. It will also remind you that, in the context of the changes in oil taxes, the Labour Party was a strong driver for demanding that the money that was released should also be used to create jobs along the coast.
ParlaMint-NO_2020-06-19.ana.ud168e1047	Another case where there is some uncertainty on the part of the Workers' Party: the government parties have put in place a good and predictable solution together with the Advance Party of the Aquaculture Communities. I can't see what the Workers' Party thinks about how the system should look after 2022. Will it be an investigation? Do you want a new discussion about rent? This is something that creates an uncertain situation in many municipalities, from the country's largest opposition party, so I would like to hear a little about the Workers' Party's thoughts on this matter after 2022.
ParlaMint-NO_2020-06-19.ana.ud168e1052	I thank you for your interest in the Labour Party's policy. It is clear from our positions in the setting of the revised national budget that we support a production fee, but that we believe that the distribution of the government party between the state and the municipality is deeply unfair. Municipalities that make their land available are entitled to compensation for the disadvantage that results in making the area available in the way they have done. So we want to maintain the distribution that one today has. We have also requested a review of the system to ensure long-term safety. I also understand that the government's party also wants a review in order to ensure good conditions, so I can send the question in return: how will the Right's setup look after 2022.
ParlaMint-NO_2020-06-19.ana.ud168e1057	The working party is very opposed to giving tax relief to businesses. Even this spring, a lot of time has been spent suspecting business owners to want to drive to themselves. As we know most business owners, serious and good people create jobs for others. Now at a time when they're fighting to survive, tax relief is actually important. The property tax is a tax to be taxed on the values as at 31 December 2019. Many of the companies that are now operating experience that some of the values have been digested. Yet they have to pay taxes. But in the case of oil taxes, the Workers' Party was on a tax bill of $8 billion. kr. Then there was no problem, as it was a matter of being part of that industry. Why is tax relief for the oil industry, but not for ordinary small businesses in the rest of the country that are struggling and moving forward?
ParlaMint-NO_2020-06-19.ana.ud168e1066	I would like to remind you that if there are companies that are struggling to pay the property tax, there is already a scheme that makes it possible to suspend the payment of the property tax. It would be interesting to follow the extent to which companies benefit from this possibility, which already exists. When it comes to the arrangements for the oil tax, it is also the case that the Progress Party has been involved in exactly what the Progress Party here is now asking for further answers. I would like to remind you that what was the Progress Party's primary position, which was to introduce depreciation on corporate tax, was the property of weakening the tax base of our country in general, because it could have a contagion effect on corporate tax within the mainland industry. To all intents and purposes, the exact assessment of company tax is something like the Workers' Party and the Right, which are largely disunity in the view of taxation, yet there are some that one should consider. I note that the Ministry of Finance’s assessment that it could weaken the country’s tax base and thus signify significant tax cuts is something we are in.
ParlaMint-NO_2020-06-19.ana.ud168e1073	We are in a coronary crisis, but we are also in a climate crisis. We have ambitious targets that we're going to achieve in the next decade. We're going to reduce the Norwegian emissions by 50 pst. We're just going to sell the zero-emission vehicle by 2025. Then I am a little surprised that the Workers' Party in its proposal now comes up with proposals to impose a charge on electric cars. My question is: is the objective of charging, or will we adjust the charges, so that we actually achieve the objective of selling only a zero-emission vehicle by 2025?
ParlaMint-NO_2020-06-19.ana.ud168e1081	The Labour Party wants a fair climate policy. It is not fair to spend large amounts on financing expensive luxury cars when the buyers themselves have enough money to pay VAT. I think that's one of the things we should have learned through recent years' popular counter-reactions to a lack of justice in climate policy, because people who are in a situation where they can't take other economic choices than driving a car or a diesel car, feel like a huge burden on their wallets, and at the same time have to see that the state is throwing huge amounts of money after people who have quite a lot of money from before. It's not on sight. Then it is better to introduce a VAT rate for electric cars that cost over a certain level, and use the money to allow more people to make climate-friendly choices, as suggested by the Labour Party.
ParlaMint-NO_2020-06-19.ana.ud168e1086	Replicate cord shift complete.
ParlaMint-NO_2020-06-19.ana.ud168e1091	There has been a special time in the country and on Stortinget this spring. In the revised national budget, we also received a Phase 3 package, which allowed us to move much more money than what is usually used in such negotiations. The Progress Party has helped to move more than 5 billion. kr for actions that we believe are important in the future for countries and for people. It's easy to think that we've now come out of this crisis for many who are not so affected by it, but at the same time we know that many are in the middle of it, either because they're out of the way, because they don't have a job to go to, because someone is sick, or because you have businesses that are very hard to deal with. For the Progress Party, it was important in these negotiations to put in place more money for health and the elderly. We've got a total of 1 billion. kr. We want to strengthen the health care system to now ensure patient treatment for the many who have been subjected to consultation, surgery or treatment or even failed to go to the doctor even if they have been concerned, because they will not be bothered, or because it was simply difficult to get in and get help. We want to give priority to cancer treatment, MR and X-ray and to ensure that some of those in Norway who are now in the process of becoming chronically ill are followed up. Older people are one of the groups that are the hardest hit by this pandemic. Many have been at home lonely without contact with other people, without being happy with them, having been able to come home to them or be with them. The phone has been the only link in the world. We know that loneliness is basically a challenge for this group. Now let's add 400 million. kr, which is intended to help combat solitude among the elderly, whether in a nursing home or in a home where it is difficult to get out. Traffic is always important for the Progress Party, and it has also been in this context. We have put in hundreds of millions of dollars to go to small and larger road projects around the country, which will ensure local entrepreneurs jobs and employment through months to come. The Ministry of Transport has emptied lockers and drawers for all the projects that can be launched quickly. We wanted to get rid of the tolls on national roads this summer, so people going on vacation were going to drop that burden. It wasn't possible to do that, and we did a lot of laps on it. But what we got was to remove five toll stations around Norway. I've seen that someone has kind of ridiculed, but it means extremely much to those who live in these areas. Take the Atlantic Tunnel, where a commuter who's going to work in Kristiansund pays 25 000-30,000 a year. Of course, there are limits to how much contact you have in that region that it costs so much. This will bring new life to the Kristiansund region and give completely new opportunities to those who live there. That's why it means a lot. We have got the sugar tax back to the 2017 level, to curb the border trade. To put it that way, this is something the Progress Party is also going to be concerned about when we get to the harvest and the state budget for 2021, that we're getting the push now to bring down the border trade or at least try to reduce it, that it doesn't grow further. Maritime nutrition has been important. Removing the ceiling on the net pay scheme in the fourth quarter will mean a lot for these companies and for the seafarers. We will build extra research ships and provide a doubling of the top finance scheme, which means that Norwegian shipyards can build more boats. The Group of the European People's Party (Christian Democrats) and European Democrats also supported the Commission's proposals in these negotiations. We want to be in and cut as well, to spend less oil money. We did not hear about this because we made an agreement with them, but we are pleased with the result anyway. Finally, I would like to promote a loose proposal by the Progress Party and the government parties dealing with state-funded care.
ParlaMint-NO_2020-06-19.ana.ud168e1116	The representative Sylvi Listhaug has drawn up the proposal to which she referred. It's going to be line change.
ParlaMint-NO_2020-06-19.ana.ud168e1123	The representative Listhaug is talking about the elderly, and Sivert Bjørnstad was talking about municipal freedom of action, but in terms of local authorities' freedom of action to obtain income to bet on the elderly, there is a bomb stop at the Progress Party. In this year's budget, the ceiling for property tax was lowered from 7 to 5 per million. It has cost the municipalities several hundred million dollars. My own, Trondheim, it's cost 77 million. kr. There's a lot of money compared to the 10-12 million. kr they get, of the 400 million. kr from the Progress Party for care of the elderly. You cut the equation rate from 80 to 70 pst. It's not a proceeds estimate, but it's probably going to cost 1 billion. kr or more. And then you're going to go from 5 to 4 per million next year, and you're not going to calculate the proceeds, but it might cost you 1.5 billion. kr. The former rapporteur of the Progress Party in Bamble said that we have to choose tax havens against hospitals when he refused to cut the property tax and instead build hospitals. Why won't Listhaug let other municipalities make the same choice: put older people ahead of tax cuts?
