ParlaMint-NO_2020-02-26.ana.ud57e28	The representative of Marit Knutsdatter Strand will present a proposal for a representative.
ParlaMint-NO_2020-02-26.ana.ud57e439	We have never had trouble in Stortinget getting proper answers from the Minister of Economic Affairs on projects that are totally open to commercial implications, will have major consequences for Norwegian industry, which floating sea winds will open up, and which carbon capture and storage will open up. And not least: I asked questions about battery production, where the government has done worse by cutting e.g. in depreciation schemes for the purchase of new machinery for the Norwegian industry, which has made investments impossible. The situation we're facing is that the government only sees industrial trains go by, does nothing to facilitate the location of the investments, and we can be in danger of losing these opportunities because it's being developed elsewhere. If you look at the last numbers from the SSB, you can see that either the Norwegian land industry is in a state of crisis, or there is a decline in production, a decline in investment. The only thing that keeps this up is investment in petroleum. So I ask the question once again, because this is what the Minister of Industry is going to be able to answer: what is the business strategy behind this?
ParlaMint-NO_2020-02-26.ana.ud57e448	The questions and the specific issues raised by the representative Knag Fylkesnes are those that are under the portfolio of the Ministry of Oil and Energy and that I cannot answer. I can answer as Minister of Industry and answer in general, and I think that the picture the representative is drawing is a more gloomy picture than that for which it is based. It's going well in this country. During the last year, according to the SSB, almost 40,000 more persons employed, more than 30000 of whom are employed in the private sector. So there's no reason to paint a black picture here. That doesn't mean that we don't have to be offensive, that doesn't mean that we don't have to be in dialogue with business all the way to hear what they need, what we can help us to do. This applies to industries of all types. But what the representative mentions that goes on the sea wind, which goes on the CCS, must be addressed to the Minister of Oil and Energy.
ParlaMint-NO_2020-02-26.ana.ud57e453	There will be follow-up questions – first Torgeir Knag Fylkesnes.
ParlaMint-NO_2020-02-26.ana.ud57e459	I'm asking a question about industry, and it's the responsibility of this Council of States. I note that the Council of State does not want to answer basic questions facing the Norwegian industry. It is fascinating and something completely new for Stortinget to experience a Minister of Economic Affairs who answers that. The fact is – this is from the SSB – that industrial production is falling. There is only one increase in the amount of petroleum that makes the decline not dramatic. Investment in industry is increasing, but it is only due to the launch of new fields on a Norwegian base. If we keep petroleum outside, it's a fall. So we're in the situation that, at a time when we were to become more oil independent, we've become more oil dependent. That shows the big numbers. If we look at the important PMI index, which is an important yardstick for countries and stock exchanges when it comes to how it actually stands in Norwegian industry, he is now at his lowest in three years. The employment index of Norwegian industry in particular is the case. Does the Minister of Industry take this as just a bluff, or does he seriously look at the developments we're in?
ParlaMint-NO_2020-02-26.ana.ud57e468	After the oil dip that was, there has been a rise again. There are also more people working in and around our oil and gas industries. This is an important industry; it is an important industry for the country. Although it attracts a lot of people and a lot of expertise, it still focuses both government and industry even on the green shift. As I said in my previous post, I feel that the maritime industry is very offensive when it comes to the green shift, precisely because they see that there are some business opportunities there. So it's about how we get there, and we're doing that with a combination of what the state contributes to, for example. through research and development, and the industry itself. So even if there's a rise in the oil and gas industry, it's not like you're not focusing on the green shift, because it's here now. We're going to go through that, and here it's business opportunities.
ParlaMint-NO_2020-02-26.ana.ud57e475	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e480	That one focuses on the green shift, one has said for six years now, when the Left either has been in government or has supported the sitting government. They have not been able to maintain their own climate goals. They have ensured that the only industry that continues to grow is the petroleum industry. The others are standing in the village or going down. That is the reality. With the Left in government, Norway has actually become more oil dependent, and we are now more on the verge of getting to Paris, i.e. the objectives of the Paris Agreement. Governments promote the maritime industries and that they are offensive. Yes, they are offensive, and that's why they have given clear notice to the government that the government must now put in place the framework conditions for maritime nutrition, so that one can get started with the green shift. They can't do this alone. As long as the strong and good conditions are in the petroleum industry, they are locked in this situation. The government has to come up with plans. Among other things, they demanded, together with Norwegian Industry, that one have to come back by the summer of 2020 with a plan for floating sea winds. Will the Minister of Industry still not comment on all of this which will have a significant impact on the maritime industry?
ParlaMint-NO_2020-02-26.ana.ud57e489	I do not recognize myself in the description that Knag Fylkesnes comes with. There's an incredible amount going on out there. There's an incredible amount of exciting happening along our coast, not least in the maritime industry. It's electrified over a low shoe. Just after Christmas, there was a large EU project – 200 million. kr I think it was on – for the automation of ships. There's a lot of crazy happening out there. There's an optimism and a drive out there that I think the representative of Knag County is now talking down. I don't recognize myself in the black paint done. The fact that we have challenges is clear, and that we have high targets that are hard to achieve, there is no doubt, but we have to set some goals, because that's where we're going. If we don't have the targets, we won't get yours either. But we have an industry and a business that wants to contribute and that contributes. And they do that with the state.
ParlaMint-NO_2020-02-26.ana.ud57e494	I think I realized that the representative Knag Fylkesnes used the expression "on the go". This may be reserved for the presence of the Minister of Agriculture. [[Laughter]] Une Bastholm – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e501	Over many years, investment in fossil energy — oil and gas — has been much higher in Norway than in all other industries combined. We talk a lot in Norway about what the oil and gas have given us, but very little about the risk it entails in the future to continue to have so much investment, and what it has cost us. Last year Professor Asbjørn Karlsen at NTNU and senior researcher Markus Steen at SINTEF came out with a new report on how we can get a bet on sea wind in Norway. They conclude that the government’s commitment to oil is in the way of a sea wind bet in Norway. They're so clear that they say, ‘Policy signals from the authorities ensuring continuous expansion and high profitability in the oil and gas sectors, with favourable search drilling reimbursement arrangements, will dampen the attention and investment of operators in sea wind.’ We know that many in other industries also say that we have such good – exceptional – special arrangements and tax advantages for oil and gas, standing in the way of other businesses that respond better to future challenges. Does the Minister of Industry have similar concerns that large investments in oil and gas make other businesses fall into the shadow?
ParlaMint-NO_2020-02-26.ana.ud57e515	I believe that the representative of Bastholm is quite right that we have talked a lot about what the oil and gas industry has given us, because it has given us some absolutely amazing opportunities. We also have to use these possibilities when we're going to work on the green shift. I see absolutely what the representative is referring to, that the gravitational force works in a way to the benefit of this large and heavy industry. I think that's something we all the way have to be aware of. To compete against the oil and gas industry, I think is challenging for many other industries, because the salaries have been high there, and there have been attractive and exciting jobs. At the same time, it is important that we see the possibilities that the oil and gas industry has into the green shift. I mean, there are things that are changing now. Several are more offensive, and more industries see where we are going, and are busy attracting also young people who want to be part of the green shift.
ParlaMint-NO_2020-02-26.ana.ud57e522	Let's move on to the next main question.
ParlaMint-NO_2020-02-26.ana.ud57e527	Differences in Norway are increasing. The lowest-paid have experienced a real wage decline in recent years, while many at the top have seen large increases in addition to the average wage growth. In the last few days, we have even witnessed that someone has also taken out double wages, and that the Prime Minister confirms that it is quite okay to charge double wages. The oil peaks were given, for example: average 15.9 pst. Last year’s wage increase – the Executive Director of the oil industry had an average wage increase of 15.9 p.p. There were increased bonuses that pulled the payroll, but still: it's part of a picture. We've seen that 15 of the wholly or partly state-owned companies gave their top managers in growth a total compensation of 10 pst. or more from 2017 to 2018. The average salary growth was then 2.8 pst. The government’s own overview of the development of remunerations to executive directors shows that the top managers of six of the seven state-owned listed companies had a wage growth above the average for employees in 2018. Four of these top managers got an increase of over 10 pst. My question goes to the Minister of Industry. When you see Equinor's leadership, which has a starting point of over 16 million. kr, and further Telenor over 15 mill. kr and Norsk Hydro of more than 15 mill. kr, there is reason to ask yourself how this turns out when we are faced with a paycheck – a paycheck is really quite essential that the trade union movement and ordinary workers are holding back, given the competitiveness of Norwegian business. How will the Minister of Economic Affairs contribute to the cessation of the pay-roll granted by individual leaders, where the state is a whole or a partner, and to their understanding of their role, what it expresses, in relation to ordinary peoples in the situation where they, for example, are. are moderated?
ParlaMint-NO_2020-02-26.ana.ud57e536	In the ownership message that is now being treated in Stortinget, we are clear that remuneration and incentives should be used to promote the company's objectives. We are also clear and concerned that the remuneration – I say remuneration, not pay, because they get more than just pure pay; they can have pension obligations, they can have bonus schemes, which the representative is also involved in – must be competitive, but not pay-leading. We're concerned that the board of directors will contribute to moderation. It is the boards that determine the remuneration of the employees, not the state as such, but as the owner of the companies we are occupied with it. We are concerned that it should be competitive, but not pay-paying, and we are concerned that governments should contribute to moderation. Then we're busy with one more thing that I think is important, and that's openness around the remuneration. There has to be transparency, just to be able to have these discussions as well, because there's no desire on the part of the state to be the payroll leader. On the contrary, it's a point that we're going to be competitive, but not payroll. I have no indication that we're not there, and that we're paying. But these are companies that are difficult to compare with other companies, because companies are different, and there's not another company that you can compare with that is completely equal. But at least that's the clear assumption for the state that owns the government to work after.
ParlaMint-NO_2020-02-26.ana.ud57e548	It would be interesting to hear a little bit more about what the Minister of Industry will actually do to limit the leadership wage developments we've seen in the state-owned companies, in whole or in part, because even if you stick to competitive and non-wage-leading standards, there's no doubt from the statistics that most people are wage-earners. And when you also think about heads, it's very clear what the picture is. We asked for a little bit more detail a while ago. It shows that Argentum, DNB, Hydro, the Seafood Council, etc. has not even stated in their statements of wage development that one must follow the guidelines of the State. We have also recorded that in some contexts the state has had a protocol on just such things. What will the Council of State actually do to ensure that the governments follow up what is the state's very clear, explicit objectives in the guidelines? Would she be more aggressive than the predecessor in replacing the regimes where one does not understand that showing moderation and following the guidelines is an essential part of the social contract of the state-owned companies as well?
ParlaMint-NO_2020-02-26.ana.ud57e555	The board of directors determines the salary, but we use our ownership in the way that we present the ownership message where our opinion on the matter is shown. We use the arenas we have to face our expectations to the rulers. It's hard to compare rules to each other. And to whether you are profitable or competitive: we manage a large ownership on behalf of the Norwegian people. It's important that we get the skills that are needed to make sure that we have the highest possible return over time in those companies. That's what's our goal of ownership in many of the companies involved. But we as the state and as the owner should be clear that the boards are going to be moderate, and that we are not going to be payroll leaders.
ParlaMint-NO_2020-02-26.ana.ud57e562	There will be follow-up questions – first Terje Aasland.
ParlaMint-NO_2020-02-26.ana.ud57e567	I thank you for your answer. It's a big and important problem, and it's a much bigger problem than what you're really thinking about. Because when some leaders — no matter who, but especially where the government has interests — grant more than the ordinary people can initially imagine, and get a wage increase that may be greater than many years’ wages, it becomes completely unreasonable. And it's pretty important signals that are sent out in connection with it. I'd like to hear a little bit more concrete about this. To put it on track of something we might imagine: in the guidelines for the state, it says “should” 13 times. Does the Council agree that these should perhaps be replaced by ‘shall’? With regard to transparency, could it be relevant to new ways of informing the Storting about leadership wage developments that exceed what is normal – and do I also think about remuneration?
ParlaMint-NO_2020-02-26.ana.ud57e576	Openness about the remuneration these leaders get, I think it's important to have. Although I understand the starting point of the representative, my starting point is that these are leaders who manage great values on behalf of the taxpayers and the community, and I am concerned that we have to get the people who are most fit to do that task. We must then be able to offer competitive conditions. So we can mean what we want about how much it should be, but it's now so that these top managers earn a lot today, they're going to do it still, and we have to compete in the market to get the best heads to manage our common values. That's what's my goal. We have to pay what we need to get the people we need. But we're not going to be the payroll.
ParlaMint-NO_2020-02-26.ana.ud57e583	Terje Aasland – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e588	I'm a little scared when the Minister of Industry says we have to pay what we have to pay, because then we haven't followed the debate that is going on among some leaders, directors, etc., where one very clearly says that we have to start adapting the management salaries to a global level, for example, in many of the Norwegian companies here. I believe that this is totally unreasonable, and at the same time, positive leadership also limits Norway. So that entry I'm worried about. But for this with transparency: can the Minister of Industry imagine reporting and explaining to the Storting about the companies that are breaking the moderation, in the sense that, for those who allow for the development of management wages to be higher than what is normal wage growth in society, it is reported to the Stortinget in an appropriate way, and that the Stortinget gets – let's say – debated that kind of relationship, because it is absolutely essential in terms of the formation of wages in society? It is clear that it is important to get rid of all the provocations, which are about accountability in the trade union movement.
ParlaMint-NO_2020-02-26.ana.ud57e595	I have some problems seeing which arena it would be natural to report about it. What's important to me is that there's openness around it, so that the information flows to those who have an interest in it – including big business representatives, if it is. But I do not immediately see that it is natural to pick up all the management salaries in the state for a separate matter to be delivered to Stortinget. What we as the government has now presented to the Storting is the ownership message, which says something in general about what our intentions are, what we want the governor to do. It's moderating, it's not being pay-paying. But at the same time, we're going to attract the skills that are needed, and that will vary from company to company and from what situation a company is in. It's like that today, it'll be like that in the future. But transparency and knowledge of the remuneration that is being provided, I think it's important that the boards provide.
ParlaMint-NO_2020-02-26.ana.ud57e600	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e605	There are few debates in the UK that generate more words than debates on rent wages. "Moderation" has traditionally our word. Now it's openness, which I don't know how many times the government has said. But if you're going to bring this down to what's really going on, I have two questions for the Council of State: are the rents, after the Council of State's view, in companies where the state is wholly or partly owned, too high today? That's the first question. The second question is, if one thinks they're too tall, does one intend to do anything?
ParlaMint-NO_2020-02-26.ana.ud57e610	I have no reason to say that some of the leaders of companies in which the state has ownership have too much pay today. I assume that the board of directors have assessed the salary level in line with our signals, i.e. that they should not be pay-leading, but that they should be competitive. I assume that there have been separate assessments in each case, and I have a expectation that the directors will show moderation in the future. But I do not have the basis today to say that one or more of the directors of publicly owned companies have too high a salary in relation to the competitive situation and the situation of the companies.
ParlaMint-NO_2020-02-26.ana.ud57e616	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e621	It should be very clear to the Minister of Industry that the pay gap between people with normal wages and rents has increased over time. Based on what has been said in the debate today, there is nothing to suggest that the government and the Council of State intend to do something about this. I think when a person talks about openness, it's just as good to be honest, and then my question is: will the Council of State live well with the fact that the wage differences between leaders and ordinary people continue to increase the next few years, as long as this happens, as the Council of State says, in openness?
ParlaMint-NO_2020-02-26.ana.ud57e626	I'm still going to be concerned that the controllers are going to show moderation. I'm still going to be concerned that we're not going to be paying. But I'm also going to be concerned that we're going to get the people we need to manage our common great values. It's in no way that the state that owns is just going to sit there. We're going to face our vision, which is that it should be moderated, and that we have expectations that the rulers will do it in the future as well.
ParlaMint-NO_2020-02-26.ana.ud57e631	Let's move on to the next main question.
ParlaMint-NO_2020-02-26.ana.ud57e636	My question goes to the Council of State Iselin Nybø. A number of measures on Norway’s CO 2 emissions are now being proposed in order to achieve the 40 pst target. emission reduction. With regard to the measures now proposed for industry, how much investment does Norwegian industry need to invest to achieve these planned objectives?
ParlaMint-NO_2020-02-26.ana.ud57e646	I can't stand here now and give a concrete amount, there are different measures that will have different price caps, but if the representative sends me a written question, I'll see if I can make an overview of the estimated costs of the relevant measures.
ParlaMint-NO_2020-02-26.ana.ud57e651	Here we have now been driving for a long time and proposed measures. We have been through Climate Change in 2030, where, among other things, it is said that with the measures investigated, in nine years we will be able to reduce industrial emissions by 2.7 million tonnes of CO 2 equivalent. Then we started to get some time to know what this will cost the industry. But there is one thing that is absolutely certain, that is that it will require some very large investments. Part of the business community is concerned that this will affect competitiveness, which in the worst case will lead to closures and unemployment. Is this something that worries the Council of State as well, or does she think that this is some of the price we have to pay to be the best in the world?
ParlaMint-NO_2020-02-26.ana.ud57e659	I'm worried, but that's the change we have to go through. It is absolutely essential that we succeed in the green shift, and the industry must take its part. At the same time, our industry is in a competitive situation that makes them also dependent on countries with which they compete, through the same transition to keep them competitive. They also see the opportunities that lie there – that if they are at the earliest, it gives them a competitive advantage because demand is going to change, and they also want to develop technologies and products that are being sought in Europe and in the world, which are also to be shifted through the green. So on the one hand, there are some formidable challenges we're facing, but those challenges also give us some opportunities. I am concerned also to see the opportunities that this gives our industry and our business life.
ParlaMint-NO_2020-02-26.ana.ud57e664	There will be follow-up questions – first Bengt Rune Strifeldt.
ParlaMint-NO_2020-02-26.ana.ud57e669	Most small and medium-sized enterprises provide a basis for important jobs in districts. Their contribution to climate change will be very small for each individual, while the investment and transport costs associated with climate cuts will be significant for each enterprise – with the negative consequences it can have for these jobs. Does the Council of State consider this to be good district policy, and does the Council of State think it will help to maintain and strengthen jobs in the districts?
ParlaMint-NO_2020-02-26.ana.ud57e676	It's not just Norway that's going through this green shift. It's going to be the rest of Europe; it's going to be the rest of the world. The challenges we face are formidable, and they are not formidable to just us and our business life, but to the whole world. We should not underestimate the challenge it is, nor the concern that many people feel for their job, their job and their business life. But I think there is also a potential here, I think there are also some opportunities, and I think we are well equipped in Norway to lie in front of some things that give us some advantage – yes, some competitive advantage – in the global and European context. But that there are some formidable challenges, I fully agree. Our businesses along the coast often export, and they often compete in e.g. a European market. The fact that they're also going through this green shift makes them equal, even with the challenges they're facing.
ParlaMint-NO_2020-02-26.ana.ud57e684	Jon Georg Dale – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e689	I am initially pleased that the Council of State so clearly confirmed that Norwegian industry is in competition, and that there must therefore be a link between what we do domestically and what happens outside. The problem is that when the government has strengthened its climate ambition, it has left the door and said that one should not initially use these mechanisms. This means that Norwegian industry can have completely different conditions of competition from industry elsewhere in Europe and in the world, and with the few result that we lose jobs in Norway. With the offensive hold the Council of State has had in the previous answers, it is natural that the Council of State can guarantee that Norwegian industry will pay no more for its emissions than other places in the world than industry. Can the Council of State guarantee that?
ParlaMint-NO_2020-02-26.ana.ud57e696	Now this Council of States has been the Council of State long enough for me to know that giving guarantees from the pulpit on the Storting is rarely a good idea. I would like to say on a general basis that the competitive situation is of course important for our entire business. But I'm concerned that we can't just look at the challenges; we also have to look at the opportunities. I feel that we have an industry and a business that sees for itself that this is where they are going. They see for themselves that they need to change in order to be able to exist in the future, and they are busy working with the state to find out where there are market shares to take in the development of e.g. new technologies and the opportunities offered by the green shift. But no guarantee is given to the representative right now.
ParlaMint-NO_2020-02-26.ana.ud57e701	Sigbjørn Gülsvik – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e706	Let me rephrase the question that the representative Dale just asked. With regard to the CO 2 tax exemption for key parts of the process industry that were removed from the State budget on a proposal from the then Minister of Finance, Siv Jensen, which has imposed on Norwegian industrial companies double the instruments – both the quota obligation and the CO 2 tax – thus a clear competitive disadvantage on those companies: will the Council of State contribute to the elimination of these charges again?
ParlaMint-NO_2020-02-26.ana.ud57e717	I assume that the representative understands that there is something that is being addressed in the state budget, that there is a process we are doing now, and that therefore I am not here to answer the question he is asking.
ParlaMint-NO_2020-02-26.ana.ud57e722	The oral question procedure is over.
ParlaMint-NO_2020-02-26.ana.ud57e736	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The changes were as follows: Question 5, from the representative Lars Haltbrecken to the Minister for District and Digitalisation, is postponed until the next Question Time, when the Council of State has left. Question 8, from the representative Nina Sandberg to the Minister for Research and Higher Education, has been transferred to the Minister for Municipal Affairs and Modernisation, who is directly responsible. Question 9, by Kari Henriksen, representative of the Minister for Culture and Gender Equality, has been withdrawn.
ParlaMint-NO_2020-02-26.ana.ud57e752	‘Widerøe reported on 17 February that they are planning to cut 15 per cent of the commercial flights in the short-haul network, a cut of 4000 departures per year. Over time, opposition has warned against heavy tax increases in recent years making more commercial short-haul routes unprofitable. Will the government take the initiative to reduce the tax burden on flights on the short-haul network and will the government exempt flights below 20 tonnes from air passenger charges?’
ParlaMint-NO_2020-02-26.ana.ud57e759	The rates of taxation shall be adopted by the Stortinget for one year at a time, see: The Constitution § 75(a) Therefore, the rates of the air passenger charge, like all other tax rates, are assessed against the overall tax regime in the annual budgets. That will be the case in the future as well. The air passenger fee was introduced in 2016 and had only one rate. The main purpose of the fee is to obtain revenue from the State. It is made simplest and most effective when the fee is designed with the lowest possible rates and exemptions. Tax exemptions increase the administrative costs both for the operators and for the authorities. From 1 April 2019, the air passenger charge was changed in an environmentally friendly direction. The fee was then charged at two rates, one low rate for flights within Europe and one high rate for flights out of Europe. The conversion resulted in an increase in the rate of flights departing from Europe, while the rate of flights within Europe was reduced. This has contributed to increased profitability, for example: for the district short-distance network. Support through the exemption for aeroplanes below 20 tonnes takes all flights with aeroplanes below 20 tonnes, including those that are commercially profitable. Such a derogation is therefore an expensive and inconclusive instrument to prevent the closure of short routes in the districts. An exemption for aeroplanes below 20 tonnes may be considered as an advantage for individual carriers in practice. Consequently, the exemption would involve State aid not authorised under the EEA Agreement. In that case, the exemption must be notified to and approved by ESA. In order for the ESA to approve the exemption, the measure must be necessary, it must be an appropriate instrument and it must be proportionate and have an incentive effect. It would be difficult to obtain the acceptance of ESA for such conditions to be met. The government is committed to ensuring that Norway has a good and forward-looking aviation infrastructure throughout the country. This is what we do, among other things. through the purchase of domestic air routes. Government purchases of domestic flights ensure the operation of non-commercially profitable air routes. This is a more accurate and effective instrument to prevent the closure of unprofitable routes than an exemption from air passenger charges.
ParlaMint-NO_2020-02-26.ana.ud57e774	Unfortunately, what the Council of State is now describing is a long line of argument against the imposition of measures that could remedy the situation of the Republic, and not only for Opposition, but also for other companies operating domestic air transport. The current government has increased the taxes on Norwegian domestic air transport by approx. Two million. kr – the air passenger charge, which came overnight without a proper investigation and with major consequences, but also increased CO2 tax and increased VAT. Repentance has warned years after year that what is now happening is going to happen. They have also said that they should have done so in the past, according to the framework conditions they have, but because of their responsibility for society, they have helped to maintain the path in the hope that the framework conditions would change. Is it possible to expect that the framework conditions will be improved in the future for Norwegian domestic air transport?
ParlaMint-NO_2020-02-26.ana.ud57e781	Now, the framework conditions are not changed in the interests of a company, but in the interests of people in the districts – if there is to be a discussion theme. These are issues that often arise from the annual budgets. I am also aware that the Central Party has submitted a proposal for a representative, and that gives Stortinget the opportunity to discuss these questions. I am concerned that we must both ensure that we have effective climate action – I am aware that the Centre Party is not as concerned about it as other parties in Stortinget – and ensure that there are good framework conditions for flights in District Norway. The most effective instrument, as I have pointed out, is that the State is going on the FOT routes, not that measures that could potentially be contrary to the EEA Agreement are being put in place.
ParlaMint-NO_2020-02-26.ana.ud57e786	Here, there is a sum of measures — including strengthening the allocation of the FOT routes — which the Centre Party has proposed in the current year’s budget without being endorsed by the government. This is about VAT, which the Senterpartie has proposed to reduce, and which the government has opposed, and it is about the arrangement of the air passenger charge. It is clear that the exemption from air passenger charges for the smallest aeroplanes will have an effect, in particular, on the smallest airports, which are important around Norway, rather than increase the charges on international air transport. The government has not only signaled that they will maintain the charges, they will also increase air transport charges further. Can the Council of State now clarify the direction to be taken, in the interests of people living around Norway? Should the fees be further increased? Should CO2 tax and VAT be increased? Or do the Norwegian national air transport charges have to be reduced?
ParlaMint-NO_2020-02-26.ana.ud57e793	The representative knows very well that these are issues addressed in the context of the State budget. It would be very imprudent if a finance minister would keep commenting on the level of fees and what would potentially be proposed for next year. It should be a good route offer throughout the country. We're going to fix that. The proposals made by the Central Party would never have the chance to get a pass on the red-green side, I think I can say with certainty. Proposals are also potentially contrary to the EEA Agreement. I am aware that the Centre Party is not particularly concerned with either the climate challenges or the EEA Agreement. On the other hand, it is the government, and we are going to facilitate a good and competitive flight offer. But we do not challenge the EEA Agreement on this, and we must ensure that we also use the necessary climate policy instruments.
ParlaMint-NO_2020-02-26.ana.ud57e803	The question is: ‘The Council of State refers to increased resources in the police, but the police chief of the Inland Police District Johan Breek writes in Gudbrandsdølen Day 20 February 2020: ‘Inland police districts must save nearly 50 million in the coming year, while demanding an increase in the number of police year-olds.’ Does the Council of State consider that reduced ambitions, longer processing time and several provisions are in line with the Storting's ambitions and decisions, or will necessary resources be allocated?»
ParlaMint-NO_2020-02-26.ana.ud57e812	Initially, I would like to stress that I understand of course that the police districts feel that the economic space is limited. The demands and expectations of the police are high. It will always be possible to wish for larger budgets. The government has actually increased the police budget by approx. 4.4 B.C.E. kr since 2013, of which over 3.3 billion. kr is on the police operating budget. Inland has, like all other districts, received more money every year than they had the year before. Over the period 2013-2020, the Inland has had a real increase in the budget of about EUR 15 million. 140 million. kr. In 2020, the budget for the police district is about Eight hundred and sixty million. kr. The funds have been strongly mobilised by the police, the implementation of police reform, the strengthening of preparedness and social security, border control and return work, ICT modernisation and ICT security and the fight against trafficking in human beings, sexual offences and violence and child abuse. Since 2013, police staff have increased by about 10 %. 2 800 years' worth of work. Nearly 1,500 police years ago have come to the police districts. Manning has increased in all police districts. The police directorate reports that since 2013, the Inland police district has received approximately 50 % of the total number of police districts. 127 more annual works, of which more than 100 are police officers. In the Inland Police District, police coverage has increased from 1.29 to 1.6 from 31 December 2013 to 31 December 2019. As of 31 December 2019, the district has a total crew of approx. 890 years. In 2020, it was granted over 20 billion. To the police. Police districts are a priority. In addition to specific means of increasing police staff, this includes: also granted 83 million. kr to allow for a strengthening of the exploration capacity. Like the representative of the Central Party, the government is also concerned with low detail management and high trust. The Ministry of Justice and Defence therefore governs the police through budget allocation and annual letters of allocation. It is the Police Directorate which, in its performance agreement with the police districts in 2020, allocates the allocated funds between districts, together with expectations of results in different areas. Police officers must then give priority to deploying resources where the need is greater. I trust the police are doing this in a good way. Clear priorities are needed. High-quality effective criminal justice is one of the priority objectives for 2020. The ambition is to solve as many issues as possible, while at the same time the quality is high.
ParlaMint-NO_2020-02-26.ana.ud57e833	Yes — because there is a very difficult link between resources and ambitions. The Inland Police Master also writes in his post: ‘The budget situation needs to be resolved independently of our clear societal mission, which is to contribute to a safe society for the citizens of the interior. However, it is not to be avoided that the savings measures will be labelled.’» The local team leader of the Inland Police Union, Reidun Martinsen, says to Avisa Hadeland today: ‘We have a lot that is good in the reform, but it doesn’t come with enough resources. Work is becoming more and more complex.’ The chief of police is clear: the ambitions must go down. Then I wonder: What are the issues and tasks that the Council of State intends to set in motion in connection with the so-called near-police reform?
ParlaMint-NO_2020-02-26.ana.ud57e848	Now I have explained how this government, through our years in government, has prioritised the police, has prioritised more policemen, has prioritised the investigation capabilities. So it's true that things are more complex. That is why this police reform is so important. That is what everyone in the party is saying, and then I'm going to record that the Central Party is opposed to the reform. The quality has increased, but we're now using about 35 pst. of the resources to investigate 3 pst. by the cases, and those are the most serious issues. It's killing, rape and assaulting children; it's the priority tasks. That means we're not going to be able to prioritize everything. We have to give priority to the most important thing, and the police do.
ParlaMint-NO_2020-02-26.ana.ud57e855	That's when I wonder if it's local preparedness that gets down priority. Because it is written in several local newspapers about a tough reality in the police districts. At the Gudbrandsdöln Day, February 11, we could read that the police had to cut into the million - year - old Gudbrandsdalen and have had a temporary job stop. Trustees are asked to find cut posts. In Valdres we already know that they are struggling to fill shifts and duty lists and have more people on sleep shifts than before. The government’s reform provides a higher threshold for outreach and fewer staff with several tasks in the individual police offices. Vacant jobs are kept empty, and the research capacity locally is pushed to the edge. Does the Council of State feel that preparedness is better with more policemen on a sleepy watch?
ParlaMint-NO_2020-02-26.ana.ud57e862	The readiness in 2020 is much better than when we joined the government in 2013. This reform has been right, and it is necessary. That doesn't mean it's not demanding. However, competence has increased, and the number of annual works has increased, with 2,800 annual works distributed throughout the districts. So that's the number. This means that the competence and level of knowledge — and also the quality, says the Riksadvokat — have increased. There are, of course, demands for increased budgets, but my clear starting point is that preparedness has become much better. We've learned a lot after 2013. It is a priority that police districts do, and we need to have confidence that they do it based on their local assumptions and challenges, and they are different in Norway.
ParlaMint-NO_2020-02-26.ana.ud57e872	‘The Minister for Health has answered a question from me about rehabilitation in the event of language problems, cf. written question No. 739 [[2019-2020]] What will the Council of State do to ensure that everyone in the whole country will receive good, free logoped help when they need it?’
