ParlaMint-NO_2020-05-06.ana.ud68e28	The representative of Arild Grande will present a proposal for a representative.
ParlaMint-NO_2020-05-06.ana.ud68e445	My question goes to the Minister of Defence. In its proposal for a long-term defence plan, the government writes: ‘Norway is facing a new security policy situation today and in the years ahead. Not since the end of the Cold War, Norway and our allies have faced such an extent of simultaneous security challenges — against the state, society and the individual.’ After reading the long-term plan presented, you can ask yourself if the government believes in what you have written. In detail, the government writes about how the security policy situation in our neighbourhood has greatly worsened since the previous long-term plan was presented in 2016. But what is the answer? Well, the answer is to postpone the completely basic necessary capacity increase in the Defense to after 2024. With the government's plan, the defense will be seen at a crash over the next four years. What is to be done is either all agreed upon or to be decided after 2024. Suggested promises in the first four-year period are really long, far from what was his defence chief's least ambitious alternative to the defence minister - option D, which would hardly cover the costs of phase-in the current plan. As the Center Party sees it, the plan must either be sent back to the government with the reluctance to come up with a plan for the first four-year period that is ambitious and meets the challenges we have, or – the second option – that the Storting takes control and responsibility and fills the plan with content that meets today's security challenges, which we see the government cannot. How can the Minister defend the delivery of a long-term plan to the Stortinget that does not respond in any way to the tragedy that Norway has today, which we are facing here and now?
ParlaMint-NO_2020-05-06.ana.ud68e462	I registered two questions. The first was if I believed in what we had written in the plan. The answer to that is yes. The second is a question that is either based on a misinterpretation, a misreading, of what it says, or that you don't want to see the development of defence in the context. We have put forward a plan that has an operational part of eight years. I have also previously been in discussion with the representative about this, where the representative has claimed that nothing happens in the first four years, because what happens in the first four years has already been adopted. That's a little bit of the point of providing an operational part of eight years, that's for better coherence. It takes time to build defense, and for the first four years we phase in P8, we complete the phase-in of F-35, we build base defense, we further develop land power in Finnmark, we further develop the logistics ship KNM ‘Maud’, which gives maritime defence better capabilities, we further develop the E-service, and we further develop cyber defence. So it's a red thread in the development of the defence that we're working on, and the long-term plan we've presented to the Stortinget now is a direct continuation of the initiative we started with when we came into government in 2013, which we also made concrete in the long-term plan in question from 2016. So when the representative does not find a commitment that is appropriate to the development of security policy we are now seeing – well, it must depend on the ability or willingness to read the plan we have presented. I look forward to good negotiations in the Grand Duchy on the plan we have put forward. But to snap your eyes again and say that nothing happens in the first four years – no, there's a little too much anxiety that I can take it constructively.
ParlaMint-NO_2020-05-06.ana.ud68e471	Perhaps the Minister of Defence should also right that I didn't say anything is happening, but there is no real increase in capacity. There are no ambitions for the first four-year period. As the head of defence said in the Fagmilitary Council, the level of ambition in the long-term plan is a political choice. He has presented four options, and he has clearly stated what is needed to defend the country on a proper level. And then it's up to the politicians to choose the level of preparedness and defence. The government's proposal is as far away from its Defense Manager's recommended option A as possible. If his or her least ambitious alternative, write the Defence Manager: ‘Restricted ability to defend the entire country’. With the government's plan, the level of defence will be well below that level again over the next four years. How can one read this in any other way than that the government has taken a political choice that the Norwegian defence should have under ‘limited’ the ability to defend the country in the coming years?
ParlaMint-NO_2020-05-06.ana.ud68e480	Firstly, we have achieved an important thing with the defence policy debate we have had in recent years, and that is that we have made a clear distinction between the responsibility of the defence manager and political responsibility. It is a political responsibility to adopt the defence we are going to have, the defence development we are going to have, how we are going to defend our country. It's an important recognition that we in this room say that there are political decisions that apply. Then we let go of the flakes that it wasn't dangerous a few years ago, so we didn't have to build a defense then. Everyone has now recognised that further development of the defence is important. We agree on the security situation. There's two important things about the plan and the situation we're in now. One is that the distinction between State security and social security is much more unclear now than it was before. That is why we are also clear in the plan that we are working in parallel with the social security message. We also see civil protection in the context of what kind of development we're going to have of Defense. We see the wider picture, and that is why we are building a good defence with the plan we have now put forward.
ParlaMint-NO_2020-05-06.ana.ud68e489	It opens for follow-up questions – first Tryful Battle Force Vedum.
ParlaMint-NO_2020-05-06.ana.ud68e494	Minister of Defence Frank Bakke-Jensen accuses the Center Party of being reluctant when we read the long-term plan. It's not malicious, it's defensive. For one of the most important tasks of the Storing and Government is to defend our country and also be willing to use resources on it. What's amazing, when we read the long-term plan, is that Norway should be perhaps the most unique country in the world, by having a modern army without a helicopter. There are no other modern armies in the world that don't have helicopters. Frank Bakke-Jensen and Right think it's a good idea for this long-range country that we should have the helicopters as far as possible away from our Army, in South Norway, and not use resources to equip our army, which is in a more assertive security policy situation than in the long run, with the necessary capabilities. Why won't Right and Frank Bakke-Jensen follow up on Stortinget's clear decision of 29 November 2017 that the Norwegian army should have helicopters?
ParlaMint-NO_2020-05-06.ana.ud68e499	It's a new example of Central Party wretchedness if that's how they read the plan that's now presented. The defense's Bell 412 helicopters have been used for a while for the defense. They have had a mission for justice, where they have been on standby for the police, and they have been on a temporary mission for health – with that capacity. Now we've made sure that the police get a dedicated civil capacity, i.e. that we release Bell 412 to the Defense. We're making sure there's civil capacity in East Finland, so we can free Bell 412 to the Defense. We take the decision on the roll-out decision that the special forces should have a counter-terrorism capacity using Bell 412 in earnest. That's why we're moving some of the machines down. At the same time: With the changes we have made and the rescue base with rescue helicopters we have decided to establish in Troms, we also get dedicated helicopter capacity with Bell 412 to the Army. There are three machines left in Inner Troms that can be used, as well as the residual capacity of the machines being moved to Back can also be used for the Army. I need to know that we also have forces at Rena, Telemark battalion, who also use helicopters sometimes.
ParlaMint-NO_2020-05-06.ana.ud68e506	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e511	Sometimes I wonder what advisers Right and Defence Minister Frank Bakke-Jensen is listening to. I think it has to be more on communications consultants and communication strategists than those who wear the uniform, who are supposed to defend our country, and who are responsible for having a well-functioning army – when he spends the time talking away that the government doesn't bet on helicopter capacity for the Army. Then there's another thing that's amazing in this plan. The size had a big discussion about tank capacity, that we should have a modern tank capacity, when we dealt with the land traffic and the land power proposition. The size was clearly decided to have a modern tank capacity. And the safety assessment contained in the long-term plan is crystal clear. It says: ‘Not since the end of the Cold War, Norway and our allies have faced such an extent of simultaneous security challenges’. Why not then prioritize the Right, Government and Government to follow up the Storting decision that we should have a modern tank capacity in the Norwegian army?
ParlaMint-NO_2020-05-06.ana.ud68e523	My top professional military adviser is the head of defense, Haakon Bruun-Hanssen. He's got a uniform. I listen carefully to him. If the representative, Mr. Schlagsvold Vedum, had listened to the Chief of Defense and read it to the Chief of Defence, among others. said in the trade-military council that he would introduce a dedicated troop transport capacity on the helicopter to the Army when he introduces a lighter mechanized brigade in the south, he would see that there is no difference between our timing and the timing of the defense chief. In the case of tanks, we have decided to introduce it from 2025. We've spent the time since we got into government, repairing the materials that were there, filling up the spare parts warehouses, so that what we have can roll. Then we have made a decision that we should introduce a new tank capacity from 2025. It's also a decision that's been followed up here in Stortinget. We have started that process, but it is a large investment programme, which includes both the choice of capacity and repurchase agreements and cooperation agreements with other countries. We're serious about that.
ParlaMint-NO_2020-05-06.ana.ud68e532	Christian Tybring-Gjedde – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e537	The new long-term plan has been given a fancy title: Willing to be prepared – ability to defend. It's often the less you deliver, the neater the title you put on the product; it's ABC in marketing. Never before has a long-term plan been so contrasted with the head of defence – as the Minister of Defence believes is his closest adviser, or claims it, at least – is necessary to defend Norway. Absolutely all areas, the Chief of Defense believes, require more strengthening. I'm just going to hand over the Chief of Defense's reinforcement to the Minister of Defense so he can read what it says. It is not a single point that the Minister of Defence is following up – not a single point. But the description of the threat picture is exactly the same. So the question is, does the Minister of Defense think that the head of defence is exaggerating his acquisition, or does the Minister of Defence think that the head of defence doesn't need what he claims he needs? It's interesting to know.
ParlaMint-NO_2020-05-06.ana.ud68e549	In the presentation of the long-term plan, also with the representative Tybring-Gjedde present, I have been committed to explaining that the chief of defence's professional military council extends to 2040. That is, the operational part of the long-term plan we have presented extends to 2028. It's not like the head of defense says that here's my option D, C, B or A, it's supposed to be over in 2024 – as it seems like Tybring-Gjedde's opinion is the reality. It's not like I'm not listening to the head of defense either. The head of defense received one of the most obvious and freest mandates that had been delivered for a long-term plan, according to the head of defence himself, because he got a bottom line, and then he was told to provide a trade-military advice that extends in time – synchronized with the fact that we had the Swedish Defence Research Institute working both on the security situation we had and how we had developed the defense so far. I think that's a very good advice, and I would like to encourage the representative Tybring-Gjedde to read the defence manager's comment on that long-term plan, where it's not like he's looking very dark at it. He has some points he is critical of, but at the same time he supports the plan in general.
ParlaMint-NO_2020-05-06.ana.ud68e558	Let's move on to the next main question.
ParlaMint-NO_2020-05-06.ana.ud68e563	My question goes to the Minister for Climate and Environment. The edge of the ice, or the edge of the ice, is what we call a particularly valuable and vulnerable area. Here, special conditions are created to make plankton and algae bloom. This is again food for fish, which is again food for the large marine mammals. Fish and birds come here to graze, and it is a crucial ecosystem that provides life in the Barents Sea – and life to the fish we eat. The ice edge zone is a physical zone that moves with the ice throughout the year. It is measurable, and it is something that the scientific community researches can define, as the Polar Institute and the Marine Research Institute have done. The question of where the ice is going is environmental science. It's not politics. It's like the question of gravity or the fact that the earth is round. It's science. It's been a few years since there was a political question about whether the earth was round or not. My question to the Council of State is then: Why has the government not listened to the relevant professional environments and set the limit for the ice edge zone where it actually goes, but instead made itself an entirely separate limit for where it goes? Governments also have to respond to other physical and natural boundaries that the government wants to define itself.
ParlaMint-NO_2020-05-06.ana.ud68e574	It's tempting to answer yes to that, but it's probably not quite like that. It's simply not that different physical phenomena always coincide with what's a so-called SVO, that's a very valuable area. That is what has been discussed here – not where the physical isna at all times is; we always have control over that. We have ice map, and it's just going in and out. No one disagrees in it, nor does the government. This has been the case for many years in various governments, and for which there is also disagreement in the Professional Forum, each has to draw the line of the so-called SVO. There it was, as I also said in the previous answer, that the Professional Forum had two different views about it. One sight was that one should draw the limit at 0.5 pst. Ice frequency, while the second view was that one should draw the limit at 30 pst. Ice frequency. An ice frequency of 30 pst. is the limit you've been set until now. There was the limit SV used in government when they defined the iceberg sona. We've chosen 15 pst. It's not because we have a different view than naturalists on where there's ice at any time, because we know that. But when the ice moves as much as it does, over many decades, a few choices have to be made about where one draws a limit. petroleum activity. That limit now goes further south than it has ever been. It goes significantly further south than the 2015 limit, it goes further south than the 2011 limit, and it provides a better protection of the ice edge son as a natural phenomenon, which I fully agree with the representative Haltbrecken that it is unlikely important to take care of. That's the answer, and then you'll see how the Storting deals with this. It is a big message that has been delivered. I hope it's possible to collect a multiple here, not only because a move south to give a safe protection, but also because one is very clear about what it means. It has been a problem in history that it has been unclear whether it means that one can have petroleum activity north of the border or not. Now there is no doubt that according to what the government has proposed. I hope that the Storting is united in it.
ParlaMint-NO_2020-05-06.ana.ud68e585	I record that the Council of State is trying to make where we have vulnerable and valuable areas or not, a political issue. I have to remind the Council of State that it is also a question for environmental science to define what is vulnerable and valuable. The Polar Institute wrote in a chronicle in February this year: «Scientific knowledge of the physical and biological processes in the ice edge zone suggests that the southern extent of the ice edge zone should be 0.5 per cent ice frequency for maximum ice spread.» They repeated this later, in April this year. They also provide environmental reasons why the ice-cream zone goes right where it goes. Therefore, it is surprising that the government in the management plan makes a proposal for a 15 pst. limit. I want to ask the Council of State to provide the environmental reasons he has for why we draw the limit at 15 pst. instead of another number.
ParlaMint-NO_2020-05-06.ana.ud68e597	My environmental reason for dragging the 15 pst limit. is that there is a stronger emphasis on the environment than today. It provides protection from petroleum activity in a greater proportion of the ice-cream zone than at present. There are many of the vulnerable species that provide greater protection than they are today. I think that's a good environmental foundation, and that's a clear improvement. I have to admit that I am a little surprised that more people here, especially the representative from SV, are so critical of it. There is, of course, progress for the environment in relation to both the 2011 limit, the 2015 limit and not least the plan that the red-green government presented to the Stortinget in 2013, one of which said that yes, we have an ice border, and yes, we can operate with petroleum activity north of her. It did not make any sense, and that is one of the reasons why this has been such a big political debate, and that there has been so much uncertainty about that issue. Now we land a certainty about this, we weigh the environment heavier, and we take more foreview. It is quite okay to think that one should have taken even more foreview and gone further south, but I think this is a progress for the environment.
ParlaMint-NO_2020-05-06.ana.ud68e604	It opens for follow-up questions – Lars Haltbrecken.
ParlaMint-NO_2020-05-06.ana.ud68e609	I record that the Council of State is unable to provide environmental reasons for drawing the ice edge limit of 15 pst. It is permissible to say that more than me was somewhat surprised that the government was able to state that since 2015 they have established an ice limit that Stortinget would not accept when this proposal was submitted in 2015. Then there was a clear message from Stortinget that the message, including the so-called update of the ice edge, was not accepted, and that the government had to do the job again. The message was not even attached to the protocol; it was sent back to the government. The public debate at the time was about the fact that the new proposal on ice was not technically justified. It was motivated by giving the oil industry access to new areas. What basis does the government believe it has had to despite the Storting's clear message when, since 2015, it has asked the administration to govern after an ice limit that the Stortinge refused to accept? And is the other decision where the government has ignored the Stortinge's clear decision?
ParlaMint-NO_2020-05-06.ana.ud68e618	The representative has also asked me a written question about this. I think the answer should be on the way about now, but I can take the short version: In 2011, a case was brought before the Storting where one defined an ice edge limit and said that one should not have petroleum activity there. In 2013, the same government, the red-green government, sent a message to the Stortinget where they said yes, that limit is still there, but one can have petroleum activity in the whole area. It created a significant insecurity, to say it very carefully. Later, a big message was submitted in 2015, where one stayed at the same ice frequency, but in the meantime the ice had gone northward, and then the border also went northwards. In any case, what has happened in the meantime is that licences have been granted to oil companies north of the 2011 border. It means one of two things: either it doesn't apply, or it never has been a limit. It is not possible to think of a third option. I think whatever we're going to be happy that we're now getting a very clear limit. There's no doubt about where she's going. There shall be no petroleum activity north of it and it shall be south of both the 2011 and 2015 limits. I think it's a progress for the environment.
ParlaMint-NO_2020-05-06.ana.ud68e629	Let's move on to the next main question.
ParlaMint-NO_2020-05-06.ana.ud68e634	On 8 May we shall celebrate the 75th anniversary of the release of Norway, and we shall honor our veterans, 100,000 Norwegian women and men who have participated in operations in 40 different countries. As weapon systems are becoming increasingly advanced, a good defense depends entirely on us taking care of our personnel, those who work for the Defense. We have now received a long-term plan, and there have been several questions in the Chamber where the Minister of Defence has said that there has been misreading and misreading of the plan. The fact is, for the first time since we started with long-term planning in 1990, we have received an eight-year plan, not a four-year plan. That says the Minister of Defense is because he wants to think in the long term. But it can't be that hard to hire more people now. According to the defense plan we've been given, 500 are to be hired for the next four-year period, 2,200 are coming later. The Chief of Defense is very clear in his sentence. He says that the volume of personnel is too low, and that the operational ability to solve the defence tasks collectively is less good. Why does the Minister of Defence really need eight years to hire about 3,000 extras in the Defence Department? Why can't we start that job now? There's no need for planning for that. What is needed is for the Minister of Defence to have a say in this government. The fact that he has presented this eight-year plan clearly shows that he has to push the targets rather than act.
ParlaMint-NO_2020-05-06.ana.ud68e644	In his comment on the long-term plan, the head of defence has a great deal of concern. It is that a plan is adopted in the Storting that is not in balance in personnel, capacity and financial terms. We have presented a plan that we believe is in balance with personnel, capacity and economics. Why can't the Minister of Defense hire 3,000 now? That's a reason why we're using long-term planning. We're phased in new capacities. We have implemented major personnel reforms in the Defence still in progress. We're putting forward a reservation system where we use the 10,000 reserves we have to a much greater extent, in addition to the 40,000 we have in Homeland. We have a education reform that has just been introduced, where the first ones leave the War School for next year. There's a reason why we're trying to do this on a planned basis. Then I register that there is a debate between the head of defence and employee organisations whether there is enough staff, what we have presented here. We mean it is. But there is also a debate about wanting to draw things closer. It will color the human image differently. We believe that we have presented a long-term plan that balances personnel, capacity and finances. I also record that the head of defence agrees with me that is important.
ParlaMint-NO_2020-05-06.ana.ud68e653	We're all concerned that it has to be balanced. That's why we need more money for the Defense if we're going to hire more people. One of the bravest things to do as a politician is to promise something on behalf of those who come after. It reminds me sometimes of the climate debate we have – when we are unable to achieve any goals on our guard, we are making even more ambitious goals for the future. There's no need for long planning to hire more people in the Defense Department. What's needed is more money on the state budget for 2021. Will the Minister of Defense be in favour of us demanding, more money here in Stortinget, to hire more people in the 2021 Defense Department? It's clearly in line with what the head of defense says, and it will lead to better operational capability now.
ParlaMint-NO_2020-05-06.ana.ud68e660	This is also a misinterpretation. When we've submitted an operational plan of eight years, it's not about leaving anything to anyone else. We do not intend to let anyone else manage the Ministry of Defence in the years to come. We have plans for the Right and this government to do that. I have no plans to stand in an oral Question Time and negotiate the long-term plan. I have great respect for the fact that we have now handed it over to Stortinget. It's in the committee, and we're going to work closely with the committee on the issues that come up, on the numbers that you have there. But, as I said, we're making big changes to the Defense now. We have moved around 600 posts from administrative posts to operational posts to increase operational performance. We're extending protection for a good part in order to have better skills in battalions. We're pulling the recruiting school out of the battalions to keep the battalions operational on a higher level all the time. We're making major changes to the defense personnel that increase operational capabilities.
ParlaMint-NO_2020-05-06.ana.ud68e669	It opens for follow-up questions – first Cecilie Myrseth.
ParlaMint-NO_2020-05-06.ana.ud68e674	The size has repeatedly asked for dedicated helicopters to the Army. Governments have said that we don't need dedicated helicopters to the Army. But, as we have also heard here today, the defence minister's chief professional counsellor has said that we need our own dedicated helicopters for the Army. So my question is – since the Council of State has now put forward a proposal for a long-term plan: why haven't you listened to the head of defense regarding helicopter?
ParlaMint-NO_2020-05-06.ana.ud68e679	We have listened to the Chief of Defense, and the Chief of Defense says that dedicated personnel transport helicopters for the Army need him at a later stage when he establishes a light brigade in the East. Then, in order to release the capacity of the defense, we've got justice to stand still with a civilian capacity to the police, so the defense helicopters will not be on that alert. We have asked Health Nord quietly with a civil helicopter capacity, so that the defense will not stand in that readiness in East Finland. That makes us free up capacity. We have decided to establish a rescue helicopter base in Tromsø, which covers the ‘team’ that has been previously identified. All of this means that the defence helicopters are released and given better capacity. The three machines that remain in Inner Troms are dedicated to the Army, to the small missions. But we have to distinguish between the big troop transport capacities and the kind of mission that Bell 412 does, and Bell 412 are the three machines, in Inner Troms, that the Army can use.
ParlaMint-NO_2020-05-06.ana.ud68e686	Cecilie Myrseth – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e691	Now we talk a lot about total preparedness. I'm asking if the dedicated helicopters to the Army, and you've already – to great criticism – moved most of the helicopters that were to be used for that very purpose. Then someone has had to stay because you see that the readiness needs it. So I ask again, what is the State Council Hill-Jensen knows that the defense chief obviously has not known, since he has suggested that we need dedicated helicopters to the Army?
ParlaMint-NO_2020-05-06.ana.ud68e696	The capacity that Bell 412 stands for, that is, small helicopters that can move a limited number of people out, we are now releasing to the Army in the north – by introducing a civil capacity for Health North. We set up a rescue base with rescue helicopters, and the police in North Norway get civilian capacity, so they don't use Bell 412. Then the Army gets three machines standing there north that they can use for their benefit. Then we moved 15 Bell 412 down to Back to train up, rehearse, a counter-terror capacity with the special forces. It's a requirement that's been there ever since the Gjørv Commission. Then it was discovered that there is something we are missing. It's a national resource. So this is not just for the sewing, which I record in some reading posts in the north. No, this is a national resource to ensure that we are better prepared for terrorist attacks in the future.
ParlaMint-NO_2020-05-06.ana.ud68e703	Morten Wold – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e708	The long-term defence plan is important to all of us, and in this connection it can be pointed out that a number of claims have been made for a long time about the suitability of Evenes as an aircraft base and the consequences of the closure of Andeya. In the context of the presentation of the proposal for a new long-term plan, the issues are being re-updated. The criticisms of Evenes are of the opinion that the economic calculations on which the establishment was based are not correct. Furthermore, reference is made to challenges related, inter alia, to: aeroplane operating surfaces, volume and weather conditions. A broad majority in the Grand Duchy supported the decision to lay down Andy Island as base. After the decision was taken, we have seen challenges related to the establishment of Evenes. Problems have arisen that have resulted in the transfer of a planned hangar and thus higher costs. For the Storting to make the right decisions, we depend on having correct and up-to-date information. My question therefore becomes: Does the Council of State continue to believe that the decision to set up Evenes as an operational battle base has been taken on a proper basis, has a proper cost and time frame as well as previously stated operational benefits?
ParlaMint-NO_2020-05-06.ana.ud68e716	Yeah, I mean that, actually. The main argument to co-locate on Evenes was that it would be 200 million. kr more expensive to operate two bases per year. Then the security situation has evolved in retrospect so that we have to look with new eyes on base defense. It will significantly increase that difference in costs, as we have to secure Evenes in another way, which we have to secure Ørland in another way now. So the arguments for combining MPA activity and QRA activity on Evenes stand. Then there have been challenges with the placement of the hangar. This is the kind of challenge faced by large projects, but no information has been obtained to suggest that the problems are so great that the decision to co-locate on Evenes should be reconsidered. Also, the concept selection investigation that we were made suggests that the plans that were put into place, with what you know, are good and within what is expected of that kind of project.
ParlaMint-NO_2020-05-06.ana.ud68e723	Let's move on to the last main question.
ParlaMint-NO_2020-05-06.ana.ud68e728	In recent years, around 800 lambs and sheep have been killed on the grazing of predators, mainly wolves, in the north-east valley. The north-eastern valley is known as a grazing priority area. Now the year's license hunt is about to end. The status today of the counties Hedmark, Oslo, Akershus and Eastfold, where it is to be common twelve animals, is that only half of the wolves are killed. In Oppland hunters have shot two of a quota of five wolves. A total of 17 wolves have been authorised outside the wolf zone in these areas. The state's natural supervision admits that it will be difficult to fill the quota when the snow disappears and the hunters can no longer take advantage of track snow. I think we all get that. There is something raging wrong with the wolf management and predatory policy when one is unable to get within the population defined by the Storting. In the year that passed, six young people were registered in Helnorse territory, against a target of three. When the wolf population in the wolf zone is so dense, there are several wolves outside, as in pasture-prioritised areas. We all see what this means. We are facing a summer of great loss of grazing animals as a result of a failed predatory policy, animals that will suffer great suffering as a result of the herrings of wolves and predators, and farmers who will experience the livelihood threatened and, not least, suffer great mental stress when it comes to sanking animals. Now when we go into a summer where half of the wolves that should have been taken out are not taken out, you don't have to be clear-sighted to see what this summer is like. Has the Council of State, Rotevatn, at all, considered the issue? And in that case, what is the plan and response of the Council of State to the farmers who are now facing this disaster? Does the Council of State feel any discomfort in this situation, or is this in line with what the Council of State thinks it should be?
ParlaMint-NO_2020-05-06.ana.ud68e739	I get so many questions and issues about predators in Stortinget, including two yesterday, that I can assure the representative that I have had time to think through the problem up to several times. There's reason to say first of all that for the individual gardener who experiences loss of grazing animals, it's domestic or sheep, for predators, it's obviously hard, and I have the greatest sympathy and understanding that it's imperative. At the same time it is worth noting the following: The wallpaper of sheep to wolf last year was the lowest in ten years. All in all, we have halved the loss of sheep to predators because the Senter Party was responsible for the policy of the red-green government, and there is more sheep on pasture than it was before – included in the wolf'sona. This does not mean that the individual loss situation of a garden user is not serious. It always is, but in general I think we can manage this in a good way that takes care of the demanding double care that Stortinget wants us to have, both predators in Norway and grazing animals. In the case of a specific year-on-year hunt, there is reason to say that there is no guarantee that a given field will be allowed to fall into a licence case. This can often be demanding work. But it's not that you haven't managed to trap as much as the quota is, that just isn't possible. This could also mean that the quota is larger than the number of wolves that actually behave in the areas in question. It could also be a reason. But at least it's so that the last three weeks are shot three wolves. By 2020 there are so far twelve dead wolves registered in Norway. In the same period in 2019, seven were registered. It is also true that from the beginning of the license fall in winter to now, 14 dead wolves have been registered. 12 of them are shot under license, 14 are shot within the wolf's son, 8 are shot outside the wolf's son. So I'm not worried that we're not going to be able to score, but of course we can't guarantee that there's actually a wolf where a believe there is a wolf.
ParlaMint-NO_2020-05-06.ana.ud68e750	My question was about the situation in grazing priority areas. But yesterday I got a plug from 19 municipalities in the wolf zone, a plug that was a clear call for action, which describes quite well what it is like to sit at the other end of the government's wolf policy. The appeal has clear demands that the 2016 wolf settlement be followed up. The list of decisions in this area which are not followed up or which end up in a bureaucratic mill is beginning to be long, but in order to select one theme: In 2016, Stortinget adopted an independent investigation into the impact of the wolf population within the wolf zone. In good Norwegian: How is life in the son? I can't see that this has been followed up. Instead, the government has been stuck in a track of interpretation and practice that increases the conflict line in the predatory animal case every year, leading to an increasing number of wolves challenging grazing animals, district industries and living in increasingly predatory areas. The question is, when will the Council of State take these 19 municipalities seriously and start working on identifying what it actually is like for the people who are going to live in the zone and who have to live with government policies and an ever-growing wolf population?
ParlaMint-NO_2020-05-06.ana.ud68e757	I don't think there's a country in the world that has a larger population than Norway has a wolf population in Norway. We spend a lot of our resources on this -- we continuously monitor and have a lot of knowledge, in fact, to the extent that the Central Party in the Storting yesterday complains that we spend too much money on this. It is important that we have an overview, among other things. in order to have a good dialogue with those involved, and those who experience predators closely on the body. Then I understand that for those who drive the garden and have sheep grazing within the wolf's son as the Stortinget has decided, it is demanding. For what Stortinget has said is that we should have a different policy within and outside the wolf's son. That means there's a lower threshold to trap wolves outside and higher inside. This also means that many of the gardeners had to convert to e.g. to use more inward leggings. Of course, it is also supported. But in sum, there's more sheep grazing in Norway now than it was before. There's also more sheep on the graze than there was before inside the wolf's son. What I'm thinking is, as the National Audit Office has also said clearly, that with the policy that the government is pursuing, we are able to carry out what the Stortinget has ordered, and the two objectives we have in the field of predatory policy.
ParlaMint-NO_2020-05-06.ana.ud68e766	It opens for follow-up questions – first Emilie Enger Mehl.
ParlaMint-NO_2020-05-06.ana.ud68e771	The wolf that was moved by helicopter last autumn has now established itself with a husband in Deisjørviret, and it is partly located outside the wolf zone, in Stor-Elvdal and Rendalen municipalities. It's in grazing priority areas, where it shouldn't be wolves, and where there's already a high pressure from wolves. If the wolf stays there, it will be able to be shot on a license hunt outside the wolf zone if it is outside the wolf zone during the hunt, unless it is totally satisfied by the department. And if it's totally satisfied in Deisjørviret, it will mean an expansion of the wolf zone that is in practice contrary to the predatory game settlement. If necessary, consideration should be given to removing the wolf if it is to be completely peaceful. The question is: can the Council of State guarantee that the wolf will not receive a special protection and a rescue in the Deisjørreviret, which will in practice mean an extension of the wolf zone?
ParlaMint-NO_2020-05-06.ana.ud68e778	First of all, there's reason to be glad that we've now got a genetically important individual into Norway, who's been resting around for a while, but now has settled down with a partner. It's positive, for the reason that it helps to follow up the 2011 Storting Robbery Agreement, when we were asked to just look at genetically important individuals because there's so much inbreeding in the Norwegian wolf tribe. I also mean that those who think we should have had fewer wolves, should actually be too, because the more inbred the tribe is, the more individuals need one in order to have a viable tribe. So I really don't fully understand this resistance to it -- and it's also following up the predatory settlement. When it comes to the question of how the wolf has now settled and where it is, the answer is that we don't know exactly what they're benefiting from, whether it's inside, outside, partly inside or partly outside the wolf's son. That is of course an important question, and we will have to come back to that.
ParlaMint-NO_2020-05-06.ana.ud68e785	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e790	It is not only wolf in grazing priority areas that is a major challenge, but also populations of yorks and bears in grazing priority areas, among others. in Trøndelag – in Namskogan, Grong, Tidal, Meråker, Verdal, Levanger, so to speak, the whole northern part of Trøndelag actually. And the government says seawater that in pasture-priority areas grazing animals should have a advantage. The problem is that it doesn't happen. It is then up to individuals, businesses and communities to take up the burden of today’s predatory policy, and they feel that they are being given a good talk. In parts of the Trøndelag, farmers now get simply grazed in this season – in pasture-prioritised areas! This is contrary to what the Great One has said. The rapporteur in Grong has addressed the department and received a reply from the department that work is being done along different tracks to ensure livestock management, and that the department will contact the rapporteurs well in advance of the grazing season. Now the grazing season starts these days, so what contact has the ministry made, and what tracks will they pursue in this matter?
ParlaMint-NO_2020-05-06.ana.ud68e800	Even if last year we had historically low losses of grazing animals to predators and also lower losses to bears than before, it is right, as the representative Arnstad says, that especially in Trøndelag, we have had a situation that has been very demanding for many. We have also debated that a number of times in Stortinget. What has been demanding about this situation are the following: The Storting has decided that we should have 13 year old coal with bear cubs – that is the goal. We're at seven. If we're going to be able to reach the goal set by Stortinget, we have to do a job. That job has to be done by the bear guts – it's the ones that give birth to the bear cubs. This means that there is a relatively high threshold in the current situation to trap traps. It's not excluded, but it's a pretty high threshold to follow up what Size has said. At the same time, we have to manage the situation in Trøndelag in a good way. That's right, we're working along several tracks to get to it. I have nothing new to report about this here now, but I can confirm that we are working on the matter.
ParlaMint-NO_2020-05-06.ana.ud68e807	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e812	So if there's a bear bin, that doesn't mean there's a lot of pasture-priority areas anyway. Then it's the binna that's served, and then grazing priority areas are not as important as the government else uses to say that they are. However, I have to ask the Council of State one more time, because it was his own political adviser who wrote this letter. There the consultant states quite explicitly that the department will contact the rapporteurs in Trøndelag in good time before the grazing season. You're letting sheep out on the graze now. So I just wonder if the department has contacted the rapporteurs. Will the Ministry contact the rapporteurs, and when will this happen in the event?
