ParlaMint-NO_2020-03-04.ana.ud555e28	The representative, Arne Nävra, will put forward a proposal for a representative.
ParlaMint-NO_2020-03-04.ana.ud555e493	In Dagbladet, the Minister of Justice and I have discussed a little bit about the problems of the near-police reform is a reputation or not. The councils challenge me to give an example of the agreements we made in Stortinget, were broken, and I thought to do so. Now it is also apparent from the questions raised by the Central Party that the near-police reform has undoubtedly become austerity reform. It would certainly not be – clearly underlined by those behind the conciliation. A promise to the inhabitants, that we gave to everyone, is broken, bit by bit. I assume that the Council of State is aware of the contents of that promise. And not least, the Storting has agreed that all remaining service locations should be strengthened. This will not be followed up by the government of the day. The seven predecessors of the Minister of Justice have not been able to answer any of these questions. So I ask the Minister of Justice if she can explain in concrete and precise terms the cause of the breaches of local processes, of funding, and why it is so wise to do what the Storting has said when it comes to strengthening the remaining service locations.
ParlaMint-NO_2020-03-04.ana.ud555e500	We disagree with the premise for the question, and then it will be very difficult to give the representative an answer that the representative is satisfied with. So I don't think the deal is broken, I think the police have been given a lot of resources in recent years. I believe that when we see that the number of employees has gone up by 2,800 – of which 1,700 are police officers, of which 1,500 are in the districts – that means that we have done something right. Then I fully agree – and I have also said that – that no reform is perfect, and that we can certainly work on strengthening the remaining office. It is that the service of the inhabitants is strengthened, and it shows the number related to children very well. These issues that have increased by 160 pst. are not children living in cities. These are children who live all over the country, in the countryside and in the city. The cases are now being investigated and the attackers are now being convicted. That's an important answer. But we're going to deliver a police report, we're going to explain to the Storting, and we're going to come back and have a good debate on these things.
ParlaMint-NO_2020-03-04.ana.ud555e509	Lene Vågslid – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e514	I notice that the Council of State is disunity in the premise, because it is obvious that the government has left the premise, which was agreed, which was agreed by us in the Stortinget on a near-police reform, and which the country has certainly not seen the turn of. If one thinks that the services for people locally have improved – then I think one must have been very much inside the Ministry of Justice, to mean it. It's just to talk to the first trust officer in the police, who has said this for a long time, but now also the police officers in the country take the magazine from their mouths. I'm experiencing a state council that almost cares about the need for increased capacity in the police districts. Inland police districts, the largest police district geographically in Norway, have to cut several million. There's going to be a problem with local preparedness. Will the Minister of Justice then explain how a concrete – according to the prime minister of justice who assesses it – has strengthened the local police?
ParlaMint-NO_2020-03-04.ana.ud555e521	So I have repeatedly explained the fact in the matter to the representative. I understand that it disturbs the story, but the fact is more money and more policemen. So there's more capacity, there's more quality, and there's more competence. That means that very much in this reform is going very well and going in the right direction. Are we on target? No, no, no. Can improvements be made? Yeah, sure. We're going to get back to that. But the closest thing to call it, as the Center Party did, is that you have ‘raved’ police Norway – then I believe that you have not followed what has happened since 22 July 2011. Then we have not followed the methodology and the challenge we face in the crime scene. You just haven't followed up on what's going on. What I can answer for is what we've done in our years, and it's been about strengthening the police. I also feel that the vast majority of people I talk to in the police are saying. But there are weaknesses, and we have to take that seriously, and I do.
ParlaMint-NO_2020-03-04.ana.ud555e528	Let's move on to the next main question.
ParlaMint-NO_2020-03-04.ana.ud555e533	It is a refugee crisis we now see in Europe and Greece – and a humanitarian crisis. The situation in Greece is disastrous. There are dangerous conflicts between the local population and Greek authorities because they want to place even more refugees on the islands. There is a conflict between the local population and the refugees, and the right-hand extremes rather gasoline on the fire. In the wake of major policy, refugees are now in a war zone. Many of them are children. Several thousand are alone. The council says we're going to help them where they are now. Yeah, what about the Moria camp where they're sitting? There is now attacking the right extreme. There are no help organisations coming in. Health care is over. The small offer to young people who sit there alone, all the way down to the age of four, is gone. The roads are blocked. We are in the process of reaching a bottom-up level of what the European authorities are doing to prevent some refugees from entering Europe. The situation in Moria cannot continue. The kids have to get out. Nothing of what we propose is going to solve everything, but Norway can do anything. We can evacuate children who are on their own, out of this hell. I know that the Council of State is going to attend an important meeting today. She's probably already almost black that she's not going to do anything. But this isn't going to solve itself. The humanitarian disaster for the children sitting alone will not be resolved until several European countries do as Finland, Germany and France do and take some of these children out of the camps. Will the Council of States put this on the table in contact with the other European leaders and perhaps get a little relief for some of these children?
ParlaMint-NO_2020-03-04.ana.ud555e546	I am very much in agreement with the terrible description given by the representative of the situation in the refugee camp, but I do not agree with the solution to the problem. Do we want to help someone? We'll help as much as we can, and then we'll help them where they are. Bringing up someone makes a lot of people want to be back. We need to help Greece cope with the refugee situation, and that is my starting point for the meeting in the EU today. We have to get common solutions in place. We can help many more where they are, instead of picking up someone to Norway.
ParlaMint-NO_2020-03-04.ana.ud555e551	There is no contradiction between helping more people where they are and evacuating some of the most vulnerable children, who are real refugees, who have been alone for several years and who now do not even have health care or general security. They haven't had school for years. Unfortunately, Greek authorities are unable to provide security in these areas. Norway has provided Greece with considerable financial resources over several years. We have got a lot of that money back. I have sailed down there and seen. It's an inconvenient place to be. Then my question is: how will the Council of State now ensure that these children get a minimum of security, schooling and health care where they are, when the Greek authorities are unable to prevent the right-wing extremities from attacking them, as they are doing now?
ParlaMint-NO_2020-03-04.ana.ud555e556	So Norway is contributing. We contribute humanitarianly – I have explained this – in Syria, Greece and through the UN humanitarian fund. And of course, we're going to keep doing that. We need to help Greece cope with an entirely unsustainable refugee situation, but the answer is not to open Norwegian borders. The answer is not to signal to international gangs, as we've seen in the last few days have said that they take half the price for people to put their lives on and put themselves in a bottomless debt, by bringing refugees to Greece, and then brings them into a completely unfamiliar situation. The signal power is quite important. If you look at the signal that was given from Turkey that they opened the borders, or the signal we saw in the media yesterday that there were boats ready to bring refugees over, then the refugees are looking for these places. They want to move to Europe, they want a better future. That is quite understandable, but it is not what the asylum institution is supposed to embrace. That is why we need to work with the EU to find lasting and good solutions.
ParlaMint-NO_2020-03-04.ana.ud555e563	It opens up to follow-up questions – first the representative Karin Andersen.
ParlaMint-NO_2020-03-04.ana.ud555e569	I have to say that I'm actually getting quite angry to hear the Council of State stand and talk like there's someone who has suggested that you open all the borders, as if Greece is able to handle this, as if the children who have been sitting in these camps for years don't have the right to help and a human life. We can do something. Now the government sits and looks at, two hands, hiding behind other European leaders and waiting for the whole of Europe to agree. They're not going to be. There are right-wing regimes in several countries in Europe that are going to say no either, whether thousands of children die in the camps in Greece, or whether they die at the border between Turkey and Greece. Yes, it's a big political game, yes, many are now playing with the refugees, but Norway can help some of the children, and I react very strongly to the government not wanting to do what they can do, namely evacuate some children. Everything else we have very little power over.
ParlaMint-NO_2020-03-04.ana.ud555e576	I am quite provoked that the representative gives the impression that Norway is not doing anything. We're among the countries that do the most. The question is what is SV's answer? Who are we going to help? What children are to be brought out, and how many? And how long does that last? It sounds awfully simple, but this situation is not simple and does not invite for simple solutions either. So we've contributed 10 billion. kr over four years to Syria. We contributed 350 million. kr only last week to Greece. We've contributed 77 million. kr to the UN. I guess Andersen's pretty tired of numbers, but the figures are about money for humanitarian contributions to help people in need. That's what this is all about. However, we need to find solutions other than bringing someone to Norway, because it will not contribute to a solution. We have to have completely different answers to this very complicated conflict. It's an inconspicuous situation, and we have to do what we can. Then we'll help most of them where they are now.
ParlaMint-NO_2020-03-04.ana.ud555e586	No one has said that this is going to solve everything. There is no one who has said that there is one solution. There's a lot of hard things that need to be done to solve this. But what we can do is help some children who are in extreme distress, who are alone, and who have been so long. Just before Christmas, when Norway got back 600 million. With regard to the EEA funds, SV proposed to set them aside for humanitarian aid in Greece, in refugee camps and in the neighbourhoods to make it viable there. Then the government and the majority voted it down. So it's not in SV when it comes to helping someone in the neighbourhoods, but now the neighbourhoods are inconvenient for children who are alone on the run, and Norway can help someone. No one has said that it solves everything, but it solves the situation for some children. And I'm at least in the policy of trying to help some of those who have the most difficulty, sail if I don't think I can always help everyone.
ParlaMint-NO_2020-03-04.ana.ud555e593	I just repeat: we help many, not just some, we help a lot. Norway contributes a lot per capita — it should be lacking, we are a rich country. We're going to help, we're going to spend our resources on humanitarian efforts and on helping Greece to deal with the situation they're in. We do that, and we're still going to do that. What we disagree about is whether we should pick up someone from Norway. I'm saying it doesn't solve the problem, that there have to be other solutions. Then we'll get asylum seekers to Norway. We have a quota refugee program that we're following up on. So we're doing our part of the world -- it's just supposed to be missing -- and we're going to keep doing that. But this is not the answer to the conflict we see, and the inconclusive situation that we have.
ParlaMint-NO_2020-03-04.ana.ud555e603	Let's move on to the next main question.
ParlaMint-NO_2020-03-04.ana.ud555e608	My question goes to the Minister of Justice. Today, 'Petter in prison' starts on TV 2. Is punishment working? Are they being rehabilitated? This is what Petter asks about in a big case in the newspaper today. That crime prevention and rehabilitation during the atoning period are no longer prioritised by the right-wing government, I think I'm wasting valuable time. Today’s right-wing policy and lack of interest in Norwegian criminal care, as well as reducing open prisons and implementing a prison cut policy, are very negative and give cause for concern. Bet on a soning content is a very central part of the punishment, and it is also very important for those on the outside of the prison walls. Those who are victims of crime, in fact, seem to be doing what we can to punish and rehabilitate criminals. Those who punish in prison should one day become our neighbour. Under Erna Solberg's eight Justice Ministers, a number of open-ended prisons have been laid down. The budget is a troupe, and my claim is that one builds down Norwegian criminal custody, as we know it. Programme activities that we know to function, such as a sense of urgency course, ‘Daddy in prison’, ‘Ruprogramm’, etc., will be reduced. My question to the Minister of Justice is: What will the eighth Minister of Justice do to make us not slow, but probably move us back to a time when water and bread were in focus? And what will the Minister of Justice do in concrete terms to reverse the negative developments we see in Norwegian prison and care?
ParlaMint-NO_2020-03-04.ana.ud555e623	I understand that my invitation to call me ‘number eight’ has really won a resound at the Workers’ Party. I disagree – not unexpectedly – with the representative’s description of the situation. I dare say that we probably have among the best, not to say the best, criminal care in the world. I think you should travel far to find the equivalent. Of course, that doesn't mean that we can't always get better, but during this government's period, the number in prison queues has fallen dramatically. We have much higher penalties than the Workers' Party had in its eight red-green years. Criminal services have been strengthened by a budget of 1.2 billion. kr since 2013. Activity per prison day has increased. Then it is true that there have been changes in the programme activity, but it needs to be seen in a context. It might be a pretty small part of this. We've strengthened sleep-stressing programs, we've set up pathfinder programs – so that's what happens. I look forward to Petter outlying program. I had hoped to be at the premiere today, but I'm going to Brussels instead. We can probably get good insights into improvements further, but my starting point is that we have a solid criminal code in Norway. We have, and we're going to have. But it's punishment, and it's a situation you can avoid if you don't commit a criminal act.
ParlaMint-NO_2020-03-04.ana.ud555e638	Yeah, that's a good tip. It was also a long list of boasts, but I don't get any answers to what I'm asking for, because once again in the Labour Party we ask about the content of soning, about rehabilitation – it's that we want one to be less criminal when one comes out than when one comes in, hopefully. There is reason for concern. The councils have had seven predecessors, I should like to think she wasn't number eight, believe me, but since the council is, I have a little hope that maybe this council will care more about prison content, that we should do more to rehabilitate deployment. We are also waiting for a big message in this area. State Council will take a look at St.meld. No 37 for 2007-2008, which Knut Storberget delivered? Will the Council of State ensure that the message coming to the Storting does something about the situation, which is unworthy in very many of the country's prisons?
ParlaMint-NO_2020-03-04.ana.ud555e643	Once again, I have to say that the description does not fit the situation. Prison queues go down, followed by rehabilitation, too. We are now opening a new prison in Agder in June – a new, modern, activity-based prison. So the activity per prison day has increased, not decreased. It's very good, considering the rehabilitation of the prisoner. So that's how low-risk prison sites are shut down. That's because this government has contributed to a lot more sons at home and can continue in work, in education, just in terms of rehabilitation. Then we need less space on low security than we had before, and then we need more security. I've also been to Bjørgvin and I've seen the places made for young people between 15 and 18 years of age. It's very resource-intensive, but very right to do, to put in place good deals for the younger ones who have committed very serious crime.
ParlaMint-NO_2020-03-04.ana.ud555e648	There will be follow-up questions – first Lene Wagslid.
ParlaMint-NO_2020-03-04.ana.ud555e653	Let me stress that there is a lot of good work being done in the Norwegian criminal justice system by those who work there. But the concerns we get from all those added and trusted, it doesn't seem to me to be a bit of a government. I don't get any answers to my questions, so now I'm going to try to be very specific, because the council answers me with quantity when I ask qualitative questions. If a person thinks it's important to work and rehabilitation when a son, we know that in Oslo prison only half of them are there, who have a job offer or education. This means that they're sitting on the cell or doing very little sensible things. Do the councils think it would be good for social security, for all of us on the outside of the walls, if we strengthened the possibility of inside prison for rehabilitation, work and meaningful activity, or does the council believe that being kept in a prison itself makes one think so carefully that when one comes out again, one does not do anything more criminal?
ParlaMint-NO_2020-03-04.ana.ud555e659	I have registered that the Labour Party has visited Oslo prison. Out of it it came that it was now more dangerous to have prisoners as a neighbour than before. Fortunately, the Workers' Party has no coverage to mean that. It's that activity is good, it's that education and work are good, and it's that more than ever now sons in a way that allows them to continue in activity, in education. It is also the case that the level of activity in prisons has increased. There have been changes in the programmes – that is quite right – but they are part of a larger debate. So I just have to repeat: we can constantly improve. I'd like to listen to good advice. If they come from a former Minister of Justice from the Labour Party, I must listen to them too.
ParlaMint-NO_2020-03-04.ana.ud555e666	Let's move on to the next main question.
ParlaMint-NO_2020-03-04.ana.ud555e671	This issue is also addressed to the Minister of Justice, and this is a point on the Granavolden platform, which is about a one-off solution for long-term, unrecoverable elderly asylum seekers. This was a compromise that had been negotiated, and it has also been broken in retrospect and has gone a little beyond what was really at the original point of the Granavolden platform. The whole reason why those who want such a one-off solution, or such an amnesty, will have it in place, is that these asylum seekers cannot be returned with coercion and that a different solution should be found. That's the argument. It is then that, in both the Granavolden platform and in all debates around this, this should be limited to ineligible asylum seekers. It has now been sent to the hearing, and what is stated in the consultation proposal is that the system should not apply to those who have already been returned. It would then sound as if it would apply to returnables that have not yet been returned. To the same extent, the Ministry was also able to issue an instruction to stop returns that could have been covered by the scheme. All that time the system should not include those that can be returned, it must be the greatest contradiction in any case I have heard of: stopping the returns of unreturnable. That is why I need to be informed about this. Can the Minister of Justice answer: Why was there a need to stop returns of irrecoverable? And is it so that the government has now extended the scheme to people that the government can return?
ParlaMint-NO_2020-03-04.ana.ud555e682	It is true that four parts of Granavolden last year agreed on a one-off solution for the long term that had not been returned, with at least 16 years of residence in Norway. So on the last question, I want to answer very clearly: the government has not expanded the circle that was agreed on at Granavolden – on the contrary, the government has tried to bring this about. Thus, not all 16-year-olds in Norway are allowed to stay: they have arrived. It is the age related to the period of residence of 65 years. If you are convicted, if you have acted contrary to the individual rules of the Foreign Affairs Act, you cannot stay. One must also be able to prove that one has been in Norway for all these years. So it's hit compared to what was written on the Granavolden platform. What's unfortunate, of course, is that this rule hasn't come into place, that you haven't had this point squeezed out. We have now done so, and then it was my opinion that, while we were sending to the hearing a solution that was promised over a year ago, linked to the long-terms who had not let themselves be returned, we asked the Foreign Affairs Department not to give priority to this group, but rather to all the others who are staying in Norway and who are to be returned. That doesn't mean that the group is expanded. We still think this is about a few dozen people, as far as we know. So that doesn't mean that the group is expanded, and that doesn't mean that people who aren't being returned today have received a residence permit. But that means there's a concrete assessment that has to be made against a group that's been here a very long time and that's got a promise over a year ago.
ParlaMint-NO_2020-03-04.ana.ud555e691	That, I think, was a very unclear answer to the question, which concerns whether this has occurred in order to apply only to undetectable. Because in the hearing, it doesn't say that. When it is so clear in the Granavolden platform that it only applies to unreturnables, it would be obvious that you don't have to do anything and instruct someone to stop returns, because in any case they are not to be included in the scheme. Now I didn't get any better at what the government was going to do at all, because it's quite clear that the government has stopped returning. Then I want a clear and clear answer from the minister as to whether she can guarantee that no one who could have been returned will be covered by this one-off solution.
ParlaMint-NO_2020-03-04.ana.ud555e696	I understand that this is complicated. The word "unturnable" is not an exact term. It is, of course, a political concept, but it is not an exact legal concept. This means that people who can be returned because they have a return agreement cannot necessarily be returned. We have a return agreement with several countries, but we can't return people. This means that the group that has been here for a long time has not been able to get back for a variety of reasons. It's this group of Granavolden Platforms that meant to embrace, it's this group the government has now sent a proposal to consult on, and it's the people we're aiming at a one-off solution to. If there are persons who have not stayed for long, who are returnable, they will be returned. But it's an unpresist concept, and that's why it's not used in the regulatory hearing.
ParlaMint-NO_2020-03-04.ana.ud555e701	We move on to the next main question, which is asked by the representative Heidi Greni. The President may reveal that the Council of State may be able to go down and sit down.
ParlaMint-NO_2020-03-04.ana.ud555e708	I've become so used to standing here!
ParlaMint-NO_2020-03-04.ana.ud555e713	President, the intuition is fine – my question goes to the district minister! If we are to maintain the settlement structure in Norway and slow down the increase in centralisation, we are dependent on a wide-ranging district policy both in terms of transport and broadband throughout the country, in terms of a decentralised education provision, and in terms of the presence of police, health protection, fire preparedness, etc., and that we have equivalent municipal services throughout the country. That's what I call broad district policy. However, we also rely on having a narrow district policy that works, and the regional policy instruments are important. Regional development funds are incredibly important to stimulate business start-ups in rural areas. They are now more than halved under today's government. But what is the most important means of regional policy, in my opinion, is the differentiated employer's fee. There are no other instruments that have proved to be equally effective in achieving business start-ups in rural areas and in preventing population decline. Lower employer’s fee helps to offset distance disadvantages for companies located far away from the market. This arrangement, today's agreement, expires in 2020, so the agreement must be renegotiated this year. Does the central government council share the view that the differentiated employer fee is the most important regional policy instrument we have? And can the Council of State guarantee that today's system of differentiated employer fees will continue after 2020?
ParlaMint-NO_2020-03-04.ana.ud555e724	First of all, I just have to be allowed to say that I am very, very surprised, because the Central Party went out in the paper 14 days ago and said that they never came to ask any question to any district minister in Stortinget. The centre party made it clear that they were not interested in discussing the opportunities and challenges for the districts with the district minister. So now I was kind of out of shape. But I have to say that I am very pleased that the representative, Mr. Greni, does not agree with his party leader, Battle Violence Vedum, and I am concerned that the government can also, together with the parties in Stortinget, do what we have the opportunity to ensure further growth and development throughout the country. Then I have to agree quite with the representative, Mr. Greni, that a differentiated employer's fee is one of the most important tools we have. But when the colleague of Greni, the county councillor of Troms and Finnmark, wants to reduce the employer’s fee down to 3 pst. for North Norway, for Bodø and Tromsø, I am first of all a little questioning about where to take that money from. What's the tax when the Senter Party is going to increase? And then you attack Kongswinger, because they have so low an employer's fee. Then I would like to remind you that Kongswinger has not had population growth in the last 30 years and has a low employment rate, while the opposite is true in North Norway. There's unemployment.
ParlaMint-NO_2020-03-04.ana.ud555e731	I don't think I'm going to comment. But we can continue the discussion about a differentiated employer's fee. Predictability is important for business, especially in the districts, and especially for those who consider establishing themselves in the districts. We get feedback that there is now a great deal of concern about the government will give priority to differentiated employer fees in these negotiations, especially with the back cover we have from the beginning of the 2000s. I am very interested in hearing the Council of State explain what kind of goal the government has in the negotiations, and whether the Council of State can guarantee that a new agreement will be at least as good or better than today's arrangement. I do not expect to hear any percentages, but the position of the government in the negotiations.
ParlaMint-NO_2020-03-04.ana.ud555e737	I can reassure the representative, Mr. Greni, that the system of differentiated employer fees is one of the government's most important regional policy instruments, precisely because it contributes, among other things. to reduce or prevent population decline in rural areas. Many municipalities in South Norway have, among other things: have experienced a negative development of the population, and we see how the differentiated employer’s fee works there. The government follows this matter very closely. Of course, I can't give any guarantees now, I can't do that until we see what's the end result, but there's no doubt that the government is very concerned that this fee is so important that we're going to be able to grow in jobs around the whole of Norway. I know this very well myself from my own country, from Orkland, where you are in the south, in Meldal, have quite different challenges than, for example, in the Hurricane region, and the importance of continuing to contribute to growth and development in the Meldal region.
ParlaMint-NO_2020-03-04.ana.ud555e742	There will be follow-up questions – first Heidi Greni.
ParlaMint-NO_2020-03-04.ana.ud555e747	Then I would like to follow up with another concern that we have received feedback, and that is: Will the government continue to look at individual municipalities as an isolated area? We have many individual municipalities around us that may have municipalities around them without challenges, but these individual municipalities may have very special challenges and are now concerned that the government will also centralize the map in this area, so that large regions are seen together. If there is a large engine in that region, a differentiated employer’s fee is put on the outside side, despite the fact that the individual municipality has major challenges, both demographically and commercially. So my question is, what kind of position and goal does the government have here, and how do you see that this map should look like after these negotiations are concluded, if we get a pass? Is it going to look something like that right now, with the same entry points that are today?
ParlaMint-NO_2020-03-04.ana.ud555e752	I can say that all municipalities will also be reviewed at the next audit, and there is no automation in that municipalities get the same rate or remain within the scheme they are today. I see that it is a municipality that, after being merged, is concerned that they should not keep their rate. This is something we are now following very closely, and I as a district minister am very concerned about, because I believe that this employer's fee is so important for the growth of employment, and for people to live and live throughout Norway. But then we see, for example. a municipality like Kongswinger, who had no population growth, and the growth of employment was very weak, despite being an hour away from the capital. So there is no automation in which municipalities should get a differentiated employer's fee. So we're going to go over all of the municipalities again at the next revision.
ParlaMint-NO_2020-03-04.ana.ud555e757	The oral question procedure is now over.
ParlaMint-NO_2020-03-04.ana.ud555e771	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The changes were as follows: Question 2, from the representative Kjersti Toppe to the Minister for Health and Welfare, has been withdrawn. Question 3, by the representative Elise Bjørnebeck-Waaagen of the Minister for Labour and Social Affairs, is absent.
ParlaMint-NO_2020-03-04.ana.ud555e785	‘Statistical Central Bureau published on 15 January 2020 new figures showing a trade deficit for mainland Norway of 275,7 billion. kr. In 2013, the trade deficit for mainland Norway was 152 billion. kr, and the trade deficit has increased markedly each year during the current government. Does the Council of State believe that this development makes Norway more or less dependent on revenue from the oil and gas activities?’
ParlaMint-NO_2020-03-04.ana.ud555e792	We enjoy our oil and gas business. The demand for goods and services from the mainland economy thus contributes to employment and value creation across large parts of the country. In addition, it collects large income from the sector through tax receipts and income from its direct financial involvement. Norway has not become more oil dependent in recent years, rather on the contrary. The demand from the petroleum industry, which is the sum of investments, intermediate consumption and compensation of employees in the sector, has fallen from 13,5 pst. measured in relation to GDP of mainland Norway in 2013 to 8.8 pst. in 2019. Similarly, employment related to the petroleum activity, directly or indirectly, has also fallen. From 2013 to 2018, according to the Central Bureau of Statistics, there have been 90 000 fewer direct or indirect employed in Norwegian petroleum extraction. The calculations show that about 5 pst. of total employment, close to 140000 persons, employment in industries directly or indirectly related to Norwegian petroleum activities in 2018. The corresponding figures were 230,000 in 2013. The sharp decline in demand from the oil industry and the decline in employment related to the industry illustrate that Norwegian industry has become clearly less oil dependent, a point the governor also made in his last year. Despite this decrease in oil industry, good growth has been achieved in the Norwegian economy and overall employment. It illustrates that the strong policy measures to convert the Norwegian economy have worked. Competitiveness has been greatly improved, as a result of both weaker dollar rates, wage moderation and significant relief in corporate taxation. Government finances have also become less oil dependent in recent years. In the last three budgets, the use of oil money has been kept roughly constant as a share of the value creation of the mainland economy, and in the 2020 budget, the use of oil money is thus reduced. More generally, Norwegian national wealth has also become less oil dependent. When we invest the revenue from the oil and gas business in foreign securities, we change the oil and gas assets on the ground into financial assets. It makes national wealth less sensitive to changes in oil and gas prices. The action rule relates the amount of the oil-corrected deficit on the State budget to the return of the fund. It protects the budget for fluctuations in oil and gas prices.
ParlaMint-NO_2020-03-04.ana.ud555e807	As the Council of State began, Norway benefits from large revenues from oil and gas activities, and we should be pleased about that. It also employs a lot of people and contributes to the creation of value both on the base and on the land. But the question I asked was an ever-increasing trade deficit from mainland Norway. That means that in terms of the value of what we export to the value of what we import, the imbalance is growing. Then, of course, we become more dependent on the revenues we have had and still have from the oil and gas business. Can the Council of State confirm this?
ParlaMint-NO_2020-03-04.ana.ud555e818	In my speech, I pointed out three important factors that determine how oil dependent we are, namely the state's revenues from the petroleum industry, the demand from the oil industry and the number of jobs associated with the oil industry. When we look at the three factors, we've become less oil dependent in recent years. Then it is true that the oil business imports many goods and services from abroad, and it is also true that the oil business buys many services from the mainland industry that could alternatively be exported if we had not had the oil business. I disagree with the claim made by the representative, namely that there are similarities between the trade deficit and our oil dependence. I think there are other explanation factors that are central to the question that is being raised.
ParlaMint-NO_2020-03-04.ana.ud555e825	There are other factors that are also important to measure in relation to and that give cause for concern. One of them is, among other things: non-petroleum industry had a decline in production from 2018 to 2019. Industrial enterprises outside oil clusters had a weak development in exports in addition to a weak development on the domestic market — whereas the petroleum-oriented supplier industry went well because of large petroleum investments on the base and internationally, in addition to a weak crown. It is important to facilitate the strengthening of industry in mainland Norway. In this way, industry is committed to having good and reasonable electricity prices in the future – predictability. One is engaged in network rental costs that are on the way to increasing and one is concerned with charging policy. Finally, the State budget introduced new taxes for the process industry, both emission-reliable, which received double instruments and new taxes that were introduced. Is the Council willing to review the charges in order to strengthen the framework conditions of the process industry?
ParlaMint-NO_2020-03-04.ana.ud555e832	I have noted the comments of the majority of the Finance Committee and will of course look at it. But what the representative jumps over completely is that the conversion has been successful so far. In 2014, we experienced the strongest fall in the oil price of 30 years, we lost almost 90 000 jobs in oil-related industries. Today, we can say that employment is higher than it was before the fall in oil prices, unemployment is the lowest in 10 years, and growth is good. It shows that the conversion has been successful so far. This also means that Norway has become less oil dependent because growth in other mainland industries has been higher. We are still facing some challenges, and that is why this government will keep the tax level down and ensure good growth conditions for private activities.
ParlaMint-NO_2020-03-04.ana.ud555e846	This question is drawn.
ParlaMint-NO_2020-03-04.ana.ud555e860	This question falls away.
ParlaMint-NO_2020-03-04.ana.ud555e868	‘To NTB on 9 February, the Council of State wrote: ‘A yes to the protection of LoVeSe will lead to the disappearance of tens of thousands of district jobs from the country.’ In a written question on 10 February, I asked the Council of State to present the calculation behind this claim and an overview of how many jobs have disappeared since 2013 because of the government’s refusal to consistently investigate the areas outside the Lofoten, the West Sea and the Senja for oil drilling. On 17 February the Council of State did not answer my question at all. That's why I'm repeating it. What does the calculation behind the claim of the Council of State look like, and how many jobs have disappeared since 2013 because of the government’s refusal to coordinate areas outside the Lofoten, the Vestral and Senja for oil drilling?’
ParlaMint-NO_2020-03-04.ana.ud555e875	I want to thank you for giving me the opportunity to come to Stortinget and repeat my answer. It is the same thing that I gave on 17 February about the direct and indirect effects of petroleum activities in the long term contribute to creating and maintaining, and how the industry provides tens of thousands of jobs in the country. My estimate of tens of thousands of jobs is an illustration that the possible ringing effects of the petroleum activity are high. Petroleum activity is Norway’s largest industry measured in value added, state income and export value. The value added per directly employed petroleum industry in 2018 was around 25 million. kr. By comparison, the value creation per person employed for the mainland economy totaled about 1 million. kr. According to the SSB, approximately 24 000 people are employed directly in industry, but directly and indirectly more than 200000 jobs can be linked to the petroleum activity, according to Menon Economics. This includes the activity on our Norwegian base and to our export markets. A strong domestic market is essential for companies and their employees in Norway to maintain their technological skills and thus be internationally successful. I do not therefore believe that tens of thousands of jobs are directly linked to potential search activities – I believe the vast majority of those who have read this case understand – nor do they understand the operation of the fields that may be found in the areas outside the Lofoten, the West Pole and Senja. What I expressed first of all concern is that the protection of marine areas outside the Lofoten, the West Sea and Senja creates the impression that Norway will not invest in the oil industry in the future. The knowledge we have today suggests that it should be possible to conduct adequate petroleum activities in this area as well. Therefore, the primary point of view of the Right is that the area should be examined in a consistent manner, so that we can have a good factual basis. The oil industry creates jobs that are scattered throughout the country, especially in the supplier industry. These are jobs that largely depend on the demand for Norwegian oil and gas production to create according to their goods and services.
ParlaMint-NO_2020-03-04.ana.ud555e890	I thank you for the non-response, because I register again that I am not getting an answer to what I am asking for. When a government council sends a written message to the media that tens of thousands of district jobs will disappear out of the country as a result of the policy that today's government is also pursuing by not initiating oil activities outside the Lofoten, the Vestralen and Senja, then I expect the Council of State to actually have an account behind this, which documents that claim. But I can see that I don't get it. My question is whether the council will admit that she took a little bit of Møller's tear when she sent that message.
ParlaMint-NO_2020-03-04.ana.ud555e897	I can tell that on the day the message was sent, I was at the annual meeting in Trøndelag Right. There was great tension about what more states in the Right would conclude with after debate on the protection of LoVeSee or not. I was very happy – as a politician from Trøndelag, as chairman of the Right Programme Committee, and as a State Council – that the majority of the counties in the Right did not go to the drastic step of adopting protection. As a district minister, I am concerned that there is a very close link between the important district work places and future activity on the Norwegian base. Most municipalities in Norway have workers working either directly or indirectly in the oil industry. And I'm really worried about the signal we're giving, that you don't want to bet on the oil industry in Norway.
ParlaMint-NO_2020-03-04.ana.ud555e904	If it wasn't taken too much Møller's crane, perhaps the written message to NTB was written in euphoric rush over the Trendelag Right decision. I want to quote a report that came last year, Index Nordland 2019. It reads as follows: ‘Of the Nordic regions, Lofoten has the strongest growth driven by increased activity in aquaculture, fisheries, tourism and fishing. Since the end of 2015, Lofoten and Salten have experienced higher turnover growth than the other regions of the county.’» It also states that all regions are above the national average and that it is worth noting that Lofoten’s population development is ‘clearly stimulated by the increased activity’. The question is: does the Council not see that oil drilling in these areas is just going to threaten the industries that have been experiencing strong growth in recent years — travel and fishing, among others.?
