ParlaMint-NO_2020-02-05.ana.ud231e28	The representative, Helge André Njåstad, will present a proposal for a representative.
ParlaMint-NO_2020-02-05.ana.ud231e646	So the answer is to increase the status. That's what Trine Skei Grande said in 2013, and I have to be allowed to quote the Council of State: ‘We need to increase the status of the teaching profession and make it attractive to more people. It’s about teacher training’ – as she talked about before today – ‘it’s about regular professional updates, and it’s about salary.’ That's what left-wing leader Trine Skei Grande said to NTB seven years ago, and she hasn't mentioned that today. I agree with the 2013 edition of Trine Skei Grande. If we are to get enough teachers, the state must also be willing to raise wages and improve the working conditions of teachers, for example. through a trust reform. What measures does Minister of Knowledge Trine Skei Grande intend to put in place to increase the pay of teachers?
ParlaMint-NO_2020-02-05.ana.ud231e658	I'm not the one who negotiates pay, and I'm sure SV's representative knows very well, but that's what KS does. I believe that as we increase teacher training, and we increase further education, it is clear that it must be reflected in the wage development of a profession for which we increase the professional requirements, but I believe that this is a job between the parties. But I think that introducing five-year teacher training, having the continuing training requirements, etc., over time also needs to be reflected in how one pays.
ParlaMint-NO_2020-02-05.ana.ud231e665	Let's move on to the next main question.
ParlaMint-NO_2020-02-05.ana.ud231e670	My question also goes to the Minister of Knowledge. Cooperation between the state and the municipalities and private kindergartens has been and is a very successful welfare reform, and private kindergartens have been important to ensure what is most important for many families with children, namely to provide adequate childcare facilities. We know that most of the private kindergartens are of high quality, they represent a great pedagogical and content diversity, they have consistently lower sick leave, are operated effectively, and we are all aware that private kindergartens score supremely on parental studies. The sector is already regulated in the form of e.g.: Staff standards and maximum price, and it is no secret that although the Progress Party also sees that there may be a need for regulatory clearance, we are not as big as we are in favour of legal clearance leading to even more regulation. Last year the government sent out a proposal to regulate private kindergartens with some open questions, where the government did not point out a direction, but where feedback was requested before concluding. The proposals for new regulation that have been consulted have been thoroughly highlighted by the private kindergarten sector, and some points have received a lot of criticism. Will the Minister of Knowledge listen to the sector’s input and scrape the points that have received the most criticism, such as: making changes to pensions without seeing the financing in a context, as well as the requirement that each nursery should be organised as a separate legal entity?
ParlaMint-NO_2020-02-05.ana.ud231e683	I share the representative's commitment and honours in the private kindergartens, which have been absolutely crucial to achieving the goals we have set in relation to kindergarten, and which do not only contribute to making a very good offer that many people are satisfied with, but also contribute to giving it the variation in kindergarten offers that makes it possible for parents today to choose a professional profile in their kindergarten in a completely different way than they have had in the past. It leads to innovation and innovation that I think is important to take care of. Then the government has not concluded on all the proposals that the Progress Party agreed to send to the hearing, so I have to be allowed to come back to when we are going to submit the proposals. Some of them also relate to budgets, and then, hopefully, the Progress Party has the opportunity to influence what the budget is going to look like. Some of the proposals mentioned by the representative will also be addressed. I also think it is important to ensure that we have a kindergarten sector with great confidence in people who provide good quality and who take care of the safety of children. That's why we have to regulate this field, because we know that we need people who take care of the children's environment and who are able to see each and every kid in a good way. We know that e.g. testing language skills in kindergarten is important in order to succeed. Now that the government has introduced free core time and reduced prices, it is a matter of knowing that the kids who need it all, most of all, are just the kids who should be seen in kindergarten and who should get the language stimulation that makes them succeed later. We know that kids who go to kindergarten complete higher education more often, and they take longer higher education. So it's important to have all children in kindergarten. Especially those who have challenges at home are those who may get the most benefit from being in kindergarten.
ParlaMint-NO_2020-02-05.ana.ud231e692	It is a pity that the Council of State can't answer affirmatively at least those questions that have received the most criticism. Another important point at least for the Progress Party, but which I know has also been very important for the Left, as I hope it is possible to give a signal about already now, is to make the threshold lower in order to establish new kindergartens and more kindergartens, and that all types of owners have a real opportunity to start and run good kindergartens. Today it is like buying existing kindergartens, which makes it more difficult for smaller and ideal actors to get in. This was one of the points where the government did not point out a direction, but where one heard open feedback. I wonder if the Council of State believes the same thing as the party leader in the Left felt when she was in opposition, that it is important to lower the threshold in order to establish new kindergartens.
ParlaMint-NO_2020-02-05.ana.ud231e701	I think it is important to have mechanisms that ensure greater variation in kindergarten provision. I think it is important to have mechanisms that allow good ideas about kindergarten services to come from below. But we have a challenge that some of these kindergartens now can only be driven by the big chains, and that's not our idea of variation. Our idea of variation is all the small entrepreneurs that build these projects from below, and there we have to make it easier. Swallow if we've had this at the hearing, and sail if we've got many kinds of recordings, I think it's important to find the balance point that makes us not getting those headlines that we've got today, about big purchases in Australia. Because what we want is, in particular, that all the female entrepreneurs and all those who want to work with kids in a different way are going to have the opportunity to build good kindergarten offers from below, without having to have the big capital chains behind them in order to go in and do it.
ParlaMint-NO_2020-02-05.ana.ud231e709	There will be follow-up questions – first Roy Steffensen.
ParlaMint-NO_2020-02-05.ana.ud231e714	One of the reasons why there have been fewer small private kindergartens is that they experience that there have been more rules, more regulation and more bureaucracy. One of the changes I mentioned, to which the Council of State would not respond, is to make each nursery a separate legal entity. For example, the training workshop has: written in its replies to the hearing that this would lead to increased costs of salary management, accounting, forwarding and auditing. So this is money that would go to the children, but that would instead have to go to increased bureaucracy. If there are requirements for kindergartens as their own legal entities, I believe that it would violate the principle of non-discrimination, as it says in Granavolden, because this is a requirement that will not apply to public kindergartens. Is the Council of State of the view that the requirement of kindergartens as its own legal entities coincides with what is in Granavolden, while at the same time it coincides with the government's objective of reducing bureaucracy?
ParlaMint-NO_2020-02-05.ana.ud231e723	I must be allowed to come back to this when I am going to present the whole of it. I haven't been long enough to draw all the conclusions. I think that the challenge for many private kindergartens is not only about bureaucracy and new legislation, but also about the fact that many people think it has been difficult to work with municipalities that treat them very differently from the public authorities. It also takes the spark from many entrepreneurs who want to be involved and develop new things. So I don't think it's one-sided about claims. Many of these requirements see people working in kindergarten, a reason, that it's something you want to have, but having a good cooperation with municipalities – and municipalities that facilitate that kind of variation, and don't think they're a hair in soup, but actually a good response – I think it's important. We see that in municipalities such as Oslo, it's very important to fight the private measures, and that's probably what takes the energy of most people working in this field.
ParlaMint-NO_2020-02-05.ana.ud231e730	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e735	There had never been full childcare without the private people who invested their money in expanding the offer. Many of these had plots, and it is clear that when you get empty in Oslo – a municipality where it costs a lot to buy these plots – you will be left with quite a lot of profit when you continue to sell. It has been running from the left over a long time now, with the representative Moxnes at the head, has contributed to developments in this field, which is moving towards tightening up the regulatory environment, which may be at the expense of many kindergartens. Many parents are extremely satisfied with this offer — it shows the user surveys. We are among them and are now concerned about developments and that in some cases these offers may disappear. Can the Council of State assure parents that it will facilitate a policy that takes care of private kindergartens and ensures the provision with which so many parents are satisfied?
ParlaMint-NO_2020-02-05.ana.ud231e742	Yes, I believe it is at least important to facilitate that whole variation. We see a lot in municipal policy that makes it difficult. I can just take my own town, Old Oslo. There, a private kindergarten, run by the Church's Bymission, experiences that they are no longer allowed to operate. Another small, private kindergarten experiences that the bus they have taken the children on a trip twice a week, no longer gets a parking permit in Old Oslo, so they have to stop taking the children on a forest trip twice a week. There are many ways to make it difficult to be a private kindergarten. We need to ensure a national legislation that facilitates variation and that it is precisely the founders who are building up the ideas from below that are given opportunities. And then we have to see if we can set the framework so that it's not just the big money resources that's behind it, but that it's the foundership that comes from below.
ParlaMint-NO_2020-02-05.ana.ud231e751	Torstein Tvedt Solberg – for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e756	We are very excited about the work on the new law. The Labour Party has been particularly concerned with the small ideal actors, to whom the Council of State was a little involved. The reality there is that there was an enormous amount of purchase of small ideal kindergartens by the large commercial kindergarten groups, which I believe have created an imbalance, and which in no way facilitates the variation that Left has also been engaged in. In 2018, a majority in Stortinget said that the government had to investigate a legal distinction between ideal and commercial kindergartens, so that one could prioritize the ideals, just to ensure this balance. It is a decision on which the Right-State Council has not delivered. We can hope that the State Council of Skei Grande is more concerned about the ideals and ensures the variation of which one is so concerned, and gets in place an investigation of a legal distinction between precisely ideal and commercial kindergartens.
ParlaMint-NO_2020-02-05.ana.ud231e763	Diverging between the ideals and the commercials has proved not to be so easy in any of the welfare areas we have. We don't want to have the big groups that are in and out here, but the challenge is that when you do it hard enough for the small, the ideal and the small entrepreneurs, it's the big ones who come and help them and get up against those places where it's hard to work with the municipality. That's why we've seen the big purchases that we've made. I want to mention an example: I visited a small nursery for a time ago that a female founder had started. She had worked all her life with the kindergarten – the whole family’s big project – they used all the vacations to work out outdoors, the husband was the accountant, and she was the managing director. It was her savings, her retirement and her nursery. This is about a lot of women entrepreneurs who have invested a lot of money to make good solutions for people, and I'd like to cheer them up. We need to find arrangements to prevent the large groups from taking over.
ParlaMint-NO_2020-02-05.ana.ud231e772	Torstein Tvedt Solberg – for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e777	I can understand that it's hard, so it's so important that one does this thorough investigation. I disagree that the large groups in a way help the small kindergartens when they buy them up. We have many examples and stories of small kindergartens that have reluctantly had to sell, and there has been a huge shift between now fewer ideal kindergartens and more that are bought up by the large groups. I realized that one is critical of resolving such a legal distinction, but how will the Council of State then concretely in the new law ensure that one at least takes action to reverse this imbalance that is now taking place?
ParlaMint-NO_2020-02-05.ana.ud231e783	We're not critical of investigating, we're willing to use consultants for that in this government. But our challenge is that it's not that easy to make those solutions. That's what we've learned so far. We've also learned it in other sectors, we've tried to do this in, for example. the older sector and in other areas too, to be able to achieve that distinction. But it's not that easy in Norway, where most of the innovation on the social side is small entrepreneurs and small innovation companies. But we're going to do that job and run it and see if it's possible to do it. This was just a warning that it is not as easy as it can seem to be when formulating it as a political goal.
ParlaMint-NO_2020-02-05.ana.ud231e788	Marit Knutsdatter Strand – to the last follow-up question.
ParlaMint-NO_2020-02-05.ana.ud231e793	The left has sky-high ambitions for kindergartens, and the Stortinge adopted a recruitment norm that in itself was also widely political in nature, and had great ambitions to get more adults to follow up the kids. But the problem here was just the funding. In the pre-Christmas consultation with the State Budget for 2020, KS pointed out that it was up to 680 million. are lacking in order to complete the financing of this Code. It contributes, inter alia, to: to ensure that municipalities are unable to cover staffing in their kindergartens, and that private people are not given funding to increase staffing in their own – and with the two-year lag as an additional issue. Will the Left ensure full funding of the staffing norm so that these kids receive the follow-up they deserve?
ParlaMint-NO_2020-02-05.ana.ud231e798	This is a quite new reform, which was implemented in 2018. Now, the numbers we've been given last week show that the crew is increasing, and on average, you can achieve the goals you've set. It is not that private people have been worse on board than they have been in public. They've really stretched out and tried to achieve the goal of more professionals. Then it's also about having the good offers that are adapted to the children, and making sure that you have coverage when there are children in kindergarten. It is clear that we could have made sure that we had crew standards that applied to the entire opening time of the kindergarten, it would have cost approx. 14 B.C.E. kr, and everyone who has participated in both delivering and picking up children knows that there is a slightly different child density within a day. We've threatened that kindergartens are good at adapting the manning to when the kids are there. But we must follow this further. This is a reform that was introduced in 2018, so we need to spend some time looking at how we are going to manage to adapt it in order to achieve the goals we have set ourselves.
ParlaMint-NO_2020-02-05.ana.ud231e805	The oral question procedure is over.
ParlaMint-NO_2020-02-05.ana.ud231e819	There will be a change in the set question list, and the President will refer to the electronic question list in the salap. The change was as follows: Question no. 5, from the representative Fredric Holen Bjørdal to the Minister for District and Digitalisation, has been withdrawn.
ParlaMint-NO_2020-02-05.ana.ud231e831	‘The government-appointed sample that has looked at the taxation of aquaculture activities delivered its report to former Minister of Finance Siv Jensen on 4 November 2019. NOU 2019: 18 were sent to 3 months of consultation without political treatment, and the hearing has now ended. How does the Council of State think to follow up the matter against Stortinget?"
ParlaMint-NO_2020-02-05.ana.ud231e838	SV’s representatives from Storting promoted in Document 8:192 S for 2017-2018 proposed to ask the government to investigate and submit proposals for a production fee. At the time of treatment in the Grand Duchy, the majority of governments were asked to set up a party-based sample to investigate different forms of taxation of the aquaculture industry. The decision also shows that the case is closed in the spring of 2020 with a view to its possible entry into force in mid-2020. In line with the Stortinget decision, the Government set up the Maritime Tax Committee on 7 September 2018. The Marine Tax Committee delivered its investigation on 4 November 2019, and the report was sent to the hearing on the same day. The hearing period expired on 4 February 2020, which is yesterday, and there have been many recordings. The Ministry of Finance will now assess the responses and return to the Storting in an appropriate manner, in line with the request decision.
ParlaMint-NO_2020-02-05.ana.ud231e855	I thank you for the presentation. The matter is known, it has been going on for a long time in various forms. The most important thing, at least for the Workers' Party, is that the municipalities that make the land available for the development of aquaculture will have more to do with fixed remuneration. On 27 January, before the deadline had expired, the new Minister for Fisheries, Geir Inge Sivertsen, said that the farming industry had to pay an area tax. Then I wonder, is this a view shared by the Minister of Finance?
ParlaMint-NO_2020-02-05.ana.ud231e862	I am responsible for this matter, and the hearing ended yesterday. Then it would not be right for me to give any signals as to what the government is going to propose. This is a matter that affects a very important industry for Norway. It affects many local environments in Norway, and it is also about the tax revenue of the community. Then I believe it is right to have a thorough assessment of both the hearing replies and the totality of it, and then we will return to Stortinget, in line with the signals given earlier.
ParlaMint-NO_2020-02-05.ana.ud231e867	I then assume that there will be a matter for Stortinget where we will discuss all the possible suggestions that lie in the matter, and the recordings that have been made. As I said, the most important thing is that the municipalities, the local communities, have more left to make the area available for one industry, which obviously goes beyond the possibility for other industries to use the same areas. Since he cannot go into the matter itself – I understand – do I wonder if the Minister of Finance shares my analysis that the municipalities deserve more? Then I am not asking the Minister to go into what kind of arrangement, but the principle that the municipalities will have more left to make the area available. Can the Minister agree with that as a principle?
ParlaMint-NO_2020-02-05.ana.ud231e876	If I had answered that, I would have gone into the matter. For here it is both the question of whether to do something, and then you have the discussion about production fees or rent taxes, and then it is the distribution between the municipality and the state. So my answer is the same: we will come back to Stortinget in line with the request decision, and then I thank you for understanding what the Workers' Party believes about the matter.
ParlaMint-NO_2020-02-05.ana.ud231e884	Let's go to the next main question.
ParlaMint-NO_2020-02-05.ana.ud231e892	«Today, the specialty competence is directly linked to the tax collector. The Ministry of Finance proposed in the State budget for 2020 that municipalities retain their specialty skills. How is this to be resolved when the municipal tax collector is planned to be transferred to the tax administration on 1 June 2020, how has the issue been addressed, and what dialogue has been established with the parties involved?’.»
ParlaMint-NO_2020-02-05.ana.ud231e899	I appreciate the representative's commitment that municipalities will continue to be able to carry out effective collection. Municipalities have a number of claims against citizens, based on law or agreement. Municipalities themselves can choose whether to claim municipal claims or to purchase the service from private operators. A number of municipalities are buying the service today instead of charging themselves. In cases where a claim for enforcement is made, this may only be done through the ordinary civil servant or the tax collector as a special authority. The municipality, in the case of the tax collector, currently has special powers for a few types of requirements, including: property taxes and parking and heavy duty charges. When the tax recovery from 2020 is incorporated into the tax base, the special scheme authority for the relevant types of claims is transferred to the municipalities. It is up to the municipalities how they organise and solve the task of municipal collection, including compulsory collection. After the transfer, the municipality may choose to use the specialty competence, use the ordinary civil servant or use the tax liability as a specialty authority. The tax revenue has created a project to carry out the transfer of tasks and employees to the tax liability. KS has set up its own project to safeguard the interests of municipalities in connection with the transfer. There are regular meetings between the tax administration, the Ministry of Finance and the KS on different aspects of task transfer. The issue was addressed by the tax base in 2014 and the proposal was through an ordinary consultation process in 2015. Necessary legislative changes were adopted by the Stortinget in the context of the treatment of the State budget for 2020.
ParlaMint-NO_2020-02-05.ana.ud231e916	I thank you for your answer. What is worrying is that one here shows that there are a number of processes currently in progress – after the Storting has decided on a massive centralisation by transferring the municipal tax collection to the tax rate. One goes from 227 offices to 56 offices. But specifically on how to solve this: It is correct that it was investigated in 2014 and 2015, but it ended with one in 2016 deciding not to go further with it. So the proposal appeared again in the state budget for 2020, without any new investigations, without any dialogue with the affected. And what Norway's confederation of economists and local economists says, not a few days ago, is that it is completely undecided how that strange-minded function should be. Does the Council see the need to spend more time on this matter and delay the introduction of this transfer?
ParlaMint-NO_2020-02-05.ana.ud231e923	The answer to that is no. I don't see any reason to spend any more time. In the case of a transfer to the tax base, it is well planned over a very many years. It is well established, and it is also an important measure to combat undeclared work. We are now getting stronger professional environments 56 different places in the country, which can contribute to a more effective fight against economic crime and undeclared work, and it will also contribute to equal treatment of the population. So it's a necessary and proper reform. There is good dialogue between the tax administration, the Ministry of Finance and the KS, and the feedback I get is that the dialogue is good and that we are going to get it in a good way.
ParlaMint-NO_2020-02-05.ana.ud231e930	One will not strengthen the fight against crime at work when centralising and making it more difficult to conduct outreach activities, which also make access to the public more demanding. What would make sense if one were to strengthen the work against labour-life crime was to give municipal tax collection powers, more transparency – as they have asked over time, but as the Ministry of Finance has unfortunately refused. Back to the question: it's absolutely crucial how to solve the function of a specialist, because this is an intrusive, comprehensive issue. There's even the possibility that you can break into people's homes to find out if they're sitting on values that they're trying to avoid. It is therefore crucial how this should be organised. Those who sit close to it say they don't know how this is supposed to be organized. Would it not then make sense to give more time and at least delay the implementation of this reform?
ParlaMint-NO_2020-02-05.ana.ud231e937	I have answered the question. It's not about postponing it. It will be implemented as planned. I do not know what sources of information the representative has. My impression is that the dialogue is good between the tax administration, KS and the department. And then there will always be challenges in such an implementation, but just to postpone I have little faith in this matter.
ParlaMint-NO_2020-02-05.ana.ud231e945	Do I have permission before I begin to congratulate the Council of State with new responsibilities? - Congratulations so much on it! I look forward to the cooperation. ‘By the accession of the Council of State, we could hear that he was hesitant to trade-union organisation in Norway. What part of the government’s anti-union policy will he change to follow words of action?’
ParlaMint-NO_2020-02-05.ana.ud231e952	Thank you for your congratulations, and thank you for what you might call a Polish question. It is tempting to answer Polish and ask: is it the lowest unemployment rate in ten years, is it that the employment rate goes up, is it the record investment in Norwegian industry – at least close to the record investments – that is so-called anti-union? Is it that more now are applying for vocational training than are applying for preparatory studies, that more are getting apprenticeships, and that fewer are dropping out of high school, which is poor? Are there new a-crime centres, the strategy to combat crime at work, more jobs in the private sector, the decline in the number of migrant workers compared to the red-green years, which are anti-union? But I'm not going to do that. Instead, I'm going to say a little bit about why it's important to organize, and how we work with the social partners, because it's a very central part of the Norwegian model, and you could also say the Nordic model. This means that we have – and will continue to have – regular discussions with both employers and trade unions. And by trade unions, I mean all trade unions, not only the largest, but also those that are smaller, but are main associations. There is cooperation on skills, cooperation on inclusive working and equal opportunities in the labour market. The labour-criminal strategy is entirely dependent on input from the social partners. We also have party-grouped samples. It's important, because even though it's not an automatic way to have any NOU represent the parties, it's often very sensible because you get the perspectives from the world of work, and you also get the opportunity to engage in important discussions with the social partners there and there. High levels of social inclusion in organised society are primarily the contributions of the parties. I don't think anyone disagrees with the fact that there are parties that need to ensure that they are attractive and able to recruit, and not least go into sectors and areas where the degree of organisation is traditionally low. This also applies on the employer’s side. We have also set in motion cooperation with the parties to find good solutions to strengthen the emergence of social organisations – not because the state is to start recruiting members, because it is an important principle in tripartite cooperation to respect that we have different roles, that the state is state and organisations are independent organisations, but because we can discuss, we can contribute with knowledge and information, not least dissemination and good meeting places in tripartite cooperation.
ParlaMint-NO_2020-02-05.ana.ud231e961	When the council talks about this, it sounds nice and neat, but when we travel around the country and the beach and talk to people at the grassroots in the trade movement, but also in the management of the federations, no one recognizes the beauty that the council is trying to draw. On the contrary, it is seen that a trade union anti-union policy aimed at weakening the emergence of trade union movement is being consistently implemented. The right has cut the trade union deduction, weakened the trade union's influence in the workplace and weakened tripartite cooperation. Now I would like to challenge the Council of State whether there is anything more than fine words and phrases, which we often hear from the Red Isaacs, or whether it will follow action behind the fine phrases that you cheer for trade organisation in Norway. Will the Right increase the trade union deduction? Will the Right reintroduce collective redress? Will Right contribute to the strengthening of corporate democracy? And will the Right stop the process they themselves have started to take out almost everything that's about the Norwegian model from the curricula?
ParlaMint-NO_2020-02-05.ana.ud231e968	I could say a little bit about it, but there's a bunch of statements here that are just crazy. Firstly, the trade union deduction has not been cut. It is true that it is not cost-adjusted, but if having an unchanged trade union deduction means being anti-union, you can see from the figures that, as far as I know, it was unchanged from 1980 to 1998. And then there are some prominent Labour Party ministers who in that case also have to get that label. I believe that falls on his own unreasonableness. As far as collective redress is concerned, several years have passed since the government said that it is not relevant for us. But that doesn't mean we're not going to have an offensive strategy to take the bad guys in the world of work. I then stress that by «the bad guys in the workplace», I mean not only those who run clean and intersect the crime of working life. Then I also mean those who bend and bend the legislation, those who do not pay proper wages, those who do not follow the culture and norms of Norwegian labour. We're going to point that out, and we're going to take them. Where necessary, we should also have, for example: public disclosure, but it is the parties that are heavily involved in it.
ParlaMint-NO_2020-02-05.ana.ud231e975	After all, the government itself knows that when he talks about not cutting off the union deduction, he is misled. It's been silent, on the same amount of dollars, since 2013, and that means a cut in the deduction of every state budget Right has been in government since 2013. When we had a red-green government, we significantly increased the union deduction, and the degree of organisation was also higher than it would have been without. But the Council of State itself points at the end of its answer to a group that really needs the value of it to be trade-organised, namely foreign workers, who are pushing down wages if they are not included in the Norwegian model. Then it is absolutely central that we offer them good guidance, good information, about the Norwegian model and the value of organizing. Then it does not work with a website and some brochures in English. What will the Council of State actually do to ensure that such workers are included in the Norwegian model?
ParlaMint-NO_2020-02-05.ana.ud231e982	I was absolutely precise and correct in my mention of the union deduction. I said that it “is not cost-adjusted”, and I believe that it is something other than a cut. So was my simple, modest point that if keeping it at the same level is equivalent to being anti-union, you can see that the union deduction was, as far as I know, at the same level from 1980 to 1998. Then you can go through in your head who had the prime minister in the different periods, and then some prominent Labour Party ministers would also have to get that label. I am more than willing to discuss in my own party whether the trade union deduction should also be adjusted for costs, but it is a process we have to take internally. In the case of non-resident workers, I fully agree; one of the most important Norwegian trade unions is to organise them, get them into trade unions, get them into the Norwegian model. I am open to any discussion and dialogue on how the State and the public can also contribute to it, even if the division of labour must be firmly established, where trade unions hold members.
ParlaMint-NO_2020-02-05.ana.ud231e994	‘Nav count shows that 2,2 pst. by the labour force was completely unemployed in December. Despite a low total unemployment rate in Norway, there are persistently high levels of unemployment in some district municipalities and the proportion of employed persons is very low. What will the Council of State do to ensure low unemployment and high employment rates throughout the country?’
ParlaMint-NO_2020-02-05.ana.ud231e1001	Let me first use the opportunity to thank the Workers' Party for inviting the District Minister to discuss the opportunities and challenges of the districts in Stortinget. That's very good. I was a little surprised when the question from the representative from the Labour Party came, because the unemployment in Norway is low. I'm fine in District Norway. When I travel around the country, the business community and the municipalities tell me that there is a shortage of labour, and that it is difficult to recruit skilled labour for the job vacancies. The same is true of Nav and the NHO. We should be glad that unemployment in Norway is low. In fact, the registered unemployment rate in 2019 was the lowest in 10 years. It provides a basis for growth and development across the country. In fact, unemployment is lower in District Norway than in the rest of the country. Much of the reason is that over many years the government has been systematically focusing on a labour, business and tax policy, just to give people a job to go to, and for businesses to grow and create jobs for the future. We have strong business environments and a well-developed education system, and this gives us good assumptions. Then, of course, we're going to deal with those areas of District Norway where the situation is different. Some district municipalities are struggling with a higher level of unemployment. Some municipalities experience more permanent leave, while other municipalities are able to return from high levels of unemployment. In some places, a high level of leave should be seen against seasonal variations, for example. in fisheries and travel. There are many policy areas that have a bearing on rural development. The government rates on transportation, education, culture and local economy, to name a few. We have targeted instruments that benefit businesses and municipalities in the districts. Differentiated employer’s fee is a good example of this. We also have means of conversion, if necessary. The main challenge is now, as we see it, the availability of enough and relevant labour. That is why we need to work to strengthen efforts to get more people to work, and to ensure that the population has the skills that businesses and municipalities need.
ParlaMint-NO_2020-02-05.ana.ud231e1016	I find it worrying that the district minister is wondering about a question in which we question that some municipalities in the districts have a sustained high level of unemployment. That's exactly what's the whole point, that the total looks fine, but there are pockets that are absolutely not good. Take, for example: my own municipality of residence, which has a unemployment rate of 4 p.m., some municipalities in the north and several other examples. They don't notice that the total looks good – they know their own everyday life. I am calling for a greater commitment to those municipalities in the districts that have a sustained high unemployment rate. Business is screaming for skilled labour, but people are not necessarily qualified. We can do something about that in common. Then I wonder why training and education activities in Nav are not being used more to make people qualified for the jobs out there in the districts.
ParlaMint-NO_2020-02-05.ana.ud231e1023	It is a little strange that the representative echoes my feedback on the question, because the premise in the question from the representative – that there is a persistent high unemployment rate – is quite wrong, in my opinion. Yes, there are a few places, and there we need special attention, among other things. in the context of the State localisation policy, which is that when examining the structural changes, it shall, on a case-by-case basis, include an assessment of relocation from Oslo. Government competence jobs across the country are important. That's why the government wants an extra attention around it. There are several state jobs in almost all counties now compared to when the Workers' Party crashed. There are only three counties that have fewer. And we've decided to establish and move twice as many government jobs as they did under the red-green government.
ParlaMint-NO_2020-02-05.ana.ud231e1030	The government would like to decorate itself with the overall picture looking good, but I miss a commitment to those places where reality is not the same, and where you have a sustained high unemployment. My question was just about training measures in Nav, and the fact is that the use of training measures, which will ensure that people who are qualified to take those jobs, have fallen below this government. In 2013 it was 29 p.m., and in 2019 it was 21 p.m. The same government has cut labour market measures, made Nav cheese needs and cut benefits, which pushes people into social assistance. Then I wonder: Will the district minister make sure that we get an increased use of training measures in Nav in the years to come, reverse the trend of this government and make sure that we get people who are qualified to take the jobs out in the districts and build the districts by being attractive?
ParlaMint-NO_2020-02-05.ana.ud231e1039	It's just government policy that works when we look around the country that there's a lot of jobs, and business goes well. And then it's precisely, as the representative was in, the skills workplaces that lack labour. Then we have to worry and help those parts of District Norway that don't go so well, and that have persistently high leave. An important step in this regard is to decentralise education. It is about connecting the right skills to the needs of businesses. That is why we have now launched Competence Pilots, which is a new measure to improve access to skilled labour in District Norway. We'll give you 16 million. kr to it this year, precisely because it is so important that we give our citizens the skills that businesses need, so that there is easy access to work around the whole of District Norway.
ParlaMint-NO_2020-02-05.ana.ud231e1055	This question has been withdrawn.
ParlaMint-NO_2020-02-05.ana.ud231e1063	‘When the Council of State responsible for the districts of Norway is also responsible for digitisation, the Government finally acknowledges that the districts have not been given the digital development that is absolutely necessary. The areas that have still not received access to broadband fibre are areas that are not commercially viable to expand. What will the Council of State now do to ensure that everyone in Norway has access to an effective and stable broadband, which will ensure a country-wide settlement?’
ParlaMint-NO_2020-02-05.ana.ud231e1070	The government has been speeding up the expansion of broadband across the country. International rankings show that Norway is very advanced in the provision and use of broadband and the Internet. We're going to enjoy that. Safe and good infrastructure is essential for the competitiveness of business and local value creation, for our democracy and for the participation of citizens. The government therefore provides good broadband infrastructure across the country. Today, as I said, Norway has very good mobile and broadband coverage. According to the latest coverage study, nearly 100 pst. a basic broadband offer of households in Norway, in the form of either fixed or mobile broadband. 86 pst. high-speed broadband is offered by households. The long-term objectives of the government are the provision of high-speed broadband to all. The commercial actors continue to invest in all parts of the country. This happens, among other things: by facilitating sustainable competition in sector-specific regulation, providing sufficient spectrum resources for mobile broadband and contributing to cost-effective deployment by removing unnecessary barriers. Market actors invested almost 10 billion. kr in 2018. The availability of high-speed broadband is better in densely built than in scattered strips, and the differences are decreasing; the gap is narrowed. In 2013, when the Workers' Party crashed, had less than 11 pst. of households in spread-built districts offering fibre-based broadband. In 2019, the figure is 45 pst. About 60,000 new households in scattered districts received fibre broadband from 2018 to 2019. Providers are building up too fully, even in the less densely populated areas. But although the offer for a large part of Norway’s population is good and is getting better, of course, we do not settle for it. Therefore, the government implements several measures to ensure good broadband services for all citizens in the future. Therefore, the government has granted grants to broadband this year for approx. 250 million. kr. This triggers total investments for the two years that are likely to exceed a total of 2 billion. kr.
ParlaMint-NO_2020-02-05.ana.ud231e1083	I'm a little surprised that the Minister of Digitalisation uses numbers as 13 pst. I'd like to admit that Einar Gerhardsen – and neither Kåre Willoch – did not build up especially with broadband, so development goes the way that we have to make sure that everyone gets broadband. However, the undersigned are constantly receiving feedback from rapporteurs and residents in District Norway that they are losing access to the copper network before Telenor has established alternative access. This is despite the fact that both the previous Minister for Digitalisation and Telenor have promised that this will not happen. I have repeatedly taken up such situations in this room. The reasons why access disappears may be many, but I would like to challenge the new Minister of District and Digitalisation on how she sees fit to work because the whole country is secure access to broadband all the time.
ParlaMint-NO_2020-02-05.ana.ud231e1088	It is true that Telenor has decided to phase out the copper network by the end of 2022. I have a great deal of understanding that it creates concern, and it creates uncertainty if it's going to be possible to be online as much as we want, all around District Norway. Around 450,000 households and enterprises have today supplied broadband over the copper network. The number has fallen steadily in recent years, and only in the last year has the number dropped almost 20 pst. Telenor does not have universal service obligations on broadband, but Telenor has assured that they will continue to maintain the copper network if customers have no alternative, via the mobile network or other fixed networks, and this applies to both broadband and telephony. There is a close dialogue between the Ministry of Local Affairs and the Telenor to ensure that those affected are maintained in other ways.
