ParlaMint-NO_2020-06-10.ana.ud451e42	The representative of Mona Fagerås will present a proposal for a representative.
ParlaMint-NO_2020-06-10.ana.ud451e604	Norway has a thriving space activity with an increasing number of high-tech jobs across the country. The activities of space are innovative, international activities which also help Norway to fulfil important national tasks related to sovereignty, maritime surveillance, environmental monitoring and communication in the north. Space infrastructure can be of great importance in achieving all the visions we have for smarter cities, more efficient use of natural resources, more efficient agriculture and higher precision in the development of roads and infrastructure. For social security and the exercise of sovereignty too, space activities are of great value. Norwegian space activities are important in view of Norway’s special position as a population small Arctic nation with a large sea area with significant economic and strategic interests. It is gratifying that a total accumulation stands behind the bet at Andøya Space Center. The base is important for the visibility of the Norwegian space industry in Europe and can be used for the construction of a Helen industry that can deliver throughout the food chain. This includes everything from the design, development and launch of small satellites to the download and processing of data. The launch base will strengthen Norway's autonomy and competitiveness, both civil and military, in areas where we currently rely on foreign suppliers. In addition, this will be very well located in view of the deployment of satellites in polar orbits for Earth observation, and this will give Norway a competitive advantage over operators with less favourable location. That's why it was a happy day when my party colleague, Minister of Industry, Iselin Nybø, and the government released the news that it was to be invested up to 365 million. NOK to build Andøya Spaceport. Andøya Spaceport is a very exciting project that can provide both jobs in Andøya and interesting opportunities for further development of Norway as a space nation. The space industry is an internationally oriented industry. Good cross-border cooperation is important and it is essential that Norway participates in international programmes through the EU and other allies. Participation in ESA programmes is very central to the development of the Norwegian space industry. ESA is responsible for most cooperation projects in Europe, and Norwegian participation is of high strategic importance for Norway and Norwegian business. The EU research programme and the EU space programme are becoming an increasingly important area for the development of European cooperation in space activities. Norway benefits greatly from participating in the Copernicus Earth observation programme. Europe’s desire to become independent of the major powers has made Galileo an important satellite navigation system under civil control with global coverage. On behalf of the Left, I have to say that it is important that we continue the good cooperation we have, among other things. with the EU in this area. International cooperation is also important for the recruitment of industry and the development of knowledge in industry. The Rome industry is a knowledge-intensive sector. Therefore, competence through education and research is very important. In particular, technological competence is sought by the enterprises. We need to get on with this. So it's not going to come from the fact that there are also some challenges with the space industry. It's not just on Earth people sibling. There's also a lot of trash in space. The space trash consists of a lot of different things, everything from large satellites that are no longer in use to rocket storage, and more. So these are man-made things that are no longer useful, but that are not cleared, because they are expensive and difficult. Although much of the garbage burns up when it finally falls to the ground, it gets very drowsy for many, many years. It is very important that we, as politicians, demonstrate that we are aware of this challenge, because litter needs to be avoided in general and because the garbage can actually damage operating satellites and other equipment used in space. It also applies to the industries, that they take it seriously themselves.
ParlaMint-NO_2020-06-10.ana.ud451e622	On 29 November 2016, the Stortinget made a unanimous decision asking the government to develop a Norwegian space strategy. While it has taken time to sign out that decision, the government has now chosen to draw up its own forecasting message in which strategies for Norwegian space activities will be described in detail in the coming years. It's good, and it's time. The last time the Stortinget dealt with a big deal about Norwegian space policy, was in spring 2013. Over the years that have gone on since then, there has been tremendous progress in this area. One of the most important developments is that private actors are at full speed into space as suppliers of technology to boost payloads and people in space. The company that's been most prominent in this way is SpaceX in the United States. Last year, the company raised a payload of 60 small satellites for telecommunications, and a little over a week ago, the Dragon capsule with two astronauts on board was sent up to the International Space Station. It's the first time in history that a private actor has sent people into space. Technological innovations and fairer deployment solutions are also of great interest to Norway, as we have so far had limited opportunities to acquire and launch our own satellites. Another development is the strong growth in the downstream space sector, where commercial opportunities open up for the production and sale of goods and services based on the use of sensor data, satellite communications and satellite navigation services. It is in this way interesting that Norway also contributed to the implementation of its SpaceX Dragon project by downloading and disseminating spacecraft data via Norwegian ground stations. We also see social security, preparedness and defence becoming an increasingly important driving force in the development of space technologies and the use of space. This means that in Norway too, we need to strengthen and further develop our own capacity in this area. In sum, these trends show that the government’s forecast came in time, not one day too early. The four main objectives of Norwegian space activities mentioned in the Communication are priorities that are important and on which we in the Christian People's Party fully support. We are particularly pleased that an overall committee addresses the need for a national space programme that enables Norway to bet on where we have our industrial advantages, while addressing the programme in particular national needs. The Committee points out that a national space programme should have as its central objective the construction of a stronger Norwegian value chain in satellites by investing in what could become Europe’s first space port in Andeya. Furthermore, a Joint Committee points out that the Programme should focus on the need for industrial competence in the years to come, as well as the strengthening and instrumentation of research activity. It is also very important that a space programme also includes instruments such as national accompanying instruments in the European Space Programme. Through these funds, we build Norwegian knowledge and technology that can be used as a platform for further growth internationally. The main signal given by a Joint Committee in the report setting. However, St. 10, it is important that Norway realises Andøya Spaceport and invests and provides grants of the magnitude needed to get started. The space industry, together with educational and research environments, is in agreement that this is the largest growth impulse the sector can have at national level. There is also a European space race in progress, with several countries aiming to be the first to set up launch capacities for small satellites. With the broad cross-political consensus that has now been reached in the form of decisions to ask the government to implement the plans for Andyya Spaceport as quickly as possible, we in Norway are a long step forward in winning that race. This is also good news for a community that is in a tough transition process. The establishment of Andøya Spaceport will mean hundreds of new skills jobs and exciting development opportunities as a European centre for this type of deployment capacity. Now space policy also becomes good district policy, and nothing can be better, from the point of view of the Christian People's Party. Then there is also a couple of important points where the opposition and the government parties do not agree. While the opposition wants and points to Tromsø as a national space-based activity centre, government parties ask that the need for such a centre be addressed, including any appropriate location. Like our government partners, we also believe that the opposition's wish to establish a strategic Council for Norwegian space activities has already been respected by empowering Norwegian Rome Centre in the 2020 letter of assignment to establish a technical council.
ParlaMint-NO_2020-06-10.ana.ud451e643	The last time a strategic review of Norwegian space policy was in connection with the Storing Communication between Heaven and Earth: Norwegian space activities for industry and utility – in 2013. The fact that the government is choosing to re-examine now is due to today's raging developments in the space sector, the importance of space and satellite services to Norwegian society and the strategic importance of space in military, civil and future value creation. In the work on space communication, the government has focused on getting input from businesses, business and other stakeholders. Space activities engage and inspire — including here on the Stortinget. I feel that there is a broad political consensus on the broad lines of the Norwegian space policy. Norwegian State investment in space is beneficial, with emphasis on industrial development and concrete national user needs within – yes, almost all sectors of society. The government has four objectives for Norwegian space activities: to promote profitable enterprises, growth and employment; to meet key societal and user needs. ensuring adequate security of societally important space infrastructure; ensuring Norwegian foreign, security and defence policy interests in space and outer space; The importance of utility and industry remains constant and international cooperation remains the cornerstone of Norway’s efforts. We will continue to participate actively in ESA, and we will also assess our further participation in EU space programmes from 2021. In addition, we focus on safeguarding societal space infrastructure and securing Norwegian interests in foreign, security and defence policy. Among other things, we work with a new space law to ensure timely and forward-looking regulation in this area. The approach to the organisation of space activities is pragmatic, with a focus on exploiting available opportunities that can meet national needs in a cost-effective way, often through international cooperation, sometimes through the development of solutions under national law. Space Norway's project for broadband communications in the northern regions illustrates this well. Norway has a special need for communication in the north, but the solution is found in cooperation with others. The project is State owned, with commercial customers, and has been possible through civil-military international cooperation. We're going to continue to take advantage of our strange advantage, and And Islanda is one of the few places in Europe where it can be possible to shoot up satellites. I am pleased that we have the whole Storting in our backs when we say that we will contribute to the realisation of Andøya Spaceport, provided of course that the company is able to develop a profitable business model that is consistent with the State aid rules of the EEA Agreement. Norwegian space industry is a high-tech industry that benefits strong international competition, and space technology enables innovation and development throughout industry. With this space communication, we provide the basis for a forward-looking Norwegian space activity that contributes to the creation of value added and sustainable growth that benefits the entire community.
ParlaMint-NO_2020-06-10.ana.ud451e673	It's going to be line change.
ParlaMint-NO_2020-06-10.ana.ud451e678	In my opinion, some of the most important thing we will be allowed to do today is to decide that the government has to make sure to build Andeya Spaceport. But we're not doing it today; it's in the crisis package, called Prop. 127 S for 2019-2020, which will be discussed next Friday. The proposal for allocation has been promoted there with three assumptions, the first of which is that equity must be expected to provide the country with a return equivalent to that which a rational market investor would have accepted. The world is a little different now than it was just at the beginning of March. The interest rate has gone against zero, security of return in a hard-tested business has changed. The Council of State stated that it must be a profitable investment. How profitable does the Council of State see that it has to be? What return would a rational market investor have accepted to invest in Europe's first small satellite launch base?
ParlaMint-NO_2020-06-10.ana.ud451e685	What the representative and the rapporteur raise is the job they're doing up on Andøya right now. It's a very exciting project, and many people are interested in that project. Actually, the situation in the world may be a little bit different right now than it was a few months ago, but when we talk about this industry, this kind of business development, the lines are long. It also has some strategic meanings and there are decisions to be taken by different stakeholders out there. My view of creating a commercially profitable model is that there is something we agree that must be on the ground, and that Andøya himself wants. They want to be part of an industrial adventure. My opinion is that it works well, and I have good faith that they will be able to make a model and also bring with them other stakeholders.
ParlaMint-NO_2020-06-10.ana.ud451e692	I'm going to go to EU funds, and then I'm going to get back to the return claim if I get a third line. We know that the Norwegian space industry creates very large values when they can participate in international programmes. Traditionally, the main programmes have been in ESA, but EU programmes are becoming increasingly important: Copernicus on Earth observation, Galileo on communication, and also EGNOS. The communication on space industry raises uncertainty as to whether Norway will participate in the EU programmes in the future. NIFRO, the association for the Norwegian space industry, says that it has given bad signals to the partners that industry has in Europe, whether Norway is going to be relevant cooperatives in the future. And then it's said in the comments on this case, in the position, that it's because you don't know exactly what the budget in 2021 is like. But I see that, in March 2020, the government colleague of the Council of State, Asheim, seems to have pushed for us to participate in the EU's Horizon Europe research programme. So does the government have ambitions to participate in EU space programmes?
ParlaMint-NO_2020-06-10.ana.ud451e699	There is no doubt that international cooperation is important in terms of this industry and development here. We're in ESA today. We are in the space programmes today, which have had a major impact on the development of technology, on the development of industry and on the environment that we also have in Norway. So it's the Storting that needs to make a decision whether we're still going to be part of the EU programmes. It's new programs. It's not just the space programs, it's like this all over the world. We're working on that right now. There's something we're looking up against the state budget that we're making for the autumn, and that's when the Stortinget gets the opportunity to decide whether or not to join. But that it has been of great importance, there is no doubt about it.
ParlaMint-NO_2020-06-10.ana.ud451e706	In my post I was a little concerned about how often, or not often, such a message has come to Stortinget. I was also concerned about how concrete or not such a message is and can be. The red-red opposition has put forward a number of proposals, including: a proposal to draw up a concrete action plan for the space industry. My question to the Council of State is: How does she view the development of such an action plan, and how does she manage to follow a concrete action plan?
ParlaMint-NO_2020-06-10.ana.ud451e713	What I think is challenging with the proposal from the Reds is that a concrete action plan for the space industry should be drawn up through a national space programme. And that could give you a little bit of association to have a state Apollo program. We won't. Our space policy has been myth-based. Our space policy is about the cooperation between industry and research and the development environment. It still has to. We spend a lot of money on this today, we're in ESA, we're in EU space programmes, and I'm concerned that we need to keep focus on what's going on in space. It's something that has long lines, but it happens a lot in a short time. And I fully agree with the representative that it has been a little too long since Stortinget finally received a message like this. How we're going to do it in the future, we're going to get back to, but that the Storting should discuss this more often, I totally agree.
ParlaMint-NO_2020-06-10.ana.ud451e718	It really fits that the former Minister of Industry has come to the Chamber, which I tried to boast because her cut in the space program created a strong commitment, which one still lives on in this room. Today, however, it is also the case that the Red-Green Parties, the Labour Party, the Centre Party and the SV, have proposed to ensure Norwegian participation in the EU space programme between 2021 and 2027, that a national follow-up plan is desirable. This cache message is designed to ensure that this should not be too much trouble. And when one goes against this kind of proposal, it becomes a little uncertain, and my question is: can the Council of States guarantee that one will continue, at least for the next year, in the EU space programme and that one will have national resources at least at the present level and preferably with a stepping-up plan?
ParlaMint-NO_2020-06-10.ana.ud451e725	The representative knows very well that it is through the budgets that we take these decisions, and that this will be decided on as a budget for the budget. As far as EU space programmes are concerned, we have been involved in this before, and we are now going to make a decision on whether to continue to participate in the new programmes that are now being presented. That decision will be taken until the autumn. That's part of the budgetary work that we're working on now, and that we're going to present. It is clear that as a former research minister, I am very concerned about the significance of this. I am also now the Minister of Industry – the link between industry and research, the link between industrial development and research is important, not least it is in this area. But now the system is such that in terms of these EU programmes, a decision is made for one year, and that is the end of the period. Now the period for the existing programmes is over, and we have to make a decision in the budget if we're going to keep going.
ParlaMint-NO_2020-06-10.ana.ud451e733	I thank you for your answer. Some of the criticisms of this big message are that although it gives a good description of the situation and points out some directions, it lacks, as well as the concrete thing to do. Then I understand that it is difficult to take the most concrete things into a big message, and that it should be worked out afterwards. I record that in response from the representative Ørsal Johansen it was said that what is the problem with proposal No. One is that it says it will take place ‘through a national space programme’. I think I agree with the Council's description of what a national space programme is not. My question is, in fact, seeing the Council of State independently of proposal No. 1 the need to develop a concrete action plan for the space industry after this big message and in cooperation with the space industry?
ParlaMint-NO_2020-06-10.ana.ud451e742	I am pleased that the representative also sees that not all measures can be included in a big message, because it comes later. Things are happening in a furious development. This with Andøya Spaceport is an example of something that has happened after the staging message was submitted. The decision on the EU space programme is something that needs to be taken after the launch of the Storing Communication. When it comes to dealing with this issue in the future, I am a little uncertain whether there is an action plan that is the best way to do it. We spend a lot of money today on both the research side and through ESA, and Norwegian Romsenter manages money. So we're spending considerable money on this right now. I believe we should continue to do so – we must continue to develop this industry. I also believe that Stortinget must have such matters dealt with more often than now. But if it is through an action plan, I am more uncertain about it. I think we have to come back to that.
ParlaMint-NO_2020-06-10.ana.ud451e749	We from SV want to welcome this amazing project on Andøya Spaceport, and we want the great enterprise in business policy that it is. We've previously sent questions to the government's government to guarantee that the satellite base on Andeya will not be used for military purposes, and that the base will not be able to contribute to increased tension in the northern regions. The short answer to that was that no, it could not be guaranteed by the Council of State. We're very critical of that, and we're going to work hard to change the defense policy line that it's being put up to here. So I wonder, to what extent and in what way does the Council of State think that the base should be used for military purposes?
ParlaMint-NO_2020-06-10.ana.ud451e756	Firstly, I see that there is a broad majority on the Stortinget that sees the importance of this launch base also in a defence and security aspect. It's also part of the strategic thinking in those areas. So it's quite right, as the representative says, that the answer to the question that was sent is no. It's also no because Kongsberg is on the owner's side up on Andeya. Who, if any, will be involved in the project currently under discussion, is still unclear, but that there may also be military activities related to it. But then it is also important to clarify that this must be done in accordance with the laws and regulations in force in this country. So we've also seen good control of how it's used.
ParlaMint-NO_2020-06-10.ana.ud451e761	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2020-06-10.ana.ud451e768	The geographical location of Norway means that we have had and have a unique opportunity to develop within space activities. This has also meant that Norway is important in an international context. Our huge sea areas, our high activity in maritime transport, and not least our activity around the resources of the sea, make us very useful to satellites for communication, navigation and surveillance. There is no doubt that Norwegian space activities are an important contributor to the value creation of the Norwegian economy, both as an industry itself and as a support function for other industries. Norwegian space industry is a result of long-term investment from both governments and businesses. One might say that this is a good example of public-private cooperation, where public funding for research, development and infrastructure has supported under long-term investment in Norwegian business. It is gratifying that a Joint Nutrition Committee supports what is happening on Andøya and with Andøya Spaceport. The Industry Committee asks the Government to ensure that Andøya Spaceport is realised as quickly as possible. Before we have adopted this today, the government has proposed 365 million. kr in funding for the establishment of Andøya Spaceport, which is a launch base for small satellites. It might well be to act quickly. Andøya Spaceport has been working on this project for some years now, and it has changed form along the way, but that this is a unique opportunity for Norway to take an international position, there is no doubt. The right and the government have supported this job through the different phases, and now we are there that the money is proposed to continue the work and hopefully get to the goal. I've been following this project since the beginning and hope I can join in watching the first satellite fired from Andeya Spaceport. This is an important investment and opportunity that will ensure skills and skills jobs in the north. When this is done in an industry that can have a high growth potential in the coming years, it will help to give us more legs to stand on. We're going to make sure that the business community dares to bet and enter some unknown waters, but with safe management.
ParlaMint-NO_2020-06-10.ana.ud451e781	I'd like to think like many others that this is a joyous day, and it's a result of long, hard working here in Stortinget. I was in 2016 and took the initiative, together with the SV’s local representative at the time, Snorre Serigstad Valen, and several others, to a Document 8 proposal where we wanted a new national space strategy. The government was positive then, and has worked for a long time with what has now become this big message. Unfortunately, I think work has taken a very long time. The strategy and the call for proposals have been postponed and postponed and postponed, but finally something came up, and it is worth celebrating and marking. I saw the importance of this exciting and important industry when I was at the oil fair in Stavanger a few years ago. Of all things, NASA was present in Stavanger. They were there because, initially, stricter demands are often made on some of the technological devices we have in the North Sea than are made on the things NASA sends up in space. They were in Norway to see, with great interest, the technology skills we have here. For example, Comrod, a rather small company in Rogaland, has delivered the radar to NASA Mars-Rover – an exciting project that underlines that this is an industry that should get more attention and that has not least an enormous potential for more jobs and further growth. That's why I think it's a pity that the process of the big message and the strategy has taken so long. I find it a pity that this government is so little ambitious. There has been a reduction in the important accompanying instruments that have given industry important assignments and that have contributed to new projects, and there has been considerable uncertainty over Norwegian participation in EU and ESA programmes for several years. Luckily, it has been suggested that a cut has been avoided, and unfortunately, the government will not be able to say today that one should continue to participate in the further programmes. There has also been uncertainty about Andyya Spaceport for a long time – too long – but I am pleased that it has now been clarified to a greater extent. There are too few ambitions from the government on behalf of an industry that is exciting and has enormous opportunities. I hope that one in the future can dry to dream bigger. I think it is a pity that the Labour Party's proposal for a national space programme is being put down, because Norway has a great potential here. Finally, I would like to say that I think it is important that a small country such as Norway also participates in the international debate on space, that not only the United States, China and Russia are allowed to dominate in that discussion. That is why we were important in the development of maritime legislation, and it is also important for the development of space law.
ParlaMint-NO_2020-06-10.ana.ud451e794	When the Workers' Party has proposed a national space programme, it is that if we create our own national programme, we decide on it and ask the companies to participate in developing the parts of the industry that are most important to us as a nation. When we participate in the ESA programmes and in the EU programmes, they are often able to generate added value in Norway, but we do not control the device on their own. The initiative on Andøya Spaceport believes the Workers' Party is a good opportunity to create a national programme that sets out the value chains related to satellites. Unfortunately, we do not get the government parties on the proposal, and there is reason to note that the opposition has a much greater desire to bet on satellites in Norway and the entire value chain associated with it. I think we'll in any case get a growth impulse within this industry because you get access to launch capacity. It is regrettable that there is uncertainty about Norway to participate in EU programmes from 2021. There is a longer programming period to be included, and it is important for the industry that their international partners know whether they are involved in the EU programmes. I would like to remind you that Galileo, which determines positioning within a European controlled system, is very important for Norway, and it is also the Earth observation programmes. I noticed that I did not receive a response to what the government has planned to do with the Andøya Spaceport investment. It was answered that Andøya Spaceport is now operating and answering a number of questions related to it. I'm aware of that, but just as far as the return requirements you choose to set for it to be a business investment, the government and the department are responsible. I hope you do not waste a great opportunity for Norway to build important infrastructure by making wrong demands in that case.
ParlaMint-NO_2020-06-10.ana.ud451e805	I only have a brief explanation of vote on proposal No. 10, from SV, a loose suggestion. Of course, the development of Andyya Spaceport must be carried out in cooperation and dialogue with the fishing industry, and one must consider remedial measures. But I feel it is wrong to decide on this kind of relatively detailed thing. Next Friday there will be a treatment and a formal decision on the allocation of capital to the project, and that is where it is most right to accept such a claim. There is already a government statement that you should have dialogue with other industries and find solutions to this. That is why we do not support proposal No. 10, from SV, and I assume that the other parties largely support such a position.
ParlaMint-NO_2020-06-10.ana.ud451e812	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2020-06-10.ana.ud451e829	At the request of the Judicial Committee, the President will organise the debate as follows: 3 minutes for each party group and 3 minutes for members of the government. Furthermore, up to five lines of response will be given after contributions from members of the government, and those who have to sign up to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2020-06-10.ana.ud451e836	The Judicial Committee has examined a proposal for a representative on new instruments to combat crime in the context of the Korona crisis. The proposal contains two points. One point is the proposal that the government should promote its own package of measures, a crime package, with the necessary means for action in relation to things happening during the Korona crisis. With regard to that proposal, a broad majority of the Committee – with the exception of the Progress Party, which is the proposers – has said that we believe it is natural to deal with new budgetary resources during the budgetary process we are now receiving, first under the revised budget and then under the government budget for the autumn. The review of the revised budget, where the various parties have their proposals, comes so quickly that it is most natural to take this up there. I think we agree that there is still a need for special measures, but that should be done within the budget procedure of Stortinget, which is right around the corner. That proposal has not been approved by the Committee. The second proposal, on more specific measures aimed at what is happening during the coronary crisis, has been discussed by the Committee. I would first like to say that there is a committee description of developments in terms of the possibility of exploiting the arrangements we have put in place during the coronary crisis – such as the compensation scheme for business and private individuals, and the rules on permitting. Much of this is based on trust and requires quite extensive control activities to be followed closely. I think most of us have noticed that when we go around the street, we get a lot of messages that that company does it like that, while that company doesn't do it like that. So there's a lot of different practices in the border country against the exploitation of the schemes. There's a lot there's a need to look at here. We rely a lot on trust in Norway. We will continue to do that, but there is also a need for better control of how the schemes are now used. Perhaps especially when the corona crisis begins to wane seriously and extensively, it will be very important to look at abuse. Two proposals are made, both by a majority in the Committee. One has a broad majority and deals with the sharing of relevant register information, including reasons. the need to look at the functioning of the permitting arrangements. The second is a proposal to review the threat assessment of Ecocrim and to put measures in place in this context. Both proposals are presented by the Committee, and I therefore recommend the Committee's position.
ParlaMint-NO_2020-06-10.ana.ud451e851	Today, we are discussing the proposal of the Progress Party on better instruments to combat crime during the Korona crisis. We fully agree with the proposers that any change in the crime scene must be closely monitored and met with effective action. The response letter from the Council of State mentions initiatives taken to get an overview of both the situation in Norway, the resource situation in the police and the work on legislative changes that can facilitate the sharing of information related to confidentiality. The right fully agrees with the proposers that the exchange of information in the public sector can be very important for the prevention and investigation of crime. The obligation of professional secrecy must not prevent the police from receiving important information from the public that can solve crime. This is a matter the right has been busy for a long time. The government is currently examining the investigation of new administrative laws. The investigation proposes inter alia: to provide greater access to the sharing of confidentiality-related information between administrative bodies. As a result of the covid-19 outbreak, 400 new police officers have been added. This is done to improve the ability of the police to deal with various challenges that may arise at this particular time. Ten million have also been proposed in the context of the revised national budget. extra to police prevention of online abuse. This is particularly important at a time when a fear that several children may have been exposed to this type of crime. The government follows closely the situation and will return, if necessary, to the Storting with proposals for further action. To the proposal to review the threat assessment of Ecocrim – this is something that is done continuously. It is always up to the Minister of Justice to assess the threat in different crime fields and then to set up resources. We therefore believe that the government has adapted to the current situation in Norway and closely monitor developments, and that the police have the tools needed right now.
ParlaMint-NO_2020-06-10.ana.ud451e866	We've been through – and we're in – a special time that requires a lot of us. It requires a lot of our society, but it also shows how well, well-run and great this society works through the trust we show each other, and on which our society depends. It is a trust-based society that works when necessary, even in exceptional situations, mostly – not for everyone, but mainly. But it's a challenge because in the trust we show each other, we also open up a room for those who will abuse that trust. Those who want to use a difficult and special situation for their own benefit, criminal opportunists who do not shade the path in order to exploit the vulnerable situation in which we are, must be combated. It is about the legitimacy of our society, the legitimacy of law and order. It is important that we manage to combat these elements in a good way. Then you have to have the necessary tools, the necessary tools, the necessary tools to fight crime that is very damaging to society and that only help to break down the trust I had at first. That is why I am very pleased that the main proposal put on the table by the Progress Party, which we are going to be discussing today, actually receives a very broad majority in the Chamber today. It's about sharing information that's crucial for fighting crime. The authorities that are to follow it up and stop crime must have access to that information. And then we'll have to make sure that more division is done. I am very pleased that the majority of the Committee has taken on board the consequences of this, and that the Progress Party will have a majority in favour of this proposal today. In addition, we have another suggestion. It is true, as the rapporteur pointed out, that it is about the financial framework in order to implement an even better effort to combat crime. We take note of the evaluations made by the Committee, but the most important proposal we have made is that we have received a majority in favour. I would like to take up with that the proposal that we have left.
ParlaMint-NO_2020-06-10.ana.ud451e877	The representative Per-Willy Amundsen has taken up the proposal he referred to.
ParlaMint-NO_2020-06-10.ana.ud451e882	The centre party is very pleased with the initiative of the proposers, and we fully agree with the rest of the committee that good cross-border cooperation is very important to combat crime. With regard to the concrete proposal to ensure that relevant register information can be shared between public administrations, we have recorded that the Minister of Justice, in his letter to the Justice Committee, says that there is something the Department is working on and that there will be a consultation note with proposals for rules on increased access to the sharing of information relating to confidentiality, which is a follow-up to previous decisions. In this case, we think it is right to await what proposals for rules come from the department. In many cases, the sharing of confidentiality-related information is crucial for combating crime, but there are other considerations, such as: privacy considerations, and that is why we believe that we want to see what the ministry does about assessments and limitations of these things. Although most people follow the rules of the game in the time we are in now, we fully agree with the Progress Party that we must ensure that we prevent the abuse and exploitation of the arrangements that Norway has put in place to mitigate the coronary crisis, and generally prevent the exploitation of the vulnerable situation that the country and its people are currently experiencing. We expect and trust that the government will follow it up in a good way. The centre party believes that there are many other measures that are very important to ensure a better fight against crime. Since the beginning, we have been a clear opponent of the police reform, which we believe has led to a major centralisation of the police and a weakening of local presence and investigation capacity in the police. The police resource situation has been critical for many years. The Centre Party has also proposed for several years to give priority to measures against border crime and to improve the conditions under which the customs office is to operate, inter alia. to detect and combat labour crime and economic crime, which is a very major problem in Norwegian society. The Central Party will continue to work to strengthen police, border control and customs and to strengthen efforts to combat economic crime, labour crime and other crime on a general basis, both in the special situation we are currently facing, and otherwise, outside a crisis situation.
ParlaMint-NO_2020-06-10.ana.ud451e895	We are discussing here a proposal from the Progress Party related to a concern about the development of crime in the wake of the pandemic. The Progress Party refers to a Europol report, but does not really show the exact findings of Norway. What's interesting about this case is that the big concern we might have had a few months ago about crime, hasn't hit. Overall, crime in Norway is still low, and the Minister of Justice also confirms in his letter to the Committee that crime has not really gone up. That is why this is not necessarily as innocent as it appears, because the Progress Party is really following a well-known track here. They want to take a picture of a crime, an exaggerated picture of a crime, a kind of danger that exists, in order to encourage a sense of insecurity among the population, and then come back with more stringent measures. However, it is not in this proposal – and it is also confirmed in the Minister of Justice’s letter – that there is a particular need for some exceptional measures. So the premise and the narrative that the Progress Party tried to draw up initially is not right. But I will also give tribute to the Progress Party, because during the process in the Justice Committee we drew close to each other, and we actually managed to get a position here with a significant share of joint comments and a common problem description that the Committee could broadly support. In this way, the Progress Party shall have the honour of listening to the understanding of other members of the Committee. SV's main concern during the pandemic crisis may not have been the type of crime we've been talking about today. It has been linked to the fact that in vulnerable families, women and children may have been confined to people with poor care, and we have probably, without evidence, had an overgathering of violence in close relationships. It is striking that this is not what we have received reports from both health services, child protection and the police, the Progress Party is gripping. Fortunately, the Minister of Justice does so in his letter of reply to the Committee. As for the reason that SV will not be on the point of register information, it is actually because we are behind what the Minister of Justice himself writes to us. The Minister of Justice is putting up here with a process where we are going to get back to this, that this of sharing register information and sensitive information should be processed after a proper process. I think there are so many uncertainties about this that it is doubtful whether this should be dealt with in a rapid procedure like this. I rather support what comes from the Minister of Justice, than what the majority in this House is in favour of.
ParlaMint-NO_2020-06-10.ana.ud451e914	Let me start by making sure that the government follows, of course, the trend of global crime. We are aware of the situation in other countries and assessments carried out by international organisations, such as Europol. The need for increased resources, legislative changes or measures to prevent or combat crime, if any, is based on the situation in Norway. On the basis of the proposals made by the representatives of the magnificence, the Police Directorate has now assessed the crime situation. Based on Økokrim’s threat assessment and Kripos’ situation update, the Directorate of Police considers that it cannot be established that labour or other crime is increasing in volume. But the covid-19 pandemic and economic uncertainty have created room for action on crime. Government compensation schemes are likely to attract criminal actors who want to seek profit. It is likely that fraud involving day-to-day money or other arrangements will also increase. Police point out that criminals will abuse the situation in order to commit fraud or crime in the digital space. We know that children and young people have had more opportunity to be in the digital space, arenas where parents have less overview. The police believe that criminals who commit violence and sexual abuse against children have scope for action in the area of abuse using digital solutions. The police budget is 20 billion. kr and the operating budget of more than 18 billion. kr. In this situation, the government has provided for the recruitment of 400 police officers in temporary posts, and proposals are made in the revised national budget, which further increases capacity. The government is proposing a 400 million measure package. kr for vulnerable children and young people. Increased appropriations to strengthen efforts to tackle Internet abuse are part of that package of measures. The police further develop prevention of abuse through online patrols and online services aimed at children. A cross-ministerial strategy on child abuse is being pursued, which is now being presented in 2020. We follow the government's situation carefully and continuously and assess the police's ability to act. Cross-judicial cooperation requires the possibility of sharing information. The administrative law committee presented legislative proposals in NOU 2019: 5 to facilitate effective proceedings. The document proposes to allow greater access to the sharing of confidentiality-related information. Following the proposal, information shall be shared in order to fulfil the tasks attached to the recipient body, which is not covered by the current legislation. We are now working on a consultation note on increased access to information. That proposal shall be sent to the hearing within a very short time.
ParlaMint-NO_2020-06-10.ana.ud451e929	It's going to be line change.
ParlaMint-NO_2020-06-10.ana.ud451e935	The Council of State mentions that it will come back to the Storting with proposals regarding the sharing of confidentiality-related information in order to combat crime. I have a question related to it, and that is whether it will also include what we have been dealing with in the Storting for several years now, namely sharing information when police, school, kindergartens, child protection, Nav, etc. co-operate on issues, e.g.: on violence in close relationships or children who are struggling with crime, where there is currently no way to talk about which children are involved. The police have taken this up with me repeatedly and have previously proposed to develop a guide on how to understand the obligation of professional secrecy, because there is an opportunity to make exceptions if it is best for the child. But nothing has happened that works, so there is still a very topical problem. I would like to ask whether there is also a problem that will be addressed in the work on this matter of confidentiality-related information.
