ParlaMint-NO_2020-03-11.ana.ud187e28	The representative, Mr Liv Signe Navarsete, will present a proposal for a representative.
ParlaMint-NO_2020-03-11.ana.ud187e418	I understand it's confusing. At the same time, we cannot quarantine Norway as a whole. There are some of the choices we have to make on the road. Therefore, the choice has been that if there is a person who is suspected of being exposed to it, that person is in quarantine. When people it has been in contact with until then are tested, they have symptoms of it, and those who have had contact in that phase in the first round will also be. But taking the second and fourth line and the fifth line, I think we would have quickly seen would have meant that very many things in our society had not worked, for example. care for the elderly or the health care system around small municipalities. That's why you've chosen that way of dealing with it, obviously based on probability calculations and the future image of the infection. As I emphasize, this is a disease that is going to have a development like an epidemic. There's going to be more cases. But the most important thing we do now is try to delay this and make sure that we distribute it and get a slower pace. Then it'll be better for our health care system, it'll be better for all those who, for reasons other than the corona, also need help.
ParlaMint-NO_2020-03-11.ana.ud187e425	It opens for follow-up questions – first Sylvi Listhaug.
ParlaMint-NO_2020-03-11.ana.ud187e430	It's extremely important that we do what we can to prevent infection, precisely because of all the older ones that we have in society that we want to take care of, and those that are sick. There are also many parents who have experienced that schoolchildren are being quarantined, and suddenly they have to be home for 14 days. The rule is that you have 10 days if you have one child, and you have 15 days if you have more than two. So I think most of the parents can sign that it's often the way that the kids are sick for several rounds in a year, so here you can risk spending the entire self-reporting period on this. This also leads to a concern about income, of course. You have expenses on houses, you have expenses on all the bills you have to pay in a month. That is why I wonder whether the Prime Minister thinks that the state should take the bill for this, because this is a joint effort to ensure that the spread is minimised.
ParlaMint-NO_2020-03-11.ana.ud187e435	The government hasn't made an assessment of whether we're going to take joint action for all of this. We're going to have to spend a lot of money on health in the future, on treatment and on systems, and make sure they're up and going, and make sure companies don't get together. But we cannot expect that there will not be any more of us who will have to take some costs related to this – that we cannot cover everyone who has to cancel their flight tickets, for example, and will not get the money back because you cannot travel to that country anymore. It's enough that this is going to be a little hard work for all of us, and that we can't cover up all of the things that may be costs for individuals associated with this. What's most important we do is we have priority one clear. It's to make sure that we have a health care system that is able and able to help people and make sure that we get the least possible that dies from this disease. And point two: that we make sure that we get out of such a path of disease with businesses and businesses that are robust enough that we also have growth power in the economy in the future.
ParlaMint-NO_2020-03-11.ana.ud187e440	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e445	We're probably going to discuss further what measures we're going to put there. However, recommendations have also been made to cancel major events. There's a lot of us happy, even if you're going to notice it on many fronts. Nevertheless, a large number of buses, trains and T-courses travel in and out of our big cities every single day. On many of these people stand like herring in barrels, and it's clear that it also helps you get a little worried. I wonder what the Prime Minister will say to all those who wonder why this continues as before, and what kind of assessments you've made relating to that.
ParlaMint-NO_2020-03-11.ana.ud187e452	The spread in Norway is still not so great, and we have to make sure that our social life actually works. At the same time, the recommendation is to think through everything. Is it e.g. to be able to have a slightly different type of work rhythm in a workplace, where you don't top everything that everyone comes at the same time, which means that you have to travel in the rush traffic? If you can travel at other times, can you use more home offices? It's an important part of the whole way of working in the future. But as I say, we have to come in stages with the infectious disease prevention board that fits the situation and the spread that is at some point, and that's one of the reasons why we can't stop everything.
ParlaMint-NO_2020-03-11.ana.ud187e459	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e464	Then I'm going to end by asking about something I think a lot of employees in companies and business owners are wondering. There are many who are now struggling heavily. Thousands of jobs are at stake, and for every day that goes, problems get bigger, and some are more vulnerable than others. It's travel life with hotel businesses and airlines, we see the oil service industry, industrial companies, it's the merchandise trade – there's a lot of people who are now able to approach the edge of the stump. I'm very happy that the government is working on measures, because it's urgent. We look at Denmark, where the government has presented proposals for a They have deferred both VAT and tax payments, as well as compensation for events cancelled as a result of the presence of more than 1000 people. I'm very excited about what proposals come on Friday, but when can we expect the government to come back with tools for concretely vulnerable industries and projects that can be started to stimulate the economy – i.e. phases 2 and 3? Because it's urgent.
ParlaMint-NO_2020-03-11.ana.ud187e471	In the first phase, there are now some emergency measures that are, in themselves, in line with what was said at the press conference. That's what we're ready to deliver, and we think it's more important to deliver those measures now. Then the government is going into the budget conference this week, and we're going to work on the questions. We're working on identifying the situation of the different industries and where it's going to hit the most. There are differences in the effects for different industries — there is no doubt that cancellations in the travel industry, in air transport, are violent and require direct action as well. But then there are some secondary effects due to lower activity in general in the world economy, and some due to supply problems, for example. the type of inputs that should have been produced in China has now been delayed due to the Chinese measures. Therefore, there is no market failure, but simply an inability to produce quickly enough. All of this we have to go through and look at what kind of measures are the most appropriate.
ParlaMint-NO_2020-03-11.ana.ud187e478	Let's move on to the next main question.
ParlaMint-NO_2020-03-11.ana.ud187e484	The country is in a very difficult situation, and in Norway we have a tradition of helping each other in times of crisis. I just want to say directly to the Prime Minister that we in the Central Party will provide all the help the government needs, and do everything we can to get matters through as quickly as possible in the Storting to get the necessary measures in place. It's about all of us here limiting the consequences for the people we're set to serve. The Prime Minister can make contact at any time, and we'll help with what we can. It was good that the Council of State Höie was here and explained the health situation yesterday. There have been many rounds of health now, and I will move on to the economic situation. This crisis will have short-term economic repercussions. We tolerate that as society and land. We're a pretty robust society, and we stand together. But what worries us extra much in the Center Party is community-critical infrastructure and Norwegian aviation. Norwegian aviation is very important to bind Norway together. We've invested a lot of money in expanding a short-range network. We see how it is crucial for the Norwegian health care system, for our preparedness, for business, and to make family life go together. In the current crisis in aviation, it is important that we come together quickly. I know that we have had a slightly different view of different charges. That's it. But now there is an extraordinary situation, and there are especially three concrete measures I want to challenge the Prime Minister. One is the fare. Me and the Central Party believe it should be permanently removed, but at least it should be able to be removed now in the crisis situation affecting Norwegian aviation. The second is airport charges — removing airport charges to help with credit and provide more capital in companies. The third is reduced travel life savings. These are concrete measures that will be able to remedy the situation quickly, and I think it is very important that we now together ensure that we also have an up-to-date aviation when this crisis is over.
ParlaMint-NO_2020-03-11.ana.ud187e499	We are in complete agreement. First of all, I just want to thank you for your support that we have to stand together. I think it is important that we look at common actions, and what we can do. In the coming year, I think all of us may have to put away some mindsets of wishes you have to bet in different areas, and concentrate on addressing both the health challenges of the weakest groups and the economic situation that is evolving. In this way, the situation is very different from the perspective we have now, than it was when we left the budget for the current year. It is also reflected by what is currently being done in other European countries in the form of increased use of funds. As far as aviation is concerned, I agree that it is one of our most critical points at the moment. The travel industry has major challenges, but aviation may have the biggest. This is primarily due to the lack of demand, and then we need to find measures that contribute to the liquidity situation of aviation. That's where we're trying to find the right measures. I have heard all the measures mentioned here. Some of them would have no impact on the liquidity situation. Travel revenue is of very little importance in this context, because there is no money remaining with the companies. So they don't give up any more liquidity. It does not do that type of action, but charges at airports and the fare, which is also initially a fee paid by the passenger. We've said we have to look at all of this, and we have to look at the total load. I think that actually is the most important thing now. It is not the instrument or part of it, but it is the total burden for aviation and airlines in the current situation, so that it goes straight to what may be a slightly more critical liquidity situation for companies. We are working hard on this, while – as I said yesterday – we need to take care of state aid law and the principle of non-discrimination. We cannot treat one company differently from the other. There must be joint action.
ParlaMint-NO_2020-03-11.ana.ud187e512	The last thing the Prime Minister says is that we have to deal with the law. But then we see that the different companies have slightly different functions, and some companies have a larger function for societal critical infrastructure. But we have the code we have. The Prime Minister also addresses demand deficits. For example, the largest customer in the Netherlands is the Norwegian Health Service. Because of what is now taking place on health priorities, all contracts are stopped. Also, the state's own demand for those services affects those companies very vigorously. We can't take care of ourselves so that when this crisis is over, we have lost the important companies. Of course, we are involved in the liquidity situation, but I think it is also important that you dare to look at the daily costs of taxes, because it has been a heavy burden on the companies. It can also be done temporarily, although I know that there are different views. Does the Prime Minister have any concrete measures for the tourism industry that she believes can remedy in the current situation?
ParlaMint-NO_2020-03-11.ana.ud187e519	Among the emergency measures we believe are important for the tourism industry are the two tax measures that we launched yesterday. One is for those who had profits last year. They will now be able to bring a deficit against the surplus. It is a measure that has been used in the past with retroactive effect. This means that liquidity could be facilitated in the bank to continue to operate with lower activity. The second is that because very many travel businesses are personally owned enterprises with active ownership, the issue of taxes on wealth will also have an impact. In particular, for many of the rural tourism businesses, this type of instrument is important. Further measures will gradually come within what we call phase 2 and phase 3 of this work, which will be general schemes within Innovation Norway, loan schemes, support schemes, what is involved in conversion and measures related to, for example, development of competence and activity of that type. All that will come in. But for the short-term liquidity crisis, I think the two things will help make it easier for banks to move on.
ParlaMint-NO_2020-03-11.ana.ud187e526	It opens for follow-up questions – first Tryful Battle Force Vedum.
ParlaMint-NO_2020-03-11.ana.ud187e531	Back to aviation: when we talk about aviation in Oslo context, it's often about vacations, leisure, etc., but aviation is simply a completely crucial social infrastructure for our preparedness. With the signals you see coming from international aviation, and when you look at the situation of aviation now, I'm afraid we can see crises quite quickly. Individual companies may be at risk of moving in the very short term. My final call to Prime Minister Erna Solberg in this area is that we have very rapid progress, that we get quick action that will give the market confidence in the companies and we can save them. One of the worst things that can happen in this crisis – if we ignore the health, which is without doubt the worst – is that we do not now put in quick enough measures for the type of business that we are totally dependent on in a year's time. That's why my last call is: act quickly, we're going to set up anytime, anywhere, to help.
ParlaMint-NO_2020-03-11.ana.ud187e536	I want to thank you for the last time and just say that we have put more emphasis on this because we see that this is a vulnerable industry, also because air carriers have been through significant challenges over the last 10 to 15 years, both to become profitable and to be able to operate. There's been a lot of expansion in some people, with a lot of debt, and there's no doubt that there are companies that are going to work through this fall in demand at European level that we're now seeing. But we are committed to trying to find the targeted measures and, in particular, those that ensure that they have liquidity to operate.
ParlaMint-NO_2020-03-11.ana.ud187e541	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e546	I think we all in the political environment really want the same thing. We want to flatten out an infectious strain and a pathology, so that we can keep the capacity of the health care system, and we want to reduce the economic impact. So we can have different opinions about what works best, and it comes from multiple of us. The Senterpartie comes with recordings relating to airport charges and air passenger charges – we believe that there will be important measures for a period in order to avoid serious air traffic situations – and we come up with reports of reduced VAT on travel. That's what we have, and we believe that this situation requires cooperation between all the parties. There are many good suggestions from the government too, but it is important that the government takes the recordings from us seriously. There's no point in inviting us to a dialogue if it's such a dialogue that we should support the government's proposals without the government being willing to take our shots seriously. So then the question is, will the government take the shots from the other parties seriously, or is it such that we are primarily invited to agree with the government? It's also a slightly important starting point for the discussions we're going to have later today.
ParlaMint-NO_2020-03-11.ana.ud187e551	I'm concerned that we're going to get the whole idea virtue and the lot of suggestions up. What we have to do is make sure that we investigate the proposals that are coming, in a way that makes us see what effect they actually have on the different areas. I have said that all of the points that have been mentioned, for example. in the field of aviation, are among the themes we are now going through and looking at – what will have the most impact. What is the purpose, and I believe that everyone agrees, is to make sure that we have an infrastructure, that we have airlines and everything that can work. So I think it's nice to get recorded. We're going to take everybody seriously and also look at how we're sure that we're selecting those recordings and those things that ultimately have the most impact on what's the challenge and the problems in the different sectors. Here there are many sectors that may not have challenges in the day one or in the first week, but that are going to experience it a little longer. So I'm open for recording. We're going to evaluate everyone in a proper way and of course be in dialogue with the other parties about these recordings.
ParlaMint-NO_2020-03-11.ana.ud187e558	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e564	I thank you for that answer, and I think it's interesting. We don't have time for too many investigations. That's exactly what's kind of peculiar to this situation, that we have to act quickly, and it's by doing things quickly that one can actually prevent parts of the economy in Norway from getting serious problems. There is no doubt that the aviation is of those who are struggling hard. Today, airport charges are what finance Avinor. Avinor is a state-owned company, and the state has opportunities both to make a zero dividend and to inject equity into Avinor if we want to, but we can relieve the industry of the fees they pay to Avinor today. The centre party believes that being in the forefront of such things before something crashes, especially in the areas that are now most vulnerable, is very important, and that one does not have too much time to think and figure out the knowledge and the broad before taking action.
ParlaMint-NO_2020-03-11.ana.ud187e569	We have the ambition that on Friday there will also be actions related to aviation, so we have not intended to investigate the knowledge and the broadness. But we're going through all the recordings, and the ones that are now mentioned are also among those we're looking at.
ParlaMint-NO_2020-03-11.ana.ud187e574	Let's move on to the next main question.
ParlaMint-NO_2020-03-11.ana.ud187e579	I experience the message from all the parties that are quite clear and quite united, really. One is that we are prepared to cooperate with the government on the measures that may be necessary and that will be necessary for us to get through this difficult situation together in a good way. The second is that I feel that it is a desire for clear advice. The population needs clear advice, not solve recommendations. I think that if the health authorities think it's best that we don't shake hands, or that as much as possible in the cities have home offices to avoid congestion in public transport, then the advice should not be a wish, but a clear message that now we're not going to shake hands, or that now everyone who can have a home office should have it. I think it's a message for the Prime Minister to bring back to the health authorities. We need clarity, not clues. I believe the will for solidarity in the population is now very strong, and it is a clear desire to help, so clear recommendations will be listened to. The benefit of democracy also in difficult situations is that freedom of expression and critical questions improve the response, and that is why the Prime Minister also receives some of them. I would like to follow up the health minister's guarantee to state hospitals and health institutions yesterday, where it became clear that the state will pay what comes from extra costs. Then I think it is wrong to postpone the municipalities for once in the future, because the municipalities are also now facing financial concerns and need a clear signal that their expenses will also be covered. They will have a large part of the responsibility for the response for many of those who will be exposed, e.g. those who get quarantined around the country. So I'd like to challenge the Prime Minister on that.
ParlaMint-NO_2020-03-11.ana.ud187e588	I take with me the views related to clear advice. The question is what's a advice, and what's a directive, and where the next piece of it comes from. The advice not to shake hands is quite clear now, and we're all trying to suppress the impulse we always have to stretch out a hand when we meet people, or hug if there's people we haven't seen in a while, but we're getting to suppress those impulses in a good way. I am of course prepared that we should also have critical questions. I believe that we have some time to assess the challenges for municipalities, and which instruments will be the best. But we have also said that it is on our agenda to look at what framework it is going to have in the future. We are well aware that the local government sector, not least in the health and care sector, will also have to initiate exceptional measures, which will mean that costs other than those envisaged in the normal operation will have to be allocated to the local government sector in order not to cause other vital areas to suffer. But as I have said, we also need to use our resources for this. That means we have to keep lower activity in other areas in the future. Now we also give these advice that we should have lower activity. We've tried to have concentration around the most acute measures, and there's not so much that we've been told exactly how we do it for the municipalities, what we've seen is the most acute. We have to spend some time watching how it's going to happen, what it's going to be of extra cost. Part of what the Health Directorate does when they request and order, is also helping the first line service in that work.
ParlaMint-NO_2020-03-11.ana.ud187e597	I thank you for your answer. I think the reason why it is important that such a guarantee comes to the municipalities in a short time is that the municipalities will have a very, very important role in the response. They're the ones who run the nursing homes, they're the ones who run the nursing homes and home health care. They will also have to have a responsibility if a large number of people get quarantined. It requires equipment and requires personnel. I think that a good parallel can be to the time when then Minister of Finance Kristin Halvorsen drew the gold card during the financial crisis. It was necessary then, for the banks were in trouble. Now we need to know that the government has the gold card in readiness this time as well to help those parts of society that will need it. At least it would be good to confirm that the government assesses a corresponding guarantee to the municipalities. Then you get to look at the exact moment, but we mean that it's needed – sooner and not later.
ParlaMint-NO_2020-03-11.ana.ud187e602	We look at the costs of municipalities, and then we either need to increase the municipal economy in general and transfer more or make arrangements to cover some of the costs associated with this. There are things coming. The municipalities will probably experience that many of the measures now being implemented can be found some form of coverage for the future. But we have to figure out the right way. We cannot give a blank authorisation without having gone through things, and then we come to Stortinget before we finally conclude in these matters. So it's important to remember that the gold card was never used. Here we're going to have to spend money. The credit card was a guarantee to prevent bankruptcy in the banking system, but it was not actually used. What was spent was a lot of money on the state budget – so it's not the gold card analogy, because it was security and guarantees for the banking system – it was the measures taken on the state budget in other areas, just as during the 2014–2015 oil price fall.
ParlaMint-NO_2020-03-11.ana.ud187e609	It opens for follow-up questions – first Audun Lighthouse.
ParlaMint-NO_2020-03-11.ana.ud187e614	It is safe to know that the Prime Minister is in the dark. I'll ask you something a little bit different. The Health Directorate and the Public Health Institute have a key role in the response given the situation we are in. It is also institutions that, through Erna Solberg's time in government, have received significant cuts – 250 mills and 295 mills. Total NOK There are cuts that have been made without any impact assessment, partly as a result of the government’s so-called red tape and efficiency reform. It has probably come quite well in recent years that it has meant cutting off in professional activities. Among other things, concerns related to reduced capacity in the field of infectious diseases have been raised and expressed in January last year, among others. The European Agency for the Safety and Health at Work (FHI) concerns savings. At the same time, the government has continued with these ABE cuts in different parts of the health system. Were the cuts in the Health Directorate and the Public Health Institute wise, as the Prime Minister sees it today?
ParlaMint-NO_2020-03-11.ana.ud187e623	Firstly, the first year of this government's existence, we increased the budgets of the Health Directorate because we started the whole major reform work on the patient's health care system, with a great deal of work related to the package sequence to ensure that we treated more. It has contributed to both better quality and better health care in areas where we have packaging processes and interactions. Then we've gone down in the budgets afterwards. What's good about the ABE reform is that we're saving in. We have it with us in the budget negotiations, and then we consider where we need extra efforts in different areas, so that there is a political priority for the areas. This means that we have the opportunity and greater scope for action to put in place efforts where there are critical issues related to development. I think the ABE reform is very good. This means that, in the future, everyone will have to plan for slightly lower activity, and then specific areas will have a political focus to be able to return money from the common scheme that everyone has to put money into the pot. This will protect us, among other things. the health sector of the treatment system by increasing basic appropriations.
ParlaMint-NO_2020-03-11.ana.ud187e630	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e636	The reality is that the additions the government has given to the hospitals in the budgets, in reality, look completely different because the ABE cuts take away a lot of the money. In the situation we are in now, there is a lot of attention about the lack of capacity in the healthcare system because hospitals usually run with full coverage and have experienced underfinancing in recent years. But I want to go back to the Institute of Public Health, because the Prime Minister didn't entirely answer that question. The Public Health Institute alone has taken a cut of 140 positions. There is no doubt that there is an institution that has been slimmed down during this government. Given the important role we now see that they have, I would like to hear if the Prime Minister believes that there has been a wise policy.
ParlaMint-NO_2020-03-11.ana.ud187e643	The major change is related to clearing the tasks of the Public Health Institute and to the fact that part of the commercial research activity has been moved out of the Public Health Institute. There is also a major reform in the division of labour – what is the role of the National Institute, what the role of the Health Directorate, and what are they not supposed to do? Some of these relate to externally funded research linked to the Institute for Public Health. Now I don't remember all this in detail, because we did this a few years ago, but it's not like we've cut 140 jobs in the core business of the Public Health Institute. They did a lot of research, they do a lot of research and laboratory work for others, and we have separated some of it because we believe that the role of the Public Health Institute should be clearer. So it's not the ABE reform that's the reason for this, it's actually a clearing of work tasks.
ParlaMint-NO_2020-03-11.ana.ud187e648	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e653	It is true that the cuts in the Institute of Public Health have been significantly more extensive than just the work to be done. The European Anti-Fraud Office expressed its concern in January last year. There have also been clear reports earlier that this affects professional activities. I just want to ask you one more time: does the Prime Minister feel confident that these cuts have not gone too far, and that the FHI has all the resources they need in today's situation?
ParlaMint-NO_2020-03-11.ana.ud187e658	I perceive that the Public Health Institute is doing a good job, has resources and can mobilise resources. Just as with other agencies, they can now collect resources in this situation in order to get more resources if they need it to deal with it. We've cleared up in the Public Health Institute's way of working -- what was their core tasks as a government agency, and what was research activity. I have to say that I think it's a bit on the verge of taking this picture and putting it into the infection preparedness now in order to try to create a picture that we've weakened the preparedness because we've cleared up what FHI is going to do in research inside and outside – a body that also has authority.
ParlaMint-NO_2020-03-11.ana.ud187e663	Let's move on to the next main question.
ParlaMint-NO_2020-03-11.ana.ud187e668	I'm going to another crisis. The situation of children and adults in the Moria camp in Greece is currently desperate. About 20,000 people, of whom 7,500 children, are in deep distress. Chronically ill children no longer receive public health care, and the relief organisations that are now keeping them alive are being attacked by right-wing extremes and may need to withdraw. This happens in a country that the Nordics know very well. Several hundred thousand of us go on vacation every year to Greece and sunbath only kilometers away from Moria hell camp. It's not enough to help them where they are. The situation is unmanageable for Greece. The asylum institution there is not functioning, they are unable to enforce the right to asylum. That is why Greece has asked for help, and that is why Germany has recently announced that they will help, like several other countries. In Norway, the number of asylum applications is the lowest in 22 years. Reception is empty, and the municipalities have capacity. Trondheim, Oslo, Stavanger and several others want to receive more people from Moria. This is the largest humanitarian crisis in Europe for a long time, and Norway’s position is therefore to wait for a joint agreement that the EU has so far spent four years not to achieve and which now seems totally utopian. It's no shame to turn around. Will the Prime Minister ensure that Norway participates in the European Union’s efforts to evacuate children and vulnerable people from the Moria camp, while at the same time working for a more long-term shared European responsibilities for migrants and refugees coming to Europe?
ParlaMint-NO_2020-03-11.ana.ud187e677	The government's attitude has not been to wait and see. The government’s attitude has been to be very active in ensuring that conditions are improved for the refugees and asylum seekers who are in Greece. That's why we've been working very hard with the Greek authorities ever since the refugee crisis came in 2015/2016, and we're still doing it. We have recently concluded a new agreement with Greece to ensure better conditions, and we do so along two axes. One is that we are working to raise the capacity of Greek asylum seekers and ensure that they can actually deal with them, and also use the agreement with Turkey to return people who do not need protection. The second thing we do is to make sure that precisely for vulnerable groups and single minors, the measures need to be improved. Among the things we now agree with the Greek authorities is to establish 300 places for lone minors on the mainland during the second half of this year, so that they get a better offer. Norway uses its funds to finance just that. So saying that we're just looking at or not doing anything -- no, on the contrary, we're helping where the problems are actually, and we're helping far more where the problems are, than what we would do if we had brought to Norway a handful of the vulnerable. Establishing places for single minors on the mainland will help to provide better follow-up. Providing for the capacity and handling of cases and returning to Turkey will be relevant as well as getting what is needed to make the Turkey agreement work. There's been a bit of a challenge in that bottleneck.
ParlaMint-NO_2020-03-11.ana.ud187e688	I feel that the government is responding in two ways. One is humanitarian aid and some procedural assistance to Greece, and the other is to work for a European agreement. As for the last one, I'm very uncertain about Norway's position there. I feel that it is very unfortunate that Europe put itself in some kind of debt of gratitude to Turkey by making Turkey a sort of outsourced asylum recipient for the whole of Europe, which means that Erdogan can then use migrants and refugees as a means of pressuring his foreign policy and supporting his regime. I would like to ask the Prime Minister if Norway is now working to find an alternative to the Turkey-EU agreement that will allow Europe to escape this kind of pressure from Turkey, and that will give us a better distribution of responsibilities for migrants who come to Europe, who do not make us dependent on Turkey.
ParlaMint-NO_2020-03-11.ana.ud187e695	We work along many axes to make sure fewer migrate. We work in the areas around Lake Chad by ensuring that human trafficking is not the main activity there and that farmers can operate with other activities. We are working with Rwanda, which has taken back 13,000 migrants who had stranded Libya under terrible conditions. We are one of the countries that has said that we are going to take quotas from there, among the vulnerable, and use our refugee quota for it. We're accepting 3,000 quota refugees, and that's a large number. The challenge is that with the great waves of migration we have – because there are some who are refugees from a war situation, and some who are refugees from political persecution, but there are also quite a number of migrants moving around – we need to have clear control, both at our external borders and at the external borders of Schengen, and have rules for it. It's also to prevent more people from moving around the world.
ParlaMint-NO_2020-03-11.ana.ud187e702	It opens for follow-up questions – first Jon Engen-Helgheim
ParlaMint-NO_2020-03-11.ana.ud187e708	I am very happy to hear the attitude of the Prime Minister on this issue. Here, the Progress Party and the Right have been very close together, precisely because we know that the best help for most people is given in the neighbourhoods. But I'm a little curious about how the government is now working towards the EU to deal with the situation as best it can, because it's been about a distribution agreement. We see today that very many of those who travel, especially over the most dangerous route, are those who can be referred to as groundless asylum seekers. There is a lot of evidence to suggest that the asylum system, or the objective of asylum in Europe, in itself contributes to people who are not in need, ending up on a dangerous flight and eventually in suffering and distress. I would like to ask the following: how does the government now work to prevent more people from trying to stay in Europe when they really don't need it, and to ensure that the EU puts all its efforts into the neighbourhoods, where it can best be done?
ParlaMint-NO_2020-03-11.ana.ud187e717	I think we should be so honest and say that it's not necessarily the belief that they get asylum, which makes some of them come; I think it's the belief that it's a better life to live illegally in Europe, live in a black economy, even with the danger of being exploited, without the rights you have. There are a lot of people in Europe who live without that kind of rights, and because it's hard to return people, it feels like being a better life than the life where they come from, with greater opportunities, greater chances, even though in a way we wouldn't see it. This means that it is simply our standard of living, our well-being and our labour market that are attractive. And Norway is a more tidy country in many of these areas than many other countries. We have more transparent relationships, and that's why we want to clean things up a lot. But we see countries that implement regulatory mechanisms for people who have been for a long time, for example. Spain has done so repeatedly. We're working on relocation. The most important thing we do is actually return. It works there, but it also works against people who are illegal in the country. Have a return agreement, have an opportunity to send people back. It'll be the biggest brake.
ParlaMint-NO_2020-03-11.ana.ud187e724	Karin Andersen – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e729	I hear the government repeat that you should help the refugees where they are. Then it seems as if the Prime Minister and the government have not understood what they are like right now. There's no health, not school, not care. There are right-wing extremes that threaten auxiliary workers, so they have to flee. So in the middle of this war zone of big politics, there are kids who have been sitting for years without school, without help, without care. Greece has asked for help. UNHCR has asked for evacuation. Refugee Aid and Doctor Without Borders have asked for evacuation. But the government won't. Now Germany has taken an initiative in a coalition of willing men to pick up some of these kids sitting there completely helpless. Is it true that this government is on the lines of Viktor Orbán and Hungary and not on Angela Merkel's line that we should show solidarity both with Greece and with the children?
ParlaMint-NO_2020-03-11.ana.ud187e736	We just made it clear that we've spent 10 billion dollars. D on refugees in neighbouring countries to Syria. We have signed an agreement of 53 million. the euro linked to Greece to help. It's not on Viktor Orbán's line. It's actually doing more in relation to our population and our economy than what Germany is doing. So exactly that kind of description I don't think is adequate for reality, if I'm going to say it in a nice way. Helping people where they are is just helping in Greece. On the mainland of Greece, we are now helping build homes, or an institution, for 300 pieces to help those who are weakest, and to take vulnerable groups and lone minors out of the camps and into other residential facilities. We also make sure that Greece can start to have a working system for handling the cases, which is one of the big plugs for both return and other. So it's not that we don't see that there they are, also are in Greece.
ParlaMint-NO_2020-03-11.ana.ud187e741	The oral question procedure is now over.
ParlaMint-NO_2020-03-11.ana.ud187e755	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The changes were as follows: Question no. 3, from the representative of Kjell-Børge Freiberg to the Minister for District and Digitalisation, will have to be postponed to the next Question Time when the Council of State has left. Question no. 8, from the representative Kjersti Toppe to the oil and energy minister, will be taken up by the representative Hans Inge Myrvold.
ParlaMint-NO_2020-03-11.ana.ud187e769	‘There has been an alarming increase in violence in school, where nearly two out of three in a study by the Education Association in Rogaland said that there are more frequent violence episodes in school now than five years ago. Some time ago, the Labour Inspectorate also presented a report which gave cause for concern. What measures does the newly appointed Council of State intend to take to prevent violence in school, to ensure teachers the right to object to issues relating to them, and to provide teachers and other employees with better tools to deal with violence in school?’
ParlaMint-NO_2020-03-11.ana.ud187e776	First, I would like to stress that students, teachers and other adults should feel safe when they are at school. The aim is to avoid violence, threats and insecurity. Further studies, including: from Rogaland, unfortunately, shows that it's not always like this. There are no simple solutions to violence in school, and we therefore need to work on a wide range of measures. I will continue the long-term work on improving the learning environment, strengthening multidisciplinary cooperation and increasing the quality of special education. In addition, it is important for me to listen to the advice of the municipalities. It is the municipalities and county councils as school owners and employers who have the primary responsibility for a safe school and working environment. The Working Environment Act regulates the working environment of employees. The Working Environment Act requires, inter alia: schools shall have a system for preventing, monitoring and recording violence and threats. I would like to stress that it is important that schools both work preventively and have good routines for what to do when situations arise where students become unbeatable. The challenges each school faces, and what are good solutions, will vary. In some places it will be most effective to work on developing the student’s social skills. In other places, there may be a need to work more systematically to improve the learning environment throughout the class. I therefore believe that the tools need to be developed locally. In order to strengthen local work, national authorities have set up cooperation between five selected municipalities and counties. Through this cooperation, municipalities shall identify good measures to prevent violence at school and share them with other school owners. This work is well under way. The use of coercion and power to pupils shall be the last resort. We know, however, that situations will arise where employees experience that they have to use coercion against students. The use of coercion and power in school is not regulated today. In NOW 2019: 23 New Training Act is proposed to introduce legal rules on the use of coercion in schools. The aim of the proposal is to avert damage, improve legal certainty and contribute to increased transparency and thus also raise awareness of the use of coercion. The Department of Knowledge is now working on a follow-up to the NOU, and will send a proposal at the hearing in the spring of 2021. The government aims to present a bill to the Stortinget in the spring of 2022.
ParlaMint-NO_2020-03-11.ana.ud187e801	I thank you for the answer, and I fully agree with the Council of State that this is not an easy problem to address. At the same time, I would like to recall the rather worrying development. There was a case from Moss this week where a compared figure from 2016. There were only 266 deviations, and it had grown by 14 pst. Then one looked at the 2018 figures. I would like to challenge the Council of State a little bit more on whether there is any concrete national action that can be taken, for some of the things that have been throughout the report of the Labour Inspectorate, is that one does not even report deviations, that there is a lack of tools to follow up the deviations, that one does not have a good enough school system for reporting deviations, and that it is followed up with concrete measures, such as: have been shown to be much better in the health care system. Will the Council of State look at national action to ensure such a better system of tools?
