ParlaMint-NO_2020-04-30.ana.ud19e33	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2020-04-30.ana.ud19e347	As Minister for Gender Equality, of course, I should like to thank you for this too. I just want to start by saying that it's very good Silje Hemdal asks this question. I'm born a Muslim, and I've been to Qur'an training as a child. I want to say it so clearly that everyone hears it, and so there's no doubt about it: I want to end this forced choral education to which many children are forced out of Norway – against their will – away from a beautiful country like Norway, which gives everyone the opportunity to grow up under freedom and to become free, good individuals in Norway and get good education and live a life in peace and on their own will. I want to go so far as to say that it is both psychological and physical abuse, and that practice is to be combated by the government. Religious coercion is a udder, and I'd like to play with both Silje Hemdal, the Advance Party and the rest of the Stortinget, so that together we can be the world's best country for everyone in Norway, and that we get rid of the crazy, negative social control and the violence of honour that exist in some environments.
ParlaMint-NO_2020-04-30.ana.ud19e354	In its presentation, the Minister concluded that gender equality must take place in all areas of society. Since I believe the minister and his party are absolutely credible in their fight for equality, it got a pretty bad shot at the bow during the treatment of new messages of faith and life, for then the Left voted against the proposal for a minimum of 40 p.m. the representation of women in governing bodies which manage public support. It is discouraging that the gender equality struggle is now losing in an area such as this – faith and outlook on life – which has such an impact on the positions of its members on value issues as equality. I would like to hear the Minister explain to me why this effective gender equality action that we are using in all other areas should not be used when it comes to human-dominated areas such as governance in faith and outlook. Or can he just state that this was a lost equality case for the Left in government?
ParlaMint-NO_2020-04-30.ana.ud19e362	There are difficult boundaries in some questions, for example: in the case of full freedom of expression and the fight against racial discrimination. In this particular case that the representative mentions, there are some considerations that stand against each other. One is the right to believe and practice their outlook on life, not least equality and to have full freedom in society. As a representative of and not least born into a Muslim family, I was not born to think about the idea of freedom, but I consider myself secular. I think that politics should not be governed by religious foundations, and certainly all in Norway – from different religious communities and all kinds of environments – must be driving forces to achieve full equality in all sectors. Here we also have a law that says that you have an activity obligation. The obligation of activity rests with each department, and all departments will follow it up in their underlying offices and then in the sector in order to achieve full equality in Norway in all areas.
ParlaMint-NO_2020-04-30.ana.ud19e369	We are all now addressing our deepest gratitude to all the heroes of health and care professionals, who are saving lives and standing in a very tough situation all around the world. But the heroes of health care not only deserve our gratitude and applause – they deserve decent pay and proper work. Nevertheless, it may be precisely the professions that are the greatest example of non-equal pay, because the difference in pay is high between these professions and man-dominated professions with similar long-term education and training. At today's pace, we won't have equal pay before 50 to 100 years. Does the Minister for Gender Equality agree that the time is now really in place to value the work done in these women's dominated professions higher, and does he agree that 50 to 100 years does not last, and that the government must do more to value their work?
ParlaMint-NO_2020-04-30.ana.ud19e382	So it's the government's job to promote equality in the broad sense of society. There's a lot of things going in the right direction, and we have to be happy about that. It was e.g. 20 000 more female leaders in 2019 than in 2013. In the case of State leaders, the proportion of women has increased from 45 to 54. The proportion of part-time workers among women has also decreased. Of course, in the case of equal pay, there is a pay gap between men and women, and I have explained that in the statement and also talked about now. I think women were at 87.6 pst. of the male’s salary in 2019 compared to 87.1 pst. in 2018. These are gradual improvements. Much of this responsibility is also on the part of the social partners, and now all employers of a certain size, not least the public sector, have a duty of activity and reporting. In particular, equal pay is to be ensured, and it must be followed up in practice in all sectors.
ParlaMint-NO_2020-04-30.ana.ud19e389	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2020-04-30.ana.ud19e396	Norway is often described as a world champion in equality, and it is true that we have gained much. We were early out with high female participation in professional life, the right to self-determined abortion was guaranteed in the 1970s, the Grand Women's Administration in 1981 became a world news, and one year of maternity leave made it easier to combine professional careers with children. But gender equality is never in goal. As a government council, I started a work to do something about the human dominance of professors, in my time as Minister of Culture, the gender perspective was brought into film, theater and cultural management, and in my time as Minister of Industry, we received for the first time a majority of female directors in state companies. But despite our proud history, we paradoxically have one of the most sexually divided labour markets in the Western world. It continues in the study choices of today’s youth. In the professional field, a total of 86 pst goes. by students on a line of less than 40 pst. by one of the sexes. In the field of health and growth, 80 pst. by the students girls, while on construction and construction and electrical equipment the proportion of girls is only 5 pst. Even within fields, as with real science, the gender differences are large: 70 pst. By the students in biology are girls, but it's just 20 pst. on information technology. At the same time, we see that the boys have worse academic results than the girls. Many suggest that the schools are unable to motivate and follow up the boys well enough in this area. The result is a lasting imbalance in the labour market and it is this imbalance that also contributes to the wage differences that have been described so far in the debate. According to the Institute for Social Research, only 15 pst are working. by workers in Norway in occupations with a minimum of 40 pst. by each sex. Researchers point to several factors affecting choices: parental education and influence; expectations of an already gendered professional life; and the influence of advisers and teachers. There are several reasons why it is important to change this, first of all: ensuring that all young people feel that they have a real freedom of choice and an equal opportunity to become what they want to be. And on the other hand, The community gets the best when we use the total talents, abilities, and efforts. In many professional areas, good gender balance is important in itself. Tuesday’s speech showed that the Council of State is involved in these issues, but, as in the corona management, no one is helped by the involvement of the Council of State – society is changed by action. That is why we need to move into concrete strategies, action plans and actions. The new Minister for Gender Equality has the opportunity to do something about it.
ParlaMint-NO_2020-04-30.ana.ud19e423	Let me also get to start by thanking you for a good account with a broad, inclusive and not least personal standing. The Council of State shows us that the width of the equality games is still pointing in the right direction, and at the same time that the challenges of equality are increasingly fading. The Korona crisis has taught us to stand together in new ways. The spirit of virtue has been expressed through social media and on countless digital meeting platforms, and across political dividing lines, the message has been clear: no one should stand alone in the crisis that is over us. Last year I took part in the Pride parade, which for the first time was arranged on Voss, and in the locomotive of parades, which takes place here in Oslo. It's a strong and catchy experience to see the wide range of important markings. However, the challenge when we talk about equality for skews is not these great party days, but all the weekdays throughout the year. In the Council of State on 3 April, the Government presented Prop. 66 L, amendments to the penal code. The government here proposes to include ‘gender identity or gender expression’ as a basis for discrimination in a number of provisions of the criminal law. The government also proposes to replace the term ‘homofile orientation’ with ‘sexual orientation’ to clarify that apiaries are covered by criminal law protection. For the Right, it is important that criminal protection against discrimination is adapted to reality. Persons who have a gender identity or a gender expression that violates the expectations of the environment are vulnerable groups in terms of discrimination, harassment and violence. In both an equality and a justice perspective, it is also right that transhumance should be given the same criminal protection as for example. Homofile. Criminal protection will also reflect a norm that may have an impact on attitudes and perceptions in society. The changes in the rules on hate crime in criminal law are one of many measures implemented by the government to follow up the action plan against discrimination on the basis of sexual orientation, gender identity and gender expression. The plan has over 40 measures covering a number of societal areas, such as kindergarten and school, sport, working life, health and care services, defence and international efforts. The aim of these measures is to help lesbians, gays, biphiles, transhumans and inter-sexuals to experience society as safe and inclusive. Finally, I would also like to draw the attention of the Committee on Freedom of Speech, which was set up in February. One of the things they need to look at is threats to freedom of expression, how we can strengthen public vocabulary and identify the new conditions of freedom of expression and contribute to the necessary changes and clarifications. This is also important in the context of gender equality.
ParlaMint-NO_2020-04-30.ana.ud19e444	Equality work is freedom work. Our basic needs revolve around our freedom. There is freedom in e.g. to be able to eat saturated, to sleep safely and to drink clean water. It's freedom to choose the one you love. It's freedom to have friends to go to the movies with. It's freedom to be recognized for who you are. It is freedom to be loved unconditionally and met with respect. And it's freedom to believe in the god you want, or not to believe. In order for people to reach the very top of the need pyramid and be able to realize themselves, freedom is needed all the way. Without equality, freedom of persons is hindered. We get about daily messages about people who are hurt, hoarded and harassed when they express their own opinions. Sometimes it can happen face to face, but often it happens online. We know about boys and girls who are constantly torn out of their lives because of bad messages from others. We know that it causes people to get inside and get sick, and we know that it costs lives. Their freedom to live is taken from them online. KS could tell us in a report that they had made among politicians around the country, that the hot and hot weather on the Internet has become so widespread that more people now say they have stopped speaking. Many people choose not to re-select. They lack the freedom to express their opinion, and then, in fact, the ferocity of democracy is unleashed. We also know something about who is the strongest hit. We know that there are people with different cultural backgrounds, we know it's biased, and we know it's women. So even though the mechanism of the heat is modern through the Internet, the victim of the heat is traditional. It tells me that we haven't gotten far enough in the gender equality work when the victims are recognized by being the same as they've been for a hundred years. The Working Party will therefore go up the paths to the social media, to the comment fields and to the facebook groups. We think it's time to set limits on what we as society can also accept online. We believe it is our duty to protect people's right to be on the Internet, just as we protect that right on the street or in the newspaper columns. Because the Internet is not one thing – it is a place where we also live our lives. That is why we proposed to set up a public body to track these paths and find new means to secure the population online. Unfortunately, this was voted down here in Stortinget. But we hear that the Minister for Equal Opportunities is concerned about the issue. So in the fight for equality and in the fight for freedom, I hope that the government now also dares to take action and make changes that matter so that people can also express themselves online.
ParlaMint-NO_2020-04-30.ana.ud19e467	It is important that all those who want to live in Norway end up with some basic common values. For the Christian People's Party, it is important that everyone, whether native or immigrant, respects human rights and shares the view of the importance of democracy, solidarity, equality and tolerance. No one shall be subjected to racism or discrimination on grounds of ethnicity, culture or religion. This is how we can maintain human dignity, diversity, individual legal certainty and security for all. The whole Christian People's Party's idea of equality is based on women and men having equal value, regardless of gender, and shall have equal opportunities to participate in and influence social development. Political and economic power is an important means of this struggle. The aim is that both women and men's knowledge, experience and values have an equivalent impact on all levels and places in society. Yes, gender equality is a prerequisite for a functioning democracy in a modern welfare state. Today's debate is about how to achieve a society where everyone is equal and characterised by equivalency for all people. I want to promote an important area. Few things are as directly offensive by human dignity as the purchase and sale of human beings. The concept of trafficking in human beings did not disappear when slavery was abolished. There are actually more slaves in the world today than it was in the 1800s, and earlier. Trafficking in human beings has gone beyond drugs to an extent and is now the second largest illegal industry in the world. As long as we know that people are exposed to gross exploitation, we have a fight to fight to achieve equivalency. You don't believe it until you see it, you say it, but when it comes to human trafficking, you almost have to see it before you think it. Is it possible to buy and sell people in Norway? You shouldn't think so, but it happens, and we have to take over and do something about it. I'm glad that the Christian People's Party has been passed to preserve the Sex Purchases Act. In Norway today, there are women and men who live under severe exploitation in what can be called sex slavery. With daily threats to themselves and the family, they are exploited by backers and women who make money on this. I would like to thank you for a good statement on gender equality policy and for an important debate here today. For the Christian People's Party, the fight against trafficking in human beings and the fight for the preservation of the Sex Purchases Act are important. For us, this is an important part of the equality struggle.
ParlaMint-NO_2020-04-30.ana.ud19e482	First of all, I would like to take the opportunity to thank the Minister for Culture and Gender Equality for the thorough presentation of the government's equality policy. The Council of State indicates that equality policies affect most areas and sectors of society, and they affect us all, regardless of gender, age, orientation, function, religion or ethnicity. Surveys show that Norway is one of the most equalised countries in the world. We're going to be happy about that, but we've still done a lot of things. The report highlights violence in close relationships as a major social problem. The violence is increasing, and the numbers of darkness are large. In addition, we know that it is difficult to identify the extent of violence and abuse. In this context, I would like to highlight one group in particular: ethnic minorities. We know that being a minority in itself can be difficult. You can, among other things: experience discrimination, hate feelings and stigmatisation. One of our ethnic minorities is the same, which I myself belong to. Studies show that Samer reports being more violent than non-cohabitants. The Sami community itself has put this difficult topic in focus. Today, we see that there is a new acceptance to talk about violence and abuse in Sami families and communities. The merger has also committed itself and wanted a separate action plan, and the Right’s view is that the big community must set up. The government is now working on a new action plan against violence in close relations that will have its own share of violence and abuse in Sami areas. It is scheduled to come in June this year. Why is it important to have our own Sami part? We know that many co-workers do not trust the public utility, and therefore they do not seek the help that exists. There are both historical and cultural reasons for this. The assault cases that have been uncovered in Tysfjord just illustrate that. A large part of the victims and relatives experienced that they were not taken seriously in contact with the public when they asked for help. Equality is also about the right to meet an assistive device who knows and understands your culture, and who speaks not least your own language. In conclusion, I would like to say that I have great respect for those in Tysfjord who had the strength and courage to stand up with their stories. By telling them, they have shown that violence and assault are something that can happen in all walks of life, in all cultures and in all religious communities. Violence and assault are something that we can all be exposed to. That is why I am very pleased that the work against violence and abuse is a high priority in the government, and that it should be strengthened and given priority in the future as well. In this context, crisis centres are a central aid body. I am therefore pleased that we are working on restoring and strengthening our own Sami crisis and incest offer in Finnmark.
ParlaMint-NO_2020-04-30.ana.ud19e495	The Labour Party is now ensuring a majority, together with the SV and the Advance Party, for egg donation and a number of other biotechnological advances on the Stortinget. Finally, women – 90 years after semen donation was permitted – are to be treated in the same way as men who are struggling with fertility. I think it's pretty clever for the Minister for Gender Equality that the Left is sitting all the way on the sidelines when the Stortinget is going to adopt the ten-year equality progress for Norwegian women, against the votes of the government parties. Women are now getting more self-determination. This does not only apply to the right to donate eggs to others. There will also be a majority for women to have their own eggs stored for later use. In the past, this has been limited to women who, for medical reasons, may become infertile. Now women can make this decision on their own. This also completes the circle with regard to women's control of their own family planning. Women may inhibit pregnancy by using contraceptives, women may end pregnancy by taking an abortion. Now women can also promote pregnancy by giving them the opportunity to take care of their own young and healthy eggs. Women who decide to have children on their own will now also have access to assisted fertilisation at home in Norway. Egg donation, own storage of eggs and assisted fertilization for lonely are important and fundamental legislative changes that are now time to come into place. However, there is another decision that will have the greatest impact on most women. We now ensure that Norwegian women have access to early ultrasound in public health. Many women take early ultrasound today, but there is different access to this service. This is about both economics and geography. We will offer early ultrasound because we believe it provides better maternity care for mother and children, but also because early ultrasound in public helps reduce social inequalities in health. The working party is concerned that women should acquire knowledge as early as possible and as safe as possible. In the event of early ultrasound findings, all women must now also have access to NIPT, regardless of age. I finish where I started, and wonder if the Minister for Gender Equality thinks it's a good thing that the Left is standing on the sideline when we're going to adopt these important equality advances in ours. And maybe it's extraordinarily difficult when the Left has been involved in securing a majority for a historical tightening of the abortion law in Norway.
ParlaMint-NO_2020-04-30.ana.ud19e511	Thank you to the Minister for Gender Equality for a thorough statement a few days ago. Equality is definitely about preventing and protecting – mainly women, but also children – from violence in close relationships and rape. Several have brought this up from the pulpit today and perhaps reported their concerns. I believe that concerns about this are not enough. That is why, today, we have made some very concrete and concrete proposals on how we believe the Storting should deal with this particular situation. SV believes that violence in close relations and rape is in fact the biggest challenge for justice policy in Norway today. That's huge numbers we're talking about. We're actually talking about approx. 15,000 rapes in Norway this year, and perhaps twice as many situations of violence in close relationships. This is demonstrated by extensive studies. Only approx. 10 pst. of these cases are notified. At the same time, the police warn that seven out of ten such cases are being closed down. In most cases, people who have reported a husband, a brother or a father for an assault situation get a passive standard letter from the police saying that the case is closed, while the reporter may still live with the attacker. This situation has not been able for Norway to prevent and protect it properly, and I believe this is a very broad and comprehensive political issue. Traditional crime in Norway is falling. There is less profitability and less drug crime, but the police in Norway have not managed to convert their resources to deal with this new crime, the rather violent increase in the number of reports related to violence in close relations and rape. Therefore, it is important for us in SV that we, Stortinget, take responsibility and actually control some of the police work on this. We have already, but also now, made a proposal in which we believe that the police should have earmarked resources for investigating violence in close relations and rape cases. This means that the police are to be governed in how they use these resources. So they should not be able to choose to buy a new car or new weapons themselves. A certain number of resources shall only be used for the investigation of violence and rape in close relations. If the Storting decides this, we will be able to take responsibility for this situation in a completely different way and improve the police's resources to deal with exactly these issues.
ParlaMint-NO_2020-04-30.ana.ud19e522	Norway is one of the world's most like-minded countries, but when we look at the tax lists of who has the highest incomes, the highest wealth, we see that it's very long again. Only three out of ten entrepreneurs are women. This means that there are many women who lack role models that inspire important direction and career choices in life, but they establish over 60 pst. by all individual enterprises, and the proportion of women for the establishment of a limited liability company is less than 20 pst. Among the 200 largest companies in Norway, 21 have a female CEO, and we need more female role models in business. Women must have equal opportunities to do well in industries where they dominate, just as men can in their industries. The differences in income are still very large in Norwegian society, and we need to think a lot more about equal pay in the future in order to get higher pay in typical care professions, so that the majority of ladies who work in these professions get more income. It will also make it easier for more men to choose these professions. The gender-based labour market plays a major role in the differences we see in working time, wages, careers and opportunities for development. Everyone gets better with a smoother gender balance. The minister has taken up the situation that is today because of the coronary crisis, and very many of those affected are female entrepreneurs in the hairdressing industry and well-being and in other service professions where you experience bad times. One of the most important things the government can now do to ensure that these entrepreneurs continue to do is to remove the excess – NOK 10,000 is too much, NOK 5000 is too much. The government has to set the fraction to 0.
ParlaMint-NO_2020-04-30.ana.ud19e531	It was interesting to hear the Minister for Gender Equality's presentation. It's not missing my truth on engagement. What is just sin is that equality has enough commitment, but too little political action. The minister was very concerned about the consequences of the coronary crisis and wanted data after the crisis. I am looking for, among other things. the action taken by the Minister for Gender Equality at the beginning of the action and in the course of the crisis, in order to inform the other departments to minimise the consequences of gender inequality as a result of the pandemic. As Minister for Gender Equality, he knows – and he has said it himself – that such crises meet differently. So why hasn't he demanded of himself and his government colleagues that they have sex glasses on when the action packages were to be designed? He says he wants to have increased professional participation among immigrant women, but supports a policy that prevents women with a minority background from participating in the labour market, namely cash support. He says he wants less negative social control, but votes down proposals from the Workers' Party that can lead to that. Equality is about concrete policies, and policy is now moving in the wrong direction. The minister pointed to the right of homosexuals not to be discriminated against and to their own struggle to get married to whom they want – a fight that for him ended well, fortunately. Unfortunately, it's not like this for everyone. Many women in religious societies have approached us because they experience discrimination because of sex. The counsellor of the Islamic Council of Norway discussed the issue on News of the Day 18 this week, and there was little doubt that women in the church felt this was problematic. Many homosexuals have come to us because they are subjected to degradation and discrimination to be who they are. The Labour Party has listened to the women and men who are subjected to negative social control in their own communities, and in congregations that mean a lot to them, and to whom they feel a connection. Nevertheless, the Left and the Government voted against proposals to impose stricter requirements on equality and anti-discrimination in matters of religious and life views. The government and the equality minister failed as it was – and why do I say that? Well, we have learned that demands for more transparency and control lead to changes. It has happened in the Norwegian Church, and we want it to happen in all religious and life-view societies. I would like to challenge the Minister for Gender Equality: why do minorities not deserve the same opportunities as the progressive peoples of the Church? The Labour Party knows it takes time, and therefore in our policy we will invite to a continuous dialogue in the allocation of religious and life-view grants. The government thinks it's keeping control and supervision, they think it's only to bet on one part of the cooperation, and it'll make the way further for those who are oppressed and excluded by society today.
ParlaMint-NO_2020-04-30.ana.ud19e544	I was born into a human world. It became clearer as I grew up. In a row and row, three brothers came. I was now both a daughter and a sister. Thank you for being older, I took early control. Twenty years old I became the store manager in a business where most bosses were men. At the first management meeting, I was appointed to write a record. It is often still the case that the ladies in the flock are appointed to write a record. "If you wanted to write so nicely, can you write more?" came from an older colleague on the sideboard. After each marriage, I married a wife and later a mother to four. It gave me new roles. I commend myself happily over my father's quota. It has given my husband the opportunity to be a father, while it has given me the opportunity to be active. Together, we are responsible for raising four young people in a world that is still largely influenced by men — or by women — a little depending on the profession you have. For me, who has had my entire professional career in the logistics industry, thinking that there is so much part-time in women's dominated professions. ASKO could not feed Norway if they had organized themselves as a health care provider. Whole and full jobs are on paper about calculations to go up, and shifts to be manned. In practice, it is about the offer that is being made. Many of the most vulnerable services we have in the country are based on day-to-day operations. It costs too many part-time jobs. It is beyond the competence and the ability to practice and learn. The right to full-time is not just about equality; it is also about the quality of services. But the math has to go up on the paper. Norway is now one of the world’s most equal countries. Women and men have about the same level of professional participation, and more and more women work full-time. Our policies work. The goal is equal to Norway. Then we have to keep doing the good things, while taking a settlement with our prejudices. There are many of us put in booths, whether it's because of sex, age, ethnicity or function. We must break these prejudices. We are placed in booths already after birth – colors, toys, leisure activities, school. Two thirds of gender differences in the labour market can be explained by educational choices. The health professions will have more boys, while the technologies need more girls, and one will now look at strategies to reverse gender-based educational choices. It's important grips. If my daughter is to be equal, she must participate in work on the same premises as the brothers, and her brothers must be equal parents. Early efforts are then required for everyone to have equal opportunities.
ParlaMint-NO_2020-04-30.ana.ud19e561	Let me start by thanking the Council of State for the presentation. It's nice that such presentations come at regular intervals, so we get the opportunity to see gender equality policy instruments in context. Even better it would have been if it was progress to track from time to time, but unfortunately we now fall on the index, as the representative of the Trettebergstuen pointed out in his article. On 8 March 2016, the Workers' Party launched 50 proposals for increased equality, and it is rather sad to experience that these proposals are equally topical today, for example. the need for stronger action against part-time. Tomorrow it will be May 1st, which others too have been involved in, and for the Workers' Party equality is a central part of the struggle for freedom both nationally and internationally. Many of the slogans that go back from year to year relate to the requirement of equality between women and men in working life – the right to a wage to live off, the right to full time, the right to permanent employment. Today's government has gone in the opposite direction, among others. by weakening the Working Environment Act and introducing general access to temporary employment. It affects, among others: women in pregnancy and childbirth. We see that the level of organization of work is falling. It is worrying, it weakens the fight for equality in the labour market. In January 2018, the majority of the government asked for measures to increase the level of organisation of work. They never came. Instead, the government used its current majority to have the decision repealed. The Prime Minister has stated correctly in Stortinget’s Question Time that she does not intend to present measures for increasing the level of organisation as a matter of her own. Instead, the government is constantly stressing the importance of recognising the unorganised working life. It's losing women. State councils naturally stressed the effects of the coronary crisis. What we're now seeing is that the consequences of the lack of equality are reinforced by the crisis. The unemployment rate is now over 10 pst. Yesterday, business figures came from Nav: 56 000 people unemployed in overnight stays and serving, 59 000 in service provision, 78 000 in trade in goods. The total number of branches is 60 pst. of the unemployed. And who's working there? Well, often women, many in part-time, many in temporary jobs. The refresher has demonstrated that among the new unemployed, there is a clear overrepresentation of low-income and low-educated persons, and there are more women than men. If unemployment becomes permanent, existing inequalities will be reinforced. So a repatriation plan after the corona must therefore have as its main heading: stronger tripartite cooperation for increased equality in employment – because it is fair, but also because lack of equality means waste of human resources. We can never afford that, especially now.
ParlaMint-NO_2020-04-30.ana.ud19e574	Which sex you have should not be decisive for what opportunities you get. Norway is one of the world's most equal countries. The number of female leaders is rising, and the proportion of part-time workers is falling. The difference between men and women's average wages continues to decrease. Even though we're at the top of the world on equality, and we're an equal people on paper, we still have to do more to be equal in practice. I believe there is a need for a commitment to research on women's health. Right will provide patients' health care. Patients’ healthcare is about hearing, seeing, understanding and getting good treatment when you need it. It should only be lacking that women and men receive equal treatment, but if we are to succeed in doing so, we need to have sufficient knowledge of the different health challenges for women and men. For men and women's bodies are not equal. The same disease gives rise to different symptoms and different courses of disease. A heart attack does not have the same course for a woman as it does for a man. Just how different the symptoms and pathologies are between the sexes, we don't know enough about them. The reason for this is that the man's body has often been the norm in medical research. In addition, there has been less research into diseases that often affect women. Status has been one of the reasons. We have to turn that trend around. For many years of unbalance in research, we are not able to turn to a hand turn, but we have started well. With the Right in Government, we have raised research on women's health, and in connection with the Women's Day this year, the government also announced that they will bring their own NOU on women's health. It's going to give us more knowledge, and it's going to deal with different issues, such as: violence in close relationships, access for migrant women to health care and mental health. Women must also be confident that they will receive good health care during childbirth. Women across the country were on average more satisfied with maternity care in 2017 than in 2011. Fewer children and women are injured when they are born, and with the Right we have also reintroduced the requirement to have midwife competence in the municipalities. It is important to be sure that you get good skills, regardless of where you live in Norway. So it's safer to be born in Norway, but that doesn't mean it's perfect. We must and still must work to ensure that women meet the skills they require and that they get a sense of security and care.
ParlaMint-NO_2020-04-30.ana.ud19e589	I also want to start by thanking the Council of State for the statement on Tuesday. We are lucky in Norway who live in a good country — probably one of the world’s most equal. That doesn't mean we don't have challenges. We still have challenges to solve, and several of them were mentioned in the presentation. Several have also been mentioned in a good way in this debate — whether it is still about eradicating unwanted differences between sexes, or it is about getting more disabled people into working life. It is not okay, as has been mentioned here before, that ‘Jews’ are used as a shell word in some schools in Norway, and that everyone who is a Muslim is suspected in the way we can sometimes see. Despite the challenges, we live in a good country — probably one of the world’s most equalised countries. However, some in Norway are more equal than others. It's actually a good part that's much less equal, and that's kind of a little less valuable than others in terms of the ideals of freedom that others take for granted, especially in some immigrant environments, and especially in terms of women. You don't have to walk many minutes from Stortinget until you get to parts of town where it's quite common for women to be covered from top to toe. You shouldn't show so much of yourself, you shouldn't show as much of the body as men, because it's a danger to one's own honor and that of others. This is actually quite common in some parts of Oslo and in some environments in our country. All culture is not culture. Some culture is also unculture. And that one still has environments where this is accepted in Norway, where it is practised that women are worth less than men and should relate to rules other than men, I cannot accept. Some of the challenges we face in the gender field in Norway can be addressed through regulation and policy decisions. Some other challenges are not primarily addressed by political decisions, no, they are addressed by changing attitudes in those environments where the different viewpoints – human vision – of men and women, and also of other groups, exist. We have to make sure that these attitudes are changed and the ideals of freedom are brought up, because we cannot live with this. It was also mentioned by several others from the pulpit that we have many young people who are subjected to negative social control, whether it's about being sent on compulsory religious training, including Qur'an schools abroad, or the right to choose who you want to spend your life with, or what's about being able to live out your sexual orientation. That's maybe the part of the equality struggle I'd say is the most acute in terms of individual freedom. Much is good in Norway, but we still have challenges, and we need to address them.
ParlaMint-NO_2020-04-30.ana.ud19e604	It is difficult to disagree with much of what the minister said in his statement, both because it was primarily an analysis of reality and few measures, and because he smoothly jumped over all the areas where this government is on the wrong side: They increase the cash support, which makes more women stay at home. We got the first tightening of the abortion law in 40 years. The government said no to a ban on homotherapy. There has been a cut in aid for sexual and reproductive health, despite the fact that it is needed more than ever before. And when the Storting decides to allow egg donation, it becomes against the government's votes, because the government has granted the Christian People's Party veto on all issues relating to biotechnology and the progress it can mean for Norwegian women and men and equality. Many have been in the debate about the Corona situation and how it affects everything. Korona hits us all, but it hits us differently. As usual, it hits most of those who have the least. And what's going on in society is also affecting equality. When more people are isolated and kept at home, there is more violence and abuse. When hundreds of thousands are permitted, women are hit hardest. When people stand without a job, it hits them with the least, and many women lose their economic freedom and the freedom to live their own lives because the economy is bad. Here I believe that the government and the Minister for Gender Equality have been far too passive. Where has his voice been to say what kind of threats this poses for equality, as the Children's Ombudsman did when she said what enormous cost this has for children? We have not heard the same voice from Abid Q. Raja. Why has this Minister not presented crisis packages for equality? It's really needed in the time we're living in right now. I think that the evaluation of the coronary situation will show that we had too little policy for what happened within the four walls of the house, and that we had too little policy to see how this increased the differences between us. But I also think we will see that our Norwegian model has made us better equipped to meet this in a way that has been more in line with equality. Imagine if the party of Abid Q. Raja had got a pass to cut the sick pay. Then people had not stayed at home – they had met at work, we had got more sick, and the equality had been weakened. Tomorrow is May 1st. It's a day of gratitude. We thank all the women who have gone before us, who have paved the way, who have made Norwegian boys and girls grow up and live freer lives. But 1 May is first and foremost a day for the future, so tomorrow we will meet those who have washed the floors here on the Stortinget, those who have cared for the elderly, and those who have sold us the food, with something more than applause – we will go behind digital slogans to demand firm, full positions and a salary to live on.
ParlaMint-NO_2020-04-30.ana.ud19e633	Real freedom we only have when we also have the ultimate opportunity to break out and walk. All in Norway should be able to choose whom to marry, and they should be able to differ. Then everyone must have the security that they can take care of themselves and their family. Working for all is priority No. one for the Workers' Party. The key to integration is work, and the path to work is through education and qualification. We want to give back life to girls and boys who don't live free lives. Then we have to be able to provide a law that gives the police the space for action they need to help girls and boys who live under strong mental pressure. Is the government involved in this work? We will clarify the role of the religious communities and make them responsible. Religious religious communities that do not recognise divorce under Norwegian law, or practice religious courts, believe that we should lose state aid. Why did the government not support this proposal? Everyone in Norway shall have the freedom and the ability to participate in social gatherings, leisure activities, work and other social activities. That is why, year after year, we have strengthened the allocation of national organisations beyond the government framework. We have earmarked some of these funds for the organization Urban Mothers. The goal of urban mothers is to isolate domestic women into society by means of women in the community who speak the same language. Initiatives like City Mothers don't just cheer up. We have to make sure that city mothers can establish themselves in several municipalities around the country, and not just be a local action in Oslo. Why doesn't the Council of State agree to give City Mothers the opportunity to establish themselves around the country? In recent years, we have proposed this in our alternative budget. The government has voted it down. Getting mothers actively into the community can prevent crime and recruitment to the harsh environment. And that could be the beginning of a journey to qualify for work, so that more people can support themselves and get the freedom that many of us take for granted.
ParlaMint-NO_2020-04-30.ana.ud19e646	Not everyone is with us in the fight against discrimination. There are some counterpowers out there that make that e.g. the fight against hate crime has only become even more important in recent years. The organised hatred has developed in several places in our country, including: in my home region, Eastfold, where they go under slogans to crush the homolobby, and spread hatred against both skews and other minorities. The Free and Skeiv Youth Association is quite clear that we are experiencing a reaction to the freedom and rights of the skeleton. They're very clear that we're facing a retreat. It has actually gone so far that the police security service has evaluated the threat of many of these right-wing extremes organized groups who hate and hoard like me, who love another boy. Hated their crooks, but it also struck Muslims, and it struck Jews. We know that we have a deep and serious problem in this country with the heat and hatred of our friends with Muslim faith. 27.8 pst. by the respondents in a survey respond that they feel reluctance to Muslims; one fifth would dislike having Muslims as neighbors or in the circle of friends; about half of those who responded to the study believe that Muslims themselves are responsible for increased anger; and one in ten believe that harassment and violence against Muslims can be justified. Then it's no wonder we've seen attacks on God's house. When we know, at the same time, that there are developing right-wing extreme attitudes online – but it is also physically present in our streets – that promote hatred against minorities, but that also have female hatred as a fundamental part of the distorted ideology they stand for, we know that the fight against hate crime is more important than ever. The most important thing that happens in that work is the ordinary people do when they meet up on demonstrations, turn their backs on and say no to the hate. But those who turn their backs on need to have the police and us in our backs. We need to expand arrangements with hate groups, we need a stronger settlement with hate. It's also part of the equality struggle.
