ParlaMint-BG_2022-03-16.u1	Honourable colleagues, please register. Colleagues online are: Eva Miteva?
ParlaMint-BG_2022-03-16.u65	Thank you, Mr. Gurov. To speak, Alexander Ivanov.
ParlaMint-BG_2022-03-16.u66	Dear Mr. Chairman, honourable Members! It is important to stress, my fellow Members, that the draft decision is the same, with the same procedural rules, conditions and order as the previous governor of the Bulgarian National Bank, as the previous spokespersons emphasized. He's expired mid-last year, if memory serves me right. The Bulgarian National Bank has exercised its powers even with the expired mandate of its governor and the arguments that, if you see, the previous two Parliaments have not broadcast a governor and have not started the procedure, somewhat eased, colleagues, because then, you remember that there was no parliamentary majority in the previous two National Assemblys, there was no formed government to be responsible for the management of the state, and we were in the situation and hypothesis of office offices. Therefore, I think right now is the time for the formation of a parliamentary majority, government of the state, albeit wide coalition government, to broadcast candidates for governor of BNB. And I'll tell you why it's important that this happens in a short time. Bulgaria is on the path of joining the euro area and the Governor of BNB has an extremely important expert and political responsibility, I say politically as a policy of the state. Joining the euro area is the completion of Bulgaria's accession process to Europe and European integration. In this order of thought, the procedure has already expired and the 20-day deadline that we had given then for broadcasting candidates from all the political forces represented in parliament has expired. There is therefore no argument for me to postpone and give once again for a maximum period. It sounds ugly to the colleagues of the ruling coalition, and we continue the Change, with the war in Ukraine. Colleagues, the war in Ukraine does not mean that in Bulgaria they have to stop the processes. The process of election of the Governor of BNB is very important once again. I think that you can act responsibly and I will even tell you that from the opposition we are helping you from this point of view because three of the four parties... [[(Replies from]] Anyone who wants to get up, don't interrupt me. ...presented to the Committee on Budget and Finance, where the expert tone is leading, for which I am pleased to say it from the stand, supported the deadline to be seven days, so I cannot understand why colleague Ghurov has now made such an editorial proposal in this House. I would agree with him if this were the first procedure, but already, colleagues, we are in the hypothesis of a second proposal for a procedure. That is, once you had one month before there was a war in Ukraine, so I do not see this argument to justify that the war in Ukraine changes the qualities or moral heights, or the educational value of a person we should broadcast and vote on the National Assembly as governor of the Bulgarian National Bank. I support the procedural rules, as proposed, as adopted by the Committee on Budget and Finance, so I propose that we proceed to a vote. Thank you.
ParlaMint-BG_2022-03-16.u67	Thank you, Mr. Ivanov. Are there any lines for Alexander Ivanov? Here you go, Mr. Gurov.
ParlaMint-BG_2022-03-16.u68	Thank you, Mr. Chairman. Honourable Members, a little clarification to the previous rules are not the same compared to 2015. There's a difference. I can't tell now if she's conscious or not conscious, but I'm not going to go into detail so she doesn't interpret herself as if in any way this change affects our position. I am saying that there is really a difference, and you can see it, and we can discuss here from the stand or in the Commission, as we have done.....................and dialogueally as you have said. Indeed, this is one of the committees that works in a very effective and dialogueal way. There is also a difference whether it aims to limit again the number or type of people who can run, the rules have written down what is laid down in the Law, so that these rules that we currently adopt and which were adopted in the Budget Commission are de facto more restrictive than the Law requires. Whether it is conscious, whether it is a target, I do not want to comment from here and speculate, because it would be speculation, I simply specify that there is really a difference. Thank you.
ParlaMint-BG_2022-03-16.u69	Thank you, Mr. Gurov. For the replica of Tosko Yordanov. Honest Mitev is also for a line.
ParlaMint-BG_2022-03-16.u70	Dear Mr. Chairman, Mr. Ivanov, I want to say that this is really why the committees are because there we have all sent experts, i.e. people who understand the most of the given matter. When a committee has adopted something, it is logical to assume that the expertise that we have delegated, that is, we have understood that they are experts and delegated to them the right to make decisions, is correct. That's why we sent them there. And since a committee has made a decision, we should trust her and not try to make any turns here in the room. In that order of thought, I just want to give you one more piece of information. Three days ago, Iraqi missiles attacked the U.S. Consulate in Iraq, which has the same connection as the war in Ukraine, with the election of the head of BNB.
ParlaMint-BG_2022-03-16.u71	Thank you, Mr. Yordanov. Honest Mitev, come in.
ParlaMint-BG_2022-03-16.u72	Dear Mr. Chairman, honourable Members! Mr. Ivanov, the war in Ukraine has brought us into some circumstances where we need to focus right now on some price crises that followed from this war. We called people to tell us what is the danger for Bulgaria and so on, which is fully involved in the executive power. And I do not accept your argument that it does not have any impact on whether the executive power and our group as a whole and the entire National Assembly, whether it will have the time to broadcast the right candidacy, first. Secondly, what is the urgency for us to accept that, especially today, it will be an additional item on the agenda? And your argument was because we are entering the euro area, in the sense I do not agree with that. If we wait 20 days... [[Noise and lines from GERB-SDS.]]
ParlaMint-BG_2022-03-16.u73	Quiet, fellows, please!
ParlaMint-BG_2022-03-16.u74	Thank you, colleagues, if you don't mind. Finally, if there are good candidates at the moment, as you claim, in 20 days they will still be good candidates. So if we want a little extension to get more candidates in or to look at or have a dialogue, I think it's quite reasonable and I don't understand the emergency order. If you could give us an answer, what's the emergency order today, anything else, that's gonna come in as an emergency? And is this the most urgent thing that should happen in Bulgaria today? Thank you.
ParlaMint-BG_2022-03-16.u75	Thank you, Mr. Mitev. For the doppelganger, Alexander Ivanov. Mr. Cholakov, for a statement? Okay.
ParlaMint-BG_2022-03-16.u76	Dear Mr. Chairman, colleagues and replicators! I'll start backwards. Mr. Mitev, I didn't understand. Perhaps in your speech you missed, I couldn't understand you about Bulgaria's accession to the euro area or not, but I hope that you are and in this regard it is an urgent order to have an official negotiator broadcast with a mandate by the National Assembly. And the war in Ukraine, unfortunately, this fact has been for three weeks, that does not mean that it should stop everything from happening in Bulgaria. For example, I hope that the executive will not be justified that it cannot submit the Recovery and Sustainability Plan for three or four months. It happened three weeks ago, now we will justify ourselves securely and with this, Bulgaria loses 2 billion. lv. because of the war in Ukraine, according to you. No, that's because executive power, as you say, is not doing its job. This is the opinion of the opposition and already of many Bulgarian citizens. Therefore there is no urgent order, as you know, GERB did not score this point as an emergency today, so I think your question here was inappropriate to me as a line. Look, colleagues, the seriousness of the broadcast of a candidate for governor of BNB is to any political power. I don't know why you're the only one who needs a deadline?! Once again, three of the four formations that enter the government supported this deadline in the Commission. This is also my answer to the reply of one of my colleagues, the replicating Mr. Yordanov. There we are experts in the Budget Committee - three of the four forces supported such a decision by opposition parties. Mr. Ghurov, I may agree with you, and the only thing that may be different with the 2015 Rules is that the Budget Committee and the National Assembly voted a higher degree of educational value for the Governor of BNB, not lower criteria. So I think here's the Budget Committee and then, and now we're in the right direction. Naturally, the responsible position for the manager of BNB is good to have an educational center, to have all the management qualities, the necessary expertise, internship in the banking sphere and naturally to have approval as a person of society. That's why I think the point that's really being discussed is important, and let's discuss it today. Again, I tell you that my speech was in the order of this, Mr. Ghurov, that you offered a very long period of time for which I would agree with you, but we have already gone through this deadline one month of the original proposal. Last week, we started the procedure again because the executive according to Mr. Mitev, who has no relation to us, we are the legislature, we are broadcasting applications, this is also to you, Mr. Mitev. In the National Assembly, the political forces represented in parliament have nothing to do with the executive power of broadcasting this application and this procedure, so we have a separation of authorities. Let the executive do its job, let it finally bring the Recovery and Sustainability Plan into Europe, start the Bulgarian economy and the Bulgarian citizens to receive the funds needed to restore the economy and support it, let them solve the war crises, but have no bearing on the procedure today. And to greet the youngest guests upstairs, these cute kids, I don't know what school they're from, but I'm glad they're in the National Assembly today. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-03-16.u77	Thank you, Mr. Ivanov. Radomir Cholakov for speech.
ParlaMint-BG_2022-03-16.u78	Mr. Chairman, ladies and gentlemen! I may be going into dissonance with Mr. Ivanov's speech, but in the end we are here to exchange free thoughts and to say what we think about the topics, which is why I would like to stress once again that this is about the choice of a Governor of BNB and this is not a party matter, but it is really a matter of state, as Mr. Gurov said. I may be naive, but I believe in the words and I was very pleasantly surprised by what Mr. Ghurov said, I would like to point out that when discussing the future governor of BNB, the opposition will be taken as well. Mr. Ghurov, I would really like to point out to you that words weigh and should not be lied to. A man says something, he has to do it. This applies even to politics. And I would really be very interested to see whether you will keep your promise and these talks will indeed be held with opposition representatives, as is the order for this particular appointment, and for many other appointments. I would agree, colleagues, to release the long term, that is, 20 days to have as much as you propose to discuss the applications, because in fact this is a time when we will see whether the government, speaking through the mouth of Mr. Gurov, will keep their promises and talk to the opposition. But not in a way that would make it a fig leaf of one already made a decision, Mr. Gurov, but indeed. We will see how it will happen and whether you will be able to do it this way, it seems to me that if we now give these 20 days to the government and they keep their word, we will then save much more parliamentary time for other procedures and other important decisions. I want to believe that it will not happen as it did with the election of the President of the KEWRC, where the rules were reduced once, and then the choice did not even follow the low rules. I believe that you, like us, want to raise the personal, quality bar very high in front of the people we choose. I would also like to believe, fellow Members, that you will really give signs not only through speeches like this to Mr. Gyurov, but by your actions that in a crisis situation, in a situation of multiple crises, of many crises, you have realized that you need to manage it with the knowledge and skills of the whole society, which means with the knowledge and skills of the entire parliament that we should not have complexes of the fact that there may be more experienced people in this House. I don't have complexes that there are more experienced people in this room than I do, and I'm glad I do, because I can use their experience. I believe that even opposition bills can be supported, that would be a good sign. I hope that we will operate with pride and self-confidence, because the situation in which the country is located really implies that Parliament should be united and seek consensus as much as possible. So, Mr. Gurov, thank you for your speech, that's what I wanted to say, and we'll see if the words turn into action.
ParlaMint-BG_2022-03-16.u79	Thank you. The line of Tosko Yordanov.
ParlaMint-BG_2022-03-16.u80	Thank you, Mr. Chairman. Mr. Cholakov, I think that talks can be held within 7 days, it does not take 20 days to make calls. Secondly, this procedure for the head of BNB has been going on for practically a month and a half indeed. Thirdly, if any political party did not know that a chief of BNB would be elected, it had no capacity. If she knew and had an idea who to propose, she should have already picked it out, because otherwise it means they don't have any footage. Mr. Gurov's words made me think about the correlation between events, because just to point out that correlation means that two events can coincide, but there is no correlation between them. So in that order of thought I think about it from his words, I don't know if you know it, but on March 14, the Bulgarian Academy of Sciences told us that the Earth was hit by a G2 class geomagnetic storm, which is an event of cosmic scale, and I don't know what the connection is to choosing the head of BNB, but maybe we should think about it.
ParlaMint-BG_2022-03-16.u81	Thank you, Mr. Yordanov. Nikolina Angelkova for the second line.
ParlaMint-BG_2022-03-16.u82	Thank you, Mr. Chairman. Colleagues! Dear Mr. Cholakov, allow me to disagree with you and I do not think it will take an additional 20 days to discuss the applications to be proposed as governor of the Bulgarian National Bank. And I do not think that you so trusting should approach the intentions of those who are in charge of the change, that you see, this time they will accept and listen to the opposition, because they have proved to the point that only when they have a strong need, such as having votes further, when we see that during the vote on the point they did not have the necessary quorum and majority to reject it and not discuss today the rules for the boss of BNB, but actually want to buy time so that their candidate may probably be imposed in the framework of negotiations within the coalition itself. I think that one period has already expired, during which applications for governor of BNB should be submitted, and I do not think that it is necessary additional time outside these seven days to propose a worthy candidate to meet the requirements in order to take up this post, especially in the times at which we are currently facing an economic crisis. You see what happens every day and I think that the government should not justify war in Ukraine because I think they are competent to do more than one activity at the same time and it is not right to wait for some events at the expense of others. Thank you.
ParlaMint-BG_2022-03-16.u83	Thank you, Mrs. Angelkova. Third line? I won't. Here you go, Mr. Cholakov.
ParlaMint-BG_2022-03-16.u84	In fact, Mr. Yordanov and Mrs. Angelkova, I agree with you and thank you for your lines. Actually, you're right. I cannot fail to report that yesterday, literally yesterday, Prime Minister Petkov said that he would never in any way talk to the opposition, with GERB, will not accept hands, will not extend hands, in any way total war. So Mr. Gurov's statement is, in fact, currently in dissonance with what was stated yesterday by his Prime Minister. But I do say my personal opinion, colleagues, and I still want to believe, you know, don't be mad at me about it. I hope that there will be intelligence in the ruling majority and it will begin to discuss some important issues with the opposition and I will take advice from the opposition, including, as I said, on personnel issues that concern the whole country and what it looks like outside legislative issues, solutions issues, issues for example how to deal with the energy crisis and so on, let us not repeat ourselves. I'd like to believe that. If I am disappointed once again, it will be at the expense of the government. That was the point of my speech. So if the government wants to have consensus, let them give a hand, although yesterday Mr. Petkov said otherwise, and yet, however naive I am, I am also a little skeptic. Thank you.
ParlaMint-BG_2022-03-16.u85	Thank you, Mr. Cholakov. Are there any other speeches? Here you go, Mr. Tsonev.
ParlaMint-BG_2022-03-16.u86	Thank you, Mr. Chairman. Dear colleagues! Still, let's get the debate back. The debate is not for the term, but to reopen the procedure for selecting a manager. There are proposals for two terms, we will vote on them because I see that the discussion goes deeper within the time limit of whether it is 7 or 20 days. The choice of the Governor of BNB is not only the choice of a manager, the term of office of the two governors has expired. This makes more than half of BNB's governing body. Yes, there is no harm, legitimate is the current composition until the choice of a new one so enjoins the law, but it is still not about one or two months. One year increased the mandate from six to seven years. If you find this normal?! I don't find it, and I think every lawyer in this room is going to say it's not. There were some circumstances last year, objective, because of which the two parliament that worked last year was not elected, but now there is no obstacle. We had the first long-term procedure, didn't happen. I now address Mr. Gurov as the chairman of the largest parliamentary group: you are talking about dialogue and debate. I have a question: was there a dialogue and debate with the opposition within the first procedure? The answer, of course, is not. It's a rhetorical question. What guarantees that within the next 20 days such a debate will take place? It should, however, because I will tell you that in the election of Mr. Radev DPS there was participation and support, and you say that you work well with him. Here's a choice of DPS for a governess you like. Maybe the next one will do the same. You should have these conversations. Furthermore, if you want the deadline to be longer, don't you think it's fair to tell this House what happened within the first period?! We don't know. More precisely, we know, but from colossal gossip, and it would be fair to say, colleagues, let it be 20 days, because the first time we gathered the Coalition Council, we argued and the stumbling block turned out to be this and this and this. Because here is a coulomb gossip of this coalition council was said: "We better have a single application, otherwise we will depend on DPS and GERB." [[Noise and lines.]] And what's wrong with depending if it's true? Here's Radev, here's Radev. He was chosen by GERB and by DPS. So it could be a good choice, right? Since we have not heard these things, we see no reason for the second procedure to delay, we see no reason to delay at all. Searching for candidacy. Colleagues, even in this room there are decent people if you turn around. Mr. Ganev from DB.. a wonderful economist, Mr. Chobanov from DPS. There are certainly some in your ranks, in the ranks of the BSP too. Did anyone ask everyone to sit down and say, "Oh, let's see, maybe we can air it from here." And outside this room, there are even more worthy candidates. We always look in Singapore, they refuse us, we look for them at the World Bank, at the International Monetary Fund, and then you smile and you say, "The DPS is getting funny with their fixations." Well, we're not. We'd love to, but we don't. Backstage again is looking for a candidate for the post of governor and for the underdogs, and I don't need to mention it again. It's the only purpose of both slowing down and misunderstanding and everything else. What? In the first procedure you were offered Mr. Karimansky. Is Mr. Karimanski a choice of DPS or GERB? It would be on GERB if it was Mr. Ananiev who was an extremely worthy person for this post, that and with experience which we do not have all put together. But Mr. Karimansky doesn't seem to fit into the backroom. Therefore, when we appeal sincerely to the dialogue room, as you did, Mr. Gurov, I believe you. Without any courtesy, I believe you. Be honest to go all the way. Tell me what, why, how and why you want an extension, because everything else is... Now, Ukraine, I will give you the same arguments as counterarguments. The price crisis is related to BNB. Investing reserves is relevant. Yes, yes, the macroeconomic analyses are done in BNB as well, and better than anywhere else, so let's move on and if we have really serious, honest intentions, let's say them and work this way. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-03-16.u87	Thank you, Mr. Tsonev. Replices to Yordan Tsonev? There are Tsoncho Ganev and Andrej Gurov.
ParlaMint-BG_2022-03-16.u88	Mr. Tsonev, in your speech on several occasions you mentioned the current governor of BNB and what a great specialist he is, how much and how he united the hall at his choice. We cannot in any way agree that Mr. Radev has very conscientiously carried out his duties during his term for a very simple and prosaic reason. During his term of office one of the main things that happened, related to the financial sphere, is that the government of GERB and VMRO we entered a waiting room or as you would call it, ERM II something that this Parliament is currently welcoming and explaining how entering the euro area is an extremely good option for Bulgaria. But BNB's obligation was categorically, clearly and precisely to prepare a complete, detailed analysis with all pros and cons of this membership a document which there is no. It is not normal for us to submit and explain how good it is for the Bulgarian economy to enter the euro area and at the same time BNB with all the capacity it has, with all the specialists working inside, not to have done the analysis in question. And that document is gone. I formally requested it, and I officially received a reply that there was no such analysis. And here is the question to ask, since the BNB has not done their job to do an accurate analysis and to say to our country the pros are such, the cons are such and we recommend that this happen, and in parliament to take this decision, in the end, Mr. Radev, what has he done during his entire mandate for this extremely important moment, about what is coming before Bulgaria? [[The President signals that time has expired.]] That is why this debate should not be postponed and we should enter into a procedure for the election of the President of BNB. We can't afford to move forward with this manager.
ParlaMint-BG_2022-03-16.u89	Thank you, Mr. Ganev. Mr. Gurov for line two.
ParlaMint-BG_2022-03-16.u90	Thank you, Mr. Chairman. Mr. Tsonev and colleagues who have already spoken on the subject, I accept your arguments and I think they are reasonable. We have a dialogue here, which is based on positions and not on the basis we want to impose someone. I think it is clear to everyone that, from the very first day of entering this Parliament, the aim of the Change is to continue has never been to work for people in certain positions. Our goal has always been really dialogueal to find the best candidates for the important positions. I'm not excluding anyone. Especially in this room, there are many worthy candidates. They would all be subject to discussion, and accordingly, if we found such agreement, I see no obstacle to these candidates being supported, really in the context of a discussion which I have asked that we want to hold. I stand by my words, and I think there are even opposition people in this House, or they are not in this House right now, who can confirm that such steps have been taken and the intention is serious. My idea was to give this a chance to really happen, but I understand the arguments we really have a procedure and it's running. As an expression of the fact that we are willing to take the appropriate steps, it is appropriate to really go in a direction where there is not one candidate, but to have many worthy candidates, among which we can find the most worthy. I, listening to all those who have spoken, if I can change my proposal, is to make a compromise option not to have 20 days, which may indeed be too much time, but 14 days to have to do emergency procedures here next week. So I'm changing my proposal to 14 days. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-03-16.u91	Thank you, Mr. Gurov. Third line. [[Heckling]] Ivo Atanasov was before you. Here you are, Mr. Atanasov.
ParlaMint-BG_2022-03-16.u92	Dear Mr. Chairman, honourable Members of the National Assembly! My proposal is to extend the period of six months, and I will motivate myself for that. [[Noise and lines.]] I know some writers who were part of the referendum, which is why I became a member of the party. I propose that the procedure be changed as follows: to have a month to draw up a scenario by them I make a personal commitment to speak; a month to select the staff; and four months in a live broadcast these candidates to be imprisoned in a house, to vote by text messages; of them to be offered three to be elected by the National Assembly. I believe that this is an application of the principles of direct democracy and this is the most democratic way of choosing a governor of BNB. Thank you. [[Applause from IHN.]]
ParlaMint-BG_2022-03-16.u93	Mr. Tsonev, come in for the back.
ParlaMint-BG_2022-03-16.u94	Thank you, Mr. Chairman. To Mr. Ganev. Mr. Ganev, the DPS is at the heart of the consensus on entry into the euro area. So we have no change and we believe that Bulgaria should continue the policy of joining the euro area, but now is not a debate about it. If there is a debate, we will repeat our arguments and new arguments from the situation created as a result of the many crises. As for the procedure, we tend to accept a 14-day deadline, at least because of the quarantine in which one of the candidates is, because we don't all want to talk remotely to him. Seven and or fourteen is of little importance. Fourteen, in my opinion, in view of this situation and in view of the stated desire of the President of the largest parliamentary group for dialogue and seeking a common solution, would be a good solution. I think this is the way we should go when it comes to state institutions that are overparty. Not only are they outpartisan, they always transfer the term of office to one government. So here the party approach is not the best solution. Thank you.
ParlaMint-BG_2022-03-16.u95	Thank you, Mr. Tsonev. Thomas Bikov for a statement.
ParlaMint-BG_2022-03-16.u96	Dear Mr. Chairman, honourable Members! What I see from the debate as well, and from this failed procedure, which ended a few days ago, a bit like the phrase of a voter who once said: "I wanted to vote, but I didn't want to vote. Now you want to have a president of the Bulgarian National Bank. This is understood and it is obvious that you have an appetite, you want the position, but you do not have a person. Or you have a guy, but you're afraid that if you offer him up, he's gonna start a scandal because he might be missing something. This is a very serious institution, especially in times of economic crisis, price crisis and any type of challenges facing the Bulgarian economy. By the way, because you are still unable to broadcast a candidate, you did not lift this anchor from the Bulgarian ship, which still keeps it from going somewhere in an unknown direction. You've removed all kinds of anchors in recent months, and the results are visible on the shelves of the shops. Now you're wondering how to remove this anchor without knowing where the ship will go, because that's what we know from what you're saying here. Hardly 14 for 20 or seven days such a problem, which I think is existential and very asymptomatic for your management, will be able to be solved. You are talking about the fact that there should be a dialogue for sure about this institution. By the way, the last President should be congratulated for his term of office because he took over BNB in a very serious, almost banking crisis, with the bankruptcy of a bank and managed to calm things down and move forward. So there has to be a dialogue. The question is where this dialogue will take place. Where will it be held because he has not been led to parliament so far?! Obviously somewhere is being led I don't know where, but obviously until now the decisions have been made outside this Chamber, outside the National Assembly. Is he in the Council of Ministers? I am sure already knowing the approach of Mr. Asen Vassilev, for example, that he was involved in this dialogue and will most likely continue to participate. Unfortunately, everyone else here may not have participated in at least we, and seeing from your votes and part of you from the majority in question have not been much involved. [[Relations from the parliamentary group of.. We continue the Change.]] It gives the impression that decisions are not made in parliament, but here, as you like to say, we are a rubber seal that after 14 days, 20 days or seven days will stamp what has been made as a decision somewhere else. It's not bad to know where that is. By the way, I'm sure you're going to challenge me and say, you've made decisions elsewhere. But we knew where. We had a prime minister who was making the decisions, and with you, I'm a little doubting whether he's taking them or somewhere else they're being taken. So we welcome your desire to have a dialogue, but we doubt that even you can ensure that this dialogue can take place here. Personally, I am extremely worried about what is happening with the BNB election. I would remind you that even in your coalition agreement, it was laid down that for those mandates that expired, which had been completed a long time ago, procedures should be started immediately. You have launched a procedure and it turns out that you cannot elect a chairman, and it is a very important institution at such a time. Think about who to raise. But let me tell you: if you don't have anyone, go pray to Mr. Radev that he will eventually accept another term, because at least we know him. Please don't experiment with BNB at least. You've experimented enough. I think a lot of your experiments have not been successful and we have no guarantees that if you conduct another experiment at BNB, it will be successful. And if it fails there, there's nothing good waiting for us. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-03-16.u97	Thank you, Mr. Bikov. The line from Tosko Yordanov and then from Nikolina Angelkova and Vladimir Tabutov.
ParlaMint-BG_2022-03-16.u98	Thank you, Mr. Chairman. Mr. Bikov, I would like to strongly oppose you for not commenting on what Mr. Tsonev said before you for the 14-day term, because Mr. Karimanski's candidacy I do not know to be officially raised. So tying the rules to a man who hasn't been officially announced is, to say the least, a little ridiculous. You should have paid attention to this, as well as to tell Mr. Tsonev that in the seven-day period Mr. Karimansky will be on the line. So this is also an argument not to extend the deadline by binding it to him. I just don't get it. Thank you.
ParlaMint-BG_2022-03-16.u99	Thank you, Mr. Yordanov. Mrs. Nikolina Angelkova.
ParlaMint-BG_2022-03-16.u100	Mr. Chairman, colleagues! Mr. Bikov, please also pay attention when you ask where the dialogue is taking place and who conducts the dialogue for the Governor of BNB is actually in the context, and I regret that Mr. Karimanski is not in the Chamber, but in an interview last week he states: I was advised to give up the race for the Governor of BNB, but I will be a candidate who advised him to give up this race and why? Is it true that the ruling coalition has another designated candidate who may not be eligible? Perhaps from the surprise of including this decision today on the agenda as item one, for which you were not involved in the revoting, you are therefore surprised that the requirement for a Master remains in the decision read by the importer, which we will vote on today? Any questions that the government should answer because this relates to one of the most important positions in the country to ensure our financial stability. Thank you.
ParlaMint-BG_2022-03-16.u101	Thank you, Mrs. Angelkova. The third line is by Vladimir Tabutov. [[Reply from MP Hamid Hamid.]] You signed up, Mr. Hamid. Shall I sign you up for a statement? [[Reply.]] Okay.
ParlaMint-BG_2022-03-16.u102	Dear Mr. Chairman, honourable Members! We are all facing a crisis, namely each party to broadcast such a potential candidate. The first phase of the procedure has failed not only from the point of view of "We continue the Change" but from the point of view of each party, because every MP has the opportunity to propose such a candidate. My request is that we really do not suggest to the public that we are conducting this process, because we have heard before this, and when choosing the chairman of the KEWRC, that we are almost implementing the conditions in this way, because we have chosen a person in advance. You've proven that that's not true. In this regard, Mr. Gurov's proposal is precisely for a constructive dialogue. Thank you.
ParlaMint-BG_2022-03-16.u103	Thank you, Mr. Tabutov. For the doppelganger, Toma Bikov.
ParlaMint-BG_2022-03-16.u104	Dear Mr. Chairman, honourable Members! Back and forth. Mr. Tabutov, we have no doubt that anyone is conducting this process. On the contrary, we are rather concerned that we are neither seeing a conductor nor an orchestra in this situation. We hear some noises and we can't understand them. That's our concern. And it's a good thing you thought of the KEWRC. Our concerns are precisely because of this choice, because we have seen you choose people who do not meet at all the conditions that you have bet yourself. We hope that this does not happen with the BNB, because if this happens with BNB, we will get into a very bad situation. Otherwise, about the dialogue, I agree. You said the negotiating table, we're waiting for you to show us where this table is and who the negotiators are. We are ready at any moment to broadcast you and negotiators. As for the candidates, that we have failed, now obviously the opposition, and your approach so far has shown that you will hardly choose any of the opposition, although me, if you ask, Mr. Kiril Ananiev is absolutely indisputable about this position and we can immediately offer it to you, but you will hardly support him because he is from GERB. To Mrs. Angelkova. I have nothing to say to you, because I also read in the papers who said what, and maybe there is some other debate, with some hints of who had made Karimanski give up, is he a candidate at all, because he is not a candidate at the moment, but it is said that he is a candidate, and apparently there is some other mythical figure against him that we cannot understand who he is. Mr. Yordanov seems to be using the line to address Mr. Tsonev. I don't have any comments on Mr. Tsonev's statement. I hope this procedure does not fail, and this procedure is to be carried out normally and in favor of both BNB and the state.
ParlaMint-BG_2022-03-16.u105	Thank you, Mr. Bikov. Next statement? Desislava Atanasova for speech.
ParlaMint-BG_2022-03-16.u106	Thank you, Mr. Chairman. Dear colleagues, I am a little surprised by the debate, and in the part of the justifications of the importers of this procedure, that is, we are continuing the Change.
ParlaMint-BG_2022-03-16.u107	The Commission is an importer, Mrs. Atanasova.
ParlaMint-BG_2022-03-16.u108	All right, the committee in which the majority has the ruling majority. Thank you for the correct correction. We have heard that the war in Ukraine, which has been for two weeks, has delayed the process of broadcasting a candidate for governor of the Bulgarian National Bank. We have heard that the executive involved in all the war processes in Ukraine was not ready with a candidacy and a possible discussion at some table. I expected that one of you could say that the youth GERB or any of the other GERB organizations sabotaged this process and this would not surprise me at all. Dear colleagues! Absolutely helpless seems the argument that the executive power is too busy and therefore the applications for a possible governor of BNB are not discussed. Let me remind you that according to art. 84, p. 8 of our Constitution The National Assembly elects a Governor of BNB. In this sense, the executive has nothing to do with your will, with our will, with our will to raise candidates, to discuss candidates and to vote here in plenary. In this sense, indeed, this justification seems totally helpless. Second of all, you don't have time. Twenty days was the first procedure, seven days was the second procedure. Now you continue to insist that it be increased again and that the deadline for raising governors will be extended. I believe that if the ruling and the largest ruling parliamentary group in the ruling majority does not have a nomination for one of the most important institutions in the country and is seeking excuses, which I spoke about a few minutes ago, this is extremely worrying. If the ruling majority does not have a common nomination, it is also extremely worrying, although some time ago.. more than two or three weeks ago, we heard from you and Prime Minister Kiril Petkov that each of the parties or organizations in the ruling coalition will raise a stand-alone candidacy for a Governor of BNB and the best will be broadcast as a common candidate. And here's the question. First, either none of the parties and organizations in the ruling coalition has such a candidate, or this candidate cannot be called the best because at the moment the Governor of BNB is a person who has enough experience, enough expertise and the bar is so high that it is difficult to raise someone with the same experience, with the same international recognition and with the same professional or educational level. When talking about the nominations, I am also quite worried that in the last week one of the members of the National Assembly medialy announced that someone advised him not to appear in a possible future competition procedure in the National Assembly. Here the question must be raised to the government: who advised a potential candidate to give up the race? What are these primos in a democratic state to advise someone not to participate in a public competition, and is that why it has been two hours of parliamentary games, first of all, to fail at all to discuss these procedural rules; now to fail at all the procedure itself at this time when the Budget Committee has proposed to us to vote, and thirdly, possibly to fail to choose a possible candidate? To these questions, colleagues, I did not hear any answer. If you want me to repeat them: who needs these 20 days extended, because I have no doubt that talks with the opposition will not be held as before, except that the opposition has been called with any offensive epithets, you have never had talks, whether or not, concerning important state interests, and I believe that the choice of a governor of BNB is such an important state interest. Moreover, at the beginning of each session of the National Assembly, the President shall report all positions for which a competition or a public procedure is pending and in which procedures the National Assembly has its participation in the promotion and voting of certain candidates. It's been more than months, a year, not being ready with potential candidates, it's really embarrassing. But what's more disturbing is that even if it were to be extended to 14 or 20 days, you still wouldn't be ready. If today we do not answer the important questions that we have raised, then perhaps there is no point in having any debate further or participating in any future talks. Thank you for your attention. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-03-16.u109	Thank you, Mrs. Atanasova. Hamid Hamid for a line.
ParlaMint-BG_2022-03-16.u110	Thank you very much, Mr. Chairman. Finally, I've had my cue. Dear Mrs. Atanasova, perhaps the question you are asking here is rhetorical. All of Bulgaria knows who this man is. This is the same person, Mrs. Atanasova, who has proposed ministers of Mr. Borisov and Mr. Borisov to these ministers throughout your government. Those are not my words, these are not my statements, this is a statement by Mr. Borisov himself. This is the same person, Mrs. Atanasova, the same person who currently arranged this government, this is the prime minister's mentor, this is oligarch Ivo Prokopiev. Why do you wonder who this man is? [[Applause from DPS.]] I'm interested in something else, but you keep quiet about this guy, shall we hear from you?
ParlaMint-BG_2022-03-16.u111	Is there a second line to Dessislava Atanasova? I won't. Here you go. Here you go. Here you go.
