ParlaMint-BG_2022-03-30.u1	Colleagues, I think we can start the registration now. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u81	Thank you, Mr. Valchev. Are there any lines to that statement? I can't see. Are there any other statements on the bill? I can't see either. We close the discussion and move on to the vote in a moment. Mrs. Petrova?
ParlaMint-BG_2022-03-30.u82	Yeah.
ParlaMint-BG_2022-03-30.u83	Thank you. A total of 124 MPs voted: for a total of 116, against 7, abstention 1. The bill has been passed.
ParlaMint-BG_2022-03-30.u84	It's a re-vote.
ParlaMint-BG_2022-03-30.u85	It's a re-vote. Mrs. Petrova?
ParlaMint-BG_2022-03-30.u86	Yeah.
ParlaMint-BG_2022-03-30.u87	Thank you. A total of 117 MPs voted: 117, none against and abstention. In the case of registered 146 MPs, the bill was adopted at first reading. [[Applause from "We are continuing the Change."]] Moving on to the next item on the agenda.
ParlaMint-BG_2022-03-30.u88	For procedure.
ParlaMint-BG_2022-03-30.u89	Come in for the procedure, Mr. Gajev.
ParlaMint-BG_2022-03-30.u90	Mr. President, I see your desire this week to change the rules on which we have been working since the beginning of this National Assembly, namely that the bills are adopted by more than half of the votes. That means there should be 121 votes. Until now, when there have been less than 121 votes, even the President of the National Assembly, Mr. Minchev, who is not here, has repeatedly said that I quote: "The vote is not successful." Not that it's accepted or not accepted, but failed. That is, this vote, which you have declared accepted, if I should quote Mr. President Minchev: it is unsuccessful. So I hope that you do not create new precedents while you are leading, and that you are in fact different from the proper conduct of the President of the Assembly, Mr. Minchev, who has repeatedly made similar statements. This case has been discussed more than once in the last three months. I understand the desire to go back to some old rules when you really vote with half the registered ones, but this has been changed by the rules of the Assembly. We have had this conversation many times and this debate about whether or not there should be 121 votes. And if yours is correct, then in the last three months, Mr. Minchev's reactions were wrong?!
ParlaMint-BG_2022-03-30.u91	It's possible both. [[Replys from MP Iva Miteva.]] I'll give you my word now, Mrs. Miteva. As you say, we have also discussed this more than once. The rules are the same as at other National Assembly meetings, and I think that when no inspection of the quorum has been requested before the vote, we are working with the quorum already registered with the National Assembly. It is thus assumed that the present Members of the National Assembly are those who are already registered. Here you are, Mrs. Miteva.
ParlaMint-BG_2022-03-30.u92	Dear Mr. Chairman, honourable Members! I can't understand how much time we've had since the forty-fiveth Parliament, we've been trying to explain to each other what a quorum means and what a majority means. I think it's about time we did it today. Until the forty-fifth National Assembly in the Rules of Procedure dealt with the term..................................................................................... since when the constitutional amendment was adopted in 2007, it was adopted that the National Assembly opened its meetings and adopted its acts when more than half of MPs. Therefore, there were voting days and voting hours until the forty-fourth National Assembly. When the Forty-fourth National Assembly began, it remained what it meant to be registered, but the voting days and hours were cut. That is to say, the main reason why this amendment was made in the Rules of Procedure has disappeared and the provision with registered ones has been depreciated. The registrations are important and are important for the opening of the quorum in the morning of the meeting. The quorum is always the same under the Constitution. It must be 121 to have a meeting of the National Assembly open. From then on, we deal with the term of the present Members of the National Assembly. Members of the National Assembly are no longer registered from the morning. 200, 240 or 180 to divide this number and search. From now on, in order to adopt an act, the Constitution says that there must always be more than half of those present. The attendees, to open a meeting, are always at least 121 and always to pass a law, we require 61 MPs. So you don't have to go back to this opening in the morning with how much you found and divide the registered ones because the computer system shouldn't show a number of registered or present, and it shows a number of voting participants. The computer system shows the result of this vote, which is different because in plenary, as well as here, there are clearly 121 MPs. They are in plenary, but do not wish to vote for the vote, the opposition or the abstention, and they simply do not participate in the vote. The important thing is to have 61 Members of the National Assembly in the case of quorum 121, as established in the morning. As was just before the vote, if anyone had requested a quorum, you had found that there was no quorum and it had fallen since the morning of 117, then, yes, there is no quorum and there is no vote. But in this case, we have a claim that no one has challenged it. We're looking for 61 votes and moving on. That is why I have repeatedly appealed for this computer system to be changed and to show a number of participants in the vote, as the Constitutional Court says. There are infinitely many solutions, please read them. The practice of the Constitutional Court is lasting. That is to say, we have returned to the practice that was applied until the forty-fourth National Assembly until 2007, so there is nothing unusual about it. The vote is valid, Mr President, no one challenged the quorum, and just MPs did not take part in the vote and there were 61 MPs for. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-03-30.u93	Thank you, Mrs. Miteva. Indeed, there are several questions that constantly create occasions for this type of discussion. This is one of them. Perhaps at some point, when we have to open the Rules of Procedure and the activities of the National Assembly, we will have to write them out explicitly so that the leaders of the sitting do not have to subject themselves to a different type of discussion of this nature. Several are such and I really appeal at one point to the Committee on Constitutional and Legal Affairs to make this interpretation, to write it down so that no such issues are raised each time. Now we move on to: THE FIRST VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR HIGH MOVEMENT. Mrs. Anastasova, come in.
ParlaMint-BG_2022-03-30.u94	For procedure.
ParlaMint-BG_2022-03-30.u95	Do you have a procedure? Mrs. Anastasova, wait to hear another procedure and we'll continue after that. What's the procedure?
ParlaMint-BG_2022-03-30.u96	Dear Mr. Chairman, honourable Members! In relation to the vote. The big problem is that both in the forty-fiveth and in the forty-sixth National Assembly, and in the present one is considered a rule in a conjunctual situation, something like it does not work for the majority, and hence it is necessary to introduce a new practice. That's what happened to the quorum. In the Forty-Fiveth National Assembly, this was because of the vote abroad. There were no votes according to the old rules of the then majority in the National Assembly and there was the argument that it should be 121, not to look at those who registered in the morning, because then we had made a very high quorum. Since then, they said, "No, no. If 121 has already voted, then it is accepted. " - This has entered into the Rules of Procedure, and now you are not always going to stand up to this number 121 and we are going to open the Rules again because of the conjunctural things to bring it back to the way it was, as far as I can see. Not 121, but three votes have already been put to practice three times to rethink the same thing, because no quorum has been assembled, and other situations will arise from this. My call is: if the Rules are to be opened, I don't mind, but let's think outside of the conjunctural things what is convenient for the majority............................................................................. Then we were even in opposition and said: "Colegi, you will not be able to pass a single law in this Parliament. " - They gave up at one time because they felt that they were in government too. So I'm asking you here to have some hard rules, not change them as we please.
ParlaMint-BG_2022-03-30.u97	Thank you, Mr. Bikov.
ParlaMint-BG_2022-03-30.u98	Just two words.
ParlaMint-BG_2022-03-30.u99	Okay. I just wanted to say that Mrs. Miteva's interpretation is completely correct. And when I mentioned the Rules, it was to write down the interpretation in any way, if necessary in Transitional and Final Provisions, so that people would not come out and question this interpretation. But of course, if you're holding, Mrs. Miteva, please come in.
ParlaMint-BG_2022-03-30.u100	Mr. Chairman, there is no need for any interpretation of this. We have removed in the Rules what it means to be present in the Additional Provisions. I mean, there's nothing there anymore, that these are the registered ones. We apply directly the constitutional norm of art. 81 The Constitution has direct effect, and we are implementing the Constitutional Court's decisions. One of them is Decision No 18 of 1995. I ask the Members of the National Assembly to meet him. I'd like you to meet him, too. Thank you.
ParlaMint-BG_2022-03-30.u101	Thank you, Mrs. Miteva. I would even ask that it be sent to the MPs.
ParlaMint-BG_2022-03-30.u102	For procedure.
ParlaMint-BG_2022-03-30.u103	For a procedure? Here you go, Mr. Ivanov.
ParlaMint-BG_2022-03-30.u104	Dear Mr. Chairman, honourable Members! My procedure is to you in the manner of conduct, Mr. Chairman. I may agree with what you have established as a.. as a vote, only that you must give an explanation to the Chamber when Mr. Minchev held the meeting of the National Assembly, was he not aware of these norms and the decisions of the Constitutional Court? Look, we're getting into an interesting hypothesis here. We have had several votes in this and in previous parliaments - three, four times I hope it is not reached, but let us establish some lasting norm. Here we do not play some MPs or the leading meeting to find out what is written in the Rules of Organization and Activity of the National Assembly. We shouldn't work at precedents, colleagues. This is dangerous to parliamentaryism and dangerous to the state. I cannot understand why, in previous National Assembly meetings, it was three times necessary to vote the same norm in the Chamber if you are now imposing the norm as Mrs Miteva reads it? Those are dangerous precedents! If, as Mr. Bikov said, you have established a new practice, let it be defined in the Rules of Organization and Procedure of the National Assembly. Otherwise, 90 minutes is the continuation of the football meeting, but when we are comfortable, it will be 75 and sometimes 105 minutes. Thank you.
ParlaMint-BG_2022-03-30.u105	Thank you, Mr. Ivanov. We're reading what you said. Any other procedures? Here you are, Mrs. Atanasova.
ParlaMint-BG_2022-03-30.u106	Thank you, Mr. Chairman. The fact is that several procedures have already been taken by different groups to clarify the concept of what it is.............................. the National Assembly.................................................................... Is this concept constitutionally binding, which is the presence in the plenary and the opening of the sitting? I believe that President Miteva well justified and underlined the mistake that you made by declaring a single decision, a bill adopted. I, Mr President, believe that now is the time for you to announce the real and firm result that has also been achieved in re-voting, namely that the decision, that is, the bill, has not been adopted at first reading. Otherwise, Mr. Chairman, you risk another complaint at the Constitutional Court. I think this is most logical of you and will also really show a different style of holding the parliamentary meeting. I hope, Mr President, that you would like to differ from those vicious practices which are demonstrated in the National Assembly as declared to be decisions no matter how many votes, no matter which vote and in the absence of a quorum. Thank you.
ParlaMint-BG_2022-03-30.u107	Thank you, Mrs. Atanasova. You may have, since you were not in the Chamber, in fact Mrs Miteva's position was in favour of the adoption of the bill. Really, I appeal for a little clearer, hard rules maybe. If we must, the Conference of Presidents to discuss these matters, and if necessary, a new case in the Constitutional Court to close this issue once and for all, I hope. Thank you. With this we are already passing the Law on Amendment and Supplement to the Law on Higher Education. Mr. Denkov is here, Mr. Gajev, so I guess there's no objection this time. You are welcome to present the Report to the Commission, Mrs. Anastasova.
ParlaMint-BG_2022-03-30.u108	Dear Mr. Chairman, if you assign the task of the administration of the National Assembly to make a reference from the beginning of the 40th National Assembly so far, how much of the parliamentary time has been eaten by procedures and mostly by which parliamentary groups will be seen how much time we have lost. [[Comments from GERB-SDS: "This is good. "]] I wouldn't say that's okay. People didn't send us here to do this, but each according to their own understanding. Changes are clearly required in the Rules of Procedure and I hope you will then organise a training of the Members of the National Assembly to be aware.
ParlaMint-BG_2022-03-30.u109	That was the way it was led here...
ParlaMint-BG_2022-03-30.u110	Yeah, that was the way it was led.
ParlaMint-BG_2022-03-30.u111	Now proceed with the report.
ParlaMint-BG_2022-03-30.u112	Plus, I've never allowed myself to abuse any procedures before, so it's not so scary to listen to me within a minute.
ParlaMint-BG_2022-03-30.u113	That's right.
ParlaMint-BG_2022-03-30.u114	Mr. Chairman, Mr. Minister, colleagues! ♪ I can't believe for the first vote on the Draft Law amending and supplementing the Higher Education Act No 47-202-01-1, submitted by the Council of Ministers on 18 January 2022. At its regular meeting on 2 February 2022, the Committee on Education and Science examined the Draft Law amending and supplementing the Law on Higher Education, No 47 202-01-1, submitted by the Council of Ministers on 18 January 2022. The meeting was attended by Academician Nikolay Denkov, Minister of Education and Science, Professor Anastas Gerdzhikov, Chairman of the Council of Rectors in the Republic of Bulgaria, Member of correspondent Professor Ivan Iliev, Rector of the University of Lesotechnics, Professor Diana Petkova, Chairman of the Union of Scientists in Bulgaria, Associate Professor Lilyana Valcheva, Chairman of the National Branch Trade Union. The bill was presented by Minister Nikolay Denkov, who outlined two groups of changes: one regulates the terms and conditions for joint training of students from two and more Bulgarian universities. The second group of changes is related to the possibility of preparing PhD students in research projects, which is a widespread practice around the world. There are also proposals, crucial technical problems identified in the implementation of the Law on the Development of the academic staff in the Republic of Bulgaria. In the performance of art. 72, para. 2 of the Rules on Organization and Activity of the National Assembly, the Committee on Education and Science, before discussing the Draft Law in substance, carried out an examination and established its compliance with the requirements of the Law on Legislative Acts, the Decree on its implementation and the Rules of Procedure. Opinions have been received from the University of National and World Economy, from Syndicate University of Bulgaria, from the Council of Rectors of Higher Schools in the Republic of Bulgaria, from the National Branch Syndicate of the Ministry of Education and Science, from the Bulgarian Chamber of Commerce and Industry and from the Association of Medical Universities in the Republic of Bulgaria. At the meeting, a public discussion was held on the Draft Law, which was attended by representatives of the respective employers' and civil associations, as well as by the persons and organisations who submitted written opinions. The discussion included the MPs Irena Anastasova, Kostadin Kostadinov, Andrey Chorbanov, Elisaveta Belobradova, Krasimir Valchev, Mikhail Iliev, Kostadin Angelov, Mukaddes Nalbant, Anton Tonev and Rumen Gechev. The MPs from the parliamentary group of the "There is such a people" pointed out that the training in project doctorate is intended to end with the end of the project. It would be appropriate to conclude only the funding, but the training could continue in another academic form without funding, because otherwise this means that if the PhD student did not defend a thesis immediately after the end of the project, the project would have ended without result. From the parliamentary group of the "Democratic Bulgaria" the question was asked whether the right of the Minister of Education to refuse to approve the joint training agreements is not contrary to the principle of academic autonomy. The MPs from GERB's parliamentary group pointed out that the professions of the future would require more and more integral knowledge and asked what procedure would be the choice of project PhD students, as well as why it is proposed to update the National map of higher education annually. Members of the Parliamentary Group of the Movement for Rights and Freedoms and expressed the need to refine the texts on plagiarism and the reliability of scientific data. People's representatives from the Parliamentary Group continue The Change has highlighted why it is important to increase the role of the external members of the jury. The MPs from the parliamentary group of BSP for Bulgaria (BSP) called for a strong and united effort to promote European practices to prevent violations of academic ethics. From the parliamentary ARCHIVE group raised the question of the need for greater flexibility in the allocation of learning time and documentation when a student is trained in more than two higher education schools. Minister Nikolay Denkov answered the questions asked that the limitation of the term of the project doctorate stems from the framework of the project itself, which is specifically for funding a PhD student. When training at several universities is multiple of the respective semesters, this facilitates not only the organization of the process, but also the students themselves, and only when this is not possible will it be necessary to look for a more flexible form of training. The Ministry of Education and Science must have the right to approve joint training agreements because it is responsible for financial security and for issuing diplomas. The annual update of the National Map of Higher Education is required because the methodology is new and its implementation requires the need for improvement due to the dynamic environment. The selection of PhD students depends only on the institution that finances the project, but the protections of the thesis will follow the general framework set by the state. Following a 14-vote vote, the Committee on Education and Science proposed to the National Assembly that the Law on Amendment and Supplement to the Higher Education Act, No 47 202-01-1, submitted by the Council of Ministers on 18 January 2022, should be adopted on the first vote.
ParlaMint-BG_2022-03-30.u115	And thank you, Mrs. Anastasova. Dear colleagues, I am opening a discussion on the bill. Who wants the word? Here you go, Mrs. Dimitrova.
ParlaMint-BG_2022-03-30.u116	Mr. Chairman, ladies and gentlemen of the House! In relation to the proposed amendments to the Higher Education Act, I support the possibility for higher education schools to prepare PhD students participating in research projects. These projects create new scientific knowledge and applied products, implement practical ideas and technologies, have close contact with the business where research with scientific value is implemented. The preparation of PhD students in the framework of the implementation of research projects will enable the development of innovation and entrepreneurial skills. I also support the idea of connectivity between higher schools and the possibility of conscientious training of students. For me, sharing common material and academic resources, on the one hand, is part of the global globalisation trend and, on the other, is linked to higher economic efficiency. The most important proposed change in the Law on Higher Education is the possibility of emerging new, multidisciplinary specialties. In view of the expected positive results presented, we at "We continue the Change" we will support the proposed bill. Thank you.
ParlaMint-BG_2022-03-30.u117	Thank you, Mrs. Dimitrova. Are there lines? I can't see. Thank you. Mr. Valchev, you wanted the floor, come in.
ParlaMint-BG_2022-03-30.u118	Dear Mr. Chairman, honourable Members, Dear Mr. Minister! The bill offers an arrangement that is necessary. The framework of the joint programs is needed, the framework of the project doctoral degree is needed. In fact, this is something that already exists in practice. The bill steps to a very large extent and the Strategy for the Development of Higher Education by 2030 adopted by the Forty-fourth National Assembly. It was adopted in December 2020. There was no time to propose the resulting changes to the Higher Education Act. These changes are part of the changes to be made, something we have also heard in the Committee on Education and Science by Minister Denkov. The arrangement of joint programmes is necessary because we live in a world where professions change and this change is towards greater interdisciplinaryness. Much more of the professions of the future will require more integrated skills. If programmes in higher education have always been directed and the entire pyramid of knowledge has been aimed at higher specializations so far because automation has replaced primarily professions that require lower-specialized knowledge, then the professions of the future will require greater integral consciousness. The next wave, or already the current wave of digital transformations, will much more affect professions that require a narrowly specialised knowledge in one area. It will be much easier to replace them than those that require integrated skills, and also the change of professions in this direction to find jobs that require more integrated skills. In this sense, higher schools should be encouraged to make such joint programmes, even programmes within the universities themselves. But this is not the only dimension of the networks. Mr. Minister, we may have networks within a professional field, within a specialty of one of the higher education centers, and other higher education centers are those who support it. Because, as you have noted, you cannot reproduce enough good schools, good enough teachers in all higher schools, especially if they have small departments, and in this sense the network approach is what is needed. The network approach is necessary both interdisciplinaryly and within a professional direction and within the European dimension. During the Bulgarian Presidency of 2018 the European Union decided to create the so-called European university networks. Six Bulgarian universities were approved for participation in European university networks. Like I said, you need your PhD projects. In this sense, we will support the Bill at first reading. I hope the coworkers do, too. I supported it to the Commission, as well as my colleagues in the Commission. He is largely stepping on the strategy, which, as I said, was adopted by the Forty-fourth National Assembly. We have some notes, of course, on the content. We'll make a proposal between first and second readings. I hope you will listen to these proposals, not reject them with the assumption that they have been proposed by the GERB-SDS parliamentary group. In our opinion, it is restrictive, unnecessary detailed arrangements for the distribution of time in the joint programmes. Personally, I have a slightly different view about the National Map of Higher Education. My opinion is that it should be more sustainable, should not be updated annually. But more importantly, it had to largely continue the moratorium that was imposed. In this sense, Mr. Minister, the map that you have established is somewhat contrasting with your stated intentions for continuing profile optimization of the network of higher schools. Because my opinion is that the system has reached its profile growth in at least 90% of the professional directions and we do not need to open new higher education centres. Maybe we need information technology or computer systems, health care, and so on. That was one of the reasons for the delay. I didn't agree with the analysis that was done and the National card for higher education. That doesn't mean that I generally reject all of her conclusions, but I think you should think about it in this plane. This map must, to a much greater extent, continue the moratorium. Creating an opportunity for an annual update is perhaps an open opportunity for the Map to be adapted to imported projects for opening professional directions, to affiliates, to continuing profile expansion. Because at the moment I see, led by local patriotism, a large part, or by any other considerations, continues the preparation of projects for the opening of new affiliates and professional directions. Thank you.
ParlaMint-BG_2022-03-30.u119	Thank you, Mr. Valchev. Are there lines? No. Mrs. Belobradova asked for the floor first.
ParlaMint-BG_2022-03-30.u120	Dear Mr. Chairman, honourable Members! Dear Minister, as we have already heard, this bill is so necessary that around it there is a consensus and not only in the Commission but also in this House. In that sense, I'll be brief. Such should be the changes that concern education policies. The Democratic Bulgaria will therefore support the Amendment Project. The changes are in line with the modern requirements of education. A step forward in the fight against plagiarism, as well as bringing education closer to the flexibility of the labour market and the needs of young people for development. So you have our support. Thank you.
ParlaMint-BG_2022-03-30.u121	Thank you, Mrs. Bellobradova. - What's the line? I won't. Here you go, Mr. Kostadinov.
ParlaMint-BG_2022-03-30.u122	Thank you, Mr. Chairman. I'll be shorter. The aim of this bill is, in fact, one.. it is quite laconic, to limit the possibility that currently give our legal regulations to higher schools to work with students through different semesters. This is why we consider this condition, which is currently required, to be highly restrictive and limiting the freedom of higher schools to conduct training in joint programmes in the participation of more than two partners in the distribution of disciplines according to the nature of the curriculum and to achieve the objectives of training with a focus when implementing a component model. What's supposed to happen is... In addition, it is related to the way the individual documentation will be kept. Because at the moment the Bill provides for the individual documentation of the students' periods of training to be conducted only by a coordinating higher school, and should be in a slightly different way. The individual documentation of the educational process and the courses passed by the students should be led by a coordinating higher school. At present, there are several higher schools that are in a period of collaboration with each other. Accordingly, at the moment with the imposition of this change, problems will arise related to the completion of the learning process for students who are in the simultaneous training process in two or more higher education schools. So we have no way of supporting him.
ParlaMint-BG_2022-03-30.u123	Thank you, Mr. Kostadinov. Are there any lines to Mr. Kostadinov's statement? I can't see. Please, you have the floor.
ParlaMint-BG_2022-03-30.u124	Dear Mr. Chairman, Dear Academician Denkov, Dear Ladies and Gentlemen of the National Assembly! The system of higher education for understandable reasons is of strategic importance to each country. This presupposes the actuality and importance of the regulation governing its operation. It is necessary to say that this system is conservative and requires changes in it to be measured and coordinated with the academic community. During the discussion of the Law in the Committee on Education and Science, the Group of GERB-SDS supported the proposal, but both we and the many representatives of the university community had remarks and recommendations to some controversial texts in the Bill. In essence, as colleagues have also said, the changes in the bill under consideration are in two directions. One relates to the possibility of joint training of students from two or more higher education institutions. The second is the preparation of PhD students in the implementation of funding research projects. The proposed changes are in line with the 2020 strategy for the development of higher education in the Republic of Bulgaria for the period 2021 - 2030, which formulated as key objectives for improving the quality of higher education the interaction between higher schools in the country by sharing common resources for training and research, as well as strengthening fundamental and applied research in higher schools. In the discussion of the Law in the Committee on Education and Science, attention was paid, as I said above, to some controversial wordings that I have noted, and I will say them here. In § 2 of art. 10, para. 2 (d) was proposed by many of the authors of the opinion to drop the text (s) and/or disbelief of the presented scientific data (s). In Article 4 (1) (b), point (c) is replaced by the following: 10, para. 6, p. 6 to drop out the text "State Agency" which we closed a few months ago, and there to sign up the e-government department. In § 3 of the Bill in art. 17 texts of the scientific articles to be replaced by the scientific publications. This term is also adopted in the Law for the Development of the Academic Chamber of the Republic of Bulgaria. In § 4, Art. 21, para. 9 On termination of the research project the training of PhD students adopted in accordance with art. 21, para. 7, proceed in a manner set out in the contract under para. 7.............................................................................. It is necessary to sign the procedures for admission, process of training, deduction and other for PhD students adopted in accordance with art. 21, para. 7. It is not clear here what happens if, for reasons beyond high school, the project's funding is interrupted. It was noted that the same educational and scientific degree can not be awarded to PhD students who are trained differently. In § 8 of the Bill in art. 42a, para. 6 at the end to be recorded as this norm is not applied in a distance learning or non-existence training form, or in cases where the number of higher school partners is greater than the number of semesters of study according to the curriculum. In § 20 of the Final Provisions also to be repealed in art. 2a, para. 6 texts "State Agency" "E-Management" which we said no longer exists and to be replaced by the text "E-Management." In Article 4 (1) (b), point (c) is replaced by the following: 4, para. 5, t. 3 to drop the text "unreliableness of the scientific data presented'. In Article 4 (1) (b), point (c) is replaced by the following: 11 drop the text of the scientific data presented. In Article 4 (1) (b), point (c) is replaced by the following: 12 to drop the text "unreliableness of the scientific data presented'. In general, colleagues, everywhere in the Bill we propose, and most of the opinions were in this spirit, to drop the text of the untrustworthy scientific data presented. This text is contested. There are real risks that the benefits of introducing such a text are less than the damage. The introduction of such a text would create prerequisites for unjustified signals of benevolent people and torturing the procedures of academic growth. It should be borne in mind that for the reliability of the data is pronounced a scientific jury of five or seven habilitated lecturers from the scientific field of the competition, members of colleges and reviewers of scientific works. Does adoption of such a text mean that they follow the consequences for the participants in the scientific jury, co-workers and reviewers? In conclusion, it is important to stress that we will accept these proposals in the Bill, these changes are only a step in the right direction, but they do not solve the problems in higher education in Bulgaria. To improve the quality of the education in the Bulgarian universities other significant changes in the regulations are needed, which must be communicated with the academic community, business and non-governmental sector. Thank you.
ParlaMint-BG_2022-03-30.u125	Thank you, Mr. Iliev. Are there lines? I can't see. Are there any other statements? Mr. Gechev, come in.
ParlaMint-BG_2022-03-30.u126	Mr. Chairman, Mr. Minister, honourable colleagues! I continue what the previous colleague said that this is a step in the right direction. We have no doubt that with such steps we must do everything possible so as to improve the legislative environment in Bulgaria concerning higher education and then the Law on scientific degrees and titles, as Bulgaria has a long way to go to the harmonisation of its legislation, the conditions and criteria for development and of our higher education institutions and, respectively, our researchers, as we want after these changes in the foreseeable future Bulgarian universities to start at least in the first 1000, then in the first 500 in the world ranking for universities and scientific institutes. In this regard, by supporting this extremely important step concerning institutional changes, responsibilities to universities, the formation of research universities, the rights of research universities with regard to the highest third degree of education of our students, these are steps that we will support. Between first and second readings, we propose, honourable Members, both in the Commission and in the plenary, that we consider some of the particulars of the editors. Who are they? Here on page two, this is § 2 (d), with regard to the Rectors of Higher Schools, the requirements are as follows: "When the Rector of the Higher School is established plagiarism and/or underreliance of the scientific data provided in the scientific works and so on. I take this opportunity to say, Mr. Minister, that you have our full support for an extremely important step that concerns not only the Rectors but also the lecturers, in terms of a terrible evil, this is the plagiarism with which we must have an intense, large-scale struggle, because plagiarism is a blow to academic ethics. The theft of intellectual property is something that is unacceptable all over the world, should be the same in Bulgaria, and here is the right step in this direction. The editorial proposal is to think about the notion of untrustworthy scientific data. Since we obviously need to clarify here that we are talking about the lack of credibility of the scientific data provided, perhaps the correct concept is the "manipulated scientific data" or "scientific data from primary research." I give a case what happens if someone does macroeconomic analyses based on statistical data published by official sources, for which it is for one reason or another, that they are misleading or inaccurate. In addition, there is a publication of data, including me in my field I say between the International Monetary Fund and the World Bank, even among them there are certain differences, albeit non-essential. That is, obviously, the idea in the Law is to deliberately manipulate the data, especially in primary research. And since the colleague minister is an expert in natural sciences, I suppose that it refers to manipulation of data, including laboratory research, experimentation and others, where, as we say in folk language, the results of the study are tarnished so as to confirm a possible thesis or statement of the researcher. And since, when the data is inaccurate, if the data user is not responsible for this, and they are from official sources, then there should be no responsibility. That is to say, we propose that the notion of lack of credibility of the scientific data presented is indicated exactly which data we are referring to.................................................................................... and under what conditions these data are used. I think such editing will be important and it will solve the issue, as many scientific organizations have put the issue, I see, in the opinions on the untrustworthyness of the data. Otherwise, such an arrangement and such a restriction must necessarily exist. The second amendment concerns clarification and a division must be made here between how it is formulated in the amendments to the Law and in the Rules of the relevant higher education institutions. It is about the following: It is wonderful that new places for PhD students working on research projects are being opened. To explain to colleagues who are not obliged and do not deal with this matter every year the Ministry of Education and Science announces specific places according to certain criteria for doctoral studies in individual educational institutions. It's a great idea, outside of those places that are financed by the budget, if there are scientific projects to finance additional PhDs, that's great. But there are two things we need to clarify here. The first thing is that the project doctorate should not be based on the project manager's personal proposal, but on the basis of a competition, i.e. to have the same criteria and indicators for the admission of PhD students. The second thing that is very important is that the protection of PhDs will take place by the same rules as the PhD students, which were adopted in the general order of the Ministry of Education and Science. There's a problem here, too. All over the world, PhD students are involved in scientific projects, it is very important to clarify what this PhD student will protect, because the common scientific project has a problem... what is the contribution of the PhD? Because there may be one concern that 15 or 20 people are working in the project, for example. How will it be separated and exactly how will the doctoral thesis be determined in this project? In some countries this has been decided, and the PhD student can be co-authored by two or three people, published its participation as part of the project and this is being held for an author's publication, which is recognised as such an act. The second principle is separation protocols indicating the contribution of the individual PhD student. In other words, I would like to stress here there is a thin point: how will this doctoral student prove what his contribution at doctoral level is to obtain the appropriate title? So, he's in front of the scientific jury at the university or the scientific organization in question, what's he gonna present? It can not present the whole project. It must present its participation in the project. I am sure that this is taken into account in the legislative initiative, but these are things that need to be explicitly clarified. Next, there's another problem. Of course, anyone involved in a science project could get higher incomes. But I expressed my concern at the Commission to think about how this is going to happen, because it is possible in the same research unit, in the same Department of PhD students, who have been accepted with a state-order competition, to receive a minimum scholarship, a minimum wage, and PhD students who are on scientific projects, if they are not the same PhD students, can receive significantly larger incomes in the scientific project. And that means that in the same department, in the same university, PhD students in the same department, under the same scientific conditions will receive different incomes. It's okay, but it has to be signed. And here I have a proposal for a solution. It can't always happen, but in the end, we are also now involving our PhD students in scientific projects. It should be in a department when a scientific project is adopted, the head of the scientific project will obviously be from the university or from the department. Well, first of all, be kind enough to include PhD students who have already been accepted under the general program and can extend the participation with additional PhD contests to be included. That is, colleagues from universities at second reading will ask us to specify what will remain in the Law and what will remain in the regulations so that these contradictions can be resolved. I think these are editorial, though important remarks that we should all work on and take into account in the final texts. And at the commission of the University of National and World Economy, when we made changes before in the Law on Higher Education, you remember that a restriction was correctly introduced for the selection of executive positions in universities, as it is in most countries, that they should be released at the age of retirement, but we decided that those who are deans, heads of departments and other departments should remain until the end of their term. However, there is an omission made that the Presidents of the General Assembly, who are also executives, are not included in this agreement and there should be an exception for them only to interrupt their term of office. This is a question that needs to be considered whether to remain that way, whether it will change, that is not the most important, of course, in the changes that are being made in the Law. In conclusion, a step is being taken in the right direction. With joint efforts we are all obliged to change the legislative environment in our higher education, as I said, and then in the Law on scientific degrees and scientific titles, so that in our country the best conditions for the development of Bulgarian higher education and Bulgarian science can be created. Thank you.
