ParlaMint-BG_2022-02-02.u1	For registration colleagues online: Desislava Taneva?
ParlaMint-BG_2022-02-02.u128	Yeah.
ParlaMint-BG_2022-02-02.u129	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u130	Yeah.
ParlaMint-BG_2022-02-02.u131	And Peter Chobanov?
ParlaMint-BG_2022-02-02.u132	Abstention.
ParlaMint-BG_2022-02-02.u133	They voted 125 MPs and 3 online " 128" in total: 125 and 2 online..................................................................................................................................................................................................................................................... The motion is accepted. We move on to § 8 by importer, supported by the Commission. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u134	Yeah.
ParlaMint-BG_2022-02-02.u135	Thank you. Yordan Majunkov?
ParlaMint-BG_2022-02-02.u136	Yeah.
ParlaMint-BG_2022-02-02.u137	Thank you. And Peter Chobanov? They voted 127 MPs and 2 online " 129" total: 127 and 2 online " 129," no opposition and no abstentions. The motion is accepted. We move on to § 9 by importer with corrections made by the Budget and Finance Committee. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u138	Yeah.
ParlaMint-BG_2022-02-02.u139	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u140	Yeah.
ParlaMint-BG_2022-02-02.u141	And Peter Chobanov? They voted 127 MPs and 2 online " 129" total: 127 and 2 online " 129," no opposition and no abstentions. The motion is accepted. We are voting § 10 by importer, supported by the Commission. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u142	Yeah.
ParlaMint-BG_2022-02-02.u143	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u144	Yeah.
ParlaMint-BG_2022-02-02.u145	And Peter Chobanov? They voted 126 MPs and 2 online " 128" total: 126 in the Chamber and 2 online " 128," no opposition and no abstentions. The motion is accepted. We move on to § 11 by importer, supported by the Commission. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u146	Yeah.
ParlaMint-BG_2022-02-02.u147	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u148	Yeah.
ParlaMint-BG_2022-02-02.u149	And Peter Chobanov?
ParlaMint-BG_2022-02-02.u150	Abstention.
ParlaMint-BG_2022-02-02.u151	Thank you. They voted 122 MPs and 3 online "125": for 122 in the room and 2 online " 124," not against, abstention 1 online. The motion is accepted. We move on to § 12 by importer, as in paragraph 12. 2, para. 2, p. 2 amendments have been made by the Committee on Budget and Finance. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u152	Yeah.
ParlaMint-BG_2022-02-02.u153	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u154	Yeah.
ParlaMint-BG_2022-02-02.u155	And Peter Chobanov?
ParlaMint-BG_2022-02-02.u156	Abstention.
ParlaMint-BG_2022-02-02.u157	They voted 124 Members of the National Assembly and 3 Online......................................................................................................................................................................................................................................................... The motion is accepted. Here you go, Mr. Karimansky.
ParlaMint-BG_2022-02-02.u158	The Commission shall support the text of the importer for § 13, as para. 4 and 5 are amended as follows: . (4) No excise duty shall be due in the event of partial loss due to the nature of the goods arising during their transport under the conditions of para. 1 where the amount of loss is within the total threshold for partial loss determined by a delegated act of the European Commission adopted on the basis of art. 6 (10) of Directive (EU) 2020/262 laying down the total partial loss thresholds, unless there is reasonable evidence of fraud or irregularities. (5) The total destruction or the total or partial irretrievable loss of excise goods under para. 1 shall be demonstrated to the competent customs authorities where such events occur within the territory of the country. The Commission shall support the text of the importer for § 14. The Commission shall support the text of the importer for § 15. The Commission shall, in principle, support the text of the importer and propose the following version of § 16: ......... 16........................................... In Chapter 4, in the name of Section III, the words "for winemaking' are replaced by "independent winemaking'. The Commission shall support the text of the importer for § 17. The Commission shall support the text of the importer for § 18. The Commission shall support the text of the importer for § 19, i.e. 2 is amended as follows: "2." Paragraph 3 is amended as follows: A request for registration shall be submitted to the Director of the territorial directorate under: 1. permanent address, respectively by registered office and management address of the tax representative by the persons referred to in art. 57a, para. 1, t. 4; 2. by the seat and address of the management of the tax representative by the persons referred to in art. 57a, para. 1, t. 4a............................................................................................................ The Commission shall support the text of the importer for § 20. The Commission shall, in principle, support the text of the importer and propose the following version of § 21: .................................................................. In Article 4 (1) (b), point (c) is replaced by the following: 73a The following amendments and additions are made: 1. In para. 1: (a) Everywhere the words are heard. 21, para. 1, t. For the purposes of point (a) of the first subparagraph of Article 4 (1) of Regulation (EC) No 1107/2009, the following definitions shall apply: 21, para. 1, t. 1, 3 and 3a (b) To be created t. 3a: 3a. from a tax warehouse on the territory of the country to a customs office of exit within the meaning of Article 329 (5) of Commission Implementing Regulation (EU) 2015/2447 of 24 November 2015 laying down detailed rules for the application of certain provisions of Regulation (EU) No 952/2013 of the European Parliament and of the Council laying down the Union Customs Code (OB, L 343/558 of 29 December 2015) , hereinafter referred to as "the Implementing Regulation (EU)', which is the customs office of departure for the external transit procedure in accordance with art. 189 paragraph 4 of Commission Delegated Regulation (EU) 2018/1063 of 16 May 2018 amending and correcting Delegated Regulation (EU) 2015/2446 supplementing Regulation (EU) No 952/2013 of the European Parliament and of the Council laying down detailed rules for certain provisions of the Union Customs Code (OB, L 192/1 of 30 July 2018)............................................................................................................................................................................................................................. 2. In para. 2 words by para. 1, t. 1, 2 and 3............................................................................................... 1, t. One, two, three, and three, and the words by para. 1, t. 4 and 6 and shall be replaced by.......................................................................................................... 1, t. 4 and 6 and para. 4............................................................................................ 3. Paragraph 3 is amended as follows: . (3) The movement of excise goods under suspension of excise duty shall end: 1. in the cases under para. 1, t. 1, 2, 4, 5 and 6 when the recipient receives the excise goods; 2. in the cases under para. 1, t. 3 When excise goods leave the territory of the Union; 3. in the cases under para. 1, t. 3a "When excise goods are placed under the external transit procedure.' 4. The creation of para. 4. The customs authorities of the Member State of importation shall communicate the following to the customs authorities of the Member State where the excise goods are imported into a tax warehouse, except in cases where the excise goods are imported into a tax warehouse: 1. the unique excise number referred to in Article 19 (2) (d) of Council Regulation (EU) No 389/2012 of 2 May 2012 on administrative cooperation in the field of excise duties and repealing Regulation (EC) No 2073/2004 (OB, L 121/1 of 8 May 2012) , hereinafter referred to as the Council Regulation (EU) No 389/2012 (Council Regulation (EU) No 389/2012) identifying the registered consignor for the movement; 2. the unique excise number referred to in Article 19 (2) (d) of Council Regulation (EU) No 389/2012 identifying the consignee for which the goods have been sent; 3. proof that the imported goods are intended for dispatch from the territory of the Member State of import to the territory of another Member State.
ParlaMint-BG_2022-02-02.u159	I open the discussion from paragraphs 13 to 21, including Mr. Karimansky read. Anyone who wants to make a statement? I won't. I'm calling off the discussion. Since there are no unsolicited proposals and controversial points, obviously, we will put to the vote all nine texts from paragraphs 13 to 21 including one vote. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u160	Yeah.
ParlaMint-BG_2022-02-02.u161	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u162	Yeah.
ParlaMint-BG_2022-02-02.u163	Peter Chobanov?
ParlaMint-BG_2022-02-02.u164	Abstention.
ParlaMint-BG_2022-02-02.u165	They voted in this House 126 MPs and 3 online. 129 total: 121 and 2 online.. 123, not against, abstention 5 and 1 online.. 6 total. The motion is accepted.
ParlaMint-BG_2022-02-02.u166	The Commission shall support the text of the importer for § 22. The Commission shall support the text of the importer for § 23. The Commission shall support the text of the importer for § 24. The Commission shall support the text of the importer for § 25. The Commission shall support the text of the importer for § 26, i.e. 1 is amended as follows: "1." In para. 1 and 2 the word "Authorisation" shall be replaced by "Authorised" and "Authorised" shall be replaced by "Authorised" and "Authorised" shall be replaced by "Authorised" and The Commission shall support the text of the importer for § 27. The Commission shall support the text of the importer for § 28. The Commission shall support the text of the importer for § 29. The Commission shall support the text of the importer for § 30, i.e. 2 concerning para. 5, t. 1 the word (s) appropriate (s) is deleted. The Commission shall support the text of the importer for § 31. The Commission shall support the text of the importer for § 32. The Commission shall support the text of the importer for § 33. The Commission shall support the text of the importer for § 34. The Commission supports the text of the importer for § 35, and the word "freedom' is replaced by "freedom'. The Commission shall support the text of the importer for § 36.
ParlaMint-BG_2022-02-02.u167	I open the discussion from paragraphs 22 to 36, including Mr. Karimansky. Is there anyone who wants to make a statement? I won't. I'm calling off the discussion. We are voting on paragraphs 22 to 36, including, as presented by Mr. Kariminski. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u168	Yeah.
ParlaMint-BG_2022-02-02.u169	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u170	Yeah.
ParlaMint-BG_2022-02-02.u171	Peter Chobanov?
ParlaMint-BG_2022-02-02.u172	Abstention.
ParlaMint-BG_2022-02-02.u173	Vote in the House 134 MPs and 3 online. 137 total: for 125 and 2 online.................................................................................................................................................................................................................................................... The motion is accepted.
ParlaMint-BG_2022-02-02.u174	Under § 37 a proposal has been made by the MP Dimitar Tashev and a group of MPs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 37: ...... 37........................................................................ In chapter four, Sections IV " XIII" shall be created with art. 76g sc: Section IV Movement of excise goods released for consumption the territory of the country to be transported for commercial purposes to the territory of another Member State with electronic simplified Administrative document Art. 76g. (1) The movement of excise goods under art. 2, p. Art. 1 and 2 and art. 14, para. 1 from the territory of the country to the territory of another Member State which is exempt from consumption in the territory of the country shall include the transport of excise goods from the establishment to a person entitled to send excise goods as a certified consignor or from any other place specified by it where the movement of excise goods will begin within the territory of the country: 1. to the premises of a certified consignee or to any place in the Member State of destination specified by it and entered in the registered electronic simplified administrative document; 2. to the establishment of a temporarily certified consignee in the territory of another Member State or to any place in the Member State of destination specified by it and entered in the registered electronic simplified administrative document; 3. to a tax warehouse of a authorised warehousekeeper in the territory of another Member State which is entitled to receive excise goods as a certified consignee, or to any place in the Member State of destination specified by it and entered in the registered electronic simplified administrative document; 4. to the establishment of a registered consignee in the territory of another Member State which is entitled to receive excise goods as a certified consignee or to any place in the Member State of destination specified by it and entered in the registered electronic simplified administrative document. (2) The movement of excise goods under para. 1 shall only be carried out by a certified consignor to a certified consignee with a registered electronic simplified administrative document. (3) In the case of the movement of fully denatured ethyl alcohol in accordance with Commission Regulation (EC) No 3199/93 from the territory of the country to the territory of another Member State, the goods shall be accompanied by a registered electronic simplified administrative document. (4) In the cases under para. 1 The certified consignor shall submit an electronic simplified administrative document to the customs authorities via the computer system prior to the start of the movement in accordance with Regulation (EC) No 684/2009. (5) The customs authorities shall verify the data in the electronic simplified administrative document of compliance with the requirements of the Regulation under para. 4. In accordance with the data, the customs authorities shall determine on the document a unique simplified administrative reference code and shall communicate it without delay to the certified consignor and to the competent authorities of the Member State of destination. (6) In case of non-compliance with the requirements of the Regulation under para. 4 The customs authorities shall immediately notify the certified consignor by means of a communication via the computer system. (7) The certified consignor shall provide the unique simplified administrative reference code to the person accompanying the excise goods or, where there is no person accompanying the goods, to the carrier. The person accompanying the excise goods or the carrier shall provide the code to the competent authorities upon their request during the entire process of movement of the excise goods. (8) During the movement of excise goods, the certified consignor may, through the computer system, change the place of destination by indicating: 1. another place in the Member State of destination for the same certified consignee, or 2. the place of dispatch on the territory of the country. (9) In the cases under para. 8 The certified consignor shall submit an electronic change of destination document to the customs authorities through the computer system. (10) When entering the territory of the country returned under para. 8, p. 2 excise goods customs officials should clearly establish that they are exempt from consumption within the territory of the country and have been sent to another Member State with a registered electronic simplified administrative document. (11) The certified consignor shall have the right to refund the excise duty paid for the goods under art. 23 on the basis of a receipt message sent by the certified consignee. Section V Movement of excise goods released for consumption the territory of another Member State with an electronic simplified administrative document Art. 76h. (1) The movement of excise goods under art. 2, p. Art. 1 and 2 and art. 14, para. 1 from the territory of another Member State to the territory of the country which is exempt from consumption in the territory of the other Member State shall be carried out by a registered electronic simplified administrative document issued by the certified consignor in the other Member State. (2) The movement of fully denatured ethyl alcohol in accordance with Regulation (EC) No 3199/93 of the European Commission from the territory of another Member State to the territory of the country which has been released for consumption in the territory of the other Member State shall be carried out by a registered electronic simplified administrative document issued by the certified consignor in the other Member State. (3) The certified consignee, when receiving excise goods under para. 1 and 2 is required: 1. provide a security to the competent customs office before the excise goods are sent from the other Member State, except for the cases of excise duty exemption under this law; 2. upon receipt of the excise goods, submit to the computer system immediately, but no later than 5 working days, a message of receipt; 3. to ensure that the customs authorities have unobstructed access for any verification that the excise goods have actually been obtained. (4) The receipt of excise goods in the territory of the country which are released for consumption in the territory of the other Member State shall be confirmed by the certified consignee with the submission of a message of receipt through the computer system. (5) The customs authorities shall verify the data in the receipt message of their compliance with the requirements of Regulation (EC) No 684/2009. Where the data are in accordance with the Regulation, the customs authorities shall send the communication of receipt to the competent authorities of the Member State of dispatch. (6) Where the data are not in accordance with Regulation (EC) No 684/2009, the customs authorities shall notify the recipient by communication via the computer system. (7) The movement of excise goods shall end when the goods are delivered to the certified consignee at his establishment or at any place specified in the registered simplified administrative document. (8) The provisions of this Article shall not apply to cases under art. 24, para. 1, t. Three and four. Art. 76th. The receipt of the goods under art. 76z, para. 1 and 2 may take place next to a licensed warehousekeeper or registered consignee who have a certificate of registration under art. 76y, al. 9. Section VI Sending and receiving excise goods from and to the territory of the the country which in the Member State of dispatch or destination not subject to excise duty Art. 76k. (1) When sending excise goods released for consumption in the territory of the country to the territory of another Member State where they are not subject to excise duty, the consignor shall issue a compulsory commercial document (invoice, document of delivery, transport document, etc.) containing the props of an electronic simplified administrative document. The document shall be made available to the person carrying the goods by accompanying them during their transport. (2) The person who has sent the goods under para. 1 shall be entitled to the refund of the excise duty paid for the goods where the person has notified in writing the competent customs office of establishment that he intends to send the excise goods to another Member State prior to the dispatch of the excise goods from the territory of the country and has made sure that the customs authorities have unobtrusive access for any verification. (3) The written notification under para. 2 contains: 1. name/name, address, unique identification code of the person under para. OJ L 268, 18.10.2003, p. 29. 2. date of dispatch of excise goods from the territory of the country; 3. a description of the route from the territory of the country to the territory of the Member State of destination; 4. a description of the types of excise goods and their quantity; 5. name/name and address of the consignee and carrier; 6. place of receipt of excise goods in the territory of the other Member State; 7. the period within which excise goods must be obtained in the territory of the other Member State. (4) The notification under para. 2 may also be submitted by electronic means in order, manner and format defined by the Rules of Implementation of the Law. (5) If the excise goods sent are refused by the consignee and will be returned to the territory of the country, the person shall immediately inform the competent customs office by submitting the relevant document under para. 1. (6) When entering the territory of the country returned under para. 5 excise goods customs officials should clearly establish that they are exempt from consumption within the territory of the country and have been sent to another Member State with a simplified accompanying document/trade document. Art. 76l. (1) The person receiving excise goods in the territory of the country who is not subject to excise duty in the Member State of dispatch shall be: 1. notify in writing the competent customs office of headquarters of the competent customs office of destination of the excise goods of the other Member State prior to the dispatch of the excise goods; 2. provide a guarantee or pay the amount of excise duty payable to the competent customs office before the excise goods are sent from the other Member State; 3. receive the excise goods within the time limits specified in the notification under point 3. 1; 4. inform the competent customs office without delay if it does not receive the goods within the time limits specified in the notification and of the reasons for the delay or absence. (2) The written notification under para. 1, t. 1 contains: 1. name/name, address, unique identification code of the person under para. 1; 2. date of dispatch of excise goods from the other Member State; 3. a description of the route from the Member State of dispatch to the Republic of Bulgaria; 4. a description of the types of excise goods and their quantity; 5. name/name and address of the consignor and carrier; 6. place of destination and unloading of excise goods in the territory of the country; 7. the period within which excise goods must be obtained on the territory of the country. (3) In the movement under para. 1 The excise goods shall be accompanied by the notification under para. 1, t. 1 and from a document issued by the Director of the competent territorial directorate certifying that: 1. the amount of the excise duty for the goods to be received is paid, secured, or 2. for those referred to in the notification under para. 1, t. 1 excise goods apply excise rate 0 BGN. (4) Where lubricating oils falling within CN codes 2710 19 71 to 2710 19 93 and other lubricating oils falling within CN code 2710 19 99, are obtained as pre-packed products over 5 litres to 210 litres, persons may submit one notification of the total quantity of excise goods to be sent from another Member State within the calendar month by one consignor. (5) Recipient under para. 1 may be a person who is a trader within the meaning of the Commercial Law or under the law of a Member State of the European Union or of another State a Party to the Agreement on the European Economic Area. (6) Traders within the meaning of the legislation of another Member State of the European Union, or of another State of the Party to the Agreement on the European Economic Area, shall submit the notification under para. 1, t. 1 through its branch in the Republic of Bulgaria. (7) The provisions of this Article shall not apply to cases under art. 24, para. 1, t. Three and four. Section VII Irregularities during the movement of excise goods, released for consumption Art. Seventy-six meters. (1) In cases where an irregularity occurred in the territory of the country when transporting excise goods released for consumption in the territory of a Member State which were sent by a certified consignor to a certified consignee in another Member State or under the conditions of remote sales, excise duty shall be due on the basis of art. 20, para. 2, p. 2a. (2) In the event of inability to determine where the irregularity occurred and in the case of a finding made by the customs authorities in the territory of the country shall apply para. 1. (3) In the cases under para. 2 if, within three years of the date of acquisition of excise goods, proof is provided to the customs authorities that the place of admission of irregularity is in another Member State, the excise duty is due in the other Member State. (4) In the event of irregularness in the cases of para. 1 and 2 The Director of the competent territorial director shall issue a decision establishing an excise duty obligation for the certified consignee or registered person in another Member State sending excise goods released for consumption in the context of remote sale or its tax representative, as well as for any person participating in the irregularity. (5) In cases of excise goods released for consumption in the territory of the country sent by a certified consignor or the person under art. 57a, para. 1, t. 4a, the excise duty paid shall be refunded in whole or in part, provided that irregularities have been allowed in another Member State and evidence has been provided that the excise duty has been paid in the Member State where the irregularity occurred or established. (6) In cases of excise goods released for consumption in the territory of another Member State sent to a certified consignee in the territory of the country or to the person under art. 57a, para. 1, t. 4 The security lodged shall be released in whole or in part, provided that irregularities are allowed in another Member State and evidence is provided that the excise duty has been paid in the Member State where the irregularity occurred or established. (7) In the absence of registration under art. 57a, para. 1, t. 4 and 4a or certified consignor and certified consignee of one or all persons involved in the movement or on movement without registered electronic simplified administrative document shall apply the provisions of para. 1 six, except in cases where the recipient of the country's territory upon remote sale pays due excise duty.
ParlaMint-BG_2022-02-02.u175	Mr. Karimansky, if you want some rest, I can read some of the lyrics.
ParlaMint-BG_2022-02-02.u176	I'd like that. Thank you.
ParlaMint-BG_2022-02-02.u177	Let's do this. Section VIII Procedure for the movement of excise goods released for use when the computer system does not work Art. 76n. (1) In exceptional circumstances, where the computer system is not operating, the movement of excise goods may begin after authorisation by the competent customs office through the certification of a paper document containing the data of the electronic simplified administrative document. (2) During the movement the excise goods shall be accompanied by the certified document under para. 1. (3) When the work of the computer system is restored, the certified consignor shall submit the electronic simplified administrative document in accordance with art. 76g, para. 4. After validation of the data, the electronic simplified administrative document replaces the document under para. 1. (4) Until the data of the electronic simplified administrative document have been validated, the movement of excise goods shall be carried out with the paper document under para. 1. (5) The document under para. 1 shall be issued in three copies of the certified consignor and shall be certified by the competent customs office. (6) The first copy shall be kept by the certified consignor, the second copy shall be kept by the competent customs office and the third copy shall accompany the goods. Art. 76o. (1) During the movement of excise goods, where the computer system is not working, the certified consignor may change the place of destination of the goods and indicate a new place of destination corresponding to the places of art. 76g, para. 8 after prior notification to the competent customs office. A paper document shall be attached to the notification in duplicate containing the details of the change of destination message. (2) The competent customs office shall verify the notified under para. 1 and in the event that the same is established on a regular and admissible basis, it shall certify the documents annexed to the notification. Section IX Documents in the procedure for the movement of excise goods, released for consumption when the computer system not working Art. 76p. (1) The certified consignee shall submit to the competent customs office a paper emergency document containing the data of the receipt message under art. 76z, para. 4 at the end of the movement: 1. in the event of exceptional circumstances when the computer system does not work, or 2. provided that no unique simplified administrative code of the electronic simplified administrative document submitted by the certified consignee has been assigned by the competent authorities of the country of dispatch after an emergency procedure has been completed in the country of dispatch. (2) The customs authorities shall verify the data in the document under para. 1 for its compliance with the requirements of Regulation (EC) No 684/2009. Where the data are in accordance with the Regulation, the customs authorities shall immediately send a copy of the document under para. 1 of the competent authorities of the Member State of dispatch. (3) When the data of the document under para. 1 shall not comply with Regulation (EC) No 684/2009, the customs authorities shall notify the certified consignee and shall set a time limit for the removal of non-compliances not exceeding 3 days from the date of receipt of the notification. (4) The removal of the discrepancies shall be carried out by submitting a new document under para. 1 in the term under para. 3. (5) The certified consignee shall submit a receipt message within 5 working days of: 1. restoring the performance of the computer system, or 2. definition of a unique simplified administrative code under para. 1, t. 2. Section X Alternative evidence of receipt Art. 76p. (1) The receipt message submitted through the computer system or an emergency document certifying that the goods have been received shall constitute proof that the excise goods have been delivered to the certified consignee. (2) Where for reasons other than those referred to in art. 76p, para. 1 there is no communication of receipt, alternative proof of the supply of excise goods may be provided in the form of certification by the competent authorities of the Member State of destination on the basis of appropriate evidence that the excise goods sent have arrived at their place of destination. (3) Where the certification by the competent authorities of the Member State of destination is accepted by the Bulgarian customs authorities, it shall be considered as sufficient proof that the certified consignee in the Member State of destination has completed all necessary formalities and has made all payments of the excise duty due in the Member State of destination. Section XI Registration of a certified consignor Art. 76c. (1) Certified consignor may be a person who is: 1. registered under the Commercial Law or under the legislation of a Member State of the European Union, or of another State, a Party to the Agreement on the European Economic Area; 2. licensed storekeeper; 3. a registered consignor. (2) The person under para. 1, t. 1 shall meet the following conditions: 1. there shall be no public obligations collected by the customs authorities, tax obligations and obligations for compulsory social contributions, with the exception of obligations under outstanding acts, as well as deferred, deferred or secured obligations; 2. not in insolvency or liquidation proceedings; 3. have committed no serious or repeated infringement under this law, except where administrative criminal proceedings have ended with the conclusion of an agreement. (3) Traders, within the meaning of the legislation of another Member State or of a country, shall operate as a certified consignor through a branch in the Republic of Bulgaria. (4) The persons under para. 1 submit a request for registration to the Director of the territorial directorate of the seat and address of the management before the start of the activity. In the request, the persons shall specify the exact location of the object from which the excise goods will be sent in case they have one. The request may also be submitted by electronic means in order, manner and format defined by the Rules of Implementation of the Law. (5) Upon request of the persons referred to in para. 1, t. 1 The circumstances of para. 2 are established by the Customs Agency. (6) Upon request of the persons referred to in para. 1, t. 2 and 3 shall be established by the Office of Customs and the existence of a valid licence for the management of a tax warehouse, respectively a valid certificate for a registered consignor. (7) Where irregularities are identified, the Director of the territorial directorate within 7 days of the submission of the request shall notify in writing the person who removes irregularities or provides additional information within 7 days of receipt of the notification. The Director of the Territorial Directorate shall issue a decision terminating the proceedings in the event of non-compliance. The decision to terminate the proceedings shall be subject to appeal under Section IV of Chapter 10 of the Administrative Procedure Code. (8) On the basis of the request, the Director of the Territorial Directorate shall, within 14 days of its submission, from the removal of irregularities respectively, issue a registration certificate or refuse its issue by reasoned decision. Failure to produce within the time limit shall be deemed to be a silent refusal to issue the act. The registration certificate or refusal to issue a registration certificate shall be subject to appeal under the Administrative Procedure Code. (9) The registered person shall notify in writing the Director of the territorial directorate of any change of data to the request within 14 days of their receipt. (10) In the cases referred to in para. 9 A change in the circumstances under which the certificate has been issued shall be notified. The notification may also be submitted by electronic means in order, manner and format defined by the Rules of Implementation of the Law. (11) In the event of a change of circumstances which are subject to an entry in the issued certificate, the director of the territorial directorate shall issue a decision within the time limits laid down in para. 8 which is an integral part of the certificate issued. (12) The Director of the responsible territorial directorate of the new headquarters and the address of the management shall issue a decision reflecting the change that has taken place. (13) The right to carry out the activity for which the registration certificate has been issued arises from the date of its service. Art. 76. (1) The Director of the Territorial Directorate shall terminate the registration certificate: 1. at the request of the persons referred to in Article 1. 76c, para. 1; 2. in the case of transfer of the company to the sole trader or its deletion or termination of the legal person with the exception of transformation by changing the legal form; 3. when the certified consignor ceases to comply with the requirements of art. 76c, para. 3. (2) The effect of the registration certificate shall be terminated by a decision of the Director of the competent territorial directorate, which shall be enforceable in advance from the date of its issue, unless the court order otherwise. (3) The decision under para. 2 shall be subject to appeal under the order of the Administrative Procedure Code.
ParlaMint-BG_2022-02-02.u178	Let me continue.
ParlaMint-BG_2022-02-02.u179	Here you go, Mr. Karimansky.
ParlaMint-BG_2022-02-02.u180	Thanks to the chairman for canceling me a little bit. Let's continue with: "Department XII" Registration of certified consignee Art. Seventy-six. (1) Certified recipient may be a person who is: 1. registered under the Commercial Law or under the legislation of a Member State of the European Union, or of another State, a Party to the Agreement on the European Economic Area; 2. licensed storekeeper; 3. Registered recipient. (2) The person under para. 1, t. 1 shall meet the following conditions: 1. there shall be no public obligations collected by the customs authorities, tax obligations and obligations for compulsory social contributions, with the exception of obligations under outstanding acts, as well as deferred, deferred or secured obligations; 2. not in insolvency or liquidation proceedings; 3. have committed no serious or repeated infringement under this law, except where administrative criminal proceedings have ended with the conclusion of an agreement. (3) Traders, within the meaning of the legislation of another Member State or of a country, shall operate as a certified recipient through a branch in the Republic of Bulgaria. (4) The persons under para. 1 submit a request for registration to the Director of the territorial directorate of the seat and address of the management before the start of the activity. The request shall state the following information: 1.name/name of the person, address, unique identification code; 2. exact location of the object where excise goods will be obtained; 3. estimated volume of excise goods received. (5) The request under para. 4 may also be submitted by electronic means in order, manner and format defined by the Rules of Implementation of the Law. (6) Upon request of the persons referred to in para. 1, t. 1 The circumstances of para. 2 are established by the Customs Agency. (7) Upon request of the persons referred to in para. 1, t. 2 and 3 shall be established by the Office of Customs and the existence of a valid licence for the management of a tax warehouse, respectively a valid certificate for a registered consignee. (8) Where irregularities are identified, the Director of the territorial directorate within 7 days of the submission of the request shall notify in writing the person who removes irregularities or provides additional information within 7 days of receipt of the notification. The Director of the Territorial Directorate shall issue a decision terminating the proceedings in the event of non-compliance. The decision to terminate the proceedings shall be subject to appeal under Chapter 10a, Section IV of the Administrative Procedure Code. (9) On the basis of the request, the Director of the territorial directorate shall, within 14 days of its submission, from the removal of irregularities respectively, issue a certificate of registration or refuse its issue by reasoned decision. Failure to produce within the time limit shall be deemed to be a silent refusal to issue the act. The registration certificate or refusal to issue a registration certificate shall be subject to appeal under the Administrative Procedure Code. (10) The registered person shall be required to: 1. keep a documentary record of the received excise goods; 2. notify in writing the Director of the territorial directorate of any change of data in the request for registration within 14 days of their entry; 3. ensure that the customs authorities have unimpeded access to all premises and the entire territory of the establishment or destination; 4. prevent the full amount of the excise duty which has arisen or which may arise in the exercise of the right of the certificate received under para. 9 exceed the amount of collateral provided. (11) In the cases referred to in para. 10, t. 2 a change in the circumstances under which the certificate has been issued shall be notified. The notification may also be submitted by electronic means in order, manner and format defined by the Rules of Implementation of the Law. (12) In the event of a change of circumstances which are subject to an entry in the issued registration certificate, the director of the territorial directorate shall issue a decision within the time limits laid down in para. 9 which is an integral part of the certificate issued. (13) The Director of the responsible territorial directorate of the new headquarters and the address of the management shall issue a decision reflecting the change that has taken place. (14) The certificate of registration shall be served upon presentation of the security. (15) The right to carry out the activity for which the registration certificate has been issued arises from the date of its service. Art. Seventy-six. (1) The Director of the Territorial Directorate shall terminate the registration certificate: 1. at the request of the persons referred to in Article 1. 76y, al. 1; 2. in the case of transfer of the company to the sole trader or its deletion or termination of the legal person, with the exception of transformation by changing the legal form; 3. when the certified recipient ceases to comply with the conditions of art. 76y, al. 1 4. where the security lodged has ceased to be valid; 5. the person has submitted incorrect data that have been used to issue the registration certificate. (2) The effect of the registration certificate shall be terminated by a decision of the Director of the competent territorial directorate, which shall be enforceable in advance from the date of its issue, unless the court order otherwise. (3) The decision under para. 2 shall be subject to appeal under the order of the Administrative Procedure Code. Section XIII Temporary certified consignor and temporary certified consignee Art. 76x. (1) The right to send once within a period of two months a certain amount of excise goods released for consumption in the territory of the country, to the territory of another Member State there shall be a person who fulfils the conditions of art. 76c, para. 1, t. 1 and has received a certificate of registration of a temporary certified consignor. (2) For obtaining a certificate under para. 1 The order for issuing a certificate of certified consignor under art. 1 shall apply. 76c, para. 4.. 13. (3) The termination of the certificate under para. 1 shall be carried out in accordance with the procedure laid down in Article 1. 76. Art. Seventy-six. (1) The right to receive once within a period of two months a certain amount of excise goods released for consumption in the territory of another Member State, there is a person within the territory of the country who fulfils the conditions of art. 76y, al. 1, t. 1 and received a certificate of registration of a temporarily certified consignee. (2) For obtaining a certificate under para. 1 The order for issuing a certificate of certified consignee under art. 1 shall apply. 76y, al. 4.. 13. (3) The termination of the effect of the certificate under para. 1 shall be carried out in accordance with the procedure laid down in Article 1. 76f.
