ParlaMint-BG_2022-02-23.u1	Honourable colleagues, please register. Atanas Zafirov?
ParlaMint-BG_2022-02-23.u119	Thank you, Mr. Vassilev. Here you go, Mr. Ivanov.
ParlaMint-BG_2022-02-23.u120	Mr. Chairman, ladies and gentlemen of the House! Deputy Prime Minister Vassilev was extremely accurate and correct. The control and implementation should be in different hands. This is the mechanism on which the state will work from now on, and should be used to this model of work, because otherwise we have witnessed this distortion over the years that existed, and at the moment people have mistrust of the institutions, unfortunately. We are the ones who need to return this trust and the MPs are part of this element because legislative changes are needed. You asked why the mayors issued lists? Colleagues, that's the law. That's the law. If you change it, you have it, change the law, and they won't be listed by the mayors, they'll be made by others. They're being made by the mayors right now. But control is very important in this regard because mayors allow themselves to give in some cases lists where people are missing or people are added. There will therefore be double control on the one hand of the forest farms, on the one hand, of the mayors. In other words, these lists should be specified so that they do not miss or anyone can take more. That's the truth. We are currently reviewing the entire forest system what is happening, in this you need to be sure. Competition the state does not do to private companies, they are there in the forest and do not work. If you can answer me why they didn't go in and out of the wood last year, they have to answer this thing themselves. We are currently filling a vacuum because people are suffering from this thing, and we have taken the necessary measures to secure them with wood for the next heating season and for the price that is bearable for their pocket, for their income. Because the speculation that appeared on the wood market has reached incredible levels. Amazing! Because our people, in quotes, with someone or with someone with a representative of the forest system, allowed themselves to take wood, not to have in one place, to have on another to make the price double. Now this will not be the case, on the contrary, will also be an incentive for companies dealing with logging and sales to work more conscientiously, to provide their employees because they do not provide them. This is the gray sector. They take low-class people from minorities who can't be found in the woods, they don't get paid insurance. Now we will bring them into the real economy, they will have their social contribution to the insurance system, they will pay insurance. In this way, the state really takes on its role. I am convinced that this practice will have the necessary results and they are already visible. The interest in this activity, which state forestry and state hunting holdings are currently developing, is very high. And if you think there's some politicisation, I'm really going to repeat it again, it's in your hands to change the law, not to be mayors, just simple and simple. Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-02-23.u121	Thank you, Mr. Secretary. Is there a second line to Ramadan Atali? I won't. Here you are, Mr. Atalay, for the back.
ParlaMint-BG_2022-02-23.u122	Thank you, Mr. Chairman. Apparently, there is no reply from the MPs, but we have aroused the interest of at least the Deputy Prime Minister and the Minister of Agriculture. Colleagues, I don't know much about logging. We have enough experts in agriculture, even our doctors yesterday became experts in agriculture, but I must have hit what's painful. What's painful? What's painful is that I suggest that we give 50 million each to those who have no opportunity to pay for the wood and pellets so far, you're talking to me. What are you gonna do? You're gonna take the woods down from the state. Well, you're taking control of the state. Where does control go? The Council of Ministers. Well, all the activity is still in the government. Who's gonna control who? I'm offering you, colleagues, today I didn't even want to fall into this policy for a moment, because this is a very serious policy, I see you want to come in and do something from now on. Let us discuss this as a policy for the development of logging in Bulgaria. But let's get back to the problem. How was the fairy tale? We taught the donkey not to eat, it took and died. Well, people can't pay for wood and pellets anymore, and you tell me how you're gonna chop wood and then limit the cost of selling them. Well, if the cost comes back to 1,000 levs, then what are you gonna do? Thank you for cutting down minorities now, and I don't see who you'll find from BSP, let's not say, and GERB has no one to go to chop wood in the forest. Dear colleagues, the problem with the 50 million, the problem with energy compensation for the people who paid for the wood and pellets, has been a problem today, so I want to help. And for the future, do anything state-owned, I don't mind, you know where the most is stolen. Thank you.
ParlaMint-BG_2022-02-23.u123	Mr. Atalay... [[Mister Ivan Ivanov wants the floor of speech.]] Sure, come on in.
ParlaMint-BG_2022-02-23.u124	Mr. Chairman, ladies and gentlemen of the House! The difference is in the verb form and what is debated on the stand. We're talking in the present time. It's already in the past, it's already done, Mr. Atalay. We're not talking about going to happen, it's already happened. That's the truth, we're already selling the wood at this low price to the local population. [[Applause from BSP for Bulgaria.]] And the approach that there is to offer additional funds in the budget to go in the direction of feeding the grey economy and companies that have not acquired, that is, we will encourage them to increase the price even more, is incorrect. The approach that has the current management is now done and accessible to the Bulgarian citizens.. Those who heat on wood, this is it. Thank you.
ParlaMint-BG_2022-02-23.u125	Thank you, Mr. Secretary. It's the way it's supposed to be. Okay, after the way I'm taking a break for half an hour and then the word will be Irena Dimova, Lubomir Karimanski, Mukaddes Nalbant.
ParlaMint-BG_2022-02-23.u126	Mr. Chairman, I know that the ministers may take the floor after the MPs and at least I doubt that you did not do what you said from here, but you did not answer the question, Minister, for the months of November, December, January of 75 BGN. At 280 leva. Cuban wood that bought people, how will you compensate them?
ParlaMint-BG_2022-02-23.u127	Mr. Atalay, are you in procedure in the manner of conduct or in dialogue with the Minister?
ParlaMint-BG_2022-02-23.u128	Yes, and in the manner of conduct, Mr. Chairman, I don't know what you're heating up with, but at least tell the ministers we're talking about compensation, not what they've done.
ParlaMint-BG_2022-02-23.u129	Yes, very relevant to the dispute is what I warm myself with, undoubtedly. [[Laughter]] Here you are, Mr. Secretary. I haven't given the break yet, colleagues, I just announced it in advance.
ParlaMint-BG_2022-02-23.u130	Dear Mr. Chairman, honourable Members! I just want to say two words about people who can't pay for wood and coal, that is, heating. The Ministry of Labour and Social Policy has established legal assistance for these people and they have extended access to the aid and currently nearly 300,000 people are being assisted. So what we're talking about here from the stands, we need to take into account the facts that exist right now. So helping those people who can't pay their heat in winter is a fact and the conversation is pointless in that direction. Thank you.
ParlaMint-BG_2022-02-23.u131	Thank you, Mr. Secretary. Half an hour off. [[After the break.]]
ParlaMint-BG_2022-02-23.u132	Colleagues, please take your seats. I'm resuming the hearing. Irena Dimova was recorded for speech. Here you go, Mrs. Dimova.
ParlaMint-BG_2022-02-23.u133	Thank you, Mr. Chairman. Dear Mr. Chairman, ladies and gentlemen of the House, Dear Minister Serbenova! I will try briefly to justify my proposals made in art. 1. That's where I took two approaches. In its part of the expenditure, namely in para. 2 concern only the budget transfers or, more precisely, the budget transfers to the municipalities, or the municipalities of Northwestern Bulgaria, from Montana region, where I am a Member of the National Assembly. In Article 4 (1) (b), point (c) is replaced by the following: 1 in the revenue section I have approached in this way: in one part of the proposals I have increased the revenue portion of tax revenue because we believe that there is the necessary reserve there. And it is a very small part of the amount of 3 million and 600, and then the increase went into the expenditure part in the budget transfers. In the other part, where it does not affect the budget in any way, it does not aggravate it, I have approached in para. 5, ct. 6.2 "Structural changes." There, the number at stake of 317 million I think is overvalued and somewhere around 7.. 8 million I have directed them again to transfer to municipalities. There in art. 51, you'll get to know each other in more detail. They are mostly targeted at capital expenditure, but here my appeal is different. Gentlemen ruling by the BSP, for years in this room during the budget we heard about the Northwestern Fund. A northwest fund that you structured and offered at the MRDPD. For years in this room you said: the people of the Northwest are very poor, they need support. During a campaign you were practicing on our backs, municipalities needed support. Gentlemen and ladies ruling by the coalition, or rather by the BSP, I have now given you the wonderful opportunity to show that this is not a populist statement during the nth budgets, I do not know how much, but certainly four and only in the last three campaigns, but to try and ask you to support some of my proposals because I will be justified. Some of my proposals are even for your mayor. Mayor of the village of Komoshtitsa. Komoshtitsa is located in Montana region. You know that there is one road that is the only link to Lom Municipality and which is currently in very difficult condition, is not passed on it. The road to it, which is the duty of Lom Municipality, is made. All it takes is two million. and BGN 200 to allow the people who represent your mayor, who have chosen your mayor from BSP, to be able to move peacefully to Vidin, Montana and Lom. My next proposal, which I would like to draw attention to, is also for those in charge of Chiprovtsi Municipality. Chiprovtsi Municipality is also not about a lot of funds, you know that it is a municipality, along with Georgi Damyanovo, which is located in a mountain area. There are often more municipal roads than Republican roads. We all love it when the holidays come, bragging about the cultural heritage of the Chiprovtsi municipality, with the Chiprovska carpets. Currently there is a great need to finish one time that is started and which is related precisely to the cultural heritage with the Gusovski Monastery, with the Chiprovski waterfalls. The same is true of Georgi Damyanovo Municipality, in which, notice, I have requested only 200,000. lv. for the repair of the Family Type Accommodation Centre, which raises between 13 and 15 children. It's all new since 2009, it's constantly being maintained inside, but there's a need for the facade to change. So, ladies and gentlemen of the Parliament, all the proposals refer to Northwestern Bulgaria. We will not talk about how we practice in Northwestern Bulgaria. My request is for your support. They don't count a lot of budget. The total amount, I told you, 3600 is VAT revenue, the other is 7,800, which is a transfer from para. 5 of t. 6.2 in the budget relations. And I would very much like to pay attention to al. 5 et cetera. 6.2. [[The President signals that time has expired.]] Sorry, Mr. Chairman, I'm interrupting. I'll take the liberty of taking...
ParlaMint-BG_2022-02-23.u134	Thank you, Mrs. Dimova. Are there any lines to Mrs. Dimova's statement? Here you are, Mr. Shishkov. You have the floor.
ParlaMint-BG_2022-02-23.u135	Thank you, Mr. Chairman. Dear Mr. Chairman, honourable gentlemen and ladies ministers, honourable Members! Dear Mrs. Dimova, I have listened carefully to your speech and the reasons for the need to make additional expenses for Montana region. But as if it did not become clear whether the balance in the budget of revenue and expenditure is maintained, is there in any way any internal transfers being made so as not to distort this balance? Therefore, I ask you very much, if you have the opportunity, to give more explanations on this subject. Thank you.
ParlaMint-BG_2022-02-23.u136	Thank you, Mr. Shishkov. Any other lines? Nastimir Ananiev, come in.
ParlaMint-BG_2022-02-23.u137	Dear Mr. Chairman, Dear Ministers! Mrs. Dimova, I was at a foster home in Montana this weekend, and there were citizens from Chiprovtsi who you praised so well. I would also like to hear your opinion on corruption in Chiprovtsi in the local government, as they have issued several signals. Thank you.
ParlaMint-BG_2022-02-23.u138	Thank you, Mr. Ananiev. Third line? Here you go, Mrs. Ivanova.
ParlaMint-BG_2022-02-23.u139	Mr. Chairman, thank you. Ladies and gentlemen of ministers! Dear Mrs. Dimova, I would like to ask: why only for certain municipalities do you offer proposals in which the mayors are from GERB? Let's hear about the others. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-23.u140	Thank you, Mrs. Ivanova. Here you go, Mrs. Dimova.
ParlaMint-BG_2022-02-23.u141	I'm extremely happy with all my lines. Mrs. Ivanova, you obviously haven't read my suggestions. I said: the proposals are not only for mayors of GERB. The mayor of Valchedrum municipality is not the mayor of GERB, the mayor of Komoshtitsa is the mayor of BSP. Regarding corruption for Chiprovtsi, in the last year the municipality of Chiprovtsi twice entered ADFI and found no violations. If you want, you can send them a third time, but this is the most verified community. And things from this tribune, you know what the consequences are. About Mr. Shishkov, because I interrupted in the middle. That's what I meant. Colleagues, turn to para. 5, t. 6.2. Is these costs - 317 million, which are laid down, not a buffer of the Council of Ministers, from which costs then to distribute them with decrees of the Council of Ministers? We'll see about an update and see what happens next. I just want to let you know that all my suggestions under art. 1 is to provide funding from the state for important projects for the population, or more precisely in Montana region. And they're not mine, Mrs. Ivanova, they're dictated and brought by the people in the area. Including I forgot to say, there's a signature to Minister Karadjov for 700,000. BGN, addressed to me and to Minister Karadzhov. They need these projects. Colleagues, I also regret to say that I have not heard here any representative from the ruling coalition elected from the area to say his opinion on my proposals, to support them or to submit something better and would be useful for fellow citizens. Lozungi and populist promises before elections are easy. We all heard you practice on our backs. We all heard how we were the poorest region, but the real work was in plenary, gentlemen ruling, elected by Montana County. You come when a campaign comes, and then you go. I live there, and my family lives there, so if you really want to prove that you care about Montana County, it's not just populist, please, support as I please and all those who are native, but are not chosen from there. Thank you.
ParlaMint-BG_2022-02-23.u142	Thank you, Mrs. Dimova. To speak, Ljubomir Karimanski.
ParlaMint-BG_2022-02-23.u143	Dear Mr. Chairman, dear Mr. Deputy Prime Minister, dear Mr. Minister, honourable Members of Parliament! I would like to make a first summary of all what was proposed for the municipalities under art. 1 of the State Budget Bill. Let us be very careful when we propose from source VAT and excise duties to finance municipalities. I think Mr. Ananiev is among the opposition and can say how, if we continue to give such revenue to finance the municipalities and it comes only from VAT and excise taxes, then will we not violate the 40 per cent of the Public Finance Act? Let's be careful, because if we calculate the whole amount, it goes very, very much over 40% and we'll go to 70% almost. So please do this calculation. I want us to be correct and pragmatic about both the State Budget Act and the Public Finance Act. The proposals I would like to make are two and please be included and then put to the vote. First, I propose in art. 1, para. 2, such as the amounts in row 1.2 "Subsidies and other current transfers" and in row 1.2.1 "Subsidies and other current transfers to non-financial corporations" to increase by 5 million. I'll tell you why. First, we would like this to be reflected in art. 50, para. 1 where this article is to be amended in the part of the "For the carriage of passengers on non-profitable bus lines in inland transport and transport in mountain and other regions'. The amount to be increased by exactly 5 million, which will affect the revenue side as I told you, in art. 1, para. 2, in line one, t. 2. So I think we will satisfy some of the proposals that have been made by the opposition. Indeed, in the Budget and Finance Committee, we have thought enough about this thing, so I think I can afford it. I hope the entire House supports this proposal. I am making another proposal as an editorial amendment: in art. 1, para. 5 in row 1, t. 2.1 the word "small" because there is such a word, and it is not correct, is not relevant, to replace it with "micro-spatial." This is mainly in the part of the 5 million that should compensate for the increase from 420 to 710. The increase, I mean, to micro-farming. This has been voted on by the Commission. A technical error has been made that I think should be made. Thank you.
ParlaMint-BG_2022-02-23.u144	Mr. Karimansky, I would like to ask you to provide me with the proposals in writing, because they will be... [[Reporter Lyubomir Karimanski passes the proposal list to the President.]] Replies to Mr. Karimansky's statement. Mr. Valchev, come in.
ParlaMint-BG_2022-02-23.u145	Thank you, Mr. Chairman. Dear Mr. Karimanski, you said that the proposals made with a source of funding on high income from value added tax would break the fiscal rule that costs should be up to 40%. Yes, it is, there is such a fiscal rule, but this fiscal rule is calculated on the basis of a basic gross domestic product, and gross domestic product, which is not as a provision in the State Budget Act. If it were a legal provision, all our proposals would also include updating the gross domestic product. We believe that by about 5% is the deflator of gross domestic product and by 1% is overrated growth. So net 4% we have an undervalued deflator, which means that the costs can be 2 billion more and get into the 40% rule. Another point is that now they are breaking it with some conventions, if we exclude the cost, if we exclude the cost of pensions, we have no problem at all. The problem with this budget and what you are saying is that we can really come into the hypothesis of breaking this fiscal rule, but we are breaking it because we have previously broken the basic principles of good budgetary management. Basic principles laid down in the Public Finance Act. These are principles such as budget yearliness, principles such as sustainability, predictability of public finances. That saying at the beginning of the year that you will make an update, initially bet an update without any new circumstances, is the most striking violation of these principles of public finances. That is where the violation of the fiscal rule comes from, because if the budget was correct in its forecasts, the gross domestic product would probably be around 149 lv. And we wouldn't be talking about breaking the fiscal rule. Thank you.
ParlaMint-BG_2022-02-23.u146	Thank you, Mr. Vuchev. Mr. Chobanov for a second line. You have the floor.
ParlaMint-BG_2022-02-23.u147	Thank you, Mr. Chairman. Dear Mr. Deputy Prime Minister, Mr. Minister, ladies and gentlemen! Dear Mr. Karimansky, the issue of fiscal rules is really important. This is part of the ongoing efforts at European Union level as a whole how to look at these fiscal rules, how to be simplified in a way that understands people, how to avoid them not being procyclic and generally respecting and controlling this compliance to be easier, and to have prevention against their violation. Unfortunately, at the moment, as the 40% rule is written, it was loosened a few years ago by the previous rulers. At the moment, European funds are excluded from it, which, in view of the fact that we do not expect almost similar European funds and due to the delay of the Recovery Plan, due to the delay of the Partnership Agreement and the European programmes, these 5 billion and 100 million European funds, which are envisaged as revenue in the budget, it is not clear what part of them will come. However, if these costs are met and these revenues are replaced by other national sources, then with the current budget, the one being proposed, it is very likely that we will break this 40% rule. In addition, we should bear in mind that purely accounting may not violate it, but with the 3 billion transferred from last year, if they are added to all the expense accounts, we have long passed the rule. Otherwise, with regard to your specific proposal, which you have made, I hope, it is in agreement with colleagues from the Ministry of Finance and the Deputy Prime Minister to increase these costs, do I not understand 5 million, or 15? I think 15 is closer to the truth. Thank you.
ParlaMint-BG_2022-02-23.u148	Thank you, Mr. Chobanov. Is there a third line to Mr. Karimansky's statement? For the back, Mr. Karimansky. You have the floor.
ParlaMint-BG_2022-02-23.u149	Mr. Chairman, it's a very short coat. First of all, Mr. Valchev, we don't know inflation, as I told you, and from the place we don't know inflation, if it's going to be a two-digit number. In all forecasts, which are given to both the World Bank and the European Union, inflation will be a one-digit number. Not to mention that inflation may surprise us very often. And it is still one of the main elements in the calculation of the deflator. Now we don't need to explain here the formula for the deflator and the way we're going to calculate it. Maybe it's not for the general public, and that's more like sitting down and looking at it strictly professionally. Yes, I agree with Mr. Chobanov on what he said in terms of how we would break those 40%, but I still think and hope that the government is doing everything possible to make the money under the Recovery and Sustainability Plan come true. I am almost convinced that this money will be a fact, and that is why I would like to look at things, so the impact of this money on how it can affect the overall revenue portion of the budget and the way we need to calculate all those proposals made in the revenue section of the budget, only from VAT and excise duties, to cover VAT and excise duties, I mean. So I think that we should be a little more responsible, have always an alarm how and how all those VAT and excise incomes can really be used absolutely legitimately, so that we also comply with the Public Finance Act. Thank you.
ParlaMint-BG_2022-02-23.u150	Thank you, Mr. Karimansky. To speak, Mukaddes Nalbant.
ParlaMint-BG_2022-02-23.u151	Mr. Chairman, ladies and gentlemen of the House, Mr. Deputy Prime Minister! I will take account of the funding of education. I have been ashamed for years that education in Bulgaria as a percentage of gross domestic product ranks in one of the last three places in the European Union. Yes, this year there is a serious growth that is almost as much as we left in 2009. However, there is another issue here, which raises the question of the quality of education, because it is not enough to have enough funds, but it is important to know how to distribute these funds. The funds must be aimed at the quality of education. I will not be concerned with completely wrong funding through delegated budgets of Bulgarian schools. This is a separate and serious issue. I want to take account of vocational education, of the quality that gives vocational education and training. Those proposed by the Parliamentary Group of the Movement for Rights and Freedoms. 30 million for equipment, ladies and gentlemen. That is exactly what they are aiming for. Yes, we know that there are sufficient sources of funding and under the Operational Programme "Regions in growth" and where the amount is serious, and the deadline for implementation is extended until October 2023, and under national programmes where the funds are extremely modest, and the hope to be financed by the National Plan for Sustainability and Development. These funds are primarily aimed at repairing. They are aimed at renovation, renovation of water installations, heating and so on. Ladies and gentlemen, I would like to share with you something I saw in France a few years ago on my visit to several professional high schools. In one of these high school students who were training for auto mechanics who were working on the latest model of Citroen, Peugeot and Renault. I was extremely surprised and asked a question: how is that possible? The answer was, firstly, that contracts were concluded with the respective companies. Secondly, students who will go straight into the labour market cannot go into action with their skills and knowledge, working on outdated machines. And old machines were perceived as antiques, where they were further trained on them. Our desire, our proposal to these schools that have been renovated, and some have not begun to repair at all, is to provide an opportunity for equipment, modern, modern, up-to-date, so that students are increasingly attracted to these schools. Dear Mrs. Ninova, you as Minister of Economy, Mr. Minister of Finance and everyone else in the government, you know that an economy of knowledge, economic development cannot be achieved without good specialists both with higher and secondary education in the sectors and sectors concerned. We need very much one number, capacity, well-trained specialists in the different sectors. If you open the websites of the labor bureaus, if we make contact with businessmen, employers, we will see that there is an extremely large need for medium-sized specialists who, unfortunately, many of them are no longer on the labour market in Bulgaria. Our proposal is not party. Our proposal relates to our desire to turn the educational sphere into a sphere of national consensus, of national agreement. Despite the fact that the Commission has not supported this proposal, I call on all my fellow Members to support the 30 million, which is insufficient for what the system of vocational education and training should be, but will still be a good step. Thank you for your attention.
ParlaMint-BG_2022-02-23.u152	Thank you, Mrs. Nalbant. For a line, Mr. Valchev.
ParlaMint-BG_2022-02-23.u153	I'm sorry to take the line again, but I was provoked by Mrs. Nalbant's words. Of course, we are in favour of such a proposal. "Education costs with the highest rate of public return where it is appreciated, but I do not agree with some of the things you said. If you look at the projects under the "Regions in Growth", each one of them, for each professional high school, there are provided equipment. The problem with equipment is that it very quickly gets old, can't every high school have technical equipment for every school. Therefore, it is very important that there are practices. Students can mostly have access to modern equipment if they go to enterprises with modern equipment. This was done and over the years it has been upgraded, including means of practice. You said the increase in education funds was enough. The previous year the funds for education were 4.5% of gross domestic product. Now we also see 4.5%, but with 220 million inflated costs at the expense of the Recovery and Sustainability Plan. If we remove them, we drop below 4.5%, if we recalculate the gross domestic product, that is, we increase the denominator as much as the real one, which is likely to be 149, we go to 4.2%. I'll just give you an example. In the last four years, we've had 360 million increases in remuneration costs. Rust! Now we have 240, that is not so generous the budget for education, but nevertheless, when we talk about preschool and school education, we have some good news at least three. One is the means of extracurricular activities, the other is the abolition of fees for kindergartens, respectively compensations, and the third one is perhaps the most important thing, this is the political consensus that teachers' salaries should be at least 125% of the national average, something that we adopted the previous term, and something that ensures that better students will be involved in the teaching profession. Because there are many factors for good education, but the most important factor is, and will remain, the good, motivated, supported teacher. In this sense, although with a demand of April 1st, although with higher inflation, this is still a positive moment in the budget, but I still pay attention to you, the budget has saved, including from education. Education expenditures fall as a percentage of budget expenditure. Why are they falling? Because gross domestic product because of the high deflator has a high nominal growth that is higher than the growth of education costs, so let's be moderate in your assessment of this part of the budget. Thank you.
ParlaMint-BG_2022-02-23.u154	Thank you, Mr. Valchev. Here you go, Mr. Chobanov. Second line. Mr. Turtle, are you speaking or a line? So you have a third line.
ParlaMint-BG_2022-02-23.u155	Thank you, Mr. Chairman. Ladies and gentlemen, Deputy Prime Ministers and Ministers, honourable Members! Dear Mrs. Nalbant, you know that by discussing the inclusion of this proposal, which I support and think is quite appropriate and now its timing, we have discussed whether to offer a reduction in some of the other positions, to call them, or articles that are related to additional funds in terms of education, because there we have had some doubts about what exactly they will be spent on, whether they will be effective, whether they are appropriate. That is why we have proposed to see concrete projects as well, that is, by adopting the budget under parliamentary control, we will allow ourselves to ask and if they can give us a little more clarity about what they will be spent on. Otherwise, I agree with what Mr. Valchev said. We must make sure that if this 220 million of the Recovery Plan does not come, in some way they are slowing down or it is clear that this year will not be absorbed, to be compensated with national resources by the summer when the update will be and we will have more clarity. From now on, I propose to you and we will consider together as members of the Committee on Education and Science to propose correspondingly some compensatory measures so that we do not allow the percentage of education to fall below 4.5% of gross domestic product, which is very important. Because both of our proposals, the one which was protected by Mr. Atalay, and what you have presented at the moment, I find very important. I will allow myself, Mr President, if you will excuse me, to make a proposal to be voted separately, that is, not to be voted within the framework of our joint proposal, but our proposals under art. 1, para. 5, t. Art. 2.8, Art. 1, para. 5, t. 4.4, which concern education or energy support respectively, should be voted separately to see the opinion of the National Assembly and who will support them. Thank you.
ParlaMint-BG_2022-02-23.u156	Thank you, Mr. Chobanov. For the third line, Rosen Koshurkov. Mr. Chobanov, I'm going to ask you in writing to present them to me, as there will be many proposals so I don't forget one.
ParlaMint-BG_2022-02-23.u157	Dear Mr. Chairman, honourable members of the Council of Ministers! Mrs. Nalbant, I want to tell you another story from Bulgaria, from Plovdiv, where in a professional high school that produces medium-sized personnel, not candidate students, students work directly on the equipment used to manufacture an electric truck that is currently going as exports to the US. That's a good example. The bad example and why I do not agree to give extra money for equipment just like that Angro. Several data I will give you - 2017 and 2018, under the Programme for the Modernization of Vocational Education 80% of the winners of high schools were high schools from rural areas - professional high school in agriculture or agricultural machinery, which, instead of buying the necessary equipment and equipment to study pneumatics, to study hydraulics, to study electric ignition of tractors and machines and such things, they bought tractors - targets, new tractors, which three months later found themselves in the field of local feudals and worked for them. This happened with the Programme for Modernization of Vocational Education. In the other part, this money, which is being distributed angro, was going to buy computers, tablets, interactive boards. Very few of the equipment bought under this program was what the students themselves needed. I'm talking about basic technologies again. Power supplies, pneumatics, hydraulics, controllers, robotics. I very much agree with Minister Valchev that the technique in professional high schools should be determined by the business that works with professional high schools. This is in the spirit of the current budget, so here we will no longer buy tractors to work in the field of local feudals. Here we will buy equipment together with companies in industrial areas, as they need. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-23.u158	Thank you, Mr. Turtle. For the coat, Mrs. Nalbant, please.
ParlaMint-BG_2022-02-23.u159	Thank you, Mr. Chairman. Ladies and gentlemen of ministers, fellow Members! To buy equipment together with the business, we need money, first. Secondly, when we talk about funds that are spent on angro. This is a question, first of all, of the Ministry of Education and Science's control, second of all these funds that are included in national programs for nursery and gardens no dispute, there are one of the initiators; for the teachers' salaries, of course, undoubtedly; for the purchase of school buses, of course, we support. But when we talk about the 100 million, raising interest and increasing extracurricular activities, yes, money and there are needed, for many years I have been insisting there to be sufficient funds, but what will be the control over spending extracurricular activities? We're talking 100 million! What will be the control of spending money on educational mediators and social workers? When we talk about using and spending funds angro, there must be comparability. All of this, of course, I repeat again, is within the authority of the Ministry of Education and Science, which is required to control the spending of funds, as well as those tractors that you mentioned. It is also within the authority of the Ministry of Education and Science to control the spending of the relevant equipment. But agricultural high schools are one part, of course, they're not a small number, but everyone else? I can give you examples. There are professional high schools where teachers and students support the base themselves because there are teachers specialists. For example, the Professional High School of Construction and Woodworking in Stara Zagora Once again, honourable Members, this is not a party need, it is not a political need. Political is as far as education policy is our common responsibility. What I propose has a direct bearing on the quality of education. For the quality of general education we may have time to talk about another occasion. Thank you for your attention. I really call on you to support this proposal.
ParlaMint-BG_2022-02-23.u160	Thank you, Mrs. Nalbant. To address Mr. Georgiev. Please, you have the floor.
ParlaMint-BG_2022-02-23.u161	Dear Mr. Chairman, Dear Mrs. Deputy Prime Minister, Dear Mr. Deputy Prime Minister, Dear Mrs. Minister of Health! Many people probably think that I am from Haskovo, but my homeland is from Northwestern Bulgaria, from the Vidin region. A wonderful ending, somewhere up until 1994, 1995, was still standing. From there on, people live literally in magic. I assume that no one in this room can imagine the grief at this end. As long as I am the MP, I will give both soul and heart to go not only to Haskovo, but especially to my Vidinski end. Mrs. Dimova, a strange thing is the divisiveness of memory. You asked questions in your speech, I will only ask you one question. Where were you? The management of GERB, ten years, excluding the Oresharski period? Here you will melt my heart with your concern for infrastructure projects. Where were you, how many offers did you make? Where were you when this section, which surrounded Dimovo to Vidin, 60 km, was stopped because of a population of bluebirds? Where were you from GERB?! Now cry! There's nothing to cry about! Vidin region, Northwest Bulgaria does not believe the tears of GERB! Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-02-23.u162	Thank you, Mr. Georgiev. Are there any lines? Here you go, Mrs. Kirova.
ParlaMint-BG_2022-02-23.u163	Thank you, Mr. Chairman. Mr. Georgiev, I was provoked by your speech, first because you obviously did not understand what Mrs. Irena Dimova was trying to say. It is not my place to explain it to you, but it has addressed all MPs from Montana because this concerns her proposal. As for the crocodile tears spoken of, I am also from Vidin and know what is happening in this region over the last 30 years. While the majority of the MPs here in the Chamber may be on the left, perhaps on the right, have ruled for the majority of these thirty years, I have not been involved in the management. I've tried somehow to make sure that our region was spotted and developed. What happened in 2018 and 2019 gave hope to all citizens of the Northwest that this region will never be forgotten again. Infrastructure projects have been launched which have been extremely important and which are still important to our region. I would like to see their development set out in this budget, and I would reserve the right to comment on them within the forthcoming meetings specifically on the budget. Thank you.
ParlaMint-BG_2022-02-23.u164	Thank you, Mrs. Kirova. Is there another line? I can't see. Here you go, Mr. Georgiev, for the back.
ParlaMint-BG_2022-02-23.u165	Okay. If you're so concerned about the Vidin End, tell me what your suggestions have been so far. Where's Vidin's business? I'm not talking about your business. He's your problem. I'm talking about the business of ordinary people. So, again, the Vidin region, Northwest Bulgaria no longer believes your tears of GERB. This is the situation, so humble yourself.
ParlaMint-BG_2022-02-23.u166	Wait a minute. To Mr. Georgiev and to all colleagues, let us not make such attacks.
ParlaMint-BG_2022-02-23.u167	Since we're talking about budget...
ParlaMint-BG_2022-02-23.u168	Mrs. Kirova, I didn't give you the floor. Please take your seat. [[Applause from "We continue the Change", "BSP for Bulgaria", and "ITN."]]
ParlaMint-BG_2022-02-23.u169	There was a personal attack on me.
ParlaMint-BG_2022-02-23.u170	Colleagues, I will ask the stenographers to give me information on exactly what Mr. Georgiev's statement is and I will take consideration. I confess, I have not been able to hear either, Mrs Dimova, the case in which your name is mentioned and whether it is mentioned, and then I will give you the opportunity to take a personal explanation if there is a reason for that. Thank you. Mr. Ananiev for procedure.
ParlaMint-BG_2022-02-23.u171	Dear Mr. Chairman, honourable Members! I propose a procedure for extending the work until 6:00 p.m. of this point, which we are currently debating. Thank you.
ParlaMint-BG_2022-02-23.u172	Thank you, Mr. Ananiev. Is there a reverse opinion? Here you go, Mr. Petrov.
ParlaMint-BG_2022-02-23.u173	Dear Mr. Chairman, honourable Members! I think that when people chose us to be MPs, they didn't set us a certain working time until 6:00, so my suggestion is to extend the working hours of today's meeting until the item on the agenda is exhausted. Thank you.
