ParlaMint-BG_2022-03-24.u1	Honourable colleagues, please register. Colleagues online: Eva Miteva?
ParlaMint-BG_2022-03-24.u94	Thank you, Mr. Salchev. From GERB-SDS? Here you go.
ParlaMint-BG_2022-03-24.u95	Thank you, Mr. Chairman. Dear Mr. Chairman, dear Professor Salchev, honourable colleagues! I want to deepen the issue of control that needs to be carried out with regard to the discharge of medical devices, aids, gadgets and facilities. A question like that has already been asked, but I'd like to expand it a little bit. Under the current provision of art. 112, para. 1 of the Health Act clearly defined the bodies entitled to appeal the minutes of the LKK, TELK decisions and decisions of NELK. Until now, the Agency for Social Assistance as an administrative body has the right to appeal against the LKK protocols where there is a discrepancy between the health status of the person and between the medical devices written. For example, if a person is lying sick due to a severe health problem, there is an anti-decubital mattress written, and in the record at the same time is written, for example, a walker, which basically means that there is a prescription of medical devices that do not correspond to the health condition, how will he guarantee the Health Insurance Fund that there will be no such uncontrolled prescription of medical devices? Also, again with regard to control, how will the control of manufacturers of medical devices, devices and aids be organised so that people who are disabled and who are users of this service have a good quality of the medical devices provided? Thank you.
ParlaMint-BG_2022-03-24.u96	Thank you, Mrs. Zhekova. Mr. Salchev, you have the floor for an answer again.
ParlaMint-BG_2022-03-24.u97	This is what I wanted to stress once again that the problem of control is currently being solved by the draft regulation under art. 89, para. 8 of the Law on Persons with Disabilities, which today is being examined by the interdepartmental group. There will be put all the elements of control on the part of the National Health Insurance Fund, as well as of the other bodies involved in this process. So at the moment, until the legal document comes out, I cannot tell exactly how the control activities will be carried out. We gave our opinion by the National Health Insurance Fund to the interdepartmental group, we are waiting for the legal documents to come out. This regulation will be published for public consultation. I think Minister Gyokov will tell here what deadlines and how it will come out, as it is with the Ministry of Labour and Social Policy and then must be accepted by everyone. Thank you.
ParlaMint-BG_2022-03-24.u98	Thank you, Mr. Salchev. From the Movement for Rights and Freedoms? Mr. Ali, you have the floor.
ParlaMint-BG_2022-03-24.u99	Thank you, Mr. Chairman. Dear Professor Salchev, ladies and gentlemen of the National Assembly! My question relates to this: are they prepared and adopted by the interdepartmental working group all laws and regulations relating to the topic................................................................................................................................................................................................................................................. If yes, are there any more unresolved questions? If your answer is no, on what basis have you entrusted the Thank you.
ParlaMint-BG_2022-03-24.u100	Thank you, Mr. Ali. Mr. Salchev, come in.
ParlaMint-BG_2022-03-24.u101	The drafts in the legal framework, which are related to the transfer of the support funds to the National Health Insurance Fund, are now being examined by an interdepartmental group............................................................................................................................................................................................................................................. On what grounds have we entrusted the........................................................................................................ On the basis of the described business process for the implementation of these processes, which at the moment, if there is....................................................................................................... 89 of the Law I think it was, there are additional mechanisms involved, just going to be further processed and so-called controls in the information system. But we can't wait until the business process is clear. It is approved by me according to the requirements of the Law as early as last year, the autumn was submitted in the Service of Information to make the technical specification, it is claimed for development, so we have no reason to postpone this process. Thank you.
ParlaMint-BG_2022-03-24.u102	Thank you, Mr. Salchev. Do you have a second question from BSP for Bulgaria, colleagues? I won't. There is such a people? Here you go, Mr. Kirilov.
ParlaMint-BG_2022-03-24.u103	Dear Mr. Chairman, honourable Members of the National Assembly! My question is the result of all the questions asked so far and is related to the software service of this whole process from the declaration, through evaluation, through decision-making, communication with the individual companies that serve, and the opposite effect on the patient. Is it also foreseen that at what time this will happen and when the patient will be able to submit his documents online and receive his assistance at home at the address? Thank you.
ParlaMint-BG_2022-03-24.u104	Thank you, Professor Kirilov. Mr. Salchev, come in.
ParlaMint-BG_2022-03-24.u105	Thank you. At the exhibition a week ago, I said what the deadlines were. The requested request has been accepted and is already being co-operated by the Office and the colleagues involved in these processes, but they are not only on the part of the National Health Insurance Fund. There are included colleagues from the Drug Executive Agency and other agencies who monitor the transfer of data and so on. The program product by assignment and signed agreement has to be tested on 1 May. This is how the company has wrapped up the company. supplier.............................................................................................................................................................................................................................................. Thank you.
ParlaMint-BG_2022-03-24.u106	Thank you, Mr. Salchev. From the Democratic Republic of Bulgaria? Dr. Simidchiev again. Please, you have the floor.
ParlaMint-BG_2022-03-24.u107	Dear Mr. Chairman, honourable colleagues, dear Professor Salchev! My question will be not so specific, but a little more manageable. We see that a significant part of the processes are changing significantly. What I know before is that the supply of some of these funds to the user's home was at the expense of some of the retailers and not wholesale. Given that we do not have any particular certainty that this will continue to be so, because part of retailers may decide not to register through the Drug Executive Agency and therefore not to be able to deliver and given that for me the main reason that has been claimed so far was that the medical control will be improved in order to transfer this process to the NHIF........................................................................................................................................................................................................................... Thank you.
ParlaMint-BG_2022-03-24.u108	Thank you, Dr. Simidchiev. Professor Salchev, you have the floor to answer.
ParlaMint-BG_2022-03-24.u109	I can't speak as a manager right now because I'm in another function, Dr. Simidchiev. If I have to speak as a manager or as a person who is involved in systems management at all, I would answer you. But right now. Yeah, there's a risk, we're reading it. Nobody says there's no risk. Each switch from one system to another leads to the respective risks. We are not saying or I am not saying that everything is so smooth that at first we will shake hands with everyone and we will be happy. Anything's possible. In addition, in the contracts for retailers that they will provide, we provide for the option for them to be on the sick and not all of the sick to be provided on the ground and for those who cannot visit the retailer concerned the option is provided for the authorised person to receive on their behalf. So all of these options are reasoned not only by me, not only by the experts of the Casa, but also by the colleagues who previously worked, by the Agency for Social Assistance who have dealt with this process. Thank you.
ParlaMint-BG_2022-03-24.u110	Thank you, Professor. From rebirth? Here you go, Mr. Georgiev.
ParlaMint-BG_2022-03-24.u111	Thank you, Mr. Chairman. Mr. Salchev, you just said that you would provide several people in each regional health care fund to carry out the relevant assistance to people with disabilities. You also said that the testing of the electronic system that will provide the relevant connection will begin from 1 May. Will you succeed in this short period of training the people you have available to ensure adequate action so that they can carry out all necessary procedures to secure the necessary assistance for the disabled? Thank you.
ParlaMint-BG_2022-03-24.u112	Thank you, Mr. Georgiev. Professor Salchev, you have the floor.
ParlaMint-BG_2022-03-24.u113	Thanks for asking. Dear Members of Parliament, whether I succeed or fail depends on many factors. Depends on whether the system will be ready. In fact, we administer the system, we don't provide, we don't deliver and so on. These will be people administrators in the respective regional health insurance cases, which will monitor the movement of documents and ensure the process and the National Health Insurance Fund, because the very expensive support funds will be centrally monitored and will be examined by committees to assess the need to pay this aid, as is currently with the very expensive medical devices. Colleagues who work in the field of medicine know that we have several committees at central level. They deal not only with expensive medical devices, because some of them reach 130 BGN, and are also involved in monitoring the programmes that are being implemented. So my personal feeling doesn't matter whether I do or not. I'm obliged to do it. If the relevant risks are obtained, I must look for a way to overcome the narrow places together with the other institutions.
ParlaMint-BG_2022-03-24.u114	Thank you, Professor Salchev. Colleagues, let's move on to expression of attitude. We're continuing the Change, come in, Professor Tonev. Prof. Tonev, Minister Gokov wants the floor. Here you are, Mr. Secretary.
ParlaMint-BG_2022-03-24.u115	Dear Mr. Chairman, honourable Members! I am not surprised that there is a debate on this issue, because it is disturbing, of course, from the point of view of the continuity of the process, because these people are really vulnerable and must receive the services that are recorded in the Law. I am present here because initially, before listening to the debate, I had doubts that we would want a new extension of the deadline, that we would ask for a cancellation or something of this kind, and I know from the debate that there is no such thing and I understand from Professor Salchev that things are quite advanced. I'm not the only one who understands that, but the task force. I must tell you that the task force is working very seriously. I suppose there have been such working groups before and have also worked seriously on this issue. I will not comment now on why it has not come to the transfer within the terms laid down in the Law, people with disabilities, that is, two years ago, but the current working group headed by the Ministry of Health and representatives of the Ministry of Labour and Social Policy, including the National Health Insurance Fund, is working very well at expert level, and I know from this interdepartmental group that texts remain to be finalized both by the regulation and by the transfer, and everything that governs the receipt of these aids and medical devices by the people who need them, and I have confirmation from the group that they will be ready by the end of the week. I, of course, also express not quite concern, but what to say may be a concern about the administrative capacity of the Health Insurance Fund to provide this service, although I, as far as I know, have provided state numbers in this direction.. I may be mistaken, but if there is no, perhaps it should be thought in this direction to strengthen administrative capacity. Without concussions, of course, this whole process won't go through. But I am convinced that, as the legislator has decided, the transfer of this activity to the National Health Insurance Fund, that this will increase the effect of all this activity, firstly, because there are quite serious funds flowing, which, in my opinion, do not have the necessary effect of these funds, that is, we cannot provide quite modern medical devices that people deserve. Here in the speeches it was said that the lists were not updated in financial terms and technological terms for a long time. I do not hear so much concern from people with disabilities who need these medical devices and aids, as concerns from merchants I am not even talking about manufacturers, but about traders with medical devices. Their concerns stem from the fact that these medical devices will be provided in a new order. However, everything new is disturbing when there are established paths, including unregulated relationships. Everything new is an obstacle to these uncontrolled relationships and other relationships built up over time, so these concerns are. I think the task force will do its job. Our task is also to the Ministry of Labour and Social Policy, and to the National Health Insurance Fund, it is to pass this process in the case of at least shocks and without interruption. I think that with what we have done for these two years by the Ministry of Labour and Social Policy and the Agency for Social Assistance, by not letting the transfer process affect the provision of these medical resources, and already for two years, including the last extension of the deadline by three months until 1 July 2022. So on the basis of this work done by the working group, I remain hoping that things will go quite normally. By the way, now that I was on my way here, I have been talking to colleagues who are involved with the working group by the Ministry of Labour and Social Policy, and I think it is right that they are also listening to the debate that is being broadcast online, and I have asked them to do a few things - a description of what problems the working group has solved so that we can present them to the parliamentary groups, so maximumly by the middle of next week you will have what the task force has achieved on the transfer of aids and medical devices from the Agency for Social Assistance to the National Health Insurance Fund. Thank you.
ParlaMint-BG_2022-03-24.u116	Thank you, Mr. Secretary. Docent Tonev, you have the floor to take the attitude on behalf of.. We continue the Change.
ParlaMint-BG_2022-03-24.u117	Dear Mr. Chairman, Dear Professor Salchev, Dear Mr. Minister, Members of the National Assembly! I allow myself to take an attitude towards you. I did not ask a question to Professor Salchev, but this is mainly due to good communication on this issue, and not only that we have in recent weeks. He also alarmed about some possible problems ahead. We have all heard that a seemingly good organization was created, the two responsible ministries participate with their qualified staff, but as we all know, the old Bulgarian custom usually confuses things at the end when the numbers are to be counted, to show the responsibilities. One of the major problems did not come into the discussion about what is happening with aid funds. These are aids because several times they were called medical devices when they were provided and their expiration date expired or no longer needed. There is also no control over what can be used again and what cannot be used again. All these issues are being considered and I have taken the liberty of saying that, apart from the establishment of an organisation, we as a political system and MPs, in particular, the Committee on Health, have a very serious attitude towards this issue. We have taken the liberty of proposing to the National Health Insurance Fund representatives of the Committee on Health to actively participate and discuss this process, to inform the National Assembly of the timely resolution of all these issues and again with a hearing of the Governor of the National Health Insurance Fund even before the end of this period, that we have good information as to whether these issues can really create problems, including with wholesalers, as has been mentioned just now, so that we can relatively easily go through this transfer, mainly administrative control. Thank you.
ParlaMint-BG_2022-03-24.u118	Thank you, Professor Tonev. From GERB-SDS? Professor Baltov, come in.
ParlaMint-BG_2022-03-24.u119	Thank you, Mr. Chairman. Dear MPs, Professor Salchev, Minister Gokov! Some untruths have been said by Professor Salchev, who I would immediately like to disprove that the aids, facilities and medical devices should be distinguished between what is an aid and what is a medical device. The list of medical devices came out in 2008 and, for example, a hearing aid is being carried out, no aid is being provided. So the hearing aids, the talking aids, the prosthetics, they're all medical devices, they're not aids. So it is not right to say that in this case it was not about medical devices, they were under another paragraph. Ordinance No 7 was published in 2019, which gives instructions on how exactly under the Medical Devices Act and determining the value to which they will be paid, and it is updated on 31 March 2021. When updated on 31 March in one of the members it is written that no later than August, i.e. the same year, a tender must be made to take and clearly state which funds will be paid by the National Health Insurance Fund. We see that this has not been done in August, it has been postponed for vague reasons. Prof. Salchev did not explain why it was postponed, on what grounds, most likely because the National Health Insurance Fund even at the moment there is a disagreement with these aids, facilities and medical devices to go to them. In the firmness of the Ministry of Labour and Social Policy we see that they will not allow this to happen after 1 July, so they really must do everything possible to end this process by the end of June. It made an extremely bad impression on me during the adoption of the budget of the National Health Insurance Fund and the Budget and Finance Commission when I personally proposed an increase of 12 million. lv. of the funds for aids, facilities and medical supplies, but then Professor Salchev said that there was no need for that was enough, even left of the money and was not spent entirely. In fact, there is no need for more money than 38 million. BGN, because it is evident that the specifications, first of all, are very old and separately take an average of the last three years, that is, in the last three years we have really nothing new in the case. There are many unresolved questions left, which I will, of course, ask them, but will hardly be able to answer by the end of June. I very much hope that they will really be able to do what is necessary to take on the aids, facilities and medical devices for people with disabilities. How is the quality of medical devices offered by medical devices when declaring a specification and the lowest final price of medical devices? It is formed by the products paid over the last three years, so will this really be the amount that will be valued and that will be paid? Currently almost all aids and medical devices patients or users are paying them back because they are not fully paid by the Ministry. How can new companies be allowed to compete on the basis of just one declaration? How is it acceptable for companies who do not have a quality system under a recognised European regulation to present their system, which will be adopted by the Cashier. That is, when individual means are made, they must meet certain criteria. There are companies that do not meet these criteria and they will be allowed by the National Health Insurance Fund to offer their products. The cashier has violated its own funding rules in this competition and does not require participants to have basic equipment, personnel and documents for qualifications. In fact, this is a serious anti-corruption condition that is not fulfilled in the development of these individual means. The register so far has not created logistics to work with this activity. It was also evident from the answers of Professor Salchev. I am worried that this will really happen, as it is right now, what happened to the refugees from Ukraine, we see that they, unfortunately, could not be served in time and I think at the moment the same will be done with the granting of these aids, facilities and medical devices. The register has no published documentation in which companies will report their actual activity. There is also no system of control published. In reality, there will be no control of the companies or of the issuing such funds. And last but not least, there is no application system by companies for new products and innovative means that can be supplemented by the end of the year. These tenders are expected to be made once a year and, unfortunately, when new facilities and funds are available, they will not be met. [[The President signals that time has expired.]] In other words, what we are observing is that since August of last year, this specification has not been made available so far. In fact, we saw that in August last year Professor Salchev and then Minister Stoycho Katsarov had some other much more important things to do, and they did not really do the job they had to do. Thank you.
ParlaMint-BG_2022-03-24.u120	Thank you, Professor. From the Movement for Rights and Freedoms. Come in, Mr. Ademov.
ParlaMint-BG_2022-03-24.u121	Thank you. Dear Mr. Chairman, ladies and gentlemen of the House, dear Professor Salchev! In our view, the purpose of this hearing, of this discussion, is to support, on the one hand, the smooth transition to the new mechanism of acquisition of rights and payment of technical assistance, gadgets, facilities and medical devices outside the scope of health insurance. And on the other hand, to prevent some of the problems that would arise in the new mechanism of payment of these technical aids. Regarding whether this transition will be seamless, it is obvious that this cannot happen, but in any case we are satisfied with the fact that the question of whether this activity is entirely medical or entirely social is resolved. In any case, this activity is neither entirely medical nor entirely social, but is a medical-social thing that we need to take as a term because people with disabilities need to obtain quality and meet modern standards of technical assistance. Now with regard to whether the auxiliary technical devices, fittings, facilities and medical devices outside the scope of the health insurance meet the relevant standards, whether they meet the relevant quality of international standards, it is worrying what is written in the Regulation Can these internal quality assessment rules be promoted by I apologize for this term, let's say, recycled technical aids, which are imported from these countries, as is undoubtedly the practice that has so far existed. Next. There are several problems for which there are no answers in the new mechanism. What are these problems? For example, for no one is the secret agreement, the silent agreement between the one who writes technical assistance and the companies offering these funds. That's where the distortion of the procedures for granting technical assistance begins. And the other problem, which is again related to the quality assessment and standards for determining this quality. If an example technical tool is written out of a price limit, going to the healer, to the doctor who wrote these technical aids, at some point it turns out that there are much better ones on the market, with a higher price than the limit, and additional payments are required. The additional payment is what worries because it is not regulated in any way. The additional payment of technical assistance is the problem that cannot be solved with the new mechanism, and people are interested in this "to have a better quality of life with the help of these technical assistances so that they can lead an independent life in order to overcome an obstacle, obviously this list and this 38 million. BGN, which are provided, will not be enough. If we put this question to rest, if it is true that there is an update of the budget in the middle of the year, this 38 million. lv. they must be significantly more if we want them to meet standards and better quality. Because the practice has shown that with this financial resource there is no way to solve quality problems. So my hope is that in some way this discussion has contributed to solving the problems of people with disabilities, because, once again, these supporting technical means can lead to a better quality of life, but they can complicate the condition of the disabled person if they do not meet the relevant standards and the relevant requirements.
ParlaMint-BG_2022-03-24.u122	Thank you, Mr. Ademov. Prof. Mihaylov from BSP for Bulgaria, come in.
ParlaMint-BG_2022-03-24.u123	Thank you, Mr. Chairman. Dear Professor Salchev, honourable colleagues! From my bitter experience, I have convinced myself that on issues that will blow up society, the hall is usually half empty, and this discussion is the same at the moment there are no more than one sixth of colleagues in the Chamber. I congratulate the importers on this discussion and the desire to have it held in the Chamber when I have become seriously acquainted with the problems and the level of their solution at the moment. From the very beginning of my speech, I would like to say that it cannot be very long - five minutes - is the regulation that hardly any of us can accuse Professor Salchev that one or another will not happen from 1 July. You can see clearly what the capacity of the National Health Insurance Fund is, the figures were said. The relations between the Ministry and the Cashier are not in favor of the Cashier, of course, as an operational capacity, but at the beginning of my speech I would like to watch a bit of Professor Baltov from his plan, in which he read here, as it was used in the barracks: all the irregularities that secured the Casa so that this smooth transfer would not happen. Professor Baltov, your political power for 10 years put this issue and its solution, transferred it from year to year into the budget as a solution and finally, as the Bulgarian people say, there is an exact word, narrowed it at the last possible moment in the hope that this mine will explode in the middle of the summer and then with a wise and cool tone those who know everything and know how to decide to say: "Did we tell you that there is nothing you can do? And on this point, you are incompetent....... but rest assured, we will deal with this matter and we will solve it perhaps not on July 1st, from now on, but we will resolve it in a manner that is appropriate. There are a few things that are serious and that I pay attention to those who do not understand anything about the problem. Now we're not gonna sit here and argue about what's a medical device, what's an aid. These things, such as definitions, are quite, how to say, elocantic and difficult to make exact differences, but one thing is important and Dr. Ademov said it because there is the experience of a former social minister, the biggest problem is the payments. And here's the first big mistake. I made a comparison with the 2008 Ordinance on prices for orthopedic shoes, and 2022. There is no difference. Inflation is over 200% over those 14 years. That is, the very price base of relations with this wounded contingent is very wrong, and now in these two months we will urgently have to change things, see how they will be composed, is it possible within the framework of the. However, there is an update, calm down, Professor Baltov, of the budget, and this issue will somehow be resolved. The second question was also said by former Social Minister Hasan Ademov. This is the question of the quality certificate. Thus formed the regulation, but neither by Professor Salchev, nor by the current government, but by those who wrote it, then published it on March 31st. "Tatiana from the Council of Ministers is my friend, allows for a vague definition. How was the internal control system? What does that mean? It doesn't mean anything. It is neither a European certificate nor an ICO. These are things that are not subject to any control and create an opportunity for very severe deviations.. I will not make other definitions of this tribune, but for deviations that are very serious. And the third problem, which can become very difficult discussion, with consequences especially for the people themselves who need help,.....................the disabled people. Note that there is a standardized production, which is on the scale that is large, of various types of aids. I will give you an example for those who are not interested in the problem, these are for example the Scholll mats, but when we talk about people with specific requirements, there is no mass production to be done, there are custom works made. [[(Replication by National Representative Hasan Ademov:]] They have a very serious price and this price falls entirely on the man who is struck by God and carries with him the grief of this injury. We will not allow as a coalition format to meet this problem suddenly in mid-summer, to begin, as some here said, tremors. Shakes, tremors, but it's easy to talk about tremors when it comes to looking at them on the side, and when it comes to people with disabilities, I don't want to hear it, it just can't go without tremors. Those people don't need tremors. They've had enough of life. So what Professor Tonev said, I fully support him. We will now make a very careful assessment of the work of this group, regardless of the nice words that it works hearts, we will see where the heart of the group is, what is happening and we will take our decision as a coalition format. Thank you, Mr. Chairman.
ParlaMint-BG_2022-03-24.u124	Thank you, Professor Mikhailov. Professor Baltov, you want the floor for?
ParlaMint-BG_2022-03-24.u125	Personal treatment.
ParlaMint-BG_2022-03-24.u126	Colleagues, no controversy in the room. Here you are, Professor Baltov, you have the floor for a personal explanation for three minutes.
ParlaMint-BG_2022-03-24.u127	Professor Mihailov, in what you say, there are some gaps, because in Ordinance No 7 of 31 March 2021 in art. 57, para. 3, p. 2 writes: "Validite certificate according to the standard of BDS ISI 9001 for manufacturers of medical devices made to order, and for manufacturers and wholesalers of medical devices in Class 1." So there's this thing that has to have a standard. As for whether 10 years GERB has done nothing, you can see that in the last month of August until now, what is needed has not been done. If the NHIF wanted this process to go, they should have taken this attitude right after the Decree was issued after 31 March. It really didn't happen, and that's the truth. And the last eight months, when there was a government of two offices, we see that nothing happened then. Thank you.
ParlaMint-BG_2022-03-24.u128	Thank you, Professor Baltov. There is such a people? Here you are, Dr. Hristov, you have the floor.
ParlaMint-BG_2022-03-24.u129	First of all, I don't think this is the time. At the moment it is extremely important to transfer political and now explain when is a week earlier, or a month later it is not serious, but I would like to use Dr. Ademov's words that this is about an activity that is not only medical but also social [[a line from the National Representative Hasan Ademov: "It is not social. "]] And we are now, Dr. Ademov, going and transferring to the National Health Insurance Fund, completely transferring this activity to medical activities, which is also extremely disturbing, but disturbing is what we hear here at a few moments. The first moment, it is that the types of means that will be are not yet known, the current list has not been made. The second disturbing moment, this is the link between the different institutions - Health Insurance Fund, LKK, TELK, it is also not known whether it will work and how it will work. The most disturbing moment, and what I said in my speech remains for suppliers. Imagine what will happen in one appeal, one lawsuit and another. That means we're gonna leave people for months without help. In this situation, we are forced, indeed, to take urgent measures, and the most important thing in my opinion is the launch of the electronic file, which is currently in operation, in the module that will concern LKK, TELK and the patient's health condition, so that this file can work and summarize all the others. Otherwise, if we continue to work in pieces, new tremors will be required in the coming months. So the Health Insurance Fund in this regard needs to get its head out of the sand a little bit and be actively involved in the work of the data transfer file, because this is the way to avoid the duplication that currently exists. If we don't solve these problems, right now I'm worried about the peace, because in the end I don't know if the National Health Insurance Fund understands that all the responsibility for the situation that's going to happen is hers. Standing here, and Professor Tonev, and we from the Health Commission, and the entire National Assembly, are the people who will not stop, to do what is required of us, so that we do not prevent the launch of this process, so that the responsibility ultimately gives us what we can do, or that we have to do legally is yours. Every escape you try to escape will end up with yours. Thank you.
ParlaMint-BG_2022-03-24.u130	Thank you, Dr. Christov. From the Democratic Republic of Bulgaria? Here you are, Mrs. Belobradova, you have the floor.
ParlaMint-BG_2022-03-24.u131	Dear Mr. Chairman, honourable Members! Dear Professor Salchev, I'm glad I initiated this hearing. It's obvious there's not one and two problems. I'd like to make a brief overview of what I heard at least. What conclusions can we draw from this hearing and it is so important for the most vulnerable part of society? We begin by saying that the list of auxiliary technical devices and medical devices has become obsolete. It does not serve the real needs of people with disabilities and the renewal of the list announced by Professor Salchev, which will be carried out every year is a long-awaited step. A serious problem is the time limit for the start of the entire procedure, and this is July 1st the period in which the NHIF should take over the administration of the process. Here today the manager of NHIF Professor Salchev took the responsibility for this to be the date the process will start. I heard Professor Mihailov say that after all it may not be exactly July 1st, but the important thing is to start in a qualitative way, because we cannot afford absolutely no tremors. We also understand that although the administration of the activity has passed to the National Health Insurance Fund, control of the LKK protocols is located in other institutions. This once again disrupts the process and does not give any improvement in the control of the release of the aid funds, several colleagues have already mentioned it, and by improvement I am referring to the cleansing of the system from the corrupt model and the connectivity between the suppliers companies and the people who prepare the LKK protocols. And how the LKK protocols will be controlled at all, for us this is a major problem and we have heard that we are waiting for a future solution. We have heard that even though the National Health Insurance Fund has prepared a digitalization of the process, applications for repairs will be physically available only at the 28 points of regional units. Many people who need repairing these dentures are adults and do not have the opportunity to participate in the digitized process. This will therefore make it extremely difficult to access. At all, as Professor Salchev said, there is a risk. The question is whether we can afford that risk. I therefore call on my colleagues from the Health Commission, as well as my colleagues from the Labour, Social and Demographic Policy Committee, Vice-President of which I am also the Commission, to examine this matter in detail together and to be as involved as possible. It may not be now, it may not be this week, it may be a month from now when we will have more clarity, but in any case with the participation of Professor Salchev it will be good to work together, together the two committees. And we owe that to every single disabled person. Thank you very much.
ParlaMint-BG_2022-03-24.u132	Thank you, Mrs. Bellobradova. From rebirth? Mr. Georgiev, you have the floor.
ParlaMint-BG_2022-03-24.u133	Thank you, Mr. Chairman. After all, from everything that has been said and spoken here, it has become clear that the reform for granting, repaying, repairing and controlling the provision of assistance and facilities for the needs of disabled people under the Law on people with disabilities is at the stage of preparation. After two years of talk and expectations, after three governments, there is still no clarity as to whether the expected reform will take place and the people with disabilities will finally receive adequate, quality and modern aids. The mechanisms and the electronic system are currently being developed. There is no clarity whether this reform will take place by 1 July as much as the government of change is trying to achieve this goal. There are no updated lists of support funds, even the amount to be bet in the budget update, is not yet known. The question of compensation also remains controversial with the necessary support. The conclusions are clear. Someone either didn't want to or opposed this reform, which looks good, but is terribly late as a performance. Naturally, here I leave the false hopes of the tens of thousands of our fellow citizens with disabilities who have looked into the future, waiting for years for the solution of their problems, which are part of their existence. We will monitor this transfer and its realization, which, in our opinion, may be a bit like the toll system and its errors at the beginning, although this is not about cars and their owners, but about people who are already crushed by life. We hope that by July 1st you will disprove our concerns and this reform will go smoothly, and people with disabilities will receive the necessary assistance in the most adequate and correct way. Thank you.
ParlaMint-BG_2022-03-24.u134	Thank you, Mr. Georgiev. That concludes Professor Salchev's hearing. Thank you for your participation. Colleagues, we move on to the next item on the agenda, namely: FIRST VOICE OF THE LAW FOR CHANGE AND CLEARANCE OF THE HEALTH LAW. Reports have been received from: the Committee on Health, the Committee on Constitutional and Legal Affairs, the Committee on Regional Policy, Public Works and Local Self-government, the Committee on Human Rights, Religions and Complaints of Citizens. The Committee on Health is the lead. Who will present the report? Docent Tonev, you have the floor.
