ParlaMint-BG_2022-02-17.u1	Honourable Members of the National Assembly, please register. Colleagues online:
ParlaMint-BG_2022-02-17.u62	Thank you, Mr. Zarkov. Madam Minister, come in, you have the floor. Then for a line, Mr. Hamid.
ParlaMint-BG_2022-02-17.u63	Thank you, Mr. Chairman. Ladies and gentlemen of the House! I'm taking this opportunity to provide you with a little more information about the checks that are currently under way. You are most likely informed by the public space that 48 files initiated by Minister Stoilov have been completed in six of them. It is about checking the compliance with the requirement to maintain the investment within a two-year period. There are six cases where violations have been detected, and I have taken the appropriate action to withdraw Bulgarian citizenship. I've asked the NSA to check 19 more of these files that are currently being checked. In addition, a letter of 4 February from the Supreme Administrative Prosecutor's Office requested information on all cases of persons who acquired Bulgarian citizenship on the basis of art. 14a of the Law on Bulgarian Citizenship in the period 2015 - 2021. The answer was sent on 9 February 2022. By letter dated 7 February, the Special Prosecutor's Office requested certified copies of the log and registers kept in the Ministry of Justice for the period 1 January 2015. We have informed the Specialized Prosecutor's Office that we are working and that all necessary information will be sent to them on February 18th. In relation to the verification launched by the Supreme Administrative Prosecutor's Office, the SANS also checks all the information we provide, so you see that in all cases checks are under way and are currently underway. Thank you. [[Private applause from SG.]]
ParlaMint-BG_2022-02-17.u64	Thank you, Madam Secretary. For a line, Mr. Letifov. Are there any other lines? Here you go, Mr. Letifov.
ParlaMint-BG_2022-02-17.u65	Thank you, Mr. Chairman. Dear Minister, dear colleagues! Dear Mr. Zarkov, your statement is in principle and we support what you said. The gap came at the end when you announced that you would support one bill, the others would stay away. In fact, the topic is one, there is no obstacle to them being supported and being united as meaning and texts between the two readings and the second reading to get a text that meets all expectations and mostly public. We're throwing facts here and only factology should be used, it's an extremely sensitive question for a number of reasons both colleagues said, and Mr. Zarkov, but there's not much time in the line. The minister at the beginning said that for vague reasons it was this citizenship. No, the reasons are very clear! This allowed the legislator, this was an opportunity and took n number of foreign citizens to reside or to be Bulgarian citizens. The question here is in two directions: one is absent at all as an opportunity, there is no doubt, but the other form to clear this doubt is the checks of all cases, and through the institutions, through the decision to show, on the one hand, the will of the National Assembly, of all institutions and, on the other hand, the result to be this individual case to be checked. There's no room for suggestion here! The factual inaccuracies that are being made have no place in this case. Political play will not result in political dividends. That's why we need to do our job the way you started, Mr. Zarkov, congratulations, but I expect real support and to get to the end. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-17.u66	Thank you, Mr. Letifov. Any other lines? I won't. Mr. Zarkov for the dodger? Here you go. For speech was then recorded Milen Mateev.
ParlaMint-BG_2022-02-17.u67	Thank you, Mr. Chairman. Dear Minister, ladies and gentlemen of the House! Dear Mr. Letifov, I take the floor to respond to the reply, but also to thank the Minister for the information that has been submitted and indeed this information, as you can see, will be sensitively monitored and we need to find a way together to disclose it, as well as the results of the checks. With regard to technology and what happens from now on? Dear Mr. Letifov, I am trying to avoid the reasons that lead to a result because I believe that this result is important enough not to burden it with various political and parliamentary tactics, technologies and so on. The legislative process will win if a bill is supported today. The identical provisions of your bill have already been well discussed. One provision, which is of a technical nature and in the Legal Committee, has something to work on whether to be transitional, to be... these are technical matters. However, regarding the serious issue of permanent residence. This is a question that wants an additional, serious and independent study, not to be combined with this bill, which is currently well-focused. The Law on Foreigners in the Republic of Bulgaria, where this issue is settled, there are texts that have no more controversial fate than those we order. And I think this is the next step in tightening all these regimes and the paths that have been opened to make a clear and precise analysis of the Law on foreigners in the Republic of Bulgaria, access to permanent residence and so on and so forth. I mean, I think he'll win the parliamentary hall and quality legislation if we focus on the Council of Ministers' Bill. What you expressed and said as a position, I hope, is enough for your parliamentary group to state it.
ParlaMint-BG_2022-02-17.u68	Thank you, Mr. Zarkov. Mr. Mateev, you have the floor to speak. Here you go.
ParlaMint-BG_2022-02-17.u69	Thank you, Mr. Chairman. Dear Minister, honourable Members of the National Assembly! I, too, will try to make my humble contribution to returning the debate to substance. First of all, I must say that I fully support the Bill tabled by the Council of Ministers, because it precisely and most balancedly regulates the matter of cancellation of art. Art. 12a. 14a of the Law on Bulgarian Citizenship. As regards the bills submitted by MPs from the DPS, first of all, of course, I support what is identical with the Draft Law of the Council of Ministers as regards their proposal for annulment of art. 32, para. 2 of the Law on Bulgarian Citizenship. This text actually removes a mechanism that establishes whether the investment is maintained and for what period it is maintained, thereby depriving the competent authorities of the possibility of abolishing naturalisation and of verifying changes to this investment. So at the moment I could not support in this form the complete cancellation of art. 32, para. 2, you could possibly think of some kind of precision. As regards the proposal to revoke the issuance of visas or to obtain a permit for permanent residence through the cancellation of art. 25, para. 1, t. 6, 7 and 8 of the Law on Foreigners in the Republic of Bulgaria. I really agree that this could be subject to an additional debate which, however, could be seriously argued because there are arguments in both directions. One of the arguments that opposes this proposal is that foreigners who have made investments in Bulgaria should have the opportunity to really, as good owners, to reside in the country and to maintain these investments, that is to say, to carry out economic activity in the country. As regards the third bill, except that it does not make clear what paragraph and which law and how it is proposed to carry out this verification, first of all, in substance, the three-month verification period provided for is indeed absolutely insufficient to carry out those checks. Firstly, they cover a large period from 2013 to today, and from another point of view, in three months, there is no way to verify investments that have either been issued naturalizations that have been made last year and the long term is two years. And it is also envisaged that the Bill submitted applications for Bulgarian citizenship to be moved in the old order before the entry of this law into force. A further two-year period will be needed to carry out these checks and this will probably have to be carried out periodically during any three-month, six-month periods and so on, so this three-month period provided for therein is not appropriate. On the other hand, the SANS does not have the powers to control the legality of completed administrative proceedings, such as proceedings for which a decree has already been issued to the President for naturalisation. I think the provisions set out in art. 22 of the Law on Bulgarian Citizenship, fully allow for verification of all investments and the body that can actually carry out and order this check is the Minister of Justice, as well as the Prosecutor General, they actually have the initiative to withdraw Bulgarian citizenship or to end naturalization. It is also provided in the proposal of the DPS to make the signals to the Vice President of the Republic of Bulgaria, which is really not an organ for the withdrawal of naturalization, the proposals go through the Minister of Justice and the Prosecutor General. Let us not comment that, in fact, the one who issued the decrees and revoked by law is the President, he has only delegated powers to the Vice President. From this point of view, I am really proposing to Members of Parliament that we support the draft Council of Ministers and, consequently, colleagues of the DPS have the opportunity to propose that these proposals, between first and second readings, be proposed to enter the corps of this Law of the Council of Ministers, of course, very refined and bearing in mind all the arguments against. Thank you. [[Unique applause by.. We continue the Change.]]
ParlaMint-BG_2022-02-17.u70	Thank you, Mr. Mateev. For a line, Mr. Hamid, you have the floor.
ParlaMint-BG_2022-02-17.u71	Thank you, Mr. Chairman. Dear Mr. Mateev, I don't know what year or two checks you're talking about.! How do you imagine checking the entire investment? Because we had the opportunity to say what the investment was like, and they put some money into an account or bought some S.E.C. and then pulled it out, that's the whole point. The check consists of a letter to the bank or to the investment firm concerned, whether it has been done, how long it has been maintained, whether it is consistent with the law and that is all. If a letter to a bank at the request of the State Agency for National Security is delayed for one or two years and for this is not enough three months, please excuse me for the work of the institutions in Bulgaria. And as I have already said in the statement, a large part of these investments have been checked at the request of the Ministry of Justice or on the work of the Prosecutor's Office. Is there any way to determine whether or not these funds are available? That is, it is a quick inspection, there is no need to check factories, factories, ships, there is no such investment, to our great regret. They're imported and they've withdrawn that money. The check is short, simple and fast. Thank you.
ParlaMint-BG_2022-02-17.u72	Thank you, Mr. Hamid. Are there any other lines to Mr. Mateev's statement? Mr. Matteev for the dodger? You have the floor, please.
ParlaMint-BG_2022-02-17.u73	Yes, I just want to make it clear that this is actually an official position of the DANS, really, that the three months are not enough. And I say again, if we are talking about investments that are currently within their two-year term, the check for after these three months will not be enough, we will need new and new checks until this investment period is over, that is what I meant by the deadline. Thank you.
ParlaMint-BG_2022-02-17.u74	Thank you, Mr. Mateev. To speak, Tsoncho Ganev.
ParlaMint-BG_2022-02-17.u75	Mr. President, for more than an hour we have been commenting on the so-called Golden Passports (Golden Visas) for permanent residence. We have a clear and accurate position not today, not since yesterday, we have constantly stood behind it, that Bulgarian citizenship should not be traded in any way and should not have a purchase and sale. At the very least, it is shameful that through financial machinations, as described here, with the purchase of government securities just at some point someone takes a passport and goes where they have decided. This thing has continued over the years with the knowledge of both the ruling majority and the knowledge of the people who have been in the current parliaments. However, I would like to draw attention to the fact that this thing has been reflected and reflected for years and for the acquisition of passports through people who have declared that they had a kinship back over the years and had Bulgarian roots something that happened during the management of GERB, but not GERB were leading in this machination once again, namely people from VMRO-BND. Let us not forget that to date it is precisely the President of the Commission for Bulgarians abroad, broadcast and prominent footage of VMRO-BND, is in the so-called list. It was these revelations made by foreign journalists that led to the protection of IMRO-GNI that thousands of Bulgarian passports were sold. There were and we all know about the fees that were collected by the prominent representatives of VMRO-GNI. So the so-called gold passports are not only trade with Bulgarian citizenship. Much more embarrassing and much scarier is trading with passports of Bulgarians, who had Bulgarian grandfathers, want to receive Bulgarian citizenship, but have been refused. For example, the vice-president of the Bulgarian Revival, who has been living in Bulgaria since he was two years old, is currently 30 years old, has no Bulgarian citizenship, has been denied several times precisely by these national traitors, such as IMRO-GNI. Dozens of cases.
ParlaMint-BG_2022-02-17.u76	Mr. Ganev, please, no offense.
ParlaMint-BG_2022-02-17.u77	I apologize. The facts are, however. It is this thing that I hope will be encouraged to remove the so-called Golden Passport, Golden Visa, or whatever we call it, because when Bulgarians do not receive passports just because they have not paid 5000 euros or dollars to another official appointed by IMRO-BNS, this is called national betrayal. That is precisely why, and not only because of this, we believe that a really much deeper check should be made to those people who have received gold passports and because with just one letter to the bank and finding that government securities have been bought and then resold is not enough. There are specific people who need to be punished. I ask from this tribune: what happens to the prominent shot of VMRO-BAND, which is on the restrictive list of Magnetski? He was indicted in Bulgaria and released on bail. To date, there has been no development. When will we in this Parliament finally proceed to a real judicial reform so that such people indicted will not continue to walk freely and face criminal liability? I call on you to truly support these changes, and we will support these changes at the time of rebirth. It's unacceptable, the fact that this thing doesn't work. And what's more, it's disgraceful to sell Bulgarian passports.
ParlaMint-BG_2022-02-17.u78	Thank you, Mr. Ganev. Here you go, Mr. Bikov, for a line. Please, colleagues, just to refrain from qualifications, especially for people who are not in this House to defend themselves.
ParlaMint-BG_2022-02-17.u79	Dear Mr. Chairman, honourable Members! Dear Mr. Ganev, I am glad that you raised the other side of the question, because today we are deciding about an undisputed case.................. should the state be selling passports? Of course everyone will say they shouldn't. The more difficult and complex issue is related to citizenship for Bulgarians, who are representatives of traditional Bulgarian communities in Moldova, but I will also focus in Northern Macedonia. Because in northern Macedonia, the case is much different than in Moldova, for example. In northern Macedonia, many documents have been destroyed that show that these people are of Bulgarian origin and they cannot prove it. That's where the problem comes from, which you have affected. I'm not going to blame any parties here because I think responsibility is always personal. If someone has dealt with corruption schemes, he should be responsible, but is at stake in the approach of the Bulgarian state and the Bulgarian legislation, this problem which is there. He's legally at stake. I've said that in a previous National Assembly. The Bulgarian state claims that there are Bulgarians in Macedonia. Let us not say that there are an informal number of people in Bulgaria who believe that in Macedonia a large part of the Slavic population is Bulgarian. At the same time we make these people prove that they are Bulgarians. What if they cannot prove that they are Bulgarians, what are they, according to the Bulgarian state? This is a huge case, and this case must find a solution, probably not today, but in general, with a very serious job in this direction, and then the corruption schemes will also end. Every corruption scheme is because of the narrow entrance. We have a narrow entrance because many people want to apply, but very hard to prove that they are Bulgarians. And they write, "I feel like I'm Bulgarian. " After they say this thing, we have evidence that there was a Bulgarian population there a while ago, we must give them the opportunity to take a much faster, much easier Bulgarian citizenship. If we really talk about North Macedonia being brotherly peoples or having a common history, we should also write this in legislation. Thank you.
ParlaMint-BG_2022-02-17.u80	Thank you, Mr. Bikov. Are there any other lines to Tsoncho Ganev? I won't. Here you go, Mr. Ganev.
ParlaMint-BG_2022-02-17.u81	Mr. Bikov, what you have pointed out is an indisputable fact. I just want to make a point that I don't know how many of the people in this room know. Macedonian citizens to date, if declared Greek, receive immediately Greek citizenship within only 1, 2 or 3 months, respectively, a passport. I will point out the fact that the Bulgarian citizenship classes are here, are not in front of the Greek consulates, are not in the Greek state. These people there refuse to become Greek subjects. Yes, many of them take Bulgarian citizenship and go to work in Western Europe, undoubtedly. But we as a country must take care of them, not force them to pay 5000 euros. And those people who were taking the money, have charges filed to date. Because they're not empty charges, they've been charged, they've been released by 100,000. lv. A guarantee, but they still haven't been tried and convicted. This is tantamount to national betrayal, because we Bulgarians in Macedonia are told that if you want to get back the passport your grandparents, your grandfather, and further back have had, you will give $5,000, euros or whatever is decided by VMRO-GNI. This has to stop. It is a shame to sell gold passports with machinations over the years, whether with government securities or subsequently, as has been noted. The new rules have led to the fact that there is not a single so-called gold passport, but the trade with passports of Bulgarians continues to date. Because I have a friend whose mother is a Besarab Bulgarian and she does not have a Bulgarian passport to date. She gave up on her even though she gave birth to a Bulgarian. This thing has to stop. I call on the majority to pay attention to this thing because it is a serious problem. Why am I calling you? Because, to my great regret, since this Parliament has worked, everything that comes from the opposition has been rejected. Therefore we will support you, submit it to close this page and tell all Bulgarians with genealogy back over the years that they are welcome in Bulgaria and are welcome to return to their roots. [[Applause from ARGUING.]]
ParlaMint-BG_2022-02-17.u82	Thank you, Mr. Ganev. Anyone else wishing to speak on the three submitted bills? Yordan Tsonev, come on in, Peter Petrov, I'm recording too.
ParlaMint-BG_2022-02-17.u83	Thank you, Mr. Chairman. Honourable Members, Dear Minister! It is clear from the debate that the majority will support the Draft Law of the Council of Ministers and will not support the bills submitted by the Movement for Rights and Freedoms. In this there is no drama and nothing unexpected, although we expected after the Prime Minister's promise, the parliamentary group of What you are telling us, Members, is that you agree with some of the proposed by us, categorically and with those proposed by the Council of Ministers. It is debatable whether to waive residence with investment. And the other, which is a discussion, not the checks, but whether the time limit is sufficient for them to be carried out. You yourselves understand very well that the deadline can be changed from 3 to 6 months when the bill is adopted at second reading. So you tell us this: that we will not accept your bills, although they are in the right direction, write the same things that you wrote them as proposals for a second reading. Okay, that's probably your contribution to your promised dialogue in Parliament, a constructive dialogue, as we have promised you, a dialogue on which to support the government in its good initiatives, even though we are opposition. You see that this is a good initiative on our part and you absolutely do not want to support it. I do not understand this in the context of the promises you made to the Bulgarian public and here in the Chamber. But this remains, as it is said, to weigh on your political conscience unfulfilled promise. I want to get back to basically two points in the debate in question. The first one is very important........................................................................................................ I'll give you an argument, which is why we want the checks. There are hundreds of cases of acquisition of citizenship by investment route.. 108 or how many there you said not to quote in order not to make a mistake, exactly. Do you ask yourself why there are so few? Krum Zarkov said a market that didn't develop. Because it is enough for most of them to have a permanent residence, including those who come with bad intentions, the check will show it because, let us say, there is evidence that they are connected to foreign services and it is very good for them to have a permanent residence only so that they can move freely around the European Union. That's why we want the check. This check will show how many are those who have received permanent residence and have not taken advantage of the possibility of citizenship and why. This is also a very important moment. So it really is a discussion issue, but we think the inspection will show that we must close this door, too, alas. Therefore, once again, I urge you to think carefully before rejecting our bills. Okay, we will make the proposals for a second reading in the project that you will accept, but this is not the best legislative technique, as Mr. Zarkov said. It is better when the draft laws are adopted, because this is an attitude towards the topic and attitude towards the political partner or opponent, something we want to change in this National Assembly, and we are making a contribution to changing it. There was a lot of discussion about what the situation was when the decision was taken to tighten the measures when the government's proposal was rejected in 2020, because then the bills entered and in 2021 were adopted. I would like to read you part of the Report. I strongly recommend this report to you by the Temporary Committee, which was adopted by the National Assembly, not because I presided over this committee, but because it has a very interesting factology, and this verified factology. At the time the Commission works and at the time those options are examined, there is the following finding. I told you in the previous statement that we have done a very thorough study of the subject before proposing anything by the Commission before proposing the report, and that is why it was adopted with full unanimity by all the parliamentary groups. To this moment, more than half of the countries worldwide apply this type of economic instruments. Of these 23 Member States are Member States of the European Union. " We are talking about investment programmes that concern residence or citizenship. As for the last 10 years, the number of these programmes in the European Union has increased from 3 to 23. I quote to you the November 2018 Report of the European Parliament of the Member States' Investment Programmes and the report was published at the end of January 2019. The period we're talking about. The latter mentions the programmes of Bulgaria, Cyprus and Malta as providing opportunities for acquisition not only of the right of residence but also of citizenship against investments. The conclusion of this report by the European Commission is as follows: that, in relation to the new economic situation and challenges, countries operating investment programmes should take additional measures to reduce the risks associated with security, money laundering, corruption, circumvention of EU legislation and taxation. Additional measures are also proposed aimed at ensuring a higher level of transparency of the operation of the programmes. Do you understand what a recommendation is being made? To improve programmes is one option. That is why the Commission then referred to this option.... to definitely improve the programme. It's not that simple because someone wanted some wicked practices to change. And because today it also touched on the subject of the other method in which citizenship is obtained by origin, what is called, I would like to say to my colleagues that this door with the proposed bill by the members of the Commission, which was adopted, was practically closed because then some NGOs issued documents of origin both in Macedonia and in Albania and in Kosovo and in other countries. That's no longer possible. This is already happening with a committee of mandates, which here in Bulgaria issues this document that you have Bulgarian origin and on this basis you can become a citizen. So then on this subject, the Commission did its job, Parliament also did its job, and we succeeded in a serious problem that had criminal proceedings, and there were arrests, indictees, and if you compared the given citizenships to the one of the 100 and how many, and on the other 100 and how many thousands. So let's go in the direction of improving legislation, to go in line with the recommendations of our European partners. That's what we DPS do, nothing else. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-17.u84	Thank you, Mr. Tsonev. Here you are, Minister, you have the floor.
ParlaMint-BG_2022-02-17.u85	Mr. Chairman, ladies and gentlemen of the House. In view of the facts, I should also provide you with one more information that, in fact, after the amendments to the Law on Bulgarian Citizenship, which we are discussing, in the Ministry of Justice under art. 12a received 58 files, according to Art. 14a received 30 files. They're in the process of processing, so we're talking about a little over a year.
ParlaMint-BG_2022-02-17.u86	Thank you, Mrs. Yordanova. Are there any lines for Yordan Tsonev? I won't. Peter Petrov was recorded for a statement, but I do not see him in the Chamber. Are there any other speeches? There are no other speeches. I'm calling off the discussion. We are going to vote on the submitted bills. First of all, I put to the first vote the Draft Law amending and supplementing the Law on Bulgarian Citizenship submitted by Mustafa Karadayi, Yordan Tsonev and Delyan Peevski on 11 January, not supported by the Committee on Constitutional and Legal Affairs. Please, voting mode. Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u87	That's against it.
ParlaMint-BG_2022-02-17.u88	Rosen Turtle?
ParlaMint-BG_2022-02-17.u89	That's against it.
ParlaMint-BG_2022-02-17.u90	And Stefan Shilev? They voted 207 MPs in Hall plus 2 online, total " 209": for 81 in the Chamber, against 100 in the House plus 2 online "102" total, abstention 26. The offer is not accepted. Yes, Mr. Karadaye? I'll give it to you right away.
ParlaMint-BG_2022-02-17.u91	Thank you, Mr. Chairman. I'll be very brief. Colleagues, I listened very carefully to the debate and requests of both Mr. Zarkov and Mrs. Tsoneva and the others who spoke. In one direction you spoke, however, in the opposite direction you voted. So I'm gonna have to ask you, Mr. Chairman, for a re-vote. Thank you.
ParlaMint-BG_2022-02-17.u92	Please, voting mode. Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u93	That's against it.
ParlaMint-BG_2022-02-17.u94	Rosen Turtle?
ParlaMint-BG_2022-02-17.u95	That's against it.
ParlaMint-BG_2022-02-17.u96	Stefan Shilev?
ParlaMint-BG_2022-02-17.u97	(GERB-SDS, via internet platform for video conference) : For.
ParlaMint-BG_2022-02-17.u98	They voted 218 MPs in the hall plus 3 online, total " 221": for 90 in the room plus 1 online "91," against 102 in the room plus 2 online "104" in total, abstention 26. The offer is not accepted. We are going to vote on the Draft Law amending the Law on Bulgarian Citizenship, tabled by the Council of Ministers, supported by the Committee on Constitutional and Legal Affairs. Please, voting mode. Colleagues online: Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u99	Yeah.
ParlaMint-BG_2022-02-17.u100	Rosen Turtle?
ParlaMint-BG_2022-02-17.u101	Yeah.
ParlaMint-BG_2022-02-17.u102	And Stefan Shilev?
ParlaMint-BG_2022-02-17.u103	(GERB-SDS, via internet platform for video conference) : For.
ParlaMint-BG_2022-02-17.u104	They voted 215 MPs in the House plus 3 online, total.. 218: for 215 in the House plus 3 online.. in total no against and abstentions. The motion is accepted. We are also going to vote on the Draft Law amending and supplementing the Law on Bulgarian Citizenship submitted by Mustafa Karadayi and a group of MPs, not supported by the Committee on Constitutional and Legal Affairs and by the Commission for Control of the Security Services, the application and use of special intelligence means and access to data under the Law on Electronic Communications. Please, voting mode. Colleagues online: Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u105	That's against it.
ParlaMint-BG_2022-02-17.u106	Rosen Turtle?
ParlaMint-BG_2022-02-17.u107	That's against it.
ParlaMint-BG_2022-02-17.u108	And Stefan Shilev?
ParlaMint-BG_2022-02-17.u109	(GERB-SDS, via internet platform for video conference) : For.
ParlaMint-BG_2022-02-17.u110	They voted 216 MPs in the Hall plus 3 online, total of 219: for 89 in the House plus 1 online "90" against 93 in the Chamber plus 2 online "95" abstentions 34. The offer is not accepted. Here you go, Mr. Karadaye.
ParlaMint-BG_2022-02-17.u111	Thank you, Mr. Chairman. Dear Mr. President, ladies and gentlemen of ministers, ladies and gentlemen of the House! I listened carefully to the debate, we read in the media and the allegations of checks, including Ms. Tsoneva's claims from this tribune to carry out checks that there are certain statements, including Mr. Peevski, and not just about him. And from this point of view, there is a proposal for a full verification bill to be made on each particular case. We at the Movement for Rights and Freedoms, some of our colleagues have even referred to the prosecutor's office, obviously there will be a check on this line, but what is the problem with the Law to put it in place. We've done the bill. In this direction were the statements that everything should be public and transparent, but obviously for some people is more important than the actual picture. Therefore, Mr. Chairman, I ask you to re-vote the Bill of Verifications so that we can clarify the actual picture as it is and not step on suggestions. Thank you.
ParlaMint-BG_2022-02-17.u112	Thank you. Revision of the Law amending the Law on Bulgarian Citizenship, submitted by Mustafa Karadayi and a group of MPs. Please, voting mode. Colleagues online: Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u113	That's against it.
ParlaMint-BG_2022-02-17.u114	Rosen Turtle?
ParlaMint-BG_2022-02-17.u115	That's against it.
ParlaMint-BG_2022-02-17.u116	And Stefan Shilev?
ParlaMint-BG_2022-02-17.u117	(GERB-SDS, via internet platform for video conference) : For.
ParlaMint-BG_2022-02-17.u118	They voted 214 MPs in the hall plus 3 online, total " 217": for 89 in the room plus 1 online "90" against 105 in the room plus 2 online. The offer is not accepted. This concludes with the first item on the agenda of the day, namely: the first vote on bills for amendment and supplement of the Bulgarian Citizenship Act. Moving on to item two of today's agenda: THE SECOND MAINTENANCE OF THE LAW FOR CHANGE AND CLEARANCE OF THE LAW FOR WATERS. A report from the Environment and Water Commission on the Draft Law amending and supplementing the Water Act submitted by the Council of Ministers on 28 January 2022 was adopted on 10 February 2022. Mr. Genov, come in.
ParlaMint-BG_2022-02-17.u119	Dear Mr. Chairman, honourable Members! Report on the Draft Law amending and supplementing the Water Act No 47-202-01-4, submitted by the Council of Ministers on 28 January 2022, adopted on the first vote on 10 February 2022 for the second vote. "Renewal and Supplement to the Water Act" (prom., SG No. ...).................................................... The Commission supports the text of the importer on the name of the Law.
ParlaMint-BG_2022-02-17.u120	Thank you, Mr. Genov. I also propose that the first proposal, which is unsupported, should also read and then open the discussion.
ParlaMint-BG_2022-02-17.u121	Proposal of the MPs Nikolay Drenchev and Petar Petrov: In Article 1, paragraph 1 is replaced by the following: 43, para. 2 words within the boundaries of the settlements and the settlements shall be deleted. The Commission on the basis of art. 79, para. 1 sentence, third and fourth of the CST adopted a decision not to consider and vote on the substance of the proposal as inadmissible, as it goes beyond the scope of the bill adopted at the first vote.
ParlaMint-BG_2022-02-17.u122	And the next one I see is the same thing.
ParlaMint-BG_2022-02-17.u123	Proposal of the MPs Nikolay Drenchev and Petar Petrov: In Article 1, paragraph 1 is replaced by the following: 118d, para. 3, ct. 5 after the words to meet the citizens' own needs, the cases referred to in Art. 5 shall be added. 42, para. 2. The Commission on the basis of art. 79, para. 1 sentence, third and fourth of the CST adopted a decision not to consider and vote on the substance of the proposal as inadmissible, as it goes beyond the scope of the bill adopted at the first vote.
ParlaMint-BG_2022-02-17.u124	Thank you, Mr. Genov. I am opening the discussion on the name of the Bill and the two proposals that have not been examined and voted on in substance by the Committee on Environment and Water. Here you are, Mr. Shishkov, for a statement.
ParlaMint-BG_2022-02-17.u125	Thank you, Mr. Chairman. Dear Mr. Chairman, honourable Members, Dear Mr. Minister! I am speaking on the name of the Law to tell the Bulgarian society about the legal outrage that the new rulers have created. The main bill is proposed by the Council of Ministers and aims to solve problems related to the unaccepted river basin management plans and flood risk management plans. The reasons that led to the delay in adopting these plans are complex and I am not going to dwell on them right now. We, as a serious and responsible opposition, are aware of the consequences, so we supported the changes to the first vote. We are also aware of the urgency of their adoption, so we supported the idea that the bill should be adopted in two readings in one session, which did not happen. As I have already explained, a committee was held yesterday in emergency order at 8:30 a.m., before the parliament meeting. Representatives of GERB-SDS parliamentary group took part in the meeting with the intentions for support, taking into account the urgency of the proposed amendments. But what happened in the Commission? During the vote on the Report published in due order on the website of the National Assembly, containing only the texts of the basic bill, we were offered additions which turned out that the Commission had to decide whether the texts that we had neither seen nor had official information that would be submitted to the vote. They did not appear in the report sent by the Commission. During the discussion it turned out that these texts were copied by the State Budget Act and relate to the displacement of the National Institute of Meteorology and Hydrology from the Ministry of Education and Science to the Ministry of Environment and Water. In practice, we have been offered a serious reform through the Transitional and Final Provisions without prior notification and without complying with the requirements of the Rules. Dear colleagues, in recent years, we have carried out a number of criticisms about the introduction of legislation in an extraordinary order. From this tribune, shirts were torn and vowed that such practice would be stopped from now on. What did it turn out to be? Two months later, not only do these wicked methods repeat themselves in quotes, but repeat themselves in a scandalous and terrifying way. Yes, we have also proposed texts in the Transitional and Final Provisions, but they have always been a result of a certain urgency and never in this way, but in the order described in the Rules. What the rulers have done is to bring a significant reform, but without the texts of a heroic trust, absurd and scandalous, in gross violation of the Rules. Colleagues, you have already understood that in the course of the work it is inevitable to have such procedures. The current bill proved it. There was no need for drama on the topic with which you fooled Bulgarian citizens for a long time, but when you proceed with such actions, do it according to the Rules. Apart from that, it has never been clear the reason why these changes are being made in an urgent order. Last week, we learned that a law can be voted on endless numbers of times until colleagues gather from cafes and form a quorum. And this week we learned that we can submit texts on serious reforms without text. In just two months' time, the government has very urgently dethroned the Rules that they have adopted themselves. We put aside the fact that it does not comply with the negative opinion of the Institute at all and that its arguments have not been taken into account. In this regard, as good as we had the intention to support the basic texts, because they are really important, Mr. Minister, you fellow Members are forcing us not to support all this madness that you are proposing. However, seeing with what ferocity yesterday you held three Commission meetings in one day, which is also some absurdity, and your huge but unexplained desire to urgently accept these changes in the course of the vote, we will make our proposals to minimize the damage you are preparing to do. Thank you for your attention. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-17.u126	Thank you, Mr. Shishkov. Are there any lines to Mr. Shishkov? Please, Mr. Minister, you have the floor.
ParlaMint-BG_2022-02-17.u127	Mr. Chairman, ladies and gentlemen of the House! Mr. Shishkov, you decided not to comment on the delay, but I think it should be commented. Because this is at the heart of the situation in which we are currently in the process of going after the events and putting out fires set by your management, because these river basin management plans and flood risk management plans were supposed to happen, should have been completed, there are resources from the Environment Operational Programme to be completed, but the choice of consultant, the process of developing criteria, the way this project has been implemented, has led us to still not have our table, which we can subject to public consultation, to verification by the necessary institutions in order to finalise this process. Because of this, we also have a criminal procedure, because as part of the flood risk management plans, there are also flood risk maps that we need to present to the European Commission, and because of the lack of these maps, which I have the assurance of, however, by the consultant that they will be drawn up by April, but because of their absence we have a criminal procedure. So it is important to specify where we are and why we are actually looking at this bill. We are trying to accept with these amendments the continuing nature of those plans that expired at the end of last year, and at the same time to make up for the lost time, so that we can also have these maps on flood risk, and have the entire flood risk management plans and river basin management plans, so that we can fulfil the commitment that we also have in the Water Act arising from the Water Framework Directive. As for the amendments tabled, which are not supported by the Commission, they are without an impact assessment, they are a very serious reform which should also go through a serious public discussion, because this is extremely important. Unlike the second part of the bill that you have criticised, we have been commenting on it for more than a month. I have answered questions here, to your colleague, who is standing next to you, Mr. Valchev, I have answered in the media, it has been laid down in the State Budget Bill. So it is not a new topic, while these other amendments, which were not supported by the Commission, in practice create significant changes in the way of water use in Bulgaria, put the waters in Bulgaria at risk, as far as we have no control over the use of such water sources, but I think it is appropriate that the Commission did not support these amendments between first and second readings. For the rest of it, I think I've expressed my position. Thank you.
