ParlaMint-BG_2022-02-10.u1	Honourable colleagues, please register. Colleagues online. Alexandra Milcheva?
ParlaMint-BG_2022-02-10.u79	Thank you. Next up is the Energy Commission. The reports are arranged as is the order of the Rules of Procedure Committees.
ParlaMint-BG_2022-02-10.u80	Mr. Chairman, ladies and gentlemen! The report will, of course, be in summary: ♪ I can't believe on a Draft Law on the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. At its extraordinary meeting held on 8 February 2022, the Committee on Economic Policy and Innovation examined the State Budget Bill of the Republic of Bulgaria for 2022. According to the draft budget of the Ministry of Economy and Industry for 2022 there are fixed revenues of BGN 25 026 000. The total cost is 112 431 200 BGN. The following budget programmes are provided for the implementation of the Ministry's policies: - Relief of regulations, simplification of procedures for the provision of administrative services with a budget of BGN 3 914 800.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • - Promotion of small and medium-sized enterprises and industry with a budget of BGN 1 141 200.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • - Protection of industrial property sites with a budget of BGN 3 758 500.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • - The quality department in support of the development of the economy with a budget of 32 807 400 BGN.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • - P for the opportunities for participation in the Single European Market with a budget of BGN 895 500.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • - "Restructuring and effective management of state property" with a budget of 41 176 600 BGN.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • - Consumer protection with a budget of BGN 5 791 800.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • - Realization of export potential and participation in the trade policy of the European Union with a budget of BGN 13 781 200.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • - A budget of BGN 9 164 200. The Ministry of Innovation and Growth draft budget for 2022 does not include revenue. The total estimated cost is BGN 28 023 000. The part of the subsidy and other current transfers to non-financial corporations is provided for: - 9.0 million. lv. promoting the investment of domestic and foreign enterprises implementing investment projects under the Investment Promotion Act; - 5.6 million. lv. the National Innovation Fund; - 0.9 million. lv. For the establishment of an Investment Information System in the Republic of Bulgaria, for the establishment of a register of foreigners with the right to permanent residence and for the establishment of a register of industrial parks and of a register of high-tech and innovative projects for the needs of the Bulgarian Investment Agency; - 0.9 million. lv. For the development of indicators for measuring the social result achieved from the work of state-owned companies and for establishing an Innovation Board between the Ministry of Innovation and Growth and the Ministry of Education and Science. The Ministry of Innovation and Growth will implement a policy in the field of investment development and innovation in support of the growth of the Bulgarian economy. After presenting and discussing the bill, a vote was held which ended with the following results: 1. Under the Law on the State Budget of the Republic of Bulgaria for 2022 included a draft of the Supreme Judicial Council under art. 1 and 2 voted:................................................................................................................................ and 9........................................................................................................................... 2. Under the Law on the State Budget of the Republic of Bulgaria for 2022 with an opinion of the Council of Ministers under art. 1 and 2:..................................................................................................................................................................................... On the basis of the above, the Committee on Economic Policy and Innovations proposes to the National Assembly to adopt the Law on the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, with the opinion of the Council of Ministers under art. 1 and 2, submitted by the Council of Ministers on 1 February 2022.
ParlaMint-BG_2022-02-10.u81	Thank you, Mr. Dimitrov. A report from the Energy Commission has come in. Here you go, Mr. Manev.
ParlaMint-BG_2022-02-10.u82	Mr. Chairman, I will present: ♪ I can't believe for the first vote on the Draft State Budget Act for the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. At its extraordinary meeting held on 2 February 2022, the Energy Commission discussed and voted on a Draft Draft for the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. The main policies in part of the project were presented by Mr. Plamen Danailov, Deputy Minister of Energy and a guest of the Commission. The revenue under the budget of the Ministry of Energy for 2022 amounts to 175,2 million. lv. And it's 3.4 million. lv. more than 2021. The contributions to the Fund have been increased "Radio-active waste" and "Removement of nuclear facilities" fund. The costs of the Energy Ministry's Draft Budget for 2022 amounted to 74,4 million. BGN, taking into account the growth of the minimum wage. The increase also includes the creation of an analytical unit with the Minister of Energy to make quick and timely decisions, and the capital expenditure has been reduced by 0,2 million. lv. The Commission's energy and water regulation budget is 80.0 million. BGN, such as the increase of 70.7 million lv. is almost entirely for legal benefits and costs in connection with the entry into force of judgment decisions on property damage under the State's liability law and the municipalities for damages. The budget of the Nuclear Regulatory Agency (AEA) in part revenue was reduced by 0,1 million. lv. because of projects that were completed in 2021. The Agency's draft budget costs are at the rate of 7,5 million. lv. and are almost unchanged from those under the DSBRD for 2021. During the discussion the MPs took part: Vladimir Tabutov, Zhecho Stankov, Rositsa Kirova, Ramadan Atali, Dragomir Stoinev and Ivaylo Mirchev. The Energy Committee approved at first reading the State Budget Bill of the Republic of Bulgaria for 2022 with 11 votes for the year 2022, 2 votes against.
ParlaMint-BG_2022-02-10.u83	Thank you, Mr. Manev. A report came in from the Committee on Regional Policy, Public Works and Local Self-government. Here you go, Mr. Terziysky. To prepare the Committee on Foreign Policy.
ParlaMint-BG_2022-02-10.u84	Dear Mr. Chairman, honourable Members! ♪ I can't believe by the Committee on Regional Policy, Public Works and Local Government on the Draft State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers At a regular meeting held on 8 February 2022, the Committee on Regional Policy, Public Works and Local Self-government discussed a Bill on the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. The Commission's meeting was attended by Grozdan Karadjov, Minister of Regional Development and Public Works, and his team. On behalf of the importers, the bill was presented by Mrs. Zheny Nacheva.
ParlaMint-BG_2022-02-10.u85	Mr. Terziysky, take a breath. Here you are, Mr. Ananiev, continue the report.
ParlaMint-BG_2022-02-10.u86	Thank you, Mr. Chairman. The total subsidy for State activities for 2022 was increased by 556,8 million. BGN, or by 12,9% compared to 2021. The total matching subsidy was increased by 49,6 million. BGN, or 15% compared to 2021. The target subsidy for capital expenditure was increased by 67,2 million. BGN, or 30% compared to 2021 There was an opinion of the National Association of Municipalities in the Republic of Bulgaria, expressed by Mr. Zlatko Zhivkov. Opinions were also expressed against the proposal for amendments to a number of laws in the transitional and final provisions relating to the establishment of the State Registry Agency, proposing that this be done by a separate law. A number of questions were also raised, which were answered by the representatives of the Ministry of Regional Development and Public Works. On the basis of the discussion and as a result of the vote, the Committee on Regional Policy, Public Works and Local Government shall: - without....... 3 votes against..................................................................................................................................................................................................................................................... 1 and 2 shall not be adopted in the first vote; - with 11 votes for the Republic of Bulgaria, 4 votes against the Council of Ministers on the draft of the Supreme Judicial Council of Bulgaria for 2022, No 47-202-01-7, with the opinion of the Council of Ministers on the draft of the Supreme Judicial Council under art. 1 and 2 to be adopted in the first vote.
ParlaMint-BG_2022-02-10.u87	Thank you, Mr. Ananiev, for the efficient reading of the Report. From the Foreign Policy Commission? Following the Report of the Foreign Policy Commission, the European Union Committee on Affairs follows it, the Defence Committee. Here you are, Mrs. Lubenova.
ParlaMint-BG_2022-02-10.u88	Thank you. Dear Mr. Chairman, honourable Members! On 1 February 2022 the Council of Ministers submitted a draft Law No 47-202-01-7 on the state budget of the Republic of Bulgaria for 2022. At a regular meeting held on 2 February 2022, the Committee on Foreign Policy of the National Assembly examined the Draft Law on the State Budget of the Republic of Bulgaria for 2022 in its part for the Ministry of Foreign Affairs. The main parameters in the draft budget for 2022 in its part for the Ministry of Foreign Affairs are the following: own revenues amount to BGN 46 732 300.; costs are BGN 156 278 300.; the subsidy amounts to 109 546 000 BGN. On the basis of the discussion held and the subsequent vote, the Committee on Foreign Policy with 8 votes for the year 2022, 4 votes against the Council of Ministers on 1 February 2022, proposed to the National Assembly to adopt a Draft for the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022.
ParlaMint-BG_2022-02-10.u89	Thank you, Mrs. Lubenova. Report by the Commission on European Union matters. Who's gonna introduce him? Here you go, Mr. Stoinev.
ParlaMint-BG_2022-02-10.u90	Dear Mr. Chairman, honourable Members! ♪ I can't believe on a Draft Law on the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. At its regular meeting, held on 3 February 2022, the European Union Committee examined the Draft Law on the State Budget of the Republic of Bulgaria for 2022. The bill was presented by Mrs. Rositsa Velkova, Deputy Minister of Finance. The meeting was attended by Mrs. Manuela Milosheva, Director of the National Fund Directorate at the Ministry of Finance, and Mr. Ivan Ivanov, Director of the Central Coordination Unit at the Administration of the Council of Ministers. Our country's main financial commitment to membership in the European Union is expressed in the national contribution to the European Union budget. For 2022, it is intended to be 1,683,3 million. lv. This forecast was prepared on the basis of the new European Union legislation for the programming period 2021. It is envisaged that revenues, aids and donations under European Union funds accounts of the State Fund of the European Union, the National Fund and other accounts of European Union funds and funds under other international programmes and contracts subject to the European Union's scheme of accounts shall amount to 5 billion. and 104.3 million. BGN and total costs and transfers amount to 5 billion. and 880.0 million. lv. As a result of the vote held after the discussion, the Committee on European Union Affairs proposed by 8 votes for the Council of Ministers and 5 votes against the National Assembly to adopt the Draft for the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022.
ParlaMint-BG_2022-02-10.u91	Thank you, Mr. Stoinev. A report from the Defence Committee? Who will present the report? Here you are, Mr. Zafirov. Then there is the Internal Security and Public Order Commission, the Commission for Control of the Services, the Commission for Agriculture, Food and Forestry.
ParlaMint-BG_2022-02-10.u92	Dear Mr. Chairman! ♪ I can't believe on the State Budget Bill of the Republic of Bulgaria, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. At a meeting held on 8 February 2022, the Defence Committee examined that draft. Minister Stefan Yanev, Deputy Minister Ralitsa Simeonova, Chief of Defence Emil Eftimov, Anton Lastardzhiev, Permanent Secretary, Angel Marinov, Director of Planning, Programming and Budget, Rumyana Stanimirova, Director of Public Relations and Protocol and Hristo Yordanov, Parliamentary Secretary attended the meeting. The Ministry of Finance participated Iliana Vladova, Head of Department at the Department of State Expenditure and Marusya Grbacheva, State Expert in the same Directorate. The bill and the reasons for it were presented by Minister Stefan Yanev, who outlined the main frameworks and structure of the budget of the Ministry of Defence. The parameters of the draft budget 2022 are in line with the fiscal rules and restrictions laid down in the Public Finance Act, taking into account the effects of the provisional measures in exceptional circumstances associated with the CoVID-19 pandemic. Means of maintaining and developing national defence capabilities and capabilities related to collective defence are provided. Defence expenditure for 2022 amounts to 1.73% of gross domestic product, which is 0.03% more than the reference rate, reaching up to 2% of GDP in 2024, which implements the National Defence Expenditure Increase Plan to 2 percent of the GDP of the Republic of Bulgaria by 2024 and commitments made to NATO. Funds are provided for 2022 to re-arm and modernize the three types of armed forces and increase the defense capabilities of the Bulgarian Army under the Joint Management Agreement of the Republic of Bulgaria in the period 2021. The planned expenditure under the draft budget of the Ministry of Defence for 2022 amounts to 1882,4 million. BGN, including 1 billion. The Commission therefore concludes that the measures in question are compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. lv. The amount of assigned revenue The planned increase in expenditure compared to the State Budget Act of the Republic of Bulgaria for 2021 amounted to 257.3 million. BGN of which: Increase in staff costs by 18 316,3 thousand. lv.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • An increase in maintenance costs by 52,0 million lv.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • Capital expenditure increase by 187,0 million lv. for the acquisition of a multifunctional modular patrol vessel for the Navy, at the expense of the reduction of the expenditure allocated to this purpose under the central budget. After the discussion was concluded, a vote was held in which, with 8 votes for the Republic of Bulgaria, 4 votes against the Republic of Bulgaria, and 3 votes abstentioned, proposed to the National Assembly that the State Budget Bill of the Republic of Bulgaria, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022.
ParlaMint-BG_2022-02-10.u93	Thank you, Mr. Zafirov. Internal Security and Public Order Committee. Here you are, Mr. Atanasov.
ParlaMint-BG_2022-02-10.u94	Thank you, Mr. Chairman. Ladies and gentlemen! ♪ I can't believe for the first vote on the State Budget Bill of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. At an extraordinary meeting held on 4 February 2022, the Internal Security and Public Order Committee examined and discussed a Draft Draft for the State Budget of the Republic of Bulgaria for 2022, submitted by the Council of Ministers on 1 February 2022. The meeting was attended by the Ministry of Interior: Mr. Stoyan Temelachiev Also attended were representatives of the trade unions of the Ministry of Interior, namely: Mr. Hristo Hristov, Chairman of the National Union of Civil Administration in the Ministry of Interior............................................................................................................................................................................................................................................ The bill was presented by Deputy Minister Stoyan Temelakiev. The draft budget provides a total cost for the Ministry of Interior of 2 060 180,0 thousand. BGN, which was increased by 109 906.6 thousand. lv. above the approved by the Ministry with the State Budget Act of the Republic of Bulgaria last 2021. Of the planned current expenditure on the draft budget of the Ministry of Interior for 2022 It is important to stress that 1 815 981.0 thousand are provided. lv. for staff over 90% of the total budget expenditure of the Ministry of Interior. One supplement. of 1 April 2022 is intended to increase the amount of additional remuneration for nocturnal work, as of 1 BGN. an hour becomes BGN 1.07. The determined capital costs for 2022 amounted to 29,785.0 thousand. lv. From the data presented, it can be summarised that there is an increase in the estimated expenditure in all internal security and public policy. With regard to the Commission's budget for the disclosure of documents and for the declaration of belonging of Bulgarian citizens to the State Security and intelligence services, the State Agency of State Reserves and Wartime Stocks was also satisfied with the planned costs for this year. I would like to emphasise that in my opinion on the Bill, which was expressed by the representatives of the professional organizations in the Ministry of Interior, dissatisfaction was expressed, noting that there was no increase in the remuneration of the employees in the Ministry of Interior. As regards the Commission for the Protection of Personal Data, the State Budget Bill of the Republic of Bulgaria for 2022 provides for revenue of 700,0 thousand. lv. and costs of 3,732,7 thousand. BGN 2,688,8 thousand. BGN, with the maximum amount of commitments for expenditure that can be borne and accumulated in 2022, is 1 028.9 thousand. lv. Mr Tsanko Tsova said that the planned budget would be sufficient for the Commission's needs. Mr. Hristov from the trade union also stressed the need for an increase in remuneration for the employees of the Ministry of Interior, stressing that it is unacceptable to increase only the minimum wage without affecting the salaries of the employees of the executive staff. A statement on the proposed budget was expressed by the MPs Hristo Terziyski, Ahmed Ahmedov, Nikolay Radulov. The President of the Commission Mr. Atanasov voiced support for the First Voting Bill, including some of its weaknesses, such as insufficient funds for capital expenditure, which reflects both the working conditions of the Ministry of Interior and the technological security in their work. He noted that there was a chronic problem of under-financing of the sector. Express an opinion that proposals on the draft budget for 2022 will need to be made between first and second readings. After the discussion was closed, a vote was taken on the following results: Under the Law on the State Budget of the Republic of Bulgaria for 2022, submitted together with the Project of the Supreme Judicial Council: no................................................................................................................................................................................................................................................ Under the Law on the State Budget of the Republic of Bulgaria for 2022 with the opinion of the Council of Ministers under art. 1, para. 2, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022:..................................................................................................................................................................................................................................................... On the basis of the discussion and the vote on the above results, the Internal Security and Public Order Committee proposes to the National Assembly to adopt a Draft Draft for the State Budget of the Republic of Bulgaria for 2022 by the opinion of the Council of Ministers under art. 1, para. 2, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022.
ParlaMint-BG_2022-02-10.u95	Thank you, Mr. Atanasov. By the Security Services Control Commission, the application and use of special intelligence means and access to data under the Electronic Communications Act? Here you are, Mr. Ikonomov, you have the floor.
ParlaMint-BG_2022-02-10.u96	Thank you, Mr. Chairman. Summary of: ♪ I can't believe on a Draft Law on the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. At a meeting held on 3 February 2022, the Commission examined the Draft Law on the State Budget of the Republic of Bulgaria for 2022 and the updated medium-term budget forecast for the period 2022 and 2024, in particular security policy. The meeting was attended by the heads of the Security Office and the Ministry of Finance, who briefed the Commission on the specific costs and indicators. They expressed their support for the draft law. During the discussion, the MPs discussed issues on the estimates made by the Ministry of Finance and Security and agreed on the opinion on the need for a future increase in budget expenditure indicators for staff and maintenance. MPs from GERB-SDS parliamentary group said they would not support the submitted bill. As a result of the discussion held and the subsequent vote, the Commission with 7 votes for the year 2022, 6 votes against the Council of Ministers on 1 February 2022, proposed to the National Assembly to adopt a Draft for the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022.
ParlaMint-BG_2022-02-10.u97	Thank you, Mr. Butler. Following is a report from the Committee on Agriculture, Food and Forestry. Who will present the report, colleagues? Here you go, Mr. Abrovsky.
ParlaMint-BG_2022-02-10.u98	♪ I can't believe for the first vote on the State Budget Bill of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. The Committee on Agriculture, Food and Forestry held a meeting on 2 February 2022 discussing the quoted bill. The meeting of the Ministry of Agriculture was attended by Dr. Ivanov, Minister of Agriculture, Elena Ivanova, Director of the Directorate of Rural Development, Adelina Stoyanova, Director of the Directorate of Direct Payments, Desislava Stoyanova, Director of the Directorate of Finance and Property Management, Dora Nenova, Director of the Directorate of State Aids and Regulations. From the State Fund...... Boris From the Bulgarian Food Safety Agency, Dr. Angel Mavrovski, Deputy Executive Director. Deputy Minister, Petar Kirov and Nikolina Apostolova State experts at the Department of State Expenditure. Svetla Vasileva also attended the Chairman of the Federation of Independent Trade Unions of Agriculture at the CSTB, and Vera Staevska, Chairman of the Board of Research Practices Association. The main parameters of the bill in the part of agriculture are as follows: According to the draft budget of the Ministry of Agriculture for 2022, the estimated revenue amounts to around 93.6 million. lv. The proposed cost ceiling is 153,4 million. BGN, of which: for staff around 80,4 million BGN, for capital expenditure.......................................................................................................... lv. The budgetary relations with the central budget amount to 97,7 million. lv. About 32.3 million are provided for the Agricultural Academy. lv. According to policy areas and budgetary programmes, these funds are: for BGN, for............................................................................................................................................................................................................................................................. BGN, for the preservation and increase of forests and vegetarians...................................................................................................................................................................................................................................................... BGN, and The maximum amount of the commitments for costs that can be borne is 73,1 million. BGN and the maximum amount of the new liabilities - 72,1 million lv. In the framework of the current costs of the public service to protect against the harmful effects of the water entrusted to the Irrigation Systems, the EAD has established 29,3 million. lv. In accordance with the draft budget of the Directorate-General for Agriculture and Rural Development for 2022, the planned revenue amounts to 3,0 million. lv. The expenditure ceiling of the fund is around 521.2 million. BGN, of which for subsidies and other current transfers to non-financial corporations BGN 10 million for capital expenditure. lv. The budgetary relations with the central budget amount to 558.2 million. lv. According to policy areas and budgetary programmes, these funds are: for lv.; for.................................................................................................... BGN, and for?........................................................................................................................................................................................................................................................... lv. The maximum amount of the commitments for costs that can be borne is 476.4 million. BGN, the maximum amount of the new liabilities - 475,4 million lv. The Draft Budget of the Council of Ministers provides 29.7 million. lv. for policy in the area of forest conservation and increase, and for the budget programme.Safety on the food chain.................................................................................................................................................................................................................................................. lv. The common agricultural policy for 2022 under the single area payment scheme for direct payments is intended to make use of 1 607,4 million. lv. European funds. In order to finance market measures, the total budget is 117,9 million. BGN, of which 37,8 million lv. European funding. The second pillar of the common agricultural policy for rural development provides for 1 064.8 million. BGN, of which 877.5 million lv. European funds and 187,3 million lv. national co-financing and advance payments. The total fishing policy for 2022 amounts to 44,3 million. BGN, of which 35.0 million lv. European funding and 9.3 million lv. National co-financing and advance payments. An extension of the period for the application of the tax preference for a reduced excise duty rate on gas oil used in primary agricultural production is proposed and 100 million are set for this purpose. lv. The VAT reverse charge mechanism for the supply of cereals and technical crops will apply until 30 June 2022. The State Fund will continue to make payments for the financing of VAT costs to municipalities under projects approved for support under the various programmes. It is planned from 1 April 2022 the minimum insurance income for farmers and tobacco producers to increase from 420 BGN. £710. The Ministry of Agriculture noted that an additional 160.3 million were planned under agriculture policy. BGN 7,0 million lv. To compensate for 100% damage due to natural disasters, 12,0 million lv. for pig farmers for animal welfare and animal immunoprophylaxis costs, 8.5 million lv. The Commission therefore concludes that the aid is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. lv. State aid to the holders affected by the pandemic, 11.0 million lv. for transitional national aid to sheep mothers and goats, 8.3 million lv. to protect against the harmful effects of water and urban protection and 2,0 million lv. improving the quality of the control functions of the Forest Executive Agency (IAG) and the Bulgarian Food Safety Agency (BABCH). As regards the budgetary framework of the Bulgarian Food Safety Agency, the Forestry Executive Agency and the Executive Agency, the European Agricultural Fund Fund Certification Audit, pointed out that it is identical to the one foreseen for 2021. The three structures will be moved with their entire state and with the corresponding co-financing under European programmes under which they are beneficiaries. No increase in the salaries of the employees of the two agencies is envisaged. The Federation of Independent Trade Unions of Agriculture insists on a 20% increase in wages in secondary officers with a budget, including the Bulgarian Food Safety Agency, regardless of its place, and 15% in salaries at the Agricultural Academy. The main accents of the subsequent discussion can be systematized as follows: GERB-SDS parliamentary group said they would not support the bill and agreed to the proposal for a reduced VAT rate for fruits and vegetables. There are such people who said they would support the bill, but noted that the transfer of the budgets to BABBH and IAG before the discussion of the structural reform in them was started is contrary to art. 172 of the Public Finance Act. They also noted that the transitional and concluding provisions proposed structural changes which are irrelevant to the implementation of the budget. In this sense, the bill contradicts art. 81 of the same law, according to which, with the State Budget Bill, the Council of Ministers may propose amendments and additions to other laws only when they are related to the compilation, implementation and reporting of the consolidated fiscal programme. In this regard, they have expressed their intention between the first and second votes to make appropriate proposals for changes. They also indicated that they would submit a proposal to reduce the VAT rate for fruit and vegetables by 9 percent and would insist on an increase in staff funds so that both agencies' salaries would be increased to the eligible amount. From the BSP for Bulgaria and Bulgaria, support was required for registered rose producers who are not registered as farmers. Out of all the parliamentary groups, action was required, including if necessary, to initiate a change in European legislation, to extend the period within which the VAT reverse charge mechanism will be applied for the supply of cereals and technical crops after 30 June 2022. They also insisted on extending the tax relief for the transfer of corporate tax under art. 189b of the Corporate Income Tax Act. Out of all the parliamentary groups, the disproportionate increase in the minimum social and financial and economic income of farmers has been declared against, arguing both social and financial and economic arguments. They expressed their readiness between the first and second readings of the Bill to submit the relevant proposals and called, if the increase is adopted, for a mechanism to compensate the incomes of the farmers concerned to be established. Following the discussion the Committee on Agriculture, Food and Forestry: - without a vote on the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022, including a draft of the Supreme Judicial Council under art. Art. 1 and Art. 1 OJ L 268, 18.10.2003, p. 29. - with 10 votes for the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022, with the opinion of the Council of Ministers under art. Art. 1 and Art. 1 2.
ParlaMint-BG_2022-02-10.u99	Thank you, Mr. Abrovsky. Following is the report from the Committee on Labour, Social and Demographic Policy. Here you go, Mr. Lozev. Colleagues, I call again on you to present these reports in a summary. After all, they are uploaded to the National Assembly website.
ParlaMint-BG_2022-02-10.u100	Mr. Chairman, ladies and gentlemen of the House! The Labour, Social and Demographic Policy Committee presents to the National Assembly a report in summary on the State Budget Bill of the Republic of Bulgaria, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. The Labour, Social and Demographic Policy Committee at its extraordinary meeting held on 4 February 2022 discussed and discussed the State Budget Bill of the Republic of Bulgaria for 2022. The meeting was attended by the Ministry of Finance: Rositsa Velkova Deputy Minister, Rositsa Spasova Head of Department at the Department of State Expenditure and Social Policy: Lazar Lazarov Deputy Minister, and Kalina Petkova Director of Labour Law, Social Security and Working Conditions. With its opinion, the Fiscal Council agreed the draft Law on the State Budget of the Republic of Bulgaria for 2022. There was also an opinion from the Bulgarian Chamber of Commerce and Industry and the Confederation of Employers and Industrialists in Bulgaria, in which they do not support the increase of minimum wage and maximum insurance income. The Association of Industrial Capital in Bulgaria reserves the medium-term budget forecast, supported in advance and with recommendations The draft law on the state budget for 2022. The Union for Economic Initiative has expressed reservations about the increase of the following parameters: maximum social security income and minimum social security income for farmers. The Confederation of Independent Trade Unions in Bulgaria appreciates the macroeconomic picture as objective. KT "Support" supports the increase of the minimum wage and social policy measures. The Ombudsman of the Republic of Bulgaria raised two questions about those entitled to financial support under art. 70 of the Law on people with disabilities and on how to determine the amount of tax benefits under art. 18 of the Law on Income Taxes of Individuals. MPs from GERB's parliamentary group expressed their opinion that the State Budget Bill does not have an annual horizon. The MPs of the DPS parliamentary group expressed an opinion that the 3 billion should be added to the deficit. lv. In dialling accounts, the total deficit is increased to 7 billion. lv. It's not the size of the debt that's worrying, it's the rate of its growth. During the discussion The draft was supported by the MPs from the parliamentary groups of "We are continuing the change" "BSP for Bulgaria", "Democratic Bulgaria" and "There is such a people." Upon conclusion of the discussion, the following results shall be voted on: Under the Law on the State Budget of the Republic of Bulgaria for 2022 included a draft of the Supreme Judicial Council under art. 1 and 2:............................ 3 votes................................................................................................................................................................................................................................ Under the Law on the State Budget of the Republic of Bulgaria for 2022 with the opinion of the Council of Ministers under art. 1 and 2:................................ 12 votes......................................................................... 6 The Committee on Labour, Social and Demographic Policy adopted the following opinion: He proposed to the National Assembly to adopt a Draft Draft for the State Budget of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022, with the opinion of the Council of Ministers under art. 1 and 2. "Thank you.
ParlaMint-BG_2022-02-10.u101	Thank you, Mr. Lozev. A report from the Committee on Education and Science. Here you go. Following are the Committee on Children, Youth and Sports, the Committee on Health and the Committee on Environment and Water.
