ParlaMint-NL_2017-05-16-eerstekamer-7.u1	I would like to welcome the Secretary of State for Economic Affairs to the First Chamber.
ParlaMint-NL_2017-05-16-eerstekamer-7.u41	I hope that it will be possible to give policy a slightly different shape in the future than more of the same from the past. This has been very successful in economic terms and production terms. What a Dutch cow produces in milk almost borders the perverse: more than ten liters a day. You can hardly imagine what that means, compared to the historical image of the cow, where the cow comes from and how many liters were produced at that time. I do not have the opportunity at the moment to say much about it, other than to encourage it and hope that it will go in that direction and, unlike my disappointment, that we do not yet see the connection made in the notes, which is also advocated in the context of thinking about sustainable livestock farming, in the policy of the Secretary of State.
ParlaMint-NL_2017-05-16-eerstekamer-7.u42	I would like to continue with Mr Schnabel on the marketability of these rights. What he says is very nice, of course, that we want the cow in the meadow and the like. If you make phosphate rights negotiable, they can of course end up with the highest bidder. That's obvious. How would he feel about giving this priority, as it were, to farmers who contribute to the objectives we set ourselves, namely cow in pasture, sustainability, organic and so on?
ParlaMint-NL_2017-05-16-eerstekamer-7.u43	I find the thought itself very sympathetic, given the purpose. However, I understand from the explanations we have received in the previous round of questions and in previous consultations that it is very difficult, legally, also in view of European regulations, to organise things in this way from the government. I heard a very important statement from the Rabobank at the expert meeting. He said: of course we are going to finance those phosphate rights, but we are thinking of doing it in such a way that it does not go sky high by saying that it will have to be repaid in five or ten years at the latest. I asked the Secretary of State about that at the time. Of course, he thinks that it is up to the banks and the farmers to discuss this. I think this is a method of ensuring that the additional burden that can be assumed does not mean that the amount of duty, which is probably relatively small, will be available in the first instance, when it comes to the phosphate right system... It's not distributed from the bank. It flows back to the bank at some point, initially in small quantities. The question is how it will proceed and how it will be divided. There are some vague clues. Perhaps you should ask the Secretary of State if he can tell us more about this, Mrs Meijer. They are again of those things that are too little worked out in the pieces as far as I am concerned to be clear enough. The question is, what exactly are you supposed to imagine? How's that gonna work? So I don't think I can make you very happy with that.
ParlaMint-NL_2017-05-16-eerstekamer-7.u44	The profitability or solvency of a company does not, of course, mean anything about the way in which it operates.
ParlaMint-NL_2017-05-16-eerstekamer-7.u45	Well, back to reasoning, of course. If things don't go well, then by definition, business management is also not good.
ParlaMint-NL_2017-05-16-eerstekamer-7.u46	I am quite prepared to ask the Secretary of State to set such a system of non-negotiable rights aside for us in a moment. I hope you will support me, Mr Schnabel. Can I count on that?
ParlaMint-NL_2017-05-16-eerstekamer-7.u47	I can feel a motion coming. I'm just as careful with that, if you don't mind. I'm gonna have to think about it, too. I assume the Secretary of State has heard all this and that he can light us up that little tip of his veil that's a bit of a weird image of this or a hint of that veil for us. Finally, I would like to make a plea for a link with the revision that is now needed. We are, of course, faced with a choice between two evils. You actually have no choice but to go along with this, because not going along probably has very nasty consequences for Dutch livestock farming and therefore also for the Dutch economy. However, we also want to see issues such as sustainability, animal welfare and quality in policy taking on more shape, much more than is currently the case. I do think that the disappearance of the milk quota and its failure to respond to it have made it clear that the market really needs a market leader and the sector needs a director. It really needs to be able to do more than correct what went wrong. This is, after all, an ex-post intervention on developments which should have been anticipated in advance and which should not have been facilitated. I am well aware that the times of a dairy production are over. However, the tasks involved are not really for this sector. That may well be seen, I added this this morning as a point of attention in the second run-up to a coalition agreement.
ParlaMint-NL_2017-05-16-eerstekamer-7.u48	Mr. Chairman. In the eighties of the last century I worked at a primary school in Berkenwoude, a village in the Krimpenerwaard. In my class, there were peasants' children. They were shocked because a milk quota was introduced. In that small community, this was very profound. One farmer after another hung the harp on the willows. However far-reaching, 30 years later, the milk quota had become the status quo. Everyone knew what he was up to. You could invest for more quota or you had some kind of pension when you sold your quota. Until the milk quotas were released on 1 April 2015, i.e. retirement away or apple for the thirst away.
ParlaMint-NL_2017-05-16-eerstekamer-7.u49	I think it's good to make three sounds in a few sentences. It was a great sadness when the quota arrived, then it is a blessing that it is there and then it is a sadness that the quotas disappear. If you look back on the situation, are you for or against that dairy quote?
ParlaMint-NL_2017-05-16-eerstekamer-7.u50	Indeed, in three sentences I have sketched that changing position. When it got there, I was a schoolmaster. I looked at it with surprised eyes and thought: of course you shouldn't want to. Once it existed for 20 or 30 years, the farmers didn't know better if it was. The question is not, therefore, whether my position has changed completely. The status quo, as I called it, was that everyone knew where he was going. When that was suddenly lifted, at least my group was not in favour of it, as you know.
ParlaMint-NL_2017-05-16-eerstekamer-7.u51	Fine. Then I know how you stand in it. In retrospect, it was a nice system. Would that perhaps be possible to anticipate a little bit of your argument, which also applies to phosphate rights, that you first become a bit wild and later think that it is useful?
ParlaMint-NL_2017-05-16-eerstekamer-7.u52	It may well be that at some point, after 20 or 30 years, it can be said: I do not know if it was useful, but the status quo clearly indicates the position. That is what I meant to say rather than that the milk quota was a good idea or a bad idea. I'm trying to say more that after 30 years, at least there was a status quo where people could get away with it. In fact, they had to. We will undoubtedly see this in the future, if the phosphate system continues, in the case of farmers affected by it. In any case, for a lot of farmers, the moment when milk quotas were abolished was the signal that there was again room to grow livestock for the future without investment in quotas. Then, of course, we think mainly of family farms where the desire of several children was to go farmers. Now it was even encouraged to invest in stables, in milking systems or in land. It was foreseen that milk production would grow, hoping that the phosphate ceiling would not be exceeded. It was impossible for individual farmers to deal with this because they cannot have any idea of the whole. The moment the milk quotas were released, it was for them to choose the future. However, that idylle was brutally disturbed when Secretary of State Dijksma announced on 2 July 2015 a new ceiling: phosphate rights. For a lot of farmers a slap. Whatever choice a farmer made, cut or grow, every farmer was in the ship. If you actually wanted to stop or go on quietly, your piggy bank was taken away from milk quotas. If you wanted to grow, your investment was destroyed. Does the Secretary of State share this analysis? Then I haven't talked about the procedure yet. When the button was converted on 2 July 2015, there was not even a legislative proposal. There wasn't after a few months and not even after a year. Subsequently, the bill was not able to apply for 2017 due to miscommunications with Brussels, and a reduction plan had to be drawn up, a plan which is still being continually amended. Brussels and the Nitrates Committee particularly blame the Netherlands for the fact that phosphate in surface water is still a major problem, but this is still about the Nitrates Directive, which, in its provision, is limited to nitrate? Because nitrate is difficult to measure, the whole is now suspended from phosphate. It's a lot easier to measure. But the goal is first of all to improve water quality, isn't it? In this context, the scope of the derogation is not a problem. Without a derogation, there is a risk that farms will convert grassland into the much more prone maize land. Water quality therefore does not require production ceilings or production rights under the derogation. It is perhaps a different story when it comes to the manure market and water quality in general, but then the production ceilings do not belong in the derogation decision but in the action programme. Summary: Is the derogation a danger? No, on the contrary. However, it is under discussion. Can you direct a phosphate ceiling and phosphate rights directly to water quality? No. Yet this is the talk of the day and gives businesses the biggest problems. My group would like to see the problem addressed at source. Why is the Secretary of State not committed to a reform of the action programme for 2018 with a much more area-oriented approach, possibly production ceilings and also a derogation? The production ceilings will then be integrated into the action programme and will no longer be available separately. Moreover, the derogation will then receive the substantive assessment it deserves. As far as phosphate rights are concerned, the First Chamber must consider legality, feasibility and enforcement. In the opinion of the Group of the European People's Party (Christian Democrats) and European Democrats, legality is still far from being achieved. I would like to point that out on the basis of two points. First of all, this is the choice for a single reference date, July 2, 2015. This snapshot has very profound consequences and does not do justice to the desired representative distribution of rights. Think of companies that for some reason had to do with disease or renovation and therefore had fewer cattle. Or think of companies that spend a number of months in the summer and now have no rights at all. Why did they choose that one date? Is it not much fairer and more representative to take a period or to choose a number of reference dates, divided over the year? Why, for example, could it have been during the introduction of pig rights and suddenly not now? The Secretary of State states that companies that have traded young cattle must make arrangements with the companies that have been granted these young cattle rights. Does the Secretary of State really think it can be arranged so easily? Isn't it the responsibility of the government to regulate this? The second point is the problem regulation. It is now limited to farms where on 2 July 2015 there were demonstrably fewer dairy cows, including as a result of farmer's disease, an animal disease or a few other cases, which will therefore only be partially compensated. It is very good in itself that this has been taken into account, but is that enough? After all, there is an important group of companies to which this scheme does not apply. These are, on the contrary, progressive farmers who want to carry on with their business, have made irreversible investments in, for example, new stables and now have the stables empty. They have irreversible financial obligations, which are now hanging around the neck like a millstone. Is that fair? After all, this is an excessive burden. Under European law, Article 1, First Protocol, is the Secretary of State still obliged to prevent or compensate for this? In this context, I would also refer to the court's recent ruling on the phosphate reduction scheme, which has a similar problem regime. What possibility does the government now see of meeting this group? Wasn't the bottleneck scheme set up by the Restructuring Law for pig farming not much wider at the time? Why is this being done differently now? Can the target date be filled in more broadly, not only by looking at how many cattle there was on 2 July 2015, but also what irreversible financial obligations there are that can be identified as having to do with the supposed space? There will be an advisory committee, but what willingness is there to really do something about it? Does the Secretary of State really want to broaden the bottleneck regime? And if so, at what time? Can the 2017 regime also be adapted to this? Is it going to be July 1st, or is that impossible? How do we prevent us from agreeing to the law now when we do not know how a large number of farmers are affected? In short, I would very much like a detailed explanation from the Secretary of State on this very point. Then there are the feasibility and enforcement. I'm gonna take a look at the phosphate chamber. Why isn't the Secretary of State looking for more phosphate? The phosphate ceiling is a generic arrangement. This now applies to the total phosphate production in the Netherlands over the width of the livestock, divided between dairy farming, pig farming, the poultry sector and the other sectors. Does the Secretary of State now or in the future see opportunities to move between themselves or to allow for buying-in arrangements between the different sectors? In the other sectors, phosphate production has fallen by 3 million kilos since 2002. Would the Secretary of State like to use this space for dairy farming? Farmers have also invested a lot in converting cow manure into phosphate grains. These grains are exported to countries where there is a significant lack of phosphate. So that exported phosphate does not end up in our surface water at all. Then why does it still have to be taken into account in total phosphate production? Is it not reasonable and realistic to negotiate in Brussels that only phosphate used in the Netherlands is included in the phosphate ceiling? In the Netherlands, this means a solution to the huge problem of healthy cattle slaughter and prevents them from getting into trouble. Does the Secretary of State also refer to the non-counting of this export for the phosphate ceiling for the Sixth Nuclear Action Programme? There is one more point that my group has put in its throat. This concerns in particular the 10% reduction in the sale of phosphate rights outside the family. That is actually a form of expropriation, because every sale takes away part of the rights. It already starts with a generic discount of perhaps 10% on the amount of phosphate at the measuring date. The generic discount and the transfer discount represent at least the regulation of property rights within the meaning of Article 1, First Protocol ECHR. The support of proportionality and proportionality is passed on to the General Measure of Governance. You can't just do that, can you? The Council of State also criticises this point. According to Article 1, which I mentioned earlier, regulation of property is only justified if there is a general interest and if there is a fair balance between the requirements of the general interest and the protection of the fundamental rights of the individual. This is where things go wrong. Is a generic discount justified if the government does not make a serious effort to create more phosphate space? And is a 10% skim on transfer justified if phosphate production is already below the phosphate ceiling at the start of the law? Maybe this is the crux for my group. A phosphate ceiling is so far, but at least ensure that there is a large bottleneck control and more phosphate space. In this respect, I am very curious about the government's position. I would therefore like to hear the answer from the Secretary of State.
ParlaMint-NL_2017-05-16-eerstekamer-7.u53	Mr. Chairman. The next item is the debate on two laws, one of which has a significant impact on dairy farming in the Netherlands. I would like to say a few words about the law on land-based growth in dairy farming: this law has the full support of my group. The law contains little more than converting an AMvB into a regular law. This conversion was already promised by the Secretary of State at the request of the Supreme Court at the time of the examination of the AMvB. There is a correction here on state-law grounds. I would like to stress that it is important that AMvBs do not have the character of a regular law and then pass laws into framework laws that regulate little more content. The VVD Group assumes that the present transformation is a reflection of the bending of the above trend. I come to the amendment of the Fertilisers Act. It is a question of introducing a system of phosphate rights, a system which should restrict manure production in the dairy sector. In fact, this system quotes the number of dairy cows. Fortunately, not per farm or per hectare; the marketability of the primary sector maintains the dynamics. That is a good thing, but I will come back to that. All this is contained in a number of general considerations relating to this system and the reasons for it. In the written round, the VVD Group had already expressed its support for the legislative amendment proposal. Such a system, following the abolition of the dairy quota system and the subsequent growth of the dairy herd, is currently the only manageable route to achieve balance in the production and use of manure in this sector. It is inevitable that, because of a balanced manure balance, the dairy herd should be reduced. In any case, the derogation must be safeguarded. The financial consequences of their disappearance are far too great. The VVD Group is confident that the Dutch Government will continue to convince the European Commission of this track. The production area that creates the derogation is justified, given the productivity of fodder growing in the Netherlands. This productivity allows for a larger manure dose. The point of this should not be too cynical by gloomy ecologists or politicians. A large organic fertilization corresponds to another urgency, one for the longer term. The key to productive and sustainable agriculture is good soil fertility, a good ratio of air, water and organic matter in a soil of sand and clay. Soil fertility is under pressure. The fight against this bottleneck again requires a large administration of organic material, including animal manure. It should be avoided that animal manure is unnecessarily replaced by fertilizer, an alternative that ensures the nutrient yield, but at the expense of soil fertility in the broad sense. I would like to hear a comment from the Secretary of State on this. The phosphate rights system is, as it were, imposed on the sector by abolishing the dairy quota system. Many, including dairy farmers, considered this to be a liberation, namely the disappearance of a bureaucratic and cost-increasing system in favour of free market forces. Personally, I haven't experienced this. Quoting regulated balance on the dairy market. Opponents of this system forgot that liberation could lead to an attack on the environmental boundary conditions in which Dutch livestock farming must operate. The rapid expansion of the dairy herd has made it clear that these conditions have become tense. Now the number of dairy cows should not be overdramatic. This figure is still considerably lower than that at the time of the introduction of the quota. This is largely due to the increase in productivity of Dutch dairy cows. The number of animals is expected to decrease further. The quality of surface and ground water needs to be improved. This isn't a discussion. The sharp standards must be met. But this too should not be done too dramatically. Water quality has improved considerably in recent decades. This does not alter the fact that more is needed and that the agricultural sector must contribute to this. As has already been said, the system of phosphate rights is now the most appropriate instrument for this purpose. This is recognised by the whole sector, as is apparent from the agreement concluded for this purpose and hence from the cooperation of all sectors in this sector. This does not alter the fact that the bureaucratic squeeze in which the agricultural sector is caught is being re-enforced. In this sense, the system of phosphate rights also gives thought. The VVD Group welcomes the fact that, in the broadest sense, the sector has taken up the challenge of reducing livestock and translated it into an agreement that also adds funding to it. The more self-regulation within the sector, the better. The agricultural sector appears to be well organised and shows resilience. This raises a question for the Secretary of State. Why did he not confine himself to a general statement on a part of this, the phosphate reduction plan, but endorsed this plan by a ministerial arrangement?
ParlaMint-NL_2017-05-16-eerstekamer-7.u54	I hear Mr Schaap praises self-regulation. Now it was said in agricultural circles that the phosphate ceiling would certainly not be broken. Self-regulation would prevent that. How does Mr Schaap see that? That's a bit of a slip. Is there an explanation for that?
ParlaMint-NL_2017-05-16-eerstekamer-7.u55	That explanation is pretty simple. Individual farmers have drawn up their own plans and have invested well for all kinds of reasons. You can find all kinds of things, but it has led to the sum of the whole not being convenient. I would just like to point out that at that time, the industry, including industry, joined forces and also came up with the proposal to reduce livestock. I welcome that. So let us say that the capacity for correction in this sector appears to be quite considerable.
ParlaMint-NL_2017-05-16-eerstekamer-7.u56	I don't understand the word "appears" here. Because the sum of all this individual excessive growth has caused the phosphate ceiling to be broken, while the sector said: let it be left to our self-regulation; it is not going to happen.
ParlaMint-NL_2017-05-16-eerstekamer-7.u57	Then the sector was able to come up with a proposal for a correction itself. So that proves that self-regulation works.
ParlaMint-NL_2017-05-16-eerstekamer-7.u58	Mr Koffeman, finally on this point.
ParlaMint-NL_2017-05-16-eerstekamer-7.u59	I don't quite understand. Shouldn't self-regulation have a preventive effect? Surely it is not true that when things get out of hand, you can say: 'here is a proposal to reduce it a little bit, and that is why self-regulation works fantastic'? That's a curious idea, isn't it?
ParlaMint-NL_2017-05-16-eerstekamer-7.u60	Sometimes things go wrong in life. If you can intervene in that, you testify to the ability to control yourself. That's what happened here.
ParlaMint-NL_2017-05-16-eerstekamer-7.u61	Mr Schaap talks about a well-organised sector and says that the scheme will lead to a lot of dynamism in the sector. If he has received as many e-mails as I have, he has to draw the conclusion that quite a few farmers have a very different view of that. There are quite a few specific parts within the sector that say that the sector is locked up and all these representative organisations are not speaking on our behalf. How does Mr. Schaap indicate that?
ParlaMint-NL_2017-05-16-eerstekamer-7.u62	I have hardly heard the latter, but there are a large number of problems as a result of the implementation of the regulation. I think it's obvious that they're looking for their rights.
ParlaMint-NL_2017-05-16-eerstekamer-7.u63	My question was about that part of the sector that is locked up because of the marketability of the rights, which will only be used by companies with high-production cows. You speak of great dynamism, but only part of the sector will be dynamic. The rest can no longer buy the rights, because they are far too expensive for all those species that you have also seen in the mail.
ParlaMint-NL_2017-05-16-eerstekamer-7.u64	If the rights were granted per company, the sector would only have been properly locked up, because then all the dynamism, every opportunity to develop, take out or at least become dependent on government regulation. It is precisely because of marketability that this was the case with the dairy quota that companies can develop.
ParlaMint-NL_2017-05-16-eerstekamer-7.u65	What do you think of the fact that within the sector plan the sector has not been prepared to exclude from this system organic farms which are legally sealed under the European regulations and which in fact do not contribute to this problem, because they produce less than 170 kilograms of nitrogen per hectare?
ParlaMint-NL_2017-05-16-eerstekamer-7.u66	The principle that the whole sector has been responsible for total phosphate production in the Netherlands has been chosen, so that a solution has to be found together. Exception to this is the obvious problem. That is what the discussion is about. I just heard a few times say that organic farming should be helped in the saddle. Be careful not to let this sector grow too fast, because that immediately leads to a price drop, which is the end of business. This is a small, very slowly developing market, which requires much higher prices for end products. You have to deal with that extremely carefully, so that you don't disturb the market. This can easily be done by oversupply.
ParlaMint-NL_2017-05-16-eerstekamer-7.u67	However, we are now talking about the arrangement that the sector has jointly agreed on. I find it strange that part of the farms, which you know have not contributed to the transfer of the 170 kilograms per hectare standard, think they should participate as well as the rest. I find it strange that the sector has not been prepared to look at who is mainly responsible and who is less responsible.
ParlaMint-NL_2017-05-16-eerstekamer-7.u68	The sector itself has made a choice on the basis of a certain principle. This approach has been taken up by the Empire in the scheme. In other words, it is not only "they" but also "we."
ParlaMint-NL_2017-05-16-eerstekamer-7.u69	Mr Schaap pointed out that the troubles had to go to court if necessary. They may or may not be satisfied there. But how does he suggest the solution, suggested by the Secretary of State, that the committee does not have any room to invest extra, because it has to do with the space now available? Then the pain is divided among everyone else.
ParlaMint-NL_2017-05-16-eerstekamer-7.u70	The national ceiling has been set on the basis of the space provided by the environmental and water directives. Then it comes to division. The less trouble you get, the easier it gets. That is what the debate is about, but that is not what this legislation is about. A system of duties is hereby established. The amendment proposes that this be looked at carefully, for which a committee has been set up. Apart from that: The Netherlands is a rule of law, so that everyone has the opportunity to seek his or her right on the basis of his or her own situation. That's what the judge's for. It's pretty dark how that all turns out and how many farmers are going to participate in it. Furthermore, it is rather dark what the judge will do with this and how much time is allocated to it. I'd rather wait and see.
ParlaMint-NL_2017-05-16-eerstekamer-7.u71	Finally, Mr Schalk.
ParlaMint-NL_2017-05-16-eerstekamer-7.u72	But a lot of farmers will not be so eager to wait, because they have that problem.
ParlaMint-NL_2017-05-16-eerstekamer-7.u73	Let me put it another way: I would like to come back to this, but I would like to wait and see what is developing in the House of Representatives, what judgments are being made and what conclusions the committee draws. Maybe we can find something after that.
ParlaMint-NL_2017-05-16-eerstekamer-7.u74	Thank you. That's an interesting route indeed. But do you have any ideas what we're gonna do in the meantime?
ParlaMint-NL_2017-05-16-eerstekamer-7.u75	In this case, not too much, because I do not want to get in the way of that committee, and certainly not the judiciary. In that sense, I prefer to wait and see what comes out of these two parts.
ParlaMint-NL_2017-05-16-eerstekamer-7.u76	I hear Mr Schaap saying that he wants to wait for the committee and for judicial agreements. Does he mean that he wants to suspend this debate? If not, why does he want to continue with the law if he wants to wait for it?
ParlaMint-NL_2017-05-16-eerstekamer-7.u77	I don't want to wait with this law at all. We need this law in order to get another right in Brussels, namely the right of derogation. That is what we need very much to keep the dairy farming a little 'on its feet'. 'Cause if that discount got over it, the turnips are flattened well cooked.
ParlaMint-NL_2017-05-16-eerstekamer-7.u78	I can draw the same conclusion for you as for Mr Atsma: you would rather confront your own entrepreneurs than Brussels. You were just talking about all kinds of organisations that you thought represented the sector so well, to which we should listen. But we also have our own responsibility here, don't we?
ParlaMint-NL_2017-05-16-eerstekamer-7.u79	Whoa, I've...
ParlaMint-NL_2017-05-16-eerstekamer-7.u80	I'd like to finish my question. We can judge ourselves whether it is reasonable and fair that we should leave the organic farmers or farmers who have invested in the cold. We can't just leave that to organisations, can we?
ParlaMint-NL_2017-05-16-eerstekamer-7.u81	That is why there is a ministerial arrangement, which contains procedures on how to deal with this. We're not just gonna leave them to their fate. As far as self-regulation and initiatives from the private sector are concerned, I am happy to leave them there. We're here for government regulation. That's what I'm talking about today.
ParlaMint-NL_2017-05-16-eerstekamer-7.u82	Finally, Mr Dercksen.
ParlaMint-NL_2017-05-16-eerstekamer-7.u83	We're really on different planets. We are talking about regulations that can eventually lead to a lot of farmers getting hurt. I would like that not only to the sector, but also to us to think about whether that is a good solution and whether we will eventually opt for a little fight with Brussels or with our own entrepreneurs. I would like to hear from the VVD Group where it wants this fight to take place: among the entrepreneurs, who have invested and are disadvantaged, among the biofarmers, who have no part in the problem or with Mr Vella, Commissioner in Brussels.
ParlaMint-NL_2017-05-16-eerstekamer-7.u84	No, we have our own responsibility here. It is in addition to the responsibility of the parties in the sector. That's the private part. A word about Brussels: you often suggest that Brussels is a'she' who pours misery on us, but the directives have been drawn up jointly by the Member States, in lengthy discussions and subsequently ratified. We have solemnly promised to abide by it. That is what we are doing today; hence this regulation. Brussels is not a "she" but a collective "we." It would be very strange for us to agree to the directive, and then, if it is not convenient for us, not to stick to it. Of course, it doesn't work that way in life.
ParlaMint-NL_2017-05-16-eerstekamer-7.u85	Mrs. Fox, one question.
ParlaMint-NL_2017-05-16-eerstekamer-7.u86	You don't want to get in the way of the committee. Do you not therefore think that the committee should have room for serious work to be done on the problem regulation so that more phosphate space is available?
ParlaMint-NL_2017-05-16-eerstekamer-7.u87	This is mainly the case with the Secretary of State. If we have decided, on the basis of all kinds of cases, to have a committee come up with rules, then we must be equally cautious and give the committee room for manoeuvre. When she shows up, we can see if we can find anything. I had asked why the Secretary of State did not come up with a general statement, but put it into an arrangement. Doesn't this make the Empire very much the owner of the problem, with the possible risk that the Empire and the sector will face each other in the face of the problem of trouble? I would like to hear the considerations that led to this decision. Unmistakably, there are a large number of problems with a great deal of diversity in their nature. What the VVD Group is concerned about is that the problem of poverty is getting off the ground and that not only the Empire and the sector are facing each other, but that this is also going to apply to dairy farmers among themselves. The Court's ruling in the interim proceedings threatens to cause a large number of dairy farmers to go to court. However, a much larger number of recognised problems will also have consequences for generic skimming. That's where the Reich's appeal comes in. That is an appeal without suspensive effect. It is a good thing that the committee has been appointed unfortunate phosphate rights and its work can begin. For individual cases, however, there is also the possibility of appeal and appeal. I do not want to make specific statements on specific cases or categories of cases, because this would not benefit the many procedures under way. What worries me, however, is the great uncertainty that is now creeping into the sector, the danger of a loss of central control and the chaos that may arise at the end of the year if it is still to be resolved. I would like to hear from the Secretary of State how he holds the matter together from his responsibility for the settlement. Does he also want to make it clear what exactly is the status of the conclusions to which the committee comes? Does the Secretary of State fully accept these conclusions? We are talking today about an amendment to the Fertilisers Act and not specifically about the phosphate reduction plan. I would like to come back to this plan and other elements of the agreement which should strike a balance in the dairy sector during the course of this year, I hope, if there has been some convergence in developments. I have another question about the system of phosphate rights. Can these rights be tax-deprecated? Mr Atsma asked the same question. Would the Secretary of State like to give you some assurance on that? I would like to make a comment on an apparently popular arrangement under the agreement, namely the financial compensation to dairy farmers who end their dairy farming and thereby make their phosphate right available to others. The VVD group has noticed how many dairy farmers have registered for the first tranche. For many there are more than expected, but to be honest, I am not surprised. This has everything to do with general developments in the Dutch agricultural sector. Large numbers of farmers, including farmers, see too little future prospects for their farms. This is not something dramatic; it was never any different after the war. A lack of perspective may have to do with business conditions. Return demands scale and management of the costs of business. So I'm thinking something different than the SP. The latter also has to do with the cost explosion caused by government regulations. A factor of importance is the fact that many companies do not have a successor, also as a result of the fact that families are smaller today. Ever since the war a process of scaling up in Dutch agriculture has been taking place, as by the way everywhere in the world. The number of farmers is constantly shrinking. In relative terms, this is now happening faster than ever. As a result, companies are constantly being released on the market. This leads to merger with other companies and thus to scaling up. In this context, I would like to emphasise the impact of regulation imposed by the public authorities on the sector. Such regulation may be necessary, but it is often so cost-intensive that its impact can only be met by linking major investments to scaling up. The government is therefore strongly contributing to an even more rapid process of scaling up. The effect of phosphate regulation will be no different. The small scale of the agricultural sector, which many people have mentioned, is an absolutely dead end. Scale enlargement is not only inevitable, it is also a blessing. This is the only way to ensure that the rules are implemented successfully. In that sense, the so-called'megastables' are also, I think, a strange term, because it is in fact nothing but larger stables, a positive and actually provoked development. The inevitable process of scaling up therefore clashes with the often politically left cherished romance of small scale. I dare to make this even clearer, and I would like to point out a paradox which provokes the political left itself.
ParlaMint-NL_2017-05-16-eerstekamer-7.u88	I'm gonna hit it anyway...
ParlaMint-NL_2017-05-16-eerstekamer-7.u89	I'm still working on my speech, you know.
ParlaMint-NL_2017-05-16-eerstekamer-7.u90	I understand. I'm gonna turn to the fact that you're looking at megasthals as a blessing. Does that also mean that the VVD welcomes the fact that seven agricultural entrepreneurs have to stop every day because they cannot keep up with the scale increase, which is megamorphosis? Does the VVD now wave out all these small entrepreneurs, all these family farms, with the message: fine, those small businesses do not matter anymore; those houses are fantastic? Did I hear your speech so well?
ParlaMint-NL_2017-05-16-eerstekamer-7.u91	You didn't quite get that. I do not at all welcome the fact that so many farmers are disappearing from this profession. I'm just saying that it's almost inevitable that this is happening because of the need to invest in order to survive. I do not think that the drastic reduction in the number of farmers in the Netherlands is a good thing in the cultural sense. I can say the same for the large number of small middlemen who disappear because large companies take over a large part of the market. I don't think that's good for culture at all, but you're not gonna stop it. What I am saying is that through this strict regulation, the government encourages farmers to disappear. After all, they have to invest a lot of money, and that can only be done with scale jumps.
ParlaMint-NL_2017-05-16-eerstekamer-7.u92	I think I heard Mr Schaap say earlier in his speech: please be careful to further promote this successful organic sector with small-scale businesses, because before you know it, it will collapse again. Isn't that what you said?
ParlaMint-NL_2017-05-16-eerstekamer-7.u93	Many organic farms are not small-scale at all. These companies are often large-scale and are getting much bigger.
ParlaMint-NL_2017-05-16-eerstekamer-7.u94	So, if I understand correctly, you're actually arguing for biological megasms?
ParlaMint-NL_2017-05-16-eerstekamer-7.u95	I ask you both to speak through the chairman, gentlemen!
ParlaMint-NL_2017-05-16-eerstekamer-7.u96	As far as I'm concerned, they can quietly develop larger organic dairy stalls. Fine.
ParlaMint-NL_2017-05-16-eerstekamer-7.u97	As I indicated at the beginning of my interruption, it is therefore inevitable that seven family farms should close their doors a day. Do you say: that is the case; should we take that on sale?
ParlaMint-NL_2017-05-16-eerstekamer-7.u98	I just said that I find that sad in the cultural sense, and otherwise it is indeed inevitable.
ParlaMint-NL_2017-05-16-eerstekamer-7.u99	I will come back to self-regulation and the abandonment of businesses. Mr Schaap is, of course, right in saying that many companies are disappearing in many areas. We are, of course, dealing with an arrangement in which the government is the one that finances and makes it possible, and therefore attractive, the cessation of business. Today's farmers still have the advantage of retaining the phosphate rights that actually belong to their farms and thus being able to sell them. In this sense, it would be doubly advantageous for the public authorities to pay for the cessation of farming, and farmers would soon have the savings of phosphate rights that could be sold, as Mr Schalk has just mentioned. That situation is a bit different from that of many grocers, butchers and bakers who have had to close their shops because there was just too little business, because the supermarkets became too big or because there were no successors. Less resources were available for this sector than for this sector. I do not want to argue that what is happening now is not sensible, but I do think that the self-regulatory aspect and the market aspect are somewhat excited, given the reality in this area.
ParlaMint-NL_2017-05-16-eerstekamer-7.u100	It is precisely by making rights available and making them negotiable that the government does not put money into it itself, but...
ParlaMint-NL_2017-05-16-eerstekamer-7.u101	But it's because of the closure of the company. That's what 50 million stands for...
ParlaMint-NL_2017-05-16-eerstekamer-7.u102	Gentlemen, let each other speak now, please!
ParlaMint-NL_2017-05-16-eerstekamer-7.u103	This therefore creates a certain dynamic in the sector that can make the sector more vibrant. I regret the fact that these rights are again an asset which is in fact withdrawn from the sector when farmers with that capital retire under the poverty line, but that was the case with the dairy quota.
ParlaMint-NL_2017-05-16-eerstekamer-7.u104	The point is, of course, that the government pays for this scheme. There are so many more farmers who would like to stop the scheme from even providing for it. In that sense, it is not the case that the company is sold to a company that wants to grow larger. In the first instance, the cessation of business is accompanied by government subsidies. That's what I wanted to say.
ParlaMint-NL_2017-05-16-eerstekamer-7.u105	Should you find a welcome solution to this process with financial support, I will also help you in the course of my speech.
