ParlaMint-NL_2017-02-07-tweedekamer-20.u1	I would like to welcome the initiators and their support... their names were mentioned last time........................................................................................................................................................................................ I would also like to welcome the Minister for Economic Affairs. He will act as advisor to the Chamber in the examination of this bill, as is customary in the examination of an initiative proposal. Today, the answer is in the first term and the full second term. I would be the first to give the floor to Mrs Mulder to answer the first-term questions.
ParlaMint-NL_2017-02-07-tweedekamer-20.u25	I give the floor to the Minister in his capacity as advisor.
ParlaMint-NL_2017-02-07-tweedekamer-20.u26	Mr. Chairman. I would like to congratulate the initiators for their thorough approach to the initiative and the sound defence they have just shown. I fear that they will get a taste for it and that they will be even more assertive in the debates with me, but I will have to wait and see. I believe that the work they have done has enabled this subject to be dealt with properly in the Chamber. The further handling here and in the Upper Chamber will also be quite possible. Again, my compliments. Mrs Mulder and Mrs Vos, who replaced Mr Monasch, have tabled a legislative proposal aimed at reducing excesses of long payment periods vis-à-vis SMEs. I think that's a very noble goal. I agree with that objective, and I have been promoting it for years, both for the public authorities and for the companies themselves. It looks better and better for the public authorities. I give an overview of this every year and will do so again in the spring with the usual annual review. This is a follow-up to developments. My own ministry is currently at 96% timely payment. What remains are often situations where there are particularities or discussions. If the law states that a government, whatever it may be, must comply with the statutory maximum period of 30 days, which is laid down in Article 119b of Book 6 of the Civil Code, then that government must also comply with it. It is also my task to follow the behaviour of governments and to promote them to a greater extent than is currently the case. Article 119a of Book 6 of the Civil Code states that the payment period is in principle 30 days for companies, but that entrepreneurs are free to agree on a longer term, up to 60 days. I believe that this situation with the legislative proposal will immediately be the final situation. The space is then limited to 60 days. A longer term than 60 days will then no longer be possible. The picture of payments between companies is not bad in the Netherlands. We have had it examined and it has been found that the average duration of a payment is 36.5 days. Mind you, it's the average cost. This means that some payments are delayed much longer. The initiators have also explained this. The proposal for an own-initiative opinion is understandable in that it focuses on excesses. I don't have the figures for the year 2016. The signals I get do not indicate that there is an improvement in that situation. It's getting longer than 36.5 days, I'd estimate, rather than shorter. I do not think that is a good development. The economy is attracting again, making it easier for companies to comply with payment agreements and thus get closer to those 30 days rather than farther. It seems that a number of companies opt for a longer term. In itself, that is not a good thing. I've had a look at what we're talking about in those excesses. How many transactions are there where the payment stays out for more than 60 days? This does not happen in 98.7% of all cases. In 1.3% of cases, the 60-day period is exceeded. That is what we are talking about.
ParlaMint-NL_2017-02-07-tweedekamer-20.u27	Does the Minister have the idea that this might be a direct effect of the law introduced at the time as a result of the implementation of the directive from Europe? When that 60-day period was mentioned, we warned in that debate that you would be in the safe zone if you went to pay within 30 to 60 days.
ParlaMint-NL_2017-02-07-tweedekamer-20.u28	I don't know, but I'm just waiting for the figures for the year 2016, and I'll see if the signals I picked up turn out to be true because of those figures. If I am going to find an explanation for this, I would also like to take Mr Ziengs' suggestion. Now it is true that the law does not explicitly determine what is apparently unfair. The initiators have made this very clear. This means that there can be discussion about this. That is the subject of discussion. A small supplier must then call on the judge to clarify this. This proposal ensures that this is no longer the case. That ambiguity is being removed, and that is certainly an improvement. There are two points I would like to make. First of all, if a customer does not keep to the contract properly and still waits for more than 60 days before payment takes place, there will have to be another way to go to court, because it will still need to go to court. Regardless of whether this will be easy to walk and easy to remove, it is a confrontation between the large customer and the small supplier. That small supplier must then go to court, and that is something with which they have been very reluctant so far. I actually estimate they'll stay that way, even if the law changes. Their considerations include: the relationship they have with their large customer, the possibilities they estimate to move that large customer to better behavior and the fears they may have that a legal procedure will disrupt the relationship. I'll keep in mind that going to court will still be a big step for a small supplier. I would like to make a second comment. I've done that before, but I still want to do it again. It is possible under the Civil Code that a longer term than 30 days may be agreed upon even after the adoption of this initiative. That could be a time limit of up to 60 days. I'm afraid that, if you explicitly present those 60 days as a standard, you can't have more than 60 days in a number of cases, possibly in a substantial number of cases, the tendency to crawl to those 60 days. That would be a deterioration. That was also why I did not come up with that proposal myself. But the proposal is now there. I note that, after cooperating with ONL on the initiative, the Netherlands, SMEs, too, have expressed their opinion and have said that, taking into account everything, it is considered that this legislative proposal represents an improvement and that it is therefore supported. Secondly, I do not like the signals I receive about the trend over the year 2016. That's a consideration of mine, too. The third recital is that this legislative proposal sends a clear signal to large customers that in all cases more than 60 days is unfair. That signal itself is valuable. A fourth recital is that the Council of State has issued a blank opinion on this issue. All in all, despite the comments I have made and the risks I estimate, I leave the opinion on this initiative proposal to the House of Representatives on behalf of the Cabinet. Then a number of questions have been asked to me, but perhaps also to the initiators and to me. Mrs Mulder and Mrs Vos referred a number of times to me and said that I might be able to comment on things relating to the ACM. I'd be happy to. Firstly, there was a question from Mr Geurts. He wondered if the government, if this law is passed, would communicate that there is a law and that it should be respected. Yes, we will. If there is a new legislation, it must be complied with. So we'll see what our channels are. I am thinking of the Chamber of Commerce with various contacts. I am thinking of the website Entrepreneurplein.nl, where you can make things clear. We will use the appropriate channels available to us to promote this arrangement, if it becomes applicable after treatment in the Second and First Chambers. Mr Nijboer has also asked if I will grant contrasign to this law if it comes into being. I'll be sure to. Mr Ziegs wondered if the ACM could monitor the law and then produce a report on the findings. If this initiative law comes into force and if there is to be an evaluation at some point, then I think it is useful to consider whether input can also be provided by the ACM. I'll ask the ACM to do that if necessary. However, the ACM has no understanding of the relationship between companies. It has no insight into the payment behaviour of company to company. She doesn't get any information about that. She can't see that. Nor would it be an efficient use of public funds if we imposed that task on the ACM, because, of course, a lot is happening in relationships between companies. That's what our prosperity is all about. So it is not realistic to have all this pictured by the ACM. Nor is that part of her public service mission. It is not the case that she has direct information, but I can imagine that relevant information will be made available to the ACM in various ways and that the ACM can inform the Chamber and me about it, so that we can involve it in the evaluation. Given the view that the ACM has on market conditions and developments within markets, it may be able to say things about this. Mr Nijboer wondered whether the ACM could do anything further in the context of abuse of a dominant position. The ACM has indicated that it is not likely that the issue of undue exceedances of statutory payment periods is an abuse of a dominant position. It's complex to investigate. That requires a heavy burden of proof. It is not the most efficient and effective way to solve the problem. The main link to the action of the ACM is the impact of corporate behaviour on consumer welfare. He's not directly at stake here. Therefore, there are few connecting factors for the ACM to act on the enforcement and monitoring of payment periods. That is also not a good thing to do and does not fit in with the ACM's tasks, as I said. At that point I see no role for the ACM. Ms Gesthuizen wondered whether the ACM could mean anything in the enforcement of payment periods. That's actually the same point. She also wondered whether complaints about payment periods could be submitted to the ACM. Since the ACM has no legal powers and has no insight into what is happening there, there is little point in submitting complaints. Of course, it is always possible to lodge a complaint with the ACM if there is a presumption of abuse of a dominant position, but the ACM does not consider that plausible, as I said. Moreover, the heavy instrument of abuse of a dominant position is not very suitable for resolving this type of procedure. So I think it will have to be done in a different way. The initiators have also looked into this. They have finally come up with this proposal. I have indicated, on behalf of the government, that I would like to leave the opinion on this proposal to the Chamber, with which I would like to conclude my contribution in the first term.
ParlaMint-NL_2017-02-07-tweedekamer-20.u29	I would like to ask the Minister for further clarification. The Minister indicated that the ACM has no insight into the payment periods used by companies among themselves. Would it be a solution if the ACM were to cooperate with those smaller companies that are supplying in order to do so?
ParlaMint-NL_2017-02-07-tweedekamer-20.u30	There are so many transactions between companies in the Netherlands I was just talking about "extremely many transactions" that there was no flow of information to the ACM at that point. I do not see such a flow of information getting underway either. Nor do I think that such a flow of information, if there were, would provide a good representative picture of what is happening. The assessment is not the responsibility of the ACM. So I really don't see any role for the ACM on that point. I do not believe that we should expect the ACM to be able to give an opinion on developments in respect of payment deadlines and the objectives of the Chamber in this respect. I do think that relevant information can be made available to the ACM in several ways. That information will therefore have to be exchanged when we proceed with this evaluation. Moreover, such an evaluation requires the necessary research, as we now have Dun & Bradstreet doing: how many percent of all invoices are being paid late? That's 1.3%. In other cases, what exactly is the situation with regard to the payment behaviour of the municipalities? We're going to do some research on that, too. I can therefore imagine that we will also have targeted research carried out on the basis of which it is possible to draw relevant conclusions from that evaluation.
ParlaMint-NL_2017-02-07-tweedekamer-20.u31	May I conclude by saying that the Minister is willing to forward to the Chamber that evaluation, as he explained, in a different way as a kind of monitoring rather than involving the ACM?
ParlaMint-NL_2017-02-07-tweedekamer-20.u32	If this proposal is adopted, including the amendment adopted by Mr Ziegs and Mrs Gesthuizen, I see it as the responsibility of the government, when an evaluation is to be made, to ensure that this evaluation is made available, that the preparatory work is done and that it is possible for the Cabinet and the Chamber to draw the conclusions to be drawn.
ParlaMint-NL_2017-02-07-tweedekamer-20.u33	I would like to comment on the Minister's response to the role of the ACM, because it seems that he is making a distinction on the basis of the extent to which there is a dominant economic position. I would like an explanation from the Minister.
ParlaMint-NL_2017-02-07-tweedekamer-20.u34	No, the dominant position is crystal clear at the ACM. It is an important part of its work to ensure that there is abuse of the dominant position. There is a lot of case law about this and there is a lot of experience with it. The ACM considers that this heavy procedure is not applicable if the payment period is exceeded. It estimates that there is no demonstrable abuse of the dominant position. In addition, the ACM says that its activities should ultimately involve consumer welfare. It estimates that consumer welfare is not affected by what is going on here. These are the considerations for the ACM to exercise restraint, as I have just said.
ParlaMint-NL_2017-02-07-tweedekamer-20.u35	Can I ask Members to do so elsewhere if they wish to consult each other? The Minister came to the end of the reply. There is a need for a second deadline. Prior to that second deadline, there is no need for a suspension.
ParlaMint-NL_2017-02-07-tweedekamer-20.u36	Mr. Chairman. I would like to thank the initiators, the minister and the support for the rapid response. Congratulations to Mr Ziesgs and Mrs Gesthuizen for their consideration and the inclusion of the evaluation clause in the law. The Members of Parliament present did not object. I see not only a blank opinion from the Council of State; it seems that we are also moving towards unanimity in the Chamber. Compliments for the initiators. Mr Graus referred in the first term to a motion which the CDA Group would not have supported. That's right. The operative part of that motion states that "the government is asking hard-working entrepreneurs to be protected'. We wholeheartedly support that, but in the final part of the operative part it says: 'to resort to means of pressure, including the possibility of dismissing the main executives'. Let's say an alderman is the chief responsible; that's not what we as a Chamber are about. We can't fire an alderman. That power really is on a different level. That is why the CDA Group did not support this motion.
ParlaMint-NL_2017-02-07-tweedekamer-20.u37	It is sporting that Mr Geurts should respond to that. This was known to me, but my point was that a Member of Parliament can always say to me: if you take that line out, I would like to support the motion. The CDA apparently agreed with the most important rule of my request. I really am not the worst; all Members of Parliament know that. If I had to get something out of a motion or change something to get a majority, I would have. It remains, therefore, that I regret that my motion was not supported. I have been putting this on the agenda since December 2012.
ParlaMint-NL_2017-02-07-tweedekamer-20.u38	I will not deny that Mr Graus is putting all kinds of things on the agenda. But at least the CDA Group did not support this motion for the reason I just gave. I wanted to give that answer to Mr Graus.
ParlaMint-NL_2017-02-07-tweedekamer-20.u39	Mr. Chairman.
ParlaMint-NL_2017-02-07-tweedekamer-20.u40	I see you're hesitating. If you have a motion and you prefer someone else to speak first, of course you can. I asked first if the Chamber wanted to suspend, but according to the Chamber there was no need for a suspension.
ParlaMint-NL_2017-02-07-tweedekamer-20.u41	I see the motion is already coming. I had, of course, already expressed my compliments on the initiative legislative proposal in the first term. The answer also gave many answers to the questions I asked. Moreover, the amendment has simply been accepted. I am very pleased with that. I've also had a lot of contact with the initiators in the last few days. In any case, we want to prevent that small supplier, that entrepreneur, from ultimately experiencing a negative effect. That is not what this law is about; we all agree on that. Yet we still have a small motion. In fact, I was sort of sorting it out before the debate. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the possible (by-) effects of this legislative proposal are not yet clear in several areas;]] [[calls on the Government to actively monitor the effects and involve entrepreneurs after the entry into force of this legislative amendment, but before the proposed review,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Ziegs and Mr Gesthuizen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34559-10]]
ParlaMint-NL_2017-02-07-tweedekamer-20.u42	Mr. Chairman. I would like to thank the initiators for the effort they have made and the answers to the questions. I would also like to congratulate them on this initiative law. Small and medium-sized enterprises account for 70% of employment. It is therefore of the utmost importance to ensure good and strong SMEs. If SMEs, where every penny is used to invest in the company and its staff, have to wait too long for the money to be borrowed, this will cause serious problems. A change of attitude is envisaged in the large business: a stick behind the door that makes non-payment of statutory interest after 60 days a conscious policy choice. SMEs should never be used as interest-free loans for large companies that pay late their suppliers out of financial gain. This initiative law can therefore count on the support of the Labour Party.
ParlaMint-NL_2017-02-07-tweedekamer-20.u43	Mr. Chairman. I would like to thank the initiators very much for answering the questions put by the Chamber. I think the questions I have asked have been answered well. I continue to doubt the willingness of entrepreneurs to finally, if that big stick is behind the door, get their rights from judges. Anyway, that's something that has to prove itself in the future. However, I am confident that the facilitation and clarification of the initiative law, when it comes into force, will help to ensure that entrepreneurs do not have to take that step or dare to take it with greater certainty. Sometimes that's what it takes to get you justice. There is nothing left for me but to say that I will advise my group to vote in favour of the bill. The amendment, of which I was one of the proposers, will no longer be put to the vote. I would like to conclude by saying that I find it very admirable that the two initiators have taken the trouble to protect small businesses in the Netherlands in particular. I would have liked it very much if today's votes had shown that the CDA had also voted in favour of protecting foreign entrepreneurs. I refer to Mr Van Laar's initiative law. I do not think the CDA voted in favour of this. A large part of the Court of Justice voted against it, despite all the adjustments and concessions made by the Chamber, also supported by my group. It is important not only that we take good care of the entrepreneurs in our own country, but also that we provide entrepreneurs in developing countries who may need our support even more.
ParlaMint-NL_2017-02-07-tweedekamer-20.u44	The latter subject was not on the agenda at the moment.
ParlaMint-NL_2017-02-07-tweedekamer-20.u45	Mr. Chairman. First of all, congratulations to the authors! I would like to thank both the ladies for all their efforts and certainly their policy staff, because I know what comes to mind. Thank you! It is also nice that we have all been able to tackle ourselves together in the Chamber for the benefit of entrepreneurs, the SMEs and also thezzp'ers, which I would like to mention specifically. As I said in the first term, I have already advised my group to vote in favour of this initiative proposal. I'd already done that when I read it. I have nothing else to add. I would just like to say that, of course, we would prefer to go to a legal deadline of 30 days, but I certainly understand by what the Minister has added that this does not always have to be advantageous. I always think this way: if there is a legal deadline, you can still make arrangements to make it last longer. Because if two companies agree, how does a controller find out? Then who's gonna find out they're not getting paid in time? But at least this is a start. And thank you again and a very blessed evening for everyone, also for your chairman.
ParlaMint-NL_2017-02-07-tweedekamer-20.u46	Thank you very much. This brings us to the end of the second term of office. I see that the initiators can respond immediately. I give the floor to Mrs Agnes Mulder. Then I will see whether Mrs Mei Li Vos is also speaking.
ParlaMint-NL_2017-02-07-tweedekamer-20.u47	Mr. Chairman. I would like to thank all my colleagues in the Chamber for the tightening up they have given today and last week. That is why we were very pleased to accept the amendment. It's extraordinary that you can do that. It is good that we have been able to do so today. There is one motion tabled by two colleagues, Mr Ziegs and Mrs Gesthuizen. Of course, we do not know everything in advance, but it is clear that our initiative proposal will indeed make it easier and clearer for entrepreneurs. It's also gonna be easier to go to court. The three-year evaluation, which we all want, shows the structural and incidental effects. I read the motion by Mr Ziegs and Mr Gesthuizen in such a way that it deals with the unexpected emergence of incidental effects. The norm is just 30 days. As far as we are concerned, it lasts 30 days and can never go beyond 60 days in this trade relationship. The trend that the minister has just indicated is that it will be paid after 36.5 days. What if this period is even stretched as we grow economically? That's not supposed to happen, is it? Suppose that is partly an effect of this law, then we should be able to say in good time: large companies, this is all nice and nice, but if you are dealing with this in that way, that is not explicitly the intention of this House of Representatives. Then perhaps we should consider whether we can be stricter, so we can put a tooth into it and go to 30 days. Then the standard is also the final agreement. I can imagine that large companies will perhaps think three times about whether or not they will do so with this Chamber ruling. Because then they defy small and medium-sized enterprises, small and medium-sized enterprises. I don't think that's proper. I don't think most of the companies will want to do that. So I am confident that that effect will not be too bad. However, should it happen, I actually see this motion as supporting the legislative proposal, so that we can make a timely call and adopt more stringent measures with each other. Let that be clear to the big business. I'm gonna call on the big company to just pay the bills in time. It's possible.
ParlaMint-NL_2017-02-07-tweedekamer-20.u48	I have a question from the trial. You're actually advising... judge Room. Did I hear that right?
ParlaMint-NL_2017-02-07-tweedekamer-20.u49	Yeah, as far as I'm concerned. But we can also, of course, take over the motion.
ParlaMint-NL_2017-02-07-tweedekamer-20.u50	But the request is addressed to the cabinet.
ParlaMint-NL_2017-02-07-tweedekamer-20.u51	Yeah, that's a little tricky. I'm not formally allowed to do that. So that...
ParlaMint-NL_2017-02-07-tweedekamer-20.u52	I think we should explicitly involve the consultant in this.
ParlaMint-NL_2017-02-07-tweedekamer-20.u53	That seems to me to be a very good thing, Mr President. He can do that very well.
ParlaMint-NL_2017-02-07-tweedekamer-20.u54	Mrs Vos will not speak. I am happy to give the floor to the Minister for Economic Affairs in his role as an advisor. I see he doesn't need time to think.
ParlaMint-NL_2017-02-07-tweedekamer-20.u55	Mr. Chairman. Mrs Mulder just said that there could be a further tightening up. I do not want to comment on this myself. When companies do business with each other, they talk about the price, quality, delivery terms and payment terms of a product. I think they have reasonable opportunities for that within the law. The standard time limit is 30 days, but may be waived by agreement. Mrs Mulder says that she thinks it is undesirable that payment should take longer. I agree with her. I also understand the intention of the bill. If the bill is passed, I don't intend to wait three years for evaluation. In those three years, I've been following the case. I will be in touch with business organisations and ask what their image is. I will also have interim investigations done to outline an image if there is any reason to do so. In their motion, Mr Ziegs and Mrs Gesthuizen asked the government to actively monitor the effects after the entry into force of this legislative amendment but for the proposed evaluation, involving entrepreneurs. I'd like to leave the verdict on that motion to the Chamber.
ParlaMint-NL_2017-02-07-tweedekamer-20.u56	Your advice is therefore to leave the judgment to the Chamber.
ParlaMint-NL_2017-02-07-tweedekamer-20.u57	I would, of course, like to thank the authors and the support they had with them, as well as the advisory minister and members for their input. I propose that we vote next Tuesday on the motion and the law, not on the amendment.
