ParlaMint-NL_2017-11-08-tweedekamer-11.u1	The next item is the debate on the Kingdom relations budget.
ParlaMint-NL_2017-11-08-tweedekamer-11.u57	It's a fair question. I have concentrated on answering the first-term questions, but I am happy to answer Mr Kuzu's question. I'm going that way in two weeks. I'm gonna meet a lot of drivers. My real conviction and commitment is to get together with them a number of things that may not have worked out in recent years. Let's be honest: the relationship is tense in a number of ways. That's what I started with in my introduction. But I also see a lot of opportunities. Those opportunities are that money is available, but also that, when it comes to good governance, we can work together to create projects that actually improve things. For example, when we look at the financial situation, we see that there are still a number of problems. This, of course, also affects the legitimacy of governance. You want the money to be well spent, including their own money. We just have knowledge and expertise. We can help each other. I see it as an equivalent relationship in which the knowledge we have provided can of course be made available already, but even more so to the countries and islands to help them further. It's a bit different for each country or island how far one is. I was just talking about Saint Eustatius. There is still some work to be done, I can tell you.
ParlaMint-NL_2017-11-08-tweedekamer-11.u58	At first I am satisfied with this basic attitude. It shows the Secretary of State's involvement. I would like to give him some points. Child poverty, for example, is one of the points. The Children's Ombudswoman, the Children's Ombudsman, has written a report on this in the past. The funds for this will then disappear in the 2018 budget. What does the Secretary of State think about that? There is the issue of educational disadvantages on the islands. Of course, there are differences between the islands. Then there are the rising food prices. These are three specific points which I would like to give to the Secretary of State. However, I have a specific need to clarify the issue of child poverty, because the 2018 budget provides for zero.
ParlaMint-NL_2017-11-08-tweedekamer-11.u59	The most important thing, I can say in the direction of Mr Kuzu, is that there will be a perspective. That, too, is different; you cannot put all six together. But the most important thing is that there is a perspective, not only because of the hurricane, but also because of the economy, which needs to grow further. Curaçao needs more than it is now. Saba's doing a good job. I think that you should be in line with the opportunities that exist, while at the same time creating a good breeding ground for employment. Mr Kuzu will agree with me that if we try to do that, if we try to make economic development a smooth one, it is the best way to help people out of poverty. I don't deny there's just poverty in some places. There's an eye for that. I have indicated in the written answers to the questions what resources are intended for. Children's rights and education are all elements; if you really want to build a country or an island, you have to start there. I will therefore pay attention to this during my work visits. I'm still pretty new, of course, after a week and a half. It has been a long time since I have been there, but I look forward to getting acquainted and, in particular, to the plans that one has and where we can help.
ParlaMint-NL_2017-11-08-tweedekamer-11.u60	Finally.
ParlaMint-NL_2017-11-08-tweedekamer-11.u61	Again, I am satisfied with the basic attitude. I am also pleased that the Secretary of State indicates that long-term perspective is important. We are talking here about the 2018 budget. When we talk about children's rights, we are talking about €0 for 2018. That shows little perspective. In the past, at least in the previous period, we have adopted in the Chamber an amendment by PvdA and ChristianUnion, warmly supported by DENK. I would like to ask if the Secretary of State is prepared to continue doing so.
ParlaMint-NL_2017-11-08-tweedekamer-11.u62	It is true that funds for 2018 have not yet been allocated, that is correct. At the same time, I would like to point out to Mr Kuzu that the programmes that ended financially in 2017 still have an impact on 2018. In other words: the projects continue with money from 2017. That's right. We ask the islands and countries to evaluate carefully and to see what is effective. I assure you there will be an evaluation. It will take place in the first quarter of 2018. On the basis of this evaluation, I would like to see whether additional funds are needed for 2018, or whether we can do more, or whether these programmes should continue in this way. But for the time being, Kuzu is right, there are no estimates of resources. But I'd like to look at it, because I think it's an important subject. But I also want to be able to reach a conclusion on the basis of an evaluation.
ParlaMint-NL_2017-11-08-tweedekamer-11.u63	Mr Van Raak.
ParlaMint-NL_2017-11-08-tweedekamer-11.u64	If you'll allow me, Mr. President, about that evaluation, first quarter 2018.
ParlaMint-NL_2017-11-08-tweedekamer-11.u65	Yes.
ParlaMint-NL_2017-11-08-tweedekamer-11.u66	I would urge the Secretary of State not to do so at the end of the quarter, but as early as possible in that quarter.
ParlaMint-NL_2017-11-08-tweedekamer-11.u67	I would have preferred to have promised you that we would do so by the end of the year, but that is not realistic. And I have decided to make commitments that I can also deliver. I've been on your side too, so I know how it works. So first quarter, and I heard you right.
ParlaMint-NL_2017-11-08-tweedekamer-11.u68	Congratulations on continuing research into the connection between the underworld and the upperworld. For four years 48 million; it once began as a motion here from the SP and the VVD. It's true that this investigation has yielded a lot. Gerrit Schotte has been convicted, Corallo is in Italy in court, the Central Bank is cleaned up and infinitely more cases. If we want to offer the people of the islands a future, the Mafia will have to be dealt with first. But if we are going to build Saint Martin and make a lot of money and resources available, I think there are a lot of people in Saint Martin right now that I would like to leave that to them, but there are also a lot of people in Saint Martin who I do not want to have involved at all. In the context of reconstruction, is it also being looked at very closely at the performers and is it also being looked at whether we are not dealing with the underworld?
ParlaMint-NL_2017-11-08-tweedekamer-11.u69	"Shot in the bull's-eye," I'd say; that's exactly the dilemma. I heard Mr Van Raak say yesterday that he wants as much involvement as possible from companies and people who work there. I also think that should be the ambition. At the same time, we cannot deny that we would be naive if we did. Without mentioning names here now, because I am not going to do that, as you will understand, Mr President, we will, of course, take it into account. We'll keep an eye out. And I'll tell you right away, you better assume it's gonna go wrong someday. There's someone in there once you think "it should have gone well" but you find out it went wrong. We have to accept that. Wherever money is concerned, whether it is in the Netherlands or in the Netherlands, we have had our own scandals over the past few years, whether in other countries or abroad, these things happen. It may also happen on St. Martin's Day. It's not a profit warning I'm giving here, but mistakes will be made here too. That's what we need to learn from. The important thing is that that should not be a reason to say: then we do not do it. But it won't be easy.
ParlaMint-NL_2017-11-08-tweedekamer-11.u70	But the lesson we have learned is that we should not ignore established names. Large organisations and large companies, multinationals, play a very different role in these islands than they may play in other countries. So I'd like to give the Secretary of State: don't go too fast with the underworld, but don't go too fast with the semi-criminal upperworld, let's just say.
ParlaMint-NL_2017-11-08-tweedekamer-11.u71	I can say I have a lot of ambitions. I have also said a number of them. But this wasn't my ambition.
ParlaMint-NL_2017-11-08-tweedekamer-11.u72	Finally, we are talking a lot about Saint Martin, but of course we are also dealing with the reconstruction of Saba and Saint Eustatius. We're getting a lot of reports about that, too. Sometimes the islands feel a bit disadvantaged, because they look very closely at St.Maarten and their reconstruction is linked to the developments on St.Maarten, which they can't help at all. So can the Secretary of State indicate that this reconstruction is about to begin? We don't need a government of Saint Martin for that. And can he also promise here that there will be extra attention and extra investment for the people most affected by the hurricane, namely the people with the lowest incomes, in order to repair the damage that people have suffered in a good way?
ParlaMint-NL_2017-11-08-tweedekamer-11.u73	I am going to answer that Mr Van Raak may be slightly disappointed. That's in the category "I can't report it to you right now." Hopefully, I will be able to say very soon how much money we are going to spend on this. We talk a lot about Saint Martin, and quite rightly so. But the other islands, Saba and Saint Eustatius, are of course not forgotten. I'm going to visit there in two weeks, at the same time as visiting Saint Martin. I'll see for myself what happened there. They have been hit a little less, but also very much, and there are really some serious problems. The Dutch Government is also extremely aware of this. But I can't promise that right now. This simply has to do with the fact that we have not yet completed our own decision-making.
ParlaMint-NL_2017-11-08-tweedekamer-11.u74	Please continue.
ParlaMint-NL_2017-11-08-tweedekamer-11.u75	I'll be on my last block. Then you know what time it is.
ParlaMint-NL_2017-11-08-tweedekamer-11.u76	Yes.
ParlaMint-NL_2017-11-08-tweedekamer-11.u77	This is about strengthening the coordinating role of Home Affairs and Kingdom Relations in order to better address problems. This is about the socio-economic problems that some of you talked about, such as poverty and how to help that economy get going. I would particularly like to use my coordinating role to substantially improve the situation of vulnerable groups in the Caribbean Netherlands. Fortunately, health care and education have improved significantly since 10 October 2010. That's a good thing, too. It is now time that the enormous amount of energy and resources made available in recent years also resulted in economic improvement for all. In its report of October 2015, the Spies evaluation committee points out a "shredded and sometimes contradictory approach on the Dutch side." The current secluded approach of the Empire is not only inefficient; we also export our own national problems to the small islands, wherever they are enlarged countries in their local small scale. We do not always realize that when we are here in the Chamber, we adopt legislation, but that, of course, makes it quite complicated. This does not help to achieve the goals we have set, namely more effective policies, legislation and implementation, which better match the islands' need to find practical and task-oriented solutions to local problems. The Netherlands wants to invest heavily in the relationship with the Caribbean parts of the Kingdom and Caribbean Netherlands, with extra money, but also by looking at how we can do it better ourselves. I would like to review the policy we have pursued in recent years and, where possible, make proposals for improvement. This applies both to the Caribbean parts of the Kingdom and to the Caribbean Netherlands. The departments can work better together and thus ensure more effective policies, more focus and better priority setting, a priority that we need to make more and less for the islands, taking into account the need, feasibility and security of measures. As a result, these measures also become more important in the daily lives of the people there. That is why the government agreement has agreed on a stronger coordinating task, including the corresponding budget. With the support of the coalition agreement and hopefully from your Chamber, I am going to work on this and I would like to use the coming period to discuss and come up with proposals on this coordination. The starting point is to allow early management of planning and budgeting. With an integrated policy and investment programme, I am convinced that there is a great deal of profit to be gained. During this cabinet period, 900 million is earmarked for tackling regional bottlenecks; you have read all of this. Mrs Van den Berg asked how and under what conditions Caribbean Netherlands can claim these funds. She also asked whether the various departments also have Caribbean Netherlands in mind in dealing with these regional bottlenecks, for example in the field of nature and culture. I can say that the government has not yet taken any decisions on the allocation of these funds for the examples of regional bottlenecks mentioned in the government agreement. Everyone's thinking about that now. I believe that this will be achieved in the very near future. The Minister of LNV and the Minister of BZK are captains. They will work out a plan together in the short term. The priority for the Caribbean Netherlands will be to improve the economic perspective, including by strengthening infrastructure and reducing poverty. There will also be a review of ensuring good governance, financial accountability and a real conservation budget. We would be failing the citizens of the Caribbean Netherlands if we did not set these conditions. But differentiation by island will be necessary. After all, not every island is the same. In fact, they're pretty different. They do not have the same task and investment needs. Therefore, it is currently being examined with other departments how appropriate allocation of resources can be made without losing sight of the local context. In any case, the infrastructure fund's budget will be increased structurally by 100 million. Of these, 5 million are structurally earmarked for the operation of the infrastructure of the Caribbean Netherlands. The Ministry of Infrastructure and Water Management will look at an adequate use of this money. In any case, we are going to look more broadly than just the construction and maintenance of roads, in response to Mrs Dierten's question about concrete measures in the area of economic development and infrastructure in the Caribbean Netherlands. Both infrastructure and economic matters are island tasks and therefore a responsibility of the public body. The cabinet assists the public bodies with resources and expertise. I am referring here to the multi-annual programmes agreed with the public authorities in 2015 and the reaction of the cabinet to the report of the Spies Committee. Examples of investment in this area are, in addition to investments in the quality of administration, the resources from the Ministry of Infrastructure and Water State for roads and airports, investments in agriculture and nature and investments in renewable energy. Several departments also support public bodies with expertise. The challenge lies mainly in the prioritisation and implementation of plans, given also the small scale of the islands. Here too, cooperation is crucial to further positive development of kingdom relations. Some of you have also indicated this in the first term. This is about cooperation between the Netherlands and the Caribbean parts of the Kingdom and the Caribbean Netherlands, but there can also be much more cooperation between them. Making use of each other's capacities will benefit the development of islands and citizens, especially when the challenges are partly the same in many areas. Of course, on my upcoming visits I will address this theme to see how we can do smart things together, not only with money, but also with the interest of the islands themselves in mind. 'Cause I think it's gonna help everybody if you really invest in that relationship. Mr President, I do not want a new discussion on structures or on new political reforms. That may be a disappointment for some, but I want to get to work. Together with the inhabitants of the Caribbean region of the Kingdom and the Caribbean Netherlands, I want to ensure that we can make real progress. I think that's also important for that good governance. If there is a government that can deliver, that can show its inhabitants that there is progress, then it automatically ensures stability. A good example of this approach is the Talent Development Programme (TOP) on Bonaire. This was set up by the Ministry of Foreign Affairs in collaboration with the local government. Every year, twelve local participants receive various practical trainings and coaching aimed at personal growth and thus also growth of their organisation. In addition to deepening, knowledge and skills, the TOP builds a local network of professionals. The second edition started in September 2017. This programme has now been extended to include traineeships. Six young professionals with Caribbean roots who have studied in the Netherlands have been working on Bonaire for at least two years. In addition to a workplace, they also receive training and coaching through the TOP. With this, the TOP community consists of a total of 30 young professionals. I refer to this example in reply to Mrs Van den Berg's question as to whether an internship in the Netherlands should become a permanent part of the training programme in the future. An internship can contribute to this, can make a real contribution. I would not go so far as to say that this is a requirement, because then people might fall off again. It is very good to take the experiences of here and to exchange knowledge and experience over and over again. So how we do this remains custom-made. I'm open to that. I do not think that we should put down some sort of blueprint: this is the way it should be. We also need to look at the needs in the different places. For example, since September 2017, Saba's local official has been employed here for a period of three months in the Kingdom Relations Directorate. Ms Van Tongeren asked about setting up a training course for female talent in public administration. Training courses are currently offered to directors, island council members and supervisors. My ministry is making a wide use of this administrative development. There is no specific policy aimed at women. However, I can inform Mrs Van Tongeren that the first edition of the TOP consisted of ten women and two men. Without a policy, things sometimes go well. That's very nice. You're looking a little serious, but it's a nice message. But apparently Mrs Van Tongeren sees that differently, Mr President.
ParlaMint-NL_2017-11-08-tweedekamer-11.u78	Mrs. Van Tongeren, it was a nice message, I understand.
ParlaMint-NL_2017-11-08-tweedekamer-11.u79	It's definitely a nice message. But I heard from the women drivers there on the island that it was a one-off action, with at least the women having the overwhelming majority, and that it had a very positive effect. Of course, I am totally in favour of training men as well: the better the men are trained, the better. But if you want to have a certain group even better represented on the board, it sometimes works better to pay specific attention to it. They experienced it as a women's class. I don't know which men have been in women's class, but I'm sure they've learned a lot from it. That's why I looked a little hard. Do I hear "we're not gonna do this" now, but in a fancy way?
ParlaMint-NL_2017-11-08-tweedekamer-11.u80	I could conclude from this that Mrs Van Tongeren is now arguing for more men, but she did not say that. It's a mixed form. You're always a little dependent on the applications, but your signal is clear and that's how we look at it. You have to try to find a good reflection. I am already very happy that we have so many women involved in this programme. We are also always a little dependent on who signs up for this. In any case, I can promise Mrs Van Tongeren that we will pay attention to this, including in future programmes. It is precisely the good mix that brings good experiences. I really like the fact that there's a lot of women in there. If there are a few fewer men, that's not a problem because in general the men are overrepresented.
ParlaMint-NL_2017-11-08-tweedekamer-11.u81	I have a point of order. What are we gonna do? I'm sitting around waiting for the block to be over, but now there's gonna be interruptions. I'm okay with everything, but then we're gonna have to figure out what exactly we're gonna do tonight.
ParlaMint-NL_2017-11-08-tweedekamer-11.u82	No, I'm not. That was not the intention, but the Secretary of State made a comment to Mrs Tongeren. That's why she got the floor. But you're right. The Secretary of State was still working on it. In any case, I suggest that he completes this section, because Mr Van Raak has already walked back and forth here a few times. He'll have the floor. Please continue.
ParlaMint-NL_2017-11-08-tweedekamer-11.u83	Then I'll make a point of order. The Secretary of State is responding. I'm gonna start a half-interruption, then we're gonna get a point of order and then we're gonna stop. You can, but I'm going to make the same point later.
ParlaMint-NL_2017-11-08-tweedekamer-11.u84	Yeah, I think that's fine. Then I suggest the Secretary of State finish his story first.
ParlaMint-NL_2017-11-08-tweedekamer-11.u85	Thank you, Madam President. Mrs Van den Berg asked me if nature and culture have a place in my policy. As mentioned earlier, I will also pay attention to this from my coordinating role and I will ask for attention to it, for example through my colleague from LNV. However, I would like to say quite frankly that the priority is to focus on improving socio-economic development. Sharing expertise is an important condition for further capacity development on the islands. I see that this is offered from several parties and I strongly support it. For example, technical support from BZK to the islands has been offered for their legislative and legal capacity. We also see that knowledge institutions such as the Wageningen University use expertise for the sustainable development of the islands, such as the agricultural project together with Bonaire. Also with kingdom-wide trade missions, expertise is already shared in the economic field, and I want to continue to do so, because it is just very important to have those contacts to exchange experiences. With regard to the essentials of life, Mrs Van den Berg asked me if I intend to bring Caribbean Netherlands and Wageningen University & Research together to realize our own food supply and Mrs Diertens asked about the possibilities to produce locally. I understand the importance of this, of that local production and of the sharing of knowledge there is in the Netherlands. Of course, we are number one in the world when it comes to expertise in agriculture, agribusiness and also innovative agriculture with our friends. There are several agricultural initiatives under the Rural Development Plan Bonaire, funded by the Ministry of LNV. In addition, the government works in various areas with public bodies to stimulate agriculture. Examples of this are the school greenhouses project and school fruit. From the WUR, Wageningen, the applied research institutes are mainly active on the islands. This is largely due to international monitoring tasks for the obligations of nature and fisheries treaties. In the short term, the WUR will work on an algal project on Bonaire and I will talk with the public bodies, my colleague from LNV and the WUR to investigate how the islands can provide as much food as possible. I thank the Chamber for this point. That is extremely important. I also think the islands are very pleased with that. I would like to point out, however, that this is of course a danger if you bring in universities and that agriculture is primarily about implementing plans. Research is very important, but let us apply the research results in particular. I would therefore like to focus on that. I believe that, given its expertise, the WUR could also play an important role in this. Mr. Chairman. A number of Members asked in different words about my view of the interrelationships in the Kingdom, and I fully understand this question. The question of the future of the Kingdom can be considered differently. Mr De Graaf mentioned the current situation unfairly and undemocraticly, because the Netherlands cannot leave the Kingdom. He also asked if I would be willing to redeem the Netherlands. Those were his words about the duty of care under Article 73 of the UN Charter. My answer to Mr De Graaf is 'I think he already knows what that answer will be 'that one-sided exit from the Kingdom does not fit the Netherlands and that it cannot.' The right of peoples to self-determination is enshrined in the UN Charter, but also in other treaties to which the Netherlands is a party. It is part of mandatory international customary law. This right also applies to the people of the Caribbean parts of the Kingdom, and I cannot and will not remove it. This cabinet would like to focus on constructive cooperation in order to achieve a further positive development of kingdom relations. Of course, I will continue to discuss this with the islands, and this requires commitment from both sides. At the moment, I do not have compelling insights into the interrelationships within our Kingdom. I am particularly committed to improving the living conditions of the people there and to improving cooperation. History has connected us in the Kingdom, and we must constantly shape and content this connection, especially after this year's dramatic events. The cabinet is taking up reconstruction vigorously, strengthening the coordinating role to better address poverty and other problems and is committed to promoting good governance. Of course we do so in constructive cooperation with the Caribbean Netherlands and the autonomous countries within our Kingdom. We are not here yet, but together we have overcome great setbacks and together we can also achieve more prosperity and stability. You can rest assured that I will make a firm commitment to this in the near future. As I noticed yesterday, you're going to do the same. There was a lot of enthusiasm on the side of the Chamber. Not everyone agrees on everything, but there is a lot of commitment and I am pleased. I look forward to our cooperation and the visit I will be making in the coming weeks to the Caribbean parts of our Kingdom and Caribbean Netherlands. Mr. Chairman. I think I have answered all the questions in the first period and, if not, I am at your disposal.
ParlaMint-NL_2017-11-08-tweedekamer-11.u86	Yes. I thought there was a second term, too, but okay. Mr Van Raak.
ParlaMint-NL_2017-11-08-tweedekamer-11.u87	When I heard that Mr Knops was going to be Secretary of State, I thought: these will be few great visions, but many practical solutions. And I'm kind of happy about that in the current circumstances. We just have the next problem. For example, look at Saba, an island that is proud, solves a lot of problems and, as far as I know, also solves a lot of local problems better than the ten ministries here in The Hague. Now, as a Chamber, we have had a number of discussions with parliamentarians from the other countries and with the island council members of Saba, and we have made a promise that Saba will be able to do more on her own because it is in order. But the leaders and the island council members of Saba always say to run into closed doors in ministries.
ParlaMint-NL_2017-11-08-tweedekamer-11.u88	And the question is?
ParlaMint-NL_2017-11-08-tweedekamer-11.u89	Can this Secretary of State promise that he will make arrangements with Saba to ensure that it gets more autonomy?
ParlaMint-NL_2017-11-08-tweedekamer-11.u90	This point had already become to me in the one and a half week, two weeks that I am now in office. I would also like to say here, from this place, that Saba is really an example on many fronts, of governance, doing good things, stability. That's something we cherish. In general, I think that this kind of thing always applies: less for less, more for more. When you perform, you deliver, there's more room to do things. That could be in financial space, making the free space bigger. That's a possibility. I'd like to take a closer look at that. I understand Mr Van Raak's question, but he will probably understand that I have not answered it yet. I'll go visit Saba in two weeks. This will undoubtedly be the subject of discussion. If I didn't make it, they'd definitely do it. I hope that Mr Van Raak will allow me first to form my own picture of this and then, if necessary, to come up with proposals.
ParlaMint-NL_2017-11-08-tweedekamer-11.u91	What I would like to give you briefly is the agreements we have made as parliamentarians, MPs and MPs. The previous minister also made these agreements with Saba. So politics agrees. Only, at the moment that Saba's leaders come to a ministry, does there turn out to be a completely different reality. We can decide here as politics of everything, but if it does not happen in the ministries, then Saba will be of no use to the people. Would the Secretary of State want to take that with him and see how he could do something about it in his new coordinating role?
ParlaMint-NL_2017-11-08-tweedekamer-11.u92	I agree with Mr Van Raak that the reality of The Hague, the Dutch reality, is often quite different from that of Saba, for example. We are not always aware of this when we talk about legislation that has passed through. The Spies Committee has also indicated that we should take it easy to implement all kinds of legislation, because you are asking about such a small public body with many things. I realize that very well. They are special islands and we have to deal with them in a special way. Like I said, I don't want to talk about constitutional reform. You can set up whole trees about that, but the question is whether people were helped with that. I want practical solutions. I'm open to it. If the drivers deliver there, I think it is my job, and that is also my new role, to open doors here in The Hague where they have remained closed in the past. I'll do my best to do that. I also need to give this role more form and content, but you can continue to appeal to me because I really believe that if you do it that way, you will also have support. Then there will be equal cooperation and there will also be a signal to those who do not have it in order, that they will have to deliver.
ParlaMint-NL_2017-11-08-tweedekamer-11.u93	I had raised three issues in my first term. The Secretary of State replied to one of these questions. I didn't really expect us to get close to that either, but okay. This can be discussed in the second term. I also asked a question about the establishment requirements for people coming from other countries to the Netherlands. Under the previous cabinet, that was left behind. That has not yet been answered, so I would like an answer to that. My third question was about Bonaire. I have raised an idea of the authority there, of which Bonaire can be of great benefit, without taxing the Netherlands. It is a good idea, a small increase in the road tax there, which will hardly affect the population, and without the need to provide Dutch money, to clean up the road network there and thereby boost tourism and other vital infrastructure. Can the Secretary of State please answer these two questions in the first place?
ParlaMint-NL_2017-11-08-tweedekamer-11.u94	Mr. Chairman. I forgot to mention that some of the questions were answered in writing at the start of my first term. Those two questions from Mr De Graaf were indeed answered in writing. You're looking a little... I suggest that if you have any further questions in response to that answer, you will return to them in the second term.
ParlaMint-NL_2017-11-08-tweedekamer-11.u95	That's fine. Mr. Bishop.
ParlaMint-NL_2017-11-08-tweedekamer-11.u96	This may also apply to my question. Thanks for the answer. However, in order to be able to do it completely and adequately in the second round, I would like to take a closer look at the coordinating powers of the Secretary of State, who was still with the Minister in the previous cabinet period. It was swimming in syrup to get things done once in a while, just to sum it up. What else has been organized so that this Secretary of State with the coordinating powers goes further than the Minister in the previous government period? I do not know whether that question has been answered in the written answer. I didn't see it, because I didn't have time today to keep track of all that.
ParlaMint-NL_2017-11-08-tweedekamer-11.u97	No, and you have no speaking time in the second term either.
ParlaMint-NL_2017-11-08-tweedekamer-11.u98	No, but to thank the Secretary of State for his excellent answer?
ParlaMint-NL_2017-11-08-tweedekamer-11.u99	Well...
ParlaMint-NL_2017-11-08-tweedekamer-11.u100	I can reassure Mr Bishop. He did not appear in the written reply, so all his questions were answered in plenary. But then I probably haven't been entirely clear. I can imagine, because this is a tough file. When you talk about coordinating in The Hague, it is often about who is talking about what. Let me get this straight: the departments are still dealing with budgets. But if we are talking, for example, about reconstruction, which still involves a great deal of money, then there is a very strong coordinating task. Where new money comes, there is a strong coordinating task. The fact that it was included in the coalition agreement is a very clear signal. It will be up to me to discuss this in practice with my fellow executives, to ring the bell where necessary and to ensure that things are streamlined towards the countries and islands. How can I put it nicely? In the past, there have been initiatives that have not always been congruent. Just when you talk about good governance and more for more and less for less, you have to do it in a coordinated way. That is not to include in kind of job description; that is occasionally a bit of exploration. But I'm not hoping for the metaphor you just mentioned, because then it won't be so beautiful.
ParlaMint-NL_2017-11-08-tweedekamer-11.u101	I do not doubt the intention and ambition for a moment, but the practice has proved to be very stubborn over and over again. Let me put it this way. I would urge the Secretary of State to ensure that, if this experience recurs, which will result in a new series of stagnation, the committee will be adequately informed to see if we can play a supporting role towards the Secretary of State. That's a bit of a weird figure, but maybe it'll help.
ParlaMint-NL_2017-11-08-tweedekamer-11.u102	A brief reaction.
ParlaMint-NL_2017-11-08-tweedekamer-11.u103	I would say: that seems very good, critical, but supportive. If these things happen, of course I'll report it. It is also up to these spokesmen to help guard that, because ultimately it is not about who is in charge of the money. That's not the point at all. The point is that we use the resources available in a good and coordinated way. This requires not only me but also the officials involved throughout the ministries, a particular mindset. We're gonna have to name that once in a while. It will not all happen on its own; I am well aware of that. But I'm extremely motivated to pick that up.
ParlaMint-NL_2017-11-08-tweedekamer-11.u104	I have a few more questions on the basis of the written answer. It's about the coral reef. A task force was promised to be set up. That task force is now being established with the islands, and that is very good. I just didn't get a complete answer to the question of whether the Secretary of State would like to support this. My question is whether he wants to play a role in the implementation of this task force.
ParlaMint-NL_2017-11-08-tweedekamer-11.u105	I think that Mrs Diertens makes a very good point here, and it immediately becomes clear that we must do things together with the countries and islands. It may well be that the priorities here in The Hague are different from those there. I must say that I am going to make this point in the discussions I will have, because I think I must send out the signals from the Chamber. But we must realise that we do not impose dictatorships. We think that is very important. I agree with you that this is very important, but I also want to respect the autonomy of the countries very strongly. It's very tempting to say that we're gonna take care of that, that's what we're gonna do. But this is precisely one of those examples where you have to be convinced together that it is useful. I am convinced, and I also want to help others to make that movement, but we are not going to impose it from The Hague as far as I am concerned. And if there is any need for help, if we can do something about that, then that's a bit of the role we have. I'm always open to seeing if we can use knowledge, experience and skill to assist in this.
ParlaMint-NL_2017-11-08-tweedekamer-11.u106	Then I have another question about the HBO and WE students coming to the Netherlands. I am very pleased to note that the guidance is already being streamlined and that there are already activities in this area, but my question was also about the bsn number and the health insurance. There are also a number of other issues that come to our attention, so I would very much like to have more answers on how we are going to organise and regulate this properly.
ParlaMint-NL_2017-11-08-tweedekamer-11.u107	I can say that I will return to that in the second term. 'Cause you asked that question in the first place?
ParlaMint-NL_2017-11-08-tweedekamer-11.u108	Yes. Then you'll come back to that.
ParlaMint-NL_2017-11-08-tweedekamer-11.u109	In line with what Mr Bishop asked, the following. I had asked, among other things, whether the Secretary of State considers that he has sufficient powers to fulfil adequately what is contained in the coalition agreement, namely that he has a coordinating role and also the corresponding budget. I can understand if the Secretary of State may not be able to answer that at this time, but I think it is very important to give the Secretary of State every support for his position.
ParlaMint-NL_2017-11-08-tweedekamer-11.u110	Part of that is still part of the decision-making process. So with colleagues I will have to come up with some good proposals for the 900 million. That really isn't a running race. So if you ask me if I am sufficiently equipped to carry out the tasks that belong to my portfolio, then I say: it can always be more. Anyway, we'll have to make choices in the Cabinet, and I'll argue there why money is needed. But in advance, I have no indication that I would not be able to do enough with that. It will be particularly important how we will be able to work together in the field of vocational training. For example, with St.Maarten, where a lot will be available in one go, it is a matter of political management to ensure that this goes well. So this is going to be a very important aspect of my work.
ParlaMint-NL_2017-11-08-tweedekamer-11.u111	As far as finances are concerned, I understand that it is always about looking for a balance and making choices, but I am particularly concerned about the perseverance power that the Secretary of State may or may not have enough to fulfil his role.
ParlaMint-NL_2017-11-08-tweedekamer-11.u112	We have a cabinet with a number of rulers who are responsible for their own area of responsibility, so do I. I don't have the absolute power. We live in a parliamentary democracy. That's a good thing, I'd say. I understand the point very well, but I cannot answer the question as such. I think I have enough resources for that. That will have to apply immediately on the basis of the argument. And I also hope that the Chamber, and certainly the members of this committee and the spokesmen on this subject, will understand, where appropriate, that on a subject which affects the Caribbean countries and islands in many facets, you are dealing with and coordinating the forces in a very good way. That's what I'm supposed to do.
ParlaMint-NL_2017-11-08-tweedekamer-11.u113	My question is also about the new strong coordinating role of this Secretary of State. The government agreement also states that the other departments must come up with funding. In the written reply, the State Secretary states that the donors, or the organisations that contribute, are currently the Social Insurance Bank with 2.3 million euros and the Tax Office with 2.7 million euros. The Secretary of State indicated that the other departments still have to come. I have very specific questions about this. When does he expect that? And what exactly does he expect?
ParlaMint-NL_2017-11-08-tweedekamer-11.u114	The coalition agreement has actually been converted into a new budget in all departments by means of a letter of amendment. What will have to be done in the near future is that, if there are any bottlenecks in the countries, the islands, I will, of course, also report this to colleagues. Here too, we must pay attention to them in the specialist departments. For that is most of all: the realization that they are part of the Kingdom. In the case of the BES islands in particular, although they are at a great distance, they are part of our Dutch state system, and we are paying attention to this. I see that as an important task. So it is often not even intended to go wrong, but that is also because there is another way of looking at it. So that will also play an important role in the budget for the coming years. If I see these things there in the coming period and when I see that things are going wrong or that there is a need for tailor-made work, I can also tell colleagues. In view of the somewhat short period of time, not all departments have yet achieved this result in all kinds of concrete budgets. But where necessary, for example, with that UNICEF story we were talking about, this could happen in the years to come. I am therefore a sort of oil man, who then brings to the attention of the needs and represents the interests of the Kingdom in the Council of Ministers.
ParlaMint-NL_2017-11-08-tweedekamer-11.u115	That's, uh, that's, uh, that's, uh, that's, uh, that's, uh, that's, uh, that's, uh, that's, uh, that's a great I give the Secretary of State many compliments today.
ParlaMint-NL_2017-11-08-tweedekamer-11.u116	Then the Secretary of State must be careful.
ParlaMint-NL_2017-11-08-tweedekamer-11.u117	No, I'm not. The Secretary of State isn't, you are.
ParlaMint-NL_2017-11-08-tweedekamer-11.u118	What exactly do you mean?
ParlaMint-NL_2017-11-08-tweedekamer-11.u119	We talked about it last time, remember, when I complimented you during the General Political Reviews. Anyway, um...
ParlaMint-NL_2017-11-08-tweedekamer-11.u120	Oh, go on.
ParlaMint-NL_2017-11-08-tweedekamer-11.u121	...that won't be necessary, Mr. Chairman. Not as far as I'm concerned.
ParlaMint-NL_2017-11-08-tweedekamer-11.u122	Oh, I can't joke at DENK.
