ParlaMint-NL_2017-04-12-tweedekamer-3.u1	I would like to welcome the Minister and my colleagues.
ParlaMint-NL_2017-04-12-tweedekamer-3.u30	Mr. Chairman. This bill should provide for a redrafting of the letter and telecommunications secret contained in Article 13 of our Constitution. This new wording modernises the fundamental right of Article 13 and makes it technologically independent. Who could have a problem with that? Asking the question is answering him. Since Thorbecke introduced the letter secret into his Constitution in 1848, technological development has not stopped. Telephone and telegraph were introduced and included in the 1983 Constitutional Amendment. The arrival of the Internet has considerably expanded the communication possibilities. We mail, appen, chat, "slack" and swipe. I can't help but think it's English terminology. We sometimes do this even more than is right for us and without realizing the privacy risks. Often the privacy threat of hacks occurs, causing passwords, sensitive information and photos from the cloud to be put on the street. Sometimes it's the government that can barely control his curiosity. Think about the retention of Internet traffic data. In recognising the respect of personal communication, the Constitutionalist makes a deliberate distinction between content and its wearer. Personal communication can only be taken into account if there is a formal legal basis and with the express consent of the court. In 1983 the cabinet already tried to sweep up content and carrier and to demolish the level of protection of letter secrecy. The amendment by CPN'er Bakker put a stop to that. That discussion has become more complicated in some sense since then. In many cases, contents and carriers are not distinguishable from each other. Searches are integrated into a URL. Technically, it is about traffic data, but at the same time they offer a look at the content. Despite the written procedure and the answers to the questions, my group still has a number of questions. Is the Minister satisfied with the choice of wording? Does the secret of letters and communications cover what we consider to be worthy of protection? Both the Franken Commission and the Thamassen Committee proposed a technically neutral wording of Article 13. They spoke of confidential communication, but that was what needed to be done. The term 'telecommunications secret' is now being chosen. Would it not have been better to talk about "electronic communication" or simply "confidential communication" in the end? Does the Minister see the importance of separating content from content? Does the Minister not agree that the highest possible safeguards should be provided for access to the content of private correspondence, in whatever form, and that the infringement should be appropriate and should be brought before the courts? If so, how does the Minister deal with carriers that simultaneously bring content? How does the ECHR statement Copland versus the United Kingdom of 3 April 2007 relate to this constitutional proposal? Is it true that the ECHR has gradually brought traffic data under the scope of communication secrecy? If so, will the final amendment of the Constitution stand in the foreseeable behavioural test of the amended Article 13? Does the Minister not agree that the definition of 'national security' should be defined exactly? Can he help the legal practice on the way by providing here a complete, hermetically dense, exhaustive list of facts, circumstances, and suspicions on the basis of which the right to letter and telecommunications secrecy can be restricted by those designated by law? This draft Constitution leaves much to the discretion of the legislator. There may be good and very urgent reasons for violating civil liberties. At the same time, it is one of the merits of the democratic rule of law to make such infringements only if there are reasonable grounds for doing so. Under such circumstances, new checks-and-balances must be devised to prevent the Minister of the Interior from fully automatically aligning requests for consent from those designated by law. I wonder what guarantees the Minister has in mind.
ParlaMint-NL_2017-04-12-tweedekamer-3.u31	Mrs Özütok has also tabled an amendment. That should keep the letter secret separate, however, in order to deal with the old means of the letter separately. Despite her comments on a technology-neutral solution, which she is generally in favour of, I am curious as to why. In my contribution, I indicated that we do not know what the letter will look like in the future and that it could be technically quite different. Don't we make it difficult for ourselves to separate the letter? Aren't we in the middle of a rear-guard fight?
ParlaMint-NL_2017-04-12-tweedekamer-3.u32	I don't think so. Despite all the means of communication, despite all the modernisation, the letter has a place in our society. They're gonna go through with it. Their protection through the courts is well arranged. The documents and reporting have not shown me the reason for lowering the level of protection currently available, so I would like to hear whether there are reasonable reasons for lowering the level of protection and bringing it together with this law. That is actually my question, and I hope the Minister will be able to give a good answer. I think it is important that the current practice can continue and I prefer to talk about personal confidential communication rather than an old-fashioned-sounding letter secret.
ParlaMint-NL_2017-04-12-tweedekamer-3.u33	Then I understand that Mrs Özütok ultimately also wants all means to be treated in the same way, but that she is looking forward to the Minister's answer to the question of how best to do that, including for letters.
ParlaMint-NL_2017-04-12-tweedekamer-3.u34	It may be a start, but I would first like to know why this unanimity is necessary in this case.
ParlaMint-NL_2017-04-12-tweedekamer-3.u35	The answer raised another question for me. Why does Mrs Özütok think that the written letter is more important than the e-mail?
ParlaMint-NL_2017-04-12-tweedekamer-3.u36	That's a good question. This is what I'm talking about. Letters now enjoy good legal protection, thus ensuring the confidentiality of the content. In the e-mail, that's a different story. I think it is important to define the safety and legal protection of telecommunications, but it is already well defined for the letter. So I see no need to move that protection to another level now.
ParlaMint-NL_2017-04-12-tweedekamer-3.u37	That at least makes it clear to me what the reason for this is. Then I have another supplementary question. We're both from a time when we used to write letters. Is the content of an e-mail of any other interest than the content of a letter?
ParlaMint-NL_2017-04-12-tweedekamer-3.u38	That's a good question. I am not so much concerned with the content as with the way in which it is. I need some checks and balances. What are the security criteria and how is legal protection guaranteed in both cases?
ParlaMint-NL_2017-04-12-tweedekamer-3.u39	I would like to thank Mrs Özütok and give the floor to Mrs Bruins Slot on behalf of the CDA Group.
ParlaMint-NL_2017-04-12-tweedekamer-3.u40	Mr. Chairman. Colleagues have already explained in detail that Article 13 of the Constitution lays down the right to protect communications by e-mail. Back in the day, we were just talking about it in an interruption, the communication went by letter, by telephone or by telegram. I also liked the fact that Mr Van der Staaij pointed out once again that the last change to telephone and telegraph secrecy was in 1983. If you look back, as Mr Verhoeven has just done, you can see that there have been a lot of digital changes since then and that communication is of course now via Facebook, via whatsapp and via mail, with all the conveniences and hurts of that. The CDA Group therefore agrees with the government that the constitutional protection of letter and telecommunications secrecy should be formulated in such a way that it is independent of technical design. You can see that clearly when you compare the 1983 stand with that of today. Article 13 of the Constitution must protect the content of the communication transported by means of a means of communication, whereby a third party, someone else, is responsible for the transport in question. It also includes the protection of intermediate storage, in so far as it is related to transport. In that context, I would like to ask the Minister the following. When we talk about storage, related to transportation, we see today that we store a lot of pieces in the cloud. That cloud is often not under our own control, but under that of a third party. To what extent does it fall under Article 13 of the Constitution? The SP, D66 and GroenLinks groups have already asked questions about traffic data. The CDA also has a few questions about this. The government states that the boundary between the content of communications and traffic data is not always clear. That's what the CDA sees. However, this distinction is important in the debate. Traffic data which do not provide information on the content but on the transmission and storage of communications are excluded from the scope of Article 13 Constitution. Moreover, in so far as they concern personal data, traffic data is protected by Article 10 Constitution and Article 8 of the European Convention on Human Rights. Can the Minister address the question of how exactly the proposed Article 13 Constitution relates to Article 8 of the said Treaty? In those cases where the traffic data also relates to the content of the communication, as is the case with a text message or a subject line, such as an email, these data are covered by the scope of Article 13. Several colleagues have already asked questions about this. The main question for the CDA is who determines when traffic data relates to the content of the communication. How do you even know that? At the moment that you have already taken that step, or is it raised in advance or left to court rulings or to lower regulations? Thank you.
ParlaMint-NL_2017-04-12-tweedekamer-3.u41	Thank you, too. I see that Mr Verhoeven wishes to intervene.
ParlaMint-NL_2017-04-12-tweedekamer-3.u42	It's just a detail. Thanks to the CDA for the nuanced input. I have seen from the CDA a somewhat less nuanced input when it comes to the balance between privacy and national security. I think Mrs Bruins Slot's questions on traffic data are important. What does the CDA Group think? Doesn't she want to put the traffic records there under any circumstances? Or does Mrs Bruins Slot first want to know in which cases it is or is not substantive? If it is content, is it the intention of the CDA that they should be covered by that scope? Or is it more of an interesting question, without affecting the position of the CDA Group in the handling of this law?
ParlaMint-NL_2017-04-12-tweedekamer-3.u43	I like the Minister's point of departure. The law and the explanatory statement state that traffic data, in terms of content, are covered by Article 13 Constitution. But the key question is what is content and what is not content. The Minister has already made a further clarification in the note on the report. I think it is important for him to take this further in this debate, so that we will soon have a clear review framework if the application of Article 13 of the Constitution continues.
ParlaMint-NL_2017-04-12-tweedekamer-3.u44	Clear. The point is, of course, that it goes wrong in practice. Because the services that use these data in the context of national security, which do not necessarily always have to be in the context of national security, will always say that it is about traffic data, while they will almost always contain content. You can sense that the number of times you call someone and the place from which you do that, already says a lot about the substance of someone's behaviour, on the basis of which, for example, a suspicion arises. I think that the CDA Group is asking fair questions, but the answer will be very soon: it is just traffic data. While it will almost always be content. Will the CDA Group be vigilant about this? Does it not want to be too easy in the definition of "only traffic data" when it almost always concerns content?
ParlaMint-NL_2017-04-12-tweedekamer-3.u45	In fact, in the note on the report, the Minister has already well substantiated which dates or traffic data are or are not content. He has given a number of examples of this. I think he might be able to frame even further the main thrust he's held there. Why is that important? As you can see, Article 13 of the Constitution often gives you further regulation and new laws that need to be properly aligned. This means that the framework indicated by the Minister here during this discussion is an important point of departure for further interpretation.
ParlaMint-NL_2017-04-12-tweedekamer-3.u46	We are going to the last speaker, Mr Bosma, on behalf of the PVV, with a short but undoubtedly concise and powerful contribution.
ParlaMint-NL_2017-04-12-tweedekamer-3.u47	Mr. Chairman. This is an extremely logical amendment to Article 13. My group agrees with that. I am also pleased with the fairly broad support that seems to sign off after the first term. There are plenty of questions left. Many have already referred to this. It is often about definitions and the scope of concepts. I wish the Minister every success in framing some of these concepts, such as national security. What exactly is that? Is that very scary, is that very limited, is it about terror, is it about acute terrorist threats, is it about people who call for terror? Or does it go much further, is it also about ideas? We live in a country where Gregory Nekschot was arrested for drawing drawings. The author of the book The demise of the Netherlands, a prediction of the future that goes beyond comma, has also been condemned. Hans Janmaat was convicted because he said that 100,000 people will come to the Netherlands. You can come up with a reasoning and say that that kind of ideas and that kind of statements are detrimental to national security. Let us deal with the people anyway, and let us also look at their communication. What's the Minister's position on that? Couldn't you also agree with the reasoning that the letter secret is actually being undermined? Indeed, the fairly harsh guarantee as it existed in Article 13 is somewhat undermined by the fact that national security is now at stake. That actually means a reduction in the letter secret as it existed. Does the Minister agree with that thought you might have? What exactly is telecommunications? Does everything fall underneath, including the dm's, the apps, the texts, the chats? The cloud has already been mentioned. Is all this covered by the concept of telecommunications? Nor can that concept be precisely defined. The communication of Mr Verhoeven's refrigerator with Albert Heijn, is that included? You could say, especially in the case of Mr Verhoeven, that that is privacy-sensitive. It is, of course, getting wider and bigger with all these things. Another concept introduced is "respect." That sounds a little like respect. On the street, you're forced to respect yourself. What exactly is respect? It is at the expense of the concept of immunity, which I have in mind. These are words, but they are not without consequences. Again, I welcome the broad support that the new Article 13 seems to have.
ParlaMint-NL_2017-04-12-tweedekamer-3.u48	The Minister has indicated that he can answer the questions of the honourable Members immediately. I now give him the opportunity to do so.
ParlaMint-NL_2017-04-12-tweedekamer-3.u49	Mr. Chairman. I would like to thank Members for their contributions. It is the second time in 24 hours that we stand in this position to talk about an amendment to the Constitution. Yesterday, the need for the amendment was discussed in detail. Today, however, I am demonstrating broad support for the idea that the current text of the Constitution should be amended. For the viewers at home I will read the current text, which is rather short. That text reads: "The secret of letters shall be inviolable, except in the cases provided for by law, by order of the judge." Paragraph 2 states: "Telephone and telegraph secrecy shall be inviolable except, in the cases provided for by law, by or with the permission of those designated by law." Thus, in law, messages are protected. Firstly, there is an exhaustive list of the technical nature of these messages: it must be either a letter or telephone or telegraph communication. Secondly, a distinction is made as to the extent to which the Constitution protects it. When it comes to a letter, the judge must order it before the government can have access to it. In the other cases, the ordinary legislator may decide who should give the order; that does not necessarily have to be a judge. Other forms of communication, strictly speaking, do not appear in the law. So far it has been a question of explaining that an e-mail or a text message is covered by telephone and telegraph secrecy, and that it can therefore be regulated by ordinary law whether the government should have access to it and under what circumstances. That is obviously outdated; it has been for some time. The question asked by some of the Members was why it took us so long to stand here to change the Constitution. That is, of course, a bit of a difficult question for those who ultimately come up with the proposal to change it. After all, I am on the shoulders of predecessors who have already been working on it. Without going into depth, I think there is a role in this that you will have discussions about scope and a number of definitions that we will come back to. This has also been the subject of considerable attention in the consultative process. Before I zoom in on this, I would like to pay particular attention to the system of the Constitution. This protects privacy quite extensively in a number of articles. That starts with Article 10: the protection of privacy. Then comes Article 12, which specifically deals with house law, so protecting privacy in your own home. In that system, it actually makes sense, and it also makes sense, to arrange in Article 13 the privacy of something that is sensitive to privacy and moves from one privacy to another. So back in the nineteenth-century thought: in article 10 you have the protection of privacy when you are talking to each other in your front yard. Then the government should not place targeted microphones in there, or try to find out what is being said. This falls within the scope of Article 10. But when you send a letter to someone on the other side of the street, you give the letter to the mailman and he delivers it, the government cannot just say to that mailman: let me look in it. If the government did so, it would fall within the scope of Article 13 of the Constitution. We can maintain that system today, too. Only the technical dependence currently in the specialization of Article 13 must now be removed. That is the objective. I shall deal with the amendments in a moment. I would like to continue to put the absolute independence of technology at the forefront. I would not like to make another distinction between the note I just gave to Mr Van Raak in a closed envelope and the text I may have shared with one of the other Members. Both must be dealt with in the same way in the Constitution. There may be differences in the law, of course, but it is now a question of constitutional treatment. It was in 1983 after this I stop looking back at it, apparently hip to include not only the letter secret in the Constitution, but also the telegraph. We are also of this age and we are aware that new means of communication are being used for telegrams and so on. We shouldn't make that mistake again. Soon I will give an example here and there to give an impression of a number of concepts. This must really be seen as examples, because we should not come up with an exhaustive list, in the sense that a text message is included and not a direct message at Twitter. Facebook requires you to accept followers. Is it or isn't it? I'm not deliberately finishing the sentence, because you end up in endless discussions. We should not want to regulate this at constitutional level. If it had to be settled, then perhaps by law in somewhat general terms. In the end, the judge has to decide whether it falls within the scope of such a law. The general concepts of the constitution are of course of the utmost importance. The proposal now before us fully guarantees technical independence. Everyone has the right to respect their letter and telecommunications secrecy. So there's nothing about the shape. I'll be right back to the question... No, I'd better do that now. When is communication telecommunications? In fact, this is the case, and that is always the case with the assessment. Mrs Özütok asked when a personal conversation would or would not be covered. There are three cumulative criteria to be met if the protection provided for in Article 13 is to apply. First of all, a means of communication must be used. When we talk to each other in the public, it is not at all covered by the protection of the Constitution. When we do that privately, it is the protection of privacy. It's gotta be targeted. It must be addressed: it must have a name on it. By the way, there may also be more than one. However, when you stick something to your window, when you post a website or when you call something off the balcony, it does not fall within the scope of the letter secret, of Article 13. After all, it is not addressed; it is not addressed. The essence of the old letter secret is that you entrust the message to third parties. If I write a note immediately at lunchtime, slip away and Mrs Bruins Slot and she opens it up again, it is not covered by the letter secret because no third party has been involved. The purpose of Article 13 is precisely to protect traffic between the two of us at that stage, but there must be a third party responsible for that. I think that with these three criteria you have a future-proof package, which at least allows you to weigh new techniques into the Constitution when making laws. These laws can then be more specific and more detailed. Mr Verhoeven and Mr Van der Staaij asked about future stability. It is in those criteria, which are quite broad in that respect. Again, the ordinary legislator can fill that out. He can make a law on texting if there's a reason. The judge can then see if anything is covered. Are traffic data covered or not covered by the letter secret, under Article 13? That's an interesting question. Let me say first of all that I fully agree with Mr Verhoeven that traffic data may also relate to the privacy of persons. I believe that I have written to the Chamber that a list of telephone numbers someone has called with, for example, a buddy group of seropositives, an AIDS clinic and an establishment where people meet, can give an idea of the private behaviour of that person. In fact, such a list of telephone numbers can say more about a person's private behaviour than the content of a telephone call or the content of a letter. If ever there had been a tendency to say that traffic data does not affect privacy, I would like to stress here that that is not my attitude. You can certainly get a picture of the privacy with sufficient traffic data. The question is whether these traffic data are covered by the message traffic. That depends. In principle, such data, where personal data are concerned, fall within the scope of Article 10, the protection of privacy. Could there also be traffic data that is not covered by the personal data? I have just asked my staff to give an example of this. They had to search, but they came up with the example of HTML. That stands for Hypertext Markup Language, remember? From the layout of a page that is sent with a message you can say that it is not about personal data, but that it is covered by traffic data. Well, maybe. In that case, there is therefore no constitutional protection. That does not rule out the fact that the ordinary legislator still puts a protection on it, but that is certainly not covered by Article 13, and I do not think it is under the protection of privacy as such. Again, I do not want to become too technical because we want to be technical independent, but an obvious example in which traffic data does contain content is the practice, which I think we all know, that when we put an -e-mail in the subject line, on the subject of the e-mail, we do: don't forget our drink Friday afternoon. That's obvious content, but it's at the scene of traffic records. It is clear that such data will then fall within the scope of this Article 13.
ParlaMint-NL_2017-04-12-tweedekamer-3.u50	The Minister is right to say that form and content cannot always be separated in digital communication. He rightly says that metadata is often much more interesting than content. I hear that a lot from secret services. So there's also a big privacy issue there. Is the Minister now saying that these traffic data, these metadata, are all covered by Article 10, respect for privacy? I do not think that is the case. The other category is covered by normal legislation. Does the Minister agree with me that it is strange to include part of the metadata, part of the traffic data, under constitutional protection and not the other part?
ParlaMint-NL_2017-04-12-tweedekamer-3.u51	There are two things that are mixed up now. Article 10 is based on the protection of privacy, unless otherwise provided by law. Such a law can, of course, be the Act on Intelligence and Security Services. In addition, there is the question of whether there are traffic data that are not covered by the scope of Article 10. I have just referred to an example of this as a far-fetched example.
ParlaMint-NL_2017-04-12-tweedekamer-3.u52	Then let me try to put it easier. In digital communication, form and content, the metadata, are difficult to distinguish in terms of privacy. If we protect the content constitutionally, but we don't protect the metadata, wouldn't you make an unjustified distinction?
ParlaMint-NL_2017-04-12-tweedekamer-3.u53	That is not the case. Traffic data are subject to constitutional protection if they concern personal data, namely Article 10 on the protection of privacy. If there is no message that meets the three criteria I have mentioned, namely that it is delivered to someone else via a means and through a third party, it does not fall within the scope of the message traffic referred to in Article 13 of the proposed Constitution.
ParlaMint-NL_2017-04-12-tweedekamer-3.u54	Mr. Van Raak, for the last time.
ParlaMint-NL_2017-04-12-tweedekamer-3.u55	That's clear. If I understand correctly, all metadata, all traffic data, are covered by Section 10. Or is there a residual category and is that residual category very minimal? That is also what I am asking for in view of the future, in connection with the Internet of Things. We're now making a constitutional change for something in the future, which we don't know yet. Is the law in this wording sufficiently equipped for developments that we are not yet seeing and which may not fit into the Minister's three-stage criteria?
ParlaMint-NL_2017-04-12-tweedekamer-3.u56	I did not say that all traffic rules are covered by Article 10. This is only the case in so far as they concern personal data. So I am referring to that answer. I have also given an example where this is not the case. This does not mean that they are not protected under the rule of law, because the ordinary legislator is, of course, free to legislate further. If it is not a message that meets the criteria I have mentioned, and if it is not about privacy, you could leave a residual category of traffic data that is regulated by ordinary law but not by the Constitution.
ParlaMint-NL_2017-04-12-tweedekamer-3.u57	Can I have one more time? These data are as sensitive to privacy as those other data, especially in view of developments in the context of the Internet of Things.
ParlaMint-NL_2017-04-12-tweedekamer-3.u58	Now the search becomes meaningful, because if it does not relate to privacy, how can it still be privacy sensitive? That is what I would like to point out. Mr Verhoeven also asked about future stability, for example with regard to the Internet of Things and new developments taking place in this area. To be honest, I think that at this point we can come to an end with the terms I have just mentioned, which are general but rather specific. If you order your fridge to send an address message and if it runs through a communication device, that is actually a message. There is no reason why a shopping list that you address by post to Albert Heijn should be treated differently from a shopping list that is created by another means, but you have to maintain those three criteria. The Internet of Things will almost by definition contain a means. The question remains as to whether there is trust to a third party, which depends on how it is technically structured. And there could be "directed." So it could be covered. Once again, I am trying to stay a little away from too many specific examples to prevent us from becoming technologically dependent again in the reflections. I would like to take a closer look at the general points before I move on to the specific answer. We have already discussed the limitation of traffic data in the event of interruption. I'll continue with national security.
ParlaMint-NL_2017-04-12-tweedekamer-3.u59	Before you proceed, Mr Verhoeven has another question for you.
ParlaMint-NL_2017-04-12-tweedekamer-3.u60	I fully agree with the Minister that, if you want to remain technologically neutral, you should not deepen too many specific techniques in such a way that they somehow get into the legislative text. On the other hand, of course, it is necessary. If you write something technology-neutral, it is of course the implication of that technology-neutral wording in the practice in which all these techniques are indeed present. I understand that we cannot go through all the specific examples in this debate, and I also understand that the Minister himself is thinking about these categories; at least he does not park them as 'wanted' or 'you're making things difficult'. He understands that this is a role in practice, but how are we going to ensure that we cover it up enough and not leave it open under the guise of technology neutral? How's that going?
ParlaMint-NL_2017-04-12-tweedekamer-3.u61	I think that the answer in the written preparation does a lot of work; I refer to that once again. Following that, this debate can help to focus more on this issue. I have already said that, if I give an example, I realize that this is going to be part of the legal history, even if I try not to fill it out technically. In future, as legislator, the Court can take that back by saying that, if an e-mail whose subject-line contains content has been discussed in the debate, this e-mail is covered by the message referred to in Article 13 of the Constitution. In the future, if an analogue situation arises with a means of communication other than e-mail, this can be treated analogously. I think that with this kind of thing we can indicate some contours without hanging it from a specific app.
ParlaMint-NL_2017-04-12-tweedekamer-3.u62	I have another question along the lines of Mr Verhoeven's comment. You write messages on WhatsApp, Facebook and email yourself. You write them yourself, you send them, and they're in your private group of Facebook. However, through the Internet of Things, for example, there are more and more cars that send information about driving behaviour to the manufacturer. I didn't write that information myself, but it's my car, it's in the car's software to do that, and that data does say something about my driving behaviour and about the places I might have been, despite the fact that I didn't write the message. The car sends it with the software built by the manufacturer. Is this or is it not covered by Article 13 of the Constitution?
ParlaMint-NL_2017-04-12-tweedekamer-3.u63	That's a good question. It is contained in paragraph 1 of Article 13, which reads in the new proposal: 'Everyone has the right to respect his letter and telecommunications secrecy'. The question now is whether, if Mrs Bruins Slot's car exchanges independent information with the garage company, it would be a violation of her communication secret if someone were to infringe those messages. I want to be a little careful about this, but I think it depends on whether she knows that the car does, whether it is her intention to do so, whether it is content. With the supplier of an object, for example a phone, it can be agreed that it is automatically updated; an automatic update of software can be set. I do not think that is within the scope of Article 13, although information is exchanged via a means of communication, in a sense on behalf of... It seems to me that this then depends on the fact that there is no longer communication on the part of Mrs Bruins Slot, but on an automatic execution of an act.
ParlaMint-NL_2017-04-12-tweedekamer-3.u64	I'm gonna go through with this. Some of the situation may still be fictitious, but the previous amendment took place in 1983 and it proved to be obsolete within 15 years. I'm driving that car. There is software to look at what my driving style is, where I find myself exactly, how fast I drove somewhere and perhaps under what circumstances that happened. This may give us an idea of where Mrs Bruins Slot has gone recently and what she was doing there at those times. It's being sent to the manufacturer. That says something about what I do and what I don't do. Can this still be covered by Article 13 of the Constitution without me actively ordering that information to be sent?
ParlaMint-NL_2017-04-12-tweedekamer-3.u65	I'm here to wonder if that matters much. The question now is: is this covered by Article 10, the protection of privacy, which seems obvious to me, or is there still a message from that privacy? Let us at least agree that it has constitutional protection in any case. As far as personal information is concerned, which says something about Mrs Bruins Slot's behaviour, it is a matter of privacy. I tend to keep it that way. The same is true when the installer comes to her house and sees her behavior and the appliances she has in her house. It's in the sphere of privacy. If you're gonna stretch that to a message...
ParlaMint-NL_2017-04-12-tweedekamer-3.u66	That information is no longer in my home, but is stored with the manufacturer. That's the difference with Article 10. I always keep my cars pretty long. Let's just say I've been driving that car for ten years. That data will be there for ten years. Suppose at some point the government is interested in what Mrs Bruins Slot did at that time because the Tax Administration is wondering whether or not I used that car privately. Can it then request that information from the manufacturer and is it covered by Article 13 or Article 10? I wonder whether it will still be covered by Article 10, since it will then be covered by a third.
ParlaMint-NL_2017-04-12-tweedekamer-3.u67	That is not a difficult question, because storage is not covered by Article 13. Such storage may have been achieved as a result of a communication network........................................................................................................................................................................................................................................................ This has already been mentioned in the written reply; that was also the previous opinion. That is also an answer to the question about the cloud. The cloud is then seen as an external hard drive, as a form of storage or as information entrusted somewhere. This may then fall under the protection of Article 10, but in any case it will no longer be covered by the confidentiality of letters, Article 13.
ParlaMint-NL_2017-04-12-tweedekamer-3.u68	First of all, I would like to express my appreciation to my fellow Members, who are all presenting interesting examples to the Minister, and to the Minister, who is trying bravely to answer them. I notice two things about this. In my view, it indicates that, in addition to the debate on what the public authorities are allowed to do, we should actually have another major discussion on the issue of data held by companies or citizens. Now I actually want to throw an extra dimension into it, to make it even more difficult. Today we also know an augmented reality: a combination of things. You communicate directly with someone, but part of the communication takes place via a screen of a third party. According to the Minister, is there a situation in which a kind of combination of Article 13 is used, for example, through your glasses and Article 10 applies because part of the communication is direct? It seems very difficult to me. I do not expect a final answer immediately, but I would like to point out that this is precisely why a technically neutral constitutional revision is important.
ParlaMint-NL_2017-04-12-tweedekamer-3.u69	I regard this as a support for the proposal that is before us. I keep pointing to the three criteria. I think we should always look at this: is there a means of communication, is information entrusted to a third party in charge of transport and possibly intermediate storage and is there a focus on communication? These are the three criteria to which this is always measured. I also agree with what Mr Koopmans said, namely that there should be an opportunity to discuss the horizontal effect. You have seen in the documents that, on the advice of the Council of State, I did not include this horizontal effect. This really regulates the relationship between government and citizens, according to the Constitution's system. There is much to be said about the relationship between citizens and other bodies, individuals or groups of persons, but this is not covered by this proposal. Which brings me back to the main path. I have just illustrated that we have now replaced the technical dependence in the distinction in the old Article 13 with another relevant difference. We talked about that, too. Everything now falls within the scope of the new Article 13. Cases may not be examined by the public authorities until the courts order them to do so, unless national security is involved. Let me stress that first. Under the current regime there is in fact no constitutional limitation for the legislator to have access, for example, to SMS traffic, if that is in the interest of the business community of the Netherlands or if it serves another legitimate interest. If this amendment of the Constitution is adopted, it is no longer acceptable. Therefore, the legislator should only regulate whatsapp, SMS and e-mail traffic if it complies with the provisions of the new Article 13, namely that it must be authorised by the court or tribunal, and questions relating to it have also been raised in the interests of national security, by those designated by law. This, of course, brings us straight to the question: what is 'national security'? Mrs Özütok and other Members have asked for this. I can say that this is the same as the term used by the ECHR in the case law. It is therefore synonymous with the concept it uses: it may be the case in the case of violations of state and military secrets, calls for the use of force, the pursuit of terrorist activities and the publication of writings which could damage the functioning of a country's state security. The law therefore aims to align one-to-one with the definition of the ECHR. This is also consistent with the way the AIVD and STIVD handle it under the current Intelligence and Security Services Act.
ParlaMint-NL_2017-04-12-tweedekamer-3.u70	Well, "national security"... In his definition, the Minister refers to state secrets. Well, that's a problem. What exactly is a "state secret"? The House of Representatives is now also discussing this problem in the context of national security. In fact, the government can rank almost anything under state secrecy, sensitive information or national security. At the moment that is very spacious. Moreover, it is mainly the government that decides whether something is national security; the House of Representatives now has no role in this. I do miss that. If we put this so undefined in the Constitution, the government in theory has incredibly many opportunities to call something 'national security'.
ParlaMint-NL_2017-04-12-tweedekamer-3.u71	I believe that two things are now mixed up: state secret and national security. There may be reasons other than national security for declaring something state secret. For now, I want to leave that alone, because that subject is not now before us. Indeed, the concept of 'national security' is mentioned in paragraph 2 of Article 13 which we are now discussing. A definition is therefore important. I have just answered the question: it is the definition of the ECHR. I explained that too. Moreover, I fully recognise that things that are secret create inconvenience in a system in which we want to discuss as openly as possible with each other. But let me say that I sometimes experience this inconvenience in reverse: there is a rumor, for example, that I know is not true, but I cannot talk about it because it is secret and I cannot say that it is not true. So that inconvenience is also on the other side.
ParlaMint-NL_2017-04-12-tweedekamer-3.u72	In the definition of national security, the Minister mentioned three issues. Will the Minister repeat the last one? I wonder whether this, at least in theory, does not offer unprecedented possibilities. In my view, the third definition gives the government a great deal of opportunity to break this secret of telecommunications.
ParlaMint-NL_2017-04-12-tweedekamer-3.u73	This concerns the publication of writings that could damage the functioning of a country's state security service. This could be, for example, publishing data on agents or other sensitive information. This is not new, by the way. This is the definition used earlier.
ParlaMint-NL_2017-04-12-tweedekamer-3.u74	The Minister said that it was derived from, if I say so, Article 8 of the ECHR. By the way, the government wrote that in 1999. The term 'national security' is, of course, already mentioned in other places in the Constitution. In that sense, it's not new. I actually agree with Mr Van Raak that the broad way in which it is handled in practice is indeed a risk. That is why D66 has proposed, through an amendment, that the Minister should deal with this later, I think, in order to include the other elements used in the ECHR article to define the term 'national security'. However, the government does not. It's about the possibility of weighing up the means you're using to achieve the goal of national security. How far do you go in there?
ParlaMint-NL_2017-04-12-tweedekamer-3.u75	I shall return to the amendments in a moment. I agree that there can be discussion about the laws that are under the Constitution. For example, we recently had extensive discussions about one of those laws, the new Intelligence and Security Services Act. No full consensus has been reached on this either. It's possible. The proposal is now before the Supreme Court. This illustrates the fact that Mr Verhoeven is absolutely right. Within the constitutional framework, there may still be discussion about its legal implementation. Then I agree with Mr Van Raak: even if the law is established, discussion or discomfort can arise again in dealing with that law. That is certainly the case.
ParlaMint-NL_2017-04-12-tweedekamer-3.u76	I understand that, and I do. Underlying legislation will always lead to discussions, which will then be diminished on the basis of the Chamber relations after that discussion. I understand that very well. However, we are now discussing the inclusion in the Constitution of the term 'national security'. We do this on the basis of Article 8 of the ECHR, which defines this. My group proposes to add the other additions to the Constitution. That is why we are tabling this amendment. Then we will ensure that we have a broader and better framework to also define the limitations in lower legislation. However, the government does not want that.
ParlaMint-NL_2017-04-12-tweedekamer-3.u77	I am now inclined to discuss the amendments. Let me see if I have any other points. Things are connected, too. Many points of discussion ultimately lead to an amendment. Let me do the other points first.
ParlaMint-NL_2017-04-12-tweedekamer-3.u78	When it comes to a limited number of other points, I do indeed propose that they be dealt with first. Then you can deal with all the amendments at once.
