ParlaMint-NL_2017-06-14-tweedekamer-5.u1	Once again, I would like to welcome the Secretary of State.
ParlaMint-NL_2017-06-14-tweedekamer-5.u50	Mrs Lodders said that in her speech. I was just reacting to that. Sorry, I'll continue my argument now. The government tries to prevent and combat animal diseases in livestock farming in various ways. It's impossible to avoid. I can't do that at all. Then God Almighty must be here. Then the Secretary of State should be able to walk on water, but we can't. We can only reduce the risk of outbreak and spread. I wonder if the excess grafts play a role in this. In my opinion, this is happening less and less with small pets. Doctors wonder if they have to do this every year. How can children who are not grafted and are very much in contact with microorganisms, soil-based organisms, soil bacteria, be much less susceptible to diseases and allergies? Asthma is virtually non-existent in these children. How is this possible? Explain that to me, Mr Secretary of State. Since the removal of product shelves on 1 January 2015, the PVV has been a strong supporter of this and has taken the lead with the VVD in this regard, the tax is imposed by the Empire. The Empire has made agreements with industry, which are laid down in the Covenant funding to combat infectious animal diseases. The bill provides for the possibility to adjust annually the rates that we are pricing and the costs to be better distributed between business and the Empire. Because the size of livestock farming in some places has a negative impact on the quality of life and on public health, the Cabinet is proposing an interim law for livestock-tight areas to promote the quality of the environment. I also commend the government and this Secretary of State, especially after all the warnings we have had, including from GGD Netherlands. Business and public authorities have a common interest in the prevention and control of animal diseases. That is why it is reasonable for costs to be shared. I will advise my group to support this review. There may also be some good amendments which I can subscribe to or which I will at least support if they are of interest. I believe that this review will be a very real and reasonable solution. In the ten-and-a-half years that I have been a Member of Parliament, I would like to call for additional help, outside the NVWA, in the event of an outbreak of life-threatening diseases, both for humans and for other animals. We all know that the NVWA is understaffed. We have one or two debates almost every year about under-employment, the lack of quantity and quality at NVWA. We cannot therefore expect the NVWA to close down a risk area, an infection zone or an outbreak area. Hermetic must then be by the way, because hermetic is impossible. In any case, it concerns the supply routes and the landing and landing of people and animals to and from the area to be locked by the NVWA. I did it. A few years ago, when Secretary of State Bleker of the CDA was still here, I drove from my hometown of Heerlen to The Hague. On the news came the news that foot-and-mouth disease had broken out in an area in North Limburg. We drove past Midden-Limburg, adjacent to Noord-Limburg. I asked you to bow down at the time. We drove our car into the area. Then it turned out that there was absolutely no control. We could just drive into the area. We're in a bar where farmers are going to ask where the infected farm was. We could just drive to the company. After two hours of driving around we found one car from the NVWA, the Dutch Food and Service Authority. There were two people in there who were busy arguing. They didn't even notice that we drove by 10 times. Of course you can't. In other countries, I know that this is happening, and even the army is being called in, especially when it comes to deadly diseases. I would like to receive a response from the Secretary of State: what happened after that report from me? Secretary of State Bleker gave me right in that report at the time; it would be resolved. What happens if a human and animal fatal animal disease breaks out? How is such an area locked? In the meantime, is help from outside the NVWA also being sought?
ParlaMint-NL_2017-06-14-tweedekamer-5.u51	I just heard Mr Graus say that during the period when Mr Bleker was State Secretary, who was in the period 2010-2012, he was in an area in the Netherlands where foot-and-mouth disease had broken out. I think he's mistaken in that.
ParlaMint-NL_2017-06-14-tweedekamer-5.u52	That's right. You're right. It was indeed another disease. You're right. It was in mid-Limburg. You're right it wasn't foot-and-mouth disease.
ParlaMint-NL_2017-06-14-tweedekamer-5.u53	Possibly it was avian influenza, but that's not exactly what I have on the retina.
ParlaMint-NL_2017-06-14-tweedekamer-5.u54	Exactly. It was at the time of Secretary of State Bleker. You're right. Thank you for your timely response so that I can still fix this incorrect information, because you are right, Mr Geurts. I was wrong; that's right. I hope that Mr Geurts agrees with me that it was an infectious disease after all. That was stated at the time, but nothing had happened to close the area. People could just drive there, through the access and exit roads. There was also no check on whether people were transporting animals, while people, when such a disease breaks out, often start transporting animals in panic; that is well known. We must prevent this, because in this way diseases can also be spread, regardless of the fact that in the past, I think, diseases have also been spread by inspectors and enforcers, when the hygiene rules were not as they are today. I'm really sorry about that. That is why I would like to receive a response from the Secretary of State. I will continue with my speech. We once asked for 500 men of animal police. Everyone laughed about that then, because there were too many of them. However, you can see that the current 200 taskkeepers are unable to handle animal welfare, i.e. the animal police, the 144 reports, of 144 rescue an animal. They don't have time for detectives anymore, forensics. They can't even do that anymore. They can't even check preventively at a horse market or at a zoo or you name it. They don't even have time for that anymore. We had asked for 500 men to use them in these kinds of calamities. Again, there are not enough people for that now. I would like to hear what solutions the Secretary of State proposes, especially in view of the growing number of animal executioners. There's even a 10-year-old girl who's already turned her neck around in cold blood; it's getting crazier every day. What is the Secretary of State going to do to protect animals from such sick idiots? We are talking about combating the spread of animal diseases, but I would also like to mention the approach to animal executioners. Their number seems to grow by the day. I really can't keep up anymore. I often have sleepless nights of it. I would like to see action and reaction from the Secretary of State on animal welfare.
ParlaMint-NL_2017-06-14-tweedekamer-5.u55	Mr. Chairman. The Netherlands is wiser because of damage and shame. I refer to swine fever in the late 1990s, the outbreak of foot-and-mouth disease in 2001 and the avian flu in 2003. In the following years there would be avian flu every year, and in 2006, 2007 and 2008 blue tongue broke out. Sad low point is the outbreak of Q fever in 2007 which in any case killed 72 people, but probably even more. These were people we haven't been able to diagnose, and on top of that thousands got sick. It is no coincidence that the largest outbreak of Q fever ever occurred in the world history in the Netherlands, as well as a series of other outbreaks of animal diseases. That is not because Dutch farmers would treat their animals carelessly or carelessly, because the opposite is true. Nor is it the case that we lack knowledge to prevent or combat animal diseases. On the contrary. It is also not the case that the Netherlands has been flooded with wild animals spreading over the last twenty years. The opposite is true. All this is a simple consequence of two factors: a small, very densely populated country with a large, very intensive livestock farming, where people and cattle also live relatively close together. That densely populated country is a fact. The extent of intensive livestock farming is a political issue which is widely debated in the House of Representatives. The SP has already argued here that the current livestock is unsustainable in size, partly because of the structural problem of animal diseases. But now that we have this big intensive sector, it is our duty to do everything we can to avoid animal diseases and control them when they break out. Indeed, we have become wiser because of damage and shame and we have developed measures, among other things, through all kinds of outbreaks. These measures cost money, and that is why the Animal Health Fund has been set up, of which we are discussing today an amendment to the charging proposal. It is legitimate to ask why we are actually regulating this collectively. Indeed, one can argue hard-economically that animal diseases are a natural part of an individual farm risk of livestock farming and that all costs should therefore be borne by individual entrepreneurs. However, that does not do justice to reality. First of all, the social consequences of animal diseases are enormous: for the environment, where there is fear, for people who become ill, for people who are confronted with the images of large-scale slaughter, for animals and not to forget about entrepreneurs and their families themselves. There's no one who wants that situation. You cannot just leave this issue to individual entrepreneurs. Preventive measures must be comprehensive, otherwise they do not make any sense. Individually, you can't do an investigation. Screening and monitoring must be independent. Besides, you don't want good farmers to be the victims of freeriders, and you don't want a company in need to cut down on this issue. There must therefore be a collective approach that has taught us over the past few years, and that is why there is the fund. You have to fill a fund. Is it reasonable that, in some cases, if, for example, ceilings are exceeded, the public authorities should contribute to a fund necessary to bear the consequences of a private industry? As far as we are concerned, the social importance of preventing and limiting animal diseases is so great that it can be legitimate. However, it is only fair that the sector itself pays the lion's share: it used to be through product boards, now we work with levies. For the SP, it is important that the rates charged are directly linked to the balance between income and expenditure of the fund, as set out in the bill, and that these rates can be fixed each year through an AMvB. In this way, we can prevent unnecessary money from being deposited with levies that are too high in practice, but also from being potted at times when it is difficult and more money is actually needed. The ceiling amounts set every five years are, in turn, a certain guarantee of stability for entrepreneurs, which the SP is not entirely happy with, because this means that in the event of a breach of the reserve fund, part of the account ends up in the government. Nevertheless, it seems to be a system whereby the financing of the necessary commitment to the prevention and control of animal diseases is collectively regulated in a proper way and where the account is primarily transferred to the sector. The SP is therefore in agreement with the proposal for charges. That is why we do not think the amendment is entirely logical. After all, if you include in the law that sector representatives are involved in the creation of the levy, you actually undermine the idea that each year the levy is automatically adjusted to what is needed for the fund. That is why we are not inclined at the moment to support the amendment. Finally. Mr Grashoff has just spoken about the discrepancy that exists. We have taken care of business, but there is very little for human victims of animal diseases. I have considered doing something for that, but I have also counted my buttons and I realize that we are in a missionary period where there are probably few things to do in the Chamber in this area. I would like to draw attention to one small aspect, because I think that as a Chamber we should do something about the human side. It concerns the financing of care for victims of animal diseases. Q-support, the supporter of Q-fever patients, is scheduled to cease to exist in 2018, according to the current regime, and there is no provision for any continuation of the organisation or a new form of organisation.
ParlaMint-NL_2017-06-14-tweedekamer-5.u56	I would like to know what Mr Futselaar thinks of my amendment. He's talking about a missionary cabinet and that sort of thing, but we're just legislators. If the House accepts an amendment, that is simply a fact. That has nothing to do with a missionary cabinet.
ParlaMint-NL_2017-06-14-tweedekamer-5.u57	I haven't read it yet, so I can't give a 100% guarantee, but it sounded like a positive proposal. This has more to do with the question of why I have not tabled such an amendment myself. I did not do that because I suspected that such an amendment might not make it. That was my trade-off.
ParlaMint-NL_2017-06-14-tweedekamer-5.u58	This is evident from the votes.
ParlaMint-NL_2017-06-14-tweedekamer-5.u59	We shall, of course, vote as SP as we see fit. I was asking for attention for Q-support. There is no continuation of the organization in sight and time is running out. In 2018 the organisation stops and after the summer they start, anticipating the end, with the end of that organisation. Therefore, no new cases of patients are accepted. As far as we are concerned, this is not really a matter that can wait until a formation is complete, especially now that this formation seems to take some time longer than was originally hoped. I don't have a motion. I would like to ask my colleagues to consider whether, before the summer recess, we can make some kind of decision, which guarantees some degree of continuity for Q-support or a successor. I make it on purpose vaguely, because I don't want to be too leading. However, we are facing a current problem. Clock's ticking. I'm trying not to be too political, but I'm trying to help solve a problem. I will give it to my fellow Members for consideration.
ParlaMint-NL_2017-06-14-tweedekamer-5.u60	Thank you. I suggest we suspend for ten minutes. After that, the Secretary of State will answer the questions of the MPs.
ParlaMint-NL_2017-06-14-tweedekamer-5.u61	Mr. Chairman. Today we are discussing the proposal for a revision of the system of fees for the Animal Health Fund. These are the rules and the systems used to finance expenditure on the control and prevention of infectious animal diseases. For its financing, the Animal Health Fund has been set up. The starting point is that business contributes to costs. My predecessor made agreements on the distribution of these costs in 2015. Until 2015, the contribution of the business community was collected by the product boards through a production levy. The product boards had the power to impose those charges. When the product shelves were removed, that possibility expired. This is why another option has been sought to collect the sector contributions. In the GWWD, the Health and Welfare Act for Animals, there was already a possibility to impose such a charge, but that original charge did not enter into force at the time through the intervention of successive agreements, whereby financial agreements were made with the products. However, since 1 January 2015, the possibility of charging has been used in the law. But the existing tax system in the law is based on the situation of 17 years ago and therefore not on the current situation and the current arrangements. Thus, according to the existing system, a charging rate can only be adjusted once every three years and only up to 50% of the previously uncovered costs can be included in the new rate. This means either that high charges must be imposed in advance in order to cover all expenditure, or that there is a budgetary risk for the Empire. Both situations are undesirable both for business and for the Empire. That was the reason to change the system in the law. We're discussing that bill now. This bill, which is in line with the agreements made in the covenant, ensures that financial pressure on business can be maintained at an acceptable level, while at the same time overlooking the budgetary risks for the Empire. The legislative proposal provides more flexibility in implementation and leads to a better understanding of the charging system and to a balance sheet of financial risks and financial pressures. A number of general questions have been asked about this bill. A few amendments have also been tabled. Some of the questions were actually about the amendments. So I will respond to them at the end of my speech when I come to the amendments. I shall begin with the general questions that have been raised about the involvement of the sectors and transparency. Then I will deal with the questions concerning the distribution of costs and the category of other questions. The amendments will then be dealt with. First of all, questions have been asked about the involvement of the various sectors and the transparency of costs and tariffs. Mrs Lodders specifically asked about this. Each year, of course, an annual report and a final law on the Animal Health Fund must be drawn up. They are offered to the Chamber on Accountable Day. It specifically lists and explains all expenditure. The Chamber just got the annual report. Members will be able to find out what was spent last year. Expenditure on prevention shall always be budgeted in advance on the basis of the costs of the pre-established monitoring programmes. Of course, expenditure on combating can only be made clear afterwards. For consultation with industry, sector-specific statements of expenditure are made, so that it is clear which costs are allocated to which sector. This is also the subject of consultation with industry at official level every quarter. There are also regular additional discussions on the accountability of expenditure. In the annual report and the final law, the Chamber can find all the information in any case. Furthermore, we have just had a period of avian flu. We're shutting it down now. I can imagine that was also a bit in Mrs Lodder's question that we also specifically understand the costs of the fight and the measures we have had to take in the context of the avian flu. So I would like to see whether we can make that clear separately, regardless of the annual report.
ParlaMint-NL_2017-06-14-tweedekamer-5.u62	I am pleased with that last remark made by the Secretary of State, because I have indeed looked at the annual report on the Animal Health Fund and looked for precisely that responsibility about specific logistics surrounding, for example, the approach to avian influenza. I cannot therefore get that information and see whether, for example, the NVWA's course of action in the field of logistics is efficient. Because you can't compare these cases. Now it's always hard, but I'm looking for that kind of information.
ParlaMint-NL_2017-06-14-tweedekamer-5.u63	I do not dare to say that you can get out of all the information immediately whether everything has happened in the most efficient way, but it also seems to me that it is good for the understanding if we try to explain to each animal disease crisis that has taken place what expenditure is involved. We need to look at how this relates to the accountability that we, as a cabinet, give to Parliament through the annual report and the final law. I will map this out and inform the Chamber further about it. I think that's the right way to go. Mrs Lodder also asked about the value tables, in which you can see what fees are being paid when animals need to be disposed of, which unfortunately is the case with animal disease crises. In the current situation, an update of the value tables is requested per outbreak, as the value of animals fluctuates over time. In doing so, the Wageningen WecR, formerly the LEI, looks at the current market value. It can change every week, so a value table is very quickly outdated information. However, I would like to ask WECR to publish the updated tables every time, with the remark that we do not ask for an update of the value tables until there is an outbreak. There may be outdated information online, but at the time of an outbreak it can be very helpful if updated information is available online. I will therefore pass on that request. Furthermore, Mrs Lodders asked in general how we are going to communicate about this bill. Apart from our own communication, of course, we also communicate with the interest organisations and the sector organisations. They are closely involved in this process. It will continue to be so that we can work together in communication. They have quite direct lines to livestock farmers, namely to their own members and their own supporters. Sectoral organisations are also involved in the AMvB, which is drawn up on the basis of this bill to set tariffs. Through an internet consultation, this AMvB is widely announced. In the run-up to the moment when the charges will actually be imposed, RVO will also communicate widely on the systems and new tariffs. In that case, together with the sector organisations, communication will also be developed. The government has the line to communicate through the media and through RVO, but the sector organisations themselves also have direct channels. It helps if they also contribute to communication. Mr Geurts asked if I would lay down rules on the conditions under which payments are made and on the information on expenditure. Here too, the sector representatives are well involved in the accountability of expenditure and the establishment of tariffs. I take that for granted. I shall now turn specifically to Mr Geurts' amendment on consultation with the sector organisations. There were also questions about costs and the crisis reserve. Mrs Lodder asked whether it is real that we should assume a maximum of 40% for the crisis reserve. It seemed to assume that the reserve would actually be increased from the current 20% previously agreed to to 40%. That is not the case. The agreement in the covenant is based on a reserve rate of 20% of the ceiling as a crisis reserve. We'll stick to that. The bill only provides for a maximum size of the crisis reserve. 40% is included, inter alia, in order to have flexibility in the building up of reserves. This may be necessary, for example, after a major outbreak. If, in future, an increase or a reduction in the reserves of the crisis is necessary or possible, then I shall also be able to do so for my successor, when it comes to discussing it with industry, before a decision is taken. This can also be the subject of agreements in a covenant. Relevant to this is the fact that the crisis reserve should not be too high on the one hand: this would unduly affect the resources of farmers, as this would result in a higher levy than is necessary for expenditure. On the other hand, it is also wise that sufficient resources are available to enable immediate action to be taken in the event of an outbreak. You have to be able to pay for those measures. Because you also want to avoid having to raise a lot of extra afterwards. That is why this ceiling is included in the legislative proposal.
ParlaMint-NL_2017-06-14-tweedekamer-5.u64	Mr President, if you will allow me, I would like to place a number of interruptions so that we can keep the second period as short as possible. Do I agree with the Secretary of State when I say that the crisis reserve remains at 20%, but that, in exceptional cases or in a situation that occasionally occurs, a proposal is being discussed with the sector to increase the reserve to up to 40% or to a percentage between 20 and 40? And can this only be done in consultation with the sector? In what way will the Chamber be informed?
ParlaMint-NL_2017-06-14-tweedekamer-5.u65	It is not true that this can only be done in consultation with the sector, but it is common practice. If we are going to work with a higher size of the crisis reserve, it is appropriate to discuss it with industry before a decision is taken. And it is customary for the Chamber to be informed of a decision taken by a member of the Cabinet, so at that time the Chamber will also be informed by letter. However, as I said, it is also possible that new agreements will be made in a future agreement on this subject. It's possible. I would also like to add, in response to a question by Mr Grashoff, that the estimate is that the ceiling amounts are all sufficient at the moment. Both the ceiling amounts and the level of reserves are based on what we now know. However, it may be wise in the future to maintain a higher crisis reserve, if, for example, we are faced with an increase in outbreaks.
ParlaMint-NL_2017-06-14-tweedekamer-5.u66	It then seems that there is some kind of reference calculation and some kind of "theoretic model outbreak." We have then estimated the costs involved, and this would be done on the basis, for example, of historical insight. That's what it looks like. Could the Secretary of State say a little more about this? Because now he's actually saying, yes, we think it's enough. Well, I guess I'll have to believe that. I wonder if it is enough. I'll hear, if I could, a little more support.
ParlaMint-NL_2017-06-14-tweedekamer-5.u67	These amounts have, of course, been determined on the basis of the experience gained in recent years and the assessment of the risks involved. For although we have not experienced certain outbreaks in recent years, they could occur. On this basis, agreements were also made on the level of those ceiling amounts in the covenant. That covenant is over two years old. The amounts now included in the law are therefore not new. The Chamber has known it for two years. That's what agreements were made in the covenant based on those assessments. And the practice of the last two years also teaches us that it is all sufficient and that we can do well with it. In addition, the legislative proposal thus offers the possibility of making adjustments if it turns out to be different in the future.
ParlaMint-NL_2017-06-14-tweedekamer-5.u68	Please continue with your speech.
ParlaMint-NL_2017-06-14-tweedekamer-5.u69	Mrs Lodders has asked a question about fauna policy. Her question has to do with both fauna policy and costs. She said that it should not be the case that the bill of a generous fauna policy goes to the sector alone. In particular, she referred to the possible spread of animal diseases, for example by wild boar. This was also the subject of some discussion with Mr Graus. Mr Graus asked about the spread of animal diseases by wild boar. It is true that animal diseases such as classical swine fever, African swine fever and Aujeszky's disease do not occur in wild boars in the Netherlands. This is also monitored by blood tests in shot wild boars. This means that in the Netherlands the risk of the introduction of highly contagious animal diseases by wild boar is very low at the moment. In the past there was actually an agreement that a zero level of wild boar would be maintained outside the Veluwe. That is no longer real, given the spread of wild boar. Provinces must determine how they want to deal with the management of fauna. That's a jurisdiction of the provinces. This concerns both damage control and population management. This responsibility has been given to the provinces through the Nature Protection Act. It is therefore the provinces that determine how to deal with the risk of spreading animal diseases by wild boar. The Ministry facilitates the talks and thus also conducts talks with the provinces and with the pig sector. These discussions are mainly to explore the possibility of risk-based fauna policy. This should also lead to the lowest possible cost. As I said, the risk of introduction of infectious animal diseases is therefore fortunately very small. Mr. Graus asked "
ParlaMint-NL_2017-06-14-tweedekamer-5.u70	President:
ParlaMint-NL_2017-06-14-tweedekamer-5.u71	Wait a moment, Mr Graus, because the Secretary of State was just about to start answering your questions.
ParlaMint-NL_2017-06-14-tweedekamer-5.u72	But they are on another subject, Mr President.
ParlaMint-NL_2017-06-14-tweedekamer-5.u73	Okay. Mr Graus wants to ask a question.
ParlaMint-NL_2017-06-14-tweedekamer-5.u74	I am very grateful that the Secretary of State confirms this, including Mrs Lodder's. After all, the people who listen to all this at home often get involved. I'm very glad the Secretary of State is right. Thanks!
ParlaMint-NL_2017-06-14-tweedekamer-5.u75	If Mr Graus is very pleased with something I have said, who am I to change it? That's always nice.
ParlaMint-NL_2017-06-14-tweedekamer-5.u76	Yeah, that's smart.
ParlaMint-NL_2017-06-14-tweedekamer-5.u77	Mr Graus also asked about excessive grafts and whether this plays a role in the spread of animal diseases. The farmer has an important responsibility in preventing animal diseases on his holding. He is, of course, advised by the practicing veterinarian. This can advise him whether vaccination against a particular animal disease makes sense or not. That's what the vet does, if it's okay, based on scientific insights. The protection of animals on the holding is particularly important. Mr Graus also asked how areas are locked off in the event of an outbreak of animal diseases. For example, we have experienced this for a long time this spring in the last outbreak of avian influenza. Transport restrictions are then introduced, which are maintained by NVWA. More extensive measures, such as a standstill, can be scaled up and the police can also be deployed. The NVWA agrees to this through the National Operational Coordination Centre. Also when problems with public order are expected, help from the police can be requested. In very extreme situations, if I am not mistaken, the last time was the foot-and-mouth crisis in 2001. Such a request is made through the NCC. But that is only if the situation is so serious that an area really needs to be locked down. In most outbreaks of animal diseases, such as those we have experienced in the last six months, enforcement by the NVWA of the transport restriction is sufficient. Following this law, Mr Geurts asked a number of questions.
ParlaMint-NL_2017-06-14-tweedekamer-5.u78	Finally, about the grafting. I also know that there are grafts that are actually active, but there are also a lot of grafts that have a lot of side effects and a lot of disadvantages. There are also alternatives to this. I have said before: go ahead and work preventively by using pre- and probiotics. It's already happening in some places. I would have liked to have had a reaction from the Secretary of State. How can we limit excessive grafting? That's how you have to graft some little pets every year. How and where can we reduce the grafts or at least replace them by preventive work with pre- and probiotics, in order to strengthen the immune system?
ParlaMint-NL_2017-06-14-tweedekamer-5.u79	I'm not sure this is a political discussion. This sounds more like a discussion for veterinarians or scientists in this area, who look at what are the most effective methods of preventing the spread of animal diseases. The same applies to ourselves: we are also vaccinated. At least most of us choose to have themselves and their children vaccinated against a certain number of diseases. The same goes for animals, of course. Sometimes it is highly preferable to vaccinate animals because they can prevent the outbreak of certain animal diseases, or that much more annoying measures should be taken at the time of an outbreak. So I do not think what is preferable is a political discussion.
ParlaMint-NL_2017-06-14-tweedekamer-5.u80	In the Netherlands, the chances of an animal developing a disease against which they are grafted are relatively low. Thus, while the probability is relatively low, they are over-exploited. If the animals develop some diseases, they can often also be curatively treated. My question is whether we should not even do something about the preventative excessive grafting, especially in view of the theory I have suggested that it often interferes with the immune system of animals. I think that if you're going to work with soil-based organisms they're already far beyond us in certain countries, you can also strengthen the immune system of animals, so they're less likely to develop a disease.
ParlaMint-NL_2017-06-14-tweedekamer-5.u81	I'm sticking to what I just said. This is more a discussion among experts and scientists than it is now asking for a political policy.
ParlaMint-NL_2017-06-14-tweedekamer-5.u82	Following that, I would almost like to ask the Secretary of State how many animal species, animal categories, are actually grafted in preventively when we are talking about infectious animal diseases. It may even be a trick question, but I do not think that is happening in pig farming and perhaps in poultry farming in the case of one disease. So what are we talking about? We should not pretend that there is a lot of preventive grafting. That's not what this is about. I want to correct that image.
ParlaMint-NL_2017-06-14-tweedekamer-5.u83	This is what you have done. I suggest the Secretary of State move on.
ParlaMint-NL_2017-06-14-tweedekamer-5.u84	I think that's for the best, Mr. Chairman. The image has been corrected by Mrs. Lodders. As a result of the legislative proposal, Mr Geurts said: how does the outgoing cabinet look at the abolition of product markets and their consequences? This is, of course, a recurring point from Mr Geurts. He does not fail to stress that he did not agree. At the same time, the removal of product shelves for the cabinet is now a fact. A decision has been taken, both by the cabinet and subsequently by the parliament. That is also the framework for me. We are looking at how to design a number of things that are desirable or necessary for them to be carried out without product boards. This bill is one example of that. We also have occasional discussions about how we can ensure that private contributions to research, which is in the interests of the whole sector, are also made by everyone, for example through the railroad of making it universally binding. That's a little off the record. If Mr Geurts thinks it would be better to organise it in a different way, I have the impression that he has plenty of opportunities to put his mark on it in the direction of a next cabinet. In the case of animal health levies, it is important that it is now done by the public authorities themselves and that levy and recovery are therefore carried out by public law. The existing laws already provide the basis for this. The legislative proposal we are discussing now provides for an improvement in the instruments. Mr Geurts asked about the handling of objections against the charges imposed in 2015. They concerned a levy imposed on the animals present, while a levy on the set-up of animals had already been paid to the product body. A compensation scheme has been established for livestock farmers who paid a levy in 2014 on the production of animals that they still had in 2015. Those holders were compensated for that period when imposing the definitive levies for 2015. This arrangement has been implemented and the problems have been solved. The objections received in 2015 have thus all been dealt with. He also asked about the possibility of compensating poultry farmers with free-range animals because of the bird flu outbreak of the past six months. He referred to funds available in Brussels. Commissioner Hogan pointed this out. This is a national compensation scheme for which Brussels can provide 50% co-financing. So far we have agreed in the Netherlands as follows. We have the Animal Health Fund. This is primarily in order to pay the direct costs for the control and prevention of designated infectious animal diseases. Consequences damage is not paid, only in exceptional cases. Consequences damage is also excluded as expenditure items in the covenant agreed with the sector organisations. For the exception to pay for consequential damage, the line has so far always been that it only happens if there is disproportionate damage to certain affected persons compared to others and if the damage is so high that it cannot be considered as a regular business risk. It seems to me that it is very important to hold on to that. The abandonment of that principle would create a significant precedent in the sense that all sub-sectors and entrepreneurs who have suffered damage in a crisis could be eligible for compensation. The outbreak of animal diseases always causes damage to many entrepreneurs. This would also result in a high, very high national compensation amount. If you turn that over through the DGF to all holders, who have to pay for it, it would be a high sector-wide charge to collect the national part of the compensation scheme. That is why I have said to the poultry sector that I would only be prepared to use European funds if the sector itself can come up with a financial and economic justification that shows that the damage suffered by the free-range operators has been disproportionately high and cannot be included in the normal business risk. I have not yet received that support, but it is necessary to consider a national compensation for loss compensation for free-range holders and, therefore, a call on European funds. As long as that basis is not there, I see no reason to accept the request to claim European co-financing.
ParlaMint-NL_2017-06-14-tweedekamer-5.u85	I'm just trying to figure out exactly what the Secretary of State said. It is quite translated as follows: we have the DGF, the Animal Health Fund in the Netherlands, but you can only draw on this if you can prove disproportionate damage. At the heart of the matter, however, is that in Brussels money is available for the Netherlands and that this does not cost the Dutch government any money; only the business community has to recoup the other 50%. If the business community is simply willing to make up for the other 50%, which then comes out of the DGF, then what is the problem for the Secretary of State?
ParlaMint-NL_2017-06-14-tweedekamer-5.u86	First of all... Whether the money is in the Netherlands or in Europe, it is and remains taxpayers' money, so public money. You should always have a good reason to claim public money anyway. Taxpayers pay for that. In the Netherlands, we always use the line that we only compensate for consequential damage if it is disproportionately high, so high that it is outside the ordinary business risk. If you step away from that and say: 'there is European taxpayers' money and we do not feel that much of it ourselves, so that is comfortable', you are using a very different policy line. From that moment on, it will have to be handled with every outbreak of animal disease. Second. Mr Geurts says that the business community itself is willing to pay. This would mean that all companies in the affected sector would be willing to pay a contribution out of solidarity for those companies that have been disproportionately affected by this outbreak. At the moment when sector organisations in the poultry sector can provide evidence that there is disproportionate damage, so high that it is outside the normal business risk, I am prepared to look into that. I already told you. I'm sure that support will have to be there first. Moreover, this national contribution must be paid. There must therefore be solidarity within the sector so that the contribution is paid and that this European co-financing scheme can be used. These two conditions are, as far as I'm concerned. If this is met, I am prepared to look at it, but there is no such justification yet.
ParlaMint-NL_2017-06-14-tweedekamer-5.u87	Of course, we have to deal with tax resources wherever they come from. However, I am concerned that other European countries will be using this money, while the Netherlands is failing to do so again. When we talk about the Reverend and the merchant, I'm a merchant at this point and I think, "Hey, we're not gonna let that happen, are we? I'll come back to that at another time. I can see from the answer given by the Secretary of State that he is afraid of precedent. But this is a one-time arrangement, the Hogan scheme. What is the precedent?
ParlaMint-NL_2017-06-14-tweedekamer-5.u88	It is not a one-off scheme, because Brussels often has these kinds of budgets at its disposal for such outbreaks. But it is a question of when we are willing to compensate for damage at national level. We do this when there is disproportionate damage to certain companies compared to other companies. Furthermore, it must be a damage so high that it does not fall within the normal business risk. I assume that Mr Geurts agrees with me that only in those situations, with tax money, no matter where it is collected, can you compensate for damage. Here too, there are two sources: one is European money, the other is money to be raised by the sector itself. There must therefore be genuine solidarity in the sector, because otherwise we will impose this solidarity from the government to raise money to pay out to other poultry farmers. Before you can take that step, it is good to be able to justify that there is actually disproportionate damage. I would also like to see solidarity actually exist. Otherwise, you'll face another consideration. If sectorwide there is a willingness to spend money together to help those most affected by compensation, that is something else than when it is said: we are not prepared to spend that money on a sector-wide basis, because then the government should impose it from above. That seems many times more complicated to me.
ParlaMint-NL_2017-06-14-tweedekamer-5.u89	Please continue. How far along are you, by the way?
ParlaMint-NL_2017-06-14-tweedekamer-5.u90	I'm almost done. Mr Geurts asked me a question which he asked me last week, namely what I am doing to promote the acceptance of meat from vaccinated animals. I refer briefly to my reply last week. Mr Grashoff asked me to respond to a report I do not know. It's always a little complicated. It was a report on innovation in green clusters, namely the relationship with natural behaviour in animals. If Mr Grashoff can send me that report, I can give him a reply. Mr Graus once again asked about the task holders animal welfare, a responsibility of the Minister of V and J. At the end of the day, 180 of these task holders will be trained. The National Inspection Service also uses sixteen inspectors to deal with animal abuse. She's getting reports from the police and 144. They are 80% financed by EZ. The NVVW also pursues animal abuse. Then it's specifically farm animals. There is therefore a substantial commitment to animal cruelty.
