ParlaMint-NL_2017-06-06-eerstekamer-7.u1	I have already welcomed the Minister for Education, Culture and Science to the Upper House.
ParlaMint-NL_2017-06-06-eerstekamer-7.u39	In any case, this is the current practice. When I look at the opposite, namely the idea that the selection costs should be fully combated from the tuition fees, I find that equally curious. I find it difficult to maintain that a mechanism that tries to assess whether a person is fit for education should be included in the same education, the question being whether he or she can follow it. I think that's an equally unfortunate construction. Hence my question to the Minister to back up what this change is useful and necessary for.
ParlaMint-NL_2017-06-06-eerstekamer-7.u40	To correct this, it is not paid from tuition fees, but from the resources given to universities and colleges of higher education.
ParlaMint-NL_2017-06-06-eerstekamer-7.u41	But at least they're meant for education, not for selection to that education.
ParlaMint-NL_2017-06-06-eerstekamer-7.u42	Mr. Chairman. I would like to begin by saying that members of this cabinet are increasingly bringing together various issues in one legislative amendment. This bundling will make it difficult for us to make a careful assessment. This is also the case with this proposal, which, on the one hand, amends the legislation on the PhD candidate and, on the other, makes a proposal to allow universities to move their fields of work abroad. In this way, political discussions are often interwoven with necessary legislative changes. My group is concerned about this trend. If this minister had not been a missionary, I would have urged her to be cautious about this in the future. It makes it difficult for us as a Chamber to make a careful assessment of such a bill. For example, we agree with the proposals on promotional rights, but we have great difficulty with the proposal for internationalisation. My group wishes to deal with this more wisely in the future. May this also be a message for the upcoming cabinet. As I have said, I would like to comment on the part of the law governing internationalisation. Recently we received the message that the Netherlands has more than any other country a high average number of foreign students. Almost 2 out of every 100 students come from abroad. The reasons for this are teaching in the foreign language, cheap education and good quality. Let us mark the latter, because that is something to be satisfied with. However, we do not only have many foreign students. Dutch scientists are also among the most mobile in the world. 33% of the scientists at Dutch universities come from abroad. Despite these figures, the Minister feels that this law is urgently needed. She mentions three reasons for this: "This potential added value is seen by the government in strengthening international networks, positioning Dutch higher education abroad and facilitating the exchange of students and teachers." The first argument is very gratuitous; as if the only way to strengthen international networks is by starting a university in another country, and we have a huge amount of exchange between scientists. These international networks therefore seem to me to be perfectly in order, and this is confirmed by the research carried out by the Rathenau Institute. With regard to the third argument, we can rest assured that this is not a problem at the moment and that this legislative proposal is therefore superfluous. I would like to take a look at the second argument: improving the position of education abroad. If we look at the investigations that have been done, we can see that that position is already very strong at the moment. We actually have an excellent exchange of scientists and students, so there is no problem in this area and again no need for this bill. The Netherlands also appears to be a trading nation in the field of education. The international component of education does not seem to be under any pressure. What is under pressure is the flow of students from our own country. With the shrinkage of the population, the number of Dutch students is also falling and thus the revenues of the universities. Students from countries outside the European Union are making money, and that is cash register. However, the countries from which these students come do not stand still either. Slowly, the quality of education in the countries from which these students come improves. As a result, the market will shift to its own country, as is the case with China, a country that is hard on the road in the field of education and increasingly attracts or manages to keep scientists in. If this happens, the Dutch universities lose this target group and therefore also a nice source of income. The position that needs to be strengthened must therefore be that of the universities and not so much the interests of the student or of the science as a whole. I have to note that the Minister sees a change in the commercial playing field of international education and then sets out a strategy to strengthen that commercial branch of education. I think the Minister is asking the wrong question. It is inevitable that education in a country such as China will be strengthened and that many other countries will do the same. The Minister should rather ask what this means for academic education in the Netherlands. She could ask herself, for example, whether the use of English-language masters is now almost 100% wise, when fewer foreign students come here.
ParlaMint-NL_2017-06-06-eerstekamer-7.u43	I am listening with interest to your speech and I understand the ingredients of the analysis, although I might make the considerations myself something else. My question is this. Would you like to test what you have just said against the doctrine of university autonomy? In other words, why should the universities not themselves carry out the analysis you are making here, and draw their own plan within the limits of what is permitted, including the scope for initiatives abroad, in which the advantages and disadvantages are faced against each other, invigorating and weighing, and that is concluded in the participation regime that we discussed recently in this Chamber? This gives students and staff at the same university every opportunity to respond to the advantages and disadvantages of this particular proposal.
ParlaMint-NL_2017-06-06-eerstekamer-7.u44	That's a route you could follow. It depends on your political background which space you want to give. The fact is that there is a legislative change that is needed to give universities that autonomy and that space in full. On the basis of her philosophy, my group is in favour of looking at the impact and possible consequences of this autonomy. I'll go into it a little bit more. You can follow the reasoning that the universities or the students in the participation themselves have to make that assessment, but I choose to take some responsibility for it in politics and to say that this is not a good development.
ParlaMint-NL_2017-06-06-eerstekamer-7.u45	Thank you for your answer.
ParlaMint-NL_2017-06-06-eerstekamer-7.u46	If the Minister wants to keep education in the Netherlands attractive, is it not better to look at how that education remains attractive? There is still little money for research in our country. That's an internationally missed opportunity. The creation of an annex can also lead to the disappearance of talent from the Netherlands and the deterioration of the quality of Dutch education. I believe that we in the Chamber should weigh that responsibility, and I also say to Mr Rinnooy Kan. This proposal would then achieve the opposite of what it is intended to achieve. My question is whether the Minister fears that. If not, why not? You can already hear it: the SP is not enthusiastic about the proposal to give Dutch educational institutions the opportunity to start an annex in other countries.
ParlaMint-NL_2017-06-06-eerstekamer-7.u47	I wonder at what point there is a difference between the approach of the SP and that of VVD and D66, because I do not hear that, frankly. In both cases, the argument seems to be that it is good for the economic position of our education. One says: yes, that helps, this gives us big markets. The other says: no, that doesn't help; we have to protect a little protectionist our own education. Is there really a difference in the underlying argument based on market thinking between the SP on the one hand and VVD and D66 on the other?
ParlaMint-NL_2017-06-06-eerstekamer-7.u48	You take the premise that the concern for the commercial sector is the reason why we are reacting in this way, but even more so, I would like to call it into question. Is the commercial development of the university something we should wish for? That has nothing to do with protectionism. If the answer is that we want it, then the question is whether it has been done properly in this way. I would like to ask the question, because I do not think this should be in the universities.
ParlaMint-NL_2017-06-06-eerstekamer-7.u49	Mrs Gerkens does say that she wants to question that commercial branch, as I heard, but if the question is whether we are protecting or broadening the education market, that is both market approaches.
ParlaMint-NL_2017-06-06-eerstekamer-7.u50	No, in fact, in my text, broadening the market is not the solution, but you should look at more money for research. If you don't bring in foreign students anymore, what happens to the education here? Then you can do two things. You can say: we don't bring them in anymore and so we have to go to those countries to get them there. Or you could say that the market is changing and you wonder what that means for the quality of our education. How should we respond to this in order to guarantee quality in our own country? I am also concerned about this in my speech. I think that Mr Ganzevoort is referring to a point that I shall be referring to, namely the question of the conditions under which you can do such a thing, if you wish to do so. I just got there.
ParlaMint-NL_2017-06-06-eerstekamer-7.u51	The VVD words are being put in the mouth, which I have to contradict, if the commercial element in internationalisation were the most important, or an important element at all. I've never heard that proclaimed by my party. My party is saying that internationalisation of education, when it comes to mobility, content and languages, is extremely important in view of the internationalisation of the society that students are about to enter. If Mrs Gerkens objects to this alleged commercialisation, my question is: if we were to limit foreign students and their payment, so would we limit the amount paid by a foreign student to the tuition fees that are paid here too, would this remove the objection to internationalisation for Mrs Gerkens?
ParlaMint-NL_2017-06-06-eerstekamer-7.u52	Mr Bruijn now puts words in my mouth which I have not used, but which have been spoken by Mr Ganzevoort, so perhaps he should place this interruption with him. I did not say that there should be no such income, but I found that students from outside the EU are making money for universities and that money will disappear if they disappear. Apparently they want to solve this problem by going after these students and getting that money in there. That is the only observation I have made.
ParlaMint-NL_2017-06-06-eerstekamer-7.u53	As a result, I ask the question: if we were to eliminate that effect by limiting the payment of students from outside the EU to the amount of tuition that EU students also pay, would Mrs Gerkens' objection to internationalisation and maximum student mobility be removed? This is promoted, among other things, by the current legislative amendment.
ParlaMint-NL_2017-06-06-eerstekamer-7.u54	This really is a hypothetical question, which doesn't make any sense, if I may put it that way. It is an exchange with European students. We do not pay for students within Europe. Then you should also say that, so to speak, you could also go to China without this costing money. Mr Bruijn proposes a change to the system which is totally different from what we are discussing here today. I like to philosophize about it again, but I think we should spend our time on this bill.
ParlaMint-NL_2017-06-06-eerstekamer-7.u55	Finally, Mr Bruijn.
ParlaMint-NL_2017-06-06-eerstekamer-7.u56	Then I can only conclude that Mrs Gerkens initially raised the commercial element as the main objection to this bill, but that she would not agree to the bill if that commercial element were removed. The question is whether that is very straightforward, but at least it is clear.
ParlaMint-NL_2017-06-06-eerstekamer-7.u57	Mr Bruijn would like to turn the argument to his side more often. I am against the commercial aspect of the disappearance of students at home and abroad. One can say: we have fewer children in the Netherlands, so less students and so less students. I'm just saying it in the words of the VVD market. We can then find that market in another country out of expansion. I'm not in favour of that. Mr Bruijn does all the tricks, but he also says I don't want to. That's right: I don't want education to be a market. It's very simple.
ParlaMint-NL_2017-06-06-eerstekamer-7.u58	I have one question to clarify. Is it true that Mrs Gerkens grants the label 'commercial' to any activity which takes place within the objectives of a university and without public funding?
ParlaMint-NL_2017-06-06-eerstekamer-7.u59	No, I don't think so, because a lot of activities don't get government subsidies. I refer to Mr Ganzevoort's question. We already have joint venture programs. This already achieves a great deal for the quality of education through internationalisation. Why, then, should we give room for a risky enterprise, with a lot of comments? In my opinion, there can be no ideology other than: we are losing students, and therefore the finances around them.
ParlaMint-NL_2017-06-06-eerstekamer-7.u60	Can Mrs Gerkens say again when, under the circumstances I refer to, i.e. without state aid, she wishes to call an activity commercial?
ParlaMint-NL_2017-06-06-eerstekamer-7.u61	If it does not serve the purpose of strengthening education.
ParlaMint-NL_2017-06-06-eerstekamer-7.u62	Is that up to the university to decide, or are we gonna come up with that in this room?
ParlaMint-NL_2017-06-06-eerstekamer-7.u63	One of the reasons why we're breaking up with this Chamber is that there's a bill that needs to be discussed. This company also has risks to the quality of Dutch education. We do not have a brain drain now, but we could get it by developing these activities. That lies within the responsibility of Dutch politics. You don't think so. That's your right. That is why we have a debate here today.
ParlaMint-NL_2017-06-06-eerstekamer-7.u64	Please continue, Mrs. Gerkens.
ParlaMint-NL_2017-06-06-eerstekamer-7.u65	As I said, the Group of the Party of European Socialists is not enthusiastic about the proposal to give the Dutch schools the opportunity to start an annex in other countries. If something like this were to be desired, my group would have hoped that the values of our education and of what we teach would be taken into account. Dutch education stands for equal human rights, freedom of expression and equal opportunities. In the eyes of the SP, it makes a big difference whether to set up educational institutions in countries such as China, Iran and the Philippines, or in countries such as Germany and Spain. If we were to allow such a thing, it would have to be done under the framework conditions that are based on the values and standards that we uphold in scientific education. I do not see these demands in the proposal. Why didn't the Minister make these terms? And does she agree with me that this is an omission in the proposal? The Minister may object that these institutions, without a cooperation partner, are entirely concerned with their own curriculum. But that does not say anything about the legal constraints that there may be in such a country, because, for example, women do not have the right to education. Does the Minister consider it conceivable that in a country where women do not have a right to education, an annex should be set up? If so, what is it based on? I think the Minister will point out that the University of Groningen has ensured that the Internet is completely free on the Chinese university site. That's, you'd say, profit. The question is whether this is really a profit. On campus, Chinese laws apply. The knowledge freely acquired cannot be used in their own country. This leads to the question of the longer-term consequences of a knowledge enclave. Can the Minister at least indicate how she is going to ensure that these dependances are taught in accordance with Dutch standards? I look forward to the answer.
ParlaMint-NL_2017-06-06-eerstekamer-7.u66	I have a final question. The practice mentioned by Mrs Gerkens is not a renewal but an extension of a long-standing practice. For example, one of the Dutch colleges of applied sciences, the Stenden Hogeschool, currently has activities in four countries, including South Africa, which do not differ in character from what is regulated in full width in the bill. Should I understand Mrs Gerkens in such a way that she thinks afterwards that these activities should not take place and should perhaps be reversed?
ParlaMint-NL_2017-06-06-eerstekamer-7.u67	I don't know the activities you're talking about. But if you ask whether the SP is against international cooperation programmes, the answer is: no, we are not. An annex is certainly something different from the cooperation and joint venture programmes that are already in place. We believe that the legislative proposal goes a step further than the possibilities that exist today. Internationalisation is a fact. Society is international, so you have to ensure that internationality in education is also secured. We therefore have no objections to joint ventures and cooperation programmes.
ParlaMint-NL_2017-06-06-eerstekamer-7.u68	I would like to say that the current practice of this college, and perhaps also of other institutions, exactly replicates what is made possible in broad terms by the legislative proposal. That's why I'm afraid if it were a successful fight, it'd be a rearguard fight.
ParlaMint-NL_2017-06-06-eerstekamer-7.u69	I am well aware that we are one of the few groups that say that it is not a good development. We've had that before. Sometimes it takes us ten years to get that right. I do have those ten years.
ParlaMint-NL_2017-06-06-eerstekamer-7.u70	In the written reply, the Government states that it will set a number of conditions for universities and programmes before approving them. Is Mrs Gerkens not confident that the criteria that are important to ensure that this is done properly in other countries could be given a place?
ParlaMint-NL_2017-06-06-eerstekamer-7.u71	No, because otherwise, I wouldn't have asked the minister how she'd make it better. I understand and assume that this minister has an eye for it. But having an eye for something is something other than bailing out. I wonder if that will be enough, but I'd be happy to let the Minister convince me.
ParlaMint-NL_2017-06-06-eerstekamer-7.u72	How do you look at the criteria given by the government in the written replies, which concern, for example, rights, duties and freedom?
ParlaMint-NL_2017-06-06-eerstekamer-7.u73	That's fine, of course. But again, I want to hear from the Minister how she's gonna bail it out. With this bill, the universities will be given an opportunity. Questions have been asked about participation in this process, and I hope that it is well organized. I want to make sure that the things the minister mentions are secured. A university should not be able to come to other considerations in its own autonomy. I would find that very damaging. I'd like to know what's going on with the Minister.
ParlaMint-NL_2017-06-06-eerstekamer-7.u74	Thank you, Mrs Gerkens. I give the floor to Mrs Nooren.
ParlaMint-NL_2017-06-06-eerstekamer-7.u75	Mr. Chairman. The Netherlands has a good starting position to be a global player in science now and in the future. In other countries there is often a large difference in the quality of higher education and scientific research. The quality of Dutch universities, colleges and educational institutions is generally described as high quality. Part of the world's top is an achievement of magnitude, of all passionate researchers, driven teachers and all other people involved. Maintaining a position at world top level is not self-evident. With the bill we are discussing today, the cabinet wants to implement framework conditions to strengthen the international position. This will facilitate international cooperation between educational institutions. A wider grant policy will make it more attractive for students to attend education abroad. Other than professors will be given the opportunity to accompany promotions. Before I go into these elements of the bill, I will briefly consider two other parts of the bill that we are discussing today. My group wholeheartedly supports the proposed amendment to Article 7.3g of the Higher Education and Scientific Research Act (WHW) in order to clarify the validity of examinations under special circumstances. We also support the clarification made by the government with regard to Article 7.50 of the WHW. The PvdA Group attaches importance to equal access to higher education for all young people, especially as regards the selection for the start of training. Given that students are not allowed to make their own contribution outside tuition fees, my group still has a question. Increasingly, in higher education, digital teaching methods, such as management games, are being used with the associated modules for students to test the learned. Both students and teachers are enthusiastic about these types of teaching methods. Its purchase, including licences for use, shall be borne by the educational establishment. As a result, a number of educational institutions refrain from using digital teaching methods because of these costs. The PvdA Group wonders what solution the Minister sees in order to prevent this, without the bill being placed on the students. The government refers in the written response at different places to the Science Vision 2025. In this vision, the government sets out what needs to be done to achieve and further develop top research and top education with top staff. From this vision, the National Science Agenda was drawn up in 2015, with the input of everyone who wanted to do so. This includes themes that are socially relevant. My group wholeheartedly supports the approach and accents adopted, but what contribution can the public authorities expect to make to fund this science agenda? A significant part of the research money in the Netherlands now comes from the third money stream. Does the legislative proposal we are debating today help to further strengthen international recruitment capacity? And if so, how? My group would like to ask a few more questions about extending the ius PhD candidate to non-professors. We thank the government for the comprehensive answers to questions from this Chamber on this point. Many of my group's questions have therefore already been answered. There are a number of others that we would like to present to the Minister. In order to be able to do world-class scientific education and research, it is important that we invest in an attractive locational environment for top scientists and that there are good career prospects for foreign and Dutch researchers. With the present legislative proposal, the government has worked out one of the ways to implement it. Framework conditions are created for a promoted staff member to be appointed promoter by the Board of Promotions. The government considers it the responsibility of the universities to determine who is competent to act as a promoter. The PvdA fraction supports this line. It is in line with common views on the scope of academic freedom. In the context of a clear division of responsibility, it is good that the government has confirmed in its written response that the position of incumbent professors remains unchanged. Article 9.19 has not changed. In the government's view, the promotional rules are of crucial importance in order to regulate matters properly in a procedural manner. The PvdA Group has therefore noted with interest, with other political groups, the hand-out that VSNU has prepared for the lectures on promotions. My group welcomes the addition of 22 May. is guaranteed that the professor whose field of expertise is concerned can give advice on the appointment of a non-promoter. My group, like Mr Bruijn, has the impression that this is a non-binding opinion. She wonders what the consequences will be for the professor's responsibility under Article 9.19 if such advice is not followed. What is the Minister's assessment of this? The government had initially opted for a very broad approach to the broadening of promotional rights. At the initiative of the House of Representatives, this space is limited to promoted employees. The VSNU uses only senior university professors in its handiwork. This limitation does raise a question for my group. How does the Minister view the chosen containment in the light of her ambition to broaden the international career opportunities of talented scientists? Isn't this a drop in the ocean when it comes to improving the career perspective for talented staff in higher education? In other words, do university teachers not deserve an international career perspective? I'd like a response from the Minister. In the written reply, the Minister states that she does not wish to participate in the staff policy of higher education and scientific institutions. However, my group believes that the way in which the government organises and finances higher education and scientific research does indeed have a significant impact on the career prospects of talented staff and thus on the personnel policies of, among other things, universities. The targeted policy that the Minister has used, for example, to get more female professors appointed, an ambition which my group wholeheartedly supports, is an example of this. The same applies to the broadening of promotional rights in the bill we are discussing today. My group would like to hear from the Minister how the granting of promotional rights to non-graduate teachers relates to the principle of formation as applied to many universities. The question is whether we do not need a fundamental rethink of our scientific system and higher education. Mr Bruijn also mentioned this. In several other countries, and in the meantime also at the Dutch technical universities and the University of Groningen, an approach is being developed whereby the individual research career is the starting point. Within the so-called tenure track it is common that promotion law is part of career agreements with researchers. Experience from other European countries shows that opting for this approach can also have negative sides, for example because career agreements stand in the way of competitive recruitment of suitable candidates for top positions and there is a chance that researchers who introduce a lot of research funds will have more opportunities than other employees with excellent scientific qualities. What approach, including the principle of formation versus the principle of career, does the Minister think best contribute to providing a successful future for talented employees and top-level science? Following on from this: in the European Commission's communication of 30 May last. it states that it is high time for a new EU agenda for higher education, inter alia because the funding, encouragement and remuneration mechanisms in higher education are not always such as to reward good education and research, innovation, social inclusion and engagement. We are curious how the Minister looks at these recommendations and what they will mean for the Netherlands. My group has another question about the conditions under which Dutch educational institutions can start training abroad. Of course, we support the line that public funds should not leak abroad. The question is, however, how is this to be established or what is it to be done? Calculated? What standards are used? I would like a response from the Minister on this point. It is also clear from the number of foreign students attending education in our country that education is a good thing internationally. That's still growing. They're about 112,000 students with 164 different nationalities according to Nuffic. In the Netherlands, more students of foreign origin study than in other countries, on average 2 in every 100 students. According to Nuffic, this is because of the quality of education, the large number of English-language courses and because education is relatively affordable. The cost of studies is in many cases higher than the own contributions paid by foreign students. Does the argument that public funds should not flow abroad also apply in this case? And how does the Minister intend to deal with this in the light of international agreements? As far as student exchanges are concerned, I have two other questions. The capacity of a number of university studies is limited. Can numerus-fixus training not lead to displacement between Dutch and foreign students? If so, how does the Minister intend, given European regulations, to ensure that Dutch students can develop their talents sufficiently? My group expects that Brexit will affect the position of EU students in the UK, the position of UK students in Europe and cooperation at scientific level. How can the Netherlands prepare itself for this and what role does the Minister see for the government in this? More and more master's programmes are given in English. This is good in the context of internationalisation, but it also has a downside. These are also subject areas in which students will work after their studies in Dutch companies with Dutch as language. My group is concerned about two effects of this development. We wonder if a number of students, who are strong in content but do not have language skills, are, if not, seriously prevented from attending a master's degree programme that fits their content. In addition, we wonder whether students who have studied in English will not find that their language skills in Dutch are not sufficiently in line with what is needed in professional practice. We are curious to see how the Minister views this. In the written reply, the Government states that it does not intend to monitor the impact of the present legislative proposal. That surprises my group very much. A government that creates framework conditions for top-level higher education and Dutch science should want to know whether the measures taken are effective and contribute to the goal set: top-level science at world level. Is the government not interested in whether, for example, the widening of the circle of promoters actually contributes to the international position of talented scientists and in the meaning of this extension for the quality and coherence of scientific research? This is how the PvdA Group wonders. This brings my group to a final broader question to the Minister: how far does the internationalisation ambition of the Netherlands extend? What are the essential criteria for success and how are the ambitions to be met? I would like a response from the Minister on these points.
ParlaMint-NL_2017-06-06-eerstekamer-7.u76	I listened with approval and pleasure to the speech. I have a question about the financial wishes of the Labour Party. I hear Mrs Nooren arguing for additional investment in research. Then I wonder: how much money is involved? In the election programme of the Labour Party, I see an increase in the collective burden of 22.2 billion. This is at the expense of employment. Of these, 2.6 billion is for education; mostly teachers' salaries. How much money is involved in these investments and are they at the expense of teacher salaries or at the expense of more jobs? Or does this mean a higher budget deficit?
ParlaMint-NL_2017-06-06-eerstekamer-7.u77	That's a question I can't answer right now. A comprehensive package will always have to consider what is needed. It's always a matter of making choices. If you have an internationalization ambition, you can't do it without an investment in research. If you look at the OECD figures, you can see that the use of public funds even decreased between 2014 and 2016. This applies not only to the Netherlands, but to the average of a number of well developed countries. An internationalisation agenda without the financial impetus of the government requires other sources. My question to the Minister is: does not ambition include an account? It's always a matter of priorities.
ParlaMint-NL_2017-06-06-eerstekamer-7.u78	That's why I asked that question. My second question concerns the English-language masters. What exactly is the fear of the Labour Party in that respect? If students learn Dutch until the age of 21 and then take a master's degree for two or one year and study English during the day, would that be so bad for their Dutch that they wouldn't be able to enter the labour market, or would the studies prove that every subsequent language contributes to your abundance and improves the first language?
ParlaMint-NL_2017-06-06-eerstekamer-7.u79	My group is concerned with the following. If English is the main language in a master's degree, you can see in daily practice that people in a Dutch company sometimes don't even know Dutch terms for certain things. The average level of education in the Netherlands is MBO or lower. The question is whether they can make the translation that is already being made in the language. Moreover, it is known from a group of students currently in university that even their dt's are not adequate. The point is that during the master's programme you practiced to put your Dutch on a high level. If you follow a study in Dutch, the language is also included in the assessment. In an English-language master's degree the English language is improved, but is not invested in the use of Dutch.
ParlaMint-NL_2017-06-06-eerstekamer-7.u80	The price you then pay, namely a brake on incoming mobility..........................................................................................................................................
ParlaMint-NL_2017-06-06-eerstekamer-7.u81	Would you like to repeat your question again?
ParlaMint-NL_2017-06-06-eerstekamer-7.u82	It's about the price you pay for it. If you give the masters in Dutch, the foreign students will not be able to follow them. Then you slow down the incoming mobility. Isn't that a very high price, especially given your own plea for mobility?
ParlaMint-NL_2017-06-06-eerstekamer-7.u83	The PvdA Group's question concerns the studies that are specifically focused on the Dutch situation, such as Dutch law, Dutch health care and other matters. For this you sometimes only have one master in Dutch, or only the part-time master in Dutch. This means that you have to ask the question whether all those masters who belong to such a study, sometimes four or five, should be given almost all in English instead of in Dutch. Isn't there a shift in the Netherlands, when you see that 80% to 90% of all masters are in English and hardly any Dutch masters are offered? I'll come to a conclusion. The Netherlands is one of the world's top in science and higher education. The aim of this bill is to contribute to maintaining this position, or rather to further develop it. My group supports this ambition, but considers it important that equal opportunities for all Dutch students should be well protected, that the measures taken should not undermine the quality of our system and that there should be no inconsistencies. The impact of the policies deployed should be monitored and no public funds leaked abroad. We look forward to the Minister's answers.
ParlaMint-NL_2017-06-06-eerstekamer-7.u84	Mr. Chairman. In these days, in which hard work is being made on and speculated about the formation of a new cabinet, it is nice to go back to 1973. Even then there were conversations between D66 and the predecessors of CDA and GroenLinks. The VVD did not participate, but the Labour Party, the minister's party, again. The formation lasted a long time. There were some stalemates along the way, but in the end that center left cabinet lasted almost four years, under difficult circumstances. That may be a suggestion for the informant, but that is not the subject of today's debate. What directly affects today's subject is the motto of the Den Uyl cabinet. I would like to discuss this with this Social Democratic Minister. That motto was: distribution of knowledge, power and income. In his speech in the debate on the declaration of government, the Prime Minister added: distribution of ownership and control. Those who read the lyrics of that time, I have done so for my pleasure, and I am impressed by the topicality, but also by the great tension between these ideals and the increasingly dominant way of thinking that we have gradually come to call neoliberalism. This is a way of thinking that is not aimed at spreading, but that has precisely created that differences in power, income, possession, knowledge and control can increase. Some of these points may not be so bad in our own country, but from an international point of view, the differences are large and partly growing. Economic globalisation has brought a lot of prosperity, but it is not equally divided. The shadow often falls down in the poorest regions. The digital divide, Mr Bruijn, started on the digitalization of Europe, also means that we in the Western world can get an unbridled amount of knowledge on our screen, which is not accessible to many in this world. Even if we do a lot of open access services, it is a good thing that there is no spread in this area too. My group has looked at the legislative proposal from this question: does it contribute to the spread of knowledge, power and income? Or does it contribute to this neoliberal marketing of knowledge and thus to a new form of knowledge imperialism? That is not the easiest question, and I will tell you straight away that we have not found a definitive answer to it. But that is precisely why I would like to talk to the Minister about it and ask her whether she recognizes and shares our concerns and whether she would like to consider how we should deal with them. Internationalisation of higher education is a fact. Science is highly internationally oriented in most disciplines, and higher vocational education is also increasingly looking across borders. We encourage students to study abroad or to come to the Netherlands, there is a lot of collaboration in research and in publications, and institutions also know how to find each other for joint programmes. My group believes that this is important for at least three reasons. Firstly, because this will increase the individual development of students and researchers. Secondly, because we see such a generation growing up that has looked beyond the dikes and that has met friends and colleagues worldwide and hopefully got to think inclusive and open-minded. Thirdly, because the big questions of our time call for international solutions, a lesson that Donald Trump seems to forget. But we have to add something to that, namely that this exchange and cooperation are mostly the privilege of the happy few. It is the privileged young people who are the easiest to study across the border. It is the economic and cultural upper layer and a bit of the middle layer of developing countries that are now moving around the world. They are experiencing great academic and economic growth and are thus gaining even more advantage over their less privileged neighbours. Moreover, countries such as China, Indonesia and India are experiencing this movement, at least when it comes to the upper layer, and not countries such as Liberia, Afghanistan and Nepal. The paradox is that it is much easier, more attractive and more useful for scientists to work with those upper layers and not with the countries or the people who are most behind, while the latter may need it most. This raises the question of how our internationalisation policy in higher education will work out. Cui bono, who's gonna take advantage of this? All kinds of questions have been asked in the course of the discussion, which are based on the fear that Dutch educational money may be sent abroad. In itself, these are meaningful questions, although they are somewhat protectionist in nature. Our fears are a little bit more on the other hand: how do we prevent our internationalisation policy from becoming a form of knowledge imperialism by which we use our reputation and our lead to roam the economic top layer of emerging economies? How do we stay away from Balkenende's still famous VOC mentality, which, in addition to much wealth, has caused a great deal of injustice? This is precisely where the question arises as to the added value of fully self-employed, full-time training offered abroad. If the aim is to mutually strengthen education systems, then we read the documents, then it is much more logical to keep it in far-reaching cooperation and joint programmes. Because then there will be real exchange between the systems and we can learn over and over again. What logic is there to plant an own, competitive institution in another country, except for the intention to gain market share there and thus not to spread power, knowledge and income, but to increase income and power by using our knowledge? Those who offer their own training abroad have no interest in sharing knowledge with other institutions, but will try to distinguish themselves from others in the country. In the reply, the Minister is actually making a bit of a fuss on that point. She writes: "The offer provided by a Dutch institution can also provide a quality boost to the system in the country of establishment, if it turns out that many students opt for the training at a Dutch institution because of the high quality standard." But the Minister also knows that a lot of students will opt for such training because of the Western image of the diploma, which is not necessarily the same as quality? Nothing to the detriment of quality, but image is another thing. In fact, the Minister says: if Dutch education is to win a market there, that is a good thing.
ParlaMint-NL_2017-06-06-eerstekamer-7.u85	I am listening to this speech with great interest, but I do have a question. If I compare the situation in which people from a far, poor country are forced to come to the Netherlands to acquire the knowledge available here, with the situation in which this unique Dutch knowledge is offered on the spot, which of these two situations would the speaker prefer?
ParlaMint-NL_2017-06-06-eerstekamer-7.u86	That's kind of like asking a vegetarian if he prefers lamb or veal. The vegetarian will say, "Let's do vegetables." The third option is cooperation with local institutions, ensuring that their education there is improved.
ParlaMint-NL_2017-06-06-eerstekamer-7.u87	But if the situation is de facto that this local cooperation cannot be initiated because the knowledge that the Netherlands can offer actually has no local equivalent, then is my second alternative preferable to the need for residents of that poor country to travel all the way to the Netherlands and get the knowledge there?
