ParlaMint-NL_2017-03-21-eerstekamer-10.u1	I call Mrs Swinkels.
ParlaMint-NL_2017-03-21-eerstekamer-10.u52	I'll start with that last one. I think it is extremely important that the basic system is as fair and reasonable as possible for all those people who are not so conscious about it. That is indeed indeed what I hear Mr Van Rij say, too, which is usually not the overall community of goods. That basic system should also be arranged for the people who do not go to the notary and the estate planner and I know who steps, because that is really only a limited part of the Dutch population. Why else did they do this abroad? I must honestly say that I am not an expert in the way that was arranged in the middle of the nineteenth century. I do know that the Netherlands was quite confessional at that time. In any case, the current from which my party was formed was far from being established, let alone a source of it. I can therefore imagine that a party such as the ARP has indeed been able to put a stamp on this, unlike, for example, the Catholic Southern Neighbors. But that's speculation.
ParlaMint-NL_2017-03-21-eerstekamer-10.u53	Mr Van Rij, I would like to hear your interruption turn into a question.
ParlaMint-NL_2017-03-21-eerstekamer-10.u54	The question is whether Mr Recourt is also familiar with the matrimonial property regime in the Republic of the Seven United Netherlands, particularly in the States of Holland and Zeeland. That's my question. I hear the chairman's answering.
ParlaMint-NL_2017-03-21-eerstekamer-10.u55	It's too bad her microphone's off.
ParlaMint-NL_2017-03-21-eerstekamer-10.u56	With the nail-naked stomach and all that. Then there was the right to acedom and the right to ship. But that's the inheritance right. It's going well back where it came from.
ParlaMint-NL_2017-03-21-eerstekamer-10.u57	But to answer briefly: no, I am not familiar with the matrimonial property law of the Republic.
ParlaMint-NL_2017-03-21-eerstekamer-10.u58	I brought it up because there was actually the community of goods there. That has nothing to do with the Anti-Revolutionary Party or the Roman Catholic State Party.
ParlaMint-NL_2017-03-21-eerstekamer-10.u59	It is good that Mr Van Rij does have the answer, but I repeat: it does not seem to me to be very relevant to why we think that the system we are proposing with this law is a better system than the general community. We differ on that; I understand that. So do you have to go to the notary in order to use the system we propose in a responsible way? The answer is no. I shall begin again with a very practical outline of the way things are going. It becomes relevant at the time of dissolution of the common assets, in the event of divorce or death. What then needs to be done under the current law and under the new law is to draw up a list of goods and debts. I just thought I heard that everything is either totally common or completely private. No, on that list, you have to say by item whether it's common or private. The moment this isn't contested by the other, there's nothing to worry about. At the moment when there is a dispute with one of the items, you will see if you can prove it. With a short-term marriage, I think the evidence is pretty easy to deliver anyway. We've also simplified the rules of evidence. No formal conditions are laid down in Book 1, Article 130 at all. A notarial deed could always have been, but there are a lot of sources that make it possible to prove something, all the way through the digital developments. If marriage lasts longer, many things will still be preserved, not only by the former spouses themselves but also by third parties, such as parents who donate or notaries. As a marriage lasts longer, it is also less important to keep a very careful record of what is true of who. It's common and logical that when you're together for 30 years, you're not going to see who owns a painting. Also emotionally that is true, unless you are attached to that painting because it comes from your mother's legacy, for example. And then you showed it again. The importance will therefore also decrease, and if that interest does not decrease, the possibility of demonstrating that is also greater. That's the practical side. Unfortunately, I must also mention the formal side. Whoever has very complex assets positions, I recommend, even under the current law, to go to the notary. You can say "I don't," but that's a problem under every order. We don't prevent that, and we don't have that pretension. Our law is an improvement, but not a panacea for all problems. They also asked if you shouldn't always have a list of applications. No. A list of applications may be a help to provide that evidence, but that evidence can always be provided in a different way. In addition, a list of application has a temporary character and may change over the years. It is neither necessary nor mandatory. Evidence is free, precisely in order to avoid conflicts and unjustified restrictions on private property. Many of the members have paid attention to the reasonable remuneration from a premarital enterprise. Mr Van Rij and Mrs Van Wezel asked about the framework. How is what is reasonable determined? Isn't that too open a standard? Isn't that a source of argument? Does it even give you upside-down businesses? Mrs Beuving also asked about the article relating to sole proprietorship and La Bohème, but that does not tell me much. Let me start with the reason for this fee. Our bill is based on the idea that what is premarital remains private, as has often been said, and that what is obtained during marriage is common. Wage from labour will normally fall into the community, but those who drive a premarital enterprise from their private assets can spend a lot of time and energy on it during marriage, increasing profits in that company and increasing wealth, because of the lack of remuneration in the form of wages or dividends for the time spent. This is not for the benefit of the marriage community and therefore not for the benefit of the other husband. We believe that this is unfair and undesirable in order to protect an economically independent spouse. That is why the legislative proposal includes a fair correction for this. That is the new Article 95a: if an undertaking is outside the Community, it is for the benefit of the community a reasonable remuneration of knowledge, skills and labour which a spouse has used for the benefit of that undertaking, in so far as such remuneration has not already benefited the two spouses in any other way. This is deliberately an open standard. The diversity of forms of enterprise and circumstances is so great that precise legislation would only offer false certainty, unreasonableness or injustice. Whether there is a constant deviation from the main rule, or personal and operating conditions are not taken into account. That is also an answer to Mr Van Rij's question. An open standard will in the beginning, like any legislative amendment, lead to the scanning of borders. That leads to case law, that is true, but it also offers room for clarity and justice. If you close it completely, with a closed standard, then there seems to be legal clarity, but that is appearance, because in concrete cases unfair results arise. That will also be the subject of proceedings and then the judge will also look for ways to correct them and deliver customization. The case law will therefore also seek exceptions. This is resolved by placing reasonable remuneration at the centre, either in mediation, another important way of resolving disputes that I do not think can be praised and encouraged enough, or by allowing the court room for customization. However, there are rightly questions about how this will be completed. For this purpose, we use as an example that the increased value of the company, the profit realised over time and the standard income of the company in question in a particular sector can guide this. What exactly that looks like will be filled in if necessary by the case law, but this is in line with the wish in the House of Representatives to pay attention to the equity correction in matrimonial property law. Well, this is a first step in the right direction. There are no general comments to be made. In the written preparation the benefit test also came along. Would it be a good idea? As initiators, we have said that we see it as possible, but that benefit test serves a different purpose, namely the maximum amount of capital to be drawn from the company. However, that is not the point in this case. It concerns the reasonable remuneration of the other spouse to the community, of course, to the extent that it is feasible. Mr Van Rij asked whether examples of a standard income could be given. It's hard to make a general statement about that. Take the injury law. In doing so, the judge does not always make a good assessment of the loss of earning capacity in the future. There are as many standard incomes as possible. Mrs Wezel wondered whetherzzp'ers should also be included in this bill. I will explain how they fall within this framework. If I understand Mrs Wezel correctly, she actually says that the bill does not go far enough and that the spouses ofzzp'ers should also be given extra protection. In any case, this legislative proposal is making it a step better, because the private assets of the partner of thezzp'er at least remain outside the bankruptcy. If, before marriage, a company, a company is already run, it is a premarital enterprise. Then the reasonable fee of 1:95a applies, which I was just talking about. This is only about the possible benefits from the efforts that flow to the community. It is clearly not about sharing deficits. If thezzp'er carries out his or her business from the community, the benefits and burdens are both now and later common. I hope I have answered the question sufficiently. A one-man business is already falling directly into the community. We're not gonna change that, except for the fact that in the event of bankruptcy, private assets are out of the question.
ParlaMint-NL_2017-03-21-eerstekamer-10.u60	Thanks for the answer. So what's the improvement? The joint home is also in the hands of the creditors of thezzp'er.
ParlaMint-NL_2017-03-21-eerstekamer-10.u61	I'll be back in a minute at the joint apartment. The improvement is that the partner's private assets in the event of bankruptcy fall outside the bankruptcy property.
ParlaMint-NL_2017-03-21-eerstekamer-10.u62	Why has it not been taken into account that the risk of the company is kept outside the community?
ParlaMint-NL_2017-03-21-eerstekamer-10.u63	Because that would be too far-reaching a proposal. Then we will intervene very much in civil law. That one man's business is nothing legal in itself. I don't know how we're gonna construct that legally, other than you're gonna have to go to a company. However, we already have that.
ParlaMint-NL_2017-03-21-eerstekamer-10.u64	Mrs Wezel, finally.
ParlaMint-NL_2017-03-21-eerstekamer-10.u65	Then the question is, what is the improvement? It would be better for people to draw up a prenup.
ParlaMint-NL_2017-03-21-eerstekamer-10.u66	In complex legal situations, it is always wise to draw up a prenup. With this bill, we don't pretend to solve all the problems. There is a slight improvement because private capacity is being created. For the rest, this part remains the same. That's right. We have had a lot of discussion about many elements: do we have to take this with us or do we not, even if it gets a little better? Sometimes we didn't agree and sometimes the support fell away, because what you move to the left goes wrong to the right, and so on. So we figured out how to get the base, the core. Above all, we have not chosen all kinds of horns and bells that you could still hang on to, because that has to be arranged in a different way or not at all. Mrs Beuving referred to Mr Labohm's comments. Mr Labohm is also in favour of the introduction of this bill, as the expert meeting showed. His article on the one-man business is on its own for now. In this context, we refer to another expert, Mr Lieber, counsel at the Arnhem Court, who states in the Magazine for Family and Youth Law that Article 95a is actually working well. I therefore note that there are different opinions of people who work with them in practice. This is particularly true of this law.
ParlaMint-NL_2017-03-21-eerstekamer-10.u67	On the contrary, I thought it worthwhile to quote Mr Labohm's article and Mr Van Mourik's article, which is to be published, because I know that they are both in favour of this proposal. In that case, these are very strong wordings that I have mentioned. Mr Labohm says it will be a source of problems, and he concludes with: a prenup is the opinion. And don't leave it to the legislator. The latter sounds to me as a disqualification from the legislator. Van Mourik says that Article 95a, Book 1 does not provide sufficient insight into the phenomenon of enterprise. Wow, I wouldn't want to have said that about my own work anyway. So the fact that advocates say something like that means a lot.
ParlaMint-NL_2017-03-21-eerstekamer-10.u68	Mr Van Oosten will respond to what Mr Van Mourik has said, but I can tell you that we agree with him. Only, it's not about this law, it's about a ruling from the Supreme Court. So we'll get back to that in a minute. I went into Mr Labohm's article, where the same expert of experience says exactly the opposite. It is indeed a question of appreciation, because another colleague says that in practice this article can work just fine. A lot of questions have been asked about bankruptcy. Mrs Beuving asked whether the second letter of amendment would not be adversely affected and why we chose to do so. First of all, I would like to stress that, with regard to the bankruptcy of one of the spouses, the law specifically protects the other spouse on the basis of the rules contained in the legislative proposal on the liability of the other spouse's private debtors. This private capacity is therefore already an additional protection compared to the current system, where the current system does not have such a separate capacity. It may also be worth pointing out that often the most important asset of future spouses living together is the common home. This property is almost always financed by a loan from the bank, for which both spouses are jointly and severally liable. The fact that the property is brought into the community does not in itself matter, because the mortgage provider already has a claim on both spouses. The question also arose as to why the community should not be dissolved in the event of bankruptcy. The second letter of amendment also provides more protection in the event of bankruptcy. Article 61 of the Bankruptcy Act was amended. In that we maintain the main rule that the husband takes back all goods that belong to him and that do not fall into the marital community. So all the rules of evidence that make it difficult for him to take the goods back, we're gonna cancel. So you can take back what's private without any restrictions. It has been asked whether this change is not detrimental. I do not see for whom the change is detrimental. The protection for the unfailed husband is increasing. After all, it is easier for him or her to take back private property. This is mandatory in the law, as it is now stated in the bill: he is taking back. He can't or can't take back; no, he's not going back. There is therefore no need for authorisation, not from the curator, not from the judge or not from the creditor.
ParlaMint-NL_2017-03-21-eerstekamer-10.u69	I had to think about it, but I would like to come back to the remarks about the house. If I have understood correctly, Mr Recourt says: if one has common property, so even before marriage, then the bank has joint and several liability. So what difference does it really make whether it comes into a limited community or not? Is that legally correct? Then why did the proposers amend the law by letter of amendment, so that it would indeed be part of the limited community of goods? Otherwise, wouldn't it be the simple community of goods if their own house were to stay out there? There is bound co-ownership, I admit, and a debt to the bank with joint and several liability, but the difference is precisely the following. If there is anything left in a limited community after the sale of the house and the repayment of the debt, it is in the community. Otherwise, it won't be in the community. I did not understand the answer to that point. Mr Recourt suggested that this would be the same, but I do not think it is.
ParlaMint-NL_2017-03-21-eerstekamer-10.u70	There are two reasons why the home should also be part of the marriage community. First of all, we were sensitive to the argument that no more than three communities should be created. It is also logical that what is common for marriage is also taken together during marriage. Secondly, that commonality before marriage is another. It is covered by Book 3, while the marriage community is covered by Book 1. That marriage community gives more protection. You can't just steal the marital home, to name one thing. So we have created additional protection by frightening that common good for marriage, which is covered by another legal regime, into a matrimonial property from Book 1.
ParlaMint-NL_2017-03-21-eerstekamer-10.u71	Mr Recourt says at the same time: otherwise four powers would have arisen.
ParlaMint-NL_2017-03-21-eerstekamer-10.u72	Or five, six or seven.
ParlaMint-NL_2017-03-21-eerstekamer-10.u73	So you have made a concession on the principle underlying your whole reasoning as to why we should have a limited community of goods. That was because what was private before marriage must remain private. In a situation of tied co-ownership, there is private property. Then it's just tied co-ownership. You have now legally brought that into the limited community of goods. It's about the possession minus the debt deduction. If anything remains after the repayment of the mortgage debt, it will be at the expense of both spouses' private assets. You explain it well, but you must also honestly say that it violates the principle of the limited community of goods.
ParlaMint-NL_2017-03-21-eerstekamer-10.u74	That's right. It is only a fairly logical and partly desirable infringement. We have, of course, received this question. We believe that this has increased the level of support. For the rest, I would repeat what the reasons are for this change.
ParlaMint-NL_2017-03-21-eerstekamer-10.u75	For me, it is almost a death-killer when it is said: often it is a loan from the bank, there is basicity, so on balance... ah! I can see that that's not entirely satisfactory. I do not think that is an adequate answer to our question on this issue. I therefore fully agree with Mr Van Rij in this regard. I notice that I also find it very annoying that this fourth power is always coming back and that it is as if we do not make any meters in it. I indicated in the second written round, quoting a piece by Professor Nuytinck, that there is no reason at all to fear a fourth capital, because there is no fourth capital at all. Both shares in the premarital simple community belong to both private assets. So the shares in the simple community belong to the two private assets of the upcoming spouses and then belong as proposers to remain outside the new marriage community in the original system, for the first note of amendment. The unfortunate thing is that this fourth-power issue keeps sticking, while I have a strong impression that this argument is not valid. Nor can you say that there is often basicity, a joint and several situation with the bank and therefore joint and several liability with the bank. Then we still don't have the core.
ParlaMint-NL_2017-03-21-eerstekamer-10.u76	I have already added to that answer by saying that the three assets remain, whether there is a fourth or a fifth capital or not. I think that the discussion is partly semantic, because it is about resolution in the event of bankruptcy. There is a community, it is just not a Book 1 community but a Book 3 community. That its shares belong to both private assets is correct. I would like to give that to Mrs Beuving immediately. However, it still has to be dealt with and distributed in the event of bankruptcy.
ParlaMint-NL_2017-03-21-eerstekamer-10.u77	Mrs Beuving, can you be brief in your question? I'd like to make a few briefs.
ParlaMint-NL_2017-03-21-eerstekamer-10.u78	Now we're at the core. If you have to deal with it according to the Book 3 system, this will result in the curator being able to execute only the undivided half in bankruptcy. So the undivided half of, for example, that common house before marriage.
ParlaMint-NL_2017-03-21-eerstekamer-10.u79	The question is whether this is the case if it is used as a marital home, but it will certainly result in a different settlement. In doing so, my position is that the protection of the husband is greater when you move the home into the marriage community, because that part of the property is less easily alienated.
ParlaMint-NL_2017-03-21-eerstekamer-10.u80	Finally, Mrs Beuving. You still have a second term.
ParlaMint-NL_2017-03-21-eerstekamer-10.u81	I do not understand why the protection of the unfailed husband is greater if the share in the simple pre-marriage community has been absorbed in the marital community without shares compared to the situation that it would have remained part of private property during marriage. Say: Half the common home will then become private property. Doesn't that strengthen the position of the unfailed husband? You can advance a complex legal reasoning, but ultimately it means that the curator can't execute more than the undivided half of the bankrupt in bankruptcy.
ParlaMint-NL_2017-03-21-eerstekamer-10.u82	But the question is whether this can be done. I would also like to come back to that in second place, because I am not entirely sure. In Book 1, extra guarantees are given just for the marital home, so that you do not own that property instead of with your husband with an investment company. The right of residence, whether the right to rent or the right to property, is extra protected in Book 1 BW. The moment you don't protect this in Book 1 BW but in Book 3, the creditor can indeed only tell stories on half of that undivided property, but he can make a change in the property right that he cannot achieve through Book 1. But again, I will be happy to do so in very detail, because I am also saying this out of my mind and come back to it in second term. Good. I'll see what I've answered in the meantime in interruptions. I would also point out that the dissolution of the community in the event of bankruptcy does not solve anything, because even after dissolution, the non-failure spouse remains jointly and severally liable for the Community debts incurred by the bankrupt spouse. The situation of private property does not change with the dissolution of the community. Does a bankruptcy end the commitment of fate that is made with the marriage? As far as we are concerned, that is not the case. Undoubtedly, bankruptcy will bring the necessary tensions, but it would also be a good thing if we legally decided that this would end the marriage community. This could be seen as an encouragement not to solve the problems together. I do not see directly in front of me which system should replace it when it is lifted as a result of bankruptcy. Given the time, I'll shorten my answer a little. I'll come to the briefing. There is much to be said about this, but the point of information is actually on the Minister's plate. We are very much in favour of information. We think that is very important. As I said in the House of Representatives, I repeat this: you can imagine that you are trying to encourage people who have been to the notary or to another expert to get a discount on the cost of marriage. I happen to have gotten married quite recently myself. That was a precious joke, considering what I had to pay at the county. I imagine you're reducing the cost of expert advice for stimulation. For example, there are more opportunities to get information more actively off the ground than to change it only on the government website and to ask a notary to do something about it. I think that notaries have a fantastic role, but they should not be involved in the process by default. I think municipalities have a role to play in this. They shouldn't so much inform themselves, even if they can. On the website you can keep all kinds of general stories, but the civil servant is not a notary. When you need to be specifically informed about an individual case, it is useful to consult an expert, but it should not be necessary. That brings me to this point. My final part concerns examining the basis of support. I realise that Mrs Swinkels has already addressed that point. I can make a promise, because I'm getting a ticket for that now. The NIPO study was mentioned in the note following the report for the Second Chamber, Section 33987, No. 8, page 10. I'll give the ticket through the messenger to Mrs. Wezel. It's about the NIPO investigation that Mrs. Swinkels cited. Mrs. Wezel was looking for the place to find it.
ParlaMint-NL_2017-03-21-eerstekamer-10.u83	Mr. Chairman. I thank you for the reception in this impressive hall. I'll walk through some of the topics. Most of the issues have already been dealt with by my colleagues, but the main issues I will deal with are administration, the premarital community and taxation. I'll start the paperwork. Both Mr Van Rij and Mr Van Dijk made it seem as if we were turning marriage into a weekend filled with keeping records and accounting records. I can assure you that I would never have wanted to attach my name to this bill if that were the result of it. I also have every confidence that this doesn't have to be done. In fact, for the essentials, it is pretty soon clear who belongs to what. Houses and debts are also just mentioned in the registers, in public deeds and so on. Some of my colleagues have already mentioned this. Inheritances and donations are mentioned in the deeds. It's pretty easy to find. So they are easily traceable. Cash flows, bank accounts and receipts can give indications. However, I do not see it in front of me that we are going to look back shoe boxes in the attic if after a divorce one of the husbands does not think about it anymore etc. The Chamber can also think of iCloud. This law is also made for the future. I can assume that this law was also made for years after this treatment. Digitisation continues. What if there's a dispute? I'm not ruling that out, because in family law there's always a stick to be found if I can just say it as flat as I can to hit the other one if you want. But if there is a dispute or a discussion between the surviving spouse and heirs of the other spouse and no evidence can be provided, then we have the suspicion of evidence from the relevant Article 94 (8). That is not new, by the way. It is now also in the law, but as paragraph 6. Then it's considered common. Mrs Strik and Mrs Wezel asked whether the presumption of evidence also saw debts. For the sake of the Acts, I would just like to make it clear that there is a presumption of evidence on goods and not on debts. Over time, it always gets harder to prove what originally belonged to who. I understand that, but frankly I do not think it is very unfair, if I may put it that way. Let's take the example of a sloop, a sloop... I'm going to keep it small... that you buy out of private property before you marry. If, for example, after a year, you want to determine whether this has been purchased with private capital or with common assets, it is quite easy to determine, for example on the basis of the proof of purchase. But what if you're ten years ahead? You've been in danger and have fun for ten years, but you can't figure out who ever bought that boat and financed it. Then something like that becomes common for lack of evidence. Is that bad? I don't think so, because you've advanced very much in time. What if fate wants you to be married to the perfect administrator? I don't wish it on anyone, but it could happen to you. You've never dealt with administration yourself. You're gonna be left destitute? We dare not, because during marriage everything becomes common. Private power is often easily traceable. That perfectly registering husband can only withdraw from that marriage community what was premarriage to him or her or what may also have come in in between as inheritance or gift. What's built together remains both. Nor can it be said after years that all kinds of ordinary household costs have been incurred from their own premarital property. You have to take that out of account, but Mr Swinkels has already said a few things about it. This follows from common case law by our Supreme Court. The husband without administration is not unprotected, by the way. I would like to dispute that it is, because there are almost always registers in which the necessary administration can be found of large expenses, large debts, inheritances and donations. If you have a good system in mind, and as initiators of course we have that ambition, that evidence must also be free in our view. It could be unjust and also escalating if there is evidence, but it cannot be argued. People don't understand that. People don't understand that. That is precisely why we have deleted the current Article 130. It was Mrs Beuvink who asked for it, and that is precisely why we are dropping that reinforced rule of evidence for everything that is kept private by prenup. Otherwise, there is a difference between the situation in which assets remain private thanks to prenuptial terms and the legal standard system. Moreover, I believe that the PVV, as well as other parties, has a very temporary character in the written round of negotiations which is now mandatory. There are things like a car, a laptop, a television, but those are exactly the things that can be replaced in the course of marriage. If you're going to the notary for a prenup, then it's not mandatory to make a state of application to prove later what was his or hers. It's okay, of course, as in life, it's okay, thank God. The reason for this is that such a list has a temporary character and is not always complete. As Mr Recourt said, of course, Mrs Swinkels also said in her introduction: divorces and the settlement of inheritances are, unfortunately, often accompanied by quarrels. Not always, but often, unfortunately. We will be the last to pretend that our proposal can solve all this, because that is an impossible task. There is often a lot of emotion in these violent events. Ratio and reasonable consultation are not at the forefront. That seems to me all the more reason to bring the legal standard into line with what a very large group, in my view the largest group of future married people, considers logical and also fair. Because, yes, who has to share the inheritance of mother in divorce with the evil witch whose parents are alive, or who is suddenly saddled with unknown premarital gambling debts, will not rarely take everything to chop the other one up. It would be nice if things could be avoided. Then I come to talk about the business aspects of the premarital community. Mrs Beuving and Mrs Wezel asked for a broader reflection in this area. However, I would like to make the point that Mr Recourt has just said a few things about this and will perhaps come back to it in the second term. But let me be very clear about it once again: it is true that we are in breach, in my view a small one, on the premise that premarital property, the premarital community is completely drawn into the marital community. The reason for this, apart from the consent requirement et cetera which Mr Recourt spoke of, is to find support within the legal profession, within the various articles written about it by all kinds of professors. That has to do with that fourth power, although I hardly dare to take the floor because Mrs Beuving just spoke about it in very firm terms. Our ambition is really to make sure that we have the courage to take that step together, so that we protect people from premarital debts that may arise, that are unknown and can just come at you. Let's make sure that when people have built for marriage and have amassed property, that basically remains their own, unless they decide to hand it over to the other. That is actually the essence of the legislative proposal as we see it. Then we find it forgivable to leave that fourth power for what it is, although it should have been if you were very strict about it. But I am clear about it: it is true that we are now limiting it to three, and that can be seen as a minor breach. I'm also saying this to Mrs. Wezel, who...
ParlaMint-NL_2017-03-21-eerstekamer-10.u84	Mr Backer has an interruption.
ParlaMint-NL_2017-03-21-eerstekamer-10.u85	Excuse me.
ParlaMint-NL_2017-03-21-eerstekamer-10.u86	I had a comment on that myself. It's systematically wrong, but I think it's legitimate to do so. I understand that if, at the end of the day, parties think differently about that premarital property, they can still register it and have a deed on it, in order to record any different claims. I didn't hear it mention it, but that's just another possibility, right?
ParlaMint-NL_2017-03-21-eerstekamer-10.u87	Yes. Mr. Chairman. I am looking at Mrs Wezel, because I had just started answering one of her questions, but now that I see the answer, I think that the point has actually been discussed in detail. It saw on the pre-marriage bought house and the small breach I just explained. The premaritally purchased house is brought into the marital community on a fifty-fifty basis. If people want it different, they can, but then they have to draw up a prenup. I am also saying this to Mr Backer, whom I do not see at the moment, but who is undoubtedly around. Yes, there he is! This also raises the question he has just asked me. Then I come to speak about the rights of compensation.
ParlaMint-NL_2017-03-21-eerstekamer-10.u88	I've lost it for a while. The intention of the bill was that what is private should remain private. Let's say people buy a house for marriage together. So they're not married yet. One gets a ton from his parents. That amount will be put in the house. The other works at a bank, gets a better mortgage and therefore takes 60%. Then why not just each one to his share? Why don't you just split up fairly? Isn't that the idea of keeping everything private private?
ParlaMint-NL_2017-03-21-eerstekamer-10.u89	I essentially agree with you on that. That is why I was just trying to point out that, in my view, the initiators accept this rather clear breach of the initial proposal. We have read a great deal of criticism of this, including from the professors' world. Then there will be a proper discussion, including about that famous fourth capital. We say: if you have built up common property for the marriage, then that goes on fifty-fifty basis to the marriage unless you make different agreements on the basis of a prenup. Mr Recourt rightly says that the tonne remains private for the rights of claim. Let me give you a brief summary for those who may be having a bit of a dip right now. Jointly acquired premarital property falls within the community of goods; all other premarital property, gifts and inheritances remain private. I had started with the rights of remuneration in Article 1:87, which was already in force. Mr Van Rij and Mrs Beuving asked. There was also a reference to someone I have very high regard for, Mr Van Mourik, and an upcoming article by him in the WPNR. The central question is: is it fair that when a share in value increases, the right to compensation is fully increased? I do not know if that was true for others, but at least we had the privilege to take note of that forthcoming article. This view of the author on the effects of the application of Article 1:87's investment theory on an undertaking financed with the assets of the other spouse is, for the time being, consistent with the provisions of Article 1:87 and the related provisions for the company in the case-law. Our bill doesn't change that either. Let me be clear about that, because that seems to be the essence.
ParlaMint-NL_2017-03-21-eerstekamer-10.u90	Would you care to comment on that argument a little more precisely? You also have the article that prof. Van Mourik has written and will be published next Saturday. His argument is that a share is not property, but a special right to claim against the e.g. He then distinguishes between a dwelling and a share in an e.g. Here's what he's saying. The capital increase in the e.g. is the reflection, the impact of the company's activities. You will be reimbursed by salary or dividend. It would be very unfair, at least I understood that if that increase in capital is not paid out as a salary or as a dividend, which does not benefit the community for the full amount, the €620,000 in that calculation example, but to the spouse who has the right to compensation. I will not explain this in detail now; you know that too. He says it's supposed to be $20,000. That is at the heart of his speech. You are talking about a vision, but it does not do justice to the article. Perhaps we can get some clarification during this debate. That is very important for parliamentary history. It was, by the way, a tax question that I had asked. I also got an ear fig from Van Mourik, because I had not entirely formulated that question. So we're in the same camp. I have been given an ear fig and you have been given a slightly bigger ear fig, because the title is: A worrying parliamentary misunderstanding. So let's get that out of the way.
ParlaMint-NL_2017-03-21-eerstekamer-10.u91	It is all the better that we are still discussing it on the basis of this supplementary question from Mr Van Rij.
ParlaMint-NL_2017-03-21-eerstekamer-10.u92	First, Mr. Backer.
ParlaMint-NL_2017-03-21-eerstekamer-10.u93	I find it difficult for the parliamentary debate to quote from an article which is not part of the debate. I don't know the article. All kinds of wordings and reasonings are attached to them. I find that very interesting. Perhaps we can get the Rule before the votes on the parliamentary documents, if the author so wishes. Then at least I know what this is about, because I find this a bit difficult.
ParlaMint-NL_2017-03-21-eerstekamer-10.u94	I agree with you. It's an unpublished article right now.
ParlaMint-NL_2017-03-21-eerstekamer-10.u95	I take note of that. Let me just say this: as far as my knowledge is concerned, in this indeed unpublished article there is in fact criticism of judgments of the Supreme Court, i.e. on the line set by the Supreme Court. However, that is not what our legislative proposal is about. Of course, we can say a lot about it and find out everything about it, but I think it is good to make this comment.
ParlaMint-NL_2017-03-21-eerstekamer-10.u96	Then I withdraw my request. If this isn't the case here, perhaps it's an interesting article by Professor Van Mourik that I'd like to read sometime. If it's not here, it's not here.
ParlaMint-NL_2017-03-21-eerstekamer-10.u97	Our bill doesn't change anything about this.
ParlaMint-NL_2017-03-21-eerstekamer-10.u98	Mr Van Rij has another interruption.
ParlaMint-NL_2017-03-21-eerstekamer-10.u99	That article is really not much more than I have just explained with regard to Article 87. I tried to explain and I got the impression that the initiators understood it as well. It's actually just the question of how a share in an e.g. is treated versus another asset. Maybe we can respond to that. After all, it is important for parliamentary history how the initiators see it.
