ParlaMint-NL_2017-01-24-tweedekamer-34.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2017-01-24-tweedekamer-34.u54	That's right. Why should we leave this protection entirely to model regulations? That is apart from the fact that a qualified majority is not found in all existing model regulations. I'd like to get a reaction from the government. The following point has been raised and raised by the Royal Notarial Professional Organization. He said about this bill that it would be undesirable for owners' associations to take out a loan without first considering whether the own fund is sufficient or whether there are opportunities to finance the plans through an additional contribution from the members. The SGP considers that to be a logical line, but does not see it in the proposal. Can the Minister confirm that taking out a loan cannot or must not be dealt with until there is a lack of own resources? This idea seems to be reflected in the explanatory memorandum, but we do not see it clearly enshrined in the legislative proposal. As far as we are concerned, it is important for Members to have clear criteria. There is still a lack of clarity about the role the notary would have in transferring the apartment. The explanatory memorandum suggests that the notary should check the size of the reserve fund, possibly even if the fund is adequate, but the notaries contradict this. The law only expressly contains provisions on the set-off of contributions to the association. Can the Minister clarify the expectations of the parties? Can the Minister confirm that at least the proposal is not intended to create obstacles to the supply of an apartment, with all the consequences it would have? Finally, the proposal stipulates that the exclusion of the possibility of borrowing should be regulated in the regulation. For substantive reasons, it could also be chosen to settle this issue in the statutes. These are obligations which concern the members of the association and not so much the rules governing apartments. Would the Minister please explain why, in his view, the choice to regulate it in the Rules of Procedure would make more sense? From the point of view of costs and procedures, as stated in the explanatory memorandum, it does not seem to make much difference. I await with tense attention the Minister's answer to the questions. We will then determine, partly on the basis of that, our voting behaviour.
ParlaMint-NL_2017-01-24-tweedekamer-34.u55	Thank you very much. That brings us to the end of the first term of office. I suspend to allow the Minister to prepare his reply.
ParlaMint-NL_2017-01-24-tweedekamer-34.u56	I would ask Members to take their place and give the floor to the Minister.
ParlaMint-NL_2017-01-24-tweedekamer-34.u57	Mr. Chairman. In the contributions of the members the question always came back in different ways: why does a law need and how much do you actually have to regulate? Mr De Graaf was the most explicit in that; he just came in. In itself, it is right to ask such a fundamental question. Because of the existence of the law of association and the wider law of legal persons, Dutch society has introduced an order in private relations, which has been said over time: that helps anyway. This history goes back hundreds of years, not only in the Netherlands. I have mentioned here once before the example that I was treasurer of the tennis association and that I liked the fact that it was laid down by law that I was not responsible as a person for the financial situation of that tennis association, but that under the law of association that that was the association. I had to look after the pennies and get permission from the Assembly of Members. In my opinion, our society works better, whether it is a tennis association or an association of owners, if we lay down some of these traffic rules with each other. The association of owners has already gone a little further than general association law in the past, because it has been established that the intertwinedness of the members is more profound there than with the tennis association. You can't just join and join. The risk of hidden defects is also a little higher than at the tennis association. There are also some kind of external effects between them. These external effects could even be extended to the outside world because a building or a lift, which can be used by all kinds of people, can become dangerous in the most extreme case. This does not mean that we should then arrange such an association in detail or that we should limit the possibility of vve-members to make mutual agreements endlessly. I will go into this further in the answers to the questions. The legislative proposal as it stands today is the result of a learning pathway. We agreed a number of years ago and laid down in the law that an association of owners should at least have a reserve fund. That was then evaluated, as we do with laws. We have carried out a thorough investigation into this too. A number of MPs referred to this. It has been found that the process of reservation and maintenance is going well in about half of the owners' associations, but not in the other half. That's a lot of them, isn't it? Then, of course, you will consult with all kinds of stakeholders: VvE Belang, as representative of the associations of owners, and the Royal Notarial Professional Organisation. The Vereniging Eigen Huis has also been consulted and the Vereniging van Nederlandse Gemeenten. We are going a long way towards this kind of legislation. Everyone inevitably has their own accents and tastes, but very widely all those ranks have said that this addition is sensible. That is sufficient reason for me, without wishing to intervene very deeply in the way in which such an association regulates its relations with each other, on the basis of the practical experience of recent years and a broad-based advice from all the organizations concerned to submit the bill to the Chamber as it stands. Against that background, I will answer the specific questions. As usual, I shall do so again in the order of the questioner. Mr De Vries began with the fundamental question of whether there is a need for more administrative enforcement. From the point of view I have just given that this is about the relationship between members of an association, I do not think that makes any sense. Why should administrative law maintain such matters as painting or glass washing? It is quite possible under the Housing Act to intervene when there is real danger, but that is regardless of whether the owner of the building is an association of owners, a private or a company. If there really is a danger criterion, then the government is the only one who can act. That makes sense. That's not what this law does. It's already taken care of. I would not think it appropriate to extend this law to include further administrative measures. Mr De Vries asks if I am going to amend the law when the Royal Notarial Brotherhood will have come up with a new model regulation. I'm not ruling that out, but I can't promise that either. That is what I need the new model regulations for. On that basis, I can then let the Chamber know if that requires legal amendment.
ParlaMint-NL_2017-01-24-tweedekamer-34.u58	I have an informative question. I had asked when to expect that. It says in the documents that it would already be in 2016.
ParlaMint-NL_2017-01-24-tweedekamer-34.u59	I must ask you to be patient. Today's papers say it'll be in the middle of this year.
ParlaMint-NL_2017-01-24-tweedekamer-34.u60	I do not want to correct you, Minister, but just say the following for the sake of clarity. It used to be the Royal Notarial Brotherhood, but now it is the Royal Notarial Professional Organization.
ParlaMint-NL_2017-01-24-tweedekamer-34.u61	Ah, the brotherhood has disappeared from the notaries. They could also have made it "brotherhood and sisterhood." Anyway, the expert notaries have been consulted and will come forward with an opinion. Mr De Vries also asked how the tenants' access to a membership meeting of an association of owners could be arranged. At the moment, the landlord can allow tenants to participate in a general assembly of members, at least to be present there. However, the landlord is the owner. It is logical that it ultimately has the decision-making power. This also naturally entails the right to property. Fortunately, there are good examples of tenant participation in associations of owners. I've also sent a letter about that before. It's always gonna have to go this way. Mr De Vries has tabled an amendment requiring that energy saving measures with a payback period of 10 years or less always provide for an absolute majority of votes in a sitting. The result of this amendment is that an association of owners no longer has the freedom to agree that large investments require a different majority. I think that is a very serious restriction. At present, it is very common for owners' associations to agree on a larger compulsory majority than an absolute majority for large investments. Mr Bishop is also asking for this specifically for loans; I will come to that later. From the balancing framework that I have just outlined, namely that we are assuming the freedom of agreement between adult Dutch people unless there are very good reasons to frame it further, I really do not know why this amendment should prevent people from agreeing with each other that they need a greater majority for investment. That is the effect of this amendment. It's gonna be impossible. The amendment surprises me somewhat against the background of Mr De Vries' speech today, in which he expresses his concerns about the influence a large owner may have in a complex. That influence is even greater with this amendment. It also surprises me somewhat against the background of another debate which we have had extensively, on the subject of energy saving, and the urgent request of Mr De Vries and a majority of the Chamber, to which I have also contributed, to enable a guarantee of living expenses. If this amendment is adopted, and given the large numbers of people, the following situation will arise. It concerns two persons with an income of, say, €30,000 each, with access to the social rental sector. If one person with an income of €30,000 is asked by the landlord to agree to energy savings and an energy performance compensation, then there is a 70% consent requirement and there is that housing security. If that other person, with exactly the same income, lives in an apartment that is part of an association of owners, then there is not 70% possible, even if those members want to. This amendment will then require half plus one, without guaranteeing that this energy performance will also be delivered. I read in the amendment that it has to be recovered in ten years, but that was not enough for the energy performance compensation. There had to be a guarantee on top of that. You're really gonna have a crooked relationship between people on the same income. The combination of this fact and the first point, that this really is a major breach of the freedom of members of an association to make very reasonable agreements with each other, means that I have great difficulty with the amendment. I would therefore ask Mr De Vries to reconsider the amendment.
ParlaMint-NL_2017-01-24-tweedekamer-34.u62	The operative "great effort" is not very common.
ParlaMint-NL_2017-01-24-tweedekamer-34.u63	I think there will be more, but I see that Mr De Vries might make some sensible additions.
ParlaMint-NL_2017-01-24-tweedekamer-34.u64	Let's take a look.
ParlaMint-NL_2017-01-24-tweedekamer-34.u65	I'll do my best. It is a question of whether the association of owners has the right to impose a greater condition in relation to the majority. The Minister has the task of increasing sustainability in the Netherlands, with some delay as far as the savings in the built environment are concerned. I don't understand that he doesn't get excited when we can give him a turn on that by putting in a gear for those vve's as well. But the point is that a majority can simply decide on investments that recoup themselves. So it's really something other than really big maintenance investments, because that means you've lost that money forever. You pay this money, and you get the revenu back from it in your monthly energy payments. Is that 100%? I admit that the Minister has a point there, but it really is a big difference whether you make profitable investments or final investments where you don't see your money back.
ParlaMint-NL_2017-01-24-tweedekamer-34.u66	Unfortunately, Mr De Vries does not go into my point that two people with an income of €30,000, i.e. below the rent surcharge limit, really get into a completely different legal position when investing in energy saving. It's totally different. Investment in energy saving can involve substantial amounts. That is, in fact, always a question of substantial sums. People with a small wallet therefore need a serious consideration. I also agree with Mr De Vries that there are very good reasons for this and that we welcome and encourage it, including for owners' associations, for example with cheap loans. However, it involves large amounts, and a lot of people who own an apartment in an association of owners have a small wallet. And then we say to those people who own: nothing is a 70% majority, even if you want to, and nothing is a guarantee of living expenses. The majority can then simply force it, even if that majority is, for example, the housing corporation that has the majority in the apartment block. That's gonna happen. And someone with that same income in a social housing unit we give all that extra protection. I really can't reconcile that.
ParlaMint-NL_2017-01-24-tweedekamer-34.u67	The Minister brings in a lot, but the difference is that it can be decided by a simple majority. If a decision is taken by qualified majority, there are still people who have to deal with the consequences in the Minister's comparison. We cannot therefore exclude this in decisions taken by associations of owners. I'm weighing up that it's profitable investments that people get back through their energy bill. I think we should make demands. It must be demonstrated that the payback period of 10 years is guaranteed. But if that is the case, I think it is important that we boost energy saving. Then we have to accept that it has consequences for people with the income that the Minister mentions, but it also has consequences for a majority of 70%. There's really no difference.
ParlaMint-NL_2017-01-24-tweedekamer-34.u68	If we had now had a fervent debate here about the 70% that is common in housing corporations, with the contribution 'that should also be half plus one', I might not have supported it, but I would have recognized a consistent line. I do not recognize this consistent line at the moment, not even in terms of the guarantee of energy savings. The fundamental legal point is: why would you ban people from making a reasonable agreement among themselves that they want a heavier majority in the case of large investments? Why do we have to forbid people from doing that? That is what this amendment does. I have therefore already indicated to the President that I have great difficulty with the amendment. If it is maintained after the first deadline, I would ask the President to ask for an opinion from the Council of State on the amendment and to open the second deadline after the opinion.
ParlaMint-NL_2017-01-24-tweedekamer-34.u69	Of course, the President-in-Office's answer to that is: yes. We'll see how it goes first.
ParlaMint-NL_2017-01-24-tweedekamer-34.u70	I shall now turn to the other questions put by Mr De Vries. He indicated that it is actually desirable that there should always be a multi-annual maintenance plan. He asked me once again to consider the possibility of making this compulsory. A multi-annual maintenance plan is wise, but here again the question arises when you as a government are going to use the knot of the obligation. Mr Koolmees addressed the many very small associations of owners where for years there has been a lot of fun working together and the maintenance is perhaps also done partly by himself. Why would you want to impose such an obligation? So I think that is a step too far. In fact, I'm inviting you to this bill, but I'm going a little less far. Then Mr De Vries asked about the position of a disabled resident who lives in an apartment that is part of an association of owners. He is dependent on the association of owners for taking accessibility measures. Different situations may arise. If the measures are taken on the basis of the Social Support Act, that law already explicitly indicates that an association of owners should participate in the adjustments. This can be a stair lift or a ramp, but also make the space suitable for a scooter or a wheelchair. Even if an association of owners would not agree to this, a municipality can enforce it. Measures not covered by the Social Support Act are subject to the Equal Treatment Act on the basis of Disability or Chronic Disease. It states that additional, generally simple, facilities must be provided for people to enable access. Think, for example, of the placement of scooters in common areas. In addition, Secretary of State Van Rijn announced that an action plan for the accessibility of buildings will be drawn up as part of the implementation of the UN Disability Convention. We'll come back to that before the summer. This means that accessibility is guaranteed along different routes. Mr De Vries also asked what is the position of a tenant who has a complaint about the quality of the property, where the landlord again depends on an association of owners. He asked what the tenant's position is if the association of owners does not want to invest. A tenant always has the right to claim compensation if the maintenance of the property is completely insufficient. He can go to the Rent Commission. He could also charge rent reduction there. The ratio of the tenant is therefore a ratio to the landlord. The tenant can therefore also ask for all these measures without the association of owners having already cooperated. The landlord can then appeal to the association of owners and indicate that he has become a landlord liable for damages and that he will recover that damage from the association of owners. He will of course prefer that the association of owners simply jointly finance the maintenance. So the route is a bit complicated, but closes. Finally, Mr De Vries asked whether this law also helps to address the problem of service flats. There are a number of issues surrounding service flats, not all of which can be addressed by this law. For example, social changes in a number of places reduce the demand for service flats. However, this law explicitly helps the service flats with an active association of owners when booking for maintenance and the ability to borrow. I'm coming to Mr. Ronnes. He asked whether the membership right of an association of owners has an influence on the World Trade Organisation value. The right to membership does not in itself affect this. When selling an apartment, the amount present in the reserve fund will generally be taken into account, because a well-stocked wallet will not be given to the new owner for free. The state of maintenance will of course affect the value of an apartment. That makes sense. Mr Ronnes asked whether the share in the reserve fund could be exempted from box 3, at least for the part that should be spared. If that were to happen, an owner of an apartment in an association of owners would be in a different position than an owner of an independent house. Also at an independent house a sensible owner will reserve for periodic maintenance. That's just in his savings account. If that amount exceeds the threshold, it will be taxed in box 3. You'd create legal inequality if you treated it differently with an association of owners.
ParlaMint-NL_2017-01-24-tweedekamer-34.u71	Is that true? The difference between the two is that you can have the amount in the savings account at your own house. At the time the money is reserved at the association of owners, you cannot have it yourself.
ParlaMint-NL_2017-01-24-tweedekamer-34.u72	This self-determination at an independent home is, of course, only relative. You fool yourself if you have reserved €5,000 for the painting but used it to go on winter sports. Technically, you can have it yourself, but the bill comes anyway. So I really think that the money in such an account is treated fairly in both cases.
ParlaMint-NL_2017-01-24-tweedekamer-34.u73	Did I see some skis in the walkways? Mr. Ronnes.
ParlaMint-NL_2017-01-24-tweedekamer-34.u74	I do not agree with the Minister's explanation. I think it should be interpreted in two ways: can money be made available or not? I do not think it is important for what purpose it is being used when it comes to taxation.
ParlaMint-NL_2017-01-24-tweedekamer-34.u75	Again, in both cases there is money in a savings account for a specific purpose. It is practically possible to remove it if it is an independent property, but with this the owner does not fail because the maintenance does not disappear as a future obligation. Mr Ronnes has tabled an amendment to item No. 7. The purpose of this amendment is to ensure that the annual contribution to the reserve fund is actually paid into a bank account. That too is an intervention in the freedom of the members of an association of owners to make agreements. Mr Koolmees illustrated that there are a lot of small associations of owners of suit and three members, who have been working well for years and who, if the amendment were to be adopted, would suddenly be forced to deposit money into their accounts without having to consider it necessary for them to do so. The research that everyone has actually referred to here indicates that about half of the owners' associations are now functioning well. All of a sudden, you're gonna make tens of thousands of people an obligation while they're just doing their job right. That does raise the question: why would you want that? Then there is a specific group of owners, namely the housing corporations and professional investors, which generally have net liabilities on the balance sheet. It is of course very unattractive for them to have to park money in their savings account while they are in debt. So with this amendment, too, the President is already looking critically at me again.
ParlaMint-NL_2017-01-24-tweedekamer-34.u76	I don't think it makes much impression.
ParlaMint-NL_2017-01-24-tweedekamer-34.u77	We are here today with the aim of getting the reserve funds in order so that money is available if the necessary maintenance is to be done on the premises concerned. I mentioned earlier the example of bankruptcy, where the amount actually intended to be used as a reserve fund cannot be available. How does the Minister see it in such cases? In addition, I have the following question. If the voting ratio in a vve is such that a corporation or a large real estate owner who owns a certain part of a complex can actually push through any way of guaranteeing...
ParlaMint-NL_2017-01-24-tweedekamer-34.u78	I shall suspend the sitting for a few moments.
ParlaMint-NL_2017-01-24-tweedekamer-34.u79	As the President actually points out, I am suffering from an emerging flu. So I would appreciate it if we could suspend the sitting now and continue at a later date.
ParlaMint-NL_2017-01-24-tweedekamer-34.u80	I'd already suspended. Just go away, Minister. You look a little pale; you have the flu. We are suspending this debate now and are going to discuss with you when we will continue to do so.
