ParlaMint-NL_2017-11-09-tweedekamer-16.u1	I give the floor to the Minister to first inform the Chamber of the letter requested this morning.
ParlaMint-NL_2017-11-09-tweedekamer-16.u229	Thank you, Minister. I would like to give the floor to the Secretary of State for Finance, Mr Snel, after I have suspended the deliberations for a few moments.
ParlaMint-NL_2017-11-09-tweedekamer-16.u230	The next item is General Financial Reviews. The Secretary of State for Finance has the floor for his first term. We agreed he'd talk about everything he's going to talk about. He's gonna mention a couple of cubes for you to handle. After his term, we will continue to discuss the dividend tax with the Minister of Finance in the first term. Mrs Leijten, Mr Van Rooijen. I think Mrs Leijten was earlier.
ParlaMint-NL_2017-11-09-tweedekamer-16.u231	The Secretary of State has already had time to think about his answer to this question: is Bermuda a tax haven?
ParlaMint-NL_2017-11-09-tweedekamer-16.u232	Mr. Chairman. I had hoped, somewhere, that I could have started my debate differently, in a proper way, by saying: I am so glad to be here and to be able to discuss it with all of you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u233	I would still like to give you the opportunity to do so if you would come back to Mrs Leijten's question afterwards.
ParlaMint-NL_2017-11-09-tweedekamer-16.u234	Sure, sure. With all these qualifications, the problem is always what a tax haven is. As we know, there are a lot of lists in the world that are made somewhere. You often have the OECD list, you have an EU list and you have lists of other groups of countries. I think "tax haven" is a bit of a container concept that doesn't help us very much. If you ask if Bermuda is a low-tax jurisdiction with which we would like to have an exchange, the answer is yes.
ParlaMint-NL_2017-11-09-tweedekamer-16.u235	We'd like an exchange with Bermuda. So all those measures that are now announced in the government agreement, that you're going to levy withholding tax on those dividends, royalties and interest rates from low-tax jurisdictions, isn't Bermuda one of them?
ParlaMint-NL_2017-11-09-tweedekamer-16.u236	Oh, yes, I do. I just said it's a low-tax jurisdiction. What we would like to do is exchange information with all this kind of thing you call "tax havens," but what we would not qualify as such. Just as we ourselves would like to share our own information with countries with which we conclude bilateral tax treaties, we agree that this should be done as widely as possible. The whole discussion is often about when something is a tax haven and when isn't. This ultimately has to do with the discussion that tax systems are in place, the Netherlands has a system, Belgium has a system, Andorra has a system, and that unfortunately these systems do not fit as perfect puzzle pieces. This means that, if there is room between them, they will also be abused. That is the whole discussion we have had over the last few days. We know it's true. That does not necessarily have to be illegal, but it is undesirable and we must try to prevent it. That's the line this cabinet is trying to use all the time, so is my story. I am going to say that we want to have an attractive locational environment for real companies and at the same time we want to ensure that tax evasion through constructions is addressed where there is no proper connection between tax systems. That's the line we follow there.
ParlaMint-NL_2017-11-09-tweedekamer-16.u237	Yes. According to the definition that a country where little tax is paid is a tax haven, Bermuda is a tax haven. Yeah, that's what this Secretary of State actually says. And then when a company like Nike from his tax broker, the tax broker for multinationals Applebee's, hears "forget Bermuda, use the Netherlands, just as interesting fiscally," what are we?
ParlaMint-NL_2017-11-09-tweedekamer-16.u238	I strongly wonder if that's what countries do. Someone may have called that, but it seems a bit of a weird construction to me. Because in the Netherlands, you just have to pay taxes. One of the examples that has emerged in the newspapers in recent days is a tax base that has not been taxed by the Netherlands because it does not belong to the Netherlands, but to a country like the US, for example. We do not tax it, nor is it taxed in the United States. Well, that's unfortunate. This leads to avoidance, and that is exactly what we want to avoid. We know that these structures exist and I have also indicated a number of times, also in my letter to your Chamber, that we want to avoid this, for example by introducing a withholding tax not only on dividends but also on interest and royalties for these low-tax jurisdictions, so that these structures, as you describe them and as you have read them, are no longer possible in the future.
ParlaMint-NL_2017-11-09-tweedekamer-16.u239	Mrs Leijten, concluding on this point.
ParlaMint-NL_2017-11-09-tweedekamer-16.u240	Mr President, in 2006, Nike kept 535 million dollars out of the reach of the American tax authorities. Now the company keeps 12.2 billion out of that range, and that is what the Netherlands is using for. You can all propose beautiful, beautiful measures and pretend to be the best boy in the class. But if a company like Nike uses our country to keep 12.2 billion out of the reach of American tax, then the least you can do is acknowledge: yes, we are a tax haven and no, we don't want to be in the future? But it starts with recognition, doesn't it?
ParlaMint-NL_2017-11-09-tweedekamer-16.u241	Thank you. The Secretary of State.
ParlaMint-NL_2017-11-09-tweedekamer-16.u242	Maybe I should take a look at the last one. In any case, I am pleased that we now agree that this has not been at the expense of the Dutch tax base. This misunderstanding is sometimes raised. This type of structure and what is underneath is simply charged in the Netherlands. And there is indeed a part that we cannot raise, according to our own laws and regulations. But it doesn't seem to be anyone else's choice. I say again: I think what you say is exactly what this cabinet wants. We just want to put an end to that. Let there be no misunderstanding about that; we want to put an end to these structures by making these pieces of puzzles more compatible. That is what we are proposing. I shall return to that in a moment's time.
ParlaMint-NL_2017-11-09-tweedekamer-16.u243	Mrs. Leijten, you want to respond again. I think that...
ParlaMint-NL_2017-11-09-tweedekamer-16.u244	One more sentence, Mr. Chairman.
ParlaMint-NL_2017-11-09-tweedekamer-16.u245	Yeah, really the last sentence then at this point.
ParlaMint-NL_2017-11-09-tweedekamer-16.u246	The Secretary of State pretends these structures have fallen from the sky. That's not true. They were made by Secretary of State for this Secretary of State, with the knowledge of ministers who spoke and agreed to this in the Council of Ministers. The Netherlands is made a tax haven. Now it's said we're gonna do something about it. And everyone loves it so much. Just acknowledge: we are a shameless tax haven, we acknowledge it and we are going to tackle it.
ParlaMint-NL_2017-11-09-tweedekamer-16.u247	Yes, thank you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u248	So I will not acknowledge the latter. I'll just start at the beginning anyway. I wanted to make a reference to the Prime Minister's initial remarks. He said it's a special time for him to be here. It is, of course, also a special time for me to have a debate with you here in the plenary of the House of Representatives on what I expect to be interesting issues: taxation, tax administration, tax policy. I look forward to that. I have, of course, already had a legislative consultation with many of you. We have had discussions for two Mondays. I believe that Mr Snels had calculated the number of hours, and there were already quite a few. During that legislative consultation, I also said that I look forward to a pleasant and constructive cooperation with your Chamber. I want to repeat that here and tell you again. As the Minister said, I also say that this cabinet is actually in favour of letting all income groups know that the economy, employment and public finances are improving again. That is an important task. It is therefore also time to reduce income tax and reform the tax system. This tax reform is actually made up of three pillars, and these three pillars could, as far as I am concerned, also be the blocks for this debate. The minister had six cubes, I have three, so I hope we can do that a little on time in the next few hours. The first concerns reducing the burden on citizens and reducing the burden on labour. The second block will be about improving the business environment, so tax avoidance is also an important element. And the third block will be about the further greening of our tax system. Some of the questions put have been dealt with in a written set of answers which I sent to the Chamber together with the Minister this morning. A number of questions have therefore already been answered. A number of questions will remain open. I will try to mix it into these cubes so that we keep it together properly in terms of content. The Tax Administration is, of course, also a subject that has been very much in the interest of the past few years. That is the subject of a block that I have not mentioned, but which I think I should also pay attention to. In my first days as Secretary of State, of course, I have had a lot to do with this. It is true that, when I took office, I first concentrated on all the tax packages that were in progress, and even less on all the necessary reforms in the Tax Administration. I hope you'll forgive me a little bit. I think we can park some parts until 13 December, when we have a meeting of the Permanent Chambers Committee that is specifically about the Tax Administration. That would be a sweet thing for me. I'll say something about it, but there may be some questions that are going a little too far for me right now. I also think it is important to say straight away that I do realize that a lot has been said in the whole debate on the Tax Administration in the recent past. Not everything went well. There have been many debates, including with my predecessors, on these matters. That is quite right, let me put it first. The service itself, too, I think, is the first to think that things have happened that should not have happened entirely. There is now also a plan. It's called the Investment Agenda. We've had the recalibrate of that, too. It is basically a modernisation of the tax administration. That's a start. I will continue to shape it according to my own interpretation. We shall then be able to speak on our own behalf. Mr President, first block: reducing the burden and reducing the burden on labour. Quite a lot has just been said about this. It is certainly not my intention to do that all over again, but I think it would be good to put a few sentences on this from the point of view of tax law. We've talked a lot about it: there's economic growth, that's nice, but a lot of groups haven't really felt that in their wallet yet. This cabinet is trying to make these groups feel that in their wallet. In doing so, tax relief and reduction of income tax obviously play an important, if not crucial, role. The measures taken by this cabinet will improve the purchasing power of all income groups in the coming years. There has been a lot of discussion on that. In particular, middle-income workers will benefit greatly from the measures agreed in the coalition agreement. So there is, and then we go into the technique, among other things agreed that we are going to introduce a two-disc system in box 1 of income tax. This increases the disposable incomes of everyone in the second, third and fourth discs. It is also hoped that the tax system will become more transparent and that it will become less important whether income is earned in a household with one or two persons. This morning, too, some attention has been paid to the fact that the gap exists and is certainly not yet gone, but at least a little bit reduced. For example, to ensure that lower incomes get more spending, the general tax rebate increases by around €350 in 2021. The employment discount is also rising and will run over a longer income path to make work pay even more. This is also one of the themes of this new cabinet. The new maximum is then eventually about €550 higher than the current maximum, which is not nothing. Finally, and I am sure that at least one person in the Chamber would have asked me otherwise, the old-age discount goes up by €165 and at the same time there is a gradual reduction in income rather than the current hard border. I know that, according to some, the phasing-out would have been even more gradual, but this is the choice made by the cabinet. Next to...
ParlaMint-NL_2017-11-09-tweedekamer-16.u249	Sorry, Secretary of State, there's been an interruption by Mr. Van Dijck.
ParlaMint-NL_2017-11-09-tweedekamer-16.u250	I was just gonna say, "I'm gonna pay more to work." I did the Tax Plan last year, and then together with SGP, Christian Union and CDA I made a very big number of that gap you were talking about. It will not be poemed, but it will not be bigger. But we have also made a number of marginal pressures if you go from minimum wage to modal; I do not know if that has been the issue with the Tax Plan. I had calculated: if you go from €20,000 to €36,000, yet €16,000 more per year, you actually only have €200 or so. The marginal pressure in that trajectory is over 90%. Now I understand from the new Minister of Social Affairs that it goes from 90% to 80% for a breadwinner, but of course it is still not very motivating if you have to turn in every euro that you earn more between minimum wage and modal €0.80 to this State Secretary. What are you gonna do about it?
ParlaMint-NL_2017-11-09-tweedekamer-16.u251	I think Mr Van Dijck is touching on a familiar theme. That is the case everywhere; almost in every tax system you have to deal with a moment when the marginal pressure is greater than you want. That could be around the poverty level, and then you call it poverty trap. It can occur around more work. That's right. This cabinet can't completely solve that. It's just that there are times when you have a trap that you might not want. This also has to do with social policy at the bottom. I do think that in defining the coalition agreement the effort has been made to limit that trap as much as possible. But I am absolutely right in saying that if you ask me if it is completely resolved, the answer is 'no'.
ParlaMint-NL_2017-11-09-tweedekamer-16.u252	But this isn't a trap. Suppose someone earns the minimum wage, is a breadwinner and climbs up with hard work and courses. Last year I was talking about the cashier that climbs up into a supermarket branch manager. You have to do your best to realize that and now, with this Secretary of State, you can turn in every extra euro you earn €0.80. That doesn't motivate you, does it? In another route it is 50% or 60%, but this breadwinner simply delivers 80%. The previous Secretary of State, Mr Wiebes, didn't know what he heard last year either. He said, "I'm gonna take a look at it." Actually, this should be your biggest assignment.
ParlaMint-NL_2017-11-09-tweedekamer-16.u253	I have to say that the €0.80 doesn't look familiar to me one-two-three, but I'm not going to say that it doesn't. We'll look into it. The point you outlined came in. I understand the problems you have with that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u254	The Secretary of State, whom I welcome in this Chamber, we have already mentioned one WHO member in the Chamber who would have been particularly interested. I would just like to point out that a motion by Mr Hoekstra's party and my party in the First Chamber, which won a majority, was not carried out by the previous cabinet, but fortunately by this cabinet, of which I am aware. I would like to urge the Secretary of State that he should not be given the impression that this has happened. Since one Member is poking his ears around, we should not say here, in view of 3 million elderly people and many millions who are getting older, that has happened nicely; that motion from the First Chamber has been carried out and we should keep quiet. We will continue to fight for a much better relationship between the employment discount and the old-age discount. I'll come back to that tonight.
ParlaMint-NL_2017-11-09-tweedekamer-16.u255	Yeah, but I'd like to agree that interruptions are really short questions.
ParlaMint-NL_2017-11-09-tweedekamer-16.u256	I would like to take up Mr Van Dijck's point, because it was an example I asked for. A breadwinner is going to earn minimum wage, about €20,000, Modal: about €36,000. He lives in a rental house of €600 and has two children. That was the standard example. Indeed, that person loves the €16,000 he earns more less than €1,000 on debt under the system that there was. Now I asked the CPB too, but the question is not properly understood. Would the government like to re-create the calculation made last year for the 2021 situation and forward the outcome for the treatment of the Tax Plan to the Chamber? 'Cause I still understand that you're not doing that between the companies today.
ParlaMint-NL_2017-11-09-tweedekamer-16.u257	I think that's a good thing, especially if the standard example you mention is known to the public. I would like to respond to the request that it be sent to all of you. In addition to reducing the burden, we are also creating some reforms. We also create space through shift to further reduce taxes on income. This will increase the burden on consumption and pollution in the future. I will return to the third pillar on the further greening. The maximum deduction rate for the deductions, including the mortgage interest rate deduction, also goes down in four steps to the base rate. The proceeds of the acceleration of the write-down of the mortgage interest rate deduction are used to reduce the equity interest rate. Then there's the settlement Hillen. It will be abolished in 30 years from 2019. This scheme has been introduced in the past in order to encourage the redemption of home debt, but is now less sharp because we have already incorporated redemption requirement into new legislation in relation to the closure of mortgages. Of course, this is best accompanied by effects and in order to mitigate these effects on people's wallets, depreciation is now very phased, especially from the legislator, namely in 30 years. I will address the more specific questions in a moment.
ParlaMint-NL_2017-11-09-tweedekamer-16.u258	Because of the last sentence, I can wait until the Secretary of State really insists on it. It was a form of entrapment, but I'm giving him a second chance.
ParlaMint-NL_2017-11-09-tweedekamer-16.u259	Then the Secretary of State will continue his speech.
ParlaMint-NL_2017-11-09-tweedekamer-16.u260	Mr Van Rooijen is right: that was indeed a bit of entrapment. At the same time, the capital efficiency levy in box 3 is brought more into line with the actual rate of return. Everyone in the Netherlands knows that the real return on a savings account in recent years was not really close to 4%. This has not entirely escaped the attention of the legislator. So we are going to move closer to the real return. Furthermore, this is also not insignificant.... the tax-free capital for each individual saver increases further. On balance, we are talking about an income package, we are talking about a reduction in the burden on citizens, and we have also talked about this today, which amounts to more than EUR 5.2 billion in 2021. So, all in all, this package makes work more rewarding, increases the purchasing power of all income groups, young and old, makes the tax treatment of the various groups more balanced and modernises the system. Then there were indeed some specific questions in this block. Among other things, Mr Van Rooijen asked me, or actually the cabinet, whether we could clarify whether there would be a two-disc system or a three-disc system for the elderly. The answer will not surprise him entirely, but nevertheless: for AOW beneficiaries, the first disc of the two-disk tariff is divided into two parts, which indeed creates a three-disk system for them. The first of the three new disks for the AOW beneficiaries then consists of the merging of the current first and second disks. The new second disk will then consist of the current third disk and the new third disk from the current fourth disk is quite surprising. These disk limits may still change. That is why I did not want to go into it exactly in an earlier consultation. For example, they can change through an inflation correction. But, as I say, in the post Mr Van Rooijen also saw, in the explanatory statement there are the amounts. It will come up at a later date, but I cannot say that definitively because there can be another correction. The special indexing rules for the end point of the current second disk remain unchanged. This also means that the forest tax is still the sustainability contribution as it has once been referred to as "sustainability contribution'.
ParlaMint-NL_2017-11-09-tweedekamer-16.u261	Mr Van Rooijen wishes to ask a short question about this.
ParlaMint-NL_2017-11-09-tweedekamer-16.u262	Thank you for this clarification. It is now, I think, clearer than in the legislative consultation, because then the Secretary of State said: I cannot name hard numbers; this is an indication. I understand now that the margin is actually just the inflation correction, because we do not know it yet. But the limits that were also in the answers of the planning agency are the limits that we can now go from independently of the correction?
ParlaMint-NL_2017-11-09-tweedekamer-16.u263	Yeah, you could use that as a working hypothesis. We don't have much better than that right now, so you can assume that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u264	Here we go again. It was an indication last week and now you say: it's the numbers that are there now. I also refer to the response of the planning agency last week. There they are twice: once the numbers and the rates twice. And now you're saying this again. I get so many requests from people. Thank you for the answer to my question about those three discs. Some people thought that the entire AOW premium will be paid by the elderly too, so there are two rates. That's not true. But people also want to know about the boundaries. We already have the forest load which leads the elderly to the next disc earlier. If you say 'I don't know whether the limits we have now actually stay', you might be going to lower them and we're going to get some kind of forest tax squared.
ParlaMint-NL_2017-11-09-tweedekamer-16.u265	I have tried to indicate that I have already done so in the legislative consultation, but I was apparently even less clear in that it is very difficult to say: yes, this is it and there will only be an inflation correction. I say this because I do not know at the moment whether another technical correction could be made. I try to indicate: this is it in principle, just take the pictures we see now, but be aware that there can still be a small inflation correction.
ParlaMint-NL_2017-11-09-tweedekamer-16.u266	Rounding up.
ParlaMint-NL_2017-11-09-tweedekamer-16.u267	I do not understand what you mean by a'small other correction', because then you would have to make that reservation for all the tax rebates and you would not make that reservation with those other tax rebates. For all tax rebates, the figures are known. Only in the case of the elderly, in the case of the three-taxes, are the limits still not quite certain, apart from the inflation correction. I told you last week that I cannot settle for that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u268	I have a very small doubt here because it says "for example" in my text. Then it's always the question: did I take all the examples or is there another one? Again, I am not trying to create a fog or a lack of clarity here, but I do not want to say anything wrong. I find it annoying to say that it is only the inflation correction and then it would appear that there should be a premium correction on something, to say anything. I don't know, and that's why I'm saying, I'm not sure. But if you want to know exactly, I can promise you to look that up and to indicate in the second period by which corrections, other than the inflation adjustments, could possibly be adjusted.
ParlaMint-NL_2017-11-09-tweedekamer-16.u269	Then I'll come back to it in second term. But if you are thinking of leaving the word 'in advance' at the old borders, I am already very satisfied.
ParlaMint-NL_2017-11-09-tweedekamer-16.u270	The Secretary of State will return to this shortly in the second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u271	Yes, I understand that, Mr. Van Rooijen. Older people, through this sustainability contribution, where I had just stopped, do not go faster to the top rate. The target for the 49.5% top rate is the same for AOW beneficiaries and non-AOW beneficiaries and is expected to be around €68,600 in 2021. There was another question from Mr Van Rooijen about the elderly discount, which is why it is reduced by 15%, while the labour discount is reduced by only 3%. He asks if this is tax age discrimination. The reduction in the working discount is actually 3.6% at the moment. It goes up to 6% in the coalition agreement, by the way. It is being increased from 3.6% to 6%, but there is indeed a difference. The elderly discount now has a hard income limit of €36,346, with the height suddenly falling from €1,418 to €72. That's the hard fall. The coalition agreement and the letter of amendment provide for the phasing-out from 2019 onwards to be made more gradual with a phasing-out rate of 15% and a phasing-out to full 0. So that's a slightly different pattern. In addition, the elderly discount will be increased by €160. The old-age discount is intended as income support. The chosen design is in line with the income which the government considers income support to be appropriate. The reduction in working hours is intended to promote employment. This also fits just another finishing, namely a less steep one. They're both discounts, but they have different goals. Older people who work, I say immediately, are also eligible for the employment discount. Because older people do not get the AOW part of the employment discount, that part is lower.
ParlaMint-NL_2017-11-09-tweedekamer-16.u272	I shall, of course, come back to this in detail in the second period. The only question is: if the 3% is now going to the 6%, why has it not been considered that the 6% is going to go to the old people's discount? This eliminates tax age discrimination. The trapdoor you just mentioned, as your colleague Mr Wiebes mentioned at the time, is now gone. It's a kind of ski course, but very steep. It's getting a little less steep now. In the graphs in the blue booklet of the Minister and the Secretary of State for Finance, you can see that the elderly discount is still falling away very quickly. At €48.000 it is up, while at the employment discount it is on a much and much higher income. That is what we call tax age discrimination.
ParlaMint-NL_2017-11-09-tweedekamer-16.u273	So I see that differently. I have tried to explain that these discounts serve a different purpose and therefore have a different phasing-out path. That is the choice that we made in the coalition agreement and which we still support. I also have the idea, as was just announced, that whatever the answer I would give, Mr Van Rooijen would come back to that. I've explained what's going on again. Let's leave it at that. In the meantime we have arrived at the tip "Hillen." Mrs De Vries asks whether the abolition of the Hills Act cannot be separated from a reduction in the self-inhabitment deficit. The answer to this is that the phasing-out of the Hills scheme is, in principle, separate from a reduction in the household fee. This reduction covers, for the whole amount, compensation for the accelerated phasing-out of the mortgage interest rate deduction. Moreover, the reduction of the housing benefit results in the effect of phasing out the Hills scheme being mitigated for the group which has no or little property debt. That's a second-order effect, you might say. Furthermore, due to the decline in the owner's pension, taxes on his own property are less quickly paid on balance. Mr Van Rooijen asked whether the cabinet would not reconsider the proposal on the Hills Scheme or whether an exception could be made for existing cases in the phasing-out of Hillen, so that they would not be unduly confronted with this discharge in his words. The repayment requirement for the property debt introduced in 2013 was an additional incentive for accelerated repayment, reducing the need for the Hillen Act. Moreover, the Hills scheme is financially unsustainable in the long term, as stated in the coalition agreement. We're talking cost over a billion dollars. As a result of the repayment requirement, taxpayers are much more likely to benefit from the Hillen scheme.
ParlaMint-NL_2017-11-09-tweedekamer-16.u274	The Secretary of State states that the mortgage interest rate is indeed being reduced more quickly and that it is going back to its own house. I was more concerned with a slightly higher story. If you are already recording that there will be a gradual phasing-out of the Hills Act, why do you not choose to record a number of other matters that will apply to the same group, even if they may play later? I have also asked the Minister this question in a broader sense; I will repeat it in the second term. The point is that this is going to apply to the same group. You shouldn't just introduce a negative measure first. You just have to take care of the positive that it's about for the same group.
ParlaMint-NL_2017-11-09-tweedekamer-16.u275	I think I understand what you're talking about. I was trying to explain that the phasing-out of Hillen as such has nothing to do with the mortgage interest deduction or the reduction of the house deposit. That's one package. I was hoping that Mrs De Vries would take that as well. In addition, the Hillen Act becomes superfluous in some sense, because we have already introduced a mortgage redemption requirement. Sooner or later, everyone has relieved their homes, because they have to. So we know that it is no longer necessary in the long term, but if we let that go right now, its purchasing power effects would be very large for a very specific group of people, including many older people. For that reason we have decided to spread it over 30 years.
ParlaMint-NL_2017-11-09-tweedekamer-16.u276	In my view, the earlier debate we had was mainly about it being a total package. As far as I am concerned, this was an example. We are also going to increase the innovation box, but we have not yet arranged the Vpb reduction. I'm more concerned with the system. You can say that it has nothing to do with each other, but for my final assessment of the coalition agreement it is important that we do not just take the negative measures first and then the positive ones. Perhaps the Minister will be able to come back to this in a more general way in the second term, because I think it is an important point.
ParlaMint-NL_2017-11-09-tweedekamer-16.u277	I think the Minister would like to get back to that in the second term. This is a question on how to deal with the phasing out of burdens and relief for citizens and businesses. A choice has been made. I don't think it's true that all the acid is in the front and it's sweet on the back. This happens to be a measure in which no one is making any progress. They're all going backwards. But the package as such is at least meant as a balanced whole.
ParlaMint-NL_2017-11-09-tweedekamer-16.u278	I suggest we take that element into the letter. Mrs. De Vries, concluding.
ParlaMint-NL_2017-11-09-tweedekamer-16.u279	I am not concerned with the phasing out of the coalition agreement. It's about what you're already laying down for the longer term. That's more the point I want to make.
ParlaMint-NL_2017-11-09-tweedekamer-16.u280	Firstly, I welcome the Secretary of State's remark that it has nothing to do with the other. I am rather bewildered by the remarks made by Mr De Vries. She is now saying: since there is a deadline of 30 years for people who are severely caught without compensation, because of that non-compensating, I now want a phasing-out in 30 years for those who have a disadvantage that is completely compensated by an advantage. The consequence of this would be that you would also have to spread the reduction in your own house, which served as compensation, in 30 years' time, but she will not mean that. But I find it amazing that...
ParlaMint-NL_2017-11-09-tweedekamer-16.u281	I'd like to introduce...
ParlaMint-NL_2017-11-09-tweedekamer-16.u282	Mrs. De Vries is talking about the Hills Act.
ParlaMint-NL_2017-11-09-tweedekamer-16.u283	No, no, no, we're not doing this. Mr Van Rooijen, you have every opportunity in the second term to interrupt the VVD spokesperson on this point.
ParlaMint-NL_2017-11-09-tweedekamer-16.u284	I was talking to the Secretary of State.
ParlaMint-NL_2017-11-09-tweedekamer-16.u285	To be honest, I got the impression that you...
ParlaMint-NL_2017-11-09-tweedekamer-16.u286	No, no, no...
ParlaMint-NL_2017-11-09-tweedekamer-16.u287	I would like to give Mrs De Vries a very brief opportunity to make a personal statement or to respond, but I suggest that we proceed with the debate with the Secretary of State afterwards.
ParlaMint-NL_2017-11-09-tweedekamer-16.u288	First of all, I find it really special that Mr Van Rooijen is now saying something to me through the Secretary of State. Let him say that to me; that's fine with me. And he definitely shouldn't put words in my mouth.
ParlaMint-NL_2017-11-09-tweedekamer-16.u289	Okay, thank you. We're gonna stop this debate and we're gonna focus on the Secretary of State again. I give the floor to Mr Nijboer.
ParlaMint-NL_2017-11-09-tweedekamer-16.u290	I understand the point made by Mrs De Vries. She thinks, "Yeah, damn it, I'm gonna vote for the Hills Act and then I don't have my own house yet." There is an easy solution, for which the opposition is in itself to poke, namely simply to leave the Hills Act for a year and to take the time for proper legal treatment. Then next year everything can be dealt with at once, including Mrs De Vries' own house, the sweetness of Mrs De Vries. Then both problems are solved.
ParlaMint-NL_2017-11-09-tweedekamer-16.u291	And your question to the Secretary of State?
ParlaMint-NL_2017-11-09-tweedekamer-16.u292	Are you willing to do that?
ParlaMint-NL_2017-11-09-tweedekamer-16.u293	My answer will not surprise Mr Nijboer entirely; the answer is no. I think it is important that we stick to the commitments we made in the coalition agreement, and this includes phasing out the Bill Hillen by 2019.
ParlaMint-NL_2017-11-09-tweedekamer-16.u294	I shall come back to that in the second term, of course, but it was Mrs De Vries who brought up the Hills Act, not me.
ParlaMint-NL_2017-11-09-tweedekamer-16.u295	The Secretary of State may prosecute in this manner, but after an interruption by Mr Van Dijck.
ParlaMint-NL_2017-11-09-tweedekamer-16.u296	The Ib package of the government agreement states that all deductions are gradually going to the deduction at the low rate, with 3% point per year, so the mortgage interest deduction is being lumped together with people who pay alimony or who have special care costs. What is the proportion of the 782 million that is cleared of this? Is it 90% because of the mortgage interest deduction and 10% because of other deductions? The Chamber has no insight into that. Perhaps it would be good to have more insight into the Tax Plan, because people who are now paying alimony will be startled by this Secretary of State.
ParlaMint-NL_2017-11-09-tweedekamer-16.u297	I must honestly say that I do not have the table with me, but I can imagine that the amount mentioned is only for the mortgage interest rate deduction, or to a large extent, because it is by far one of the largest deductions that exists. I hope this answer is sufficient, but I can ask if we can calculate it. That's totally or largely, that's clear.
ParlaMint-NL_2017-11-09-tweedekamer-16.u298	I would like to see it broken down, also because the people who are now paying alimony, and there are a lot of them in the Netherlands, will not have 52% but 37%. They also go back €200 or €300 per month with these plans, so also for the group of people with special care costs or other deductions I don't know which other ones are there.It would be good to have an insight into what that means on average per month.
ParlaMint-NL_2017-11-09-tweedekamer-16.u299	Okay, then I'll say it for the second term, at least if we can, but I think we can. I understand the question, but I don't have the answer right now. I think it would be unwise if I started betting on what the right answer is.
ParlaMint-NL_2017-11-09-tweedekamer-16.u300	The Secretary of State will return to that in second term. You will continue your speech.
ParlaMint-NL_2017-11-09-tweedekamer-16.u301	Mr. Chairman. It has also been asked whether you might not be able to include existing cases under the new Hills Act. I would be very opposed to that, because that would be impossible. Moreover, the whole package of measures improves almost every taxpayer, so I do not think it is really necessary. This also applies to owners of their own homes. Mr Van Rooijen said a few times that it is very unexpected and that a trap axe is coming. This abolition may come unexpectedly, because it will start in 2019, but I would like to continue to explain here that the complete abolition, that axe, will only take place in 30 years' time. That doesn't change the fact that it already starts in 2019, but it's not like that axe falls down in one stone. Their income effects are much clearer than one might suspect. Yesterday, Mr Omtzigt mentioned a number of examples of how much euro per month that would be.
ParlaMint-NL_2017-11-09-tweedekamer-16.u302	It is true that the Secretary of State points out the long-term consequences, but this answer is contrary to the Prime Minister's response. In Etten-Leur he said: one, it doesn't come from me, there we go again, and two, that arrangement is going to be very expensive. Can the Secretary of State explain to me that if that arrangement does not cost one billion in 30 years' time, then the Prime Minister can say that if you do not abolish it now, it will be too expensive? If he were to say that it would be too expensive in 30 years' time, it would be possible, but it is up to us to decide now, for the next 30 years, that people who have paid off their debts will be the victims of a night-to-night robbery.
ParlaMint-NL_2017-11-09-tweedekamer-16.u303	Thank you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u304	At the time, this bill was not there yet.
ParlaMint-NL_2017-11-09-tweedekamer-16.u305	I think Mr Van Rooijen understands that I am not going to answer on behalf of the mp. If he has that question, he can ask it to him. I just said what I found. Yes, that measure starts in 2019. Yes, we insist that it is wise to start with that. But no, the effect is not that great; that's only in thirty years. Mr Van Rooijen also asked about the consequences of the abolition of the Hills Act on the allowances. That's a good question. Of course, there's a connection. He had already put that question in writing. I also give the answer here only orally. As indeed stated in the execution test, phasing out the Hills deduction increases taxable income. This has effect on the level of the surcharges. In 2021, limiting this deduction by 10% is estimated to result in a lower expenditure on surcharges of EUR 5 million. This concerns in particular the care allowance. In addition, Mr Van Rooijen asked about the effect on the elderly discount. On this subject, I can say that in the case of further unchanged policies, limiting the Hills scheme in 2021, where he asked for a EUR 1 million reduction in expenditure on the elderly discount. However, this cabinet intends to increase the maximum amount of the elderly discount by 2019 and gradually reduce the discount. I just explained that. Moreover, this often leads to positive income effects around the income line of the elderly discount, which in this cabinet period are greater than the effect of the limitation of the Hills scheme itself.
ParlaMint-NL_2017-11-09-tweedekamer-16.u306	Thank you. Mr. Van Rooijen.
ParlaMint-NL_2017-11-09-tweedekamer-16.u307	Thank you for this clear answer and for the calculation. This means that on the blow of 26 million which occurs in the first year, the first blow with a patch of plaster has already been added 5 million because 5 million in supplements is paid less to people who are being duped. That's a technique. You add a fictional income, but the consequence is that the people who it's about receive 5 million less in supplements. I have to say that this is extreme anyway. I'll be careful to express myself...
ParlaMint-NL_2017-11-09-tweedekamer-16.u308	You have an opinion on this, but now your question to the Secretary of State.
