ParlaMint-NL_2017-02-21-eerstekamer-6.u1	I would like to welcome the Minister of OCW to the First Chamber.
ParlaMint-NL_2017-02-21-eerstekamer-6.u87	I suppose that's what the minister and her successors are after, isn't it? However, Mr Bruijn himself already asked that question.
ParlaMint-NL_2017-02-21-eerstekamer-6.u88	I am very glad that Mrs Martens is expressing that confidence now. This is an important moment in this debate. I have asked the Minister to confirm this both for her and for her successors in law, but I understand that the CDA is already convinced that the minister and her successors in law will go through this careful procedure. Then we'll get on with it.
ParlaMint-NL_2017-02-21-eerstekamer-6.u89	Is the procedure proposed here careful? If it is proposed, then you can assume that the Minister will go through it, but the question is whether this is a careful procedure to deal with this matter.
ParlaMint-NL_2017-02-21-eerstekamer-6.u90	That's right. That is why I have also asked whether the Minister will go through a careful procedure at all times. I expect the Minister to answer the question as to what this procedure looks like. Then, in the second term, we can assess whether we find that procedure carefully. I agree with Mrs Martens.
ParlaMint-NL_2017-02-21-eerstekamer-6.u91	Mr Bruijn asked whether the Minister could guarantee that she and her successors would go through a careful administrative procedure. How does Mr Bruijn think that this Minister can guarantee to the Chamber that all its successors will go through this careful procedure?
ParlaMint-NL_2017-02-21-eerstekamer-6.u92	The Minister can't do that, and I didn't ask him to.
ParlaMint-NL_2017-02-21-eerstekamer-6.u93	Then Mr Bruijn must explain exactly what he means by "the minister and her successors in law."
ParlaMint-NL_2017-02-21-eerstekamer-6.u94	When a minister transfers his portfolio to the next minister, it is not accompanied by guarantees, but by commitments. A next minister may act differently within the area provided by the law and within the agreements that exist, but then there is a parliament and there are other checks and balances to call the minister to order.
ParlaMint-NL_2017-02-21-eerstekamer-6.u95	Mrs Gerkens, finally, on this point.
ParlaMint-NL_2017-02-21-eerstekamer-6.u96	It would be a good thing for Mr Bruijn to confine himself to this minister, because he suggests that this minister can give guarantees that she cannot give.
ParlaMint-NL_2017-02-21-eerstekamer-6.u97	I'll involve her successors in law enforcement. I did not use the word 'guarantee', but I do expect the Minister to say 'I will ensure that this is included in the transfer file'.
ParlaMint-NL_2017-02-21-eerstekamer-6.u98	Is Mr Bruijn suggesting, by using terms such as "checks and balances" and "parliamentary control," that he wants to draw this into the political sphere? That's parliamentary control, isn't it?
ParlaMint-NL_2017-02-21-eerstekamer-6.u99	The Minister and the government are always under parliamentary control. In order to answer the question whether you think that is political or not, we have to go back to Plato, Socrates and the Politeia, but then it will be a very semantic discussion.
ParlaMint-NL_2017-02-21-eerstekamer-6.u100	Let's not do that, Mr Bruijn. I think it is best if you continue your speech. I would ask everyone to allow Mr Bruijn to continue his speech, otherwise it will be very late tonight. Go ahead, Mr Bruijn.
ParlaMint-NL_2017-02-21-eerstekamer-6.u101	I agree with the interruption. I asked how the Minister is looking at the option that had previously been raised to involve an independent consultant or advisory body in this procedure. That is not the first thought that comes to mind in my group. The Minister is under the control of the cabinet, of the Lower House and of the Upper Chamber. The judge may also give a ruling and the Council of State may then give a ruling. When it comes to criminal law, the Public Prosecutor's Office can interfere with all that policy. In principle, my group trusts democracy and the rule of law. This is a decision of a government body. That's just administrative law. There may be an appeal and an appeal. The deadlines are short and the costs are low. Perhaps the Minister could discuss the appeal procedure. Of course, an objection does not delay implementation. That could be a discussion point. If the Minister is thinking of a committee, my group wonders how the powers of that committee are regulated, what legal title that committee is going to operate, how the committee was set up at the Human Rights College, it is, of course, a little easier to answer than an ad hoc or a standing committee and by whom the committee is to be set up. The opinion is then, I presume, not binding. Should the Minister deviate from that or not be justified, if she deviates from it, so that it can also be checked by the judge? These are questions that my group has when it comes to a possible solution towards a committee. That is the wish of this Chamber, and my group would like to take part in it, although in principle we rely on confidence in the parliamentary system. If the Minister intends to set up such a committee, is the Minister prepared to undertake to examine the possibility of a maximum period of time within which such a committee should give advice? Then I come to questions asked before. In the present proposal for a law, Article 1.3 (5) is replaced by the following: "Promoting social responsibility means at least that institutions, including those representing them formally and informally, refrain from discriminatory statements and behaviour." It is a question of whether something is being added to those discriminatory expressions. That is the new sentence that is being added, and my group welcomes it, but reads it in substance as a clarification and an explanation and not as an extension of the scope of Article 1.3. After all, my group believes that discrimination cannot be reconciled with social responsibility and certainly not in an educational situation. This is already reflected in Article 1.3 (5) of the current law. It is inconceivable for my group that, if under current legislation a funded institution would engage in statements such as those mentioned above, so if, for example, Leiden University called for the stoning of women and the minister would not intervene, then the parliament would not call the minister to account under Article 1.3 WHW and Article 1 of the Constitution at least.
ParlaMint-NL_2017-02-21-eerstekamer-6.u102	I'll be brief. I share Mr Bruijn's indignation at this terrible scenario. I understand his view that he sees the prohibition of discrimination as part of training for social responsibility. But is that belief based on something more than his personal views and those of his group? In other words, does he find any support for this view in the history and practice of this law or in its explanatory statement?
ParlaMint-NL_2017-02-21-eerstekamer-6.u103	Fortunately I do not think so, I would almost say, but that does not change the fact that we have to look into that scenario now that we are here. It is inconceivable to me that in the interpretation of the law the whole debate on how to interpret a law would be the conclusion, also by this Parliament, that if an institution under the current law makes such discriminatory statements, which would not be contrary to the spirit of the current law. This is the aim of promoting awareness of social responsibility among their students by institutions.
ParlaMint-NL_2017-02-21-eerstekamer-6.u104	I hear what Mr Bruijn is saying. He says to the Minister: you might as well not have added that one sentence. That had nothing to do with the power and purpose of this law.
ParlaMint-NL_2017-02-21-eerstekamer-6.u105	I do wonder if that adds anything.
ParlaMint-NL_2017-02-21-eerstekamer-6.u106	The stoning of women seems to me to be extremely socially irresponsible. I do not think we should do that. We have learned from Mr Bruijn that it is important to read his words correctly and that the word 'one' may or may not matter. That is why my question is: is the stoning of women discriminatory? Or is it only when only women are stoned and men aren't? Isn't it just a call for violence that we shouldn't want? In other words, what do the terms he uses mean?
ParlaMint-NL_2017-02-21-eerstekamer-6.u107	That's a very good question. That is why I wonder whether the current law is not enough. The current law is about social responsibility. In the view of my group, this type of statement is undisputed. Whether you find that discrimination or not, you can discuss it further. Of course, there are other examples that have been used, again this week on Twitter, which are clearly discriminatory. What is discrimination is difficult to assess, but in practice it is what Secretary of State Wiebes said here the other day about someone at the US Court when they asked what pornography is. He said then: I recognize it when I see it. The same could be said of discrimination, but it remains difficult.
ParlaMint-NL_2017-02-21-eerstekamer-6.u108	Mr. Ganzevoort feels challenged. Then I would ask that Mr Bruijn be given the opportunity to continue his speech, otherwise it will really be pajama time.
ParlaMint-NL_2017-02-21-eerstekamer-6.u109	I understand that, Mr. Chairman. I respond to the pronunciation "I recognize it when I see it." We are in the process of drafting legal texts here. One of the things I've learned in the drafting of a legal text is that you first need to know when it's going to happen and when it isn't. If we do not know exactly, the confidence in the minister who is allowed to apply it has become a bit shaky.
ParlaMint-NL_2017-02-21-eerstekamer-6.u110	That is true, but I thought it was about the extent to which this affects a fundamental right. The bare fact that Mr Ganzevoort is now saying that it is sometimes difficult to interpret things also applies to a traffic ticket. There it is sometimes very difficult to interpret whether the law has been broken. A body must then make an assessment and take a decision, which is subject to appeal and to appeal to the courts. That applies in general. I believe that the issue here is, above all, that because it is a question of discrimination and Article 1 of the Constitution, this Chamber was therefore considering the introduction of an additional test and not the fact that it is difficult to interpret. That's the case with a lot of laws. That's why we're doing our job here.
ParlaMint-NL_2017-02-21-eerstekamer-6.u111	Please continue.
ParlaMint-NL_2017-02-21-eerstekamer-6.u112	In short, discrimination thus constitutes an infringement of Article 1.3 (5) of the current WHW. That is the preliminary position of my group. The extension of the scope of that article in the current legislative amendment is therefore limited to involving non-cost institutions. If my group sees this correctly, I ask the Minister. Then, in response to the concerns about the application of legislation and regulations on discrimination, should this debate not be much wider than just within the context of this legislative proposal? For this I refer to my previous interruption to Mrs Martens, in which I mentioned a number of other laws where this is also at issue. Because of the time I renounced the second part of my introduction, which was about an adjacent subject. I look forward to the Minister's reply.
ParlaMint-NL_2017-02-21-eerstekamer-6.u113	Thank you very much, Mr Bruijn. I give the floor to Mr Ganzevoort.
ParlaMint-NL_2017-02-21-eerstekamer-6.u114	Mr. Chairman. The promotion of social responsibility means at least that the institutions, including those representing them formally or informally, refrain from discriminatory behaviour and statements. Of course, there is more in this law, but I suspect that the rest of this bill would have been dismissed as a hammer piece, although there is still a lot of discussion about details and the question is legitimate as to how important these changes are. Today, I confine myself to the most controversial part of the law: depriving an institution whose representative has been discriminatory. That part makes this law almost self-evident as incident legislation. That alone should raise big questions in this Chamber. As far as my group is concerned, we could call it the IUR law rather than the Protection Names and Higher Education Act. The entire discussion is determined by the Minister's desire to intervene at the Islamic University Rotterdam. The Minister is sympathetic to this wish, and that is not surprising. The rector of the IUR has repeatedly discriminated and otherwise spoken in a way that does not correspond well to the standards and values that are for us under the heading of "social responsibility." My group has also offended what this rector would have said about alevites, Kurds, women, gays and so on. We can well imagine that the question arose as to how this could be stopped. That's why the idea wasn't so crazy to see if the NVAO could withdraw the accreditation. That said, it seems to me right that she does not have that competence when the quality of education is in order. That is the case. The bare fact that a rector says things that we do not reconcile with quality does not mean that it plays a role in the quality framework of the inspection or NVAO. Then the idea of using the Public Prosecutor's Office was not so crazy, but it decided not to prosecute the principal because his statements were covered by freedom of expression, freedom of religion and so on. Given the context in which some of the statements were made, it remains to be seen whether we should also count on academic freedom, which we all hold high. This does not apply to tweets, but to an argument presented as a scientific argument. The Minister then thought that she should be given the power to intervene when she hears discriminatory comments from representatives of higher education institutions. For this purpose, the general standard of awareness of social responsibility was specified as "at least refraining from discriminatory statements and behaviour." Now we are all opposed to this, at least I accept that, but it raises the question, first of all, of exactly when there are discriminatory behaviours and statements. This seems quite clear in the case of the rector of the IUR, but we do not know whether this is the case in the education of that institution itself. Could an Orthodox Protestant rector of a university, for example, be negative about other religions? Can the Theological School of the Reformed Municipalities still refuse female students if they wish to have a CROHO registration for their education? Would a progressive-liberal rector be disdainful about PVV voters? Could a PVV-supporting rector repeat statements by the party leader of the PVV on Islam? And so on. Where, I ask the Minister, exactly is the border between discriminatory and non-discriminatory behaviour and statements? To what extent can it legally tighten that limit? That alone is not enough, as has already been pointed out in the interrupting debate with Mr Bruijns. It is not just about the correct definition of the term, but also about the balance. Certain discriminatory statements lose their criminality within certain academic, religious or political contexts. It is not just a question of determining whether someone has run a red light, but also of weighing up the right not to be discriminated against against against the right to express one's own opinion or the right to have beliefs and behaviours within a religious, academic or political framework that might be punishable outside. As far as we are concerned, this balance is central to this debate. The need to strike a balance also plays a major role in the Council of State. The Council draws attention to the crucial starting point in our constitutional education system that the provision of education is free and that the government must also exercise restraint in the adoption of legal measures that can be taken. I quote: 'The essence of this is that public intervention is justified only if it is necessary to ensure the soundness of education. If an extension of the possibility of sanctions is envisaged without prejudice to the quality of education, a constitutional limit shall be exceeded." It is not only up to us in today's debate to determine when we believe that the quality of education is at stake, but ultimately how is the law to regulate whether the quality of education is at stake? The Minister tries to get rid of this by stating that education may still be given, but without recognition of the degree. However, this seems to be a sophistication because the Council of State is right to take a more fundamental approach by saying that such far-reaching sanctions do indeed affect constitutional limits without the quality being at stake. The system of responsibility of the Minister does not make that any different. So the Minister still has a problem. She's in the middle of an incident where she wants to intervene. The D.A. doesn't see it as serious enough to intervene in criminal proceedings, the NVAO sees no threat to quality and the Council of State believes that the Minister is crossing a constitutional limit if she goes on her own initiative. That seems to be the situation in which we are debating today. The written rounds and the debate so far show that some people may be inclined to help the minister because of the specific reason, while others are much more reluctant because they are ultimately mere incidents, however undesirable they may be. We could count majorities, but because of the fundamental nature of the discussion, my group believes that this is premature and not in line with the task of this Chamber. At the very least, we should first look at whether there are solutions that are less abrasive with the constitutional freedom of education, for example by having an independent body test the disputed statements or behaviours first. It is true that there is still the possibility of a firm sanction, but it is no longer based solely on the Minister's opinion. Such an independent ex ante review would be a necessary condition for my group to extend ministerial competence on this issue. Not because we distrust this minister, but because in a few weeks' time she will be expelled and we do not know who will succeed her. The proportionality of this proposal stands or falls with a proper weighting of fundamental rights and should not be left to political discretion. In this context, I would remind you of a motion in the Lower House asking the government to implement the law, as soon as it enters into force, and to withdraw the accreditation of the IUR. A majority of the House of Representatives supported this motion, even though the law would immediately have retroactive effect, as the minister rightly said, because the IUR should be punished for statements made before the law was in force. Not only that, it seems that the Members of Parliament who supported this motion had all already made the legally sustainable balance between the reprehensible nature of the statements on the one hand and all fundamental freedoms on the other. In doing so, the Court gave its opinion on a specific case and became legislator, prosecutor and judge at the same time. In substance, I can imagine all these motives, but it is understate law. It should not be forgotten that a Member of Parliament who makes such motions could become the next minister, and that, with the help of the present legislative proposal, he should be allowed to judge in his own right and to deprive institutions of his rights if he is displeased. Suppose, for example, we get a GroenLinks minister, you shouldn't think about it, some people say that they have to judge a university with a rector who is, for example, a PVV supporter, where the minister in question thinks that this is quite undesirable. Do we want to go that way? The more severe the sanction and the closer it is to fundamental rights, the more important it is that checks-and-balances are reflected in a prior review. For the ex ante review, consideration has been given to the College of Human Rights. This is, in any case, a body with experience in balancing discrimination and fundamental rights. Of course, that raises questions about extending the jurisdiction of the College, so we need to look at that. If the Minister has another permanent college, so can we, if that fits better. The question on the table is what guarantees the Minister still intends to build in to ensure that the fundamental right balance is made correct and independent. What are the possibilities for scrutiny by the College of Human Rights, or what other college could be eligible for such review? Once again, these safeguards will be essential for our consideration. Without an independent test in advance, we cannot give the Minister such a far-reaching power. Those guarantees also mean that we can only accept a commitment from the Minister, which is in line with what has just been said, if she can guarantee that the commitment will be met. We very much wonder whether the Minister can provide that assurance and whether her successor can still ignore that commitment. It would also have to guarantee, in black and white, that the aforementioned Lower House motion is not carried out simply because it would have retroactive effect. I would very much like to hear the Minister's views on this. So the question is, very basically, whether the Minister is prepared to come up with a novella to adapt this law to the high constitutional requirements that this Chamber should impose on a sanctioning power that is so squandering with constitutional freedoms. We look forward to the Minister's answer.
ParlaMint-NL_2017-02-21-eerstekamer-6.u115	Mr. Chairman. The short title of the present bill, the Law names and degrees, is as correct as it is misleading, as has already been mentioned. Indeed, the vast majority of the content relates to the legal protection of the names of universities and colleges of higher education and to the degrees awarded by them. My group has taken note of this with interest and appreciation. Our few minor concerns on this point have now been addressed satisfactorily by the Minister in the written exchange of views. Here I would just ask the Minister for one more thing: continuing attention to the side effects of this new regulation on the positioning of our colleges in an international environment in which, unlike the universities, naming is not unambiguous and can unintentionally create confusion. This should not be to the detriment of the international expansion of colleges. Would the Minister undertake to look again in a year or three to see if there have been any problems here? Much more time than in names and degrees, I and many other members of this Chamber have put into a subject that was hidden in a legislative amendment that in turn was hidden under the names and degrees, and that not only of funded, but also of unpaid institutions will be required to actively promote the sense of social responsibility of their students on the basis of this legislative amendment. Who could object to this? The venom, however, is in the tail. Suddenly it is added that this means at least that "institutions, including those representing them formally or informally, refrain from discriminatory behaviour and statements'. This one sentence, this one passage, these words may well be at the heart of this plenary debate. That is not because any serious political party would fundamentally disagree with that. But that is because immediately the question arises as to what this means in relation to that other fundamental right, freedom of education, and what the role of the minister of OCW should be in the monitoring of Article 1 of the Constitution, in addition to that of her colleagues in the Interior and Justice and, more fundamentally, in addition to that of the judiciary. In short, the Minister justifies her own role as a result of her responsibility for the system of higher education and for social confidence in that system; a role which, in her opinion, goes beyond the exclusive monitoring of the quality of training and the robustness of the education given. The Council of State disagreed. Education of a discriminatory nature must, of course, be able to be tackled, but this can already be done on sound grounds, the Council wrote. In addition, the Minister, like any citizen, is free to report it to the Public Prosecutor's Office in the event that she considers an educational institution to detect unjustified discrimination. The Minister wants to be able to go beyond that. This is already clear from the phrase just quoted, which speaks of discriminatory behaviour and statements by the institutions themselves. The formal and informal representatives mentioned in the same sentence could still be brought before the criminal court, but the institution as a whole would remain out of hand, as would be the case if one or more of its training courses were to be deaccredited. This is at the heart of this discussion. Is there any real significance to the notion of a discriminatory educational institution? And how should it be dealt with? I invite the Minister, in her reply, to describe as precisely as possible what discrimination should be seen within an educational institution in order to justify an intervention on her part in the role of system responsible. It is not, or certainly not alone, a question of discriminatory statements by individual teachers, she herself says with some emphasis, because then freedom of education could be at stake; that other fundamental right. It seems to be discriminatory statements by the formal or informal representatives of the institutions. Who are we supposed to think of in the latter category? I invite the Minister to acknowledge that she is actually concerned with much more than that.
ParlaMint-NL_2017-02-21-eerstekamer-6.u116	Does Mr Rinnooy consider that it is possible at all to give a exhaustive list of situations or actions which should be considered discriminatory? That's what he asked me. That's what I heard.
ParlaMint-NL_2017-02-21-eerstekamer-6.u117	Will you give me two more sentences? Then I immediately answered this question, which is well-founded. As I have said, I invite the Minister to acknowledge that she is actually concerned with much more than that. This legislative proposal seems to take into account the possibility, as Mrs Martens suggested, that an educational institution in the sphere, method, style, tone and culture systematically infects students with discriminatory ideas that cannot be tolerated by Article 1 of the Constitution and which cannot be justified by the freedom of education, freedom of expression or religion. Such an educational institution and its precise definition, I put it as a challenge to the Minister, because it is inherently problematic. Such an educational institution would not belong in our system. Of course, my group agrees with that. Unfortunately, therefore, such a situation is not unimaginable and deserves political attention in my group's view, although honesty requires that it should be said that at present there seems to be a single example of it. But discriminatory indoctrination of young people is an unnegligible broader threat. My group is in principle prepared to support the Minister in her ambitions. However, a firm basis for such a serious accusation will not be an easy task. And the consequences of a ministerial intention to intervene are not minor. Even the prior warning could seriously damage the public image of the educational establishment, even though the administrative court would, by means of a provisional provision, suppress that intention. This places great demands on the diligence of the preparatory decision-making process. I'll get back to you in a minute.
ParlaMint-NL_2017-02-21-eerstekamer-6.u118	I do not know whether I am right or whether Mr Rinnooy Kan is right, but I do not think that a provisional provision can be made after a warning, but only after a decision. The decision has therefore been taken.
ParlaMint-NL_2017-02-21-eerstekamer-6.u119	Sure, but the execution will be suspended. I think that's quite right. The more the underlying constitutional complexity of the one disputed sentence in this legislative proposal becomes clear, the more my group regrets that this fundamental case has come to us through the strange back door of the names and degrees, through the also some artificial route of the sense of social responsibility. If we were concerned about the negative impact on our youth of a discriminatory educational institution, and that is what my group is doing, of course, not restricting those concerns to higher education institutions alone. The idea that primary or secondary education would be contaminated with it is at least as worrying. The Minister considers that the necessary educational task of citizenship formation and its neglect in the event of discrimination will give it room for intervention in other, often funded, educational institutions. But does it propose a similar step-by-step plan? Then, of course, the fundamental question of due care arises at that time elsewhere in education. And what about the situation that would arise after the withdrawal of recognition? According to the Minister, freedom of education implies the possibility for the educational institution to remain non-approved. But then young people can still be exposed to a poisonous thought, with all the consequences for their later social functioning. Doesn't the constitutional balance suddenly play anymore? Wouldn't the government suddenly consider an intervention option more desirable? And how would it happen? The proposed ministerial intervention option requires a complex balancing of fundamental rights. The Minister acknowledges this and I do not doubt her good intentions in this matter. My group is sensitive to its desire not to have to wait years for the criminal court to make an irrevocable decision towards potentially discriminatory institutional representatives or until the accreditation of one or more training courses has been reconsidered. My group has every confidence in the administrative process that may then follow. But with this law, in our view, a new chapter opens up in securing the first article of our Constitution. This includes a more careful anchoring at the beginning of the intervention process than the Minister, who is really going over the edge of the competences of her own department now offers in the form of an ad hoc advisory committee of experts. It is precisely the complexity of the consideration to be made here that justifies the involvement of an eminently established and equipped college, such as the Human Rights College, whose authoritative advice at the beginning of the journey would be difficult to ignore. Apparently, this is also a common construction under other legislation. This would imply an extension of that college's role in the direction of public enforcement, to be laid down in more detail in legislation. Well, that's how she is. Indeed, this expansion reflects the inevitable need for an active, democratically-wide fight against this new threat of public discrimination, with great commitment, but also with great care, to be conducted within education and possibly in other public domains as well.
ParlaMint-NL_2017-02-21-eerstekamer-6.u120	I have a question for Mr Rinnooy Kan. Suppose the Human Rights College is set up in such a way that it can give such a judgment, what would be the consequence of that? If the Human Rights College comes to a judgment, it will have no legal force whatsoever. This probably means that the Minister still has the power. That's one. Secondly, a school will undoubtedly object and appeal. Then we'll still be with the same judge.
ParlaMint-NL_2017-02-21-eerstekamer-6.u121	This advisory body would play the same role as is apparently played in other places, namely anchoring at the beginning of the intervention process which is thoughtful, distant, sound, authoritative and independent. I think that making this public, with perhaps the Minister's obligation to be able to depart from the opinion on a reasoned basis alone, would add a great deal of care where it stands, namely at the beginning of this intervention route. Of course there can still be a course of justice, because in the end any state intervention must be able to be judged by the judge in the democratic rule of law that we want to be. However, if rapid intervention is needed, it can take place. The Minister has a considerably greater influence on the activities of the advisory body than on the activities of the criminal court, as has been advocated elsewhere and earlier. If, despite this care, the Minister makes a proposal which is directly weighted and found to be too light by the administrative judge, it is still possible, by means of a provisional provision, to eliminate the harmful consequences.
ParlaMint-NL_2017-02-21-eerstekamer-6.u122	I have heard earlier in Mr Rinnooy Kan's speech that he realises that it will have a suspensive effect if there are objections and appeals.
ParlaMint-NL_2017-02-21-eerstekamer-6.u123	Not automatically.
ParlaMint-NL_2017-02-21-eerstekamer-6.u124	Excuse me, I didn't hear that remark, but let me finish my remark first. That suspensive effect means that you are in fact as far as when you go directly to the judge. Suppose the minister walks through a careful roadmap and goes to court. Then she is just as far away as when she asks for an extra opinion from the College of Human Rights, but that college has confirmed once again that her roadmap has gone through so well.
ParlaMint-NL_2017-02-21-eerstekamer-6.u125	I understand that this suspensive effect is not automatic, but can only take place if the administrative judge expressly authorises it, by making an interim provision. If there is a good basis for the ministerial intention to intervene, this means that it can be continued. That is exactly what my group would like to see done.
ParlaMint-NL_2017-02-21-eerstekamer-6.u126	So you have an administrative test and no criminal test. You'll put it in the Human Rights College. If I understand correctly, there are a lot of hooks and eyes there that need to be solved first. Several ministries see major problems, as well as the college itself. Looking for Mr. Rinnooy Can't an extremely difficult road? The road through the criminal justice system is just as fast. This also requires a new law. So I hear Mr Rinnooy can implicitly argue for a novelle, like GroenLinks, if I am right.
ParlaMint-NL_2017-02-21-eerstekamer-6.u127	I would like to leave it to the Minister to assess which legal route should be followed. When it comes to the actual effect of this route, I am confident that the College of Human Rights will be able to do it at a reasonable pace, yet carefully. In this sense, I have more confidence in the pace that can be achieved along this path than at the rate that can be achieved if we have to rely on the way in which the criminal court deals with these issues.
ParlaMint-NL_2017-02-21-eerstekamer-6.u128	Is Mr Rinnooy, however, able to agree with me that the College of Human Rights is not legally capable of doing so at the moment?
ParlaMint-NL_2017-02-21-eerstekamer-6.u129	Sure, I agree with you. In my text, I also say that the College should be allowed to do so by law.
ParlaMint-NL_2017-02-21-eerstekamer-6.u130	I have two questions. First of all, I would like to express my appreciation. I share Mr Rinnooy's call for a change in the minister's competence, so that it is more secure how fundamental rights are weighed. Personally, I'm still thinking about the criminal justice officer. When should the college advise? Is that before the warning goes out or before the decision is made? I've already expressed my appreciation for finding a solution. That brings me to my second question. Is it not wiser to ask the Minister to strengthen her homework on this point and to come back with options for wise advice or judicial review prior to the decision? Why does Mr Rinnooy Kan himself come up with a solution and doesn't he let the Minister and all of her officials get on with it?
ParlaMint-NL_2017-02-21-eerstekamer-6.u131	One doesn't rule out the other. I'm very curious what the Minister will say. I would like to leave to her the judgment which will be a sensible follow-up. On the first point, I think it would be desirable for the opinion of the College of Human Rights to be drawn up prior to the warning, so that it can come out at the same time. Then it becomes clear what the impact of the opinion has been on the ministerial intention.
ParlaMint-NL_2017-02-21-eerstekamer-6.u132	The first point is quite clear to me. On the second point, I am very interested in the Minister's reply. In the second period, we will continue to discuss this in greater detail.
ParlaMint-NL_2017-02-21-eerstekamer-6.u133	If the route through the Human Rights College is not feasible for technical reasons, could another option, such as a heavy committee, ad hoc or permanent, be an acceptable solution for Mr Rinnooy? If not, why not? This is independent of the composition and all the questions I have already asked about it in my contribution.
ParlaMint-NL_2017-02-21-eerstekamer-6.u134	I understand the question, but I would rather not take an advance on it. First of all, I would like to give the Minister a better idea of the feasibility of the most attractive option as far as I am concerned. In any case, the Human Rights College specialises in this matter. There is expertise and willingness to invest in international perspectives. This is precisely the heavy environment that I think is desirable in order to take account of the fundamental nature of the consideration to be made. Of course it is not unthinkable that it can be done in another way, but this route still has my strong preference.
ParlaMint-NL_2017-02-21-eerstekamer-6.u135	Mr Rinnooy Kan said in his reply to my interruption that he did not think this was the most attractive option. May I conclude from this that in his view there are several attractive options?
ParlaMint-NL_2017-02-21-eerstekamer-6.u136	I don't know anyone else right now. So I'm gonna limit myself to this. I'll wait with interest. Mr President, I shall conclude, if I am allowed to do so. I note that there appears to be a very fundamental balance behind the names and degrees. The phenomenon of the discriminatory educational institution is an unwelcome development that nobody was or is waiting for. The Minister makes it very simple, I think, quite frankly, it is almost too easy for an institution to evade its intervention, namely simply by disassociating itself from the alleged discriminatory statements made by one of its representatives. But if that does not happen, if the institution is provocative and obstructive, then there may be something real at stake that we should not shy away from. It's no different. I understand the caution I sense in the Minister's attitude, subject to my previous questions: we are entering a new and delicate area here. But this is an area that cannot remain undisputed. Let us hope that the discriminatory educational institution remains a high exception, but let us at the same time stress, through the care of a well-thought-out and well-prepared approach, the importance which this Chamber attaches to the rigorous enforcement of our fundamental rights.
ParlaMint-NL_2017-02-21-eerstekamer-6.u137	These last words, but also the earlier ones, are taken from my heart. These are very important questions. It's about care. Mr Rinnooy Kan also attaches importance to an independent review. Shouldn't we take a little more time to come up with a solution?
ParlaMint-NL_2017-02-21-eerstekamer-6.u138	That really depends on the perspective that the Minister thinks he can offer us. We also attach great importance to security and stability in the future. However, we also see the need for speed. That's what makes this case so complicated. That haunts us from the start of this discussion. On the one hand there is care, on the other hand there is time pressure. I would like to give the Minister the opportunity to make a proposal for finding the combination first.
ParlaMint-NL_2017-02-21-eerstekamer-6.u139	We are indeed waiting for that proposal. It's about one institution. That's what we're really worried about. Does this justify urgent treatment, or should we, in such a state-of-the-art consideration, take due account of due diligence?
ParlaMint-NL_2017-02-21-eerstekamer-6.u140	I'm hoping an emergency treatment could be careful. At least I'm not giving up on that hope yet.
ParlaMint-NL_2017-02-21-eerstekamer-6.u141	If Mr Rinnooy Kan wants a guarantee that the Human Rights College or an ad hoc committee would, as far as we are concerned, be even better than the College or a Standing Committee on Human Rights, it will also require a legislative amendment. So it's gonna take time anyway. Even if it were limited to a commitment, it would also require a legislative amendment for the college. Then you might as well take the time for a novelle and at the same time shape any developments? I note that Mr Rinnooy Kan is now in a different position than in the round of questions. At the time, he had fundamental doubts about the Minister's view of the task, because what role does it have? On good grounds, these things are reserved for the court. As more legal expertise is needed, a criminal route is more logical, so the D66 group asked in the round of questions. Mr Rinnooy can now depart from that. I am interested to know what prompted him to want to pursue this point of principle now and not even to find a novelle necessary by definition.
ParlaMint-NL_2017-02-21-eerstekamer-6.u142	That's just the question. The answer to the question simply seems to me to be this: in our written interaction with ministers and directors, we are all open to arguments and explanations. I asked for it and I got it. This has led me, more than when I asked my questions, to understand the Minister's desire to be able to initiate it. In this sense, there has been a development in thinking. I admit that immediately, and I'm not ashamed of that.
