ParlaMint-NL_2017-06-21-tweedekamer-6.u1	President. - I call the Group of the European People's Party (Christian-Democratic Group).
ParlaMint-NL_2017-06-21-tweedekamer-6.u59	Perhaps it would be a good thing if I went back to what the Prime Minister said. The Prime Minister made it quite clear to me that I do not understand that he does not necessarily want to talk about a soft or a hard Brexit. Shortly afterwards, he said a sentence that remained with me, namely: we hope, as the Netherlands, of course, that there can be a customs union with a trade agreement, but also with freedoms... If he thinks that this should be possible with England, does he not think that it is very attractive for other countries to bring in that customs union and trade agreement? He suggested something like "then something must happen to those freedoms." I think that is a very dangerous approach, because that is almost a decoy for potential exiters.
ParlaMint-NL_2017-06-21-tweedekamer-6.u60	If I had said it like that when Mr Van Rooijen says it now, then he is absolutely right, because everyone will be thrilled at the front door. No, I didn't say that. I said that if England wants to remain involved in the customs union and the internal market, then the acceptance of the authority of the Court of Justice in Luxembourg and the four freedoms in that regard should be heard. You can't do cherrypicking. My hope is, of course, that in the coming months this awareness will be further understood there, also because of the enormous economic impact and political uncertainty now in the United Kingdom. A delay in the whole Brexit process, even if only temporarily, to keep access to the internal market with all the consequences of that, as Mr Van Rooijen has just outlined, because these will apply in full to the United Kingdom, of course, would be very much in Dutch interest. That would be very much in the Dutch interest. But that's all coffee-dipping, because for the time being the negotiator David Davis also says: we are leaving the customs union, we do not want Luxembourg anymore and we are leaving the internal market. He keeps repeating those texts, but the Minister of Finance chose a different angle last night.
ParlaMint-NL_2017-06-21-tweedekamer-6.u61	I welcome this clarification. Perhaps Mr Baudet will be able to review the debate in the United Kingdom last night.
ParlaMint-NL_2017-06-21-tweedekamer-6.u62	This will be very useful for his political development. Then I come to the issue of refugee reception. First of all, I can say that there is no deal with Libya and that there is no money going to Libyan authorities either. The Minister for Foreign Affairs recently made this clear in the general consultation on the RAZ. We work in Libya with official agencies such as the Libyan Coast Guard and the Directorate for Combat of Illegal Migration. We also work with civil society organisations, with IOM and UNHCR, but there is no money going to the Libyan authorities. The 90 million package, to which Mr Verhoeven and Mrs Leijten referred, aims to improve the conditions of migrants, refugees and host communities. At the same time, efforts are also being made to provide a way out of these centres by promoting voluntary return to the countries of origin. You can also see that this is starting to work. Last year it was more than 2,500 people and this year already almost 4,500. It's getting a little better. Then a question was asked about incidents involving the Libyan Air Force and NGOs. Written questions have been asked about this. These questions will soon be removed in writing; they will be answered by my foreign minister and the Secretary of State for Security and Justice. I will not go into that now. It's not on the agenda tomorrow either. In addition, questions have been asked about the common asylum policy, i.e. matters within the European Union. The question is how we deal with things. To be honest, it is difficult at the moment to assess the extent to which we can reach agreements this year. Although the Maltese Presidency has been very hard on it, it has not been able to reach an agreement with each other. Of course, we want an early conclusion to the revision of the CEAS and are therefore working constructively on various proposals that are currently being discussed in Brussels. The Council must reach agreement on a very large number of proposals. We prefer to do that with its 28s, but that is not an easy task. Once again, Secretary of State Dijkhoff regularly consults with the Chamber on this matter. The package approach means that nothing has been decided until everything has been decided. For an agreement to be reached on a piece of legislation, it is important to know what the final content of the other proposals is. That is why we consider this package approach to be so important, also because everything is working on everything. When you talk about distributing refugees across Europe, of course, that has everything to do with other aspects of the GEAS. In my view, Germany and the Commission do not want to let this go, but the Commission and Member States want to take steps and see where agreement could be reached. The Netherlands is happy to take part in this approach to see where possibilities for agreement are. This is, of course, taking into account the idea that we will continue to look at this as a single package. Yes, of course, there are many countries working on migration partnerships. Mr Van Ojik asked for this and of course he knows a lot more about it than I do. You then make agreements that serve the interests of both parties: tackling human trafficking, promoting return, improving reception, but also focusing on root causes and the needs of African partners. The European Union can develop a certain leverage because we have the EU trust fund, we have trade and we have the visa policy. Here, too, there are opportunities that we can make better and wider use of, for example, to promote return cooperation. As Mr Van Ojik made a plea to Clingendael last Thursday, it is also important to consider whether we can make agreements with other countries similar to those with Turkey. These agreements in Africa, for example, will never be the same, but they will have to meet the same requirements in the framework conditions, namely within all national conventions and in close cooperation with international organisations. There are also some successes. In Niger, intensive efforts have been made to address transition and trafficking in human beings. We can see that we are getting a little deeper in Africa with a number of countries, but, for example, with Algeria, much more progress has been made in recent months. There is currently no concrete request from the Commission, I say to the PVV, for additional funding from the Member States. But it is an illusion, I say immediately, to think that the Netherlands can only solve these big problems. We will always have to do this in cooperation with the countries of Africa. And yes, that includes money. If we do not want to do so, we must withdraw to the island of the Netherlands. The thing is, though, we're not an island. This means that we are taking great risks with stability in this society. We need to break this business model of the human smugglers. There have been 1,400 deaths this year in the Mediterranean. That number is threatening to rise dramatically for the rest of the year, and we must avoid that. We must ensure that there is decent reception in the countries of Africa itself. I just mentioned the visa instrument. This can be used if third countries do not contribute structurally to the return of their own nationals. In the extreme case you can insert this instrument into the mix to apply pressure. That is the point of migration, Mr President.
ParlaMint-NL_2017-06-21-tweedekamer-6.u63	I am, of course, pleased that the Prime Minister is following my performances so intensively, even outside this Chamber. There was indeed a seminar at Clingendael. That's exactly what these migration deals were about. I have said that it is very important to distinguish between economic and political refugees. 90% of the people crossing the Mediterranean come from...
ParlaMint-NL_2017-06-21-tweedekamer-6.u64	You're not going to repeat what you told me in Clingendael.
ParlaMint-NL_2017-06-21-tweedekamer-6.u65	I want to avoid a misunderstanding about what I said there. It is important to distinguish between economic and political refugees, and it is important to distinguish between returning the asylum seeker to their country of origin and returning, for example, political refugees to a third country. I think it is important that the Prime Minister agrees with the importance of this distinction. Otherwise, we may think we're in agreement, but we're not.
ParlaMint-NL_2017-06-21-tweedekamer-6.u66	That's definitely important. For each type of problem you need a specific approach. Turkey-like agreements are needed to provide reception for political refugees, in this case Syrian refugees. They can be met against decent standards in Turkey. That's close to Syria, in the communities in southern Turkey. We put a lot of money into that, I'll just say to the PVV. These things aren't free. You will need to channel your development aid more in that direction, to take away the root causes and contribute to developing this kind of reception capacity. In itself, it's true. You will have to develop different approaches to the different issues. That's right. However, I saw a degree of convergence between Mr Van Ojik's thinking and my thinking on this point. I liked it.
ParlaMint-NL_2017-06-21-tweedekamer-6.u67	I would, of course, like to give that to the Prime Minister. The question is, in the end, whether this also means, in the Prime Minister's view, that we are sending political refugees, Syrians, who are currently the largest group of political refugees among the group of people crossing the Mediterranean, back to countries where they have never been. Is he going to argue this in Brussels? We're not doing it with Libya. Are we going to send them back to Tunisia or Niger, for example? I would like to know what the Prime Minister's commitment is in Brussels.
ParlaMint-NL_2017-06-21-tweedekamer-6.u68	You can't cut it like that. I believe that there are limits to what Europe can accept and that political refugees should not necessarily be received in Europe, provided that reception takes place elsewhere at decent standards, within all international conventions. Inside you have a number of complicated considerations to make. Mr Van Ojik mentioned a few. However, these will be unique for the type of appointment you make. These agreements will never be a literal copy of the agreements between the European Union and Turkey, although some of the conditions will be the same, namely that it takes place within the international legal order, within all international conventions, and that you try to do so in close cooperation with the relevant international organisations. However, it is almost impossible to say exactly what it looks like in advance. I would just like to mention one other aspect. D66 has always objected to the fact that the agreements with Turkey were linked to political agreements on speeding up visa liberalisation and re-energising the accession negotiations. I understand that, too. I also agreed with D66 on this in itself, but it was necessary to make that type of agreement in order to reach larger agreements. Preferably, you do not tie an agreement with Turkey to that type of political agreement; of course, D66 is quite right about that. In other countries this will be different. There are no accession negotiations with Algeria or Tunisia, but there may be other issues involved. The cleaner you can make such an appointment, really focused on the item, the less you can involve other political things. You must also ensure that you always act within all international rules and within the national legal order and in cooperation with relevant organisations. That's what matters to me. Maybe one more thing. My visit to Macron on Friday was also about this. Not Mr Macron personally, but I blamed France a little bit for providing more lip service in this area in recent years than it actively participated, but Macron is really going to do that differently. He wants to be much more involved. He's really on top of it. He also realizes that France has a huge influence in the francophone part of Africa and that it can really help to get things done there.
ParlaMint-NL_2017-06-21-tweedekamer-6.u69	Finally, Mr Van Ojik.
ParlaMint-NL_2017-06-21-tweedekamer-6.u70	We obviously agree on the importance of distinguishing between the different categories. The question that lingers in my head is the next one. Will the Netherlands in Brussels, through the Prime Minister, or will it not advocate, for example, that a country such as Tunisia, I have just mentioned a number of other countries, Syria's political refugees knocking on the door in Europe, take over from us? Is that the Dutch position?
ParlaMint-NL_2017-06-21-tweedekamer-6.u71	No. That is not necessary, because they are going to Turkey. However, if it is a question of political refugees from Africa, it is possible for me to do so, provided that all international agreements are complied with. That is not necessary for the Syrians, because there is currently an agreement between Europe and Turkey. However, if it is political refugees from Africa, for example, people from Eritrea who come to Europe, and if you are able to agree with transit countries or with countries on the coast of Africa on reception, and if we can also organise that reception there, then it is conceivable that we will invest heavily in reception capacity, including education and hospitals, then I think it is absolutely justifiable that you do so. This is not a literal copy of the agreements with Turkey. I understand from him that Mr Van Ojik would also be very much in favour of this.
ParlaMint-NL_2017-06-21-tweedekamer-6.u72	Finally, Mr Van Ojik.
ParlaMint-NL_2017-06-21-tweedekamer-6.u73	Thank you, Mr. Chairman, for your patience. The point is that, among other things, because of the Turkey deal, the largest group of political refugees currently travelling across the Mediterranean are Syrians. They're not Nigerians or anything. We all agree on this: they must return to the country of origin, however annoying it may be for them. They're Syrians.
ParlaMint-NL_2017-06-21-tweedekamer-6.u74	Okay. What Mr Van Ojik means, then, is that the flow of refugees can move and eventually pass through Africa. Then things will be different, but so far, the vast majority of people who have managed to reach Europe risk crossing the Aegean Sea. Of course, there's always a waterbed effect, as it's so awfully called. If you're trying to get it under control there, currents can move. Mr Van Ojik is right about that, but at the moment it is not the aim to specifically receive Syrian refugees in Africa. However, I do not rule that out either if Mr Van Ojik is referring to this in the context of a shift in the flow of refugees. I believe that you should also stand for political agreements, within all international legal standards and rules, on the reception of political refugees in countries outside Europe. For me, that is at the heart of the agreements we have made with Turkey.
ParlaMint-NL_2017-06-21-tweedekamer-6.u75	I would just like to respond to the Prime Minister's remark that not everything is free and that the PVV must also be aware of this. I am very aware of this, just as care for our older people is not free either. The PVV chooses to spend that money in its own country rather than send it to Africa. That's what my question is about. Because of all these partnerships that have now been concluded, with Niger, Nigeria, Ethiopia and even more countries, the Prime Minister himself has just said that they are intended to stop migration, to combat smuggling and to allow for return. Now that migration is still taking place and it is increasing again, and people are not returning. So to what extent does the Prime Minister share the conclusion that this approach simply fails?
ParlaMint-NL_2017-06-21-tweedekamer-6.u76	I'm very much in favour of populism, which should be good. But this is the false populist combination of "how do you control migratory flows?" with care for the elderly in the Netherlands. The aim is very simple, namely that older people following this debate say: we are going to vote PVV next time, because we are also in favour of more money going to the elderly than to the shelter in Africa. If you want to do so politically, tell the whole story and explain that if you don't spend this money on it, there is a good chance that this stream of refugees across the Mediterranean, which was 31% higher this year than last year, will not be brought under control and that if you can't control it, the elderly in the Netherlands will eventually be faced with crisis-like situations again as we saw them in 2015. I believe that one of the most important tasks we as politicians have is to show that we are in control, that we are protecting this country, that we are contributing to a decent reception of refugees worldwide, including in the Netherlands, but not necessarily only in the Netherlands. Explain that to the elderly. I'm willing to do that. And explain that at the same time, of course and quite rightly, we are still investing in the care of the elderly. Then you have an intelligent discussion. Mrs. Maeijer is right. This isn't gonna work overnight. The agreements with Turkey have quickly become a success. The PVV was against these agreements with Turkey. In the meantime, the flow of refugees across the Aegean has fallen by more than 95%. If Mrs Maeijer had been in charge, or her party, that agreement would not have come. So we would have maintained the situation as in 2015. Then the PVV would have closed the border. The leader of the PVV himself said in an interview with the Algemeen Dagblad: closing the border cannot be done at all, that is simply a technical, social and economic disaster. So there are sensible texts coming out of the PVV on that point. In other words, the PVV would have stood here without an alternative, then it would have had no alternative. So you just have to do this sort of thing, make agreements, invest, take out root causes, see how you can take care of refugees in the region, and also if the Netherlands continue to receive refugees, but in numbers that are socially manageable here. I think that is a sensible policy.
ParlaMint-NL_2017-06-21-tweedekamer-6.u77	The PVV always comes from sensible texts, so I am glad that the Prime Minister sees that as well. We can now see that this power is moving, because some 70,000 people are coming to Italy via the Mediterranean Sea alone this year. So what the European Union is doing, and what Mr Rutte is supporting, is not working. Next year we will be standing here again, he may have made another deal and the power is moving. It just doesn't work. We pump money into something that doesn't work, while the alternative is to close our borders and at least keep those people from entering our country.
ParlaMint-NL_2017-06-21-tweedekamer-6.u78	This isn't true. The Syrian refugee stream involved hundreds of thousands of people in 2015, which even increased in Germany to almost a million refugees who tried to come to Germany between September 2015 and the first months of 2016. That was completely out of control. We are talking about an increase in the flow from Africa, but in absolute numbers that are much lower than the numbers from Syria. You talk about tens of thousands, not hundreds of thousands. Secondly, Syria's flow of refugees has also, in most cases, had an opportunity and vision of asylum here. This does not apply to the African flow, because the vast majority of people who try to reach Europe from Africa have no chance of asylum, but are economically migrant and in many cases end up in the informal economy in Italy or in France. That is still very undesirable. People are dying and this leads to circumstances where you don't want to live. That is why I say: remove root causes, make agreements with countries, get this under control step by step. And yes, driving doesn't always go at once. It's not like you get lucky when you do something, but if you don't do something, we run the big risk of getting out of control again. I think that's the worst thing that can happen as politics to its own people. That feeling was felt by the Netherlands in October/November 2015.
ParlaMint-NL_2017-06-21-tweedekamer-6.u79	You spoke of agreements between Europe and a number of African countries. I have a specific question about Italy. Is it true that Italy has entered into or is about to enter into agreements with one of the three Libyan regimes, namely the regime supported by the UN in particular? How does the Prime Minister feel about a country doing this separately from the EU? Not that I am against it, but my question is whether this is true and whether there will be more such initiatives.
ParlaMint-NL_2017-06-21-tweedekamer-6.u80	Mr Van Ojik knows more about this, but it would be silly to ask him for help on this point. I do not know exactly the latest state of play in the Italian-Libyan negotiations. What I do know is that at the summit in Malta in February the Italian Prime Minister reported on his progress with Libya to get with one of the governments in Libya I do not know exactly which government, because there are quite a lot of governments in Libya to make agreements; I can figure out for the second term whether that is exactly what Mr Van Rooijen is suggesting here. Europe has taken note of this. For example, Germany but also we strongly urge that its follow-up takes place, of course, within all international conventions and the international legal order. These are bilateral agreements between Italy and Libya.
ParlaMint-NL_2017-06-21-tweedekamer-6.u81	There is now unlimited interference, which was not meant to happen. So I really want to limit the number of interruptions right now. Now for the final interruptions, I suggest that the Prime Minister finish his story. Everyone has a second term.
ParlaMint-NL_2017-06-21-tweedekamer-6.u82	Another very brief interruption. Do I understand from the Prime Minister that he might agree with this kind of bilateral agreement, that Greece is going to do something in itself, provided they are fit?
ParlaMint-NL_2017-06-21-tweedekamer-6.u83	No, in general, I can't say yes to that. The European Council in Malta said that we are happy in itself that Italy is committed to Libya so actively, but that it must be done within all international agreements. Italy also confirms that it wants to do so.
ParlaMint-NL_2017-06-21-tweedekamer-6.u84	The Prime Minister just said that there are only tens of thousands of people on the route to Italy. A recent report by a British diplomat and the German intelligence services refers to up to 6 million migrants waiting, including 1 million in Libya, 1 million in Egypt and nearly 1 million in Jordan. That makes quite a difference. If there are some tens of thousands, you will not notice that here in terms of reception capacity if you spread it over 26 countries, but when it comes to millions it is something else. What is the Prime Minister's assessment: how many migrants are we going to talk about here? Otherwise, we will have a crisis bigger than the one we had two years ago between Greece and Turkey.
ParlaMint-NL_2017-06-21-tweedekamer-6.u85	That report is available to all MPs?
ParlaMint-NL_2017-06-21-tweedekamer-6.u86	Yes, I'm afraid you'll have to read Die Welt in German.
ParlaMint-NL_2017-06-21-tweedekamer-6.u87	I refer to the figures as we know them. The influx is 31% higher until the end of May this year than in the same period in 2016. We'll talk about something less than 60,000 people. I compared that to the stream of Syrian refugees. It finally ran into the million. So it's totally incomparable. What Mr Omtzigt is referring to is another point: how many people would like to cross? If you look at Syria, for example, we know that there are 22 million people living in Syria and that there are 7 million refugees within Syria and 4 million are now outside Syria. If you look through those glasses, there's a potential stream of Syrians to Europe of 4 million. Of course, that does not happen, because they remain largely in Turkey and, to a very large extent, in Syria itself. Looking at the flow of refugees from Africa, I can't confirm these millions of figures, because I don't have that report ready here. I do know with Mr Omtzig that if we do not get this kind of thing under control, if we do not make agreements, if we do not remove the root causes, if we do not use the whole instrument and are not prepared to make Turkey-like agreements with countries in Africa, we will be at great risk of letting things go out of control again. I'm gonna fight hard to prevent that. I don't want to do that twice.
ParlaMint-NL_2017-06-21-tweedekamer-6.u88	I welcome the commitment to make sure it doesn't happen again. We are talking about 1 million people in Libya. The situation in Libya for these people is much worse than that in the countries where they come from. Nigeria and Mali are relatively safe countries compared to when you stay in one of the three areas where there are now several Libyan governments. So the question is not whether they want to leave, but when they want to make the crossing. What are the prime minister's chances that all this will happen very quickly and that we will have a huge problem here this summer? That's what we're talking about here.
ParlaMint-NL_2017-06-21-tweedekamer-6.u89	That's what we're trying to prevent. I have just mentioned the figures of the number of people returning to countries of origin. That number has increased by 40%. You can see, in that respect, that things can work out. The number of people returning from Libya on a voluntary basis to countries of origin has increased enormously, partly because, of course, one sees the enormous risks you take when crossing. There's a good chance you're gonna die. More than 1,000 people have been killed this year crossing the Mediterranean. It's really a humanitarian tragedy. It is a cynical business model that is used there. So we're trying to get that under control in every possible way.
ParlaMint-NL_2017-06-21-tweedekamer-6.u90	Now the Prime Minister comes up with another argument: the increased number of people who would return. Is my observation that less than 1% of the people arriving and returning to Italy are actually returning?
ParlaMint-NL_2017-06-21-tweedekamer-6.u91	A very large part disappears into the informal economy. So we don't even see them. And as far as they're seen, it's true. One of the things we're doing is getting countries to take them back. So I don't know what Mr. Omtzigt is looking for right now. I think we agree on the urgency. I'm just trying to understand. I'll continue with the questions. Mr Omtzigt asked questions about the European army. I can assure him that we do not want that and that we are looking at how we can achieve more by the same means. All the proposals currently before us in the European Council, for example the proposal on the European Defence Fund, are aimed at this. I can say to Mr Verhoeven that cooperation with Germany and Belgium is very intensive. We have joint tank divisions with the Germans, we have the Air Mobile Brigade, we have headquarters in Münster, we have with the Belgians the common defence of airspace and we have an almost complete integration of the two naval parts of the military. So it's being worked out incredibly hard. Mrs Kuik asked how competition in the defence sector relates to European cooperation in the field of defence. What you see now is that the defence sector has been organized strongly along national lines. Procurement does not always have to take place at European level, because Member States can keep it within the defence sector at national level on the basis of the argument of the importance of national security. So this leads to a great deal of fragmentation, not making the most of taxpayers' money. The Commission's proposal for a European Defence Fund is intended as a means of seduction, in order to increase cooperation between Member States and businesses. In order to be eligible for funding from that fund, there should be proposals from at least three companies from at least two Member States. Thus, through such a positive incentive and incentive, you try to make that highly organised defence sector organised along national lines in the interest of taxpayers a little more common. Mr Mulder asked how the cabinet ensures that Dutch companies receive orders. We are strongly committed to ensuring that the European Defence Fund is also sufficiently open to small and medium-sized enterprises. We also call for better cross-border market access for SMEs within the European Union, because small and medium-sized enterprises in the Dutch defence sector are very strong. These companies are often suppliers for large companies. We therefore believe that they should be able to benefit. Mr Mulder spoke about the internal market. The European Council will indeed talk about this. This is actually the result of our Presidency in 2016. It was agreed that the different strategies should be completed and implemented by the end of 2018. This is the stock-taking, the intermediate moment, where we will talk about the digital single market, but also about an internal market strategy for goods and services. Even after 2018, of course, we will continue this operation, including the removal of national barriers, the improvement of enforcement and the digital internal market. As I said earlier, progress is also needed in the area of a fair internal market. As you know, the agreement on the Detachment Directive has been postponed. Hopefully we'll get there in October. In the context of the internal market, incoming EU President, Estonia, I see my colleague organising the digital summit at the end of September 2017 in Tallinn, where the importance of a digital Europe is central and the European Council will welcome the Commission's intention for a new cybersecurity strategy. Dutch counterparts in this type of area are the northern countries, the Baltic countries and sometimes also countries from cooperation in the V4. Which brings me to Mrs. Kuik's questions about cybersecurity. Why not a European Silicon Valley? Today we saw the successor of the current Dutch envoy in the field of StartupDelta make a plea to make a Silicon Valley just for the Netherlands. Interestingly, the economy of the Randstad is as big as that of Silicon Valley. The Netherlands has a scale that indicates that we as a country should be able to compete with Silicon Valley, a terminal of a lot of investments. This is happening at the moment, because the Netherlands is very well connected in the area of the modern economy. I am thinking, for example, of the number of cables that come ashore here. The Netherlands has a very strong ICT sector. Companies in the United States looking at Europe are very interested in the Netherlands, also in a broader sense. We also invest in quantum ourselves. The European Commission is investing in the digital infrastructure under Horizon 2020. All these programmes aim to stimulate innovation. Against that backdrop, there is that other question from Mrs. Kuik about cybersecurity. Without wanting to go through Philips' entire order list here, that was not her intention, I say that the introduction of cybersecurity policy is intended and should be helpful in preventing improper equipment from the European market. Cybersecurity is a growth market and offers companies real opportunities. The question is how to realize this. What responsibility can you place with the companies? How long can that take? I believe that it is important for companies to be able to take advantage of the scale of the European market and to reduce the barriers on that market. It is important that we learn what an ecosystem of parties can do to stimulate innovation. You have to bring together suppliers and customers, even when it comes to innovation money, on the point of Mrs Kuik's point. I think it is logical to talk in this debate about the responsibility of the companies which ultimately have to go beyond the traditional guarantee period. That is one of the points made by Mrs Kuik, more in questioning than in asking. I agree with her in itself, but it will have to be in such a broader approach.
ParlaMint-NL_2017-06-21-tweedekamer-6.u92	Mrs. Chicken, I see you're trying to interrupt. I know you haven't interrupted me so far, but I'm asking you to be brief.
ParlaMint-NL_2017-06-21-tweedekamer-6.u93	Certainly, perhaps a little more in conclusion. I imagine cybersecurity at the EU summit is a bit weird, given the Brexit debate and all sorts of other things. At the same time, I would ask the Prime Minister and the next cabinet to deal with this as a matter of priority. We see part of it as a cyber drain, because we do stimulate all kinds of innovations, but then we have to buy back technology from American companies. The biggest cybersecurity experts warn us that we have no idea what's coming at us in five or ten years. The biggest issues are in the field of security and economics.
ParlaMint-NL_2017-06-21-tweedekamer-6.u94	Absolutely. See also today's released DTM. Mr Van Ojik asked about the Paris agreements. The agreements made in Europe on a contribution to the climate agreement are well known. As far as I am concerned, they stand as a house: 40% lower emissions by 2030 compared to 1990. We in Europe are working hard to implement these agreements. It is now very much about how we can strengthen the emissions trading system. How can we make the distribution of CO reduction across Member States legally binding in sectors outside the system? That is the so-called non-ETS. There was a strong debate at last Monday's Environment Council. Here comes another report from Secretary of State Dijksma. In this sense, it is not on the agenda of this European Council. I can assure Mr Van Ojik that the Netherlands will continue to take the lead in working towards effective implementation of the agreements made in Paris. And the sentence in tomorrow's Council conclusions to which Mr Van Ojik refers is mainly intended as a response, a political signal from Europe, a re-affirmation: Trump can do what he wants, but we will continue. That's why it says that phrase. It's not a weakening, it's an evocation. It is an evocative moment: this is what we want to achieve with each other. I was also asked by one of my fellow Members, Mr Omtzigt, what agreements have been reached with the countries of Kosovo, Macedonia and Bosnia and Herzegovina on the radicalisation that is threatening to take place there. By the way, there are considerable differences between these countries. Especially in Bosnia and Herzegovina there is real cause for concern, but in other countries perhaps to a lesser extent. But in itself, these are countries where this plays. It is therefore also important to note that this is one of the priority regions for European cooperation in the fight against terrorism. We are committed to reducing this threat in several ways. A Western Balkans Counter-Terrorism Initiative has been set up to coordinate the activities of the European Union in these countries. There are several agencies active in the Western Balkans to support capacity building. Counter-terrorism is also standard part of political dialogue with these countries. Of course, the Instrument for Pre-Accession Assistance (IPA) also looks at projects to strengthen capacity in the Balkans on this issue. The Netherlands itself has also appointed someone who works as a stabilisation coordinator in our relationship with this region, because it is true that jihadists try to come to Europe in different ways. It is very important to avoid that. I would also like to take away the picture that the Balkan route would be open, let alone for certain groups. Many border measures have been taken on this route. But Mr Omtzigt also knows that. Mrs Leijten of the Socialist Party says that wages must be raised. She wants lower prices and higher wages. It is true that the Dutch trade surplus has a complex background. Moreover, our high pension savings and natural gas also play a role in this. As part of the country-specific recommendation, the European Commission has recommended that we create conditions for higher real wage growth, in view of the role of the social partners. De Nederlandsche Bank has also said a few things about this. I'd like to stay steady for now. I believe that this whole issue of wage formation in the Netherlands lies primarily with the social partners, i.e. employers and employees. That's unique to our country. In the almost seven years I have been allowed to serve this office, I have learned that everything I say about wage development leads to divergent comments from the social partners, but at least does not encourage them to come out together. So I will keep my mouth shut about it and note that the Commission and De Nederlandsche Bank have made these comments. Minister Koenders has spoken at various times about suspending pre-accession aid to Turkey, including at the informal Foreign Affairs Council, but, as we know, there is insufficient support for this. I think that answers most of the questions. Questions have also been asked about the level of coverage of pensions, about the European Pension Union and about the state of affairs in Greece, but all these issues are really not on the agenda at this European Council. Moreover, at other times, the Chamber discusses all these matters with members of the Cabinet. So my suggestion would be that I leave those questions unanswered for the moment.
ParlaMint-NL_2017-06-21-tweedekamer-6.u95	Are you ready? Thank you. Now let's move on to the second term.
ParlaMint-NL_2017-06-21-tweedekamer-6.u96	Mr. Chairman. I can make it quick. I would like to thank the Prime Minister for his reply and for his insight into the new talks, the formation of coalitions, the spheres of influence and all the other combinations created by the new relations within Europe. He gave a clear answer. He also gave a look in the kitchen and made it clear that you can't simplify it, because you can't pretend it's three or four fixed blocks. In fact, according to the Prime Minister, there are surprising connections and connections to many different countries on different topics. I think it is, but also that there are a number of lines that can really benefit the Netherlands. I found it positive to hear that the Prime Minister sees the Franco-German axis with Merkel and Macron as something that can be very promising in solving citizens' problems in a way that is sensible, without narrowing the discussion down to pro-European or anti-European. Look for solutions to the big issues that affect people. These are the issues we all call energy, climate, terror, external border monitoring and migration. I believe that this is a sensible and sober attitude that fits in with the current situation. The second thing I was pleased with, and it is also good to note, is that the Prime Minister fully admits that the link with which D66 has always struggled from money to Turkey to improve reception, speed up talks on EU membership and visa-free travel is improper. That was our main objection, and the Prime Minister now states, in retrospect, that this is the case and that you make every appointment when it has to be made. He says that in the future we must learn from that. Learning from things that have happened in the past in the future is always good to do.
ParlaMint-NL_2017-06-21-tweedekamer-6.u97	Mr. Chairman. I thank the Prime Minister. He will understand that I am looking forward to the evocative climate we are going to experience tomorrow from Brussels. That's a promise. I also welcome the fact that the Prime Minister has addressed the differences in migration between the situation in 2015 and now. This is not just about the numbers that are very different, but also about the composition of the groups of refugees coming to Europe. He has also been very clear in the end: it is not excluded that political refugees from Europe will eventually return to Africa. That's how I understood him. With all the convergence he has seen, that is something where our paths will continue to separate. Then there is the debate on the different scenarios of Europe. I listened carefully to the Prime Minister: no broad-based debate on nuclear energy, as was once the case a long time ago. That outcome wasn't that crazy, by the way, but it didn't happen that much. Not even a 100-day tour, but something else. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a debate on the future of the Union is taking place within the EU;]] [[having noted that in this context the European Commission publishes a White Paper and discussion papers on five different subjects;]] [[Calls on the Government to identify how the various scenarios developed by the Commission relate to Dutch interests and positions adopted so far, and to inform the Court of Justice thereof prior to the October 2017 European Council,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Van Ojik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1234]]
ParlaMint-NL_2017-06-21-tweedekamer-6.u98	Mr. Chairman. I thank the Prime Minister for his answers. The Prime Minister walks easily over the Franco-German axis. It may happen in the case of European integration that, if there are proposals in the autumn, after the elections in Germany, most other countries are lagging behind. Then it is quite a job to block them with possible minority blocks. That does not seem to me to be a positive approach either. In any case, it is therefore important to continue to work intensively with both. I thought the Prime Minister said the same thing. The Prime Minister opts for all kinds of loose forms of cooperation. This seems tactically useful, but we also consider a more stable form of cooperation to be important. That is why we strongly advocate closer cooperation within the EU, with Belgium and Luxembourg. It is good that the Prime Minister is already consulting with other countries in the Benelux context, but we believe that more needs to be done together. On this point, I shall table a motion which has been co-signed by Mr Bishop. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that, with the departure of the United Kingdom, an ally important to the Netherlands in the European Union falls away;]] [[Whereas it is important for the position of the Netherlands in the European Union to cooperate with others;]] [[Whereas, due to its political and economic position within the European Union, the Benelux countries are an important factor;]] [[calls on the Government to explore ways of intensifying cooperation with Belgium and Luxembourg within the European Union and to inform the Chamber by letter of the results of the reconnaissance,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Rooijen and Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1235]]
ParlaMint-NL_2017-06-21-tweedekamer-6.u99	The Prime Minister made a comment about Spain. It is sometimes thought that people there think so much differently than we do. Is it an idea that in the short term the Benelux countries will have official consultations, such as with the Visegrád countries and tonight with other countries, with Spain and perhaps with Italy?
