ParlaMint-NL_2017-09-06-tweedekamer-3.u1	I welcome the Minister of Finance and give the floor to Mrs Leijten.
ParlaMint-NL_2017-09-06-tweedekamer-3.u49	Let us first define very precisely what the definition of European legislation is "intermediaries." In my opinion, these are people who are really actively involved in setting up the construction. "Construction" sounds like fraud, of course, but it doesn't always have to be. Anyway, let's not have that discussion. So those are people who have a role to play in advising on whether to set up or implement that construction. That's not the auditor's role. So my assumption is that this European agreement does not concern accountants. That's a first check, but I'll just ask my officials if this is true. A second is whether it would not be interesting to extend this duty to people who find something. On the question of whether this has already been discussed in the European debate, I would like to come back in the second term. You had the debate yesterday with the Secretary of State for Finance. So I'm sure you've already asked all these questions to him.
ParlaMint-NL_2017-09-06-tweedekamer-3.u50	But the answers are not the same!
ParlaMint-NL_2017-09-06-tweedekamer-3.u51	Yeah, but then we play a game that, in my opinion, isn't that productive. If you've already had the answer, just accept it. That brings me to the end of my reply.
ParlaMint-NL_2017-09-06-tweedekamer-3.u52	Thank you. Then we shall proceed to the second term of office. I shall be the first to give the floor to Mrs Leijten van de SP.
ParlaMint-NL_2017-09-06-tweedekamer-3.u53	Mr. Chairman. I'm standing here with a double feeling. I started my first-term input with a list. Not all scandals were in it, but it was a long list of things that went wrong and that social and politically really have a limit to it. The minister says if pressure comes out of the Chamber, it works. I conclude from this that you do not have to wait for the sector, but that the sector needs political pressure. At the same time, we note that what has been put into effect does not yet have the desired result. Still, we're gonna wait a little while to see if it's gonna work. I'm impatient in nature, but I also find it uncomfortable. Every day that there can be another scandal in the newspaper, it also emanates from us: let politics do it. The sentiment is not: gosh, we are out of the crisis; toodle-dokie, we can relax everything again. But that is the case in the financial sector. The banks believe that the bonus policy needs to be tackled and we are once again seeing all kinds of non-performance loans being bought up. Have the lessons learned from the crisis? I don't know. But we are also being called upon here: what are we doing about it in the sector? I had a motion in preparation to speed it up, which also applies to Mr Van Weyenberg, and to say earlier: here we are drawing the line. The Minister has promised that he will see if the AFM can do so, because he has heard the clear wish in the Chamber. Does it make any sense to file that motion? It would have a symbolic effect. I can say very clearly here, like Mr Nijboer, and now it is ready, I am giving the mandate to the sector. But I will say quite frankly that I do not believe in this self-regulation, as we have been doing these calls for years. We have all noted in the debate that we should not only talk about a change in culture, but that the causes of the problems are also organisational and financial in nature. That is what we are now going to get a report on, from the sector itself. The Minister is also going to investigate something, namely the wicked problems. The English language in the financial sector is sometimes also a crime. But time can work against us. Where the sector is given time, this time can work against us as a political one because it also allows the things that we do not regard as socially appropriate to use such a widely used term to happen. I have a double feeling about that.
ParlaMint-NL_2017-09-06-tweedekamer-3.u54	Before the idea of being a self-regulation fan is threatening to arise, I note that nothing less is true. The separation of control and advice and compulsory rotation are laid down by law, as are the independent supervisory board. It is, like the legislation we are discussing today, all hard legislation. I just don't believe in that. I still don't believe that you can enforce anything good by law. If the quality is insufficient, if earning models do not function, if people do not do their job properly, and if the partners are more interested in money than in doing their job well, then you cannot deal with these matters with legislation alone. Legislation is needed. I very much agree with Mrs Leijten that self-regulation is not the solution. I certainly don't believe in that.
ParlaMint-NL_2017-09-06-tweedekamer-3.u55	I didn't mean to suggest that you have a blind faith in that. I also like it when a politician does that and addresses the sector with the message that it is enough. That's what I like about it. The Minister says that the sector has moved. But when are we gonna find out it's enough? I understand that this is also a political debate, but then if the Minister's answer is that he thinks this is going to be 2019, then I have a double feeling about it. We give him time, but then time can work against us. That is why I do not have a motion for a resolution on this, because I think that the symbolic function is too high. We are talking about incidents and individuals who are not doing well, and we are going to have more control over the inspector. I mentioned it in my speech a little grotesque when we can talk about structural matters. I can imagine that we are making these agreements a little bit in the procedural meeting: that is, of course, all different here when the report from the sector comes on how we look at these difficult issues, whether we should have a debate on them, because that would allow us to play the ascending role again. I refer to organisational and financial matters, the model of earning and the point of loyalty; points that may cross social interests. I've heard the Minister say that control could also happen to the public. I like that, given his previous rejection in the written preparation of a public variant of checking the truthfulness of annual accounts of, for example, health care institutions, housing corporations, municipalities and educational institutions. I'm not gonna give him a chance to make a caricature out of it. I'm not suggesting a new company or a public company. There are local accounting rooms. By strengthening those accounts, you could probably do the same. There are supervisors who ask out a lot of information and also have a financial control task. You could expand those tasks, too. I welcome the fact that the Minister has agreed to look at this, like other matters, in balance and with the advantages and disadvantages? But don't make it a caricature in advance, otherwise I'll know what the outcome of such a reconnaissance by the Ministry is. Then it will be completely ridiculed, and that is not something I would think of when it comes to controlling taxpayers' money and public funds. That's what we're gonna do to the public, and where that already exists, we're gonna strengthen it.
ParlaMint-NL_2017-09-06-tweedekamer-3.u56	Mr. Chairman. I think that after the debate we should also be aware that we do not regulate and change everything with more laws and rules. This cultural change will have to come from the inside out of the accounting sector. He'll have to do a hell of a job as far as I'm concerned. I don't think making it more public is always gonna be better. There are plenty of examples of public doing something that shows that this is not the solution either. There remained some questions from my first term. What should the draft decision of the Supervisory Board say to the shareholders? Is that a single nomination, or are they two options with a reasoned preference for the audit committee with the nomination for a new auditor? I also asked a question about reporting serious cases. That's what the findings and the conclusions are. The report indicates that the shareholder can request information from the auditor himself. I've indicated that if you don't know, you can't ask. How can you fix that? And how does the Minister look at the possibility of legally enabling auditors to provide interim information on the audit if the company is experiencing difficulties in obtaining the annual accounts? I am curious to hear the Minister's answer to the PvdA's question on extending the limitation period. I am pleased that the Minister also thinks that the sector and the AFM should discuss the quality of control. It seems to me to be a good thing that there is no ambiguity about this and I assume that the sector is picking up that glove with the AFM. I come to my final point, namely the independent objection committee, or making it more independent. The Minister will return to that in the second term, but I will table a motion because it will not be possible to do so after that. After the Minister's answer, we will see what we can do about it. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas on 31 January 2017, the Minister sent a letter to the Chamber on the legal protection of auditors and audit firms;]] [[noting the Authority for Financial Markets (AFM) and De Nederlandsche Bank (DNB) only work with an independent chairman, without any substantive role in the appeal procedure for the suitability test;]] [[noting that other countries are more involved in the objection procedure in relation to independence;]] [[calls on the Government to make the objection procedure with the AFM and DNB more independent by involving more external parties in the procedure,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Aukje de Vries. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34677-10]]
ParlaMint-NL_2017-09-06-tweedekamer-3.u57	Mr. Chairman. I would like to thank the Minister for answering the questions put by Members of Parliament, including myself. All in all, I have seen a Chamber which, sometimes with different starting points and perhaps also with different ideals as to how the audit role should be fulfilled, is at least united in sharing the Minister's great impatience to better regulate things. I think everyone agrees that not only can we do this with legislation, but that legislation is an important instrument. I will therefore advise my group to support the proposal before us, but the main task now lies in the translation of the legislation and, above all, in a cultural change in the sector itself. I've asked when the AFM will be able to do more careful research. I agree with the Minister that these should not be quickies and that this must be done very thoroughly. The quality should not be called into question. I'll wait for the letter. I understand the Minister in such a way that the aim is to do this as soon as possible, when you can really judge the year 2016-2017: do we see the cultural change, which is often said to have taken steps in recent years, also reflected in the results of the research? I am waiting for that letter, but I think it is clear that in the sector it is not a meter but a mileage.
ParlaMint-NL_2017-09-06-tweedekamer-3.u58	Mr. Chairman. I thank the Minister for the answers in the first term. I was very pleased with what the Minister said about whether all the measures we have taken in recent years are at the heart of the matter and of the problem or whether we are stuck around it. He is going to instruct the Ministry itself to make a more fundamental analysis and to list the advantages and disadvantages. I believe that we will continue this debate again later, also in anticipation of the reports of the sector itself. With regard to tax avoidance, the Minister was equally concerned that I was trying to find a difference between the answer given yesterday by the Secretary of State, and I did not take part in that debate myself and the Minister's reply, but I understood that there was some uncertainty yesterday, including with the Secretary of State, as to whether this also applies to the accounting side. It is, of course, about offices that provide advice and control. I imagine that the Minister will not answer this question directly in the second term but will send another letter. He can therefore comment on whether this is an interesting idea at all. Finally, Mr President. In the first place, I proposed that we consider whether we could extend the instruments. I have put forward an idea to improve the culture within audit firms by offering the AFM an opportunity to speed up the rotation obligation in the case of checks that have been assessed as inappropriate or insufficient. I would find it interesting to have a legal reconnaissance on this, either from the Ministry or from the AFM or in cooperation. I shall table the next motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas cultural change in accountancy, necessary for the confidence building of the public task of statutory audits, is only slowly taking shape;]] [[Whereas the AFM's investigation shows that more than half of the statutory audits examined still need to be qualified as insufficient;]] [[Whereas ensuring the quality of statutory audits in audit firms should be of the highest priority;]] [[invites the Government, in consultation with the AFM, to examine whether an effective measure may be imposed when establishing improper statutory audits that a subsequent audit by another partner should be carried out within the oob accountant's office or even another office,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Snels, Mr Leijten and Mr Nijboer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34677-11]]
ParlaMint-NL_2017-09-06-tweedekamer-3.u59	Mr. Chairman. 60% of the files examined did not meet and were insufficient. I have just looked it up, but in 2014 there were 22,000 statutory audits, of which about 56% were for the big four. So if you extrapolate this, 7,000 approving statements were issued in 2014 which we are not sure has happened lawfully. This should actually set off all the alarm bells, but the Minister is in it. He says: we do not know that, let us look to the future. I believe that these figures should be examined further, because if 7,000 declarations, 60% of them, have been issued unlawfully, we have a very different problem in the Netherlands. Then there's the pay model. The Minister says that there is a perverse incentive in it, so be it, and research is being done. I would like to hear from the Minister how he could take away that perverse incentive in the short term rather than doing investigations, because the earning model is not actually touched by those 56 measures. In the end, that's where the problem lies. I have a motion on the entry into force of this bill. I still find it incomprehensible that bad behavior is being rewarded and that we are not moving any faster. It's a step in the right direction. We all know that the proposal before us is actually nice, but far too soft. In any case, let us implement this bill quickly and also encourage the First Chamber to give a quick blow to this. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the entry into force of the amendment of the Supplementary Measures Act has been postponed by six months to 1 July 2018;]] [[Whereas the accountancy sector should take measures to address existing problems as soon as possible;]] [[calls on the Government to leave the entry into force of this bill unchanged on 1 January 2018,]] [[and goes to the order of the day.]] [[This motion has been proposed by Tony van Dijck. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34677-12]]
ParlaMint-NL_2017-09-06-tweedekamer-3.u60	Mr. Chairman. Actually, it's kind of like it was three years ago. Some progress has been made, but, in the end, the sector is being called a little guarded by politics. It's just not going well enough. All parties have shown this in different keys. The Minister has also indicated this. It is not for nothing that he says: I am going to look at how we can improve the earning model and quality, because the sector is not making enough progress. In particular, I would like to involve the tax sector and the advisory branch. I have prepared a motion with Mrs Leijten and Mr Snels to fill that in. There are two other points. Firstly, I asked a question about the ten-year limitation period. As far as I know, no answer has been given. I would like to ask the Minister to answer this: why was it chosen for six years, not ten years, which is common practice in the medical world? Secondly, together with Mr Snels and Mrs Leijten, I have tabled a motion for a resolution which seeks, if it has gone wrong with the control, to pass punishment as soon as possible and not to allow the same partner or the same office to continue to carry out the checks. I would also like to hear a response from the Minister. In any case, our opinion is well known. The signatures are under the motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the quality of the audit reports is still too often inadequate;]] [[Whereas the sector has had more than three years to improve its work;]] [[whereas the monitoring committee set up by the industry itself in November 2016 stated that the fundamental problems are not sufficiently recognised and that solutions are not yet available;]] [[calls on the government to break this deadlock and to draw up proposals that fundamentally change the income model, including at least the separation of the accountancy from the tax and advisory sectors,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Nijboer, Mr Snels and Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34677-13]]
ParlaMint-NL_2017-09-06-tweedekamer-3.u61	This motion also refers to Mrs Leijten's contribution: to what extent do you allow self-regulation and to what extent do you act as legislators? Because the sector is failing, we are getting closer and closer to a policy that has to take ever-greater measures because the quality is insufficient, because the fundamental problems are not sufficiently addressed and because this undermines the social base. I'd almost say "don't let it come to that," but it's getting close by now.
ParlaMint-NL_2017-09-06-tweedekamer-3.u62	This brings us to the end of the Court's second term contribution. I shall give the floor immediately to the Minister for his answer in second term.
ParlaMint-NL_2017-09-06-tweedekamer-3.u63	Mr. Chairman. I feel like I don't have all the motions yet, but they might be coming while I'm talking. Mrs Leijten has once again expressed the inconvenience that she feels and that we all feel. She has rightly said that this also reflects on politics. This is certainly true when it comes to the use of public funds, but also in a general sense. Politics is also responsible for ensuring quality; that is why we are making legislation. It is true that with this legislation and all the measures we have taken so far in national legislation, I refer to the division of advice and control, the rotation period, European legislation, the measures of the sector itself and now that this bill is building many guarantees around it. That doesn't mean it won't have any effect. Otherwise, it could already be justified to say that it has to be fundamentally different and that we are going to set it up completely differently. I think we, as politicians, sometimes have to live with this inconvenience. 1. It does not give us the certainty that we are going to be okay. 2. We no longer know which measure has been effective and which measure of the whole palette has actually contributed and which has not. 3. In all honesty, I believe that this sector has shown a great deal of initiative. There are also sectors that I have had a lot to do with which this initiative has not been shown. Many initiatives have been taken. A lot is being talked about and much done in the sector. They deserve those credits, too. It remains that the end result is still not good enough. After consulting the AFM, I will send a letter on Mr Van Weyenberg's point about when the next study will come, whether it can be done more quickly and so on. So I'll come back to that. But this will really take time. Even if from now on all measures are implemented with great force, you will be a while further before you see that in the new dates of audit reports over completed years. It's no different. We must prepare ourselves for this if we are to draw a more definitive conclusion. Mrs Leijten said that the sector report will come in the autumn. I think it is inevitable that the Ministry will have to consider itself in its own right if results continue to fail. Have we done any work in 2019? What alternative or more far-reaching measures would the hot potatoes take? Indeed, a debate can then be held. That seems to me to be a very good approach, also to keep the political pressure on it. She also feared a caricature, or that I would ridicule the organisation of public control. I certainly do not, but I think she should also be open to and think about what this would mean, what profound consequences it has, and not just for the sector. It is the creation of new organisations; at least that is how I imagine it. I'm not saying that to ridicule it. There are far-reaching things imaginable. Local accountants really have a different character. You can't just tell a local accountant that she's gonna have to do the audit from now on; that's just not possible. So I'm not saying that to ridicule it, but it is because we have to think seriously about this. The same applies to sector supervisors. Indeed, you have various public regulators in the care sector, but they are absolutely not able to carry out the audit at all those thousands of healthcare institutions in the Netherlands. They should be able to rely on audits carried out by audit firms. They will come to their judgement on this basis. That is why this is so fundamental. Since today, Mr Van Dijk has also been joking about the fact that this really is a fundamental problem. Public authorities and public regulators should be able to rely on those audit reports. Shareholders, investors, municipalities, you name it: everyone trusts or should be able to rely on the quality of those audit reports. And at least at the moment there is considerable doubt about that. So we won't be ridiculing variants. We will seriously highlight both the advantages and the disadvantages. I promise Mrs Leijten. Mrs De Vries has repeated a number of specific questions that I had not been able to register so quickly in the first term. For example, she asked whether auditors should not have the possibility, i.e. by law, to make interim communications about an audit if a company encounters difficulties in obtaining the annual accounts. Then it drags on and the outside world and stakeholders want to know what's going on; that's what we're actually talking about. This is, of course, a matter of principle, because it undermines the principle that the auditor only discloses information on the basis of the audit report. After an entire audit has been completed, the auditor can say something useful about it, and then at the invitation of the shareholders' meeting. It is up to the company itself to disclose information, for example on price sensitive information, which should simply be shared with stakeholders. That is also legally regulated. But this is therefore a restriction, and it is a restriction on the confidentiality of auditors. There is another indirect way in which the accountant can put pressure on the case, by indicating or, if you like, threatening to put the audit order down. That is something that is visible, something that will shed light on the audit of the client, which apparently does not give serious cooperation to the auditor in order to complete the checks as soon as possible. So there is that possibility. I come to the sharing of supervisory findings with the shareholders' meeting. The draft law introduces an obligation for audit firms to share the AFM's main findings and conclusions with the audit committee of the audit client. In other words, the AFM has put its finger on a poor check and a not sufficiently substantiated statement. The bill stipulates that this should be shared with the audit committee of the customer within a specified period of time. The general meeting is, of course, always competent to dismiss the auditor or the auditor's organisation, together with the one who appointed the auditor. It is therefore reasonable, I think, that the Supervisory Board, which is part of the audit committee, should inform the general meeting of serious findings if it considers that the nature of the findings is so serious that they have an impact on the position of the auditor, or on the auditor responsible for auditing the annual accounts. I think this is the logical way to do it. If the AFM's findings have a real impact on the content of the financial statements and the oob is a listed company, there may even be an obligation to disclose the fact. That's just price sensitive information. The fact that the declaration no longer stands and that repair work is needed is information that shareholders need to know. Moreover, they have already been able to take note of it, as recovery measures have been imposed. I think there was another question from Mrs De Vries. Let's see which one I missed. Anything on the accountant's single speech? Can I answer that in writing? I don't have the answer ready right now, and then I'm gonna have to improvise. I have to make sure I get the question sharp. Then I'll answer it in writing. Then I come to the subject of Mr Snels, with which we conclude the first term. What happens when the accountant finds cases? Should he call it in? Is that settled in the new rules? Should we take care of that? The answer was given yesterday by the Secretary of State to the honourable Member, Mr Van der Lee, also from GroenLinks. The point of approach, as I said in the first term, is the tax advice that is being provided. That's not the auditor's role. External auditors are already obliged to report fraud of material interest to an audit client, which is not addressed in time and adequately by the audit client himself, to an investigative officer. That is therefore a legal duty of the external auditor when he finds real fraud, but, again, a construction is not always fraud. The European system therefore goes beyond that. But when it comes to finding fraud of material importance, the external auditor must act on it. I'll see if I've had it all. A further question has been asked about the limitation period. I can't find any clarity in this. There are very different limitation periods in different sectors of society, ranging from three years to ten years. Mr Nijboer referred to the healthcare sector, in which it is ten years. This also has to do with the weighting of the severity of the consequences of abuses or lack of medical treatment. We have now extended the limitation periods by abolishing the distinction between three years and six years. We said it's just six years. This has already been extended. I don't have a strong opinion on it. It really is the weighting of the Chamber how serious something is. On this scale, the most serious is the culpable failure in medical practice. That has weighed politics before, and for that there is a ten-year limitation period. We think that's very serious. It has very profound consequences for people. Sometimes it's about issues of life and death. On that scale, politics must weigh up. If we find anything falling into the same category, the limitation period is ten years. If there is a less far-reaching effect, then maybe we'll weigh it down to six years. The cabinet's verdict is six years. But once again, legislation varies from three to ten years.
ParlaMint-NL_2017-09-06-tweedekamer-3.u64	It may play a role here that it can take quite a long time, especially in the case of financial fraud, before it is clear to everyone what has happened. We have seen this in financial scandals. That may be from the first moment, but that is usually laid early. Before all the shareholders, stakeholders or victims are behind it, the limitation period may have been considerably increased. That would be my consideration of extending that deadline in this case, not so much the seriousness, although this is also serious. In medical practice, you know if something went wrong.
ParlaMint-NL_2017-09-06-tweedekamer-3.u65	Your argument is certainly a weighting factor. How long after that can this surface in all reasonableness? At the same time, it is also from the accountant's position that the question is how long an error can be dragged after you, with the risk that you will still be legally challenged and held liable for a case of ten years ago. This will also have to be considered by the legislator. It is not every mistake, because even after 20 years that is still a mistake. I'm overreacting to make a point right now. You should also see if it is reasonable that an accountant who handled a case ten years ago can still be held liable ten years after that. That, too, is a trade-off. The cabinet's opinion is that six years is really a reasonable period. That is already an extension to the current situation, so that would be my advice to your Chamber. I didn't think there were any other cases left, so I'm going to the first motion, Mrs De Vries'.
ParlaMint-NL_2017-09-06-tweedekamer-3.u66	Minister, I would like to inform you that, in my view, the amendment proposed by Mrs De Vries is still waiting for an appreciation.
ParlaMint-NL_2017-09-06-tweedekamer-3.u67	Then I shall begin with the amendment, which was indeed put to the vote earlier and which I know at the time, but it is perhaps too painful for those concerned not to be adopted, although there may have been a majority in favour of it. There is a certain tension in that, a point that Mr Snels has raised, which I am not addressing again. He said that it should actually be so that if the AFM considers that an auditor's statement is not provided with sufficient underlying quality, in other words, perhaps wrongly granted, then another auditor would always have to do the following audit. Oh, not always?
ParlaMint-NL_2017-09-06-tweedekamer-3.u68	Mr Snels, for a clarification.
ParlaMint-NL_2017-09-06-tweedekamer-3.u69	It's not about this always happening. If the AFM finds that an audit is not correct, there is a possibility that the measure may be imposed that a subsequent audit will then be carried out by another auditor. It's an extra instrument in the AFM's suitcase.
ParlaMint-NL_2017-09-06-tweedekamer-3.u70	I'm not for that anyway. I think mistakes should be possible. I would rather see that the same auditor restores his work immediately, as we provide for in this Act additional measures for audit firms, than that an additional rotation should be made. However, I think that many of the measures in the sector itself should be taken to ensure that internal quality assurance, including that of partners, is in order. The internal training of employees, people in training and partners must be in order. So the guarantees of quality control in the organization need to be improved. I find that much more valuable than linking it with a possible sanction instrument or compulsory rotation. So I don't find this idea so appealing. It should also be remembered that when the AFM comes up with a judgment, the 19 examples we mentioned earlier, are based on files from 2014 and 2015. The AFM then arrives at that judgment on the basis of that investigation in 2017. In 2018, the AFM could impose the rotation you are thinking of. In the meantime, there have been three audits, namely in 2015, 2016 and 2017. I don't think this is effective.
ParlaMint-NL_2017-09-06-tweedekamer-3.u71	There may also be other signals. In fact, I am simply concerned that the quality of audits is not yet good enough. This is one of the instruments you might think of. Why don't you explore that? We also have the right of disciplinary action and even the heavy measure that permits can be withdrawn. These are all very tough measures, but this is a measure that could help to change internal dynamics within audit firms, so that they focus more on quality and less on bringing in customers and carry out checks at the lowest possible cost. I'm particularly curious to see if that's interesting.
ParlaMint-NL_2017-09-06-tweedekamer-3.u72	I really don't find this interesting. This falls into the category of which the monitoring committee has said: we are taking a lot of measures but we do not really see the link, there is no direct line with the fundamental problems in the sector. We have just agreed that the sector itself will address the fundamental issues. In parallel, we are going to think about how things could be different, with advantages and disadvantages. I do not think that this variant is effective at all, whereby years after that the accountant is taken off and is obliged to sit on the penalty bench for a year. It really doesn't touch the fundamental problem. We're already doing a lot of things and we've come up with all kinds of things, but when it comes to whether we're hitting the fundamental problem, this is more of a thing than a basic approach.
ParlaMint-NL_2017-09-06-tweedekamer-3.u73	In my opinion, this is one of the fundamental problems, namely that the earning model can also lead to looking away, not so closely controlling whether to choose loyalty to the client and not to the social interest. That's all things we talked about. The moment you know it's not good and you can lose the customer, you can also tell the customer. Perhaps that customer has a different interest than the social interest. There can be all kinds of things going on, these wicked problems, as it is called, that which the sector is about to look at. Then it wouldn't be so crazy to lose your client. This motion is not asking for it to be carried out, but to find out. So I don't understand why the Minister should be so opposed to this right now.
ParlaMint-NL_2017-09-06-tweedekamer-3.u74	With things that are riskless, the question can always be asked why you are so opposed to them. We do a lot of things in legislation and the sector does everything, but the big question is whether this is at the heart of the matter. Then there will be a new proposal, a new idea. In the light of the debate we are having here on these fundamental issues, I think we should at least ask whether this affects the fundamental issue.
ParlaMint-NL_2017-09-06-tweedekamer-3.u75	Losing the customer!
ParlaMint-NL_2017-09-06-tweedekamer-3.u76	But it goes to a partner, as you yourself said. A fellow partner can just take over that client. What kind of incentive do you think you're gonna get with that? You know what I'm gonna do? I already have my views on this, but I don't think my officials have yet. We have already asked them to think about alternatives in parallel with the sector. I will ask them to look at this alternative as well. I would like to say to Mrs Leijten, in particular, who has made a very clear reference to the fundamental issues, that you really have to ask yourself whether we are throwing up an idea here or whether we are once having a fundamental issue about the organization and the conflicts of interest in the organisation. This is just a sanction, which I do not think is effective. I don't think anyone's impressed.
ParlaMint-NL_2017-09-06-tweedekamer-3.u77	I think it is right for the Minister to say that he is going to see if this can be included in the instruments. And whether or not that affects the fundamental core, we will certainly talk about that when the legal exploration is there.
ParlaMint-NL_2017-09-06-tweedekamer-3.u78	You have already interrupted this round, Mr Snels. You've started the rounds.
ParlaMint-NL_2017-09-06-tweedekamer-3.u79	It is not an interruption either, but a very brief remark. I would like to thank the Minister for his somewhat cautious commitment. I can inform you that I will hold the motion for the time being.
ParlaMint-NL_2017-09-06-tweedekamer-3.u80	At the request of Mr Snels, I propose his motion for a resolution (34677, No. 11), as last amended by Regulation (EC) No 40/94 of the European Parliament and of the Council on the common organisation of the market in fruit and vegetables. That is what is decided.
ParlaMint-NL_2017-09-06-tweedekamer-3.u81	I'm going back to the amendment. I just made the move from the amendment to the motion because the amendment actually says: you have to take an accountant off less easily. The AFM has the opportunity to carry out the statutory audit assignment, but Mrs De Vries says: that is so far-reaching in contract law between private parties, that it must be up to a judge. We can be brief about that. We have already responded to this in writing once, so the Chamber knows my point of view. I think I know that the amendment will be adopted. I have no objection in principle to that either, so I leave the opinion on the amendment to the Chamber.
ParlaMint-NL_2017-09-06-tweedekamer-3.u82	I would like to take away the impression that it would no longer be possible at all. It's about the procedure: how do you get that accountant to resign, how do you dissolve that contract, and what safeguards do you want to put in it, so that the supervisor doesn't get all those hats when he already has so many? There will then be one more test, because it is quite a very heavy measure. So I really want to take away the impression that it is about not being possible anymore. It's still absolutely possible.
ParlaMint-NL_2017-09-06-tweedekamer-3.u83	If I said that, I said it wrong, because that is not the purpose of the amendment. It merely says that the final decision must be referred to the court. As I have said, I am aware of the history of this and I leave it to the Chamber to decide. I come to the first motion, tabled by Mrs De Vries, on item No. 10. In it, the government is asked to initiate the objection procedure at the AFM and DNB. We talked today about the AFM; DNB is now also being involved in more independent setting-up of the AFM by involving more externals in the procedure. The General Administrative Law Act allows members from outside the organisation to be appointed to an objection committee, also in a general sense. So the AFM can arrange that on its own. I do not believe that this need to be specified further in the law. If the motion is adopted, I think that is a serious signal for the AFM that the Chamber thinks it is desirable and the AFM can weigh it up again. If we can do it this way, we don't have to change laws and the AFM can seriously weigh the signal from the Chamber that it might be a reinforcement. I'll leave the verdict on this motion to the Chamber. The second motion, in part No. 11 has been apprehended. The third motion, tabled by Mr Van Dijck, to item No. 12, calls on the Government to leave the entry into force of this bill unchanged for the time being on 1 January 2018. This is a rather unusual motion. I don't remember seeing a motion like this before. I'm not against that in itself, but I just don't think it's realistic. I think everyone would have preferred to have this law passed yesterday, but we have to be realistic. I know the First Chamber on this subject. This is really going to be a debate; this is not going to be a hammer piece. Also, underlying legislation is being developed and the AFM is still in the process of publishing policy rules. I really don't think it's feasible, so I'm sorry to have to discourage this motion. The fourth motion, in part No. 13, by Mr Nijboer, Mr Snels and Mr Leijten. This motion calls on the government to break the deadlock and to draw up proposals that fundamentally change the income model, including at least the separation of the accountancy from the tax and advisory sectors. Let me refer to the word 'proposals'. The drafting of proposals suggests that these proposals should simply be made, and I cannot undertake to do so. However, in parallel with the work of the sector, which is going to give serious thought to this, we will list some alternative income models, which have already been mentioned several times in Parliament's debates: what are the advantages and disadvantages of their operation, what are the incentives, what are the wrong incentives, what are the legal and European law aspects? We're all gonna figure that out. Whether this leads to proposals for fundamentally changing the earning model, I cannot now undertake. That will really be up to another government. I am not even ready to draw the conclusion that this must be done, but I do think that we should be able to have that debate properly.
ParlaMint-NL_2017-09-06-tweedekamer-3.u84	Whether you call it alternatives or proposals, the Minister has agreed in the first term to do so. What this motion sees on it is that the separation of the accountancy from the other branches is at least one of the things being analyzed. That is one of the proposals, as I call it. The Minister wants to mention alternatives and analyse their advantages and disadvantages. That's what the motion says. I think the Minister could embrace it if that was the explanation of the motion.
ParlaMint-NL_2017-09-06-tweedekamer-3.u85	With this further direction, I will leave the verdict on this motion to the Chamber. It is, of course, up to a new cabinet to submit proposals to the Chamber. But we're gonna figure it out, including the variant that makes this motion.
ParlaMint-NL_2017-09-06-tweedekamer-3.u86	The amendment tabled, the motions tabled and the legislative proposal will be voted on next Tuesday. I thank the Minister for coming to the Chamber and suspend the sitting until 1.30 p.m.
