ParlaMint-NL_2017-03-21-eerstekamer-6.u1	I would like to welcome the Foreign Minister to the First Chamber.
ParlaMint-NL_2017-03-21-eerstekamer-6.u22	I would like to return to Montenegro's progress on the rule of law and democracy. Several organizations have different views on this than the Minister. Anyway, there may have been progress. The Minister says that Montenegro meets the requirements and can join, because it shares our values to a sufficient extent. There are some comments to be made. More needs to be done, says the Minister. He agrees with the SP Group on this. In the first instance, I explicitly asked which stick NATO has behind the door to ensure this. The Minister points out that we continue to monitor that and that there are deadlines, but what if Montenegro doesn't meet those deadlines? Will Montenegro be expelled from NATO again or will sanctions be applied? What instruments does NATO have at its disposal to ensure that such progress is actually made and not reversed?
ParlaMint-NL_2017-03-21-eerstekamer-6.u23	Perhaps I can make two comments on that. The first point is that Montenegro is currently meeting the requirements. The second is that when a country falls back, for example in the area of the rule of law or when there are discussions about standards and values, which can be debated. Mr Van Apeldoorn mentioned a number of other allies where issues are; an example in recent months is Turkey. It's always possible. We believe it is important that, regardless of the fact that they are met, progress is still being made on a number of points. This is proactively monitored by NATO, but the country meets the requirements.
ParlaMint-NL_2017-03-21-eerstekamer-6.u24	We agree that Montenegro needs to make further progress. The Minister says it can be debated, see Turkey. To what extent does the Minister agree with us that there is a real risk that we will import this instability, in Mr Dankert's words? Is there a plan B? Or does the Minister assume that in the end it will be easy and that there is little real risk that we will import this instability?
ParlaMint-NL_2017-03-21-eerstekamer-6.u25	We are weighing up rather strict NATO requirements, and that is what we are meeting. We believe that NATO membership will then be an incentive for stability itself. In addition, two parliaments have called for the ratification of NATO membership to continue. If we didn't do that all of a sudden, it might be destabilizing. There are therefore many reasons to believe that it is stabilising rather than causing instability. There are always rules and standards and values of NATO that can be addressed by the Member States. Then I almost got to the end of my contribution. Perhaps it is still important to point out to all Members that Montenegro would like to become a member of NATO itself. Parliament has twice endorsed this course by means of resolutions. The parliamentary elections of 16 October 2016, ten years after Montenegro's independence, were once again an important milestone. The winning parties are right behind the path of Euro-Atlantic integration. The new government led by Prime Minister Marković has already indicated that NATO accession and EU accession are a strategic priority for this government. Part of the opposition also supports the NATO process. They are convinced that this path will enable a more stable and prosperous Montenegro. As I have just said, Montenegro is opting not only for the security guarantee that NATO membership entails, but also for a stronger and more democratic Montenegro, in which the rule of law is better guaranteed. That brings me to the question of the Group of the Greens/European Free Alliance whether I am concerned about that region. Yes. That is why I found it so important that the neighbouring countries do not have a problem or a problem. agree to NATO membership and cooperate with them. We do see risks for the region. That's because they don't know what's going on. Is there a future EU membership or not? What is the impact of Turkey and the Russian Federation? What happens to the return of foreign terrorist fighters? How can they ensure that their rule of law development continues and is strengthened? In that context, you need to make a strategic assessment. The Dutch Government considers that membership contributes to the stability of that region and the security of the Netherlands.
ParlaMint-NL_2017-03-21-eerstekamer-6.u26	Thank you. We have arrived at the second term of office. I give the floor to Mr Van Apeldoorn.
ParlaMint-NL_2017-03-21-eerstekamer-6.u27	Mr. Chairman. I thank the Minister for his reply. We are not convinced by the Minister's answer to the question as to why there is so much haste behind this debate. On the basis of Article 2 of the bill, we understand that, from the Minister's point of view, we will be too late with the entry into force of this law, because it will take place after the NATO summit, which seems to be very important. Moreover, it is still waiting for the U.S. Senate, which now has to deal with this in full debate and agree with a two-thirds majority. Finally, on the basis of the protocol, it is for the US Government to notify the other NATO Member States of the entry into force of accession. In other words, it remains waiting for the United States. That could well be well beyond the NATO summit in May. In this respect, we still do not understand why the Minister is in such a hurry. There's another thing I need to get off my chest. It seems to me today that, both in the run-up to this debate and during this debate, I noticed whether it is not done to speak critically about NATO and to question the self-evidentness with which others accept the existence of rival blocs of power. The Minister now says that the SP actually feels exactly the same as Moscow and that Moscow is given a right of veto. I'm throwing that far from me. The question is whether NATO is contributing to a stable and peaceful world. In what way can this best be designed? That's what the discussion is about. It's not about how we feel about Putin. A colleague of this minister's Social Democrat, Gerhard Schröder, once said that Putin is a wool-painted democrat. At that time, I was excited about that remark. Earlier, I would describe Putin as a wool-painted autocrat. But none of that is on the table right now. What matters is whether the accession of Montenegro and the whole enlargement at all contribute to the stability of relations in Europe. I referred earlier to the ruling of then VVD leader Bolkestein, who warned that it would destabilise relations in Europe. I ask the Minister to reflect on that. Has the enlargement of NATO over the last 20 years contributed to the stability of Europe and of world peace, yes or no? How does he view Montenegro's accession for the Balkans, the region and Europe as a whole?
ParlaMint-NL_2017-03-21-eerstekamer-6.u28	I do have a certain problem with the position that Mr Van Apeldoorn has set out here, in the sense that he is totally approaching one side of the matter, namely everything that has been done wrong by NATO, the West and perhaps also by the EU, if I sum up briefly. He's easily ignoring the other scenarios. We are not talking about Russia right now, but what if none of the major powers, either NATO or the EU, is really going to deal with the Western Balkans, does Mr Van Apeldoorn think that stability will fall on the region? No, I think the opposite is true, namely that the risk of conflicts is greater in the absence of the EU and NATO than in the presence of the EU and NATO.
ParlaMint-NL_2017-03-21-eerstekamer-6.u29	That remains to be seen when it comes to NATO. I have also argued that it is not the case that we would not think that Montenegro should be given a chance to develop into a stable democracy integrated into Europe. As far as we are concerned, Montenegro is, of course, part of Europe. We do not have a debate today on Montenegro's possible EU membership. Of course, it is not a question of leaving some sort of vacuum in the Balkans and not of interfering with it from the Netherlands or from the EU at all. The only question is whether accession to NATO will contribute to further stabilisation of this region and to stability in Europe. I think I've been clear about that. In this context, we are also critical of the current role of NATO. I have also asked the Minister to reconsider, precisely in the context of the present time frame. He didn't go into that. I would just like to remind you that there was a time when the SP was not alone in this critical attitude towards NATO and we also found the PvdA on our side. Anyway, that was a different time with another PvdA. Thus, former NATO critics have become increasingly NATO-minded, but as a SP Group, we continue to work for a sustainable, safer world without military blocs and for the effective removal of the UN's monopoly on violence. At the moment, we are in a situation where we are moving towards increasing tensions and an arms race, demanding a further increase in defence expenditure, while NATO is already 70% responsible for global defence spending, of which 253 billion is spent by the European part of NATO, which is almost four times as much as Russia spends on defence. I have not heard further from the Minister whether he agrees with us on this point that we should look again at the role of NATO. With regard to Montenegro's own accession, reference has been made to the open door policy. It has been stated that there are strict conditions that Montenegro must meet and that Montenegro complies with and that Montenegro shares our values. I repeat that Montenegro is being judged by international organisations as a crippled democracy where there is little freedom of the press and which is a safe haven for organised crime and corruption. So what NATO terms are we talking about? If Montenegro meets these conditions, then my question to the Minister is which other countries will comply with it. Does Ukraine, for example, already comply with this and could Ukraine's accession, according to the Minister, be on the agenda? No, we are not laying down the right of veto with Moscow. We would point out once again that it is not only Montenegro, or any other country, that wants to join NATO, to decide whether or not to belong to NATO, but that this is ultimately a decision of all NATO's sovereign Member States, which will have to be decided by consensus. In this respect, I would once again like to reject the Minister's suggestion that this is about following the Moscow line. Perhaps the Minister could once again address the question of why Montenegro meets the requirements and what other countries might still be affected.
ParlaMint-NL_2017-03-21-eerstekamer-6.u30	Mr. Chairman. I thank the Minister for answering the questions. My group notes that stability in the Balkans and specifically in the Montenegro region is both our concern and that we cannot easily ignore it. I would also like to say to Mr Van Apeldoorn that, on the contrary, my group is always in favour of a European solution as much as possible, including in the area of military integration and cooperation. We only see in a realistic scenario that NATO is currently a means of working on it, but that it is not an end in itself. The paradox of this time is perhaps that we are as concerned about the Russian side's interventions as we are about the interventions of the Turkish allies in the Balkans who, in turn, are not contributing to that stability. In this sense, the geopolitical picture has not become easier. Finally, I would like to say something about the position of the United States and today's news that the Foreign Minister would rather skip the NATO meeting next month because he has more important things to do, namely to go to Russia or China. The way in which NATO is currently being looked at from the other side of the Atlantic does not reassure us. Perhaps the Minister could give a brief thought to that.
ParlaMint-NL_2017-03-21-eerstekamer-6.u31	Is the Minister able to answer directly? That's the case. I give the floor to the Foreign Minister.
ParlaMint-NL_2017-03-21-eerstekamer-6.u32	Mr. Chairman. I would like to thank the members of the Chamber for their second term. I believe, quite frankly, that we do not agree on the moment, on haste or no rush. I try, also from a Dutch perspective, to act as quickly as possible. Of course, this NATO summit is important in this respect. Waiting for the United States has never been a signal to me. We also have our own responsibility. I think it is important and also very much appreciate that the discussion can take place in the First Chamber today. I would like to make a few comments on Mr Van Apeldoorn's questions. There are a number of misunderstandings. He talked about NATO, the United Nations and the European Union. Here is a minister who believes in the United Nations, based on collective security, if necessary on Article 7 of the UN Charter and on the great contribution made by the Netherlands to UN peacekeeping operations. So it is not either the UN or NATO or the European Union; we are members of all three organisations. In the UN, we will even be members of the Security Council next year. We're an active player in NATO territory. Are we NATO critics? Yes. The Netherlands is the only country that has initially decided to participate in the negotiations on a nuclear weapons ban. There is no other NATO country that does this. I therefore say, with all due respect for Mr Van Apeldoorn's second term contribution, that now the picture shows that the Netherlands never makes a critical note of NATO is really based on nothing. We don't see NATO as an organization against the Russian Federation. NATO is a collective security organization. The Russian Federation is not our enemy. Let's make that very clear. I do not see it that way and the Dutch Government does not see it that way. However, we do have a collective security concept which, in addition to operations outside the Convention Area, is part of NATO's role. Article 5 of the NATO Treaty has indeed become more important because of a number of hybrid activities of the Russian Federation in the Baltic States. We don't see the Russian Federation as an enemy. I have just said how we are trying to reach the Russian Federation and not join the negative spiral against another country. We're very concerned. I have just said a few words about the statements made by the prosecutor in Montenegro about an attempt at coup d'état. I don't know if that's gonna be proven. That's not up to me either. But I am very concerned about these developments. We cannot say that neutrality or impartiality is possible. We see great risks for the Balkans. That's the reasoning. The reasoning is not: we are going to escalate it towards another conflict with the Russian Federation. It is not a question of the Netherlands thinking: for once we are going to pull a few countries into NATO's sphere of influence. This is a collective security situation at a time when there are threats to the Convention Area. The democratic desire of the government of Montenegro after the elections is to become part of NATO. Then you have to come from a good house to say that's not important. I'm not saying members of this Chamber say that. Of course, the Netherlands has the opportunity to stop this. I didn't say this wouldn't be possible either. We are here in the debate to see if it is a sensible decision. That is a direct point of interest which I agree with. I would not like to say that we are dealing with a policy that we can easily translate into: if we leave Montenegro's wish in the middle now and if we do not discuss the developments there, then perhaps we can look into some sort of collective security organisation in Europe to see if we can move forward. I think that's unwise. Maybe we disagree on that. I would like to stress here that we do not have any new enemies. We don't think in terms of spheres of influence. This is a collective security organisation that may have been more important than ever in recent years, including for the Netherlands. You may differ in the extent to which Montenegro meets the conditions, but in our opinion it fulfils the conditions for NATO membership. We therefore believe that this country has the right, just as we have the right to be a member of the organisation. Why should we be members and not Montenegro? It is also a democratic wish. The Socialist Party said a few years ago that it takes NATO membership seriously. The Group of the Party of European Socialists also wants to remain in it, but apparently it does not think that this should apply to another country, which is not directly in the geographical direction of a country which the Group of the European People's Party (Christian Democrats) and European Democrats may think we see as an enemy. I have a different reasoning on this point from the SP Group. What are the main reforms to strengthen democracy and the rule of law? NATO looks at a large number of points. I mentioned some of them. They have also been dealt with in the written documents. Of course, we are also seeing progress in Montenegro in the light of the EU negotiations, but the criteria for this are much stricter. A number of things have improved, such as the right to vote, civil society and its involvement in the elections. It is also about the results of ODIHR and the legislative phase of the reforms. That is always the case: when legislation is in order, it comes to reality. We want to continue monitoring these things, within the framework of NATO and in the framework of the European Union in a strengthened sense. A question has been asked about Mr Tillerson's visit to NATO. I would like to underline what I said earlier, also in the light of what we have said so far in this debate on the importance of NATO. This cannot be separated from the greater strategic autonomy of the European Union and what it must do in the area of security. The central role of the United Nations is particularly important in this respect. Within that NATO is important to us as a collective security organisation, also given the instability around our continent. I think it is important for the US Secretary of State to be there. I haven't heard. I'm gonna go over there tonight and we'll check it out in the morning. I'll check it out. I would be happy if he were there, but every foreign minister makes his own reflections on his agenda.
ParlaMint-NL_2017-03-21-eerstekamer-6.u33	Mr Van Apeldoorn has another question before I close the debate.
ParlaMint-NL_2017-03-21-eerstekamer-6.u34	I have one final question about a possible further extension of NATO. The Minister says that Montenegro has expressed the wish to become a member and that we cannot simply ignore it. I'd like to nuance that a little bit. Montenegro has been more or less invited by NATO to do so. That is what has been sent and that prospect has been set. Other countries do not have that prospect. Ukraine, for example, has also expressed this wish. I therefore repeat my question as to whether this is also the case for Ukraine. Or is there the argument that it is important what Russia thinks about it? Although the Minister states that NATO is not directed against Russia and does not see Russia as the enemy, Russia has seen enlargements in the past as an act of aggression. Then the question remains whether this can play a role in the considerations of the Minister or of this cabinet or not, for example with regard to the further expansion of NATO.
ParlaMint-NL_2017-03-21-eerstekamer-6.u35	Mr Van Apeldoorn confuses a lot of things, as if I thought Moscow had a droit de respect. He thought it was wrong that I blamed him. That certainly doesn't apply to me. That is not a consideration for me. Montenegro is also a specific situation, because we have an EAP programme with it and it was hoped that the country had been in that programme in recent years. Now the conclusion of that process is taking place. That is not at all the case with Ukraine. I said just now in my first term, and I also believe in my second, that I do not think it is logical at the moment for other countries to join NATO.
ParlaMint-NL_2017-03-21-eerstekamer-6.u36	I'm here to deal with the bill. Does one of the Members wish to vote on the bill? That is not the case. The bill is passed without a vote.
ParlaMint-NL_2017-03-21-eerstekamer-6.u37	Mr. Chairman. I assumed that your second question would be whether one of the Members would like to make a note of this bill. If you don't ask that question...
ParlaMint-NL_2017-03-21-eerstekamer-6.u38	That's a question I'm gonna ask you. Piano piano! Piano piano piano I had asked if any of the Members would like to vote on the legislative proposal. That is not the case. Then I said that the bill was accepted. And my next question is whether anyone wants a note, and I understand that the fraction of the SP asks for a note. Didn't I see that right, Mr. Van Apeldoorn?
ParlaMint-NL_2017-03-21-eerstekamer-6.u39	Oh, yeah.
ParlaMint-NL_2017-03-21-eerstekamer-6.u40	In accordance with Rule 121 of the Rules of Procedure, the members of the SP Group present shall be deemed unable to comply with the bill.
