ParlaMint-NL_2017-07-05-tweedekamer-5.u1	I give the floor to the Minister of Finance.
ParlaMint-NL_2017-07-05-tweedekamer-5.u82	I never talk about resigning until I resign.
ParlaMint-NL_2017-07-05-tweedekamer-5.u83	Then I conclude that this Minister of Finance makes his own assessment and does not join the Minister for Social Affairs.
ParlaMint-NL_2017-07-05-tweedekamer-5.u84	You can do that, but that doesn't mean anything to me either. I am also a member of a group. My political leader will make his political assessment with the group, should that situation arise. I'm not speculating on my resignation until I'm gone.
ParlaMint-NL_2017-07-05-tweedekamer-5.u85	This was not about the group. The group can always table a motion of censure, and the Member of Parliament, Mr Dijsselbloem, can certainly table a motion of censure against Minister Dijsselbloem. This can be done in the Dutch situation.
ParlaMint-NL_2017-07-05-tweedekamer-5.u86	That's right!
ParlaMint-NL_2017-07-05-tweedekamer-5.u87	I didn't think such absurdities would happen.
ParlaMint-NL_2017-07-05-tweedekamer-5.u88	Where do you want to go?
ParlaMint-NL_2017-07-05-tweedekamer-5.u89	To the simple question... There are PvdA people everywhere, where I look. What does Minister Asscher mean when he says: I withdraw the PvdA executives from the cabinet if nothing happens to the salaries in primary education? Is that a PvdA or cabinet decision or do we see what happens?
ParlaMint-NL_2017-07-05-tweedekamer-5.u90	That does not seem to me to be a cabinet decision, if it is to occur. It's pretty simple. As long as the Labour Party has to take responsibility for the budget, it will have to want and be able to bear that responsibility. This is, of course, accompanied by political wishes, which must be reflected in the budget. I have noted two of them, in which I recognise myself very well: a balanced purchasing power picture and the priority for primary education salaries. That's clear. I call on Mr Omtzigt and his colleagues: hurry up, hurry up, the country is waiting for you, so that you can make the budget yourself. That would be a great relief to me, too.
ParlaMint-NL_2017-07-05-tweedekamer-5.u91	I understand the Minister of Finance's answer very well. I also heard him on the radio last Friday. There he explained that it is quite logical that the signature of the Labour Party will not come under a new budget if this is not settled, because it happens every year. That's where he said it very clearly. So the moment that it doesn't work out to do something about teachers' salaries in primary school, the signature doesn't go under.
ParlaMint-NL_2017-07-05-tweedekamer-5.u92	I would really recommend to the SP and wish her a chance to join a coalition. As a coalition party, the SP will never agree to a budget that it does not feel politically at home with, for which it does not want to bear the responsibility. Isn't it every year? You don't think we've presented budgets over the past few years that we as PvdA didn't support? If that had been the case, we would have gotten out years ago. That was not the case. We'll solve the case.
ParlaMint-NL_2017-07-05-tweedekamer-5.u93	That may explain a little why the election results have been the same as they have been. Especially in the area of care, there have been rather painful cases.
ParlaMint-NL_2017-07-05-tweedekamer-5.u94	But I didn't think the SP had a brilliant election result either. She has indeed promised everything that could be promised, for example in the field of health care.
ParlaMint-NL_2017-07-05-tweedekamer-5.u95	I thought the campaign was over.
ParlaMint-NL_2017-07-05-tweedekamer-5.u96	That's what I thought.
ParlaMint-NL_2017-07-05-tweedekamer-5.u97	I think it is very kind that the Minister of Finance wishes us to be in the government once. We very much hope so.
ParlaMint-NL_2017-07-05-tweedekamer-5.u98	Absolutely, together too.
ParlaMint-NL_2017-07-05-tweedekamer-5.u99	Perhaps one day we will have fruitful cooperation between our parties in the opposition. Maybe there won't be a government with the VVD at all. It's all still possible! But I was talking about the ruling of the Deputy Prime Minister of the Labour Party, who said that our signature is not going to go under. That is also what Mr Omtzigt's question was about. You are avoiding the question here a little bit; I would like to give you all a little bit of credit, but you were very clear on the radio. You just said that that is our commitment and if it doesn't get in, we won't agree. So the signature of the PvdA doesn't come under if it's not settled.
ParlaMint-NL_2017-07-05-tweedekamer-5.u100	I am so surprised that Mrs Leijten is surprised that this is how it works. I said on the radio that the wishes put forward by the Deputy Prime Minister and the leader of the Labour Party are perfectly legitimate. If you're in the coalition, you're responsible. I hope, once again, that it does not happen, but if we have to present the budget on Princess Day, I want to be able to support it. Then you can say, "You can't do anything anymore." Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, So we're gonna make sure there's a net purchasing power image in it. So we are going to ensure that a number of political priorities, which are urgent in the government's opinion, are included in that budget. Yeah, that's right.
ParlaMint-NL_2017-07-05-tweedekamer-5.u101	Finally, Mrs Leijten.
ParlaMint-NL_2017-07-05-tweedekamer-5.u102	I thought it was so clear on the radio.
ParlaMint-NL_2017-07-05-tweedekamer-5.u103	Thank you.
ParlaMint-NL_2017-07-05-tweedekamer-5.u104	I also found it so clear to explain: of course we still have a mission, if we take responsibility for this. That mission is: the salaries of the primary school teachers, of the masters and the teachers who are on strike. But then the question here was, "Do you or do you not sign?" And then you're kind of avoiding the answer. It can simply follow a yes or a no.
ParlaMint-NL_2017-07-05-tweedekamer-5.u105	I'm going to explain it to Mrs Leijten again. The positive approach is as follows: When you present a budget, make sure you can back it up. If we cannot support it, for example because there is no provision for salaries in the P.A., then we will not be able to contribute to the presentation of the budget. It's like that every year. That is why I have said that I believe that putting your demands on the table is absolutely legitimate in the next year's budget. Of course, if all those demands, those wishes are wiped off the table because they could not be, you cannot expect the Labour Party to bear its responsibility. It's as simple as that.
ParlaMint-NL_2017-07-05-tweedekamer-5.u106	Please continue.
ParlaMint-NL_2017-07-05-tweedekamer-5.u107	Mrs Leijten still thinks it is not clear, Mr President.
ParlaMint-NL_2017-07-05-tweedekamer-5.u108	You must not respond to Mrs Leijten.
ParlaMint-NL_2017-07-05-tweedekamer-5.u109	Oh, I can't respond. Okay, that's how it goes every year. We'll see. We'll finish the budget in August. I have talked about culture and the 10 million and about whether it is a task or a cut. With that, Education is ready and I'm going to V and J. There have been critical questions about this. This is also logical given the problems we have had in recent years. Mr Omtzigt has asked whether we can monitor the effectiveness of the national police or whether the law on this issue should be amended. I understand his question that although the budget, the management plan and the annual report of the national police are sent to the Chamber at the same time as the budget and the annual report of V and J, the Chamber cannot amend it directly. I see that's not his point.
ParlaMint-NL_2017-07-05-tweedekamer-5.u110	Are you done with this part?
ParlaMint-NL_2017-07-05-tweedekamer-5.u111	I need some explanation from Mr Omtzigt on his point about the police.
ParlaMint-NL_2017-07-05-tweedekamer-5.u112	The point is not that we cannot amend or amend the annual plan, but that is the question of ex post control. The President of the General Court has indicated that, for example, the army and the Public Prosecutor's Office can check all posts for efficiency and legality, but cannot carry out the same checks with the police. My question is whether it would not be appropriate to ensure that the General Court can see in the same way whether the operation of the police has been carried out in accordance with plan, just as he can with the army.
ParlaMint-NL_2017-07-05-tweedekamer-5.u113	My short answer to that is yes. I agree with Mr Omtzigt, but my picture is different from that of the President of the Court of Auditors. I shall come back to that in the second term. My view is that the Court of Auditors can fully monitor the effectiveness and legality of the use of national police forces. If it isn't, we need to take a good look at it. I'm pretty simple about that. I'd like to return to that in second term. Mr Nijboer also wondered whether things were going well with the V and J budgets. One-time power is being skimmed at the agencies. Money has been added to the V and J budget several times in recent years: 250 million and another 450 million in 2017. Those extra resources went to the police to a large extent. We are also doing a lot about the systematic, budgetary management and control of the V and J budgets. Improvements are being made in all these areas. Finance and V and J have looked together at the implementation organisations and their capabilities. In our view, it is simply possible to take away part of these own assets once and for all, without taking irresponsible risks. I think it is right that, if money is being raised and there are financial problems at the same time, we are looking very critically at this. Mr Omtzigt asked another question about ICT projects in the police force and said that the General Court of Auditors was calling for this. The General Court notes that national police have made progress in the field of ICT, in particular in the area of steering and control. It has been carefully chosen to invest first in improving ICT infrastructure in order to achieve the stability and reliability of systems, but the Court explicitly calls for attention to be paid to the renewal of information provision in the national police. That indication, that opinion of the Court of Auditors, will be taken by the Minister of V and J. He will continue this renewal with full force. Mrs Leijten has drawn attention to the workload and capacity of the police. She has also tabled an amendment on this subject. I shall deal with this in the discussion of the amendments. The same applies to educational salaries. This point is also contained in an amendment tabled by Mrs Leijten. Then a number of topics related to Social Affairs, such as the cost sharing standard. In the context of 'nothing left behind' or 'that term has often been dropped 'cleaning up corpses in the closet', we have indeed cleared up a number of things which proved no longer viable, let me put it this way. One was the cost-sharing standard. We cleaned it up. Now Mr Snels asks whether that should also apply to the shortening of the Wajong by 2018. The Wajongers with a working capacity go back from 75% legal minimum wage to 70% and at the same time these people need maximum, optimal work support, so that they can earn 100% minimum wage again. That has to do with the commitment to the Participation Act. Business is doing well in this area and the public authorities need to do better. Mr Snels also asked a question about the decentralisation of the social domain: are not municipalities now facing financial problems as a result of decentralisation? I don't have that image. There are problems, but there are also substantial surpluses. For the first time in years, the municipalities have a surplus in their budget. There are also demonstrable surpluses in many municipalities on the Wmo, for example. The idea is precisely that municipalities have much more responsibility and also have the opportunity to move within these large budgets and to solve their problems themselves. It is not so much that one cannot really say that the decentralisation has led to financial problems in the municipalities. That's pertinently not true. Then we come to the big subject of long-term care. Mr Omtzigt has asked a little more about the various collaborators within the BKZ. He asked: can the Minister at the Millions Note provide insight into all the coincidences and disappointments in the care since the last Millions Note? All the developments that are taking place at that time will be included in the Millions Note. This also applies to the budgetary implications of the quality framework. They are also included in the budget that appears on Princess Day. In the vertical explanation we will then include all the coincidences and setbacks. I can promise. In order to clarify the sector in good time for the coming year, yesterday Secretary of State Van Rijn informed the sector, and I also thought of the Chamber written in response to questions, to make another 335 million structurally available to the nursing home sector in excess of the 100 million. This follows from the new quality framework. A lot of questions have been asked about that. How did it come about? Should the Minister of Finance have known that? This simply follows directly from a number of laws applicable to the sector. Those laws were also discussed and subsequently adopted in this Chamber, Mrs Leijten. I assume the Chamber was in her right mind when she did. The Wkkgz is very important in this; Mrs Leijten knows this better than I do. The sector may establish quality frameworks under the authority of the Healthcare Institute. If the sector doesn't, the Healthcare Institute can do it itself. The Healthcare Institute can also modify or reject the framework, but one can also take over and register it. That last one happened, it's registered. At that time it was already known that it would cost a considerable amount. The CPB then looked at it. One has looked at the question of what it means when you introduce it efficiently. How much does it cost to grant these funds to all institutions, regardless of how they are run? What kind of amount are you talking about? The last point is that we need an additional 2.1 billion, structuralally, to enable this quality framework for nursing homes. The NZa is still among them, because it sets the rates on the basis of the new framework registered by the Zorginstituut (Zorginstituut). The CPB then looks at the type of amounts that come out of that macro. That is indeed legally binding. One of you asked why this was not immediately included in the Spring Note. When we drew up the Spring Note, we were working out things. We still are. For example, we want to know exactly what the total amount is going to be. The last and best estimate so far is 2.1 billion. At what rate can this be implemented? After all, the money must also be absorbed. People need to be recruited and trained. It just takes time. It's a big impulse. At that time, we did not have enough information to incorporate that in the Spring Note other than that we are now taking another step. That's the 100 million structural. So we already know that we are stepping up a further 335 million in the budget on Princess Day. As it looks now, we can cover that within the BKZ, within the framework of care. This does not, of course, apply to the whole series of long-term years. A new cabinet will really have to decide how it wants to cover that. It will have to decide whether to simply extend the BKZ, the care framework, so that it can be financed there with new money, whether to take measures, whether to make savings elsewhere, etc. Those are all kinds of possible ways to cover that rising amount. I think this is no longer up to us, but when we present the 2018 budget, we will also show how it is covered for 2018.
ParlaMint-NL_2017-07-05-tweedekamer-5.u114	The documents accompanying the Spring Note still contain a surplus of 1.3% of the budget in 2021. On the basis of the new also legal reality around the care, I have two questions. I think they also apply to education, although this is another case. So if you were to recreate that table, in 2021, the surplus would not be something like 1.3%, but rather something like 1% of GDP, taking into account the legally mandatory 2.1 billion? So I understand the Minister that the Central Planning Office has already committed this both in terms of healthcare expenditure and in terms of education, and that in that sense it is simply counting on a surplus that is three tenths lower than the Minister's assumption in the Spring Note. Is that right?
ParlaMint-NL_2017-07-05-tweedekamer-5.u115	You need to amend something. This will lose 0.2 percentage points compared to the Spring Paper for 2021 and not 0.3. We're going from 1.3% to 1.1% surplus. Before this number settles in your head again and you ask on Prince's Day, "Where has my 1.1 gone?', However, I would like to add that on Princess Day we have a new draft budget, new forecasts of growth and new estimates of budgetary figures. Then it could be different. It saves 0.2 to make it...
ParlaMint-NL_2017-07-05-tweedekamer-5.u116	It saves 0.2 on the care, but I have heard the Minister say earlier that half a billion in education is also booked differently by the CPB. With those three together, I came to 0.3 percentage points and 1 percentage point. But I understand it now: in the CPB method of calculation, a total of 2.1 plus 467 million is transferred, which together is about 2.5 billion dollars lower in surplus than the Minister does in the Spring Note.
ParlaMint-NL_2017-07-05-tweedekamer-5.u117	No, you can't say that again because the CPB itself has decided and hasn't yet decided on how to book certain series such as the cost of the quality framework. To answer Mr Harbers' question immediately: that depends on the way in which you are going to introduce it. This quality framework is now in place. So you have to make sure all the nursing homes meet that. You can do this in an efficient way, namely by focusing on the institutions that are lagging behind. They're gonna have to boost that. I don't go into the technique of how to do that. We call that hard benchmarking. So it is said: you have to comply and on that basis we are going to finance. Then you're going to come out at 2.1. If you put the money in this efficient, focused way, you get to 2.1. If you just say "independent of how you stand and how you do it," it costs a lot more. The cabinet of the VWS is leading the way in which it is now working on a way to introduce this quality framework and translate it into tariffs and a tariff structure so that the money gets to the right places. Then we hope that the CPB will soon write 2.1 in the Cordelia that appears on Prince's Day. That's not certain yet.
ParlaMint-NL_2017-07-05-tweedekamer-5.u118	In my words, the 1.2 billion is the minimum, plus the 467 million. And that could be even more, depending on how the CPB scores the government's measures. In any case, I see that a very substantial amount, namely 2 billion and possibly even more, plus the nearly 500 million in education, will not be included in the multiannual picture of the draft budget, even though they were still in the spring note.
ParlaMint-NL_2017-07-05-tweedekamer-5.u119	I hesitate to go along with Mr Van Weyenberg's reasoning. He now identifies two subjects and then concludes that there are certain figures in the draftsman's report. It's just not gonna work that way. The draft resolution also contains a new growth estimate, which can be better or worse. Tax revenues may be higher or lower. The balance can therefore improve considerably, but it may also be disappointing.
ParlaMint-NL_2017-07-05-tweedekamer-5.u120	My question is specifically about this year, the Spring Note and the 100 million. I do not know if the Minister is going to go into that, but the specific question was what 100 million in quality impulses in nursing care would bring.
ParlaMint-NL_2017-07-05-tweedekamer-5.u121	It's very simple for us. We have chosen a different approach. We have said: we are now in the middle of the year; how much money can we make meaningfully available that this year can still be spent, for example, in the sense of more hands on the bed, in the sense of more caregivers, or in the sense of supporters engaged in day-to-day guidance and day-to-day activities for the residents of nursing homes? In six months at the moment, on such short notice, what can you make sense to spend extra money on? On top of the one-off 100 million for this year, I said: another 100 million on top of that. That money will have to go to all the nursing homes for the next six months. They will then have to recruit people; this must be spent. You say that it should have been much more and much faster, but that is virtually impossible. So that's a sympathetic but theoretical thought.
ParlaMint-NL_2017-07-05-tweedekamer-5.u122	My analysis began with the expenditure framework. The care is increased, but the expenses for care are already stuck with the Millions Note. We know that wages and prices have risen. I made a calculation of that myself on the back of a beer skin. That 100 million is about enough to compensate for the wage and price increases in nursing care. This means, in my opinion, that this cabinet cannot give an extra 100 million in 2017 to improve the quality of nursing home care: no extra hands on the bed, but a slightly better payment of the nurses.
ParlaMint-NL_2017-07-05-tweedekamer-5.u123	I propose that I return to that in the second term, because now I understand the question very well. Mr Snels says that this money has already gone away from wages. We shall return to that in the second term. This has a great deal to do with the time when the wage and price adjustment is fixed and paid out. We will come back to that in the second term. We talked about the balance. Mr Snels also mentioned the question of terms of trade. We will also address this point in the second term. We aim to shape it so that we can introduce the quality framework by 2.1 billion. That is what we are going to include in the budget. In any case, we are going to provide cover for the year 2018, as we have provided for 2017 in all areas of coverage. For the years after, it is up to a new cabinet how it wants to free up the funds for this. In the run-up to the summer we will therefore put a lot of energy into the further design of how this framework can be achieved. Questions have also been asked about the Tax Office. Mr Omtzigt said that the tax administration's budget will fall by 600 million in the coming years. I believe that we have also had this discussion in the context of the debate on responsibility. I said at the time that this further reduction in the budget was invested in measures which, of course, are linked to the Investment Agenda. The Investment Agenda is currently being reviewed. The Chamber will be informed of this and that is the right time to ask this question again. With the new recalibrated Investment Agenda, it is possible to achieve these goals in the coming years.
ParlaMint-NL_2017-07-05-tweedekamer-5.u124	I'm hearing some kind of announcement here: you're getting a review. It does come in the summer. The Minister adds that we will see in the review that more needs to be spent on the Tax Administration. Now that the savings in the tax administration are 600 million over the next four years, how likely is it that there will be a mega-climate around Prinsjesdag or after that on the now predicted expenditure for the tax administration?
ParlaMint-NL_2017-07-05-tweedekamer-5.u125	I always take Mr Omtzig seriously, but now he's putting things in my mouth. I said that this amount of 600 million was invested in measures, but that these measures were also linked to the Investment Agenda. That Investment Agenda is now being reviewed. Do we have the good things on track now, are they realistic assumptions, is it feasible, is it well-founded? On the basis of this revised Investment Agenda, we must once again ask the question: are all expectations, including financial expectations, still feasible? Mr Omtzigt immediately concludes that there is a major setback. I didn't say that in all seriousness.
ParlaMint-NL_2017-07-05-tweedekamer-5.u126	What does the Minister expect to happen? That recalibrate has been going on for over six months. The Court asked for it, because after the redundancy scheme not everything went according to plan. Should we take into account a serious setback, or should we just sit back and wait for something to come?
ParlaMint-NL_2017-07-05-tweedekamer-5.u127	The Secretary of State said, and I agreed with him, that now, given the history, quality goes for time. We now really want a well-founded investment agenda built on solid ground, including the financial effects, including compliance with the 600 million open-ended mandate. Of course, my starting point as Minister of Finance is not: oh, it may be disappointing, it may be less. These financial frameworks also apply to the Tax Administration. However, the order must be: a good qualitative underpinning of the Investment Agenda. We can't afford chunks.
ParlaMint-NL_2017-07-05-tweedekamer-5.u128	The first few hundred million will go off in 2018. I can expect whether the picture that is now being presented in the Spring Paper is realistic? Is it realistic to think that we are going back from 3.1 billion to about 2.9 billion, or is that not realistic? Or do we also have to wait for the re-examination.
ParlaMint-NL_2017-07-05-tweedekamer-5.u129	I'm giving the same answer now for the third time. That task and that image for the Tax Administration are realistic because there are measures behind it. These measures are linked to the Investment Agenda. It's being recalibrated right now. How this will interact with each other will be seen by the Chamber on the basis of the revised Investment Agenda. That is why I say that this is the time to ask the question again in every detail: with this new Investment Agenda, can you say that we are all confident that we will continue to fill in that outstanding task for the Tax Administration? As Minister of Finance, my starting point in this kind of discussion is, of course,: yes, it has to be. Whether these two, the Investment Agenda and the targets, stay together and be realistic together, we will see as soon as those plans are in place. It doesn't make much sense to speculate now and ask if I'm expecting a setback. In any case, this is not how we get financial discipline into it. Mr Omtzigt asked a question about the tax on motor vehicles. The court in Arnhem/Leeuwarden appealed against the default fines imposed, the non-payment of vehicle tax due in good time. The Court has stated that there is a discrepancy between the fine on default and the tax initially imposed on non-temporary payments. That means we have to change the policy. That leads to a setback of 60 million. We have a windfall elsewhere in fines and orders of 15 million. So, on balance, there's a 45 million setback. In view of the many other problems at the Tax Office, we have seen this as an urgent matter and taken our loss. Mr President, I am through. I shall then come to the amendments, but perhaps I should not go into them until the second time.
ParlaMint-NL_2017-07-05-tweedekamer-5.u130	There's still one question left.
ParlaMint-NL_2017-07-05-tweedekamer-5.u131	Two questions have been asked about the tax fines. The first question, concerning the fines on the Marb, has been answered clearly. The second question was about the policy of notorious defaulters. A ruling has also been made on this issue, namely by the court in Den Bosch. That has actually said that the policy is not in line with the interpretation of that policy in the Chamber. If you miss a term once or twice, you get a heavy fine on every term you miss. It's getting huge, and it's causing huge problems. I would have liked to have had a reaction to that, but I assume it can also be given in second term.
ParlaMint-NL_2017-07-05-tweedekamer-5.u132	If that's okay in second term, I'd love to.
ParlaMint-NL_2017-07-05-tweedekamer-5.u133	I had asked the Minister what he thinks of the fact that you will lose exactly €1,220 if you are above the income limit for the elderly discount. Are these measures really being taken in the budget preparations? Imagine if someone gets a little indexing, even if it's only €2. Then that person goes backwards for $1,220. All tax discounts have a sliding scale. This is the only one, with the elderly, that does not apply. Can the Minister answer that?
ParlaMint-NL_2017-07-05-tweedekamer-5.u134	Mr Van Rooijen is right. Different discounts, surcharges and so on have different phasing-out routes. Sometimes it goes very steep and you lose everything at once. Sometimes it's very slow. I really think this is for a new cabinet. He shouldn't blame me. It could be that the formation is talking about a new or I shall not be too ambitious about the tax system, about adjustments to it or about adjustments to the surcharge system or to tax reductions. I think that's where it belongs. I don't think the outgoing cabinet is going to address this issue anymore.
ParlaMint-NL_2017-07-05-tweedekamer-5.u135	I think that this point is so acute that the Minister cannot shift it to another cabinet or system. That could take years. We're getting a hell of a lot of letters about this. People do not understand this: if they have an income that is €2 above that limit, they lose €1,220. You can solve that by making a deductible gift of €3. Then it doesn't bother you. If you are above it, you can even get an extra €1,200 by a larger deductible gift. That's crazy.
ParlaMint-NL_2017-07-05-tweedekamer-5.u136	I think we should agree that we are putting this on the agenda of urgent issues. There's a lot of them, and they're all yelling for a new cabinet.
ParlaMint-NL_2017-07-05-tweedekamer-5.u137	I had asked a question about the state of play of any consultations with the General Court. Maybe I missed the answer, but I hadn't heard. It's okay in second term, but I thought I'd call it one more time.
ParlaMint-NL_2017-07-05-tweedekamer-5.u138	There's no news on that, and that's good news. We have agreed with the Court of Auditors and also with the National Ombudsman that we will look at the relationship between tasks and resources and that we will object to them. I'll check in a moment to see if there are any new developments. We have agreed in the best relations and atmosphere that we should just look at that. Mr Van Weyenberg asked whether this could be done in time for Princess Day so that the House could possibly do something with it in the budget. I have promised that we will do our utmost to do this. That is still the state of play.
ParlaMint-NL_2017-07-05-tweedekamer-5.u139	Now for the amendments.
ParlaMint-NL_2017-07-05-tweedekamer-5.u140	I shall deal with the amendments and begin with the amendment to item No. 3 by Van Rooijen. This amendment concerns a substantial increase in the AOW. In general, I do not think that is appropriate for a outgoing cabinet. I did say that, of course, during the August decision-making process, we will also look explicitly at the purchasing power of older people in view of our agreement in the government agreement. I must therefore advise against this amendment. Then there is a whole stack of amendments from the SP, which add up to more than EUR 800 million. These are all additional ad hoc expenditures to be borne by the balance. I can't agree with that. I'd like to dissuade them all. That's the short version I learned from the Prime Minister. We can't agree with the cover, and that's why I have to discourage them.
ParlaMint-NL_2017-07-05-tweedekamer-5.u141	For example, the Minister procedurally dismisses teachers, masters and teachers in primary education, as well as Q-fever patients, people who work in unsafe conditions and who cannot get through the Inspection SZW, the investments in finding work for people who need it by aldermen, culture and closing the police stations. That way, he'll take it all off at once. Why is this being dealt with in such a procedural manner?
ParlaMint-NL_2017-07-05-tweedekamer-5.u142	There are a number of issues that really had to be dealt with in the short term. Let me give you an example of the Marechaussee at Schiphol, where there are real acute problems. We have made additional resources available for this. Otherwise, we will face up to all the requirements in the area of expenditure and charges again in August if we have to make the budget in August, but I am not going to charge the balance for everything. It's a melee of subjects. You could add another ten. There are many societal needs, as always. You've unpacked six...
ParlaMint-NL_2017-07-05-tweedekamer-5.u143	I'm gonna ask the Minister to walk all six of them over to tell me why it can't be done. If the cabinet signals urgency somewhere, it can use additional resources, but if the Chamber signals urgency somewhere, it obviously cannot. Of course, that's a little crazy, because we just have budgetary rights.
ParlaMint-NL_2017-07-05-tweedekamer-5.u144	Sure. It's possible.
ParlaMint-NL_2017-07-05-tweedekamer-5.u145	Then I think the Minister should go into the substance of why he thinks that it is not necessary, for example, to give Q support to the Q-fever patients already the assurance that we can continue in 2018.
ParlaMint-NL_2017-07-05-tweedekamer-5.u146	Mrs Leijten is quite right that the Chamber has budgetary law. So the Chamber can amend. However, when it comes to matters that, for example, end up at the end of this year and money for next year, we do not need to deal with them now. Then it simply belongs to the budget treatments from Prinsjesdag and the General Reviews. At present a number of additional expenses are charged to the balance, is not the choice of the cabinet. It's your decision. The Chamber decides. These are amendments that are put to the vote, but you always ask the cabinet for voting advice. The opinion was not to vote for it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u147	So the voting opinion on these proposals could indeed have been other ones, because there are more needs in society.... is simply a categorical no, because the cabinet does not see the urgency. When it comes to culture and Q fever, I said in my explanatory statement that if there is no certainty about it now, people will just be saying goodbye this summer. If there's one thing that annoys me so much about the rich budget system, it's that if you don't make this kind of decision before the summer, you're gonna have to worry about building up and winding down organizations every time. The Minister will recognize that, because this has happened more often in the past. Is there any other way that we can already clarify for both Q-support and the cultural institutions so that they do not have to say goodbye to good people this summer, such as lawyers and actors, thereby compromising their continuity?
ParlaMint-NL_2017-07-05-tweedekamer-5.u148	Another form would be to call on the Cabinet to consider it in the August decision-making process. That is not a voter's opinion to be in favour of it, but you asked what other way it could be done. At the moment, I do not think it is appropriate to amend a budget for 2018 which has not even been presented. This is the spring note. It is about the implementation of the current budget, of 2017. The coverage, simply at the expense of the balance, is extremely vulnerable. I do not want to say that this is the end of the story, but it is very easy for the Chamber to simply point to the surplus as cover in future. One could be the overall balancing of different priorities - purchasing power; education could also be one - which would not be achieved. Because we're gonna show it to you on Prince's Day. Then we present the total of the budget and weigh everything. Then you can give your judgment.
ParlaMint-NL_2017-07-05-tweedekamer-5.u149	Finally, Mrs Leijten, you also have a second term.
ParlaMint-NL_2017-07-05-tweedekamer-5.u150	I just find it very sad that the cabinet says: we set the priorities and the Chamber picks it out, he asks for it at Princess Day. I asked about certain institutions. We are talking about nothing in the state budget, but we are always referred to: no, we have to do this by amendment; no, we have to do that in another debate; no, we have to do that by motion. So that just doesn't make the cabinet listen to what it needs. Then I would prefer the Minister here to say 'Q-support we just don't think' or 'we don't think those cultural institutions are important' rather than toss it on the system every time. It's a bit of a political hide-and-seek game, isn't it?
ParlaMint-NL_2017-07-05-tweedekamer-5.u151	This is a classic Leijtenbetoog, in the sense that accusations are thrown to the cabinet that are out of place. I didn't say you'd figure it out. Nor did I say that we do decide what the priorities are. In the end, that's up to the Chamber. The Chamber decides on the budgets. It is the right of the Court to propose amendments to them and they are simply put to the vote. If you ask me for an opinion, I would say that I think that a great deal of this should be considered either at Princess Day or in the case of amendment within a budget. For example, the VWS budget is a very large budget. You could also make an amendment to find EUR 2 million inside. You do not choose; you choose to charge it all to the balance. I wouldn't advise you. I come to the Van Rooijen amendment (34730-XV, No. 5). That is an amendment to the SZW budget. I don't know if I'm supposed to respond to that, but I almost think I am. This amendment aims to add EUR 18 million to the funding budget for training vouchers. This scheme will first be evaluated, which will better reflect the impact on the labour market position of applicants. The amendment lacks cover. That's why I don't recommend it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u152	Mr Van Rooijen is already standing by the interrupting microphone.
ParlaMint-NL_2017-07-05-tweedekamer-5.u153	The Minister has also understood that the pot is already empty. The scheme is so successful, important and essential for young and old, that I urge the Minister to consider whether he can give a positive opinion on it. I would just like to refer to the discussion he had with Mrs Leijten. This is perhaps the exception to the golden rule: that pot is empty because it is finally something that works, unlike, for example, the large job plans to tackle older people's unemployment. They cost hundreds of millions and didn't get anything.
ParlaMint-NL_2017-07-05-tweedekamer-5.u154	I do not know whether Mr Van Rooijen also had this debate with the SZW leaders. If he has not had the opportunity, I can ask them to respond in writing to this amendment. If he wants to have a substantive debate with me on how good this instrument is, I am not really the right person to do so. Then perhaps it would be better if the govern ment in question were to react to this in writing before tomorrow's votes.
ParlaMint-NL_2017-07-05-tweedekamer-5.u155	Would you care to share this with your colleague from the same club?
ParlaMint-NL_2017-07-05-tweedekamer-5.u156	You don't have to add that "of the same club," because even if it had been someone from another club, I would have...
ParlaMint-NL_2017-07-05-tweedekamer-5.u157	No, I mean from the cabinet.
ParlaMint-NL_2017-07-05-tweedekamer-5.u158	Ah, from that club! The other amendments are all from the SP and are all to be borne by the balance. That's why I don't recommend it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u159	I see that there is another amendment tabled by Mrs Kuik and Mr Van Nispen. That is Amendment No 34730-VI, No. 4.
ParlaMint-NL_2017-07-05-tweedekamer-5.u160	This amendment, too, does not provide adequate coverage. I would also advise against that amendment for that reason. Consistent!
ParlaMint-NL_2017-07-05-tweedekamer-5.u161	Thank you. Let's move on to the second term of office. We can start with that right away. I call Mr Tony van Dijck.
