ParlaMint-NL_2017-11-01-tweedekamer-3.u1	The Chamber is now speaking, starting with Mr Wilders on behalf of the PVV.
ParlaMint-NL_2017-11-01-tweedekamer-3.u79	I love that about Geert Wilders. I like what is behind his pleas about the concerns he has about society, for example when he talks about sizzling on the streets or how women are being treated. That has everything to do with decency. I think that is so good because Mr Wilders sets an example in this respect, in how he addresses his colleagues and how he tries to keep it decent here in Parliament. I asked him a question, but I can't get an answer. I asked him what he's doing about all these problems people are having. They are worried about groceries that are becoming more expensive. They can't find a house. What happens to the care? What are you gonna do about it? I hear you talking for 45 minutes, but your biggest plea is constantly about Islam. I ask you now: what are your answers for these people? What are you gonna do about it? I challenge you: how?
ParlaMint-NL_2017-11-01-tweedekamer-3.u80	GroenLinks' colleague is really making a complete fool of himself. You can't actually be much more ridiculous than you are right now. I have just told you that I have spoken for six minutes and that the part of my text on the social economy is still coming. I do that at my own time and in my own way. If you hadn't interrupted me, I'd have gone through it by now. You can do all that, but I'm going to continue with my lines now.
ParlaMint-NL_2017-11-01-tweedekamer-3.u81	You can come back to it later.
ParlaMint-NL_2017-11-01-tweedekamer-3.u82	Mr President, I think you are talking about who is going to continue with the text at what point. But, Mr Wilders, the way in which you are debating here again, how you are against the new cabinet, the way in which you are attacking directors on their individuals, you are even putting photos of family members on Twitter, which goes beyond any line of decency. When I ask you what specific things you are talking about when it comes to the major problems in this country, the socio-economic problems...
ParlaMint-NL_2017-11-01-tweedekamer-3.u83	That's the third time!
ParlaMint-NL_2017-11-01-tweedekamer-3.u84	...all you're gonna say is that it's still coming. The fact that you are waiting so long, the fact that you are not answering the question I am now asking, is significant.
ParlaMint-NL_2017-11-01-tweedekamer-3.u85	The fact that I'm waiting so long? I've been interrupted for an hour!
ParlaMint-NL_2017-11-01-tweedekamer-3.u86	And rightly so, Mr. Chairman. This is not a gray-turned record. This is much worse. What's happening here is much worse. The whole Chamber is concerned about the people who, for whatever reason, think about using force to hurt another person. Every member here in the Chamber tries to come up with solutions to prevent people from radicalising. What Mr Wilders is doing is ignoring anyone who was not born here and saying that he is a second-class citizen. People who are not born here, who stand in front of the classroom with soul and salvation, who work in this building, who are nurses, who apparently no longer count at once and are a danger to society. I do not have a question for Mr Wilders, I just have a comment for the whole of the Netherlands: fortunately, most parties here in the Chamber do not participate in this discrimination.
ParlaMint-NL_2017-11-01-tweedekamer-3.u87	Mr President, if anyone in the Netherlands is discriminated against, it is the Dutch! Then it's the Dutch. It is Mr Roemer's party, for all intents and purposes, who has always contributed to the open borders and brought it to the Netherlands. A former colleague of his, Mrs Gesthuizen, almost got herself arrested in front of a police station once again because she wanted to release a particular asylum seeker or something like that. Your party stands for more asylum, for more influx, and all that money we give to asylum, Mr Roemer, we cannot give to care. It can't be! So you're the one who needs to think this through, too.
ParlaMint-NL_2017-11-01-tweedekamer-3.u88	Madam President, my party stands for people.
ParlaMint-NL_2017-11-01-tweedekamer-3.u89	No.
ParlaMint-NL_2017-11-01-tweedekamer-3.u90	We judge people by what they do. We judge people by what they perform in society, not where they were born and what they look like. It is called discrimination and racism, and my party, with me first, will fight against discrimination and racism every day that we are here and you will fight against them all because they are born somewhere else or they look different than you.
ParlaMint-NL_2017-11-01-tweedekamer-3.u91	Mr President, this is complete nonsense again. We don't discriminate against anyone. We're not shaving anyone on the same page. I can see how it sounds, "everyone's on the same page," but we don't do that. We never did, not even with the rulers. We say: with a dual nationality you have the appearance of double loyalties and in the Dutch Parliament you really only need one passport. Once again, Madam President, Mr Roemer's party, the SP, has in recent years been partly responsible for the fact that we have had 250 000, or how many, asylum seekers here. You've only pleaded for more general pardon. It was caterpillar-never-satisfied when it came to bringing people here! And do you know what that means? I will come back to that later in my text: that those people got everything for free, Mr Roemer, because of you! They got free care. They didn't have to pay their own risk. They took precedence over rentals. And do you know at the expense of who? At the expense of that SP-thumb! And therefore, while the Labour Party of, what is it, 39 to 9 seats, you have won nothing and even lost! You didn't get any of that because you made the wrong choice. You have to look in the mirror! If you'll just carry on... Well, let it go.
ParlaMint-NL_2017-11-01-tweedekamer-3.u92	However, I would like to say a few words about the dual nationality of which you make a point. Let me get this straight. It is a matter of principle for you, and that is why you deal with the dual nationality of Mrs Ollongren, for example, Dutch-Swedish, in exactly the same way as at the time with the dual nationality of Mrs Veldhuijzen van Zanten, also Dutch and Swedish?
ParlaMint-NL_2017-11-01-tweedekamer-3.u93	I won't just ask them to turn in nationality. I shall now refer to the Chamber the statement that they do not belong in the cabinet.
ParlaMint-NL_2017-11-01-tweedekamer-3.u94	Soon, what's a very small difference in this. I don't know if the listener should hear that. You say: I'm not going to ask her to turn in her nationality, but I'm going to ask her to please not sit in the cabinet.
ParlaMint-NL_2017-11-01-tweedekamer-3.u95	Well, there she is. But I want her out.
ParlaMint-NL_2017-11-01-tweedekamer-3.u96	But then the whole story doesn't make sense that it's a matter of principle on which you always table motions of censure that it's never allowed?
ParlaMint-NL_2017-11-01-tweedekamer-3.u97	No, I'm gonna do that.
ParlaMint-NL_2017-11-01-tweedekamer-3.u98	No.
ParlaMint-NL_2017-11-01-tweedekamer-3.u99	Yes.
ParlaMint-NL_2017-11-01-tweedekamer-3.u100	A matter of principle is that you always have the same point of view.
ParlaMint-NL_2017-11-01-tweedekamer-3.u101	No, a matter of principle is that I do not think a person of dual nationality should be in a cabinet. And after four years, where I first asked other rulers, the measure is now full. I'm not going after five years... My views and those of the PVV are well known. No matter how long this cabinet sits, for all Cabinets afterwards you will be able to leave as far as we are concerned if you have a double nationality in the cabinet.
ParlaMint-NL_2017-11-01-tweedekamer-3.u102	Now I was there and I remember how that went. You did want to table a motion of censure, but you are not at all so principled. Because at that moment you were a very small man, you tolerated a cabinet. And in fact, at the time, I remember, you felt more annoying at the start of that cabinet than the principle of a motion of censure. That is the reason, the only reason and the honest reason why you did not then table a motion of censure. If you're a hero, you say, "What I did then, I'm doing now."
ParlaMint-NL_2017-11-01-tweedekamer-3.u103	No, I'm a hero thank you for that, but that's not the reason. We have said before, as I have just indicated to you, that we have asked for it to be done. We are now a number of years on, we are also working on an initiative proposal on this, which I hope to be able to submit quickly. That means at the moment, unlike years ago: if someone with a dual nationality is in the cabinet, it is gone.
ParlaMint-NL_2017-11-01-tweedekamer-3.u104	This is a completely different story from you five minutes ago...
ParlaMint-NL_2017-11-01-tweedekamer-3.u105	Exactly the same story.
ParlaMint-NL_2017-11-01-tweedekamer-3.u106	... held, when you had a big story about double loyalty, which is never possible in this country.
ParlaMint-NL_2017-11-01-tweedekamer-3.u107	No.
ParlaMint-NL_2017-11-01-tweedekamer-3.u108	And now all of a sudden you're saying, "Yeah, that's when it could be..."
ParlaMint-NL_2017-11-01-tweedekamer-3.u109	No, it couldn't have been then.
ParlaMint-NL_2017-11-01-tweedekamer-3.u110	...but it's so much later now...
ParlaMint-NL_2017-11-01-tweedekamer-3.u111	It couldn't have been then.
ParlaMint-NL_2017-11-01-tweedekamer-3.u112	Then you could, because you didn't table a motion of censure when the Minister didn't leave. So you're contradicting yourself. And the worst part is, I know why. Because that little man was so annoying at the time that the cabinet would get angry. That's Wilders.
ParlaMint-NL_2017-11-01-tweedekamer-3.u113	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
ParlaMint-NL_2017-11-01-tweedekamer-3.u114	I would like to give the floor to Mr Pechtold, because he would like to continue on this point. I've got another point to make.
ParlaMint-NL_2017-11-01-tweedekamer-3.u115	Oh? Mr. Pechtold.
ParlaMint-NL_2017-11-01-tweedekamer-3.u116	We are with Mr Wilders the historiography, now not from around 1850, but just from the past few years. Balkenende IV, Moroccan and a Turkish passport, those were two motions of mistrust. Rutte III a Swedish passport, which will be a motion of censure. But I have Mr Wilders' motion here at Rutte I. It simply says: "Is it really very sweet to ask the Secretary of State to give up her dual nationality?" Oh, goss.
ParlaMint-NL_2017-11-01-tweedekamer-3.u117	Sure. And we're past that phase now.
ParlaMint-NL_2017-11-01-tweedekamer-3.u118	Oh.
ParlaMint-NL_2017-11-01-tweedekamer-3.u119	Yeah, it's that simple. You can like it or not...
ParlaMint-NL_2017-11-01-tweedekamer-3.u120	Yes. Could it happen a bit like flip-flop-flip-flop to people who think: our leader, that's a man with vision and he blows straight on with his principles? Unless it's not a good time. But let's get serious. If we take everyone's measure, we can't have double nationality in official posts. Queen Maxima. Turn in your passport, yes or no?
ParlaMint-NL_2017-11-01-tweedekamer-3.u121	Yes, Mr President, I agreed before the debate with Mr Buma that he would do Queen Maxima and I would do the rest.
ParlaMint-NL_2017-11-01-tweedekamer-3.u122	Mr. Chairman.
ParlaMint-NL_2017-11-01-tweedekamer-3.u123	No, I'll give you a serious answer. I'm gonna give you a serious answer.
ParlaMint-NL_2017-11-01-tweedekamer-3.u124	This is about people.
ParlaMint-NL_2017-11-01-tweedekamer-3.u125	I refer to Mr Buma, who said earlier this year that he felt that Queen Maxima should not have Dutch nationality. And I will tell you that I would share that view when she would be head of state. We've been appointed here, we have a constitutional function. For the King, our King, I would have said the same thing, surely. For our queen who, not disrespectfully meant, has more of a ceremonial function, which is not head of state, which also has no constitutional function in it, that is not true, as far as I am concerned.
ParlaMint-NL_2017-11-01-tweedekamer-3.u126	This story also rages on all sides. With the previous queen I have never heard Mr Wilders speak of this, not in all his years here in this Parliament. He's been here for many years more than I've been here. If we look at state law, the current queen, while the Crown Princess is still a minor, let's avoid it, could become regents. It's official even possible that she'll be head of state. What I want to demonstrate is that the royal family cannot defend itself, while ministers and MPs can defend themselves. We will, and we will continue to repeat it. But there are a lot of people in this country who time and time again don't experience that gray album of yours as a gray album anymore, but as a continuous attack on the commitment they make day in and day out for this country, just like you, like me. That, Mr Wilders, is discrimination, and it must be appointed and condemned again and again.
ParlaMint-NL_2017-11-01-tweedekamer-3.u127	It has nothing to do with discrimination. We have a problem with Islam in this country. We want to de-islamize the Netherlands. Because of all the people with your support, I said that just now Mr Roemer has come into the Netherlands, it is the Dutch who is being discriminated against. The Dutchman must pay for his care, while the asylum seeker gets it for nothing. The Dutchman can't find a rental house, because the asylum seeker gets that social housing priority. The Dutchman is discriminated against. Why is no one in this room talking about that? The discrimination is towards the Dutch and not the other way around.
ParlaMint-NL_2017-11-01-tweedekamer-3.u128	Today, The Lancet published an interesting article, which states that climate change drives 1 billion refugees. Is it not also in the interests of Mr Wilders with his party programme to think about how to combat the causes of this migration rather than just trying to stop people from coming to the Netherlands through dense borders? Is it not time to think about this and use all the means to prevent people from drifting away from poverty or climate change?
ParlaMint-NL_2017-11-01-tweedekamer-3.u129	The problem with the Netherlands is not that we have a moving desert, but that there is a moving desert ideology that is coming this way. That is our problem and that is the cause of the misery. I want us to defend ourselves against this and I do not want to depend on a Europe where we have nothing to say, where we depend on the whims of someone like the German Bundeskanzlerin Mrs Merkel, who said: 'Wir purchase tie'. And who, after the elections, still believes that hundreds of thousands of people should come in. I don't care why people come. I don't want them here. I was elected, not to solve the problems in Africa, but to ensure that the Dutchman is protected from mass immigration of people with desert ideology. We must prevent that, and that is what we are committed to.
ParlaMint-NL_2017-11-01-tweedekamer-3.u130	On the contrary, we have every interest in looking at our own behaviour, resulting in climate change. If we tackle this, we can also prevent people from migrating to countries like the Netherlands. Does Mr Wilders not think that we should take a good look at that? You can see, for example, that people from the Middle East are being expelled there because there is a commodity war. In fact, that is often at the heart of many conflicts in those areas. It seems to be a religious conflict, but ultimately it is about poverty and the lack of raw materials. Is it not very important that we look at our own behaviour, our own exports and our own trade policy in order to prevent migration from taking off?
ParlaMint-NL_2017-11-01-tweedekamer-3.u131	No, I think we should look at how we are protecting the Netherlands from the mass immigration that will only get worse. People come because we have our borders wide open and people come because they get free care, a free home and a free benefit. People come because they know that if that is not the case in the Netherlands, if they do not get it, they get a price, namely bed, bath and bread for illegal immigrants. I think we are about the only country in Europe that gives bed, bath and bread from the government to illegal immigrants, people who have been told by the judge that they have to leave and that they have no right to be here. Because we all do and say "come in all of us," and we all give this at the expense of the Dutchman, that's why the people come here. That doesn't have anything to do with the climate. It has nothing to do with the climate.
ParlaMint-NL_2017-11-01-tweedekamer-3.u132	Of course, it is fine if Mr Wilders himself is going to come up with statements about why people come to the Netherlands or other Western countries, but it is very important to see what the real reasons are. A lot of research has been done on that. It is important for Mr Wilders to come here with me on the basis of facts to see how we can prevent problems, rather than on the basis of an opinion or a feeling that Mr Wilders has.
ParlaMint-NL_2017-11-01-tweedekamer-3.u133	In my opinion, the first refugee to come to the Netherlands must still be born and, if the IND asks why he is applying for asylum, he says: because of the climate. I don't think so, but okay. Mr. Chairman. I told you, they want to kill us, they want to subject us and they want to destroy what we've built. As many as 11% of Muslims in the Netherlands are willing to use violence for Islam, according to research by the University of Amsterdam. That's 110,000 people. That's twice the size of the Dutch army. Those 110,000 people are everywhere. They might live around the corner or they'll hang out at the supermarket near you. They pass your children's schools or they might be on the train with you in the morning or in the afternoon. Maybe there is one here in the plenary. Who knows? Intelligence services in Europe already have tens of thousands of jihadists in their sights. Those are often homegrown radical Muslims, but there are thousands of jihadgoers all over Europe who return from Syria. We'll just let them come back! We'll just let them come back! In Syria, Iraq and other areas where they come from, they have learned professionally how to kill, how to torture, how to rape. They are all jihadists and terrorists who, thanks to Schengen and the open borders of the VVD, can murder and travel freely throughout Europe. The question that many people have is: how does the planet Rutte react to that? Well, that planet Rutte is setting up Mr. Grapperhaus. Mr. Grapperhaus, that's where he gets the crucial position of Minister of Justice. He's the man who deals with the safety of our children and grandchildren. And what does that tell you to go astray now? What's that Grapperhaus saying now? He thinks in his own blog that we should just let jihadists come back to the Netherlands. He believes that we should enter into dialogue with them and give them mercy after their punishment. I repeat, let jihadists come back, talk to them and mercy. That is our line of defence when it comes to what he actually thinks, because Mr.Grapperhaus said: I support my words; I still support my words from then on. That is how we behave after 1,400 years of jihad. We didn't learn anything. This is a Netherlands that has signed the capitulation and that says: "Here is our country. We don't want to take care of it anymore. Good luck with that, Ali, Mohammed, Yassar. Do it. Here it is!" That's the message he's giving.
ParlaMint-NL_2017-11-01-tweedekamer-3.u134	Let me see if this point is finished.
ParlaMint-NL_2017-11-01-tweedekamer-3.u135	No, I have one more point.
ParlaMint-NL_2017-11-01-tweedekamer-3.u136	Then I suggest we finish this.
ParlaMint-NL_2017-11-01-tweedekamer-3.u137	Let what I just said about Mr. Grapperhaus affect you. I also ask the people at home who are watching television. A person who is responsible for the safety of your people at home is in reality a danger to the Netherlands because of his ideas. Grapperhaus as Minister of Justice is like making Harvey Weinstein Minister for Women's Emancipation. That's what happens. At least my party knows no mercy. If you want to have a nice conversation with jihadists, you don't belong in a cabinet. So tomorrow, with pleasure and conviction on our part, he too will be getting a vote of confidence from my group.
ParlaMint-NL_2017-11-01-tweedekamer-3.u138	Mr Wilders always presents himself as the guardian or defender of freedom of speech. He did so recently in the hearing he had after making his discriminatory remark about fewer Moroccans. Mr Grapperhaus also has an opinion. I would like to ask Mr Wilders where freedom of expression for Mr Grapperhuis remains. And where is the freedom of the press? It was a column. Is it not incredibly hypocritical of Mr Wilders to want to make use of freedom of expression himself while he does not allow another, in this case Mr Grapperhaus?
ParlaMint-NL_2017-11-01-tweedekamer-3.u139	I would like to extend my warmest thanks to Mr Grapperhaus. I'm not gonna press charges against him either. He can find what he wants with pleasure even. My point isn't that he can't say what he thinks. My point is that you have someone who finds something like this, although he may now be pursuing another policy, someone who says that he is still behind his words from then on in that column, someone who thinks that we should let jihadists return to the Netherlands, that we should talk to them and that we should give that mercy, not make the political boss of the fight against terror in the Netherlands. That is unwise, it is clumsy and it is dangerous. He has thus himself become a danger to our national security.
ParlaMint-NL_2017-11-01-tweedekamer-3.u140	What is actually happening is that Mr Wilders says that Mr Grapperhaus must disappear from the political stage because of his opinion and because he is a danger to the country. It is also typical Wilders to use that double size. Because when we talk about the danger in the Netherlands, I also look in the ranks of the PVV. In an article, Mr De Roon, MP for the PVV, says that we must replace the democratic rule of law with military violence. I can hand it all over to you. We have Mr Wilders' speech writer, Mr Belien, who states that Muslims are predators and that we must arm ourselves. Just, like, real guns. We have Mr Wilders' press officer, who states that Mussolini, the fascist leader in Italy at the time of World War II, is the largest head of state ever. And I have just given the example of Mr Markuszower. Is the danger in the Netherlands with Mr Grapperhaus because he has an opinion or is it within the ranks of the PVV?
ParlaMint-NL_2017-11-01-tweedekamer-3.u141	No, it's not in our ranks. On the contrary. As I said, we strongly support freedom of expression. He's not here at all. Again, I'm not going to the police to press charges. I'm just saying that anyone who thinks that shouldn't be the boss of the fight against terror. So get out of here! I want someone at Justice who says you're not coming back from Syria, but if you do come back somehow, we'll put you right away, if necessary with administrative detention. I want a Minister of Justice to take care of the safety of Dutch families. That's what I want. At the moment, we see all over Europe that returners are committing attacks. We have seen this in Paris, in Berlin and in many other cities in Europe, where attacks have taken place, where innocent people have been victims of people returning and returning from Syria and who have not been imprisoned after their return. Well, there's someone there who actually wants to. That's not possible for our country, is it? That's dangerous!
ParlaMint-NL_2017-11-01-tweedekamer-3.u142	It is also very typical that when a number of substantiated examples are given of dangers within one's own ranks, Mr Wilders will again point to others in society. Then again it is the Muslims, Islam, and then again it is the Poles, then it is this cabinet that puts the Netherlands at risk and then it is quite another thing. We'll probably go on like this for a while. The danger to the Netherlands is nowhere but there, in that profession, the profession of Geert's servants.
ParlaMint-NL_2017-11-01-tweedekamer-3.u143	Okay, Mr. Chairman.
ParlaMint-NL_2017-11-01-tweedekamer-3.u144	I suggest you continue with your speech.
ParlaMint-NL_2017-11-01-tweedekamer-3.u145	I'll be sure to. Our identity is getting more and more under pressure. How long is the Netherlands our country? The truth about demographic developments in Europe and Africa is too horrific for words. I hope people are paying attention. Europe's population is shrinking, but Africa's population is exploding. At the end of this century, it has quadrupled. Africa goes from 1 billion to 4 billion inhabitants at the end of this century. Often these are people of Islamic descent. At least a third of those 4 billion want to leave Africa. I will not be surprised if they want to go to Europe, to us, to the country that has planet Rutte on offer. What if we don't do anything about it? Can you imagine 4 billion Africans, one third of whom, more than a billion people, want to migrate? If two thirds of them go to Europe, which is quite obvious, then 1 billion people will come this way until the end of this century. That is the end of the Netherlands. That is the end of this people. Then we can talk about Rutte III for the next few years, but then we won't exist anymore. Then we are a corner in Eurabia and we entered the Sharia here. Those are hard figures from the United Nations that are just knocking hard. Then get rid of freedom and democracy. Get rid of Christianity, Mr Segers. Get rid of Judaism. Down with the Netherlands! That invasion has an ally, too. That ally is called Brussels, a great political monster with its own flag, an anthem, a day-to-day administration, a billion-dollar budget and a parliament. A true superstate, a demophobic monstrosity, full of pocket-filling European Commissioners led by the professional alcoholic Juncker. No one chose that junta. No one wants them, no one knows them, but the idiotic thing is that we see that great danger from Africa coming towards us, that they do determine the future of the Netherlands and that they now determine a large part of our immigration policy: how many come in here and are we allowed to take care of? Mr. Chairman. My group is convinced that a real democracy can only flourish in a nation state. National sovereignty, combined with its own national culture, makes us who we are and gives us our identity. The European Union has and will never have a clear identity. Because it is missing, there is no objection to an invasion of Islamic fortune seekers. If you don't have an identity, you can't lose it either, and if you don't know what you are, you don't know what you are. But we do know who we are; we are the Netherlands! We are not Africa, we are not Morocco, we are not Syria and we do not want to become one; we do not want to become part of Africa, we do not want to become an Islamic country and we do not want to become more hate and violence. We want the Netherlands to remain the Netherlands and many Dutch people want it. It's as simple as that, and we're finally gonna have to act on it. Otherwise we won't exist anymore! Those numbers are disastrous. That is why I think we should leave the European Union so that we can be a sovereign country again, at least we can decide on all these immigration arrangements ourselves, we can control our own front door again, we can close the borders for asylum seekers and immigrants and we cannot let the jihadists come back to the Netherlands. And why not evict those 71,000 Syrians who were let into the Netherlands by Rutte II? Why don't we? Why do we leave them here? In a few years, they're gonna have a permanent residence permit and we're never gonna get them out. 71,000 people. From the countries in the region, I already know how many people go back to Syria voluntarily. They're going back to Syria voluntarily. Why don't we?
ParlaMint-NL_2017-11-01-tweedekamer-3.u146	Mr Wilders says something I very much agree with: we need to tackle hate and violence harder. I can assume that he therefore supports this coalition's intention to severely punish hate-sowing, because 1 plus 1 is 2.
ParlaMint-NL_2017-11-01-tweedekamer-3.u147	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, When I mentioned all our objections to your CDA Mr. Grapperhaus, I said that freedom of expression is a great asset for us. Hatred sowing is a terrible article in the Code of Criminal Law. You are doing a few things: you are allowing group swearing to exist, as far as I am concerned, and you are telling us about Article 137b about hate sowing that punishment must be doubled. We both don't want that, but we do think you should be able to deal with hate when it comes. Let me give you an example. Mr. Buma, I hope you're fair enough to support me in this. Last week in the news we had an imam who came from Belgium. He was deported there. We had to let him into the Netherlands because he was Dutch; a man in The Hague, he is there now and asks for a large house with six rooms because he has many children and I understand that he has also applied for a benefit. Such a person, who is a danger to national security and indeed hates, would, in our system, be caught up in that bill a few months ago, and you can support it, and be arrested and imprisoned in an acute manner. You won't. That's not happening right now. That man is walking around here and he's a danger. So if hate-sowing leads to a danger to the national legal order, we pick up people and secure them. But only double an article in the law that is used against people like yours truly? No way!
ParlaMint-NL_2017-11-01-tweedekamer-3.u148	That's where the problem is.
ParlaMint-NL_2017-11-01-tweedekamer-3.u149	That is a very big problem.
ParlaMint-NL_2017-11-01-tweedekamer-3.u150	It's a law used against "signed."
ParlaMint-NL_2017-11-01-tweedekamer-3.u151	A very big problem. Yes, a very big problem.
ParlaMint-NL_2017-11-01-tweedekamer-3.u152	But you know, Mr Wilders, the core of our rule of law is that the same applies to everyone. I don't care if you hate it or not. Since you just said we have to deal with hate, I can assume you agree. It's not like only Muslim activists or extremists are hateful. It could be from others, too. It's two-and-a-half. Or you can say hate sow as long as it's mine. Or you say hate-sowing isn't allowed, as you just said. Then let's do it.
ParlaMint-NL_2017-11-01-tweedekamer-3.u153	It is indeed a very big problem. Maybe I should just say this: when you were celebrating Tuesday and congratulating each other last week, I was sitting at the courthouse. Then I was in the extra-security bunker at Schiphol Airport, where I drove to a court of appeal. When this cabinet had a big party on Thursday because they had done something good in their opinion and when the cabinet was sworn in by our head of state, I was sitting as an elected representative in the court of The Hague, sitting in Amsterdam. That is a big problem, because I have said what half of the Netherlands think, namely: less Moroccans. The Dutchman who wants more Moroccans has yet to be born. I tell you, Mr Buma: that law is being used in this way, so that politicians do not do their work that proclaims what many Dutch think: less Moroccans. That's not only the truth, but how innocent is it when you see what threats I get on my roof? They can suck a dot on that. So, yes, it's a problem that I'm being prosecuted and that you're celebrating. It's a shame that that happens. Let that be said for once.
ParlaMint-NL_2017-11-01-tweedekamer-3.u154	But you just said we have to deal with hate and violence. Again, if you say that we must tackle hatred, I am prepared to take a look with you to see if we can change the word 'hate sow', for example in 'cause of hatred'. That's another term for the same thing, but if you think we should deal with hatred in the Netherlands, I support you in saying that it's "annoying" of the law that it's the same for everyone.
ParlaMint-NL_2017-11-01-tweedekamer-3.u155	Sure, but it's not used against everyone. The people who threatened me a hundred times last month probably won't be in court once. If you're talking about hate, I'll spare you reading those threats to me. I'll spare you that. I'm not giving you one of those. That's how terrible they are: from laying in front of the train to cutting your head off or pulling your guts out. Speaking of hate sows! Probably gonna get zero of that in court someday. What's it used for? To a politician who says, "less, less." So yes, we are indeed not in favour of your proposal.
ParlaMint-NL_2017-11-01-tweedekamer-3.u156	If we want to tackle that hate-sowing, including against you and others, then we will not only have to say 'close borders', but we will also have to say that our security services should have the opportunity to track down hate-sowing, because they can't do that now. You just said that if that referendum turns out negative, then the intelligence and security services do not need that power. I say, in your interest and in the interest of all those people who are threatened or threatened, that I am in favour of the security services being given that power, including for your safety.
ParlaMint-NL_2017-11-01-tweedekamer-3.u157	We've just had the discussion about the tow law.
ParlaMint-NL_2017-11-01-tweedekamer-3.u158	Certainly, Mr. Buma, but you are not for the safety of the Netherlands. You may be in favour of the bill, but you are not in favour of the safety of the Netherlands, because your party simply leaves the borders open. Then I'm not just talking about asylum seekers. I am also talking about all those jihadists who have returned to Belgium, France or England, for example. They can simply go to the Netherlands because of you. I say to you: if you say with me and with the PVV Group 'we do not do that anymore; we close the borders', then the AIVD will need half the resources less and perhaps not at all.
ParlaMint-NL_2017-11-01-tweedekamer-3.u159	I hope you'll think about this. You were just talking about your own safety. That is understandable and right, because that is a big point. You mentioned people who are already in the Netherlands and who are making these threats. Every MP here knows threats, but fortunately not to the terrible extent you experience them. They're from the Internet. Not all of them come from people who still have to go to the Netherlands from abroad. You say that we are solving these terrible threats in the Netherlands by closing the borders. In the interests of your safety, I stand in the way that, even if a no comes out of such a referendum, I still choose your safety. Because it doesn't help to close those borders, because those people are already there, because they work on the Internet and because, unfortunately, the mobile phone is no longer enough for the security services. So all your stories about the terrible safety things you're going through are not in the bullshit you're saying by saying that the security services don't need that power.
ParlaMint-NL_2017-11-01-tweedekamer-3.u160	No, I am not making any sense, because Mr Buma simply leaves the limits open. He just lets all those people who are already in Belgium, in France, in Germany again, I'm not even talking about Syria anymore, just coming to the Netherlands via open borders. I tell you that as long as you do, you should not make a big point of a law. Because you just let them in every day. Any day, anyone can come in. We have seen it with those who committed the attack in Berlin. Mr. Anis was called that terrorist. He could go through the Netherlands and other countries to Italy. That is what Mr Buma allows. That is what Mr Buma is making happen. So don't go whining about a law now if you let that happen. Because if you stop that, Mr Buma, then you will really do something about safety.
ParlaMint-NL_2017-11-01-tweedekamer-3.u161	Finally, Mr Buma.
ParlaMint-NL_2017-11-01-tweedekamer-3.u162	But Mr Wilders is going around the point. I don't think he should, because it's really about our safety. He says once again: you leave the boundaries open to people from outside.
ParlaMint-NL_2017-11-01-tweedekamer-3.u163	You do.
ParlaMint-NL_2017-11-01-tweedekamer-3.u164	All those e-mails you're getting and we're all getting, so let's go.
ParlaMint-NL_2017-11-01-tweedekamer-3.u165	No.
ParlaMint-NL_2017-11-01-tweedekamer-3.u166	That's okay, because you say that's from outside. If we want to prevent you and other Muslims and non-Muslims and all those people who are threatened from the Netherlands from being threatened by radicals who are already in the Netherlands, then we, and you too, must have the guts to say to the Netherlands: we as politicians here have a responsibility for your safety. And that's what we stand for, no matter how big the criticism gets. That's still my point.
ParlaMint-NL_2017-11-01-tweedekamer-3.u167	No, Mr President, because that is exactly what I said earlier in my contribution to an interruption of someone. You can give an extra 1 billion to Defense and an extra 1 billion to AIVD, but as desirable as that is, if you don't solve the core of the problem by closing our borders for anyone who can enter, then it's carrying water to the sea. Then mopping with the crane is open, then you fool people when you say that the Netherlands will be safer, because the Netherlands will not be safer because everyone can just enter our country.
ParlaMint-NL_2017-11-01-tweedekamer-3.u168	I suggest you...
