ParlaMint-NL_2017-09-07-tweedekamer-3.u1	I would like to welcome everyone, and in particular the Minister for Economic Affairs.
ParlaMint-NL_2017-09-07-tweedekamer-3.u64	Mr Madlener can turn away from what he has just said, but he has said that the energy bill has become priceless for the ordinary Dutchman. That is bullshit, because the energy bill for the ordinary Dutchman has only gotten lower. Over a period of 15 years, between 2005 and 2020, there is a reduction in the energy bill. Then I am not talking about inflation at all, because if you take that into account, it has become much lower. So it was just bullshit what he was saying there. And as far as the storage of renewable energy is concerned, of course, you need to build new infrastructure if you're going to replace fossil energy with renewable energy. Of course, this costs money, but you can also see that there is another situation in the fossil energy market, by building infrastructure for renewable energy. That's where you get price cuts. That's fine. The mix of energy for people, the mix of storage of renewable energy, VAT and what they have to pay for fossil energy has led to a reduction in the energy bill between 2005 and now. There is still a significant reduction in the energy bill in 2020 compared to 2005. Then don't come here with the story that the bill becomes priceless. Once again: big nonsense, Mr Madlener!
ParlaMint-NL_2017-09-07-tweedekamer-3.u65	I do not know from which world Minister Kamp comes, but 20% of Dutch people are already struggling to pay the energy bill. When I see that the share of taxes has been increased so that half of our energy bill already consists of pure taxation, I am concerned about that. I also see the ambitions of the cabinet, which has increased the energy tax in this way. The storage of renewable energy will increase fivefold in the coming years! Those are facts, Mr Kamp, you cannot ignore them! Then you shouldn't be here pretending I'm telling a stupid story. These are facts. Energy taxes have doubled in recent years. And 20% of people have trouble paying the energy bill.
ParlaMint-NL_2017-09-07-tweedekamer-3.u66	It is true that Mr Madlener is telling a stupid story. Mr Madlener says that the energy bill will be priceless for ordinary people. In reality, the energy bill for ordinary people has fallen. That is the reality. Mr Madlener also talked about windmills and he talked about thorium. He said that in ten years' time thorium can be available and profitable. Big bullshit! It takes decades to develop that technique. Power stations will then also have to be built. It must first be shown whether this technique can be developed. If it can be developed, experience must be gained, first on a small scale, then on a larger scale. Then you might be able to build power stations for that, but if you pretend that in ten years' time power could be supplied by thorium plants, then that is the same as what I said: great nonsense, Mr Madlener!
ParlaMint-NL_2017-09-07-tweedekamer-3.u67	You may respond briefly, Mr Madlener, because your name is always mentioned. And then we move on to other subjects.
ParlaMint-NL_2017-09-07-tweedekamer-3.u68	Unfortunately, the Minister is twisting my words a bit and then calling me a liar. I regret that, because I said that taxes on energy have been increased. The Minister won't let go of that. We can see all that in our monthly account. I said that new techniques, solar panels are going to be profitable, thorium might be profitable too. I did not say that this could happen in ten years' time, but we all know that will happen. That is why it is sometimes wiser to wait, even with wind farms at sea. Maybe they won't need a grant in ten years. Then wait a minute.
ParlaMint-NL_2017-09-07-tweedekamer-3.u69	That monthly bill, Madam President, is dropping. The monthly energy bill is dropping.
ParlaMint-NL_2017-09-07-tweedekamer-3.u70	Please continue.
ParlaMint-NL_2017-09-07-tweedekamer-3.u71	The spokespersons are quite understandable about the growth of the share of renewable energy in 2016. They mention the percentage of 5.9, we now know that the percentage is 6 in the year 2016. 6%. At the beginning of this cabinet period it was just over 4%, so we went from 4% to 6%. As far as 2020 is concerned, we are achieving 14%, and for the year 2023, I have already seen estimates of more than what we want to achieve, namely 16%. Of course, we do not just get that thrown into our laps; a great deal has to be done for that. In recent years, we have done an awful lot for that and we are still doing that. My successor will also have to do a lot between now and 2020, and also for the period between now and the year 2023 in order to achieve those objectives. We can't get it thrown in the lap, but it's feasible. The latest estimates from the 2016 NEV indicate that a percentage of 14 renewable energy will not be achieved by 2020; we would remain somewhere between 12% and 13%. What we then did was to take a large number of measures, which I will be happy to go through all of them. On this basis, all the parties that have concluded the Energy Agreement have said: we are confident that we will achieve these objectives by 2020. Then we'll get the NEV 2017, and then we'll see what comes out. We will look at the effects of the measures we have taken and what we can expect between now and 2020. If we think we need to do something extra, then we will do it again.
ParlaMint-NL_2017-09-07-tweedekamer-3.u72	Mr Wassenberg.
ParlaMint-NL_2017-09-07-tweedekamer-3.u73	The minister says that the share did not rise from 5.8% to 5.9%, but to 6.0%. But we're talking tithes of percent. Much is happening and there is a lot in the pipeline, we know that, but one of the points is that the fossil fuel is rising even faster in absolute figures. When I look at the CBS figures, I see 6 petajoule against 76. That's almost 13 times as much. I understand that the Minister is doing a lot and that his successor will also have to do a lot, but if we neglect energy saving, we are not going to make it. With only renewable energy projects, we will not survive if the fossil share continues to rise so much more. Can the Minister answer that?
ParlaMint-NL_2017-09-07-tweedekamer-3.u74	The Minister.
ParlaMint-NL_2017-09-07-tweedekamer-3.u75	There is no question of neglecting energy savings. It is true that we in this country initially intended to save 1.1% of energy each year. In the meantime, we have increased that to 1.5%. Moreover, I have once again made separate agreements with the whole energy sector that it provides 10 petajoule extra energy savings. With the energy-intensive industry, I agreed that it would make a similar effort and save additional energy. There is therefore no question of neglecting energy saving. Look, it is also very unwise to negatively assess and remove the current performance in terms of renewable energy, thanks to many efforts of MPs, cabinet members, all those working on it in the field, people who put solar panels on their roofs, people who sit together in corporations. Look, where we are talking about 6% and 14% and 16%, it is not just about the production of electricity, it is about the total energy consumption of the whole of the Netherlands, that is, all the cars that drive around, the trains, the trucks, the ships. It is about industrial consumption. It's all the offices and houses that are heated, all together. By 2020, according to our schedule, we are at 14%. So it's going very fast and we're doing a lot for that. Regarding the year 2015/2016: you can get figures from it and say that it is not fast enough. Electricity production from wind at sea increased by 124% in that year. Solar electricity production has increased by 39%. We are going to set up large wind farms off the coast of Zeeland. The Danish Dong will build the first park there. That park will produce electricity by 2020. It was going to be 700 megawatts, but it's going to be 752 megawatts. Production is already under way before the summer of 2020. The second park, the park of Bluewind, the consortium around Shell, will also be realised so quickly that electricity will be produced in 2020. In the first half of this year, I supported more than 4,000 solar projects with the SDE+ scheme. So why is Mr Wassenberg trying to talk things down? That's totally unnecessary. Great performance is achieved by all stakeholders in terms of energy saving, renewable energy and CO reduction. I think we can be proud of that.
ParlaMint-NL_2017-09-07-tweedekamer-3.u76	I'm not trying to talk anybody down. I'm looking at the numbers. The Minister says that a lot of agreements have been made, including with industry and industry. That is very good, but agreements themselves do not help to reduce the share of fossil energy. Appointments don't help until they're respected. I've been looking at the CBS figures. This shows that the share of fossil fuel, in absolute figures, has increased 13 times as much as the share of renewable energy. That's what I'm worried about. It is fine that agreements have been made, but if we now see that the share of renewable energy in recent years has been lagging behind the increase in the share of fossil fuel, then we really have a problem. Making agreements alone does not help if they are then not respected and complied with.
ParlaMint-NL_2017-09-07-tweedekamer-3.u77	I hope that Mr Wassenberg looks at figures differently from Mr Madlener. The figures show that very special things are being done. We had planned to achieve a 40% reduction in the cost of energy from wind at sea over a period of ten years. We have achieved 55% reduction in costs in three years. That breakthrough in terms of the price of wind energy at sea took place in the Netherlands. That's what we did. We believe that there is a possibility that the third large wind farm that is being built off the coast of the Netherlands will soon be able to run without subsidies. That's the third wind farm to be built. We're gonna build five in a five-year period. The planning is to build seven more in the next seven years, each of which will be bigger than the parks we're building right now. So we are making very concrete progress. I think it's very unwise to pretend there's something going on with fossil energy that we can't control. That's absolutely not right. The year 2016 was an economically good year. Economic growth was almost 3%. CO emissions have increased by 1%. This means that it was lower than economic growth. But if you compare the second quarter of 2016 with the second quarter of 2016, a 12-month period, in response to Mrs Mulder's question of 2017, you will see an economic growth of more than 3.3% and a reduction in CO emissions of 1%. Over a period of 12 months, there has been strong economic growth and a reduction in CO emissions. Here too, we have achieved a breakthrough. Once again, I do not want to suggest that everything is going to be okay, but we have made firm agreements in the coalition agreement and the energy agreement. I have come up with an Energy Agenda for the period up to 2050. The agreements we made, we carry out. The results are down to it. We will realize the shift from fossil energy to renewable energy.
ParlaMint-NL_2017-09-07-tweedekamer-3.u78	In fact, I would suggest that the Minister should continue to answer the questions, because he has not spoken for four minutes. For the rest, it was all interruptions. Proceed, Minister.
ParlaMint-NL_2017-09-07-tweedekamer-3.u79	As far as Mr Wassenberg's input is concerned, I have dealt with the increase in the share of renewable energy and the expectations. I have also spoken about energy saving. Mr Wassenberg asks what tax measures we are going to take for gas-free housing. We are implementing the tax measure to shift the tax burden from electricity to gas. This improves the business case of heat projects and therefore also supports heat supply from residual heat and renewable heat. I am working intensively with municipalities and provinces to develop the whole heat case. We have been working on this for two years, with those parties, but also with the suppliers of products and with the energy companies, i.e. with all the companies involved in the supply of heat in one way or another. We believe that a large proportion of gas consumption in homes in the Netherlands can be replaced by heat consumption. We must do everything in our power to do so, but with the new Heat Act, which is in procedure at the Chamber and with the cooperation we organize in the Heat Table, as I have just discussed, we can take the necessary steps. We are very much involved in the municipalities that are taking initiatives on this issue and we very much support them in it. We also feel strongly supported by the provinces, which have great interest in this subject. Mr Wassenberg says that we should encourage municipalities to also implement more solar projects. There is really no need for me to urge municipalities to do that. Municipalities are very motivated to go ahead with this type of project. We know what's going on in the field of solar panels that place private individuals on rooftops. We know what growth there is in the cooperative projects carried out using the postcode rose scheme. I have just said that we committed to funding more than 4,000 solar energy projects in the first half of 2017. At that point there is a great movement going on and we will keep that movement going. Mr Wassenberg asked about the energy procurement policy of municipalities. I think that the municipalities are quite capable of setting their own course in this respect. You can think different about that. We produce a certain amount of green energy in the Netherlands. We can all focus on taking that particle and saying that we are doing very well, but on balance it doesn't help you very much. What you're getting on with is to make an increasing proportion of the energy we use sustainable. That's what you end up with. It is to be appreciated that municipalities still buy part of their energy green to show that they think it is important and to stimulate their inhabitants. It is renewable electricity produced somewhere in Europe. It can be from Norway, Germany or the Netherlands. More and more municipalities are working on this. In itself, it supports the process we're working on. Mr Van der Lee said that the 25% reduction in CO emissions, which, according to the Court's ruling in 2020, should be achieved, is out of the picture. That's a misunderstanding. Some time ago, it was estimated that a 23% CO2 reduction would be achieved by 2020 compared to 1990. We then assessed the impact on CO2 reduction, if we implement all the measures we are taking under the energy agreement, also as planned for 2020. The parties to the energy agreement also expect us to achieve it. Turns out we're going to be 25%. In view of the current calculations and the current information, we will thus achieve that 25% by the year 2020. Should it prove at any time that this is not the case, an alternative will appear. That alternative could be to shut down an additional coal plant. But, as Mr Bosman said, it is primarily the company itself that decides whether or not coal power stations are closed down. However, we could discuss this with a company. At least five have already been closed. The last two were closed on 1 July of this year. Thanks to the closure of these two coal plants this year you can see that a significant CO savings are being achieved again. If you look at the figures, you will also see that less electricity is imported from Germany. If that means that there is less lignite produced electricity from Germany and more gas produced electricity in the Netherlands, there may be a negative impact in the Netherlands on CO emissions, but CO is a European and a global problem and for the world as a whole that transition is a good thing. That is the point of Mr Van der Lee's 25%. It is therefore expected that we will achieve this 25% by the year 2020.
ParlaMint-NL_2017-09-07-tweedekamer-3.u80	Before you go any further, Mr Van der Lee has a question on this point.
ParlaMint-NL_2017-09-07-tweedekamer-3.u81	The figures have a different character. There are figures that are actually nothing more than an assumption, an assumption. And there are figures that just show what actually happened in practice. Now there is a very important assumption in the Minister's calculations on the import of energy. He just mentioned it himself. The actual development of the CBS shows a very different figure. This could amount to some 7 million tonnes of additional CO emissions in the Netherlands, if that actual trend continues as it is already going on. I don't understand why we don't continue the conversation with ENGIE, who want to get rid of their coal power station, instead of waiting until we finally know that our assumption is wrong, because we already know that this assumption is wrong.
ParlaMint-NL_2017-09-07-tweedekamer-3.u82	We don't know the assumption is wrong. That 25% is a judge's ruling, which we have also appealed against, but I will leave that in the middle. We're working on the judge's verdict. Our current assessment is that without additional policies we would reach 23%. We know that we are fully engaged in implementing the energy agreement, and we do not have any reservations about it if you translate that into CO emissions, which are going to reach 25%. We have already closed two additional coal plants this year, bringing the total to five. I therefore have no reason at the moment to consult with ENGIE. It is as Mr Bosman said: if ENGIE wants to close a coal power station, they should not fail to do so.
ParlaMint-NL_2017-09-07-tweedekamer-3.u83	I regret that you tell me things that I already know, but do not answer what I ask. I would like to know whether you recognise that there is a major problem with regard to the assumption of imports and their actual development. There's a big hole in that. I want to know how you're gonna catch that.
ParlaMint-NL_2017-09-07-tweedekamer-3.u84	I don't see that. In the second quarter of this year, we compared the second quarter of last year with a 12-month reduction in CO emissions in the Netherlands. So if you add up everything, the production of electricity, the emissions of cars, factories, heating and whatever you can think of, you're facing a 1% reduction in CO emissions. The estimate for 2020 without additional policies has already decreased by 23% compared to 1990. With the measures that have all been taken and will be implemented, we will reach 25% and thus comply with the ruling that the judge has made. That is the answer to what Mr Van der Lee has said.
ParlaMint-NL_2017-09-07-tweedekamer-3.u85	I am very sorry that this minister, who is a minister of the facts, continues to make assumptions and does not look at what is actually happening in practice.
ParlaMint-NL_2017-09-07-tweedekamer-3.u86	Why is that an assumption? I compare the CBS data for the second quarter of 2017 with those for the second quarter of 2016. That's not an assumption from me, that's just CBS figures I get. The expectation of ECN and the Planning Office for the Environment is 23% without any additional policy. That is the best information we can have. We have also taken measures, which all the parties to the Energy Agreement say when implementing them, we will not only meet the renewable energy target for 2020 but also the CO target. That is the best possible assumption we can make on the basis of everything we have actually decided and put into effect. Mr Van der Lee also spoke about Eneco. Eneco is a company that, like DELTA, did not want to stick to what the legislator had determined, namely that in the Netherlands the infrastructure to bring gas and electricity into the homes of the people, factories and businesses should be in the hands of the government, but that energy production and energy distribution would allow the functioning of the market. So in the Netherlands we have separated between the infrastructure on the one hand to get it to the people's home, to the factories and to the offices, and on the other hand to the supply and distribution, which we leave to the market. It's legal. Eneco and DELTA have resisted this for years. This has cost a great deal of energy from the management of the companies. A lot of costs have been incurred for lawyers and all kinds of legal advice. It has also cost us a great deal of energy. We had to defend ourselves against the procedures that had been initiated. Eventually everything was lost by Eneco and DELTA. This means that the split, the separation, the infrastructure on the one hand, and the production and distribution on the other, has now been implemented. That means that Eneco turned off the infrastructure part. It's in a separate company now. The shareholders decide what to do with what's left of the company, namely production and distribution. Shareholders are the municipalities, which will make their trade-offs. Municipalities are very interested in renewable energy and in contributing to climate solutions. If the municipalities consider that in the spirit of the law they can sell those shares they now have, then I leave it entirely to the municipalities. I don't feel like getting involved. With all the rules we have made in the Netherlands for the market, to which the market has to comply, and the European rules for the market and the agreements we have made in the energy agreement, we have sufficiently regulated that all parties involved also contribute to achieving the objectives for renewable energy and CO reduction. This applies to the new owner of Nuon, Vattenfall, the new owner of Essent, RWE in Germany. I do not know who the new owner will be when the shares Eneco are sold, but they will all have to operate in the environment I have just described, where there are legal rules, where agreements have been made and where European rules apply; and I have no reason to interfere with the sale of the shares Eneco. By the way, it has already been democratically decided by the majority of shareholders. The majority of the shares are held by Dordrecht, The Hague and Rotterdam. That's where the councils have already decided to sell those shares. So that is actually an outdated discussion. Mr Van der Lee also spoke about the sustainability requirement for sawdust. Let me tell you what this is about. This is about biomass. We have a coalition agreement and an energy agreement. It states that, in line with what has also been agreed at European level, biomass can deliver renewable energy. It is precisely in accordance with the agreements made on this point that we have taken measures in the Netherlands to ensure that a significant proportion of the coal fuel in power plants is replaced by by by- and most of biomass. This therefore contributes to the achievement of our renewable energy objective. Our country has formulated the most far-reaching sustainability criteria in the world for biomass. That was agreed in 2015 by me, the energy companies and the nature and environmental organisations. I then incorporated them into the SDE+ sustainability criteria. We'll just hold on to that. Those sustainability criteria in the SDE+ also apply to sawdust. It is not allowed to use sawdust from illegal logging or protected forest areas. It is also not allowed to convert whole trees into sawdust. Criteria apply to the entire forest management chain where biomass is extracted. There are agreements on so-called carbon debt and on indirect land use. These are all parts of the whole of the commitments we have made for biomass and of the sustainability criteria we have established. Again, those are the most far-reaching of the world. Additional agreements have also been reached between nature and environmental organisations and energy companies. There is a difference of interpretation. I've been trying to help get rid of that difference. The Chairman of the Committee on Borging, Mr Nijpels, has also tried to do so. That didn't work. There seems to be a court case going on right now. We will look at what comes out of it, but that is a private agreement between the energy companies and the nature and environmental organisations. As long as it all remains within the legal rules that we have established, this is not a problem for me that I have to find a solution for. The legal rules and the agreements we have made on them are sufficient to ensure that we actually contribute to the transition to renewable energy through the addition and most of them of biomass. So I'm not going to freeze subsidies. That is not possible at all, because all renewable energy subsidies have been made up to the maximum of 25 petajoules. That means that freezing is no longer at all. I do not believe that any further questions from Mr Van der Lee have remained. Mrs Beckerman once again gave a negative account of the government's policy on renewable energy. She said that the Netherlands is lagging behind in achieving energy objectives. I hope that, after what I have said on this subject, she feels differently. She also talked about Eneco. I have already dealt with this in response to Mr Van der Lee's contribution. She said there's a movement going on around the world to make energy public again. I saw a report; I read an article in Trouw and there was a report on it. It said that cities would be in the process of regaining control of energy, and that this had to be done, because it did not have to be left to business. We do not need to get a grip on this in the Netherlands, because we already have it for a long time. We have control over the distribution networks and with excellent legal and European rules and excellent agreements we also have control over the functioning of the market in terms of production and distribution. The Netherlands therefore has the highest security of supply of gas and electricity in the world. We are also moving from fossil energy to renewable energy at a rapid pace in the Netherlands. So there's a city in Mexico trying to get a grip on the power supply, I'm fine with it. And for Jakarta to try, I think it's very good. I also like the fact that Hamburg has decided to buy the distribution network from a company. But I don't need to buy that from a company anymore, because all distribution networks in the Netherlands already belong to governments. And the rest we've all taken care of. I am happy that there are good developments in the world and I hope for the rest of the world that they will come to this point when we are now. I understand, of course, that in a highly developed country where 17 million people live close together, it is easier to regulate a number of things than in other parts of the world. I therefore do not use disqualifications to other countries. I am just saying that we have already achieved a good situation at the moment. Mrs Mulder asked about the figures on...
ParlaMint-NL_2017-09-07-tweedekamer-3.u87	Before you go any further, Mrs. Beckerman has another question.
ParlaMint-NL_2017-09-07-tweedekamer-3.u88	In this speech I waited tensely for my questions to be answered, but I did not hear them. So I'll come back to it after all. I literally asked the Minister: is it true that the Minister should agree to the sale of Eneco?
ParlaMint-NL_2017-09-07-tweedekamer-3.u89	I'm not aware that I should agree to the sale of Eneco. The decision on the sale of shares held by municipalities must be taken by municipalities. If I had to make a decision on this, I would wait for the advice I have. At the moment, however, I have the impression that, as far as I am concerned, there are no obstacles to the sale of those shares.
ParlaMint-NL_2017-09-07-tweedekamer-3.u90	We understand that Article 89 of the Electricity Act 1998 states that sales require the approval of the Minister. So I'm really curious about it. Maybe the Minister could come back to it in writing. I like that he celebrates what's happening in Hamburg. I agree that the network should be in public hands. On that point, I fully agree with the Minister. But much more is happening in Hamburg: the inhabitants have actually said that they want not only the network back, but also the whole energy supply. They had a number of reasons for that. Firstly, they wanted to stop the construction of a coal power plant very close to the city of Hamburg.
ParlaMint-NL_2017-09-07-tweedekamer-3.u91	And the question is?
ParlaMint-NL_2017-09-07-tweedekamer-3.u92	The question is: does the Minister find it right what Hamburg does, that they not only buy back the network there, but that they also ensure that the energy supply remains public? Here we already have that, precisely because we want to prevent job losses, precisely because we want to prevent...
ParlaMint-NL_2017-09-07-tweedekamer-3.u93	Thank you.
ParlaMint-NL_2017-09-07-tweedekamer-3.u94	... that there is new pollution and that we want to switch as soon as possible. So does the Minister not agree with me that it would be very wise not to sell it?
ParlaMint-NL_2017-09-07-tweedekamer-3.u95	The interruptions must be really short and they must be questions. That doesn't just apply to you, Mrs. Beckerman. I am now using your interruption to send a message to other colleagues as well. So it has to be short.
ParlaMint-NL_2017-09-07-tweedekamer-3.u96	I can imagine something that the people in Hamburg do not want a new coal power station to be built near them. In the Netherlands we have closed five coal plants, two of which are still this year. Furthermore, the cabinet has decided not to build new coal power stations anymore. So as far as that's concerned, they're getting close to us in Hamburg. With regard to 'energy back with the citizens', we have the energy among the citizens. We have arranged for the networks to be in public hands, and for production and distribution we have a regulated market operation. This regulated market operation has led, among other things, to the figures by which I started my speech towards Mr Madlener: at a time when we are moving from fossil to renewable energy, the bill for an average household has so far fallen. We have achieved a good market functioning in the Netherlands. I therefore believe that there is nothing to be gained by the Dutch citizens in this respect if we change the current situation.
ParlaMint-NL_2017-09-07-tweedekamer-3.u97	Finally.
ParlaMint-NL_2017-09-07-tweedekamer-3.u98	Mr President, I understand your call to keep the interruptions short, all right? It's also annoying, of course. But I also find it a bit annoying that my very direct questions are not answered either. I asked you, Minister, about that article in the Electricity Act and said that you may also return to it in writing. I also asked you to respond to the Correspondent's statement 'without Eneco, the new cabinet will never achieve the climate goals'. I also asked you to talk to the municipalities to see how we can ensure that there is a sustainable long-term vision, with or without Eneco. I have expressed my preference for the latter.
ParlaMint-NL_2017-09-07-tweedekamer-3.u99	Isn't it ridiculous that I should talk to the municipalities about a long-term vision of renewable energy? Surely we have a government agreement in which very detailed, ambitious agreements were made on renewable energy in the year 2020 and in the year 2023? We have an energy agreement in which all this has been worked out and for which the support has been obtained from the whole field. And I have come up with the Energy Agenda for the period 2023 to 2050, which sets out what needs to be done in that period and how to do it. We are now working that out with all those involved. Isn't it crazy that I should go to the municipalities and ask them if they want to talk about a sustainable vision? That vision has been there for a long time.
ParlaMint-NL_2017-09-07-tweedekamer-3.u100	Mr. Bosman.
ParlaMint-NL_2017-09-07-tweedekamer-3.u101	Mrs Beckerman also raised other points. I think it's a good thing I'm going to go into that as well.
ParlaMint-NL_2017-09-07-tweedekamer-3.u102	Oh, sorry. Yes.
ParlaMint-NL_2017-09-07-tweedekamer-3.u103	Mrs. Beckerman referred to an article in the law. I am very happy to send the Chamber a written response to that point, but the Chamber should not expect any great surprises on my part. If I have to decide on the sale of those shares, then I will take that decision after I have had advice, but at the moment my basic position is that I have no objection to the sale of those shares. It has been decided by a majority of shareholders, and I respect that. To respond to Mrs Beckerman's last question: I do not understand why anyone can seriously think that we can meet our climate objectives only if Eneco's shares remain in the hands of the municipal authorities. I can't imagine anything about that. One can say that, someone can say that, but someone can say anything. As far as our climate objectives, our CO reduction, our renewable energy and our energy savings are concerned, we have set up a large network of agreements, rules, initiatives, incentives and subsidy schemes to achieve them. Eneco is a part of that whole. The Eneco company will also be part of that whole if there is a shareholder other than the municipalities. So I can answer Mrs Beckerman's question with no. I hope that this has made my answers to her clear.
ParlaMint-NL_2017-09-07-tweedekamer-3.u104	The picture is now outlined as if there is a ministerial obligation to transfer an energy company, but I would like to read out a piece of the article of law accompanying it: 'Our Minister may, on the basis of considerations of public security, security of supply or security of supply, prohibit or regulate the amendment referred to in paragraph 1'. That does not mean that the Minister is obliged to say anything about this, unless this article applies.
ParlaMint-NL_2017-09-07-tweedekamer-3.u105	Actually, you wanted to correct something, I understand.
ParlaMint-NL_2017-09-07-tweedekamer-3.u106	That's right, Mr. Chairman.
ParlaMint-NL_2017-09-07-tweedekamer-3.u107	I do have a question for the Minister, Madam President.
ParlaMint-NL_2017-09-07-tweedekamer-3.u108	A very short one, I understand.
ParlaMint-NL_2017-09-07-tweedekamer-3.u109	The Minister says twice that a decision has already been taken in Rotterdam, The Hague and Dordrecht. That's not right. There is a intention of the aldermen concerned, but the Council still has to decide in October. So there is still an opportunity, and I hope the Minister will take advantage of it, to enter into discussions with the 53 municipalities that are shareholders.
ParlaMint-NL_2017-09-07-tweedekamer-3.u110	I understand that in the three municipalities I mentioned, Dordrecht, Rotterdam and The Hague, the political decision-making process has already taken place, leading to the sale of the shares. Whether that decision has been taken or not, there are a number of municipalities that have not yet taken a decision. I'll leave those decisions to them. I'm not going to interfere with that either. I don't think that's necessary, because I respect the shareholdership of those municipalities. I believe that the municipalities will take a sensible decision on shareholdership. So I'm not going to interfere.
ParlaMint-NL_2017-09-07-tweedekamer-3.u111	One more question about what you said earlier, resurrecting the history of the split and the position of Eneco in it. I have a bit of a feeling that there is some resentment in that. I would be very sorry if that would stand in your way of starting the conversation.
ParlaMint-NL_2017-09-07-tweedekamer-3.u112	That does not stand in my way at all, but I have to look back at the fact that we have been going on for years, up to the highest authority, because two companies, Eneco and DELTA, did not want to comply with the law. In the end, they have been unsuccessful. In the meantime, they have complied with the law. Everything that has been invested in energy by these companies and what has cost them has not been productive. That was my statement. Furthermore, I treat them as completely objective. I don't have anything against Eneco. I like the company. I also think that the company is performing well in terms of renewable energy, exemplary indeed. I think it could be an example for other companies. I also hope that this will continue to be the case. I have no reason to doubt that this will continue to be the case. I was with Mrs Mulder's questions. I looked at the figures, namely the +1% CO and the -1% CO. I have explained this in more detail. It also talked about increasing imports of electricity. I've already indicated that you can look at that in different ways. If you import electricity from abroad that is made in a less sustainable way in other countries than we produce electricity in the Netherlands, then there can indeed be some extra CO emissions in the Netherlands. But for Europe and the world, it is an improvement, and that is what it is all about when it comes to achieving the CO target. We need to achieve this goal on a global scale. We have large connections between the markets in Germany and the Netherlands for electricity. We're expanding it even further. The Netherlands is in the process of transitioning to renewable energy. Germany is at least as serious about this. I think that in the end the changes in imports and exports with Germany will only contribute to the smooth functioning of the market. The final result of our efforts will be a reduction in CO emissions. Mrs Mulder asked how we can ensure that renewable energy is subsidised cost-effectively. She indicated that we set up the SDE+ scheme for this purpose. She said it was set up under the previous cabinet and under my predecessor. That's right. We have continued and adapted this arrangement wherever it was necessary. We are applying this regulation with conviction. The scheme means that, as electricity is actually produced, a contribution to the additional costs is also made, in so far as those costs are incurred through the sustainability of production. But not everyone can just participate in a project in that scheme. A qualitative assessment of each project is first made. If you don't meet the quality requirement, you won't get a grant commitment. It then examines whether a project is below the maximum prices set on the basis of calculations made by the Plan Bureau for the Environment and, in particular, ECN. If you're too expensive, you're not eligible for a grant. What meets the requirements in terms of quality and within the limits are projects that we like and need. In the first half of this year, out of the 6 billion available, I was able to make 5.7 billion commitments. A number of projects have lost weight because they were qualitatively inadequate. They will be given the opportunity to meet the requirements in the second half of the year. They'll be back in the game. If they meet the requirements, they will again be eligible for subsidies. I need those projects to achieve the 2020 and 2023 targets. I am convinced that the system we have set up is the best possible system. Even if there were less competition at a certain point in time, given the qualitative requirements and the maximum grant contribution, there would still be a desired implementation of the subsidy scheme. Mr President, let me see if I left anything.
ParlaMint-NL_2017-09-07-tweedekamer-3.u113	I think you've dealt with a lot of things.
ParlaMint-NL_2017-09-07-tweedekamer-3.u114	I have already dealt with what Mr Bosman has said at various times. I believe that this has given me the answers to the questions and the comments that have been and have been made.
ParlaMint-NL_2017-09-07-tweedekamer-3.u115	The Minister and I agree, I think, on the fact that taxation on energy for ordinary households has increased enormously under this cabinet, under this minister. Energy taxation and storage of renewable energy have increased. In the coming years, they will increase even further. The Minister just accused me of saying something that was wrong and then said: an average household paid in 2005 the same for energy as now. Now I have just looked up the consumer price index of the CBS. That doesn't seem right. In 2005, Dutch households paid about 30% less for their energy bills than they do today. So despite the fact that energy prices have been offset by these taxes in recent years, what the Minister said is wrong. I would ask the Minister to put that right.
ParlaMint-NL_2017-09-07-tweedekamer-3.u116	The amount paid by the average Dutch household for gas and electricity in 2005, including 21% VAT, was €1856. The amount it paid in 2016 was €1543. The amount it is expected to pay in 2020 is €1625. In 2005 there was no storage of renewable energy. In the year 2016, there was. Then the people of an average household paid €40 for that. In the year 2020 they will pay €162. But that has been incorporated into the amounts I have just mentioned.
ParlaMint-NL_2017-09-07-tweedekamer-3.u117	I believe that there has been a sufficient exchange of views on this point. Thank you. Let us now move on to the second term of office. I give the floor to Mr Wassenberg on behalf of the Animal Party. Mr. Wassenberg, I don't know how many motions you have with you.
ParlaMint-NL_2017-09-07-tweedekamer-3.u118	I've got four, but I'm gonna take a fast train through it. They're short. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to encourage municipalities to use roofs of municipal buildings to generate solar energy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg, Mr Van der Lee and Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-265]]
ParlaMint-NL_2017-09-07-tweedekamer-3.u119	That's good.
