ParlaMint-NL_2017-06-08-tweedekamer-5.u1	I welcome the Secretary of State for Economic Affairs and give the floor to Mrs Ouwehand.
ParlaMint-NL_2017-06-08-tweedekamer-5.u77	I note that Mrs Lodders cannot mention any concrete examples of left-wing hobby club investigations, which actually vents a gut feeling at this table, when she said earlier that you have to base yourself on facts. There is no study of hobby clubs; there is research of scientists. And those investigations contradict each other. That's what's happening right now.
ParlaMint-NL_2017-06-08-tweedekamer-5.u78	If Mr Grashoff appreciates it, I will send him a number of such studies and publications. Then he can make his own judgement about it and see that there is a very different message, a very different agenda of these kinds of clubs. However, the VVD is about scientific research. On that basis, you can make the right decisions.
ParlaMint-NL_2017-06-08-tweedekamer-5.u79	Mr. Chairman. On 15 November 2012, I tabled a motion asking the government to examine what chemicals could possibly be replaced by non-chemical variants. That motion was virtually supported by the entire Chamber of Commerce which is unique for a PVV motion except of course by the VVD. Apparently, there are fewer people and animals. Even the CDA supported that motion back then. The CDA took on its responsibilities and I also noticed with Mr von Martels that he will be heading in the right direction. I think it's been about the bees and the other pollinators since 2008. They have always been the core, because at that time there was absolutely no question at all that this could possibly, whether or not, cause cancer. That was speculated about, but we can't know that. This must be determined by scientists, possibly with the help of oncologists and other experts. We cannot do that, but one thing was certain: poison and also radiation and certain mites cause massive mortality of bees and other pollinators. Bees and other pollinators are at the beginning of our food cycle. In America movies have been made about what happens when bees and other pollinators die out. That's frightening. Then you just see that the stores are half empty and sometimes even army. That's the point. All we're talking about right now is cancer, cancer, cancer. That is very serious, but it is not yet certain what is true or not. However, these are facts; this is true. Then I say no more catching up; end of practice. Especially with regard to cancer: do not catch up if in doubt. It's about people, animals, public health and animal health. It's about our pollinators. Apart from that, it is a national decision whether or not we allow that poison. That's our decision. That must be a national decision. The Brussels bureaucrats have nothing to do with that, nothing at all. We have the best scientists in the world and the best farmers in the world. That is up to all of us to decide. We have to do that. We have nothing to do with those Brussels bureaucrats. The majority of people in the Netherlands do not want this at all. We are representatives of the people and there is a democracy. So there should be a little more listening to the people. As I said, scientists worldwide warn of major food supply problems, regardless of the cancer. What is the response of the Secretary of State to this? We've put forward alternatives. It is always said, "You only call, you do nothing." We have suggested alternatives: work with steam on paved surfaces. That request of mine has been taken over by municipalities. They've had a lot of success with that. It was relatively also very affordable. It wasn't much more expensive at all. Some municipalities even say it's cheaper. I heard Mrs. Lodder talking about vinegar. I have birds at home, parakeets, which are super sensitive to toxic substances and fumes, even to teflon pans. If I have to disinfect something, I always use apple vinegar on the advice of the best bird doctors in the Netherlands. Those people know more about this than we all do. I therefore believe that it is nonsense that has just been said. This can be used. It depends on what vinegar you use. You can do it with steam. I have put forward other alternatives, but I do not have time to mention them all now, and Mr von Martels wants to ask me something.
ParlaMint-NL_2017-06-08-tweedekamer-5.u80	Yes. Then you will also be at the end of your speech.
ParlaMint-NL_2017-06-08-tweedekamer-5.u81	Mr Graus, you have practiced well in my name, because you are clearly speaking it and you are articulating it so well that it is now clear what my name is. You referred to European investigations and you think that we should not base ourselves too much on them and that we should make our own judgement. Do you not think it is important that all kinds of investigations have been carried out worldwide? You tell me I'm moving in the right direction. As far as I am concerned, this is a good direction: to use it responsibly and to listen carefully to the scientific studies that are available.
ParlaMint-NL_2017-06-08-tweedekamer-5.u82	Sure, I'll share that. The Dutch scientists and doctors also work together internationally. That makes sense; that's what everyone's for. We are also pro-Europe, but against the European Union. We are in favour of European cooperation, also in this area. It makes sense that I share that, but we have the best people and the best farmers. I would also like to say that our farmers are at the forefront of greening. Read LTO's letter. Our farmers are at the forefront of greening rather than chemical weed control, but they are often hampered. During working visits, I noticed that they are being hampered by the European Union and also by the Dutch Government. That is also a question for me to ask the Secretary of State: he must ensure accelerated admission and a faster application of non-chemical weed control, because the farmers who are already doing this are being hampered by the Dutch Government and the European Union. For God's sake, help me with that. Then you also help the entrepreneurs, who you stand for.
ParlaMint-NL_2017-06-08-tweedekamer-5.u83	Mr von Martels has the floor.
ParlaMint-NL_2017-06-08-tweedekamer-5.u84	Would you then argue for a total abolition at the moment or would you like to look at what these scientific advices are going to yield? Or are you not looking at that at all?
ParlaMint-NL_2017-06-08-tweedekamer-5.u85	No. We've been, I've been, since 2008, against neonicotinoids and turnips. The PVV has always been very consistent and consistent in this respect. That's how long the pollinators have been dear to us. At that time, there was no question of causing or not causing cancer. The pollinators, so bees and bumblebees, are at the beginning of our food cycle. We cherish them. We need it all over the world. Every scientist shares that with me. Although I'm a PVV tock, they're all behind me. The same goes for the argument I made and for my motion on bees which has been adopted. You know, I've placed a bee hotel here in the States General. In no time it went from 3,000 or 4,000 bees to tens of thousands of bees, because they don't suffer from it in our courtyard. And now all the ministries have bee castles, thanks to the Graus motion. With this I show that the bees thrive there. It's all this shit they're going to screw up.
ParlaMint-NL_2017-06-08-tweedekamer-5.u86	Mr Graus indicated that we have the best farmers in the world.
ParlaMint-NL_2017-06-08-tweedekamer-5.u87	Yes.
ParlaMint-NL_2017-06-08-tweedekamer-5.u88	He always speaks with praise of the peasants. He is very consistent; I cannot contradict that. But what I find so regrettable is that Mr Graus, with his speech, is putting farmers on the sidelines, as if farmers could not use this means responsibly.
ParlaMint-NL_2017-06-08-tweedekamer-5.u89	I don't think anyone said that, not even Mrs Ouwehand. At least I didn't hear anyone say it. It's about not using the drug anymore. There are alternatives. I visited farmers who were testing non-chemical weed control. Then some people from the NVWA come in, they have to deal with assholes, and they're gonna block and fine a farmer like that. That farmer's got trials on his pants now. Surely it is too crazy for words that a benevolent person, who goes along with a request from the majority of the Chamber, should be punished in the Netherlands? I find that intriguing and intriguing. You should give me a little more support in that as a large party. Cherish these people, for God's sake. If there's one sheep over the dam, more will follow. If these farmers succeed, other farmers will follow, because that's how it works.
ParlaMint-NL_2017-06-08-tweedekamer-5.u90	I can very much agree with Mr Graus on the admission of green resources. It needs to be faster, and we need to find each other in it.
ParlaMint-NL_2017-06-08-tweedekamer-5.u91	Yes, I'd like a response from the Secretary of State to that. Thank you. I was running out of time.
ParlaMint-NL_2017-06-08-tweedekamer-5.u92	That's very good, but once again, it's about the use of turnips. That's what we're talking about right now. Of course, there are farmers who are looking for alternatives and are working on them. But for the large group of farmers currently in the Netherlands, we are very far away if there is a total ban above the market. In doing so, Mr Graus is putting that group aside as a group which is irresponsiblely engaged in the use of satsumas. I am fighting that, and I do not share that with Mr Graus. I find that extremely regrettable.
ParlaMint-NL_2017-06-08-tweedekamer-5.u93	Finally, Mr Graus, your answers are very long.
ParlaMint-NL_2017-06-08-tweedekamer-5.u94	Certainly, Mr. Chairman. The farmers have always liked this and no one, not even Mrs Ouwehand, has done what Mrs Lodder says. Nobody. We need to help those people with alternatives that are available. It can be done with steam and it can be done with certain types of vinegar. I have mentioned many other alternatives. The Secretary of State must ensure that this is possible. He has to help the farmers. He must cherish and help his sheep like a shepherd. That's what he's gonna do. That's what I'm asking.
ParlaMint-NL_2017-06-08-tweedekamer-5.u95	Mr. Chairman. Glyphosate is mainly known as Roundup, which is marketed by Monsanto. It's a tool that loosens the moods, even today. At the end of November, Europe will decide on the license of arthropods. Why is it chosen for a period of 10 years? Earlier 15 years and seven years were also on the agenda. Are we talking about a flat compromise? Does the extension mean that the permit has been poured into concrete for ten years or does there remain any possibility of an interim adjustment in the event of changes in insights? What does the Secretary of State put in on behalf of the Netherlands? The European Chemicals Agency and product watchdog EFSA declare that non-carcinogens are not considered to be carcinogenic within the EU, including on the basis of animal studies. In science, however, we see contradictory conclusions. The IARC of the World Health Organisation stated earlier that there is evidence of carcinogenic properties. The World Health Organisation is therefore opposed to our own European institutions. In what way have business studies, for example of Monsanto, been used in EFSA's conclusion? And is it true that studies of lymph node cancer in farmers have been dropped? Last month, a motion was adopted by Mr Grashoff asking the government to make all the investigations on satsumas public. How is this motion implemented? Has the Secretary of State and his Ministry itself already formed a view on the various studies and possible influence from the business community? The drinking water companies warn against adverse effects on nature and the quality of drinking water. How does the final assessment take into account drinking water sources and effects on nature, as well as effects on public health? According to the drinking water companies, pollution in surface water is to a large extent caused by applications outside agriculture. There is now a ban on the professional use of plant protection products on hardening. From November this year this also applies to unpaved surfaces. Last year, the Secretary of State announced in a letter that the NVWA would carry out a compliance survey with municipalities and greening providers, among others. Are there any results of that? How does supervision take place now? Private individuals are not subject to a ban, but to discouragement. However, I see that plant protection products are widely available in shops and in web shops. Do the measures lead to sufficient results? Why is it that the Secretary of State is not already calling for a ban on non-professional users? Isn't that just possible within the Plant Protection Products and Biocidal Products Act? The Dutch agricultural sector opts for integrated plant protection and is the leader in this respect in Europe. European countries can learn a lot from this. It is only in the very last instance that chemicals are used. It is important to improve the authorisation of green plant protection. I asked Parliament questions about this earlier this year. Has the Secretary of State already consulted with the agricultural sector on the acute bottlenecks to green crop protection?
ParlaMint-NL_2017-06-08-tweedekamer-5.u96	That brings us to the end of the first term of office.
ParlaMint-NL_2017-06-08-tweedekamer-5.u97	I give the floor to the Secretary of State for his first answer.
ParlaMint-NL_2017-06-08-tweedekamer-5.u98	Mr. Chairman. The debate is on the extension of the approval of satsumas. At an earlier stage of the same process we discussed this intensively. It's a substance that fights weeds. It is clear, also from this debate, that both the substance and the producer Monsanto often trigger violent reactions. This reflects the discussions on the extension of the authorisation of satsumas for a long time. This has been the case over the past year. Let me first mention the classification as potentially carcinogenic. That was a reason not to extend the approval last year. At that time, under pressure, partly on the basis of a ruling by this Chamber, but also by the efforts of other Member States, it was decided to postpone that decision and to await how ECHA would assess the possible carcinogenic potential and what classification it would lead to. Only then would a new procedure be initiated to decide on possible renewal. In the meantime, more has happened. In the US it became known that the staff of Monsanto would have influenced scientific research or even written scientific papers published under the name of researchers. Let me also say here that these are, of course, scandalous practices that have led to a significant increase in distrust of Monsanto. This puts the debate on the extension of admission in a different light than it was last year, because it is even more about the confidence we can have in the admission and review procedures that we have agreed on. In my view, it is essential that we stick to the credibility of the process we have designed with each other. What is crucial is that we only allow substances on the basis of scientific assessments. In doing so, all risks shall be identified and weighed. The process of reaching such a decision consists of different steps. I think it is very important that we follow these steps and do so carefully. Germany was rapporteur Member State. Germany has assessed the scientific studies and, according to the Regulation, had to do so on the basis of all available scientific knowledge and information. The assessment of Germany was subsequently evaluated by EFSA and the other Member States. The classification of ECHA on carcinogenic properties has also been awaited. The Authority has recently responded to the discussion on the Monsanto Papers and has itself addressed the question whether the facts that have become known could have influenced the assessment of EFSA. EFSA says that this could not have been the case. It is important to say that both the rapporteur Member State, Germany in this case, and EFSA have assessed all the original studies as well as the raw data below. So they not only follow the conclusions, but also assess the data below the studies themselves. In addition, they consulted and consulted all available public literature. This must, of course, ensure that the assessment is careful and that we can trust that if such an assessment indicates that a substance is safe to use or is safe to use under certain conditions, this is actually the case. It is now up to the Commission to weigh up everything on the table and to come up with a proposal. This proposal will then be submitted to the Member States in the SCOPAFF. At that time, the Netherlands must assess what is proposed. Although expectations have been expressed in the media about what the Commission would like to propose, there is no proposal yet. And until there is a proposal, I cannot judge it either. Several members of the Chamber asked in the first term: do you not think there can be no extension of ten years? Mrs Lodder asked the opposite: do you not think that the facts justify a ten-year extension? I can't and I'm not gonna say anything about that. I can't say anything meaningful about that, because there's no proposal. So I cannot judge what is being proposed either. That is why this debate is simply premature. Mr von Martels actually said the same thing. It is simply too early to discuss this with each other, because the proposal does not yet exist. If there is a proposal, which is in line with the expectations of where we are now in the process, the College for the Authorisation of Plant Protection Products and Biocidal Products (Ctgb) will first assess the content of this proposal and give its opinion on it in the Netherlands. Only then has the appropriate time come for me to assess what lies ahead. Then I will assess the proposal in the light of the opinion issued by the Ctgb. It is expected that decision-making will not take place before October, i.e. in the autumn. In view of the great involvement of the Chamber, I assume that we will speak before then and that the Chamber will exchange views with the Cabinet on this matter. As usual, I give the Chamber an assessment of the Commission's proposal. I shall send it to the House in good time so that it can give its opinion. We can then discuss with each other carefully, as we should, what is on the table and what the Netherlands should think of it. So before we do that, I will not take up any position in the European discussions on this issue either.
ParlaMint-NL_2017-06-08-tweedekamer-5.u99	I'll wait until you're finished.
ParlaMint-NL_2017-06-08-tweedekamer-5.u100	This may be a logical moment.
ParlaMint-NL_2017-06-08-tweedekamer-5.u101	Well, that's problematic, isn't it? The Secretary of State, like the Ctgb and EFSA, says that it is serious what Monsanto has done, that it is shameful, but at the same time he says that he has sufficient confidence in the assessment systems and the institutions we have built up. That is a bit difficult, because the cabinet also believes that these studies should be public; that is not the case at the moment. What does it say about EFSA that it has now come out that one of those important studies on which it has based itself is an evaluation written by a scientist who has received €1,600 a day from Monsanto to do so? What does the fact that EFSA was shocked and therefore did not know about this? And...
ParlaMint-NL_2017-06-08-tweedekamer-5.u102	You're asking a lot of questions right now. Shall we get the Secretary of State to answer first?
ParlaMint-NL_2017-06-08-tweedekamer-5.u103	The system we have set up is a good basis for assessing whether substances are safe, whether they can be safely used, what their effects are on the environment and whether those effects are justified on the basis of a number of conditions that you impose on their use. That assessment is not only based on one paper. EFSA has announced that it has looked at 700 documents, which are many thousands of pages. The study to which Mrs Ouwehand refers is a text written by a ghostwriter, an employee of Monsanto. The assessment is crucial for all raw data, all the studies that have been done and the data that results from them. They shall be evaluated by the Authority. It is quite understandable that you are suspicious of Monsanto after all that has become known. This does not mean, however, that you should immediately be suspicious of the method of assessing these substances that we have agreed on. It is essential that we have confidence in the way in which we arrive at a judgment whether or not it is justified to use a particular substance. If you were only sailing on a paper written by people who are paid by the company applying, none of us would trust that assessment. However, that's not how it works. Extensive research is carried out and these studies are assessed not only on the basis of the conclusions, but on the basis of the raw data below. The assessment procedure is therefore very careful. As a result of the discussions we have had in recent years and the growing distrust in society that I also see, one can ask whether it would be good if we in Europe looked at how the procedure was set up and whether it could be adapted in such a way as to further strengthen confidence. A number of members have suggested: would it not be good if the underlying studies and data become public? In this case, EFSA has already made a lot public and has made it known that it is trying to make more public. That is an important step. This also helps, because this means that many other people can carry out the same assessment and also check whether EFSA's assessment has been justified. I think this is helpful. I think it is good that we are talking about these elements of the procedure, but I think we should be careful whether you can trust the whole procedure, as Mrs Ouwehand says. You can trust that procedure.
ParlaMint-NL_2017-06-08-tweedekamer-5.u104	Previously, substances have been allowed of which we later became a bit regretful. That puts that inviolable confidence in the procedure in a different light, as well as the lack of openness. In this case, all sorts of documents have eventually become public. In it you can see that independent scientists from the International Agency for Cancer Research have said that there are about 90 people who have said that it is better not to use it or to phase it out under the precautionary principle. The Ctgb says it's just safe, but if you go on asking why the Ctgb is looking at it differently, it says: we have different roles. The role is to protect public health and biodiversity first, instead of looking at what is best for farming practice. That balance of interests is taking place here.
ParlaMint-NL_2017-06-08-tweedekamer-5.u105	There are also substances, plant protection products, which can be harmful to the environment and/or health if used in the wrong way. However, with the correct application of certain usage rules, you can minimise those risks. This is part of the considerations that are made in the authorisation of these substances. It is not just a question of whether there are any risks to the environment or not. public health. It is clear that there are risks to the environment in weed warriors and insecticides. They kill plants or insects. So there are major risks to the environment if you use them wrongly. Therefore, the procedure always examines whether they can be used responsibly and whether the risks can be minimized as much as possible. That's part of the whole process. Only the observation that a substance can be harmful to the environment is therefore insufficient to say that you can never use it. You'd never be able to use plant protection products again. So it is a lot more nuanced than Mrs Ouwehand is putting forward.
ParlaMint-NL_2017-06-08-tweedekamer-5.u106	Chairman?
ParlaMint-NL_2017-06-08-tweedekamer-5.u107	No, Mrs Ouwehand, you have had two interruptions and they were on the generous side. First, Mr Futselaar.
ParlaMint-NL_2017-06-08-tweedekamer-5.u108	I'm trying to follow the Secretary of State's reasoning on the trial. If I follow him closely, he actually says that there is no Commission proposal and therefore he cannot have an opinion on it. I don't think it's higher math. The Commission will say: extend or not extend. Extension is then in a certain number of years. Of course, the Netherlands can simply take a position on this. We can already tell you what we think. It is not the case that the Dutch Government only has a European position when there is a concrete proposal from the Commission. On the contrary, this debate is useful because we are now on time with the formation of opinions in Parliament and not following other European decisions. Does the Secretary of State agree with me?
ParlaMint-NL_2017-06-08-tweedekamer-5.u109	No. I think it is important to go through a process like this carefully, step by step. In doing so, we must distinguish between different responsibilities. I have just described that the rapporteur Member State is the first to assess all available scientific studies, all knowledge and studies. That's what Germany did. You may recall that Germany suddenly changed its position in the process a year ago, after the first Member State to give the green light as an evaluating Member State. That's an important fact. It is essential to know what the Germans stand for when a Commission proposal is presented. Do they still support the assessments they have made as an evaluating Member State? A Commission proposal means much more than simply extending yes or no, and for how long. EFSA has now responded to the Monsanto Papers. I am sure that the Commission will take this into account in its proposal and give it a place in it. I want to see it first. I want to see how the Commission is dealing with this situation and with the fact that Monsanto has tried, at least in the US, to influence scientific studies. It is relevant what the Commission is doing with this. The Commission may also lay down conditions for the renewal of the authorisation. That is also relevant for the assessment. We'll all have to know that first. We will first have to see what the Commission is putting on the table before we can judge it. To make some kind of generic judgment, to say now that it doesn't matter what exactly is being put on the table and that you will never agree to it if this is in it, I don't find careful. The first thing the Commission has to do is to be careful. Then we ask the Ctgb to assess the content of the Commission's proposal. There are other elements that need to be assessed. Then the time has come for me to come to an assessment of what the Commission has put on the table. I shall then share that with the Chamber and then we can discuss it in detail here. Then you can tell me if you think I made the right assessment.
ParlaMint-NL_2017-06-08-tweedekamer-5.u110	Then the difference between us is that I would like the Dutch Parliament to make a statement earlier in that process.
ParlaMint-NL_2017-06-08-tweedekamer-5.u111	The Secretary of State began his speech with the credibility of the process we agreed on. I really want to have faith in the process, because I'm not a scientist. I want to be able to stick to the facts. Only if I open up the media now will I see that this is a discussion between the World Health Organisation on the one hand and the European institutions on the other. That makes it incredibly difficult. I would very much like the Secretary of State to reflect on that. He now passes the ball to the European Commission every time, which will come up with a proposal. Did the Secretary of State himself and his ministry shed his light on this too? There's a lot of noise. That does not make the debate easy in this Parliament either.
ParlaMint-NL_2017-06-08-tweedekamer-5.u112	That's what I just described. In the end, there is a presumption in what Mrs Dik-Faber says, namely that there is a discussion about facts and that that cannot be done, because those facts must be established. It's about scientific conclusions. Scientists don't always have to agree. They can also sometimes come to different conclusions. Then it is important that we also ask the institutions that we have appointed to do so to assess the different conclusions that lie ahead and to give weight to them. Because some conclusions, based on certain research, can be attributed a heavier weight on the basis of how the research was carried out. The exact circumstances of this need to be considered in relation to other research, through a different design and under different circumstances. It's just the essence of knowing that it matters how you came to your conclusions. Scientists are like no other able to judge that from each other. So that is exactly what we have asked ECHA and EFSA: assess everything that lies ahead. ECHA has assessed everything, including the studies on the basis of which the IARC came to the classification "possibly carcinogenic." ECHA has also assessed all other studies that were known and, on the basis of a weighting of all those studies, concludes that it does not share that classification. There is always discussion about different conclusions and different interpretations based on scientific research. It is important that we have set up institutions to weigh that up. They come to a certain weighting, to a certain conclusion. Their conclusion is that there is no reason to accept that classification. Next, another question is what we have seen about the Monsanto Papers, namely that apparently the company Monsanto did not back down in the past to try to influence or even write scientific reports that were published in the US and have them published in the name of researchers. That's very serious. This creates mistrust of the applicant for the authorisation of this substance. But I think that's more of a political issue. So I assume that the European Commission will take that into account in the proposal it is going to make. I believe that the ball is now the first one in the European Commission. That's how we agreed. Then it is up to us to assess that proposal. Just as the Chamber controls the government, it is also the case in this process that the Commission is the one who has to make the proposal and that we, as Member States, are the ones who have to assess that proposal.
ParlaMint-NL_2017-06-08-tweedekamer-5.u113	Thank you to the Secretary of State for his comprehensive reply. He really gives a different answer than some media coverage. I really want to believe him. He actually says that EFSA and ECHA have the same information as the World Health Organisation and that they have used all the studies that were available, while I am also getting a signal from investigative journalists that EFSA and ECHA have not used all the studies, that studies on animals and studies on lymph node cancer in farmers have not been taken into account. Am I supposed to think of that as a monkey story or a conspiracy theory? Is the Secretary of State saying this isn't right? Does he say: ECHA and EFSA have the same information as the World Health Organisation and I am convinced that this is scientifically valid?
ParlaMint-NL_2017-06-08-tweedekamer-5.u114	EFSA should look at everything that is available. All review papers have been reviewed, but a number of epidemiological studies have not been reviewed in the first instance. They were added to the file later. So it could be about that. The second issue is that EFSA had more data at its disposal than IARC, including the studies to which Mrs Dik-Faber referred, namely animal studies and lymph node cancer studies. This is because EFSA has more data in this case than just the public data. In this case, not all the data used will not be made public, which means that EFSA will have more at its disposal to make an assessment. There was also controversy about this, because a different assessment was made, as an assessment had to be made on the basis of other data. So it's true; there's sometimes a difference in information that's available and sometimes there's also a difference in the assessment or weighting that's made. It's part of science, eventually. The essence of the question is whether you think that the procedure as we set it up gives sufficient confidence. I think that's true. At the same time, in view of the discussions that we have had on arthropods and other plant protection products, I can well imagine that, in a European context, we will discuss whether we could make adjustments to the procedure, which could lead to greater confidence in that procedure. I think it is sufficiently secure, but I think the question of making the studies public is legitimate. So I think it's good to talk about that further. In addition, there is the question of whether you have faith in the institutions we have set up for this. I believe that, as we have agreed in Europe, we have made every effort to ensure that they ultimately lead to a proper assessment of the potential harmfulness of substances and that, on this basis, a proper assessment can be made of whether or not to allow them.
ParlaMint-NL_2017-06-08-tweedekamer-5.u115	We need to get back to base. We're talking about cancer all the time. Seriously, but all that still has to be demonstrated. I have the following question to the Secretary of State. Vewin, the Association of Drinking Water Companies, says that for years it has been found in cross-standard concentrations and is at risk for drinking water. Those are our people, those are our people who drink our drinking water, as well as our animals. If it's established that pebble is a poison that's bad for our pollinators, so bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees, bees. We must stop doing what the European Union, EFSA, ECHA and others want to do. We shouldn't be doing that when we know all this, right? Isn't this enough to quit?
ParlaMint-NL_2017-06-08-tweedekamer-5.u116	I think you need to distinguish two things. Europeanly, we have set up a procedure whereby we can assess whether a substance can be used responsibly within Europe and whether it is justified to admit such a substance to the European market. Then you make a national assessment. For us, this is what the College for the Authorisation of Plant Protection Products and Biocidal Products, the Ctgb, is doing. This makes a national assessment of how this product can be used in the Netherlands. This can also be said to mean that this product should not be used in the Netherlands at all because of the specific circumstances here. We have experienced this, for example, with imidacloprit, where the Ctgb has taken far-reaching measures to reduce its use. That national assessment has to do with the specific Dutch circumstances and can therefore be about how much resources are being spent in our surface water and groundwater and whether they are potentially threatening our drinking water extraction, because it becomes too complicated for drinking water companies to extract all these substances. We can judge all that nationally. That is what we agreed on at European level.
ParlaMint-NL_2017-06-08-tweedekamer-5.u117	Then I don't understand the argument. Then we just have to stop. If it is a poison that ends up in our drinking water, if it is a poison for bees and other pollinators at the beginning of our food cycle... The whole Chamber has supported my motions, the bee's emotion. Then the Chamber cannot be left with the motion I am about to table. I'm asking the Secretary of State to prevent those motions. Let him take his responsibility and ensure that he does not sit in front of a committee of inquiry later on. The warnings are already there, and they are all experts in this area.
ParlaMint-NL_2017-06-08-tweedekamer-5.u118	There is one thing I would like to say to Mr Graus. He uses the word "toxin" every time. I did so once, and some of his colleagues did not agree. In fact, however, he is right. Plant protection products are there to protect crops from threats from nature, such as insects or weeds. How do they protect? Syringes are all about killing insects or weeds, for example. It's actually poison. That does not mean that we can never use any form of poison in agriculture at all. In fact, we would all have no food if plant protection products were not used occasionally. I see Mr Grashoff making a hand gesture, but plant protection products are also used in organic farming. They sometimes only have a different origin from the chemicals used in normal agriculture. So the question isn't whether they're toxic or not. We'll find out soon enough. The question is whether you can use them responsibly, in such a way that you can minimize the damage to the environment or our health or prevent damage to our health. That is the central question that is always on the table and not the question of whether it is toxic or not.
ParlaMint-NL_2017-06-08-tweedekamer-5.u119	Now Mr Grashoff. No, no, Mr. Graus.
ParlaMint-NL_2017-06-08-tweedekamer-5.u120	Mr President, I would like an answer on the non-chemical variant. I have put forward alternatives. There's no response to that.
ParlaMint-NL_2017-06-08-tweedekamer-5.u121	I'll give you a second term.
ParlaMint-NL_2017-06-08-tweedekamer-5.u122	No, Mr President, that is something I have been asking here for years. I've put in alternatives, non-chemical variants, for chemical agents. I would have liked to have a reaction to that.
ParlaMint-NL_2017-06-08-tweedekamer-5.u123	Mr Graus, you have had two interruptions and you have a second term. Now Mr Grashoff.
ParlaMint-NL_2017-06-08-tweedekamer-5.u124	Mr President, Mr Graus is right, because I had not responded correctly. He had asked a separate question about that. We are talking about the so-called 'green plant protection products'. These are plant protection products that are not chemically produced, but products that we make based on natural ingredients. As Mr Graus knows and I hope the rest of the Chamber too, it is precisely a very important part of the policy that this cabinet has pursued with regard to plant protection products, the greening of the budget package, so ensuring that much more green resources are placed on the market and used and less and less chemicals. The Dutch horticulture sector has also indicated that it wants to phase out the use of chemicals as much as possible within ten to fifteen years. That is a tremendous ambition, with which the Netherlands would definitely be the leading player in the world if it succeeds. I am convinced that it can be achieved, especially if all the parties in this sector focus their energies on this. So, in cooperation between the business community here and the public authorities, we must be able to further green the package of resources. I therefore entirely agree with Mr Graus. We have to go that way. By the way, there are also very dangerous poisons in nature. Even resources that have naturally been created are not always safe to use. You often have strict usage rules for this too, because you still have to be careful how you apply them.
ParlaMint-NL_2017-06-08-tweedekamer-5.u125	I can imagine the Secretary of State's reasoning in procedural and administrative terms, that it should be an orderly process, that we should come up with a proposal and so on. At the same time, I would ask the Secretary of State, in general terms, to express an opinion in the light of a continuing scientific debate on health risks, in the light of a continuing discussion on the environmental impact of plant protection products and in the light of a sustained development towards green plant protection products and alternative farming methods. Does the Secretary of State agree with me that a six-month admission period at least does not correspond to the dynamics of this discussion?
ParlaMint-NL_2017-06-08-tweedekamer-5.u126	In doing so, Mr Grashoff is trying to get me to judge a proposal that is not yet available. I told you later that I'm not going to give it, because I just don't think it's careful to do that. If the Commission were to come up with such a proposal, we would have to wait and see, first of all, on the basis of what arguments it is doing, how it will give the debate on the Monsanto Papers a place in it and under what conditions such a proposal would be made. That's all relevant to judge it. There is not one thing you can highlight and say: only a ten-year term is unacceptable. You have to consider the whole package. As I said later, we have enough time for a discussion between the Chamber and the Cabinet or, according to the Chamber, the assessment that the Cabinet will give at that time is also the correct assessment. I have just said that I will not take a position in the discussions on this until I have been able to give an assessment that I have been able to share with the Chamber and the Chamber has been given the opportunity to speak on it.
ParlaMint-NL_2017-06-08-tweedekamer-5.u127	I find the latter special, because the Chamber has asked for this debate to be able to discuss it. So now is the time when we talk to each other, under the current circumstances and with the current knowledge of things, to see to what extent we can draw a conclusion to this. In this context, I do not think that the Secretary of State should be talking about questions of principle such as: is a ten-year admission period in the light of this discussion a sensible exercise?
ParlaMint-NL_2017-06-08-tweedekamer-5.u128	Of course, I am not talking about the timing with which the Chamber puts debates on its agenda. In fact, I have to say that we are having this debate because there was a rumor in the media that the European Commission might be able to make a proposal. There are sometimes other reasons for debate; let me put it this way.
ParlaMint-NL_2017-06-08-tweedekamer-5.u129	In any case, I am pleased that the Secretary of State agrees with me that this debate is premature and that the final judgment should be suspended. I do have a question. Colleagues note that scientists sometimes contradict each other. Which research institutions does the Secretary of State attach value to? Is that the Ctgb? Is that EFSA? Is that ECHA? Or are there any other institutions where he wants to put his ear before he comes up with a final verdict?
ParlaMint-NL_2017-06-08-tweedekamer-5.u130	I value all three of the institutions mentioned by Mr von Martels. They all have a place in the assessment of these types of substances. In the Netherlands RIVM also sometimes participates in this type of process. In this case it was not, but sometimes RIVM also plays a role. We have many renowned institutions that we can expect to make a good assessment of, give a good scientific assessment of everything on the table.
ParlaMint-NL_2017-06-08-tweedekamer-5.u131	In short, I have not forgotten any institutions; the Secretary of State mentions a few more. Perhaps Vewin's judgment is also important for the Secretary of State to pass his final judgment. There may be other institutions. That's what I'm looking for. If we are going to have a discussion about who the Secretary of State listened to in order to reach a verdict, we should not have the discussion afterwards that there have been many more who have made a different noise. We should be guided by the institutions we have created. They must be leading as far as I'm concerned.
