ParlaMint-NL_2017-05-10-tweedekamer-3.u1	A warm word of welcome to the Minister. Thank you for joining us.
ParlaMint-NL_2017-05-10-tweedekamer-3.u22	Thank you for that answer. In that case, however, the child is already involved in the procedure. As has just been discussed, it is precisely the wish of the Chamber of Appeal to make that period even longer to allow the child to rest. I am concerned that a request from the parent alone, who is in detention, for example, can lead to contact or association with the child and cause a great deal of stress and unrest. Then how can we look for a procedure that is least burdensome for the child? If such a request threatens, even before it causes a great deal of stress and unrest for the child, we could, for example, consider whether the Council for Child Protection or the guardian could extend the time limit of inadmissibility, of course by the judge.
ParlaMint-NL_2017-05-10-tweedekamer-3.u23	If the judge wishes to judge such a request, he will have to weigh up all interests again. Then it makes sense that he involves the child and tries to hear it. That brings you to the complex balance, for which Mr El Yassini also sought a solution in his amendment, whether you should extend the deadline yourself. I have said that, under international treaties, I cannot say that this would not be possible. However, I can see that this increases the risk that judges would become more reluctant, because they will say: as I interpret the Treaties, it is an extreme time limit. I would be sorry if this law, in which we all believe, could not simply enter into practice and be tested. That is why I think that the two-year period is reasonable. Mr Van Nispen is right that this could indeed mean that the procedure would have to be repeated if, after that two-year period, there was a need for the parent who was likely to be imprisoned at that time to ask for reassignment. If you do not want to do so, you are actually creating a longer period in which that parent is denied access to justice and in which he cannot rely on the other human rights in question, namely dealing with the child.
ParlaMint-NL_2017-05-10-tweedekamer-3.u24	I understand this part of the Minister's reply, but I am concerned that we are looking for a method whereby we do not strictly extend the deadline. Then perhaps we would go too far and risk not realizing what we all want. I am more concerned with the search for a creative method, in which we do justice to all interests and perhaps give the child a somewhat longer period of rest. I don't care if we don't weigh the child's interests. But if such a solution cannot be found in all creativity, then it does indeed end; then that is no different.
ParlaMint-NL_2017-05-10-tweedekamer-3.u25	I understand the search, but I would also find it undesirable not to allow a judge to involve the child again after those two years. This is also part of the careful consideration.
ParlaMint-NL_2017-05-10-tweedekamer-3.u26	The SP indicates a good point. That is exactly what we are trying to do with our amendment. The Minister states that the VVD wants an extension of one year, from two years to three years. Now and technically, that is not exactly what we want. We want to make a link between the withdrawal period and the inadmissible period, with a maximum of three years. In situations where the court finds that the cancellation is for two years, that means that the inadmissible period simply remains two years and is not increased to three years. We are trying to ensure that the child gets rest, just as the SP has just said, and is not taken into the mill of justice. Denying three years is a good time. There really has to be something on the basis of this if the judge is to decide to do so. Then there is something really going on, in which the safety and importance of the child are paramount. Maybe they're even at stake. A judge can say, "I'm denying you a three-year period."
ParlaMint-NL_2017-05-10-tweedekamer-3.u27	And what's your question?
ParlaMint-NL_2017-05-10-tweedekamer-3.u28	I have one comment and I think I can make it behind the interrupting microphone. I support the SP line.
ParlaMint-NL_2017-05-10-tweedekamer-3.u29	Mr El Yassini is right, of course, because he explains his own amendment and says that he makes a link between the transitional period and the period in which access to justice is not discussed. That increases the concern I have that for that reason the judge will become more reluctant, for example to impose a three-year period of no association. This automatically means that no access to justice is granted for three years. A judge can say: that is an automatic coupling that has such a major breach of that other fundamental human right, that I would not have imposed that three years of non-engagement that I would otherwise have imposed, at least now. I would regret that in the end. Once again, I understand Mr El Yassini's and Mr Van Nispen's quest to avoid unnecessary burdens on the child, but every solution must also bear in mind its side effects. I think it's a little too big in this case. I shall return to Mr Van Nispen's questions. He asked me if the protocol is really aimed at dealing with all matters in one session as much as possible. I indicated in my reply to Mr Markuszower's questions that the procedure will often be that a provisional provision is made first, very quickly, and then the time is used to carry out a further investigation. This means that I cannot guarantee that as much as possible will be dealt with in one session. Of course, as much as possible will be avoided if there is no urgent reason for this. However, the combination of fast and careful is so essential that we must leave that space. Mr Van Nispen asked what rights there are for other family members when it comes to dealing with the child. It follows the line that all those who are in a close personal relationship with the child may request treatment. It is obvious that grandparents and grandmothers are present, but in this case too, when a request is raised, the judge will always make a judgment, weighing greatly the child's interest. Mrs Van Toorenburg asked whether a parent who should not be involved should have information about the child. In principle, such a parent is still entitled to information, but also with regard to access to information, a request may be made to the court to deny it. Mrs Van Toorenburg further asked how to deal with renewed contact with children if suspicion falls away. In the procedure as I described it, a very quick assessment and then a heavier weighting in a six-week period, of course, there is a guarantee to be able to go deeper into the seriousness of the suspicion. In any case, in the case of partner killing under the protocol known to you, intensive guidance will be provided for the child. This intensive guidance is even more important if it turns out that the suspicion was unjustified. After all, another parent has still died and there is a very complex traumatic situation. The guidance will therefore focus on the fact that the remaining parent was wrongly suspected and that the relationship, which was obviously equally severely disturbed, will have to be rebuilt. I come to Mrs Bergkamp's questions. She asked me to address the cases mentioned in the WODC report in which the child's wishes were not addressed. That investigation involved five cases. Nor can we find out from the report exactly what was going on there. So I owe her that answer. Mrs Bergkamp then replied to the question of the two-year period. Is that term ECHR proof? In response to questions from Mr El Yassini and Mr Van Nispen, I have already indicated that one cannot say very black and white that a somewhat longer period would not be allowed at all, but that one cannot say very black and white that two years is always allowed. It is my conviction, however, that within two years we will find a reasonable balance between the rights of the parent and the rights of the child and that that period is, in that sense, also EVMR-proof. Mrs Bergkamp also asked whether the proposal did not infringe the innocence clause. The bill is not intended as a criminal measure. It's a protection measure for the child. The judge will therefore consider whether dealing is contrary to the best interests of the child or is in his best interest. That weighting can therefore be considered even if there is only a suspicion and not a conviction. That underlines how important it is for a judge to do that weighing. That weighting itself is not yet a condemnation; that is another course of action. However, the fact that a judge does that weighting ensures that the question is looked at very carefully "is there a suspicion and is the relationship surviving parent-child such that I can impose this very radical measure?" Mrs Bergkamp also asked about the possibilities of denying treatment if there is no conviction. This bill oversees suspects and convicts of partner killing. If a person is not convicted, the Child Protection Council is not obliged to apply for a transitional arrangement under this bill. Of course, there may be other reasons why a judge denies association. It may be that there was no partner killing, but it was domestic violence or any other reason why a judge comes to the conclusion that there should be no intercourse. However, that is not under this law. Mrs Bergkamp also asked how the two-year period relates to the child's right to periodic evaluation. In reply to Mr Markuszower's question, I indicated that a child can always apply directly to the court for treatment. That period can then be reconsidered. Mrs Bergkamp asked why the bill is not in force if there is no partner killing, but if there is serious violence. Mrs Van Toorenburg also asked about this. It considered the situation that the violence and injury were so serious that the partner was no longer able to take care of the child. If this is the case, the Children's Protection Board may ask the court to take action. In the direction of Mrs Bergkamp, I already referred to the question of whether it is only in the case of partner killing that you can deny treatment: no, that can also be done in other situations of violence or domestic violence. Then custody or under surveillance may also be requested. Since this also horrible situation is already foreseen, it is therefore not necessary to regulate it in the law. Again, as this law seeks a careful balance between important fundamental rights, it would not be possible to anchor the inevitable gliding scale of violence, which fortunately did not lead to the end of life, but to other injuries, entirely in this law.
ParlaMint-NL_2017-05-10-tweedekamer-3.u30	I agree with the Minister and I thank him for the answer. I do have a question. We have now settled it well with a partner killing, because the protocol of action will then start immediately. So the police know what to do, as well as the Council for the Protection of Children, but is there any interest in considering whether the Council for the Protection of Children should ask the judge to take a serious look at this and investigate it? Can the Minister answer that?
ParlaMint-NL_2017-05-10-tweedekamer-3.u31	I think it would be a good idea for me to comment on Mrs Bergkamp's amendment as well as on how, in recent years, we have dealt with situations of serious violence which did not lead to death but, of course, to a very disturbed relationship between parent and child and also to a very traumatic situation for the child.
ParlaMint-NL_2017-05-10-tweedekamer-3.u32	I understand from the documents that we are getting an evaluation earlier, namely of the protocol of action. Can this particular point be taken into account in order to see whether the protocol of action could provide a solution, regardless of the fact that you do not need this law now, but rather the protocol, on the basis of which the Council for the Protection of Children can ask the court to intervene? So can this point be taken into account?
ParlaMint-NL_2017-05-10-tweedekamer-3.u33	I'd like to admit that, yes.
ParlaMint-NL_2017-05-10-tweedekamer-3.u34	I welcome the commitment given to Mrs Van Toorenburg. I do have a question about inadmissibility. The Minister indicated that there are also possibilities after that, but if a suspect is no longer suspect in the end, in other words: not the perpetrator, I assume that this inadmissibility is immediately removed.
ParlaMint-NL_2017-05-10-tweedekamer-3.u35	If there is no other... No, I have to put it right: then he can request that that inadmissibility be terminated. That will generally be promised. I wanted to add a hook in the sense of 'if there are no other situations', but that does not apply to inadmissibility, but to the possibility that the handling is still limited at that time.
ParlaMint-NL_2017-05-10-tweedekamer-3.u36	If I understand correctly, the person who was suspected and who did not appear to be the culprit must, therefore, make a request to the court to withdraw the inadmissibility.
ParlaMint-NL_2017-05-10-tweedekamer-3.u37	That makes sense to me. I'm just gonna check... No. You know what? I shall come back to that in the second term, because I see two different nods and this is important for the history of law. I come to Mrs Bergkamp's question about the child's guidance. I have already pointed out to Mrs Van Toorenburg that after partner killing there is careful supervision, as is also laid down in the protocol of action. Mrs Bergkamp also asked why the proposal does not apply to partner killings by other than legal parents. Then it's generally about a step-parent or foster parent. At the moment, I am not aware of any such cases, but I am afraid that there is no way that anything like this will ever happen. In that case, however, there will normally still be natural parents. Because there is a step-parent or foster parent, there is normally a parent, who apparently does not or at least does not have the full parental power at the time. That is why it does not make sense for this particular situation to be regulated in this law. Mrs Bergkamp asked whether it had been considered not to make the law as it now stands, namely that the Council for the Protection of the Child always makes a request to the court, but to formulate it in such a way that the request is made only if the Council for the Protection of the Child so permits. That construction was deliberately not chosen because it creates a complicated situation that gives the child more unrest. The law is now black and white in the sense that the Children's Protection Council always goes to court, after which the judge judges. If you introduce a moment of choice, so that the Council for the Protection of Children can refer the application to the court, so I understood Mrs Bergkamp's question, then an additional uncertainty arises. After all, the child must first live in uncertainty about whether the request goes to the gentleman or the lady who really takes the decision, while then the tension over the decision itself follows. This also complicates the position of the guardian. An important reason for the drafting of this law is that, in current practice, a guardian sometimes finds himself in a complicated position because the question of whether or not a transitional arrangement should be introduced actually comes to him. That puts the guardian back in that complicated position. The law is therefore a bit black and white in this area, precisely in order to create in the procedure the peace that we wanted to create.
ParlaMint-NL_2017-05-10-tweedekamer-3.u38	My colleague from GroenLinks also asked the question about the potentially unnecessary legalisation of such situations. I spoke to the people at the trauma center at UMC Utrecht. Their fear was that it was also necessary to take a step to court when parties came together: for example, the father said that he would accept it and would not have to deal with his child and everyone, the foster family and the child, agreed. Such a trial can bring its own dynamics. For example, the father and the lawyer say that they want something else. That could lead to more unrest. I understand that I cannot completely change the proposal in this respect, but I would like a response to that. Otherwise, I would like to ask the Minister whether he can take this point into account in the evaluation and whether he can ask the trauma centre to look specifically at this perhaps unnecessary judicialisation in practice.
ParlaMint-NL_2017-05-10-tweedekamer-3.u39	That seems to me to be a sensible proposal. Mrs Özütok also asked me to continue to monitor carefully, given the complexity of the consideration we are facing. I think it makes sense to include this question in the evaluation: does this not lead to unnecessary legal proceedings? If the parent does not ask for treatment, as Mrs Bergkamp mentioned, there is of course no reason to start this procedure at all. The underlying question, namely whether this does not lead to extra judicialisation, I think is a valid one. It is logical to include this question explicitly in the evaluation. I would like to return to Mrs Bergkamp's question, on which I did not have the answer ready: what is the situation if the suspect is no longer suspect? Then there is a change of circumstances and the defendant must indeed make a request. The changed circumstances make that admissible again. The period of inadmissibility is therefore interrupted, but the application must be lodged.
ParlaMint-NL_2017-05-10-tweedekamer-3.u40	Am I to understand that you are embracing Mrs Bergkamp's amendment? Well, that'll do.
ParlaMint-NL_2017-05-10-tweedekamer-3.u41	There are more amendments. I would like to make one comment on the amendment relating to the evaluation. I do not know if it is meant to be, but as it has been formulated, it is asked to carry out an evaluation every five years. That's forever. I would actually like to ask Mrs Bergkamp to start with 'in five years'. It will then be possible to assess whether another evaluation is needed.
ParlaMint-NL_2017-05-10-tweedekamer-3.u42	I think this is a good suggestion from the Minister. I am going to amend the amendment in this way.
ParlaMint-NL_2017-05-10-tweedekamer-3.u43	In this adapted form, I'd like to leave it to the Chamber.
ParlaMint-NL_2017-05-10-tweedekamer-3.u44	A question about the situation in which the defendant later turns out not to be a perpetrator and thus there is an acquittal, or changed circumstances. It seems to me a little cumbersome that a request should be made and that it should not be granted automatically. I am not so much concerned with making this request as with the fact that the suspected perpetrator had been deprived of access and authority, and later it turned out that he was not a perpetrator. Then why isn't authority or handling automatically returned?
ParlaMint-NL_2017-05-10-tweedekamer-3.u45	I understand this wish, but with the word 'automatic' we assume that enough people, all by themselves, will remember that all the steps that need to be taken are also taken. I accept people as they are, so I just can't guarantee that all those involved do so at such a time. This is a big, emotional moment: there was false suspicion, there is acquittal. I do not dare to guarantee that all those involved will immediately remember that this period of inadmissibility must be broken before the ex-suspect, and that while the non-suspect himself, of course, is immediately ready to see his child again. I therefore understand this wish, but for this very practical reason I think that we would make a promise in this way, while in practice it will often go wrong if we do not leave the initiative with the former suspect, who has now proved innocent.
ParlaMint-NL_2017-05-10-tweedekamer-3.u46	Thank you for this answer; perhaps my choice of words with "automatic" was not so good. What I fear is that a judge will say that the circumstances have changed greatly, that the child is already grounded in the other family, that the grandparents or guardians are now very attached and that the child is also used to the new situation, so that it might be too incriminating for the child to go back to someone who had considered the child as the perpetrator. The judge could thus decide that the child should not return to his own parent.
ParlaMint-NL_2017-05-10-tweedekamer-3.u47	It is therefore very important to make a difference between inadmissibility and the transitional arrangements. As I said to Mrs Bergkamp, if anyone turns out to be happy but innocent of partner killing, that does not mean that there has been no domestic violence or other reasons for supervision or custody in the family. That's why you can't make that clutch. I believe that Mrs Bergkamp asked how that inadmissibility is going. This is directly linked in law to the partner killing, so it makes sense that it can be terminated. You asked if these things couldn't be done automatically. Although I understand this wish, my answer is that, for practical reasons, a request should be made on the basis of changed circumstances.
ParlaMint-NL_2017-05-10-tweedekamer-3.u48	I would like to ask the Minister about this. If a parent of such an act is acquitted, would it not be better, instead of having a request to delete the inadmissibility period, to apply for a full transitional arrangement with the child? According to the law, the parent is no longer covered by this specific legislative amendment. This means that an application may be made immediately and that, on the basis of the legal text we are debating at the moment, the judge will check whether or not this request is admissible. So my question is: is it true that a request for that inadmissibility should be made, or should a parent not make an application for access earlier, because there is a change in the situation and the inadmissibility period automatically lapses because the parent is no longer a suspected or convicted offender?
ParlaMint-NL_2017-05-10-tweedekamer-3.u49	This is such a specific situation that I would like to return to it in writing. I understand the background to this question. We all hope that this happens, so that people turn out to be innocent, but for legal practice this requires a precise explanation. That is why I shall return to this in writing.
ParlaMint-NL_2017-05-10-tweedekamer-3.u50	Perhaps the Minister should take up the big poignant point, namely that a child should not be forced to go to a TB institution or prison, so that this does not happen anymore. After all, if someone turns out not to be the culprit, he is no longer in the TBs institution or in prison. So we should not make it any bigger than it is, but at the same time I should like to ask the Minister whether, if he does respond in writing, the Children's Protection Council itself could not have a role in this by indicating that the situation is no longer the same and that the requests are therefore withdrawn. Can that be included in the answer?
ParlaMint-NL_2017-05-10-tweedekamer-3.u51	I will. By the way, we are trying to imagine situations that can be very complicated, but people can still be in that institution for another reason. In criminal law, you may want to deal with families who do not fully meet the model family, in which father goes to work at 7:30 in the morning with his lunch box. There are relatively more complex situations. That is exactly why I would like to return to this situation in writing.
ParlaMint-NL_2017-05-10-tweedekamer-3.u52	Thank you. I think it is very good that the Minister should return to this in writing. I assume that this will be for the votes. Can he also say that this must of course be done as soon as possible? There has to be some kind of emergency procedure. It can't be that you have to go through a whole trial with the judge again that takes a very long time. I would find that really unacceptable. I hope that the Minister can take this point into account.
ParlaMint-NL_2017-05-10-tweedekamer-3.u53	Yes. I'll take the lead time in the letter. I hope I have answered the questions in the first place.
ParlaMint-NL_2017-05-10-tweedekamer-3.u54	I would like to hear from you what you are doing with the amendment to item No. 9 by Mrs Bergkamp on the special curator.
ParlaMint-NL_2017-05-10-tweedekamer-3.u55	That is very sharp and rightly so! This amendment indicates that a special curator must always be appointed. The appointment of a curator is a possibility that the judge now has; that is possible. By obliging that, you actually create complexity, even where it wouldn't be necessary. I believe that Mrs Bergkamp's concern is that we should not make things too complicated. I agree with her that a curator may be needed, but a judge can already decide to do so. However, imposing that standard makes a situation that is apparently so clear that a judge who doesn't consider it necessary suddenly a more complicated situation. That is why I would not recommend this amendment.
ParlaMint-NL_2017-05-10-tweedekamer-3.u56	I would like to comment a little more on that. We have said a few times that this is a very exceptional situation: the child does not really have a home front anymore, father is often in prison and mother is no longer alive. Then there's all kinds of family members involved in trauma processing. A child like that is often stuck in the middle. The guardian is executive, the Council is consultative and the children's judge has to take a decision. In passing, we have indicated in the debate that there must be an informal access to justice for the child. But when you're 6, 8 or 12, you're in a family that might say, "You're not going to your father," when you might want to, you have to come from a good house to find against that will in that informal courtroom. I sincerely believe that in such situations a child needs a special curator from the start of the process. It's not a lot of situations. What Minister Blok says is true: in situations where there is a conflict, the children's court may decide to do so. In situations like this you can say that it is such a difficult and unique situation, that the child's voice must be heard and interpreted by a special curator, who is also specialised in it. So I ask the Minister to feel this for a moment. Hopefully, on the basis of my speech, he will be able to give us some nuances.
ParlaMint-NL_2017-05-10-tweedekamer-3.u57	Mrs Bergkamp rightly points out that these are very complex and sensitive situations in which a child is always in a complex lack of conscience. At the same time, I note that the judges who assess these cases are children's judges, i.e. specialised judges. They are therefore well aware that the issues they are being presented are also in the context mentioned by Mrs Bergkamp. Then it is an assessment of the ability of judges to properly assess whether a curator has added value in that situation. My estimate is that a judge who can and wants to make judgment is good. Mrs Bergkamp is a little more concerned about that. All things considered, I think it's just too far to say: it should always be, even if that specialized judge says it is not necessary in a particular case.
ParlaMint-NL_2017-05-10-tweedekamer-3.u58	I do have concerns about it. When it comes to such a specific situation, I think that you should also be open minded about changes that strengthen the child's position. The research of the Kinderombudsman about the special curator states that very often it is not considered. It is really not the case that it has come down that a special curator can occupy an important position. So that's what my concerns are about, as well as the randomness. This is a situation that we can hardly imagine, but you will be 6, 8 or 12 years old and will be raised in a family and feel that pressure, and you will have to find that informal right entrance. In the report of the Kinderombudsman we have also read that guardians are sometimes not entirely objective in it either. It's just a very emotional situation. I therefore welcome the fact that the child is entitled to a special curator by default. I'm hearing the Minister's opinion now. It is what it is. I hope that my colleagues will be able to support my amendment.
ParlaMint-NL_2017-05-10-tweedekamer-3.u59	I understand Mrs Bergkamp's concern. I would also like to offer her that this evaluation also includes the question of when to use a curator and whether this might not be enough, but a law is very unbearable. If the House here accepts the amendment, which is its right, then then there is no choice either. There's a curator by default. I think that, also on the basis of the signals that Mrs Bergkamp rightly refers to, is a step too far.
ParlaMint-NL_2017-05-10-tweedekamer-3.u60	I share Mrs Bergkamp's concerns and I do not understand the Minister's consideration of this issue. Although every child this happens to be one too many, they are about 36 children per year and 14 cases per year. So my question is: why not? The minister says it's getting more complex, but I don't really see why it's complex. These judges are children's judges and are very professional, but they have a lot of cases every year, around 30,000. The average term of such a judge's term of office is less than 30 minutes. It is the experience of many that, on the basis of the documents submitted, these judges often rule, with the term of office often only 15 minutes. I believe that such a curator at that preparatory stage can indeed play a huge added role in particular the rights of the child and not so much the rights of the guardian or the opinion of the Council for the Protection of Children. I would like to hear the Minister's opinion on this.
ParlaMint-NL_2017-05-10-tweedekamer-3.u61	Mr Markuszower asks why I think it is becoming more complex. A number of speakers have already mentioned the fact that this legislative proposal, to a certain extent, already provides for further judicialisation and have asked me to pay particular attention to this in the evaluation. Against this background, a mandatory participant is now being introduced within this complex process. With this proposal it becomes a mandatory participant; optionally he is already there. There's always been three players, besides the kid himself. First of all, there's the guardian. Mrs Bergkamp is undoubtedly right to say that this role is varied, but there is a guardian with the task of defending the child's interests. Secondly, there is the Children's Protection Council, which is examining the situation. Thirdly, there is the children's court. Now a fourth player is brought into the field. This happens with the best intentions, but the situation becomes really more complex because participation of the fourth player is mandatory. All things considered, I am not saying that it is a nonsensical or unworkable proposal, but I do not think it is right to impose it in the law. I think it makes sense to look at this in the evaluation: how often is the figure of the special curator used and how does it work in practice? I think that is wise, also given the way in which I want to deal with this law at all. I have the impression that I have many of you in that consideration. It's a big step, though. Let us now gain experience with this law in the first few years and also for this part first check whether it is problematic in practice.
ParlaMint-NL_2017-05-10-tweedekamer-3.u62	The alternative is, of course, a delay in the process, because if the children's court has to decide that a curator is necessary, it will result in delay. In that case, the complexity of the Minister is still present, with the result that the harrowing situation continues longer for the child. All things considered, I think Mrs Bergkamp's amendment is very sensible. I hope the Minister doesn't want to be shunned after all.
ParlaMint-NL_2017-05-10-tweedekamer-3.u63	I do not follow Mr Markuszower. He says there's always a delay.
ParlaMint-NL_2017-05-10-tweedekamer-3.u64	Of course, there is a delay when the children's court has the case in hand and says: it is so complex that I appoint a curator. That can happen, as the Minister himself says. That's an option. This leads to delays, because then the whole case will be suspended and the curator will have to look into the best interests of the child. Then we'll be two, six or eight weeks away. That's unnecessary.
ParlaMint-NL_2017-05-10-tweedekamer-3.u65	Okay, but if the amendment is adopted, the delay will always be there in another way, because the curator will fill in his or her role and ask for time and attention for it. This is happening in a different way than in the situation Mr Markuszower has outlined, but it requires time and attention.
ParlaMint-NL_2017-05-10-tweedekamer-3.u66	I'm gonna try again, because I don't quite understand. In a complicated situation with complicated, conflicting conversations, even an adult can take a confidant because the pressure of such a conversation is very high. That's already been arranged in several ways. That's very common. How is this settled in a child's situation? If the court hearing and the whole preparation of it take place and all professionals are working on the matter from their own perspective and professionalism, who will defend the best interests of the child and who will assist the child? I have not been able to understand that correctly, not even from the Minister's words. That's all I care about. Who represents the child? Is that the child's confidant himself?
ParlaMint-NL_2017-05-10-tweedekamer-3.u67	That's the guardian now. If the judge has reason to doubt, he can appoint a curator.
ParlaMint-NL_2017-05-10-tweedekamer-3.u68	You say "can." So what is the objection to having it arranged in front, so that a curator is self-evident, does not need to be applied for and does not need to be appointed by the judge? I understand the Minister thinks it's important, because he says the judge can appoint a curator. Then why shouldn't we settle it out front, assuming it's such a complicated situation for the child? Then we can take care of it preventively, can't we?
ParlaMint-NL_2017-05-10-tweedekamer-3.u69	In doing so, the Chamber sits on the judge's seat, by stating: we do not think that the judge makes a proper assessment in such a case, and we therefore require the judge to always appoint a curator. That is the right of the legislator, but it is a bit unfriendly to that child justice. In practice it means that there is always a fourth player on the field. It will undoubtedly fulfil its role seriously, but as a result there is a delay in this matter, I have just spoken with Mr Markuszower in every procedure, not only in those cases where the child court judges: here the curator is really needed.
ParlaMint-NL_2017-05-10-tweedekamer-3.u70	A short question, not to tease. Does the Minister consider it more important to defend the child's interests, or to be friendly towards the judge? My group makes the assessment that we are still looking at the best interests of the child. It shouldn't matter to all of us here whether or not the judge is a little offended.
ParlaMint-NL_2017-05-10-tweedekamer-3.u71	I do not think that is a very relevant contradiction.
ParlaMint-NL_2017-05-10-tweedekamer-3.u72	The Minister's only argument was that it was not so friendly towards the judge and that the Chamber would sit on the judge's seat. No, the Chamber wants, if this is adopted, to better guarantee the rights of the child.
ParlaMint-NL_2017-05-10-tweedekamer-3.u73	Mr Markuszower has made a fine speech so far, but now he says that I have only put forward one argument. That's not right. I have made a long argument with a large number of considerations.
ParlaMint-NL_2017-05-10-tweedekamer-3.u74	Thank you. That was the first term. We'll continue with the second term immediately. Mr Markuszower waived his speaking time. I call Mr El Yassini of the VVD Group.
ParlaMint-NL_2017-05-10-tweedekamer-3.u75	Mr. Chairman. I thank the Minister for answering the questions. I will then go into the amendment that the VVD is going to table. We are still looking, precisely because of the nuance and the European Convention on Human Rights, at the link between denial and inadmissibility. We shall limit it to three years in our amendment. This means that this situation only changes for cancellations of two years or more up to a maximum of three years. We are tabling that amendment and we are counting on the support of the Chamber.
ParlaMint-NL_2017-05-10-tweedekamer-3.u76	Mr. Chairman. We have had an extensive and good debate on an important law which is trying to make a horrible problem a little less painful. I would like to thank the Minister for his reply, in the sense that there is always a need to justify why a judge chooses a certain period of time. The conclusion of the SP is that in our search for the possibilities to reduce the burden on the child, possibly even after those two years, we do not end up getting much further. I understand the Minister's answer that the possible extension of borders, for example the extension of the deadline, as the VVD wants, or the possibility, which I carefully suggested, that you extend the deadline of the Council for the Protection of Children, also entails disadvantages and risks. I accept that, because I absolutely do not want this important law in the First Chamber or at the European Court of Human Rights to cause problems. It seems to me right that we should gain experience with the law and then evaluate it. I am going to advise my group not to agree to the longer term for denying access to justice, but, of course, to vote wholeheartedly in favour of this important law.
ParlaMint-NL_2017-05-10-tweedekamer-3.u77	I thank the Minister for answering all the questions. We are taking an important step today, because we are placing the child more at the centre. We better protect the child in a situation where there has been a complete drama. Let us be clear that the CDA will not support the amendment that the VVD wants to table anyway because we see great risks in it. Of course, we can look at this in the context of the evaluation. I will present Mrs Bergkamp's amendment to the evaluation clause with a positive opinion to my group. I think it is right that we should properly evaluate every far-reaching law and see if things can be improved. I do have a hesitation about the special curator. It lies in the fact that I do see that we must always be careful with the enormous judicialisation. That is what we now feel compelled to do. We have been encouraged to do so, and we have done so today. However, the question arises as to whether the court should always be obliged to actually appoint that particular curator. Experience has shown that grandparents are very well able to see what the interests of children are. They have not been the ones who joined the Chamber for nothing. So I do not know whether it should necessarily be the case that a child's judge appoints a special curator, because then there will be a partner with whom the grandparents will have to consult, who will take up a position which may not be necessary in an exceptional situation. If the Chamber decides that it will probably be the case often, we are already taking a very important step. I have sufficient confidence in the children's judges not to do so in special situations where there is no need.
ParlaMint-NL_2017-05-10-tweedekamer-3.u78	I understand some of Mrs Van Toorenburg's considerations, but I really do think differently about one remark. Mrs Van Toorenburg says that grandparents are always best placed to assess the best interests of the child, but I am looking at the casuistics. Mrs Van Toorenburg has a history in this file. She has spoken to many people; I have a great deal of respect for that. You can also see that they have their own feelings, which they sometimes project on the child. I don't blame them at all, because it's a horrible situation. That is why I propose to Mrs Van Toorenburg the following. We can just try it together with that particular curator, because at the moment there is not really a party representing the child objectively. We can all think that, but in practice we see that it is often different. That is why I would ask Mrs Van Toorenburg to think again about making the special curator compulsory in this unique situation.
ParlaMint-NL_2017-05-10-tweedekamer-3.u79	Of course I'm gonna think about it. When we have the group discussion, we will take a final decision on this. For the time being, I have to say that I am inclined to give a negative opinion to my group. I see, however, that judges also know that the question is whether everyone is sufficiently aware of the importance of the child. The judge knows that he has the instrument, that of designating a special curator, but that it should not necessarily be. That's what it's in for me. There will be situations where family members are also very well able to make it safe, protected and at ease for a child and to provide rest. I wonder whether it would be in the best interest of the child to add another person who is particularly interested in the child's interests. If necessary, the judge will actually designate that person.
ParlaMint-NL_2017-05-10-tweedekamer-3.u80	That seems pretty clear to me.
ParlaMint-NL_2017-05-10-tweedekamer-3.u81	I'll leave it at that.
ParlaMint-NL_2017-05-10-tweedekamer-3.u82	We are now going to listen to Mrs Bergkamp from the D66 group.
ParlaMint-NL_2017-05-10-tweedekamer-3.u83	Chairman. I thank the Minister for his contribution. He has indicated that it is a question of balancing between the different rights. I think that the Minister has explained it very well and has struck a kind of balance between all the interests that are at stake. I congratulate the Minister on his speech in this debate. I think he hit the right tone. It's very difficult, but I think it's good that the bill has been amended as we discuss it. I am also pleased with the approval of the Minister for Evaluation after five years. He has promised to include a number of elements specifically, for example the fear of judicialisation. I thank the Minister for that. We have had the opportunity to debate the special curator. Once again, with all these parties, there are certainly a number of things that are missed. That seems to me to be very serious and then it is very nice if at least a special curator comes along from the beginning. I have one more question about the stepparent. The Minister said: I cannot quite imagine such situations, because often there is another parent. Of course you don't have to. It may also be that the biological parent is no longer alive or there may be one parent. I would ask the Minister to respond a little more in detail. I am also very happy that he will come back in writing to the question of what happens if you are no longer a perpetrator and what about that inadmissibility of two years.
ParlaMint-NL_2017-05-10-tweedekamer-3.u84	Thank you. Finally, Mrs Özütok of the Group of the Greens/European Free Alliance.
ParlaMint-NL_2017-05-10-tweedekamer-3.u85	Mr. Chairman. I would like to thank the Minister for dealing with this bill. In his speech he clearly shows and hears that he has really thought things through, in search of balance and balance. He has put forward a good bill to us. Thanks and compliments for that. I welcome the Minister's commitment to include further judicialisation in the monitoring and to carry out the evaluation. If Mrs Bergkamp's amendment is tabled, we will be co-signatory of it. As far as the curator and the interests of the child are concerned, I do differ somewhat from the minister. I believe that, in such a situation, a guardian can of course take into account the interests of a child, but my group is in favour of ensuring that the child's interests are well protected. I will give my group a positive opinion on Mrs Bergkamp's amendment. Thank you, Mr. Chairman.
