ParlaMint-NL_2017-07-04-eerstekamer-5.u1	I have already welcomed the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2017-07-04-eerstekamer-5.u25	This would lead to a huge increase in judicial tests in relation to current practice, because the work of the security services is mainly focused on what is happening over the Internet, through chat groups, forums and what is more. If all this were to be reviewed by the courts at a time, it would be a very large and very radical change in relation to current practice, with significant budgetary consequences as well. For, once again, that particular procedure for breaking a letter applies now only when it is really an envelope with a letter in it. I am not talking about operational data in public, but it seems clear to me that the number of times access to a letter is not very high.
ParlaMint-NL_2017-07-04-eerstekamer-5.u26	With all due respect, but it's too much work, I don't really think it's an argument. There used to be a lot of letters and that was a lot of work. In view of the fact that this is a level of protection in principle, my group does not find the argument that it is a great deal of work if we are to do so convincing.
ParlaMint-NL_2017-07-04-eerstekamer-5.u27	Well, okay. Next week, we'll deal with the new Intelligence and Security Services Act. I hope to convince Mr Lintmeijer that this can be done in the interests of safety.
ParlaMint-NL_2017-07-04-eerstekamer-5.u28	The Minister has just referred a few times to the discussion we are about to have next week on the new Intelligence and Security Services Act, but I assume that this new law is entirely in line with the current Constitution.
ParlaMint-NL_2017-07-04-eerstekamer-5.u29	Absolutely.
ParlaMint-NL_2017-07-04-eerstekamer-5.u30	After all, it will take about five years before the proposal we are debating becomes a Constitution.
ParlaMint-NL_2017-07-04-eerstekamer-5.u31	Absolutely. The crux of next week's proposal is that supervision and control are increasing and, on the other hand, that the bulk yarn of metadata is also allowed when it is not done via the ether but via cable. However, this is within the limits of the Constitution, even as it is now, yes.
ParlaMint-NL_2017-07-04-eerstekamer-5.u32	I assume the Minister is done with this point. He hasn't answered one of my questions yet.
ParlaMint-NL_2017-07-04-eerstekamer-5.u33	That's what I'm getting at. The question was whether the government intends to remove the obligation from ordinary law if the constitutional duty disappears to obtain judicial permission to open letters. It is no longer necessary, after all, for constitutional reasons. That is not the intention of the government, but we must realise that it still has to be adopted at second reading. I read in the newspaper that a coalition government is now being formed that may have a long life. Then it will take another four years for a new Lower House to be elected. In that sense, therefore, it is not very relevant what I am promising on this point, but in fact the answer is that the government has no intention of changing the law on this point. Once again, it could not be done until this amendment of the Constitution was adopted at second reading. So much for my answer on the horizontal effect. I would like to return to the concept of national security. We have taken this one-on-one from the ECHR and the practice of justice. The ECHR has clarified the concept. In any case, this may be the case in the case of breaches of state secrets and military secrets, calls for the use of force, the pursuit of terrorist activities and publication of writings that could damage the functioning of a country's state security. There are libraries about them, but for the sake of short, I would like to refer to the case law and the ECHR as regards the definition. The intended use on the part of the government is to make it fully synonymous with that use of the definition.
ParlaMint-NL_2017-07-04-eerstekamer-5.u34	By judgment of November 2012, the European Court of Justice said, in my mind, that the judge should really be involved when it comes to individual cases. I'll just say it in my own non-legal words. That case-law is exactly what it says: bring that judge in now, especially if you want to make an infringement in individual cases.
ParlaMint-NL_2017-07-04-eerstekamer-5.u35	Yes, but I can and should not now respond to individual cases. I refer only to the fact that national security is defined as it is done by the ECHR and by legal practice. Mr Lintmeijer asked why we do not say 'electronic communication' or 'communication through any channel'. In our view, the concept of 'telecommunications' is wider than 'electronic communications', which has a specific meaning in the Telecommunications Act. As has also been confirmed in the answer to Mr Engels' question, the government gives a broad, literal explanation to 'telecommunications', namely 'distance communication'. However, it must be carried out by means and entrusted to third parties to fall within the scope of Article 13. We believe that this has made it as future-proof as possible.
ParlaMint-NL_2017-07-04-eerstekamer-5.u36	Just to reduce the second term. I understand very well what the Minister said. As I said in the first term, I can understand why the concept of telecommunications has been chosen. It is precisely in order to give greater strength to the future that I have asked for something more to be said, in terms of creating legal history, here and now in the parliamentary debate, in order to provide a handle on what forms of communication might fall under the concept of telecommunications. What my group wants is to use the word 'communication'. We would then like to grant immunity to any form of communication. You can't do that right now. We can't change it now either. But a little more clarity on the part of the government as to how broad the concept of telecommunications could be interpreted would be very welcome.
ParlaMint-NL_2017-07-04-eerstekamer-5.u37	I will do my best and at the same time try not to fall into the trap of my predecessors, who introduced the concept of telegraph secrecy, precisely to be future-proof and to add a modern means. It is always tempting to fall back into examples. I have discussed with my lawyers the example of what we used to do with such a can with a string on it: would that be covered by telecommunications? We have concluded that this concerns the protection of privacy. You can discuss it or be communicated by means, but at least it is not entrusted to a third party. It does not therefore fall within the scope of letter secrecy or telecommunications secrecy. It's like whispering or yelling. I come back to these three criteria every time: it must be communication by means, it must be entrusted to someone, a third, and it must be addressed communication. I've just been tempted to the example of the fridge, which gave up the gin. I have said that I think that this ultimately meets the criteria. It's tempting to give more examples, but you don't know exactly how people communicate with each other in ten years' time. I'm going as far as I think I can go now. That was indeed Mr Engels' first question, which dealt with examples and the limits of telecommunications. We agree that you need to explain it widely; maybe we can find each other there. Let that be clear for the history of law. It is not the intention of the cabinet to say: this is what we are protecting now; if a new technique occurs, it is not one of them. No, it's supposed to be conceptual. As soon as something moves from one privacy to another through a means and under the control of a third party, it falls within the scope of Article 13 of the Constitution. Computer crime rests with V and J and does not fall within the scope of the letter secret, although there may be a overlap. Mr. Sini asked for traffic records. I have gone into this in detail. Mr Sini also asked about the role of the CTIVD. Next week we will be discussing this in greater detail. This will include the question of whether the CTIVD should give prior or ex post consent or monitor. I have just answered Mr Köhler's question about the proposed amendment of the law when he interrupted. Mr Lintmeijer asked whether the use of the word "inviolability" instead of "respect" was intended to give it a different colour of sound. That is not the case. At least that's not the way it's supposed to be. Mr Van Hattem supported the proposal, for which he thanked. Ms Duthler asked about the GDI and said it would be the successor to the Postal Act. The relevant legislative proposal will be dealt with. This could be discussed in greater detail. I would not like to refer to the GDI as such. We can always look at whether enough is being done, including in the area of privacy protection, when dealing with the legislative proposal, which is still under consultation. Otherwise, we can always signal that at the treatment in the Second and First Chambers. Mr. Chairman. I believe I have answered the questions with this.
ParlaMint-NL_2017-07-04-eerstekamer-5.u38	Thank you. In doing so, we have reached the second term of office. I call Mrs Van Bijsterveld.
ParlaMint-NL_2017-07-04-eerstekamer-5.u39	Mr. Chairman. In the first term, I accidentally omitted an important piece of my text, namely that I made the contribution on behalf of the Christian Union Group. Here's what I'm gonna do about it. I'm gonna fix that omission. On behalf of both groups, the CDA and Christian Union groups, I would like to thank the Minister for his reflection on the different dimensions of the newly proposed Article 13 and in particular for his reflections on the relationship between Article 10 of the Constitution and Article 13. Article 10 regulates privacy, including communication, even if it is electronic. Article 13 refers to telecommunications, to tele communications. I would also like to thank him in particular for considering the horizontal effect of the new proposed Article 13. Just on that cutting surface, I have one small question. By way of example, the Minister addressed the regime that applies when someone pushes an O.R. button on the internet and gets information from a commercial service provider via that route. If I have understood the Minister correctly, he said that this is not covered by Article 13 because it is horizontal. I can only very well imagine that this is covered by Article 10 of the Constitution, in particular its second paragraph, which includes the horizontal relationship. The law must then lay down rules according to the Constitution. These include the position of private parties. I'm very curious to see if the Minister can confirm that. I have no further supplementary questions. I have already expressed the agreement of both groups to this proposal.
ParlaMint-NL_2017-07-04-eerstekamer-5.u40	Madam President. You will understand that I am still trying to catch up with my colleague Mr Van Bijsterveld's opening line, in which she clearly established a political connection with the Christian Union group. The political importance of that remark will not have escaped anyone here! I thank the Minister for his frank answer. I can tell him that where we talked about the location of traffic data in the story about the relationship between Article 10 and Article 13 of the Constitution, my group is convinced. The Minister's reaction that he recognizes where the problem lies with regard to horizontal operation is clear. We can't solve that here and now in the First Chamber. That's obvious, too. It is a good signal if it is indicated from the government's point of view that when there is initiative legislation on this issue to strengthen it, the government will not oppose it in advance. As far as supervision is concerned, I would have liked to know a little more fundamentally at what point in time a certain form of supervision is of high quality. Is that always the judicial review or can that also be another form of independent supervision indicated by the legislator? We are going to talk about this much more fundamentally next week. It would be very unwise for me to preach my group chairman's contribution now, because I would also like to join for two more years. The last point is important: the interpretation and interpretation of the concept of telecommunications. My hope was that, in the context of the creation of legal history, we would be able to offer a little more practical guidance here. Moreover, I do not think that you should always listen to lawyers, but very often you should. I certainly understand that they are as advisors cautious; so would I have been. However, to the extent that the Minister has said that I repeat the concept of telecommunications in the most conceptual sense possible, I believe that this is already a signal to practice: if this proposal is implemented at second reading, then it is not the intention to close down a development. That would not be good, given how technological developments are going.
ParlaMint-NL_2017-07-04-eerstekamer-5.u41	Do you think about your time, Mr. Engels?
ParlaMint-NL_2017-07-04-eerstekamer-5.u42	Yeah, I can close with that. Fortunately, you were just ahead of me again. I always like that.
ParlaMint-NL_2017-07-04-eerstekamer-5.u43	Yes, you've been over your time for 1 minute and 38 seconds.
ParlaMint-NL_2017-07-04-eerstekamer-5.u44	Mr President, I look at you in a humble manner and I promise to improve, but I see that the Minister is in a state of tension and I have to inform him that I will advise my group to accept the proposal.
ParlaMint-NL_2017-07-04-eerstekamer-5.u45	Mr. Chairman. I thank the Minister for his response. I'd like to ask him two more questions. By the way, I intend to advise my group to support the legislative proposal. The Minister indicated that one of the objections to judicial authorisation could be that the number of applications for judicial authorisation would increase enormously. Is the Minister able to give an estimate of this? I would also ask the Minister whether he is prepared to monitor and evaluate the operation in practice over the next two years and to inform the Chamber, also in view of the fact that we now do not know how telecommunications and, above all, the role of traffic data will develop in the future.
ParlaMint-NL_2017-07-04-eerstekamer-5.u46	Mr. Chairman. I thank the Minister for the answers. His reflection on the way things are going, I asked for a reflection over a period of 25 years. In my view, it was a little thin, but I don't think it makes any sense to go into that now. My group also feels that it would be useful to discuss with the government, preferably a missionary government, how we, as a constitutionalist, deal in full with constitutional changes, but that will come next time. My group is basically in favour of this proposal to modernise Article 13, but we see less constitutional protection of letter secrecy as a negative point. The Minister stated that the government had no intention of reducing the protection of the secret of letters in the law, but that it did alleviate this point of pain. My group will involve this in its deliberations on whether it will vote for or against the law.
ParlaMint-NL_2017-07-04-eerstekamer-5.u47	Mr. Chairman. I thank the Minister for the answers. Since we are writing legal history here, let me just say that it is a good thing that the Minister has once again indicated that the concepts of 'inviolability' and'respect' are in line and that there should be no gradation of difference. If we agree, I am reassured on that point. It is also good that the Minister wants to give the concept of 'telecommunications' a broad meaning, because the word 'tele' actually means 'far' in practice. I interpret this in such a way that short communication distances, which we exchange via bluetooth, NFC and what it is all called, are not limited by this interpretation of the term 'telecommunications', regardless of whether the three steps defined by the Minister should all be included. My final point is that the judge is less likely to be able to infringe respect. That is still a point for our group. I understand that in individual legislation, like next week at the Wiv, we will discuss this with each other. I am taking this point with me to my group to review it in the context of this draft Constitution.
ParlaMint-NL_2017-07-04-eerstekamer-5.u48	Madam President. I thank the Minister for his first-term response. My group would be very grateful if the Minister's answers to my group's questions could be strengthened. I'll start with traffic records. We have already discussed the significance of the term "metadata," particularly in the context of the Internet of Things, smart contracting and perhaps also augmented human being, which is increasingly interwoven with machines. The Minister places the term "metadata" very clearly in relation to the content of the messages, which someone wishes to convey to the addressee. In my group's view, the sharp distinction made by the Minister is certainly not sustainable in the future. My group continues to find this distinction very difficult and would regret it if this legislative proposal, with the technological developments that are going to come, were already to close down the meaning of the letter secret by means of this limited explanation. I hope that the Minister will clarify this a little bit more, and that he will also give confidence that he does not want to record that sharp distinction at the moment. This would, after all, undermine the future stability and the technology-independent letter secret that we are so keen to achieve. So we would like to hear a little flexibility in the interpretation of the term'metadata'. In fact, therefore, we have a very specific question: does the Minister think it is conceivable that metadata will not be covered by the letter secret in the future? I'm gonna make it a little easy. Then there is the distinction between privacy law and letter secret. My group very much agrees with the Minister that the distinction between Article 10, which protects privacy, and Article 13 on letter secrecy, is fading. The Minister indicated that the content of whatsapples and text messages is protected by privacy law and now also by letter secret. No, the Minister indicated that that content is protected by the letter secret, but that content is already protected by privacy law. The right to privacy also has a horizontal effect. In my group's view, this would also be an argument for the creation of this horizontal operation of the secret of letters in any case. That too is what my group is so cautious about, because it is really high time we modernised the secret of letters. My group would very much appreciate such a commitment. As I said, my group thinks it is high time to modernise the secret of letters. It's gonna stay that way. However, my group hopes that the Minister will give answers in the second term, in the sense that the explanation of the secret of letters will not be locked up.
ParlaMint-NL_2017-07-04-eerstekamer-5.u49	I ask the Minister if he has the opportunity to answer directly. Minister, I'm gonna take a look at your head. Do you nod? That's the case. I shall then give the floor to the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2017-07-04-eerstekamer-5.u50	Mr. Chairman. Having heard the second term of the Chamber, I believe that, if the political groups follow their spokesmen, we will indeed take an important step and that the path that was launched in 1997 will lead to the adoption at first reading of an amendment to Article 13 of the Constitution. Mr Köhler thought my reflection on the course of time was a little lean. That's true, but I meant that as modesty. When I arrived, I started a legislative note. Then I made the law and defended it in the Lower House and now in the Upper Chamber. I have done all that in one cabinet period, so I did not think it appropriate to ask why my predecessors could not have done that for 20 years. That is why I did not go into that further. Honestly, it would be impolite to claim that. I have already mentioned, for example, Mr Franken, who has done an extraordinary amount of enlightening work by saying that there is only letter secrecy when it is done by means of a means and by means of a third party. We are therefore on the shoulders of our predecessors in this respect. They could have made it this far during this period. Mrs Van Bijsterveld asked a question about Rule 10. The short answer to that question is yes. Article 10 (2) and (3) contain a regulation contract which also covers horizontal relations. Mr Engels thought my answer was frank. I hope he wasn't referring to the gin. Again, that was not a private example but, on the contrary, just something that came to mind. As regards the further consideration of the horizontal functioning of privacy, I made a commitment in the House of Representatives, which I would also like to make here. If there are initiatives on this point, I will not only consider them benevolent but also support them wherever possible. I think it's useful and necessary to do that. I'll be back for surveillance next week. We agree, I believe, that Article 13 should be interpreted broadly and that it is not the intention to close it now. On the contrary, it is precisely the intention to put an end to the technical distinction, which actually made the article obsolete. Mr Sini asked if I could mention numbers. This was, of course, particularly about the number of times that special resources are deployed by the secret services. That is a long discussion, but the short answer is that I cannot mention those numbers. We calculate that under operational information and we never actually share it.
ParlaMint-NL_2017-07-04-eerstekamer-5.u51	Mr. Sini.
ParlaMint-NL_2017-07-04-eerstekamer-5.u52	...
ParlaMint-NL_2017-07-04-eerstekamer-5.u53	You need to press the button.
ParlaMint-NL_2017-07-04-eerstekamer-5.u54	Oh, yeah. I'm still a bridge peeper in this house, Chairman. In particular, I asked about the number of times a judicial authorisation was required, not the security services.
ParlaMint-NL_2017-07-04-eerstekamer-5.u55	I can't provide that information right now. If that information is relevant to Mr Sini's opinion, I should still have to respond in writing, but it is also largely outside the scope of BZK, because it is partly in the V and J area. Mr Sini also asked if we could evaluate the law, but this is about an intention to amend the Constitution. I would therefore ask him to keep that question until the amendment of the Constitution is before us at second reading. I would imagine that it would be appropriate at that time to ask for agreements on the timing of the impact assessment. I have answered Mr Köhler's question. Mr Lintmeijer mentioned bluetooth for a moment. That is indeed a subject that I am trying to stay away from, because it is typically a technical development of, say, the last ten years. Once you move around in those kinds of examples of "wifi," "near field" cards and you start wondering if they are telecommunications or not, you're going to lock yourself in as a constitutionr, also in terms of future interpretation. That is a bridge to my answer from Mrs Duthler, but before I go there, I say that we will be discussing the Wiv and the role of the judge next week. I feel that Mrs Duthler and I could understand each other even better, because I think we are talking about the same thing, namely that we do not want to close the case. I shall read out the definition I have given again: the content of communication, so that which falls within the scope of Article 13, is what the sender only wants to communicate to the addressee. So that's very wide, very broad. Even if something is in the subject line of an email, it is the content of communication. So that all falls under the protection of the letter secret. That is also in line with the intention of the classic letter secret. Traffic data is also constitutionally protected, as far as personal data are concerned. Then they fall within the scope of Article 10.
ParlaMint-NL_2017-07-04-eerstekamer-5.u56	Perhaps it is good to hold on to what it is and not to look at what it is not, because we are not getting out of it. If we stick to the definition of content, my group is very satisfied.
ParlaMint-NL_2017-07-04-eerstekamer-5.u57	If Mrs Duthler's group is entirely satisfied on that point, so am I. That is exactly what I am trying to do with this proposal. I believe that this is precisely the flexibility to indicate new technical developments in the context of this distinction. Mr President, I believe that I have answered all the questions in the second term.
ParlaMint-NL_2017-07-04-eerstekamer-5.u58	I'm here to deal with the bill. Does one of the Members wish to vote on the bill? That's the case. Then I suggest we vote on the bill next Tuesday.
ParlaMint-NL_2017-07-04-eerstekamer-5.u59	I shall now suspend the sitting because there are committee meetings.
