ParlaMint-NL_2017-11-30-tweedekamer-8.u1	We will continue to deal with the budget of Justice and Security.
ParlaMint-NL_2017-11-30-tweedekamer-8.u68	That's the motivation I gave you. There have been many reports from Afghanistan for a long time, but they do not clearly indicate that the situation is much more worrying or much worse than at the beginning of this year. That's the motivation.
ParlaMint-NL_2017-11-30-tweedekamer-8.u69	I suggest that you continue with the remaining points and also come to a conclusion, I think.
ParlaMint-NL_2017-11-30-tweedekamer-8.u70	Yes, Mr. Chairman, I'm sure you can. On the subject of return, another issue that was asked for yesterday, namely the return of Syrians. Mr Fritsma and Mr Azmani, among others, raised the question of whether, as Syrians return to Syria, it is not time we re-evaluated asylum protection here. I think we should be careful when drawing conclusions, because the picture is not clear there either. Syrians are returning, but we see that Syrians, in particular, who have not left Syria at all or who were in neighbouring countries, such as Lebanon. Then it is a bit of a guess, but the reception conditions in Lebanon or another neighbour, such as Jordan, can also play a role in this. At the same time, of course, we are looking at changing circumstances. In this case, too, if we foresee that the situation in Syria could change, this has been a reason to ask the Ministry of Foreign Affairs to draw up a notice of office in the second half of next year in order to give a proper assessment of whether and how the situation in Syria has changed.
ParlaMint-NL_2017-11-30-tweedekamer-8.u71	The first thing this Secretary of State has done is to bring in even more migrants as part of that strange resettlement. The first thing he should have done, however, is to send back all those Syrians. In recent years 70,000 Syrians have been admitted to the Netherlands. Worldwide, hundreds of thousands of Syrians return home, because it is safe again. From Turkey, even Syrians go home massively to celebrate the Sacrifice. Then you can't leave them here, I'll ask this Secretary of State. In fact, new Syrian asylum seekers from safe Syria are coming here and receiving residence permits...
ParlaMint-NL_2017-11-30-tweedekamer-8.u72	The Secretary of State.
ParlaMint-NL_2017-11-30-tweedekamer-8.u73	In this way, the cabinet will be squeaking through the entire asylum industry again. I therefore ask that all these temporary asylum permits of Syrians be withdrawn, and that they should stop granting permits to new Syrian asylum seekers.
ParlaMint-NL_2017-11-30-tweedekamer-8.u74	The Secretary of State.
ParlaMint-NL_2017-11-30-tweedekamer-8.u75	It is not the case that asylum permits can never be withdrawn, but we are also happy to do so on the basis of a proper assessment in the country itself. This means, as with the previous subject, that we are just really looking at what the situation is on the ground and whether it has been constantly improved. I believe that it is only recently that Syria is once again under way. The situation may improve, but we're not sure. So it is only when we have that assessment that we can draw conclusions for the permits here as far as I am concerned.
ParlaMint-NL_2017-11-30-tweedekamer-8.u76	Yeah, just waiting for the last cabinet to do so all the time. We know what that has led to, namely that everyone stays here. The fact is that these temporary asylum permits are converted into authorisations for an indefinite period after five years. You won't be able to move in anymore. The cabinet will therefore wait until the end of the month and everyone will be granted an indefinite residence permit. Then we are here with 70,000 Syrians who are massively in welfare and are massively in social housing, which Dutch people were no longer able to do. You're doing exactly what you shouldn't do. I ask this cabinet and this Secretary of State to do something in favour of Dutch people and to withdraw those permits. I say it again: it has long been proven that this can be done. Those Syrians are already going home. It's safe there. You should not leave them here in aid, but let them help rebuild their own country.
ParlaMint-NL_2017-11-30-tweedekamer-8.u77	In our view, it is still mainly the case that Syrians go home who have not left Syria or have been in a neighbouring country where conditions may be very bad, but I come to meet Mr Fritsma. In this case, Saint Juttemis is the year 2018. Next year, an assessment will be made of the situation on the ground. Then, on the basis of the facts on the ground, we can judge whether Syria is a safe place to return to.
ParlaMint-NL_2017-11-30-tweedekamer-8.u78	Mr Fritsma has already mentioned the numbers, and I think we should be realistic in this. You just see developments taking place in the country of Syria that are moving in the right direction. Thank God, I'd like to say. The Secretary of State states that he wishes to base himself on a statement of office that will be ready in mid-2018. I understand that, but in the meantime I ask the Secretary of State to put this issue on the agenda with his European colleagues, especially since this is not an easy matter. If you look at the situation in Syria, it also requires some build-up programmes, if we really want to be able to send people back. I also think it is good to really put this issue on the agenda, also because we need to do expectation management, including with regard to people currently with temporary residence status in the Netherlands. That is the subject that needs to be on the agenda. This issue must also be prepared in such a way that there are instruments and there is a perspective for people who ultimately have to return. Does the Secretary of State also wish to raise this issue with his colleagues in Europe?
ParlaMint-NL_2017-11-30-tweedekamer-8.u79	As with many of the subjects I mentioned at the beginning, it helps to discuss this with European colleagues. So yes, I'm willing to. With regard to Syria, Mr Azmani also asked for the 1F assessments, i.e. the assessments of people who could have committed war crimes. I have also given the answer in writing, but I would like to highlight it here: we are constantly engaging, so not at one time, signals about 1F actions in assessments. To this end, we also intend to expand the so-called "1F-unit" within the IND in the coming years. In addition, Mr Azmani asked for new knowledge of potential warriors to look again at Syrian matters that were previously accepted. I think that's an interesting and meaningful suggestion and I'll ask the IND to pick this up. I hope, however, that you will allow me some time to see how we are going to implement this appropriately. I will return to the Chamber in due course with the results. I'm going to come up with a slightly underexplained topic in my wallet. I was therefore pleased that Mr Azmani drew attention to this. That's regular migration, economic migration. That's a subject that almost never makes the news. That is why I would like to say a few words about this. The Netherlands has a well-functioning knowledge migrants scheme. In addition, in recent years we have developed many other arrangements to ensure that people who contribute to our economy, sometimes temporary and sometimes longer, are welcome here. An example is the search year for people in higher education in the Netherlands, but there is also a start-up scheme. Next year, we're gonna see if there's any barriers in there. I welcome the suggestion made for this. This could be the case, for example, with such a start-up scheme or with smaller companies. We will see if we can remove any barriers. Mr. Chairman. Then I get to the last block of my input. I will go into the comments that have been made on trafficking in human beings.
ParlaMint-NL_2017-11-30-tweedekamer-8.u80	Mr President, I have a small point of order. The small scheme that we have received also contains the subject of children's pardon. That hasn't been treated yet.
ParlaMint-NL_2017-11-30-tweedekamer-8.u81	That's right, I browsed a little too fast. Yesterday, a generous application of the children's pardon was requested. I always find it difficult to apply this kind of words to policy, because I also stand for the rule of law, for the fact that when rules have been agreed, they are applied uniformly. These are, after all, also matters which, in their nature, are probably never entirely uniform and unambiguous. The basis is that the coalition agreement has agreed that we are not going to change the arrangement. This means that the principles and criteria that people have to meet remain the same. At the same time, however, and I am also in favour of this, we must always stand for a careful, individual and realistic assessment of the current regime. So if that is meant by "empty" by the Chamber, then we already do so and then we continue in that way. At the same time, however, I would point out that it is not the intention to change the rules and principles in that regard.
ParlaMint-NL_2017-11-30-tweedekamer-8.u82	It's bad enough that the pardon scheme is going to last. We've pulled the departure numbers. It appears that this child's pardon completely undermines the departure policy. Of the thousands of people who have been rejected under that scheme, only 80 have left. In other words, all asylum seekers' families, almost all asylum seekers' families, remain here. The Secretary of State is talking about a healthy return policy. If one thing is turning your back on that healthy return policy, it's that weird excuse. That pardon rewards illegality, and that's why no one leaves.
ParlaMint-NL_2017-11-30-tweedekamer-8.u83	And the question is?
ParlaMint-NL_2017-11-30-tweedekamer-8.u84	The PVV continues to call on the cabinet: put a line through the whole pardon arrangement, because it ensures that no one leaves.
ParlaMint-NL_2017-11-30-tweedekamer-8.u85	What Mr Fritsma is ignoring is the fact that not only people have been accompanied, supervised, left, but also people have left without supervision. Those people aren't in his grades. You may differ to what extent this is a problem, but I note that we in the Netherlands have the policy in which people who can no longer remain regular are supposed to leave on their own. This is legislation and regulation that has been in place for almost 20 years. That's the legislation I'm enforcing.
ParlaMint-NL_2017-11-30-tweedekamer-8.u86	Finally.
ParlaMint-NL_2017-11-30-tweedekamer-8.u87	That's not an answer. The numbers I just used are numbers from the cabinet itself. The PVV Group has asked for these figures. Thousands of people have been rejected under that pardon scheme and only 80 have left. In other words, all these asylum seekers' families stay here. The problem that the whole Chamber thinks it is going to solve, preventing children from growing up illegally, is now massively fueled by this regulation. Soft healers make very stinking wounds.
ParlaMint-NL_2017-11-30-tweedekamer-8.u88	And now the question.
ParlaMint-NL_2017-11-30-tweedekamer-8.u89	And now the question. If the Secretary of State takes his own return policy seriously, then he has to get rid of that arrangement. It is even said by the director of the Return and Departure Service: this child pardon scheme is devastating for the return. If the Secretary of State chooses to continue with the scheme, he chooses to pursue a sick foreign policy. I urge him to stop doing that.
ParlaMint-NL_2017-11-30-tweedekamer-8.u90	I think I am repeating myself, but Mr Fritsma's figures are only about people who have left under supervision. Of that, we're 100% sure they've left. But there are also people who left without supervision. In my opinion, life in illegality is a pleasure for no one. This leads a number of people to eventually build another existence elsewhere.
ParlaMint-NL_2017-11-30-tweedekamer-8.u91	Mr Fritsma is very angry, but in reality one person fell under the children's pardon last year. So I don't understand that anger. It is also a question for the Secretary of State. The Secretary of State says that the scheme is still in place. I, too, have, of course, taken a good look at the coalition agreement. Within the scheme, which included one last year, the Secretary of State wishes to apply the rules carefully. In my contribution, I asked whether this could be done in all reasonable terms. In fact, no one is covered at the moment.
ParlaMint-NL_2017-11-30-tweedekamer-8.u92	For this, too, you end up in individual cases: why the one and others don't? I'll stay out of it. If you apply regulations, you do it carefully, it happens individually. There are always considerations that need to be made. What I said at the beginning: I really think that the employees are doing this incredibly conscientiously and reasonably. But I can't guarantee here that that will lead to other outcomes. However, I stand for the careful and precise implementation of the policy. There are a number of criteria in the scheme. We agreed not to change it. If you are going to change it, you will end up in legal inequality with others who did comply with the rules.
ParlaMint-NL_2017-11-30-tweedekamer-8.u93	Finally.
ParlaMint-NL_2017-11-30-tweedekamer-8.u94	The Secretary of State will not hear me ask that, because I recognize what is in the coalition agreement. The rules are now such that, at the time you don't sign a declaration of voluntary return, you don't cooperate with your departure. So you can never qualify for the children's pardon. The mere fact that you don't sign there is all the reason not to have a child's pardon. My request is whether, in particular, it is possible to look more flexibly at this point.
ParlaMint-NL_2017-11-30-tweedekamer-8.u95	It's always a total weighing of a file, so I'm not going to promise that right now. I have already said that we are always looking carefully at all these issues, but that will not in any case make it easier to accept them.
ParlaMint-NL_2017-11-30-tweedekamer-8.u96	Reasonable, careful, balanced - who would oppose it? Who would say that it should all be careless and unreasonable? That's not what we're here for. I'm glad the Secretary of State confirms that. The fact is, however, that after a very long period of political strife, we have been given an arrangement in which more than 95% of the people, children for whom the scheme was intended, ultimately do not qualify. My question is, is that correct? If that is true, then what is the point of this regulation at all?
ParlaMint-NL_2017-11-30-tweedekamer-8.u97	I'm not going into the numbers that were meant to cover them all in advance. If you look at percentages, it could also be that people who clearly do not meet the criteria and receive a rejection stand at the percentage of people who have received a rejection. That's why you have to go back longer. I note that a number of criteria were introduced at the time and that the aim was that the people meeting those criteria should be covered by the scheme. That's what's then tested.
ParlaMint-NL_2017-11-30-tweedekamer-8.u98	Finally.
ParlaMint-NL_2017-11-30-tweedekamer-8.u99	The last number I saw is 98%. Mr Voordewind said I believe that last year no one or one person met it. Then you've made a deal after a lot of hassle and then one person turns out to be eligible for it. Then you will also be Secretary of State, regardless of what you think of the children's pardon, and I will look at Mr Fritsma's conclusion that something is not quite right with that arrangement. Or am I wrong about that? This is how I ask the Secretary of State through you, Mr President.
ParlaMint-NL_2017-11-30-tweedekamer-8.u100	We first had the temporary arrangement and then got this definitive arrangement. In previous years, many more cases have been granted. The arrangement is as it is. We're not going to change that. One person was eligible in one year, but more people have been eligible in the previous years.
ParlaMint-NL_2017-11-30-tweedekamer-8.u101	Let's get back to the arrangement. Indeed, one person was eligible for this. That's a reason for the PVV to complain and for Mr Voordewind to get angry about that. Those are a little crocodile tears. He has now exchanged it for the plush of ruling. Is it possible to evaluate? I know you didn't mean numbers in advance, but is the scheme working as we intended?
ParlaMint-NL_2017-11-30-tweedekamer-8.u102	I must say quite frankly that I am not yet ready to know whether evaluation arrangements have been made at the time of implementation. But once again, in the end you have an arrangement, there are a number of agreements, then there are applications and people do or do not comply with them. In all honesty, there is not much to evaluate. When the scheme was introduced, the aim was to accept applications from people who met the criteria. That's what happens in practice. However, you are also dependent on the applications and whether the criteria are met. Everyone will have different views as to whether this is done to a sufficient extent.
ParlaMint-NL_2017-11-30-tweedekamer-8.u103	Finally.
ParlaMint-NL_2017-11-30-tweedekamer-8.u104	If it turns out that virtually no one is eligible, then we come to the famous statement by Jan Schaefer, who said: have we thought about it or is this policy? It says that we still have to think about how we work and the idea that we have behind policy. I would therefore urge the Secretary of State, through the President, to see if that can be evaluated.
ParlaMint-NL_2017-11-30-tweedekamer-8.u105	I repeat my answer: I see no need to do so. More requests from people have been accepted in the years before. The fact remains that there are a number of criteria and people have to meet them. It shall be carefully assessed whether this is the case.
ParlaMint-NL_2017-11-30-tweedekamer-8.u106	Please continue.
ParlaMint-NL_2017-11-30-tweedekamer-8.u107	Mr. Chairman. I come to the last issue that I had already announced: trafficking in human beings and prostitution. I will start with the report that we had a few weeks ago, the last report by the previous National Rapporteur on Trafficking in Human Beings, which shows that the extent of this crime is much greater than we thought. It concerns all kinds of forced labour, exploitation and forced inciting theft and crime. It always leads to one thing, namely people who have lost their personal freedom. I think that is a very serious crime. This also justifies the intensification of the approach to trafficking in human beings that we announced in the government agreement and on which I sent a letter to your Chamber on behalf of a number of those concerned earlier this week. It is also important that we talk to municipalities, because municipalities would not always recognize the signals to a sufficient extent. We also need to talk to all those professionals, district agents, supervisors and healthcare staff, who could recognize signals that could indicate trafficking in human beings. We must then gather these signals together in order to get a better idea of the nature and extent of this problem. At the same time, we must ensure that municipalities, the police, the Public Prosecutor's Office and other involved partners then have a toolbox to prevent, identify and combat trafficking in human beings. Also when it comes to prostitution, the cabinet wants to prevent exploitation and at least protect sex workers from trafficking in human beings. That is why I intend to speed up the licensing system for all forms of sexual service. It's gonna take a law change. It requires an amendment to a bill that has been under discussion for a very long time. It was filed in 2009 and is now in the form of a novelle in the Upper House. There is one further step, because we will have to adapt it one more time in order to regulate it properly in accordance with the intentions of the coalition agreement. I'll get back to your room on that. We are moving forward very quickly, but it is not settled overnight either. There are three steps. We need to make a bill. We're gonna have to do that in consultation. Two further rounds will follow: the Council of State and the Personal Data Authority. I aim to have the proposal around before the summer of 2018 and to be able to consult, and then to speed up this legislative process, which has been going on for eight years, in this cabinet period in accordance with the intentions of the government agreement. In accordance with the wishes of the Chamber, I will also be working on the legal regulation of local intakes for people working in prostitution, because this will allow us to keep a close eye on health and well-being and, above all, to avoid abuses as much as possible. A number of specific questions have been asked on this subject. Mrs Van der Graaf of the Christian Union asked yesterday about the funds released for the reception of victims. A technical answer is that they are not included in the budget of Justice and Security, but in the budget of the Ministry of the Interior of the United States of America. I understand that the budgetary procedure is yet to come. The question would belong there. At the same time, I have already mentioned in the letter I sent to the Chamber this week that we want to come forward with a comprehensive plan of action in the first quarter of next year. As far as we are concerned, the use of these funds is also part of it, as we can see it in the context of the comprehensive approach to trafficking in human beings. That time is early enough to put that money into use in 2018, so we do not have to commit this to the VWS budget today or soon. The money is there and can be spent in 2018. They also asked about the role of the municipalities. I have just indicated that this is in the plan of action. Here too, I think, is the question of how, in consultation with municipalities, we can ensure that municipalities are equipped and, above all, trained to recognise the signs of trafficking in human beings, so that local policies are also made. Finally, the bill on pimp ban is also part of the prostitution portfolio. I am giving that part of the answer on behalf of the Minister of Justice and Security. He will consider the bill for the ban on pimping, because it amends the Code of Criminal Law. But that too is what we are going to speed up. We hope to return to that with you next year. Mr President, that brings me to the end of my speech.
ParlaMint-NL_2017-11-30-tweedekamer-8.u108	At least that's what you thought, Mrs. Van der Graaf.
ParlaMint-NL_2017-11-30-tweedekamer-8.u109	Thank you for the generous answers and the commitment. I have faith in that. I look forward to the plan of action, too. I missed another part. That was the investment we're going to make in regional Prostitution Control Teams. My question is whether the Secretary of State also wants to include this point in the plan of action, so that the means of detection and enforcement in relation to these abuses in prostitution can also be used there.
ParlaMint-NL_2017-11-30-tweedekamer-8.u110	That too is sometimes finding out whether it belongs to me or the minister. On behalf of the three of us, yes, we'll take a good look at that, too.
ParlaMint-NL_2017-11-30-tweedekamer-8.u111	Thank you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u112	I wanted to ask you a few questions, and that might save us a motion. The Secretary of State said he came up with the flexible reception plan in the spring. He had also responded to my plan, which is related to that. May I ask him to include this plan? Then I won't file a motion later.
ParlaMint-NL_2017-11-30-tweedekamer-8.u113	I have already seen two aspects relating to this: flexible reception and more small-scale reception. There is an aspect of a kind of division between the municipalities. Perhaps that is what Mr Van Dijk is referring to. I indicated in the answer that we should discuss the flexible chain with municipalities and provinces anyway, but that it is also not the case that the municipalities say: do it in a completely proportional manner. There are municipalities that indicate that they can accommodate a little more, and other municipalities a little less. In recent years, we have developed a well-functioning system of regional management tables, where all these tasks are discussed together with municipalities. Since that system works well, I would not want to intervene from above with some sort of new distribution system. That's what I'm saying in advance. But in due course we will be discussing this, knowing Mr Van Dijk when the whole plan comes.
ParlaMint-NL_2017-11-30-tweedekamer-8.u114	Finally.
ParlaMint-NL_2017-11-30-tweedekamer-8.u115	I am not asking the Secretary of State to take over the plan one-on-one immediately. I'm just asking him to get involved. There are more proposals in it than just that point.
ParlaMint-NL_2017-11-30-tweedekamer-8.u116	I saw that last one, too. I'll get back to the plan on that.
ParlaMint-NL_2017-11-30-tweedekamer-8.u117	I had asked for the implementation of the motion that was tabled and adopted last year to appeal to municipalities to shape a policy on exit opportunities from prostitution. The Secretary of State stated in his reply that this would happen, that additional funds would be made available and that the exit programmes would continue. Even when these exit programmes were already there last year, we asked with that motion whether the cabinet would like to address and encourage municipalities to work on them, to pay more attention to them. That's my point. My question to the Secretary of State is whether he wants to carry out the motion in that way.
ParlaMint-NL_2017-11-30-tweedekamer-8.u118	I know from the preparation that Mr Van der Staaij tabled a motion last year and that we are implementing it. If this goes with that, I'd like to get on with it. In all honesty, I do not know all the details of last year's motion. Perhaps I can come back to this in the second term. But it doesn't sound like a weird question or a weird request in itself.
ParlaMint-NL_2017-11-30-tweedekamer-8.u119	Thank you. I think you were done. Before going to the second deadline, I would like to give the Minister the floor to give his opinion on the amendments tabled. They haven't been judged yet. The Minister has the floor.
ParlaMint-NL_2017-11-30-tweedekamer-8.u120	Then I shall begin with the amendment to item No. 22 by Mr Van Nispen at €113,000 for the Expertise Centre Online Child Abuse. The centre of expertise performs a valuable function in the removal of child pornography material. It thus contributes to the safe use of the Internet. This is a joint responsibility of the government, Internet providers, web hosting providers and so on. I think it is justified to stick to the principle that the Centre of Expertise continues to work for substantial funding of its activities by the private sector. However, the allocation of an additional amount is at the same time in line with the strong growth in the number of notifications and I therefore leave the assessment of this amendment to the Chamber.
ParlaMint-NL_2017-11-30-tweedekamer-8.u121	Well, Mr. Van Nispen looks really happy!
ParlaMint-NL_2017-11-30-tweedekamer-8.u122	I'll make you happy. The motion...
ParlaMint-NL_2017-11-30-tweedekamer-8.u123	The amendment.
ParlaMint-NL_2017-11-30-tweedekamer-8.u124	Yes, of course, the amendment, my apologies.
ParlaMint-NL_2017-11-30-tweedekamer-8.u125	Doesn't matter.
ParlaMint-NL_2017-11-30-tweedekamer-8.u126	I'm gonna have to practice.
ParlaMint-NL_2017-11-30-tweedekamer-8.u127	That's okay.
ParlaMint-NL_2017-11-30-tweedekamer-8.u128	The Van Nispen amendment to item No. 23 is about Sect signal. A fee of €98,000 is requested. Sect signal has a useful function, because the hotline helps the police and the D.A. to surmount abuses. A file analysis also shows that abuses and offences may not have become apparent through regular channels. But an amount of €50,000 should, in my opinion, be sufficient. If Mr Van Nispen is prepared to amend the amendment to that amount, I am prepared to leave the opinion on this amendment to your Chamber.
ParlaMint-NL_2017-11-30-tweedekamer-8.u129	I think that amount is really necessary, but I can hear what the Minister is saying. I am prepared to amend the amendment. However, I would ask the Minister to make an effort during the year to consult with the Sektesignal to see how the possible problems arising from the halving of this budget can be solved. But I will amend the amendment.
ParlaMint-NL_2017-11-30-tweedekamer-8.u130	At least I'll admit to having such a conversation with Sect signal. The Van der Graaf/Van Dam amendment to item No. 28 is about the mental care of the police. A €200,000 fee is requested for professional mental care for police officers. I support the need for a professional provision of mental care to the police and endorse the considerations set out in the amendment. National police are working out a plan for a structural facility. I expect the results of this in spring 2018. I consider the amendment tabled to support the policy and approach. I shall therefore leave the opinion to the Chamber. The Van Dam/Groothuizen amendment to item No. 40 is about the NVvR and replaces the amendment to item No. 29. It asks for €200,000 to reverse the further cuts on the NVvR. As I indicated in an earlier amendment, I think that the reversal of this austerity is a sympathetic idea. In view of the limited amount proposed, I shall leave the judgment to the Chamber. The Chicken/Van Nispen amendment in part No. 34 is about the Internet discrimination hotline. In principle, I am in favour of the work of the hotline. The decision to stop or reduce the subsidy is motivated by the financial situation within the department and the need to make choices. In the case of a few amendments, we see room for the Court to decide, but this is not the case here. I am therefore obliged to discourage this amendment. In the Verhoeven/Kuiks amendment to item No. 36 is asked for €410,000 for open source encryption. Mr Verhoeven stressed the importance of research into topics that contributed to our digital security. Of course, I can only support that. In this way, an impetus is given to and also connected to existing resources. I would like to stress that it is a positive contribution to our cybersecurity. I therefore leave the judgment to the Chamber.
ParlaMint-NL_2017-11-30-tweedekamer-8.u131	Thank you. Mrs. Buitenweg.
ParlaMint-NL_2017-11-30-tweedekamer-8.u132	I do not think I have yet received an opinion on my amendment to item No. 39 with regard to Femmes for Freedom.
ParlaMint-NL_2017-11-30-tweedekamer-8.u133	Could you take a look at that? I hear the Secretary of State for Legal Protection did that. That was dissuaded. Good. I thank all three rulers. We have come to the end of the first term on the part of the government. We are now going to the second term of office. I'll take a look around first. Is there a need for a short suspension, or are you just able to continue? I see Mrs. Helder's already standing by. I call Mrs Helder on behalf of the PVV.
ParlaMint-NL_2017-11-30-tweedekamer-8.u134	Thank you, Mr. Chairman. Thank you to the Minister for Justice and Security for his answers. I would like to thank the other two directors for their presence. I didn't ask them any questions. I didn't ask them any questions. I am not entirely satisfied with one answer and not at all with one answer. I'll keep it for the last time. However, I am pleased to hear that there will be no "force of the workplace," as I mentioned in the first term, when allocating the 267 million euros to the police. The Minister also writes that he is confident that the money will not end up with the Ministry of Finance. I still think it's too little money, but okay, it's a start. I will continue to monitor progress, and in the various debates we have, I will continue to monitor the Minister. Mr. Chairman. Then there's the undermining fund. Unfortunately, it is not structurally filled, but the Minister writes that the supposed to take away criminal assets has already been taken into account in the budget. Then my question is: can this in the future, perhaps the distant future, be partially different? And if not, what about the proposal to return stolen items, such as a boat, to society? We have read that proposal in the media, but I have also heard colleagues do it here. Then there's the answer I'm not entirely satisfied with. This is about the measuring tool to get the most out of the picture of actual crime. All the monitors the minister mentions don't give a complete picture. Cybercrime is not involved, and that is a big problem, because 50% of classic crimes now have a digital component. In the near future, that will only become more. The willingness to report on the internet is between 5% and 8%, according to the chief of police on Tuesday at the opening of the congress called DEX-XL. I therefore remain of the opinion that an additional measuring instrument is needed. The minister writes that the WODC is now conducting additional research into cybercrime. The result is expected to be completed in the first quarter of 2018. Then I would like to hear from the Minister whether it is a one-off additional investigation, or whether cybercrime is being investigated structurally. In anticipation of the answers, I am still obliged to table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that registered crime does not give a complete picture of the number of offences actually committed, because the crime recorded only reflects the number of offences reported by citizens;]] [[noting that victim surveys are used to get a better picture of the number of offences actually committed, but that these are only samples that do not include all crimes;]] [[considers that as much clarity as possible should be provided on the actual number of offences committed, including because this is the basis for whether or not to amend policies and/or legislation;]] [[calls on the Government to investigate a new and/or additional measuring instrument in order to obtain as much clarity as possible on the actual number of crimes committed per year,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Helder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-41]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u135	Finally, the Veterinary Forensic Team. That brings me to the answer that I am not satisfied with at all, because unfortunately there is still a misunderstanding. I didn't ask for any extra money. I asked the Minister to finance the Veterinary Forensic Team within the existing funds. The reference to the Animal Abuse Landelijk Expertisecentrum in the letter of 31 August this year is incorrect for several reasons. These are clinical activities in the event of suspected animal abuse. It is mainly intended to assist veterinarians in investigating whether there is animal abuse, and therefore it is not directly accessible to the task holders of animal welfare. Mrs Verkerk of the Veterinary Forensic Team is the only veterinary forensic doctor in Europe. The LED doesn't have that expertise. The Veterinary Forensic Team carries out forensic work, i.e. work on the detection of criminal offences, e.g. when a dead animal is found. Did a dead dog get dumped, or was he thrown alive in the water? This team makes a difference. Finally, in support of the fact that police chief Veldhuis, chief of police of the North Netherlands team, said at the opening of the LED last Wednesday that he regretted that the Veterinary Forensic Team had been put out of play. 'Cause that's how it happened. He believes that the team should be able to be involved in the search. Chief of Staff Veldhuis is responsible for the animal police within the national police; that's what I still call it. Yeah, that's a good point. I therefore appeal again to the Minister. If he doesn't do it for the animals, do it for the agents who do this important work. Finally, in support of my final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Veterinary Forensic Team is the only one in the Netherlands with expertise in veterinary forensic pathology;]] [[noting that the Veterinary Forensic Team is regularly involved in the national police by task holders in animal welfare;]] [[noting that the Veterinary Forensic Team does not receive any funding from the Ministry of Justice and Security, or from the Ministry of Agriculture, Nature and Food Quality;]] [[noting that the Faculty of Veterinary Medicine of Utrecht University is paid for similar activities by public authorities;]] [[Considers that the Veterinary Forensic Team should be paid in a similar way for its work in the field of detection and prosecution of animal welfare offences;]] [[calls on the Government to ensure that the Veterinary Forensic Team can make use of the available budget for its work,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Helder and Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-42]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u136	Yeah, yeah.
ParlaMint-NL_2017-11-30-tweedekamer-8.u137	That's what I thought.
ParlaMint-NL_2017-11-30-tweedekamer-8.u138	Did I do my best for two days, and then I'll forget about it in the end, of which I'm aware.
ParlaMint-NL_2017-11-30-tweedekamer-8.u139	He'll be proud of you. Thank you. I now give the floor to Mr Fritsma, on behalf of the PVV.
ParlaMint-NL_2017-11-30-tweedekamer-8.u140	Thank you, Mr President. With the first acts of the new cabinet in the area of immigration and asylum, we know enough. The foreign policy remains a very weak bite. The first achievement of the cabinet is to pick up thousands of extra foreigners in addition to the normal flow of asylum, which is still in the tens of thousands every year. Because, yes, the EU is asking, and then we do not know in Box K how fast and how deep one has to bend. An example must be taken of politicians and countries that do take account of the importance of their own people; see, for example, Hungary. Furthermore, there are some sad attempts to remove the so-called root causes of migration in Africa. Those attempts are, of course, doomed to failure, as the Turkish deal failed, as the Dutch ambassador in Greece recently indicated. It is therefore high time that all of this proved to be necessary to say goodbye to the EU and to Turkish or African dictators and to take matters into their own hands. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to close the Dutch borders for all asylum seekers and all immigrants from Islamic countries,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Fritsma and Mr Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-43]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u141	Unfortunately, the cabinet also continues to reward illegality. That's gotta stop. That's why I'm filing the next two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to stop rewarding illegality and therefore not to provide bed-bath-bath-bath care and not to maintain a children's pardon scheme,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Fritsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-44]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u142	What must be done is stated in the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to criminalise illegality,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Fritsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-45]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u143	Mr. Chairman. We were also talking about Syria during the debate. Syria is safe and they go back to Syria massively, except Syrians in the Netherlands. They can stay in the assistance and in all social housing. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to withdraw the temporary asylum permits of Syrians residing in the Netherlands,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Fritsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-46]]
