ParlaMint-NL_2017-05-18-tweedekamer-8.u1	Let's pick up where we left off. We're gonna listen to the Secretary of State.
ParlaMint-NL_2017-05-18-tweedekamer-8.u55	I keep saying we're doing the best we can. Can I also say that I sometimes have the impression that the uncertainty is a little stirred up by parties who have an interest in it? Of course, we are not the only ones communicating about this arrangement. I've seen lawyers who would love to communicate anything, hoping they'd sign up with more customers. Unfortunately, that is all part of it, but that does not help to create a clear and unambiguous picture. You may rightly say to me that I must, from my responsibility and from RVO, ensure that communications are communicated as clearly as possible. I think we do, but we keep trying every day to do even better. The same applies to the sector organisations concerned, which also have a responsibility in this regard. We're in this together. It helps if they also clearly communicate to their own supporters. After all, they have direct lines. We agreed to do that. I am therefore happy to say that to Mrs Lodders. Mrs Lodders asked how many farmers apply in the first period because they believe that they are in a similar situation. She repeated that question and indicated that I may also respond in writing. I can also go into it now. After all, I have looked at what we got into RVO, and that is about 100 letters so far. I am reluctant to say that I will inform her of this in writing, because it does not say much. They are farmers who think of themselves or perhaps would like to pretend that they are in a similar situation. If certain plaintiffs were to be granted the right to appeal, they would be pleased to see that it would also apply to them. That doesn't mean it's true. The other day there was also a call from law firms and consultancies that there are hundreds of farmers who are going to say that. That doesn't mean that much, because anyone can claim that he's in the same kind of situation. The point is that we ask the judge on appeal to properly assess all those cases on the basis of the specific situation. I told you, we find judgment questionable in all situations. It is up to the court to assess that and to be as specific as possible. Only then can you say if other farmers are in such a situation. The fact that people sign up and think "I can always try" doesn't give you that much information. I've told you what we've got inside, but that doesn't have to mean that much. In this way, Mrs Lodder has the information she asked for. Mr De Groot came back to the growing other categories, namely meat and goat farming. I think that is understandable given my statement that you need to intervene and regulate in time. In the first instance, I indicated that the current policy has different sectoral ceilings. Only in the sectors where there is a problem do we regulate with rights. We already did that with pig rights and poultry rights. This is where phosphate rights for dairy farming are added. This covers about 90% of livestock. The rest is small categories, compared to these animal categories. In this context, the policy is that there is room for growth, provided that the ceiling is not in sight. That is not the case at the moment. This means that I do not think it is appropriate that this outgoing cabinet should continue to discuss whether the policy should be changed, because that is what Mr De Groot is asking. If there is a desire in the Chamber to change that policy, it is appropriate to have that discussion with a future cabinet, or between possible future coalition parties.
ParlaMint-NL_2017-05-18-tweedekamer-8.u56	I understand and agree with that remark. It may only be that the figures in June give rise to the same question, including for the European Commission. Then it is certainly still up to this cabinet to think about it.
ParlaMint-NL_2017-05-18-tweedekamer-8.u57	That is why I said in the first term that there should be growth that is going to pose a threat to the achievement of the national production ceiling, but that is not how I judge growth at the moment. One simply grows within the space that there is and there is enough space left within the sector ceilings. The situation is not such that it requires intervention now or this year. If there is a desire to change the policy in the future, I will leave it to those who are going to be responsible for future policy. Mr Grashoff asked whether I would like to inform the Chamber without delay when the ruling is given. Of course, I will inform the Chamber as soon as possible. He's probably faster himself, because the pronunciation is always put on the internet immediately. Mr Grashoff can therefore take note of it as soon as the ruling is given. We are informed at the same time as everyone else, but we will of course inform the Chamber about the ruling. As soon as it is justified, I will also inform the Chamber of my interpretation of the ruling. Mr Grashoff is probably particularly interested in this. The pronunciation itself can also be read elsewhere, but how we interpret it and how we deal with it is of course a second. Of course, we won't be able to do that in an hour. We must look at how quickly we can react to this by then. If we need some time to do so, I agree that I will let the Chamber know. With this, I have answered the questions and come to the motions. I'm deceiving the motion in part No. 204 by Mrs Ouwehand, in which the government is asked to control the size of the livestock by restricting breeding and landing. On the contrary, we are going to control the size of the dairy herd with the phosphate rights system. Strictly speaking, this is based on total phosphate production and not exactly on the number of animals in the Netherlands, but there is, of course, a strong relationship between these two. As soon as the system enters into force, there is control over the size of the dairy herd.
ParlaMint-NL_2017-05-18-tweedekamer-8.u58	I am always talking about the scenario in which we do not retain the derogation. The Secretary of State doesn't answer that. According to the figures that are circulating, the number of cows that have to leave is up to 500,000. We shouldn't want to take that risk, should we? You can't pass that whole risk on to the animals, can you? Or does the Secretary of State have any other footage of what will happen if we do not manage to maintain the derogation?
ParlaMint-NL_2017-05-18-tweedekamer-8.u59	What happens then is speculation, because all kinds of limits are therefore removed. There are limits to the derogation, and you do not know exactly what will happen if it disappears. On the basis of the current livestock, it has been calculated that the excess manure is approximately equivalent to the manure production of some 500,000 cows. This does not mean that the 500 000 cows disappear immediately; something must happen to that manure. Given where we are now and how well things are going with the reduction of phosphate production, I think it's a little premature for speculation if: what would happen if... I note, however, that for someone who has included a 70% reduction in livestock in the electoral programme in one government period, Mrs Ouwehand is very concerned about the reduction of livestock. I assume she wasn't just looking at chickens when she wrote that down in her program. If she was also looking at the dairy herd, it is more than 500,000 animals.
ParlaMint-NL_2017-05-18-tweedekamer-8.u60	I'm glad the Secretary of State reads the election programs of the Party for Animals so well. That 70% is indeed in it, but that is not intended for a period of four years, because, of course, you have to make a plan for the company security of the companies concerned for about 15 or 20 years.
ParlaMint-NL_2017-05-18-tweedekamer-8.u61	Shall we now return to the motion?
ParlaMint-NL_2017-05-18-tweedekamer-8.u62	The motion is motivated by the fact that so far the whole risk has been placed on the animals. That's what this is about, isn't it? I don't think that's fair. I believe that the precautionary principle should also be used to see how we can prevent unnecessary removal of animals. That's why I deliberately kept the motion lenient. I leave it to the Secretary of State to make a proposal. However, we cannot say that we are seeing how things are going, and if things are not going well, then we are taking all these animals either to slaughter or to transport to which countries I know very well. Neither one of these is fun for the animals.
ParlaMint-NL_2017-05-18-tweedekamer-8.u63	I have already said that, given the way we are now, I am not taking that scenario out of the picture. At a time when it turns out that things are going differently than we had anticipated, there is still time, even though it may be quick to think carefully about how these consequences are being dealt with. This requires a broader and better discussion than we can now have in this short debate. On the measure mentioned by Mrs Ouwehand in this motion, I would like to say that I do not recommend it, because for the purpose that she puts forward, namely the control of the dairy herd, we have just the system of phosphate rights. The First Chamber still has to vote on this, but if I am not mistaken, given the contributions of the First Chamber members, it will be possible to bring it up to law.
ParlaMint-NL_2017-05-18-tweedekamer-8.u64	Then there's the second motion.
ParlaMint-NL_2017-05-18-tweedekamer-8.u65	In the second motion, in part No. 205, proposes to Mrs Ouwehand to ask the government to withdraw the appeal. I didn't go ice-cream on appeal in one night, so I don't intend to, and I advise against that motion. In the motion-Dik-Faber in part No. 206 is about providing future prospects for dairy farming by strengthening the position of young land-based farmers, including with the help of the phosphate bank. That's policy support. The law explicitly states that there are two objectives which, in any case, are aimed at the phosphate bank, namely to strengthen the soil density and support young farmers. We also discussed the possibility of including other elements in the phosphate bank scheme. This is not only for young farmers, but they can also benefit from it. "The commitment to the new common agricultural policy" is very broad. We have talked a few times here about my position on the common agricultural policy. We are going to talk about the final commitment of the cabinet. I find this wording so broad that I am not very good with it. The first part is actually support for the policy and therefore a little superfluous. That's why I advise against this motion. Then I come to the motion Dijkgraaf c.s. in piece No. 207, which means that the problem clause in the scheme for this year must correspond in substance to the one in the Phosphate Act. Mr Dijkgraaf had predicted it well. I do believe that this is the case, so I consider this motion to be superfluous.
ParlaMint-NL_2017-05-18-tweedekamer-8.u66	It's unnecessary, so what?
ParlaMint-NL_2017-05-18-tweedekamer-8.u67	And so I advise the Chamber not to take these. This is probably the follow-up that Mr Dijkgraaf had already announced.
ParlaMint-NL_2017-05-18-tweedekamer-8.u68	Surprising advice. I will also surprise the Secretary of State by holding the motion and first having a discussion with him on whether this really is a problem, as I say, or not, as he claims. We'll figure it out together.
ParlaMint-NL_2017-05-18-tweedekamer-8.u69	At the request of Mr Dijkgraaf, I propose his motion (33037, No. 207). That is what is decided.
ParlaMint-NL_2017-05-18-tweedekamer-8.u70	On the motion in part No. 206 said the Secretary of State that it is very broad, because it is about the CAP. That is indeed very broad, but the Secretary of State has already spoken to the Chamber about his commitment. Young farmers have no place in that. I think that's a missed opportunity. If he sees any other opportunities to strengthen the position of young farmers, I would be delighted to hear it. I'm looking for what we can do. We have the phosphate bank and the CAP, but there may be other possibilities. I'd love to hear that. What is at the heart of this motion is a future for young farmers.
ParlaMint-NL_2017-05-18-tweedekamer-8.u71	The motion calls for the position of young land-based farmers to be strengthened in the discussions on the future of the CAP. I have already said that I believe that the resources involved in the CAP should be directed towards supporting certain activities in the future. It must be targeted support, linked to performance, and not so much direct income support, linked to the land you have, as it is today. In the current CAP there is a financial reward for having land and if you are a young farmer, you can get an additional reward. If we were only to shape the future CAP, which of course is not the case, it would look very different. This would involve performance-related support, for example for innovations that contribute to sustainability and to the resolution of climate problems. So more is being asked than just being a young farmer with land.
ParlaMint-NL_2017-05-18-tweedekamer-8.u72	Indeed, I have seen that the Secretary of State in the CAP also wants to focus on social objectives. That is not wrong in itself, but I think food production, just pure food production, is also an important social objective. If we continue in the current way, we will have no young farmers. I'd like to support them.
ParlaMint-NL_2017-05-18-tweedekamer-8.u73	I don't share that pessimism. I do agree, however, that providing prospects for new generations of entrepreneurs should be reflected in the discussions on the CAP. However, with the broad wording in the motion, I cannot get out of my way. That's why I have to discourage this motion. I'll stick with that. In his motion in part No. 208 Mr Grashoff asked the government to limit the growth of goat farming by means of animal rights. It is with the same motivation that I have just given in response to Mr De Groot's questions that I advise against this motion. Mr Grashoff could also hold his motion until he can discuss it with a future cabinet.
ParlaMint-NL_2017-05-18-tweedekamer-8.u74	I expected this reply from the Secretary of State, of course, on the basis of what he said earlier in the direction of Mr De Groot and myself. However, the point is that this requires legislation. A simple sum tells us that we'll be two years away. We know how fast this sector is growing in the meantime. So I think there's one and two here, in the sense of the Secretary of State himself. It is wise to prepare legislation on this issue. I can imagine this Secretary of State saying that it may be that he does not finish this himself but that it will be finished by another cabinet. However, I do not think we should first have a few months of formation, then a working period and then a two-year legislative period, and then find that we are too late.
ParlaMint-NL_2017-05-18-tweedekamer-8.u75	I'm assuming the policy is in place. There are also agreements on how we deal with the different animal categories. It is not up to this cabinet to change that policy now. That's why I don't recommend the motion. If the new Chamber, as it sits here, thinks otherwise and instructs this cabinet to develop new policies in spite of the outgoing state, then it is also appropriate for the cabinet to take them up. The Court will then have to rule on this first.
ParlaMint-NL_2017-05-18-tweedekamer-8.u76	I dispute that this is a new policy. There is a clear sectoral ceiling. It is clear that this sector is growing and, moreover, there is more growth in the meat sector. So you can predict that you'll be up against that ceiling. Governing is forward-looking. So nothing new policy. I could still imagine that the Secretary of State would leave the opinion on this motion to the Chamber rather than dissuade it, with the same reasoning he himself used.
ParlaMint-NL_2017-05-18-tweedekamer-8.u77	I stand by my judgment, but I am confident that the Members of Parliament will ultimately make their own judgement, whatever advice I give. So I'm gonna wait and see what else you're gonna do with it as a room. In his motion in part No. 209 Mr Grashoff asked the government to consider an exemption for organic farmers. Of course, that consideration has already been given, because I have already considered a great deal in this process. I've made the following assessment. What organic farmers have to do with forced shrinkage or paying a levy based on the phosphate reduction scheme? These are organic farmers who grew after 2 July 2015, despite the fact that the cabinet clearly stated that any growth that you are still achieving, regardless of the type of business you are, contributes to increasing the problem that we produce more phosphate than we are allowed to produce, and anyone who chooses to increase that problem will do so at their own expense and risk, and must bear in mind that at a later stage he will have to turn in that growth or buy or lease rights for it. The cabinet made that clear at the time. Nevertheless, farmers have continued to grow, including organic farmers. In doing so, they have contributed to increasing the problem. They did that, knowing that the problem was there and also knowing that the cabinet would take action to do so. It is not only relevant whether they actually make use of that derogation, because that derogation does not only serve an individual economic interest of an individual farmer. It's wider than that. It also serves a social interest, namely the social importance of the entire dairy sector for the Dutch economy, the social importance of a green landscape and the social importance of the environment. It reduces fertiliser use in the Netherlands and reduces the transport of animal manure from the Netherlands. Because of this social interest, farmers who do not use and therefore do not benefit from this exemption may also be asked to make a contribution. So now farmers who have contributed to the increase in the problem are asked to help reduce the problem, even if it is organic. I think that is justified and therefore it was the outcome of my consideration not to exclude them from the scheme. Mr Grashoff also attaches that request to the appeal court, and I am not in any way ahead of it. I await that ruling and therefore what I may have to do on the basis of that ruling. The same reasoning applies to the motion in part No. 210 by Mr Futselaar. I also advise against that motion. In the motion in part No. 211 is requested by the government for a communication offensive. I consider that motion to support policy. I have indicated a few times that I see the importance of good communication and that I am committed to it. I'm trying to do the best I can for that. I see this motion and also a number of comments made by Members of Parliament as an incentive to continue to make the most of it in order to communicate as effectively as possible about the regulation and everything that is going to be done about it in the coming period. I don't need the motion for that in itself, and that's why I advise against adopting that motion. But I understand the message very well. Mr. Chairman. This brings me to the end of my reply.
ParlaMint-NL_2017-05-18-tweedekamer-8.u78	Have you made a judgment? That slipped my mind for a second.
ParlaMint-NL_2017-05-18-tweedekamer-8.u79	I said I'd advise against adopting the motion.
ParlaMint-NL_2017-05-18-tweedekamer-8.u80	This brings us to the end of this debate. I would like to thank the Secretary of State and the other participants in this debate for their presence. On Tuesday we shall vote on the seven motions for resolutions. I'm suspending the meeting until 4.30 p.m. clock. We will then be discussing CO emissions in the Netherlands in a 30-member debate.
