ParlaMint-BG_2014-10-31.u1	There is a quorum. I'm opening the plenary session. [[PHONE RINGING]] Procedure, Mr. Tzipov.
ParlaMint-BG_2014-10-31.u39	Any other lines? Here you are, Mr. Ismailov.
ParlaMint-BG_2014-10-31.u40	Mr President, ladies and gentlemen of Parliament, in the form of a reply, but I also address all my colleagues: Colleagues, the subject that was both the Budget Committee and today's meeting, is this report, of course, and the decisions that the Committee has proposed. I invite my reply to my colleagues on this report, if anyone has a disagreement or consent, if someone rejects or does not reject, let him say it from this platform, because this is important in terms of the decision-making process. Because I didn't know if you were taking everything in this report or not. Thank you.
ParlaMint-BG_2014-10-31.u41	Thank you, Mr. Ismailov. Any other lines? I can't see. Here you go, Mr. Dimitrov.
ParlaMint-BG_2014-10-31.u42	Unlike many of you, I personally have no money. The last advance to the Council of Ministers has been translated 400 leva. I don't think this is some kind of conflict of interest. I'm a minister of the Council of Ministers, and that's where they wired me an advance, and I don't have it. Many of you do, however. I don't question the mandatory money we have to give people back. We must return them and seek the mechanism with the Minister. With regard to international companies. There are companies that do international investigations and maybe they're a lot more experienced than we are. I don't say who to be, you decide. KPMG whether they are an international firm, having audited the bank, and it turns out that other three, also international, have found a hole of 4 billion at the moment. Moreover, is this report official or is this the opinion of these three companies? You do realize that starting tomorrow, is it $4 billion, is it 3,900, is it 3,800? I accept this report as it is, and I have no doubt in any of the companies they have audited. What I want is that if we go into procedure, the bankruptcy table will be collected in the most transparent way, because yesterday we heard that there are replacements, assignments, intercepts. It is clear that commissioning is not invented today. I myself have studied at school that the displacement of the number of collections does not change the total sum, but the displacement of debtors will not change the mass of insolvency? So for me, international support will be very important, because whoever is doing it here will be charged with political bias. Thank you.
ParlaMint-BG_2014-10-31.u43	Thank you, Mr. Dimitrov. Come in for a procedure, Mrs. Manolova.
ParlaMint-BG_2014-10-31.u44	Procedure in the manner of conduct. Ladies and gentlemen, Mr. President, I have paid attention to Prof. Gechev and he announced from the parliamentary platform that there is a replacement of one text in the Decision of the Temporary Committee on Budget and Finance. Mrs Tsacheva conveniently did not hear the remark made. We are talking about a replacement, a forgery of the text from the Temporary Parliamentary Commission to plenary. The text is not harmless. This is about the text of the decision in point three, which in the way that...
ParlaMint-BG_2014-10-31.u45	That's not the way to run it, Mrs. Manolova.
ParlaMint-BG_2014-10-31.u46	I ask, Mr. Glauchev, since previous parliaments have also been replaced by adopted acts.
ParlaMint-BG_2014-10-31.u47	I'll take your word for it, it's not in the way of conduct. I don't see what you're up against the way you're going about this.
ParlaMint-BG_2014-10-31.u48	Please note whether Mrs. Menda Stoyanova unilaterally replaced the text of point 3 of the decision or if there was any subsequent meeting of the Temporary Committee on Budget and Finance and the text of the BNB to oblige BNB to take action to rescue the bank...................................................................
ParlaMint-BG_2014-10-31.u49	I promise you I will conduct an investigation. I get your point. That's not the way you're running things, and that's why I'm taking your word away.
ParlaMint-BG_2014-10-31.u50	This changes the meaning of the decision adopted by the Temporary... [[The President shall exclude the microphones of the National Representative Maya Manolova.]]
ParlaMint-BG_2014-10-31.u51	Personal explanation Mrs. Menda Stoyanova.
ParlaMint-BG_2014-10-31.u52	Dear Mrs. Manolova, you start with the old numbers from the forty-second parliament. Everyone who's been here is very clear. There's protocol, you'll be consulted. The truth is this. In the debate Mr. Ivaylo Kalfin proposed changes. He will confirm it from this tribune and these are his changes. When we voted on the texts, you can check in the minutes and in the transcripts what is written, they are with the proposals for changes made by the MPs. If Rumen Gechev, who was present on this committee, something had earplugs or something had memory problems [[Applause from GERB]] At least don't fall for it!
ParlaMint-BG_2014-10-31.u53	Are there any other personal explanations? Mr. Kalfin, come in for a statement.
ParlaMint-BG_2014-10-31.u54	Thank you. Dear Mr. Chairman, Dear Minister, Dear Mr. Governor of the Bulgarian National Bank! Before I begin my statement on the substance, I would like to confirm what Mrs. Stoyanova said earlier. In the text proposed before the committee meeting, there were changes. I made them on the mic at the meeting. There was a meeting, and there was a table of cameras, NGOs and so on. That was absolutely public. I suggested exactly these changes in t. 3, where the BNB was called to take action to rescue the banks. I suggested that the BNB should propose actions and the addition at the end, taking into account the macroeconomic effect and the effect on the state budget. This is what I did during the committee meeting in front of a microphone in the Chamber before the vote on the text. So I am not surprised by this version that we are getting in plenary. If I may, I would now focus on what I would like to say on this subject. Dear colleagues, in addition to the report that has been presented to us and the information that has been presented to the Bulgarian National Bank, we can, of course, argue a lot about it, but we can hardly claim that we can have more information. As a supreme institution of the state and as representatives of the public interest, we need to seek answers to several questions. At least I don't see them yet. I don't see them in the actions so far, I don't see them in the BNB report, I don't see them in the decisions we make. So standing by and watching something happen outside of us can't happen. This is Parliament's role to ask for information and to know what is happening in the country. What's this about? First, the first question to be asked: why did it come to the Quaestors in this bank, in a large bank in Bulgaria? What didn't work? In BNB's report we see detailed descriptions of how Bank supervision worked, did its job, did what it does in all banks and did not find these problems. It is obvious that since there is a problem that has been created, it also has a problem in preventing the bank from falling into this state. Here, too, measures need to be taken to clarify what this problem is. Again, I don't think anyone here today can tell exactly where he's standing. But it needs to be clarified and the necessary changes to be made so that we can make sure that this case will not be repeated, that the following banks, which are supervised by the BNB, are stable enough and there is no risk to the banking system, and I maintain this confidence for myself, but we need to assure the public as well. Secondly, what has happened in these six months since the Quaestors entered the bank? Has the bank, which is in this state, improved, deteriorated, increased the public price for what will cost us a liquidation or reduced it? What were the Quaestors' actions? Yeah, they're legal. But what I see is that they have imported uncertainty, especially among people who have guaranteed deposits. They brought in uncertainty regarding the overall picture of the bank's situation. I'm not just talking about the Quaestors here. I'm talking about all the action. Yeah, it's all legal. There was a check that was requested by the BNB. It took several months, no one expects it in three days to analyse the state of the bank, but the problem stands that in these six months we can no longer talk about improving the bank, nor about reducing the public price from any development to be further, nor about actions that have anything to do with such actions in European countries. I had the opportunity to participate in the writing of European legislation in such cases for banks, and I observed very closely what was happening in Portugal, in Italy, in Spain. There is no such case as the case in Bulgaria. And that's for Mr. Martin Dimitrov, who says: "We have wonderful legislation." It's not wonderful, Mr. Dimitrov! It's not! If we compare what is happening in Bulgaria with what is happening in other countries with banks that have a problem, we see that Bulgaria has a problem with the procedures and the way the public interest in a bank is protected. Thirdly, the main difference for which we throw all numbers is related to the different assessment of Bank supervision and KPPG as an auditor of the bank and the check that has been done so far. When we spoke and was here the Governing Council of BNB several times asked the question whether they used a different methodology to assess the assets. Turns out there are differences in methodologies. We are not the ones who can judge audit firms by what methodology they should do it. But the fact is that there is a problem that an international, recognized by the large four audit companies says one and two or three more months after it a few months later they say something completely different. Obviously, there is also a problem here that must also be solved. It shall be decided, including by legislative changes, if not by law, by other regulations governing the activities of the Banking Supervision. Next: what is the effect? Is there anyone here in this room who can tell from all these events that have happened and who, again, have been made in a bad way as a result, what is the cost to society, what is the cost of the budget, what is the cost of the economy? This is why we asked the BNB to propose this analysis. I don't think anyone else can do that. And that's what's in this t. 3, which is discussed. This is where I want to speak to you, Mr. Dimitrov, because you started me to challenge a few more of your own. You say: the cheapest budget would be to guarantee the Deposit Guarantee Fund, to pay off the deposits and to end it all. No, there is an even cheaper option to pour money from the budget in the Deposit Guarantee Fund and not he, but the state to withdraw debt, but it is not acceptable and I agree with you that budget money should not be used. But where is the involvement of the banks? This fund is filled by Bulgarian commercial banks. Where is the commitment of the entire banking system? I'm the last one who wants to offer things that will make them go into some kind of instability or do things they shouldn't do. But we can't talk about the debt pays some guarantees of 4.5 billion and then gets them as a loan. Where does he get it as a loan? From that same banking system after that. So if we're talking about the cheapest options, in this case they're not the most acceptable. The cheapest is: the state withdraws debt, increases deficit, gives money to the fund two billion or so... And there's no telling how much it is between 700 million and a billion and 700 million and it's over. That's not acceptable! This cheapest option is not acceptable because it engages public funds. And one more thing. I was the one who raised the question of the assignments being made. Yes, they are legal, only that you are lying to each other and Mr. Gechev, and Mr. Dimitrov, that with the announcement of the bank in bankruptcy the sessions will stop. Who told you they'd stop? On the contrary, a trade union appears and begins the sessions, only opaque, and around the trade union. Who, where did you think they were stopping you from? On the contrary, with the proposal you make, as soon as bankruptcy is declared, the sessions begin immediately and pass through the trade union. You don't stop them with that thing. So then, when we talk about arguments, let's look at the solution. I say on behalf of our parliamentary group that we will support the decision we discussed in the temporary committee. Why? Because it is necessary not to actually extend the deadline, not to look for unknown investors from somewhere, but to ask someone to give us an analysis, and the only one is BNB, with different options for developing this case what it costs the economy and what it costs the budget. If you can say it today, you can say it well. Only you can't. And what we want is for the BNB to do it. If there is an investor, what we are hearing, who wants to give half, a third, and I do not know what it is not our job to analyse these results, but it is BNB's job to present this report to us, and not within three months or half a year, but within a few days or a week, or two, if necessary. That's what this is about. What you are saying now is: cancel automatically without knowing what the price is. We start throwing things at each other that aren't true, that they'll stop the sessions. They will not stop the sessions, they will continue even further after bankruptcy and in fact the public will not understand what this is about. My only thesis is, and I'm sure everyone should make such a declaration: I have absolutely no interest in what is happening in CCB.. personal, or family, or anyone else, and my thesis is that society needs to understand what is going on. And that's why, Mr. Zablyanov, there's an international firm that specializes in telling us where the money is. Because the DPS bill says who the depositories are. Yeah, well, we'll see them, by the way, they're limited only in those who, anyway, file declarations and say that they have all of us, that we have funds in a bank, will now specify which bank they are in. However, this does not answer the question: where is the money? Because whoever put money in the bank didn't drain it. So it's our job in this parliament to solve the KTB case so that it doesn't happen again. And if there is to be changes in the legislation, which is obviously not perfect, changes in the way of decision-making in BNB and in the Bulgarian National Assembly should be made. This should best be done according to the example that is being done and already has experience in a number of European countries. Therefore, we at the ABB were the first to ask the European Banking Authority to come and under its supervision to start doing the actions from now on. It is not for him to check whether banking supervision works, as the BNB understands it, but in this particular case to see what the actions are and to say: it is correct, it is not correct, it is correct, it is advisable, according to the European standard. I think that from now on, too, in consultation with the European Banking Authority, we should do this thing. One more thing for the finale. [[(Reply with microphones turned off by President Tsetska Tsacheva:]] I'm graduating. The only thing we decide here or it was decided that Bulgaria would enter the European Banking Union. Colleagues, I am one of those who has insisted on entering the European Banking Union, but this does not automatically solve the problems. There it needs to be negotiated, it is now being created, means burdens for the banking system, so let's discuss this issue, let's go in, but let's negotiate about it. Thank you.
ParlaMint-BG_2014-10-31.u55	Thank you, Mr. Kalfin.
ParlaMint-BG_2014-10-31.u56	Mrs. Tsacheva, because at first I explained the procedure, maybe two or three minutes will allow you to...
ParlaMint-BG_2014-10-31.u57	Mr. Siderov the first line, second line, Mrs. Lilyana Pavlova, third line, Mr. Rumen Gechev, Mr. Martin Dimitrov has a personal explanation.........................................................................................................................................................................................................................................
ParlaMint-BG_2014-10-31.u58	Mr. Kalfin, you have obviously not disciplined yourself in the European Parliament, as far as we know one minute to speak, and you continue with your style of much talking without saying anything essential. You have stated, however, that I am taking an accent from your long, firm statement that you have no personal interest in KTB. Only recently there has been some information on some sites that you didn't, but your boss Mr. Parvanov had 80 million people planted at KTB. Is this a reason for your passionate desire to save this bank because your boss, your boss, the former President of Bulgaria Georgi Parvanov had 80 million, for which he should answer how. My colleagues and I have calculated that if he collects his presidential salary, which is over BGN 5000, it takes 1100 years to collect that amount. [[Noise and lines.]] If you can answer this question, I will be very pleased, as will the entire Bulgarian society. [[Applause by "Attacka."]]
ParlaMint-BG_2014-10-31.u59	Thank you, Mr. Siderov. Second line: Mrs. Lilyana Pavlova.
ParlaMint-BG_2014-10-31.u60	Thank you, Madam President. Dear Minister, dear colleagues! Dear Mr. Kalfin, in your procedure and as a reply, in support of what you have said, I would also like to address all representatives of the Bulgarian National Bank, who are in the Chamber, to appeal to you to come and clearly and categorically from this tribune to state: is there, or is there no possibility that CCB and the Bank of Victoria will be healed? Today is October 31st. According to the report and this book you presented here, before us, it is clearly and categorically written that today is the deadline to account for the impairments that will show positive or negative value; shouldn't, or shouldn't, the bank's license be revoked; should it be declared bankrupt or not? It's not us here in this room who have to say it. You have to say it. "Bulgarian National Bank, as the independent body. If this bank today, to everything that's accounted for... [[Reply by MP Vejdi Rashidov.]] As an independent body, yes, as they replicate. If all the accounting operations that need to be completed today prove that this bank needs to be declared bankrupt, I do not see what we have to debate here anymore. Come on, file it, and if that's the case, let's end this debate. Ask this topic clearly and categorically, stop hiding and do not give a clear and specific answer. And from now on, you and I, honourable Members, the only thing that we need to decide and do here in this House is, if necessary, to adopt such legislative amendments which will enable the Bulgarian citizens who have deposits in this bank, I mean, to receive their funds as guaranteed by both the Bulgarian law and the European directives. Everything else is demagogy and populism. [[Applause from GERB.]]
ParlaMint-BG_2014-10-31.u61	Third line, Mr. Rumen Gechev.
ParlaMint-BG_2014-10-31.u62	Dear Madam President, honourable Members, dear Mr. Kalfin! Let's make one thing clear. The issue is not only in the word, although the vote was an block, not on changes and on individual points. The problem is, let the Bulgarian citizens also know, to change the Law on Credit Institutions, so that whenever any bank has one lev, or ten million, or one billion negative capital, we oblige the Bulgarian National Bank to heal it by law. [[Noise and lines.]] The Monetary Council prohibits the Bulgarian National Bank from healing anything. You mean who needs to heal the banks? The budget of the Republic of Bulgaria must be restored. Colleagues from GERB, DPS and ABB want to hang the banking system on the Bulgarian taxpayer. I want to be clear to the Bulgarian viewers and the parliamentarians what this is about. This is absolutely unacceptable, as it means even in a very simple language the following recognition: "Dear, if there are such criminal elements in the banking system, if there is a steal in peace! By stealing the money, the Bulgarian people are behind you and will pay. [[Applause from BSP LB.]]
ParlaMint-BG_2014-10-31.u63	It's a hole, Mr. Kalfin.
ParlaMint-BG_2014-10-31.u64	Thank you, Madam President. I'm glad Mr. Siderov showed attention to what I'm saying. He only heard one thing, he's still fine. [[Radio.]] Mr. Siderov, I didn't use the word "save the bank," you used it. All the words I carefully picked were talking about information about what happened at KTB. To save you, you mentioned. As for various writings in the newspapers: at my address, I can tell you, but what you mentioned and President Parvanov, he has not once said that this is a complete lie. If that's what you're building politics on, be alive and well! Mr. Gechev, first of all, these proposals have not been voted on. You were on the committee yesterday, you must remember from yesterday to today. The first, second and fourth points were voted together, and the third point in which these proposals were held was voted separately. And that's true! If you've forgotten, ask the colleagues who were there. Secondly, you created a coalition that wants to save banks with government money, and that is not what the text says. The text says that we want to know before taking an action what is the effect on the economy and the state budget. Then I'll tell you, Mr. Gechev, that you don't want the public to know what happened at KTB and what effect it has on the economy. Thank you. [[Applause from ABB and GERB.]]
ParlaMint-BG_2014-10-31.u65	Personal explanation of Mr. Martin Dimitrov.
ParlaMint-BG_2014-10-31.u66	Madam President, ladies and gentlemen! Mr. Kalfin provoked me, although against the background of Mr. Gechev's statement, whose time the most banks in Bulgaria were bankrupt, this statement did not make such an impression, but still. Mr. Kalfin, I'm telling you, because you're a competent man, you'll understand and I trust you'll change your position when you hear me. When the state gives a bank guarantee to the Fund, there is no cash, there is no money movement, so it is the cheapest option. You say there's no money movement, Mr. Kalfin. This is one factual point which I hope that when you hear this opinion, you will change your opinion. There is one more, however, where you are already making a factual error. At the moment when you make assignments and intercepts, you realize immediately, now unwarranted deposits. Then, when there are syndics, in these operations will be involved who? Only guaranteed deposits. [[Reply from the National Representative Ivaylo Kalfin.]] That's right! If, Mr. Kalfin, in this you do not see a significant difference, from here on you should see it, because there is a direct departure to the Fund at the moment from these assignments and intercepts that are being realized. That is, future syndics can limit transactions to transactions of such order, which I am convinced you did not deliberately miss in your speech. That is why we in the Reformation Bloc argue that the most advantageous option for the state is to guarantee the Deposit Guarantee Fund, where there is no money movement at all. There's no movement of any money! In addition, the Fund has its own revenue every year in the way it was created and will raise money, also in the bankruptcy procedure itself, so that the State will not have to give any money to save this bank. Thank you for your attention. [[Applause from the Reformation Block.]]
ParlaMint-BG_2014-10-31.u67	Thank you, Mr. Dimitrov. Ladies and gentlemen of the National Assembly, according to art. 100, para. 1 The National Assembly shall hear questions, questions and answers on them in the last three hours of the meeting every Friday, unless it decides otherwise. After consulting the parliamentary groups, the leadership of today's plenary session proposes to adopt a decision to proceed with the discussion and debates on this point until the vote on the draft decision. If this happens before 2:00 p.m., when the end of the plenary session, we will continue with Parliamentary control. If the time does not reach 14.00, it will be extended accordingly to the vote on the point. I ask you to vote on this procedural proposal. Vote 172 MPs: 159, against 10, abstention 3. The motion is accepted. Mr. Siderov, you asked for a procedure. [[Reply from the National Representative Volen Siderov.]] There's no personal explanation by line since you replicated the MP. It's normal in the back of your head to address you, but if you want a procedure, I'll give you an opportunity.
ParlaMint-BG_2014-10-31.u68	My procedure is for you to re-vote the last vote because I hope that common sense will still prevail and not waste all parliamentary time today on this first day of parliament, because so far we have dealt with formalities, with the election of committees, chairman and so on. In fact, this is the first session of the Forty-third National Assembly. What does it do? With the rescue, Mr. Kalfin, the bank. [[Reply from the National Representative Ivaylo Kalfin.]] Yeah, that's exactly what you're doing, because I listen very well. You said you agreed. You have already agreed with GERB, as you had agreed for your room before the negotiations for the rooms began. [[Noise, excitement and lines from GERB.]] Now you have agreed to support them because Mr. Parvanov and Mr. Borisov are old friends, they have declared it. That's clear to everyone! I listened very carefully. You agree with what? Here it has already been said, it has been argued wonderfully "You want from now on to give indulgence to any banker who falls below the capital permissible limit and he does what he wants and the BNB to finance it. With whose money? With our money.
ParlaMint-BG_2014-10-31.u69	This is not a procedure.
ParlaMint-BG_2014-10-31.u70	We at Ataka do not agree. So admit it, tell yourself what you want to do, and don't twist, because this is your old style, so you were as foreign minister and for this reason Bulgaria's foreign policy went far down the cliff. I suggest we reschedule the final vote. Thank you.
ParlaMint-BG_2014-10-31.u71	I get it. I am re-voting the proposal for a decision to extend the debate to the vote on the decisions on this point. Please, voting mode. Vote 172 MPs: 161 against 11, no abstentions. The motion is accepted. Mr. Iskrov made a request, a desire to answer the questions. So far, the following MPs have been recorded for speech under the order of the application: Kiril Tsochev, Boyko Borisov, Radan Kanev, Mr. Bajraktarov. Mr. Iskrov, you have the floor, as I believe that your statement will guide the colleagues who have expressed their willingness to speak.
ParlaMint-BG_2014-10-31.u72	Thank you, Madam President. Ladies and gentlemen of the House, Mr. Minister of Finance, ladies and gentlemen of the House! First of all, I would like to thank you for inviting me to be here with my colleagues from the Governing Council and to have the opportunity directly from the highest tribune of the Republic of Bulgaria to present to you our activities regarding the KTB case, as we call it, as well as our influence on this process, the decisions taken, the assessments made accordingly and, of course, what is to come from here. We didn't hide here said Mrs. Pavlova, thank you for the business tone, so I asked for the floor, we never hid, we just don't like to go around the studios, but we like to talk to the institutions that are responsible, as is the National Assembly. We didn't ask for a change in the law. I'll take a reference to these four points that are proposed here. This is not our idea and I will even inform you of the legislation of the European Union, as you are risking entering a colony. Gentlemen Gechev and Dimitrov are right in their speeches. The report that we have tabled and sits before you, I do not think that I should repeat it, as it is very very detailed - 60 pages, describes clearly in chronological order everything that is done by the Central Bank along with the reasons for our decisions. We have also given the accounts of the Bank of Victoria and KTB Bank in practice the problem of KTB Bank in order to be clear and what is reported to Bank supervision at this time. I don't want to miss the case to point out that the entire Board of Directors is here without Mr. Stattev for good reasons. Mr. Gunev himself has been on leave since 18 June 2014 due to the investigation that is ongoing. But it is also here today, and it was Wednesday before the Temporary Committee of inquiry, so that it can provide answers on supervisory issues, as you know that our law is special, specific to the 28 member states and these are all functions within the framework of operational supervision, within one position and the respective directorates, officials and so on. So I thanked him Wednesday, thank him now. Otherwise, Mrs. Cordovska is also here and may answer questions from the nature of banking supervision after the 18th and so far. In addition to the informative role of the report, we have also recorded in the end, as we expected from the Temporary Committee on Budget and Finance and from the National Assembly to hear your will of the High Representative of the People, whether you believe that the Bulgarian National Bank should continue in accordance with the current legislation, as was the decision before the Head of State on 14 July 2014 by the then parliamentary leaders of the Prime Minister, Finance Minister, Governor, Vice-President, and, of course, Mr. President himself, or you believe that it is necessary despite the BNB Act, despite the European legislation to change something in it and therefore to give some other opportunity to continue this already quite long time is not six months, but four months, a period within which these two banks are placed under special supervision. We do not discuss the Bank of Victoria, as this is the least of our problems, but it is important to note that the decision on Victoria is following the decision on the Corporate Commercial Bank. There is no way, as long as we negotiate with investors and we don't know what to do with KTB, to make decisions regarding their asset, a 100% CTB asset. If we take away KTB's license, I will soon say the steps, we will probably start to deal more actively with the issue of Commercial Bank.
ParlaMint-BG_2014-10-31.u73	Maybe he can't get better or he can't get better?
ParlaMint-BG_2014-10-31.u74	Mrs. Pavlova, I will answer all questions.
ParlaMint-BG_2014-10-31.u75	What's the price of one and the other?
ParlaMint-BG_2014-10-31.u76	I'll answer all the questions. In the Temporary Committee on Budget and Finance, this was the problem that it became an interrogation for four hours and we could not get to what you are saying right now, and we were surprised by a draft solution in the last five minutes, where you know how for a reason, I think, we reacted. Ladies and gentlemen of the House, I will not mark again what has happened. All I'm saying is that the BNB never ran away from responsibility, never wanted to transfer BNB's problems to someone else's head. The BNB was looking for cooperation. Where she had no mandate for any action, she sought assistance from a government, sought assistance from parliamentary represented forces to resolve the matter. There, I repeat once again, where she didn't have such a mandate! Otherwise, Mr Kalfin, we know very well the legislation of the European Union. The Bulgarian National Bank, I said it in the Commission, together with the Swedish Central Bank and Polish, are one of the most active in signing the new directives, decisions, regulations and so on. Mrs. Cordovska can talk to you here for eight hours on these issues, not to waste the time of the MPs. But not everything is in our legislation. Nowhere is a bank in the European Union anywhere, including America, where the Federal Reserve has been pouring money to this day's press money, has decided to capitalize and open banks without legislative decisions. You remember the Art Program, which Mr Sarkozy personally had to go to Washington to convince Republican Bush how banks would be nationalised. In the end, it turned out that there was no other way and it went through a Congressional decision. You remember all these decisions of the national parliaments and national meetings of the countries of the European Union. A central bank cannot treat commercial banks, a central bank cannot provide capital, a central bank cannot provide liquidity even in countries if the bank is bankrupt and has negative capital.
ParlaMint-BG_2014-10-31.u77	Creditor from the last instance.
ParlaMint-BG_2014-10-31.u78	A last resort lender has very strict rules in the European Union and the creditor of the last instance under art. 33, Mr. Moskovski, according to our law, in this case the Bulgarian National Bank is extremely limited and we have also described this in this yellow review book.
ParlaMint-BG_2014-10-31.u79	Read your art. 112...
ParlaMint-BG_2014-10-31.u80	As a result of all these actions and as a result of the very long delayed audit assessments, I listened to this yesterday in Mr. Glauchev's speeches, he is right, but was answered in advance in the Temporary Committee on Budget and Finance, these are not regular audits. Specifically, the three managing partners of the three companies on Wednesday came with their faces, with their reputation and said what these analyses were. These analyses of assets and liabilities are to serve the Quaestors of the Corporate Commercial Bank to assess the actual state of the assets as of June 30, updated on July 30, the last possible date so that it is known that this is what I have to answer to Mrs. Pavlova. Does it make sense for the bank to be healed, is there at all a bank such an animal there, or does there not? And that's what they did.
ParlaMint-BG_2014-10-31.u81	And what's the answer?
ParlaMint-BG_2014-10-31.u82	I'll give you an answer. That's what they did.
ParlaMint-BG_2014-10-31.u83	Come on, come on.
ParlaMint-BG_2014-10-31.u84	So I don't want to get into discussions on methodology. That was discussed. All of the above events, I mean, are documented, what we're talking about, is in the book. One part of this documentation, of course, due to the fact of open violations, I do not want to use another word, is sent to the Sofia City Prosecutor's Office. Before I finally say what they have established and what we propose, I would like to say what I have said to your colleagues in the Temporary Committee on Budget and Finance. It's a myth that the Central Bank was running from a market decision. There is no Central Bank, there is no government that does not want, or the Finance Minister can confirm it, the private shareholder to cover his own money. The question is what is the quality of the private shareholder in this case, what are his options, respectively, if not him, are there others who would replace him. For this reason, we also put a chapter in the book in which we describe from the first day of July 10th, I think it was the first meeting in the Council of Ministers, with a high delegation, diplomatic, with representatives of the state, of Oman and of Oman's so-called Reserve Fund, so to this day, I will introduce you to the last offer that Mrs. Pavlova insists on, and it will probably prejudge, as you say, your debate.
ParlaMint-BG_2014-10-31.u85	I want you to tell me if it's accounted for and how much is it?
ParlaMint-BG_2014-10-31.u86	On 20 October, the Quaestors submitted the auditors' reports to the 21st Governing Council, as you have already been informed, gathered and commissioned the auditors by 31st, today, to take the corresponding accounting records, which need to be taken under the Accounting Act based on valuations, so that the impairments that were established by audit firms, amounting to 4 billion. The Commission therefore concludes that the measures in question are compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. BGN, to be accounted for and based on them to be drawn up on the supervisory accounts. By the way, I forgot to mention that one of the Quaestors is also here, Mr. Lutov is sitting upstairs if you wish, he can enter the room and also give answers to your questions. We will probably get these reports within the next few days, as is the practice. You can't expect them to be transferred to the Central Bank immediately. That's a lot of hard work. The analysis itself of each of the companies is of the order of so many when we looked at them on the Board of Directors. What's next? I would like to take account of the proposal you have made as a temporary committee on budget and finance.
ParlaMint-BG_2014-10-31.u87	Is it negative equity or not?
ParlaMint-BG_2014-10-31.u88	It's gotta be negative equity.
ParlaMint-BG_2014-10-31.u89	So we're gonna go bankrupt? Answer me specifically.
ParlaMint-BG_2014-10-31.u90	Based on what was established by the auditors, I answer, Mrs. Pavlova...
ParlaMint-BG_2014-10-31.u91	Yes, please.
ParlaMint-BG_2014-10-31.u92	... The Bulgarian National Bank expects that the capital will be not just negative but very negative. But you have to follow the appropriate procedure and when...
ParlaMint-BG_2014-10-31.u93	Is it the only solution?
ParlaMint-BG_2014-10-31.u94	...and when this procedure is completed, then you will follow the following steps.
ParlaMint-BG_2014-10-31.u95	You'll declare the bank bankrupt.
ParlaMint-BG_2014-10-31.u96	Why aren't you making a remark?
ParlaMint-BG_2014-10-31.u97	The Bulgarian National Bank is obliged to withdraw the license of Corporate Commercial Bank, which will probably have negative capital on the basis of the estimates expected; BNB is obliged to request the competent court to open insolvency proceedings; within 20 working days from the date of the decision to withdraw the bank's Deposit Guarantee Fund starts paying the guaranteed amount of deposits. We were surprised to hear from you on Wednesday because you asked us very strongly, and we expected to hear from you whether you felt the legislation needed to be amended. I told you that we cannot answer the question: would we support an extension of this deadline? Now I tell you one to one: on the basis of and on the offer, as they call it in the media, I do not know how these offers run out, but after it has expired, in bTV I think it has been commented this morning, and at the request of Mrs. Stoyanova I will introduce you to the main parameters of the letter of intent of the so-called "consortium." So we consider on the basis of what has been assumed that any further delay creates really, what Mr. Dimitrov said, an opportunity only to reduce the mass of bankruptcy, that is, for continuing sessions... [[Reply from BSP LB.]] And Mr. Gechev, forgive me, Mr. Gechev. ...continuation of disposals, intercepts, which will damage the Deposit Guarantee Fund, that is to say, all of us. I want to correct Mr. Kalfin right away, it is not true that when a trade union is appointed, they can continue. No, it's not like that. From the date of bankruptcy, intercepts can no longer be made, since then the union will also have to go to the Sofia City Prosecutor's Office and write why they do these things. I promised Mrs. Stoyanova a few words, and Mrs. Pavlova. Indeed, yesterday, we received a letter of intent from the EPIC, the Jem Corp and the State General Reserve Fund of Oman. If you want me to tell you, listen to me if you want, I can sit down. [[Replying from the hall.]]
ParlaMint-BG_2014-10-31.u98	Order, please.
