ParlaMint-BE_2016-02-03-54-commissie-ic333x.u1	Colleagues, the minister is available until 5:00 p.m.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u36	Madam Minister, I have already asked you a similar parliamentary question. In this question, however, I will focus on the problem of illicit advertising of artificial foods. You yourself said a number of interesting things in reply to my previous question. You would create a new regulation that strengthens the provisions relating to first-age milk. You also said that only two other European Member States, together with Belgium, have argued in favour of restricting the advertising of follow-on formulae, which I therefore absolutely welcome. I come to my question as to whether the advertising of artificial foods is being controlled. First of all, how often has an infringement of Belgian legislation been detected and reported to the Public Health Office? Was there any action in those cases? What sanctions will be imposed? Secondly, how is it that the WHO Code is not even mentioned on the website of the Federal Breast-feeding Committee? Maybe that would help. Thirdly, you say that from 2016 you will tighten the provisions relating to first-age milk. What exactly do you mean by that? Do you mean the measure on its own or the age limit? Finally, I must point out that from the point of view of practice, which I know very well, it is clear that advertising for parents really does not make the difference between first, second or third-age milk. That's pretty confusing. That's how this commercial gets to people all the time. The artificial food industry spends very large sums on advertising and thus fights unequally against the promoters of breast-feeding. Caregivers are still overwhelmed with gifts from the artificial food industry, even though they deny it. Do you share that analysis? Can you fix that?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u37	So far, the FPS Public Health has received only one complaint concerning an infringement of the Belgian rules on advertising of artificial nutrition. These were discounts given on first-age milk via online sales. The complaint was delivered to the BFSA, which controls compliance with the relevant provisions. The link to the code of the WHO is indeed on the website of the Federal Breastfeeding Committee, especially on the page about the Baby Friendly Hospital Initiative and via the link to the brochure to comply with the ten rules of thumb for obtaining the label. That reference may be moved if necessary. This will be reviewed in the planned review of the website of the FPS Public Health. The WHO Code of Ethics is indeed not legally enforceable. Our legal framework is European Directive No. 2006/141, last amended by European Directive No 2013/46, which was transposed by Belgium through amendments to the Royal Decree of 18 February 1991 on foods intended for particular nutritional uses. There will indeed be stricter rules for infant formulae. It explicitly states that the labelling, presentation and advertising of infant formulae and follow-on formulae must be such as to avoid any risk of confusion between the two and that consumers are able to make a clear distinction, in particular as regards the text used, the images and the colours. The new regulation will enter into force in 2016 when the Commission Delegated Regulation will be adopted by the European Parliament. However, the Regulation provides that the provisions must not enter into force for more than four years. Belgium does not have much room for manoeuvre to introduce stricter national provisions than European legislation. Possible additional restrictions should only be imposed on infant formulae. European rules are strict. Only specialised publications in the field of baby care and scientific publications should be published. Such advertising may contain only scientific and factual data. Advertising must not imply, nor make it believe that infant formulae are as good as or better than breast-feeding. It will examine the extent to which further restrictions are needed in the administration, but it does not need to be said that European harmonisation is being sought. Member States should be able to ensure that the legislation is correctly implemented. One may indeed always report any complaints to the FPS Public Health or the Federal Agency for the Safety of the Food Chain. As regards the sugar content in baby food, I would remind you that in its dietary recommendations of 2009, the High Health Council recommends that no more than 10% of daily energy intake from sugars should be taken. That recommendation applies to both adults and children. Also this year, the High Health Council comes with updated recommendations. In order to actually reduce the sugar content of the products, the administration is negotiating with the companies concerned, within the framework of the Energy Reduction Working Group. My policy cell is also closely involved in this. So we want to bring down the sugar content so that, step by step, we can achieve that recommendation of 10%. The labelling and advertising of both baby food and food for larger children and adults are regulated at European level. It is mandatory to indicate the nutritional value on the label. One should not make unsupported claims about the composition and/or any beneficial effect on health. Only claims validated by the European Food Safety Authority, EFSA, and approved by the European Commission, may be used. The legal framework is therefore very strict and ensures that consumers receive clear information. We encourage breast-feeding through the Federal Breast-feeding Committee, primarily by focusing on continuing training of health professionals in the materials within the Baby Friendly Hospital Initiative and by setting up awareness-raising actions, but it is mainly the Communities that are responsible for assisting young parents during consultations, for example at Child and Family and at ONE. During the consultations it should also be seen that mothers have the wrong milk, for example follow-up milk instead of start-up milk. If the mother gives formula, whether or not in addition to breast-feeding, it is only a small effort to ask not only how many shovels she puts in the bottle, but also what colour or number the box of powder milk has. The people accompanying young mothers must take responsibility for this. The transfer of information happens much less from mother to child. The families are not so numerous anymore either. A lot of people only have one or two children. It is harder to find the way, but the guidance of mother and child is very important. The choice of breast or bottle feeding must be made before birth and not when the child is already there. This can be considered and discussed in advance.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u38	We agree on that. I am particularly pleased that you are taking part in your efforts to keep the percentage of sugar in accordance with the World Health Organisation guidelines. I suppose that's what you're gonna do in your sugar plan. That theme will certainly be continued if we continue to work on nutrition in this committee.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u39	Madam President, Minister, you know that every year a lot of mutualities, including Christian Mutuality and Socialist Mutuality, do research, the so-called hospital barometer. An article from November my question has been tabled a while ago, and it is clear that the supplements of honorary wages in hospitals are rising very rapidly. This is also apparent from the hospital barometer of the two aforementioned mutualities. That is certainly the case for the supplements in single rooms, which even increased by 6.3 % in 2014, which is huge. For hospitalisation with an overnight stay in a single room an average of EUR 1 461 is paid, which is five times as much as in a double or multiple room, for which you pay 281 euros. In 2014, the average amount for wage supplements was EUR 886 representing 6.3 % more than the previous year. The new figures are likely to show a sharp increase in 2015. By comparison, in the last ten years, the average annual increase in single rooms was 1.3 %. By banning supplements for inclusion in double and multi-bed rooms, fortunately, the costs have already fallen considerably in recent years, but also for the single rooms I believe that measures are needed to reduce the cost to the patient. After all, the patient increasingly chooses to stay in a single room. However, this is not always a real choice, because more and more hospitals are setting up more and more single rooms and so there are not always other rooms available. The rise of the pay supplements in single rooms does not only affect the inclusion in a single room. It also involves the risk that hospitalisation insurance will become significantly more expensive, as insurers will increase their premiums to better cover those costs. This leads to a vicious circle and is especially at the disadvantage of the patient, because it ultimately pays both the premium and the imposition. We also know, of course, that these high pay supplements are linked to hospital funding. The hospitals can thus bind the doctors to themselves. After all, the doctors pay some of the pay supplements to the hospitals. We must not lose sight of the fact that hospitals today need these extra revenues to get their funding. So I do know it's linked to hospital funding. I have a question about that in a moment, by the way. We also note that hospitals are starting to charge more and more cases. It's called comfort supplements or accommodation benefits. These are extras that the patient has to pay, such as for a television set, Wi-Fi or a refrigerator. Patients are not always aware of the fact that, in addition to the doctor's fee, they also have to pay for this kind of business. Especially when patients stay in the hospital for a long time, the bill rises nicely. I wonder whether a television set, Wi-Fi or a refrigerator should not be part of the standard equipment of a hospital at this time. I think it is important that healthcare remains affordable for everyone. This was also included in the resolution on poverty. On the other hand, I understand that hospitals should also get their funding in order and be able to remain financially sound. Hence my next questions. How do you view the ever-increasing premium supplements charged in single rooms? Will you pay attention to that problem in your plan on the new hospital funding? Do you already see how in the new hospital funding you will deal with the pay supplements in single rooms, so that a single room for a patient remains affordable and hospitals can remain financially healthy? How do you feel about the fact that a lot of hospitals are going to charge patients for, for example, a television, Wi-Fi or a fridge, via the so-called comfort supplements or accommodation benefits? Is this supposed to be the basic equipment of a hospital? If you consider that a hospital can charge the costs for such matters, under what conditions should this be done? How can the patient be better informed in advance?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u40	Madam President, Mrs Lanjri, of course I share your concern about the affordability of care for patients. In view of these concerns, last year we abolished the possibility of charging pay supplements to patients in common and double rooms in day hospitalization, as provided for in the government agreement. In no hospital setting is it possible to ask for supplements in communal and double rooms. In addition, a hospital is obliged to always have a sufficient offer to provide patients who ask for it without supplements. The record to be submitted by each patient on admission shall inform the patient of his right of choice and its financial consequences. In other words, the patient has the absolute right to choose a room type without supplements. As you yourself pointed out, the financial health of a hospital is partly dependent on the contributions of doctors, including from wage supplements. The plan of approach to the reform of hospital funding has the ambitious objective of improving or maintaining financial health through an efficient use of existing resources. Hospitals must be properly reimbursed in order to be able to carry out their duties properly. However, I have always indicated that the funding sources of a hospital as a whole must be tackled and that one part cannot be removed with the danger that the whole house will collapse. The patient must always be properly informed about the financial consequences of his hospitalisation. On the basis of the patient's law, the patient should be informed about the financial consequences of the professional's intervention, but also, of course, about the so-called accommodation costs. It also seems obvious to me that the patient should be able to refuse additional services or consumables. If these accommodation costs take the form of a fixed flat rate per day, this looks a lot like a hidden room supplement. No room supplements can be charged in communal and double rooms. Patients facing this situation may therefore question their billing, possibly with the support of their sickness fund. The question also arises as to which accommodation costs the hospitals can charge in addition. Article 104 of the Hospital Act states that no financial compensation may be claimed for the costs covered by the budget of financial resources on a flat-rate basis. This applies, among other things, to the cleaning of the room, the replacement of the bedding and the meals, all covered by the BFM. The charging of these costs must also be placed in its historical context. For example, it was not obvious at the time to have a television set or a refrigerator in the room. This service is therefore not covered by the funding. However, the question is whether one should simply update and revise the minimum basic equipment of a room, so that it falls within the BFM. As has already been said, we are taking this issue on board in the context of the reform of hospital funding. Only after we have taken further steps towards a different hospital financing model, in which this year the various low variable, medium variable and high variable packages are established, can we possibly take out the supplements "comfort supplements" or "accommodation supplements," there are all kinds of names for "cannabis."
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u41	Madam Secretary, thank you for your reply. Of course, you're still working with your services to get hospital funding. I am glad that you want to include the problem of the hidden costs for what everyone considers to be basic equipment, a fridge, a television set or Wi-Fi service, and for which additional payments are now due, in the reimbursement from hospital funding. That is a good thing. I look forward to your reforms in this area and will follow this matter further.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u42	Madam Secretary, Archbishop De Kesel said at the beginning of this year that Catholic hospitals have the right to decide not to carry out euthanasia or abortion. Most political parties reacted disheartenedly, but CD&V agreed with the bishop. Today it's bumblebee again in the paper. It concerns the different views on euthanasia and on whether or not the euthanasia law should be strengthened. For me, a doctor can never be required to perform euthanasia. That's obvious. Each hospital or residential care centre should offer the possibility of euthanasia to patients who ask for it. For me, it is clear that any hospital or residential care centre that goes against this is de facto violating the law. Moreover, doctors who do not like euthanasia should be obliged to refer to a doctor who does. The same applies to hospitals and residential care centres. The patient must be absolutely at the heart of this delicate issue. The law serves to ensure that a patient can die peacefully. With the current discussions about care institutions, we are not doing the patient any service. Madam Secretary, do you agree with me that care institutions that refuse euthanasia are de facto violating the law? Do you have a view on whether or not hospitals and residential care centres apply the euthanasia law? Do we have a view on how many hospitals and residential care centres have never performed euthanasia? Since hospitals are financed by public funds, will you continue to provide public funds to hospitals that refuse to carry out euthanasia? Do these hospitals and residential care centers refer to other hospitals or not? If not, will you do something about it? If euthanasia is not performed, do they carry out palliative sedation in your knowledge? Would we not better register these cases of palliative sedation in order to get a look at this problem?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u43	Mrs Dedry, the law of 28 May 2002 on euthanasia is a law addressed to health professionals, in particular doctors and pharmacists. The law lays down a procedure to be followed by the professional so that the euthanasia is not classified as a crime. The euthanasia law does not explicitly state how euthanasia should be applied within the institutions, nor does it give the institution the explicit possibility to intervene. It is therefore, as always, an individual consideration of the care provider. I do not think it is up to the institution to interfere in this ethical consideration which the law has clearly entrusted to the care providers. Every care provider must know in all conscience whether he wants to participate in euthanasia. Of course, if he does not, he will have to refer if the patient's question remains repeated and has been put in writing. It should be noted, however, that after the various state reforms, the federal level is no longer competent for all aspects relating to the management and operation of the care institutions. Think, for example, of access to the institutions. A clarification of the euthanasia law on how institutions should deal with this problem could clarify this. It is up to the Chamber to start a discussion on this matter if necessary. This also applies to another point you mention, namely whether or not to require the registration of cases of palliative sedation. We do have the impression, however, that the number of cases of palliative sedation is rising with data from the field "Palliative sedation'. The number data to which you request at least the data that are the subject of the mandatory registration may be provided by the Federal Audit and Evaluation Committee euthanasia. You can request it in writing so that we can deliver it to the Audit Board. In view of the recent position, I believe that a debate is pressing. We are always open to a debate, but it must be a debate that does not say in advance where one will land, in the event of a tightening up or greater accessibility to the possibility of euthanasia. If an evaluation is carried out and a debate is held, it can go in the two directions. So to be continued.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u44	Madam President, Minister, it is a good thing that we should have this debate in the Chamber and certainly in the Committee on Health. You are right to say that a clearer application of this law would bring relief. As far as the registration of palliative sedation is concerned, I fully agree with you. I asked you another question about euthanasia in the event of unbearable psychological suffering. You replied to me that it is indeed the intention to develop mental health care in such a way that we can avoid such questions. It is always the crisis situations that the press are experiencing, but I do not agree with those who want to tighten up the law now, while the basic elements of the law are not applied in a number of hospitals.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u45	The difficulty lies in the fact that matters relating to the euthanasia law are dealt with in the Justice Committee. At the same time, they treat people from their health situation. Therefore, if we decide to discuss this matter, we will have to organize ourselves to ensure that things are done properly.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u46	Question No 8378 by Mrs Van Hoof is postponed.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u47	Minister, for many years now the organization of emergency response has been structured in our country around medical, health and psychosocial relief operations, police supervision, logistical support and information and communication. After questioning the Minister of the Interior on this subject, it seems to me useful to ask you about the plans that exist in the services that should intervene simultaneously, especially in a health and emergency care environment. Indeed, as a result of the threats we face, large-scale situations must also be considered. It seems to me all the more useful to ask you about this because, for some time now, we have heard or read from actors on the ground, intervention services that announce in the media a lack of resources in case of an attack. At the same time, others state that emergency medical services, particularly in the Brussels Region, are fully adapted and ready to deal with such situations. Clarification is needed in this area and you are best able to provide it. Therefore, have the national emergency management mechanisms, apart from nuclear safety, been evaluated recently and if so, what are the conclusions and recommendations? Have crisis relief and first aid facilities been evaluated recently, particularly in large Belgian cities? When was the crisis plan of our country's hospitals and emergency response services evaluated, particularly in the Brussels Region? When was the last crisis exercise involving all levels of intervention completed for the last time? Are your services informed of the findings of the provincial exercises? Did they participate, if any? What is, to date, the capacity for supervision and care (medical reception, accommodation, medical equipment, etc.) of our intervention services?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u48	Mr Pivin, as far as the emergency medical aid chain is concerned, the medical intervention plan is triggered in the event of a disaster causing a large number of victims. The medical intervention plan, which is based on medical intervention means (i.e. ambulances, ITPs and MURs), medical-sanitary reinforcements such as the Red Cross and the warning of hospital services, is organized provincially and under the supervision of the Governor. For the Brussels-Capital Region, the plan is under the supervision of the senior official. This is historically the case, it is not my decision. The medical intervention plan shall be activated by emergency centres 100 and 112 or by medical dispatching as soon as the following cases occur: either a minimum of five serious injuries, or ten injuries whose severity of the injuries is unknown, or more than 20 persons potentially at risk or to be evacuated, except in the event of the maintenance of public order. When the intervention plan is triggered, three SMUR teams and five ambulances are immediately sent by the Superior Council 112. If necessary, the number of resources implemented is increased and staff and logistics resources are strengthened. The intervention plan also determines the modalities for training stakeholders and the frequency of exercises. As a result, intervention plans are tested and evaluated several times a year in each province during both municipal and provincial exercises and after each trigger of the plan. With respect to exercises at the provincial level, the Disaster Management Service and/or the Emergency Medical Assistance Service shall normally be informed of or participate in such exercises. Disaster plans are also tested and evaluated on a regular basis. At the hospital level, the hospital services alert plan, the MASH plan, is intended to organize and reorient all the activities of the hospital when faced with an emergency situation. The MASH plan is developed, updated, tested and implemented by the emergency physician in collaboration with the multiple clinical management and departments. The MASH plan allows the internal organization to deal with an influx of victims from outside. Each institution determines the threshold and triggering conditions for its MASH plan. Currently, a revision of these plans is under way in collaboration with the Communities and Regions and MASH plans are verified by the supervisory authorities, i.e. the Communities and Regions, and approved by the Governor. Approval of the plan by the Governor is a prerequisite for approval by the competent authority. The addition of the capacity to take care of all Belgian means is 181 critical or serious injuries and 397 non-critical or serious injuries during the first hour. Capacity can be enhanced the following hours as required. In the letter that Mr Jambon and I sent to hospitals, we ask how long they can turn "classic" beds into emergency beds per half hour or per hour, after the first hour. Following this letter, we did simulations in various hospitals. Following the Paris attacks, a circular was sent to all actors involved in emergency medical aid recalling the existing guidelines and explicitly asking hospitals to submit their MASH plan and their Business Continuity Plan to an inspection and, if necessary, an update. Some have done the update, others have done the simulations. In addition, the Public Health FPS is in constant contact with the government's crisis centre, as well as other relevant security services, with a view to structured consultation. This is a permanent work, because it is better to be prepared for all circumstances. We were able to see that in Paris there had been problems in this regard.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u49	I note that the lessons have been learned from situations that others have encountered and that there is a realistic follow-up to the situation that we are dealing with. Thank you.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u50	Question No 8465 by Mrs Cassart is transformed into a written question.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u51	Madam President, Minister, last year a very interesting book was published by a journalist on the deepest secrets of the food industry. Apparently, there's never any fresh produce in food factories. Everything is ground, dissolved or frozen. The difference in taste is dissolved with chemical flavors. Often the manufacturers themselves do not know what is in it. Nowadays, any packaging already states that the product may contain traces of x or y, because the same equipment is used. The E numbers are also replaced by, for example, topia starch or rosemary extracts, which are equally chemical, but whose name sounds better. Madam Minister, the food industry uses almost nothing but chemical miracles instead of nutritious, healthy, fresh ingredients. Clear food labelling may make it more difficult for some of them. For others, it can also be a way to innovate and it can be an incentive to look for healthy alternatives. That's why I have the following questions. Firstly, do we have an overview of the E-numbers on Belgian products? If so, how many of those E-numbers have been replaced in recent years by other similar ingredients with a better sounding name? Secondly, which flavour enhancers are most commonly used in Belgian products? Is there any evolution in that respect? Thirdly, have Belgian companies already been flagged back because there were ingredients, such as traces of nuts, in their products that they had no knowledge of and which were not on the packaging, with consequences for allergic patients? How many companies are we talking about? Fourthly, my main question is this. Do you agree with me that clear food labelling, as it exists in the United Kingdom, can be an incentive to innovate the food industry?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u52	Madam President, Mrs Dedry, in our industrialised society many people no longer take the time to cook with fresh products. They make more use of industrially prepared food. For reasons of preservation, the attractive appearance of the product, the colour, taste and price, the food industry uses specific production processes and also adds substances. It goes without saying that substances are only allowed after their impact on public health has been extensively investigated. Substances with E-numbers in the labelling are additives, for which authorisation at European level is provided for in Regulation No 1333/2008 and Regulation No 231/2012. A list of substances authorised for use in foodstuffs under conditions, based on that European framework, is available on the website of the Public Health Office. I'll give you the link. My services regularly carry out studies on the intake of additives by Belgian consumers, because not all of these substances are actually used in Belgian products. A general label study carried out in 2012 shows that only a small half of the authorised additives were found on at least one label of a food on the Belgian market. We expect the new data on this from the food consumption survey which is currently being completed and from an ongoing study on a number of emulsifiers. Indeed, food manufacturers often seek to have fewer additives or additives with a better image on the ingredients list. In doing so, additives that have been authorised relatively recently, such as the extracts of rosemary or E 392 you mentioned, are gratefully used. The second question concerns flavour enhancers, of which 17 are currently allowed in Europe under the additives regulation. We are therefore talking about substances with E-numbers. Data on evolution in the use of taste enhancers are currently not available. Your third question is about allergens. The Federal Food Chain Safety Agency, for which the Minister for Agriculture, Mr Borsus, is responsible, carries out dozens of analyses annually on the presence of allergens that are not on the label. In addition, hundreds of labelling inspections are carried out annually, in particular on the legally required allergens as an ingredient. If irregularities are detected, action shall be taken. Since 2014, the website of the Federal Agency for the Safety of the Food Chain has been listing under the heading "Pulse protection for allergens', the products for which certain allergens are not listed on the label. These are often allergens that are not part of the recipe of the product, but are unintentionally present in the form of traces. This list of non-compliant products results from checks, notifications or complaints. In 2014, nine such products were listed, in 2015 already 36. The product should not always be returned from the BFSA to the point of sale, but the BFSA tells me that it has not received reports of allergic patients. As far as your last question is concerned, I would like to remind you that legislation on labelling was harmonised at European level and has been thoroughly revised. From 13 December 2016, food labelling will be mandatory for the vast majority of pre-packaged foods. Many producers already tend to do so. In your question you used an additional voluntary front or pack labeling, such as the traffic light in the UK, where you work with colors. My services are currently examining which system in Belgium could have added value for consumers or producers. Some studies suggest that the indication of nutritional value at a glance encourages operators to improve the composition of their products. However, this is still the subject of discussions. I also follow closely the discussions on the resolutions on supplementary food labelling in your committee.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u53	Madam Secretary, thank you for your comprehensive reply. We shall see, with the committee, where we are going to land with the proposals on this subject.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u54	Madam Minister, on 8 January 2015, we were told by the press that an ambulance service in the Maasland was no longer allowed to leave because an in-service training in Aachen was not valid, not least where the basic training was also given. The same ambulance service was asked by another federal government agency, especially Defense, to receive military internships. This therefore indicates a lack of communication and transparency of the rules on cross-border diplomas, further training and so on. There is a lack of clarity about the Royal Decree of 13 February 1989 on training and completion centres for aid workers. The Royal Decree clearly states that basic training in Belgium must be followed. One can ask the Ministry of Health for an exception. However, it is less clear for continuing training of 24 hours a year. Do we have to ask for an exception every year? Is it possible at all that training abroad counts? Do you think that an exception should be requested every year for continuing training in one of our neighbouring countries? Is it enough to do this once? Are there any arrangements for such further training and training with our neighbouring countries in order to coordinate them as much as possible?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u55	Mrs Kitir, I must make it clear to you that there are no training conditions for the ambulance services, but for the individual paramedic. I also emphasise that systems and training in the different EU countries are the country's own and not just comparable across borders. My answer is general and certainly not inspired by the incident you mentioned in the Maasland. In accordance with the Law on Emergency Medical Assistance of 8 July 1964, more specifically Article 6b, a training and completion centre for emergency workers has been set up for each province to ensure both basic and continuing training. These centres provide the certification of the aid worker-ambulancier, which is an absolute condition for the exercise of the function of aid worker-ambulancier. The Royal Decree on Training and Completement Centres for Aid workers/Ambulancers sets out the modalities for basic training and continuous training. Annex 2 to the Decision also describes the training programme. In answer to your first question concerning the granting of an exception for continuing training, I can answer that an application must always be made to the approved centre in advance for a course not organized by an approved centre, regardless of its location. The approved centre will then send the demand to the central services to assess this question by consensus with the other centres and whether or not to approve it. In this way, exceptions or derogations from the initial programme may be obtained. However, the question of examining it must always be there. In reply to your second question, I can tell you that no agreement has been reached on such training at present, given that the law on urgent medical assistance of 8 July 1964 and the Royal Decree on training and completion centres for paramedics clearly set out the modalities. I should also point out that there are very large differences between neighbouring countries in the field of professional activity.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u56	Madam Secretary, thank you for your reply. You have clearly replied to me that it is the intention that everyone should apply for the exception to be allowed to study abroad. I can understand this a little bit. However, we are now in a situation where, after more than 20 years, an individual aid worker who works on an independent basis is threatened with being suspended, because he has forgotten to ask for that exception once, and because he has followed his training abroad. In my view, this contrasts with the philosophy that this government is following. People need to learn more. The boundaries are open to everyone. When it comes to employment, we even have to look beyond the borders. It is not so much a question of the person in question not being educated, but it is useful to consider whether such a serious sanction is really necessary in this case. For me, it's a difference when someone doesn't follow their training or has followed them at an institution that doesn't meet the standards that the law allows. This person has been in training there for 20 years, but has forgotten to apply for it for one year. He is now threatening to suspend his entire life's work. That can't be the intention.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u57	Mrs Kitir, I would not go on to press releases. The checks are there and if such a heavy decision is taken, it is well founded. I do not go into an individual case, but if there is a very heavy dossier, the appropriate measures must be taken. When you need to be transported by an ambulance worker, you should be able to count on them to have the necessary training and skills, otherwise there is a danger to public health. This is why the services act if they do not follow further training.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u58	Madam Minister, I fully agree with you that if a patient is to be transported, it must be done by someone who has received the right training. We certainly need to be vigilant in this respect. In this case, not only did I rely on the press release itself, I have been in contact with the person himself. In the Maasmechelen region he is very well known and there are a lot of people who know his work. We cannot say that he has not done his job well or incompetent in those 20 years. So I didn't just base myself on the press release.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u59	Minister, tobacco is trafficked throughout the country during its production, transportation and consumption. WHO estimates that 12% of the 6,000 billion cigarettes marketed each year worldwide are illicitly traded. Moreover, 90% of this parallel trade is made up of real cigarettes from cigar factories, which therefore benefit from it. Combating this illicit trade in tobacco is above all a public health measure. The aim is to prevent proven or potential consumers, especially minors, from having cigarettes at very low prices. In view of this situation, the WHO considers that the most effective means of combating all tobacco trafficking is the establishment of independent traceability of tobacco products. To this end, it has drawn up a protocol "to eliminate illicit trade in tobacco products", the first protocol to the WHO Framework Convention on Tobacco Control. This text, which provides for the implementation of traceability to be financed by the tobacco industry, was adopted on 12 November 2012 by the Conference of the Parties in Seoul. Minister, Belgium signed this WHO Protocol in 2013. However, it has not yet been ratified. Can you tell us if your government intends to ratify this protocol? If so, what is the deadline? If this protocol were to be ratified, what steps would be taken to implement it and to combat tobacco trafficking effectively?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u60	Ladies and gentlemen, this is the same question as Mrs Jiroflée's, which was asked a few weeks ago, but I would like to reply again. In 2013, Belgium signed the Protocol to eliminate this illegal trade. Belgium has indeed co-signed the international treaty to eliminate the illicit trade in tobacco products. She hasn't ratified it yet. My administration is working on it. Currently, thirteen out of a total of forty countries have ratified this treaty. It will then enter into force. Articles 15 and 16 of the European Directive 2014/40 on tobacco products are also linked to the problem of illegal trade in tobacco. There is a traceability system for tobacco products and safety aspects to prevent illegal trade. These two items will come into force in 2019 for cigarettes and tobacco, in 2024 for other tobacco products, cigars, no doubt...
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u61	Rolling tobacco, tobacco for pipes...
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u62	Yes...
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u63	Ladies and gentlemen, we will finish at 5 p.m., so we will not go further than the questions attached to point 14. If the timing allows, I will still ask my question about psychomotorists. The remaining questions will be asked at a later stage. Let us now turn to the problem of planning and the shortage of doctors.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u64	Madam President, Minister, the Federal Centre of Expertise in Health Care (KCE) has published, as every three years, a check-up "Performance of the Health System" developed by three federal institutions: the KCE, the INAMI and the Scientific Institute of Public Health (ISP). Through the analysis of 106 indicators, this report lists the strengths and weaknesses of the system and also indicates where it would be interesting to place priorities in order to maintain or even improve an efficient system. It is apparent from this report that KCE is concerned about problems in primary care, i.e. a shortage of general practitioners. While the situation has improved in recent years, the availability of general practitioners challenges the system's ability to meet future health needs associated with population aging. In fact, the proportion of new general practitioners graduating in all medical specialties does not reach the quotas set by the Planning Commission. To add figures to this problem, the Medical Supply Planning Commission estimates that the proportion of general practitioners among the diplomas should be as high as 40%. However, this figure was only 28% in 2013, which is largely insufficient to renew this sector where massive departures are announced for the next few years. Let us not even talk about rural areas that are very familiar with the problem and suffer more from it. I know very well what I am talking about because I come from a commune of 2,800 inhabitants. Minister, have you read the KCE report? What is your position on this? What is the status of the Planning Commission's work in cadastre analysis? Can you remind us of the planned timing? What are the solutions to prevent this situation from persisting and to increase the proportion of generalists among graduates? Do you have any contact with your colleague, Minister Marcourt, regarding the distortion between the over-diplomation of doctors and the shortage of generalists?
