ParlaMint-BE_2016-10-26-54-commissie-ic521x.u1	Mrs. Lahaye-Battheu is apologised.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u43	Recently, the General Public Service Centre (CGSP) reported a shortage of station staff (sorting agents, sub-chiefs and station chiefs, members of Sécurail). Indeed, some stations are completely without SNCB agents, while they guarantee assistance and safety for rail users. For example, the Schaerbeek station no longer has any agents on the outskirts of the wharf since 25 July. Prior to that date, a yard agent and a station deputy chief provided the benefits. This policy is becoming more widespread, as we learn that there will be an abolition of all security posts at Dinant station. To cope with this lack of personnel and to ensure safety, SNCB will install nearly 1,000 additional cameras on the network. According to the CGSP, this removal of staff could have unfortunate consequences for travellers: malicious acts, minor crimes such as tags. This will inevitably lead to a sense of insecurity in Belgian railway stations. Minister, do you confirm the disappearance of the security posts at the Schaerbeek and Dinant stations? Will the phenomenon increase in the coming months and extend to other stations? If so, which ones? And by what date? What are the new measures, apart from the installation of surveillance cameras, that you intend to implement in the short and medium term in order to improve safety on Belgian docks? What do you intend to do to counter the insecurity of some commuters?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u44	Mr Devin, at the Schaerbeek train station, the station's deputy chief provides services in three successive poles. With a view to the optimal allocation of resources, the station's deputy head ensures that other tasks such as accompanying the trains to the garage beams are carried out. However, it is still accessible in the Schaerbeek area via radio and telecommunications. At Dinant Station, there is currently an Infrabel Station Sub-Chief who is responsible for the signalling booth and for taking safety measures in this context. Infrabel Namur is scheduled to take over this signal booth in 2017 in the concentration planning of the signal booths. Once the resumption has taken place, only the window function will be maintained. It is impossible to ensure the continued presence of security services on all trains and stations. SNCB informs me that Sécurail's security service is directing its patrols based on the risk analysis. This means, in particular, that if incidents occur repeatedly in a station, their presence or that of the police will be strengthened. The Corporate Security Service also provides security advice to railway station management services. This includes, for example, taking into account lighting-related techno-prevention advice when designing and renovating stations. SNCB continuously implements a quality barometer to measure, among other things, travellers' sense of safety or insecurity. On the basis of the results, the Corporate Security Service can establish cooperation agreements with partners and develop preventive or repressive actions. SNCB set up a free emergency number at the Security Operations Centre (SOC) on 0800 30 230. This issue has been the subject of communication campaigns. SOC is the point of contact for security issues and suspicious actions. It can be reached permanently, the SNCB tells me.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u45	Minister, thank you for your answers.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u46	Madam President, Minister, recently, Infrabel, the new owner of a public apartment building located in Saint-Gilles, decided to terminate the contract of occupancy for tens of railway cars by December 31, 2016. Infrabel justifies these expropriations by the fact that the building is too close to the international area of the Midi station and by the need to build a new signalling cabin. Some of these railway workers have lived in these apartments for more than twenty years. Deporting them could cause many social tragedies, especially at a time when affordable and decent housing is difficult to find in the 19 Brussels municipalities. CGSP warned Infrabel that, due to the circular of 16 October 2010, the expulsion of public housing between 1 December and 28 February is prohibited. CGSP calls for certain developments to be carried out in the vicinity of the building in order to guarantee the safety of the site and thus prevent these retired railway workers from losing their roofs. Minister, can you explain further the reasons for this expulsion? Are there no other possible solutions, such as an external security arrangement for the building in question? Can you give us more information about the collaboration between Infrabel and the Minister of Housing of the Brussels-Capital Region on the alternatives proposed to expelled railway workers?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u47	Mr Devin, in view of the establishment of the apartments rue de France, Infrabel's security services have decided not to extend the occupancy of these apartments for reasons related to its security policy. On the one hand, these apartments are located directly close to tracks 1 and 2 of the high-speed line of the Brussels-Midi train station. These tracks are currently subject to high security because of their assignment to Eurostar trains. The level of security of these areas is and will remain very high, as this is a high-security point required in the National Security Plan. It would therefore have been contradictory to the measures taken to strengthen security to maintain the possibility of observing these secure areas from apartments. On the other hand, these apartments are adjacent to the Brussels-Midi signalling station. Given its particularly important strategic role in the management of rail traffic, this signalling station has been officially recognized as a critical national infrastructure. Accordingly, Infrabel must take all necessary measures to reduce the risk of acts of malice in the broad sense (sabotage, acts of terrorism). Infrabel has had and continues to have contacts with the Minister of Housing of the Brussels Region. Infrabel has undertaken to respect the period of non-expulsion of social housing for the sake of equity and when it is not legally obliged to do so, since the housing on the rue de France is not social housing in the legal sense, having been made available to the railway workers under a fixed-term precarious occupation contract. In addition, as an employer, HR Rail has set up an accompanying service for railway occupants and has already contacted each of the persons concerned to assist them in their rehousing efforts.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u48	Minister, on this last point, will these people be accommodated in public housing or will a private sector be promoted. I would point out that this is not a trap question.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u49	All avenues are searched for. Sustained contacts are made with the Minister of Housing of Brussels. So I guess all the leads are being explored.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u50	In Wallonia, deployments are a priority over new assignments.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u51	Yes. Not knowing Brussels law, I can't answer you.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u52	These dwellings are not considered to be social housing. (...) There is therefore no possible transfer. Exceptions may be made. Expulsion in winter is prohibited in both public and private housing. This also applies to Infrabel. I have allowed myself this clarification since it was a question of Brussels law. Now I'm quiet. Mr Devin, do you still have a reply?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u53	Madam President, I thank the bicephalous structure that responded to my last sub-question.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u54	Madam President, Minister, at present 28 states of the European Union have a point licensing system. In France, the point licence has a capital of twelve points. For each infringement, the number of points is reduced. In Belgium, this system is a matter of debate. According to a national road safety survey, 46% of Belgians are in favour, 42% are against point permits, the rest being undecided. The debate also divides the Belgian Institute for Road Safety (IBSR) and Touring Insurance. Touring considers the point permit to be a "blind system" because it does not take into account the circumstances of the offence committed. In addition, Touring insists that bad drivers always end up driving, either without a license or with false documents. Conversely, the IBSR considers that point permits can help increase road safety. Recently, we learned from the press that the Mobility FPS and the IBSR were studying the cost/benefit ratio of implementing this point permit system in the Road Traffic Code. Minister, can you describe precisely on what criteria and on what methodological basis the study of the SPF and the IBSR is based? When can we obtain the results of this study? Do you wish to introduce a point permit in the Highway Traffic Code? If so, what is the deadline?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u55	Mr Devin, I have asked my administration and the IBSR to conduct an in-depth study on the effectiveness and feasibility of the point permit in Belgium. Efficiency relates to the ratio of cost to profit, which results in recurrent investment costs, on the one hand, and gains in terms of decreasing the number of offences, accidents and victims, on the other. This cost-benefit ratio can also be calculated for other recidivism measures or systems. In order to carry out this analysis, a few point permit systems in a few states will be examined. The financial and operational costs of such a system will be analysed, among other things, in terms of both human resources and TCI. In need of contacts with foreign agencies, the research will last ten months, so that the result can be expected by the end of 2017. If the point permit were to be introduced, it would not be in the Road Traffic Code but in the Law of 16 March 1998 on the Road Traffic Police. The point permit is nothing more than a system for sanctioning recidivism, and its effects are similar to the deprivation of the right to drive. Therefore, it is all the rules currently applicable to recidivism and revocation contained in this Act that should be reviewed. The rules of procedure for immediate perception, criminal transaction and convictions would also be subject to an impact and a regulatory framework should be established, in particular to organise training and other systems through which points or permits could be recovered. It is currently not possible to decide on a deadline because the implementation of a point permit will depend on the results of the study and the implementation constraints it may reveal.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u56	Minister, thank you for your comprehensive response.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u57	Madam President, Minister, according to the official statistics of the SPF Economy, 732 people died in a road accident in 2015 compared to 727 in 2014, a very slight increase of 0.7% but each death counts. However, the situation differs from Region to Region, as the number of deaths increased by 6.9% in Wallonia and declined in both Brussels and Flanders. Last year, roads were particularly deadly for bikers. Indeed, 100 bikers lost their lives in 2015. These are 15 more bikers than in 2014. Minister, what new measures do you intend to implement in the short and medium term, in order to reduce the increasing number of people killed on our roads? More specifically, what new measures do you envisage in the short and medium term, in order to reduce the number of bikers killed on our roads?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u58	Madam President, Mr Devin, I refer to the answer of 11 May 2016 to Parliamentary question No 11167 put by Mrs Thoron. On the basis of the measures proposed in the General States of Road Safety of 15 December 2015, my administration is currently considering as a priority five measures aimed at increasing safety: the limitation of the maximum permitted alcohol level in blood to 0.2 grams per litre of blood for inexperienced drivers, the more systematic use of alcohol recidivists driving with anti-start ethylotest Alcolock, of which we have already mentioned, the allocation of the costs of alternative penalties for offenders, better coordinated and more targeted controls on road transport fraud and, finally, the creation of a consultation platform for accident prevention. I will mention a number of projects under way: the creation of a database of immediate perceptions in order to identify repeat offenders, the linking of the data banks of the Mobility and Transport and Justice FPS to identify drivers who have lost their right to drive, the support for new technologies enabling vehicles to be safer, the modernisation of the Road Code, the systematisation of the use of ANPR cameras which automatically recognise license plates and which thus enable to verify whether the vehicle is properly insured and in technical order. Finally, my administration is currently developing a project to establish an institute to oversee in-depth road traffic accident research in order to identify its causes and enable appropriate measures to be taken to reduce their risks. These projects are carried out in close collaboration with the Regions and the various sectors concerned.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u59	Madam President, I thank the Minister for his answer.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u60	Minister, I will formalize the question that I asked you last time. I often come back to this committee to ask you about the issue of waste disposal on railway tracks at the station in Tournai. I've been a happy man lately. Indeed, there was no more visible waste. Actually, they were covered in weeds... You will certainly have recognized the ironic tone of my remarks. They try to mask my annoyance at the problematic management of lane cleaning. Since the transfer of skills from the cleaning of the routes from Infrabel to the SNCB, I can see - and I can show you pictures taken by me, but I know you believe me - that the tracks are in a deplorable state at the station of Tournai. In mid-September, I noticed that weed size had been achieved. It had occurred a month and a half after the publication in the press of information on the subject. In the same way, it took me to intervene often with Mrs Galant last year for SNCB - with the help of Infrabel, who blocks and secures the tracks - to remove waste from the rails. I therefore note that, for one shot actions occurring after a political inquiry or press article, SNCB is responding, but that, in order to find a structural and effective solution, the railways are still to the absent subscribers. Minister, how do you intend to ensure that the tracks at Tournai station are cleaned and maintained more often? Do you have any structural solutions to offer? Thank you in advance for your answers.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u61	Mr Delannois, track ping is an exclusive prerogative of SNCB since the railway reform, since the teams and budgetary resources allocated to this task have been transferred to SNCB. It is my responsibility, however, that in order to enable its staff to undertake this work in the vicinity of the in-service lanes, an adjustment of the regulatory framework by amending a royal order is necessary. SNCB personnel must be assigned a safety function to enable them, after completing the required training, to carry out the strict procedures for Infrabel's signalling cabins. The adaptation of the Royal Order in question by the SSICF (Railway Safety and Interoperability Service) and the Mobility & Transport FPS is expected to be effective by the end of this year. On the other hand, the treatment of vegetation on the tracks, including the wharf tracks, has always been and will remain the responsibility of Infrabel. Since 2008, the latter has been using a weeding train equipped with an automatic vegetation detection system. In order to effectively combat its proliferation along the tracks, the intelligent train travels twice a year to process a total of about 10,000 kilometres of track. The first phase takes place from April to June and includes thirty-seven routes along the main routes of the network. The second, scheduled from the end of August to the end of September, aims to repeat the unsuccessful routes in the first season, following rains or incidents, and focuses mainly on areas where the plants are most tenacious.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u62	Minister, thank you for your answer. I look forward to this royal decree by the end of the year. I'll take it as a gift from Saint Nicholas or Christmas. I thank you in advance if we can solve the waste problem. However, for the rest, there is still, I believe, a small problem. You're telling me we're going to spend twice a year. But I see that the problem is different from one station to another. I think that the problems are sometimes specific and, unfortunately, caused by certain people, which is of course regrettable.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u63	Madam President, Minister, after the waste along the railway tracks, let's talk about waste at airports. That doesn't change us much! One Lufthansa aircraft in take-off on Runway 07, and another from Aer Lingus, landing on Runway 01, nearly struck the tarmac at Brussels Airport on 5 October at about 8:40 p.m. According to the press, and your confirmation in plenary session, the Lufthansa pilot ignored Belgocontrol's instructions, asking him to wait before taking off. The disaster was prevented after the pilot of the Aer Lingus aircraft was instructed to go back to altitude, which is called a go-round measurement. This potentially serious incident highlights the issue of the use of Runway 01. According to the airport's mediation service, the use of runways 01 and 07 at that time was in no way justified by exceeding the wind standards on the preferential runways. In this kind of case, it is always extremely delicate since, between the time I tabled the question on 13 October, and today, information was published in Le Soir on 20 October. It states that, on the Live ATC site, which allows all conversations between the control tower and the pilots to be heard, we hear clearly the air traffic controller who tells the pilot in question that the wind is 6 knots to 70 degrees, and that, therefore, the runway was justified. You will need to confirm this information. It comes back to us that you asked DGTA for an audit of the choice of leads between 3 and 10 October and you answered some questions at the plenary session of the House on 13 October. Minister, could we have this announced audit, once it has been written? When will it be available? What were the speed and direction of the wind at the time of the incident? Can you confirm the Evening's information that it was 6 knots, 70 degrees, which justified the use of Runway 01? Were wind standards exceeded? Do you also intend to request an audit by DGTA on the application of wind standards by Belgocontrol in general? Are you considering an audit of the airport mediator who visibly gave information that would seem wrong if the Evening's information were true?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u64	Minister, on 5 October last, Brussels Airport would have avoided a collision between two passenger aircraft. Depending on runway usage, take-off and descending aircraft sometimes have to cross on the ground. The Autonomous Air Accident Investigation Cell shall conduct an investigation and prepare any recommendations. The airport is an economic engine for Brussels and the Capital Region and, of course, for the province of Brabant. The consequences of the tragic events of 22 March have shown the importance of the aviation sector in our country's economy and the international role of Brussels as its capital. There is an urgent need for a flight law that provides stability and legal certainty for all those who fly, live and operate in and around the airport, and for a sustainable and balanced solution to the noise pollution around the airport, where the nuisance is reduced as much as possible and distributed fairly. On 13 October, you pointed out in the press the importance of implementing the coalition agreement. You asked DGLV to check in an audit whether the choices for the jobs used between 3 and 10 October were in conformity with the obligations. The airlines that comply with the rules of the competent federal government are subject to fines from the Brussels-Capital Region. What is the state of play on the draft law? What is the expected timing? What was decided at the meeting with the regional ministers? What are the conclusions of the audit? What means of defence do the airlines have against the fines? How does this situation weigh on the investment climate and the competitive position of Brussels Airport? What is the estimated impact in terms of passengers and volume and in terms of economic growth? What are the conclusions of the investigation concerning the incident on 5 October 2016?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u65	Madam President, ladies and gentlemen, as part of your questions, you are dealing with two different subjects, namely the problem of noise pollution caused by aircraft and the incident of 5 October last. I want to separate the two themes because they respond to two different approaches and have no cause and effect link. The first subject is complex and ancient, and previous methods have not brought any solution. Therefore, I would like to address it differently by analyzing the full range of solutions for each of the seven components identified. As part of this comprehensive approach, the creation of an independent authority will be considered as well as the added value of a law. I confirm that we are working on a list of measures to address this issue. It would be premature to highlight specific measures without the outcome of future discussions with all relevant federal and federated authorities in the appropriate platforms. My priority remains to maintain a constructive dialogue with all the actors involved. With regard to the audit requested from DGLV, I can confirm that an analysis will be carried out there on the basis of all the data on runway choices made between 3 and 10 October. According to DGLV, the results of this audit are expected at the beginning of November. I will inform you later on about the follow-up to the results of the audit. With regard to the second subject, since the incident of 5 October was classified as serious, the information was transmitted to the Independent Accident and Incident Investigation Authority, established by the Royal Decree of 8 December 1998. This cell, which has been seized, works independently. The investigation is under way. I therefore allow that authority, which has a relatively broad investigative power. In the meantime, I will refrain from giving further details about this incident. I also note that I was informed in the Chamber that the pilot had made a mistake. I didn't have that information and I don't know where it came from. One of your colleagues told me when he asked that the pilot had made a mistake. I don't know how he found out. Now we know, because we can listen to the tapes. At the end of its work, the Autorité will submit a report to the Mobility FPS. I invite you to wait for the outcome of this investigation. With regard to the report delivered to me by the two mediators, it should first of all be clarified that it concerns an analysis of the content of the complaints relating to the use of job 1. It's not the only thing I've gotten on this. I've also received a lot of e-mails from neighborhood residents. As a reminder, the mediation service was established by the Royal Decree of 15 March 2002 and, according to the legislation in force, its competence extends to the collection of information to deal with the causes of complaints and the treatment of suggestions from residents. The autonomy and independence of this service is paramount in relation to all parties.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u66	Thank you, Minister, for your answer. The DGTA report will be read carefully, but there is no doubt that more transparency is needed. You are between two fires and must untie the false of the true between the various associations defending the residents. Transparency can be ensured thanks to the future work of the independent authority, which is enshrined in the law, thanks to the information that operators – Belgocontrol and other bodies – can give on the Internet. Perhaps the Ombudsman should also be asked to disseminate correct information, which is not always the case, according to the press. This transparency will help you better manage the pull between the various associations of residents who are all engaged in a legitimate fight for the people they represent but do not solve the problems in the long term. The only long-term solution is to reduce and then eliminate the most problematic flights, namely night flights. Now you'll have less trouble. That is the solution that our group is defending.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u67	Thank you, Minister, for the answer. Of course, we are all in happy expectation of flying law, and I do not need to stress that you need to come out quickly. In this context, I would like to urge you to step up the pace. Of course, you must first enter into dialogue in order to explore all possible avenues and all possible elements. Furthermore, as far as the use of jobs is concerned, we are, of course, looking forward to the findings of the DGLV audit, which we expect at the beginning of November. Finally, we absolutely must avoid incidents above and around the airport, such as that of 5 October. Of course, you cannot anticipate the investigation, but I would like an answer from you as to the timing of the investigation. When will we get the results of this? Did the pilot take off early? Did it have anything to do with the job choice? Did the air traffic controllers make a mistake? All these questions need to be answered.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u68	Madam President, Minister, we recently learned from the press that one in ten trains was far behind in 2016. On average, 89.7% of trains were up to 6 minutes late in the first six months of this year. If we look at the number of trains deleted, this bad result gets worse: on average, there are 5,127 trains deleted per month, with peaks up to 11,830 fewer trains in May and 7,812 in June. SNCB has officially acknowledged that the statistics for this first half of the year are not good. Minister, what measures are you going to implement to improve punctuality on Belgian rail? Can you tell us how punctuality has evolved since 2010? Can you tell us how many trains have been deleted per month every year since 2014?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u69	Madam President, Mr Devin, punctuality is the focus of Infrabel's attention, in particular through the specific measures, of which I will mention six. 1. Daily monitoring of punctuality and incidents. An internal committee called "Input" meets on a monthly basis to review incidents and take corrective action. 2. Close collaboration with SNCB. The monthly meeting of the PIP (Agreement-Punctuality Platform) with the SNCB is intended to list problems that have occurred on the network and to take corrective action to improve punctuality. 3. The feedback meetings. This committee, called "Rex", analyses incidents that have caused a minimum delay of 1,000 minutes, as well as sensitive incidents. 4. SNCB – Infrabel joint working groups for lines or places where punctuality is the least effective. 5. The introduction of seasonal measurements; for example, in case of high heat, in winter, adhesion problems, leaf problems, etc. 6. As an infrastructure manager, Infrabel also undertakes measures to limit the consequences caused by third-party causes: trespassing, theft of cables or suicides or attempted suicides, accidents at crossings, various measures with the actors concerned in order to reduce the number of cases of people in or along roads, by awareness campaigns, the setting up of dissuasive fences, surveillance by cameras at sensitive locations, etc. For example, yesterday the trains had to be stopped in the North-Midi junction following the presence of people in the tunnel. As regards SNCB, in order to improve punctuality on the network, punctuality is given to all actions aimed at reducing the number of incidents, both in terms of equipment and infrastructure. In addition, attention is maintained in 2016 for the first departure, respecting the timetables provided for the exit from the original station, with a view to promoting the regularity of rail traffic. I will give you a table showing the evolution of punctuality without neutralisation between 2010 and 2015, and a table showing the number of trains deleted per month since 2014. It should be noted that social movements and security measures related to the attacks mainly explain the negative trend observed for the beginning of 2016. The table shows that punctuality increased from 85.7% in 2010 to 90.9% in 2015. However, for 2016, we will have a deterioration in punctuality due to the elements I have indicated to you, in particular as a result of the attacks and the suppression or difficulties of traffic during the strikes. These elements are also taken into account when calculating punctuality. You have a list of all deleted trains. In 2014, there were 30,510; in 2015, 22,657, and this year, 33,036, already at that time, but the months of May and June were particularly important from this point of view, as a result of social movements.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u70	I will come back to this specific subject to point out the social movements, but we can see that every month there has been a significant increase. However, there have been no major social movements every month. We will therefore be able to verify what is happening in the second half of the year and draw the necessary conclusions. Thank you for all the elements you have provided, Minister.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u71	Delivering quality service to the customer and increasing the current capacity of trains on the networks are two of the priorities of SNCB, Minister. Recently, Deputy Prime Minister Alexander De Croo declared in the press the imperative need for SNCB to seek a private partnership with the necessary expertise in this area. Therefore, this partner would take a share of the capital of the public company. Does the federal government intend to seek a private partner from SNCB? If so, within what time frame? What would be the modalities of this partnership? How do you intend to ensure SNCB's public service missions, particularly in terms of service and quality, within this hypothetical partnership?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u72	At present, I do not intend to make any changes to the legislative framework established by the Act of 21 March 1991 with regard to the ownership of Infrabel and SNCB. This framework now guarantees public authorities a shareholding of at least more than 50% of the capital, and more than 75% of the votes and mandates, in the bodies of these companies. Even in compliance with these regulations, the use of private capital is not currently on the agenda. What is on the agenda is the urgent need for SNCB, as well as Infrabel, to improve their services so that they can also continue tomorrow in a liberalised railway landscape. That is why my predecessor and I have been investing for months already in putting in place an increase in productivity. Although this is not obvious in the budgetary context we know, it is only a matter of achieving quality objectives, which can be compared with what is being practiced in neighbouring countries, and therefore assure SNCB, in 2023, that it will be able to continue, in a quasi-monopoly situation, the public service mission. The European Commission will evaluate the performance criteria in 2022, and if we reach them with SNCB, we will be able to maintain the public service mission exclusively within SNCB.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u73	I thank the Minister for his answer.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u74	Madam Chair, Minister, recently, a study by the IBSR found that only 29% of children were well attached when they were in the car that brought them to school, just over a quarter of them. This finding is particularly worrying that the study also points out that four out of ten children are injured on their way to school. Between 2010 and 2012, 15 children were victims of a fatal accident on their way to school, i.e. 40 per cent of all children killed in a road accident in Belgium during this period. Minister, do you intend to implement measures to improve the safety of schoolchildren on their way to school? If so, what are these measures? Is an awareness-raising campaign for parents and students planned?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u75	Dear colleague, I refer to the answer I gave on 12 July 2016 to Parliamentary question No 13117 by Mrs Thoron. In summary, communication and awareness-raising are now the responsibility of the regional authorities. However, various information brochures detailing the correct way to attach children can be found on the IBSR website. These are children's sites incar.be and Kinderenindeauto.be. On these sites, small films showing how to properly tie a child according to its size can be viewed. Moreover, it would be desirable for schools to take the initiative to project these images. I would add that the wearing of the belt and the use of child restraints are permanent points of attention during frequent police checks. In 2015, 78,781 offences related to seat belts and child seats were identified. In addition, since 1 March 2013, child restraint offences have moved from the first to the third degree, as they pose a direct danger to users.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u76	Mr President, I would like to thank you very sincerely for this useful reminder. I must confess that I no longer remember your answer to Mrs Thoron's question of 12 July. Perhaps this is due to what struck several of our fellow citizens during the evening of 1 July.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u77	Minister, we have learned from the press that 641 acts of passenger violence were recorded in 2015. This figure shows only complaints registered with SNCB and not those directly addressed to the police. It is noted that these attacks are often related to lack of space on trains, incivilities, delays. Minister, what is in place to prevent these acts of violence between commuters? What measures will you implement to reduce this number of attacks? If you have already answered Mrs Thoron in July, I would point out that my question concerns the current period and what you can implement in the coming weeks.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u78	Mr Devin, the Securail security service reinforces its presence on the first and last trains as well as on at-risk trains. The emergency number 0800 30 230 is also displayed in all railway infrastructure in order to allow security and police services to intervene as quickly as possible. The new SNCB trains will also be equipped with a surveillance camera system to deter the perpetrators of attacks, but also to facilitate repression. However, I would add that the punishment of attacks remains primarily the responsibility of the local police services.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u79	Minister, thank you.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u80	Mr. Minister, we have learned disturbing statistics about the risky behaviour of some commuters around railway rails. You have just echoed this about what happened recently in the North Midi Tunnel. In just seven months, 474 reports of risky behaviour were recorded. These are mainly selfies near the wharfs, walks along the railway tracks and also lack of vigilance at level crossings. Minister, do you intend to implement specific measures to make these people aware of the risks involved in the vicinity of the railway? Is an awareness campaign planned?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u81	Mr Devin, Infrabel conducts annual awareness-raising activities with different target audiences, in order to recall the risks involved when dangerous behaviour is adopted in and around the roads. Since 2016, Infrabel has conducted a survey of dangerous behaviours in order to better understand the underlying motivations and to better identify the public to raise awareness. The survey found that those most likely to engage in this risky behaviour were men between the ages of 18 and 34. The main reason why they adopt this type of behavior is time saving. Among other things, Infrabel carries out the following actions: 1. Sensitization spots. Infrabel launched in 2009, 2014, 2015 and 2016 several awareness campaigns aimed at the general public in the form of large-format posters in stations and/or in the form of spots broadcast via Facebook, Youtube or on television. All past campaigns can be reviewed on the website. 2. Discovery Business Day. Infrabel participates annually in October in the Découverte Entreprises Day by opening several of its sites to the general public. Awareness-raising activities against risky behaviour in and around the lanes are provided for children between 6 and 10 years of age. 3. In the festivals. In August 2016, during the Pukkelpop festival, Infrabel conducted an awareness-raising campaign at the Kiewit stop point to encourage festivalgoers to adopt safe behaviors near the tracks. This action has been a success. In 2017, other festivals will experience the same kind of actions. 4. In primary schools. In order to raise awareness among the youngest, Infrabel distributes every year to all primary schools in the country its great calendar of schoolchildren. It is a useful tool for teachers, in which are taken up the main tips for safe behaviour on and around crossings. For the 2016-2017 academic year, Infrabel also organizes a creative contest for schools and families to encourage all actors to deepen, in class or at home, awareness of dangerous behaviours. Infrabel also provides teachers who wish to do so with two didactic games. 5. Infrabel is also present in secondary schools that contact her or whose students adopt risky behaviours. A 50-minute awareness lesson has been developed and can be dispensed. 6. At the request of the authorities, the police and Securail, specific awareness-raising activities can also be carried out in order to prevent or respond to a local phenomenon. I want to point out something that has recently been done in a city where there are a lot of incidents on the roads. An awareness-raising campaign was carried out by local authorities, in agreement with the various schools, to recall the dangers posed by railways, with emphasis on the need to cross where it is planned, in accordance with the rules as laid down.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u82	Minister, thank you for your comprehensive response.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u83	Madam President, Minister, the Brussels Court of Appeal has delivered a judgment which obliges SNCB to remove all its advertising signs at all its stations. These are about 1,700 panels (2 to 36 square meters) and about 100 digital screens. The legal proceedings began when JCDecaux, a French industry group specializing in urban advertising, brought an action for cessation before the commercial court. SNCB and Publifer and Clear Channel Belgium won first instance. But on appeal, the judges agreed with JCDecaux. The Court of Appeal ordered the termination of the operation of this market and also granted a period of eight months, from the date of service of the judgment, to the SNCB and the companies concerned to dismantle all the billboards. Minister, what are the actions taken by SNCB to enforce the judgment of the Brussels Court of Appeal? Will the billboards be dismantled? If so, when? JCDecaux stated that it did not want the disassembly of the billboards but simply that the public market was open. Have there been any negotiations between SNCB, the partner companies Publifer, Clear Channel Belgium and JCDecaux? If so, can you tell us the state of the discussions between the different parties?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u84	Mr Devin, by contract of 1 January 1992, the former unitary SNCB granted Publifer the exclusive right to operate advertising in the Belgian railway sector for a period of 30 years. More than 20 years later, on 5 December 2012, JCDecaux brought an action before the Brussels Commercial Court to challenge the legality of this advertising concession and to obtain its termination. This action was dismissed by a judgment of the President of the Brussels Commercial Court against which JCDecaux brought an appeal. The Brussels Court of Appeal reformed the judgment of the first instance and allowed JCDecaux's application. It ordered the termination of the advertising concession and the posting of advertising devices in blank within eight months from the date of service of the judgment. The Court of Appeal does not require the dismantling of advertising signs. Like any court decision, this judgment must be respected by the parties and the SNCB will comply with it. SNCB informs me that it wishes to maintain an advertising activity in the Belgian railway sector. Since JCDecaux served the judgment on 9 September 2016, SNCB is currently exploring the concrete follow-up to the Brussels Court of Appeal ruling in order to ensure the continuation of advertising activity beyond 9 May 2017. SNCB has several options to execute the stop and continue advertising in the Belgian railway sector in a manner consistent with it. The only measure ordered by the Court of Appeal is the termination of the enforcement of the existing concession agreement. As with any SNCB activity in which the commercial market is also active, detailed information on the measures that SNCB takes or wishes to take should not yet be disclosed. But it goes without saying that each step taken by SNCB in the context of this dossier is made and will be carried out in compliance with the legislation applicable to it as a public undertaking and with respect for the financial and strategic interests of the group.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u85	Madam President, I thank the Minister for his answer.
