ParlaMint-BE_2016-01-27-54-commissie-ic325x.u1	Mrs Grovonius is not here. Her question No. 4232 expires.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u37	Minister, it was a very difficult balancing exercise between the European Commission and the port labour sector, which led to an agreement on 11 December with Commissioner for Transport, Violeta Bulc, on the modernisation of port labour in our country. The legislation should be brought into line by 1 July of this year. It would then be implemented gradually over a period of four years. Minister, I have two questions for you. Firstly, so far we have had little information on the practical implementation of the modernisation process of port work. However, we were told that the obligation to work for day contracts with a pool of recognized dock workers would disappear. Is that right? What other elements does the agreement with the European Commission contain? What approach does one want to evolve towards and what are the different intermediate steps? Secondly, consultations with the trade unions of the sector were planned on 13 January. What were the points raised? What was the outcome of that meeting? My question dates from the beginning of January.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u38	Minister, I have the same problem. A question is being drawn up and a few weeks later they are already a little further in the process. All the better, I hope. I hope to hear that from you. There's no need for much more introduction. Mr Lanjri has already mentioned several things. I have some questions in the same order of magnitude. What was discussed at that meeting between unions and employers? Could you give us an overview of the roadmap until 30 June to reach the final solution? After all, Europe imposed the deadline on 1 July.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u39	Minister, on Friday 11 December we heard from the press that there was an agreement between you and the European Commission on the reform of the Major Act. However, a great deal of information has not yet been provided to the members of the committee on this dossier. Hence my questions. What are the main lines of the proposal that you, as a minister, have presented to the European Commission on your own initiative? Is the European Commission's formal response to the proposal already known? Will the procedure of default be put on hold? What consultations are planned with the social partners concerned? What are the views on each of the proposals mentioned in the first paragraph?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u40	Mr President, it is a dossier that needs to be handled very carefully, first and foremost by the Minister responsible. The final result is of course also very important, so we need to communicate with the public with great care, but you, as Members of Parliament, absolutely have the right to be informed about the state of play. Once again, I hope you understand that there is a great deal of concern in this matter. On 24 March 2014, our country received a notice of formal notice on five points. It concerns in particular Article 48 of the EU Treaty on freedom of establishment. What are those five points? Firstly, the obligation to work with recognized port workers who come from a single pool; secondly, the restriction of freedom of choice for the duration of the contract of employment; thirdly, the obligations concerning shift compositions; fourthly, the prohibition of multitasking; fifthly, the need to recognise also logistical port workers. These are the five points for which Belgium was failed. My approach is primarily to prevent a condemnation of Belgium. There are other discussions going on, but I hope everyone understands that we are doing all we can to avoid a condemnation of Belgium. My predecessor Monica De Coninck did that and I'm trying to continue it now. In recent months there have been intensive consultations with the social partners and the European Commission: thirteen meetings with the social partners, five meetings with the European Commission. On 10 December 2015, I handed over an action plan to the Commissioner responsible for Transport. This action plan provides answers to all the elements of the notice of default, with the main element that employers will henceforth be free to recruit port workers outside the pool, provided that they are recognised port workers. On the other day, the Commissioner confirmed to me that, if correctly transposed into Belgian law by 1 July 2016, the action plan will allow her to propose to the Commission that we stop the procedure for our country's default. In the meantime, therefore, no procedure will be initiated at the European Court of Justice. The agreement, if correctly transposed, will therefore ensure that our country is not condemned. That action plan is a first cautious step. We now have some time to put that into practice. On 17 December the social partners were informed and on 13 January 2016 they provided their insights on the content of this action plan. On 20 January there was a new meeting with the social partners. At the end of the negotiations, the trade unions announced their satisfaction with the willingness of the workers to continue discussions with a view to commitments regarding the further use of the pool in the future and their intention to present the results of these negotiations to their supporters in due course. I remain convinced, even though this is not the easiest way to find solutions through social dialogue to meet the European concerns and concerns of employers and workers. It is also for that reason that I am communicating very carefully because I want to give every opportunity to ensure that the consultation between employers and employees is successful. It is already terribly complex with the European Commission, the employers, the workers, Parliament, the government; all the actors who follow this dossier very closely. If we implement the action plan correctly, so if the social partners agree, we can move forward. That's all that matters. If, for some reason, social dialogue is stopped at some point, all these efforts will remain unfulfilled. I'm gonna stay positive. Who'd have thought we'd get this far? However, the bear's skin must not be sold until it has been shot or, in this case, before there is an agreement with the social partners. If there is an agreement with the social partners, this can be explained in detail here. However, I would first like to give all the opportunities to the social partners. I hope you understand. I would like to repeat once again that questions have already been asked about this in the past, Mr Klaps.... that it is primarily about resolving defaults and preventing Belgium from being convicted. There are also discussions about logistics and so on, for which I am also trying to find solutions. It's an en-en-approach and not an or-or-approach. I hope we can get there with this cautious approach, with your support.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u41	As far as the latter is concerned, Minister, you can count on us in advance. Everyone realises that this is not only an extremely complex dossier, but also an extremely important dossier for the economy, the port, the employment in that port, for thousands of families for whom the bread on the shelf depends on a job in the port. So far, you have succeeded in averting a conviction and working towards a solution. There's an action plan. I understand that you cannot give all the details of the negotiations, because it is a very delicate balancing exercise. It is important that you have managed to keep the social partners on speaking terms, because it is not always obvious to bring employees and trade unions together. They talk to each other, they listen to each other and they work together on a solution. I hope they will continue to do so and that you can facilitate that. I would like to congratulate you on that, and we will welcome a solution when it arrives. For the time being, I would just like to ask you to continue as you are doing, because it is extremely important for the many jobs in the port.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u42	Minister, we have known for some time now that the dossier is complex. The honourable Member has already said that it is very important that the port of Antwerp is the engine of the Flemish economy.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u43	From the Belgian economy.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u44	Even from the Belgian economy. Okay, my focus might be something else. The port has been able to report very good record figures. It is therefore of the utmost importance that we find a solution which is also accepted by Europe. I would like to say that you are already far beyond your predecessor's ever standing. I hope we are on the right track in this respect. You understand our curiosity. We want to follow up the story as briefly as possible, because of course it stands or falls with that final agreement. I understand very well that in such negotiations there will be an agreement only when there is an agreement on everything and that we have to deal with it very delicately. I have one more call, you referred to it yourself. The focus now is primarily on avoiding this European condemnation, all the understanding of it. I would just like to call on you, in the process of avoiding condemnation, not to make future reforms, which are also necessary in other areas such as logistics and e-commerce, impossible through agreements that would now be concluded. In my view, it must be an en-en-approach, where timing may vary slightly, as long as the problems can all be solved. Thank you.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u45	Let me also remain positive and say that I am pleased that you are giving the social dialogue opportunities. Others say that's unique. I still believe in social dialogue. There are plenty of examples of situations where it is possible. It is good that progress is being made in this story. I only hope that the action plan as we have presented it today, indicating that we will not be condemned if it is implemented in this way, will still allow for social dialogue. That's what I'm assuming. I understand that there is no agreement on this. I hope that space is guarded and that it is a real social consultation and not a sham, where there was supposedly a try, but there was no room for manoeuvre in the end. I hope we will succeed in this. I wish you every success and I will come back to this later.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u46	You already know, Minister, that we were not in favour of stricter diploma requirements before anyone is entitled to an integration allowance. We have already tabled a legislative proposal to abandon the diploma requirements and to look at the effective needs and problems in practice. The strict requirements push young people who are already very vulnerable even deeper into the problems. Furthermore, the rules at present are absolutely unclear for teachers, for schools, for CLB staff and especially for young people who do not know what to expect and for what benefit, which they really need, they can count on if they leave the school banks. This was made clear by the situation of the pupils of the M-Decree. They are also threatened by the current regulations. We have repeatedly asked in committee to clarify matters. Mr Minister, are you prepared to reduce the measure? The rest group includes the weakest. If you are not prepared to take a step back, how will you ensure that the new rules are clear to all the actors involved? It has become clear that not everyone is aware of this. Have you consulted the various education ministers of the Communities? What was the result of that? What concrete actions will you take? Will there soon be an adjustment for the students who leave the school banks via the M-Decree? If so, what will the adjustment entail? If not, how can you guarantee that those already vulnerable young people will not be even more difficult in our society by maintaining the strict requirements of qualifications?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u47	In order to be entitled to an integration allowance, each young person must meet three basic conditions, which I shall consider for a moment. First of all, young people must have completed straight open studies. Secondly, if the young person applies for the benefit for his 21st birthday, he must meet the diploma requirements. Thirdly, he must be registered as a job seeker and his search for work during the employment period must be evaluated positively. As a result of the M-Decree, young people with disabilities attend ordinary education as far as possible. In this case, unemployment insurance must satisfy the normal conditions applicable to all young people following that course. So these young people, like their classmates, can go through straight open studies. Law-opening studies are independent of the requirement to obtain a diploma or a certificate. For example, a young person who has completed the sixth year of secondary education, even without obtaining a diploma, has completed straight open studies and thus fulfils the first condition. A diploma requirement was introduced in order to avoid young people going through only open-ended studies without obtaining a diploma or certificate and thus entering the labour market as little qualified. The second condition is to encourage young people to continue their studies and, if possible, to complete them. This requirement applies to young people who have not yet reached the age of 21. However, young people who do not fulfil that additional condition may still be admitted on their 21st birthday in the event of a subsequent claim for benefits. The list of diplomas and certificates was drawn up in full consultation with the Communities and the Regions. In my view, it is a balanced system and the establishment of specific provisions in the unemployment regulation for young people who, subject to reasonable adjustment, are considered to be able to follow ordinary education is not necessary. You say that the measure was not sufficiently communicated. I will look into that, but in any case I have had extensive consultations with all the competent education ministers to draw up the list. As I have just said to your colleague, I am following the benefits with great care. I said in plenary that I will look into the effects on the ground. After all, a number of young people disappear from statistics. We are very much in the process of mapping that out. What about the measures already taken by the previous government? I will also examine the impact of the measure that entered into force in September 2015. I hope that we can demonstrate that the measure is additional pressure for young people to obtain a diploma or certificate. I hope to have more insight into the figures in the next few weeks, but for the whole of the benefits. Majority and opposition are rightly concerned about this. I would like to know the effects of the benefits and the measures taken by the previous and current governments. I hope to be able to give some more explanation on the basis of figures.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u48	Thank you, Minister, for your reply. We will continue to differ. We agree that we must strive to get as many young people as possible to obtain a diploma, but you must not be blind to reality either. There will always be a limited group of students who will not pass a diploma. The measure is detrimental to those young people. I hear you say that a list has been drawn up from the Communities and that, in your humble opinion, this has been done in good consultation. However, I do not hear anything about communication, Minister. Once again, the students who were in the M decree and the pupils who were referred to are actually falling out of the boat, while they do not know that at the time of the decision. I therefore urge you to check whether communication also flows to the players who have to make the decision for the pupils or students concerned.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u49	Mr President, Minister, the Belgian Association of Asbestos Victims (ABEVA) held a press conference last December, with the theme "Asbestos workers have lost an average of 20 years of life". This press conference was an opportunity for the Association to recall the reform proposals it has proposed for several years, including the extension of the list of recognised and compensated diseases, the improvement of the financial compensation granted by AFA (Asbestos Fund), the creation of an early pension system for workers exposed to asbestos, the information of the various actors concerned about the existence of AFA and the rights available to victims of asbestos, and the improvement of research and treatment, as well as preventive measures to be put in place. Minister, how do you intend to act on this issue? How do you intend to take into account the various ABEVA proposals? Is there any consultation with the Minister of Social Affairs and Public Health? If so, can you inform us about the modalities and results of this consultation? If not, do you intend to start such a dialogue?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u50	Mr President, my colleague, the Asbestos Fund, established within the Occupational Diseases Fund, falls within the competence of the Minister of Social Affairs and Public Health. That is why with regard to your questions concerning the extension of the list of recognised and compensated diseases, the improvement of the financial compensation granted by the Asbestos Fund, the creation of an early pension system for workers who have been exposed to asbestos, the information of the various actors concerned about the existence of AFA, the rights available to victims of asbestos and the improvement of research and treatment, I must refer you to the Minister of Social Affairs and Public Health, the Minister of Pensions and the Secretary of State for Scientific Policy. On the other hand, the preventive measures to be put in place when workers may be exposed to asbestos are laid down in the legislation on the well-being of workers when performing their work, and in particular in the Royal Decree of 16 March 2006 on the protection of workers from the risks associated with exposure to asbestos. As mentioned in my 2016 Employment Policy Note, I am considering a review of the existing legal framework for the protection of workers against asbestos with a view to possible updating to facilitate and improve the application of the rules on the ground. In fact, my firm has recently had contacts with the social partners in the construction sector and their prevention institute in order to study the problem of exposure of workers to asbestos in this sector. Currently, no consultation is planned with the Minister of Social Affairs and Public Health. However, if for certain aspects of these questions such consultation is indicated, given the importance of the subject, I am prepared to participate in it or, when an aspect falls within my competence, to initiate a consultation.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u51	Thank you for your interest in this matter, Minister. I have taken note of your general policy note. I encourage you to continue to do so. I come with this question because of the tragedy of this disease in our society. This disease is unique because it is linked to asbestos exposure for years. While we knew the risks of asbestos, we were unable to act effectively enough for too many years. Thank you for what you can do in your area of expertise. I would also like to thank you for contacting, as appropriate, the other relevant members of the Government. Indeed, a series of competences are shared between different ministers. It is good to have a comprehensive strategic vision in this area. I note that, for years, the government had made 20 million euros available to the asbestos fund and that this money was not used or very partially used. It is therefore possible to improve the management of patients with asbestos and to prevent new cases of asbestos due to exposure in the workplace without spending more than originally planned under the Asbestos Fund.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u52	Mr President, may I ask you to translate my two questions, Nos 8003 and 8127, into written questions?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u53	I'm sure you can. We shall now be able to put a quick question to the President-in-Office of the Council. President. - I call the Group of the European People's Party (Christian-Democratic Group).
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u54	Mrs. Temmerman, I can give you my answer.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u55	That's good for me.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u56	The question has been asked, and the answer has been given. Let's do it this way. Then the Minister can leave. Mrs Temmerman, there will soon be a hearing on supplementary pensions. I don't know if you've heard that from your associates. This was reported during the course of the work. Also the list of the people who will come. That's actually what your question was about.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u57	This afternoon it was also decided to invite someone from the Court of Auditors?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u58	Mrs Fonck has indeed said something about this. We will indeed invite them.
