ParlaMint-BE_2016-03-02-54-commissie-ic351x.u1	Ladies and gentlemen, I propose that we meet until 12:00.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u26	Minister, as in the case of the defence sector, we have been saving money in development cooperation over the past few years. By 2019, the government will save approximately €1 billion cumulatively in Development Cooperation. However, development cooperation is also in our own interest. Without the necessary investment in certain areas, the flow of migrants will increase significantly. In addition, many countries are increasing their commitment to development aid. Belgium is against this trend and is constantly putting the knife in the budget. In 2014, Belgium spent 0.42% of GDP on development cooperation. With the announced savings in this legislative period, the percentage will fall further to 0.38 % in 2019. Meanwhile, your colleague from Defence, Minister Steven Vandeput, managed to raise the Defence budget to nearly 1.4 % of GDP by 2030 after years of savings. Minister Vandeput received the government's approval to invest EUR 9.2 billion in Defence in the coming years, at least according to his estimates. The investments include fighter planes, frigates, drones, cybertechnics and mine hunters. In this way, the budget for Defence becomes a multiple of the budget for Development Cooperation. However, we believe that a 3D approach, Defence, Diplomacy and Development, is necessary in order to resolve or prevent conflicts in an integrated way. A balanced 3D approach only has a positive impact on developing countries. Security and development must go hand in hand in order to achieve a sustainable solution. However, recent government budgetary decisions make it painfully clear that there is a militarisation of aid, which puts security above development and prevention. That's why I have a few questions for you. Your colleague Vandeput recently managed to raise the defence budget. Have you already made efforts to provide an additional investment budget for development cooperation in the context of that decision? Are you also of the opinion that a balanced 3D approach is necessary to resolve conflicts and that the budget for development cooperation should in fact be similar to that for defence? If so, is that idea already on the government side? What could be the outcome of that proposal?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u27	Mr Top, the coalition agreement of 9 October 2014 stipulates that Belgium will make efforts, to the extent that it is budgetaryly possible, to reach the 0.7% of GNI standard for development cooperation. Because of budgetary constraints, this objective cannot be achieved in the first few years. Nor can I set a binding timetable in the current legislature. The Council of Ministers of 15 October 2014 also decided on a savings path for development cooperation in the context of the control of expenditure for the coming years. I intend to do that, too. In this respect, it is my intention to increase the impact of ODA spending. That is why I will focus my policy on the least developed and fragile countries, where needs are greatest and where ODA is still the main source of external funding. I will focus on more result-oriented management and I will use ODA as a lever for achieving development objectives and for funding through sources other than traditional development cooperation. After all, I am always surprised at the extent to which the obsession with development cooperation is to spend as much as possible. It must be about the only domain where people work like that. In other domains one looks at the impact and the result. I find it very surprising that the sector is always looking at the input, while I think it is important to look at output much more. Of course, I admit that it is a lot harder to measure the output than the input. Supporting development in a partner country is not limited to contributing to some sectors or domains. Sustainable development is only possible if it is based on respect for everyone's rights and inclusive economic growth. As Minister for Development Cooperation, I have chosen to focus attention on the least developed countries. Not all but several of these countries also have security problems due to internal conflicts, social unrest or strong integrity. Supporting development in these regions often requires a broader approach and more consultation with Defence, diplomacy, police and justice. There are already several informal information platforms operating between the different departments, including in the Great Lakes region and around the Sahel-Saharan region. The Interdepartmental Commission for Policy Coherence in Development Policy could also play a role in a more balanced approach. I must also stress that in the SDGs peace and security is one of the seventeen objectives, with good reason. Unfortunately, in the past, work on development in a place of great insecurity and internal conflicts has often been a battle in the water. So it's often a condition.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u28	Thank you for your answer, Minister. I have some reservations. The starting point was to make at least as much and actually more efforts in the field of development cooperation. In my opinion, the input of such financial resources is necessary to ensure the 3D approach. You said that you are discussing the areas and countries where Belgium is active with the Ministry of Defence and Foreign Affairs. We are right to commit ourselves to a number of countries, because we cannot intervene throughout the world. At the same time, there will be no output if no funds are invested. The funds invested are directly proportional to the results. I understand, of course, that there are currently no resources from development cooperation to conflict areas. However, the starting point must be to work preventively. If we work in areas where there are no conflicts and where we aim for sustainable development, there will be no conflicts. On the other hand, I've never been able to end a war with a bullet or a bomb. What's the end of a war? That is by offering a perspective, a perspective for lasting peace. That lasting peace can be achieved by guaranteeing means to bring that country or region back on its feet. I believe that as long as we do not invest as much in development cooperation as in defence, we will have to play the firefighter in conflict areas for a very long time and at the same time face refugee flows.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u29	I have one more clarification. If we look at the defence budget against GDP, we are the last of the peloton today. If we look at the budget for development cooperation, we are above the OECD average, yet a fundamental difference. Could it be more? Of course we can, but we're already above average, while the DOD is dangling all the way down. Comparing the two with each other, I find a comparison that doesn't go well.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u30	You made the comparison with today's figures, but that was not my question. I made it very clear in the introduction that the Minister of Defence wants to increase to almost 1.4 % of GDP by 2030. That is the starting point.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u31	Parliament has the final say. If the minister doesn't say anything, the incident will be closed.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u32	Mr President, Minister, there are many problems in Burundi's refugee camp in South Kivu. This was also stated by the magazine MO*. Fifteen thousand Burundian refugees have sought refuge there, and the situation there is appalling in terms of food, the support of HIV patients, who are not being treated, and there are ethnic conflicts, because there are both Hutufens and Tutsis in that camp. The conflicts are, of course, stirred up a bit from Bujumbura; the camp is only two hours from Bujumbura. In view of the poor situation, my question is as follows. Is there any Belgian support for this refugee camp? What support does our country provide for in concrete terms? What amount is granted? What organisations are this amount allocated to? Are you planning additional support and resources to improve the situation of these refugees in this camp?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u33	Mr President, Belgium has financially supported the Common Humanitarian Fund of OCHA in the RDC with EUR 5 million for the period 2015-2016. OCHA is the UN organisation responsible for the overall coordination of humanitarian actions. The Common Humanitarian Fund in the RDC is a so-called pooled fund, a flexible and predictable funding mechanism for the most critical humanitarian needs. In October 2015, that fund paid a grant to meet the most urgent humanitarian needs in the refugee camp with Burundian citizens in Lusenda. This support was paid to projects proposed by various organisations, such as Caritas and UNHCR.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u34	Mr President, Minister, it is good that resources are provided. It is also good to have a state of affairs, because apparently the situation is appalling. We need to see whether Belgium can't make sense or whether we can point out to UNHCR its responsibility in this matter, because it seems that things are going really badly in that camp.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u35	Mr President, Minister, the Belgian Development Cooperation budget is increasingly going to the reception of refugees in their own country. This was calculated by the Koepel of the Flemish North-South Movement 11.11.11. In Belgium, 140 million of the development budget went to reception between 2010 and 2014. That's a doubling in four years. This increase continues because of the increasing number of refugees. In 2014, 7,6% of the budget went to reception and an estimated 10% last year. As the number of refugees is rising, I wonder what it is before 2015, because we do not yet have these figures. The resources that go to shelter are certainly not the problem here. It is essential to provide quality reception for refugees and the government must make the necessary budgetary efforts to do so. However, it is a worrying development that these resources come from the already declining budgets for development cooperation. After all, the government announced savings of EUR 1 billion in this department. According to 11.11.11, this threatens to strengthen the problems that are at the root of many migratory flows, while the major challenges require us to invest just more in humanitarian aid and structural development cooperation. The OECD started discussions on a new definition of ODA. As European donors face increasing expenditure on the reception of asylum seekers, development organisations fear that these rules will be relaxed. Mr Minister, I have the following questions. Do you confirm the numbers calculated by 11.11.11? Does the development cooperation budget for the reception of refugees in their own country fall under the current definition of ODA? How are these funds used for reception? Which partners are working with? What's the key? What is your position on the new definition of the ODA? How do you feel about relaxing this definition in order to be able to bear the increasing expenditure on the refugee crisis from the development aid budget?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u36	Mr President, the published article of 11.11.11 creates some confusion about the wording. It would appear that expenditure on the reception of refugees comes from the Development Cooperation budget. That is absolutely not the case. Those aren't communicating vessels. There is a budget for development cooperation and that budget is spent. Expenditure on the reception of refugees is not taken from the Development Cooperation budget, but comes from Fedasil and other organisations. Some of them are indeed ODA-accountable, but they are not communicating vessels. In some countries, it is. In Sweden one has a certain budget for OS and shifts from one to another. That's where I understand the concern. In our country, however, it is not the case that resources for development cooperation are being removed to be used for the reception of refugees. According to the definition of official development aid established and monitored at OECD level, expenditure on the reception of refugees from developing countries may be charged as official aid during the first 12 months of their stay. That doesn't mean it's going to be part of my budget. This expenditure is not charged in the budget of Development Cooperation in Belgium. This concerns expenditure incurred by Fedasil, which is subsequently merged with the ODA-accountable expenses of other official Belgian bodies. For your third question, on the budgets of Fedasil, you must address yourself to Fedasil, because I cannot answer that. I come to your fourth question. The recent High Level Meeting of the DAC did indeed reflect on the relationship between development and the refugee crisis, but a relaxation or extension of the rules that allow the allocation of part of this expenditure as ODA was not on the agenda there. In the margins of these reflections, Greece has put forward the idea of extending the period of 12 months to two or even three years, but this is not the case for the time being. Belgium will not support such a proposal.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u37	Thank you, Minister, for your reply. I can live with it. In the meantime, I have also received detailed information. It is true that the resources come not from the Department of Development Cooperation, but from Fedasil and other organisations. The idea that the 0.45% of the GNI that we are now achieving through development cooperation would be wrong. We must be correct in that. What goes into development cooperation comes from the budget of Development Cooperation and from the budget for the reception of refugees. That this counts for the first year, I can live with that, but fortunately you support the fact that the rules will not be relaxed.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u38	Minister, Development Cooperation is being implemented in a broader context of foreign policy. There may be multiple degrees of linkage between development cooperation and other foreign policy objectives, such as compliance with certain human rights, international standards or climate agreements. There are many views about the ethical boundaries and the desirability of these links. Nevertheless, I have a number of questions. Firstly, what is the policy on the role of development cooperation in the wider context of federal foreign policy? What conditions do countries have to fulfil in order to be able to claim development cooperation money from the federal government? Will development cooperation be used as a means of exerting pressure on former or current partner countries to comply with certain international agreements that are not directly linked to development cooperation? We are thinking, for example, of the Hague Children's Abduction Convention of October 1980. Finally, which files have been the subject of this in the last five years? What were the results?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u39	Mrs Bellens, as has often been mentioned in questions on the subject, the symbiosis between development, inclusive economic growth, human rights, security and diplomacy, food security, climate change and good governance is evident. The world today is also different from the period when the Millennium Goals were decided. The new 2030 SDG Agenda is much more universal in this area and looks at things in a broader context. Traditional development cooperation, with a clear distinction between North and South, rapidly evolves towards international development, based on mutual interests and challenges in global public goods but also in the areas of climate change, security and global public health, and relates to each of us, rich or poor, in North or South. The fact that the root causes of many global issues originate in poverty and inequality is also a fundamental element. The new focus on the least developed countries also reinforces the priority of Belgian Development Cooperation. It focuses on regions which are still heavily dependent on donor aid. The conclusion is that official development aid alone will not be enough and that a policy-based approach as a donor, as well as broadening the funding base for other types of actors, is essential. Development cooperation therefore needs to evolve to remain relevant in that paradigmashif. Moreover, in times of budgetary pressure we must also look at all types of donors. However, it is my ambition to make Belgian development cooperation fit for purpose in the future, including by tightening our focus and reducing fragmentation, but also by working more closely with the private sector, which in no way means a return to tied aid, by seeking synergies with other policy areas, such as migration, and by putting human rights at the centre of our cooperation programmes. You asked what the terms are. The Law of 19 March 2013 on Belgian Development Cooperation sets out the criteria to be met by partner countries for governmental cooperation. Now I come to your final question. Since January 2015, the special agreements concluded with partner countries have included clauses allowing both parties to terminate the agreement in the event of a deficiency in one of the essential obligations arising from respect for human rights, democratic principles in a rule of law, as well as in cases of corruption. Special agreements shall be concluded within the broader framework of the Cooperation Agreement with the partner countries. Most cooperation agreements contain in the preamble a reference to the United Nations Charter and a number of international agreements. Those general cooperation agreements will in future be reviewed for all partner countries, with a view to making them uniform and including, inter alia, the widest possible reference to international agreements. The most recent cooperation agreement signed with the Republic of Guinea refers in the preamble to a number of international agreements whose principles are recognised by the Parties, such as the United Nations Charter, the Universal Declaration of Human Rights, the Convention on the Rights of the Child, the Geneva Conventions of 1949 and other instruments of international humanitarian law, and the International Convention on the Elimination of All Forms of Racial Discrimination.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u40	Thank you, Minister, for your comprehensive answer. Allow me to ask another question about something that is not entirely clear to me. Is the Children's Abduction Convention not included in that list of treaties?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u41	That's right, that's not what it says.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u42	Minister, international attention is increasingly focused on cash transfers as an instrument in international development. The studies and projects already carried out in this context also produce positive results. The vast majority of people who receive cash transfers use them wisely. People use this money, for example, to send their children to school or to feed them better. The recipients of a cash transfer indicate that they prefer it to receive physical assistance. It gives them the freedom to make choices for themselves and for their families about how they will spend this money. The local economies, in turn, are also involved. How do you stand with regard to cash transfers as an instrument in international development? Do you see opportunities, for example in combination with digital technologies? Can you give us any explanation? The Food and Agriculture Organization of the United Nations, a multilateral partner of Belgium, also has programmes designed to strengthen communities through cash transfers. The multiplier effect is strong: every euro we invest becomes two for the community, according to FAO. Can you explain how cash transfers are still used by our partners in addition to this example? How do you evaluate the use of cash transfers in this context? Are cash transfers already part of the toolbox of your policy? If not, do you think it would be useful to look into this further? If so, in what way? Will cash transfers gain in importance in the future? The next question goes a little deeper into this and deals specifically with the use of cash transfers as an instrument for humanitarian aid. Does our country use these cash transfers in the humanitarian aid it provides? Can you explain the circumstances and the amount? What do you think are the benefits of cash transfers, specifically in the case of humanitarian aid? Are there certain circumstances or conditions that improve the use of cash transfers in humanitarian aid? Do you identify current humanitarian crises in which, in your opinion, our country or the international community could use cash transfers?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u43	Mrs Lijnen, in the context of humanitarian aid, cash transfers are already possible today. Article 5 (2) of the Royal Decree on Humanitarian Aid of 19 April 2014 explicitly provides for that possibility. Within the framework of a project or programme, the Minister may allow gifts in specimens to victims if they are used for the local purchase of goods essential for the relief of basic needs of victims. Cash transfers can therefore be part of a humanitarian project (up to 18 months) or a humanitarian programme (up to 30 months). In addition to FAO, any organisation recognised as a humanitarian actor may submit a project or programme which is wholly or partly cash-based. The cash transfers may or may not be conditioned. The UN organisations that are mainly active in the field of cash transfers are the World Food Programme, the UN Office for Refugees and the agency for the reception of Palestinian refugees. A recent example co-financed by Belgium is the UNRWA project, worth 1.5 million on cash assistance for Palestinian refugees in Syria. This will support around 25 000 refugees in their priority needs. Thanks to the project, they can make their own choices in all dignity. A special financing of 2.45 million allows for rehabilitation and reconstruction of shelters in Gaza and provides mental health care in Cisjordania. In Gaza, Belgian funding also focuses on cash assistance for repairs and reconstruction. In the past, therefore, Belgium has already financed several humanitarian projects with a cash transfer component. Last year I approved a project for cash transfers to Palestinian refugees in Syria. In their contacts with the various organisations, my services always try to check whether cash transfers are possible. It will, of course, depend on the context. In some cases, cooperation with the private sector is also possible to use cash in digitised form, for example via credit cards. In future, I intend to finance development projects with a cash transfer component, regardless of the humanitarian crisis. The use of cash transfers can stimulate the local economy through a multiplier effect. Cash transfers are also not patronizing. They assume that the beneficiary himself knows best what his or her needs are and how they should be repaid. The condition is, however, that abuse should be avoided in the case of allocation. This can indeed be done through the use of modern technologies. There are relatively few abuses in the use of funds, since they are relatively small amounts. Cash transfers should be used after a context analysis. In the absence of a local economy, cash transfers can lead to inflation. That must of course be avoided. Many new initiatives are currently being taken in Belgian development policy, such as the use of digital technologies as leverage, a greater focus on the local private sector and the mobilisation of local tax resources. Cash transfers belong to that too, but we can't do everything at once. I am asking for a little patience, knowing that we are already doing it in our humanitarian interventions and keeping our eyes open to do so also in the field of development.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u44	Thank you, Minister, for your answer and I fully agree with you that this has a great economic multiplier effect and that it is little patronising. People are going to make their own choices about what they think is important. I can only endorse that. I'll certainly be patient with that. It was a very good answer. We will see how we can further roll this out in the future in full development cooperation. I have one small question, but I don't know if you can answer it now. If you say that it may occasionally be conditioned, does this also apply to the projects you have listed, including through cash assistance? You can also tell me in writing, but it would be interesting to know in which cases one chooses conditioning and in which cases one does not.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u45	I should check. I don't have the details.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u46	Minister, we're on the same subject. In your interest of more efficiency - efficiency is your leitmotiv - you want to reduce the number of NGOs recognised by the Belgian State. Among other things, to be able to reduce the number of cases handled by your administration and also to justify and increase the decrease in the number of jobs in the same administration. In particular, you have put in place an expensive screening process to which the 108 ACNG (Actors of Non-Governmental Cooperation) are going. It will determine whether the CNGs are eligible for subsidies from DGD (Directorate-General for Development Cooperation). In parallel to the preparation of this screening, the NLCAs have spent very many hours preparing the CCAs (common contextual analyses) and are preparing proactively, while the legal framework is not yet determined, the CSCs (common strategic frameworks) to prepare their next 2017-2021 program. The time they devote to the preparation of all these documents is significant and certainly does not contribute to the administrative simplification that you have announced. However, it is a paradox that under increased controls, more and more returns bear witness to the fact that people, rather than doing the work on which they are controlled, spend their days filling documents allowing them to pass these famous screens. According to the information circulating, the result of this screening will not be known, in the best case, until mid-April. Only then will the NGAC know if they will have the opportunity to apply for funding from DGD for their 2017-2021 program. The Framework Agreement (FCA) to regulate the granting of subsidies for the new program is still under negotiation. This implies a great deal of uncertainty in the sector because the CNGs do not know, ten months from the beginning of the next programme, whether they will be recognised, what will be the modalities for the introduction of their new programme - since the framework agreement which will determine it is still being prepared by your administration - or what will be the dates of the next important deadlines. With regard to this last point, we mention, without any certainty, a date for the delivery of the 2017-2021 programmes to 30 September 2016, with a reply from you, at the earliest, in mid-November. This would mean that, in the best of scenarios, the NLCAs will only be set six weeks before the start of their next program on their possible funding. This is a lack of seriousness in relation to projects that are taking place at least in the medium term. When will the NLCAs be set out on the terms and key dates for the submission of their new 2017-2021 program? How do you intend to ensure that the delay you have made in drawing up the new framework agreement is not detrimental to them? At ten months from the beginning of the new programme, would it not be more reasonable to return to the current legislation for its preparation, given the current blurry? Cuts in funding for CNG programs are mentioned, with a minimum of 8.5% starting in 2017. Do you confirm this number? Could it be even more important?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u47	Mr Hedebouw, the Belgian Development Cooperation Act provides in Article 26, § 1, that organisations receiving a subsidy from the non-governmental cooperation budget shall be approved. This approval shall be valid for a period of ten years. The previous screening was conducted by PwC in 2006 and 2007. It is on the basis of its findings that a public procurement has been launched at European level, in accordance with the legislation in force. The tenders were examined in the light of the regulatory procedures. The award was granted to Deloitte. You say I want to reduce the number of NGOs. That's incorrect. In reality, I want to strengthen the quality of management and the control of risk by those who receive hundreds of millions of euros annually from the taxpayer. I also want to reduce the administrative burden for both the CNGs and my administration. In doing so, I am implementing the Royal Decree on the subsidization of the ACNGs, which my predecessor issued to the Belgian Monitor on 25 April 2014. I don't do more or less. It is true that in the meantime I have concluded an agreement which includes several points which are important for both the cooperants and the Belgian State: more flexible funding, while ensuring that it remains accessible to all authorised actors; respect for the right of initiative of the ACNGs, while reducing its erosion; administrative simplification; legal and budgetary security. I have translated this agreement into a bill amending the Belgian Development Cooperation Act 2013. I hope that the government will approve it in the coming days and that Parliament will do the same as soon as possible. My employees maintain daily contact with the representatives of the ACNG. At each interview, they confirm their commitment to this legislative amendment. They do not want to go back to the old law designed by my predecessor, which, in their view, offers less legal and budgetary certainty. I confirm that the agreement concluded provides for a saving of 8.5% in commitment appropriations from 2017 for the CNGs. This economy is in line with the budgetary restrictions decided by the government at the time of its formation. This 8.5% saving was agreed with the ACNGs, which no doubt found their interest in it. I intend to honour this agreement with the actors.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u48	Minister, I note that you are only responding to me in budgetary terms. Remains the problem of not being aware; it is a real problem. We have no answer: either, we will do without. I can hear your comments on the budgetary framework in which you are located. The aim is not to reduce the number of recognized NGOs, but that is still what is going to happen. You are telling me that this is done in the name of budgetary efficiency. You're going to tell me that it's not just you who decide. At the same time, you compared with other countries, but we do not reach 0.7%. This is the ideological framework through which you are trying to put pressure on all actors on the ground today. In doing so, we are not meeting our international commitments: 0.7 per cent is 0.7. That's not a small number. In the name of some efficiency, you are pushing all these actors to produce a lot of bureaucracy; this is a first problem, but you are also pushing them to be unable to project. You're talking about legal certainty, but it's even less present now. Six weeks from January 1st, no information is forthcoming. Mr.Minister, I do not think we will agree, but we will follow the matter closely.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u49	Mr Minister, the Law of 21 December 1998 establishing the Belgian Technical Co-operative (BTC) in the form of a company of public law with a social purpose provides that the Court of Auditors is to draw up an annual report on the performance of the public service tasks entrusted to the company. The report on activities in 2014 has recently been available. The Court of Auditors participated in five audit missions of the College of Commissioners in 2014, which enabled the administrative and accounting organisation of five local representations and 19 projects to be examined. The result concerns me, because the audits identified shortcomings relating to the administrative and accounting organisation, as well as the application of social and tax regulations and public procurement rules. With regard to the procedure, award and execution of public contracts, it was found that different basic principles were not always respected, such as transparent award, equal treatment of tenderers, competition, flat rate, the principle of services provided and accepted and information to tenderers. Implementation agreements were concluded through projects to allow local partners to implement certain performances, but these agreements are not always sufficiently followed up and monitored. According to the Court of Auditors, therefore, a coherent framework for the monitoring and accounting follow-up of these agreements should be implemented. In addition, local representatives' staff should be more systematic on-the-spot in projects to monitor accounting and public procurement. I have the following questions, Minister. How do you explain the shortcomings raised by the Court of Auditors in its report? What solutions do you see to remedy these shortcomings? Have you been with the BTC about that? What is their response to the report? What arrangements are being made for the future?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u50	I'd like to outline the context first. The BTC has, as a company of public law, a college of Commissioners, consisting of two counsellors of the Court of Auditors and two independent company auditors. On the basis of risk analyses of the company's activities, the College organises specific audit activities, which in turn form the basis for the annual statement on the loyalty of a company's financial accounts. On 1 June 2015, the College of Commissioners issued a statement without reservation on the financial statements 2014. If it is based on an assessment of the internal control systems, this means that the College in fact indicates that the quality of internal control is sufficient to certify the financial accounts. This does not mean that internal control is perfect. This is not realistic from the point of view of costs and benefits, because it will give all the resources to monitoring and no resources to implementation. However, the Commissioners indicated that, for the purposes of carrying out the public service missions and tasks carried out in developing countries, the BTC is exposed to an increased degree of risk impairment, errors and fraud. For this reason, the BTC not only has an internal control system that is assessed by the college, but also organises additional, more detailed audit audits of its programme performances and interventions. These audits are carried out by audit organisations that meet international standards and contribute to the learning and improvement process for the BTC's internal and administrative processes. Moreover, the BTC's internal control system has recently been recognised by the European Commission for a period of four years, so that its resources can be allocated in the context of international development projects without having to participate in public procurement. However, not all errors and defects will be immediately detected and resolved. That's why we have oversight. The BTC operates in a permanently changing context, given the countries in which it operates. It is therefore very important for the College of Commissioners that the BTC continues to make efforts to ensure that in every context it has the correct administrative organisation to properly justify its expenditure. The context and way the BTC works with the government of another country determines which systems the BTC can and can use. In accordance with the 2005 Paris Declaration, she tries to use the partners' systems as much as possible. In concrete terms, this means that the BTC sometimes makes use of local regulation in relation to public procurement, because it allows this local regulation to evolve and grow into a transparent and usable system. The BTC doesn't do this blindly. Prior to using a particular system, the BTC shall carry out prior assessments identifying the risk statements in order to optimally organise internal controls, taking into account the concerns of the systems that will be used. In many cases, the partner is also asked to adapt systems on his side. However, especially for the partner, this is often a growth path where certain problems can occur several times before they are resolved. Proposals are not submitted in time, technical data sheets are not complete or not completed; these are all points of interest which the auditors of the Court of Auditors, who have a great deal of expertise in this matter, put forward. There are also regular problems with the completeness of files, with an unclear mandate of tenderers and so on. Finally, we also sometimes see problems with the verification of statements of honour, with the indication of references or with the declared professional experience which is difficult to verify. However, this does not mean that we should simply abandon the use of these systems automatically. We are committed to the continuous improvement of these systems. The use of the partner's systems, provided certain conditions are met, forms a basis for the improvement of these systems and thus a result of our development cooperation. The College has an important role to play in this. After each audit, the College shall draw up a working document containing observations, comments and shortcomings. This document then gives rise to follow-up within the BTC's control department itself and to the development of a specific plan of approach. In addition, findings are discussed on the internal audit committee. The Committee may issue additional opinions. The plan of action will be submitted to the College, which will be able to verify whether it has been implemented on the basis of follow-up audits. With regard to fraud and corruption, I would like to point out that the BTC has an integrity agency that investigates in depth reports of alleged integrity violations.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u51	Thank you, Minister, for the answer. The report shows that there are a number of points of interest. Next week we have an exchange of views with the BTC. Then We can ask them how they will follow it.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u52	Mr President, Minister, one of your main intentions in your capacity as Minister for Development Cooperation is to focus on digitisation in the partner countries of federal development cooperation. In your policy paper, you indicate that investment in digital solutions can bring significant added value for sustainable, inclusive economic development. Opposite that statement, the World Bank in a recent report, Digital Divideds, indicates that mere digitization is not the Holy Grail. Adequate attention should continue to be paid to a wide range of instruments that support digitisation to a sufficient extent, including equal opportunities, education and health. If this does not happen, digitalisation can even slow down development. I have a few questions for you. What lessons do you draw from the World Bank report? What actions do you take to ensure that digitisation in partner countries is fostered in synergy with traditional development instruments? How do you achieve synergies between digitisation and traditional development cooperation, for example in the joint committees, such as those of Guinea and Burkina Faso? How do you stimulate synergies between digitisation and traditional development tools in the ANGS CSFs? Will digitisation projects be part of the calls you will unsubscribe in 2016?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u53	Mr President, Minister, I agree with Mrs Bellens' analysis. Indeed, there are more people on a mobile phone today than there are people who have drinking water. There are indeed advantages to digitisation. However, these advantages are unevenly distributed. Without sustained and sustained efforts in the areas of health, social protection and education, digitalisation makes no sense. What does it mean to have a tablet when one cannot read? However, I have listened carefully. You said yesterday that digitalisation is a difficult issue in fragile or least developed countries. It's not easy to integrate them. You have made it clear that different strategies are necessary to introduce digitalisation. What conclusions do you draw from the World Bank report yourself? You have a strategy paper in preparation. When will this be completed? Maybe she's finished yet? What are the main lines there? I would also like to quote Jim Yong Kim, the President of the World Bank: "This digital revolution does not change the fundamental development mission in fragile states." You always need stable and functioning institutions first. There are other quotes. So how will you ensure that the primary objectives of development cooperation remain primary objectives, in the areas of health, education and social protection? What parameters will be used for these sectors and for digitisation? I also understood yesterday that you are working to convert the SDGs into the budget. I believe this is a useful exercise. If that were to work, we would welcome it.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u54	Minister, the world is rapidly digitizing. Without offline development, however, that technical revolution threatens to fall silent in large parts of the world. This is stated by the World Bank in the new Digital Dividends report. Betting on digitalisation does indeed have an effect. You want to bet on that, too. We see that sometimes more people have access to a mobile phone today than to clean water. Internet users have doubled to 3.2 billion in ten years. This means that 40% of the world's population is connected. The positive effects, such as better opportunities for communication and a wider world view, speak for themselves. However, according to the report, this does not make the lives of the poorest in the world any better. For example, productivity has not improved, the Internet is currently creating disappointingly few opportunities for the poorest and has little impact on the way governments account for their people. According to World Bank researchers, there is still insufficient attention to the offline situation of people. Digitisation can only deliver on towering ambitions if countries also struggle in matters such as education, health care, good governance and a good investment climate. I would like to conclude with a quote from the report: Connecting the world is essential, but far from enough to create more equality. I have a number of questions for you, Minister. My fellow Members have already asked questions, and I would like to repeat them. To what extent is your digitalisation policy consistent with the World Bank's conclusions? What's the status? What steps have you already taken on digitisation and what are still planned? Yesterday you explained a few things about this, but I would have liked a little more information. Will the digitalisation of development cooperation focus on cooperation with multilateral organisations or also on bilateral cooperation? You also want to invest in the private sector. Is there anything clear in that direction? What role could the private sector take? How will you ensure that the poorest can also benefit from the benefits that digitalisation has to offer? What priority do the European Union and the EU Member States give to digitalisation in their development policies?
