ParlaMint-BE_2016-01-27-54-commissie-ic326x.u1	Colleagues, let's start with the questions. Mr Blanchart is not present for his question No. 8082.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u30	Mr Crusnière, I thank you first of all for pointing out a worrying phenomenon. The latest report of the Joint United Nations Office for Human Rights in the Democratic Republic of the Congo points to the dramatic increase in violations in the electoral process. First of all, let me stress the need to organise elections in the Democratic Republic of the Congo in accordance with the Constitution, including the time limits set by the Constitution, as well as the rights and freedoms. Any other perspective would be very worrying. If there is to be a prior national dialogue, which the opposition has doubts about, it must remain technical and short. It is in this context that the mission of Edem Kodjo, which has been mandated by the African Union to carry out the necessary consultations for the launch of the dialogue in the DRC, must take place and which I support. It must quickly reach a consensus between all parties with a view to the organization of elections with respect for rights and freedoms in a calm and without unnecessary delay. That is also the message that I have made clear in recent months to various Congolese political actors, including representatives of the presidential majority. On the occasion of the opening of the Diplomatic Days, I reminded our diplomats, as well as diplomats accredited in Brussels, of our request that the Constitution be fully respected, in all its provisions, including the deadlines for holding elections. Reducing political space and the exercise of rights and freedoms is a matter of great concern. Following internal reflection, a strategy to further promote respect for human rights and the rule of law in the Democratic Republic of the Congo was developed. This includes support for human rights defenders, approaches, in individual cases, initiatives within a multilateral framework, and a clear message to the authorities on this subject during bilateral talks. We will work with our partners in the European Union and the United Nations. Our diplomats in Kinshasa regularly participate in multilateral meetings with the Congolese Government and CENI, but there are also frequent bilateral contacts. During all these contacts, we urge the Congolese authorities and CENI to achieve rapid progress in the technical preparations for the elections, including the revision of the electoral register, and clear commitments in terms of timing. Preparations for an updated electoral roster should have already begun. The international community has expressed its readiness to finance this exercise. Belgium, like other international partners, is prepared to support the electoral process in the DRC, with a clear timetable and a credible budget with a disbursement plan. Any financing of the electoral process will obviously have to be consistent with international standards, including transparency and respect for rights and freedoms. As for Belgium's participation in an election observation mission, the decision will be taken in a concerted manner with our European partners in order to guarantee free elections. At this stage, we do not yet know whether the conditions will be met. We will therefore take a decision at the appropriate time. Having said that, I stress that I have had the opportunity to say to a number of colleagues at European and international level that the principle of holding elections at the time and under the conditions laid down in the Constitution should continue to be kept under constant review, in the context of the most open and transparent process possible. In any case, that is what we will continue to advocate and try to get the Congolese authorities to implement.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u31	Minister, thank you for your answers, which I fully agree with. You know I'm president of the bilateral Belgium-DRC section. As such, I met, not later than yesterday, the new Ambassador of the Democratic Republic of the Congo who told me that he had asked for an interview with you, which should take place shortly. It will also be received very soon by the IPU section as a whole. We will therefore continue to follow this file.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u32	I suggest that Mr Crusnière asks his questions at once.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u33	Madam President, Minister, on 18 December last the African Union Peace and Security Council decided, after bloody killings that killed more than 80 people, to send an African mission to prevent and protect civilians in Burundi. This mission, which is expected to last six months and include approximately 5,000 men, would aim to try to stop the violence in Burundi and to create conditions for it to begin the inter-Burundian dialogue. Regrettably, on 21 December last, the two chambers of Burundi opposed the dispatch of this African mission. A few days later, the President himself recalled that any violation of the integrity of Burundi's territory would have serious repercussions. Currently, representatives of the United Nations Security Council are in Burundi in order to make various contacts and to prevent the country from entering into a civil war. It was in this context, more than tense, that the preparatory meeting for the resumption of dialogue between members of the opposition and the government took place. It has been postponed, arrested and tried again to set up itself with great difficulty. Minister, dialogue between members of the opposition and the government seems to be the ultimate solution to put an end to the serious political crisis in Burundi. Do you think this national dialogue is likely to bear fruit? What African, European and international initiatives could be undertaken if this national dialogue failed? Have you had any requests from the diaspora or any opposition to this regime to go to this international dialogue? If so, what response has been given to these requests? My second question is more about the sanctions that could be imposed on members of the Burundian regime. As you know, MEPs adopted a resolution on the situation in Burundi last December. This resolution calls for, inter alia, expanded sanctions and the opening of an international criminal investigation into crimes committed in recent months. The events of recent weeks and the President's willingness not to respond positively to the African Union's request to send this preventive mission are far from reassuring us of a possible end to the current crisis. Minister, can you clarify to me the position of the government with regard to the management of the assets freeze of the Burundian regime? Does Belgium defend this type of targeted sanction? Have any initiatives been taken or will they be taken to implement this measure? So far, the European Union has frozen the assets of only four people. Do you intend to discuss this again with your European counterparts?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u34	Minister, the situation in Burundi continues to deteriorate. Mr Crusnière has already referred to it. The United Nations High Commissioner for Human Rights is extremely concerned that violence is increasingly taking on an ethnic dimension. On Friday, the United Nations reported that mass graves would have been discovered. Order forces have committed widespread sexual violence, torture and disappearances. There would have been gang rapes of opponents of the regime. A recently leaked note from the head of UN Peacekeeping missions also indicates that the United Nations is not sufficiently prepared if the violence escalates completely. I have some questions. I asked those questions to the ambassador, too. I must confess it was a hallucinating encounter. How do you evaluate the statements made by the United Nations High Commissioner on, among other things, the regime's sexual violence and torture? They were denied by the ambassador. There hadn't been a single complaint. How do you assess the coverage of the increasing ethnic aspect of violence? How do you assess the reports of the head of UN Peacekeeping, who states that the international community would not be able to act if violence escalates strongly? What role can the promised African Union troops play?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u35	Madam President, Minister, we are all following the situation in Burundi very closely. Last week, a mission to Burundi took place from the United Nations Security Council. That organisation called for an accelerated inclusive dialogue in Burundi. On 20 January 2016, we have just referred to this by Mrs Lijnen in the Committee on External Relations, the Burundian Ambassador to Brussels. He stated that an inter-Burundian dialogue had been established. However, I did not receive a clear answer from him to my question as to whether the political opposition is also involved in that dialogue, who is involved in that dialogue in general and how it relates to international dialogue. Minister, do you have any idea of progress on inclusive political dialogue in Burundi? What efforts can and will our country make in this context?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u36	Madam President, Belgium remains very concerned about the situation in Burundi. Despite the apparent calm there are almost daily incidents, such as grenade attacks and shots. There are also regular deaths and injuries. More than 230 000 refugees have left the country, as the UN High Commissioner for Refugees once again reminded us this morning. Moreover, the economic situation is deteriorating. The State budget has been significantly reduced due to the sharp slowdown in commercial activity and sanctions by the international community. Uganda is currently leading a facilitation under the mandate of the East African Community, but the first meeting that took place in Entebbe on 28 December has been very difficult. The essential thing is, however, that the representatives of the government and the opposition were gathered around the table. Belgium supported this approach by allowing, at the request of the Ugandan mediator, Burundian political representatives to travel to Kampala for prior discussions. Our Ambassador was also present. The second meeting to be held in Arusha, Tanzania, on 6 January was postponed. According to information gathered by our embassies, this meeting could be held at the end of February. The inter-Burundian dialogue facilitated by the region is difficult, not only because the interests involved are opposed, but above all because of the intense resentments and frustrations on both sides. However, this dialogue is indispensable and we cannot resign ourselves to failure. We must therefore convince, by all means, both the government and the opponents of the need to dialogue and make concessions. At the beginning of January, I sent Africa's Director of Foreign Affairs to Bujumbura to stress the need to resume dialogue. My Special Envoy on the Great Lakes will do the same this week in Addis on the sidelines of the African Union summit. At this stage, there are a number of obstacles. The Burundian authorities do not recognize the CNARED group as a legitimate interlocutor, do not want the third mandate to be called into question and prefer the path of the Inter-Burund National Commission for Dialogue. It is important that Burundi's other partners, particularly in the region, also maintain their commitment. At the United Nations level, a Security Council mission visited Burundi from 20 to 22 January. In particular, she met with President Nkurunziza. According to the initial information, the Burundian authorities are still inflexible with regard to dialogue and the interposition force. The Secretary-General's Special Representative, Jamal Benomar, had previously visited Bujumbura. It will have a role to play in the coming months, particularly in support of mediation. It is first and foremost the African Union, at its summit this week in Addis, that will have to ensure that these resolutions are implemented. There is, of course, a national inter-Burundian dialogue committee set up by the President whose work began on 19 January in the province of Kirundo. In each provincial capital, the population can decide on various political and social issues. Opposition parties were also invited but did not show up. Even the FNL that is a member of the government stayed away. The opposition has no confidence in this process and fears that the Arusha agreements will be touched. The problem is also that most opposition members have been persecuted in Burundi and therefore cannot simply return to participate in the sessions within Burundi. If the CNDI wants to play a role, it will have to be complementary to the international dialogue and work on the credibility of this institution. For the time being, the conflict remains political, with terrible human rights consequences, but there is clearly an attempt to use ethnic origin for political purposes. The statements of the UN High Commissioner for Human Rights on increasing sexual violence are also particularly worrying. It is therefore urgent to launch an independent investigation into these facts, as requested by the Human Rights Council. After that, we need to move quickly towards measures to protect the civilian population. We're running out of time. I am pleased that you were able to have a dialogue with a representative of Burundi, in particular the Ambassador, in the External Relations Committee. It is good for the committee members to know how difficult it is sometimes to have a bilateral dialogue. I'm trying to continue the dialogue with my colleague.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u37	(...)
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u38	Yes, but I am trying to go further in the dialogue with my colleague, the Foreign Minister of Burundi. So I'm gonna keep those contacts on. We are also trying to maintain contact with the ambassador in Brussels. It is interesting to learn that it was possible for this committee to have an exchange of views with Burundi's ambassador. As you mentioned, the African Union has proposed the deployment of an interposition force that could help to ease the situation. For the time being, the Burundian authorities are refusing the arrival of this mission called Maprobu. Discussions are still under way to convince these same authorities. The African Union has already prepared its operational concept for this operation, which could be adapted to the discussions. It would be a force of 5,000 men, including approximately 230 military personnel. There would also be police officers and civilian personnel. The troops that would constitute this force would come from African countries. As regards possible aid from Belgium, no request has been received. In any event, the African Union will need financial support. Belgium called on the European Union to give priority to this issue of financing, including through the African Peace Facility. At the same time, the United Nations Department of Peacekeeping Operations is also exploring the potential for the deployment of a United Nations force. The Security Council mission will no doubt make recommendations on this subject. I stress that it is the task of the UN Security Council and of the African Union Peace and Security Council to carry out contingency planning and therefore to be sufficiently prepared when violence escalates. Belgium encourages both organisations to assume their responsibilities and to be prepared for all scenarios. This is, of course, in addition to the other international pressures that will be maintained as long as there is no progress. We support these pressures: individual sanctions and the planned freeze of certain EU aid programmes following the failure of the consultations provided for in Article 96 of the Cotonou Agreement. On 1 October 2015, the European Union adopted a list of individual sanctions (freeze of assets and travel ban) against four Burundian personalities, including a putschist. The United States adopted a similar list in November, which was extended to eight people in December 2015. Given the developments on the ground and the lack of progress in political dialogue, it is likely that the European Union's list will need to be extended in the near future. The European External Action Service and the Member States are already working on this issue. The future list may include elements of the armed opposition, as it should be recalled that the Union's sanctions are not just intended to punish the authorities and apply to any person or entity that threatens democracy, the rule of law and the search for a political solution, which incites violence or is responsible for serious human rights violations. Indeed, in addition to the repression carried out by the authorities, we are concerned about the increase in attacks by armed rebels and the increasing structure of violent rebellion. Sanctions are not a miracle solution to a political and security crisis, but they have a strong symbolic burden and can help change the behaviour of actors. The ICC prosecutor, Ms. Fatou Bensouda, is also closely following the situation. With regard to the protection of human rights defenders, the Office of the United Nations High Commissioner for Human Rights was considering the establishment of a programme for the protection of human rights defenders and journalists in Burundi. On 17 December 2015, the UN Human Rights Council, meeting in special session, adopted a strong resolution proposing, inter alia, the dispatch of independent experts to Burundi to investigate human rights violations, make recommendations and establish responsibilities. This expert mission has not yet been deployed. With regard to the additional assistance envisaged for refugees and human rights defenders, I invite you to ask my colleague, Alexander De Croo, who is working on this subject. We still recommend to the Belgians on the spot to leave the country, as long as that is still possible. This advice, which was also given by the US, Canada and the Netherlands, was given in view of the deterioration of the security situation in Burundi. At present 360 countrymen are present in Burundi. Our embassy remains in permanent contact with them. There is also a need to strengthen the security of our embassy and we are prepared to take all necessary action. However, our first concern is to establish a real dialogue, but unfortunately we have not yet made any real progress.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u39	I thank the Minister for his answers.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u40	Thank you, Minister, for your comprehensive reply. Indeed, we have experienced how difficult your task is from time to time. I'll give you a brief account of the meeting with the ambassador. There's nothing going on in Burundi. There are only a few riots in cities. Everything else is pee-pee-pee-pee-pee. The various groups of the population live peacefully spelled with a v and not with a There hasn't been any reports of a rape, of course not. What kind of victim would dare file a complaint? I was deguitered this afternoon. It can only strengthen us in the work we do here. Unfortunately, I often have the feeling that it brings little to the dike, but we continue to do so. We continue to condemn this. You're doing this, too. Our eyes are currently on the African Union, which can take decisions in the coming days. We hope that they will have the courage to do so and that they will find a solution. Together with you, however, I fear that, unfortunately, we should not be too optimistic.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u41	Minister, I would also like to thank you for your comprehensive reply. I am deeply concerned about the role that Belgium can and wants to play. That was one of my questions. You have again clearly stated that the lines remain open and that you are trying to engage in a dialogue. You are prepared to take various actions and you want to establish a real dialogue. However, this contrasts sharply with the meeting with the Burundian ambassador, who, in a very non-diplomatic manner, I shall not repeat his wordings, accusations and accusations against our ambassador, who was expelled from the country. I repeat, I am very concerned. I hope you'll be able to follow everything through other channels.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u42	Debates of the European Parliament Mrs Grovonius' 8237 was postponed.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u43	Mr President, Minister, ladies and gentlemen, we will return to Europe. I mean, what's left. I'm talking about the United Kingdom. The possible decision of the United Kingdom to leave the European Union seriously questions our European project. At the end of last year, British Prime Minister David Cameron seized the President of the Council, Donald Tusk, of his unilateral demands through a letter. This is summed up in four essential points. Firstly, relations between the euro area and the other Member States. Secondly, the extension of the single market with a view, in particular, to weakening workers' rights. Thirdly, the removal of the reference in the Treaties to an ever-closer Union. This is an important element, with the desire to give national parliaments the right of veto over future European standards. Finally, there are a number of limitations to the free movement of workers, including the desire to reduce or limit the benefit of certain social benefits. An informal discussion was initiated by the Heads of State and Government and continued in the Council in mid-December 2015. The Prime Minister of the United Kingdom hopes that negotiations will open in 2016. The scale of his requests makes me fear, if they were to be followed, that a further amendment of the Treaties will take place in the years to come. Minister, my questions are as follows. Could I have a copy of the letter David Cameron sent to Donald Tusk in November 2015? After the informal discussions in the European Council, could you tell me who members of the Council seem to follow this British line? What is Mr Cameron's support in the Council? Has any initiative been taken by our country to oppose, with other members, the demands of these supporters of less solidarity and less Europe, knowing that Belgium has always been a supporter of the opposite, i.e. more solidarity and more Europe?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u44	Mr. Hellings, David Cameron's letter is at your disposal. He addressed this letter to the President of the European Council on 10 November 2015. The European Council last December allowed for a first 28-day discussion on the requests made by the British Prime Minister in this letter. At the end of this discussion, however, it is difficult to map the positions of the different Member States for two reasons. The first is that the discussion was informal and unstructured since it took place at a dinner. The second is that most of the requests in Mr. Cameron's letter remain rather vague. In the absence of clear requests, however, it is difficult to respond accurately. The need to safeguard the interests of non-euro area countries can thus be agreed, but it is difficult to decide without knowing the modalities of the mechanism that should ensure such compliance. The strengthening of the role of national parliaments can be supported without giving them the right to block. It can be recognised that the reference to an ever closer Union does not prevent several ways of integration while preserving the possibility of deepening European integration. The positions of the Member States can only be determined in detail once concrete proposals for texts are submitted. However, reservations have already been clearly expressed on two points. On the one hand, the UK's demand to be able to limit certain social benefits to EU nationals who have been resident and working in the UK for more than four years has been considered incompatible with the Treaty by many Member States, including Belgium. On the other hand, while we are prepared to reflect on the mechanism that could respond to the United Kingdom's concern to safeguard the interests of non-euro states, we must avoid setting up a mechanism that would block decisions or prevent the adoption of rapid decisions within the euro area when they are needed. The European institutions are expected to submit proposals for texts covering the four areas included in the British Prime Minister's list by early February. A negotiation process involving the sherpas of the Heads of Government and permanent representatives will then begin. The aim is to reach an agreement at the European Council on 18 February. I would add that Belgium is ready to participate in efforts to give as positive a response as possible to the requests made in this letter, while having red lines. I just gave some of those red lines. No blocking of the deepening of the euro area through mechanisms that would give this right of veto to external countries, no blocking either from national parliaments. The process is already very complex, but this does not prevent strengthening the role of these parliaments. At the political level, I would add that what will be decisive in the British referendum will be the British Government's commitment to a positive vote, regardless of the trade between the European Union and the British Government. But it's too early to give you anything else. Once the texts have been prepared in early February, we will be happy to come back to this issue.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u45	Thank you, Minister, for your answers. Six pages, which I have not yet had the opportunity to read in detail, are a clear request and concrete proposals by the British Prime Minister. My question was to measure not a map, but the state of the troops at the present time. I believe that we are moving towards a cowardly fight, a form of cold war between the United Kingdom and the rest of the European Union. We must be able to fight to defend our interests in this political battle. You have spoken of a red line; I hope that the initiatives you will be able to take towards your European colleagues and allies will lead you to have a large number of allies and partners behind this red line that is yours. I hope that you will also be able to convince Mr Cameron's best friend, the mayor of Antwerp, to keep the same red line.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u46	Madam President, I have just been asked to postpone a number of questions because some of my fellow Members are not present. I have no problem with that, and I am delighted to do so for my fellow Members. However, I have noted that the question of executions in Saudi Arabia has since continued. I couldn't be there because I was still on another committee. So it's not like I was anywhere. I would therefore like, if it is technically possible, that I should not be deleted, but that question No. 8246 could be converted into a written question, so that I can get the answer myself. After all, I was not just absent, I was just doing my job in another committee. Having said that, I will ask my question about Yemen. Minister, on 10 January, the Shiara Hospital in North Yemen, which is managed by Doctors Without Borders, was hit by an unknown projectile. Four people were killed and ten injured, while the hospital itself suffered considerable damage. It is already the third attack on a building of Doctors Without Borders in Yemen in three months. This proves once again that the conflict in Yemen is taking a very heavy toll on the local population. At present, it is still unclear who is responsible for this attack on the hospital. Doctors Without Borders do report that they are in regular contact with all parties to the conflict to ensure that they are aware of the location of their hospitals. Mrs Mogherini has already condemned this attack and called on all parties to continue negotiations to find a political solution to the ongoing conflict. Minister, I have three questions on this matter. Can you give us an update on the outcome of the incident? What are the consequences for the region in terms of medical facilities? Who do you think is responsible for investigating this incident? Finally, what is the current state of play in the talks between the parties to this conflict?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u47	Mrs Lijnen, the preliminary balance of Doctors Without Borders of the attack on the hospital mentions six dead and eight injured. Some of the wounded are still in critical condition, so it cannot be ruled out that the final balance will be even more severe. Despite this, Doctors Without Borders remain present and active in eight provinces, including Saatundah. However, the humanitarian situation remains very worrying, as the wounded find it difficult to get to the hospitals and the medical facilities have been targeted several times. Yemen is not the only country where it is sometimes impossible to get into a hospital. A while ago, we also took initiatives in this area for Syria. Doctors Without Borders, of course, carry out an investigation of their own in order to find out the right circumstances and facts. What has already been known is that all parties to the armed conflict are always informed about the localisation of the medical facilities of Doctors Without Borders. In addition, the warring parties should consider whether they have a responsibility in the incident and do what is necessary, if this is confirmed. It is also essential that they take all measures to avoid this in the future. The second round of the peace talks should have started on 14 January. However, the regional context and the termination of the ceasefire by the coalitions are negative factors in the negotiation process. Belgium supports and commends the efforts of Cheikh Ahmed, the United Nations Secretary-General's Special Envoy, and hopes that the peace talks will be resumed soon. As already mentioned in an answer to other questions, the pressure from different countries in the region is very important, including for Yemen. We are now trying to start negotiations for Syria. I believe that this will also be the case for Yemen. Without pressure on all actors, it is impossible to reach a real political solution.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u48	Thank you, Minister, for your detailed reply.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u49	Questions Nos 8525 by Mrs De Coninck and 8629 and 8634 by Mr De Vriendt have been converted into written questions.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u50	Mr Minister, the Members of the European Parliament's International Trade Committee adopted a resolution on the Trade in Services Agreement, the TiSA, on 18 January. This is a political event in itself, because these very secret negotiations are rarely the subject of public debate, including in our parliamentary fora. This Commission resolution, which has not yet been approved in plenary, gives an idea of the red lines put forward by MEPs in the framework of the TiSA negotiations. Thanks to various amendments tabled by the Greens and voted by a majority, the final text of the resolution emptys the TiSA project of its toxic content: the amendments were designed in such a way as to strengthen in the general interest the standards of the General Agreement on Trade in Services (GATS) in force for the last 20 years. This resolution requires the European Commission to review the offer to open markets - which has so far been very excessive - that it had already made to the other negotiating countries of the TiSA. For example, the resolution calls for trade negotiations within the World Trade Organization (WTO) rather than through agreements similar to the TiSA, which, on the contrary, could dismantle common rules, in particular those protecting public services. In this respect, the Green amendment excluding public services and the amendment recognising a leading role for local public authorities have been adopted. Thus, the countries concerned by the future TiSA will have to be able to derogate from their trade commitments if they were to run counter to the pursuit of their climate objectives, including the implementation of the recent Paris climate agreement. Another chapter of the resolution states that less developed countries wishing to accede to the treaty should be given some flexibility to avoid being crushed by greater openness to international trade. In the area of data protection and privacy, European regulations will have to be respected even if they do not comply with other international rules. According to MEPs, TiSA cannot be used as a Trojan horse to counter the re-regulation of financial services, as this could jeopardize global stability as the subprime crisis showed in 2008. Minister, I come to my questions. Are you in line with the positions developed by the resolution adopted by the European Parliament's International Trade Committee last week? Will you defend these views in the Council on behalf of Belgium? The next TiSA negotiations will take place in the first week of February. In view of the vote on this resolution in the European Parliament, is the Council considering asking the Commission to change its position in this negotiation? In advance, thank you for your answers.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u51	Mr Hellings, I confirm that Belgium has always supported the European Commission's efforts to promote transparency in the negotiations for an agreement on trade in services. In response to this request, the Commission has published numerous documents on its website, such as the European Union's offer and the Commission's negotiating mandate. Belgium has also actively supported the declassification of the mandate. By participating in the TiSA negotiations, the European Union aims to strengthen the multilateral trading system, which Belgium shares. The parties involved in these negotiations have developed the TiSA to be compatible with the General Agreement on Trade in Services (GATS) concluded by the 162 WTO members. If a sufficient number of its members join, the TiSA could then be extended to the entire organization. As a reminder, each member may choose the types of services that he or she wishes to open to competition from other participants and the conditions that he or she wishes to apply. Each State makes commitments according to the structure of its service markets, according to the sectors it wishes to protect and its level of economic development. Thus, less developed countries will not be forced to provide more open markets. With regard to the protection of public services, services provided in the exercise of governmental power are excluded from the scope of the Agreement. The European Union has also taken – as in its other trade agreements – a horizontal reserve for services of general interest (public utilities). This means that services considered to be such at national or local level may be subject to public monopolies or that exclusive rights may be granted to private operators. The European Union also has no commitment to sensitive sectors such as health services, social services, publicly funded education, services related to water collection, treatment, distribution and management. Nor does it provide for audiovisual services, with reservations for each of these areas. TiSA will therefore not force governments to privatize or deregulate a public service at national or local level. This is also Belgium's position, which has already been repeated many times. The TiSA also provides for the same privacy protection measures as those in the GATS. Nothing in the agreement will prevent the European Union from applying its privacy or data protection laws. Moreover, nothing proposed will affect a country's right to regulate financial services, provided that foreign companies are treated in the same way as local ones. For example, any country may continue to adopt precautionary measures to ensure the integrity of its financial system and, above all, to protect consumers and investors. For financial services, TiSA is based mainly on two existing agreements within the WTO. I turn to your concerns about the impact of trade agreements such as TiSA on the implementation of the climate agreement. I refer you to my answer to one of your questions in December, number 7922. In the same spirit, we will continue to follow the negotiations by trying to guarantee all the points that have already been announced by both Belgium and the European Union.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u52	Thank you, Minister, for your answers. I'm sorry to be the last one to ask you a question in an ever bigger room. Where are we going to stop? With regard to transparency, I would like to congratulate you on your initiative on the consolidated TTIP documents, which will soon be available to your firm or administration. We will make use of this. This is an excellent initiative that allows us to exercise our parliamentary control. I would like you to take the same kind of initiative when the consolidated texts of the TiSA are available, if the delegations come to an agreement on an adventurous basis. It is quite interesting to see that we are now moving towards multilateral negotiations within the WTO, or in any case closer to the WTO, for a simple reason: the multilateral system that you and Belgium have always defended allows the countries of the South and the European countries to co-operate to defend their interests, in particular the general interest. Although the WTO may face a number of difficulties, the advantage of multilateralism is that it can promote the interests of the countries of the South. And that's a good thing. We'll follow the file closely.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u53	Questions Nos 8703 by Mr Crusnière, 8719 by Mrs Jadin, 8732 by Mrs Jiroflée, 8767 by Mrs Lijnen, 8772 by Mr Crusnière, 8803 by Mrs Capoen, 8870 by Mrs Jadin and 8804 by Mrs Capoen have already been discussed, postponed or converted into a written question.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u54	Regardless of the issue, I would like to make it clear that the documents are already available under the TTIP. I have no objection to looking at how to work in a comparable way within the framework of the TiSA in case of progress. I will only ask you to communicate the news to the other members of the committee. Tomorrow morning is the annual breakfast between diplomats on Diplomatic Day and Parliament. If other parliamentarians could be present, that would be good. There wasn't a lot of people in previous years. But I always thank those who come.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u55	Venezuela has been in the grip of the opposition's victory over President Maduro's chavist regime for several months. The latter has taken steps to break down the majority of the opposition. He's installing a shadow parliament. He is bringing in the Supreme Court to have the election of some Members declared illegal. For example, there are by chance enough people's representatives to break down the majority of anti-Chavist democrats. What diplomatic policy are we pursuing in this regard? What analysis do your services make of the situation in Venezuela? There is even talk of a possible bankruptcy of the country. What are the possible consequences for us? Have you been in contact with your Venezuelan colleague or with the Venezuelan ambassador? If so, what was discussed there?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u56	The recent victory of the opposition in Venezuela is a rejection of the regime. President Maduro, however, remains the President-elect. Belgium and the EU are encouraging both sides to jointly and democratically form a compromise through dialogue and to address the numerous problems facing the country. The challenge here is to turn the protest into positive action rather than political revenge. Unilateral party opting for the opposition and ignoring the current government would be counterproductive. President Maduro's latest measures need to be legally evaluated, but there is no compromise acceptable on political prisoners and the amnesty law. The analysis of my services is pessimistic. A confrontation is not excluded, but does the opposition have any other choice? Belgium exported EUR 267,7 million to Venezuela in 2014, with traditional chemicals, machinery and food products on the list. Belgium imported EUR 374.4 million from Venezuela in 2014, most of which are oil and derivatives. These figures remain stable year after year. Belgian firms have been operating on the spot for a long time under difficult conditions, for example because of a shortage of foreign exchange to import raw materials. So I do not expect any major change, even if there is bankruptcy of the Venezuelan state. On the contrary, I hope that the opposition will be able to come forward with some positive measures. For years, contacts with the Venezuelan authorities have been very difficult, not only for Western European countries, but also for neighbours and friends from the region. Even the three mediators Brazil, Colombia and Ecuador, led by the Vatican, are deterred and are careful to take initiatives. The Venezuelan ambassador was received regularly by my services and will also be received this week. Because he represents the current government and its positions, a real dialogue remains rather limited. I had a brief conversation with our ambassador in Venezuela. He had the same very pessimistic analysis for the next few weeks and months. There is always a dialogue between the President, the Government and the opposition, but I have heard that this is very difficult so far.
