ParlaMint-BE_2016-10-19-54-commissie-ic508x.u1	Question No 11269 by Mrs Willaert has been converted into a written question.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u49	Mr President, Mr Secretary of State, social fraud, like tax fraud, is an integral part of the government agreement. In order to sustain our social protection system, it is obviously necessary to ensure compliance with the rules and to combat certain abuses, in parallel with the fight against social dumping. In this context, you announced last June that you intend to activate a plan to combat social fraud in consultation with the CPAS, which estimates the number of cases of fraud encountered each year to be around 2,500. In fact, a point of contact had been created for CPAS agents, which remains an extremely sensitive area, both in view of the privacy element and its respect, but also in view of the protection of the agents themselves. The activation of a plan of struggle must be done in collaboration with the Minister of Social Integration and you have announced the organization of a joint round table with Minister Borsus. This consultation with the CPAS of our country in the context of the fight against abuses of financial aid from these same CPAS is essential, since it is actors on the ground that will come the information necessary for effective action in this field. You announced that the consultation would begin in the fall of 2016. We're there (or almost there). So what are the contacts already established with the CPAS federation? What further specific measures have been taken this year to ensure a better exchange of information between your services and CPAS services? According to what methodologies do you intend to involve CPAS staff more effectively in the fight against social fraud? Is there a requirement for information on initiatives by CPAS? When do you intend to introduce a new procedure for the exchange of information and data between your services and CPAS services?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u50	Dear colleague, thank you for these various questions. To be honest, at the cabinet level, we have not yet made contact with the CPAS federation. That is one of the things we still have to do. Indeed, we would like to address this at the round table we have planned, bringing together Mr Borsus and the various CPAS. We would like to put on the table the various aspects and elements that we are working on. First of all, let us clarify: the idea of having an exchange of views and collaboration with CPAS is not an obstacle to existing procedures and does not put them in jeopardy. Many things are already settled, but we need to improve, or at least examine, the different practices of CPAS. Thus, we will have the opportunity to improve the various exchanges of information between CPAS. I would like to address the issue of structured exchange of information and data, which has already been set up by the Social Integration PPS, and which has been operational since July 2014, with regard to fraud at decent wages, for example, An alert system exists, resulting from the automated cross-checking of data transmitted by a social integration PPS or a social integration PPS, and relating to the integration income granted by this CPAS, is in place. An audit is also carried out for each beneficiary of integration income to determine whether he or she is otherwise known or assisted by another social security system. It is also, in my view, an important aspect. As soon as such information is detected by the system, an electronic alert is sent by the SPP Social Integration to the relevant CPAS; this already provides a quantity of information to the various CPAS. The monitoring of these alerts by the CPAS is monitored by the SPP Social Integration inspection services. There are two links: the competence of the CPAS is to determine whether or not to grant allowances. We are therefore obliged to raise awareness of the phenomenon of social fraud among the various personnel involved in the Social Integration PPS. In addition, field checks are carried out with the various inspection services. When they meet a person who works on a construction site and receives an allowance, they fight this kind of fraud. I come to the various new measures. So we have a point of contact for fair competition, which already exists for individuals. But we would like to extend this point of contact to cities, municipalities and different CPAS. It's scheduled for the end of November. This will be a secure access. We will have to discuss this at the round table, it will be work for CPAS. In fact, if social fraud alerts are asked to reach the point of contact, it is also necessary to plan how to deal with them, at the level of the CPAS, by means of internal procedures. This is a very sensitive discussion. CPAS personnel who detect an element difficult to identify from the point of view of social fraud, at least question the person to examine whether everything is in order. It is important to discuss the different procedures. Because there is a relationship of trust between the CPAS staff and the person. The CPAS employee still has a better view of the various events in the field and detects much faster than my inspection services if one aspect is not in order. If, for the staff of the CPAS, there is no professional secrecy like the one that exists for lawyers and doctors, there is still a relationship of trust between the latter and the individuals who emigrate there. We need to look at how to deal with this reality. In case of detection of social fraud, it is the CPAS itself, and not the employee, who can decide to alert the point of contact.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u51	At this point, I don't really have a reply. I'll wait until you've had contact with the CPAS Federation to get back to the subject. We're barely in the fall, but it still lasts a few months. So we have time.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u52	Mr Secretary of State, the fight against social fraud requires coordination at the federal level, in particular with your colleague from Social Integration, but also operational coordination and wide-ranging cooperation between the different levels of power, since this matter has been largely regionalised. My question is not controversial, but I cannot help but think of the words of the Walloon Minister of Local Authorities. Last year, he called for the federal to show "energy in the control of tax fraud instead of focusing solely on marginal cases, at the risk of falling into methods that recall somewhat more painful memories". Quite honestly, this statement struck me, because I was president of a CPAS for six years before becoming mayor. I am therefore well aware of the role of the agents working in the CPAS, particularly the role of social workers, of course. We will all agree that social assistance work is essential and that combating abuses in this area is, of course, about protecting our social security and, above all, about ensuring adequate assistance for the weakest and the poorest. Seeing things differently is putting your head in the sand. I come to my questions. Under what procedure do your services exchange information with the regional inspection services? Is there a plan to strengthen cooperation between federal and regional services in the fight against social fraud? Are new objectives set in this regard and, if so, what are they?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u53	Mr. Pivin, in answer to your first question, regional inspections are not part of the Social Information and Research Service (SIRS), but they are always invited to meetings of the IRS Steering Committee. So they're involved. In the district inspection units, there is already field collaboration with the various federal inspections and regional inspections. There is also the cooperation agreement, in force since 9 July 2010, between the Federal State, the Regions and the Communities, on the coordination of checks on illegal labour and social fraud. For example, in June 2016, SIRS already participated, with Beliris in particular, in the meeting of the working group on combating social dumping. I believe that SIRS really plays a key role in coordinating between the various public bodies. SIRS has already concluded numerous protocols, for example with the Facilitair Management agency of the Flemish Community, with Beliris, with the public service in Wallonia (the protocol is almost ready for signature), and also with the Régie des Bâtiments. Such protocols are concluded for better coordination in the field. As far as your second question is concerned, I have already consulted with Mr Weyts, who is the Minister of the Flemish Region responsible for mobility, in order to use the data of the various cameras. Here too, there are things to be done. We are currently examining how we can exchange these different data, under what constraints, with which protocols, in order to have access to certain information in order to improve the fight against social dumping. In addition, from 1 December, all municipalities and CPAS will have secure access to the contact point, as I said in response to the previous question. As far as your third question is concerned, the minimum number of checks to be carried out in sectors at risk, per judicial district, is fixed annually at the time of the evaluation of the action plan "Fight against social fraud and social dumping". We have asked the various borough cells that at least 28% of the checks give rise to a finding of infringements. The aim is to sufficiently target controls on dishonest practices. I think it's going in the right direction.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u54	I have no reply, Mr. Chairman, the answer is complete.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u55	Question No 12855 by Mr Clarinval is postponed.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u56	Mr President, Mr Secretary of State, this is my final question. At the beginning of February, you signed the plan for fair competition in the transport sector. This was the culmination of a number of round tables which had taken place the months before. The sector is, as we all know, seriously affected by social dumping and unfair competition. Measures could therefore no longer be avoided. The plan contains 30 concrete actions to tackle the problem of social dumping vigorously. There are also 16 national action points such as the launch of a hotline for unfair competition, additional controls and better cooperation between the FPS Mobile Inspection Service, social inspections and customs. I have a specific question. How is the implementation of the plan and how many of the 16 national action points are in progress? On the other hand, what progress has not yet been made?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u57	Mr Raskin, this plan is an important means for us to work together with the various social partners, the social inspection services and the government. You also know that this is not my exclusive competence, which requires the cooperation of other fellow Members on certain measures. There is still a great deal of work to be done at European level. A number of measures have already been implemented. You have mentioned a number of them yourself. I believe we are making progress. We have a hotline of fair competition. There is a recruitment procedure for additional inspection staff. A joint flash check was carried out in the transport sector at the end of September. Vehicles of less than 3.5 tonnes were checked. This was one of the problems raised in the action plan. The Enforcement Directive was transposed into Belgian law. A second reading was adopted in September. A draft law on the Koelzsch judgment, which deals with the employment contract and the place of employment, was adopted by the Council of Ministers in October 2016. A first follow-up meeting was scheduled for which progress was made by the various relevant ministers and bodies. There is also ongoing consultation between the various inspection services, the social partners and the government on how to speed up a number of aspects. I list a number of things that have not yet been carried out. On the one hand, a tax shift has been introduced on the other hand, but on the other hand, additional measures are still under discussion. With regard to cabotage rules, Minister Bellot has drawn up a note. In addition, he is in contact with his European colleagues to make progress at the European level. We too are involved in this. Also with regard to tachographs, access to the profession and smaller lorries, notes were drawn up by Mr Bellot. We are making progress in all these areas. Some have not yet been implemented, but we are working on all these action points, or we are trying to make progress at Belgian but certainly at European level. I can also give you some paperwork on the action lines of the action plan.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u58	Mr Secretary of State, I can indeed see on paper what the situation is.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u59	Mr President, Mr President-in-Office of the Council, there are certain elements which I would like to mention which overlap what Mr Raskin and others have already said here because, of course, this is always the same subject. Here we are talking specifically about the app to combat social dumping in the construction sector. The 15-point plan has been launched to re-establish fair competition in construction and transport. Unauthorized low prices would be dealt with and there would be a limit to two links in subcontracting. Can you give an overview of the 15 actions you are planning and the timing for implementation? That may be in table form. How will the application of the app correct employer work? Is there any consultation with the competent control bodies? What's the timing for launching this app? The number of postings has increased by 76 % over the last four years. What do you think is the explanation for that? Are you prepared to revise the Posting of Workers system which ensures that the social security contributions of workers in the country of origin are paid?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u60	Mr President, Mr Geerts, thank you for these questions. Among the 15 actions we take in the plan of fair competition electrotechnical sector there are 11 national measures, 1 Benelux measure and 3 European measures. Some of these measures are, of course, in parallel with other action plans that have already been implemented. In my previous answers, I have already covered many of the issues that we have already been able to achieve and which also make up the implementation of this action plan. For the app correct entrepreneur and correct employee we have an approved budget sheet. We have carried out an initial study with the competent services to see how we are going to make this practical. In terms of timing, I foresee the first quarter of 2017 for the launch. Your third question is, of course, based on the figures of the European Commission, which shows that incoming postings have increased between 2010 and 2014. Of course, I do not have a crystal ball, but there seem to be some obvious reasons for that. Firstly, we are a small country with an open economy, situated at the crossroads and in the centre of Europe. Secondly, we have many foreign companies or foreign headquarters located in Brussels. That also contributes to this. Thirdly, we still have work to do in our labour market to fill in a number of bottlenecks. There is also an increasing use of posting as a solution. As a result, certain competences from abroad are available on our labour market. Fourthly, I do not put down seats or benches which also play the lower cost. If wage and working conditions are respected in Belgium, but social contributions are paid in the country of origin, there is, of course, a price difference. We have calculated this price difference for a number of sectors. Sometimes the difference isn't so bad, but sometimes it's significant. In reply to your last question, I am, quite frankly, following Mrs Thyssen's work. First of all, Mrs Thyssen makes sure that there is a clarification and a tightening under the multi-package label that she is working on. It initially elaborates this for a definition and clarification of working conditions in the country where people go to work, in order to avoid any ambiguity. The second part is, of course, an amendment to the social security regulation. In this respect, we are entering into a much more complex discussion. After all, the options are different. I also hear a lot of wild plans making the rounds. On the one hand, they encounter a number of legal, European objections and, on the other hand, a number of practical objections. If we are to apply the social security legislation of all the countries that are posting in Belgium, my inspectors must have 28 different laws in the field in order to be able to carry out the checks. Otherwise, they will never know whether or not a company complies with the rules. In view of the way in which the transfer of social security contributions should take place, a number of legal and practical problems arise. It is therefore primarily up to Mrs Thyssen to look at how the legislation can be revised at European level. I think that we will then have at least as much of a debate as our first proposal, towards the countries of Eastern Europe. We will have to look at how we can respond to this.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u61	Mr Secretary of State, with regard to the 11 national measures, we will see in your policy statement and in the budgetary tables what timing and priorities are being set.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u62	Mr Secretary of State, I am asking this question as a result of a targeted control of the judicial police and the road police into fraud software in order to circumvent the legislation on driving and rest periods. During the hearings we had on this subject, a representative of the police said that he was pleased to be able to raise the issue in Parliament, because he thought it was a major problem. He asked if the government could take a stronger stand against this. During these hearings, transport organisations indicated that they wanted to take part in this fight. They hoped that only a small percentage of the trucks would use that scams software. I was a little surprised at the results of that control. Is there indeed an increasing number of cases of fraud software to circumvent the rules on driving and rest periods? How many controls were effectively carried out on driving and rest periods in 2014, 2015 and 2016? How many truck drivers weren't in order with the driving and rest periods during those checks? One of the criticisms of the transport organizations was that police checks took a long time, while there is an economic factor involved. Can these controls be handled more quickly? What additional measures have been proposed in the field?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u63	Mr Geerts, first of all I would like to say that a large part of your questions fall within the competence of Minister Bellot. For more detailed information, you will therefore have to address him. The judicial police and road police have indeed recently discovered new forms of cheating software for the digital tachograph. I was able to hear that firsthand during the flash check we did. It's not obvious to find out. One almost has to disassemble the engine to see that there is shuffle software in it. The inspection services are now aware of this and are now actively looking for it. This is also an element in the fair competition plan. The joint checks shall not only check driving and rest periods, but shall also examine the operation of the digital tachograph. Inspection services may read the tachograph. There is also always a check to see if there is any shuffle software available. In the event of a suspicion, further action shall be taken. How many checks on driving and rest periods were carried out? In 2014, there were more than 28 000, in 2015 more than 29 000 and in 2016 until August around 18 000. Each time it appears that the number of infringements is around 8% to 9%. I think that is still significantly high. The data are not kept separately in the FPS Mobility statistics. So we had to puzzle there again. A normal police check, checking the regular on-board documents and reading tachograph data, takes about half an hour. However, if one has a suspicion of fraud via cheating software, the check may take one or more days. It is not obvious if everything is to be split up and checked how everything is going. We must therefore examine how we can meet the new needs. The measures to be taken to improve the protection of tachographs against fraud software require an adaptation of European legislation. As a European Member of Parliament, I have worked together with Saïd El Khadraoui to strengthen the legislation on digital tachographs. Minister Bellot has re-contacted the European Commission to highlight the issue and to call for an adaptation and tightening of the rules. Of course, additional initiatives have already been taken, through a European regulation, to enable the new generation of digital tachographs to read out remotely. That is one aspect of the solution. We are constantly confronted with new technical adjustments and at the same time with new technical possibilities for fraud. Hopefully, our services will be able to develop new technical ways of detecting this fraud.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u64	Mr Secretary of State, I am going to deal with a sector other than construction. In the space of two years, the electrical engineering sector has lost 1,047 jobs in our country, which is significant in relation to the sector which represents 35,000 workers. The main cause is, once again, social dumping, and we can only deplore it. I read that you signed an agreement with the sector in September on 15 measures aimed at evaluating the new law on public procurement, strengthening the means of control and implementing an awareness campaign. Finally, you have set up a Benelux working group to limit the "Netherlands road", where temporary labour legislation favours social dumping in Europe. Mr Secretary of State, similar agreements have already been signed, in particular with the construction sector. The effects are slow to come and the sector continues to lose thousands of jobs. It is not enough for an agreement to be reached, it must be implemented and it is necessary to check whether it is appropriate. To do this, I have a few questions. In the agreement, you refer to the evaluation of the new law on public procurement. How can we assess it when it is not yet operational, since the royal decrees of execution have not yet been issued? When will they produce their effects and therefore when will this new law be effective? What, then, do we mean by the evaluation of the latter? You say that the means of control will be strengthened. Can you be more specific? Are you going to hire more staff and step up your controls? What will the awareness campaign consist of? What is the composition of the Benelux Group? Is it a forum for exchange of information and/or consultation? What role can this group play in the real fight against social dumping? What progress has been made so far in this group? Have the Netherlands made commitments to review its legislation on temporary employment, which has an impact on dumping?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u65	Mr Daerden, you know that a social dumping working group is under way, led by the Prime Minister's office, which is very active. He is busy formulating various concrete proposals for the implementation of a plan against social dumping in construction. I believe that certain details will come out, first of all with regard to the Royal Decree on the award of public contracts: we are working on a new royal decree with concrete proposals for texts that have already been forwarded to the Commission on Public Procurement. It's on its way. Consideration of proposals shall take place. The committee already delivered an opinion on 19 September. Something is already in place, as far as this point is concerned. There is also a royal decree on the execution of public contracts which requires an amendment of the existing royal decree. The concrete text was also forwarded to the Commission on Public Procurement. As regards the extension of recognition as an entrepreneur, four full-time recruitment was approved to strengthen the accreditation commission. With regard to your second question, the means for monitoring on the ground are strengthened on two aspects: first, 96 additional net controllers will be engaged by the government; and second, we are considering and submitting proposals for the reform of the inspection service. The aim is to have more opportunities and engagement in the field in the head of the various inspectors. This is done through better coordination between the different inspection services. There is also the awareness-raising campaign. This is important: we often talk about large public works, but different citizens also use, especially in the electrotechnical sector, people who are seconded or self-employed. With regard to this point, with the Prime Minister's Chancellor for example, the possibility of a media campaign with television spots, among other things, is being studied in order to raise awareness among the general public. We will also examine the possibility of concluding a charter with the various public companies, the different federations but also with the different cities and municipalities in Wallonia, Flanders to have this commitment on this side too. For the Benelux Group, the working groups are composed by the various representatives of the social inspection services and the Belgian, Luxembourg and Dutch authorities. One of the working groups is specifically dedicated to the problem of fraudulent acting offices. In fact, it has been observed that there are a lot of constructions coming from the Netherlands and that there is, in fact, a double detachment: the companies in the Netherlands and those working at home via the interim sector. But it is of course up to the Netherlands to see whether there is a violation of the existing legislation on interim offices. We are vigilant in this regard. We will also normally have a meeting in December with the ministries concerned to put this issue on the agenda of the Dutch government. The aim here too is to carry out more common cross-border controls and also to establish a coherent exchange of data. These are the two main problems that are now on the ground and need to be resolved, in order to strengthen our field inspection capacity.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u66	Thank you, Secretary of State, for your response. If there are still many unknowns, there are good intentions. I hope that this will soon lead to a realisation either at the level of the Benelux Group or at the level of the awareness-raising campaign. I think all these steps are useful. It would be welcome if they were translated into the field. In this respect, you may refer to a charter with cities and municipalities. You're probably aware that at the internal level in the city of Herstal, we adopted a charter. We are therefore taken to be one of the first charters between the federal and a city and commune. Last, compared to the royal decrees, do you think that they could still be released by the end of the year on the enforcement of the law on public procurement?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u67	I'm answering your last question. Yes, we will make every effort to conclude these royal orders before the end of the year.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u68	Mr President, Mr Secretary of State, the unfair competition hotline has been operational for a little over a year and I think it is time for an evaluation. How many reports were there? Were there reports of similar subjects of citizens, businesses or organisations in other inspection services and social parastaals? In addition to the figures, I would also like to look at the content of the notifications. What were the types of reports and which were the subject of an additional investigation? Was the investigation positive in the sense that a regularisation, recovery or preparation of a report took place? The plan for fair competition in construction also provided for the creation of a central point of contact for social fraud, specifically for the social partners. We see in the field that the nature of the reports from the social partners is different from the general reports. I therefore believe that it is important to look at the feedback and follow-up given to those reports. Is that feedback system already in place or not yet in place?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u69	Mr President, Mr Geerts, since October 2015, the Fair Competition Communication Point has been operational for citizens and businesses. Currently, the follow-up phase, in which professional users, such as employees' and employers' organisations, as well as OCMWFs, cities and municipalities, are in a test phase. The connected users usually go through eID or specific forms. The reports from professional users are usually much more complete than the reports from citizens. We are looking at how to adapt the forms in order to obtain as complete information as possible on the notifications we receive. So far, some 7 000 notifications have been received. They are mainly reports of undeclared work and residential fraud. That seems to be the two main concerns. Approximately 7 out of 10 reports are included. At 30% information is missing from the beginning, for example names or other data, so that we cannot, for example, check where the facts occur. 70 % will continue and will be sent to the different services. Then it is up to the inspection services to decide how they deal with it. Feedback from the various services shows that a new dossier can be opened very often. The hotline is therefore useful and actually provides additional information which is very often difficult to obtain from the inspection services themselves. So it is a way to play a role, especially in the field of undeclared work. We are currently analysing the data in detail and an annual report will be drawn up shortly. Normally, the system also goes live for the professional users at the end of November, after the test phase. We must see to what extent it is actually being used. You have also just heard the discussion about how the OCMWFs and others will use the hotline.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u70	Thank you, Mr Secretary of State, for your reply. We will effectively wait for the annual report. We must indeed look at the quality of the reports. After all, there can be a lot of reports. However, if they are based on loose sand, the figure in itself does not make much difference. After all, the substantive aspect is important. This is why the professional users, such as the social partners, both employers and employees, are asking for this to be done.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u71	Mr President, Mr Secretary of State, I have a question concerning the estimates relating to tax fraud and what the Court of Auditors has said about it. In the Court of Auditors' report on budgetary control, we read, I quote: 'The Court of Auditors has not obtained precise information to assess the relevance of these estimates. The EESC notes that the anti-fraud plans are consistent with each other, with the indication of new revenues. Moreover, the estimate of revenue is not always based on a detailed calculation. Moreover, in the absence of an effective monitoring system, it is difficult to evaluate the proceeds of these action plans. The book on social security, which we received in August and contains the differences between the estimated revenues and the results of the fight against social fraud in 2016, shows that the Court of Auditors' observations are confirmed. The estimated revenue was 1.8 million euros due to an optimal data match between the RVA and the then RVP in order to avoid unauthorised accumulations of unemployment and pensions. However, this brought only EUR 70 000. In addition, for many measures no figures are available or certain measures have not been implemented. I have the following questions. This leads us to conclude that better monitoring of income from the fight against social fraud is needed. I have already noted with satisfaction that your predecessor also pointed out this need in his policy statement. What actions have been taken in this area since then? What results have been achieved with regard to monitoring? How can you explain the difference between the estimated and the effective proceeds of the data matching between the RVA and the then RVP? Are there fewer abuses than expected or were there problems with the data matching? Where are these problems located? After all, I find it difficult to imagine that the services would be so far off with their estimates. In the meantime, what progress has been made with a number of measures proposed in 2015 but apparently not yet implemented? It concerns, for example, the exchange of information between the then FEP and the FPS Justice in relation to detainees who are entitled to an IGO. Has that been carried out by now? Is that running? Then, for example, there is the replacement of the paper check card with an electronic card, linked to the identity card in the event of temporary unemployment. How's that going?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u72	Mrs Lanjri, it is indeed a very complex matter to monitor the proceeds from the fight against social fraud. I have already mentioned this in previous debates. We are on one side with an administrative hatch and on the other side with fines and sometimes with a penalty hatch. All these elements must therefore be brought together. This is one of the elements that has been effectively discussed and discussed for a very long time in the task force for the reform of inspection services. After all, we should not only talk about how much it is going to cost, we should also look at how we can implement the standardisation of processes within and between the various inspection services. We must also ensure that traceability within the various services is optimised and standardised. In this way, we hope to gain a better understanding, including between and within the various services, of what is being done in this fight against social fraud. Having said that, the action plan of my predecessor and myself has made sure that the budgetary targets, which are always imposed on us, are achieved. For 2015, it was even EUR 180 million, an increase of 30%. I believe that we are doing at least our part of the budgetary work in this area. I agree with you that we should make this an effective priority in order to increase traceability, follow-up and collection rates. This was effectively one of the biggest debates in the discussion on the reform of inspection services. As for your second question, it is important to say that it was certainly not a problem of data matching. This data exchange also takes place regularly and frequently between other services. You are right that the budgetary impact of this data matching was rather disappointing. On the other hand, the fact that there is little profit from this means that there are apparently few problems. There have been few anomalies from this data matching. So there was little follow-up to that. We actually have a discrepancy there between what my services had expected of income and what we were able to achieve effectively. It is important to note that other services, such as the RVA, in addition to the cross with the pension register, also carry out or have performed other crossings. These include cumulations of unemployment benefits, interruption benefits, notifications of incoming activities as an employed or self-employed person and the combination with sickness or invalidity benefits. A previous question also explained this. With these crossings, we try to identify and address as much as possible the cumulations between different benefits or between work and a benefit. It also explores ways of simplifying the complexity of the data flow. We also note that we still have a lot of work to do in this area. In addition, the different services should be given new opportunities to ensure that data flows are better coordinated. Your third question concerns the exchange of information between the National Pensions Office and the FPS Justice Department. There was a project at the time. There is also a discussion going on with the privacy committee, for which I am also competent and which should authorise the data matching. You quoted two examples of measures that have not yet been implemented. Together with my colleague, however, I urge you to work on its implementation as soon as possible. For example, we had to draw up a regulatory framework for the introduction of the electronic control card for the temporary unemployed. That framework entered into force in August 2016. For example, we have also had to develop a regulatory framework for the development of new information technology applications. A concept version has now been completed for this framework and a test phase is under way to find out how a number of elements can go live and be performed in reality.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u73	Thank you, Mr Secretary of State, for your reply. To begin with, you say it's now in a test phase. When does that test phase end and will it really go into inserting? Can you tell me about that?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u74	I think that'll be by summer. The test phase is still ongoing. We still have to analyse and adjust. So that's going to be end quarter 2, beginning quarter 3. We hope to be able to achieve this next summer at least.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u75	I am surprised, then, that there is such a large gap between the estimate and the effective yield. That is why it is, of course, an estimate. An estimate is an estimate, but the difference between the EUR 1.8 million that you thought you could get out of fraud and the final result of EUR 70 000 is enormous. I hope that our administration will make better estimates in the future. I do not think anyone has anything to gain from high estimates that no one believes to make the budget look good, and it turns out that it doesn't yield a tenth of them. On the other hand, I am glad that it appears that the abuses are less serious than was initially thought. But can one be so wrong? I hope that you will instruct your administration to give a more accurate estimate in the future, possibly on the basis of samples. Those samples can then be extrapolated to the whole country rather than estimates which are very unrealistic and which may also give rise to unbelief in future estimates.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u76	I agree with the analysis. Our estimates must be as correct as possible, but they remain estimates. In this case, we have found that the initial estimate was inadequate and that we need to continue from November onwards. I am trying with my fellow ministers Mr Peeters of Work and Mr Bacquelaine of Pensions to see how we can expand the system, because then, perhaps by catching up, we will be able to make things right again. We must continue to work on the exchange of information within and between the services so that the doubles and fraud can be dealt with and removed in this way. This is also a responsibility of the various colleagues, who must encourage their services to cooperate. Combating fraud remains an essential point for the government, not only for budgetary reasons, but also for ensuring that fraud ceases to exist in the field. As far as benefit fraud is concerned, we can certainly go a step further with the data from the public authorities. I therefore regularly call on my fellow Members to cooperate in this.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u77	Mr Secretary of State, I have heard that a bilateral agreement has recently been concluded with Bulgaria in the context of the fight against social fraud and social dumping. That was an ambition of our committee. To this end, I have tabled a resolution together with Mr Clarinval and the other groups of the majority. It was also the ambition of your predecessor. We were of course in favour of this and we are pleased that concrete steps have now been taken and that cooperation with the countries of Eastern Europe will be implemented in this way. It is clear that the monitoring of compliance with European legislation is not always evident in practice, and that cooperation with certain countries is certainly advisable. In the agreement with Bulgaria, it was agreed that Bulgarian and Belgian inspection services would better check whether employers pay social contributions in the country of origin. In addition, it would be possible, for example, to check whether Bulgarian workers receive benefits in their own country and whether they are false self-employed. When will the agreement with Bulgaria take effect on the ground? Are certain preparations needed for this? In what way will the control of bogus self-employment of Bulgarian workers differ from the current way of working? What will change in the field of the A1 forms for Bulgarian workers? What elements have convinced Bulgaria to conclude the agreement? In other words, what are the benefits of the agreement for Bulgaria, apart from the fact that it will obviously benefit Bulgaria if more social contributions can be collected? You have the ambition to conclude similar agreements with other countries, including Romania and Poland. In the meantime, what progress has been made with the negotiations with these countries?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u78	Mr President, Mr Secretary of State, my question is with that of my colleague. On 5 October last, an agreement was signed with Bulgaria, which we can only rejoice at since this country is an important provider of workers. This is a question of improving cooperation in the fight against social dumping, particularly with regard to the payment of contributions. Mr Secretary of State, could you give me more information on the content of this agreement, particularly as regards the new tools that will be implemented. In October, another bilateral agreement was signed with France. Is the content of the agreement the same as that to which I have just referred or are there other specificities? Can you give me more details about its content? My colleague mentioned Romania, Poland, which are two important countries. I understand that contacts are made with these two countries. When do you think you can reach an agreement? Poland is known to be a rather reluctant country when it comes to revising the European directive. Do we, however, make progress? More generally, do you think that these bilateral agreements could move the lines and allow for a form of convergence and, therefore, an adaptation of European texts?
