ParlaMint-BE_2016-11-16-54-commissie-ic535x.u1	Question No 14810 by Mr Vanden Burre is postponed.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u23	Mr President, Mr Minister, it is true that without the investigative work of the press and that of the Belgian and French investigators, which could prove to be one of the greatest state scandals in recent history, a fortiori if the facts were confirmed, would have remained hidden. Let's not hide it. If this manipulation is confirmed, this interventionism of a neighbouring State in the sovereignty of our State and in the autonomy of its powers, at the initiative of an eminent parliamentarian, given its past functions and its influence in the spheres of power, is unprecedented. It is probably a case that will take on a historical dimension if the facts are confirmed – but they are already substantial, since the testimonies, since what the press reports is confirming, are overwhelming. I'm not going to ask you questions that may still fall within the scope of investigative duties. One thing to be surprised, however, is that an investigating judge has not yet been brought before the Public Prosecutor's Office. That's pretty amazing. I say this because, as you have a reflection on the future role of the investigating judge, this case clearly demonstrates the importance of the role of an investigative judge independent of the prosecutor's office. If the facts which are still reported by the press and which call into question a general lawyer are proved, it is not possible for the prosecutor's office not to entrust the continuation of the investigation and investigation to an investigating magistrate independent of the prosecutor's office. That's a finding. One may wonder why so far the prosecution has not put this case to trial. I would not like there to be any doubt tomorrow about the Prosecutor's ability to contribute to full transparency and the truth of the facts in this case. Secondly, as Minister of Justice, you can question the superior magistrates. Today, Mr. De Wolf is no longer a judge of the Public Prosecutor's Office. He is a judge of the seat. Following these revelations, did you ask his superior, the president of the Brussels Court of Appeal, to start the proceedings, at least at the hearing, of Mr. Wolf to check his version of the facts? It would be difficult to understand whether the judicial authority took any initiative in this case in order to ascertain whether a magistrate who had dealt with the case, in the context now known, had ensured strict compliance with the law and the circulars issued by the Attorney-General's Office. I therefore wonder what the procedure which may be initiated by the superiors of the Advocate General mentioned in this case – I say not in question, but quoted – is today in order to verify, if necessary, his version at the time he dealt with this case. You announced that the investigative duties would be completed in the near future. In answer to a previous question, you also said "in a short time". What do you mean by "short-term" and "short-term"? Perhaps it is not for the Minister of Justice to know what the course of the investigation can be and its precise content, but do you think that, if there is an end to the investigative duties within a reasonable and close time, Parliament should take up the aspect that I call the "political" aspect of this matter? Regardless of what the criminal consequences would be, there is at least a political assessment to make of this case. That is why I have resubmitted my proposal to set up a parliamentary committee of inquiry. I would like to thank the colleagues who wanted to join this proposal. It will be debated in due course. It would be difficult to understand that the executive power, which you represent in this case, does not accept that an investigation can be carried out into the political links in this case, and in particular, because it is the root cause of this whole issue, the political links that made Mr. De Decker intervened, it seems, since he himself would have said so, at the request of the entourage of the President of the French Republic. As I said, this is a serious violation of the sovereignty of our State, of the independence of its powers. Whatever the criminal consequences, we cannot, if we have any sense of the dignity of our functions, leave this aspect of things under the bushel and not have the courage to deal with it in the open in a parliamentary committee of inquiry. Why a parliamentary committee of inquiry? Because it has investigative powers that no other parliamentary committee has. It would be a false leak to say that we would make a kind debate in the Committee on Justice on the subject. This is much more than what needs to be done, it is a real work of hearings with the powers of a parliamentary committee of inquiry. I hope that the executive will not hinder the Parliament's ability to assume the fullness of its powers, even though there would have been an attempt to use the legislative power at the time to serve particular interests in a matter of particular gravity. Is it worth recalling that Mr Chodiev and his colleagues were charged with serious offences and that we are probably not dealing with the most honest clients to whom the Belgian courts had to deal?
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u24	Mr. Chair, Minister, this case is an explosive cocktail, the ingredients of which are class justice, conflicts of interest that could prove to be quite serious and a sign of dysfunction in the justice system that is challenging. In 2011, there is a transitional period in the application of the law of extension of the criminal transaction from 16 May (date of promulgation of the law) to 11 August (date of promulgation of a law of correction). Normally, during this transitional period, transactions could not be granted, except in exceptional circumstances. And yet, Mr Chodiev benefited from a transaction sealed on 17 June 2011, during this period. The newspaper Le Soir of this 14 November 2016 published excerpts from a circular which would be dated 18 May 2011 and signed by the then Brussels Attorney General, Marc de le Court. I quote: "I have the honour to draw your attention to the law published in the Monitor on Friday, May 6, 2011. To the extent that the scope of application is reduced in the law of reparation, it is currently contraindicated to apply this new article 216 of the Code of Criminal Investigation and to propose transactions until the law of reparation has been published in the Monitor." This circular, which you are going to confirm or not exist, would add: "If, however, in quite exceptional circumstances, you feel you have to propose such a transaction, I should be given a detailed report justifying these particular circumstances and seek my consent in advance." The same edition of the Soir cites a hearing of Mrs Catherine Degoul, French lawyer for Mr Chodiev, where she states that the text of the criminal transaction and a draft indictment were drafted not by Advocate General M. From Wolf, but directly by Mr. Chodiev's lawyers. Minister, when was the criminal transaction with Mr. Chodiev concluded? Why was it in this transitional period, which normally excluded such an agreement? Has a detailed report been provided to the Attorney General to justify this transaction? Has there been any prior agreement from the Attorney General? If this report exists, is it possible to obtain a copy? Do you confirm that the text of the transaction and a draft indictment were drafted by Mr. Chodiev's lawyers? If so, how do you judge such facts? Finally, do you not consider, Mr. Minister, that this case reveals serious obstacles to the separation of powers, particularly with regard to the actions of Mr. Chodiev's lawyers? I point out here in particular the Belgian parliamentarian, Armand De Decker, but also Mr. De Wolf, whose caps are multiple and who acts, at the same time, at the level of the judiciary as Advocate General, at the level of the legislature as adviser to the CD&V parliamentarians on the issue of the expansion of the criminal transaction and at the level of the executive as liaison lawyer in the Cabinet of Ministers of Carl Devlies, then Secretary of State in charge of the fight against tax fraud.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u25	Mr President, gentlemen, my answer is threefold. As regards, first of all, the legislative process, you will recall that this process led, in two stages, to the expansion of the criminal transaction, the first step being the law of 14 April 2011 containing various provisions. This bill was tabled in the House on February 11, 2011 in the Finance and Budget Committee. The article providing for the enlargement of the criminal transaction was introduced by an amendment No. 18 by MPs Servais Verherstraeten, Gwendolyn Rutten, Guy Coëme, Carina Van Cauter, Josy Arens, Raf Terwingen and Philippe Goffin. The wish of the authors of this amendment was to allow the criminal transaction to be extended to offences punishable by imprisonment for more than five years. With regard to the material scope of Article 216bis, the text provided for the possibility of a criminal transaction "where the Crown prosecutor considers that a contravention, an offence or a crime liable to be corrected, pursuant to Articles 1 and 2 of the Act of 4 October 1867 on mitigating circumstances, must require only a fine or a fine with confiscation". This amendment was not disputed in the House's Justice Committee, and the text was voted in plenary on 17 March 2011. The text was then referred to by the Senate, which submitted it to its Committee on Justice. During the debates in the Senate, university professors, Raf Verstraeten and Adrien Masset, identified a fundamental problem regarding the material scope of the text under review. Indeed, if a crime is corrected, according to article 80 of the Criminal Code, the minimum penalty is one month. Unless an unlawful sentence is required, the King's prosecutor cannot simply demand a simple fine. As already stated, the proposed criminal transaction regime is only possible when the King's prosecutor considers that he should only impose a fine or a fine with confiscation. In this process, the law, contrary to the wishes of the authors, might therefore fail to achieve its objective, for in important social and fiscal affairs there are almost always false scriptures. Despite these objections, the parliamentarians decided to maintain the original text while immediately drafting a law on reparation, with the aim that these two pieces of legislation would enter into force at the same time. Second stage: the Act of 11 July 2011 amending articles 216bis and 216ter of the Code of Criminal Investigation, and article 7 of the Act of 6 June 2010 introducing the Social Penal Code. This law of reparation was introduced in the Senate by Senators Christine Defraigne, Francis Delperée, Philippe Mahoux, Martine Taelman and Peter Van Rompuy. The justification for the material scope of Article 216bis of the Code of Criminal Investigation referred specifically to the interventions of university professors Verstraeten and Masset and their objections to the material scope of the law. As a result, the legislator clearly agreed with the interpretation of the original text developed by these professors. In addition, the objective of an effective simultaneous entry into force of the text extending the criminal transaction and that of reparation was explicitly recalled during parliamentary proceedings in the Senate, by Minister of Justice Stefaan De Clerck, and in the House by MP Verherstraeten. As far as the legislative context is concerned, this is the first part of my response. Secondly, on the implementation of the new legal provisions by the Public Prosecutor's Office and the so-called "Kazakhgate" case, the Attorney General of Brussels sent me the following reply, which I translate to you: "The Minister of Justice wrote to the College of Attorneys General on 2 May 2011 stating that, for the proper functioning of the law of 14 April 2011 on the criminal transaction as well as the provisions of the future law on reparation, which was pending at that time in Parliament, were to be applied together and that, in order to ensure that under the law on various provisions, pending the publication of the law on reparation, the Minister would ask the College to issue a circular to that effect. At the request of the Minister of Justice, by the same letter of 2 May 2011, the new provisions on the expanded criminal transaction were discussed during the meeting of the College of Attorneys General, the Council of Attorneys of the King and the Council of Labour Auditors under the chairmanship of the Minister of Justice, it was decided that the Attorney General of Antwerp would prepare two circulars on the expanded criminal transaction: one to indicate that it was not recommended to make use of the new legal provisions before the law of reparation had entered into force and one on the expanded criminal transaction as such. By letter dated 26 May 2011, the President of the College of Attorneys General transmitted to the Minister of Justice a copy of the circular which had been circulated by each Attorney General to the King's prosecutors and to the auditors of the work within his jurisdiction. In this letter to the Minister of Justice, however, the President of the College stated that, pending the entry into force of the law on reparations, he joined his colleagues at the College of Brussels and Antwerp for whom the possibility of resorting to a criminal transaction was not totally excluded in the meantime, but was subject to special attention and prior authorization from the General Prosecutor's Office. The circular was issued by the Attorney General of Brussels on 18 May 2011 within his jurisdiction. This is Circular PG3/2011 of 18 May 2011, which can be communicated to Parliament." I have a copy with me. "This circular therefore referred to the possibility for the King's prosecutors and labour auditors, in quite exceptional circumstances, if they felt they had to propose such a criminal transaction, to submit a detailed report to the Attorney General justifying these particular circumstances and to seek his consent in advance." In the case in question, the appeal was brought after consultation between the King's Prosecutor and the Attorney General against the order of the Chamber of Counsel of 18 February 2011, on the grounds that the order, in addition to the dismissal of the main accused, was not in conformity with the prosecutor's request, since the Chamber of Counsel declared part of the public action inadmissible. Since, in the disputed case, the criminal transaction was carried out by the Attorney-General's Office, there is no report from the King's Prosecutor to the Attorney-General to request the criminal transaction. I quote the current Attorney General, always translating him: "The Attorney General and the first Advocate General have been properly informed, by the magistrate in charge of the case, of the progress of the extended criminal procedure in this case. On 17 June 2011, the minutes containing the extended criminal transaction agreement were signed, according to Article 216bis of the Code of Criminal Investigation. By judgment of 30 June 2011, the Indictments Chamber found that the parties which had accepted the agreement had complied with it and therefore found that the public action had been terminated." The Prosecutor-General of Brussels, in his letter addressed to me, states the following. I will quote it this time, literally, in Dutch. This extended friendly settlement could still be concluded after the entry into force of the repair law of 11 July 2011. I continue with the quotation of the letter from the Prosecutor General of Brussels, translating it again. "With regard to the burglary between 3 and 6 June 2011, in the office of the judge holding office at the General Prosecutor's Office, located in the Brussels courthouse, I can inform you that the criminal proceedings did not provide any information which could lead to the identification of the authors, nor to any connection with the files processed by this magistrate. The other issues relate to the ongoing criminal investigation. In order not to endanger this criminal investigation and to preserve the presumption of innocence and the rights of the defence and in view of the secrecy of the investigation, no further information may be provided. I can confirm, however, that the criminal investigation is in its final phase." With regard to the third set of questions concerning the number of criminal transactions allegedly carried out during the interim period between 16 May 2011 and 11 August 2011, the Prosecutor General of Brussels informed me that there were no official statistics to answer this question, since the computer system did not allow the specific registration of this transaction at that time. Indeed, it was only after the entry into force of a joint circular of the Minister of Justice and the College of Attorneys General of 30 May 2012 that criminal transactions were specifically registered in order to enable the Public Prosecutor's Office, if necessary, to report on the number of criminal transactions or those that were refused. However, according to a manual check carried out at the five public prosecutors' offices, in addition to the case in question, there appears to have been, without absolute certainty, only one case within the jurisdiction of the Antwerp Court of Appeal, where a criminal transaction has closed the proceedings for some defendants, while others prefer to continue the proceedings. I have no further information on this point at this stage.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u26	Minister, I welcome the effort. Usually, it is much more difficult to obtain information. However, I am still hungry for specific questions that have been asked. You will allow me, on the basis of the last part of your reply, to confirm my astonishment at the FPS Justice's inability to provide more accurate statistics and information on the number and nature of criminal transactions. I think this is a real gap on the part of the original law. I'm coming to your point one. From the outset, our group has challenged the way in which we legislate without the advice of the Council of State. In the meantime, the text has been broken by the Constitutional Court in an extremely rapid manner. The substance of the text creates a form of justice that allows those who have the means to escape punishment. You recalled the legislative path of the text, which we know, since we were on the front line on the file. You will confess that it is not common to vote at the same time a law and a law correcting it. You will also admit, and this is one of the elements of the problem, that you have failed to bring the two laws into force at the same time. We stressed this and until the last moment we had tabled amendments to try to avoid the current problems, but they were rejected. For the rest, with regard to the application of the directives given by the Minister of Justice and relayed by the Attorneys-General, I can only be surprised that the law in Belgium is applicable everywhere except at the Brussels Public Prosecutor's Office and the Antwerp Public Prosecutor's Office, since you indicate in your reply that a choice has been made at the Brussels Public Prosecutor's Office and the Antwerp Public Prosecutor's Office to provide for an exception to the rule of non-application of the law between May and August 2011. I can only be astonished by this fact, which is confirmed by the fact that there is, if we understand correctly, a case which has been the subject of an amicable criminal transaction. As far as the matter before us is concerned, you confirm, Mr. Minister of Justice, that there has been no written report and justification by the Advocate General for the reasons which might justify an amicable criminal transaction. Why? Why didn't you abide by this rule governing what was already an exception, which eventually allowed a transaction to be implemented on June 17th? What justified, on the merits, the granting of a criminal transaction on 17 June 2011 without a legal basis to Mr Chodiev and his two acolytes? This question remains absolutely unanswered. It alone, Minister of Justice, justifies our request to set up a commission of inquiry. I think this Parliament should be able to hear the then Attorney General, the Advocate General and the judges who, on 30 June, validated this transaction, which had no legal basis. You have made the effort to answer me a little more precisely than you usually do in this case, on which I have been following you for a few years now, and your predecessors too; please excuse me, but I am doing my job of controlling the executive. However, there are still areas of shadow which are enormous in terms of the motivations for decisions, not only in contradiction with the circulars of the prosecutors general, but literally illegal, without a legal basis, and when we are also aware - as the press has reminded us - of the external pressure exerted on the Belgian State in this matter. So we've also touched the legislature. Our Parliament has legislated in an absolutely unqualified manner. Someone or a few people in the government are convinced that it was the Kern to make these amendments to the law and the judiciary is also involved. Why? I ask myself the question and I think it really deserves further parliamentary investigative work, minister.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u27	Mr Minister, I would like to join Mr Gilkinet's thanks for all the elements that you have given us, both the summary of the course of the various legislations and the elements that have been put in place to respond to certain problems. I'll come. In addition, you reminded us of the situation with regard to statistical issues, etc. The first mistake in this case is that it is not realized that there is no transitional provision or date of entry into force in relation to the first text to be voted on. The then minister of justice realizes this and rightly says: "Okay, we're going to make a law of reparation! I have to take an attitude and a measure. So I'm going to check with the College of Attorneys General. Let's fix this first mistake." I believe that when the Minister of Justice asks for a directive, a circular from the College of Attorneys General, he has an interesting approach. That's right, the law is there, it's regular. It was voted and promulgated. It has entered into force. She's here! Someone decides to apply it; it applies it. To say that the legal basis is questionable, I hear it well, but there are courts and tribunals to say so. That is what our Constitutional Court will say. In any case, the legal text is there. It was voted by parliament. It is published and in force. But what about its implementation? As we know, it's the prosecutors who say at some point, "Sir, I'm offering you a deal." They don't have to. At that time, the initiative of the Minister of Justice is to say: "Attention, we are going to make a law of reparation. I want a circular from the Attorney General's office. So I don't want the King's prosecutors, prosecutors general, auditors and others to implement the law and therefore make proposals." The circular is binding on all when it is issued by the College of Attorneys General. I do not understand why it is an individual circular, from each prosecutor general, addressed to his general prosecutor's office, to the various prosecution offices of the king's prosecutor or to the auditorates. The strength of the circular of the College of Attorneys General is much more important - it is binding on all, without any discussion possible - than the individual circular of each of the Attorneys General. I have no doubt for a second that you will still be digging into this case, as you have done so far, for the reasons why the College of Attorneys General does not make this kind of decision. Each Attorney General therefore sends a circular copy, which you have told us, to his Advocates General, to his Prosecutors of the King, to his auditors, etc., while specifying that there is the possibility of a transaction if the circumstances are special. It therefore requires a report to the Attorney General and prior agreement. I have not heard that it does not apply to the Advocate General, that he may not comply with the procedure. Unless the circular says something else. It would be wise if it were tabled in Parliament, if all the documents were tabled in Parliament. I'm not doing the same analysis as you. It is not because it is Advocate General De Wolf who makes a proposal for a settlement, since he is seized of the case, that he must not write a report to his Attorney General of the Court, in order for him to sign his prior agreement on the report in question, to justify that these are indeed special, exceptional circumstances. These are important elements. There are clearly instructions that have been given and that are not followed. There's a request for a parliamentary inquiry. There are clearly elements that need to be developed in this case. I asked you earlier about the possible initiation of administrative and/or disciplinary procedures. I finally got the answer. These procedures have obviously not been initiated. The Attorney General was of the opinion that this was not a problem, since he is a member of the Public Prosecutor's Office and, therefore, the circular did not apply to him, if I understood correctly. I find this particularly short. When we ask for justifications, it applies to everyone, whether we are the first Advocate General or Advocate General. I thank you for reviewing the statistics, but I admit my astonishment. In Belgium, we are compiling statistics on everything, even more so within the Ministry of Justice. You tell us that there has been no official registration, but that your department is now in charge.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u28	[[...]]
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u29	In general, there are statistics on everything that is possible and imaginable. This is even part of the work of the magistrate, who is obliged to prepare reports. I am surprised that both files were not reported. I am thinking in particular of the one on Chodiev. I assume the other is within the jurisdiction of the Antwerp Court of Appeal. I hope he's not a jeweller or a diamond dealer. Clearly, the press seems to indicate that it was only in these two cases that these laws were applied, namely, diamond dealers and Kazakhs. I believe that we will, unfortunately, still have to discuss this matter.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u30	Minister, thank you for your answer, which does not clarify the whole issue, but has the merit, at the very least, of accrediting the malaise surrounding the Chodiev case. Indeed, we already knew that, for the legislative power, the procedure followed in the House had been particularly twisted. But, moreover, when you describe the way in which the two criminal transaction files have been dealt with by the judiciary, we can only note that, again, we are faced with exorbitant procedures. I'll qualify them that way for the moment. The real question is: now that it is established that Mr. De Decker did a job as a lobbyist, so let's call it (he himself says he did a job as a lobbyist lawyer), it is to know who, within the government of the time, who, within the parliament of the time, who, within the judiciary that knew this Chodiev case, knew the purpose of the steps taken by Mr. De Decker to have the law passed and perhaps to have it applied in a certain way to a particular case in the interest desired by the highest French political authorities. That's the real question! Which magistrates, which members of the government, which ministers, which parliamentarians knew the purpose of the whole process set up to finally achieve the result that Mr Chodiev achieved? This question is legitimate. This issue must be dealt with by the judicial authorities in the context of a criminal investigation, provided that the facts can be criminally qualified, but they must certainly be politically qualified in the light of the gravity of the approach requested by the entourage - there too, it would be necessary to identify who, in the entourage - of the then President of the French Republic, in order to obtain the result which was finally obtained. This is perhaps the most disconcerting thing: how can we believe that this work could not be carried out in the interest desired by certain authorities in France, without the help of several speakers to achieve the desired result? This is the real question we cannot escape! Some will, of course, evacuate him and will be complicit in what I call a state scandal if the facts are confirmed, or there is still a break in transparency in this country and we must accept the parliamentary committee of inquiry.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u31	Mr Minister, first of all, what appears is that these circulars, of 18 May 2011 for Brussels and I no longer know what date for Antwerp, give instructions that do not correspond to what the law imposes, if I have understood your answer correctly. It's still challenging. Not only are we in a transaction arrangement, which is already tailor-made, and we have the impression that, in the context of this tailor-made arrangement, we are still tailor-made in the two particular cases of Brussels and Antwerp. You're telling us that the circular was asking for a report. However, there was no such thing. For me, there are two concerns: first, we do not even respect the conditions imposed to violate the law – if you pass the phrase – then, without this report, we do not know the underside of the case. I'm not saying he'd deliver them all, but we don't even know the beginning. So your answers are very problematic. They confirm what has been published in the press, but bring more questions. You did not answer my question about whether it is true that Chodiev's lawyers wrote the text of the transaction themselves and even a draft indictment. You also did not answer – what I may understand – on Mr. From Wolf, who is on top of the judiciary, legislative and executive branches. Finally, I have two conclusions, Mr Minister: that a commission of inquiry should be even more necessary after your replies; that your answer and this whole case confirm the position taken from the outset by the PTB against the criminal transaction extended to these financial crimes. We did not vote against it at the time. The PTB ruled against it. Without parliamentary representation, we have spoken against and continue to do so, as this type of business shows that in such transactions there is a whole series of conflicts of interest and dubious ties. This is intrinsic to these types of provisions. That's why we have to get back to it.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u32	In recent weeks, since the closure of the refugee camp in Calais, we have seen in the vicinity of the port of Zeebrugge that again many refugees are trying illegally to make the crossing to the United Kingdom. Over a hundred people have been arrested in the last two weeks. Those who have to maintain order there note that the refugees are very assertive and sometimes even very aggressive. They are well prepared and operate in large groups. I do not think I need to tell you about this; you have undoubtedly heard this through the media. Not so long ago, we adopted the law of 20 May 2016, which criminalizes entry into the port with a one-year prison sentence when an illegal person makes a habit of entering port facilities. More and more refugees are being apprehended now. In our committee there has been a long discussion about the definition of the term habit: is that once, is that twice. I believe that it is more than once when one speaks of a custom. How exactly is the concept defined in practice? Apparently, asylum seekers have already been arrested according to the article. Some of them have indeed already made a habit of it, according to a review. How is the concept of habit implemented in practice? On the basis of how many files do we get that description?
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u33	Mrs Dumery, on your question of how, in legal practice, the legal concept of Article 564/2 of the Criminal Code in the case of the activities in question is to be applied, I can tell you the following. In the judicial district of West Flanders, where the problem arises, legal proceedings have already been instituted several times on the basis of Article 564/2 of the Criminal Code. The pressure exerted by smugglers and transmigrants on the West Flemish seaports and mainly on the port of Zeebrugge is the cause of this, because it is frequent, and during certain periods almost daily, that the port in question is invaded. The Public Prosecutor's Office shall act in accordance with the letter and the spirit of the Law of 20 May 2016 on ingress into port facilities. The preparatory work for that law stated that the mere repetition of the same fact or crime is sufficient for the concept of habit. Reference was made to the terms in Article 434 (f) of the Criminal Code on trafficking in human beings and to a judgment in cassation of 22 June 1999. Those who enter the port only for a second time can therefore legally be prosecuted for the intrusion with the aggravating circumstance of habit. In accordance with the preparatory work, the prosecutors shall at least take the appropriate measures, in accordance with the principle of opportunity. So far, they have taken the policy option not to prosecute first and second intruders and to give the intruder the opportunity to comply with the law in the future. This means that, at the earliest, in the event of a third intrusion, the person concerned shall be prosecuted by means of a subpoena before a proper court. In the event of a subsequent intrusion by the person concerned, a lead shall be given to an investigating judge and the arrest of the intruder shall be requested. In all judgments handed down so far by the correctional court of West Flanders, the aggravating circumstance of the custom was proved, in accordance with the prosecution's claim. A total of 12 judgments have been passed up to today. There are other cases pending before the court. It can therefore be concluded from that case-law that three times of entry into a port can in any case be treated as the aggravating circumstance of the custom. Finally, at the level of the police, the shipping police in particular, as well as at the level of the parquet and the magistrate, sufficient capacity was released to react ad brakely to the intrusions.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u34	Mr President, I would like to thank the Minister for his clear answer. The figures alone show that we in Parliament have done well to approve the legislative amendment. Once again, I would like to thank my fellow Members who have done so. With both the majority and the opposition, we were able to introduce this change very quickly, much faster than what we are used to in Parliament.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u35	Minister, there are a lot of nurses working in the prison medical service. Many of them have been working with temporary employment contracts for years. A number of recruitment examinations for statutory nurses took place during the past summer, i.e. not for temporary work places. The intention was to quickly accept the success, because by the end of 2016 the contracts with the temporary agency would be terminated and therefore no nurses would come from that office. However, we are currently November 2016 and would still have no recruitments; the end of the year is in sight. Minister, how many nurses with an interim contract are currently working in the Belgian prison system? How many nurses will be recruited by law? How many candidates passed the exam? Can you confirm that the contract with the interim office expires at the end of 2016? Will the new nurses be recruited by then? If not, what measures will you take to ensure that nurses in the prison medical service can continue to work optimally in 2017? What is the possible reason for the delay? Thank you for your answer.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u36	Mrs De Wit, 60 full-time equivalents are being used in the interim. The selection procedure of September 2016 resulted in 21 French and 22 Dutch laureates. The aim is to guarantee the operation of medical services in prisons with their own staff. This is independent of the quality of care provision. Interim staff are as high-quality as their own. However, it has to do with the stability of the work situation and with the cost of providing care. Interim costs are one and a half times higher. In order to be able to recruit legally, sufficient financial resources are needed on the staff envelope. This is fully supported by the budget requests and by the discussions on the 2017 budget. A transitional period will therefore be necessary to ensure that the necessary care is maintained and that the use of temporary nurses can be stopped. I am talking to Mr De Block to optimise and better manage medical care in prisons, both financially and in terms of quality of care. I hope to achieve a breakthrough in 2017.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u37	Minister, I note that by the end of 2016 you will probably not be fully ready with the implementation of statutory staff and that there will therefore be a transitional period so that medical support can continue to work. That's very reassuring. After all, it would be bad if that support stopped. We have experienced this with the CAP. If this also happens to ordinary nurses, we really have a problem in our prisons. It is certainly good that you are looking for a way to optimise care both in terms of quality and in terms of cost efficiency. As long as we don't fall into a gap, we're fine. So I note that there will be a transitional period, which will remove a great deal of concern.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u38	Minister, the potpourri I Act of October 2015 has substantially amended the advice of the Public Prosecutor in matters relating to minors. The cases are still notified to the prosecution, but the advice has become optional. The prosecution therefore no longer gives an opinion in all cases, but only when it considers it useful. The family court can also always ask the public prosecutor to give advice and then the advice is mandatory. The new legislation creates many practical problems in the organisation of hearings in the family court in the field. First of all, the new regime is applied differently from court to court. The parties and lawyers must be properly informed in advance, as there is no homogeneous application. Furthermore, in some courts, hearings are divided into files and files without a public prosecutor's office. The problem is that this distribution is not made known in advance and that, moreover, there is no line in which files with and which files go without a public prosecutor. That creates a lot of frustration during the sessions. I have the following questions, Minister. Are you aware of the practical problems posed by the new regulation? What's your reaction? Will you take an initiative to find a solution and, if so, in what way?
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u39	Mrs Lahaye-Battheu, I have so far been informed of no problems with regard to familiarity in family matters with minors. Questioning by my administration at some civil offices shows that the organisation of the communication and the provision of advice are very diverse in practice, but that is not surprising in itself. As you know, this is also the case, among other things, with the organisation of the inaugural sessions at the family court, the demand for personal appearance, the hearing of minors and the functioning of the chambers for amicable settlement. The legislator has left a great deal of room for the family courts to organise their own proper functioning. However, with regard to the issue raised by you in particular, we would point out that Article 765/1 in conjunction with Article 764 of the Civil Code provides that, in order to ensure some uniformity in practice as well as to provide advice in cases in which it is indispensable or at least useful, the College of Attorneys-General was given the power to issue binding guidelines for the provision of an opinion in cases which may be disclosed under the law. In accordance with these provisions, the circular COL13/2015 of the College of Attorneys General was issued in the courts of appeal. The so-called "Justice Directive' relating to the opinion of the Public Prosecutor in civil matters pursuant to the Law of 19 October 2015 amending Civil Procedure Law containing various provisions of Justice. I will not fail to inform the College of Attorney General of the difficulties you have raised. The College may take any measures it deems useful within the framework of the powers conferred upon it by the legislator. Furthermore, I believe that it is appropriate to await the evaluation of the functioning of the family courts as a whole, as provided for in Article 273 of the Law of 30 June 2013 establishing a family and youth court, before taking any new measures. This could perhaps be solved by streamlining practices and implementing good practice in all family courts.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u40	Question No 14948 by Mr Christian Brotcorne is transformed into a written question.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u41	Mr President, Minister, I was asking you last month about the establishment of the National Human Rights Institute, which should be set up before the end of this Parliament. I must ask you again, however, because some of my questions were not answered at the time, and some of your answers fed my questions or even my concerns. While you said that all the organisations and associations that defend human rights in the broad sense had been consulted, I was informed that the Human Rights League had not been consulted on this subject since June 2015. I don't know if this information is accurate. In addition, I have not obtained a list of civil society organisations that will be heard in a second round of consultation, nor a specific guarantee as to the protection of language rights and the fight against any form of discrimination based on language. As far as the latter is concerned, you will understand that I expect clear and sufficient commitments since, unfortunately, for many years there has been a legal vacuum on penalties for discrimination on the basis of language. It is well known that the 1997 law – if I remember correctly – aimed at combating all forms of discrimination does not take into account discrimination based on language. You told me that the institute that will be set up will be a dome organization that will oversee and coordinate the existing institutions. However, none of them is competent to combat language discrimination, which remains a serious gap in our institutional system. The Inter-federal Centre for Equal Opportunities, Unia, cannot know about it, although it has expressed its wish in its last report. Minister, I would therefore like to come back to you and ask you very specific questions. Thus, which associations will be consulted again in the context of the elaboration of the cooperation agreement establishing the National Institute for Human Rights? What guarantees can you give with regard to taking into account the problem of combating discrimination based on language? This requirement is essential in that discrimination on the basis of language is the only category of discrimination for which the Centre for Equal Opportunities is still not competent. When will the bill to establish this institute be introduced? How do you intend to ensure the pluralism and independence of this future institute in its composition? As part of your second round of civil society consultation, do you undertake to meet with all the associations concerned, in particular with regard to discrimination based on language?
