ParlaMint-BE_2016-07-05-54-commissie-ic463x.u1	The Prime Minister will provide an answer to these questions.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u23	Mr President, the title of the question was long and the answer will be long, I fear. Mr Buysrogge, I always take note of the recommendations made by the Standing Supervisory Committee on Intelligence and Security. The National Security Council has quickly set out a number of priorities with which the services were asked to work. This decision has led to the establishment of a number of platforms within the framework of the Information and Security Coordination Committee. Different platforms are important in the context of your questions. They are working on the following priorities. Firstly, the protection of scientific and economic potential and counter-espionage. The VSSE and ADIV have been instructed by the National Security Council to develop a vision and strategy on the protection of scientific and economic potential and counter-espionage. Meanwhile, intelligence services are continuing to follow up traditional espionage activities and the threat to scientific and economic potential carried out by foreign intelligence agents. It shall monitor and sensitise the strategic, economic and scientific sectors that may be endorsed by foreign powers in relation to risk derivatives, threats, protection measures to be taken and action to be taken in the event of incidents. The two services also play a preventive, advisory and supportive role for the benefit of stakeholders. Second, cybersecurity. The CCB, together with the partners concerned, finalises a national contingency plan for the management of cyber incidents that may have an impact at national level. Integrated and centralised management of the vital sectors is necessary. These sectors include critical infrastructures, the vital functions of public authorities, scientific and economic potential and other sectors such as health. The cyber intelligence aspect is also part of the work of this platform. Structures and processes need to be established to continuously inform Belgians about the cyber threat against Belgian critical information processing systems, to sensitise users, to protect these information processing systems and to neutralize attacks on these systems. Among other things, the CCB asked the OCAD to analyse the threat of cyberterrorism. In the context of this analysis, cyberterrorism is defined as follows: "Cyber attacks targeting certain societal pain points, such as critical infrastructure, energy, banks, for ideological or political reasons, to achieve their goal of influencing society's collective psychology through terror. These attacks may be aimed at the networks themselves, but can also be used to hit computer-controlled systems." This definition means that the analysis of the OCAD does not only cover the classical use by terrorists of the Internet as a tool to spread their propaganda, for example. The OCAD submitted an application for contribution to this analysis to the Federal Police, State Security, ADIV and CCB. The contributions of these various support services are expected by mid-August 2016. Thirdly, classification, authorisations, certificates and safety advice. One of the objectives of this platform is to optimise the security of communication and information systems. This also means determining the organisation of the complete secure architecture, management and other modalities of a national encryption system. The platform is also working on the development of a national governmental secure network for classified and unclassified information. It is also necessary to establish a accreditation strategy for the classified networks. Currently, the approval of the classified networks is carried out by the ADIV, which also takes the leading role in the processing of a renewed national cryptomodule. Fourthly, the critical infrastructure. The CCB has launched a project to implement an early warning system focusing on critical infrastructure and vital sectors to automate and improve the management of information on the threats and communication with the various institutions concerned and threatened. That system will monitor information from secure and numerous open governmental or commercial sources, analyse existing threats, latest trends and suspicious information, handle information and allow additional information to be added and then communicate it in ready-to-use form and in a fully secure manner with potentially threatened vital sectors. The system will be developed in 2016. The platform shall also examine the extent to which those projects could lead to the amendment of the law of 2011 on critical infrastructure. On cooperation with foreign intelligence services, a draft directive is being prepared in accordance with Article 20 of the organic law of 1998 of the intelligence and security services. You will understand that the drafting of the text of the vision has come at a lower pace, because our security services are making maximum efforts to protect our fellow countrymen in both the interior and the outside world.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u24	Thank you, Prime Minister, for your detailed reply. We live in times of terror. It is therefore important that this government pays sufficient attention to a tough approach to terrorism. At the same time, unfortunately, the world also continues and there are other threats that deserve attention. In the past, too little attention has been paid to the security of our economic potential, such as security against espionage. According to the Committee I report, the situation is particularly acute in the telecommunications sector. The fact that we still do not know what we can call critical infrastructure is a pity. It is therefore a good thing that the government has finally set priorities with the many services involved. It concerns the Centre for Cybersecurity Belgium, but there are many more services involved, such as the intelligence services, the OCAD, and you name it. The Centre for Cybersecurity Belgium has an important role to play in coordinating matters. The first work is, of course, to make good analyses and to map out the current situation. I have heard you put on some interesting elements, such as the emergency plan or the earlywarning system that has been developed. It is also important to define follow-up steps. I will certainly come back to that. I am satisfied with the way in which it is handled and I note a contrast with the past approach.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u25	Mr President, first of all, this is not a confession. I must honestly say that I am not looking at the program, but that a loyal fan of the Royalty VTM program has reported this to me. The broadcast on 12 June claimed that Prince Laurent's personal expenses of EUR 16 000 wrongly spent on his operating and personnel costs were refunded to the State and that you would have informed that you had received a copy of it. On the other hand, the Budget Department claims that the amount has been repaid, but it does not know where it can be found in the budget. We had to receive that information from the Court of Auditors. After all, Parliament itself has insufficient access and no control over this matter. Parliament only receives a general activity report but cannot consult or verify the effective figures in the accounts of the members of the Royal House. Nor can Parliament check whether there are surpluses on operating costs. However, the law provides that Parliament should be able to exercise that control. My questions to you, Prime Minister, are as follows. Firstly, can you clarify those claims about Prince Laurent's personal costs of EUR 16 000 stating that you would have received a copy of them? Secondly, how do you explain that this is not reflected in the budget as claimed by the person responsible for the Budget Department? Thirdly, do you believe that there is a need to amend the law in order to give Parliament control powers and extend them so that Parliament itself can consult and verify the accounts of the members of the Royal House without having to go through the Court of Auditors? Will the government take initiatives along these lines or is nothing in the coalition agreement so that nothing will come of it?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u26	The Law of 17 November 2013 on the donations and allowances granted to members of the royal family, as well as the transparency of the monarchy's finances, aims to increase the control and transparency of the royal family's finances. Thus, in accordance with Article 14, the first chairman and the chairman of the Court of Auditors shall examine the legality and regularity of expenditure in terms of operation and staff. On Prince Laurent's 2014 expenditure, the Court of Auditors made a few comments on this last part. These comments were included in the Court of Auditors' report of 29 October 2015 submitted to Parliament. Since the law only provides for the audit of the Court of Auditors and the Court of Auditors is not competent to declare an amount invalid, I contacted the Court of Auditors to find out the amount in question and then to inform Prince Laurent. This amount, which amounted to EUR 16 093 for 2014, was repaid in full on 6 January. This is the first time that such a situation has occurred and that the members of the royal family, as defined by law, submit an activity report.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u27	Prime Minister, I did not receive any answers to my questions. I also received that report from the Court of Auditors. I have read the comments in them, but I have not received any explanation as to why the Budget Department does not know where to find the refund. Nor have I received an answer to my justified plea for greater transparency and above all to ensure that, as the law requires, the powers of Members of Parliament are extended to monitor and verify figures themselves without the detour of reports from the Court of Auditors, while the Court of Auditors has no powers to intervene, as you yourself say. I can assume that your answer covers the opinion of the entire government. You would contradict me if that were not the case.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u28	Mr President, Prime Minister, very recently the former chairman of the N-VA group in this House, constitutional specialist Hendrik Vuye, raised the question of whether Queen Mathilde should receive personalities in audience. The reason for this was an audience of the President of the World Bank with the Queen. According to Mr Vuye, that is not the case, because no one is politically responsible for the conduct and conduct of the political activities of the members of the Court. This is only the case for the King, the Head of State, who is covered by ministerial responsibility for his political actions. For the other members of the Court, a political position is not allowed, precisely because they are not ministerially covered. The Court has reacted rather provocatively by stating that the Queen has already given audiences in the past and that this would happen even more. They also stated that this had been done in consultation with the government, in particular with the Minister for Development Cooperation, Mr De Croo, who also confirmed it. Finally, the Palace's website on the role of the Queen stated: "As a UN recipient of the sustainable development objectives, it will take the opportunity to discuss the plans of support for and implementation of the sustainable development objectives by the World Bank. It is built on earlier discussions that the queen had with the World Bank in Washington DC and at the World Economic Forum in Davos. The audience will take place at the Royal Palace in Brussels. The spokesperson of the Palace added that it was not a political meeting at all. I think that is a very curious statement. The World Bank is undoubtedly an institution that plays a political role in the world, so meeting with its President does not seem to be a non-binding event. If this wasn't a political meeting, then what was it? First of all, Prime Minister, are political acts of members of the Court other than those of the King? Are they ministerially covered or are you following Mr Vuye's statement that this is not the case? Secondly, can members of the Court, apart from the head of state, personalities, political leaders, leaders of institutions that count politics, receive in audience? If so, what are you basing yourself on? Thirdly, do you think that the Queen's audience with the President of the World Bank had a political character? If not, what do you think was the nature of the meeting? Is the meeting politically covered by a minister or the government? Finally, if the meeting was ministerially covered, I would have liked to know the subject. What agreements have been reached or what conclusions can we draw from that discussion?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u29	Mr President, Mrs Pas, the Constitution provides only for ministerial responsibility for acts of the King, but not for acts of other members of the royal family. In this case, the Queen's meeting with the President of the World Bank was part of the contacts that the Queen has with various actors in the context of her designation by the Secretary-General of the United Nations, as an advocate for sustainable development goals, such as Queen Rania of Jordan. This designation was approved by the Minister for Foreign Affairs and by the Minister for Development Cooperation and the preparation of the meeting took place in consultation with the Government. For many years, the royal family has been committed, here in Belgium as well as in other countries, to major themes on which there is broad consensus and general social concern. This kind of commitment has no political character. It has nothing to do with expressing a political position and has been a traditional practice for a long time.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u30	Thank you, Prime Minister, for your reply. You say it wasn't a political meeting, but I doubt it. However, I did not receive an answer to my question as to whether anyone other than the Head of State would say that the law requires only the Head of State to be covered by the Ministry, i.e. another member of the Royal Family, to receive someone in audience. I will read your answer carefully and ask for further clarification in writing if necessary, because that is not clear to me with the answer you gave me today.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u31	Just a little improvement. It is not Rania of Jordan but the princess of Sweden, who has also been referred to by Mr Ban Ki-moon.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u32	Mr Prime Minister, since last week's plenary debate, things have changed and news has come after the Brexit. Last week, debates on this matter were launched in the European Parliament. Today we could already see that fanatic Verhofstadt interrupts any Brit who takes the floor in the European Parliament because he feels that they no longer have the right to speak of it. He repeated his plea for a European superstate. Unfortunately, that dogma continues to exist even after the clear result of the Brexit. We have the dogma in mind that, if things are going well with the European Union, there must be more European Union. However, if things go badly with the European Union, the solution is also more European Union. First of all, Prime Minister, do you support Verhofstadt's plea? Are you still convinced that more European Union is the solution? After all, I believe that we should take advantage of the opportunity to obtain the opposite. Secondly, in the meantime, it has become clear that some of the things that scared us in the Brexit area are not running at all. For example, the fairs have already recovered after a few days. The FTSE is now even higher than before the referendum. We can see that many countries have already applied to enter into free trade agreements with the United Kingdom. Even on a local level, there are already positive effects of the Brexit. I can talk about my own city, which is now hopefully able to use the low interest rates in the United States, to finally get rid of a cross-border lease. Do you already have a general view of the consequences, not just the economic but, of course, the political consequences, of the Brexit? What is your preferred approach? Can you explain more about the approach you will be defending in the European Union?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u33	After last week's debate, Prime Minister, I would like to present three more elements to you in plenary. A first element is the strengthening of cooperation. I was struck by this debate by the fact that a number of group leaders, including Patrick Dewael, raised the question of Belgium's position on enhanced cooperation. You did not really answer that question in your answer. Maybe you can do that now. What commitments could Belgium make in this respect? Secondly, I would like to present to you a case of a couple consisting of a Belgian man and a British woman who has lived in Belgium for a long time and has moved to Great Britain. The British woman wants to apply for Belgian nationality. I am well aware that it is not your competence, but naturalization may be a solution here. Nationality declaration cannot be because they do not live in Belgium. Is naturalization an option? Naturalisation can be done for people with great merit to our country, but there may be a specific problem as a result of the Brexit. Thirdly, during the debate in plenary, the leader of the N-VA group said very clearly that he rejected the idea of an ever closer union. I would like to ask whether that is the Belgian position?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u34	Mr Prime Minister, last Thursday I focused on two points. First of all, what about the Brexit negotiations? Secondly, how do we see the future of Europe? Since Thursday, I have seen a few developments on these two points and I would like to hear more from you. Firstly, as regards the Brexit negotiations. If I follow the difficult-to-follow developments in Britain, then it seems that all the chancers of the presidency and thus the British Government's presidency have announced that they will not call in Article 50 soon. Some speak of the end of this year, others speak of not even this year. How do we view such an attitude? What can be done about it? The Commission would examine whether Article 7 of the Treaty could be invoked to exert pressure on Britain. Article 7 states, quite simply translated, that each Member State must fulfil its European obligations and its European interests. It could be seen that continuing to drag on with the invocation of Article 50 is tantamount to damaging the interests of the European Union. Perhaps there are other means, but as far as my group is concerned, I do not think we should stand by and watch the British behavior getting clearer and clearer. What's the government's position? Secondly, many statements are made on the future of Europe. The meeting between Mrs Merkel, Mr Hollande and Mr Renzi was perhaps the most important meeting there was. A few things came out of that. Has the government been involved in this before or after? How do you view that? Finally, I read in the international press that some countries have already prepared their teams to measure the damage caused by the Brexit, for example in the economic field, and to assess the impact on the legislation, as Mr De Vriendt has just said. Is that what you're doing? Do we have such a team? On our return in September, I would like to see a good note outlining the potential impact of the Brexit on our economy and our social system.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u35	Mr President, Prime Minister, we will not debate again as we did last Thursday. I wanted to know the situation and its evolution since the plenary debate on the modalities of this Brexit. I am pleased that the 27 agree that this should be done in a clear and clear manner and in the shortest possible time, in order to avoid any uncertainty. This unanimity must be stressed. It is curious to see that all English arsonists go on vacation today and are in the process of marching. Obviously, these candidates for Brexit did not have a plan for the post-Brexit and, paradoxically, it is the opponents of Brexit who will have to negotiate this Brexit, which is a climax! It would be interesting to know what arrangements would be put in place in Belgium, particularly in relation to those negotiations. I am pleased that the four fundamental freedoms of the market are inexcusable. It is timely to remind the English. We can't have butter and butter money... It is important to confirm this and to provide us with some additional information in relation to this scenario. Secondly, for the future of the European Union – I think it is the most important – you have mentioned certain elements as well as certain projects. What areas will Belgium place particular emphasis on? There is one area in which you are going to invest yourself in the next few days: the question of collective defence. In Warsaw there will be a question of European defence, but other areas, such as internal security, will be discussed. It would be interesting for Belgium, for my part, to choose one or the other theme that it can really bear for the future of the European Union. Finally, I see a certain float, and that is an understatement, in the way your government intends to address this issue. I was very shocked by the terms used by Mr. From Roover during last Thursday's session. I've read the transcript again. Four parties defeated the European elites: the Vlaams Belang, the N-VA, the People's Party and the PTB. It's no coincidence. Only populist parties use these terms. It is rather regrettable to observe the terms used to castigate Europe: "Small elitist group, technocrat, bad loser". It is quite serious to describe Europe as that. Another element seems serious to me. On the occasion of this debate on Brexit, the N-VA came with the debate on borders, the right of peoples to self-determination, arguing that this is a fundamental right proclaimed by the United Nations. It's totally out of the question! This is not the right of peoples to self-determination! Britain has not changed its borders. I was very surprised to observe that on the occasion of the Brexit, Mr. De Roover came with such a debate, because it was totally alien to the question. It was rather the agenda of the N-VA that appeared. You really find yourself in a complicated political situation, with a sincere will to move forward, but with a real Europhobic ball within your government. The terms used by Mr. De Roover in his speech are clear. How are you going to cope with such a political situation?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u36	Mr Dallemagne, of course, this debate is taking place a few days after the plenary session. Since Thursday, few new elements have objectively emerged. But I hope that we can go back to one or the other point to clarify a number of messages. In my view, there are two different challenges for the next few months. The first challenge is to see what cooperation between the UK and Europe will be possible in the coming months. I am very clear about this: I think it is very important to get a notification as soon as possible. I think the uncertainty would be a bad thing. I believe that the political pressure of the 27 Member States on the next government in the UK will be the best and the unique tool. At some point, financial or economic pressure may also have an impact. I have heard the first statements from one of Britain's candidate prime ministers. I note that the timing is at the end of this year or early next year. If that were the case, that would be a problem. I'm pleading for certainty. That will be Belgium's position in the European institutions. In order to exert real pressure in this regard, it is also necessary that the 27 Member States continue to share an important position, in particular: no negotiations, neither informally nor formally, without notification. There is a risk that the British Government will try to hold informal talks with a number of Member States individually on the forms that a new cooperation with Europe can take. The first priority is therefore relations between Europe and Belgium. I confirm that Minister Peeters has set up a task force. We have also decided to strengthen the diplomatic teams of the Minister for Foreign Affairs. I also intend to put an item on the agenda of the Consultative Committee in the next few days to see what coordination we can organise with the Länder in this perspective, including in order to look at the problems of economic impact. I have been able to look at a number of studies on the economic impact before the referendum, but there are still many questions. No one today knows what forms the relationship can take in the future. This is difficult to determine in a study, without knowing what choices we will make. Depending on the choices we make, different consequences are possible. The first is, therefore, what will be the future of cooperation between Britain and Europe? The second challenge is a renewal project, a relay project for Europe. I note that everyone, each with his individualities and discourses, agrees on this. Mr Dallemagne, all the parties that you mentioned, as well as others, from both the majority and the opposition, considered, each with its own words and its sensitivity, of course, that this vote was a radio alarm. I used the term "clash" or "gif" for the European project, which I believe to be. Nevertheless, I note with you that this project does not only pose a problem of communication and explanation. The conviction that we are many to share and that I have observed in our Parliament and at European level is that we must reason every time to close union, to take up the expression of Mr. De Vriendt, and plead for a Europe closer to the citizens by developing precise and concrete projects, whose pragmatism would be perceptible by each of them. As I have said on several occasions, because I am convinced of this, I am fully convinced that our fellow citizens, especially the younger generations, do not spontaneously measure the added value of the European project and cannot make – Mr Van der Maelen, you have spoken of your personal experience – the difference between the previous century and this one. Nowadays, for the young generation, peace, prosperity and respect for each other are at least for many people, but unfortunately not for everyone, evident values. Now, I believe, a new step is needed, with a lot of pragmatism, a lot of realism and a number of concrete commitments. These concrete commitments, which will be addressed during the September Conclave, for which I strongly advocated, relate to the following points. First point, security. This is very concrete for our fellow citizens. The protection of our external borders is the best guarantee for free movement within the European Union. There is no possible Schengen area without a better exchange of information within the Schengen area. On the one hand, this is the meaning of the NRP, which goes beyond the Schengen framework, and for which the Belgian Government has been at the forefront, and on the other hand, control at the external borders. Security is not just the situation inside. It also means acting together outside the European Union. It is the Defence Strategy, which will be one of the major issues, one of the major debates. An important momentum will take place in a few days. On Thursday night, I will be present until the weekend at the Warsaw Summit. Deuxième point, deepening the internal market. Today, there is no complete internal market. We're very far from it. Why is there no Google or Facebook in Europe? Because there are many barriers in the telecom sector, which is a key sector for the future. It is necessary to ensure that at some point, in a true talk, the leaders of the 27 countries wonder what they can do together to try to broaden and deepen the internal market. This is very concrete to generate growth, added value and employment. Why don't we have big players in the telecom sector? The observation of the map of the world must lead us to ask ourselves this question. We cannot remain insensitive in this regard. Another example is COP21! This is a very important issue. How can we invest to strengthen our capacity to succeed in the energy transition and make it a lever for growth and employment across Europe? The third point is the strategic investment. I am convinced that, despite the Juncker Fund, there is still work to be done. After the summer, a decision of principle must be taken at European level on whether or not to strengthen and extend the Juncker Fund. In my personal opinion, we should do so in the perspective of the strategy for relance and job creation. The clean-up is certainly part of that. In this respect, the majority and opposition in Parliament differ. For us, the clean-up is important. We are paying today's invoices, and that should be the intention, even though I am aware that this is not obvious. It's about remodeling with a perspective. A second structural and substantial reform is also needed to modernise our economy and our labour market. We must adapt the reality of labour relations to the new forms of life in society. Telework is a good example. Make personal, family and working life compatible, but also take into account the fact that companies need to produce more and react more to conquer new markets. So find that new balance. Thirdly, investment capacity. I think that in recent years, in Europe, not only in Belgium but in many European countries, sanitation has been done on the back of investments. It was easy, it was less complicated. We must ask ourselves whether an investment strategy should not be relaunched at the start of a European strategy. In any case, I will plead in this direction after the summer. Here are some things I wanted to talk about: security, employment and growth, strengthening the internal market, strategic investments. These are some key points to try to act on. Much can be done under the current treaties, for example in the area of enhanced cooperation. I'm certainly not in favour of a Europe à la carte. Countries in the European Union must jointly support the project. So I am not in favour of a Europe à la carte, but a Europe at different speeds is the direction we should follow, I think. We should not be hypocritical, a number of countries are not prepared to cooperate so quickly on certain points, but that should not be a burden on the other Member States that want to work faster. Mr Dallemagne, I know the game well and I respect it. It is an attempt to show any serious and fundamental differences within the majority on this issue. I must reassure you, or grieve you, but the serenity on this issue within the majority is maximum and total. With a lot of pragmatism, we have the ability to systematically define a line. Every time I defended a line before the European bodies, as I have just presented one here, I have done so with the support of the four parties that make up the majority.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u37	Mr President, I would like to thank the Prime Minister for his comprehensive reply. I have some elements of reply. As you know, I was, perhaps, the only one in this Chamber, pleased with the outcome of the Brexirefementum. I attach great importance to the sovereignty of nation states and to giving decision-making power to the people. But today it is a reality that both this country and the United Kingdom have an interest in maintaining good relations. The United Kingdom is the fourth export destination for Flanders. It is an important market for all ports: Antwerp, Ghent, Ostend, Zeebrugge. I would certainly like to give you the opportunity not to be led by the discourse I heard from Mr Van der Maelen on Thursday, namely to plead for a hard Brexit. Do not step along with the atmosphere of Juncker and Verhofstadt that the Brexit can only be at a high price. These statements are made out of fear of a domino effect with new referendums and a European disintegration. It is precisely by continuing to move towards more European integration and more European Union that more discontent will be created which will lead to multiple exits. You say that the referendum is a blow to Europe, but I do not agree with that. It is a blow to the European Union and that is a distinction we must make. I am in favour of European cooperation, as everyone seems to me to be in favour of European cooperation, but the outcome of the referendum was a clear statement against an undemocratic, meddling and wasteful European Union that was very far away from the European cooperation that Monnet and Schuman had in mind at the time. So please consider this Brexit an opportunity to opt for a completely different European cooperation. Let us opt for a European cooperation where there is once again more decision-making power on the part of the Member States. Mr Dallemagne, it is indeed a question of sovereignty and self-determination. The British have chosen to re-decide on their own pennies and their own laws against EU interference. That is the debate that must be dared to take place today. Please do not run away towards more European Union, albeit at different speeds. I fear that this is not at all the way we should choose. Moreover, I do not believe that this will be sustainable either. If you choose that road, there will be more exits.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u38	Thank you, Prime Minister, for your reply. Firstly, I honestly believe that, given the historic role we have in Europe, Belgium should take the lead in this enhanced cooperation or in resolving this crisis tout court. I believe that we also have credit with other countries. We're a small country, but I think we have credit. Let's take advantage of that. I hope you will be able to do this at full speed because I have heard the leader of the N-VA say that he rejects the idea of an ever closer union. If you can assure us here that there is unanimity within your government, let us assume that. Don't let them stop you at all. Secondly, you are right to put a number of new themes on the table. Those who support the Brexit, who are in that camp, want a Europe that does more for them, a Europe that does something for them in return. To achieve this, Europe will just need more administrative capacity, including in a number of new areas. So that's an interesting paradox. People who are in the Brexit camp may want a Europe that can do more for a number of themes. For example, when you talk about strategic investments, it was the European Commission that put an ambitious plan on the table. However, a number of national Member States have blocked this. We must not forget that. One last point, that concrete case. My question is really simple: can we do something about naturalization for British people who are married to Belgians who have lived in Belgium for a long time but now live in Britain? There are so many people. My sister's been living in Britain for 12 years. If she reads the statements of Theresa May, for example, then I think there is a problem for Belgians who live in Britain but also for British married to Belgians who now live in Britain and want to become Belgian. The question is, is there anything we can do for these people?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u39	Mr President, Prime Minister, thank you for your reply. I repeat what I asked for last Thursday, namely to be able to have an extensive exchange of views at the beginning of September across the borders of opposition and majority. As far as I am concerned, but also anyone who is looking at this somewhat objectively, the European project is the biggest political project of the last century and remains so, as far as I can see, even for this century. I think it is useful, necessary and necessary that we try to play on all chessboards. The government will play on the government side, and we can play on the parliaments side with our parliamentary diplomacy. A number of Members' meetings are on the agenda for September, October and November. This difficult debate on the future of the Europe of 27 should be prepared as well as possible. I will therefore ask the President-in-Office to be able to sit together for an afternoon at the beginning of September and perhaps some of the fog that is hanging over the Channel and across Europe will be cleared up a little bit.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u40	Prime Minister, you are right to say that European integration is an extremely important project. It is one of the greatest political projects in the history of humanity. I usually say that it is a real project of civilization, in the sense that it places the physical and social protection of citizens at the heart of its political ambition. It is, of course, a valuable project that must be able to safeguard and carry out in an ambitious way. We can join you and support you on the elements you mentioned, particularly in terms of job protection and investment. Despite what you say about your government, and even if I will believe you, I still think you have a problem. I hear, on the one hand, last Thursday, Mr. De Roover said that the idea of an ever closer union is self-destructive and fatal for the European Union. A few minutes later, Mr Miller replied, "We are in favour of a closer union". This reflects a difficulty. It should not be underestimated. I hope that you will strengthen accession and force this closer European construction. But it won't be easy or won. We will be there to support this European project, to move forward and to prevent opposing forces from preventing Belgium from playing its historic role.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u41	Mr President, Prime Minister, I would like to ask you about Belgian space policy because Minister Sleurs is constantly replying to me that discussions are under way in intercabinets and that the project will come soon. According to her, "priority is given to the preparation of the next ministerial conference of the European Space Agency (ESA) to be held in Lucerne on 1 and 2 December 2016. Despite the additional work associated with the creation of the Belgian Space Agency, the Belspo Space Service provides as much care for this preparation as at previous ministerial conferences." It is precisely these two points that concern me: the ESA projects and the creation of the Space Agency. I'm not the only one! The Walloon Minister of Economy was questioned by my colleague Marie-Dominique Simonet on 6 June 2016 concerning the creation of the inter-federal space agency as an autonomous entity and the divestment of the administration of the Scientific Policy for the Management of Belgian Participation in ESA's programmes. The Minister stated in his response that the Region was not seized of anything today, while the economic benefits of the aerospace sector are enormous for Wallonia. It deplores the fact that the cost of the Agency remains at stake, as well as the key to the distribution of economic benefits and governance. For example, the presence of the Regions with a deliberative or consultative voice is still unknown. On 25 February 2016, you received a written question from my colleague Catherine Fonck about Belgian participation in ESA's activities and the current balanced distribution of benefits for each Region, as it seemed that the calculation method, which satisfied industry and scientists, did not suit Minister Sleurs. It wishes to "better respect the regional distribution keys". The industrial fabric in the space sector is more developed in Wallonia than in the north of the country and in this context there are risks of the Flemish political authorities advocating the application of distribution keys through this Agency, which could prove to be unfavourable to Walloon companies. You did not respond very much to our concerns and just said: "The new structure in which federated entities could be involved, as stipulated in the government agreement, will have to allow a much more efficient and efficient mobilization of the federal space resources, while adapting to the new space landscape. This new structure will build on the following foundations: a modern and transparent management structure, statutory missions and management agreement, and a resumption of all federal space functions, personnel and related resources. The projects, which are the result of broad consultation with all stakeholders, i.e. representatives of the sector, trade unions and federated entities, are currently being examined within the government." We are, Prime Minister, a few months later. The texts have not yet been tabled and there are still concerns, particularly among the players in the sector. The Belgian space sector is a real economic challenge with annual turnover of around €350 million, and some 4,000 direct jobs, not to mention indirect jobs. It is therefore essential to preserve it, especially since high technology is in use in the sector. Industrialists are also questioning the modalities and timelines for the establishment of the Space Agency, as well as the economic benefits of ESA projects, in particular in preparation for the ministerial conference on 1 and 2 December 2016. A clear position and structure must have been decided in consultation with the sector before that date. I have five questions, Prime Minister. What have you put in place to ensure the protection of industrialists and scientists, including Walloons, in the space sector? You told us that broad consultation had taken place, which Minister Marcourt does not seem to confirm. Is consultation with the sector guaranteed on both sides of the linguistic border? How has it been put in place in practice? Why are federated entities not consulted, given the importance of economic benefits for each Region? How and when will the key to allocating the benefits of ESA programs be decided? Is the creation of the Belgian space agency really in place with respect for the actors in the space sector on both sides of the linguistic border?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u42	Mr President, I share many of the points you make in your question. As you mentioned yourself, I had the opportunity, in an answer to a written question addressed to me by Mrs Fonck, to give a lot of information on the subject. The activities of the space sector are of great importance to Belgium, for many reasons. The sector has a significant turnover. There are many socio-economic benefits; of course I am thinking of creating direct and indirect jobs. The activities of the sector and their development are a showcase for the talents of our country and must allow us to promote abroad a certain Belgian expertise, in technological and innovative fields, which contributes to the international influence of our country. The government agreement supports the importance of this sector. I do not read you the whole government agreement, but just a passage that probably responds in part to your concern. It states that "the new body must ensure better coordination of space policy in Belgium and aim at an equitable distribution of the return on investment between the different regions. This office will co-ordinate the Belgian position at the international level while ensuring that the interests and needs of the various levels of power are taken into account." In view of all these elements and beyond the mere question of timing, the government's objective is above all to provide Belgium with a structure that allows for a more efficient and efficient mobilisation of the federal space resources, while adapting to the new space landscape. Thus the future space agency will have to consolidate the Belgian position on the international level but also, to the extent possible, strengthen or improve the Belgian position. In terms of timing, I hope that the Secretary of State will be able to table on the government table as soon as possible the texts for which preparation has progressed well and for which consultation has taken place. If some regional ministers feel that they have not been sufficiently consulted, I will ensure that they are able to communicate all their views on the texts that are being prepared. Finally, I also want to support my answer on elements that the Secretary of State had already given you on February 17, 2016 in response to your oral question. I will refer, in the document, to the reply that has been communicated. The federal government will examine in which cases and in what form we will be able to continue the dialogue with the various actors and, as in previous years, will make every effort to prepare for the next ministerial conference of the European Space Agency, which will take place this year on 1 and 2 December 2016.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u43	Mr President, Prime Minister, thank you for your answer. As part of this response, I feel that we are still in a changing environment and that no decision is taken. You're talking about a showcase for talent, but companies are waiting to know where they're going to go and how things are going to happen. You mention the fact that you want coordination to be more effective and effective. More efficient and more efficient than what? Within the framework of the Space Agency, in Belgium, companies were satisfied with the operation and things were proceeding in a relevant way. As far as timing is concerned, you're telling me, "as soon as possible." I understand you're using this phrase so you don't get caught within a specific time frame. However, the ESA conference will take place on 1 and 2 December in Lucerne. Your answers seem to me hesitant. I understand that the consultation will be maintained, even if it is not present at the moment, as is evident from the remarks made by the federated entities. In short, I hear your answer, but it only partially satisfies me.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u44	The combined questions Nos 12676 by Mrs Lanjri and 12908 by Mr Crusnière are converted into written questions. Debates of the European Parliament Mr Crusnière's 12909 was postponed. I myself will ask my questions at the end of the sitting, out of respect for Mrs Onkelinx's presence as a group leader.
