ParlaMint-BE_2016-04-20-54-commissie-ic391x.u1	Mr. Clarinval's question 9942 has already been dealt with.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u40	Minister, thank you for your answer. Of course, I'll come back to you about the in-depth analysis of this escape attempt. You tell me that precise continuing training is organised according to the danger. However, the higher the security of a prison, the more imaginative the means used by potential fugitives and other ill-intentioned persons. It was therefore important that prison staff should not be put at risk. That is why every effort must be made to prevent escape attempts from succeeding. That would, of course, be gravissim.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u41	Minister, the tragic events of this 22nd of March have, as you know, caused a considerable number of casualties. The record is probably not yet definitive, but the press mentioned, a few days ago, the terrible record of 32 dead people, 44 seriously injured and a large number of lightly injured. Unfortunately, it is not in our power to erase the dramatic consequences of these events for those directly concerned, as well as for their families. On the other hand, it is our duty to ensure that these persons are, to the extent possible, compensated and, to this end, accompanied by their administrative procedures. However, a few weeks after the attacks, despite the intervention and the work of the victim support services, organized within the courts, it seems that the victims and their families still do not see clearly, which in turn causes them an additional and understandable disarray. The Act of 1 April 2007 on insurance against damage caused by terrorism provides that most insurances must cover damage caused by terrorism. The same law establishes a system of solidarity embodied by a legal person, the ASBL TRIP - Terrorism Reinsurance and lnsurance Pool - formed by insurers and reinsurers in order to distribute among the participants their commitments in the event of terrorism. It is also provided that the right to subrogation of mutualities and insurers in respect of industrial accidents may be exercised only after full compensation has been paid by them to the injured person or his successors. This recent law, adopted following the Ghislenghien disaster, is now being tested by recent events. Minister, almost a month after the facts, what care can be provided to victims of the 22 March attacks and their beneficiaries? What measures have been taken by the government to effectively facilitate the administrative procedures of victims, given the exceptional scale of events? Does the scheme set up by the above-mentioned Act of 1 April 2007 seem sufficient or does it seem to you, on the contrary, to require further action? What about those who may not have legal protection insurance? What is being done to help these individuals and their families claim their rights to compensation? In terms of compensation, what can the victims of the criminal trial expect about those who have been arrested by the courts? Is an intervention by the Commission to provide financial assistance to victims of intentional acts of violence conceivable in the long run and, if so, does it appear to provide sufficient compensation to victims? Given the magnitude of the events and the large number of victims, I think that you would really do a useful job by informing all concerned of the procedures to be followed in order to be compensated.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u42	Mrs Özen, I will answer partially in Dutch for reasons you know. In 2015, 23.9 million euros were generated. The Financial Aid Commission for Victims of Intentional Violence and Occasional Saviors awarded a sum of € 10.2 million in financial aid in the same year. In 2015, there were 1 281 petitions and 1 333 decisions, of which 995 were positive and 338 were negative. Soon a bill will be discussed in the Chamber which updates the law of 1 August 1985 setting up the Victims' Fund. I can already announce some of the points already included in my policy plan of 10 November 2015: raising the ceilings for financial emergency aid and emergency aid to victims, extending those who are entitled to help, adding the family-in-law and the wider interpretation of the sustainable family, recognising the legal compensation as damages because the victim is first required to conduct proceedings against the perpetrators of intentional acts of violence, facilitating the submission of applications by e-mail and making a model application available. At the Council of Ministers on 22 April 2016, I will submit a Royal Decree on the basis of Article 42bis of the Law of 1 August 1985 adapted by the Law of 1 April 2007 on insurance against damage caused by terrorism, adding a Section 4 entitled "State aid to victims of terrorism". These legal provisions make it possible to extend compensation to victims of terrorism and to adapt, taking into account the characteristics of terrorism, the obligations of persons eligible for assistance under the 1985 Act. The first objective of the royal decree in draft will be to simplify the conditions for submitting an application to the Commission for financial assistance to victims by exempting these victims from the conditions of admissibility, including the lodging of a complaint. As long as no one denies the terrorist character of the 22 March attacks, it is unnecessary to await the results of the judicial investigation or, a fortiori, the results of the criminal proceedings against the perpetrators or accomplices of these monstrous acts. Every effort is made to ensure that the terrorists who survived the attacks they committed are held accountable for their actions before the courts, but I have little illusion of their ability to compensate their victims. The insolvency condition of the perpetrator of the intentional act of violence, which is one of the key elements of the 1985 Act, can already be considered fulfilled. On the other hand, it will be necessary to examine the extent to which victims can benefit from the intervention of private insurance, in particular insurance at Brussels National Airport or STIB, legal insurance taken up by their employers in the event of an accident at work or on the way to work, possible travel insurance, etc. I have had contacts with the insurance companies who have confirmed to me that they are already preparing to intervene. In general, the intervention of insurance is more favourable for victims than that of the Special Fund for Assistance to Victims of Intentional Acts of Violence, which intervenes in the name of solidarity between citizens but never guarantees full compensation. A single point of contact has been established within the Victims Support Fund to support victims of the 22 March terrorist attacks. In addition, the government will take the initiative to proactively search for and support victims and their loved ones, based on lists made available by hospitals. In addition, a working group is developing a national recognition status for victims of terrorist attacks. My department's budget for financial assistance to victims of intentional acts of violence is currently sufficient to meet the demands of victims of the terrorist attacks of 22 March and to continue to process requests for assistance from other victims. I am this issue closely and if additional needs are to be felt, I am convinced that a supplementary budget could be released. I would add that Article 42bis of the 1985 Act also makes it possible to supplement the provision of the Fund to assist victims of intentional acts of violence and occasional rescuers, if necessary, by advances from the Treasury, by loans, by donations and bequests, by part of the profits of the National Lottery and by other income which the King determines. To address your concern about the information to be given to victims, the FPS Justice immediately took the necessary initiatives to draw their attention to the existence of the Assistance Fund. A link to it is highlighted on the homepage of the Justice FPS website. A four-language contact official was immediately appointed to the Commission Secretariat for financial assistance to victims of intentional acts of violence in the person of Mr Olivier Lauwers.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u43	Minister, thank you for your extremely detailed answer. I have no doubt that you are doing what is necessary to provide support and to facilitate the administrative procedures that families or victims of the attacks can undertake to receive compensation. You know that getting hurt, losing someone, grieving is already extremely difficult. In addition, to have to perform extremely heavy administrative tasks - a combatant's journey - is to add an additional difficulty to the pain of families. I have heard that you have created a contact point and that you are developing, with a working group, a recognition status for victims of terrorist violence. I will be attentive to future measures.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u44	Mr President, Minister, in 2014, together with my excellent colleagues Denis Ducrame and Philippe Goffin, I drafted a bill providing for criminal penalties for those who, intentionally and repeatedly – I insist on these terms to avoid any ambiguity – do not pay their rent. It is, in fact, a matter of defending the owners who are subjected to numerous malfeasances on the part of a minority of unscrupulous tenants. Today, we can read in the press the agitation of the National Union of Owners and Co-owners (SNPC), which wants tenants who do not pay their rent regularly and voluntarily to be punished. Minister, can you tell me the government's position on the bill tabled on October 8, 2014? Has the government taken any steps in this regard?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u45	Mr. Chairman, Mr.Clarinval, we understand that the bill to which you refer is intended to address the problem raised by the National Union of Owners and Co-owners regarding the arrears of rent of owners who fail to obtain payment. In this context, the SNPC also requests that these rent arrears be taken over from the Centrale des appropriations aux particuliers. However, the question is whether criminal law is the right way to address this problem adequately and to provide compensation to affected donors. Is the behaviour of a tenant who repeatedly fails to pay rent or pays only part of it worth bringing before the criminal judge? This is an issue that can, of course, be considered in the context of the reform of the Criminal Code. A proposal for Book 1 will soon be proposed to the Committee on Justice. Once a consensus has been reached on it, discussions on the criminal provisions for Book 2 can begin. However, the non-payment of rent raises certain questions, in any case as regards the intentional aspect. I am thinking here of bad faith or fraudulent intent. What about, for example, the tenant who, unexpectedly, no longer has a professional income because he has lost his job or suffers from a serious illness? Moreover, it is not always possible to find an immediate alternative to adequate housing. In this case, as a result of the proposed criminalization, the tenant will be forced to involuntarily commit an offence. I am therefore of the opinion that the current possibilities for legal proceedings must be examined as a whole. I'll list some of them. From the standpoint of civil law, specific procedures exist. The lessor already has different means of action against the lessee who does not pay his rents. 1. The lessor may initiate with the justice of the peace an expulsion procedure described in detail in chapter XV of the Judicial Code. 2. The lessor may, before expulsion, seize the furniture and effects present in the dwelling. He may also request a seizure of the tenant's income. 3. The lessor may request the judge to recover unpaid rents by seizure of the rental guarantee and/or request interim measures as a matter of urgency (art. 584 of the Judicial Code). 4. Thanks to the Lease Guarantee Fund, established by the Flemish Region, the lessor can receive the entire rental guarantee, even if the lessee is not currently in a position to pay. It's a way to protect yourself from bad payers. The owner deposits, per rented property, a small sum at the caisse. After three months of unpaid rent, he is required to apply to the justice of the peace within 20 days. The guarantee can run for up to 12 months of unpaid rents. From the point of view of criminal law, if the legal conditions are met, the conduct of the indelicate tenant may be subject to an offence such as fraud (article 496 of the Criminal Code).
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u46	Minister, thank you for your full answer. I would point out that people who are in bad faith and have fraudulent intentions are targeted; they are not targeted at the unfortunate cases of people who lose their jobs. I hear that debates will take place in the Committee on Justice. I hope that this matter will receive the best attention.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u47	Question No 10728 by Mr Clarinval will be dealt with in the Finance Committee. Mr Massin, you have the floor for your question on the abolition of the justice of peace at Merbes-le-Château.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u48	Minister, as part of the Justice Plan which provides for the abolition of the double and triple cantons of justice of peace and the functional consolidation on a single site, it would have been decided to close the seat of the justice of peace of Merbes-le-Château for centralization in Beaumont in early 2016. Finally, centralization will no longer take place in Beaumont but in Chimay, with a continuation of the hearings "under the tree" in Beaumont. We therefore come to a justice which is less and less close and which is increasingly moving away from the citizen. Indeed, I will give you a small reminder of the kilometric calculation: Merbes-le-Château is distant from Chimay of 36 kilometers and a single way from Erquelinnes to Chimay by public transport, lasts no less than two hours thirty by coupling the train and the bus. When the hearing begins at 9:00 a.m., the departure is particularly early. Beyond the cost of these trips to the citizen, it seems to me to be an infringement of the citizens' right to access to justice. At the end of February, the mayor of Merbes-le-Château asked you to be able to keep the so-called "under the tree" hearings within his commune and to lay down the terms of the hearings. You told him that there was a possibility that hearings could be held for places where the seat would be closed and that you would consider the various modalities under request. Minister, what about today's possibility of keeping the hearings "under the tree" within Merbes-le-Château? I would like to make it clear to you, if you did not know, that before, hearings were held in the communal house. A new communal house has just been inaugurated. Have you recently contacted the mayor to see if periodic hearings can be held? Do you really think that one can talk about centralization by evoking Chimay, compared to the two other seats that were located in Beaumont and Merbes-le-Château, knowing that the distance between the cities is relatively large, and that the centre is not Chimay, but rather Beaumont? If you make the decision to keep centralization in Chimay, would you consider a possibility of facilitating public transit from Erquelinnes to Chimay, even if we do not have a direct rail link?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u49	As you know, the justices of peace plan has three phases. The first dealt with the centralization of the double and triple cantons and was made at the end of December 2015, when the government decided to centralize in Chimay. This decision was taken on the basis of different criteria. If you say, as you do, that there are serious problems with public transit, it is appropriate to provide me with more details. I will support the request, as far as possible, to the Minister of Mobility. For locations where a seat has been removed or will be removed, the option is to schedule hearings under the tree. I am currently preparing the content definition with the help of my administration, after which all justices of the peace will be informed, as well as all the communes concerned, so that these bodies can take their decisions on this matter.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u50	Minister, your answer is rather frustrating because the problem is still there. Yet the official approach is there. There are possibilities as well as an opening with the mayor. I think we can easily answer him. Contact the administration: "Mr. Mayor, here are the details. What are the availabilities? How can all this be done?" It seems to me to be the simplest. The mayor came to see me because he has no answer. So far, you are replying that it will be defined with the administration, the justices of the peace, the communes. Everyone will be concerned. For Beaumont, there is indeed a direct road. But, at the moment, for the citizens of the entire Erquelinnes-Merbes-le-Château region, there is no answer. They have to go to Chimay. This is a shame, especially since it is a positive step in the head of the mayor.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u51	The following questions are transformed into written questions:- point 10494 by Mrs Van Cauter, - No 10642 of Mrs Jadin, - No 10670 of Mr Metsu, - n° 10710 de Mme Capoen, - No 10871 of Mr Foret. Question No 10761 by Mr Kir is postponed.
