ParlaMint-BE_2016-02-24-54-commissie-ic348x.u1	Debates of the European Parliament Mrs Jadin's 8719 has been converted into a written question.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u37	Mr President, Mr Blanchart, I would first like to point out that I share your point of view. It is a question of combating all forms of discrimination and not of highlighting or opposing one group of the population. With regard to freedom of religion or belief, Belgium supports the position of the European Union, which adopted guidelines on the promotion and protection of freedom of religion or belief in 2013 and on online and offline freedom of expression in 2014. These guidelines confirm that freedom of opinion and freedom of expression are a fundamental right of everyone. These two freedoms are essential to the realization and exercise of many other human rights, including freedom of religion or belief. Blasphemy laws are defined as laws that criminalize blasphemy and limit the expression concerning religious or other beliefs. The European Union recommends decriminalizing these offences and strongly opposes the use of the death penalty, corporal punishment and deprivation of liberty to punish blasphemy. In the guidelines on the promotion and protection of freedom of religion or belief, the Union focuses not only on the right of persons to believe, but also on the right of persons not to believe and freely to manifest their beliefs individually or in common. Freedom of expression, of which freedom of the press is a priority in the work of Belgian diplomacy. I can confirm that this issue is being addressed in many bilateral meetings, particularly in countries with repressive legislation in this area. This issue is also highlighted by Belgium in the context of the universal periodic review of a number of countries. Within the United Nations, the European Union and Belgium promote freedom of religion or belief, strongly oppose religious intolerance and call for greater protection of persons belonging to religious or other minorities from persecution and violence. Since freedom of religion or belief and freedom of expression are closely linked, both efforts are an integral part of the fight against intolerance and discrimination based on religion or belief. Every year, the European Union submits a resolution on freedom of religion or belief to the Human Rights Council and the United Nations General Assembly. Belgium co-sponsors them. Our country also supports the Special Rapporteur on freedom of religion or belief and intervenes in interactive dialogues with this Special Rapporteur in the context of the Council's activities. As I said, Belgian diplomacy regularly intervenes in these matters. I never fail to do so, with my colleagues from the countries concerned, including to indicate our concerns about a number of individual cases.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u38	Minister, thank you for your answers. I had no doubt that we were totally on the same wavelength on this subject, but I wanted to stress this issue. Beyond the groups and communities that are shown for their persecution, it is true that individuals who have decided not to believe and to have the spirit free from religious thought are even more cruelly persecuted than men or women who share other religions. It's really important to worry about all those people around the world who have chosen to have a free mind.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u39	Mr President, Minister, since the fall of Gaddafi in October 2011, Libya has been plunged into chaos, now facing violence between armed groups and with two parliaments and governments fighting power. Last week, the formation of a new Libyan government of national union, composed of eighteen members, including five ministers, was announced by the Presidential Council, born of an agreement concluded in December under the auspices of the United Nations between representatives of the two rival parliaments. Stakeholders hope that this can be a first step towards the end of the conflict in Libya. However, its approval would remain uncertain, as the parties involved in the Presidential Council did not agree unanimously on the legitimacy of this new government whose appointment would not have been fully transparent. Indeed, the situation remains ambiguous in this country, with the other unrecognized parliament, located in Tripoli, also claiming power. The situation is urgent, with Daesh taking advantage of this power vacuum in Libya to implant and take control of the city of Sirte and its surroundings. The great powers believe that only a government of national unity can be a reliable interlocutor to fight Daesh in the country and to better curb the departure of thousands of migrants from the Libyan coast to Europe. Minister, how do you look at the new government formed under the supervision of the United Nations? Does the European Union support this implementation? What about the management of humanitarian aid on the ground with regard to the formation of this new government? What is the current security situation in Libya, particularly with regard to the establishment of Daesh and its security implications?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u40	Mr President, Mr Blanchart, the proposal made by the Presidential Council for the formation of a new Libyan government of national unity is a positive step for the country. Parliament must look into the proposal in the near future and the representatives are clearly once again divided on the matter. The formation of a national unity government is crucial to meeting the many challenges facing the country. Every peaceful action that promotes the formation of the government brings hope. The European Union stands ready to support this government in the implementation of the agreement once the government is formed. I welcome the efforts made by the United Nations Special Representative on the subject, Martin Kobler, who is trying to close this case after all the efforts made by Bernardino Leon in the past. One of the fundamental principles of the political agreement is a commitment to address the humanitarian situation of refugees and displaced persons. The agreement states that the Government shall provide humanitarian assistance to areas and persons affected by the conflict and that the signatories shall support the efforts of the Government, the United Nations and other relevant institutions. In accordance with the agreement, the monitoring committee for the implementation of the provisional security arrangements to be set up by the Government should, inter alia, facilitate the delivery of humanitarian assistance. The security situation is precarious in several Libyan regions. Since the pressure on Daesh in Iraq and Syria has increased, the Libyan branch of the organization has been strengthened. It controls the territory of Sirte, but elements of Daesh are also present in other cities such as Derna. As demonstrated by the organization's attacks over the past few weeks, Daesh's ability to lead large complex operations is important. I would add that the terrorist threat also emanates from other groups linked to Al-Qaeda. Given the country's strategic situation between Africa, the Middle East and Europe, insecurity in Libya can threaten the stability and interests of the region as a whole. The international community is therefore following developments in Libya very closely. The situation was discussed, in particular, at the coalition meeting against Daesh in Rome in early February. Current developments confirm the urgency of the formation of an effective government. I hope that this can be achieved on the basis of the agreements that are submitted to the Libyan representatives.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u41	Minister, thank you. Should the political process be speeded up to halt the development of the Islamic State? We know it's one of the nodes of the problem. Unfortunately, yesterday, the parliament recognised in Tobruk was unable, for lack of quorum, to obtain a vote of confidence, so that the sitting was postponed until next week. It doesn't sound like white smoke.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u42	Not yet.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u43	Minister, on 15 February 2016, the Bosnian government submitted an application to become a member of the European Union. This request is somewhat unexpected, given that less than a year ago an association agreement was concluded between the EU and Bosnia. In addition, the country hardly meets any requirement for European membership. Bosnia and Herzegovina is a political and economic dysfunctional country, with high youth unemployment and deep-rooted corruption. We were therefore surprised that the request was welcomed enthusiastically by Federica Mogherini, who said that accession was a good thing for Bosnia and for the European Union. Our party's vision is to concentrate initially on the deepening and strengthening of the European Union as it is today, including a possible enlargement of the Union, rather than focusing again on further enlargement. European citizens sometimes have the impression that the union is becoming a kind of pigeon house: Bosnia can join or not, if the United Kingdom gets out Scotland may become a new Member State, Catalonia has started an independent procedure. Taking into account this framework, we opt for deepening. That is why I would like to ask you the following questions. What do you think of Bosnia's application for EU membership? How do you estimate their chances? Do you think it is appropriate to restart a membership procedure in these eventful times for the EU? Do you believe that the start of the accession procedure does not send a wrong signal, as it gives some legitimacy to what is going wrong in Bosnia? Finally, what attitude will the government take to the Bosnian application for EU membership?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u44	Mr President, Mr Luykx, the Thessaloniki European Council in June 2003 offered the prospect of integration in the EU to all the countries of the Western Balkans. The first step is the conclusion of a Stabilisation and Association Agreement. In the case of Bosnia and Herzegovina, there was a political standstill for a few years due to internal political contradictions which made the necessary reforms impossible. The 2008 Stabilisation and Association Agreement could therefore not enter into force until June 2015. This breakthrough followed the new approach to the reform process and the mediation of the European Union. An agreement could be reached between all political views on an agenda with the most urgent reforms. It is to be welcomed that the Bosnian Government intends to continue the path of reform towards EU integration. She could have made other choices, too. The accession application can be seen in that light. However, there is still a long way to go, and the submission of an application does not automatically imply the start of accession negotiations. The Council will decide at a later date on whether sufficient and meaningful progress could be made on the aforementioned reform agenda before candidate status can be granted. This does not seem to be the case today. Only then can steps be taken to reach the actual accession negotiations, and conditions will be attached to them. So there is progress and a will to come up with real reforms, but now we have to see whether they will actually come about.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u45	Minister, I do believe that we will have to show a dose of realism and not fall into an early positive reaction. Perhaps the impression given by Mrs Mogherini was premature. I believe that Bosnia's biggest problem is that no one seems to have the solutions to the many problems there today. The intention to respond to Bosnia's demand remains positive, I understand that, but we must take into account the reality of Bosnia. After all, we are far from a solution there. We cannot simply offer a perspective on membership in view of the current European context. The European Union is not the Eurovision Song Contest. Thank you for your answer.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u46	Minister, some attention has already been paid to the subject of my question in the press. In a recent judgment, the Council of State annulled the Royal Decree of 31 March 2014 which promoted 16 diplomats from the fourth to the third class. In a fairly critical judgment, the annulment of the decision was argued. I would like to say it with the words of the Council of State itself. The promotion should be based on a comparison of the titles and merits of the candidates on the basis of objective, reasonable and pertinent criteria which are carried out so carefully that a differentiated ranking results. That's important. There should be no doubt about the way diplomats are launched and accredited. It's an important position and certainly not an easy job. Everyone, including the diplomats, will benefit from promotions in an atmosphere of objectivity and clarity, so that there can be no doubt that the selected people are also the best people in the right place. I have a few questions on this, Minister. Could you give a brief explanation of the case brought before the Council of State? Would you like to adjust the selection procedure? Do you see any possibilities for that? Should the procedure be repeated for the candidates involved? In the past, the N-VA has always advocated that the External Relations Commission should be assigned a role in this. Is that negotiable? Do you think it's a good thing? Finally, what does it look like for those involved? Does the decision have an impact on their further appointment?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u47	Mr President, Mr Luyckx, in judgment No. The Council of State decided on 8 February 2016 that the Royal Decree of 31 March 2014 promoting 16 diplomats to the third administrative class of the foreign service career was to be annulled. It is therefore the promotion to another class, not a decision to go to another post in our network. It's an internal promotion. To answer immediately one of your questions: I do not think it is possible to come to Parliament with just a promotion and an internal evolution in our administration. First of all, it should be noted that the only selective reference in the question is to the judgment of the Council of State. The Council of State also noted that all candidates were indeed compared on the basis of the same criteria. It cannot therefore be claimed that this promotion procedure would not have been transparent. It should also be stressed that a new statute for foreign career has entered into force since August last year. It already provides for an amended promotion procedure. For example, candidates will be able to put forward their own arguments on the basis of which they consider that they are eligible for promotion. I had already asked for a new procedure, and that is the case with our new statutes. The competent executives within the FPS Foreign Affairs and Development Cooperation are currently analysing the judgment. The administration will then submit to me a proposal on the procedure to be followed, taking into account the judgment of the Council of State which deals with the procedure rather than the substance of the promotion dossier. I am now waiting for a proposal from my administration for a new procedure instead of the 2014 procedure, taking into account the new statute.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u48	Thank you, Minister. This is indeed about the promotion that has been destroyed, not so much about the different posts. If that were not apparent from my question, then this is the case. I think it is very important for all concerned that there is clarity about this and that they feel legitimized by the justice and policy of the FPS to do what they have to do.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u49	Mr President, Minister, I have tested for you the transparency of TTIP. The majority resolution on TTIP stresses the importance of transparency, which was the subject of debate in this committee. My colleagues were telling me that there was a great deal of progress in transparency since the consolidated texts could be consulted at the FPS Foreign Affairs. So I went there. One may wonder why access is limited to Members. If there is such a desire for transparency, why is access not extended to all citizens? Members who go there are deprived of all their business, they cannot have a computer. They get into some kind of small bunker and the documents are in a safe. A civil servant, of course very friendly, keeps an eye on us to see if we do anything illegal. No copy of the documents can be made in a sufficiently technical English language. We don't even have a dictionary available for the translation of certain words. The loudest thing is that before you look at these documents, you have to sign a form that says you won't reveal what you've read. All this calls into question transparency and democratic debate, because what we have seen in these difficult conditions cannot be revealed. Minister, do you consider that the conditions for access to these documents really allow for transparency and democratic debate? Do you intend to act to change the conditions for access to these texts, as many civil society actors are calling for in a fight against the leadership of this TTIP?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u50	Mr Van Hees, I would first like to point out that it is not a question of giving access to the text of a treaty that would have been concluded between the European Union and the United States. The aim is to give access to a series of elements and negotiating positions of the European and American partners who have led a number of rounds of negotiations and who continue to do so. It is a question of giving access to documents reflecting negotiating positions. Even before this access was foreseen, I had obtained, with colleagues and after a number of pleas, the release of the European Commission's negotiating mandate, which was done. This is not often, it has not been done for many other negotiations, but for TTIP. Secondly, at a bilateral meeting that took place some time ago, I asked European Commissioner Cecilia Malmström to continue along this path, namely to publish regularly a number of Commission documents and positions on the Commission's website, so that they are accessible to all and not only to civil society, as you are referring to. I have also asked her to agree to present the state of the negotiations to the various parliamentary assemblies, not only at the federal level but also in the regions, which she has done to the satisfaction – and I am talking about the substance – of the parliamentarians who have been able to meet with her both at the federal level and in the Regions and Communities. The Commission has also consulted widely with the public through an approach that honors it, in order to hear the reactions to these negotiations. As I have already had the opportunity to mention, an agreement was also reached with the United States at the end of December on the establishment of national TTIP reading rooms in each of the Member States of the European Union. These reading rooms allow access to confidential documents that explicitly describe the positions of the United States in the negotiations. It was the United States' position that had to be negotiated for an expanded consultation. For the same reason, these documents are confidential, while all the negotiating positions of the European Union are available on the European Commission's website. That is also why a commitment is required not to explicitly mention the positions of the United States reflected in the documents. It seems to me quite obvious that we must proceed in this way if we are to get our American colleagues to agree that we should be aware of the positions they are defending during the negotiations. The Belgian reading room, which I believe is one of the first at European level, was opened on 26 January at the Ministry of Foreign Affairs. In line with the division of competences between the federal and federal levels, Belgium also requested and was the only one to obtain an exception allowing access to the reading room outside the federal level alone. This gives us access to all the federated entities, with a large number of parliamentarians. And I myself said that if parliamentary groups did not have members in the committees concerned one day by the analysis of a future TTIP, they are also given access to those members. This is also your case since you have been able to access it despite the fact that your group does not have an effective place in the Parliamentary Committee on Foreign Affairs. This is also the case for other groups, particularly I believe in the German-speaking Community, to which I have also given this access. But we are the only country to have obtained and requested access, including for federated entities. To sum up and not to mention the work of the European Parliament, in order to exercise parliamentary democratic control over the TTIP negotiations, Belgian Members of Parliament and federated entities can count on free access to all European negotiating texts, via the Commission's website, on a negotiating mandate declassified at my request and that of a few colleagues, on the participation of members of my administration and even Commissioner Malmström in the hearings that have been organised and finally on the consultation of texts describing the negotiating positions of the United States in the chapters already under discussion. I am sorry to note with you that American negotiators work mainly in English. But that doesn't seem completely absurd to me. I simply hope that there are members in all parliamentary groups who can read documents in English, which, I repeat, are the American negotiating positions. We can always think about further improvements, but I confirm to you that I am quite satisfied with the increased transparency that I have been able to obtain for TTIP, with the help of some European colleagues and with the constructive engagement of the Commission. Together with the parliamentary questions that I continue to answer as today and with the regular contacts with civil society - again this week, with the National Council for Sustainable Development, with which I have had the opportunity to discuss the TTIP - these measures seem to me to be fully responsive to the needs of our democratic State. I am pleased that, as the reading room was opened on 26 January, we received requests from 16 February to consult the documents in the reading room of my department. Before your visit was announced, we had received the visit from a member of the Flemish Parliament. Only one, out of just over a hundred people to whom we authorize this visit. Now, I think we have, if I am not mistaken, received eight requests from parliamentarians to read the texts. I believe that we will have to debate the extent to which we really need to make efforts of this magnitude to get the European Commission and the US negotiators to set up such a system, if the interest in getting to know the texts is as obvious as what I have seen – but we still have time in the negotiations. I am not going to talk about the absences of the committee, but I understand, by listening to certain radio broadcasts and by going through the list, that parliamentarians who have so far not bothered to ask to come and read the texts have spoken about the degree of transparency offered. I can tell you that we are totally at the forefront of this. I cannot check today, but Belgium is probably the only one, at least one of the very first countries to have opened its reading rooms. I repeat, we are the only one who has obtained that not only parliamentarians at national level, but also in the Regions and Communities – we are not the only federal state in Europe – can have access to these documents. I do not even plead, I do not try to obtain a minimum of objectivity on the subject. These documents describe the US negotiating positions, which are normally classified. We are getting them made available to Belgian parliamentarians. Of course, it can always be said that this is nothing. I simply hope that all those who will speak on the TTIP in the future will at least have taken the trouble of reading them.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u51	Minister, to hear you, you're great!
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u52	Be careful, Mr. Van Hees, your comments will be reflected in the report... [[Hilarity]]
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u53	First of all, I'm happy because, if I understand you correctly, you initiated a movement. Indeed, at the time I communicated to the press that I was going to the reading room, there was one person who had gone there before me and seven who went there after, in the meantime, or who asked to go there. In any case, you can recognise here my positive role as regards the reputation of this reading room and its use. As far as the English language is concerned, I take note of your answer. I simply and modestly point out that there was a representative of your party at the same time as me in the reading room and that he himself had asked for an English-French dictionary. You see that it is not only in my party that we have this requirement. More generally and this also explains, I think, the small number of parliamentarians who went there, it is the conditions of consultation that make the exercise very difficult, that is to say, we cannot make photocopies or have internet access. It makes you laugh because your references may be that kind of practice, but I think that in terms of democratic debate, we have a serious problem! This is still not about any treaty. It is a treaty that will influence the daily lives of 850 million people, which will have a very strong impact. The question that these 850 million citizens who do not have access to these texts are asking themselves is: what do we have to hide? That's the real question. The conditions for consultation do not allow it to be met. You tell us that they are imposed by the United States. It's true, but somewhere, it's a bad omen. A treaty is being negotiated with a State that does not respect this essential democratic rule of giving access to the texts to the population. If that is what the United States is imposing on Europe, I think it is wrong!
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u54	Minister, the Israeli army recently destroyed some 20 houses in two Palestinian villages south of Hebron. On 2 February, some 100 Palestinians, including 60 children, found themselves homeless during the coldest period of the year. Ten of these houses were funded by the European Union, while others were funded by the United Kingdom and Denmark under a United Nations programme. This is not the first time that such destruction has occurred in Israel. In 2011 alone, the European Commission estimated the value of the destroyed infrastructure at EUR 49 million. I myself had the opportunity, on a mission to the country with Mrs Grovonius, to see from sight in the Palestinian village of Khirbet al-Tawil the destruction of an electric transport network which had been financed by Belgian cooperation. At the time, you said you were going to have consultations to see what was happening. I recall that, as a signatory to the Geneva Convention, Belgium must uphold international law as well as international humanitarian law by demanding an end to the policy of expansion of settlements, but also to the destruction of civilian infrastructure, which constitutes a violation of the fundamental rights of the Palestinians. Will Belgium put pressure on the Council and the European Commission to demand compensation for the destroyed infrastructure and to adopt appropriate sanctions against Israel? Can you indicate what the outcome of your convening of the Israeli Ambassador in October 2014 was when there were destructions in the Palestinian village of Khirbet al-Tawil?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u55	Mr President, I am not going to repeat the points made by my colleague; the facts are obviously the same. Perhaps I will just say that this 20 houses destroyed by the Israeli army were located in Jinba and Halawa, two villages south of Hebron. As far as the European Commission is concerned, in 2011 the infrastructure financed by the European Commission was estimated at EUR 49.14 million. Sorry, that is the value of the infrastructure destroyed by the Israeli army in the occupied West Bank, of which EUR 37 million came directly from the European Union or one of its Member States. The questions I wanted to ask you about these events of February 2 are as follows. Has there been a condemnation of such destruction? I didn't hear you do it. We heard you at the time, following the destruction of the CTB-funded project, but in this context I did not hear a statement from you. At the bilateral European or multilateral level, does Belgium intend to seek compensation for this destroyed infrastructure from the Israeli authorities? Finally, do you consider that, as a result of these events, you could change your attitude in view of this ongoing policy of destruction and the policy of settlement expansion that continues and risks, at some point, jeopardizing any chance of finding a just and lasting solution to the conflict? Do you intend to change your decision on the timing of the recognition of the Palestinian State?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u56	Ladies and gentlemen, the number of houses, structures and projects recently destroyed in Area C, including some financed by the European Union or its Member States, is indeed of great concern. Our position on this is clear and has been reiterated in the joint communiqué I issued on 9 February with my colleague the Deputy Prime Minister and Minister for Development Cooperation Alexander De Croo. In this text, reference was made to the destruction of 2 February to which you refer, recalling that it affects a great deal of people, including vulnerable people like children, and urging the Israeli authorities to put an end to such destruction and to prevent any further demolition or confiscation. We also stressed the need for respect for international humanitarian law and unhindered access by local and international humanitarian organizations to vulnerable populations. These principles were also clearly reaffirmed in the conclusions of the Foreign Affairs Council on 18 January. With regard to the question of compensation for destruction, I had indicated, after the demolition of the Khirbet al-Tawil project financed by Belgium, that it intended that any destruction should be compensated. I also pointed out that other Member States of the Union are in the same situation as we are. In order to tackle the problem structurally, this issue of compensation must be addressed first and foremost within a European framework. It is indeed a matter of ensuring the necessary unity of our position vis-à-vis Israel. Work is under way in this regard. Belgium is actively involved. Reacting to destruction and threats of destruction also requires dialogue and diplomatic action. As you know, a structured dialogue with the Israeli authorities has been initiated on this subject and is still under way in order to put an end to these destructions contrary to international law. I have mentioned them with the Israeli ambassador in Brussels, and I will have the opportunity to return to them during a visit to the region, which I have scheduled for the next few months. As for the recognition of Palestine as a State, you know the position of the Government, which I can repeat to you. Various points need to be taken into account in this process. I think, for example, of the positive impact it could have on reviving or supporting an inclusive political process of negotiations between Israelis and Palestinians. I believe, for my part, that coordination between European countries would have more impact at the moment. We do not consider this to be the most opportune moment in that such recognition would not have a significant effect on the resumption of the peace process. We can come back, if you wish, next week.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u57	[[...]]
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u58	No, but you'll find something.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u59	I'll be out next week.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u60	I'm sorry about that.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u61	I'll be in Palestine.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u62	I'm very happy about that.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u63	Minister, I take note of your statement and the fact that, for the 2014 events in Khirbet al Tawil, you demanded compensation. I remember that you preferred to tackle this through joint action at European level. From the moment this does not evolve at European level, perhaps a Belgian track should be used to demand these compensations. As for your dialogue with the Israeli authorities, that does not prevent them from starting over again! I wonder to what extent this kind dialogue you hold so much with the Israeli authorities is enough to change their attitude. I am not asking you to send F-16s, but perhaps we will have to consider appropriate sanctions against that State, such as economic sanctions.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u64	Minister, my last question concerns American and NATO statements. The Secretary General of NATO declared on 2 February that he approved the proposal of the Secretary of State for American Defence to multiply by four American troops and armaments in Europe, in order to combat Russian aggression. He said: "We are strengthening our position in Europe to support our NATO allies in the face of Russia's aggression. In the official language of the Pentagon, we call it the European Reinsurance Initiative, and after spending about $800 million on it last year, we have more than quadrupled that amount to $3.4 billion this year. This will fund a lot of things: more rotations of troops to Europe, more training with our allies, more pre-positioned combat equipment and improved infrastructure to support them. And, once integrated with the American forces already based in Europe – which are also considerable – all this will allow us to form, at the end of 2017, a highly capable combined ground force, which will be able to retaliate in this theatre of operations, if necessary." Do you confirm all these figures? I don't think you'd confirm them, but I'm still asking you the question. What does the four-fold increase in US troops and armaments in Europe mean specifically for Belgium, and more specifically for NATO headquarters in Evere and for nuclear weapons in Kleine Brogel? On which threat assessment is this plan based? What Russian aggression are we talking about? Do you also believe that Russia poses a short-term military threat to our country? Do you not consider these positions to be in contradiction with your political guidance note, including this passage: "Disarmament and non-proliferation are another central concern of our foreign policy. I will ensure that I support all credible and targeted actions – preferably within a European framework – that promote effective and balanced disarmament in the world, both for nuclear and conventional weapons."
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u65	Mr Van Hees, at the NATO summit in Wales in 2014, the Heads of State and Government expressed their commitment to addressing the new security challenges on the Alliance's eastern side. This "Reactivity Action Plan", approved at the summit, contains a list of insurance and reinsurance measures which reinforce solidarity between allies in the face of aggressive behaviour and contrary to international law on the Russian side. With the annexation of Crimea, the destabilization of Ukraine and tensions in the Baltic and Black seas, Russia has challenged the very foundations of security architecture on the European continent. Our Baltic and Polish allies feel directly threatened. At the forthcoming Warsaw Summit in July 2016, Member States will look at the evaluation of the measures taken and look at the elements for a strategic perspective and longer-term adaptation measures. It is in this context that we must read the statements of Secretary Carter, which you mention. After downsizing in recent years, the Pentagon's proposed budget at this stage provides $3.4 billion for troop rotation, more prepositioned equipment and more training in Europe in 2017. These reinforcements do not directly concern Belgium but rather the Alliance's eastern flank. I stress that Belgium is actively participating in the reinsurance initiative through our efforts in the exercise programme provided for by the RAP, through our participation in the highly capable forces NRF and VJTF and through our regular engagement in the Baltic Air Policing in which Belgian F-16s participated. I also repeated at NATO meetings the renewed relevance of the Harmel doctrine. Robust deterrence and strengthening of solidarity within the Alliance should be accompanied by an openness to political dialogue with Russia's unsurpassed global partner. In this context, we await the Russian response to the offer of a new NATO-Russia meeting at ambassadorial level. Belgian diplomacy also continues our active support for risk reduction, de-escalation of tensions and measures of military transparency in NATO and OSCE fora. In my policy note, which you have read carefully, I had insisted on carrying out credible and targeted actions in the context of the development of tensions which have unfortunately reappeared on the eastern side of the European Union, even though conflicts are still taking place on the southern side of the European Union.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u66	Minister, thank you for your answer. I am reassured to learn that Russia will not invade Belgium in the coming days.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u67	[[...]]
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u68	You didn't say. I asked you what the threats were and it seems to me that you have heard that Belgium is not directly threatened.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u69	[[...]]
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u70	You didn't say? I'll read the report again.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u71	I have spoken of strengthening, but this is not about Belgium. U.S. troops will not come to strengthen our defence.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u72	In any case, I note the determination in this matter and the concrete measures that are being taken in terms of armaments. In my view, this contrasts quite well with what was said in the previous question. Indeed, despite Israel's clear violations of human rights, there is a calm dialogue with the Government of that country. In this case, strong measures are being taken. I do not think they are conducive to dialogue. It is clear that Russia's behaviour is aggressive. But NATO's behaviour is no less aggressive. Moreover, the measures taken are proof of this aggressiveness. I also note that NATO's expansion goes as far as Russia's borders, which Russia can see as a form of aggression. So we are in an overbidding of aggression that is reminiscent of the cold war. I am not sure that this kind of behaviour is adequate if we are to solve the problems that arise.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u73	Then it's up to the last question. This is a historic situation, Minister, because if you leave later, there will be no further questions.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u74	Mr President, Minister, since the signing last July of the international agreement on Iran's nuclear programme, the implementation of this agreement and the lifting of sanctions against Iran began in mid-January. Talks with the West are under way. Recently, Iranian Foreign Minister Mohammad Javad Zarif visited the European Parliament for a debate in the Committee on Foreign Affairs on relations between Iran and the European Union, as well as on the security and humanitarian situation in the Middle East. This is a new era in which Iran has entered and this represents a new opportunity for companies, especially for Belgian exporting companies. However, for many countries and multinationals, the desire to create new economic opportunities in sectors such as oil and automobiles tends to put the dramatic human rights situation under Rohani's mandate in the background. I quote, as a reminder, the numerous death sentences, public executions and imprisonment for crimes of opinion and the prosecution of bloggers and journalists. But there is also Tehran's ambiguous position on the conflicts in the Middle East that have killed hundreds of thousands of people and driven millions of people out of their homes, leading to a massive influx of refugees into Europe. European Union-Iran relations should not improve at the expense of human rights in that country. Iranian President Hassan Rohani plans a state visit to Belgium at the end of March. This has yet to be confirmed. Minister, is the arrival of the Iranian President confirmed? If so, what is the planned program? What will be our government's position at this meeting, defended by our Prime Minister, on the new possibilities for economic relations with this country? Will the Rohani regime's violation of human rights be mentioned? The defence of fundamental human rights must remain paramount despite nuclear agreements. In view of this establishment of economic relations with Iran, what are the initiatives taken by the European Union and our Government to condition them with the demand for concrete progress in the field of human rights? Will the various international bodies put in place measures to condemn such executions as well? Finally, how will this new relationship with Iran influence our view of this country and its ambiguous position in the Syrian conflict?
