ParlaMint-BE_2016-09-20-54-commissie-ic488x.u1	The Minister wishes to speak briefly before the questions.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u39	Madam Secretary, I am keeping my reply strongly in line with the previous replies. There is indeed a need to learn lessons from this issue, but the question is whether this lesson is in this specific dossier, or whether it is in the composition of the government and the person responsible for drawing up this difficult and sensitive dossier. Mr Wollants says that he will go through the written report again to reconstruct the timeline. Colleague, I'd like to help you with that. Normally, they had to pay before 15 April. EDF didn't do that until April 22nd. The Minister received a report from the CREG on 22 June. She held a meeting with the CREG about a month later to look at these questions. She acted a bit like... Actually, at that time she asked the questions that one would expect from the operator rather than from the cabinet. On 11 August the final response of the CREG came. And it was not until 13 September that the report was delivered to the operator. So, Madam Secretary, you waited until September 13 to deliver the report of June 22? In this way, you ensured that you act outside the convention today, a convention that is already very vulnerable and does not provide a strong position for the Belgian State. I find that really incomprehensible. I don't understand why you're waiting so long to take the steps you need to take. You now dictate to my fellow Members that we should come back to this very quickly. You say that we need to get back to this quickly, with the documents in our hands. There's already a march towards CREG. I support, for the whole of 100 percent, the question put by my fellow Members that you put your letters here on the table. I do not think that we can stop, Mr President, until the Minister makes that clear.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u40	I thank the Minister for her clarification, her answers and all the clarifications they have provided on everything that has been mentioned earlier. We talked a lot about transparency. It should be noted that as far as Doel 1 and 2 are concerned, as soon as the Convention has been signed, it has been made available to parliamentarians, which has not been the case for the Tihange 1 Convention. I don't think we have any lessons to learn here. I have noted that we are now awaiting the proposals of the independent expert. We're waiting for him to cut. Furthermore, we take note of your willingness to formalize the calculation of this fee, so that everything is much clearer in the future.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u41	Madam Secretary, thank you for your reply. We have received an answer to a number of issues, but there is, of course, some uncertainty as to exactly what will happen in the coming weeks. Firstly, we have established that the Tihange Convention is not clear. As far as the calculation is concerned, it is very complex. It is absolutely not a gift for you to work with it, I fully understand that. However, you must now deal with this in the best possible way, in the interests of the government, the State Treasury and the fund for which we need it. I therefore hope that it will be possible to clarify quickly the manner in which the expert is appointed and the exact timing.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u42	(...)
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u43	I will not comment on that, colleague. The convention is what it is, and so we need to get on with it. The expert needs to get there. We're behind the timing that's stuck in that convention. So it's really time to step up. We will have follow-up work in our committee anyway, when the expert proposes his outcome. I am also left with the question of exactly how this expert will be appointed and how it will be financed. I understand that, once the result has been achieved, transparency will be achieved in committee. I believe that that will be really necessary.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u44	Mr President, I will react on a few points. Who? Which independent expert will he be appointed with the greatest demand on the conditions that shape his independence? I asked that this be done as soon as possible. And the parties are of the opinion that we should be able to do so in the coming days. The second thing is for the expert to cut. I thus answer a question which has already been asked but which has been rested: it is the expert who decides. So there's no dispute after that. It is definitely he who takes a position on the parameters, their combination, what to choose or not, for the period from 1 October to 31 December and for the second part, the subsequent period until 2025. Who's gonna pay that expert? This time, we want to do some substantive work so that everything that must come back to the state up to the last hundred goes back to the state up to the last hundred, not only for the first period we are talking about today, but also for later periods. The three parties will pay once an expert, in order to carry out this work, which is the final work of calculating the first fee and clarifying the parameters that will allow the following fees to be calculated. This is intended to allow the convention to function on its own and to be properly controlled by the CREG which will say: "It is indeed such an amount. It is fair and payable as stipulated in the law on April 15 of each year." You will have noticed that the sums that come after are in any case affected by an interest because the parties had realized from the start – as we can see from the convention – that problems could arise. In order to close them definitively, it had been decided to ask an independent third party to close the problem and, if there was a supplement to be paid, to allocate this supplement, from 15 April to the day of payment, at an interest rate, as provided for in the Convention. So we are quite within the scope of the convention. I'll come back...
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u45	Colleagues, any government response can lead to replies from colleagues. I do not want to frustrate anyone, but I insist that the replies should not exceed one minute, so that the debate can be concluded.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u46	Minister, this is really not right! Now it's clear in your game! In fact, you reverse the roles. According to the Convention, it is the CREG which makes the report and, in the event of a dispute, independent experts are appointed to decide definitively. Here, you reverse the roles, and this until 2025, not just this time. You say: an expert is appointed and he will have the power to decide from now until 2025. Of course, the CREG will be able to take a look at it afterwards. That's not right at all! I ask, Madam Minister, that you publish, that you now give us a copy of your exchanges with Electrabel. These two letters will finally allow us to see clearly. That is not right at all, Mr. President! The Minister does not respond to the transparency of her documents. I want to make it clear: what is the content on which Electrabel and EDF agreed to the appointment of an expert? There's a counterpart. I want to see that counterpart. Why didn't you, in your reply, give the elements of this consideration? On the other hand, you did clarify things. You reverse the roles. That's not acceptable! You get out of the convention, but besides, you reverse it. Wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait! The deal is clear now. That's what you had to pay Electrabel. This is the price you had to pay because you were not competent and able to look at and meet the deadlines. Mr President, I would like the minister to make it clear and give us the terms of the agreement with Electrabel in a written version, to give us the documents. There is enough uncertainty in this case, particularly about the role of CREG. Fortunately, she alerted the firm at the meeting and in her letter of 11 August, and probably later. Madam Minister, I absolutely cannot follow you on this. I think what you just said in your reply is more serious than the first answer you gave us earlier, which still contained some blur. That is not acceptable at all!
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u47	Mr President, I think what Mr Nollet has just said is fundamental. That's what we heard in your second reply, minister. You're completely out of the law and the convention. Tomorrow, the expert you have appointed will determine the calculation until 2025. I am telling you, I have doubts about the independence of this expert since I now doubt your role in the guarantee of the State, or rather in the guarantee of the operators. You are totally outlawed, Madam Minister. The CREG, every year, it is written, keeps hands with the calculation. It is not for an expert to rewrite a convention, amend a convention or change the law. The law is still the parliament that does it. The agreement must be considered null and void. You're saying he's an expert and Electrabel rewriting the convention, and you're putting the regulator out of the game. That's what you just announced for the next few years. You say no, but that's what you're saying. Mr President, it is clear that if the minister wants to play transparency, and Mr Friart repeats it to anyone who wants to hear it, that she plays transparency: that she gives us the terms she negotiated with Electrabel and EDF on 13 September, what come to Parliament to explain the independence of her expert, because we no longer have confidence. Let her tell us that the seven and a half million and what the CREG has calculated is just for the quarter, and not for the years to come. Otherwise, it really means putting the regulator aside and, Madam Minister, putting you and the whole government out of the law. That's not acceptable!
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u48	I cannot, of course, share your point of view, and I will say it very quietly. If I follow you, you'd like us to have to pay an expert every year, because there would be disputes. [[Brouhahaha]]
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u49	Colleagues, listen to the minister's answer.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u50	All right, I'm quiet. I read the law, and she says the CREG is checking. So I said, in my first and second answer, that the CREG would continue to check every year.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u51	Depending on what the expert will determine now? Is that it or not?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u52	No. If the CREG, each year, is faced with the same problem that it now has, namely, as I have explained to you, that there are five parameters of costs and revenues that are not decisively interpretable, and that allow or result in the CREG to formulate several assumptions of calculation, and fail, in its great meticulousness, by analysing the convention and its annexes, to calculate a fixed figure, each year you will have the same problem. That's the bottom line of the case.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u53	Will the independent expert be more capable than CREG?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u54	No. This means that the agreement, which you have voted for, is built in such a way that it is the expert appointed by the parties, if they agree to appoint it, or if they do not agree, the president of the Institute of Business Reviewers, who decides. Mr. Lachaert said it was a heavy legacy and he is right. I'm rereading the convention. No, not just for now. The convention will last until the end of the extension, since it is the emanation, permitted by the law that you have voted for. It provides, in Article 8.3, that the parties agree or, failing agreement, that the President of the Institute of Reviewers appoint an independent expert to deal with the disputed elements of calculation.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u55	[[...]]
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u56	[[...]]
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u57	No, not of the year.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u58	September 15 of the same year!
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u59	What does that mean, Mr. de Lamotte? I'm listening! Do you want to have an expert to pay each year to clarify points of view, to clarify...
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u60	We want to respect the balance of the convention, that is nothing but that.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u61	I'm exposing it to you as it exists!
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u62	I will give the floor to colleagues, but I would like the minister to finish her reasoning.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u63	I read to you the convention as it is written: "If there are elements of calculation that are contested at some point in year X, and therefore next year in year Y, and the year after in year Z, the agreement provides that the parties, by common agreement or in the absence of agreement between them, the president of the Institute of Reviewers, shall appoint an expert who will decisively decide". [[brouhaha]] I have to recognize the facts and stick to them.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u64	Ladies and gentlemen, everyone will have the floor. We were in an answer from the minister to Ms. Lalieux.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u65	It is not indicated that "calculation elements" are contested, it is indicated "the undisputed amount of the royalty". Madam Minister, in conclusion, I will say here what is totally unacceptable with regard to a neutral regulator, financed by Parliament. You put a regulator out of the race until 2025 in relation to amounts owed by the state. This is totally unacceptable! You trust a negotiation with an expert whose independence I already question! I'd like to know how you're going to appoint him. Will it be your administration or simply your firm who will designate it? You are calling into question a regulator, who could do this exercise, compared to an independent expert negotiating with the two operators. All this with a weakened state, since you are out of time set out in the convention. Minister, I think you have chosen your side, which is not ours.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u66	Madam Minister, you could not strengthen the last words of my reply more than you have given. As Mr Nollet says, you are completely turning the roles around. In the future, you will completely outplay the regulator, the regulator that will eventually be there for all of us, including you, to see if the calculations are correct. There are several elements, I have already listed them, which clearly show that you are taking EDF/Electrabel's side. This is gonna be all right now. Several colleagues have asked how the expert will be identified, because it is of course very important that the expert can operate completely independently. We have not had an answer to that. In addition, you are now saying that the expert, as the convention requires, will not only decide for this year what the sum will be, but that the expert will determine the amount to be paid for the coming years. The CREG can take a look afterwards. Madam Secretary, I wonder if you are aware of the scope of your statements? You want to identify an expert, who will determine completely outside the CREG what the sum will be in the future. Madam Secretary, I'm really falling off my chair. Yes, we want the CREG to be able to do its job every year. Yes, if the CREG does not agree, an expert will have to be appointed each year. This expert will have to be identified in time and be independent and not, as we now suspect, an expert who is known by EDF and Electrabel. Not only do they hold the calculator for what they have to pay, they will also check themselves. Madam Secretary, congratulations.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u67	I'm kind of stunned, to use a term the president likes. Indeed, we are in a debate where, Madam Minister, you have not answered the question of the written amendments to the agreement and of the possibility for the operator to bring an action against arbitration. Since we are out of agreement and no agreement has been reached on the appointment of the expert, can the IRE (Institute of Business Reviewers) still or will it commit itself to appointing one? You're entering a legal no man's land that doesn't reassure us at all. In addition, when you refer to the clarification of the parameters, we ask you to exchange mail with the CREG: no answer; with the administration: no answer. With regard to the letter of the amendment relating to this appointment of the expert: no reply. Has CREG ever proposed clarifications of parameters? No answer. It's getting boring! All the more so because by applying the convention in this way, you are breaking the balance between the operators and the State. I am stunned by this way of acting that leads us out of the law. I appeal to the parties of the majority. We are in the process of completely turning back the assembly that had been drawn up in accordance with the interests of the State. Do you support this approach?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u68	Ladies and gentlemen, when we asked questions in committee about the law, the convention and the interpretation of the parameters, to which we added, or whether they were clear and clear, a great many of the people present today who were present at the time were silently shrouded. Mr Wathelet then said that there was no problem and that everything would become clear when the convention was read. Today I can't hear him anymore; I hear today that the convention is a mess, with a signature underneath it. We have to deal with that today. That's our role. It is also important that we regulate everything properly, in a stable and clear manner. There's a certain balance in it. It is important that the CREG continues to play its role as a regulator. It is also important that it remains a workable story. If we are to see that every year everything is tested again, because wrong or unclear parameters are used in the convention, then we must find a solution. Does that mean we're outside the convention? Probably part of it. But if the convention is not workable, then a solution must be found. It must be a solution for which we do not pass twice by the cash register, because then we are effectively on the wrong track. So I am absolutely in favour of continuing to work with the CREG, but in the dossier we are now facing, an expert is absolutely necessary in order to provide some clarity in the short term. However, it is not quite clear to me how this expert is appointed precisely and specifically and how we can deal with it in the right way. Ladies and gentlemen, we will probably come back to this in the coming weeks, when we will have more information and have been able to read the matter thoroughly. It's an important matter for me. It's been ten years for us. We must therefore be able to regulate them properly, with input from everyone, so that there is a balance. That is a different way of working than shouting and blaming again. It just needs to be clear and well arranged. Everyone has to take responsibility for that. We have to go down that road now.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u69	I would like to support Mr Wollants' appeal. Mrs Marghem, you have been involved in politics for long enough to know that if Members of the majority are speaking in this way, there really is a problem. I think that makes sense, too. After all, the signal you have given today is that if the CREG is difficult, it is not a problem. The operator then contests the conclusions and then together we designate an expert. If you proceed in this way, you will completely outplay the regulator. We cannot accept that. I hope that goes beyond the limits of majority and opposition. I am looking at Mr Lachaert, someone who is well-founded when it comes to liberalism. A free market needs a regulator who must be able to work. We cannot afford to knock that regulator down at the first best discussion, and then take it out for ten years. If we do that, we'll only create more misery. So I don't think we can do that. Madam Secretary, we will not be able to finish the discussion today. I think it's best if we decide two things together. First and foremost, we must get those documents and, second, we must agree here on the mandate and mandate of that expert. If the law is rewritten, if the convention is reinterpreted, if we're working outside the convention, then we have to agree to it here. Surely we will not give Mrs Marghem a carte blanche, that expert but until 2025 and take over that role from the CREG? Mr President, I would not have to be that in the very short term, even next week, as far as I am concerned, tomorrow may wish to do so together. We need to discuss those documents, which look at the Minister's démarches in all transparency and the mandate of that expert. That expert's mandate cannot be to replace the regulator. That is my proposal, so that we can get ahead of the dossier in that way.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u70	Mr President, the point that can be made here as a result of our exchange is that this convention has been poorly negotiated, that it is not clear and that it is far from reporting what was originally planned. Therefore, if improvements can be advanced for the future, be they under the eye of CREG, which must continue to play its pre-eminent role.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u71	Mr President, Minister, ladies and gentlemen, I take note of what Mr Calvo has said. No one, certainly not us. I have not heard the Minister explain this either. I want to undress the role of the CREG. That's not the point. Two debates are mixed together. There is, on the one hand, the debate on the contribution for the last quarter of 2015. There are many questions about timing and transparency. We've had that series. I too have asked my questions about this. I hope to have further clarification on this. What the Minister wants to do, however, is to raise a second problem, which the CREG has also pointed out. The CREG has, I understand, indicated that it has to count within a fork. It cannot calculate an exact amount, as at least one parameter from the annexes to the convention can no longer be applied. That way the CREG can't do its job. That must be restored. We all want to restore the role of the CREG. She should also be able to play her role, which means that one parameter or at least one parameter, of which I know, needs to be replaced, because the parameter no longer exists. So he needs to be replaced. For this purpose, a clause is included in the Convention under point 16.3 which provides that, if an indication no longer exists, it may be replaced by another. So there are two mixed debates. There is the first debate on the last quarter of 2015 and the contribution in this respect, to be decided by an expert in accordance with the Convention. There is the second debate, in which I have heard the Minister make a piste. That is that a solution must be found for the coming years. In the other case, we will have the same debate year after year on the parameters that cannot be applied anymore. I understand. It is not my intention to discuss the same parameter year after year and not to allow the CREG to do its job. In the second part of the debate, therefore, we actually share the same interests. After all, everyone wants the CREG to be able to do its job. This means, however, that the convention will have to be adapted or clarified and that the parameters that can no longer be applied will have to be replaced by other parameters. It's interesting to know how that's gonna happen. Will that be part of the expert's mission or will we arrange it in a different way?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u72	As a member of the majority, ask the minister for the documents to be sent to you because she does not answer me when I ask her about the parameters of the CREG.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u73	We shall return to that point. When we have finished the turn of the lines, I will make a small conclusion because I think that we must close this point. Mr Nollet, you can reply briefly as agreed.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u74	Minister, I understand better why you do not want to publish the terms of the agreement with Electrabel and EDF because, now, we have understood the deal, the content. It's about bypassing the CREG and putting it out of the game. You say "no," Mr. Lachaert. She explained why!
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u75	(...)
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u76	Publish the mails and then we'll see!
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u77	Read the convention!
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u78	Mr President, I believe that colleagues will react to what the minister has just said! Today, we finally realized that the CREG was out of play. The independent expert takes his place. This is unacceptable to us and we understand better why she does not want to publish the terms of the exchanges she had with Electrabel and EDF. If she were so comfortable, she'd publish them. She'd give us a copy. Earlier, we referred to transparency. In this case, it is enough that it takes responsibility, that it applies that transparency, in which you also plead, that it publishes the letters and we will see what is happening! Do you agree with that?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u79	Ladies and gentlemen, today we devoted 2:15 a.m. to a debate on the subject. If it was useful, it is not closed. It is understood that there are proposals on both sides to continue. I am open to the possibility that, in a thoughtful form, we may return to the file. I will not improvise on how to do it. [[On the other hand, I have heard of the wish to obtain the CREG report.]] Therefore, I will add my voice to those who request it and I intend to refer it to the Speaker of the House to solicit it. That's for the CREG report! There's a request for documents. The minister heard her. We can talk about it again and look at how to get back. The question was clearly asked. I have not heard a formal reply on this matter. We'll talk about it again. The question was asked with insistence. I think we need to go back to this issue, but I suggest that you close this topical debate now. This is not a definitive conclusion.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u80	Mr President, if the minister has them, let her pass them on now!
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u81	I think the current affairs debate is ending here. We won't go any further now. We have heard what has been said and repeated with insistence. The question was asked. I have not heard the reply on the availability of those documents. I propose that we return to the debate in a thoughtful way with the various parties. We'll see how we can do it.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u82	We'll ask Mr. Charles Michel.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u83	If it is difficult to obtain the documents, I still hope that we will be able to reach agreement on the follow-up, in this committee, on the expert's mandate, and that we will invite the CREG. I don't want to talk about CREG. If the CREG has any concerns about the M.O. today, I want to hear them. The best way to formulate the mandate is to organise a meeting with the CREG within a short time to examine the remit of the CREG and the expert, and to discuss it with each other openly. I believe that we can reach an agreement on what we are going to do to ensure that things do not go smoothly.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u84	Mr Calvo, as I said, I am prepared to follow up on this debate. I will take an initiative on this. Let's talk about it again.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u85	As regards the continuation of our work, we have an agreement with the Minister to postpone the issues originally scheduled this morning to Tuesday, 4 October, at 10.15 a.m. However, today we will still deal with the joint questions raised by Mrs Lanjri and Mr Raskin under item 3 of our agenda. Question No 9668 by Mr Flahaux is transformed into a written question. Question No 12293 by Mr Senesael will be dealt with in the Committee on Public Health. The remaining questions are deferred.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u86	Mr President, Minister, since 1999, together with the liberalisation of the energy market, a system of residentially protected customers has also been established, allowing a social tariff for gas and electricity. In 2007, it was therefore decided to always give people with disabilities the right to that status. Since 2009, there has also been an automatic allocation in principle, but in practice it has only been applied from the decision of the Directorate-General for Persons with Disabilities. For an average family with two children, based on the prices of the cheapest supplier, the social rate can make a difference of about 270 euros per year. For this reason, the Ombudsman has made a recommendation on this issue in his annual report for more than three years. In 2012, he made a first recommendation that, in the case of retroactive granting of the allowance to persons with disabilities, the rightholder should not receive the social tariff from the moment of the decision on his disability but from the moment when he is entitled to the social tariff. This automatic award proved to be a very complex matter. That is why the ombudsmen proposed a kind of compromise in 2012. They suggested that the Directorate-General for Persons with Disabilities should issue paper certificates to persons with disabilities who would receive a concession so that they could deliver it to their supplier and apply for the application of the social tariff, with retroactive effect. Until now, however, this problem has not been solved, although there has been consultation with your administration, with the General Directorate for Energy and with the FPS Economy. In principle, the right to the social tariff should not depend on the speed of operation of the administration. Sometimes the counter argument is used that the system contains a waste at the end of the chain, because the social tariff is granted immediately for a full year, which sometimes leads to a little more at the end. The most important argument, however, is that people who need the social tariff have been unable to make use of it for years. At first they get less than what they are entitled to, because they only get the social rate when it is decided that they have a disability. However, the Directorate-General for Persons with Disabilities decides with retroactive effect to recognise a disability. That could be retroactive for two years. It would therefore be logical that the social tariff should also be granted retroactively. That's why I'm asking the question again. The federal ombudsmen have served with your administration. In order to overcome the deadlock, they have formulated the compromise proposal to maintain the current system of automatic application from the quarter of the decision, pending the adjustment of the automatic application, to which we are of course still committed, but also to ensure that the final customer or the customer can request the retroactive application of the social tariff from the date on which the decision was taken. He could then ask for this on the basis of the paper certificates he receives from the Directorate-General for Persons with Disabilities. That is actually the compromise proposal that has been formulated. I assume that's what your administration got. Can you tell me why it has still not been applied? What are the difficulties there? How will you unblock that? After all, I assume that you also support the principle that people should be able to exhaust their rights and that certainly the weakest in our society, people with disabilities, if it turns out that they have this disability and that those who have had it for two years, for example, should be able to benefit from that social tariff for two years and not just from the moment when a decision has been taken. This is actually due to the government, because sometimes it takes a long time for a decision to be taken. If that decision had been taken earlier or immediately, those people would have been able to benefit from that social tariff for two years. So it's not an extra cost, it's just the principle that the government doesn't manage to do it automatically from the moment someone is entitled to it. I would have liked to have heard from you how you intend to solve this problem and whether you can at least agree to the Ombudsman's proposal, which is a compromise to do this on a temporary basis.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u87	Madam Minister, I refer to the Federal Ombudsman's annual report, which raises a number of complaints about the social rate for people with disabilities. Some target groups are granted retrospective concessions, but they do not enjoy the same retroactivity of the resulting right to the social tariff. That's the problem. I questioned your colleague, Mr Sleurs, about this. She pointed out the responsibility of FOD Economy. I now come to you, Minister, but I assume you will also pass on the question to your colleague. How do you intend to comply with the recommendation of the Federal Ombudsman? Within what time do you see an effective solution to that problem?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u88	Ladies and gentlemen, thank you for your questions, which have already been put to me by other members of the committee. Moreover, our President had this file in charge when he was Secretary of State. I would like to make it very clear that the current legal framework does not justify retroactive application of the social tariff as proposed by the Federal Ombudsman in his recommendation. This position is legally justified. Even in neighbouring countries, no retroactive application is foreseen. I also refer to the social tariff for water, which is based solely on the situation on 1 January, while for energy it is based on a quarterly basis – which is more favourable. Notwithstanding these legal aspects, my administration has endeavoured to formulate a proposal to respond to the grievances of the Federal Ombudsman. It has no relation to the legal framework for social tariffs. In summary, I proposed to pay a supplement to the social benefit, which would have constituted compensation for the delay in processing the file with the Social Security - Disability DG FPS, which you mentioned earlier. During this period, therefore, the beneficiary did not receive the social rate. However, the Federal Ombudsman did not respond to this proposal. That's why this one didn't get any follow-up. In order to avoid any misunderstanding, because I want to be very clear on this sensitive issue, the legal and operational implementation of such a proposal, as Mr Raskin has already felt a little bit, falls within the competence of the SPF Social Security since this supplement would be included in the social benefits. In addition to my reply, I would like to inform you that in a few weeks' time I will present a scheme which extends the benefit of the social gas tariff to tenants of social and assimilated real estate agencies, beneficiaries who were abnormally included in certain circumstances since they did not have individual meters. More than 1,800 households will therefore be affected by this extension. That is what is possible in my skills. Thank you for your attention.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u89	Madam Minister, thank you for the answer, including for the last element, which is new. That is a good thing. I have not understood correctly whether the compensation you provide is a preliminaries to the allowance for persons with disabilities or whether it is an additional concession from your department?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u90	The proposal is that it would be a supplement to the social benefit. But this supplement would be integrated into the framework of social benefits and therefore does not fall within my competence. In response to the Ombudsman, I made a proposal, but on the one hand, the Ombudsman has not yet responded and, on the other hand, if it is to be implemented, it is not within my competence.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u91	Madam Secretary, if I understand you correctly, you want to increase the benefits, which is actually already happening. After all, at the time when a person is recognised as a person with disabilities, he also receives the benefit of the period before recognition. He's already getting that benefit. What we are proposing now and what the logic itself would be is that the same thing would be done for the social tariff. If it is established that the person concerned should actually be recognised as a disabled person, which in one case must have happened a year ago, and in the other case for two years, that will not be solved with the solution you are proposing. He has, if necessary, missed the social tariff for two years, if I understand this correctly. It is therefore not an argument that neighbouring countries do not. Perhaps the neighbouring countries will be quicker in dealing with or granting the decision on a person's disability. In that case, the social tariff will not be missed either. Perhaps there should also be thought, Madam Minister, of bringing legislation into line. You say that you follow the rules and that the legislation currently does not allow this to be applied retroactively. You can change the legislation in this area yourself or Parliament can come up with a proposal for an adaptation. It is, after all, a question of those who, if the decision had been taken earlier, would have received the social tariff and now miss it. I think it is good that you are trying to think constructively, Madam Secretary, and that you want to see what you can do. I like that. I hope that your services will be able to discuss further with the Ombudsman. Where appropriate, the dossier may also be presented orally. However, I do not think the solution you are proposing is the right one. Maybe I see it wrong, but I do not think that the problem has yet been solved because people can still miss the social rate for one or two years. This is all the more true because benefits for people with disabilities are already low. I therefore think that it is only logical that they should be given retrospective what they are entitled to. In your fields of competence, rights should also be granted retroactively. I understand that you say that this is not possible at the moment, because it is not legally permitted yet. However, the laws may be amended if necessary or if an adjustment is justified.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u92	Madam Secretary, I would like to join my colleague's reply. The answer is not quite clear to me. Are the social benefits you are talking about not the benefits that are paid retroactively, which we are calling for? Or is it a surplus to compensate for this? It's not clear to me. I wonder whether social benefits are legally possible or not. I agree with Mrs Lanjri. If we find that the current legislation is not sufficient to address the problem, perhaps we should look at it again. In 2016 it should be possible to match some data from one administration electronically with that from another administration. I would add that the ombudsmen's proposal is very constructive and that the end result they have in mind is very noble. We all support that. I believe that the problem needs to be solved electronically. Paper costs extra money and demands administrative efforts from people with disabilities. In 2016 we must be able to adapt the current legislation in such a way as to create an efficient way of working that meets the needs of that specific target group.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u93	Madam Secretary, I would like to make another suggestion about the way in which we work. Surely it should be possible to answer questions from Flemish colleagues at least partially in Dutch? I know you can read the answer perfectly. It is a question of organisation with your employees and administration; from a linguistic point of view that would be better.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u94	Mr President, you are absolutely right. For these two questions, which are practically similar, I had an answer in French and an answer in Dutch but which do not overlap. I propose to be more direct...
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u95	It must of course be the same answer in the two languages.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u96	I choose the answer that most meets my expectations.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u97	I'm going to be more direct. I propose that the question be taken up at the next sitting, if that is acceptable to you. Or I will send you in writing the content of the other reply in Dutch, which is much longer since it takes over the whole legislation from A to Z.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u98	This must be the same answer in terms of content.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u99	It's not exactly the same, so I'm going to attach the two answers.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u100	It's a matter of courtesy.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u101	Mr President, I will make a joint reply to the two Members in writing.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u102	Perfect.
