ParlaMint-BE_2016-05-25-54-commissie-ic428x.u1	Mr Dallemagne has decided to remain on a commission of inquiry.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u33	Mrs Ben Hamou, the Foreign Office is the point of processing asylum applications. On the basis of daily registrations of asylum applications, the Office of Foreigners sends the Federal Police an initial list of asylum seekers with their identity data. These data are monitored in national and international data banks. The police also receive fingerprints of asylum seekers from the Office. These identification elements are compared with those of the police AFIS database. The result of these checks is aggregated into a message sent by the federal police to SICAD from the person's primary destination centre. The local police in whose territory the centre is located are then notified and can carry out more thorough checks if necessary. The mobilized federal police force is an officer and two and a half full-time equivalents plus staff for processing and flow of information in the CADIS. A full-time equivalent is reserved for this specific fingerprint comparison function. Staff resources have been drawn from existing resources by distracting them in part from other tasks. Computer applications have been developed internally on existing hardware. The result rate varies by week. It ranges from 2 to 3% of known people.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u34	Minister, thank you for these answers. I wanted to ask you this question because it is up to me from the ground that the maximum capacity for fingerprinting is 300 for the whole Kingdom. This poses problems in some files and investigations because 250 capacity is being used and police officers in the field can no longer work properly because they still have a small margin. Are you planning to expand the 300-print frame?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u35	Yes, this enlargement is foreseen in the interdepartmental forecasts, but it is not because of the refugees.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u36	[[...]]
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u37	Minister, following Constitutional Court decision No.103/2014 of 10 July 2014, the federal government decided on pre-pension non-activity measures for certain police officers. Despite what had been announced, it was not the federal government that fully funded this measure, but also the local authorities and the Regions. Indeed, as evidenced by the draft law organizing the financing of the end-of-care measures for members of the local police voted by the majority in the Social Affairs Committee, the joint pension fund of the provincial and local governments will be used. A capped contribution. Secondly, I will refer to the Royal Decree of 22 February 2016 on the terms and conditions for granting subsidies to support the end-of-career regime for staff members of the local police operational framework for the year 2016, which therefore provides for a subsidy for police areas, also capped. The actual cost of measures decided by the federal government is unknown. In the current state, if this cost exceeds the maximum amount provided by the Royal Decree, it is the police areas that will have to pay the difference. However, we know the difficult situation in the police areas. Putting that weight on their shoulders is irresponsible. So can you confirm to me that it will be the police areas that will have to bear the difference between the actual cost and the capped amount? If so, are you going to do anything to help them? If not, who will bear this risk? More broadly, why did you come back on your promises by making local governments contribute through the joint pension fund of provincial and local governments?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u38	Mrs Ben Hamou, I can confirm that if a difference exists, it should a priori be supported by the police areas. However, I can already assure you that the estimated costs for 2016-17 are below the cap. Estimates of these costs have been made on the basis of working assumptions, some of which relate to the behaviour or decisions to be taken by the staff members concerned. They either opted for suitable work or for non-activity. We do not know the choice of each one in advance and we have put forward certain hypotheses. However, it is not objectively possible to accurately predict what the actual decisions will be per year and for the period concerned. Therefore, we plan to carry out several monitorings during 2016 allowing us to better identify trends and refine costs for the following years. After this exercise, of course, I will not fail to question my other colleagues in the government about the possible steps to be taken to overcome a possible shortfall in funding. What I said, I keep it, but we have to wait for reality to see how it's going. But my commitment that it would cost the local authorities nothing more, I confirm it. It is not a question of making local authorities contribute. Indeed, we have used exclusively the savings made by the integrated police to finance this end-of-care scheme. It is clear that for the federal police, it is another pension system than for the local police. It's a little more complex, but my commitment remains unchanged. I don't want to increase the cost to local areas. There is a small element of pre-financing between the moment the officer in question decides and the moment when things are settled, but ultimately, it will cost nothing, as I promised.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u39	In your speech, at the very beginning, you say that it might cost local areas something, because we don't have the numbers yet. In fact, we had a debate on this subject in Social Affairs and the Minister of Pensions, Mr Bacquelaine, could not yet give us figures because for him, too, it was a forecast. We don't know who is going to use this pre-pension non-activity. He also told us that if in the end there was a difference between the capped amount and the federal envelope, that if it were to cost more, it would still be the areas that would have to pay, that he was not competent. I have already asked you several times about this in the past. You have always told me that it would be the federal government that would be responsible for funding this pre-pension non-activity.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u40	And I confirm it. The only thing I'm saying is, a priori, it would be supported by the zones. And then we'd do the math again. I can't give you any numbers. An appeal was filed with the Council of State, which confirmed our draft today. So it just started. We have to do the monitoring knowing how many people will use the system or not. On the basis of that, we will see. We must also see if they are people in the federal or local police. We've done calculations on the basis of assumptions. But the assumptions must be monitored in reality. We need to see if they were correct or not.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u41	But so you maintain that if we ever exceed the amount, it is the interior that takes responsibility and pays the difference?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u42	That's right. The federal state.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u43	I'll tell you again, won't I?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u44	Yes, yes. I hold the floor in general. It's a big disadvantage for me.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u45	Mr. President, Minister, as part of the terrorist threat, last year again, police officers were regarded as targets of choice, pushing police stations to take action, particularly in relation to unarmed police officers who were confined to the interior. Today, police officers are seeking better security in their workplaces. There is a certain lack of awareness of emergency protocols in the event of a targeted attack on a headquarters or police station. More specifically, police officers - or other at-risk locations - should an attack occur, they must be able to adapt their behaviour to the situation. Is it, as in the case of a declared start of fire, to carry out an evacuation, unless it further endangers staff members? Is it advisable for police officers to move to the weapons storage facility and bring their weapons with them? Is an office containment indicated? Without mobilizing much more resources, it would seem interesting to clarify the protocol. And why not adapt the tools put in place as, as an example, a particular alarm that would trigger the said protocol? In this context, my questions are as follows. Is there a protocol contained in an official document and communicated to staff regarding the appropriate response in the event of an attack? If so, what is it? Is it possible to install an alarm separate from that of the fire alarm in order to notify staff of the launch of this protocol?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u46	Dear colleague, in the event of a high threat, there are procedures. The threat is determined by the OCAM. The crisis centre determines the measures to be taken and implemented by the police. There's not just one alert protocol. The co-ordinating directors of boroughs are responsible in this area for the buildings of the Federal Police. As far as the local police buildings are concerned, it is the chiefs of corps who are responsible. As regards the installation of a separate alarm from the fire alarm, I confirm that this possibility exists. It should be noted that this system will require the installation of new alarm diffusers in the target infrastructure. The fire alarm diffusers do not allow to broadcast a different tone or even a predefined voice message. The services referred to are responsible.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u47	Minister, if I understand correctly, in fact, there is no protocol at the moment. It is really the heads of bodies who finally decide, as a good father, what they do. Are you considering a protocol especially with recent events? Are you thinking about creating a protocol or something new that you would like to set up within police areas?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u48	No.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u49	Thank you for your answer.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u50	Mr President, Minister, I have already had the opportunity to hear from you about the problem of the lack of shooting stands available to police officers. We agreed that the number of police officers was insufficient to ensure proper training. At that time, I drew your attention to the brand new shooting range at Rue Royale in Brussels, which required certain controls and modifications. In March 2015, you assured me that the necessary adaptations had been made to the bullet traps by the owner who was responsible for the delivery of the shooting stand, that the order for the armoured doors had been placed on the firm which had carried out the installation of the doors and that the last step to be taken before the opening of the shooting stand was a legal check by AIB Vinçotte on the saturation of the air in particles linked to the shooting, which was to take place, according to your information, during the week of 22 to 26 June 2015. Yet, while my information is good, today, this shooting stand has still not opened its doors, pushing the police to train in private shooting stands for a fee while an infrastructure has remained in stand-by. In addition, you also announced your goal of reaching six shooting stands available in Brussels by the end of the year. Minister, have you achieved your goal of six shooting stands available in Brussels? What exactly is the situation? Are the controls and facilities up-to-date at the shooting booth on Rue Royale? If so, when will he finally be able to open his doors? If not, what steps remain to be taken? How do you explain this deplorable delay?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u51	Mr President, Mrs Ben Hamou, the controls of AIB Vinçotte have been carried out and have called for compliance of the shooting stands concerned with regard to air quality. The information you have is accurate. Four shooting stands are operational. Two shooting stands are still not back in service. The first, the RAC, the Royal Street shooting range, is now technically compliant. However, we are faced with a blockage linked to the floor covering of the shooting stand, which, according to the trade unions, poses a danger to the shooters. The flooring, however, strictly complies with the requirements of fire standards formulated by the Brussels Fire Service, which severely limits the possibilities associated with the types of floor coverings that can be installed. I would like to draw your attention to the fact that these requirements are included in the environmental permit and strictly condition the operation of the shooting stand. However, further research is being carried out to identify a coating that would meet the requirements of both trade union organizations and fire departments. Such research had been carried out during the course of the project but had not been able to provide a solution, hence the choice of the current flooring. Given the blockages formulated by the trade unions and the difficulty of identifying a solution that meets all these requirements, I am not yet in a position to give you an exact date to open the shooting booth. The second concerns the second shooting stand of the Geruzet in Etterbeek. The technical adaptations have been carried out by the Régie des Bâtiments and air quality measurements have demonstrated compliance. However, in the course of a real-life test, a new technical problem arose, which necessitated the necessary additional checks. You will understand that any doubt in this regard must be removed in order to guarantee the safety of the personnel involved in making use of the shooting stand before it is reopened. The latest test performed has no longer revealed any problems, but additional tests will be performed to ensure that they do. Unfortunately, I cannot yet move on to a deadline for opening. Normally, everything should be in order in the second half of 2016.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u52	Thank you, Minister. What about the objective of creating additional shooting stands? You mentioned that in an answer to a previous question last year.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u53	There are a total of six shooting stands in Brussels, four of which are in order and two have problems.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u54	The problem with the CARs is simply the flooring.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u55	Yes. But it is difficult to find a soil that meets the standards, on the one hand those requested by the trade unions, and on the other, those required by the technical inspection.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u56	But the Fire Department finally agreed to the opening of the shooting range?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u57	Yes
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u58	So everything's in line. Thank you for your answers, Minister.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u59	Mr President, Mr Minister, the national solidarity mechanism which regulates the provision by all the police areas of the country of part of their operational capabilities for the benefit of another area facing an ad hoc administrative mission is indispensable. Police zones have a duty of mutual assistance. That said, this solidarity is only made possible if this reinforcement remains punctual and only if it does not disrupt the exercise of the other features of the police. This is a provision which must therefore take into account the respective operational availability and workloads. However, it seems that some local areas are experiencing difficulties today in assigning some of their personnel to support the federal police, such as border surveillance. For them, the situation is no longer the order of the punctual or the exceptional, but it would be, and I quote a head of the corps who expressed himself in the newspaper Het Laatste Nieuws, a "consequence of drastic savings at the federal level". Mr Minister, does this reinforcement of local areas, which is now in the long term, always come within the framework of the solidarity mechanism? Or is it a structural adjustment linked to the lack of police capacity? If local areas refuse to provide their staff, as some have already indicated by mail, what solutions do you envisage?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u60	Madam, I give you the letter I sent on 13 May to the mayors concerning the solidarity mechanism of the local police towards missions of a federal nature. We have explained the obligations and the legal framework. I would point out in this letter that I am aware of the workload of the police forces under MFO-1 and MFO-2. Solidarity mechanisms must be reviewed, even if capacity to date has never been fully utilized. A working group of police officers comprising representatives from each level of the police was tasked with improving and adapting the HyCap mechanisms. I realize that we need to adapt this whole system. In the face of current crises, I can only rely on existing mechanisms. Since the principle of solidarity is one of the foundations of the integrated police force, it is essential that it be respected by the police services. In addition, I asked the AIG to conduct an analysis of requests for reinforcements and responses to refusals by the police. So the AIG is going to do an investigation.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u61	[[...]]
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u62	Areas are loyal and others refuse. So I asked the AIG how it is possible that some areas say they can't. They're right or they're wrong. Other areas provide support. Is there an objective situation? I can't draw any conclusions yet. It's in progress.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u63	Have you defined a guideline for the investigation?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u64	I can't impose a deadline.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u65	Let's look at PolBru's situation. It is a police area that has to deal with a lot of events and demonstrations in Brussels.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u66	That's a really bad example, because PolBru gets a lot from HyCap.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u67	Okay, but there's a lot of work to do.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u68	We have to make the balance. For the Brussels police areas, I want the HyCap eliminated. Obligations must be shared. Now I agree.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u69	Missions must be provided on a daily basis. In addition, events and demonstrations must also be monitored. I'm not defending PolBru. I'm not the spokesperson. This is one example among others.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u70	I'll be very clear. We have four crises to deal with, all of which involve the police: the "terrorist" crisis, the refugee crisis, the crisis of the dismantling of camps and, now, the crisis in prisons. If you think we can predict management capabilities without putting pressure on these organizations, I tell you that we will never succeed. When they are resolved, we will have a huge reserve capacity. This is a very special situation. Every crisis requires a lot of police capacity. That is why we are putting pressure on the police organization.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u71	And also personnel. Indeed, you had reduced the number of recruits. Today, you're increasing it. I welcome this and hope that the situation will be resolved through this.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u72	We said three things. First, the new organizational table had been decided by Mrs Milquet. Then I announced that we would move forward on key tasks and recruit. Finally, we increased the scale. That means I'm going to increase the number of recruitments. However, there is a need to work with some logic. Announce recruitment before discussing key tasks...
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u73	The debate on key tasks is not over.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u74	You're saying?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u75	I say that the debate on key tasks is not over.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u76	Political decisions are taken. We were able to estimate recruitment capacity. Now we need to recruit in order to complete the OT3. It seems to me quite consistent.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u77	Minister, I can only rejoice that you are increasing the number. Thank you very much.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u78	At your service!
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u79	Mr President, Mr Minister, I know that the subject is being dealt with by the Attentats Committee of Inquiry, and that it has already been the subject of a number of comments. My request is factual, if I may say so. The findings have been established; it is known that there have been serious failures on the ASTRID network on the day of the attacks. The explanations given to the committee of inquiry by the CEO of ASTRID networks revealed shortcomings in the information, but also, no doubt, deficiencies in technical capacity. Commissioner General De Bolle ordered an investigation into these deficiencies. At the same time, ASTRID, together with its users, carried out an analysis of its operation, both technically and operationally. We already have a few conclusions from the press. Minister, I would like to know what the state of this investigation ordered by the Commissioner-General is today, if you have received the conclusions. What are the lessons you can learn from this? Have you already issued concrete guidelines and recommendations for the ASTRID Board of Directors to improve the functioning of its system? Do you support a revision of the gsm transmission standards in Brussels, which seems to be a request from some operators and the ASTRID boss? In the recommendations, are user advice provided? In the meantime, since my question dates back to 25 April, I have seen that recommendations have already been made for users. I would like to draw attention to the fact that the shortcomings of the ASTRID network do not date from 22 March. This is a problem that has long existed and has been the subject of numerous interventions by many parliamentarians from all sides, and to which we return regularly. I don't know how far the thought should go. Should a specific network be set up for large-scale disasters or events of particular magnitude? This exists in some countries. It is up to you to tell us the general direction you intend to take as a result of these findings.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u80	Mr President, Mr Maingain, I have a fairly complete answer here, of which, if I may, I will give only a few points to the oral question. Of course, I will pass on the text to you. With regard to your question about the results of the investigation, please be aware that immediately after the attacks of 22 March, ASTRID and the ASTRID User Advisory Committee, which represents all the relief and security services, have initiated both a technical and an operational evaluation. It also identifies areas for improvement for the future. Detailed results will be reported as soon as the analysis is completed at the end of this month or at the beginning of next month. As far as the technical findings are concerned, ASTRID has not experienced a breakdown. Both radio and alerting and dispatching systems have always held up, but massive mobilization and hundreds of simultaneous communication groups have made radio communications difficult. The systems were therefore overloaded but did not fail.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u81	As a result, part of the communications could not be assumed.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u82	That's right. Several ASTRID communication systems were very strained during the emergency. The radiocommunication network and the ASTRID network experienced unprecedented volumes of communication for several reasons. Firstly, because of the exceptional nature of the emergency situation. Subsequently, the relief and security services received requests for reinforcements from all corners of the country, which converged in Brussels. Finally, we must mention the saturation of commercial gsm networks. As such, BASE has, for example, taken the decision to increase communication opportunities by freeing itself from de-listing standards. The dispatch centre and the emergency call centres were also very busy but continued to function well. The volunteer recall alert system, Paging, was very busy but did not encounter any problems. What are the operational findings? The way radio users use the network influences the volume of capacity used, especially in crisis situations. When many people gathered on a single site use their radio, compliance with emergency communication plans can prevent network saturation. The dramatic context, with moments of stress and emotion, influenced the way the police and rescue services used their radio. Users have not always complied with the crisis communication plans programmed in each of their ASTRID radio stations (for example, more than 1,000 individual calls, full of capacity, established on the day of the attacks), which, among other things, has led to a sharp increase in the number of communication groups and has inevitably accelerated the saturation of the radio network. This human factor should be taken into account in the analyses. ASTRID systems have demonstrated in the past that they are designed to withstand communications peaks during mass events or major incidents in our country. In this regard, ongoing consultation with local authorities and relief services in the field is crucial, as is regular training and training of users on the use of radios in crisis situations. The way radio is used already has an influence on the load on the network. What are the lines of action? At its meeting on 22 April, ASTRID's Board of Directors formalized its request for an operational analysis and recommendations to the Advisory Committee. The main areas of technical improvement are as follows. Firstly, the optimization and technical renewal of all ASTRID systems, already provided for in the corporate plan approved by the Board of Directors. Then, a battery of quick wins, technical measures that can be taken in the short term. Quick wins were discussed with users, including a faster deployment of the mobile relay antenna and a more direct and clear framework managing communications with the Crisis Centre. Finally, capacity building on the relay antennas of the radio network in Brussels or in the major cities is possible by the end of 2016. For this, ASTRID needs additional frequencies. This request has not been accepted in the past. It is currently being discussed with the IBPT in particular. We now have a new argument. I therefore hope that the IBPT will be able to respond positively. As regards priority communications for the High Speed Data ASTRID service, since 2014, ASTRID has been offering emergency and security services the possibility of using all Belgian 3G and 4G commercial networks and neighbouring countries for the rapid transfer of data to tablets or computers with a single SIM card. This High Speed Data service called Blue Light Mobile is secure and reserved for emergency and security services only. It offers the realization of the mobile office concept that can collect practical information from data banks or that can send information, including videos, from the operational field. The transmission speed is that offered by this technology offered to the general public but with the increased availability of several operators. At the request of users, ASTRID is currently exploring the possibilities of developing this Blue Light Mobile service with more service guarantees but also for the addition of the voice telephony function in addition to the existing data service. As regards the revision of transmission standards, the ASTRID system uses European TETRA technology specifically designed for emergency communications in Europe, and different from that of gsm. However, ASTRID's facilities are also subject to the strict emission standards in force in our country and in particular in Brussels. In addition, a new, more binding and restrictive standard emerged at the end of January this year. It also applies to the balconies of the houses. This new provision calls into question the compliance of some existing ASTRID antennas in Brussels and, above all, undermines the possibility of strengthening the capacity and coverage of the ASTRID radio system for rescue and security services in Brussels. I think there is a need for reflection. Indeed, we have seen that BASE exceeded the standards on the day of the attacks. Perhaps we must move in this direction and go beyond standards in serious circumstances. As regards the meeting with the Secretary of State of the Brussels-Capital Region, contacts were made immediately after the attacks. Through the User Advisory Committee, ASTRID took part in these meetings with all disciplines. ASTRID has also been in direct contact with all user organisations: the Fire and Emergency Medical Aid Service (Siamu), the police areas, the Red Cross and the Civil Security and Emergency Planning Unit of the High Administrative Officer of the Brussels agglomeration. With regard to user advice, the ASTRID User Advisory Committee calls on all user organizations to work together to avoid such communication disruptions in the future. ASTRID regularly stresses the importance of respecting radio discipline and invites recommendations on its website. You will find the link to the latter in my answer. On 21 April, Civil Security published recommendations on its news site, also disseminated through its newsletter. In the coming days, the ASTRID User Advisory Committee will send a letter containing a series of recommendations to all user organisations in Belgium. The recommendations focus on four areas and will therefore be distributed throughout the network: - provide for a limited number of communication groups per province in the event of a major incident; - planning, at regular intervals, communication exercises for incidents; - use these crisis communication groups during the exercises, which will make radio users accustomed to specific groups; - avoid scanning and individual calls during incidents.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u83	Minister, thank you for this very comprehensive answer. Of course, there will be investments to be made and to be financed. So far, much of the funding has come from users, police areas that make a significant contribution to the funding of the ASTRID network. We will also have to see what can be invested by the federal level, because I don't think all the money has to come from the users alone. We will discuss this when we have final recommendations and a better defined investment programme.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u84	Mr President, I would like to say how pleased I am to come and say hello to you in the Committee on the Interior!
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u85	You're always welcome.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u86	I'm glad I can come here. Minister, we know that securing our railway stations and infrastructure is an issue more than ever necessary to guarantee. The federal government has already taken several initiatives in this area. I am thinking of video protection. In addition, in recent months, both the police and our military have been working to strengthen the security of SNCB's infrastructure. In addition, the Securail services also carry out important field work in order to secure the environment of the staff, but also, of course, of the users of our infrastructures. In this regard, I have come back to the fact that some of the demands emanated from these agents, who are calling for the reinforcement of work and intervention equipment. Therefore, my questions will not surprise you. Minister, have you received a proposal from the SNCB calling for a strengthening of the armament of the Securail agents? If so, when did you receive it? What is the analysis of your services? What conclusions have been communicated to you about this proposal? Finally, what initiatives and possible legislative changes can you decide on this, in collaboration with your colleague in charge of Mobility? Thank you.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u87	Mr Pivin, a possible request to extend the security equipment of the Securail agents must be considered in a broader context. I did receive the request in the form of a letter from Jo Cornu, but I don't remember when. In my view, we must put this issue in a broader context. At present, we are working on the creation of a special direction within the police, to which guarding tasks will be assigned. As you know, this will be the "safeguarding and guarding" management. In addition, many police officers are currently present at stations, a fortiori at international stations. Securail personnel also patrolled there. I think it's a little too much. If everyone receives only part of the skills, we will face real fragmentation. My vision is that we must integrate all these elements. I don't see any advantage in having Securail, the police, the railway police, etc. To this end, I met with the new Minister of Mobility. At that meeting, the issue of the integration of Securail into the police was discussed. I asked my colleague to think about it so that we could then exchange our ideas. The reflection has therefore begun. Security at the stations goes further than the only position in Securail. We are looking at how to continue the work. I am convinced that we will be able to ensure better safety at stations with both human resources and technology. So, before determining whether to arm and equip Securail, without wasting time to think about it, we must first determine the best position of Securail. I must say that Mr Bellot is open to discussion, because he himself asked himself these questions.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u88	I can hear you. As the reflection is under way, there is little useful reply to make. Especially since what we also mean about the too many speakers in some places also raises questions of responsibility and decision-making. Therefore, I am personally encouraged by your reflection on the integration of all operators; also hearing, even if you do not explicitly say so, that you are not opposed to the idea of Securail's armament, if it appears that the latter should become the priority operator. That's very good. Thank you, Minister.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u89	Mr Minister, on 27 February last, considering the exceptional situation at the Franco-Belgian border near the migrant camp in Calais in France, you decided on a detachment of police personnel on the Belgian coast with a view to strengthening the controls under the so-called Medusa plan. The first figures that were provided concerning the work carried out by these police officers at the Franco-Belgian border demonstrated the need for this police reinforcement. Since then, there have been reports of very few crossing points at the French border that are actually controlled, whether by day or by night. I was also able to observe recently that a new structure of cooperation between Belgium, France, the Netherlands and the United Kingdom was being set up as part of a new task force in order to better combat illegal immigration routes. This is, of course, an excellent initiative. So how many police checks have been carried out since February 27th? How many migrants have been interrogated by the police at the Franco-Belgian border since that same date? How many police officers have actually been assigned to this monitoring mission? Finally, can you indicate what is currently the situation at the Franco-Belgian border in terms of the risk of migrants passing from France to Belgium - with a view to crossing to England - and how many police officers are still assigned to this monitoring mission to date? What are the tasks you plan to entrust to this new task force that would be in place?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u90	Mr Pivin, from 27 February to 24 April included, daily checks have been carried out. However, the total number of checks was not recorded. However, I can assure you that 1,684 illegal residents have been intercepted. The number of police officers engaged varies according to peak or risk hours after analysis of previous intercepts. In the initial phase, the 24 hours were covered with more than 200 agents per 24 hours. A member of the Foreign Office was permanently present at the RAAK Administrative Processing Centre. It is an administrative center located in Furnes, where every intercepted person was registered. After interim assessments, the occupation could be reviewed for so-called off-peak hours. This assessment is continued every week at the present time. The road still exists, but there is a sharp decline in the number of interceptions. The alleged threat of a great escape following the possible sudden and forceful evacuation of the refugee camp in northern France seems to me no longer relevant. At a meeting held in March, it was decided to draw up a holiday schedule in consultation with the operational services. On 19 April, it was decided not to hire staff at fixed checkpoints. The option has been taken for a daily patrol engagement, it is 30 FTE with RAAK, plus the police of navigation to the hotspots in matters of terrorism, transmigration and processing of these files. This week, there is still a follow-up meeting. The reduction of fixed patrols has been evaluated because the migratory flow has disappeared, but this can still come back. At the moment, I can say that the situation is under control in this area.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u91	I thank the Minister for the clarifications. I don't have a reply to make.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u92	Mr President, Minister, the work done by law enforcement agencies over the past year and a half is more than worth mentioning. These people who work on the front lines in the face of unprecedented threats in our territory maintain a high level of professionalism, especially as we know that the situation requires us, as you mentioned earlier, to further strengthen our police services in the face of these challenges. The government has made unprecedented decisions to increase the level of intervention of our special units or investigative capabilities. We also know, on the basis of state of affairs, that a number of police officers are missing in the federal police units, but also in local police units, I am thinking here of the Brussels Region. There is a shortage of approximately 600 police officers in the Brussels police areas. Mr. Minister, last year you announced a recruitment of 1,400 police officers. Can you tell us what recruitment and training procedures have been initiated for these 1,400 new police officers? When will these 1,400 police officers be trained and effectively operational in the field? Can you indicate whether you are considering regulatory amendments that would, in particular, stabilize the presence of police reinforcements in areas where the deficit is most felt? I am, of course, thinking of curbing the mobility which causes units to move especially outside the Brussels Region.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u93	Mr.President, Mr.Pivin, compared to 2015, I have increased the number of training inspectors from 800 to 1,400 in 2016. This year's planned recruitment includes 1,400 police officers, plus an additional 200 police officers, to enhance airport security. So, 1,600 for this year and 1,400 for the following years. On the basis of the data collected according to the needs and schedules of the schools and also on the basis of the analysis of the available costs and budgets and the positive opinions to be obtained from the Finance Inspectorate, every effort will be made to try to allocate the winners of the selection tests to the police schools. In April-May, for example, 400 new police officers began training in the police schools in Brussels, Jurbise, Liège, Namur, Antwerp, Asse, Bruges, Genk and Ghent. A second training session will begin in September-October and a third in December. We want to reach 1,600 this year: 400 in May and a start of training in September and December. As long as training capacity is available in police schools, recruitment, selection and training will take place in accordance with existing rules and principles of the legal position of police personnel. In response to your second question regarding the 2016 decisions (1,400 + 200), in the course of 2017, the first inspectors will be in office. Since the duration of the basic training for inspectors is still limited to one year, it is provisionally supplemented by a probationary course of six months to supervise the aspirant inspector and to strengthen and develop his skills acquired according to the particular characteristics of his future workplace. As far as your third question is concerned, mandatory attendance times are already provided for in IPM 73. Flexibility is provided. Derogations are possible with the agreement of the chiefs for the local police and the CG/IMD for the federal police. Aspirants who have obtained employment as a result of mobility or immediate recruitment are in principle bound by a five-year attendance period. With the agreement of the Chief of Staff for the local police or the Commissioner General or the Director General concerned for the federal police, this period of presence may be limited to three years. Aspirants who have obtained employment as a result of additional recruitment shall be held at a time specified by the police service concerned of six, seven or eight years. Aspirants who are appointed ex officio inspectors shall be required to be present for a period of two years. With the agreement of the Chief of Corps for the local police and the Commissioner General for the Federal Police, this time of presence may be limited to one year.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u94	Thank you for this very comprehensive answer, Minister.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u95	Question No 11627 by Mr Hedebouw is transformed into a written question.
