ParlaMint-BE_2017-03-29-54-commissie-ic635x.u1	It's time, we'll start the work.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u46	It's already planned for research. The number of students that can be attributed in research for a few years or for a year or two is variable. It's already planned. This does not give us many opportunities to double the cohort again. For others, we still have to take into account... You're talking about other internships, but the training is still important. There's no time to waste. They also have academic work to do. We really must first try to organize internships in university hospitals, as planned.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u47	However, part-time work is being considered; there are plans to abolish internships in hospitals for general practitioners. I think it may be worth thinking about alternatives, such as services in other places. It will of course be necessary to ensure that they are accompanied in their training.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u48	I close this point, because Mr Blanchart had to leave us before he could reply.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u49	Madam Chair, Madam Minister, I am updating my question, because it goes back several months. If I wanted to come back to the matter with you, it is because there is clearly a very strong protest from the doctors represented by their various unions, given the unilateral savings that had been imposed, the non-respect of the word given, the non-compliance with the agreement that has been reached with the government. It was therefore absolutely not surprising that the representatives of the doctors responded. The breach of trust, we can say, was total. Today, we are, without having done it on purpose, in the middle of the news because yesterday you entered into a "mini-agreement". You'll allow me to call him that. Maybe the point on the basis of this "mini-agreement". Madam Minister, I would like you to make very clear commitments here on how this agreement will be respected, whose work will continue with a consultation that is not bogus or a facade. Trust must really be restored with caregivers and, in particular, doctors. I hear these commitments, Madam Minister, that you are taking them here in Parliament.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u50	Madam Secretary, these questions have long become obsolete. I'll put my two questions together. Meanwhile, there would be a mini-agreement between the RIZIV and the doctors. But how will that agreement evolve? What's in it for the patient? To what extent does the patient have the assurance that doctors will comply with the agreement? What will happen until the end of the mini-agreement? Is the government still making efforts to reach a broader, more accurate and, above all, more secure agreement with the doctors?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u51	I won't repeat the whole history. The agreement was terminated after the discussions of the 2017 budget. There has been a clock stop, which has suspended the further negotiations. I went to the National Commission on Doctors-Sickness Funds on 24 February 2017. On 24 February, the National Medical-Mutualist Commission took note of the Government's response. The latter is willing to engage in this consultation on various points mentioned in the letter and has asked the committee to prepare this consultation in depth. The various partners in the committee will cooperate constructively. A few weeks were needed for such consultation. The committee would like to know more quickly about two points: firstly, the adaptation of several legal and regulatory provisions within the government has been discussed. The committee insists on the relevant texts as well as the approval procedure scheduled for the end of March 2017. Finally, the committee also wanted the General Council of the RIZIV, in which the government is also represented, to express its views on the relationship between the agreements and agreements agreed with the budget and the budgetary imperatives. A meeting of the General Council took place on 13 March 2017. There was a constructive discussion. Last Monday evening, as always, the National Commission on Doctors-Sickness Funds met. Except when I was there, it was a Friday night before the holidays. They obtained a new agreement until the end of 2017. Why does the agreement run until the end of 2017? The agreement was intended for two years, namely 2016-2017. Negotiations for a new agreement for 2018 should begin in October. That is why the term has been shortened and we call it a mini-agreement, from 27 March to the end of 2017. There is therefore tariff security until the end of 2017, Ms Jiroflée. I seem to have missed your tweet. The mini-agreement is now also being submitted to the doctors. As always, they must decide whether they want to endorse the agreement negotiated by their representatives. This text will be presented in April and we will know how many doctors join the agreement. It goes without saying that doctors who do so can retain their social status. That's quite a twist. In the meantime, as agreed, we will continue to deal with the points raised by both parties in the Medicomut. That will be difficult discussions. I'm not under any illusions about that. There is a desire to continue to negotiate all those matters that are important to one or the other. We will continue after the clock stop and the last difficult meetings. All in all, we can speak of a favourable turn of events. A number of discussions can be speeded up. I'm glad that's how it turned out. It's not an end point yet. All parties have put matters on the agenda and it will not be easy to reach an agreement. But what is important is that the medico-mutualist agreement guarantees a stable rate for patients. I was also able to observe that mutualities and doctors' representatives were still happy to have this mini-agreement.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u52	Minister, in the total breach of trust in which we were in, this mini-agreement has two positive points. The first is to reopen the door to consultation and, above all, to commit ourselves to maintaining our valuable model of consultation. The second is the issue of ensuring patient tariff security. That being said, the doctors, I tell you from the outset, are waiting for you at the turn of the day. They're not the only ones. There are also all health professionals. The commitments you have made can no longer be denied as you have done in the last two years. They are waiting for you at the turn of the day on a series of issues: reform of hospital financing, hospital networks, practical first line, front line as regards the guards and general practitioners, group practice, the medical-infirmary tandem, the whole revision of royal decree 78 since the law of May 2015. These are just a few examples where they must be truly and concretely associated and concerted and obviously not mutually agreed in an incidental way. This is an opportunity to reopen positive perspectives. I hope the government will stand there this time.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u53	Madam President, I find it strange that the Minister for Health is talking about a whole twist. As far as I'm concerned, the uncertainty remains. We have to wait and see if the doctors will accept the agreement. Even if they accept it for that short period, it remains a mini-agreement. We cannot get rid of the impression, Madam Secretary, that everything has to do with the austerity you impose on the sector, especially on the doctors. The atmosphere of consultation you describe should have been created much earlier. I am convinced that the uncertainty remains and that there is a great responsibility for the government.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u54	Question No 15790 by Mrs Catherine Fonck is transformed into a written question.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u55	Madam President, Minister, an audit of the duty stations of general practitioners began in April 2016. Almost a year later, it seems to me that it is time to question you in order to take stock. Minister, are the final results already available? They were planned for the end of 2016. I left you three months. I hope you will tell me that these final results are known. I would like to know the content, the outline and the main recommendations. In your policy note, you said you wanted to move forward on a "uniform and readable conceptual and organizational framework for all". I confess that I have read this five times without a clear understanding of what it meant. I would now like us to be clear. You also mentioned a "renewed funding framework". Normally, it should have been operational this year. What are the working arrangements of the Posts of Custody Group within INAMI? I would also like to know what consultations you have conducted. I had some contact with the representatives. Obviously, these representatives did not have contact with you on this audit. In any case, until recently, they had not yet received the conclusions. With regard to a mini-agreement with doctors, I would remind you that this is also part of the consultation process. What cooperation has this dossier really benefited from?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u56	Ms Fonck, first of all, I would like to point out that the final results of the audit of the general medical duty stations were presented to me on February 13, 2017. It is true that the final phase and the completion of the audit resulted in additional delays. I stress that in particular the preparation and organisation of the focus groups, the analysis of the results and their integration into the overall results called for further efforts by the audit team. The concept of the focus groups was implemented in consultation with the regional child care coordinators and their practical organisation. This phase of consultation and exchange with the guard stations was a crucial element of the audit and justified the addition of additional time. Now we're analyzing the final results of the audit. Once this is done, my staff and INAMI officials will set out the strategy for formulating proposals to amend the funding framework. As regards the financing of the week shift, I refer to point 4.1.4.5. of the medical-mutualist agreement of 22 December, which is very clear in this respect. At the same time, the proposal is made to reorient the fee system available to general practitioners from 2017, as part of an analysis of the financing of the continuity of primary care at night and night, both on weekdays and on weekends, where appropriate, in a shift. I note that the Working Party on Custody of the National Medical-Mutualist Commission has already begun preparatory work for the implementation of this item. The working group was established by the National Medical-Mutualist Commission. General practitioners are represented in the group which makes proposals to the Commission. It is therefore very clear that the working framework of the group is determined in the first place by the provisions of the medical-mutualist agreement. Since the beginning of 2016, a representative of my strategic unit has been attending meetings with a view to a coordinated development of the overall policy on the organisation of non-programmable care. With regard to the deployment of 1733 at the national level, the new general practitioners' circles and the new guard areas will be able to join the system from autumn 2017. As you know, calls to 1733 will be handled at power stations 112. There is already a regulation that guarantees the processing of calls in four languages, i.e. the three languages of our country and English.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u57	Training is provided for this purpose by the operators. Since this is not yet fully implemented in the field, we recently concluded with the Verviers guard post that calls in German in 1733 would be diverted to their guard post. In the meantime, employees are trained to handle these calls correctly in the language of the caller.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u58	Minister, I'm still a little hungry. You just received the conclusions. It would be nice to have a debate on this subject, and to have a look at it in committee. A little more time is a bit boring, but it is not serious, provided that constructive, positive and concerted solutions are reached with the field. You know how important this issue of guard stations is, including in areas in short supply in certain regions, where guards are extremely complex to carry out for general practitioners. You know how crucial this issue is. I hope that you will consult with the general practitioners and involve them in the discussions in the coming weeks, so that this issue can be successfully concluded.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u59	Mr. Benoît Friart is absent. As he had no news, his question No 15794 was struck out.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u60	Madam Secretary, this is a short question about the Geel-Herentals ambulance. Within the fire zone in the Kempen there is a plan to get that ambulance from Geel to Herentals, but it is said that you are still waiting for your approval. Those plans have been dragging on for a while and that creates uncertainty. Firefighters then quit to attend specific training courses, for example for ambulance workers. This also feeds on the fear that the fire zones will in the long term repel all their ambulances. I am simply asking for clarification in this particular case and in general, so that firefighters can adapt. Specifically for Herentals: when will that ambulance be transferred from Yellow to Herentals?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u61	Mrs Van Camp, you will understand that I cannot comment on an individual dossier such as that of the Geel-Herentals ambulance. I must refer you to the competent provincial committee for urgent medical care. As soon as he gives me an argumented file with her advice, I can only take this. There is indeed a reform coming up on urgent medical assistance. We have a ready proposal, together with the other competent minister, the Minister for the Interior. Let me outline some of the main lines of that reform. Some of the ambulance services, the non-public services, have an agreement with the government, while the public services have not done so for historical reasons. The provincial committees for urgent medical assistance have the organisation and supervision of the services within their remit, but supervision and control of services with which no agreement has been concluded is not evident. This must also be changed by subjecting each service to an agreement and quality requirements. Does the reform affect resources, recognition and organisation of resources? Yes, today we see that there are 426 ambulances in departure places because they are historically placed there, because they are called up a lot. However, some are called up much less, while others are almost not. Then it is mainly those ambulances that are in order as a second or third party. Simulations have shown that about 350 ambulances are necessary to reach the intended service level, provided that they are well distributed across the territory and that all of these services are manned or manned at their departure point and are not dependent on callable men. This is also supplemented by some 50 PITs, if I am not mistaken. There is therefore an efficiency exercise. As far as driving times are concerned, no service level has been defined in the urgent medical assistance to date. Today we make 15 minutes for 88 % of the interventions that are taking place. It is necessary to bring this standard to fifteen minutes for 90% of interventions. That is why a number of interventions are needed. There are areas where it systematically takes too long for an ambulance to reach the patient, in other words not within 15 minutes. We are now in consultation with the Home Secretary's cabinet. Then there must be IKWVENS with the other departments. We have also made a calculation of the means to be used step by step. Then the dossier will come to the government's table to see what the budgetary picture is for investment. I believe that it is an important reform in which we have ensured throughout the country in a very thorough way that all our citizens can receive an ambulance for urgent medical care within 15 minutes. So people and resources will also be handled more efficiently.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u62	Madam President, Minister, I understand that there will not be an immediate decision on this particular case. This is particularly reflected in the global exercise, which has yet to be completed between you and the relevant Minister for the Interior. I'll keep an eye on the file at that level. I will say back that the solution will not be for the next few weeks or months.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u63	Madam President, Minister, this too is a short question. I've interviewed you before about the HPV vaccination and about the vaccination against Zona. In your reply at the time, you referred to the advice of the Supreme Health Council, which you were waiting to see if the HPV vaccination could be applied in boys and idem ditto before vaccination against zona. Madam Secretary, is there any clarity yet? Are the HPV vaccine for boys and the zona vaccine in the future?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u64	Madam President, Minister, Papillomavirus or HPV is responsible for uterine cancer, which is why it is recommended that women be vaccinated before the beginning of their sexual life to protect them. However, this virus, considered a STD, is transmitted between men and women. It is also transmitted between male partners in homosexual relations. It can cause cancer of the anus or throat, as well as women elsewhere depending on their sexual practices. Also, in some countries, it is envisaged that homosexuals will be vaccinated to protect them from this risk. Minister, is this approach being considered in Belgium? It is also mentioned by some doctors, the usefulness of vaccinating heterosexual men, as they are vectors of contamination during sexual intercourse. In their view, this would compensate women for insufficient vaccination. Those who are opposed to this approach explain that the male mentality which is a bad fit for this kind of constraint would make it difficult to carry out an effective vaccination campaign. They object to the fact that it is enough to vaccinate one third of the population to see contamination disappear. If all women were vaccinated, the problem would be solved. This would also allow medico-economic efficiency to be maintained, which must be in charge of any care policy. Except that, as indicated above, depending on the sexual practices adopted, cancer can start at the level of both the anus and the throat. Furthermore, since sexuality was a shared act, protection measures should also be shared. Madam Minister, what is the status of the vaccination rate for women in Belgium? Is it enough to cause a decrease or even a disappearance of papillomavirus in Belgium? Do you think that a vaccination policy of both sexes would be relevant in our country? Would the cost of this be of health and financial benefit, since a vaccine is always less expensive than the treatment of cancer? Do you intend to do this? What is the approach to these issues in the Council of European Ministers of Health? Is a common policy to combat papillomavirus and its consequences under development? Madam Minister, thank you for your answer.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u65	You know there are three working groups in the High Health Council's lap. As regards vaccination against chickenpox in children, the opinion has now been finalised by the competent working group. The Supreme Health Council will soon publish a publication on this issue. A second working group is still working on the availability of zona vaccines for 50+. A third working group indeed takes care of vaccination against the human papilloma virus in boys. The latter has not yet completed its work. The Supreme Health Council hopes to have the advice ready by the summer. Pending this scientific decision, the demand for HPV vaccinations in boys was now included in the research programme of the Knowledge Centre in order to also understand the cost-effectiveness of such a measure. The start of this study is scheduled for early July. In response to Mr Flahaux's questions, I recall the various vaccination programmes against HPV: - free vaccination of girls in the first secondary year in Flanders, introduced since the school year 2010-2011; - free vaccination of girls in the second secondary year in Wallonia, introduced since the school year 2011-2012; - partially reimbursed vaccination of girls aged 12 to 15 years since 2007 and girls aged 12 to 18 years since 2008 throughout Belgium, upon request. These vaccination programmes are the result of several memoranda of understanding on prevention, concluded successively during the period from 8 December to 21 March between the Federal State and the federated entities. These are programs that the federal government pays a third. Flanders has a high vaccination rate among girls in the first secondary level, between 85 and 90 per cent for the two or three doses in 2016. In Wallonia, the rate is much lower, 29% for the period 2012 to 2013. There is still work to be done at this level. As a result of the reform of the State, there is no record of vaccination against HPV incorporating all sources of information, since each federated entity - they are independent of each other - has competence in this area. However, it can be said that the vaccination rate in Wallonia is one third of that in Flanders. You should ask your colleagues who are elected to other assemblies to put this item on the agenda, so that the young girls of Wallonia are also protected. As you said, it starts with an infection. Vaccination is a lesser evil. First of all, you have to take the problem from the source, from the girls.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u66	In this context, I would like to point out that la suite often involves costs that are incurred for the federal treasury, whereas it is, in fact, a result of a Walloon policy that is completely behind and, I think, immoral. If one sees that a vaccine is available for such a thing and Flanders is using it and paying it back, why is Wallonia not doing its part? I can only once again call for a division of social security so that everyone does their part, but also pays for the consequences. With regard to the working group, I wonder why it is taking so long. I remember asking that question in 2015, two years ago. Then you expected the results in the second half of that year. It is strange that this has been delayed for two years. I wonder why. I look forward to the report.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u67	Minister, I fully agree with you. As far as Mrs Van Camp is concerned, although I like her for the rest, I do not agree with her conclusion. Indeed, its reasoning leads to the division of social security. However, it is necessary to reverse the situation. Why? Because the young Flemish girls and the young Walloon men or the other way around have - I imagine! - sex together, unless we build a wall that would prevent any relationship between them! It makes sense to me that even an independent Flanders would not want to leave the European Union or become an island. This risk will always exist. Therefore, I can only plead - Mrs Fonck is the political friend of the Minister of Health in Wallonia...
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u68	We're still talking about me!
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u69	I hope you'll plead for us to put the turbo in Wallonia. In this area, as in the issue of roads, progress is not very fast in the Walloon Region.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u70	Madam President, I can tell Mr Flahaux that love knows no Community borders.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u71	Absolutely!
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u72	No borders at all!
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u73	From now on, things will change.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u74	Madam Minister, this question concerns a dossier that I have been following for a long time. You refer to a working group set up in 2013 or 2014 and operating since 2014. Recent figures, in response to a written question on this subject, show a rapid increase in the scale of the problem. I would therefore like to know what is going on with the working group. If I may be a little disrespectful and with all due respect for your work, after three years, only a hotline has come out of the bus, leaking like a sieve. We have been able to see this very clearly in practice and this has also been supported by a study by the University of Antwerp. When exactly are policy improvements implemented to ensure that stock breaches are properly recorded, with the type and cause of them, so that a distinction can be made between deficits of a voluntary and involuntary nature, and that stock breaches can be prevented and addressed if they are motivated by profit? You also replied that you don't keep track of the types of medication that are involved. That seems very important to me, in addition to identifying the cause. In your answer, you say that a cause should indeed be indicated in the medication shortages, but more than half of the answers to the cause demand is "other," "there is a medication shortage" or "new tickets not yet available," which means that there is a shortage. However, that does not say anything about the cause. I also note that the N-VA has both a legislative proposal and a proposal for a resolution on this issue, and we hope that you will be able to support them.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u75	Mrs Van Camp, I have already referred in previous answers to your questions to the task force on the unavailability of medicines, a working group set up to seek solutions to ever new problems, if there is a stock problem. One of the initiatives is to establish a trigger-based decision tree, which should allow measures to be taken in case of unavailability to minimise the negative impact on patients. Since then, the decision tree has also been further developed. The aim is to continue this work so that it becomes a useful tool in the field. This means looking at what is not there, what is the alternative and where one can go, every time for everything that is possible. In addition, a communication platform is being considered, to which all interested parties in the sector can send reports of inaccessibility. That information shall be validated and monitored by the responsible firm, which shall transmit the unavailability, if applicable, to a unique hotline. The possibility of implementing the communication platform is still under investigation. The results of this analysis are also very soon to be discussed with the representatives of the pharmaceutical companies. The working group meets at very regular intervals to develop these and other initiatives with the aim of finding a solution to stock problems, but also to take a number of preventive measures to prevent stock problems, a problem which is not only a Belgian but also a European and even a global one. The aim is to ensure the correct registration of stock breaches through the communication platform. Negotiations with the parties concerned are also under way. We have set the deadline for this at the end of this year. All drug stock problems are recorded in the database. In that database is a link between the medicines and the class to which they belong. No statistics are currently being kept on the type of medicinal products that are unavailable. In the context of the work on the communication platform, it is being examined whether such information can also be documented in a simple way, so that we can see the evolution of the problem. A solution is also sought in the FAGG. This is the subject of communication with all relevant actors, especially with wholesalers and pharmacies. So our system is working. You say there are more incidents. There are also increasing numbers of medicines on the market. The stocks at the wholesale trade are also less large than before. That's true in the pharmacies. It depends on daily deliveries. Sometimes temporary stocks from abroad are also brought here. We are really trying to minimise the difficulties in the field for the patient. Nevertheless, it remains a complex matter, also because of European legislation. After all, one cannot just bring similar medication from the other side of the world here. There has to be an EC approval for this. EMA should also be enabled to do so. So at European level, too, we are looking at the problems of the stock breach. We will not, of course, wait for that, because things are going much slower there. Maybe the EEA will have to move again. That may also be a problem in the coming months or years.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u76	I welcome the fact that a number of measures have been taken and that you recognise that this is going to be fairly slow, both at federal and at European level. I am also pleased with your intention to continue to do so. Let my legislative proposal and motion for a resolution on this be a reason to speed up work. I am counting on your support and on the support of my fellow Members to tackle the problem. It is, of course, a good thing that the pharmacist is being accompanied in providing alternatives, but in fact such deficits, especially if they are motivated by profit-seeking, should not be allowed to happen today. What you are saying is certainly correct: both wholesalers and marketing authorisation holders must be included in the bathtub. Our proposals provide for this.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u77	Question No 15866 by Mr Jan Spooren is deleted.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u78	Madam Chair, in fact, I have tabled two questions, because the first was tabled several months ago. So I updated it. If you don't mind, I'll put them down at once. Minister, we have asked you a number of questions on this issue. As you know, it has a different approach between the South and the North of the country. In the North, it is an act performed by physiotherapists, occupational therapists or logopedes. In the South, it is a competence specific to psychomotricians and training in higher education that has existed since 1980, with, in recent years, a training of paramedical bachelor in psychomotricity (bac+3) that corresponds to European references in this field. In Switzerland or France too, psychomotorism is, in fact, a specific paramedical competence. You refused to recognize psychomotorism as a paramedical profession. This leaves thousands of students, graduates, practitioners, who are in a state of uncertainty and whose professional future is completely challenged. Minister, the situation is extremely difficult, as they cannot engage in the professional activity that was theirs or that corresponds to their training. May I ask you to enter into a consultation with your fellow ministers of public health in our neighbouring countries, such as, for example, the French Minister of Health, so that there can be a validation of the diplomas obtained in Belgium and to allow our students to work abroad, particularly in France where – I would remind you – this is a specific competence? On the other hand, I would like, once again, to question you about your refusal to recognize psychomotorism. You have always considered it totally unacceptable that the French Community has decided to organise training without your permission. However, I note that, with regard to the mondzorgassistent, on 20 March last you issued a royal decree to the Moniteur, aimed at adding oral care to the list of practices designated as paramedical professions, whereas this training of mondzorgassistent was created long before the publication of this royal decree. In other words, you accept in the north of the country what you do not accept in the south. Minister, I have no problem with the recognition of the formation of mondzorassitent. In my opinion, this is, in fact, a very good thing. But I ask you to reconsider your copy. Although the training already existed on the francophone side, I note that it is possible to recognize it, today, as a paramedical profession.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u79	Madam Chair, Minister, I have two questions that I would like to summarize as some of the points have already been raised by my colleague, Mrs Fonck. In the debate on non-recognition of psychomotorism as a paramedical profession, you have often felt that it was not logical for training to be launched before the profession was recognised. After having done some quick research, it seems that the trainings in physiotherapy, occupational therapy, logopedia or podology were in each case launched long before the profession was recognized. This, moreover, seems to me to be quite logical since these training courses have met some of the needs of the population at some point. Madam Minister, why are you systematically making this argument when the reality has been quite different for many other professions and when psychomotor training was introduced in the 1960s already? In addition, following the request for recognition of the psychomotricians, a simple letter was sent to them in order to inform them of your decision. No administrative act, and therefore no formal reasons, must be issued in case of refusal of recognition on your part. A simple letter was sent to the applicants. This de facto prevents any application for suspension before the Council of State. Do you not consider it necessary to put in place a system allowing an effective remedy and the right of access to the judge in case of a negative decision? Also in the context of this non-recognition as a profession, a decision based on a single negative opinion of the National Council of Paramedical Professionals, I note, as Mrs Fonck alluded to it, that since the end of 2012, the Wallonia-Brussels Federation had empowered several high schools to organize curricula and to issue bachelor's degrees in psychomotority. My group has already asked you about this issue. This decision deprives hundreds of students and graduates of any prospect of exercising their profession in a therapeutic setting. An application for interim measures has also been brought in this respect. According to the National Council of Paramedical Professions, it appears that psychomotorism is already part of the basic training of doctors, occupational therapists, logopedes, speech therapists and physiotherapists. Therefore, only these professionals could perform psychomotor intervention. Minister, actions that can be performed by care professionals are usually included in a task repository, with a list of technical services that can be performed. Today it appears that the situation and functional training for the development, recovery or preservation of psychomotor functions appears only in the AR of 8 July 1996 relating to the occupational therapist profession. Psychomotority is not included in the acts and performances of speech therapists and logopeds. Do you confirm that? How do you explain, therefore, that the performance of psychomotor intervention is recognised in these two professions?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u80	Minister, my question is based on a research that I, along with others, have done on the definition of psychomotorism in our home and in other countries where it is taught. The high schools organizing this training define the psychomotrician by "his psycho-corporeal availability and his commitment both body and psychic in his relationship with the patient, with whom he will share emotions and sensations through the tonic-emotional dialogue. This particular relationship, based on the two-way movement, aims to build body experiments aimed at establishing or restoring the somato-psychic bond of the patient." They use the term "patient" because it is from this perspective that these trainings are envisaged. Recent international studies highlight the effectiveness of psychomotorism, particularly in policies to combat obesity and, as I was surprised, against faecal incontinence. A whole series of recent studies show the value of this discipline. In Switzerland, the functions of psychomotorism are the detection of psychomotor disorders, the assessment and analysis of abilities and difficulties, the establishment of a therapeutic project, the organization and administration of therapy sessions and the proposal and organization of family and parental guidance. In the Grand Duchy of Luxembourg, psychomotorism concerns treatment and intellectual impairment, personality disorders and the rehabilitation of psychomotor development disorders. In France, such care is considered on the basis of a therapeutic relationship. The same applies to the United States, Australia and the United Kingdom. Minister, my questions are independent of the ongoing legal action. Have you investigated the specifics of psychomotorism and existing training in Belgium and abroad? Are you familiar with studies on health care effectiveness? I've mentioned two of them about obesity and fecal incontinence. Have they been integrated into your thinking? How do you explain that in other countries the therapeutic specificity of psychomotorism is recognised, whereas in Belgium it would not be possible to recognise this discipline as a paramedical profession?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u81	Madam President, ladies and gentlemen, I refer you to my answers to the many questions on psychomotorism that have already been asked to me. There is no difference in approach between North and South regarding the definition of therapeutic psychomotority. The legislation on the exercise of health professions is federal and equally applicable across the country. As you mentioned – this is the case both in the North and in the South of the country – since the 1980s, there have been complementary training for health professionals who want to be more competent in the use of this technique. But only the French Community considered it useful to introduce, in 2012, a specific baccalaureate in psychomotorism for people wishing to practice this technique in the field of educational well-being and development, especially for children and persons with disabilities. It is not correct to say that there would be a European consensus for the creation of a full profession, a discipline that would cover both the therapeutic and non-therapeutic fields. Rather, it is a particular vision for some countries, such as France and Switzerland. The other countries do not share this vision. I have not started discussions with my colleagues from other countries on the possible bilateral recognition of such a profession, because none of them has asked me to do so. On the other hand, my administration responded to my French counterpart when some questions were asked. I hope that students coming from countries like France will learn enough, before starting a training course in Belgium, why it is so easy to take this training at home while in France an entry examination is planned. The number of places in this country has been severely limited. With regard to Mr Frédéric's question, I can inform you that the opinion of the Federal Council of Paramedical Professions is duly motivated and available to the public. In addition, if you wish and consider it relevant, you may request to consult additional documents as part of the administration's advertising. Some also went to the Court of First Instance of Liège, with a request for a preliminary ruling by the Constitutional Court on unequal treatment. State counsel informed me that this request was declared inadmissible by the President of the Court of First Instance. In essence, even if the urgency is recognized, the president held that "the question referred for a preliminary ruling concerns the illegality of the infringement, which punishes an exercise of the art of healing without belonging to a recognized profession. This offence is clearly defined and sanctioned by law." By empowering the King to draw up a list of recognized professions, the legislator gives him, at first glance, a simple role of execution. The principle of legality is therefore, at first glance, safeguarded. There is no serious doubt as to the compatibility of the disputed law with the Constitution or the applicable norms of international law. No reference should be made to the question referred for a preliminary ruling by the applicants. The same reasoning on the equality of the infringement makes it possible to reject the request for the finding of such illegality and as regards the finding of the various errors alleged by the plaintiffs, it falls to the substantive judge, who will eventually be seized. The plaintiffs appear, moreover, to draw no particular conclusion which should result from the formation of the said errors. Mrs Fonck, I must also tell you that there is a great difference between the route followed for the recognition of the mondzorgassistenten and between the tasks of the latter and those of the psychomotricians. For the mondzorgassistenten, the opinions were positive. In the case of psychomotricians, the 2013 opinion requested by Ms Onkelinx was negative. The one I asked for was even more so. The two opinions are not the same. You will find that the second is very explicitly against the recognition of the profession of psychomotrician, as a paramedical profession. I think I had no choice but to say that it was not possible to make recognition. If I have said that I am sorry that this training started in 2012 and that it was actually given a negative opinion by the Paramedical Board in 2013, then I fear that a lot of students were misled. They were assured that it would be all right, but that is not the case, because the second opinion was very negative. I invite you to read this. I'm not going to read it to you myself, because that's what I'm being addressed to. I didn't draft that advice, but I have to respect it. Moreover, Mrs Onkelinx also knew that the recognition of such a profession would be of short duration, especially in view of that negative opinion. It would not take two weeks for a legal action to be launched and there would be even more uncertainty for the students. The training is therefore not suitable for inclusion in the law on the exercise of the health professions. Of course, the schools and the institutions of this training are free to provide the training. Moreover, we have had their curriculum examined by our services to see if a switch to another profession is still possible, provided that additional training is provided. However, this does not seem to be as simple as it should be for a further two years of additional training. This too is a difficult decision for the students. I do not understand any possible legal action in this file, but I cannot recognise a profession as a health care profession if two consecutive negative opinions were provided. This has nothing to do with an opinion on the North or the South. There's more than ten in the pipeline. On the basis of objective criteria, it will be examined whether there is a need for a particular profession in the law on the exercise of health care professions. That's all that matters.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u82	Madam Minister, if I use the comparison with the North, with the "mondzorgassistent", which I am in favour of, it is because, on several occasions, you have invoked – in writing, I have copies of your answers – the fact that this could only happen before the formation was actually created. So I have to see that there are two things to do. On the one hand, your refusal, on the basis of this argument and, on the other, the authorization you gave in Flanders, when the training had begun long before. You're poaching. I think you are making a mistake, when there is a solution that would allow us to take into account the reality of different practices in our country, with a double recognition, both that of the competence that can be exercised by the kine, the occupational therapist, the logopede, and that of a paramedical discipline as such. I can only regret your position, Madam Minister. To rob yourself in this way is to consider students and graduates who already exercise as less than nothing. In addition, you have not answered me – except that you have not been asked – about other European countries. There, you really make the minimum minimorum in relation to this file. I therefore ask you to engage at least with France in order to achieve a compensatory measure and to validate the training, which will allow these young graduates, these students or those already practising in the field, to go to France or elsewhere in Europe.
