ParlaMint-BE_2017-02-01-54-commissie-ic579x.u1	Debates of the European Parliament Mrs Ben Hamou's 14536 will be converted into a written question.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u23	Mr Prime Minister, in De Tijd of 7 January 2017, the front page read that companies are increasingly covering themselves against hacking. They take out more than previously insurance to cover against cybercrime and computer fraud. For example, insurance broker Vanbreda stated in 2016 that he sold four times more insurance policies against cyberattacks and computer crime than the year before. The number of malicious phishing mails, malware-containing attachments, theft, false e-invoices, stolen company data etc. increases annually. This also makes society more familiar with these new forms of crime that directly affect us in private or professional terms. Businesses and organisations can be sensitised to explain companies and individuals best practices and do-it-yourself and do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself do-it-yourself. Just as it is better to close the car or the front door in order not to invite thieves and burglars, so organisations and individuals can take the initiative to protect themselves. In October 2016, the CCB and the Cyber Security Coalition launched a YouTube movie that fits in with a cybersecurity awareness campaign, under the slogan "6 491 641 Belgians help cybercriminals." This figure came from a study by the University of Ghent, which showed that 68 percent of Belgians have a user profile that is more at risk of cybercrime damage, because they do not secure their computer, tablet or smartphone sufficiently or at all. Central to the campaign is the website safeonweb.be where one can analyze and compare his internet behavior with an average and where the user also gets information to improve security. Nevertheless, despite the great campaign of the CCB and the Syber Security Coalition, many people have never seen this campaign, not even in Parliament. On 22 November 2016, Mr De Bruycker gave a very interesting presentation in the Congressroom and many members were only seen for the first time. Perhaps it is right to improve and strengthen campaigns and also to frame them in a wider context by involving more organisations, such as the National Syndicate of Self-employed, UNIZO and schools. Prime Minister, how did the CCB evaluate the awareness campaign? Will there be new campaigns and if so, with which partners? In addition to sensitisation, are initiatives planned to improve the legislative framework?
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u24	Mr Vermeulen, in October 2016, the CCB, cert.be and the Cyber Security Coalition Belgium carried out a communication campaign for cyber security under the title Take back the internet. The aim was to improve the Belgian population's cyber hygiene performance. The citizen was invited to test the security of his cyberbehavior. The awareness campaign was evaluated together with a market research agency and the aim was twofold: on the one hand, the impact of the campaign on safeonweb.be was measured, on the other hand, the impact of the campaign on the perception of online hazards was measured. The results of the campaign are encouraging and indicate that the campaign was a tool to raise people's awareness of Internet behaviour and cybersecurity, issues that are usually difficult to raise awareness about. The campaign was, I think, successful: increased awareness of safeonweb.be, both in Flanders and Wallonia, increased knowledge of and concerns about various online hazards, increased precautionary measures on professional laptops or computers. However, the campaign had no direct impact on taking precautions on other devices such as the smartphone or tablet. I will give more detailed figures in writing, but here are a few figures. + 14 % increase in systematic virus scans on professional devices. More than 1.1 million videos for the Dutch version of the video campaign and 1 million videos for the French version of the video campaign. On 5 February, the CCB will publish the results by means of a press release following the Safer Internet Day which will take place on the same day. The October 2016 campaign was part of a broader European initiative organised annually in October. As a national authority, the CCB is tasked, inter alia, with informing and sensitising users of information and communication systems. The CCB does this by holding a national awareness campaign on cybersecurity every year during this month. Given the success of the campaign and the enthusiasm of the participating partners, the CCB therefore wishes to grow this campaign and to convince more and more partners to participate in subsequent editions. Furthermore, the CCB participates actively in the meetings of the working groups of the Cybercrime expert group of the College of Attorney General, which consider, inter alia, possible legal improvements in the fight against cybercrime. However, in relation to the general public and businesses, the CCB's mission is mainly to take preventive action against cybercrime, such as awareness campaigns, the Safeonweb.be website, the realisation of a practical guide to cybersecurity and the development of a policy on responsible disclosure. Finally, in the context of the transposition of the European NIS Directive, the CCB will propose preventive safety and incident management measures to operators of essential services.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u25	Mr Prime Minister, I am certainly very pleased that you say that the sensitisation campaign will not only be repetitive but will continue to grow. I would also suggest broadening awareness so that other organisations are also reached and not just an effort is made to achieve them. I am thinking, for example, of schools, because the young people currently in school will become future users in a professional environment. The sooner they are taught a safe policy, the better they will do it later. I am also thinking of small businesses. The Cyber Security Coalition is currently focused mainly on large companies. However, I believe that SMEs, civil society organisations and even youth organisations should also be involved. What I also think is very important is the reporting obligation, which may be the result of the European regulatory framework and for which we will have to take legislative initiatives. In fact, I believe that we can go even further. We have noticed that the number of accidents at work has fallen sharply when legislation required each company to carry out a risk analysis, specifically for that company, and to link an action plan to it. Perhaps we should also consider whether it is possible to require companies from a certain scale to carry out a risk analysis of their vulnerability and to link an action plan to it. I have already met a number of entrepreneurs and even consultants, and they say they are doing this de facto. So they say that they are doing their best and that it would be good if all companies of the same size were to do something similar. The combination of good government policies and good practice between companies and individuals will ensure that premiums for insurance policies will also significantly decrease.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u26	Debates of the European Parliament Mrs Onkelinx's 16281 was postponed.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u27	The topical and urgent debate is organised on the basis of Rule 128 of the Rules of Procedure. Rule 125 of the Rules of Procedure also applies here, and this provides for other speakers to be able to join the debate. The speaking time for each questioner is two minutes. The government has five minutes to respond. The groups of the questioners may no longer be in line with the debate, but the other groups may be in agreement with one speaker. They can also take the floor for two minutes, either at the questioning or at the reply.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u28	Mr President, I would like to thank you very much for addressing our request to make this a topical debate. I am a little surprised by the lack of interest from the majority parties because this is a subject which concerns us all and concerns us all. This only strengthens me in the belief that we need to discuss this thoroughly, including with the Prime Minister. I appreciated your words at the royal reception yesterday. I thought it was good and appropriate in the current context. This weekend, I was less excited. I felt it necessary to take this up with you because there was some doubt, Prime Minister, about the position of our country in the world after Trump, a Trump that feels in no way inhibited and actually brings together the most gross and scandalous things. He violates human rights at a pace reminiscent of less beautiful regimes and other parts of the world. It also reminds us of the 1930s and 1940s. At a time when the US President is imposing an entry ban on seven Muslim countries, I would think that our Prime Minister does not need a second to think about what he thinks about it and express his opinion on it in the clearest terms. It didn't. It took you a day to say something about this. Your first statements were far too hesitant, far too unclear and in this way a source of disappointment and even indignation for us. If, on top of that, it becomes clear that two of your government members seem to be considering such an entry ban, then, as I said earlier, there has been doubts about the position of our country in this debate, in fundamental matters such as this, and in the world. I cannot understand why, as Secretary of State Francken, in his first statement, at least as far as I am concerned, this measure seems to be relative. In addition, Deputy Prime Minister Jan Jambom says that we must place the measures in their context; an expression that has already been used on another subject, even at that time very unfortunate. It seems as if your majority does not find sufficient support to condemn this measure decisively and forcefully. I would like to invite you today to do this with the most powerful words and to take that conviction with you to the European forum. I invite you to take a clear position on the measures that Donald Trump is taking. If not, Europe and Belgium are at least a little bit complicit in this. My position was strengthened yesterday when I found, together with you, that the measures have an impact on fellow countrymen of ours. I noted that the Foreign Office has amended the travel advice for the United States. The acquisition of a visa for Belgians of dual nationality, who are therefore, on the one hand, Belgians and, on the other hand, nationals of one of the seven countries subject to the entry ban, is questionable. Trump's measures are not far from my bed show; they are very fundamental. They potentially affect the freedom of movement and the rights of compatriots, of Belgians in the world. I like to finish my questioning. What is your formal response to the measures taken by President Trump? What is your attitude towards the statements made by both members of the government? Can you make a strong and unequivocal condemnation of the measures today? What are the initiatives at European level? Finally, a very concrete question as to the potential impact on compatriots, what steps are you taking to reduce that impact to zero? I thank you for your answers, and I hope that you will go further than disagree with such draconian and scandalous measures against which society must stand up very actively at this time.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u29	Mr President, Prime Minister, all the Democrats have been shocked by the measures taken by the new President of the United States. During the period we know, we must be careful and not let things settle down without reacting very quickly in an appropriate way. Indeed, events are getting worse. Moreover, there is a risk that the new US president may feel comforted in the positions he takes. You said you disagreed with the last measure concerning the closure of access to American territory. You disagree with the idea of banning access to American territory for nationals of seven countries. And you are committed to not implementing such a policy in Belgium. Do you think this is enough, given the seriousness of the situation and the measures that are being taken? We know where this kind of policy can lead. We know what the possible drifts are and we can almost predict the events that will follow each other in the coming months and years. So, like my colleague Kristof Calvo, I can only criticise the weakness of your reaction. And I would like you to take advantage of your presence in this committee to be much firmer and much clearer. I would also like to return to the reaction of other members of your government, which probably explains the weakness of your response. How can you accept, with your convictions, that a member of your government shares the analysis to minimize the seriousness of the measures taken and calls for a distinction between facts and hysteria? As if it were a question of hysteria! For how long can you still accept that a secretary of state in your government considers as a form of hysteria the reaction of citizens, be they Belgian, American or other, to the measures taken by President Trump? As you know, the problem is reinforced by the fact that this member of your government is not at the test and that other members of the N-VA, your majority, have also put American measures into perspective. What are you waiting for to react more firmly? What other ignoble measure does Trump need to take to make your reaction more frank? What are you going to say to Belgians who are dual nationals and who can no longer enter American territory? The case came this week: Taekwondoists were unable to exercise their sport, passion and profession. Why aren't your messages as clear as those immediately sent, for example, Justin Trudeau? This politician, whom you appreciate, has been very clear. He reacted on television and social media. He showed his diametrical opposition. I expect the same from you.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u30	Mr President, Prime Minister, the issue of Mr Trump's election and his decisions will, in my opinion, occupy the political agenda. We will often have an opportunity to discuss this in the coming months. One of its first decisions was taken against nationals of seven countries: Iraq, Iran, Libya, Somalia, Sudan, Syria and Yemen, with restrictions on access to the territory. You immediately reacted through your spokesperson, stating that you did not agree with the ban on access to the territory for nationals of these seven countries, also stating that Belgium will not take an example of this policy and that you are going to ask for explanations through diplomatic channels. Your Foreign Minister also immediately reacted, going a little further, as he described the decisions taken by the US President as "arbitrariness". He even described them as "brutal" when they apply to citizens with a regular residence permit and a visa in order. This was the first reaction of diplomacy, of you and your Minister of Foreign Affairs. To judge firmness, I join my colleagues. I'd like to know what you wrote, what you asked Trump for diplomatically. What explanations did you ask for? What was the tone of this request for explanation? It is important that we know that. This is, in any case, a very strong signal that you must give to the American President from the very beginning of his decisions. If we can salute the first reaction, it is boring that the condemnation is visibly not unanimous among the members of your government. Some members of your government have indeed minimized the measures taken by Mr. Trump. I am of course thinking of the Twitter reaction of your Secretary of State for Asylum and Migration. Again, the communication is not consistent on a very important issue. Again, unfortunately, we have to question you about that. This isn't the first time. Prime Minister, how can you accept that in your government, some people are distracting themselves from your reaction and that of your Minister of Foreign Affairs? Why don't you directly condemn these reactions from a member of your government team? Did you have any contact with Mr. Franken? Did you call him to order? I will conclude with a substantive question. Your Foreign Minister also said he was following the situation very closely. He adapted travel advice to provide advice to binationals in order to prevent them from being blocked. Have there ever been any cases? The case of the two champions was mentioned by my colleague. Has Belgium ever had to intervene in order to help binationals who are victims of President Trump's measures?
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u31	Mr President, Prime Minister, I shall first put this in context. In June 2015, Donald Trump made the international headlines for the first time, when he called for a big big wall to be built along the Mexican border. Six months later, the whole world held its breath when he became the frontrunner during the nomination campaign for the Republican party and called for a total and complete shutdown of muslim immigration. He made it very clear that Islam was a threat to America and to the whole world. I know that many commentators and politicians called for calm, because there were enough checks and balances in the system and he would become more pragmatic once he was confronted with reality. In his capacity as president, he would do well. On Friday, however, he bewildered us by a presidential decree, which was subsequently somewhat weakened. It was not against all Muslims; it was limited to seven states and Christians and other minorities would still be given priority for a protected refugee status. Now we are discussing people who already have a green card. There is also a debate on dual nationality, which we have not yet clarified in our country either. I also hear reports that people of dual nationality are advised not to present themselves to the American embassy because they will not receive visas. Angela Merkel, you know the woman who received an honorary doctorate from two Flemish universities a few weeks ago because she is a woman with a spine, and you were also there as one of the first European leaders to respond to that entry ban. It stated that the necessary and determined fight against terrorism does not justify the prior designation of a person of a particular origin or belief as a suspect. Only when the media began to wonder out loud whether our government had anything to say, did you, Prime Minister, come up with the following statement: "Our country disagrees with the decision and will not take an example." Congratulations. The reactions of your government partners were diverse: the Open VLD was a bit indignant and found it a false signal. However, the reactions of Secretary of State Francken and Minister Jambon were somewhat foreign to the world. One says that we have to put it in its context, the other actually says that everything is relative. These are, in fact, expressions to say that we agree, but that, given his position, we cannot diplomatically say so. Prime Minister, I almost fell off my chair. The colour of the curtains or the colours in this room can be at odds, if one has to choose paint. However, one cannot disagree about a Muslim Ban.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u32	Mrs. De Coninck, can you ask your question?
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u33	I'll finish up. It concerns violations of fundamental principles of humanity, democracy and the rule of law. For the sake of clarity, we are quite clear about that. I'll tell you why myself. I've been teaching for a long time. I have been confronted with students who asked what was wrong with them, because they say that it is all relative and that they have to put it all in context. Well, the teachers, the people who take responsibility, one has to support. It must be said clearly that we cannot put that into perspective, put it in its context, and not say that we actually disagree. We need to be much clearer, in the interests of young people, for the future. I'll come to my questions. What is the government's position? What do you think of the statements of your fellow Members who are in the government together with you? Have there been contacts at European level and a joint response is being prepared? Yesterday we heard Mr Van Rompuy in the committee and he was very emotional and clear about what he did. Have there been any diplomatic demarches? What are the concrete consequences for double-nationals? The visa criteria for Belgians going to the US would also be reviewed. What are the concrete consequences? Any contacts? Is there any clarity? What is the government's view of bilateral relations with America over the coming years? How should Europe position itself in the long term, according to the government?
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u34	If there is no political group left to join, I shall give the floor to the Prime Minister.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u35	Mr President, ladies and gentlemen, thank you for this extremely important issue. In the previous question, we discussed Brexit and its consequences. There is no doubt that this election in the United States opens a new page in relations between the United States and Europe. I will touch on a few points because I hear the questioning and the trial of intent against the government from the opposition benches, which is quite natural because it is the normal game of democratic debate. However, it is necessary to put the points on the i, to clarify the contours and to send messages on the basis of objective facts. First of all, on Friday, 27 January, we are aware of the adoption of an order by the United States which, on the one hand, aims at suspending the admission of refugees to United States territory for 120 days and, on the other hand, the suspension for 90 days on United States territory of the entry of nationals of a number of identified countries. We quickly made informal contacts at European level to try to adopt as similar a tone as possible. I hear your reasoning here too: a rapid reaction outside a European concertation would have meant, in my view, and I fully assume it, a risk of division of the European Union at a time when, on the contrary, it must, on principles as strong as these, try to express the same kind of position as possible. It seems to me normal that during the few hours of Saturday, discreet and informal contacts took place with a number of European countries in order to consider how a political and diplomatic expression would be measured. Talking about opposition benches is simple. When one embodies representation within a government, there are geopolitical, security and cooperation issues that are important issues. It was necessary, for example, to try – and the work on this is still under way – to make the exact clarity on the nature of the decision taken. The government has said exactly the same thing on the subject with, it is true, different words. The words of Theo Francken and Jan Jambon cannot be used selectively. I will supplement what has been said by stating that Jan Jambon, this weekend and as Mr Reynders and I have done, has stated that this decision is legally questionable since, selectively, nationals of certain countries can no longer enter the United States. Theo Francken said that more clarity was needed with regard to this decision. Before we react strongly, let us measure the scope of this decision. Indeed, there is still the question of the exact modalities and the consequences of it. Theo Francken expressly stated that the selection of seven countries was arbitrary. These are the same words I also used during the weekend saying that it was not acceptable, that the approach was arbitrary, that we had to have more information and activate diplomatic networks. So we acted in a normal way. Acting otherwise would not have been normal. Yesterday, you were kind enough to recognize him; on the occasion of the presentation of the vows at the Royal Palace, I think, in the continuation of my remarks on the weekend, I expressed a number of considerations on the subject. I persist and sign: we disagree with this decision and we act. How, because that is what matters, beyond objective facts? First, on Monday, I immediately instructed my diplomatic adviser to meet with the American embassy to formally communicate to them my reaction as already addressed by the press during the weekend, and also to better understand the precise situation of the consequences of the announced decision. The government has informed us that we need to make an evaluation of these screening procedures for the seven countries in question. They have confirmed that for six countries this is a 90-day measure. They confirmed that for the seventh, Syria, the decision is taken until further notice. The holders of a green card are in a different situation. They can enter the United States, but can be thoroughly questioned at the airport. That's the information we got. According to the information provided by the embassy, the decision will ultimately not concern our citizens with two nationalities, contrary to what was announced. This shows that it was necessary to contact us to get more information and to be more precise. According to the latest information this morning, Foreign Affairs received two calls from double-national nationals. According to my information, those two countrymen are not affected by the decision Trump made last week. I therefore note that we had a first communication on Friday. We immediately agreed on a European level. We have organized coordinations between various ambassadors in Washington to try to have a common position within our diplomatic network in Washington. We have provided a clear and unambiguous message. It is the game of the opposition to try to make believe that there would have been nuances, differences, relativities, contexts: absolutely not. I contest this selective reading of the government's univocal messages. We will continue to monitor the situation very closely. I confirm what Parliament has said: more than ever, Europe must be united, speak with one voice and defend the values that hold us to heart. For example, the reproach we have to make is that of arbitrariness, and therefore of an approach of discrimination, of treatment that is not the same according to similar circumstances. It's a very strong reproach. We have also, along with my diplomatic advisers, pointed out these great international conventions that organize the free movement of people, to verify the intentions of this new Trump administration. On the one hand, there is a reaction to the megaphone on the part of the opposition. It is a choice that I respect; it is democracy. And then the other, there's the responsibility. It consists of saying, in a strong way, as I have done on several occasions and as I am still doing today, that we do not agree with this choice and that we disagree. These are strong words, Mr. Nollet! These are not ridiculous words. We disagree with a decision taken by a government that represents a friendly and partner country. We, together with our European colleagues, in Europe and Washington, and bilaterally with my diplomatic adviser and with Foreign Affairs, have activated all the steps to express our disagreement and explain the reasons for it, with arguments based on the values important to us, the principles of equality and non-discrimination. We are also acting to protect the interests of our fellow citizens. I would like to point out one last point to show you how closely we are following the situation. You mention a sports personality in the field of taekwondo. Please be aware that in this case, the decisions that have been made have nothing to do with the order in question. These are other reasons, as reported by the American Embassy. All this to show that we are following the situation with the required grade, file by file. I will conclude by saying that I will not receive lessons on the subject on universal values.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u36	Prime Minister, the doubt was not only in the eyes of the opposition. The question to be made clear quickly was not just a question from representatives of Green, Ecolo and the other opposition parties. If so many people have not understood you correctly, perhaps there was something wrong with your initial statement. If so many fellow countrymen have asked you at some point, even very explicitly in the media, then indeed it is only then that something has come about, to stir you up, to let you hear it, then perhaps your timing was late for such a fundamental issue. I understand that you will not say that here in committee today; you may do so in other places, but you should really let Mr Francken and Mr Jambon know that you do not appreciate that they are questioning the Belgian position in this matter. That is what they have done, what they have done before, and what they have done before. I would much rather see that there is no doubt about the Belgian position in this matter. I am also a resident of this country, and I am primarily a citizen and fellow countryman. It is about issues that are far beyond opposition and majority. I do not like the fact that our country is not sufficiently clear in this respect. As far as the impact on our compatriots is concerned, according to the information I have at my disposal today, the US Embassy is still telling us that there is an impact on persons holding dual nationality. I would ask you to follow that closely. You say that there have been contacts and I would really like to ask you to avoid that countrymen are the victims of the measure. More broadly, I repeat our plea. I believe that there is a real need for a very clear and firm Belgian and European US strategy. It should not only be about free trade, but also about human rights and climate. The time has really passed now that, as government spokesmen have also stated, we should wait and see if the man really means it and give him a chance. People really crave a clear Belgian and European position. At least that's our craving, our question. That doesn't really have much to do with opposition and majority.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u37	Prime Minister, at times diplomacy and coordination around communications must give way to firmness and clarity. Many of your counterparts – whether in Canada, Scotland or elsewhere in the world – have had an appropriate response, that is, a firm response. Why? Because, and you know very well, the language in politics is also made up of signals that are sent. Those you have addressed are likened to laissez-passer, a fortiori when they are supplemented by the words of one of your Secretaries of State, who considers that the reactions expressed by us as well as by fellow citizens and associations in the United States are a form of hysteria. We understand the signal that has been sent and that you are covering, since the person concerned is part of your government. Today, you raise your tone; it's a little easy. As regards the content and the time you have taken to react, I believe that this weekend you have not been able to live up to what the Belgians are entitled to expect from you, and not just those who have dual nationality. I am talking about all our compatriots, who are more than shocked by the situation in the United States and who ask their government to react much more firmly than you do.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u38	Mr President, Prime Minister, thank you for your answers. As I pointed out, in order to judge firmness, we needed to have information about what was done. Your answer develops two points that I can understand: the measures that have been taken and the consistent communication of your government. Indeed, I believe that it is necessary to have informal contact at European level, as you have done, in order to try to benefit from uniform communication. I note that you also contacted the embassy to submit the point of view you had defended in the press. It will be a matter of continuing in this direction. Unfortunately, I cannot agree with your attitude when you talk about uniformity in communication. Mr. Franken's tweet in which he minimized Donald Trump's decisions was very clear. Without this incident, the questions would have been trivial: what do you think? What measures have been taken by our diplomats, as was the case in other cases? What applications have you submitted? And you would have answered us. Today's topical debate has been sparked by the statements made by Mr Franken. Unfortunately, this is not the first time. Maybe I could make a suggestion. You have already taken over a few cases, such as the new corporate tax and the taxation of capital gains. You could do the same for the communication and Twitter account of your Secretary of State, Mr Franken. This will prevent us from seeing each other on a regular basis to try to extinguish the fires that he continues to cause unpunishedly.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u39	Thank you, Prime Minister, for your answer. You think it is excellent that there has been a lot of consultation on the dossier with the other European Member States and a lot of actors. I think that is a great step forward and hope that you will not be divided into Europe. However, I regret that you are again choosing the slopes of opposition against majority. We simply want to make it clear that if you are asked for a response, you will make it clear what your principle is and that you will test the decision against that principle. I understand that you first want to look into what exactly has been decided, but you must first state clearly what the border is for you. For us, the border is the Muslim Ban. I also think that you should agree in the government not to tolerate communication that one can go in all directions afterwards. Too often, this has happened around too many files, which increases mistrust. I tell you that not only from the point of view of the opposition. Furthermore, you argue that you are first careful to react more and more punitively. The opposite is also true, of course. I think we might be able to convince the U.S. President to change his decision by responding to the penalty. Action and response are not insignificant.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u40	If there is one thing that is clear, after ten days Donald Trump, as President, there is a lot of confusion about the policies pursued, both internally and abroad, because of the pace with which he makes a number of decisions, their content and style. We can respond very quickly, which is sometimes asked, without really knowing what the size is and for whom exactly the consequences are felt, as the Prime Minister rightly points out. Moreover, we have to note that the communication and content of the decisions taken are adjusted daily, so that we still do not know the exact content of the decisions. There are still questions left. I heard Mr Calvo, who has already left, say that doubt is being sown. No, that is not the case at all. Anyone who rereads or rehearses the exact words of Jan Jambon, Theo Francken and also Geert Bourgeois, the Flemish Prime Minister, and does not selectively take out what matters, will find that there is no doubt. I think they were very clear.
