ParlaMint-BE_2017-06-07-54-commissie-ic681x.u1	Mr Brotcorn's questions 221 and 222 were withdrawn from the agenda.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u42	Mr President, Minister, the law on the extended friendly settlement has rightly been a controversial law since it was introduced. In recent months, a committee of inquiry has been set up to examine how this law has been implemented. In the meantime, it's clear that there's a lot going on. Just hacking colleague Gilkinet and spreading fake news show that. About a year ago, on 2 June 2016, the Constitutional Court ruled that Article 2016a, § 2 of the Code of Criminal Procedure, which regulates the sale law, violates the principle of equality, the prohibition of discrimination and the right to a fair trial. The Court ruled that there was a lack of control by the court, because even a friendly settlement could be made after a criminal action had already been established. The judge could only check the formal aspects. However, according to the Constitutional Court, the judge should be able to exercise full supervision, both as regards the proportionality of the intended amicable settlement and as regards legality. In doing so, the Court went against the view of an alternative, extrajudicial handling policy. Afterwards a circular letter from the College of Attorneys General to put the law on hold. Yet, as became relatively soon known, the buy-back law was still applied. According to figures in the press, at least three cases would have been settled in Ghent and one in Kortrijk by a friendly settlement, despite the fact that this was not allowed according to the circular letter and that the Constitutional Court had seriously questioned the buy-back law. In the meantime, you had started working on a recovery law, but you postponed it because of the work of the Kazachgate Committee. At the beginning of this year, you promised to wait for the supplement so that you could take that into account. Meanwhile, however, the majority blocked the discussion of the contents of the buy-back law in the committee. Last week, a number of things happened at almost the same time. The majority limited the hearings to the summer recess. It was also announced that the College of Attorneys General had sent a confidential circular in which it called for the re-application of the buy-back law, in other words that court cases can be repurchased again through the extended friendly settlement. At the same time, you indicated that you still want to get the recovery law through Parliament as soon as possible, even before the summer, before the work of the committee of inquiry on the implementation of the 2011 law has been completed. First of all... Why this sudden rush, Minister? Is there a connection with the limitation of specific files as suggested in the press? Secondly, will your bill do nothing more than include the opinion of the Constitutional Court in the law? Or is there provision for other measures? Thirdly, can you tell us the exact figures of the number of friendly settlements that were made between the first circular that put on hold the extended friendly settlement and this circular that once again encourages it? Fourthly, why was a confidential circular chosen? Why should the content not be known to the public and the lawyer? Fifthly, have you mainly communicated with the College of Attorneys General on the re-application of the buy-back law and the drafting of this circular?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u43	Mr Hedebouw, first of all, I would like to refer you to the detailed answer I gave on this subject last Thursday in plenary following a number of questions. With regard to Mr Gilkinet's question concerning the period between the proposed extended transaction and the finding of the termination of the public action, it appears that it depends on the concrete elements of the case and the state of the proceedings. It is not possible to deduce a line in this respect. I do not have any statistical data on this subject. With regard to the other figures requested, the College of Attorneys General had put the registration of the application of the extended transaction on hold after the ruling of the Constitutional Court and a directive of 16 June 2016 of the Attorneys General to no longer enter into further negotiations. At the time, registration was also not carried out in a uniform manner in the various jurisdictions, notwithstanding the relevant 2014 Directive. In the meantime, the College of Attorneys General decided to lift the provisional guidelines of 16 June 2016 and to allow the application of the law on the extended friendly settlement. Directives were also issued to achieve uniform registration and thus to be able to provide the required data in the future. The recent directives of the Attorney General also recommend that we proceed as carefully as possible and ensure that effective judicial control is carried out in cases where criminal proceedings have already been instituted. This is an autonomous initiative of the College of Attorneys General, after analysing recent case-law, taking into account a number of cases in which there is a risk of limitation. This decision of the College was prompted, in particular, by the fact that the Ecofin network of expertise, which is sensitive to the field, asked to adopt a new position, taking into account the evolution of the case-law, in order to allow a constitutionally consistent application of Article 216a of the Code of Criminal Procedure. The College informed me not to settle any politically difficult dossiers at this time. I have not given any guidance or initiative in this regard. I have not been informed of any specific dossiers either. It is not a confidential directive of the College, but similar directives of each attorney general individually for its jurisdiction. Each Attorney General will have to decide whether to open new negotiations or to continue ongoing negotiations in his area of responsibility. Finally, I would like to make it clear that my initiative to prepare a repair law is certainly not motivated by haste, but rather by concerns about the inclusion in the Code of Criminal Procedure of a corresponding legislation which is in conformity with the Constitution. The draft law provides for the extension of the judge's discretion. More specifically, the judge will check not only whether the formal conditions of application are met and whether the victim and the tax and social administrations will be compensated, but also whether the author has accepted the transaction and the proposed measures in a free and thoughtful manner, and whether the transaction and the measures proposed by the King's prosecutor are proportionate to the seriousness of the facts and the personality of the author. I believe that this completely meets the concern of the Constitutional Court, which, to be clear, did not annul the provisions in question, but answered a question for a preliminary ruling. Parliament will be able to judge this after the parliamentary holidays, if any, and if the Committee on Justice so wishes, after hearings by experts and on the ground, therefore at the time when the parliamentary committee of inquiry on Kazakhgate has been able to complete its work. Thank you.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u44	Minister, thank you for your answer.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u45	Mr. Secretary, on May 30th, Het Laatste Nieuws reported on the retirement of a clerk in Mechelen. The position of the man is no longer filled out by savings in the courts. The chair of the Mechelen department indicated that there is already a shortage of staff among the clerks, including by changing to other departments. The remaining clerks face an increased risk of burn-out and depression as a result of the increased workload. Last year, the College of Courts and Courts already sued this situation. According to the College, the laws laying down the frameworks have not been complied with for years, leading to a structural understaff. This applies to magistrates and clerks, the services of the public prosecutor and the staff. The College sued that justice should be treated as an administration under custody. In summary, his specific demands were as follows: compliance with the laws laying down the frameworks and the organisation of new examinations for levels B and C by Selor, raising funding to the needs of enabling the modernisation of justice, improving working conditions, in particular on housing, security, information technology and access to legal documentation, and management that respects the independence of the judiciary. So my questions are as follows, Minister. What has been the evolution of the number of clerks since the current government took office? What is the situation with the other staff of the courts? Are there any courts or departments that have identified a serious shortage of personnel? Have you taken concrete steps to comply with the requirements of the College of Courts and Courts?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u46	Mr Hedebouw, since the law of 1 December 2013 on the reform of the judicial districts and amending the Code of Justice in order to increase the mobility of members of the judicial order, the judicial staff of level A and B has been appointed to the judicial district. Article 159 of the Civil Code provides for this. The Registrars are therefore not appointed to a department. It belongs to the power of the President and the Chief Registrar, in accordance with the Court's own organisation, to employ the Registrars in such a way as to ensure that the service is provided across all departments. From this point of view, the bestaffining of clerks in Mechelen is primarily an internal matter. As regards the Registrars before the Court of First Instance in Antwerp, the occupation in the province amounts to 93 %. However, my administration, in cooperation with the support service of the College of the Courts and Courts, follows the overall situation of the various courts, taking into account the well-known outflow. Such monitoring shall lead, at regular intervals, to the publication of vacant relations, including of Registrar. For example, in March, the procedures for the completion of 124 Level B places were initiated for its Registrars and Secretaries to be replaced and, at the end of April, for 196 Level C relations, assistants and level D assistants. In consultation with the judicial authorities, a new vacancy plan is currently being prepared to open up another hundred relations to various Registrys. The support service of the College of the Courts and Courts is currently consulting the various Management Committees on this matter with a view to achieving an adequate distribution of resources.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u47	I thank the minister for his response. I am well aware of the question of mobility, but I believe that this is rather a global quantitative problem at the level of the various boroughs. I take note of the 100 additional replacements, if I understand correctly, scheduled for the clerks next year.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u48	(...) 196 level C. In March, 124 level B clerks will be hired. And, at the end of April, 196 level C and D. Together, that's 320 places.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u49	Thank you, Mr President, Minister, a ministerial decision setting up an Advisory Committee on Civil Procedure appeared in the Belgian Official Journal of 27 October 2016. Four members were appointed to the committee: Mr Boularbah, Mr Taelman, Mr Van Drooghenbroeck and Mr Deconinck. The committee would have the task of giving an opinion on the approximation of legislation on the treatment and prosecution of civil cases and legal remedies, as well as on additional aspects of civil procedural law that could be taken into consideration, with a view to modernising, simplifying and speeding up civil proceedings. End of quote. My question is brief and concise, Minister, what is the state of play in the work of that committee?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u50	Mr President, Mr Terwingen, the opinion committee forwarded to me its report just before the Easter recess on 15 April. The committee has expressly confirmed that I can fully have this report and give it the publicity I consider useful. I am here to present the report to the Secretariat of the Commission of Justice for further dissemination and indeed to keep a copy at your disposal. Thank you very much.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u51	In all other cases, it would be very surprising that the minister plays so short on the ball. In this case, I am not surprised, since I know, Minister, that this is your way of working. I think, Mr President of this committee, that together with the chairman and the other members, we will have access to, and take note of, the report. Then we will look at how we can take further steps, support your policies and simplify or make more efficient all aspects of legal proceedings, including civil proceedings.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u52	Question No 19084 by Mr Kir is transformed into a written question.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u53	Minister, a number of questions have already been asked in this committee over the past few months concerning the plans to close a large part of the peace courts. We too believe that justice should be brought closer to the people. The judges of peace are the judges to whom ordinary citizens still have relatively easy access both because of their proximity and because of the smooth procedure and low costs. Your plans to close a large part of the peace courts also threaten to have an impact on the Legal Assistance Committees where citizens can receive free guidance advice from a lawyer. These services provide essential first-line assistance for citizens who often do not understand the formal language or procedures in the Justice Department. In Borgerhout this service had office hours in the same building as the peace court that you planned to disappear. The population will therefore also have to travel much further to consult a CJB, as with the peace process. This increased inaccessibility once again constitutes a barrier to justice. I have two questions for you, Minister. Will you possibly provide alternatives in consultation with your fellow Members so that the Legal Assistance Committees remain easily accessible to local residents? Do you have plans to further promote free first-line legal assistance in the future?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u54	Mr Hedebouw, I was surprised by the questions about the presence of the Committee on Legal Assistance in Borgerhout. So I went to check in. The services have confirmed to me that they are not aware of this presence of the Committee on Legal Assistance in Borgerhout. The Legal Assistance Committee is organized by the Bar and officially my services only know of their presence in the Butterfly Palace. Nevertheless, this may have been achieved from a local consultation, but that has not been reported to me at any time in the preparation of the Peace Courts dossier. The integration of the canton of Borgerhout into the Butterfly Palace will soon be requested by the president of the peace and police judges of Antwerp. Finally, I can also tell you that since the sixth state reform, the Community has been responsible for the substantive organisation of first-line legal assistance.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u55	Minister, we're going to help you communicate. We will ask that on the ground too, information on the existence of this Legal Aid Committee be transmitted to the various departments.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u56	Oral questions Nos 18853 and 18854 by Mrs Özlem Özen are postponed. Oral question No 19099 by Mrs Kristien Van Vaerenbergh is transformed into a written question.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u57	Minister, I have recently been questioned about the situation in this psychiatric annex. The staff of the care team, who must supervise the inmates in the psychiatric annex, are reportedly understaffed, and this is a cause for great concern within the institution. According to the information provided to me, several essential functions, including psychologist, social worker and educator, are no longer occupied due to long-term absences. For other functions, replacements would be required in the short term, but they are slow to become effective, particularly for psychiatrists and occupational therapists. Prisoners or internees residing in psychiatric annexes of penal institutions require specific and strengthened care and support. In view of the considerable efforts you have made since the beginning of the legislature to improve the plight of internees and the situation in psychiatric annexes, I must not convince you of the need to remedy this situation as quickly as possible. Minister, are you aware of this situation? How is the staff of the Psychiatric Annex of the Lantin Prison made up? Is this framework completed? How is the health care team composed? Do some of these functions fall within the competence of the Wallonia-Brussels Federation, for example in the field of social monitoring, psychological follow-up, etc.- Is that what you're saying? Have any measures been taken or are they going to be taken to remedy the shortage of staff in the psychiatric annex of the Lantin prison?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u58	Mr President, as regards the first question and the fifth question, I am indeed informed of the situation in Lantin. My administration and I have been looking for solutions for some time now. For example, the Citadel's psychiatry services have been providing three half-days a week to the annex since 1 June. A fourth day will be organised from 15 June and a fifth in November 2017. It is also possible that one of the psychiatrists, who would be responsible for the annex, may request to participate in an additional half-day. In addition, there is a reasonable hope of recovering a consultation on diabetes. This consultation is essential given the increasing number of diabetics in prisons in general and in psychiatric services in particular. The possibility of completing the existing care team is currently being discussed with the Personnel Department. We are working on an internal procedure that would allow psychosocial staff, who wish to join the care team, and vice versa, to have the opportunity to do so. There are candidates for the care team. Both the management and the inspector and psychologist counsellors who have this section of Lantin in charge are currently under discussion with the Inmate Assistance Service. This service has indeed indicated that it wants to develop an offer for Lantin's annex. The executive is composed of two psychologists, a social worker, an occupational therapist, an educator and a psychiatric nurse. To date, there is a full-time occupational therapist and a full-time social worker who returned from sick leave on June 1. Both psychologists are absent for personal convenience. The educator is pregnant and has therefore been removed from the service. The P&O Service has opened positions for the Psychiatric Care Team in Lantin: a psychiatric nurse, an educator, and an occupational therapist. The criminologist hired by Public Health, who works in all Francophone annexes as well as at the Paifve social defence institution, has strengthened her work in Lantin. DG PPE contacted the inmate support services during the absence of the social worker to request their cooperation. This contact continues with a view to improving care. A meeting will take place on June 19 in Lantin, with the ESTIM mobile team to see what help it can provide in the care of interned patients as well as in their reintegration work. Finally, the care of a psychologist, who might fall within the competence of the Wallonia-Brussels Federation, is being examined.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u59	Minister, thank you for these answers, both concrete and precise.
