ParlaMint-BE_2017-01-17-54-commissie-ic566x.u1	The interplay No. 154 of Mrs Pas has been postponed.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u32	Mr President, Minister, Resolution 2334 was voted in the UN, urging Israel to "stop immediately and completely all settlement activity in the Occupied Palestinian Territory, including East Jerusalem". In the Security Council, the United States has refrained from vetoing this resolution. It should be recalled that, for decades, Israel has been constantly flouting Palestinian rights and international law. Colonization has continued to develop. Since 1993, it has increased from about 300,000 settlers in the West Bank to almost 600,000 today. The Israeli Parliament is in the process of adopting a bill simply providing for the legalization of houses built for Israeli settlers in the occupied West Bank on Palestinian private land. These include not only all Jewish settlements, but also outposts created by extremist settlers on Palestinian private lands. Since the vote on the resolution, Mr Netanyahu and the Israeli Government have reacted by not only warning that they will not comply with this resolution, but also that they will punish those who voted for the text. They had already ordered "a series of diplomatic measures" against New Zealand and Senegal, which had obtained a vote at the United Nations. You yourself welcomed this resolution, Minister, on behalf of Belgium. This is indeed a good thing. However, we must not be fooled by illusions: a resolution will not be enough to change the course of Israeli policy, which is still widely supported by the West. The decision of the United States to grant Israel an unprecedented $38 billion in military aid in ten years symbolizes this support. My questions, Minister, are as follows. What do you think of the attitude of the Israeli Prime Minister and his government? How will Belgium react? While Mr Netanyahu has clearly announced that he will not comply with this resolution, what will Belgium undertake to enforce this UN resolution? What initiatives and possible sanctions will it take against Israel?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u33	Mr.President, Minister, in 2016, Israeli settlements expanded very sharply. Construction of new settlement units increased by 40 per cent in the first six months of the year. On 23 December 2016, the United Nations Security Council, as we have just heard, adopted a historic resolution on the illegality of Israeli settlement policy. Fourteen countries supported the resolution. The United States abstained in the vote. Resolution 2334 calls for an immediate freeze on Israeli colonization and calls on the Member States of the United Nations to pursue a clear policy of differentiation. As a reminder, our assembly also adopted a resolution on November 24, 2016, calling on the federal government to deepen the policy of differentiation. Mr Minister, I would therefore like to ask you about this point. What concrete steps do you intend to take to implement United Nations Security Council resolution 2334 and our Assembly's resolution on "Belgium's support for a resumption of the Middle East peace process", in particular on request 4? The request concerned differentiation and called on the federal government to encourage, at the European and bilateral levels, the deepening of the policy of differentiation between Israeli settlements and Israel in order to safeguard the two-State solution and ensure that Israeli settlements did not benefit from bilateral relations between the European Union and Israel. It was also intended to ensure that the application of this policy of differentiation would not in any way lead to a restriction of European investment in entities whose activities are carried out outside Israeli settlements and infrastructure linked to such settlements, economic sanctions or a boycott of Israel. I do not go back to the comments I made on this point in our discussions, but I would like to know more about the follow-up you are considering. Finally, following this UN resolution and the resolution voted here in the House, Minister, what position do you stand in the various European fora on this issue of differentiation?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u34	Mr President, ladies and gentlemen, Belgium has welcomed Security Council resolution 2334, which has the merit of recalling a number of essential principles unanimously recognized by the international community: the colonization of occupied territories is illegal under international law and constitutes a major obstacle to peace and the realization of the two-State solution. This position, which is also reflected in many conclusions on the Middle East peace process of the European Union's Foreign Affairs Council, has not changed, and Belgium, like the European Union, does not miss an opportunity to remind the Israeli authorities of this message. I myself made our position very clear during my last mission on site in May 2016. The Paris conference, which we had the opportunity to mention earlier, which took place on Sunday, 15 January, also welcomed, in its final communiqué, this Security Council resolution and stressed the importance for the parties to reiterate their commitment to the two-State solution by taking urgent steps to reverse the current negative trend on the ground, including an end to settlement activities. In recent years, the European Union has already adopted a series of measures aimed at distinguishing between Israel and settlements: an indication of the origin of settlement products, a territorial clause, EU guidelines on the eligibility of Israeli entities established in the occupied territories, and a common message aimed at raising awareness among businesses and citizens of the European Union about participation in economic and financial activities in Israeli settlements. Other elements could be added. As for the attitude we will adopt in the future, you know that Belgium favours the adoption of a common position of the European Union in all circumstances, which has more impact. This subject is regularly debated in European fora, as at this Monday's Foreign Affairs Council, following this Sunday's Paris conference. Sanctions are not on the agenda. Peace also requires dialogue between the parties, which is why the European Union and its Member States have not chosen to embark on sanctions, which could prove counterproductive. This position is also in line with resolution 1973 adopted by the House on 24 November 2016 since it calls on the government in its article 4: "To ensure that the application of this policy of differentiation does not in any way lead to a restriction of European investment in entities whose activities are carried out outside Israeli settlements and infrastructure linked to these settlements, economic sanctions or a boycott against Israel." On the other hand, it is essential to work to restore a climate of trust between the parties, which is a prerequisite for a future resumption of the peace process. It was the heart of the French initiative that led to the Paris conference. It is also in this spirit that I held an economic conference in Brussels last month, bringing together Israeli, Palestinian and Belgian entrepreneurs, to discuss ways of contributing together to the development of the West Bank and Gaza. Belgium will continue to support initiatives in this direction, whether at national, European or international level. I repeat, next month we will come back to this issue of the peace process in the Middle East, the Middle East, at the next Foreign Affairs Council of the European Union, with the intention of seeing how to try to bring the parties back to the negotiating table. It is the meaning of the conclusions of the Paris Conference that envisages a new meeting this year. That is also the meaning of the contacts we will have with the new US administration. I said that earlier in the debate on the Paris conference. It is obvious that without the support of the new US administration, it will be very difficult to imagine direct contacts between the two sides. We will therefore also work in this direction. Meetings with the new administration are already scheduled.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u35	Minister, I take note of your well-known position on Israel. You say "no sanctions, it is not on the agenda, it is counterproductive" and you refer to this 1973 resolution. That is why we did not support him at that time. When you say that the sanctions are counterproductive, I, above all, see that it is the attentism and passivity of Belgium and the European Union that are counterproductive. Today we are really seeing an arrogance and growing extremism on the part of Israel. In relation to the Paris initiative alone, we hear the statements of Netanyahu who had already criticized in advance the conference, and even the extreme right-wing defense minister, Lieberman, who refers to the Dreyfus Affair, in a reversal of the roles nevertheless quite surprising. I think that this policy, which you call prudent, has shown that it is a dead end and that it does not really lead to results. In addition to this arrogance of the Israeli government, I have the impression that the election of President Trump will further enhance this Israeli position. Unfortunately, I fear that a solution will not be found for this Palestinian people who have been victims of the oppression and discrimination of Israel for so many years.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u36	Mr. Chair, Mr.Minister, thank you for the elements of your response. That was a bit of the meaning of the debate that we had at the time of the resolution's discussion here in the House. The question has arisen as to how far we are going to accept that acts in contradiction with international law continue to be perpetrated without any sanction being taken against a State that continues to expand its colonies and practices measures that are completely contrary to international law. In this context, during the discussion of the resolution, we spoke on the question of sanctions, because we cannot continue as if nothing were happening and when sanctions would allow the actor concerned to be placed at the foot of the wall. Maybe that could make him react. I hear that Belgium is not moving in this direction and continues to favour a more diplomatic approach, which I certainly understand, even if I do not share it. I believe that this approach has demonstrated its limitations and has not made much progress so far. I persist in saying that we need to go further. When we see the agreements that are sometimes discussed here, where we insist that the precise borders of the State of Israel be mentioned in its agreements with the European Union, I find these important elements in order to move forward if we want to go further in this policy of differentiation, which we still cannot achieve on your part or at the level of the European Union. I hope you will insist at European level that we can move forward in this direction.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u37	Mr President, Mr Minister, the Prime Minister had said that it was necessary to await the opinion of the European Court of Justice on the agreement with Singapore before Belgium brought the matter before the same court concerning arbitration mechanisms in CETA. This dubious interpretation may be astonished because what had been done for Singapore concerned another issue, that of the mix of treaties. However, it would have been worrying that the agreement had not been recognised as mixed. Supporters of CETA would have had an argument not to refer the matter to the Court of Justice. However, this opinion is now widely known. The Advocate General at the European Court of Justice stated in December that a free trade agreement between the European Union and Singapore could not, in his view, be concluded only by the Brussels Commission: it must be concluded in liaison with the Member States and ratified by the 28 Member States. It therefore wrongs the Commission, which turned to it in 2014, but argued that the Union could conclude this agreement alone. Even if the final opinion is only expected in April or May 2017, it is known that the opinion of the Advocate General is in principle followed when the Court gives its final opinion. There is therefore no reason to wait for Belgium to refer the matter to the European Court of Justice. Failure to introduce it would be a sign of bad will on the part of the government. So when do you intend to introduce the referral by Belgium concerning CETA arbitration mechanisms? On the basis of what elements did the government consider it necessary to await the ECJ's opinion on the Singapore agreement on a completely different issue?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u38	Madam President, ladies and gentlemen, like the Legal Service of the European Commission, my services are currently analysing the recent findings of the Advocate General of the European Court of Justice in the case with Singapore and their implications for the CETA case. Reference to this ongoing procedure was made to the Consultation Committee and not to the Federal Government during intra-Belgian discussions on the signing of the CETA. This is therefore a joint decision. As regards the continuation of the procedure, in mid-November my services began the necessary preparations for the submission of a request for an opinion by the Federal State on behalf of Belgium to the European Court of Justice. It is imperative to involve all concerned federated entities closely and in a timely manner. I therefore took the initiative to invite them to my office on 8 December. A second meeting is currently under preparation. We will therefore continue our work with the federated entities in order to have a text reflecting all their positions before taking a further step.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u39	Minister, thank you. I did not get a "key-to-door" answer, but I see that things are moving forward, which I look forward to in the hope that this process will succeed. I would remind you of the unanimous negative views of European civil society, the Irish Senate resolution, the vote in the Council of Europe's Social Affairs Committee calling for non-ratification of CETA, or the call by the United Nations representative not to adopt this treaty. There are therefore significant oppositions to the latter and every effort must be made to obtain as much guarantees as possible.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u40	Madam President, Minister, Donald Trump's style leaves its mark internationally. One of the remarkable actions he took was to recall the foreign ambassadors on 20 January. Mrs Denise Bauer, American ambassador to Brussels, must also leave from 20 January. He applies this strictly, there is no buffer or space for transition. My questions are as follows. Were you contacted about the ambassador's departure? How do you see this? Can this lead to a certain diplomatic vacuum between the United States, Belgium and even the rest of Europe? Can this have an impact on some of the files that are running today? I am thinking in particular of TTIP. Are you concerned about certain issues and have you been in contact with the relevant authorities?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u41	Madam President, Mr Luykx, my services have not so far been formally informed of the Ambassador's imminent departure. Based on informal contacts with the embassy, the story can be confirmed. I myself had a direct contact with Mrs Denise Bauer. I do not think this is the first time that such a decision has been taken by the United States. It's an internal decision. I am convinced that there will be no vacuum as the continuity of the embassies will be ensured by case-laws, as is customary in diplomacy. During my contact with Ambassador Bauer, I also had contact with her employee who will take charge of the representation in Belgium. The same process applies to NATO and the European Union. I don't see any files that could be compromised. As regards TTIP, the negotiations are conducted by the European Commission and the US Trade Representative services. Embassies are not directly involved in this. I did not hear anything during the election campaign in the United States, nor since the election of the new President, about a possible evolution of the negotiations. Many statements have been made about TTIP with Asian countries, but neither the European Commission nor I have heard anything about TTIP. We will examine with the new administration how the European Commission and the US Trade Representative can sit around the table again.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u42	Madam President, Minister, thank you for your reply. I was in Washington as an observer for the election. Then it was also confirmed that once Trump would be appointed as president, a wider administration would conduct the policy and not a man alone. Mutatistively, like an embassy does not function on the basis of a single diplomat, but of a very sad people who stand behind him, the same correction can be predicted as regards Trump's policy. It may sound louder from a man's mouth, but in the end the policy will be run by more people, by an entire administration. We share that view.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u43	Madam President, Minister, I would like to ask you again about the fight against nuclear weapons. At the end of October, in a United Nations General Assembly commission, the countries participating in the meeting had to express their views on the possible organization of a conference that could lead to the elaboration of a legally binding instrument to ban nuclear weapons, with a view to achieving their total elimination. Many States in Africa, Latin America, South-East Asia and the Pacific endorsed this proposal to hold a new conference in 2017. The European States were divided between those who had adopted a neutral position (Austria, Malta, Ireland and Switzerland) and those who had opposed the holding of the conference. It would appear that Belgium has expressed its opposition to the opening of multilateral negotiations for a nuclear-weapon-ban treaty. The rationale for this rejection was as follows: "We enter into negotiations on a treaty banning nuclear weapons can only come as a final constituent element to ensure a world free of nuclear weapons, at a time when we have reached the point of minimization where the number of weapons will be reduced to a very small number." The whole question is what this point of minimization means. Mr Minister, can you justify this position of the Belgian Government and tell me what Belgium's attitude will be at this conference? Thank you.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u44	Minister, I will delete the introduction; I have already given it twice. Since I didn't get an answer to my earlier question, I asked them again. In order to improve my statistics, I have now divided them into two questions. My first question contains four sub-questions. Firstly, you state that Belgium is in favour of a progressive approach. What do you consider progressive in merely repeating and recycling proposals that have been on the table for more than two decades but have never been implemented? Secondly, what concrete elements do you see to assume that the proposals contained in this so-called progressive approach can now be implemented in the short term? What specific initiatives do you see at European level, at NATO level, at international level? What concrete initiatives has Belgium taken or what initiatives does Belgium plan to take in the short term? Thirdly, the large-scale plans to modernise the nuclear arsenals of the nuclear States do not show that the latter are not genuinely interested in complete nuclear disarmament? If not, what concrete elements convince you of the sincerity of the nuclear weapons states to disarm them completely? Fourthly, do you believe that the lack of any reference to the progressive approach in the final declaration of the P5 meeting in Washington in September 2016 demonstrates that the nuclear weapons states are in no way interested in achieving the progressive agenda in the short term? Why, or why not, do you think? Finally, I would like to ask my second question which again contains four sub-questions. First of all, Belgium has always proposed to include a role as a bridge builder in the UN's open-ended working group on nuclear disarmament in 2016. In what specific ways has Belgium tried to fulfil this role? Secondly, Belgium stressed in the open-ended working group the central importance of transparency and of reducing the importance of nuclear weapons in security doctrines. Are you prepared to take action and communicate transparently about the presence of American nuclear weapons in Kleine Brogel and to plead within NATO for a reduced role of nuclear weapons in the security doctrine? Thirdly, do you see the launching of multilateral negotiations on an international prohibition treaty as the concrete implementation of Article 6 of the Non-Proliferation Treaty? Why is that, or why not? Fourthly and finally, do you agree that an international nuclear ban treaty is not equivalent to negotiating a verifiable nuclear weapons convention?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u45	Madam President, ladies and gentlemen, Belgium has already voted twice against the opening of multilateral negotiations in the United Nations to draft and have adopted by the United Nations Assembly an international treaty banning nuclear weapons. The vast majority of the Member States of the European Union have, moreover, voted against this resolution, as have all NATO Member States – with the exception of the Netherlands, which have abstained. We are more than ever in favour of a world without nuclear weapons, but we are seeking to achieve that goal in the most effective way possible. The proposed immediate ban is incompatible with our progressive and realistic approach to the problem. Since the nuclear arsenal constitutes the ultimate deterrent in the eyes of the States in its possession, nuclear disarmament cannot be decreed by means of a purely declaratory and formal prohibition. Nuclear-weapon States will not feel bound by such a treaty. Moreover, the latter will not be verifiable or binding, contrary to what its promoters say. You are referring to the 1968 non-proliferation treaty. Indeed, the holding of negotiations for an absolute and immediate ban on nuclear weapons, a little like what prevails for anti-personnel mines, for example, is likely to prove counterproductive, as it risks undermining the political will of States to implement the Non-Proliferation Treaty, which is a pillar of the architecture of international stability. In the case of the ban on anti-personnel mines, Belgium has rightly played a pioneering role, which I stress regularly. At the time, however, our country was doing a really useful job, given that there was no binding instrument in this area. This is not the case here. Therefore, the recipe cannot be transposed to nuclear weapons. Such an inclusive dialogue, which should normally take place on this issue, is necessary if we are to make concrete progress in nuclear disarmament, particularly with a view to the entry into force of the Comprehensive Nuclear-Test-Ban Treaty, the implementation of confidence-building and transparency measures and the reduction of nuclear arsenals. In addition, it is important to take into account the current global security environment, including nuclear proliferation. I refer you to the particularly worrying case of North Korea. Given our position on the implications of a ban treaty, it is not our intention at this stage to participate in the negotiations, except, of course, if there is a significant movement within the group of our partners – the Member States of the European Union and the Atlantic Alliance – towards participation. I must tell you that this probability is very low to date. I would like to stress that the Belgian position is not motivated by satisfaction with the current rhythm of nuclear disarmament. We want faster progress, but we are opting for the most efficient approach. As you can read in the public document, the term progressive approach is on a gradual path towards nuclear disarmament. The supporters of the progressive approach do not believe that a simple shortcut to a nuclear-free world actually exists. They do not believe that by wishing to remove nuclear weapons, they will be effectively removed. They do believe that nuclear disarmament will be achieved on the basis of a series of effective measures, for which hard efforts are needed by the entire international community. Belgium is doing its bit. Our country is part of a limited group of countries seeking solutions to the technical challenges associated with nuclear weapons decommissioning verification. The importance of this issue is also recognised by a new resolution adopted by the UN General Assembly in December. The progressive approach is an initiative of non-nuclear weapons states. More important than a formal endorsement by the nuclear weapons states is the actual implementation of the proposed measures. In this respect, we welcome the fact that the UN General Assembly has decided to carry out more substantive work, both with regard to a treaty for the cessation of the production of nuclear fuels and with regard to the verification of nuclear disarmament. As regards the UN working group, which is known as the open-ended working group, I would point out that Belgium has contributed to a wide range of proposals to advance nuclear disarmament in a realistic and pragmatic way. Belgium made five national declarations. Belgium, together with other countries, edited three working papers, which provide more details on the steps to be taken to promote nuclear disarmament and on the role of safety guarantees in this process. With regard to NATO, I would remind you that the alliance has made considerable efforts in favour of nuclear disarmament. The alliance supports the goal of a world without nuclear weapons. It has greatly reduced its number of nuclear weapons and has reduced the role of nuclear weapons in its military doctrine. Belgium will continue its efforts. Of course, progress will be promoted through a favourable safety environment. Unfortunately, in recent years, we have seen increased tensions, including as a result of Russian intervention in Ukraine and the illegal annexation of Crimea. In addition, Moscow has stepped up its nuclear rhetoric. During recent exercises, Russia has re-established Iskander and missile systems in Kaliningrad that can launch nuclear weapons. Mr van der Maelen, in reply to your second question, I shall add the following elements. You know them. The alliance's nuclear policy is subject to a number of rules, including the rule concerning the non-disclosure of the location of the American tactical nuclear weapons in Europe. Those rules are not unknown to you, I believe. There is therefore no point in asking the same question over and over again. I'm waiting for your next question at another meeting.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u46	Minister, thank you for the various clarifications. We are probably all in agreement that nuclear disarmament must take place on a multilateral basis. It seems to me to be obvious. With regard to the role of NATO, as already discussed today, Donald Trump wants to redefine the role of NATO, and I believe that in the context of this reflection, NATO will have to continue the efforts you have just put forward aimed at reducing its nuclear arsenal and showing that nuclear deterrence is no longer a priority for NATO. In conclusion, I would like to quote two texts. The first was the resolution we voted on in 2015 on the conference in April and May 2015, which brought together the parties responsible for the review of the non-proliferation treaty. I recall that one of the government's demands was to put Belgium firmly in the fight for nuclear disarmament in a framework of obviously multilateral negotiations in which Belgium continues to participate actively in order – an amendment I had tabled – to "free its territory from any presence of nuclear weapons". The second text I wanted to quote, which I hope will be voted on quickly, is the excellent text that I have co-signed with my colleague-president on Belgium's assistance to the humanitarian initiative for an international ban on nuclear weapons for humanitarian reasons.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u47	Minister, patience has run out in a very large number of countries. When the Non-Proliferation Treaty was signed, a double promise was actually made. On the one hand, those countries that did not have nuclear weapons entered into the commitment that they would never pursue it, on the other hand, the countries that did have nuclear weapons committed themselves to dismantling them and even completely banning them. For twenty or thirty years, an approach has been adopted which is mentioned in your texts. Do I need to remind you of Einstein's definition of stupidity? He says that it is stupid to see a problem, then to define an approach that does not have any effect, yet to remain convinced that this approach will be effective. I don't believe in that anymore. I regret that Belgium is not joining the group of countries that want to take a different approach, an approach that has worked on the problem of landmines and cluster bombs. Were all the land mines and cluster bombs banned with that? No, some countries still hold on to their use. With the nuclear arsenal, we must apply the same approach to all the countries of the world, with as much as possible, preferably 95% of the countries, to the nuclear weapons states. I regret that the government does not agree with that.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u48	Madam President, Minister, the European Commission must present its draft for the next five-year EU budgetary framework. The debate will most certainly be fuelled by the report on the future of European Union funding. This report is the result of three years of work of a cross-cutting group. One of the key ideas of this report is to transform all or part of the contributions of States into direct levies for the European Union. New sources of revenue include the Financial Transaction Tax (FTT), the Electricity Tax and CO2 levies. Mr Minister, what will be Belgium's position in the Council on the question of own resources, whereas the federal government is more than opposed to the question of the TTF, for example? What do you think about the use of some of the resources collected from financial transactions to finance the European Union's own resources?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u49	Mr President, Mr Crusnière, on Thursday 12 January Mr Monti outlined the conclusions of the High Level Group on own resources in the European Parliament's Committee on Budgetary Questions. Its report will only be presented to the Council at the meeting of Finance Ministers (ECOFIN) on 27 January. You will understand that as long as we are not aware of the entire report of the Monti Group and the leads it favours, it is premature to take a position on the evolution of the own resources system in the context of the next multiannual financial framework. It will be up to the Commission whether or not to take into account the conclusions of this report in its future proposals for the post-2020 multiannual financial framework expected by the end of this year. These proposals will form the basis of future financial negotiations. However, according to Mario Monti's presentation to the European Parliament, this report does not seem to highlight any particular option. Rather, he would argue for the combination of several traditional resources with new resources such as the financial transaction tax you are referring to. Before adopting its position, Belgium will judge the proposals of the Monti Group on the basis of their own merits and in the light of Belgian interests as a whole. We will also make sure that we take a consistent position and that we can find a positive response from our European partners, as this is a unanimously adopted dossier. I would point out that, in the previous debates, we had called for a reflection on own resources to be included. We will continue to work in this direction.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u50	Minister, thank you for your answer. I will not fail to ask you again when we have more details on this report. In my view, this debate should take place in an opinion committee responsible for European issues. This would be an opportunity to hold a hearing on this report so that we can learn about the various options taken. My group will probably write a letter to get a hearing and debate on this important report for the European Community's budgetary future.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u51	Mr President, Minister, I would like to ask you about the France-Africa summit held in Bamako on 13 and 14 January. This summit takes place at a time when the situation is worrying in many African countries. This summit certainly provided an opportunity to take stock of the situation in some countries, such as the Democratic Republic of the Congo or Burundi. Minister, have you had any feedback from this summit? Did your French counterpart contact you to discuss the situation in one or the other African country?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u52	Mr Crusnière, the Africa-France Summits are traditionally events in which partners outside France, including Europeans, are very little involved. This was again the case this time, and this is all the more so since it was the last summit of President Hollande, who certainly wanted to take advantage of it to take stock of his African policy and to highlight the main French successes in this policy. It is a follow-up summit to the one held by France in Paris in 2013. In these circumstances, it is therefore normal that neither Belgium nor other countries were involved in the preparation, let alone in the holding of the summit. Diplomatic representations were only invited to the opening ceremony on Saturday morning. At European level, I also note the participation of a European Commissioner. The summit agenda was structured around two key themes. First of all the challenges and threats to peace and then the economy and development, the emergence for inclusive and job-creating growth. This year, with regard to Mali, the fight against terrorism was highlighted and France was able to highlight the successes of the Serval and Barkhane operations in this area. While the main African gold policy issues have been addressed behind the scenes, they are reflected in the final communiqué in general terms. In his speech at the opening ceremony of the summit, Chadian President Déby, President-in-Office of the African Union, referred to the Congolese agreement as a source of inspiration. However, the DRC and Burundi issues were not discussed in plenary session. The focus of the meeting of Heads of State focused on the Gambia, in the presence of President-elect Adama Barrow. In general, you know that Belgium has always ensured that its action is carried out in close consultation with other actors in the international community who are involved in these matters. France is, of course, at the forefront of these partners and, whether on the Democratic Republic of the Congo or Burundi, for example, Belgium and France frequently discuss the accompanying measures that can be taken by the international community. I therefore have no doubt that the accents and concerns that Belgium wishes to see put forward on these two dossiers have indeed been reflected in France's informal contacts during this summit, even if the voice that is being expressed will also be African, with its own intonations and its particular accents. I have not yet had the opportunity to debrief this summit with my colleague Jean-Marc Ayrault, but my services will continue to work together with our French colleagues. As I recall, not only in the European Union but also in the United Nations Security Council, we have practically systematically worked together and received the support of the French authorities on a number of African issues. In other words, France-Africa has disappeared, but Africa-France still exists.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u53	Minister, thank you for your answers.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u54	Debates of the European Parliament 15834 by Mr Delannois has been postponed.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u55	Mr President, Minister, China made a complaint to the WTO on 12 December because the WTO does not treat the country as a market economy and uses the old method of calculation to calculate dumping. However, China considers that, according to Section 15 of China's Protocol of Access to the WTO, the country should be recognised as a market economy after the deadline of 11 December 2016. However, the United States believes that this does not mean that countries should automatically grant market economy status to China. Europe has opened an anti-dumping dossier under the old system at the end of the day. In addition, the European Union is working on their method of calculation. Following the proposal by EU Commissioner Malmström, a proposal for the modernisation of EU trade defence instruments has been agreed. The proposed Regulation amends the current anti-dumping and anti-subsidy regulations in order to better respond to unfair commercial practices. In concrete terms, the agreement provides for greater transparency and predictability in the imposition of anti-dumping and anti-subsidy measures, right of initiative, reduction of the investigation period and last but not least the partial abolition or deviation from the Lesser Duty rule. For example, Europe could apply much higher US-style import charges after a profit-based assessment and will also depend on an assessment of the Union interest. I have the following questions, Minister. What impact can China's complaint have on the United States and the European Union? Will the United States also change its method of calculation or continue to use the same hard line? Belgium's vote in the Council is much needed to approve that agreement. How do you see that vote going? How do you see the possible further handling in the European Parliament? The partial or partial abolition of the Lesser Duty Rule is a strong means of trade defence. After agreement, how do you see its use? Will the European Commission make regular use of this in the event of disturbances? If yes, how high, percentage, could the Commission increase the levies?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u56	Mr President, Mrs Capoen, on 12 December China requested consultations with the US and the EU on our respective anti-dumping methodology in the light of China's WTO accession protocol you mentioned 15 years ago. Like the 163 other WTO members, China enjoys the right to complain if it considers that an approach is not in line with WTO rules. Together with our EU partners, Belgium regrets the Chinese decision to initiate a dispute procedure. After a long wait, we have just received a new proposal from the European Commission to amend European legislation on the regime of anti-dumping duties in a transversal manner, including for China. At EU level, therefore, the Chinese analysis will be studied and we will talk to China. Consultation is the first step in the WTO dispute procedure. If no solution can be found within 60 days, the Member concerned may request a panel to rule on the European Union's anti-dumping methodology. In the meantime, Belgium is, in any case, continuing its work with the other EU Member States on the European Commission's new proposal. Indeed, if the EU Member States and the European Parliament agree on that proposal, it is likely that this will also have a significant impact on the ongoing dispute procedure. The proposal is currently being discussed by the 28 Member States at technical level. In this sense, it is too early to decide on a date for an agreement, which also needs the support of the European Parliament. However, at the most recent meeting of the European Trade Ministers on 11 November 2016, the proposal received broad support in principle. Belgium has given its support in principle to the proposal by Commissioner Malmström concerning the new anti-dumping methodology, provided that a number of conditions are met. The subject may be raised politically at the forthcoming meeting of the European Trade Ministers under the Maltese Presidency. As regards the position of the United States, I can tell you that the Obama administration had already announced at the end of November 2016 that the time is not yet ripe for the granting of market economy status to China. I do not expect that in the current circumstances, with President Trump taking office, the United States will change its vision in a short time. I also share your analysis that the recent agreement in the European Council on the modernisation of trade protection is an important agreement to strengthen our trade defence. In line with my plea to my EU colleagues on 11 November 2016, I therefore welcomed the compromise supported by Belgium and 22 other Member States. It was high time the file was unblocked. However, it is still up to the European Parliament to decide on this. It may propose amendments to the agreement which may have an impact on its implementation. For my part, therefore, I do not want to anticipate exactly how the Commission will use the agreement. We are trying to move forward and, if possible, reach an agreement between the Council and the European Parliament.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u57	Minister, we must remain sober and realistic at all times. If the whole world, with the US at the forefront, adopts stronger trade defences and takes a harder line towards China, it is difficult for Europe to lag behind. Our group is not in favour of hermetically closing our market, but we must keep an eye on this.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u58	Mr President, Minister, a few more days and President Trump is being inaugurated. The appointment of his advisers and ministers is beginning to take shape. The future relationship between the United States and China of President Xi Jinping promises to become particularly turbulent under the present circumstances. Future President Trump has said before that he does not want to abide by the one-China policy, which is a cornerstone of foreign policy vis-à-vis China. In addition, candidate foreign minister Rex Tillerson spoke severe language during his hearing. Tillerson compared the militarisation of the islands in the South China Sea with the annexation of Crimea by Russia. Tillerson fears for freedom of navigation for international trade in the South China Sea. He therefore calls for China to stop making islands and proposes to deny access to these islands through blockades. By the way, Donald Trump has assigned key functions to two China hawks, Robert Lighthizer and Peter Navarro, in his cabinet. Meanwhile South Korea and Japan are becoming more active in Asia. The two countries have made a pact to exchange information between their intelligence services. China feels threatened again and opposes these latest developments. The Chinese President has stated that he will not allow territorial sovereignty to be called into question. The ruling of the Arbitration Court on the South China Sea, under pressure from the Philippines, will not be discussed at the annual ASEAN Summit. China is, however, negotiating a new code of conduct with ASEAN. In the light of this, Minister, I have the following questions. How do you see American-Chinese relationships evolve? Probably it's just bluff poker, but maybe it's not and we're heading for a trade war. How do you assess Trump's statements on the one-China policy? Do you believe that Trump uses this as a token for trade concessions? How do you assess the latest actions of South Korea and Japan? Will this lead to further tensions and escalation in the South China Sea? To date, American warships have sailed through the South China Sea to preserve the principle of free passage. Do you expect more active military interference from the American fleet under the Tromp administration and blockades of the islands or should we see this as a bluff poker? Do you see a way out of the problem of the South China Sea? Can this be achieved through a multilateral framework and under UNCLOS rules, or rather through bilateral agreements between China and the other countries? Finally, what impact would a possible code or conduct have on the further negotiations on the South China Sea?
