ParlaMint-BE_2017-05-10-54-commissie-ic660x.u1	Debates of the European Parliament Mr Clarinval's 17644 was converted into a written question.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u31	Madam Secretary, I can largely endorse that. I think that the decision-making basis will be clear when we receive the references. I have always done scientific research myself and based my work on scientific findings. I think it is very important to include this in current policy. It is true that we should reserve the resources for the patients they really need. I will check these references carefully, but that seems to me to be a well-founded choice. It is clear that communication, whoever is responsible for it, has not been properly addressed. My mailbox exploded through emails from patients who asked questions about this. I am glad that we have received the answers here and that they can be traced back to the patients, who can find a clear framework in this.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u32	Madam Secretary, I have nothing to add. I've got answers to all my questions.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u33	Minister, I would like to make a number of comments, if I may. The first is that you justify yourself by explaining that between 2007 and 2015 there was a 255% increase in the budget based on Pharmanet data. On the other hand, I find that from the moment we make this observation it is necessary, first and foremost, to ask ourselves scientifically whether there are no justified reasons which can explain the necessary use of this treatment. We didn't talk about it today, but I think you really have to ask yourself about it. It may happen at some point that, for a variety of reasons not necessarily identified, a necessary increase in the use of this product is due to a series of additional pathologies that have occurred and an increased incidence. Secondly, I can agree that it is obviously necessary to ensure that all patients who absolutely need it have it, but, unless you tell me, from what I know, there has been no deficiency in the stock of immunoglobulins in recent years. Thirdly, I believe that at least for patients who will still be able to access it tomorrow, but on the basis of the advice of the OPIDG physician, the information of patients and doctors on transitional measures could have been more efficient so as to avoid that a number of patients who, fortunately, will still be entitled to it tomorrow, are not seriously concerned because they have actually fired the alarm bell at several places. On the other hand, for patients for whom you are removing access to this reimbursement, i.e. patients suffering from acquired immunodeficiency syndrome, I would ask for a provision to be put in place that would allow, on the basis of a medical record, a reimbursement authorisation because some of these patients, if they have to choose alternatives that could cause side effects, would find themselves in a very complicated medical situation. I therefore plead for a reimbursement authorization on the basis of a medical record drawn up by the medical consultant, in connection with a doctor of the OPIDG. Minister, you are saying that there will be no concern and that you have provided for transitional measures. I'd like to quote one from you. You say that the hospital pharmacist – and I do not dispute it, being in possession of all the rational information – can, in case of force majeure, post the billing until the diagnosis is made and/or confirmed by the physician of the immunodeficiency group. Of course, but if ever after, when the hospital has postponed the billing, there is no authorization, then the invoice for several weeks or even months will have to be paid by the patient and for some of them, it could amount to 1,700 euros per month, if the reimbursement is no longer insured. Madam Chair, I have a three-pronged motion here. Firstly, I recommend that the reimbursement for acquired immunodeficiency syndromes should not be abolished, but instead, on the basis of the patient's individual file, that they should be subject to a specific authorisation, which would allow those who need it to benefit from it. Secondly, I recommend adopting a policy of changing the conditions for reimbursement, not with budgetary logic, but with a public health approach and in consultation with the professionals concerned. Thirdly, I recommend that transitional measures be taken long enough to allow adequate and quality information for professionals but also for patients and, above all, to ensure that treatments are adapted and that continuity of care is avoided.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u34	In conclusion to this discussion, the following motions were tabled. At the end of this discussion, further motions were tabled. A motion for recommendation was tabled by Ms. Catherine Fonck and reads as follows: "The Chamber, having heard the inquiry of Ms. Catherine Fonck and the response of the Minister of Social Affairs and Public Health, asks the government - instead of completely abolishing the reimbursement of immunoglobulins for the treatment of acquired immunodeficiency syndromes, provide for a reimbursement authorisation on the basis of an analysis of the patient's medical record by the medical consultant in connection with a doctor of the Belgian Primary Immune Deficiency Group (BPIDG), - adopt a policy of changing the conditions for reimbursement of medicinal products based not on a purely budgetary logic but on a public health approach, in consultation with the health professionals concerned, - provide for transitional measures long enough to enable adequate and quality information to be provided to the professionals and patients concerned and to ensure that the treatment of patients is adapted in order to avoid a breakdown in the continuity of care." A motion of recommendation was tabled by Mrs Catherine Fonck and reads as follows: "The Chamber, heard the interplay of Mrs Catherine Fonck and the reply of the Minister for Social Affairs and Health, calls on the Government - with regard to the reimbursement of immunoglobulins for the treatment of acquired immune deficiency syndromes, provide for an authorization to reimburse on the basis of an analysis of the medical file by the consultant together with a physician of the Belgian Primary Immune Deficiency Group (BPIDG), instead of abolishing them completely, - to pursue a policy of changing the conditions for reimbursement of medicinal products not on the basis of a purely budgetary logic, but on the basis of a public health-centred approach, in consultation with the practitioners concerned, - take sufficiently long transitional measures to enable the practitioners and patients concerned to provide adequate and quality information and to ensure that patients' treatment is adjusted in order not to jeopardise the continuity of care provision." A simple motion was tabled by Ms. Ine Somers and Ms. Yoleen Van Camp. A simple motion was tabled by Mrs. Ine Somers and Ms. Yoleen Van Camp. The vote on the motions will take place at a later date. The discussion is closed. The motions will be voted on later. The meeting's over.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u35	Minister, since January 1, 2017, in the absence of a dental-mutualist agreement, dentists can freely set the rates for dental care, with more important supplements for patients. The absence of a tariff agreement is the result of the government's savings in health insurance, in particular on the indexing of the fees of health care providers, including dentists. We have repeatedly denounced them and have urged you to maintain dialogue. The agreement reached on 13 April thus put an end to a period of tariff insecurity. Resources have been made available to improve the reimbursement of expensive dental care for cancer patients. It's obviously important. However, a maximum fee mechanism will allow the contracted dentist to charge the patient an additional amount beyond the INAMI rate for certain technical procedures. This amount will be conditional on the patient's prior consent and communication to mutualities, via the certificate of care, of the amount charged to the patient. In terms of reimbursement, the patient's personal shares remain unchanged in 2017. In 2018, user tickets will increase but will remain unchanged for children as well as for prevention services and patients who benefit from the increased intervention. Some fees will also be adapted to increase the cost of equipment and instruments. Minister, this agreement has finally been reached. It feels like it was the last chance deal. However, the context remains difficult. The Society of Dental Medicine says that it has reached "the limit of the acceptable", according to her. If your government imposes new savings measures when setting the budget target for 2018, it will be the end of this system of agreement within the National Dento-mutualist Commission. These are obviously disturbing, though understandable, comments. Because it is still and still the patients who are penalized because they pay more without being reimbursed. Can you now tell us whether or not new savings will be imposed on our health care, which has so far been the main variable for adjusting your budget? Will you speak this time? Overall, and although some of these resources are allocated to measures to improve access to dental care, patients also finance 20% of the agreement reached today through increases in certain user tickets. In addition, the mechanism of maximum rates in place is also harmful to patients and is simply the consequence of the structural underfunding of dental care. Do you confirm the temporary nature of this mechanism? Can a supplementary budget be made available so that the benefits covered by this mechanism are integrated into the nomenclature as soon as possible? Do you hope that more dentists will agree with this agreement? This is also the way for patients to be able to pay their fees.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u36	Mr. Frédéric, first of all, I want to point out that when the government imposed savings, I always ensured that the patient was not affected. For the dental sector, the national agreement provides for a clause according to which the National Dento-mutualist Commission can denounce it in the event that for 2018, the government enters an economy on the basis of a text of partial budgetary targets 2018 for the dental sector. Let me insist, however, on keeping the moderator tickets at their 2017 value, that is to say, 2016, even without indexing, thanks to the new system of fixed moderator tickets. I confirm that the objective is ultimately to include services with maximum tariffs in the nomenclature as provided for in point 5 on priorities in the national agreement. These benefits have been introduced in order to promote quality care while guaranteeing certain tariff security for insured persons. The introduction of maximum tariffs is a first step in assessing the use of these services by dentists, setting fees on the basis of objective evaluations, the methodology of which will be determined, and preventing dentists from deconcentrating because the current nomenclature does not take into account the actual costs of new materials. Finally, they also prevent contracted dentists from sending patients to other uncontracted providers with significantly higher rates. I hope that this new agreement will lead more dentists to agree through the new measures, including the introduction of maximum rates. In addition, the national agreement provides that the National Dento-mutualist Commission must make proposals for a new system of agreements. The aim of the new system will be, on the one hand, to strengthen tariff security and transparency for insured persons, as well as to increase care at the agreed rate; on the other hand, to provide for a more flexible system of entry into force of the agreement for dentists, with fair fees fixed independently and objectively. It has always been difficult to reach agreements with dentists in the past. That remains the reality. Nevertheless, I believe that this agreement is well balanced, in the interest of the patient while taking into account the costs that are real for dentists in some cases.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u37	Minister, thank you for your full answer. We will, of course, remain attentive. You're referring to it; the statistics show that dental care is often the last one, because it's inaccessible to a large number of families. On the other hand, although I have not consulted, as many here, I often hear dentists also react to the shortage of dentistry specialists in some areas. In any case, that's the case in mine. This should not make care even less accessible, practically and financially. I have one last comment, but I don't want to upset you, Madam Minister. You introduce your answer by stating that you have always ensured that the patient is not affected. Admit it. I do not share your optimism. I believe that this government has led you to take on savings, not least, and that they affect, in practice, on a daily basis, our citizens in terms of access to health care in general and to medicines in particular. Thank you.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u38	Madam Secretary, I would like to return to an earlier question on urgent medical assistance. I'll keep the introduction brief. It concerns the current application of the legislation on urgent medical care. I would like to refer to the law of 8 July 1964 on urgent medical assistance and its implementing procedures, and to the law of 2007 on civil aid. It stipulates that the execution of urgent medical care and the conditions of conditions should not be charged extra. Once a patient is stable, it's best to get him transferred to the hospital as soon as possible. The MUG doctor or possibly the paramedic is the best person to decide when and how that happens. For example, if the lift in an apartment building is not sufficiently large for a stretcher, evacuating with a ladder car is the fastest and most appropriate way. The Fluvia rescue zone charges a fee for the use of a ladder car when someone is evacuated from an apartment, even if it is commissioned by, for example, the MUG doctor or the ambulance worker. At a previous committee meeting, you said that such acts were illegal and even criminal. On today's day, the Fluvia relief zone even sends out a warrant to work with a bailiff. This is possible for unpaid invoices, when there is no dispute. In these cases, of course, there is a dispute. I would like to have an answer to the following questions. Are you aware of the way this zone works? What steps could possibly be taken against this approach? My second question concerns the future of urgent medical care. The report of the Advisory Committee on Civil Security of 15 March last describes the state of emergency medical assistance. A representative of your cabinet states that the Minister of Health's plan on this matter is ready. Instead of the current 432 ambulances, the plan still provides for 300 ambulances, supplemented by 50 PITs. A recurring amount of EUR 140 million will be needed for the permanent financing of these 350 ambulance departure points. In the future, therefore, the funding for deployment should consist of three separate parts. Firstly, a removal fee, fixed at EUR 30 at a time, which would be linked to the activation by the auxiliary centre of the product in question, irrespective of whether a patient is being cared for or transported. The remuneration shall be borne by the public authorities, in particular the RIZIV. Secondly, the performance fee to cover the material costs of taking care of the patient on the spot. This flat-rate fee would be 15 euros or 30 euros, if the care was provided by an ambulanceman or a nurse from the PIT respectively. This allowance is borne by the patient. Thirdly, a fee of EUR 30 for the patient's transport to the hospital, if necessary, at the expense of the patient. The total cost to the patient would then be around €45 or €60, where the current funding under the 50/50 scheme averages €65. Finally, to cover the development of the software and the training of those who will use it, EUR 500 000 is needed. First of all, how will this be budgeted? Secondly, in practice, in view of the problems with the current DMH, how will the ambulance break even run with the proposed funding? Thirdly, what impact will this decision have on the speed of interventions to the place where the call is? Fourthly, can additional tools be charged, such as the use of a height worker? Finally, what budget do you provide for the permanents or the places where these ambulances are located?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u39	Minister, as part of the emergency medical aid, the PITs (paramedical intervention team) are tools of intermediate medical transport in the relief chain, between the ambulance and the mobile emergency and resuscitation service (SMUR). This organization of emergency medical aid was established in 2007 and continues to receive funding as a pilot project. The financing of this activity amounts to 120,000 euros per year and by PIT, with a payment of 5 euros per kilometre. However, this funding seems insufficient to cover the costs of a team consisting, at a minimum, of an ambulance attendant and a nurse with special title in intensive care and emergency medical assistance, as well as the necessary mobile equipment. Minister, in a context of rationalizing hospital funding, this underfunding puts at risk the financial balance of the hospitals involved in this project. As part of a reform of emergency medical aid and following the report prepared by the Federal Centre of Expertise (KCE) on an integrated system for the management of severe trauma, do you envisage a refinancing of the ITPs to the level of the burdens inherent in the function? Are you also considering extending the number of ITPs and their missions?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u40	Firefighters' assistance for interventions and emergency medical assistance is regarded as a technical assistance activity. I didn't invent that word, that's the term used. If these technical assistance work is carried out to protect or rescue people, they should also be carried out free of charge. Assistance within urgent medical assistance certainly falls within this framework and the specific request for assistance by a MUG is in this case unnecessary confirmation of the framework in which work is being carried out. If there is a disputed invoicing, the injured party may, in addition to challenging the relief zone, also supply a file to the governor of the province in which the intervention took place, or to the Minister for the Interior, in the context of administrative supervision of the relief zones. One can, of course, also go to court to ask whether it is worth the coal. At present, the urgent medical aid sector is still regulated by the law on urgent medical aid of 1964. Since then, no major adjustments have been made and we all know that the needs in the field have changed enormously. Originally, the financing was conceived as a mere transport licence per kilometre driven during the intervention, but the amount of this mileage allowance was never cost-effective from the outset either. Since 2012, this permanent fee has been supplemented by a permanent grant of 15 600 euros. In 2016, I released the necessary funds within my budget to increase this permanent grant to 46 800 euros. In contrast to this subsidy, an ambulance service must provide a 24/24 and 7/7 permanence. Based on the average gross salary cost of a professional staff member within the hospital, and the need for twice 5.6 full-time equivalents for a full-time departure, the real staff cost for this permanence is around EUR 616 000 per year. That difference of around EUR 570 000 with the grant is not closed by financing the activity, i.e. the mileage fee. Only by additional contributions from the municipalities for public services or by developing systems at the border of the socially and fiscally permissible debt instrument, i.e. the concessioned services, can the actors of urgent medical aid survive. Because of the discrepancy between the subsidised and the real costs, we also run the risk that in future more and more services will stop their ambulance operations, starting with the fire services, which operate 60% of our ambulance services. When it comes to the fire department, it is also a responsibility of the Minister for the Interior, Mr Jambon. We worked very hard together between our two cabinets to propose a solution for the whole. There is therefore a need for a rapid and professional functioning of this medical discipline. This was also confirmed by the parliamentary committee of inquiry. You have also heard, Mr Frédéric, that in the case of the attacks a huge capacity had to be built up in very little time. Secondary transports also had to be taken into account. In the meantime, ordinary services had to be safeguarded. There is indeed a file ready. This was discussed in close consultation, on the basis of the report of the working groups of the National Council for Urgent Medical Assistance and working groups in which the sector was involved. Of course, this has also been checked out with the sector. However, that dossier requires money. It will be discussed in the budget format 2018. Minister Jambon and myself will then put it on the table together. In the future, permanent financing should cover a substantial part of the staff costs of the ambulance concerned. The remaining staff costs can be obtained from performance fees per intervention or from synergies that the services can develop with their other tasks, including administration and general management. A break-even scenario is therefore the goal for the first time in more than 50 years. There will be no impact within this vision on the speed of intervention as a service level will also be determined for the first time since the 1964 law. The future service level agreement provides that 90% of the calls would be with the patient within 15 minutes of the call. The programming model drawn up by the University of Ghent shows that, on the basis of the historical data provided at a given location and the validated driving time data on the road, the future standard can be achieved on Belgian territory provided that 307 full-time ambulance departures are programmed. I am looking for more than 307, and I am looking for 350 because we have to be able to travel long distances in less populated rural areas, and I am looking for 50 PITs. Mr Frédéric, it is true that in the coming years the number of ITPs will certainly increase. As part of the reform of emergency medical assistance, the funding of permanences will be proportionately increased for ITPs in order to reach the threshold of profitability. Funding for assistance to the areas of emergency medical assistance, for example, with an altitude worker, as you ask, Mr Top O'Brien, is not provided for within the model, as such interventions are considered to be a technical assistance work within the framework of civil security regulations. So they can be carried out to protect or save people. They must therefore be carried out free of charge by analogy with assistance at a height, such as with a crane. Clearly, if the number of ITPs is to be increased, they must also be increased. At the same time, we will reduce the number of ambulances, not to 307, but to 350. These means must be transferred to the ITPs, mainly in favour of the third ambulances, i.e. those which are in the third or second line and for which the interventions do not vary very much. They are present in the field but do little. On the other hand, there are grey areas in which the response time is longer. In this context, our aim is to achieve the same level of urgent medical assistance throughout the country, taking into account all the specificities such as the presence of tourists on the coast for only a few months of the year. We have done a great deal of work and I hope to find the financial means with the help of Minister Jambon. If we complete this work, we will have taken a big step forward.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u41	Madam President, Minister, as far as your answer to my first question is concerned, I am pleased that I am once again getting confirmation that these technical means and the call, for example, for an altitude worker to be called on is and will remain free of charge. Like the Minister of the Interior, you have also indicated that you can protest either through the governor of the zone itself or through the Minister of the Interior. In the Flemish Parliament a number of complaints were made about a water company that had made faulty invoices and had overcharged customers. At the direction of the Flemish Parliament, the Minister took the initiative to have that water company draw up a general regulation on these invoices. The question is to what extent such an initiative can be taken here. Now a good, well-meaning citizen who is fooled by the relief zone and has already paid his bill, while not having to do so, is punished, while another citizen who is in doubt tries to exercise his rights and complains. Can no initiative be taken to allow everyone to exercise their right in the same way in respect of incorrect invoices and either to demand a refund or to request the cessation of these incorrect invoices? I refer to the above example of the Flemish Government which has done so in the area of water bills and a certain water company. As far as your answer to my second question is concerned, I am pleased that you are taking the initiative and I would like to support it, especially since several areas of aid indicate that there is a financing problem. I note in my own area and I hear from other areas that, as you yourself have indicated, there is a risk that certain aid zones will reduce the service provided by DMH and that there may be a vacuum in the area of permanence. I will follow up this dossier and wait for the promise to be fulfilled and money released so that the relief zones get better funding to maintain the DMH and maintain the service level of 15 minutes, which is not happening today. Some speak of a 12-minute rule, others just don't take it into account. I will continue to follow up on this dossier and thank you for your reply.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u42	Madam Minister, thank you for your answer. You are aware of the work done by your intervention teams. You said that they were found to be effective in the context of the commission of inquiry into the attacks. I also see their effectiveness on the ground on a daily basis, in my rural area, where great distances have to be travelled. Time often counts in times of crisis. You are telling me that there will be increases in the number of ITPs that can compensate for the reduction of ambulances in the fire department; that it also depends on the work you are doing in collaboration with the Minister of the Interior and that you are hoping for the means. In any case, minister, know that we will be your most loyal supporters to support you in this request for means! This seems to us to be absolutely essential for our fellow citizens.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u43	Questions No 17876, No 17877 and No 17878 by Mrs Sybille de Coster-Bauchau are transformed into written questions, as is question No 17881 by Mrs Kattrin Jadin.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u44	Minister, between 30,000 and 45,000 Belgians have Parkinson's disease. Estimates show that these figures are expected to double within 20 to 30 years. Dopamine is one of the medicines used to treat this disease. However, these treatments may lose their effectiveness at times. No reason has yet been found for this. Since the 1990s, there has been an operation of implanting electrodes in order to send electrical stimulations to the brain. Unfortunately, it is highly risky beyond the age of seven hundred years. Parkinson's disease usually occurs between sixty and sixty-five years. One of the treatments recommended by the experts, in excess of surgical and/or drug treatment, is physical exercise, at a significant intensity, which offers a preventive benefit, but also some effectiveness to hinder the development of the disease. It should also be noted that this disease does not only affect the elderly. It therefore seems important to encourage patients to exercise intense physical activity during treatment. To do so, they must be helped to overcome the shame they may feel, to combat false beliefs and ignorance of the disease, and to further improve the adapted infrastructures, which are very weak in Belgium. Minister, do you have any data on the prevalence of Parkinson's disease in our country? Are new initiatives being considered for the management of (future) patients with Parkinson's disease? More generally, cerebral diseases affect almost one in three Belgians, and it appears that these brain disorders account for 35% of the total disability associated with all human diseases. Their cost would reach €18 billion per year in Belgium, a figure which has increased by 42% in six years. Against this background, the Belgian Brain Council (BBC) advocates for a "national brain plan". This plan provides for the development of a comprehensive observatory of research activities, the promotion of new approaches and technologies, the creation of a central register of ongoing disorders and clinical trials, or the active involvement of patient representatives. What do you think of such a project? Would you agree to collaborate in its implementation? Are you already working with them?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u45	Frédéric, the management of patients with chronic brain disease, and more specifically Parkinson's disease, requires a cross-cutting approach and specific management of the pathology. In the case of chronic diseases, the cross-cutting needs are: recognition of the immediate caregiver, the patient empowerment, access to case managers, psychosocial care, necessary multidisciplinary collaboration, etc. These are the objectives that we incorporated in the integrated care plan adopted at the interdepartmental conference on 15 October 2015. It goes without saying, however, that the needs of Parkinson patients go beyond the objectives set out in the integrated care plan. For example, Parkinson patients have access to treatment, the second component of management. I am thinking in particular of medicines reimbursed: Levodopa and dopamine antagonists. Specific surgery for the treatment of Parkinson is also planned, including pallidotomy and deep brain stimulation. As far as the latter is concerned, INAMI has developed a convention. Thirteen specialized centres are recognized by such a convention. It is mandatory to register the implantation of a deep brain stimulation device in the Registry neuromodulation incorporated into the Healthdata.be project within the ISP. As part of rehabilitation, Parkinson's patients benefit from a higher reimbursement of their physiotherapy care and certain specific benefits. These heavy pathologies are included in List E. Finally, I would like to point out that patients with locomotor and neurological disorders, in general, can be treated in a specialized centre for general functional rehabilitation for locomotor and neurological disorders. The functional rehabilitation offered in some centres improves health, autonomy and psychological well-being, so that social reintegration takes place in the best possible conditions. If the patient undergoes re-education, especially in a general or specific rehabilitation centre, he or she may sometimes continue and complete re-education in another centre, including the R30-R60 re-education centres. That's what exists. I know the Brain Council well. They have a plan. That is why we have created chronic disease status. We had a lot of plans but it wasn't integrated for all patients. Now, it's different, by our way of working on an integrated care plan, adopted in the interdepartmental conference by nine competent ministers - and you know that nine times it's not always easy to work. But we really pulled this file, because it's important to so many patients. It also allows us to move forward in the field of all chronic diseases, or which will be chronic later, such as certain cancers and diseases for which we will find medicines that will stabilize patients. Fortunately, acute and terminal diseases will be chronic. When I say fortunately, I mean that patients will still be alive, but they will obviously, as you say, need integrated care.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u46	Madam Minister, thank you for your answer.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u47	Mr Senesael is no longer present.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u48	Madam President, Minister, the Federal Health Knowledge Centre has developed a method to keep the price of medicines as low as possible for consumers. This method would also strengthen the government's position vis-à-vis the pharmaceutical industry. This system was developed at the request of the BeNeLuxA, a cooperation on pharmaceutical policy between the three Benelux countries and Austria. But I'm sure you know that. A central unit for all participating countries would analyse all scientific publications, reports, product information, financial news and the like on medicines that are in the pipeline. This unit will look at questions like: is the new medicine really worth its money? Is it more effective than the drugs that are already on the market? Is it really revolutionary? And so on. In this respect, governments are often too often dependent on information from the pharmaceutical industry itself. pharma.be appears to be willing to cooperate with this new system, subject to certain conditions. My questions are as follows. How do you feel about the KCE's proposal? What do you think of the methods worked out? Is that what you're gonna do? Have you already consulted or will you be consulting with your colleagues from the Netherlands, Luxembourg and Austria?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u49	Madam President, Madam Minister, since I have an analogue question, I will not repeat what has already been said by the previous questioner. I too have a number of questions about the benefits of a common system for medicines in our country, the Netherlands, Luxembourg and Austria. My questions are as follows. The KCE proposes to establish a joint central unit or database. Are you in favour of this? If so, where will this unit be located and who will pay which part? In other words, what is Belgium's share in this joint system? Another proposal concerns joint price negotiations. Much has already been said about the kiwi model. Even Green speaks of the sluice-gate model. To what extent do you think this is compatible with the KCE proposal? Pharma.be does indeed agree with the new system, subject to certain conditions. For example, it wants a number of data to remain confidential. Where do you draw the line, knowing that maximum transparency is desirable?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u50	Mrs Jiroflée, Mrs Dedry, the opinion of the FAGG will be requested for the development of a horizon scanning system, as the FAGG has access to all the data information that is important in the development of this system. It can also inform with other sources thanks to the close cooperation of the FAGG with the EEA, the European Medicines Agency, because when it comes to the patent of the status of the orphan medicinal product, there is also cooperation on scientific advice, with or without health technology assessment. There is also a need for an evaluation of the demands for innovative medicinal products to be placed on the market. There is also the implementation of the National Innovation Office, for example when it comes to a European network of innovation offices. In all this, the FAGG plays an important role, also as a national contact point for the clinical trials. The horizon scanning system will also allow the FAGG to monitor new developments in the medical sector in a more structured way and to provide communication to patients, including with regard to unmedical needs. If there is no therapy for them yet, patients go looking and they end up there and then they see where, for example through clinical trials, steps can be taken. The study of the Knowledge Centre also came at the request of Benelux cooperation, which came at Belgian initiative. We have asked the Netherlands to join us, after which Luxembourg and now Austria have joined us. That's an example. Yesterday I was in Malta for just under 24 hours, for cooperation on medicines at European level. BeNeLuxA is the pioneer. At present the Scandinavian countries are also organizing themselves in the Nordic Alliance, but they are not as far ahead as we are. The day before yesterday, five southern countries also signed a declaration of intent, the Malta Declaration, in order to achieve cooperation. Yesterday we had bilateral talks with all the countries concerned to clarify how we work and how they might do it. Small nuclei are forming. However, the difficulty is that we all have different social systems. There are also great differences in what is refunded. In any case, we have asked the Knowledge Centre for that study. I can tell you that I am in favour of setting up a horizon scanning system. Belgium wants to play an active role in this area. We are not only a stakeholder, but also a initiator and even a pioneer. We want to keep pulling that cart. There are constant contacts between Belgium, the Netherlands, Luxembourg and Austria. These contacts are constantly taking place and that is starting to work very well. I also started explaining the system to the Nordic Alliance. In the meantime, we have also gone back. They too are taking steps forward, although they are not yet at our level of cooperation. Others are still in their infancy. I am also aware of pharma.be's reflections on the establishment of this system. Since this is an ongoing project, there is still a need for dialogue between the different partners. A number of important decisions have also to be taken. The conversations are still confidential and I cannot give you any additional information. However, the BeNeLuxA cooperation initiative is going really well. It is now true that I hope that something will happen at European level as well. Why did we take the initiative in the case of orphan diseases? Because it's been talked about for years. This had to be included at European level, but it did not. We have put that on the agenda, including at European level. You can see that we are being followed, but it has to go on now. That's why I went to Malta for less than 24 hours, although I'm actually as sick as a dog. Three flights and an air-conditioned environment, that's not good if you already feel sick. Anyway, one has to be able to give up a little bit to achieve the goal. Hannibal wasn't drawn on a pink cloud over the Alps either.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u51	Madam Minister, it is a good thing that you traveled on a plane and not on an elephant's back, because that would have been even less comfortable, I know from experience. Besides, I hear you're no good, and so, chapeau for your courage. I am particularly pleased to hear that Belgium is playing a leading role in this area. It is clear to everyone that there is an increasing trend towards specialized medicines, with the risk that the products on the market will become more and more expensive as they now appear. There is therefore a need to intervene. I follow this matter closely and thank you for your reply.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u52	Madam Minister, I too would like to thank you for your reply. I think our lead role and everything that is happening is very good. We too will follow this closely. I am just a little concerned about the differences of opinion among stakeholders, about the methodology for the joint price negotiations. There the water between the different partners is still deep.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u53	Some manufacturers of medical devices are rather reluctant to re-use medical devices. There are several reasons for this. In any case, it was already agreed here that a working party would be set up, under your initiative, to do something about this. We have already received in committee the introduction of Mrs Muylle's bill on the use of medical devices. Some questions have already been asked, written and oral. We agreed with the representative of your cabinet that we would wait for the European directive on this matter. It was supposed to be ready in May. The subject will then be put back on the agenda in June. I understand if you will not be able to answer everything, but my question is how far you stand. What is your position on the reuse of medical devices? In particular, do you agree with the points in Mrs Muylle's bill? Or do you have a different opinion on that?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u54	Mrs Dedry, at the beginning of this year the working group on reprocessing was set up at the FAGG. His first task was to follow up the evolution of the directive on recasts, which was adopted by the European Parliament on 5 April last. The publication in the Official Journal of the European Union was normally for the first week of May, but the Directive has not yet been published. 20 days after the date of publication, the three-year period for the implementation of the Rect Directive shall start in each Member State. However, this does not mean that during that period Member States should be allowed to adopt national provisions which are contrary to the Rect Directive. We are now in possession of the text adopted and have already analysed it thoroughly. In this way we can draw up an implementation plan in Belgium. The main points included in Article 17 of the Recast Directive, i.e. only on re-use, are the following. Firstly, the re-use of single-use medical devices is only possible if authorised under the national legislation of the Member State and if the provisions of Article 17 are complied with. Secondly, the basic principle is that any person who re-use single-use medical devices to make them available on the European market is considered a manufacturer and is therefore subject to the different obligations imposed on such a market observer. This means that the same obligations apply to quality, safety and tutti quantitatives as to a manufacturer who simply markets a product. The demands are equally strict. It is a question of re-use, but safety and quality must also be guaranteed. In addition, re-use shall be carried out in accordance with the common specifications. Finally, the Recast Directive allows Member States to maintain or introduce stricter national provisions restricting or even prohibiting the use of single use medical devices in their territory. That is where it goes very far. The possible options for the Belgian legislator regarding re-use are therefore limited by the provisions of the Recast Directive. As I mentioned, a certain degree of flexibility is allowed, but at least the different rules and regulations must be respected. The development of a legal framework will start in early 2018, if the necessary stakeholder consultation is completed in the working group by that time. So the working group is working on it now. It's really about something complicated. It is also about a lot of products, there is a lot involved. I'm going to go into my party's point of view. I've been attending all kinds of conferences over the past few years. I don't think it was a subject at one of our conferences. I am Vice-President of my party and I think my chairman will follow me in my opinion that two things are important. They must be and remain high-quality products, even if they are reused. They also need to be safe from the patient. To this end, the legislative framework must clearly indicate the role and responsibility of all. The basic requirements in the new European drafts are, in this sense, a major step forward and will allow us to respond better to challenges. We also have contact with other countries to find out how they will implement European legislation, but as always there are early and late birds. Finally, we asked the working party to evaluate and analyse the legislative proposals in the light of the new European framework in order to assess what fits in and what does not.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u55	Madam Secretary, thank you for your clear answer. Rome wasn't built in a day. This will also take time. I will certainly follow up on the matter further.
