ParlaMint-BE_2017-02-08-54-commissie-ic586x.u1	The Minister has informed us that he has to leave at 5:15 p.m. We shall then end our work.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u42	Ms Van Hoof, SNCB informs me that good news will start work in March 2017 for the construction of the final platform hardening on platforms 1A, B and C, 1D, 1, 2 and 3. The cost of this is about three million euros. Cleaning the canopies can only take place after the lifelines on the canopies are in accordance with current legislation. This is now the subject of a tendering procedure. The maintenance plan provides for an annual cleaning of the canopies. Work is currently under way around the signal house, including the establishment of a sanitary area for travellers. The start-up will be planned in spring 2017. At that time, the sanitary containers will be decommissioned and the construction of track C will be started.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u43	Thank you, Minister, for your reply. Your communication about the progressing work on the different platforms and on the sanitary block in the signal house is good news. With regard to the cleaning of the canopies, we have to wait for the tender. At least today it doesn't seem taken care of. A lot of travellers talk to me about this for that reason. I therefore hope that this tender can be concluded quickly.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u44	Debates of the European Parliament 16266 of myself is converted into a written question. Mr Geerts, under item 25 there are questions from you, combined with questions from Mr Cheron, who will come later, about 4 p.m. Are we waiting for Mr Cheron to deal with these questions? [[Assent]] Debates of the European Parliament 16284 of myself is converted into a written question.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u45	Minister, I also follow the plan for fair competition in the transport sector in the other committees. A number of topics are the responsibility of your colleague, Mr De Backer or the Minister of Work. One of your powers is the action for more checks on vehicles of less than 3.5 tonnes. We see more and more smaller vans on the road every day. This leads the sector to the observation that there was disloyal competition. Since the mileage tax, I even see vans with trailers. This makes it very difficult to implement a policy, including at municipal level. Vehicles below 3.5 tonnes shall not install a tachograph. They are not bound by the rules of driving and rest periods. There should also be no vocational training for drivers, as opposed to lorry drivers. I know that a number of competences in this area are European, but the Fair Competition Plan also includes control. How many checks have been carried out since the entry into force of the Fair Competition Plan in the transport sector on vans compared to the total number of checks to combat social dumping in the transport sector? How many infringements have been detected here? What is the Belgian position on extending the rules on driving and rest periods for vehicles below 3.5 tonnes? What is the Belgian position on extending the rules on professional competence for drivers of vehicles below 3.5 tonnes? How many vans were impersonated in 2014, 2015 and 2016 at the DIV? My feeling is that there might be an increase. I ask you this question because I can then continue the discussion on the basis of figures.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u46	Mr President, SNCB's draft multi-annual investment plan provides for a reception budget of around EUR 600 million for the projects...
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u47	Minister, I think you are giving the answer to a wrong question. We are talking about item 28 of our agenda, which is Question No 28, by Mr von der Vring, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats. Mr Geerts on action for vehicles over 3.5 tonnes.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u48	Mr President, Mr Geerts, the plan of fair competition in the transport sector requires a distinction to be made between, on the one hand, regular checks which are not specifically aimed at social dumping but, on the other hand, compliance with administrative rules and road safety and, on the other hand, checks on social dumping. At the moment there is no such distinction. However, in the second half of 2017, adaptations of computer applications are envisaged to allow for the implementation and registration of such controls. It is therefore not possible to distinguish between the checks on social dumping for vehicles of less than 3.5 tonnes and those of more than 3.5 tonnes. On 22 September 2016, a regular check was directed specifically at the vans, regardless of whether they were used for their own account or on behalf of third parties. 526 vehicles were checked, with 122 infringements detected. However, they did not necessarily have to deal with social dumping practices. In Belgium, the social partners supported the extension of the driving and rest periods to vehicles with a maximum authorised mass of less than 3.5 tonnes. Since it is a European regulation, Belgium has asked the European Commission to examine the feasibility of introducing such a measure. A Belgian position was also brought to the attention of several Member States on the same road policy and could therefore be more supportive of this in the context of the announced revision of the European road transport package. We also need a change in European legislation for the professional skills of drivers for vehicles of less than 3.5 tonnes. This could be discussed in the various European fora and working groups to draw up and advise on the road transport package. The required figures for the registration of vans are provided in an attached table. (A member of the Minister's staff will present the table to Mr Geerts)
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u49	I ask this question because I saw in a communication from your colleague De Backer that this was one of the elements of the plan that had been implemented. It is now clear that a number of measures still need to be taken on the ground. I think it is important for you to state clearly that the Belgian Government's position is to seek supporters at European level. After all, I think it is important that you take the lead in this. I have heard that the Commissioner responsible, a Bulgarian, has also taken action, because it is now also aware that there is an effective problem of keeping our transport sector viable.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u50	Mr President, Minister, this is a very short question. The investment plans of SNCB and Infrabel would be complete and I would like an overview of which projects will or will not be implemented. My question is specifically about station projects and stops. How much budget goes to station projects and stops? Which stations will be addressed? What is the current position with regard to the roll-out of works? What is the budgetary estimate?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u51	Mr President, Mr Geerts, the proposed multiannual investment plan of SNCB provides for a reception budget of around 600 million for projects which are considered indispensable. However, some of these investments also require investment by Infrabel. A meeting was held in January to coordinate the draft multi-annual investment plan of SNCB and Infrabel. However, the Infrabel Board has so far approved neither the draft business plan nor the multi-annual investment plan, which means that no new element may be communicated today.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u52	Mr President, Minister, I can only take note of your reply.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u53	Mr Geert, like you, we are waiting for Infrabel.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u54	Debates of the European Parliament 16360 of myself is converted into a written question.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u55	Mr Minister, since 1 October 2016, there has been a new regulation for electric bicycles that reach 45 kilometres per hour. Such bicycles are treated as mopeds category B and should therefore bear a registration plate and be registered with the Registration Service Vehicles. We see that the sale of such bicycles increases exponentially, which is good, because more people travel by bicycle, even over longer distances. However, some problems remain to be resolved. In particular, there are problems with the necessary certificates for electric bicycles, before the owners are allowed to drive them around. The PVG/WVTA attestations are missing for some bicycles. The owners of these bicycles are sent to the wall for regulation of the cabinet. Nowhere is there any clarity, nowhere do they get an answer to the question of how they can put the registration in order. Minister, how does the procedure for registering or attempting to register a fast electric bicycle go without such a certificate? Where exactly and for what reason is this regularization going wrong? Do you have data on the number of non-registered fast bicycles, possibly per region or per province? How many number plates have already been issued for fast electric bicycles? Will you look again at the legal framework, as we already see that this is going wrong?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u56	Minister, I agree with the questions put by Mr Dumery. It is mainly about the registration of the speed pedals purchased before March 2014. This appears to be difficult, as these bicycles do not usually have a European conformity certificate, a COC, which is necessary to register them. If neither the seller nor the importer nor the manufacturer can deliver the COC certificate, then the owner has a problem, because then he cannot register his speed pedal or apply for a license plate. With the services, the question of the right legal situation for the person concerned cannot be answered in such cases. It seems to me that clarity is in order. Although the regularisation period has been extended until the end of this year, this does not actually offer a solution for that particular target group. Mr President, are you aware of these specific problems, although they are important to the owners? What is the solution for the registration of speedpedelecs, purchased before March 2014, without that certificate? What steps should be taken by the owners concerned to ensure that legislation is in place? How is it ensured that these bicycles comply with all relevant technical and administrative provisions? Are there actual consultations between the FPS Mobility and the regional accreditation bodies? Is there any solution yet? What measures should be taken? What's the timing? Will there be any further consultations?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u57	I would first like to make a small nuance in the sense that fast electric bicycles are not equivalent to moped class B, but form a separate class, in particular speed pedal, in accordance with Article 2 (17) of the Road Code. The speed pedals, purchased before March 2014, can be registered with the DIV. It is not the purchase date that plays a blocking role in the registration of a minority of speed pedals, but the fact that the European equivalence certificate, similar to the COC, is missing, or that the vehicle has never been Homologized. However, this is one of the conditions for registration, as is the case for all motor vehicles. For a normal registration of a fast electric bicycle, therefore, an approval of the vehicle is required. The type approval of the fast electric bicycle shall be demonstrated by means of an approval document or an attestation of conformity. For a speed pedal without a COC or where the COC is lost, it is sufficient to ask the seller or the manufacturer for this document. During the regularisation period until 11 December 2017, the DIV shall also accept a certificate of voluntary decommissioning of a certificate of conformity of mopeds and light quadricycles provided by the police, provided that the vehicle has been Homologised. The speed pedelec that was never homologized at European level must first be homologized nationally before registering it. This national accreditation can be provided by one of the three Regions which is competent for the matter under the sixth state reform. The problem is that certain fast electric bicycles, which should nevertheless be subject to approval, are not homologized but still sold. They may pose a danger because they have not been demonstrated to comply with all applicable technical requirements. You will understand that it is not responsible to register these bicycles. I do not have figures on the number of unregistered fast electric bicycles. In the table I will give you, you will find the number of entries per province and per region for speedpedelecs. In my view, the current rules on tenders should not be changed. Indeed, it is important that these fast electric bicycles comply with the prescribed technical requirements, i.e. have been Homologised before they can be registered. I do understand the frustration of the citizen who wants to register his fast electric bike, but who comes up against a problem, a problem which is more likely to arise when his vehicle is being type-approved or registered. Contacts have already been established with the regions concerned to amend the existing rules on the general rules governing the technical requirements to be met by mopeds, motorcycles and their trailers. This regulation should be amended in the course of this year.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u58	Thank you, Minister, for explaining this procedure. I think it would be useful for everyone to know what should be done in normal circumstances. You say that a minority of citizens are frustrated because they own a bike that may not be able to be gayed. That is right: there are reasons why there should be homology and why there is a European attestation of conformity. I'm curious to see what minimum number is involved. If there are many, then we will have to think about a solution. Eventually that bike was sold here with us at some point. Your clarity will help a lot of people on the road.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u59	I would like to endorse these words, which make some clear about the procedure. I think we have a problem with early adopters, people who are quick to use a new technique before a new regulation exists. The bikes have also evolved technically. The regulation focuses more on the new techniques and new ways of propulsion. As a result, the early adopters are currently in a grey zone. In my view, it is good to look, together with the regional accreditation services, at a solution for those who were present early, invested heavily and hoped to be able to drive around with it for a number of years, without, therefore, driving illegally. I'm counting on us to find a solution.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u60	There is also a problem of insurance for electric bicycles without approval. We need to ask the insurance companies what happens in the event of an accident. Without registration or approval, this is an unclear fact for the drivers of such a bicycle.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u61	I would suggest that we discuss Mr Geerts' question and then return to Mr Flahaux's questions. [[Assent]]
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u62	Minister, a few months ago I asked you a question about the imminent shortage of train drivers and train drivers. On the Flemish side it would be 80 train drivers and 40 train guides. On 14 December you replied that 160 men and 19 women were trained as train drivers at SNCB. The recruitment campaign would be further intensified. Now I have looked at the recruitments in December 2016. Then SNCB welcomed 65 new employees, including 25 technicians, 16 professional staff, seven senior executives, six administrative staff, four movement staff, four university staff, two train escorts and a train driver. I asked that question because I found the low number in the last two, though very important, categories remarkable. How come only two train escorts and a train driver were recruited? We do see campaigns, but what policy is there to make these professions more attractive? How many Dutch-speaking train guides are in training and how many French-speaking? How many Dutch-speaking train drivers are in training and how many French-speaking? It also said that seven senior executives were recruited. What functions are they? Are these people replacing employees who are retiring or leaving the company or are they extending the executive segment?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u63	Mr President, in view of the length of the selection procedure, three months have elapsed between the launch of the recruitment campaign and the recruitment itself. The effect of the intensification of the recruitment campaign was therefore not noticeable in December. In January, however, 72 train escorts and train drivers were recruited. SNCB will intensify and expand the recruitment campaign with a better focus on the benefits of the job. In addition, the effectiveness of the recruitment process will be increased. The relevant seniority in a previous job will be included in the remuneration package. There are currently 40 Dutch-speaking and 23 French-speaking train guides in training. For train drivers there are 53 Dutch speakers and 65 French speakers in training. SNCB informs me that no senior executive was recruited in December 2016. It wasn't seven senior executives, it was commercial servants.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u64	Mr President, Minister, thank you for your reply. I am pleased to hear that in January 2017 train drivers and train drivers were able to get to work effectively.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u65	Mr President, first of all, I wish the minister a happy birthday, as he is now on his way. My two questions are related to Tubize. With more than 3,500 daily commuters and more than 400 people buying daily tickets, Tubize is an important train station on the Mons-Bruxelles axis, not only for the inhabitants of the municipality but also for commuters from nearby municipalities. As a result, many people of boring H will take the train to Tubize, closer to Brussels, where more trains stop, even if there are fewer trains than in Braine-le-Comte and where the city has increased the number of parking spaces, which are also non-paying, in order to lift the brake on parking at the station. The Tubize station is far from being advantaged - but it is true that it is not a singularity - with many delays or trains deleted. Today, SNCB management is considering closing the windows for economic reasons. Here, there is no question of closing the station but of adapting the offer of services to figures of commercial transactions downwards. Some argue that this decline in ticket purchases is a reason for the decline in services, which, like a vicious circle, are becoming less and less sought after. They also stress the need to maintain windows, everyone, especially the elderly, who do not have a smartphone permanently connected on the net. SNCB also announces that they will not close completely but will be open at specific times for some information. Minister, can you tell us how many tickets purchased from Tubize are made at the counter, online, and by automatic? Can you remind us of the minimum use of counters that allow SNCB not to be faced with an excessive cost of keeping them in business? Is the decrease in the use of counters due to a decline in the supply of services or does the decrease in the supply of services correspond to a decrease in the use of the physical sale of tickets? Can you inform us about the evolution of the missions that the shopkeepers will have to carry out within the company? Do you guarantee a satisfactory maintenance of the opening of the station and its counters, allowing the customers the least aware of the evolution of the technologies to carry a valid transport ticket at the Tubize station and, far beyond, at all the stations that are faced with changes in the purchasing practices of their customers, following the technological revolution of the new communication and exchange tools?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u66	Dear colleague, according to SNCB figures, the total sale at Tubize station is around 300 transactions per day on average. Between the end of 2014 and the end of 2016, the share of the window in these transactions decreased from 77% to 60%. During the same period, the share of automatons increased from 21 per cent to 38 per cent. The online sale of tickets with Tubize indicated as departure station has tripled but remains very limited. We've gone from 1 to 3 per cent. For closures carried out in 2015, the following criterion was applied by SNCB: the potential for activities, i.e. sales transactions, the commercial board and the non-commercial board. It may not be less than 40% of the actual occupancy time of a single daily weekly benefit. In other words, a maximum of 60% unoccupied time was tolerated for small stations with less than 5,000 travellers per day on weekdays. The decrease in the use of the window is linked to the expansion of the supply of distribution channels. The customer has a choice between several channels, from which he chooses the one that suits him best. In most of the opening hours changes, the benefit was only discontinued when the on-site shopkeeper retired. For the other cases, the counters will continue to operate at another station in the same office. SNCB has declared a moratorium until 2020 with regard to the complete closure of ticket office functions at railway stations. Each year, however, SNCB changes the opening hours of the windows if the volume of sales and the activity rate have decreased to such an extent that full service delivery is no longer warranted. Each adaptation proposal must be evaluated from the station's point of view, but also from a broader geographical perspective. In any case, the window remains accessible during the most frequent period. On the other hand, you know that I appreciate the method, not the one-on-one. I have therefore asked SNCB not to reduce the opening hours of the windows until I have implemented a concerted solution to ensure access to the waiting room during the hours of the window closure, which is a local exercise each time. There is therefore no longer a question of closing the windows or reducing their opening hours, as long as there are no solutions, both technological and outcomes, found at the local level, to avoid situations such as closed and heated waiting rooms while people freeze on the docks. This is not admissible, and SNCB is trying to find solutions, with electrical waste and local agreements, as has been done at three or four stations. I have asked that this strategy be followed and that a uniform approach be adopted throughout the country, even if the answers are more local in nature depending on the realities of each station.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u67	I would like to thank you for your answer. Indeed, it absolutely reflects your structured and systematic character. You don't steal from the press and the media. I find this very positive. As far as the situation in Tubize is concerned, I believe that the local authorities themselves, since I had the opportunity to speak with a Tubize echevine who has just joined the Walloon Parliament, have expectations and an opening on this side. I also thank you for specifying that the hours chosen in the reduction of hours are peak hours, and that is important! Furthermore, in the context of our work, I would like to recall the proposal of one of the parties of the majority to ensure that possible ticket sales opportunities are created elsewhere. In the case of Tubize, it would not be impossible to think about it. We are next to the shopping street, a few meters away. Thank you for your very clear answer.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u68	Minister, one more question about Tubize, we're gonna end up thinking that I'm going to transfer my business there. No, I'm not running in Walloon Brabant next time. I've already asked your predecessor, Jacqueline Galant, about the Braine-le-Comte escalators. I wanted to know when they would be repaired and I was told that the age of the latter – they were over 40 years old and came from Namur – did not allow to find, except to recover certain elements on identical escalators disassembled elsewhere, enough to restore them to function. In the meantime, people walk them up, with strollers, etc. It was also pointed out to me that, with the extension of the station wharfs expected to take place in the near future, new escalators to the new gauge resulting from the induced height changes would be installed. I think, minister, you'll confirm that. According to local elected officials of Tubize, the same situation is found in their station, whose general condition of the docks is not brilliant. Here, too, the much more recent escalators no longer operate, making access to people with reduced mobility difficult. These elected representatives told me not to be informed of a forthcoming enhancement of their wharfs, which, no doubt, would lead, as in Braine-le-Comte, to the installation of new escalators. Minister, can you inform us about future developments at the Tubize station and at the Braine-le-Comte station if there are any changes? When will the work be planned?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u69	Mr Flahaux, I will no doubt disappoint you, but it is not possible for SNCB to comment on the replacement of the escalators at the stations of Braine-le-Comte and Tubize. This will be possible as soon as there is a final multi-year plan for rail investments. The whole will be reviewed and repeated according to the emergencies. SNCB has submitted a draft investment plan that is not yet validated, as we do not yet have Infrabel's investment plan. As long as these plans have not been agreed between the two companies, I will not be able to tell you when or how this will be done. However, this seems to me to be one of the accessibility priorities at stations.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u70	Thank you, Minister. I like to know the truth and your style of answer. Since 2007, ministers, Ms Inge Vervotte, and then MM. Magnette and Labelle have made me blessed court water. I don't like it at all. I'd rather we say things clearly! I simply recall that we are talking a lot about the two RER lines to Nivelles and to Ottignies, but that the line to Tubize and Braine-le-Comte and the line to Enghien are also RER lines that do not require, moreover, much investment, simply some adaptations in particular of docks with escalators and elevators. I am attentive to your answer and hope that the dossier on this project will evolve. I would remind you that 3,500 passengers transit through the Tubize train station, compared with 5,300 passengers for the Braine-le-Comte train station. Between the two, there is the station of boring H'Hôneres which is on Braine-le-Comte and which has only a few hundred passengers. I agree with that, but this is already the case for these three stations, almost 10,000 travellers, which is not bad at all.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u71	Mr President, Minister, I will stay on line 96, which I know very well since I practice it on a daily basis, even if I am not the Madonna of Sleepings. Mr Minister, at the end of 2016, you expressed your willingness to restore the conditions of transport on line 96 linking the Mons region to Brussels and to appoint line managers to ensure that the operation of SNCB services is in line with its contractual commitments regarding correspondence and punctuality. Very impatient, because very anxious to see an effective service delivered to SNCB customers, I had asked you in early January to join the question of the capacity of trains in the various aspects of rail transport that they would have to observe. Minister, I would like to know if these line managers have been set up in the meantime. If not, when do you think they will be operational? If they are already designated, how many are they? What are their methods of action? Is there one on each train? Normally, this should not be the case. I guess it's about running the line from an office. How do they operate? How long will their mission be? Have they already made any findings? Have any responses, modifications, improvements already been made by SNCB and Infrabel to any malfunctions? How quickly can effective and sustainable responses be made to the inconveniences that led to your decision to set up these line managers? It's a very good decision you made.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u72	Mr President, my colleague, although they took office at the beginning of February, the line managers appointed by SNCB and Infrabel's management started their analysis activities on the basis of January data. Each of these line managers has a single point of contact within the other company, in order to facilitate exchanges between the two companies. The mission of the line manager consists of four main points: to ensure strict monitoring of the punctuality of one or more lines which encounter a recurring punctuality problem; to analyse the punctuality of trains and the consequences of incidents; to identify concrete solutions and implement them quickly; to monitor the effectiveness and relevance of the measures taken jointly. The line manager is not a train manager. So there isn't one for every train. They don't intervene in real time. They are therefore not members of traffic management bodies. The duration of their mission is not limited. Their recommendations are implemented as their missions progress and are assessed on a regular basis. Contacts have already been established and analyses are under way. Based on the analyses, proposals for solutions are and will be developed in close collaboration between Infrabel and SNCB. I don't want to rely on a simple impression of the commuters, I want the objectified numbers. However, on the basis of a subjective analysis on the part of users, there has been a recognised improvement since the beginning of January. However, it would be better to have a confirmation by the figures. As I said, punctuality is improving. I hope that this will continue and that we will better understand what is happening on the lines that are problematic, such as the line 96 you are using. This line has covered the chronicle, following various positions, petitions or other means which have been the expression of a ras-le-bol of the users in relation to the uncertainty of the schedules, which I wish to combat with all the necessary and adequate measures in the company, knowing that the phenomena outside it are increasing in a worrying way. This was the case in 2016, with a 50% increase over 2015. Prevention measures will have to be carried out within this framework. We therefore await the recommendations of the line managers who support these phenomena.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u73	Minister, thank you for putting these line managers in place. I think they will play an important and useful role. Like you, I see that there are external elements. I personally experienced it on the line I used in a suicide on the way. Using the train every day, I can confirm an improvement in January and February. This is not an impression but a living situation. Of course, I don't use all the trains! However, a problem that I had discussed with Minister CD&V of Mobility in the years 2007-2009 is still relevant. This is the congestion of the Central Station, which is causing more and more delays, with the station benefiting from only six boarding docks. So I can confirm that, overall, compared to November 2016 – a little black month! – we have seen a marked improvement in the situation. Thank you for this work, which is also part of your systematic and objective vision of things.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u74	Mr President, Minister, first of all, I wish you a happy birthday. That said, the Saint-Gobain site currently undergoing conversion had an internal railway line of several kilometres, connected to the SNCB network and more particularly to its Walloon dorsal. Taking into account the loading dock along the Sambre, as well as access to the road and motorway network, this "trimodality" was necessarily an important asset for the industrial conversion of the site. In September 2015, lnfrabel, as manager of the railway system, had dismantled the junction between the internal track at the site and the Namur-Charleroi line through Auvelais (Sambreville). This loss of access to the rail network had at the time provoked reactions from several companies present in the region and wishing to settle on the site, since the rail service allows direct deliveries to be encouraged and thus to increase the economic attractiveness of these companies. Since then, despite several requests made to your predecessor, the situation has not changed. However, the restoration of these hundreds of metres of rail would have positive consequences for the continuation of the site's conversion and for companies that could make use of it for the benefit of their customers. The Saint-Gobain site can indeed be an example of successful industrial conversion in Wallonia if mobility is to the suit, especially since strategically its position at the crossroads of road, river and rail axes is quite remarkable. Minister, can you confirm that? If so, will this dossier soon be the subject of a favourable operational follow-up involving, inter alia, a meeting with the municipal authorities and the companies already present on the site
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u75	Ms Caprasse, the contract for the iron connection with SA Saint-Gobain Glass Benelux was terminated in March 2012 in full agreement with the company – and even at its request. Therefore, there is no longer any reason to maintain the Auvelais accessory installation. For the sake of good management, Infrabel decided to withdraw it. A new connection is always possible on the basis of an objective demand and a potential study in terms of rail traffic. As is always the case in such situations, Infrabel will respond to any such request and will professionally support the applicant companies as part of a site conversion project.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u76	Minister, thank you. We will therefore see what needs to be done in the interests of businesses. Maybe I'll come back and ask you later.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u77	Minister, it has been months since the public toilets at Tournai station were available. According to the staff working at the station in Tournai, they have been vandalized several times, which seems to have led to their closure. If I fully understand that every incivious fact must make the necessary repairs, it appears that the definitive closure of the place is not a good solution. In order for the public toilets to be reopened, why not have a toilet cleaner, which is more commonly called "Madame pipi", present at the station of Tournai?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u78	SNCB informs me that having a toilet attendant can be done in two ways. The concession of the toilets through which SNCB enters into a contract with an operator via a call for applications. The toilets are then paid and the receipts cover all costs, including salary. This solution is only applicable for large stations ensuring sufficient use of the toilets. It is also possible to proceed by ensuring the presence of SNCB personnel or via a service contract. In this case, SNCB must cover staff costs without sufficient revenue to cover these costs. The operating cost is too high, in Tournai, to apply this solution, which is not applied almost anywhere. So, in practice, dear colleague, if someone at the local level wants to perform this function, there is no problem, but the management of the toilets at all stations is as in public places and within cities, it is a major difficulty that all public managers are confronted with.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u79	Minister, you know I don't like your answer. In fact, I saw in the press that your office was complaining about the hours of the public toilet, but you should tell your office that at Tournai station, there are no more cabinets. It's not a matter of schedule since they're closed. That said, very honestly and without a bad word game, I can assure you that it's annoying, for the people who work there, for the people in the bookstore... I'm absolutely serious. Since you took office, I've never seen you in Tournai. Come and see the station. She's remarkable. It's just been renovated, it's a beautiful building. So we are in a surreal situation. It's the Dali exhibition, right now, in Tournai, I guess it's in this frame that you answered me. I will suggest a solution to SNCB: why not try to play with local actors, especially via CPAS, to engage, for example, an article 60. That's not what's going to hit SNCB's budget. For example, these toilets, which are also renovated, could be opened during rush hours. I hope I made you aware of this.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u80	I understand that the toilets have been renovated and vandalized several times.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u81	Yes, that was in my question.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u82	I have been confronted with this in another job, in another job, from which I am a little far away today. I can tell you that no one vandalizes the toilet anymore, because the municipality has invested so that no one wants to vandalize the toilets at the station. There's money. When someone's caught in the act, it costs him a lot, because he's renovating all the toilets himself.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u83	You're going back to the town. As far as administrative sanctions are concerned, there are cameras in the station. Be aware that I have already proposed to SNCB an agreement with the City of Tournai to continue. I can assure you that I blew up the administrative fines. I really have no problem. But I think that the human solution, with an article 60, would not cost SNCB much. Rather than trying to pinch the bastard who does anything, this solution would fix everyone. Thank you.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u84	Mr President, Minister, one or more train escorts are present on each train. Among other things, they provide for the reception of passengers, control, punctuality and, of course, safety on the train. I have the following questions, Minister. What are the usual rules for the number of train escorts per train? Is a distinction made between a P-train or IC-train? If so, which one? Is there a distinction between the train equipment? Is a distinction made according to the number of carriages? Of course, that question is not random, because there is a link with the number of train escorts. Is there any deviation from these rules? If so, for what reasons? What are the rules for derogations from the standard procedure? Finally, are there any complaints from SNCB's train staff and/or HR Rail? The reason for my question is a train journey between Brussels and Ghent. I heard a train attendant complain that she was alone on the train and that she could not perform all her duties properly. So are there any complaints? How many complaints have there been since 2010? I'd like a split-up a year. Could you give us some more information on the actual content of the complaints? On which lines were the train guides with complaints mainly active?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u85	Mr President, Mr Yüksel, SNCB tells me that no distinction is made between IC or P trains. In addition, there is no regulatory basis requiring the compulsory presence of a second train attendant. However, policies in this area have been established depending, for example, on the length of the train and/or the type of equipment, such as double-deck equipment. SNCB adds that these are not rules but only recommendations. Each passenger train must be accompanied by an on-board chief. The presence of a second train attendant is not an obligation. This was particularly addressed during discussions with staff representatives in the framework of the preparatory meetings on the implementation of the new annual transport plan. The complaints are mainly about situations where in real time it was decided not to deploy a second train coach, which was originally scheduled. Complaints about the lack of the second train companion are mainly made when it is used in real time as the chief on another train, in order to ensure that train. Since the presence of a second accompanying staff member is not an obligation, that option is usually chosen to avoid the abolition of a train. The complaints mainly concern the connections on which many trains have an extensive composition. Geographically, those connections are scattered all over the grid.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u86	One thing I remember, Minister, is that it is handled in a very flexible way. It may not be a good thing that there are no written rules about that. This can, of course, often give rise to frustration among train crews. You also gave the example of the second guide who is not being deployed and has to carry out an assignment on another train. I believe that there should be clear rules to avoid frustrations and complaints to train crews.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u87	Minister, we heard that the nuclear cabinet would have decided to apply for European rail subsidies for a two-track project, namely electrification between Mol and Weert and the construction of a train link between Athus and Mont-Saint-Martin. You would have been given a mandate to submit a file for rail subsidies at Connecting Europe Facility to the European Commission, which would allow Europe to bear some of the costs. Mr Minister, can you explain exactly what was decided on this dossier? As far as I am concerned, these are both dossiers, but you will understand that I am very specifically interested in the Mol-Weert dossier. There was a deadline of February 7 to file those files. Has this file been submitted in good time and in good time? If so, when? If not, why not? What is the total cost of electrification Mol-Weert? For what amount were grants requested for the Mol-Weert project? For what amount do you expect to receive subsidies? What is the timetable of this procedure? Is there not a risk of delay in the file, the usual and the ordinary file, of the Mol-Hamont electrification by applying for European funds? By the way, where are we on the Mol-Hamont electrification file? Is Infrabel provided for the necessary budgets to carry out this process? What's the timeline?
