ParlaMint-BE_2017-02-15-54-commissie-ic598x.u1	Debates of the European Parliament Mrs Gabriels' 16285 will be converted into a written question.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u50	As far as this question is concerned, you have already asked me several times in different forms this question of the impact of a plane fall. I therefore refer you to question No 4777, to which I answered on 10 June 2015. With regard to the confidentiality of certain data in the past, some input parameters for aircraft fall studies, such as aircraft types, have been made public for transparency purposes. However, the technical results of these studies have never been disclosed for obvious reasons of confidentiality. In the current climate, however, it appears that the input parameters (e.g. aircraft type, speed, inclination, fuel quantity, etc.) are now also considered confidential. There is a development in this area. So I can't confirm or invalidate the data you're making. I can confirm, however, that the latest studies have been based on commercial aircraft, which together represent the majority of aircraft flying over Belgian territory. It is also important to note that the calculations you set out in your question do not fully reflect the actual relationship with respect to the impact of larger commercial aircraft. In calculating the penetration impact of an aeroplane, the most important factor is not the total mass but rather the mass and density of the largest part, namely the engine of the aeroplane with the greatest penetration capacity. Therefore, it is not because the overall mass is dispersed but it is the most massive element of the aircraft, the engine, that determines the impact.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u51	Mr Minister, I fully agree that my calculation is basic, but it is done by lack of transparency and lack of information. That said, on the basis of what was made public at the time – I understand it is no longer so today – and knowing that new calculations have not been made, today, thanks to your answer, one can say that the tests have been carried out and validated on a B767. I'm going to take my information back from the aviation sector. I'm going to recalculate the most "impacting" part, the engine, in relation to the dispersion. Still it is that these B747, as they fly over Tihange – of course, there are other aircraft that also fly on which the tests have been made – they, it seems to me and you do not give the opposite information, are able to penetrate inside with damage that can not always be measured obviously but that could be catastrophic. I will therefore submit the elements that are now clear to a new analysis in view of this precision as to the point of impact and the density of this point of impact. But the conclusion does not change and it is really problematic.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u52	Minister, what is the status of the adoption of the final nuclear crisis management plan? What changes or clarifications have you made to the plan as a result of our discussions in the subcommittee? You said you were waiting for the opinion of the European Commission. Did you get it? What's in it? What remarks? Can we have a copy of the opinion of the European Commission? Have you changed your plan to take it into account? If not, when is it planned, if it does not yet exist? Furthermore, as far as the distribution of iodine tablets is concerned, can you confirm to me, as Mrs De Block has claimed, that every citizen, wherever he or she lives in the country, will be able to obtain free and preventive packages of iodine tablets, even if he or she has nothing specific to justify his or her request in relation to the target audiences you have identified? It is not a pregnant woman, nor a parent, nor a grandfather, but only a citizen who wants to acquire these pills in a preventive way. Will there be access to it? I'd like you to confirm that. What pre-distribution will you do to communities such as schools, nurseries or sports clubs? How and when will these pre-distributions be realized?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u53	As part of the update of the nuclear emergency plan, most of the more than 550 comments made so far on the draft plan dating from the end of August 2016 have been evaluated by the drafting team composed of the coordinators of the emergency plan of the AFCN Crisis Centre and its subsidiary BEL V. The texts of the project are currently adapted to the results of this evaluation. As regards any changes to the contingency plan after the discussions in the sub-committee, I would refer you to my request of 10 January to the members of the sub-committee, asking them to provide me with their comments on this draft contingency plan within two weeks. So far, no comments have been made to me.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u54	Mr Minister, in the sitting I said "beyond what was said in committee", because there are things that have been said in committee. You have read the committee's report.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u55	I asked to formulate it. I repeated it a few weeks ago to Mr Calvo, who asked me the same questions, but I do not want to limit myself to these two weeks.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u56	You have my remarks in the committee's report. I can send you the report.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u57	I would ask you to make your remarks.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u58	I thought the committee report was enough for you. Should I send it to your co-worker?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u59	Yes. I have not yet received the opinion of the European Commission on this matter. My request for an opinion was registered with the Commission on 24 November. The Commission has three months to reply. So it's for the end of February. In this period of time, we would like to receive your comments and those of Mr Calvo. As soon as the opinion of the European Commission is available and depending on the need for possible adjustments to the text of the plan and the time it will take, if necessary, the crisis centre will present me as soon as possible with a new draft emergency plan which will then be submitted to the Federal Government for discussion. With regard to your second question about iodine tablets, as already mentioned on several occasions, the distribution of iodine tablets outside the 20-kilometre zone around nuclear facilities throughout the country is aimed at vulnerable and specific groups: pregnant women, children and breast-feeding women. But no one is excluded and I confirm Mrs De Block's words. The above groups are encouraged to go ahead and pick up tablets from nearby pharmacists. The fact that this additional pre-distribution is aimed at the protection of children, including in utero, is based on the fact that the risk of exposure to radioactive iodine decreases with the distance from the source. In addition, the risk of developing thyroid cancer by taking radioactive iodine decreases sharply with age. This is in line with the opinions I have received. By stating that no one is excluded, this means that grandparents also have the opportunity to go ahead and get iodine tablets for their grandchildren. This possibility will also exist for people who are not directly related to these target groups, although this is not encouraged. So everyone's entitled to it, but we're going to go to the target groups. Anyone who asks for tablets in the pharmacy will receive them. In addition, outside the 20-kilometre zone, pre-distribution of iodine tablets to communities is also planned for the specific target groups mentioned above. The terms and conditions will be further specified in consultation between the Minister of Public Health and myself. The campaign for the distribution of iodine tablets, scheduled for the end of 2017, will go hand in hand with an information campaign on nuclear risks where particular attention will be paid to information on the blocking of the thyroid gland via stable iodine.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u60	Minister, I think we're moving forward. On the issue of the distribution of iodine pills – I am not talking here about communities because, here, I mean you need to refine things further – to the citizens, there is a positive step forward that I want to highlight. There is, in any case, a clarification: anyone who so wishes will be able to receive iodine tablets in a pharmacy, free of charge and preventively, not when a siren sounds or when there is an incident. This is a positive step forward. It's not a pre-distribution, I can hear it. It's limited to an area and an audience, but at least they'll be able to pick up these iodine pills for free, even if they're not part of the target audience. For target audiences, you will also take a proactive approach. I regret, of course, that the process is not pro-active for everyone, but I welcome the fact that it is made accessible to everyone. Taking advantage of the campaign, we'll say everyone can pick them up. I'll make sure to let you know, you can count on me. I see you smiling, you know what that means, too!
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u61	[[...]]
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u62	For the rest, I will share my remarks and come back later on the issue of communities once the plan is defined. I also want to say it when things are clarifying and moving forward positively.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u63	Mr President, Minister, there is concern in the German border communes about the situation of the Tihange 2 nuclear reactor, which has thousands of cracks in its tank. This legitimate concern has returned to Berlin. The German nuclear gendarmerie therefore seems to want to analyse the risks himself in the event of a nuclear incident in the Walloon power station. Mrs Jadin is here and listens carefully. Do you confirm this decision? Why does the German gendarme not trust the Belgian gendarme in this matter? This is in any case a famous affront for our agency! Should a formal application be submitted to the Federal Nuclear Control Agency? Has she ever been? Do you have more information on the motivations, exact scope and timing of this counter-study? Will the results be made public? Mrs Jadin will be as attentive as I am, I am sure.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u64	Absolutely.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u65	Mr Nollet, first of all, I would like to make it clear that I do not agree with your comments concerning the confidence of the German gendarme in the Belgian gendarme, who are the result of your personal interpretation. Be aware that, for my part, I have complete confidence in the AFCN. And I don't think it's a question of German mistrust. As regards the German application, such an application was submitted by the BMUB (Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit). On 1 December 2016, at an ad hoc bilateral meeting between AFCN and BMUB, the two safety authorities assessed the potential radiological impact of a failure of the reactor pressure vessel at the Tihange 2 nuclear centre. At that meeting, BMUB orally expressed its wish to receive additional information on Tihange 2, so that it could draw up its own impact calculations. However, no formal request was made by BMUB to clarify or formalize this issue. They told us they wanted to ask more questions. As soon as we are in possession of these, we will be able to respond to them, as usual.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u66	Minister, thank you for your answer. You confirm that a decision on this matter has been taken but is not yet operational, as they will forward the request later. For the rest, our views are diverging as to the confidence we can have, but we will look at the work that will be done by our German friends and we will pay attention to it.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u67	Minister, at our exchange on January 18 you were telling me that before the amendment was introduced by royal decree of August 10, 2015, the possibility of a delayed dismantling already existed. Following this exchange, your collaborator informed me that it was the royal decree of 30 November 2011 that already provided for this. I immediately asked him what article was involved in this 2011 royal decree, but, despite two revivals, I still did not receive an answer to this question, which is why I come back to it and apologize. Minister, could you identify the article that, in the 2011 Royal Order, allowed and marked a delayed dismantling of our nuclear power plants? In addition, the 2015 amendment requires an analysis of the advantages and disadvantages of delayed dismantling. Do you confirm that, if the disadvantages are greater than the advantages, there will be a refusal to postpone dismantling or is it just a question of drawing up a double list without drawing any conclusion from it? Who sees advantages and disadvantages and, above all, who determines, if the disadvantages are greater than the advantages, not to accept the request to postpone dismantling?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u68	Mr Nollet, the deferred dismantling was not mentioned as such in this royal decree. However, it was not prohibited even before the introduction of this article in 2015. The provisions concerning the authorisation procedure for dismantling are laid down in Article 17 of the Royal Decree of 20 July 2001 on the general regulation for the protection of the population, workers and the environment from the danger of ionizing radiation. Although not mentioned, delayed dismantling is one of the possible dismantling strategies subject to an application for authorisation. Prior to the introduction of this provision, the possibility of delayed dismantling already existed. This new order merely added stricter conditions in the event that an operator chooses a deferred dismantling, including an obligation to justify this strategy and an adequate maintenance and monitoring programme that ensures the safety of the establishment during the period prior to the commencement of the dismantling. In the event that the operator opts for a deferred decommissioning, the competent authority, namely the King or the Federal Nuclear Control Agency (AFCN), will objectively assess the justification provided by the operator, including an analysis of the advantages and disadvantages of the delayed dismantling compared to those of an immediate decommissioning, and an analysis of the implications for safety. The competent authority shall provide its decision on the basis of this justification. In accordance with Article 17 of the Royal Decree of 20 July 2001 on the general regulation of the protection of the population, workers and the environment against the danger of ionizing radiation, two situations are observed: the dismantling of installations forming part of Class 1 establishments is subject to authorization by the King; the dismantling of installations forming part of Class 2 establishments is subject to authorisation by the Agency.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u69	Minister, you are creating ex post facto justification, but I will review the 2001 Order. Never in the past, a delayed dismantling has been mentioned. This is part of the strategy of some nuclear operators to "give time". In France, for example, EDF has asked four of these plants to postpone the start of the decommissioning of the plant from 50 to 60 years. We must imagine the consequences of this. These plants will be dismantled in the 21st century! All this because they are in a difficult financial situation. I'm talking about EDF, not ENGIE Electrabel yet. Deferring to 50 or 60 years of age, with discount rates of 4.5, or even 4.6 or 4.7 in France (you come from the finance sector, you can see the interest on discount rates), allows them not to have to increase and, on the contrary, to reduce the provisions, since they rely on provisions that will be used much later. This obviously makes the financial framework much less robust. I fear that in Belgium, ENGIE, at one point, just before closing or before going into Bianca form, will proceed in the same way. That is why you have introduced this possibility. You say you don't. You say it already existed. I will read your answer carefully. I have no guarantee that, if the disadvantages are greater than the advantages, the decision will not be taken by the operator, but by the Federal Agency, which could maintain immediate dismantling because the disadvantages are greater. I plead that the legal framework should be strengthened and that it is not the operator who can choose, but the Federal Agency which refuses on the grounds that, although it is feasible, it would be more secure to do so right away. The Agency should be able to impose its views on the operator.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u70	Depending on the type, this is up to the Agency or the government.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u71	Who will judge pros and cons?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u72	I mentioned the criteria in my answer. The Agency or government must also justify itself against these criteria.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u73	On this point, I will read your answer carefully. Thank you.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u74	Mr President, Minister, anti-alcohol controls on roads are an essential part of the fight against alcohol driving. The recent BOB campaign took place over a period of 68 days with more than 450,000 controlled drivers. "Only" 10 205 of them proved to be positive. Although impressive, these figures depend on different criteria, namely the location and time of the checks. On average, the percentage of drunk drivers varies from 5% at night to 1% per day, while the vast majority of checks are carried out during the day. The new technological means also allow drivers to easily avoid such checks. Minister, has your department read the BOB campaign figures? If so, what is its analysis? What is your opinion on anti-alcohol testing? Do you think they are effective? According to your department, when and how is it best to carry out anti-alcohol roadside checks? What is your department's analysis of the relevance of performing spectacular checks? On average, for a check, what police personnel are required? Are there sufficient staff to carry out police checks throughout the national territory?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u75	Mr President, dear colleague, between 25 November 2016 and 30 January 2017, 450,903 drivers were checked, which is equivalent to an average of 6,821 drivers per day. In addition, 2.26% of those under control were positive. This means that the negative trend continues. During the 2015–16 campaign, 2.5% of the controlled drivers were positive. The previous year, the percentage was 2.9. With the pre-test starting in all police units, the number of drivers checked has increased significantly in recent years. Proportionally, the number of people checked at night is low. Nevertheless, in many road accidents, driving under the influence of alcohol occurs more by night than by day. It can be seen, both during the night and during the day, that many drivers are driving under the influence of alcohol. As the volume of traffic is significantly lower at night, the frequency of drivers to be checked is also lower. Checks must therefore take place both during the day and at night to continue to give the impression that you can be tested at any time. Controls may be carried out in the framework of large static devices as well as by mobile control teams which remove drivers from traffic for control. Any control method has advantages and disadvantages. A large static control allows you to test any driver that goes through it, but because of the use of social media, positions are quickly made public. As the deployment of such control takes a long time, its frequent displacement is not obvious. Mobile controls, on the other hand, are unpredictable and very effective in some bottled points as on diverted lanes. The disadvantage is that the frequency of control (the number of people tested) is lower. The advantage is that such actions require fewer mobilised staff. The number of staff to be mobilized therefore depends heavily on the method of monitoring. For a large control system, these are several police teams. Mobile teams consist of two to three operational members. Engaging more capacity would positively influence the effectiveness of the campaign, certainly at night and on weekends. In addition, it should be borne in mind that, alongside these BOB campaigns, other important missions also require additional capacity. The level of threat identified, many events requiring additional protection, do not allow for the mobilization of additional personnel. In the meantime, every effort is being made to strengthen police capacity through new recruitment and training. Each year, a target is set with the participation of the Belgian Road Safety Institute and, this year, the target has again been achieved.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u76	Minister, I congratulate you on that. I know the efforts made in this campaign and the results prove that. At the impossible, no one is bound. We can continue to strive to improve results with the means at our disposal. Perhaps in the future, new opportunities will come to us with new recruitments. Thank you.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u77	Debates of the European Parliament Mrs Pas (PPE). - (DE) Mr President, ladies and gentlemen. Debates of the European Parliament Mr Demeyer's 16689 was converted into a written question.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u78	Mr President, Minister, you announced a reform of civil protection in your policy note. You said that in 2006, the Paulus Commission advocated this reform, but that implementation could take years. The staff is very worried about their future, especially since, at the end of last year, you announced the abolition of 4 barracks: 2 in Flanders and 2 in Wallonia. These agents whose effectiveness is no longer to be demonstrated, especially during very delicate and special missions, are trained to use very specific tools. Following the reform of regional fire services in response areas, they were underutilized and left in barracks without a mission order. The material becomes obsolete because it is very little used. A budget of 10 million had been promised, but they didn't see anything coming. Over the course of a few years, their numbers have also declined, and only volunteers are still recruited while the economy is not demonstrated by this system. Volunteers are paid as hourly wages. These officers regularly work in support of the judicial police or during prison strikes. They are also very important in natural disasters, such as the provision of drinking water. But beyond these missions, and as we live in a level of security or attacks, as recently in Maelbeek for de-incarceration, so my questions are as follows. Do you think it is prudent at the moment to close barracks knowing that the response time would be almost quadrupled? What is your agenda for this reform? The latter risking creating a real earthquake for the agents, for their careers and for their families, do you not fear to make it a generation sacrificed as it was during the police reform? Moreover, the Commission of Inquiry Attentats highlights flaws in the transmission of information, which was one of the foundations of police reform.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u79	Mr. Carcaci, repetitio is mater studiorum. I can repeat myself every week with the same questions. It is easy for Members to introduce identical questions every week. I remain polite and will therefore reformulate the same answers to the same questions that have been raised several times in this committee.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u80	Minister, you don't even have to do that. You can simply refer to the numbers and authors of the questions.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u81	Mr. Speaker, out of respect for the members of the House, I will give the answer. Repetitio is mater studiorum! The federal government's Kern has not yet decided on the number of positions. They currently number six and are expected to decrease in principle, although their number is not yet known. Contrary to what you say, we will guarantee a future for civil protection. During the civil protection reform, it was the great unknown. What are we going to do about civil protection? I now guarantee him a future! Civil protection is becoming a specialized second-line service in the security chain. Civil protection therefore has a necessary and guaranteed place and offers an exclusive complementary service. These will be complex tasks requiring specialized skills and/or long-term tasks. These could include, for example, CBRNs (chemical, biological, radiological and nuclear), Search & Rescue and Crisis Management & Heavy Support. It will become a reinforcement service in depth and more in width. Civil protection will have three tasks in the future. First, specialized tasks, by the equipment used or the skills required. Second, long-term tasks. Some disasters last longer than a day or two and we need teams that can perform tasks for a longer period of time. Finally, the CBRN tasks. There is therefore a clear definition of the tasks of civil protection. All emergency front-line tasks will be transferred to the emergency areas following the reform of the fire zones. Previously, this was not possible because there was a great difference in the level of professionalism between fire zones. Now, once the reorganization is actually implemented, capacity and professionalism are better. This means that the urgent tasks, first line, will be transferred to the relief areas, following the reform which is a political decision taken by the previous government. The current federal government implements these decisions and maintains the logic of this reform. Therefore: urgent tasks for emergency areas; specialized, long-term tasks and in the CBRN for civil protection. The file on civil protection reform was thoroughly prepared in 2016 by my administration and my cabinet. A comprehensive agreement on the various aspects has been prepared. He'll be in Kern soon. There are still several scenarios. It is premature to set a date for the political decision. As far as your third question is concerned, the final number after the reform has not yet been fixed. We already know that there will be fewer of them. This will depend on the actual division of labour and the number of operational units still to be defined. The reform will also ultimately result in fewer but more specialized staff. Civil protection personnel shall have the same status as fire zone personnel. So, again, civil protection officers are paid less than firefighters. So we're going to give them the same status as firefighters, so that we can make exchanges between the two bodies easier, for people who want to specialize, for those who want to change places of work, etc. We are reducing staff because we are going to transfer tasks from civil protection to fire areas. The transfer of the personnel who perform them is also justified. This reform will not result in a dry dismissal – not at all. Most of the staff will remain in service with a more attractive status, namely, that of personnel in the relief areas. However, career paths are planned for staff considering retraining, for example because the unit would disappear. For these individuals, solutions will be sought in emergency areas near or within another federal service. The same will apply to all existing units.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u82	Minister, thank you. Errare humanum is, since you started in Latin. I took note of your answers. I assure you, I will no longer come back with the same questions.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u83	Debates of the European Parliament Mrs Lahaye-Battheu's 16702 will be converted into a written question.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u84	Minister, the technical and scientific police filed a notice of a national strike. It denounces a shortage of staff and a disinvestment in infrastructure for laboratories. The unions and my group have been concerned about the possibility of reducing the number of scientific laboratories. Different scenarios are under discussion, as you also mentioned, but nothing has yet been announced. What follow-up and what response do you intend to give to the filing of this notice of strike and the concerns expressed through it? What will be the consequences of the interruption of the activity in the technical and scientific laboratory following this strike taking place today? Since your last answer, could you say more about the scenario being considered?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u85	Dear colleague, the Negotiating Committee for Police Services (CNSP 408) is organized today to address, among other things, this notice of strike and the various points raised by the CSGP in its document. No interruption of the activity of technical and scientific police laboratory will be recorded because, as provided for in Article 126(2) of the Law of 7 December 1998, laboratory personnel will be requisitioned to ensure daily emission and permanence services within each technical and scientific police laboratory. With regard to the future accreditation of laboratories, several scenarios were analysed and compared during 2016. Very recently, additional information has been added to the file by the Federal Police. These will enable my services, as well as those of my colleague Koen Geens, to make a decision and communicate it as quickly as possible to the Commissioner General of the Federal Police. The federal police as a whole face capacity problems that need to be allocated according to priorities. In addition to this general situation, laboratories are also faced with the fact that many CALog level B staff members – this is the extinct setting within the lab – want to join the cadre of specialized police inspectors. They must therefore undergo training. The nine candidates currently in training will complete their unit internship from 1 April of this year and will be appointed on 1 July. Twenty candidates will complete their training in May 2018. A new recruitment of specialized lab police inspectors will be organized in the course of 2017. The Director-General of the Judicial Police is attentive to this situation and ensures that an equivalent minimum service is guaranteed throughout the country. Pending a decision in the context of the accreditation dossier, it shall therefore ensure that the available capacity is allocated among all the PJFs, taking into account all the parameters: the workload, the extent of the territory, etc. In addition, judicial directors are made aware of what lateral support can provide in the context of the problem. For this reason, they are encouraged to sign the protocols to help each other cope with the workload, including through a court of appeal. The judicial directors are currently conducting a national reflection on the rationalization of "crimes" permanences. As I said, we are increasing capacity, but it takes time. Specialized training takes time but is ongoing.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u86	Mr Minister, it will indeed take time for training, but if I understand correctly, you will be able to make further progress on this issue in consultation with Minister Geens.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u87	Mr President, Minister, before the crossing into zones, the fire departments had a doctor within their bodies. Unfortunately, with the reform of civil security, the status of these doctors no longer exists. In addition, in the Royal Decree of 19 April 2014 on the administrative status of operational personnel in emergency areas, the medical officer in service at the time of the entry into force of the Order may continue to raise his rank in an honorary capacity. Minister, what happens to these former body doctors? Why was there a body doctor for fire services before crossing into zones and why is this no longer necessary? Unlike nurses who now have zonal status, body doctors no longer exist. Would it not be opportune and conceivable to create an area doctor status?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u88	Mr Blanchart, prior to the passage into emergency zones, the communes were indeed obliged to provide, within the framework provided for their fire service, for the employment of a medical officer. It was a part-time volunteer or professional medical officer job, depending on the size of the fire department. Some communes voluntarily left the job vacant and wondered about the usefulness of maintaining a function that had lost many of its missions over the years. For example, pre-service medical examination had become an exclusive competence of occupational medicine. Another example was that medical absences could no longer be checked by a physician with a subordination relationship with the employer. As part of the reform, it was therefore decided not to resume the function of doctor in the Royal Decree of 25 April 2014 on minimum administrative and operational functions. The emergency zone may therefore provide for the function of doctor in its administrative personnel plan, but this is not an obligation. During the transition to emergency areas, the on-duty medical officers were transferred to the emergency area as administrative personnel. They are not operational personnel within the meaning of Article 103 of the Law of 15 May 2007 on Civil Security. However, as you point out, they can continue to raise their rank in an honorary capacity. As you know, the law of 15 May 2007 entrusts the area with the task of determining the status of its administrative staff. It is therefore up to the rescue zone to determine the status of a possible zone doctor, if it decides to maintain this function. If the function is not maintained or if the number of doctors transferred exceeds the number of doctors provided for in the zone, the Zone Council shall lay down transitional rules for transferred personnel, either by placing one or more jobs in extinction or by providing for reclassification or termination measures for permanent withdrawal of employment.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u89	Thank you, Minister, for your answer. In fact, this is mainly a problem of representativeness of the staff who work as doctors. You know, like me, that they are still very useful on the ground, especially as part of the coverage of major events. Anyway, informally, doctors still operate in the areas. You therefore believe that the Zone Council can deliberate to formalize the function. This is good news. Having said that, I know that you are not responsible for this reform and I understand your difficulties. Minister, I will communicate your answer to the Zone Council.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u90	Subject to my mistakes, we have dealt with all the items for today, the agenda has been exhausted and the sitting has been raised.
