ParlaMint-BE_2017-04-26-54-commissie-ic647x.u1	Debates of the European Parliament Mr Luykx's 17321 was converted into a written question.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u34	Madam President, we were able to have a number of elements on the occasion of the resolution that was debated yesterday. We have already clearly positioned ourselves. You did, too, minister. Nevertheless, I had the opportunity to raise a question, when I learned that during the spring holidays. For me, of course, the most important thing is to know, minister, without developing – what my excellent colleagues have already done – whether you have any evidence to confirm the truthfulness of the information conveyed and, above all, whether you have more convincing information. It also seems to me very important, like other measures that we have taken, to arrive at a common position at European Union level, certainly on behalf of the protection of human rights dear to us. These are some of the elements on which I would have liked to have your feelings.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u35	Mr Van Peteghem is still voting in another committee. We'll see if he gets back in time.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u36	Madam President, Minister, first of all I can only abound in the sense of what my colleagues have just said. I would also like to thank Mrs Grovonius and Messrs. Crusnière and Blanchart for the introduction of the motion for a resolution which we have co-signed. We had a very interesting debate which led to unanimous agreement by the committee yesterday morning on this matter. I think that this should be stressed especially since it is not common practice. With regard to your statements of 12 April, Minister, and we thank you, saying that the first thing to do was to carry out an investigation in order to verify the situation on the ground, it has been known for some time that discrimination takes place throughout Russia, particularly in Chechnya, against sexual minorities. It is obvious that we need more information on the subject. You asked your embassy to intervene with the Russian authorities and also through the Council of Europe. I know that the Council of Europe has spoken today or yesterday on this matter. What means of pressure do we have with the Russian authorities, knowing that Mr Putin is difficult to influence or control? Have you received more information from the Russian authorities? According to your own information, you considered that there would be no homosexuals in Chechnya, which makes me laugh a bit. Has the Russian government taken any steps to protect the physical integrity of homosexuals (which so-called do not exist) in the face of the persecution to which they would be subjected?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u37	Colleagues, my services and I have learned of the facts reported by Novaya Gazeta as well as by national and international NGOs. Neither Belgium nor its European partners have offices in Chechnya, which makes the verification of information more difficult. I can confirm that, since the publication of this information, we have contacted a number of representatives of organisations in order to better be able to gauge the veracity of the information. While it remains difficult to verify the true extent and detail of the facts, it seems clear, however, that acts of discrimination, even persecution, suspected or proven, against homosexual men have taken place, and that these are not isolated acts. The reaction of the Chechen authorities is in itself sufficient to prove that the power in place is doing absolutely nothing to stem possible violence against people from the LGBTI community, on the contrary. You have reminded him, Mr Flahaux: when one hears the highest responsible person saying that there is no persecution of homosexuals, because there are no homosexuals in Chechnya, that leaves at least a dream. In my press release of 11 April 2017, as in my further statements since then, I have once again underlined our position on the universality and indivisibleity of human rights. I have also made it clear that our country believes that an investigation is necessary, that perpetrators should be prosecuted and that victims should receive proper compensation. This couldn't be clearer. Mrs Mogherini's spokesperson also made statements along these lines. At the international level, Belgium has also worked for a statement of the Equal Rights Coalition, which will be published this week. When we received information on allegations of human rights violations of LGBTI people in the Chechen Republic, I promptly investigated the Belgian representatives in Strasbourg and Moscow for some steps to be taken in this regard. At the regional level, we want the relevant Council of Europe bodies to address this issue and expect the Russian authorities to honour their international human rights commitments. In view of this, we have supported a European approach to this issue in Moscow. We have not hesitated to commit ourselves to the issue at bilateral level. At my instruction, our Moscow embassy asked for an appointment with the Russian Commissioner for Human Rights to discuss the file with her so that we could get a better idea of what Moscow is now considering doing, to check the facts, to ensure that human rights violations cease and that measures are taken to avoid such violations in the future. Of course, we will not fail to underline the importance of including any victims and ensuring that they also have access to legal recovery. We believe that initiatives and follow-up on the ground are more likely to succeed than a démarche here in Brussels. As regards the reactions to these steps in the Human Rights Council, this subject has already been placed on the agenda of the Committee of Ministers, and it will be repeated if necessary. As you know, the Commissioner for Human Rights operates independently. The request that we have submitted to him has no binding force. However, we are reassured about Mr Muižnieks' interest in the issue of human rights and LGBTI people and are confident that he will take the necessary steps to deepen the issue with the Russian authorities. With regard to the latter, their initial reaction to international approaches was rather evasive, but it was to be hoped that international attention would have tangible effects. The fight against discrimination in general and in favour of respect for human rights and LGBTI people in particular is one of the priorities of Belgian foreign policy in terms of human rights. Our country is very active in this area, both in multilateral and regional forums and bilaterally. I can confirm that we regard the decriminalisation of homosexuality as a priority, as evidenced by the fact that Belgium has actively participated in the development of the European guidelines on the issue of human rights and LGBTI people adopted in 2013 and where this aspect is at the forefront. I would also like to recall that on 17 May, Belgium will host the IDAHOT Forum 2017, which will bring together nearly 200 political and expert figures on this subject. I cannot personally be present at this event, which, I would remind you, is organised by the Secretary of State for Equal Opportunities – in close cooperation with the Communities and Regions – since I will be in Nicosia for the Council of Europe's annual ministerial meeting – where I will certainly address this issue. So we will continue our various approaches, whether bilaterally or in collaboration with other actors, to try to advance the fight against this type of discrimination, of which, I repeat, we do not know the exact extent, even though we are sure that serious discrimination has been and is probably still being committed today.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u38	I am a little sad that I was not here yesterday to discuss this important issue. As I said last week in plenary, I would also plead in favour of the motion for a resolution put forward by Mrs Jadin on Turkey, which was also adopted unanimously two weeks ago. There is a common point and a long-standing habit that persists in the countries that have undergone the communist regime: they deny the existence, always, of what bothers them. When AIDS was discovered, it did not exist in them and it lasted until recently. Clearly, homosexuality bothers them and therefore does not exist among the communists. We know that Chechnya is on its way to re-traditionalization. What may be surprising is that the victims of these repressions dared to testify, in the context of fear and fear in Chechnya, and that the local gazette was able to make a report of it while this taboo is so locked on this issue. That seems unimaginable to me. We are waiting, Minister, for you to have more information on this situation.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u39	Thank you, Minister, for your reply. I would remind you once again of the resolution which was unanimously adopted here and which was co-tabled by our group on the initiative of colleagues from the PS, for which we thank them. We hope that you will continue to take the questions that Parliament is asking to heart.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u40	Minister, I know that this was the minister's policy even before the resolution on the decriminalization of homosexuality around the world was voted on a few months ago. I know you've already given orders to our diplomats so that the Belgian ambassador can be involved in the case of gay prides. I can only thank you and congratulate you. I believe that we must be intractable whenever there is a similar situation in the world. This is currently the case in Nigeria. I imagine that the Belgian Government is also attentive to this.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u41	Question No 54, by Mr De Pasquale 17760 by Mr Maingain and No. Mrs Pehliv's 17832 were postponed.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u42	Deputy Prime Minister, on 8 April, you announced that you had "taken" the appointment of Bruno Tshibala as Prime Minister of the Democratic Republic of the Congo. That's the only thing you could do. You have rightly pointed out, as the European Union itself, that this designation "deviates from the letter and spirit of the Agreement of the Saint-Sylvestre" which, I would remind you, provided for the appointment of a Prime Minister proposed by the Rassemblement, that coordination of almost all Congolese opposition parties. As a result, the Congolese government decided to suspend the ongoing military cooperation with the Belgian Defense, by sending a letter to the Belgian Defense Attaché located in our embassy in Kinshasa. Mr Deputy Prime Minister, how do you assess the security situation in general in the Congo and that of the Belgians currently present on Congolese soil in particular, following this particularly disturbing mood movement and, I say from the opposition benches, unjustified? Secondly, does the possible end of Belgian military cooperation with the Congo entail any difficulties in strengthening the military protection of our various diplomatic posts in the Congo? Finally, what are the various Belgian and European diplomatic initiatives envisaged by your department to assist in the full and rapid implementation of the Saint-Sylvestre Agreement so severely torn up at the end of last year? I would point out that this agreement is an intra-Congolese agreement. Belgium has not interfered in this democratic agreement which the Congolese themselves must implement. Thank you for your answers.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u43	Mr Minister, on my first question about the cessation of military cooperation with Congo, I have already received a partial reply from Minister Vandeput in the Committee on Defence. As outlined by my colleague, the reason for this was the appointment of the Congolese Prime Minister Tshibala. Our government has rightly reacted critically to this because it does not fit in with the Old Year Agreement. Have you received any comments on the cessation of military cooperation with Congo? The Congolese Foreign Minister threatened to declare the EU Ambassador in Kinshasa, Bart Ouvry, persona non grata. Have these threats been made to our ambassador? How do you see the diplomatic consequences of the cessation of military cooperation with Congo? My second question concerns the situation in Kasaï, where mass graves were again discovered. The situation is highly disturbing. The UN High Commissioner for Human Rights has already mentioned many credible claims of human rights violations in the region. This goes hand in hand with a deterioration in the security situation and the targeting of civilians by military forces, solely on the basis of their so-called affiliation with local militias. After heavy fighting between rebels and Congolese forces, 17 mass graves were discovered. As a result, 40 mass graves have been discovered in this region since August last year. According to information provided by the UN, 74 people were killed in a few days, including 30 children, after violent fighting between Congolese soldiers and members of the Kamwina Nsapu militia. As Belgium is very concerned about the deteriorating situation in Kasaï, but also elsewhere in the country, you had already stated that measures had to be taken to protect the population. What is the state of play on the independent international investigation of war crimes in the DRC? Will the authorities cooperate in this? You had previously asked the Belgian embassy in Kinshasa to raise this matter with the Minister of Human Rights. What was the result of that? You also asked for the situation in the DRC to be addressed by the Foreign Affairs Council of the European Union. Will it give a clear and joint response? Finally, you stressed the importance of discussions in the Security Council on the new mandate of the MONUSCO peacekeeping force (Mission de l'Organisation des Nations Unions pour la stabilisation en République démocratique du Congo). This mandate should ensure better protection of citizens and better guidance in the electoral process in 2017, if this is to take place. How will Belgium continue to monitor the exercise of that mandate in this unstable security context?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u44	Madam President, Minister, on 7 April President Kabila appointed Mr Bruno Tshibala as the new Prime Minister. The New Year's Agreement for a political transition in Congo provides for the opposition, Le Rassemblement, to deliver the Prime Minister until the elections. However, Tshibala was recently removed from L'Union pour la Démocratie et le Progrès Social (UDPS) by Etienne Tshisekedi and is not strictly part of Le Rassemblement either. You took note of the appointment of Tshibala, but you rightly criticised the course of events. That appointment does not seem to be a way out of the political impasse. The comments you made were certainly not appreciated by your Congolese colleague. Firstly, how do you estimate the political situation in Congo at the moment? How long does Congolese politics need to get out of this impasse? What will you do if Kabila continues to violate the Old Year Agreement? Secondly, have you been in contact with your Congolese colleague? What do you expect for bilateral relations between our two countries? Do you expect additional sanctions? Thirdly, what is your assessment of the security situation in Congo? Fourthly, on 11 April 2017, the Congolese authorities stated that they would cease military cooperation with Belgium. The Congolese Government took that step after the appointment of Prime Minister Tshibala was criticised by our country. How do you assess the cessation of military cooperation?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u45	Madam President, Minister, it has already been sufficiently outlined that the designation of Tshibala is a problem facing the international community. It is clear that since the glitter of 2016 around the Constitution Kabila, a new glitter has been organising around the Sylvester Agreement and its non-compliance. Thus, first, he tries to break up the opposition by pointing out someone from the opposition who had previously been engaged in Le Rassemblement. In this way he also tries to attract a number of people. Secondly, he is trying to break up the international community by treating, on the one hand, the ambassador of the European Union who criticised him as persona non grata and, on the other hand, unilaterally abandoning the military cooperation agreement with Congo. In any case, it is also a danger at diplomatic level. It is therefore important that the international community speaks with one voice about Congo. It has also done so with the Security Council and the extension of the mandate of the MONUSCO, with a clear commitment to the Secretary-General in Article 53. Every 45 days he has to report on the elections in Congo. My questions are as follows. First of all, what about after Tshibala's designation of the Sylvester chord? Is the international community still holding on to the agreement? That seems to be the case. What does this mean with regard to the Government of Kabila? Will we recognise the Prime Minister and continue to engage in dialogue with the Government of Kabila? Secondly, what does that mean for individual sanctions? The European Union's conclusions of 6 March clearly stated that the High Representative had to give up a list of names in order to re-establish individual sanctions at EU level. How's that list coming? When will it be released? I still think that this will remain the stick behind the door to ensure compliance with the Sylvester agreement. What do you think of the new mandates of the MONUSCO and of Article 53, which gives the Secretary-General a clear mandate to report on the electoral process and the Sylvester agreement within 45 days? Thirdly, the security situation is still worrying. The reason why Belgium intervenes in Congo is still the worrying situation in terms of democracy and human rights. The film Beni Files showed that innocent civilians have been slaughtered since 2014. We have also given it in the Kasaï, to which Mr Luyckx referred, where 40 mass graves have already been found and two UN experts have been killed. The situation is alarming. Mr Minister, I have the following questions. What is the situation in Congo? What conclusions do you draw from this? What about the independent international research in the Kasaï ordered by the international community? Apparently that is not yet advanced and only some data has been collected. Will you continue to argue for the independent investigation of Beni and the Kasaï? The MONUSCO was clearly lacking in power in Eastern Congo. How do you estimate the new mandate of the MONUSCO to follow the security situation? How do you estimate the security situation for the diplomatic and NGO personnel after the murder of the UN experts?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u46	Madam President, Minister, we must once again talk about the situation in the DRC, which is still so worrying and which continues to worsen. A few days after the end of the mediation undertaken by the bishops (CENCO), which unfortunately ended on a record of failure, President Kabila appointed Mr Tshibala Prime Minister. This appointment was criticized by opposition parties and by many actors in the international community such as the European Union, France and Belgium. Indeed, you also pointed out that this appointment did not respect the spirit of the Saint-Sylvestre Agreement, and that this appointment was too controversial. Following the Prime Minister's assumption of office, the opposition called for his discontent on 10 April. However, few protesters dared to leave their homes after the police discouraged any mobilization. Regrettably, further arbitrary arrests have still been observed. Minister, can you first give us the latest information you have on the political and security situation in the DRC? Did you contact your European and international counterparts after Mr Tshibala was appointed Prime Minister? The security situation in Kasai, already mentioned by my colleagues, also seems to be very worrying, with the killing of two UN experts and the discovery of pits. What do you intend to do about this situation?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u47	Minister, that is a lot of questions for you.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u48	Ladies and gentlemen, first of all, I thank you for allowing me to speak once again on the situation in the Democratic Republic of the Congo. I can say that I broadly share your concerns about political developments, human rights, the socio-economic situation and the security situation. The Embassy, my services, myself and some of my fellow ministers, particularly those of Cooperation and Defence, are also following this issue very closely in order to prevent the international community from dividing itself on analysis and accompanying remedies. For Belgium, the best possible guarantee of a peaceful transition to credible elections seems to us to lie in the full and fair implementation of the inclusive agreement of 31 December 2016 as enshrined in UN Security Council Resolution No. 2348, based on the real compromises agreed by the various Congolese partners. In my statement of 8 April, I reiterated the need for full and fair implementation of this agreement, therefore within the framework of the specific arrangements as provided for in the agreement, while regretting that they have not yet been able to succeed. Together with the rest of the international community, for example, the European Union, France, the United States and Canada, we have indeed regretted that the appointment of the new Prime Minister, Bruno Tshibala, departs from the letter and spirit of the Saint-Sylvestre Agreement, which provided for the appointment of a Prime Minister proposed by the Gathering. On Friday, 21 April, the National Episcopal Conference of the Congo, CENCO, also deplored that the consultations between the Head of State and the head of the delegation of the Gathering under negotiation, at the end of which the Prime Minister was to be appointed, had not taken place. According to the bishops, the appointment of a Prime Minister constitutes "a breach of the Agreement of the Holy See" and explains the persistence of the crisis. Having said that, the agreement must continue to guide us. We remain vigilant on three points concerning the implementation of the agreement: 1. a power actually shared between the regime and the real opposition; 2. the simultaneous establishment of a National Council for the Follow-up of the Agreement, which will play an effective role in monitoring and arbitration; 3. the full and immediate implementation of the descriptor measures, thus reopening the landscape of political freedoms to the citizens and allowing all eligible Congolese citizens to campaign for elections which should be held again this year. The Congolese Government has indeed formally stated that it intends to suspend military cooperation with our country. We take note of this. My services are in contact with the Defense Department to see how the program can be properly terminated. At first glance, the decision does not seem to have an impact on the existing military protection of our embassy in Kinshasa, but the problem of protecting our Consulate General in Lubumbashi has still not been resolved. The file on the suspension of the military partnership programme will be submitted to the rest of the government in the past. I therefore do not wish to comment at this stage on the possible impact of this decision on our bilateral relations. Our country wishes to keep the diplomatic channels with the DRC authorities as open as possible. I received my colleague in February and our embassy maintains contacts with all the political representatives on the ground. You referred to the threat of measures against the EU ambassador following a communiqué approved by all the postal heads in Kinshasa. Indeed, the EU solidarity must play to the full. I have no information that similar threats would have been made to other postal heads. On 29 March I expressed my indignation at the death of two members of the UN expert group in the province of Central Kasaï, Michael Sharp and Zaida Catalan. They disappeared there together with their Congolese escorts. I have expressed my condolences to their families, friends and colleagues and paid tribute to their struggle for the defence of the values of the United Nations. Our country condemns the recent wave of violence and human rights violations in the Kasaï provinces. An independent international investigation is absolutely necessary and those responsible must be tried. Our country argues for this within the UN and welcomes the fact that on 23 March, during the interactive dialogue at the Human Rights Council in Geneva, the Congolese Minister for Human Rights opened the door to an investigation by MONUSCO, BCNUDH and the African Union. We would like this willingness to be translated into giving access to these organisations in the field. No precise figures are yet available on the number of victims. There are 40 mass graves and hundreds of dead. The situation in the Kasai is very worrying. This violence is excessive and must not be banned. However, we should not forget that the situation in the east, namely in the Kivu provinces and in Tanganyika, is still not improving, due to the lack of implementation of the commitments of the Nairobi agreements of December 2013 and the principles of the Addis Ababa Agreement on peace, security and cooperation in the RDC and the region. I have already argued in the past for an international investigation into the situation in the east, especially with regard to the incidents in Beni, which have recently been documented in the online project Beni Files. As far as the general security situation is concerned, our fellow countrymen do not seem to be running any specific risks at the moment. But the situation is unstable. I refer explicitly to the travel advice that points to the risks involved. I believe that the same reasoning can be followed for all the countries in the world. The embassy and my services regularly follow the general evolution, along with the Defense Department. Although the opposition had announced an important march before 10 April, it did not take place. There was a ville morte. New events cannot be ruled out in the coming weeks. We continue to ask all actors to do everything in their power to avoid violence. MONUSCO will also have to play its role in protecting citizens. The new mandate of the MONUSCO fully subscribes to the implementation of the Old Year Agreement and focuses more on protecting citizens and supporting the elections. Last month I received the Monusco head, Maman Sidikou, to emphasise these two priorities. Our country therefore fully supports the new Security Council Resolution 2348 and wishes that MONUSCO now have the means to implement that mandate. More than ever, the political agreement of 31 December 2016 must be implemented in good faith so that a legitimate government can address the various problems today, but especially after credible and good elections at the end of this year. In the absence of such implementation, our country remains very concerned about the situation. We have ongoing consultations with our international partners in the region: the US, the EU and the UN. Both the EU and the UN have expressed their intentions in recent weeks to consider additional individual sanctions. Our country will continue to argue in favour of maintaining international cohesion around a close monitoring of the situation by the international community, on the basis of the strict and loyal implementation of the agreement. I think it is really important to plead with all our partners to stick to this line of compliance with the agreement of 31 December 2016. But it is clear that we will have the opportunity, at the next meetings of the Foreign Affairs Council of the European Union, to review the assessment of the situation. My wish is, I repeat, that we should keep a common line with our partners on the subject. It is not useful to embark on an exclusively bilateral approach. There are, of course, many initiatives that we can take bilaterally, but we really need to put them in this collective approach with our partners on the international stage. Of course, over time, we will have to discuss our bilateral relations with our partners in the Democratic Republic of the Congo through diplomatic channels. The situation cannot simply remain as it is. But for this, I repeat, we will first conduct consultations with our international partners at the forthcoming meetings, particularly at European level, and then, if necessary, we will turn to the Kinshasa authorities to assess with them our relations and the situation from which they will evolve.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u49	Madam President, I thank the Deputy Prime Minister for this comprehensive and detailed briefing. We have no differences of opinion on this subject. The Congolese people need two things: democracy and security. Belgium, like all the other countries of the European Union, supports the Congolese in the full and complete implementation, in the spirit and in the letter, of the agreements of the Saint-Sylvestre. It is an intra-Congolese agreement and not interference by Belgium and the European Union on the Congolese political scene. Europeans and Belgians are behind Congolese Democrats in implementing an agreement on democracy. The Congolese need security, especially in the East. The military agreements that Belgium had previously implemented in the Congo were aimed precisely at training and training a Congolese army embryo, capable of ensuring the security that the Congolese need, particularly in the East. I hope that with diplomacy, as well as with a lot of courage and perhaps also a lot of energy, we will be able to maintain this training and training for Congolese people. First of all, I think about them. Thank you anyway and good courage!
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u50	Thank you, Minister, for your reply. It is a good thing that you are also consulting with the Defence Office on exactly how this will work. I also welcome the fact that you are not advocating an exclusive bilateral response, but that you think that we should organise the action in the broadest possible multilateral front. It is clear that Kabila has a sort of divide-and-control policy whereby hope for new elections is becoming more and more fragmented. With the precarious uncertainty that exists there today, this only leads to greater uncertainty and violence. So we need to think about how we can weigh more on the debate, both bilaterally and multilaterally. We certainly need to keep the whole cooperation with Congo under review. This is, of course, becoming a never ending story in which time and time again the trust and the agreements are being violated. We can certainly go one step further to weigh up what is happening in Congo.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u51	Minister, it is logical that this is the subject of a debate. It is clear that we must continue to have this debate. In this regard, I believe that the conclusion may be that you have the support of majority and opposition across party boundaries. I see two pillars. The first is keeping all diplomatic channels open and the second is sticking to the red lines of the intra-Congolese agreement.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u52	Minister, I have heard you say a number of things. Firstly, the international community must not let itself be broken up. I do not think we should bilateralise the conflict between Belgium and Congo. Kabila is ultimately seeking to weaken the support of the international community in this way. It's a good thing we're dealing with it multilaterally. Secondly, the preservation of the Sylvester agreement. Until now, only one point of the Sylvester agreement has been implemented, in particular: Kabila remains in place until new elections are held. Everything else is contradicted. The opposition was allowed to appoint a prime minister, but that did not happen. The mesures the décrispation you mention, the confidence-building measures, were not implemented. The Supreme Court for Magistrates had to look at Katumbi, the media authority had to be looked at, the oversight of the agreement, these are all things that don't happen. The only measure that was implemented is that Kabila stays until there are new elections. Otherwise, nothing happens. Anyway, since there is no alternative, we must stick to the Sylvester agreement. However, we must intervene in good time if we see that there are no elections by the end of the year. We must continue to use CENCO as the only credible partner as a mediator. You referred to that too. We must continue to emphasise two things. The stick behind the door with the individual sanctions is sensitive. We must play these individual sanctions multilaterally, but they must certainly be used permanently. You also referred to an international, independent investigation. We must continue to make a strong commitment to this too, because I can see that there is some sort of selective indignation. If a policeman dies in Paris, the entire État major is called upon to pay tribute there. If 39 police officers are decapitated in the Congo, there will be less reaction. Or take the 40 mass graves: there is a kind of normalization around violence in Congo. We must continue to strongly advocate and continue to work for international, independent research. In the absence of justice in Congo, the international community must act to protect its citizens.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u53	Minister, thank you for your answer and for your clarification. The situation in the Democratic Republic of the Congo is indeed becoming increasingly complex. Unfortunately, it is also due to the ego of each other. For example, I have still not understood why the Rassemblement, in the opposition, did not respond to the President's invitation. I'm not saying this could have changed the deal, but it would have been evidence of a willingness to dialogue, to try and find a solution. I think mistakes are made on both sides. I agree with you that the text of the agreement of 31 December must be the reference. That is what we must strive for. He proposed a Prime Minister of the opposition, but also the establishment of the follow-up committee. The person who should chair this follow-up committee is also a problem, since they assume that he must be the head of the Committee of Wise Men, Pierre Lumbi, who was chosen by provocation. All of this, as we know, is really an ego problem for each other. But, as my colleague has said, we must first think about the Congolese population and not lock ourselves in positions that may be complicated. I have no doubt that you continue to have formal and informal bilateral contacts, as we also have, to push for a solution which, I repeat, must be respect for the agreement of 31 December and the organisation of elections this year, even if, as time passes, the more one can doubt it. We are almost in May, and unfortunately, the government that should be responsible for organising these elections is not yet in place. I think that, in the coming weeks, we will still have the opportunity to discuss this issue again.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u54	Minister, on 15 February 2017, the European Parliament approved CETA. Due to the resistance of Wallonia and Brussels, the federal government was only given the mandate to approve the CETA Convention in the European Council after an intra-Belgian agreement. I have a number of questions on this subject, Minister. What were the conditions of that intra-Belgian agreement and which of them have already been met? A question for a preliminary ruling would be referred to the European Court of Justice. What is the content and state of play of this? The British would also propose a dispute settlement within the framework of the Brexit within the framework of their future trade agreement with the EU. It seems impossible to integrate less than an arbitration court, as provided for in the CETA Convention, into the Free Trade Agreement. Have exploratory talks been held with the Communities and the Regions on this subject? What signals about their attitude do you detect?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u55	Mr Van Peteghem, the Belgian Interfederal Agreement for the signing of CETA by our country was concluded in the Consultation Committee on 27 October 2016. On the basis of that agreement, Belgium has adopted a formal declaration on the conditions governing the full competence of the federal State and the sub-entities to sign CETA. That unilateral declaration was subsequently submitted to the EU Council Secretariat for attachment to the EU's formal decision to sign the CETA Convention. The public statement provides, inter alia, that if one of the sub-entities takes the final decision not to ratify CETA, the Federal State should notify the Council of that impossibility within one year. It is about the practical application of a previously adopted declaration by the Council of the European Union in the assumption of a definitive blocking of ratification in a Member State, reminding us of the constitutional specificity of our country. In the document, Belgium also notes that, as decided by the Council, the provisional application of CETA does not apply to all provisions of the Agreement, especially as regards investment protection and dispute resolution. Belgium also announced that the European Court of Justice will be asked for an opinion on the compatibility of the Investment Court System (ICS) and the European Treaties, in particular in the light of opinion 02/15. The Declaration also confirms the existing European rules, in the sense that the federal state or an agricultural entity reserves the right to invoke safeguard clauses in the event of a power imbalance. In this respect, specific thresholds will be set within 12 months of the signature of CETA, so as to clarify what is meant by power imbalance. Finally, Belgium reiterates that CETA cannot affect European legislation on the authorisation, placing on the market, cultivation and labelling of genetically modified organisms and poses a risk for the application of the precautionary principle in the European Union, as defined in the European Treaties. In the light of Declaration No. 37 the Walloon Region, the French Community, the German-speaking Community, the French Community Commission and the Brussels-Capital Region do not intend to ratify CETA until the defined implementing modalities for the ICS for investor-party dispute resolution have been adopted. As early as January 2017, my services completed the preparatory work on the legal framework of the request for an opinion to the European Court of Justice. Since a few weeks we have received all the material contributions from the federated entities. At present, consultations between the federal state and all the federated entities concerned are ongoing on the precise wording of the request for advice. On the basis of an agreement between all the entities concerned, the request will be made on behalf of Belgium. A possible dispute settlement mechanism for the United Kingdom's expected trade agreement with the European Union is currently a prospect. After the recent activation of Article 50, exit negotiations should be initiated before negotiations on the future trade relationship between the European Union and the United Kingdom can begin. We therefore seek to ensure the proper implementation of CETA itself, but also of all decisions taken with the federated entities.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u56	Thank you, Minister, for the explanation. It is indeed important that we keep following the intra-Belgian agreement so that we can ratify CETA at federal level in the short or medium term.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u57	Minister, following the annexation of Crimea and the destabilisation of Eastern Ukraine, the European Union imposed sanctions on Russia. These sanctions were linked to the implementation of the Minsk agreements. The sanctions entered into force in March 2014 and are repeatedly extended until 31 July 2017. However, disturbing reports continue to be received from the region. Minister, what is the state of play regarding the implementation of the Minsk agreements? What efforts are being made to this end? Have you already made an assessment of the impact of these sanctions on Russia? How do you see the sanctioning regime evolving? How is the dialogue between the European Union and Russia and between NATO and Russia going? Thank you in advance for your answers.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u58	Mr van Peteghem, the implementation of the Minsk agreements is difficult. The security situation in eastern Ukraine remains problematic, there are regular cease-fire violations and more recently heavy weapons fighting. We deplore the last fatal incident in the separatist controlled area of Pryshyb, 34 kilometres northwest of Luhansk, which has cost the lives of an OSCE observer of American nationality. At the same time, two other observers were slightly injured. The security problems overshadow the other negotiating themes. The political dimension of the Minsk agreements is therefore provisionally established. The preparation of local elections and the granting of a special status to Donbas encounters resistance in the Ukrainian parliament, while Russia continues to provide military support to the separatist regions. Moreover, the uncertainty about the position of the United States has led both camps to adopt a wait-and-see attitude. I believe that the Minsk agreements remain the only realistic option for a lasting solution to the conflict in eastern Ukraine. The negotiations in Normandy format take place regularly at technical and political level and under French-German leadership. Due to the recent battles, the emphasis is obviously mainly on the humanitarian and security aspects, but it is important that all dimensions make parallel progress. It is essential that all parties comply with their commitments on the basis of a roadmap, which has not yet been adopted. Sanctions first of all prove the unity and perseverance of the European Union in the event of a serious violation of the territorial integrity of a neighbouring country and a breach of the principle of the inviolability of borders. The various analyses available to me show that these sanctions do have an impact on the Russian economy, which is also seriously affected by the financial and economic consequences of the drastic fall in energy prices. I hope that considerable progress will be made in the coming months in implementing the Minsk agreements, which will determine the lifting of sanctions. The formal institutional dialogue between the EU and Russia, such as the EU-Russia Summits, has been frozen since the Ukrainian crisis. Nevertheless, contact with Moscow on issues of common interest, such as terrorism, should remain possible. After all, Russia remains an important player in many international dossiers. These contacts take place mainly in a bilateral context. It is therefore essential that Member States deliver as much as possible a unified message to avoid weakening the EU. That is why I have advocated that the High Representative, Federica Mogherini, take this dossier to heart. She travelled to Moscow on 24 April, for the first time since the beginning of her office, to convey a common EU message to the Russian Foreign Minister, Sergei Lavrov. At the same time, NATO policy towards Russia is based on credible confidence and dialogue. Russian interventions in Ukraine have led to the suspension of practical civil and military cooperation between NATO and Moscow, while communication channels have always remained open. Large-scale and often unannounced Russian military exercises, interference in elections and attempts to influence the policies of some partner countries have further contributed to the degradation of confidence. However, dialogue and transparency are necessary in order to avoid further tensions and to reduce risk derivatives, without going back to business as usual. The dialogue will take place within the framework of the NATO-Russia Council, which last met on 30 March. This included the situation in Ukraine. We will continue in the same direction, on all points, but I repeat that, as in many other difficult cases, correct implementation of an agreement is the most important point.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u59	Thank you, Minister, for your comprehensive reply.
