ParlaMint-BE_2017-02-01-54-commissie-ic581x.u1	Mr Secretary of State, ladies and gentlemen, welcome to our committee.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u58	Minister, I have a question about the interpretation of the declaration of revision of an article in the Constitution. Article 12 of the Constitution provides that the person's freedom is guaranteed. No one can be prosecuted except in the cases provided for by the law and in the form prescribed by it. Except in the event of discovery in the act, no one may be arrested except by a reasoned order from the judge, which must be served on arrest or within 24 hours at the latest. On that third paragraph of Article 12, at the end of the previous legislature, a proposal for revision of the Constitution was adopted on 24 April 2014, and I quote: "The Chamber of Representatives declares that there are grounds for revising Article 12, third paragraph of the Constitution, in order to comply with European case law relating to the assistance of a lawyer from the first hearing. I understand from this that the third paragraph of Article 12 can only be revised in the context of the Salduz legislation. Apparently, I disagree with the chairman of the Special Committee on Counter-Terrorism, who was to speak for a Marnixring a few weeks ago, claiming that that revision of Article 12, third paragraph, also implies that the duration of the arrest can be extended. He boasted that he would have an agreement with the Prime Minister on this. He himself submitted a proposal to revise Article 12 of the Constitution with a view to extending that period of detention. Apart from the debate on the desirability of granting the detention period, I would have liked to have heard from you the following. What is the current state of play on the provisions on the duration of arrest in cases outside the detection in the act? Can you clarify the scope of that revision of Article 12, third paragraph, as adopted in this Chamber a little over two years ago? I hope you can clarify that. I'm curious to hear your answer.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u59	Mrs Pas, I can confirm that the revision of Article 12, third paragraph, of the Constitution does indeed mean that the time limit for arrest can be extended by 24 hours. There is no discussion on the scope of the revision as adopted on 24 April 2014. In fact, the hearings in this committee have clarified this once again. As has often been announced, I am in favour of extending this deadline to 48 hours for all crimes, possibly longer for terrorist offences, namely 72 hours. I've been on that line since my Justice Plan of 18 March 2015. You also ask me about the exact state of affairs concerning the current provisions on the duration of arrest in cases outside the detection in the act. In our view, the third paragraph should be read as follows. Firstly, in addition to the discovery in the act, a suspect who is deprived of his liberty in the context of a criminal investigation must be brought before the investigating judge within 24 hours and must be served with the arrest warrant within that period. If not, no pre-trial detention can be imposed. We are therefore looking for an unsub who has not yet been identified. The same 24-hour period applies to facts discovered in the act, but it is understood that in this case, of course, the police can intervene immediately after establishing the facts and robbing the suspect of his freedom, so that he does not take the flight. The police will immediately inform the magistrate of the court, who, in the event of a request for remand, will lead the defendant to the investigating judge. The period between arrest, deprivation of liberty and service of the arrest mandate of the judge shall not exceed 24 hours.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u60	Thank you, Minister, for your reply. Despite the fact that the revision states that Article 12, third paragraph, is subject to revision in order to comply with the European case-law relating to the assistance of a lawyer from the first hearing, this may also be subject to revision as regards the extension of the period of detention. So we must not wait for another legislature to do so. Your wish to extend this to 48 hours can indeed be transposed into legislation. I note that and hope that it will be done quickly.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u61	Mr. Chair, Minister, pursuant to the government agreement, the federal government approved the Masterplan 2008-2012-2016 for a more humane prison infrastructure. This project offers, among other things, a solution to the problem of overcrowding in Belgian prisons. The municipality of Sambreville, once a new settlement site, seems to be no longer the elected one. However, feasibility studies for the Saint-Gobain Glass site appeared to have an acceptable pollution threshold for habitat and a low lift basement. The analysis report sent by Minister Jambon to the municipality of Sambreville even goes so far as to recall the correct location of the settlement. Minister, when you read these arguments, what are the objectivable criteria that allowed you to remove Sambreville as a city of settlement for a new prison? Could you consider an estimate of the cost of soil stabilization, which seems to be the only problem identified by the feasibility studies, and compare it with the one required to bring other selected land into compliance under the Masterplan prisons?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u62	Mr President, Mrs Grovonius, Masterplan 3 was approved on 18 November. This was an important step in the implementation of many differentiated projects. The construction of the Sambreville prison was planned in the version of the previously approved Masterplan. A soil survey of the Saint-Gobain industrial site, conducted by an external company in 2012 and 2013 at the request of the Régie des Bâtiments, showed that, given the pollution present there, the current condition of the site would either require a clean-up phase prior to any construction project or would pose specific requirements in this regard. The additional cost of rehabilitating and building a prison on this site was refined in a second, more detailed study, which was carried out by another external company in 2014. This complementary analysis focused on the present pollution and the stability problems inherent in a fully covered terrain on a very high height. Given the very high additional cost – 11 million, informs me of the Régie des Bâtiments – and the difficulties that pollution will pose during the work, it has been decided to abandon this idea.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u63	Minister, thank you for your answers. However, there is one element on which you have not given any information, to have the costs to allow the construction of prisons on other settlements. This would have made it possible to have a useful comparison and to determine whether the choice which was made to abolish this construction in Sambreville was made objectively or whether it was again a Community question, which would be quite regrettable!
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u64	Minister, it would be nice if it were not so poignant: our peace court left a note in the peace court, in which he stated that it was best not to use the toilets because of a lack of sufficient maintenance. He noted that a cleaning aid had been waiting for some time to keep the peace dish clean. You responded to that, Minister. You indicated that you were looking for a solution and that you would take the necessary steps, including by increasing cooperation between the courts. This is also the case in our region. Minister, what concrete measures are you proposing in the short term and in the longer term for our peace court? Do such problems occur in other courthouses? What solutions will you offer?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u65	Minister, you have already announced several times that you will seek long-term solutions to the sometimes lamentable situations in the courthouses, inter alia by bringing together secretaries and drawing up a master plan on court buildings. We can understand this method, but it does not alter the fact that measures are also needed in the short term to deal with the urgent problems in the interests of both the judicial staff and those seeking justice. From a number of peace dishes we hear a lot of complaints about rooms that are not cleaned or cleaned by the staff themselves, about toilets that are not usable, about moisture problems, about the heating that does not work, about floors that are likely to collapse under the weight of archives. Such external features are not conducive to the image of Justice. Minister, by when do you intend to complete your long-term solutions? Are you taking measures to address the specific problems in the short term? Is there a specific point of contact with the FPS Justice for this purpose?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u66	I have already explained my plan for the peace courts here on several occasions, including at last week's committee meeting. So I do not need to do that in detail again. I believe that the problems you mentioned can be solved by rationalising and using resources more efficiently. This can be done by using mobile staff, by merging Registrys, and above all by keeping fewer buildings. We started with this and have already closed more than twenty buildings in phase one. Phases two and three will be implemented in the coming year. This is very concrete and will soon lead to results. As far as staff are concerned, there is an increasing tendency to pool staff groups, both for administrative and support staff. The various executive committees of magistrates already play their role in the search for concrete cooperation. In concrete terms, I will answer the questions concerning the peace dishes of Grimbergen and Meise. Here, in order to allow an immediate solution, a transfer of a cleaning lady was provided. However, my administration has learned that the person concerned has been absent for a long time because of illness, which is forcing the recruitment of a new cleaning lady. A dossier on this matter was submitted to the Finance Inspectorate to provide a solution to these cantons in the short term. As soon as the FPS receives an agreement from the inspection, the necessary steps will be taken to recruit cleaning staff for the peace courts. Finally, I can also tell you that you can always report concrete infrastructure problems to the competent department in my administration. That service and the way in which it is operated are sufficiently well known to all judicial services.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u67	I should like to make it clear, Minister, that there is a need for a new recruitment. Can you estimate how long it will take before the recruitment of a new staff member is completed? I understand that the Finance Inspectorate must agree to this, but I suspect that an exam should also be organised and that publicity should be provided for this.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u68	The recruitment reserve is being used up.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u69	So one will write someone out of the recruitment reserve. This means that it all goes a little faster than when there is an actual vacancy to be placed. So we can expect a solution in the short term? Do we still need to give a push to the Minister of Finance, or is that not even necessary anymore?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u70	It has nothing to do with that; it's about the inspection. If so, we'll polish together.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u71	Minister, I had a bit of the same question. I am not sure what short-term debt to you means to you, because short-term debt to one means something different from the other. Are you referring to a few months?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u72	In my opinion, short term is always very short. However, if you wish to become Minister of Justice, you are welcome to recruit new cleaning women.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u73	I didn't mean to attack you personally, Minister. Are you talking in three months or are you talking in a year? I can't figure out what short-term means.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u74	It is important that the recruitment reserve can be used.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u75	(...) in place.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u76	Minister, the withdrawal of nationality is a possibility provided for in the Belgian Code of Nationality. Belgian nationality may be declared invalid. This is the case, among other things, for persons who have been sentenced to more than five years of effective imprisonment for certain offences or who are convicted of marriage of convenience. Last year the law was amended, also in order to be more effective in the fight against terrorism and to be able to reduce certain people's nationality. This has been done with caution, but there are possibilities. Minister, what is the state of play? Can you give an overview of the number of times the revocation was pronounced? What were the main reasons? Then what were the convictions: marriage of convenience, terrorist offences or other crimes?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u77	Mrs Lanjri, on the basis of the information which the judicial authorities have so far provided to my administration, I can provide you with the following overview of the revocations that have been made without guaranteeing exhaustivity. First of all, I have six judgments in which the revocation is based on the fraudulent acquisition of Belgian nationality. The court of appeal of Ghent has delivered three judgments for committing fraud which was of decisive importance in the granting of Belgian nationality. A judgment of 11 December 2008 concerning a man of Bhutanese origin, born in 1972, who had filed his application under the name of a Nepali, whose residence permit he had purchased. A judgment of 5 February 2009 in respect of a man of Albanian origin, born in 1968, who, in his application, made use of an instrument of familiarity with a false Kosovar name, with which he obtained a residence permit as a refugee. A judgment of 4 June 2009 in respect of a woman of Thai origin, born in 1961, who had applied on the basis of a marriage with a Belgian, but did not mention that her divorce had already been pronounced by a court other than that of her place of residence. At the Liège appeal court I count two judgments. A judgment of 16 January 2012, declaring a man of Serbian-Montenegrin origin and born in 1964, but actually Albanian nationality and born in 1961, void of his Belgian nationality because of the use of false documents in his applications for residence permits which led to the acquisition of Belgian nationality. A judgment before the Liège appeal court of 4 December 2013, declaring a woman born in Kinshasa in 1977, of her Belgian nationality acquired by naturalisation by using a false identity and false statements on the basis of which she was granted the refugee status and the necessary residence permits. The Brussels appeal court delivered a judgment on 13 May 2014, declaring a woman of Moroccan nationality and born in 1974 to lapse from her Belgian nationality which she had acquired on the basis of the right of residence she acquired through fraud, being her marriage to a Belgian. In addition, I can inform you that there are still four judgments, in which the revocation is based on the application of Article 23 (1) 2° of the Belgian Code of Nationality, which is the serious deficiency in the obligations of Belgian citizens. These are three judgments of the Brussels appeal court on the basis of convictions for terrorist activities inspired by religious extremism. A judgment of 26 January 2009 in respect of a man of Tunisian nationality, born in 1965; another judgment of the Brussels Court of Appeal in respect of a man of Moroccan nationality, born in 1977, and finally a judgment of 20 December 2010 in respect of a person born in Algeria in 1959 with Tunisian nationality for Islamic extremism. At the Brussels appeal court, a judgment of 18 November 2010 concerning a man of Moroccan origin, born in 1987, was condemned in Morocco for terrorism, who abused his Belgian identity to commit criminal acts in Belgium and Morocco.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u78	Thank you, Minister, for your comprehensive reply. In this way, I have a view of how often nationality has been withdrawn. Apparently that didn't happen very often, but still a dozen times. I also note that the amendment adopted last year has not yet led to any new withdrawal of nationality, which can, of course, still be achieved.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u79	Mr President, Minister, following the show "Due to inquiry" on 28 September, I would like to come back to a problem that I have already addressed with you in order to convey here the concerns of many magistrates, investigators and scientific workers of the Forensic Institute of Liège. Because of your recent policy of drastically reducing tariffs for DNA analyses, only a Franco-German multinational such as Eurofins can practice the floor prices you have imposed – imposed, moreover, in the absence of any negotiation and adjustment period, contrary to the method used by your predecessor. It is probably because the last Walloon laboratory is supported by public funds that it still holds both well and badly. However, in the view of the rector of the ULg, very understandable: "It is not at the University to finance the federal state." Indeed, the private laboratory Bio.be in Gosselies has unfortunately not resisted your attack. You regularly justify this decrease in the prices of genetic analyses by a significant difference with their actual cost of production. In doing so, you seem to forget that the world of forensics is growing and is forcing laboratories to adapt by regularly acquiring expensive new equipment or updating obsolete equipment. This unilateral and unwarranted reduction in tariffs has many serious consequences for the quality of investigations. On the one hand, the reduction in the number of tests and, on the other hand, the absence of contact, other than through a form, between investigators and laboratories may eventually lead to the wrong direction of investigations. The situation is as serious as it is urgent. Despite the lifting of the notice that ran until the end of 2016 thanks – for a last time doubtless – to the support of the ULg, you know that the Forensic Institute of Liège risks closing its doors permanently by the end of the year if you do not provide satisfactory answers to its repeated requests. In fact, the number of requests for analyses is decreasing and the Institute's forensic activities are therefore reduced as a result of grief. Therefore, allow me, Minister, to ask you the following questions. How are you going to ensure that the low cost analyses will meet the demands expected by the actors of justice and, more broadly, by our rule of law? After the early assessment of the tariffs, you announced at the commission meeting on 22 June, a reassessment by the end of 2016. When can we get the results? On that occasion, there was also talk of an indexation of tariffs in September. What about it? The Walloon laboratories had already agreed on cost reductions for a long time, and in a negotiated manner. Would it not be appropriate to draw up a different plan for Flemish laboratories? What is still your vision for the future of forensic medicine? Will you continue to sacrifice our DNA labs (three out of six Flemish labs have already moved into Eurofins) with the sole aim of saving money and thus favouring profitability at the expense of the quality of justice? Thank you in advance for your answers and I hope that concrete solutions will be proposed in order to save the last Walloon laboratory of DNA analysis.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u80	Mr President, Mrs Fernandez, the re-evaluation can be expected for the first half of 2017. I understand that this is not an easy and simple operation given the sensitivities in the academic world. The request for indexation of all tariffs for criminal court fees was requested from the budgetary authorities in mid-2016 but was refused. This indexation will again be mentioned during the budgetary control in March 2017. Pricing is a federal matter that applies to the whole of Belgium; there can be no question of regional differentiation in the setting of tariffs. You are referring to a Franco-German data, but the headquarters of Eurofins has been established for some time in Brussels. Belgian DNA legislation provides for a number of quality guarantees which are stricter than those imposed on us by Europe. Thus, before a laboratory can be approved, we require a mandatory laboratory accreditation, a 24-hour duty station and the need to employ specific degree holders. Expert reports must be provided within one month. In addition, a number of forensic advisers have been made available to prosecutors and investigating judges because they can provide advice on trace analysis in complex cases. In this way, a genuine contact is established between the magistrate and the DNA expert, a contact which is currently an example abroad. The consolidation of laboratories is expected to have an impact in terms of volume, thereby reducing operating costs and making technological investments faster. If Belgian legislation on the European Public Procurement Directive were strictly interpreted, a maximum of one provider per Region would have been designated and a minimum of one provider for the territory would have been sufficient for a period of four years. Both my administration and I oppose this, because at the end of these four years, all the expertise would be with only one claimant. In addition, there is a risk that the activity will go definitively to another European country. Other laboratories can no longer carry out analyses during these four years, as a result of which they will lose their BELAC accreditation and will therefore no longer be able to meet this important quality requirement in a future specification. Moreover, the principle of public procurement would undermine the independence of the judiciary. The intention is certainly not that the related analyses and reports in the context of ongoing criminal investigations should be found in the hands of foreign operators who cannot guarantee the same interaction between the provider and the judiciary.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u81	Minister, I was hoping for a little clarification, but I can't see anything. I do not see a single window opening up to reassure the workers and actors of the Forensic Institute of Liège. We're pushing all the expertise and DNA analysis into Eurofins' arms. We're going to a monopoly of this company. I am obviously concerned about the quality of investigations and the application of justice tomorrow. I was very worried when I arrived, and I'm all the more worried about the future of the Forensic Institute after hearing your answer. The University will not be able to continue to fund it. Unless I have been distracted, I have not heard in your answer any willingness to do so. So we're going to find ourselves without such an institution in Wallonia, and I can only regret it.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u82	Questions No 16008 by Mrs Catherine Fonck, No 16265 by Mr Georges Gilkinet and No 16334 by Mrs Kristien Van Vaerenberght are transformed into written questions.
