ParlaMint-BE_2017-02-14-54-commissie-ic593x.u1	Question No 15981 is erroneously placed on the Committee's agenda. It is addressed to Mr Borsus.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u44	Mr President, ladies and gentlemen, I begin by replying to Mr Nollet by giving him the most recent update of this dossier. First of all, I will refer to the multiple oral or written questions of December 2016 and January 2017 on this subject to which I refer you for further information, including your oral questions Nos. 13911 and 15640 and written No. 389. I come back to the heart of the case and indicate what you already know, what I have already described on several occasions. In the letter of 7 November 2016, which we sent to ONDRAF, my colleague Kris Peeters and myself, it was requested, firstly, to carry out a proposal for a national policy for waste B and C whose scope is limited to the principle of geological storage and, secondly, to propose an adequate phase of the various stages of decision-making with the aim of creating a sufficient societal foundation. The government commissioners were present at the December 16, 2016 meeting of the ONDRAF Board of Directors. Of course, they told me about the important elements, namely, that the content of the proposal that ONDRAF submitted to its board of directors was broadly in line with our request and that the board of directors wanted ONDRAF to request further clarification from the board of directors in relation to our letter of 7 November 2016. I still do not have, to date, the official and precise return of ONDRAF or the draft minutes of the board meeting on this subject. I note, however, that my teams and those of Minister Peeters are in constructive interaction with ONDRAF. With respect to the next steps, as soon as this response is available, Minister Peeters and I will take the time of the analysis to consider the next steps. With regard to the work schedule, the Government's agreement provides for a decision on the national waste policy B and C in this Parliament. As you know, such a decision relates to a period exceeding the term of this legislature, engages the country for years or even decades, and is therefore not taken lightly. The law provides for a national policy to be proposed by ONDRAF and instituted by royal decree deliberated in the Council of Ministers, after advice from AFCN. These are the three stages provided for by the law. I would also remind you that national policies are considered to be plans or programmes within the meaning of the Act of 13 February 2006 on the assessment of the impact of certain plans and programmes on the environment and on public participation in the preparation of environmental plans and programmes, in accordance with the SEA Act. The SEA Committee will therefore be asked whether or not the proposal for a national policy should be subject to public evaluation or public participation at this stage, provided that the process provides for several phases. It is precisely within this legal framework that the ONDRAF has already conducted very wide consultations between 2009 and 2011 in the context of the preparation of its waste plan B and C. The latter has received numerous opinions and observations from the legal bodies and also from the public. At the initiative of ONDRAF, further consultations were also held, namely, dialogues and an interdisciplinary conference aimed at specialists and experts, and a citizens' conference, led by the King Baudouin Foundation, bringing together a panel of 32 citizens. This led to the ONDRAF Waste Plan in 2011. All documents relating to this plan and its evaluation are available on the ONDRAF website. I also refer you to the statement that was made during this important work, as well as to the report of the citizens' consultation. They give a position, concerning the opinion of Belgian citizens, which is much more nuanced than that of the Eurobarometer 2008 which you refer to.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u45	Madam Minister, first of all, I would like to recall what I was also saying and what I fully agree with: it is an extremely important decision that commits us to 240,000 years. It is obvious that it should not be taken lightly. Yes. Radioactive waste has a half-life of 240,000 years. Further reason for the fact that, on public consultation, we are not limited to the 32 people who were consulted in the framework...
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u46	[[...]]
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u47	I read the report of the King Baudouin Foundation. Did you read it, too?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u48	[[...]]
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u49	And I met with the sociologist who prepared the report. It's worth seeing how things happened. This is quite different from a pulse of the population on such a fundamental subject.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u50	[[...]]
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u51	Exactly! And you're right about that part. But between the consultation, which did not take place, and the important work of the King Baudouin Foundation, there is the Eurobarometer survey. In this regard, the vast majority is opposed to this. As for standard consultation, whether it should be organised in relation to the project itself or in relation to the first decision you will have to take, I consider that, since it is a decision at this structuring point, you have no choice: you must already consult and have an impact assessment carried out at the time of the first decision. I would say even before the first decision, since that is the principle: the impact assessment and public consultation take place before the decision is taken.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u52	As I said, this is the proposal for a national policy. We're going to ask the SEA committee if this proposal – obviously, we're still in the first stage...
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u53	So it's before the decision on the first stage?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u54	Yes, whether or not the proposal should be subject to public evaluation and participation in this phase, which is a pre-stage.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u55	This element seems to me to be important in addition to what has been done in the past. It is February 14 and you have still not received a formal response following the meeting of the Board of Directors on September 16. It's still particularly challenging. To believe that the minutes of the Board's report are still being negotiated in the contacts that Mr. Peeters may have, and which you think are positive, with your firm. There was a meeting. A decision was taken at the meeting on 16 December. There is no reason to negotiate again after the content of what was said at this meeting. This seems to me to be, to say the least, special.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u56	You're the one who says "negotiator." Government Commissioners attend meetings and do not take part in the vote. They're here to report, what they did. Those who took part in the vote, if any,...
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u57	Have there been any or not?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u58	I don't know!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u59	You have the commissioners' report!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u60	I don't have it here! I have given you the content: it is the content of the ONDRAF proposal submitted to the board of directors, which was broadly in line with what was requested, and the board of directors which wants ONDRAF to ask for further clarification from the board of directors in relation to the letter of 7 November.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u61	That's the decision!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u62	They must write it to us! I'm not going to be content with "they say" reported, even by commissioners of government I trust. The Board of Directors is an official body which must issue an official document in order to have its supervisory authority react. That's it!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u63	I am not criticizing you on this point. I'm allowing myself to criticize the ONDRAF. It does not seem logical to me that for decisions which seem clear, namely those which your Commissioner has reported to you, there are not yet any minutes and a reply to your letter of 7 November. The letter dated 7 November, the meeting took place on 16 December. The Commissioners know what has been said and the ONDRAF response is still not happening!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u64	I have no time to force them!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u65	I know, I'm not criticizing you! I know they'll read our work.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u66	Mr Nollet, you are in your reply, but you are not at the café du Commerce either!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u67	Mr. President, it doesn't seem to me to be at the café du Commerce when we talk about the fact that...
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u68	It's becoming a conversation!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u69	I conclude my sentence by saying that there is no question of trade coffee, when one finds that an institute that is to respond to the government on a decision that commits the country for 240,000 years and that concerns level B and C nuclear waste has not yet done so, when the meeting of the board of directors took place on December 16 and it is February 14!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u70	Mr Nollet, you are right! I am not referring to the content of your remarks. Just finish the line.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u71	It's done, Mr. President!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u72	We now turn to Ms. Lalieux's reply.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u73	Minister, I take note of your response and of the round-trip between the board of directors and the two offices. It is important to move forward on this issue and, as Mr. Nollet suggested, to consult with the public on this issue.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u74	Minister, at the February 7th Economic Committee, the CREG presented its recent study on the offshore wind support system. This study shows that there is scope for a downward review of the support mechanism for the last three federal concessions. In particular, CREG estimates that economies of scale could bring about 900 million euros to Belgian consumers. The CREG also insists that a government decision to reform support for future offshore parks be taken in the coming months. Minister, the CREG sent you a letter on 12 July 2016 concerning the latest developments in the market and the decisions of Norther and Rentel. Then, at the end of September, CREG completed the first part of its study. What follow-up have you provided to this information from CREG? Was it not possible to review the level of support for Norther and Rentel at that time? When will you propose to set the level for the next offshore parks? What are your plans to achieve savings for consumers?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u75	Minister, offshore wind is certainly a key element in the necessary energy transition and the fight against global warming. That said, it is also important to ensure that support for this important sector is not on the back of consumers, whose bills are already largely affected by a series of regional taxes linked to sometimes risky support for certain forms of renewable energy. It is with this in mind that you, more than a year ago, wanted to take action to reduce the subsidies of the marine wind to avoid oversubsidization of the sector. In particular, it will be recalled that on July 14, 2016, our House passed your bill to that effect. A decision, supported beyond the majority, which had then made it possible to lighten consumers' bills by EUR 1.1 billion, which, you will agree, is far from negligible. In order to continue this approach on the basis of objective findings, in particular in the light of the situation prevailing in our Dutch neighbours, you requested, as early as July 2016, a confidential report to the CREG on the subject. The CREG, which had the opportunity to present this report on February 7th in the Committee on Economy, demonstrates in particular that there are a number of options for a downward review of the support mechanism for the last three federal concessions in the North Sea. These economies of scale would seem to make it possible to lighten the Belgian consumers' bill a little further for an amount of around 900 million euros. Minister, what are the main lessons that you have learned from the last report of the CREG? What action do you intend to take on its main recommendations?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u76	Ladies and gentlemen, first of all, I would like to point out that last June the subsidy cost for Norther and Rentel had already been reduced by EUR 1.1 billion compared to the scheme which entered into force on 4 April 2014. In accordance with the decision of the Council of Ministers of 9 June 2016, an amended offshore support scheme was presented on 29 June 2016 and approved. This support has been negotiated in two phases - you will remember, because we have discussed it at length - on the basis of a study by the CREG prior to the decision of the Council of Ministers, of course, since the CREG must give us support as to the possible support to the parks, which at the time had to do their closing and wanted to know what the level of aid would be. It gave us a basis that allowed us to negotiate a level of subsidy that was lower than what she had advocated as a good one. Thanks to the work of CREG, we have earned 400 million euros. We were all surprised by the result of the Tender in the Netherlands, based on an emulating public market logic, which provided very low support prices for future parks in Borssele 1 and 2. Seeing this, immediately after the decision of the Council of Ministers in June 2016, I ordered a new study from CREG. By letter of 12 July, the Commission informed us of its first results in this regard. At that time, she was not yet in a position to give us the parameters of this surprising decrease: why was the level of support much lower than what is practised in Belgium? So I asked him to re-examine the problem. So she produced a new study, which was given to me in September. This document did not allow me to renegotiate with Norther and Rentel, who were finalizing their closing. Moreover, this would have led to immediate legal uncertainty. Moreover, it has brought happiness to some. As Mr Nollet pointed out in one of his questions on the energy pact, a company manager working in offshore wind and participating in one of the two consortia I have just mentioned, answered the very insightful questions of a journalist from Le Soir. He explained that in Belgium there is broad support in terms of consumer support, a price of 124 euros/MWh for Norther wind turbines in which there is a consortium of companies investing in partnership with Nethys Liegeois and Mitsubishi Japanese. You'll understand my answer. We can see right away that the journalist goes on to say: "But finally, in the Netherlands, you, the same entrepreneur, just got a market for offshore wind turbines at a guaranteed price of 54 euros/MWh." And the journalist wonders if the support was not too generous in Belgium. This is for the article dated January 14. Now I'm going back to our Norther and Rentel parks. I would add that, in addition to the issues of legal uncertainty, what has been done has been done, especially since the European Commission had indicated that the level of aid was in line with its guidelines and did not, in its view, lead to overcompensation, which was finally confirmed in the official and favourable decision of the said European Commission of 8 December 2016. Nevertheless, the European Commission now insists - and you will see that this is of fundamental importance for the future - on the need to introduce elements of competition in these cases and to be able to take advantage of the scale effects. With a view to the negotiation which the Belgian Government must begin with the last three state concessions which will be set up in the North Sea so that, moreover, we can fulfil our obligations regarding the percentage of renewable energy in the gross final consumption of the inhabitants of this country by 2020, the CREG has carried out a more in-depth study in which, on the basis of additional information, it was able to compare the Dutch system as if it were installed in Belgium. With regard to Borssele 3 and 4, CREG took as its basis the latest figures provided by Northwester 2. It combined these figures with an estimate of the future evolution of certain parameters, which gave very surprising price ranges. I'll deliver them to you. The range ranges from €78.42 to €80.45 per megawatt/hour, taking into account the scale effect. The committee states that it is possible for parks to work closely together and proposes a second, even lower, range ranging from 62.14 to 64.14 euros per megawatt/hour. I will take this into account in the next negotiation with the three parks. And I see already - I am drawing information from the newspaper mentioned earlier by Mr Nollet - that, even if the same entrepreneurs, in the Dutch context, have levels of support that are much lower than ours (as I mentioned, of 54 euros per megawatt/hour, so still below what the CREG predicts), they invoke a lot of differences that would justify this differential amount. They say: "You know, we started our investments a long time ago, the technology was less mature. In Holland, it is a technology that is much more mature and these parks will settle by 2022/2023, while, we, we have to settle here in 2018/2019." And to plead for a review of their situation in Belgium, on a case-by-case basis. So you see that all this is going to be extremely complex again. But you will agree with me that it is not because we have to meet our renewable obligations - we will not derogate from them - that we must also make the consumer's bill increase in a senseless way. I remember what you said when we talked about the two previous Norther and Rentel parks, Mrs Lalieux, and I assume that you support me, in relation to the CREG, that the levels of support included in the new CREG assessment in relation to what is happening in Holland are the basis of the new negotiations that will allow us to reach the conclusion of the last three offshore parks, in the North Sea, in Belgium.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u77	Madam Minister, it is true that the CREG has come to give us, for three hours, explanations of its study, which is indeed well done. They did so in a very pedagogic way. They told us that, even if there were differences, they could be overturned by technological developments for the next three parks. I have always said that I support renewables, offshore wind, but I will not support the fact that people are getting rich on the backs of all consumers. This is not acceptable when a totally objective study such as that carried out by CREG is available. This question was asked when CREG came to present its study. Perhaps the government could have acted more quickly, when the first part of the CREG study was given to it in September, and reviewed the rules of support for Norther and Rentel, even if you mentioned legal certainty.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u78	Thank you, Minister, for the completeness of your answer. We have the same vision of things. Yes, we need green energy and an energy mix, but neither should the consumer be the one who pays too much. The CREG report contains a certain vision and allows us to find some solutions, and I think we are therefore moving in the right direction.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u79	Madam Minister, Thursday 9, so last Thursday, a major breakdown hit the municipalities of Schaerbeek, Saint-Josse, Brussels, Evere and Woluwe-Saint-Lambert around 10:40 p.m., affecting about 10% of Brussels' territory. Sibelga immediately reacted by trying to see what the breakdown was due to. It is not Sibelga who is responsible since it is Elia, who has had problems in a number of high voltage cabins. I would like to know the origin of this breakdown and the measures taken to prevent these events in the future. Thank you for your answers.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u80	Many Brussels citizens were plunged into the dark on Thursday evening at around 10:40 p.m. The craziest theses have been circulating on the causes of this breakdown. Professor Ernst wondered, on social media, about rumours that the blackout had been caused by a cyber attack. Various foreign media outlets, such as the Daily Mirror, have taken less precautions to announce a terrorist attack.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u81	What exactly is the situation? Technicians dispatched to the site appeared to have discovered that an explosion caused a large-scale breakdown and damaged the facilities. But what is the cause of this explosion? What is the "source reason" that triggered the phenomenon? Can we already rule out any hypothesis of cyberattack or are investigations still under way?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u82	Mr President, ladies and gentlemen, first of all I want to say that there is no indication of a terrorist attack or cyberattack. That was said – I think – quite quickly by Elia. As you have indicated, the origin of the failure is an explosion on a coupling of sets of bars in the high voltage station of Schaerbeek. This explosion caused damage causing the loss of two redundant elements. Of course, if there's no redundancy, there's nothing left. This substation, which feeds several high voltage stations in Brussels, has had a direct impact on the inhabitants of the cities of Brussels, Evere, Saint-Josse, Schaerbeek, and to a lesser extent, in the centre of Brussels. Elia's technical teams immediately went to the scene. They found that the incident had caused a lot of damage. In compliance with the safety instructions, the Elias teams ensured that after a few hours the complete power supply and a power supply to the affected areas were re-insured the following day, i.e. on 10 February at 1 a.m., within a period of 2 hours and 30 minutes. The cause of the incident is still under analysis and will take some time. The measures to be taken will, of course, depend on the exact identification of the cause of the accident. We can come back to that later.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u83	Mr President, Madam Minister, thank you for your answer. It is indeed important to know the causes of this incident so that it does not happen again. That said, even though people have been a little surprised, a 2-hour 30-minute period of time seems to me to be a relatively quick time to manage information. However, good information must also be provided on social networks in order to avoid any reference to terrorism, cyberattack, etc. In doing so, perhaps Elia should communicate through clear sources as soon as she is in possession of plausible and possible information. Indeed, it is important not to panic the population.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u84	For root causes, work is under way to clarify events. Could we agree on a modality, which we use regularly, namely that your collaborator will send us the information, once it exists, in such a way that we do not ask questions, when we know that clarification is under way? We rule out the most fanciful theses, either, but what is the origin of the event, to prevent it from happening again?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u85	In these cases, Elia always sends a technical report that includes the cause of the event. For Tournai recently, we received a technical report after a week, which told us that there was a snoop. But it took a week to find the snoop. In that case, it will last a little longer...
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u86	Madam Minister, it was not later than 15 February that the Commission of the European Union had to have decided in the case before you whether the three extended plants had received state aid. What about each of the power stations affected by the European Union decision, that is, Doel 1, Doel 2 and Tihange 1?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u87	Mr Nollet, when I answered one of your questions on the same subject earlier, I said: "around February 15". We do not use a deadline and there was no official information from the European Union, saying, as usual, "it will be such a day". It will come in the coming days. Their files are really being finalized. The 15th of February is tomorrow, that's for sure. I guess they'll need a few more days. As soon as I have the answer, count on me to make it known spontaneously!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u88	I repeat exactly what you said in committee. The calculation was made on 10 January. They said that they had filed it on such a date and that they had such a deadline. You said, "We would have an answer by the 15th of February at the latest." It's beautiful!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u89	"We'd be around at the latest!" I agree. It was so you wouldn't worry. But you will still agree with me that I do not have an imperium on the agenda of the European Commission. No one has any! It operates independently. If the answer comes in a few days, you will have to correct my "at the latest". Next time, I won't put that in my answers. I'll say, "We'll have a commission around the 15th." I'll be even more careful.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u90	Madam Chair, I did not have a reply to make with respect to the Minister's previous answer. Minister, in her January 18 edition, L'Echo said: "The cost of nuclear waste is impossible to quantify". The article stated that the official opinion of the Commission des réservations nucléaires (CPN) highlighted the enormous uncertainties regarding the amounts to be set up. Do you confirm that this indication is in the notice in question? Do you also confirm that the CPN has decided, in a rather incomprehensible manner, to retain only the "lower limit" of the estimate of the cost of geological storage? Do you then confirm that the estimate is based on the reprocessing of part of the spent fuel, although it is well known that such a scenario cannot be considered credible in the near future? Do you confirm that in this regard, the CPN has pointed out that such a scheme can no longer serve as a work programme if it does not quickly turn into an industrial scenario and that the CPN has asked Synatom to undertake "in the short term" the necessary steps to obtain authorization for the reprocessing of some of the irradiated fuels currently stored at the Doel and Tihange sites? Do you also confirm that the Commission is requesting "as soon as possible" the drafting of a scenario which takes over the concept of a storage facility and that it directs Synatom to request a prelicensing of this concept from AFCN? Do you also confirm that the extension of Tihange 1 as well as Doel 1 and 2 shortens the decommissioning schedule? How is this explained? Do you therefore confirm that this extension will entail additional costs associated with dismantling? If so, how high can these additional costs be estimated? Beyond these confirmations, what are the recommendations, conclusions and other elements to be taken from the position taken by the NPC? More transparency in Parliament would not be wrong in this area. Furthermore, do you confirm that while in 2013 the Commission already requested that the concept of geological evacuation at 200 or 220 metres in Boom clay be checked for its opportunity as a reference for the basis for calculating costs, this evaluation has not yet been carried out in 2016?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u91	I follow with my second set of questions. In Volume 2 of the comparative study of Belgian nuclear fuel management strategies, on page 19, you corrected the sentence which said that "Every three years, ONDRAF re-evaluates the future cost of the deposit". Could you tell us what motivated this change? What is the legal basis for periodicity of this assessment? When was the last evaluation? Could you give us a copy and tell us how many hundreds of millions of euros it envisages the cost of this future deposit? When is the next assessment planned?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u92	Mr President, honourable Member, it is clear that such a complex project, to be carried out in the distant future, is not easy to quantify precisely. You'll agree. Article 18 of the Act of 11 April 2003 provides that provisions must be adequate but cannot exceed the cost of dismantling and managing irradiated fissile material. There are two things that should not be confused: on the one hand, the estimation of the cost of geological storage and, on the other, the estimation of the costs of irradiated fuel management. We agree. For this estimate of the cost of geological storage, the Commission for Nuclear Supplies has used the only available baseline scenario: the scenario used for the calculation of ONDRAF tariffs up to 2018. As regards the estimation of the costs of spent fuel management, two reference scenarios were put forward by the provisioning company Synatom: a conditioning scenario for the storage of all spent fuel; and a mixed scenario in which part of the fuel would be reprocessed. The mixed scenario was used for the calculation of provisions because it is a higher envelope cost which therefore covers the scenarios presented by Synatom. The highest, which is reassuring, has been chosen for estimating the costs of irradiated fuel management.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u93	On the fuel cost side, you take the highest. My question was about the other one.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u94	There's only one scenario. The evaluation runs until 2018, because the calculations, as you know, are reviewed regularly (normally every three years). And, I will come to that later, you know well that the Nuclear Supplies Commission has stated that if there is a significant change in the discount rate, it will take different changes from the discount rate before the deadline expires. So here we are quite comfortable. And in the case of geological storage, there is only one scenario, on which the calculations were made. In 2016, the Commission on Nuclear Supplies expressed the wish to move from baseline scenarios to industrial scenarios, both for ONDRAF and for Synatom. The Commission recalled that Synatom should consider whether or not to implement a possible reprocessing decision it would take. It is in this desire to industrialize the scenarios presented to it that we must understand the Commission's request to translate the design of the storage buildings into a pre-licensing by AFCN. As you know, the timetable for the end of the operation of nuclear power plants has been changed, resulting in a change in the decommissioning schedule. Several reactors will be dismantled at the same time. According to Electrabel, this would reduce the total duration of this dismantling. In financial terms, some costs are increasing, because several activities will have to be carried out in parallel. Other costs will decrease due to a scale effect. The Nuclear Supplies Commission will make its annual report to me and I will make it available to Parliament; 2016 will therefore be no exception It is correct that the assessment of the 200- or 220-metre geological evacuation concept in Boom clay is not dated from yesterday. In 2015, the ONDRAF forwarded a proposal for a national policy for the long-term management of waste B and C to the Ministers with Energy and Economy in their responsibilities. Following an analysis of this issue, the Ministers requested, in 2016, that an amended proposal for a national policy for the long-term management of waste B and C be forwarded to them. You know what conditions I'm still waiting for ONDRAF's board of directors to return, I won't come back to that. You know that the Commission on Nuclear Supplies, which has given itself the opportunity to review nuclear supplies if new major elements are brought to its notice, will re-evaluate nuclear supplies in compliance with the 2003 law in 2018. With regard to your second question, the answer is that there is no legal basis that would require ONDRAF to re-evaluate the cost estimate of its baseline scenario according to a specified schedule or periodicity. ONDRAF re-evaluates this estimate based on the progress of its R & D studies and its agreements with producers. My administration found the phrase mentioned in your question unclear and amended it. This change was clearly indicated in an erratum.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u95	[[...]]
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u96	No, that's it. Given the project, my administration found that there was a lack of clarity and we modified it. It's the erratum. It should be noted that Article 16 of the Royal Decree of 30 March 1981 provides that the calculation of charges to cover the cost of storing and storing waste shall be revised at least every five years. This calculation is based on the reference scenario determined by ONDRAF. The last assessment of the ONDRAF baseline was made in December 2013. It is described in ONDRAF with the reference NIROND-TR 2013-04 E entitled "Cost evaluation of geological disposal of category B&C was for the long term fund". I invite the honourable Member to speak directly to ONDRAF to consult this technical report. In this report, you will see that ONDRAF estimates the cost of joint geological repository B and C, including contingency margin, at €3,200 million in value 2013. The ONDRAF is currently working on an update of the reference design of the geological repository and on an assessment of the cost of a new baseline scenario based on this new design, in accordance with the conventions adopted under the current law.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u97	Minister, starting from the last point, the last figure is from December 2013. It takes one every five years, so it is expected that there will be one by December 2018. In this context, ONDRAF will have specified its model and the figure will certainly have increased. But the question is also related to depth. For the time being, ONDRAF has identified two scenarios for waste management, but only one scenario is used for landfilling. I consider that taking the lowest-cost scenario, which is not guaranteed at all, since it is 200 metres away and no one operates at 200 metres deep and the others are 500 metres deep, is to take a financial risk when we reach a deadline, namely the end of nuclear power, i.e. the end of the ability to report on consumers' bills and ENGIE Electrabel's ability to finance, as appropriate, the nuclear supply fund which will have to serve the day when we have defined no longer a project, but the real waste location project. I am therefore critical of the method. It doesn't matter what the numbers are. I understand that there is a $3.2 billion issue, which will be subject to evaluation in December 2018. I am critical of the method as we work with the lowest cost when there are several options and we could opt not for the most expensive option, but for the one that lies between the two. From a financial point of view, Belgium takes a huge risk by not supplying enough. The CPN has just reviewed the discount rate. You talked about it. You probably remember the study carried out by ecologists. This has led to a review of the so-called lower rate. There are 1.8 billion or 1.9 billion. I don't remember the exact amount anymore, but it's in that order.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u98	Neither do I.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u99	If we take assumptions other than the current one (boom clay at 200 metres depth for the landfill project), the cost difference will be even greater than 1.8 or 1.9 billion. Why? Because the cost varies roughly with the square of the depth. The risk is that in 2025, we are unable to postpone this cost. Why? The 2011 round tables, initiated by Mr. Wathelet, had already highlighted this. Because the legal framework for the financing of dismantling is not at present sufficient to refer to the parent company. I invite you to continue working – I know that groups should have already completed their work, but this is not the case – so that the legal framework can be consolidated, so that it can be financed by those who have benefited for years from the benefits of nuclear power production. In my view, there is a real problem in the fact that for storage - not for management - only the minimum cost is taken into account. I hear, Madam Minister, what you are saying about the CNP's report, transparency, but to my knowledge, it already exists because the press has mentioned it. So I guess we'll get it. You're talking about transparency, but the press has made a synthesis of it. In fact, I asked my question on the basis of the synthesis that the press has made of it. I have the article from L'Echo. This report, in your opinion, dates back to 2016 and I therefore do not understand why it is not yet made public. It may be a mistake on my part but I read in your answer that it was not yet!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u100	(...) each year the previous year's report to Parliament, as required by law.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u101	I think we are not talking about the same report. I see what you're referring to. We had a discussion about that. There was a delay in the first two years, there is no longer one this year. But we're not talking about the same report.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u102	The question is whether this annual report is already closed. I'll ask the question. This may take a little time for formal issues. As soon as I have it, I'll make it available. That makes sense to me. And as I say very well, 2016 will be no exception in this regard.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u103	It is already public since you pass on the main elements to me. I don't have everything, you only give me the encryption.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u104	I don't know if it's already public, I'll give you the main elements.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u105	It already exists, I said it was already adopted. I didn't say it was public. Since I'm trying to find out if...
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u106	I'll check it out.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u107	Minister, in an interview with the newspaper Le Soir on January 14, you again caused trouble as to whether or not you wanted to extend the nuclear power plants after 2025. I'm talking about your will as Minister of Energy, not that of the government. I quote the summary of the journalists who asked you: "For the moment, it's still pretty blurry. Maybe new gas-fired power plants. Maybe a new nuclear power plant. Minister Marghem does not rule out anything." Do you confirm this information? Do you confirm that, for you, the construction of a new nuclear power plant or the extension of existing power plants beyond 2025 remains a valid option? Actors are fully aware that you do not decide alone, but they need to know what their federal energy minister thinks. This request seems perfectly legitimate to me. Once and for all, can you exclude this option? Or are you going to leave us in the dark as the journalists who attended your conference reported in their respective publications?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u108	Mr Nollet, there were two journalists, but it was not "their respective newspapers", since they worked for only one, namely Le Soir. The two interested, called Xavier Counselasse and Bernard Demonty, asked me about a series of topics. The interview was recorded. So, we can find the exact sentences. I remember being asked about the energy pact and the energy mix of the future. I did not check the accuracy of the synthesis you mentioned in your question. On the other hand, I can say that since one of the two journalists was particularly interested - and for a long time - in nuclear power, whenever he asked me about it, I was trying to make a bit of humor with him by saying: "We know that you are not interested in nuclear power. We are not here to talk only about this theme. Probably we need to talk about something else." So, what I was getting out of the door, he was bringing him back out the window. I then added: "The energy mix of the future is not my decision. This decision will be taken by the three Regions and the federal government." It was a way of kicking. I said, but I don't know if this has been transcribed, that the government - and I repeat it - provided in its agreement that the exit of nuclear power would take place as provided for in the 2003 law, namely in 2025, and that the construction of a nuclear power plant - because it was the subject of the journalist's question - was much more hypothetical and was not included in the government agreement. I can't say better. It's a way of answering him and kicking him by saying: "I would like to hear about the construction of a new nuclear power plant, since that was your question, but anyway, the energy mix of the future is the energy pact, and it is the decision of the Regions and the federal government. But the federal government's agreement provides that nuclear power will be released in 2025." That's what I said.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u109	You keep the blur, maybe unintentionally, but it's always that you do it.
