ParlaMint-HR_2012-07-10-0.u6085	I see a hand in the air, a respected representative. Here you go.
ParlaMint-HR_2012-07-10-0.u12771	Thank you very much, Mr. Vice President, ladies and gentlemen. Concerning about the overall liquidity in the Croatian economy, the legal uncertainty of creditors and investors with regard to the collection of their claims, the length of bankruptcy procedures, low capitalisation, i.e. the poor financial structure of companies with a high share of interest leads to financial burdens and a low investment base of companies, which is a fundamental problem in achieving economic growth and new employment. ... The data on liquidity since the end of 2008 were 18.5 billion kuna in 2009 at the end of 17.1 billion kuna, end 2010. 35.8 billion kuna, end of 2011. The 41.7 billion kuna and the latest data preliminary with the 6th month of 2012 are 43.9 billion kuna. [[The speaker doesn't understand.]] So 600 million kunas less than the last time we announced the state of May 31st where there were about 44.5 billion kunas. These data show that only over 23 billion kunas increased in a 4-year period. The number of insolvency business entities from 2008 to today has increased from 52,000 to more than 74 thousand insolvency business entities. The problem of liquidity is even more worrying if its structure is looked at because the amount of unexploited payment bases for more than a year is more than 36 billion kuna or over 80% of total blockades, which raises the question of its profitability, i.e. consolidation through a new regulatory one. High liquidity failed to resolve bankruptcy procedures because according to data available at the moment 89 bankruptcy procedures in the Republic of Croatia last longer than 10 years, 166 procedures last longer than 5 years, and 287 lasts longer than 3 years. According to the World Bank study – Doing business – in the category of speed and ease of implementation of the bankruptcy procedure Croatia takes an infamous 94th place out of 183 countries, where Albania is 64th, Hungary 66th, Slovakia 35th. Croatia is worse than the average of Eastern Europe and Central Asia countries. The study says we only charge about 30% of our claims. Also, one of the problems of entrepreneurs in the Republic of Croatia is the low capitalisation of the same, which certainly affects the financial instability of the real sector and represents a significant limit for further investment, growth and employment. The capitalisation of Croatian companies in the past 10 years has dropped from 56% in 2001 to only 34% in 2011. The poor financial structure is seen in increasing credit debt to banks. The aggregated increase was from 208 billion to 223. So, credit debts have increased with banks by 15 billion kuna or around 2 billion euros, there has been an increase in interest costs since 2010 from 15.3 billion kuna to 16 billion kuna for the amount of Croatian entrepreneurs paid interest in 2011. This leads to smaller investments falling from 2010 to 2011 from €37.3 billion to €32.9 billion in 2011. These data relate to the aggregated balance sheet of those entrepreneurs who submitted the Annual Financial Report for 2011, i.e. 98 000 and 530. All of these above liquidity problems, over-indebtedness, low capitalisation, financial burdens on interest, disinvestment point to a difficult situation in the Croatian economy and constitute the main reasons for the proposal of the new Financial Business Act and the pre-profit settlement. As the main objectives to achieve this law are to enable entrepreneurs to restructure liquidity and insolvency, to increase capitalisation by converting demand into a share of capital, to reduce the financial burden of interest, to strengthen businesses for new investment cycles, to increase the value of the debtor's assets, to acquire assets of the debtor regularly sold below the real price, to increase the level of responsibility of administration towards creditors, to preserve jobs, to ensure equal treatment of creditors in the same position towards the debtor. Then, avoiding long-term and expensive court proceedings and through an administrative procedure that is faster and more cost-effective started on the initiative of debtors without distortion and termination of business. The main feature of the new law is that the pre-departure procedure is conducted through an administrative procedure which is controlled and supervised by the settlement council and has a deadline for the execution of 120 days. It is solely based on the voluntary will of the debtors and creditors who adopt the new restructuring financial plan within the deadlines set with the opinion of the auditors and the control of the Commissioners of the settlement. The measures provided for in the Financial Plan for restructuring would include a reduction or delay of the due debt obligations, a capital increase in underlying capital, a payment in wars, a change in maturity periods, interest rates or other credit conditions, loans or other claims or instruments of insurance, a cashing or transfer of assets in order to settle demand, a discharge of debt, a write-off of interest, a change in interest rates, an execution of changes or a waiver of the right to grant additional funds by the debtor or third parties, including the provision of guarantees or guarantees. Turning trustees into capital, connecting entrepreneurship contracts with a strategic partner for the sustainability of business creation, and recapitalisation by strategic partners. In particular, the law sets out payment deadlines between entrepreneurs, and between entrepreneurs and public rights persons. A contract between entrepreneurs may set a period of up to 60 days, and if a contract between entrepreneurs does not set a deadline for the fulfilment of monetary obligations, the debtor shall be obliged without the need for the creditor to invite him to fulfil the monetary obligation within 30 days. Exceptionally, a longer period may be agreed to fulfil the cash obligation in the case of a commercial credit, provided that the debtor is in a monetary obligation, that the debtor has issued a cash liability to the creditor, and the means of insurance of the demand that has the effect of the executive instrument, which in no way may be longer than 360 days. The contract between entrepreneurs and public-law persons in which a public-law person is a debtor of a monetary obligation may set a deadline for the fulfilment of a monetary obligation for up to 30 days. Exceptionally, a longer period may be agreed to fulfil the monetary obligation, but no longer than 60 days. The application of that Regulation and the amendment shall mean the application of that regulatory requirement and the modification of other regulations, such as the bankruptcy law, in which the reshuffle provision is to be deleted. The Act on the acquisition of shares based on the acquisition of shares in the pre-demand settlement procedure does not create an obligation to take over the company. By law, we need to amend the Credit Institutions Act where the preconditions for limiting bank investment are changed. Moreover, the Act on Commercial Companies where the obligation of the Administration to launch a pre-demand settlement is to be imposed, and the Law on the time limits for the fulfilment of the monetary obligations to be imposed, since the deadlines for commitments are defined in this Act. One of the problems, monitoring the liquidity and business of the overall economy, is a large number of financial reports that are not submitted to the financial agency, although there is a legal obligation. There are already some steps that should definitely be accelerated and controlled. A list of, now look out for 37 803 entrepreneurs who have not submitted annual financial reports in a row from 2008 to 2010, or 3 years in a row, and have been subject to official clearance procedures. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The law on the court register. Of the total list created, it means 37,803 entrepreneurs, 24,248 entrepreneurs have no unexplored basis for payment, while 13,555 entrepreneurs have a total blockade of 8.6 billion kuna. Now I have tried ultimately to sum up the steps, in which way we would try to solve the accumulated problems of indifference, which I have said how they create problems in the economy. First, it means deleting from the registers of those entrepreneurs who have not submitted the annual financial report for the last 3 years and have not been blocked. Secondly, the removal from the register of those entrepreneurs who have not submitted an annual financial report in the last 3 years, and have been blocked in the total amount of 8.6 billion kuna. Third, a list was created, on 31.05.2012, of 26 650 legal persons who have no employees and have been blocked for more than 60 days, by a total blockade of 19.8 billion kuna. In other words, they meet the conditions for a shortened bankruptcy procedure. Since the financial agency is leading an eyewitness to the order of execution, we will propose that FINA submit applications to the competent trade courts for the launch of reduced bankruptcy proceedings with the exemption from the obligation to pay court fees. Since those for whom the court lays down criteria for the shortened bankruptcy procedure are to be decided on the opening and closing of proceedings, the FINA shall then register their bases and return them to the executives. For about 9 650 legal entities, which have been blocked for more than 60 days, which have 30 198 employees and not made commitments, of 14.9 million kuna, consolidation will be attempted through new legislation. Also, the same will try to be done for those companies, which employ 13 000 workers and are in short-term blockade, means up to 60 days worth 2.1 billion kuna. Dear gentlemen, you can see parliamentary representatives, given this information that I've presented from 37 800 entrepreneurs who need to make a request to delete from the register. What kind of business is in front of us? So we tried to select them in the way that we try to introduce discipline and who registers the annual financial reports and the code, means through shortened bankruptcy procedures, actually try to wipe out, or close down bankruptcy for those companies that don't have employees. But unfortunately, this alarming data that speaks of a large number of non-equitable companies that have no employees and have no property. We are going back to that question of the General Tax Law and the breach of legal personality. And the question arises, how could this kind of debt happen, and now you see a whole story that we're trying to round up with this general tax law and this resolution of indivisibility. That it's a mosaic cube, and it means that they have to intertwine in order to solve it, so that they can solve this indifference problem. So, by this law, we know that it is a new practice that we introduce to the Croatian market. We tried to apply best practice both from the Slovenian law and from the American laws. I know that, that she's been public enough, let's just say screams, that this is anti-entrepreneurial law. However, we must have some mechanisms, we must be responsible, we must try to introduce order, or actually see, what are these companies that operate in the state by law and give them a breath, in fact that they can operate normally and that they can be competitive, and especially when Croatia enters the European Union. Thank you.
ParlaMint-HR_2012-07-10-0.u12772	Thank you, Your Honor, Minister. Do the rapporteurs of Parliament's working bodies want to take the floor? No, I don't. I'm opening a debate. The debate begins with clubs in the Croatian Parliament. The first club is the SDP club and Drazenko Pandek, a respected representative. Here you go.
ParlaMint-HR_2012-07-10-0.u12773	I would like to thank the esteemed Vice-President of the Croatian Parliament, the esteemed Deputy Minister with an associate, distinguished colleagues and fellow MPs. Introductoryly, I would point out that the SDP club supports the proposal of the Financial Business Act and... Indeed, the current situation, in terms of the conduct of bankruptcy proceedings, indicates the need for a more effective and effective legal framework to address the problem of accumulated indifference. [[The speaker doesn't understand.]] As already stated in 2011, there were over 70,000 legal persons with blocked accounts, and even more than 55,000 business entities were blocked for more than 360 days. Individibility thus reached a record of 5.3 billion euros and every day nearly 50 entrepreneurs went into a blockade. On the other hand, the inflow of bankruptcy cases according to the High Court of Commerce data was not even close to those figures. These facts indicate that the system of bankruptcy measures prescribed by the bankruptcy law aimed at, among other things, at least partial collection of the credentials' claims and the removal from the economic life of those business entities who, due to over-indebtedness or inability to pay, cannot operate or re-establish them for the purpose of continuing business, does not function in the manner that the adoption of the bankruptcy law was intended. These figures point to the fact that the administrations of the company did not respect the provision of a bankruptcy law requiring the opening of a bankruptcy procedure within 21 days of the creation of the insolvency payment in which the conditions were created so I would say the insolvency infection continues to spread in the economic system to these record figures. The figure also points to passive behaviours of creditors who, before and after the bankruptcy proceedings, have not shown enough initiative to quickly make key decisions that would lead to a faster resolution of the insolvency situation. And in cases where bankruptcy was launched, it was observed that a large number of bankruptcy proceedings took an extremely long time to be seen in relevant international studies and the bankruptcy procedure that was launched on average resulted in only 30% of the credentials being sought by the deputy minister. Furthermore, the continuation of business after bankruptcy was rather an exception than a rule. The bankruptcy generally meant the termination of the business of society, the shut-down of activities and the lay-off of workers. I think that we can all agree on the social need for as many business entities as possible to be able to overcome the difficulties caused by the current problems in the business caused by the crisis or perhaps by a business policy that has proved to be wrong and the very core of businesses itself is still healthy and allows for the proper restructuring of the continuation of business. We therefore welcome the measures which will allow this law to proceed faster and more effectively on the initiative of the debtors and ultimately which will allow entrepreneurs to continue their business. We believe that this complex system of opening up the pre-price settlement procedures will significantly contribute to addressing the problem of insolvency and insolvency, and will encourage greater caution from the responsible persons of entrepreneurs in preventing such a situation that would lead to company indifference and even greater involvement of creditors in order to address such situations. Including including inclusion in the ownership structure of company debtors, which so far has also been a rare case, we have had cases that from the state as a shareholder of shares or shares to be included in the ownership structure and such engagement at the level of eligible persons that the creditors had failed. This will be as we consider to be achieved in the first order... the sanctions therefore provided for here in the event of the failure to take mandatory actions by debtors prescribed by this proposal but also by the short prescribed deadlines for the conduct of both parties and the competent authorities. No less important, we believe that in the pre-demand settlement procedures, workers' rights will be significantly more protected than they have been in bankruptcy proceedings so far. We therefore particularly welcome the provision of Article 15, which is described as being considered inequitable if more than 30 days are late with the payment of salaries for workers as well as the payment of the corresponding taxes and contributions. Although we can expect significant remarks on this provision, we believe that it should certainly be kept because workers do not participate in the profits of the company, workers' salaries are the cost of doing business, I would say, with a human face. And the introduction of this provision significantly in our opinion strengthens the position of workers in relation to the situation so far and especially the practice of bankruptcy. In the act relating to the fulfilment of monetary obligations, this proposal for a law constitutes an upgrade to the Law on the deadlines for the fulfilment of monetary obligations, which makes it part of the provision of special compensation for the costs incurred by the debtor by the delay in fulfilling the monetary obligation, and of allowing the withdrawal of the claim to determine the integrity of the contract between entrepreneurs, therefore, both chambers and interest associations of entrepreneurs and legal persons engaged in the protection of the collective interests of creditors and monetary liabilities. These provisions are true for harmonisation with the EU acquis but we are confident that it will contribute to preventing the use of a more favourable position by the stronger party in a contractual relationship. So it is obvious that in the EU, and not only in our country, there is a strong need to protect the weaker contracting party, the small supplier who, for example, supplies certain goods and services to large corporations and which is in a significantly more unfavourable position than that of a large corporation operating with another such corporation. It is obvious that these proposed laws will allow for greater protection of such smaller parties in a contractual relationship. I repeat, therefore, the SDP supports the adoption of this law. He thinks he's well thought out and structured. Thank you.
ParlaMint-HR_2012-07-10-0.u12774	Thank you, Your Honor. Next is the club HSU and respected representative Silvano Hrelja. Here you go, Your Honor.
ParlaMint-HR_2012-07-10-0.u12775	Your Honor, Mr. Vice President, Mr. Deputy Minister with an assistant, a colleague and a colleague. The HSU Club certainly welcomes the proposal of this Financial Business Act and the pre-departure settlement, and we must argue that human beings are the best-quality kind of mind because if only they had something like this there in 2000 and perhaps even before, one part of the economic operators would retain their economic activity and not be sold out in bankruptcy. In fact, by 1991, as long as bankruptcy was being conducted in the former state, we had bankruptcys that were exclusively aimed at saving a creditor, meaning saving production, saving activities or keeping jobs. By reorientating to the market economy, we have completely reversed the system, so we have given protection not to those who work but to those who lend money to work. So we have completely turned our attention and we have protected virtually those who have a stronger position in relation to the debtor-religious or labour and the financial sector. In essence, we should have had the legislative framework that evened those two positions did not favour one or the other structure. I'm sure the days Istra would probably be big-traded in Pula, that Pazinka would still work not likely with 1700, not likely with 700 employees, but a few hundred employees would still work there. I'm sure the claims could have turned very much into ownership stakes in Laguna commerciale in Poreč, not that the owner and director committed suicide and then got there, Konzum. So, a lack of this law, believe me, has caused some human fates that aren't very bright. I have called on the instrument of pre-profit settlements for nine years since I was in the Croatian Parliament and not any pre-profit settlements, but I call on the instrument of compulsory pre-profit settlements, not because Slovenians have it, but because it has proved to be an effective mechanism for protection of the debtor, protection of jobs and preservation of activities. This is no ordinary law, it's called the Financial Business Bill Proposal and Pre-bank settlement, but it's actually a mini bankruptcy law. So much more operational than it is to conduct bankruptcy proceedings in front of a commercial court because it directs, here some cards are still missing, something missing, I'll talk about it later, but it allows for the sale of assets of a creditor which was usually a dominant solution in the conduct of bankruptcy proceedings so far. Therefore, the creditors were exclusively focused on the settlement of their claims through the sale of assets of a creditor. For them, for human destiny, jobs didn't hurt a lot so far. It's a very heartless system. What we're bringing now, therefore, is a pre-demand settlement, regardless of what it is at this point voluntary, but that position is still being fixed, giving us a new opportunity to save a default debtor because we are now faced with a position that is so difficult to open a job. It makes sense, then, that as a society, we focus on every job we can save. Of course, it can't work on the system with one measure, in a straight line. It's all a system of closed circuits, it all has to be a closed circle. Look, there's a principle of volunteering for a pre-determined settlement here. She's not in herself too motivated. If something else were to be done in bankruptcy laws, but if someone had entered into changes and complemented the bankruptcy law, that one who avoids a pre-demand settlement and is solely motivated to cash his claims through the sale of assets, that he would lose payment orders, that he would lose the status of a different believer, a mortgage believer, a fiduciary believer, so all these mechanisms that give him priority over others, that in case he would not use a pre-demand settlement that is objective, real, open offer to save a creditor, that he would then lose his priorities in charge. You lawyers who are here in the House, look at how much this is possible, but I think it's possible because we're motivated by only one, and that's a benefit to our citizens, or to keep our jobs. I'm saying if it could be installed, I'm sure this would be far more effective than it is right now. We won't achieve anything with some penalties, if someone misses something, but you know when someone's interest is threatened because that bank has some rules of play, and that financial institution has some game rules, and when someone tells them you can lose a little because if you insist, because your risk is also that you borrowed money from that and that activity, so you had to see in time whether it can be returned or not, if you're not willing to lose a little bit of money, you're not going to charge everything at the expense of losing your job and liquidating a creditor. So I think that in this sense we should close the circle to come up with a whole, and always giving priority to what is more politically important. For us at this point and it was always just that we ignored it, it was always more politically important to keep the jobs and keep the activities, if we think long-term. However, I allow laws to be passed here under the influence of all kinds of policies, therefore it is time behind us, but it is time to turn around. I repeat, it is good that although this law bears the label of the PZE, thus harmonising with the acquis, it is good that the exception is made that it is in the first reading, that indeed one more look at which all the laws governing this area can be networked with one single goal to save as many bankruptcy debtors as possible because of the state's budget and local budgets, of these jobs, and to help them, and not only to go in favour of the one who gives money for production on very rigorous criteria, i.e. multiple insurance for money, and no insurance for people. Therefore, I would like to welcome in front of HSU this law, this kind of attempt, and I hope that by the second reading it will be networked with other laws, primarily with the bankruptcy law governing this area. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12776	Thank you very much. On behalf of the club Croatian Labourist-Stranka Rada Nikola Vuljanić. Here you go, buddy.
ParlaMint-HR_2012-07-10-0.u12777	Thank you, Mr. Vice President. My colleagues and colleagues. The aim of this law is to make bankruptcy proceedings in Croatia the way the world knows them. Namely, the word bankruptcy is neither exasperated nor a terrible word in Western democracies, bankruptcy happens all the time. The bankruptcy means changing the ownership structure, so someone else has taken over the company, but the company continues to operate. We've had our bankruptcys mostly liquidated so far. When the bankruptcy was something other than the case with Pevec, for example where the bankruptcy manager... You managed to make this out of bankruptcy. [[The speaker doesn't understand.]] He doesn't need a pre-determined settlement, because he's been bankrupt so that bankruptcy should be conducted. Then that bankruptcy is an attraction. All Croatian newspapers wrote about it as an attraction. Look, imagine the bankruptcy, and the company didn't fail, so it didn't fail because the man normally arranged the bankruptcy. In the 1990s, there was a bankruptcy strategy that worked in this country for 20 and a few years. The recipe is simple, it has a few stages. The first stage is to take the Kuna company to two corners of political power, based on force, physical forces sometimes based on fraud, the foundation of thieving. The second phase sucks out the trade capital. A company that has trade capital, so you can't lead it to bankruptcy. So suck it out, suck it out with fake contracts, suck it out with jobs that are by definition clear that it leads to ruin and so forth. When the company no longer has bankruptcy capital, it is mature for further proceedings. The next step is the stock sale. I remember a company in Karlovac, DIP Karlovac, when you enter the Karlovac faster road on the left was there today, the shopping chains are a huge stake warehouse, a kilometer of log from a mile away. A gentleman on the run, Gucic took over the company just like this for the kuna. Those stakes were planned within the time limit. In a week, no more bets. In stock, so we sold out the supplies. They also sell out what little finished products they were. After that, the next phase is a debt of real estate, a loan for anything that you will naturally withdraw to some of your private accounts, so you can mortgage the property. After that, the situation is clear. You're insolvent, you're insolvent, you're in debt, you're in bankruptcy. The bankruptcy means the sale in that case. First, these properties that are in charge are sold out, and then the machines go on a remont or get lost. At the end of the ballad, office furniture, wall paintings, carpets, etc. is sold. The only thing that stays in that company is the workers. They stay. The company's shutting down and they're on the road. That's exactly how 1200 people ended up on the road. What's going on as the last phase? The same presence is well seen throughout Croatia. It's where malls are built. It starts with Konzum, then Mercator, then Bill, who already are. And today in Karlovac on the left side of the fast road you can see a 6.7 piece in the place where there was this and another factory. Well, I guess that's over now. That kind of bankruptcy is probably not going to happen anymore. This law is actually a good piece of bankruptcy law, that positive piece of the bankruptcy law, and so the bankruptcy law should look regardless now in for one solution that may be better formulated, another that may be inconclusive. It's all to be fixed. But the basic idea is, let's never do this kind of bankruptcy again. This Regulation shall enter I don't know if I get it right. It seems to me that Article 18 states that a pre-demand settlement is mandatory in a situation where liquidity and insolvency are not established. Within 30 days it is necessary to initiate the pre-demand settlement procedure. If it's mandatory it's a good thing it's mandatory, because the optional situation we've actually had right now. No one had to go into liquidation, had to go into bankruptcy if he was able to convince the believers to take over his company, so the debts turned into equity. If it's an obligation to proceed with this procedure now, then it's a good thing and it could give, I think it's a smart result. Article 26 speaks about where these pre-determined settlements are conducted and say that if the amount concerned is more than 5 million kuna, the regional centre of Zagreb is the only one in charge. I don't know if that's a good solution. So companies are most often and these obligations are most often more than 5 million kunas. I don't know why to do extra expenses to someone from Dubrovnik or Split. There's no money anyway, he's in a jam anyway. Why do not we do an additional cost for him, why not exist in Croatia let's say at least 4 such regional centres, for example Split, Rijeka, Zagreb and Osijek, so that regional Croatia is divided so that people don't have to travel if it's more than five million kunas across the country. Article 34 states that in paragraph 4, FINA is obliged to submit a proposal for the opening of a bankruptcy procedure if this pre-demand settlement is suspended. And there are reasons for opening the bankruptcy proceedings. All right, let FINA do that, and what with the obligation of the present management obligation and the bankruptcy law under the threat of criminal responsibility was required to launch bankruptcy. They didn't do it, some were reported, some weren't. Some of them were responsible for it, some of them weren't. What about their responsibility now? Whether or not it is downloaded by the fact that FINA assumes that obligation. Another interesting point in Article 78 discusses the revision of the search at the beginning of the procedure. A breakthrough is a useful instrument. In 2000, if you remember, the finance minister prescribed a general breakthrough in Croatia. In this way, indifference reduced by a significant percentage and brought things to normal functioning within a few months, 6, 7, 8 months. I don't know why the Ministry of Finance today is not bound by this law, why the Ministry of Finance can't think about such a procedure today. I think he'd be useful. At the very least, it would be helpful to see who is obliged to see the beginning, to see who started the indifference chain, and then focus attention on it. Because most of these people in the chain aren't guilty. They flew in, but someone's at the beginning of that chain, and a disguise could establish that. It's too bad there's no time to think about it as an instrument actually reducing indifference. And all these repressive measures you have to pay in 30 days, you have to pay in 60 days to get them past the dirty water in the sewers and a good number of kids you know, a good number of those who aren't guilty of the situation. And maybe you could save them. And as the Deputy Minister said, every job is important to us and we can't afford to behave differently today. All in all, the Croatian Labour Club thinks this is a useful law, which I hope will improve by the second reading. And that's actually what we need from the executive law and why we're interested. This law, this law, seems to me to defend those we talked about yesterday night, defend those who are in debt and who we are actually obliged to take care of. It's our job. And less of those who profit from these cloudy situations. Thank you.
ParlaMint-HR_2012-07-10-0.u12778	Thank you, too. On behalf of the HDSSB club Zoran Vinkovic. Here you go, buddy.
ParlaMint-HR_2012-07-10-0.u12779	Mr. Vice President, Deputy Director of the IRS. The HDSSB club will support this, as someone has said, a small bankruptcy law, but it really requires this to be a mandatory pre-demand settlement in order to really reduce even though the very intensity of the law is to set up a mandatory pre-demand settlement, but I believe that this should be contained in any case. Indeed, if the main objectives of this law are to enable entrepreneurs to be restructured financially, to increase the level of responsibility of the company's management towards creditors, to increase the value of the debtor's assets, to reduce the share of the loan by converting the demand into capital, to preserve jobs, to ensure equal treatment of creditors in the same position as the debtor, to make the administrative procedure faster, more efficient, to reduce costs, to secure the existing rights of creditors and to establish clear rules for determining the order of payment of the claim in any case, we believe that this law should be supported. But also in the practice of the bankruptcy process itself, and we are witnessing that in a whole series of bankruptcy proceedings that led the workers were not in the first payment order but ended up on the street, on a road without any property in the company, in a company with lost shares, failed shares where the entire families ended up on the street, where they practically lost all their private property, so as company workers to survive after losing their jobs should certainly just be in that and the law defined the first payment order. And we now believe that this binding form enables workers to do so, and not just as it has been in most bankruptcy proceedings where banks that make extra profits have just been settled. I remind you that these main objectives are often as apostrophe and in other laws that have led, among other things, to this difficult situation in the economy, and not wanting so much to return to the past, almost one majority or 90% of bankruptcys and the entire long-term bankruptcy process goes back to the time of conversion and privatisation. And no one in Croatia can say thank God no one is punished for this conversion and privatisation, on the contrary we ask that crime in conversion and privatisation, and that crime itself in the conversion and privatisation of the law is defined not to require both the outdated HDSSB club and the greater efficiency of the work of the State's Attorney's Office, the more effective of the competent institutions, in order to precisely bring criminals from the conversion and privatisation to justice. Not wanting to enter what was done and promised before 2000 and what was done from 2003 to 2012. However, by looking at this law, it should certainly be said for this speaker and certain things that in most cases, therefore, in companies especially at this recent time or in the last three years one of the biggest debtors, therefore it is necessary to separate these situations, that one of the biggest debtors is especially in the companies that have been engaged in the construction of the state, or state-owned company. Not to mention the whole series of criminal activities, and the Javaluke that took place in these companies, in which the majority is owned by state or are 100% state-owned. Where the administrations, the Supervisory Boards, were, not to be angry with the Licens or that someone once again did not think that I might be insulting anyone by my place of origin, were protected as lyrical bears. Where a whole series, therefore, has led to the fact that many of the companies in construction that were working on the construction of the highway have just entered indifference and withdrawn with them a number of companies just for the purpose of not paying the state. But the deputy minister said that there is a huge job in front of the ministry, primarily an official job relating to tens and tens of thousands of companies without employees, without property, but which have huge responsibilities. The open question arises as to who allowed such companies to operate, who gave such companies loans, which were the banks that had no assets, no employees, and even without a responsible person, without a director, giving more millions of dollars? And that's why it wasn't at all, was a controversial announcement of a debtor who was tied to a tax debt, which fell, so in the first three months, but when they mostly paid for it, companies that did their job fairly. So here I would ask the Ministry of Finance and the Tax Administration to get to know the general public what happened to those huge taxpayers for the tax debt, whether they still exist as companies, whether a bankruptcy was probably carried out by an emergency procedure and what was actually the possibility of a collection. Because I no longer see the Minister of Finance, but neither does the Director of the Tax Administration speak with such enthusiasm about the great successes of paying the tax debt. One of the biggest debtors is, as I said, state-owned companies, but that's where the state helps. First of all, through the possibility and decisions of the Government of the Republic of Croatia which confirms in some cases the majority in the Croatian Parliament from price increases to short-term, long-term loans, i.e. new borrowing. The state is being resolved, and as a colleague from the SDP said, very often entrepreneurs show workers as a cost. However, what will happen to all these workers and excess workers in Croatia, in Croatian forests, in Croatian waters, in the State Administration, etc., how will we explain to them that they are excess and that they are actually a cost for the state budget. So that one false hypocrite and that attitude toward the workers really can't go away in this case. On the other hand, this is only one law that allows one increase and a level of responsibility, but I would also say the termination of one practice that lasted, if normal law is applied to all alike, the practice that led to a 10-year bankruptcy procedure. However, in order to prevent certain companies from coming, especially those large, from entering the bankruptcy process. In any case, we must as the Republic of Croatia, but I would say, the people's government, which most citizens have given trust to do something and to increase economic activity in the Republic of Croatia, not that this economic activity from month to month falls and comes to the lowest branches. So I believe that we will come very quickly with these measures of the Government of the Republic of Croatia to the first five-year-old in 45 years, when the former state came out of the war. And that reminds me of how this country is run. There's a one-off drop in industrial production. And I would like the Ministry of Finance to show the Croatian public the effects on the economy by increasing VAT from 23% to 25%, with a mandatory bankruptcy settlement. Because it is impossible that this increase has affected the level of economic activity and the increase in industrial production. He would also ask the Government of the Republic of Croatia and the Prime Minister to prove, therefore, to Croatian citizens that the increase in electricity, gas, fuel energy, the increase in excise duties affected the increase in economic activity, industrial production and job creation. To this extent, I certainly do not count public works, which, and for them, there is less and less money in the state budget, can, by example, confirm in the local self-government unit, where almost 150 workers are currently rejected through the public works programme. So, I will also remind you at the very end, therefore, with the adoption of this law, that in any case this law must also be tied to the general bankruptcy law, with the Law on State Property Management and what we must have in Croatia, and the Labour Shareholdership Act. Not through the amendments and additions of certain laws, we must have a privatisation strategy and ultimately we must have one whole system to help the Croatian economy both from the state level, as from regional self-government, as from local self-government units. But it is definitely for us to change the law itself on financing and local self-government and regional self-government and to change the entire Tax Law so that everyone can equally engage in the development of the Croatian economy and the creation of new jobs. At the very end, I want to remind myself when I mentioned working stockholdership I want to remind you of the PIC Đakovo or Đakovština d.d. which ended in bankruptcy, several times the state rescheduled the company where the management and supervisory board were appointed by political means, where the government of the Republic of Croatia paid 27.9 million kuna of severance to workers, and in the very bankruptcy process through the sale of assets worth nearly 400 million kunas could not be settled these 27.9 million kunas, and where nearly 360 thousand shares of 300 in the ESOP programme remain, where certain shares are even now on the stock market and the issue that Đakovština went into bankruptcy at all, this in the ESOP programme or the one that has been remedied several times. And what must be done by Croatian society is that the administrations, I am not talking about private societies now, but about the administrations of public enterprises that experts should sit in them and the supervisory boards, should not be the ones who are under pressure that are neither professional, but are only similar in any case. Here's an appeal to the Kukurik coalition to send fewer and fewer e-mails to reduce the employment of similars and to open indeed public tenders for experts to come to these places so as not to bring down similars that will destroy and destroy public companies. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12780	Thank you. Next up for debate on behalf of the HNS club Natalija Martincevic. Here you go.
