ParlaMint-NO_2012-03-27.ana.ud780e80	The representative of Trine Skei Grande will put forward two proposals for representatives.
ParlaMint-NO_2012-03-27.ana.ud780e402	It is important that the use of the national gallery be discussed. It is important that the use of the National Gallery should also be protected by the government, and we have repeatedly called on the government to give signals about what the construction is being used for. Now, fortunately, it's peace, so it's got its limitations on what to use for. Otherwise, I would have been terrified that we would get Petter Stordalen in there with a new hotel, but we have managed to avoid that. What's also interesting is the post-use of this special space that has been developed by Munch in collaboration with the museum in its time. What is it for? I have questions to the Council of State: the use of the National Gallery — what does the Council of State see there? Does the Council of State want to engage with funds, premises, as far as our great national artist Munch is concerned, to help Oslo out of the problem that they have there?
ParlaMint-NO_2012-03-27.ana.ud780e411	To the extent that the Progress Party wants to sort this out with the Munch Museum in Oslo, I encourage the representative to contact his party traps in the Municipality of Oslo, where the representative's party has a majority. I think it's easier than I intervene in this area, and I have no authority to do that either. In terms of post-use of the National Gallery, we'll come back to that, we have time to make decisions about that. It's a long time before you have to move the National Museum's collections out and into the new building, and I'll take the time to make a decision. I will also come back to Stortinget and inform about it. National constructions assess different aspects of the National Gallery, including: an opportunity study has been carried out to show how the building can interact with the Tullin onions in a different way to that of today. Once this process has been completed, the government will arrive at Stortinget in an appropriate manner in terms of use.
ParlaMint-NO_2012-03-27.ana.ud780e419	I am pleased that we are now getting such clear signals from the Council of State that we are working on the post-use of the National Gallery. It's important, and it's important that we get started. I think that's very, very good. I did not ask if the Council of State would intervene with the Municipality of Oslo, but I asked if the Council of State would engage with the premises, with funds and have any opinion on it. No, you should not intervene with the municipalities, but you can make arrangements, and you can get involved both orally, in writing and by means.
ParlaMint-NO_2012-03-27.ana.ud780e426	It is a little unclear to me what the Progress Party believes in this matter. To lock Munch's collections to one of the halls in the National Museum, while the Oslo Progress Party wants the Munch Museum to be moved into the National Gallery, we must transfer works of art from the state to the municipality – that is to say, the very opposite of the signal given by the representative Thomsen, that is, that the state should take greater responsibility for Munch's collections. So it's a little bit unclear to me what's really the signal here. I believe it would be fundamentally wrong if I went in and ruled the Municipality of Oslo on this question. There has been a lot of disagreement, a lot of parties have changed their positions. This is probably a significantly greater reason why a decision has not been made in the municipality of Oslo than the state has not intervened.
ParlaMint-NO_2012-03-27.ana.ud780e433	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2012-03-27.ana.ud780e438	The Progress Party will bring peace to the Munch Hall in the National Gallery, so that – according to their own proposal – you can also present in the future and visit a hall specially built for this purpose. The proposal itself implies an impregnation of an error because the current national gallery has travelled about. 50 years before Munch was widely recognized, so it is impossible to arranged in view of his art. On the other hand, if you want to decorate a hall specifically dedicated and adapted to Munch's art, the possibility is now when you move to the new National Museum of the West Railway. I believe that this interest in Munch also seems a bit grumpy, given that the Progress Party in Oslo has gone from a cross-political agreement to establish a new Munch museum based on the Oslo Municipality Collection in Bjørvika. So I actually also agree with the Council's reply to the representative of the Progress Party, namely that the Progress Party sits on the key to getting ahead of that matter, if it is such that you are so keen and have such warm feelings for Munch's art, and not just for an image suspension that you probably think is as brilliant as art itself. So it's this thing about inviting the Storting to have an opinion about conservation, not just of the building, because it's done, not just of the interior, because it's done. The forecourt is protected, it is assumed that the building will continue to be used for exhibition purposes. What, then, will peace serve? I'm a big fan of saving houses where the alternative is demolition, because then it's a definitive decision. But this is so that the pictures don't go away, the artworks don't go away, the exhibition hall is still available to the people of Oslo. That means that if there were to be new professional winners and new art historians, and in particular a new view of this, the current Munch Hall actually makes itself more viable, because it's not about tearing up either the pictures, the exhibition room or the building. So you can reverse, and that's one of the points of peace as a protection against demolition, that you can't reverse decisions. Then we should have given it a chance to see if you couldn't use modern exhibition techniques, modern solutions, establish worthy and secure exhibition conditions for Munch's art in the new National Museum.
ParlaMint-NO_2012-03-27.ana.ud780e447	Several have not asked for the floor on case No. 2nd@item: inlistbox
ParlaMint-NO_2012-03-27.ana.ud780e461	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. In addition, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-03-27.ana.ud780e470	One of the main challenges of petroleum policy in the future is to ensure that as much of the petroleum resources as possible are addressed by existing fields on Norwegian soil. The size of the last-harvest petroleum message was treated, and increased extraction rates were also considered to be one of the most important tasks in the future. The background for this is simple: estimates from the Oil Directorate show that for each percentage point we can increase the extraction rate of oil, this can have gross values of about 270 billion. kr with an oil price of $70 per barrel – and as is known the oil price today is far above that, so these estimates must be said to be extremely careful. The degree of extraction on the Norwegian base is today approx. 46 pst. if all plans available for enhanced extraction are actually implemented. There's a high number globally, but it just means full that more than half of the oil actually stays in the reservoirs. The rate of extraction of gas is some higher, but also here there is a potential for increased extraction rate. The issue we now have to deal with concerns the plan for the development and operation of Åsgard underwater compression. This project can be said to represent a technological milestone by shifting processing equipment down to the seabed – in order to reduce costs but also to increase extraction rates. This underwater compression results in the total extraction rate of gas and condensate on the Midgard body rising from 67 to 87 pst. and on the Mikkel field from 52 to 67 pst. This is a type of technology development that can also be used in other Norwegian-wide fields, so it is not only these licences that will benefit from this pioneer project; other fields can also use this technology to increase the rate of exploitation and reduce costs. I would like to pay tribute to the licenses and partners to take the initiative and actually implement this project. Åsgard underwater compression shows the importance of research and technological development in order to increase resource use in existing areas on Norwegian soil. This is why the Right-wing resources are a priority for research in the annual budgets. The costs of the project may be slightly higher than the original calculations. The size was noted by the Minister of Oil and Energy in the course of the investigation on this matter by a possible cost increase of up to 20 p.m., i.e. investments could increase from 13.1 billion. kr to 15.7 br. kr. Nevertheless, the project was considered to be both socially profitable and robust. It is an overall committee that recommends the approval of the plan for the development and operation of Åsgard underwater compression.
ParlaMint-NO_2012-03-27.ana.ud780e487	First, I would like to thank the case rapporteur for the job – and at the same time a unanimous committee, which is why I should not say so much. Åsgard underwater compression is a good example of an offensive measure that contributes, not least, to increased extraction from fields of production. This project increases the extraction of gas from the fields Åsgard and Mikkel – it is important for future value creation from the fields, and it is important as it contributes to expanding the horizon of the Norwegian Sea as an important petroleum province. The development solution involves a new and very important technology leap, as the case-rapporteur also said, which will contribute to increased extraction from several fields on the Norwegian continental shelf and not least globally in the future. The petroleum industry has been working for several years to bring such equipment down to the seabed, not least in order to reduce costs and increase extraction. This is a milestone and represents the next generation of oil and gas extraction – and we have come a long way in technological development. This is a very good industrial project.
ParlaMint-NO_2012-03-27.ana.ud780e496	There is no reason to keep a very long post on Åsgard's underwater compression, but it is nevertheless true that this case is getting attention, just as the case-speaker said, because of the technology step being taken here. We should bear in mind that technology clusters and supply clusters that come with Norwegian petroleum industry are not only an important industry in Norway, but also a major export industry for our country. Therefore, this matter is of more importance than it has been given. The fact that we are developing technologies on the ground that are being used in our area and that are in addition potential exports is a value that is worth paying attention to. Then the case spokesperson is quite right about the increased extraction rate. If there is something there must be a full deal about in this room, it is precisely the importance of exploiting the fields that we have established around the Norwegian base, better. It's about value creation, but it's also about a management responsibility we have, relating to this great resource. So briefly – to the end: there is a joint committee that is in favour of this, and it is a technology leap that is worth noting – and that sparks attention to a greater extent than it might get in this debate here today.
ParlaMint-NO_2012-03-27.ana.ud780e505	I am both happy and proud to be able to promote this large industrial project Åsgard underwater compression for Stortinget. The main objective we have set ourselves in the field of oil and gas policy is to facilitate profitable production in the long term. To achieve this goal, we decided in Meld. St. 28 last year, An industry for the future, that there must be offensive and parallel to several things at the same time. We need to increase the extraction from fields of production and expand drifty findings, we need to continue an active exploration of open land both in mature and immature areas, and we need to implement the opening of new areas. There is a need for a parallel bet in all of these areas in order for us to achieve the goals that we have set ourselves. It is not possible to choose one or two of the measures. Then we won't succeed. Åsgard underwater compression is a good example of an offensive measure that contributes to increased extraction from fields of production. The project will increase the extraction of gas from the fields Åsgard and Mikkel. It is important for future value creation from the fields. It is important as it helps to expand the horizon of the Norwegian Sea as an important petroleum province. Not enough of this: the expansion solution involves a new and very important technology leap that will contribute to increased extraction from several fields on Norwegian continental shelf and globally in the future. The project results in a significant increase in the overall extraction rate from the Midgard instance at Åsgard and from the Mikkel field. It's about 280 million. extra barrel oil equivalents. Thus, the increased extraction from the fields that the project will provide is larger than the total expected extractable resources from several of the new, autonomous expansions we have on the Norwegian base. The project is also large in economic terms. The investments are intended to be made in excess of 15 billion. kr. The expected present value is calculated to be above 23 billion. kr. It means big income to the community. The project is profitable even with a much lower oil and gas price than we expect in the future. Åsgard underwater compression is thus a socio-economically profitable and robust project. The petroleum industry has been working for several years to move processing equipment down to the seabed. In this way, reduced costs can be achieved, extraction can be increased and energy efficiency improved. Marine-based processing and gas compression as planned in this project represents a new step towards the next generation of oil and gas deployment – an important step towards the realisation of a complete underwater processing plant. Other fields, such as Gullfaks and Worm Lange, are in the starting pit to launch and further develop similar technologies to increase extraction. In total, the projects at Åsgard, Gullfak and Worm Long-range ground-breaking projects are raising global awareness. I think this will be enough of a technology that will be put into use in many petroleum provinces around the world in the future. This will benefit the Norwegian petroleum-oriented supplier industry. It has been central both in the development of technology and in the implementation of concrete projects. For example, the Norwegian share of investments in Åsgard underwater compression represents: an estimated 60 pst. Operators behind these projects deserve praise for their technological boldness. Their success through increased extraction and more profitable field development on a Norwegian base will serve the state as a resource owner most of all. To achieve the objectives we have set ourselves in the field of petroleum policy, we need many more increased extraction projects such as Åsgard underwater compression. Such projects are important and necessary elements in delivering on the long-term strategy for the petroleum activity such as Storting through the treatment of Notifying. St. 28 has joined. I am therefore pleased that the Committee has endorsed the government's proposal to extend and operate Åsgard underwater compression.
ParlaMint-NO_2012-03-27.ana.ud780e526	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2012-03-27.ana.ud780e540	No one has asked for the floor.
ParlaMint-NO_2012-03-27.ana.ud780e554	No one has asked for the floor.
ParlaMint-NO_2012-03-27.ana.ud780e568	No one has asked for the floor.
ParlaMint-NO_2012-03-27.ana.ud780e582	No one has asked for the floor.
ParlaMint-NO_2012-03-27.ana.ud780e596	No one has asked for the floor.
ParlaMint-NO_2012-03-27.ana.ud780e610	No one has asked for the floor.
ParlaMint-NO_2012-03-27.ana.ud780e624	No one has asked for the floor.
ParlaMint-NO_2012-03-27.ana.ud780e631	We are then ready to go to voting.
ParlaMint-NO_2012-03-27.ana.ud780e639	In the course of the debate, Ib Thomsen has put forward three proposals, the proposals No. 1-3, on behalf of the Progress Party. Proposal No. 1 sounds: ‘The Government is asked to propose the closure of the Norwegian Cultural Council and its underlying entities, in their present form. Instead, the Council for a Living Cultural Life, based on the intentions set out in Document 8:37 S, is established. [[2011-2012]] Proposal No. 2 sounds: ‘The Government is asking the Government to promote the necessary legislative proposals to ensure greater transparency in the allocations and rejections of the Norwegian Cultural Council/Council for a Living Cultural Life.’ Proposal No. 3 sounds: ‘The government is asking for the 2013 government budget to set up cultural funding in accordance with the principle that central actions are financed exclusively from the State budget, while the Norwegian Cultural Council/Council for a Living Cultural Life shall stimulate broad cultural participation through seed mentality and start-up incentives.’; Alternatively, between these proposals and the Committee's position.
ParlaMint-NO_2012-03-27.ana.ud780e664	The left has notified that they support this setting.
ParlaMint-NO_2012-03-27.ana.ud780e681	During the debate, Ib Thomsen has put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘The government is asked to take the initiative to ensure the preservation of the National Gallery’s Munch Hall, so that Edvard Munch’s works can also be exhibited and visited in a hall specially built for this purpose in the future.’ Alternatively, this proposal and the referral by the Committee shall be voted on.
ParlaMint-NO_2012-03-27.ana.ud780e696	The left has notified that they support this setting.
ParlaMint-NO_2012-03-27.ana.ud780e729	In the case of cases No. 4–10, are the second legal proceedings. There are no comments on any of the cases. The law of the Grand Duchy has thus been approved at the second reading and will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2012-03-27.ana.ud780e778	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
