ParlaMint-NO_2012-02-15.ana.ud2287e26	The representative Per Arne Olsen will put forward two proposals for representatives.
ParlaMint-NO_2012-02-15.ana.ud2287e429	Nikolai Astrup – for follow-up questions.
ParlaMint-NO_2012-02-15.ana.ud2287e432	State councillor Erik Solheim said in August that he would not sleep until the climate announcement was presented. So not least for the sake of his forced insomnia, the government should deliver a message to the Stortinget as soon as possible. It is important that climate policy is as broadly anchored as possible in the Stortinget and that it points not only beyond this government but also beyond 2020 and towards a low-carbon society in 2050. I hope the Prime Minister agrees with me on that. The question to the Prime Minister is therefore whether the government should not come to the Grand Duchy now, before the climate communication has been presented, and ensure that the key principles of a new climate communication are anchored in a broadest possible political majority here in the Grand Duchy, in a new climate settlement, so that we are sure that this policy is above changing governments.
ParlaMint-NO_2012-02-15.ana.ud2287e441	I am a little uncertain about what I was asked about now. But if the question was whether we want to have contact with Stortinget and the settlement partners before we submit the message, I believe the answer to that should be yes. It is natural when you have a settlement, to discuss it with the settlement partners before submitting a case. So my experience when we have had this kind of deal, that the opposition on Stortinget did not want to negotiate a deal until the matter was brought before us, but they wanted this kind of discussion to take place in Stortinget after the matter was brought before us. But that's what you can discuss when you have contact with the settlement partners at Stortinget. The kind of contact is often made by the specialist councils. So I think you should have a relaxed relationship with and should have contact about it.
ParlaMint-NO_2012-02-15.ana.ud2287e448	Kjell Ingolf Roppstad – to the last follow-up question.
ParlaMint-NO_2012-02-15.ana.ud2287e451	I have to confess that in 2007 I was very excited for some speakers Prime Minister Stoltenberg held. In particular, I remember that new year when he promised the moon landing. I thought it was a great idea. And then I remember that he stopped in the middle of the speech to the National Labour Party meeting, and said he would use the rest of the speech on our main challenge, the climate issue. The Prime Minister could have said almost anything, and I had gone for action, because I believed in him. But I have to say that the enthusiasm has subsided. Emissions have now been shown to rise, and the climate agreement we had four years ago was in many ways a good plank, but has not been followed up with an obliging big business message with concrete measures. My question to the Prime Minister is: does he think it will be easier to resolve the matter the longer we wait?
ParlaMint-NO_2012-02-15.ana.ud2287e460	It is not that we are waiting to take action. There are and will be many measures taken. No later than 1 January, we got green certificates, which are a massive transfer of money to anyone who wants to expand hydropower and wind power. There is a strong commitment on the railways and many other measures. We do not wait for measures – point one. The second point is that the speech I gave at the National Labour Party meeting in 2007 was about the fundamental objectives of Norwegian climate policy. Then we said we would have 10 pst. over-fulfilling the Kyoto Agreement. We have. We formulated 30 pst. reduction of Norwegian emissions, i.e. in relation to global emissions. We're going to do that, as we've set ourselves as a goal. And we formulated the goal of climate neutrality, that we should implement the cut equal to 100 pst. of Norwegian emissions. It's going to be implemented, given that we have an international contract work. So the big visions of 10 pst., 30 pst. and 100 pst. we are fully on track to fulfill. And given that there are international agreements that make it possible to become climate neutral, Norway will.
ParlaMint-NO_2012-02-15.ana.ud2287e469	Let's go to today's last main question.
ParlaMint-NO_2012-02-15.ana.ud2287e473	A small children's family in Oslo bought land for house construction. It turned out that they had been tricked and could not build a normal house on the plot. The case was brought before the Court of First Instance in 2010. The couple were fully involved in the matter against the seller and real estate agents. However, the defendants appealed, and the appeal proceedings were not closed until 2013, i.e. almost three years after first instance proceedings. In the meantime, the family has to spend hundreds of thousands of dollars and live in awkward conditions. Of course, they do not have funds available, as these are locked in the purchase. Two widows after former employees at the Rosenborg Clinic in the 1970s were admitted to the district court after their spouses. After five years of fighting against the state, they finally won with their demands and were awarded 1 million. NOK i in compensation. One hour before the appeal period appealed to the State. Because of the trial period in the Lawyers' Court, the widows had to wait an entire year before the case was closed. These are two examples. There are hundreds of examples, because the courts are now increasing the length of proceedings and the queues are increasing in our courts. It is stated that it takes an average of one-and-a-half years to get an appeal to the Lawyers' Court. Citizenship, the largest law-enforcement court, has a one-year procedure for production. My question to the Prime Minister is: hundreds of people lose homes, homes, association with their own children and fundamental rights due to queues in the courts. What does the Prime Minister think this does with the confidence of the Norwegian court, the judicial system and Norwegian courts?
ParlaMint-NO_2012-02-15.ana.ud2287e484	When people have to wait unreasonablely long for a decision in the Norwegian judicial system, it weakens the confidence of the Norwegian judicial system. It's so good that attention is being drawn around it, because one of the most basic states is responsible for, is that we have a legal system that works, that we have police, prosecution authorities and courts that work. I'm worried when I see that there are too many examples that people have to wait too long for basic public services, whether they're in the healthcare system, or it's in the legal system. I do not know the concrete examples that the representative is now drawing up, but it only underlines the need to increase the resource effort of the courts, to organise them better and to find a solution that will give us a more effective procedure in Norwegian courts. One contribution to more cases is that we have arrested many more people. The fight against crime also means that we need to expand the prison capacity and capacity of the Norwegian judicial system.
ParlaMint-NO_2012-02-15.ana.ud2287e495	I hear the Prime Minister say that one of the measures is to increase the resources of the courts. Then I find it strange that this government already this year cuts 7.5 million. kr to the courts and indicates that a further 32.5 million will be cut in 2013. kr. You're going to take in the $40 million. In 2010, through a cross-political pressure from the opposition in Stortinget, the courts were given a revised budget and budget in 2010. It can be seen that the situation in the courts is now actually worse than before 2010, when the courts are doing their best and, through increased appropriations from the Stortinget, they are able to take over and reduce the length of proceedings. And yet the government is now doing the opposite, cutting 7.5 million. this year, and shall cut another 32.5 million. kr in 2013. Can the Prime Minister now calm down the courts and say that the 7.5 million. Now cut, come back in revised form, and that more cuts in 2013 are out of date?
ParlaMint-NO_2012-02-15.ana.ud2287e504	Firstly, I think it is gratifying that the representative refers to the fact that additional appropriations were given through agreement in Stortinget that helped to do something about the leftovers. I don't know the numbers in detail there, but it's good that he refers to it as an expression that it's actually possible to get to something, get to decrease the remainder, i.e. People waiting. As for what's going on in the revision, and, even more, what's going on in the state budget for 2013, I think it's completely wrong that I'm now starting to say something about it. It comes when we present the budget, and then we see how much extra we get in terms of bets on the courts.
ParlaMint-NO_2012-02-15.ana.ud2287e511	Three follow-up questions are raised – first Hans Frode Kielland Asmyhr.
ParlaMint-NO_2012-02-15.ana.ud2287e514	The Prime Minister says in relation to the description that Sandberg made here, that he is concerned, and that is the case resolution. But, as the Prime Minister is probably aware, the ICT situation in the courts is very critical. It takes a significant boost, perhaps in the hundreds of millions class, to get it in place. The majority adopted a new penal code in 2009 which has not yet entered into force due to the systems. We will probably soon receive a law on land change from the government that cannot come into force for many years because of the ICT situation. Several storehouses need a significant upgrade, in Bergen and Stavanger etc. So now we feel that the government is cutting budgets. What are the visions of the Prime Minister for the development of Norway?
ParlaMint-NO_2012-02-15.ana.ud2287e523	The fact that we set up our own court administration has contributed to the fact that we have received even better governance from the entire court administration in Norway. I think it was a proper grip. It has also contributed to more and better coordination, and I believe that we have also seen results of efforts in many areas. My vision is that we should have courts that ensure legal certainty, which ensure a good and sound but also effective procedure in the courts, and that they can be important instruments in the fight against crime, that we do not feel that we need to wait a long time to get matters settled. Then we'll follow this up in the different budgets. How much comes into the 2013 budget is simply waiting for the 2013 budget to receive answers.
ParlaMint-NO_2012-02-15.ana.ud2287e532	André Oktay Dahl — for follow-up questions.
ParlaMint-NO_2012-02-15.ana.ud2287e535	Sandberg's question is that the government has announced a cut of 32.5 million. kr. It is also in the budgetary remarks for this year's budget. So I recommend the Prime Minister to talk to the Minister of Justice about the letters sent from the Court of Justice on 16 November last year and on 11 January this year – before a meeting in March. The core of the question to the representative Sandberg is that we constantly see that there are imbalances in the criminal action chain. It goes in one direction or another; one year it's the court, the other year it's the criminal code – and then it's the police. After six years in the Justice Committee, my experience is that you sit on each side, plan separately and have no overall approach to the challenges across the justice sector. So my question is, what does the government have on the steps of concrete proposals for analytical tools that can ensure that we get a lasting balance in the criminal justice chain, so that every year we don't have to cover up to where it goes, and have to come up with adhoc solutions – as the court administration has now received, by getting 40 million. kr, which was assumed to be temporary by the government, but which does not feel particularly temporary for those affected by it?
ParlaMint-NO_2012-02-15.ana.ud2287e546	I don't know about the letters that went from the Court of Justice on 16 November last year, and I also understood one this winter, but I'm absolutely sure the Minister of Justice is going to be committed to strengthening the entire criminal chain, the judiciary and the courts, when the government meets at the budget conference in March. Then I'm absolutely sure she's going to argue well because we need more money to her area. My challenge is that it will be done by all the other state councils, and the sum will be irresponsible money use. Then, through a demanding process – as we do every year; it starts in March and ends in August to September – where we reconcile the different concerns about the need for more money on the road, for health, for defence, for preparedness and for many other good purposes, and then find a reasonable balance where we also take into account the needs of the courts.
ParlaMint-NO_2012-02-15.ana.ud2287e551	Kjell Ingolf Roupstad — to today's last follow-up question.
ParlaMint-NO_2012-02-15.ana.ud2287e555	As the representative, Octay Dahl, said, many aspects of the criminal procedure are challenging, and the fact that there will be queues in the courts can lead to many problems. It might be a little bit sideways, but I think this is an important moment to touch, because today there was a new number in the case of reported rapes, and how many came to the courts. I think this deserves a broader debate, because it is so important that when one goes to the point of reporting a rape, one must also experience that it is taken seriously all the way, and that as much as possible comes to the court. According to the figures from P4 today, 1,027 rapes were reported – an increase of 16.5 pst. - while it was 120 who came to the courts. There may be a lot of reasons for this, but one of the important policy objectives must at least be that several ends of notification and several ends of judgment. So I want to challenge the Prime Minister about the visions about this.
ParlaMint-NO_2012-02-15.ana.ud2287e564	I agree that it is very important that we do even more to combat rape. It's about police, it's about presence, it's about effective investigation, and it's also about facilitating people to report. An important purpose of the rape recipients – with some of the devices we have built up – is just to make it easier for women to report. It's also important that we have proof that we can actually get people convicted. Often, the burden of proof in rape cases is difficult. The DNA reform and increased use of DNA as an investigation method — DNA tracks — are an important contribution to increasing the number of convictions in rape cases. So here I feel that we have a good dialogue with parties and professional authorities about how we can do more to combat rape. In addition, we all have a responsibility to take care of each other and to do what we can to combat rape, whether it happens out in public space, or where all, most of the rapes happen — at home with the victim.
ParlaMint-NO_2012-02-15.ana.ud2287e569	So the oral question procedure is over, and we are going to go to case No. 2, the ordinary question procedure.
ParlaMint-NO_2012-02-15.ana.ud2287e581	There will be some changes to the configured question list. In this context, the President refers to the list distributed in the seats of the representatives in the Chamber. The proposed amendments are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Question 4, from the representative Borghild Tende to the Minister of Health and Welfare, is postponed until the next Question Time, when the Council of State has left. Question 5, from the representative of Sonja Irene Sjøli to the Minister of Health and Welfare, is postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2012-02-15.ana.ud2287e596	I would like to ask the Minister of Finance the following questions: ‘For Värmland County, which is bordering Hedmark, border trade means a lot. Norwegian customers thus secure 2000 Swedish jobs. These are jobs that could have been largely on the other side of the frontier, i.e. in Norway. Sees the Council of State that something should be done with, among other things, the Norwegian level of taxation, in order to make it more attractive to act in Norway, thereby ensuring Norwegian jobs and its other positive ring-effects?’
ParlaMint-NO_2012-02-15.ana.ud2287e610	According to the Central Bureau of Statistics, which has conducted a border trade survey, the Nordics acted for about 8 billion. kr for day trips abroad during the first three quarters of 2011. The survey also shows that the share of border trade in total household consumption has been around 1 pst. in the last seven years. The cross-border trade survey is a sample survey, and the Statistical Centre states that there is considerable uncertainty about the figures. Border trade between Norway and Sweden is primarily influenced by price differences and by different product ranges. In addition to providing revenue to the country, the charges on typical border products, such as: alcohol and tobacco, contribute to the reduction of the consumption of products harmful to health. At the same time, the level of charges should not be so high that negative and unintended effects on illicit consumption and cross-border trade become too high. Excise duties are important for border trade, but other factors are also of great importance. A significant part of the border trade takes place with goods which are subject to excise duties to a small extent, e.g.: meat products and other groceries. For many of these, the protection of imports of agricultural products in Norway is of major importance to the difference in prices. In addition, the level of costs in Norway is consistently higher than in Sweden. This is primarily due to a high Norwegian salary level. Then we also know that the exchange rate, and changes in the exchange rate, can give rise to price differences in the short term and contribute in a positive or negative direction to the border trade. It is also important to stress that cross-border trade – including border trade – is also positive, because it contributes to increased competition and efficiency, which is an advantage for consumers and others through lower prices and a better range of products.
ParlaMint-NO_2012-02-15.ana.ud2287e621	I thank the Council of State for the answer, which was not really an answer to the question. That was a conclusion on what is going on, and we agree with that – that it is a border trade. But for my part, I think that border trade goes one way, from Norway to Sweden. We also have the choice of products in Sweden in Norway. That's just as good in e.g. Kingwings like on Eda. So it's not that people travel to buy a special product because it's not in Norway, but it has to do with the fact that it's a lot cheaper in Sweden. I believe that the purchase of e.g. tobacco, alcohol, snuff, wine and beer are the result of a lower level of taxation in Sweden than in Norway. That's why you buy these goods, and then you obviously buy some other goods when you first get there. There are at least 2 000 jobs due to the Nordics travelling to Sweden and acting. As I said, some of these we could have had on the Norwegian side. So that's what I'm really asking.
ParlaMint-NO_2012-02-15.ana.ud2287e628	As I said in my main response, the border trade beats a little bit both ways. I remember pictures from the 1950s of long queues that stood across the border on the Swedish side to go to Magnor to buy butter, so it beats a little bit both ways. However, with regard to the specific issue of charges and level of charges, there is something we need to get back to when we come to the State budget for 2013. As I said, the balance against border trade is part of the balance that we make when we determine the level of charges on that one can call typical border trade products, such as tobacco and alcohol. Otherwise, I think it's also an advantage that it's a good cross-border relationship between Norway and Sweden. I think that both countries benefit in different contexts. I think it's also important to get a labour market that works well on both sides of the border. That's why we're now working with frontier barriers to make sure that it's a good flow both ways. So border trade probably has both positive and negative effects from the Norwegian side.
ParlaMint-NO_2012-02-15.ana.ud2287e637	Thanks for the answer. It's probably true that the Swedes came to us in the 1950s and bought butter, but it's been a few years, so I don't think we're getting any ringing effects of it right now. In addition to this question, it is called IndustryNM. The Glamdal region is ranked at the back of the 83 regions we have in Norway. I think that this border trade has a lot to do with the bad results for the Glamdals region and some neighbouring municipalities, that they make it so bad. As I write in the last line of my question, it is about ensuring ‘workplaces and their other positive effects’. It is clear that when people travel to Sweden and act – and of course you have to do it, because it has to be floating across borders, and for many there are no boundaries really – and one store after another and one company after another on the Norwegian side shuts down due to the fact that there is too much action just one way, this makes it negative for those who run on the Norwegian side, no matter what you do.
ParlaMint-NO_2012-02-15.ana.ud2287e646	It might have been interesting to have a discussion about nutrient development in the Glamdal region and other regions in our fine state, but we'll have to do that on another occasion. I think there are a lot of reasons why one in some areas is lagging behind in economic development in the Glamdal area, but in other areas they are very advanced. I believe that the Glamdal region has great potential and great opportunities. But there's a discussion we get to come back to, among other things. in the heath context – there will be many heathmarks both down on the floor and up in the president's place now.
ParlaMint-NO_2012-02-15.ana.ud2287e655	It's okay for a scarf to break into the hedgehog. ‘In an interview with the News Agency’s own online newspaper Latte.no 8 February 2012, the Workers’ Party’s Torgeir Mikalsen gives the impression that the government will contribute to a moderate wage settlement. That is good and in line with the wishes of the Progress Party. However, in addition to arguing against tax relief, Mikalsen does not mention any concrete measures. In a difficult economic time, the competitiveness of business must be maintained. What measures does the government consider in its contribution to a moderate wage settlement?’
ParlaMint-NO_2012-02-15.ana.ud2287e664	We have a framework in and around economic policy that contributes to stability in the Norwegian economy. This is good for Norwegian business and for Norwegian economy. The rule of action, the State pension fund abroad, monetary policy and income policy are important pillars of this framework. If we look at how Norway is doing with other countries through the international financial crisis, we are doing better. There's several reasons for that. An important reason is sound economic policy over several years, in line with the framework. The situation in Europe is serious. Growth is low and unemployment is high. At the same time, there is a need to tighten public budgets to get public finances on a sustainable track. Weak growth prospects in our trading partners also affect us by reducing the demand for Norwegian exports. A high level of costs in Norway makes the competitive sector vulnerable in such a situation. The wage growth of our trading partners is likely to be low and moderate for a while to come. This limits paychecks in Norway. In the interests of competitiveness, it is important that we stick to what we call the front-stage model, where the results of the competitive sector will guide the other areas of negotiation. Wages and salaries are the responsibility of the parties. The government's responsibility is to underpin the stability of the Norwegian economy by pursuing sound budgetary policies, adapted to the economic situation. By following the rules of action, we contribute to predictability. This is important for the job we are going to do together, and to lay the basis for a responsible and good income statement for the spring.
ParlaMint-NO_2012-02-15.ana.ud2287e679	Thank you, but I can't believe that he views it as an answer to the question, for adopting a government budget makes the Stortinget every year independent of whether or not a moderate wage bill is wanted. So it's not a measure; it's something big and government does anyway. Norway has a large room for action and has a surplus of 370 billion last year’s budget. kr. For the current year's budget, one assumes that it is 345 billion. kr. We're in a completely different situation than our friends in the south, who have a huge deficit and a huge debt. We have a lot of profits and a lot of wealth. This means that we have a space of action that is enormous, and which means that the state could also contribute to a more moderate wage settlement by, for example: gave tax relief to employees by increasing the deduction. This means that they get a real wage increase without it being the business that has to take it. It's just one of many suggestions. Does the government have any proposals besides the adoption of a government budget?
ParlaMint-NO_2012-02-15.ana.ud2287e688	The most important thing the government does is to conduct a responsible economic policy. It is the most important contribution to stability in the Norwegian economy, to confidence in the Norwegian economy, to ensure that the differences in interest rates between Norway and the rest of the world are minimised, and to ensure that Norwegian businesses have a foreseeable future. Then it is true that in the 1970s income statements, more specifically in 1976 and 1977, a somewhat called combined paycheck tried by the government to provide tax relief to help bring down the great inflation that we had at the end of the 1970s. In retrospect, one sees that the experiences with it were mildly shared. I think it makes sense for government and growth to contribute to responsible income settlement through a good, responsible and predictable economic policy. And then it's the responsibility of the parties to determine the concrete pay supplements.
ParlaMint-NO_2012-02-15.ana.ud2287e697	All parties on the Stortinget want to conduct a responsible economic policy. The difference between the government's government budget and the proposals of the Progress Party, the proposals of the Right, the proposals of the Christian People's Party, and the proposals of the Left are about a few billion dollars, i.e. a few million dollars in terms of GDP. If we spend a little more money on investing in infrastructure, so that people don't sit in line and get to work, the competitiveness of Norwegian business doesn't weaken. It strengthens it, because the engineers don't have to get paid to sit in line. They can sit in the office and develop products. What is the point of this round in the Question Time is the promise made by Torgeir Micaelsen, the head of the Finance Committee and the Labour Party's leading economic spokesman in the Stortinget, who says that it is important that we contribute to the State. Is there not, therefore, anything that the government intends to contribute to the adoption of a budget? Is that the contribution, that is, that budget has now been adopted, and nothing more than that?
ParlaMint-NO_2012-02-15.ana.ud2287e704	Earlier today, I was given the OECD’s view of the Norwegian economy for 2011. One of the things they underlined in that report is the importance of having a predictable and reliable macro-economy and a good fiscal policy. I fully agree with that, and that is the primary responsibility of the government and the Storing. We are closely involved in what is happening in Europe. Clearly, if things happen that endanger Norwegian jobs, the government is ready to act on it. But the best contribution to a responsible income statement is financial policy. In this area, Mr Micasen and I are in complete agreement. That is what we do in our daily economic policy, which is important. The Progress Party has a slightly different approach, including: as regards the use of oil money and the relationship to the rule of action, which I believe will contribute in a negative direction.
ParlaMint-NO_2012-02-15.ana.ud2287e711	You should read SSB reports.
ParlaMint-NO_2012-02-15.ana.ud2287e716	The size should now have gone further to question No. 3, but the President cannot see that the Minister for Transport is in the Chamber.
ParlaMint-NO_2012-02-15.ana.ud2287e741	These questions are put to the vote. So we go to question No. 6, and the President records that both the questioner and the Council of State are present.
ParlaMint-NO_2012-02-15.ana.ud2287e750	Then I ask the Minister for Research and Higher Education the following questions: ‘The Government has announced the conversion of the financing model for specialised schools into the State budget for 2013. The National Board of Vocational Schools and the Council of County Vocational Schools have so far not been contacted in relation to such a conversion and have thus not been given the opportunity to make representations in the process. The time to achieve a good process in collaboration with the organisations is beginning to be scarce. How will the Council of State involve the organisations of vocational schools in the process of converting the funding model for vocational schools?’
ParlaMint-NO_2012-02-15.ana.ud2287e759	For the treatment of the Municipal Proposition for 2012, see: Prop. 115 S for 2010–2011 and Innst. 429 S for 2010–2011, notes from the Municipal and Management Committee that an evaluation of the financing scheme for specialised schools was requested. The majority of the Committee, i.e. all parties, except the members of the Party of Advancement and the Right, refer to the Innst in their comments. S 16 for 2010-2011, cf. Prop 1 S for 2010–2011, where it says: ‘The majority will underline the importance of the vocational school as an important part of the education chain. The majority indicates that responsibility for the financing was transferred to the county from 1 January 2010. The majority believe that the government must gain experience from today’s funding organisation and propose corrections to any weaknesses, in order to ensure predictable and sound funding of the various lines of the vocational school.’ The majority ask the government to come back with such an assessment of the further funding of the specialised schools in the municipal proposition for 2013. I would like to stress that the municipal proposal calls for an assessment of any improvements to the funding scheme for specialised schools, rather than an evaluation. An evaluation will be broader and more comprehensive than an evaluation of the financial instrument. In order to address any weaknesses, an assessment of the impact of the current financial instrument must first be made. It is this assessment that the government is now doing, and that we will present to Stortinget in the municipal proposition for 2013. Of course, if the government comes to the conclusion that it might be appropriate to consider changing the funding system, both the National Board of Vocational Education and other relevant actors in the sector, such as the Council of County Colleges, will be involved in the further work. However, this will come back to the municipal bill for 2013 after making its assessment and identifying any need for improvements to the current funding system. Vocational schools are important as alternatives to higher education, and this government has paid great attention to the role of vocational schools in the educational landscape. I can mention here the establishment of the National Board of Colleges, the reporting of specialised schools to the new database of technical school statistics, the preparation of the State Report by the Ministry of Knowledge for the Vocational Schools and the ongoing work to include the vocational schools in the National Qualifications Framework. Work has also been started on a national candidate survey for post-secondary students. In this context, it is important to have a sound and predictable funding system that helps to ensure the maintenance of a solid vocational school offer in the country. I am very pleased with the work done by the Swedish School Council, and I think we have a good cooperation on matters relating to the vocational schools. It is important to connect to the Swedish School Council and any other actors when dealing with issues where we rely on professional and good input, but also to know how the vocational school sector will react to some issues. I can assure the representative Harberg that the government will not propose concrete changes to the financing system for vocational schools until we have also discussed the matter with the Fachskolerat.
ParlaMint-NO_2012-02-15.ana.ud2287e775	It was a reassuring conclusion – even though I registered earlier in the post that the Council of State said they would consider seeing if they would come up with amendments, and if they wanted to, they would join the Swedish School Council. I had hoped that the trade school council would be connected from the very beginning, in the thinking about this. I have to admit that the wording of the question is enough to take two steps at a time. It may be a combination of impatience from signed and signals – which the Council of State has also given us – that there are enough things we need to look at. That is why the question is put as if it were going to be converted, and that it will be included in the budget for 2013. To me, it is so important to reinforce the question – and the recommendation – of taking the vocational school council and the vocational school communities into the early stages of the process. Because we know that many people are now struggling with the uncertainty and have opinions about this.
ParlaMint-NO_2012-02-15.ana.ud2287e785	I can assure the representative that both I as the Council of State and the Department are in constant contact with the Swedish School Council. I have been to a lot of meetings and conferences with them and have no problems with the communication and listening to what the college council thinks. What this is about is a work done in connection with the administrative reform. I believe that both the representative and I will agree that the county authorities' responsibility for the vocational schools is important to support in all ways, both through the regional anchoring – the vocational school is an important part of the county council's responsibility for regional development – and the interest in the proper functioning of the vocational schools. Then – in any budget – we will look at the economy of the county councils and what might have to be the direct coin in the vocational schools. But here we have good communication and good processes, and I hope that the vocational schools can also help us get a good and varied training offer.
ParlaMint-NO_2012-02-15.ana.ud2287e794	Then the Council of State has assured me and promised that the organisations will be well cared for in the further work. I hope it happens as soon as possible. After contacting them, I understood that exactly this question was not yet involved in it. Then the Council of State referred to a note that the Right and the Advance Party were not in. This is because we have proposed that the financing itself be returned to the state. Can the Council of State promise that one not only looks at adjustments and current financing arrangements, but also assesses whether it will make it easier and more predictable for all sections of vocational schools in Norway – both public and private – to take the funding back to the State, as the other higher education has?
ParlaMint-NO_2012-02-15.ana.ud2287e801	I hope that the parties who were not in the majority opinion and who see the importance of the strengthening of the vocational schools also support the funding base that is now. It is clear that all elements are assessed at all times in these financings, but it is exceptionally important to support them under the responsibility of the county councils. From an economic point of view, I know very well that the Swedish School Council had wanted more money, but I don't think it's so crucial for them whether it's the state or the county council that's responsible for that money. The most important thing is that you get a good financial basis for running the colleges. We're all interested in that. I hope we can get a broad response both to the need for good funding, to the fact that we have a good basis for funding it, and to the fact that we have conscious owners and managers of the colleges.
ParlaMint-NO_2012-02-15.ana.ud2287e808	So we're done with question number. 6th@item: inlistbox Since state councillor Magnhild Meltveit Kleppa has now arrived Stortinget, we go back to question No. 3rd@item: inlistbox
ParlaMint-NO_2012-02-15.ana.ud2287e815	I would like to ask the Minister for Transport the following questions: ‘Riksväg 25 in Hedmark County is the road with most elk driving in Norway. Most other roads in Hedmark also have very many accidents of this kind. What will the Council of State contribute to reducing the number of accidents both in Hedmark and elsewhere in the country?’
ParlaMint-NO_2012-02-15.ana.ud2287e824	For the last ten years, some 1,300–1,400 elk have been killed in traffic every year. This is a number that has remained relatively stable. One third of all moose runs in Hedmark. The number of moose that are shot in Hedmark is approx. 8 000 of them in the municipalities of Trysil, Åmot, Elverum and Stor-Elvdal. Elgamma is very big in Hedmark. That's part of the explanation for the high number of moose being killed in traffic. Inductions lead to both suffering and death for the animals and material damage to motor vehicles. A few times are intertwined between running gear and moose so strongly that it leads to serious injury and death. The state road system is therefore systematically working throughout the country to reduce the number of elf runs. A large part of the road network passes through areas with a lot of moose, and it is not practicable to avoid all of the elf runs. On the most postponed routes, special measures have been taken to avoid such runs in addition to the normal separation of hazards for elk. Along new road sections, game fences are set up to prevent the moose from entering the roadway, and over- and underpasses are built so that the elk can cross the road. The state road authority has carried out an evaluation of the specific measures implemented to reduce the number of elf runs. The removal of wood vegetation along the road has proved to be the most effective measure. This increases the visibility along the road, so that drivers of running gear will discover the elk earlier. The driver will then have more time to slow down, and this will reduce the risk of ingress. The State Road Service is now implementing such measures along several road sections as a concrete follow-up to the national road safety plan. In the area south of Hedmark, where there are many runs, there are permitted winter hunting on elk, with quotas of up to 100 animals. This, together with winter feeding in the same areas, helps reduce the number of animals that live near the road, especially elk that attracts from other areas in winter time. Through ongoing work at different venues, we will increase our knowledge of what measures can reduce the number of hallucinations in traffic. There are no simple solutions in the short term, and the possibilities for achieving good results require good cooperation between several actors, based on well-documented knowledge. However, I would like to stress that the individual road user must also contribute, for example: by slowing down a lot of wild space.
ParlaMint-NO_2012-02-15.ana.ud2287e839	I thank the Council of State for an informative and good response, and she also refers to some measures that have been taken. There was a big article in VG on February 3, 2012, on two pages, that took note of this, and there is no doubt that Hedmark is the county that has the most damage and damage, and that many road sections in Hedmark are the hardest hit in this area. That's about. 3000 moose that are hit by cars a year. This is 3000 accidents too, because there is rarely more than one elk involved in an accident at a time, unlike for example. where pure is involved. So this is 3,000 accidents with serious consequences. I hear the council mentions some things, but there's one thing she doesn't mention, and it's good winter maintenance on the way. If the maintenance on the roads had been better than it is in some places, I think it would have been easier to stop when you see an elk coming out – so I want the council to respond to this a little bit about winter maintenance.
ParlaMint-NO_2012-02-15.ana.ud2287e848	First, a correction: there are 3,000 moose shot in three of the municipalities in Hedmark – but the number of people killed in traffic is between 1300 and 1400. It's a little lower, but of course it's too high. Winter maintenance has an inexorable focus on. We've strengthened the overall maintenance. We have received increased attention with regard to breakage, road closure faster than before and boards and warnings of a different kind so that road users are constantly informed about where there are winter conditions. When it comes to animal husbandry, it is clear that road maintenance also means a lot.
ParlaMint-NO_2012-02-15.ana.ud2287e855	I thank the Council of State for the answer once again. The 3,000 that are hit are 3,000 accidents — not how many are shot, but 3000 moose that are hit by cars in Norway on different roads, and many of the roads are in Hedmark. But not all elves die during the drive, it gets damage both on the material and on the animals, and thus we get animal diseases. Otherwise, I think the Council of State and the undersigned have a common understanding of the problem and want it to be resolved. There are different ways to solve it, and the Council of State has mentioned something. I personally believe that e.g. feeding grounds are a good thing, so that the elk has a place where he can get food, which is not near the trafficked road. I also think cantrusion is important. I think good winter maintenance is very important. I think it's good with a follow-up with game subjects, that's a collaboration there. I think lower speed limits in periods of some distances can be right. I think that better signage can be right. I think that information is also important, and of course also a number of other things, and I want this to be addressed by the Council of State.
ParlaMint-NO_2012-02-15.ana.ud2287e864	I thank you for your advice. This is a matter that is particularly noteworthy in the state road system in the affected states, and some of the measures that Bredvold here mentions, so we are doing well. Then, fortunately, there is a small proportion of the moose spills that result in serious injuries, in the worst case deaths. But there are statistically one to two people who die after game starts, there are at the base of 100 people who suffer more or less damage, and the socio-economic cost is estimated to be slightly more than 600 million. kr annually. So this is clearly an important area to which it is important to bring action in relation.
ParlaMint-NO_2012-02-15.ana.ud2287e871	We're going to go to question seven.
ParlaMint-NO_2012-02-15.ana.ud2287e878	My question is to the Minister of Labour, and says this: ‘The tightening of the legislation on perms results in permanent employees being cancelled by plant companies and, instead, in the offer of temporary employment, since the application for daily allowance is not now accepted for leave because of a lack of mandate. This turns out to be a major challenge in terms of employment, recruitment, business skills, the use of foreign labour, etc. Does the Council of State see that the change has had unintended effects and will the Council of State adjust the legislation to make it better?’
