ParlaMint-NO_2012-05-24.ana.ud1972e55	The representative, Henning Skumsvoll, will put forward a proposal for a representative.
ParlaMint-NO_2012-05-24.ana.ud1972e693	As the rapporteur on the matter, I have just a few comments at the end. In line with the previous submissions, it is essential that communication between companies and the State Council is at all events open to the public and that this makes compliance with the rules on case-related record-keeping all the more important in such cases. I see that it can be difficult when the communication gets a little – call it – new forms, text messages and phone calls. But the law is clear on this point: case-relevant information communicated in this way shall be publicly available without unnecessary termination, i.e. without the use of unnecessary time, i.e. as far as possible the same day or the day thereafter. It did not happen in this case, and it is not the first time we point out that there has been a failure in the administration. Only a small assessment of what is relevant to include in a position — it is a big internal matter — but I just want to say that the control committee has a special form of work; that we use consultations as an important part of our proceedings. It would then be wrong for Stortinget if we did not also include in the vote matters that have been raised during the hearing, although it is not mentioned in the document from the Riksrevisionen, because Stortinget is entitled to gain insight into our proceedings in the committee as well. Therefore, I believe that the mention of an incident from 2012, which was raised during the hearing, belongs to the suspension, even though the report from the Riksrevision is formally limited to 2010. The fact that we also get insight into a disagreement in the government about the relationship with the Postal and Postal Directives is only interesting, and that is also true. It is useful that the Stortinge is also informed about the confusion that prevails in this area.
ParlaMint-NO_2012-05-24.ana.ud1972e706	I really didn't intend to take the floor, because the Riksrevision's proposal is largely in line with the department's own view. There is agreement between the National Audit Office and us that the Ministry should have ‘a stronger search light on the international activities and activities of State Power in other technologies’, as the National Audit Office describes. For Mesta and Secoras, the State, as its owner, has implemented several concrete actions and used the tools that the Stortinget has decided to have – changes to the board, concrete assessments of capitalisation measures, clarity of dialogue and close follow-up. I also find that most of these days are taking action to increase profitability, so here too there is consensus. So with regard to these matters that the Control Committee has been dealing with, I feel that, for the Ministry of Industry, we are well in line with both the Control Committee and the National Audit Office, and that should be the case. The reason why I now took the floor was the speeches by the representative Tetzschner, who was interesting, but which I cannot find reflected in the position – neither by majority nor minority – but of course there is full opportunity to record anything from his talents on the Spokesman's speech. I just have to say one thing: not a single place in the handling of the Telenor/TV 2 case has the government or the ministry broken the government's governance policy. Nor is it said in the setting, it is not said in the minority position, nor is it said by the Riksrevision – we will now see that when it comes in 2013. It's a full opportunity for the state that owns to deal with different issues with the companies we own, while at the same time ensuring the role-sharing between the government and the owner. This is not cultural policy – although in this case it was a media institution – in the same way that there is no aluminium policy whether Hydro sells or not sells his work in Sunndal or Årdal. It is also not a purely oil policy to sell holdings in Ekofisk. It's national business policy! The overall introductions of the ownership message are as follows: ‘The government will therefore contribute through state ownership to the maintenance and further development of Norwegian enterprises, technology and businesses in Norway.’ This is not the case since TV 2 is active in the media — and in addition, more employees than Hydro Sunndal, Årdal and Karmøy together — are therefore outside the definition of enterprises operating in Norway. It's part of this. This does not mean that the board cannot sell – under these two different companies it says that one can sell both one’s own business and subsidiaries – but that it is an overall objective of the red-green government’s state ownership policy to contribute to Norwegian ownership of Norwegian companies. It is unequivocally stated in the ownership message, and we will stand firm on that in future cases as well. I have sometimes recorded that the bourgeois opposition, especially the Right, argues for changes in the property tax because it is important with national, private ownership. It is interesting if national private ownership is important, but not interesting with national state ownership — then it doesn’t matter whether a large enterprise is in Norway or abroad. With regard to the form of communication you use, which is what is left in the attitude of the control committee, I can say that I am going to use the forms of communication that are appropriate, written and oral. Phone think I've been used for decades in the contact between department and company – by different governments and by different government councils. Of course, when it comes to journaling, we have to pay attention to it, but often these phone calls are recorded in a log, and then it is the log that is recorded after each record. So this is done in different ways. But let's just make it clear: the government's guidelines for ownership management have been followed up to the point and point in this case.
ParlaMint-NO_2012-05-24.ana.ud1972e726	The last claim can only be omitted if you control the majority in this room, which defines such statements. We have noted that there are several opinions on this matter, including: former director Harald Norvik has a completely different opinion. Nor can I see that the ownership message contains other appropriate forms of communication. It is referred to that you can have meetings, and the advantage of meetings is that they take place physically. It is possible to trace who has attended the meetings, which topics have been dealt with, and it is usually also recorded according to good order and custom. So there's a transparency that allows people to ask questions and maybe raise the question with other shareholders. Because there's also a point here that the state – although it owns 53.97 pst. by the company – not only can it build up and almost have a direct access to the board, because it also has an obligation to provide information to media investors and their representatives. This is, of course – and a fundamental principle in all company law – that I am being very downgraded if this very critical attempt at informal instruction to the board is now almost also to be highlighted as a good ownership management, and that is really the way to do it. If this becomes known in the international financial market, I think a lot of people will get involved in investing in companies, where the Minister of Industry is a so-called active party. So here are some limitations both in terms of contact with the company and what this contact can consist of in terms of content. It is outside any State Council concerned with industrial policy to give direct instructions to the Governing Board on what they should take decisions in individual cases.
ParlaMint-NO_2012-05-24.ana.ud1972e738	It is well done – in a sentence consisting of two words – to get two mistakes. When the representative Tetzschner says it's informal instruction, both words are wrong! Firstly, it is not an instruction that the State gives its opinion to the companies. This is stated in the ownership message. We have the same right as other owners to express our views on different issues that companies are dealing with. It can't be because we own 54 pst. by a company, we're going to have less opportunity to express that view than if we owned 1.5 pst. in the company. Very many of these funds, which are owners of state companies, are at least as active towards the companies. This does not mean that there is an instruction, because instruction is quite different – then we had to take it up in the general meeting and make a decision – but it is to make our view known. So the board – from our point of view and from the perspective of other shareholders, the whole of the company, the commercial assessments – decides what the company should do in the individual case. But that national anchoring of Norwegian major companies is a general objective of state ownership policy, I thought it was almost so broadly anchored that I find it interesting that the Right so clearly indicates that there is no objective of state ownership. I think we can get an interesting dimension here, including in the political debate until September 2013. So to the second point-- that's informal. No, it's not informal. Our views are reflected in meetings with the management of the company, documented in writing in the minutes of these meetings. With regard to the various forms of communication, I can only repeat that e-mail and SMS will continue to be used. Where the representative had social media from, I'm a little uncertain about. But in general, however, written forms of communication, no matter what technological platform you use, will actually be better than verbal because they are clearly referred to in their writing. So we're going to consider what's conventional and unconventional, we're going to use what's appropriate. But the fact that this has been done informally is simply a direct mistake.
ParlaMint-NO_2012-05-24.ana.ud1972e749	Several have not asked for the floor on case No. 4th@item: inlistbox
ParlaMint-NO_2012-05-24.ana.ud1972e763	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-05-24.ana.ud1972e772	The issue we are going to debate now concerns everyone. Besides health, education and work, housing is the most important thing in people's lives and the most important thing for their well-being. Historically, Norwegian housing policy has worked well. Most people live in well-standard dwellings, in stable, good living environments. Eight out of ten owner-occupied dwellings. However – and it is a big but – housing prices have increased strongly, Norwegian households have record high debt, and it has become more difficult for initial start-ups. In recent years, several things have happened: the international financial crisis has led to a slowdown in construction activity. In the second quarter of 2009, a bottom record was set for the start-up of new dwellings. Interest rates are low, and most Nordics have a good economy, while population growth has been record high. The distance between the supply of housing and the demand for housing has pushed up housing prices. It was built significantly more in 2011 than in 2009, but still not enough. The working party is concerned about this development, and there is only one answer: several dwellings need to be built, especially in the press areas. All other solutions will only sort the queue and remedy it in the short term, but the only long-term structural solution is to speed up housing. It's a political challenge. The market doesn't sort out alone. The challenge is formidable. The forecasting centre has calculated the annual housing demand of approx. 38 000 dwellings per year. In 2011, it was built 28 000, which is 10,000 fewer than necessary. It is essential that the municipalities take responsibility. Many municipalities do, but not all. Municipal efforts for good and increased housing are about setting aside sufficient land, planning infrastructure and housing in the context, fast planning processes and good dialogue with developers. It is necessary to remember the parties behind the proposals we are going to vote on today – the Progress Party, the Right and the Left – that they run many of the municipalities where it is most difficult for young people to establish and where little is done to solve the problems. A municipality like Bærum could do a lot more. When the Fornebu area was regulated, both the State and Oslo municipalities – both of which had strong interests in the area – wanted to regulate several dwellings. The bear's answer was no. The labour force group recently set up a housing committee which provided 35 measures to increase housing and make it easier for young people to establish themselves. The core of our proposals is a clearer position of political responsibility. It is both a state responsibility and a municipal responsibility. We believe it is necessary to set targets for the number of dwellings to be built, based on population development projections. We also want an offensive investment in rental properties, faster planning processes and a strengthening of the House Bank. I am not able to comment on all the proposals that the opposition is making today, but I think it is particularly sad to register that the Left wants to put down the House Bank. It would, in our view, be a step in the wrong direction. The house bank is our main tool in housing policy. A closure would be dramatic and hit young and disadvantaged especially hard. We also find it sad that the Progress Party is attacking requirements for wheelchair adaptation. There is no evidence that housing prices are driven materially by the construction costs. There is a distance between supply and demand that drives prices up, not wheelchair adjustment. But more importantly, it is short-term and expensive not to build homes in which people with disabilities can live, when we know that the population is getting older and most people want to live at home as far as possible. As far as BSU is concerned, I would like to stress that this is a budgetary question. The scheme was extended as late as 2009. The Minister of Finance has made it clear that any further enlargement will have to take place during the budgetary procedure. Finally, I would like to thank the members of the Municipal Committee for their good cooperation on today's proposals. The Labour Party will not vote in favour of the proposals presented today. We disagree with many of them, and the others we think it is most appropriate to have an overall assessment of the housing report that the government has notified. However, I am very pleased that we have had a broad debate on housing policy. For the Workers' Party, it must be about solving the basic structural problem – that it is not being built enough.
ParlaMint-NO_2012-05-24.ana.ud1972e798	We've had a historically strong growth in housing prices in Norway over the last 20 years. For most people it doesn't matter whether housing prices go up or down. Whether a cage in a dwelling and intended to be built in that dwelling or in the same class of accommodation, it is less important whether housing prices go up or down. In fact, if housing prices go up, you may feel a lot richer than if they go down, but initially it has little meaning. Nevertheless, there are winners in a market where housing prices are rising, as they have done in Norway. There are more dwellings than there are in them, which are winners. Of course, they are also the winners who want to reduce the size of the building. They want to pay for the price of housing. And then there's a loser, and that's who we're busy with. They are the ones who want to establish themselves upwards – they have a place to stay today and want to buy a larger apartment. They're losers in such a market we've seen. Those who are the biggest losers are, of course, those who have not entered the housing market, and who see that entering the housing market is becoming increasingly difficult because housing prices are rising very sharply. Most of them are young people in the establishment phase. There are first-time starters in the housing market, and they were the ones we had in mind when we put forward this proposal for a representative. The reasons why housing prices have increased as much as they have in the last 20 years are many. It's going well in Norway. The government is often trying to pretend it's because of the government, that it's the government that has the era for doing well in Norway. That's not what we're talking about. We also mean that there is a problem in the government and not because the government is doing well in Norway. But we think that it is primarily the oil price that has made Norway a strong economy. A few years ago, we were satisfied with an oil price of between $15 and $20. Now the oil price is almost $100 higher. This means that we have a very strong activity in the oil-powered part of the Norwegian economy. Of course, the country has become far richer than there was reason to believe a few years ago, both in terms of tax revenue and in terms of profits from oil activity. Of course, it has also helped us to ensure that housing prices go a different way in Norway than in many other countries. In Europe, things are going bad, and this has led to low interest rates in Norway. We also have a labour immigration that is pushing prices even more. Håkon Haugli believes that the market is not orderly. We believe that if the market had regulated itself, that one had not intervened so much in the form of detailed regulation from the Planning and Building Act, that local politicians could facilitate housing construction and regulation, the situation would have been quite different. Another thing is that the government comes up with detailed regulations that make housing more expensive to build. This might be especially true of small universally designed dwellings and wheelchair fitment. This means that the smallest dwellings are no longer built. These regulations will result in fewer buildings being built than would otherwise be. Sharpening capital requirements also causes many problems in financing. We think it is important to have these issues debated. We also have eight concrete proposals that we think are sensible and good proposals to make it easier for young people to establish themselves in the housing market. We have also looked at the proposals that the Left has put forward. Proposal No. 9 from the left is a proposal that we think is good and that we want to support. The other proposals from the Left are more doubtful, and we cannot go in for them in this round. Finally, I would like to make the proposals that the Progress Party has, either alone or in combination with others.
ParlaMint-NO_2012-05-24.ana.ud1972e824	The representative of Gjermund Hageseter has taken up the suggestions he referred to.
ParlaMint-NO_2012-05-24.ana.ud1972e827	First, I would like to thank the President-in-Office for his good presentation, reflection and wise conclusions. Yes, there is an increasing imbalance — a form of ‘mismatch’ — between the need and demand for both rental and ownership. There's too many of us with needs that don't have the economy to make it a demand. In addition, there is a ‘mismatch’ between demand and supply. Like the rapporteur, no one has any clear responsibility to meet the demand expressed in society, in the market, today. We are not exactly in a situation where providers, municipalities, builders etc. Demands are being met on an offensive basis. For all of us who believe that everyone should have the right to some kind of ‘home’, a dwelling, this is very unfortunate. The political majority on the right chose to deregulate the provision of housing in due time to transfer the main responsibility to the market. It works very well for many of us, all the time just so many of us have a rough private economy, combined with noise tax rules. But it works badly, or just not at all, for many others. We don't want it like that in Norway. I choose to believe that all the political parties today agree that there is something here that is not working, we have to look at it. Then I think we also agree that this is complicated, for example. the reason(s). I think some of the debate today will show that. There is also a lot of complexity on the action page. That's why it's so good that we're going to get some big messages, both to clear up our debate and not least to strengthen the political power of action in this important area, which is an important area for each of us, and not least for society as a whole. That is why it is also positive that we are receiving such representative proposals that we have received here today. Not least proposal No. 8 is a very wise suggestion, namely that we need a housing report. The main objection to this proposal package is in many ways what it does not address, that it does not address the main problem, such as: is linked to the fact that dwellings have become too much today as a speculative object. So the governance isn't need and demand, but opportunities to make too much money. I got the impression that Gjermund Hagesetter here had an alternative explanation of the situation, but at least I didn't get it to work for me, so it meets the criticism that I'm coming here with. The second thing I have missed here is that I think the representative proposal is under-responsible to the municipalities. It is a reality – I agree with the case rapporteur here – that they are too passive to build and not least operate rental dwellings in a decent way, and they are too passive to facilitate housing. I could imagine that several municipalities took up the instrument that worked very well at least a few years ago, namely that local authorities – today I think it would be right with intercommunals – could give the municipalities the opportunity to play a more offensive role. I also think it is very important – I think it is a pity that the representative proposal does not catch up – that we should dry up on existing tax policies in this area. We in SV work with a thought that housing no. 2 might be worth 100 pst. the market value. We also certainly believe that we should problemate the interest-rate deduction scheme, and we have registered that, among other things. The centre party has been out with suggestions in this way. We have it up as an important discussion in our programme work. Then it is so easy – in the proposal for a representative – to address the quality requirements we set for housing, which are linked to universal design and which are linked to the discussion we get in connection with the climate communication. It is so easy to attack that we have put in place legislation to take care of important interests in society, such as the environment, soil protection, etc. It'll be a little too simple for me. This is to take focus away from the main reason that things don't work out like they should do in this area. So to Left's suggestion -- there's a lot to comment on there. I'm just going to come up with the one about the House Bank. In my script, it says that what the left here is proposing is a scandal. I might be a little bit careful and rather be a little bit more questioning before we get it presented here later in the debate. I don't understand that the Left dares to take away this important instrument of social housing.
ParlaMint-NO_2012-05-24.ana.ud1972e853	It happens — even during debates in Stortinget — that there is interesting new information. I refer to the speeches by the previous speaker and what he said about the fact that in the UK, the next roll-out programme and the housing policy measures that lie there are now being prepared, and that one of them should be changing or abolishing people's access to deducting interest – to a certain extent, then. It requires an additional depression if it is such that SV will remove the interest deduction. It could be very interesting for anyone who is currently moving on the housing market, to hear what they can expect if SV had influence in the next government. The debate on housing policy has brought some momentum. There have been many good – and at least well-meaning – suggestions from different teams. I have also had the pleasure of promoting some proposals that intend to increase the production of dwellings, for that is what we need to do to bring prices down to a better level. It's like the state is sitting on the financial instruments, the municipalities are sitting on the land. I think it's very important that we don't now allow ourselves to be invited into mutual responsibility powdering between the two levels of government, but that we here in this room see carefully what we can do to coordinate the state's special interests, which often express themselves against spatial planning in favour of housing. At the same time, the state, through general economic policy and fiscal policy, sets very important parameters and framework conditions for all those who consider entering the housing market. Then it is also essential that there is a certain predictability. The sudden decision of the financial supervision to tighten the equity requirement from 10 p.m. up to 15 pst, or up to 50 pst. from the purchaser's point of view, we thought it was poorly prepared, it came too quickly. We can understand that the background is concern about the indebtedness, and we don't want people to take on more debt than they can bear, but the important thing is that banks and borrowers are aware of what you do when you make a loan agreement. Banks must never forget their actual craftsmanship, namely to assess the individual loan application and the individual loan applicant’s ability to pay. With regard to the newly established, it is that the Financial Supervisory Authority has hit them through this rapid increase, for the others entering the housing market, with sales proceeds from a former dwelling, would be able to easily meet the equity requirement. With regard to the individual proposals, I would like to address the proposals promoted by the Right, which have been endorsed by the Progress Party. The suggestions have been inserted in the setting. With regard to the Left's proposal, we will be able to support proposal No. 9, which envisages extending the Youth Housing Saving Scheme with the rates of deduction mentioned. This idea is also fully in line with the proposal we had during the 2013 budgetary procedure. We would also like to point out that the Stortinget will soon receive treatment both on the construction technical side and on the more general housing notice, which has been notified for a while, so that we can finally create a more comprehensive housing policy – and not be referred to to discussing this as much as the Document 8 proposals offer, in that there are only partial aspects to be discussed at all times. The right looks forward to discussing new, exciting thoughts in the housing announcement, also looking at the role of the House Bank. Now we don't think it's going to end, but we want to make it even more focused, so we can do more for those groups that are going to establish themselves for the first time.
ParlaMint-NO_2012-05-24.ana.ud1972e872	The proposals have already been taken up by the representative of Gjermund Hagesetter.
ParlaMint-NO_2012-05-24.ana.ud1972e875	Although the Christian People's Party does not follow the Progress Party with regard to the concrete proposals they are making in this matter, I am pleased that the Progress Party is trying to record itself to do something about the situation for the first time starters. The entire municipal committee says that there needs to be a comprehensive policy to facilitate the good supply of new dwellings and that there is today a significant imbalance in the supply and demand of housing, especially in press areas. This is not a good certificate to a government that has been sitting by a majority for nearly seven years. Although a joint municipal committee finds that building housing is not a state responsibility, the same committee states that it is the responsibility of the State to ensure good framework conditions and to facilitate the optimal functioning of the housing market. In 2012, the government announced a roll-out on housing and building policy, respectively. We're looking forward to getting them. Like the government parties, we don't believe relaxation in universal design requirements or fewer restrictions in the beach zone is the way to go to get an improved situation, but we're worried about the initial starters and others struggling to fit into the housing market. I would therefore like to dwell a little on the Financial Supervisory Authority's intensified claim to equity in the case of loans for housing purposes. The Christian People's Party believes that without compensatory measures, these intensified requirements will lead to even greater problems for more young people, immigrants and others with a weak economy in entering the housing market. We believe that the strengthening of the start-up loan scheme from the intensified equity requirement is not sufficient and that more needs to be done to help young people enter the housing market. We assume that the intensified equity requirement is accompanied by an improvement in the scheme Housing savings for young people in order to prevent the initial start-ups from getting the full burden of the restrictions on equity requirements in the case of loans for residential purposes. In isolation, the tightening up of financial supervision may seem more like a measure to strengthen banks rather than facilitate a more efficient housing market. The rule can push young people into the rental market and increase speculation there. The former Labour Party Financial Council in Oslo, Group Manager Rune Bjerke in DnB, in a reading in Today’s Business Life on 8 July 2011 called for a strengthening of the BSU scheme. He pointed out that the housing prices have doubled in ten years without the amount limit in the BSU being adhered to. Mountains indicate that well over half of the young people between the ages of 17 and 34 think they need 300000 kroner in savings to buy a dwelling. For the current financial year, the Christian People's Party proposed to increase the financial limit to NOK 300000 in total savings, by NOK 25 000 in annual savings and an increase in the deduction of 28 pst. This was voted down. It is good to hear Håkon Haugli talk so warmly about the House Bank. He also called for the House Bank to be strengthened. In December, during the budgetary procedure, he was able to vote in favour of the alternative budget of the Christian People's Party to increase the Husbank's loan framework by 5 billion. kr in addition to the proposed government. I see that the Left is promoting a number of proposals today. I just want to inform you that we are going to support the Left's proposal No. 9, which is in line with what we ourselves have proposed in our alternative budget for the current year. There's a slight nuance difference in how much you can save in a year, but we support the Left's proposal. It is according to the intention that the Christian People's Party is also working for.
ParlaMint-NO_2012-05-24.ana.ud1972e890	There is no doubt that there is a need for a new policy to help young people in the start-up phase enter the housing market. Many initial start-ups experience that the entry threshold of the housing market has become almost insurmountable. Today's housing market reinforces the distinction between young people with rich parents and those without equity. In an article in the Newspaper today, we can read that young people have to spend almost all the money to get into the housing market, and many have to finance new demands for equity through very expensive consumption loans. This is due to a combination of several factors: higher equity requirements for the purchase of housing, lack of rental housing and the absence of public instruments to facilitate the establishment of the housing market for young people. The left considers that positive incentives are the way to go to improve the situation of young people in the housing market and that government-driven price regulation is wrong medicine. The main measure is to build more dwellings. This will require new areas of land in central strata where the pressure is greatest. Such organisation will take time, not least because many cross-cutting considerations need to be addressed in planning. Among these are soil protection, the environment, climate and transport some of the most important. The left considers that the state, municipalities and private developers together need to develop economically robust and long-term development programmes. The left considers that the State must take greater responsibility for increased development and therefore support the proposals No. 1 and 2 in the position of the Party of Advances and the Right, which has just touched on these conditions. So to the ‘scandal’, as the representative of the Socialist Left called it. Yes, the Left believes that the House Bank should be reorganised and that the instruments must be transferred to the municipalities. The left will thus give municipalities responsibility and instruments for a municipal housing policy. This includes, inter alia: to transfer the housing, building and environmental instruments of the House Bank to the municipalities and to merge the bank part of the House Bank with another public bank, such as: Kommunalbanken AS. Furthermore, a Norwegian home purchase model should be introduced, where rented dwellings can be disbursed through rent and be permanently owned. The public must contribute to the construction of several rental dwellings, where a proportion of them become home-purchase dwellings. In addition, more people should have access to the start-up loans of the Husbank, including: by extending the amortisation period from 20 to 30 years and by stating that ‘first-time establishment’ is also an independent category for inclusion in the scheme. Today, this is defined as ‘economically disadvantaged households’, ‘children’s families’, ‘uniform dependants’, ‘disabled persons’, ‘refugees’ and ‘persons residing on a humanitarian basis’. I refer you to the proposal No. 10 to 13, from the left, distributed in the hall. In order to make it easier to save enough equity to buy a dwelling, the BSU needs to be extended. In the view of the Left, the annual savings must be increased from NOK 20000 to NOK 30000. The ceiling on how much you can save needs to be increased to NOK 300,000. Saving for owner-occupied dwellings is, in the view of the Left, only sensible — and it makes sense to use the tax system to stimulate such savings. I note that the government believes that the BSU scheme does not meet all the same and that it should therefore not be extended. It's a strange logic. The government's opinion is also not in line with the general public opinion at this point. In today's Newspaper we can read that eight out of ten, or 80 pst. by all, the BSU scheme appears to be an important scheme. It's an evaluation left-hand share completely. The banks must be conscious of their social responsibility and provide technical advice to meet the needs of borrowers in stages where the private economy is burdened with high housing costs. For many housing buyers, housing financing alone does not constitute the cause of financial failure. With large consumption loans at the top of high housing costs, in many cases the total amount of loans becomes unmanageable. Dropped banks fire during the increase in housing prices. The left expects the banks to jointly ensure that the lending gap is kept under better control. It is the task of the Financial Supervisory Authority to find good instruments that will keep banks from doing so. The big question is about today's 15 p.m. market share claims. is such a good instrument. This may, in some cases, be, but certainly not in all — and especially not in the case of young people at the start-up stage. The Left therefore supports proposal No. 4, from the Progress Party, to soften something in the equity requirement of the banks. Finally, I refer to the Left's proposal, which is distributed in the seats of the representatives in the Chamber.
ParlaMint-NO_2012-05-24.ana.ud1972e910	The representative Borghild Tenden has taken up the suggestions she referred to.
ParlaMint-NO_2012-05-24.ana.ud1972e913	It is gratifying that housing policy has come on the agenda of the public change of words in Norway. The government is busy providing a good housing supply – a good supply of new housing to a growing market. In Norway, we become 1 million more inhabitants in just a few years. Then it's important to have a government that has an overarching policy that that growth should come not only in the already existing press area but throughout the country. Making sure that the whole country is growing, and that we are spreading that growth, will be one contribution to the fact that we do not receive an unmanageable pressure in the biggest cities. The three government parties – Workers' Party, SV and the Center Party – have assumed that there is no government to control the number of dwellings to be built. There is no one — nor the opposition — who has called for us to reintroduce a planned economy. Our task is to ensure good framework conditions and to facilitate the best functioning of the housing market. At the same time, we need to ensure that new dwellings meet quality requirements, so that they are available, energy-efficient and environmentally friendly – and adapt future needs in a population where we know that there are many more older people. Several of the proposals currently under consideration are under the responsibility of other government councils. For the evaluation of the individual proposals, I refer you to the written reply sent to the Committee. It is also important to establish that there is a significant construction of housing in Norway. We had a big drop in the financial crisis. This is about to come up again. In Oslo, there was a triple last year. That's good. Oslo is probably the city that has the biggest challenge – together with many other Right-Handed municipalities. We cannot underestimate the local authorities' responsibility for putting land at the disposal. When I have contact with building builders – I have quite often – companies that run property management and development, there is no doubt that land prices are becoming a large part of the price of housing, and far greater than he was just a short time ago, precisely because there are too few plots available. This must be the responsibility of the local government sector. That's what I'm discussing with the municipalities. New dwellings will often be expensive for those with a weak economy. But building new dwellings for those groups that are more buyers can help to free up more used dwellings for those who are going to establish themselves and buy a dwelling for the first time. Nearly all dwellings are traded in a free market. For a builder, it is more important to look at housing demand rather than population growth when assessing whether to build new dwellings. A builder will always look at profitability. Pressure in the housing market in the form of high population growth will often result in more adaptations than increased construction of housing. As suggested by the proposers, housing prices have increased in recent years. Since 1993, housing prices have been more than quadruple. There are large geographical variations in this prism, with the largest growth around and in large cities. There's a series of ratios that give this growth in price. At the end, it's up to the market to decide the price of a dwelling. If the dwelling is on an attractive site, it can affect the price far more than public requirements and regulations. SSB figures show that housing prices have increased significantly more than construction costs in recent years. But the construction cost index alone does not reflect real cost developments. The index only includes developments in the price of materials, labour, transport and other inputs in the output of residential buildings. There are no statistics on land prices or prices for architects, nor on changes in productivity or service margins in the industry. We need to look at this in more detail. First, when we get these costs in place, we get the total cost picture for a builder. Municipalities have an important role, but they don't want to support the Left's proposal to shut down the House Bank. The house bank is the most important partner for getting more into the housing market. The home bank is not only money, arrangements, loans and credits, but also competence. That competence is strongly requested, and I get praise almost every day from municipalities for the important cooperation that one has with the House Bank. I'm glad the plural doesn't support that proposal.
