ParlaMint-NO_2012-11-21.ana.ud530e26	The representative, Per Arne Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2012-11-21.ana.ud530e427	Firstly, the proportion of Nordics who are on what are called health-related benefits, when we add up both unemployment benefits, disability benefits and sick pay, has not increased — it has even fallen slightly. But once again, I don't know how meaningful it is that we're discussing that kind of number, because we agree, across the party divide, that there are too many, and that we have to do something about it. When it comes to poverty, we can have long, statistical debates. I think you have to look at the proportion. It is true that the population of Norway has increased. This is because many immigrants have come to Norway, and many of them are in low-income families. Then the EU has one definition – it's about the same picture. The OECD has a different definition, but regardless of definition, there are thousands of people who feel that they have too little advice and that they are struggling with low incomes. The most important thing we do to get more people to work is to create more jobs. That is why I am very concerned that we should pursue an economic policy that allows us to continue to have a strong growth in employment in Norway, and that we should build bridges into the labour market for those who are outside.
ParlaMint-NO_2012-11-21.ana.ud530e436	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e440	I have read the government's status report on the Action Plan against Poverty in the 2013 budget, and as far as I can see, there are no new measures there for 2013. On the contrary, several measures have been terminated or are being wound up. The results are deficiently documented. It says the most about how many have been on different measures, but little about whether they worked — when we see all the measures together. I am surprised that the government has not launched a real offensive against poverty. Child poverty is very high – we all agree on that, including the Prime Minister. In its alternative budget, the Christian People's Party proposes a new tax deduction of NOK 5000 per child. This will be given in cash to those who are out of work. This will really be a solid uplift to child poverty. Should the Prime Minister consider this, either now or for example. in the context of revision?
ParlaMint-NO_2012-11-21.ana.ud530e449	I do not know the device on that proposal. It's stupid to say that you don't want to consider a proposal – I think a lot, and I'm always willing to change my mind, learn and adjust my policy. But in general, I would say that I believe that in terms of poverty, the most important measure is to help people get to work. The second is that for those who cannot get to work – and there are some people who cannot – services are very important. We know that addiction and psychiatry are absolutely crucial, and so the government is spending more and more on psychiatry. It is primarily health measures, but they also have important effects on people who are struggling with low income. As far as integration is concerned, as I have said, I do not think that the issue is primarily more cash, but the question is Norwegian training, labour market measures, childcare facilities, homework – all measures that can help people with immigrant backgrounds get into Norwegian society.
ParlaMint-NO_2012-11-21.ana.ud530e456	So we go to the next main question.
ParlaMint-NO_2012-11-21.ana.ud530e459	The situation in the Middle East is very exciting and dramatic. It announced the ceasefire between Israel and Hamas did not take place at midnight. At the same time, it is difficult to see the individual conflict completely isolated and only through Israeli/Palestinian glasses. The individual conflicts in the region derive influence from and affect other countries in the region, and not least the risk of an infectious effect is high in a region where the balance of power and power now appear to be completely different. Norway took a very pending position on the situation in Libya a year and a half ago, and in the Questionnaire as late as two days before the Security Council reached its decision on the no-fly zone and the protection of civilians, the government was not willing to flag when an overall opposition asked for the government's opinion. In the shadow of what is now happening in Gaza and in Israel, a gathering of the opposition took place in Syria on 11 November – to the National Syrian Opposition Council. In a short time, France, the Arab League, the EU and – as late as yesterday – the United Kingdom have recognised this opposition in various ways. For the time being, Norway has been silent. The process of gathering the Syrian opposition has been in demand of the international community for a long time, because it is a very important step in the direction of putting in place an alternative to today's very brutal regime. It is an escalation of violence – over 30 000 people have been killed – and political signals of support have a major impact on the way forward. With the experience of the restraining position taken by the government in relation to Libya, will the Prime Minister now ensure that Norway recognises the National Syrian Opposition Council as a legitimate representative of the Syrian opposition?
ParlaMint-NO_2012-11-21.ana.ud530e472	First to Libya: I believe Norway had no restraining role there. We were one of the countries that participated most actively and were most clearly in both the political and military processes to stop the abuses that Gaddafi committed against its people, and we have received a lot of recognition for Norway's contribution to that process, not least the large military contributions. Then I agree that the Middle East conflicts are linked, and that the situation in Syria is very dangerous; it is an unsolved situation. We have welcomed the formation of a national council, a national assembly of the opposition in Syria. We believe it is a legitimate representative of the opposition. We have not said – perhaps unlike any other country, at least France – that it is the only legitimate representative. That, I think, is a correct attitude on the part of Norway, because it is quite incomprehensible, and there may be other representatives. But that the opposition is gathering, we think it's positive. We believe that it makes it easier to imagine a negotiated solution when there are two clear parties, and we encourage them to start a dialogue, stop fighting and find a political solution to the conflict in Syria. We have also expressed that in many political conversations. Not long ago, I had a long conversation with the Prime Minister of Turkey and with the President about this, and Norway also plays an important role in humanitarian aid in the area.
ParlaMint-NO_2012-11-21.ana.ud530e479	It is absolutely indisputable that Norway played a reticent role in what happened in the Security Council. So just two days earlier, you were very skeptical about introducing a grounding zone – it's just to go back into the minutes and see. When we first took part, it is absolutely right that our efforts and the efforts of our soldiers have received considerable and deserved recognition. It is good that we managed to make a contribution as quickly as we did, when we first decided to contribute. I am also pleased that the Prime Minister now says that a meeting of the Syrian opposition is welcomed. I would like the government to go even further and say that it is recognised as a representative of the Syrian opposition, because it is an important political signal. The Committee on Foreign Affairs and Defence was only a short time ago in Turkey and Greece, among others. We visited a refugee camp for Syrian refugees all the way to the border with Syria. The refugees we talked to, of course, told strong stories, but at the same time they were very concerned that the international community had to give them help to find a political solution to the situation in Syria.
ParlaMint-NO_2012-11-21.ana.ud530e488	We regard the new national committee as one representative of the opposition in Syria, and that is the most coordinated and united representative. That's a recognition in it. And we believe that getting a larger overall opposition in Syria makes it easier to imagine a political dialogue. A challenge in the conflict in Syria has been that there have been struggles between the opposition and government forces and between different opposition forces, and it is quite unclear which political and military groups are part of the opposition in Syria. It argues that, at least, there should not be a completely unambiguous party on the one hand to the conflict, but should try to contribute to political dialogue, try to contribute to political talks, which will result in a political rather than a military solution to the conflict.
ParlaMint-NO_2012-11-21.ana.ud530e495	Three follow-up questions are raised – first Peter Skovholt Gitmark.
ParlaMint-NO_2012-11-21.ana.ud530e498	The brutal civil war in Syria has no winners, but the list of losers stays longer and longer for every single day. However, there is reason to rejoice that the Syrian opposition has now gathered, and there is reason to rejoice that there are more and more who recognise the opposition, either as the only or as a legitimate representative of the Syrian people. I share the previous questioner's intention here that Norway should be late. We were very late in our relationship with Libya, where the Norwegian Government had a negative attitude two days in advance of the Security Council resolution. A very short time ago, representatives of this government said that Norway did not accept or otherwise cooperate publicly in order to recognise the Syrian opposition. So my question is, how will the government now contribute to working with the opposition for a better and democratic Syria? [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2012-11-21.ana.ud530e507	Let me again stress that we consider the national coalition to be a legitimate representative of the opposition in Syria. That's what the Foreign Minister has said, I say that, and there's a recognition that we're saying that, and we think it's important that that opposition initiate political talks and that we have a political dialogue. Norway plays a more central role in other peace processes and conflicts than we do in Syria. What we're doing here is we're supporting a lot of countries that are trying to get into dialogue and solution. We have supported the work of the UN and we have also had a Norwegian general who has played a central role in these efforts. The fact that we do not play an equally central role in the conflict in Syria as we do in other conflicts is not an expression that we are not concerned about the conflict, but I think it is right to have a division of labour between different countries in different conflicts, and that not all countries are equally central in all conflicts.
ParlaMint-NO_2012-11-21.ana.ud530e514	Siv Jensen – for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e518	The Syrian government is reported to receive weapons and equipment from Iran to continue its warfare. The same is true of Hamas. My question is about what Norway, and to the extent that other countries, can do to prevent Iran from continuing to equip dictators and terrorist movements with weapons, thus further destabilising the Middle East?
ParlaMint-NO_2012-11-21.ana.ud530e525	First, what Norway is doing is taking part in international efforts to resolve the conflicts that give rise to Iran’s role in conflicts in the Middle East. Secondly, we are participating in the international sanctions in place, including: in the case of weapons – against Iran. We are deeply concerned that Iran, but also other forces and powers in the region, is now using different conflicts, whether in Syria, Gaza or elsewhere in the Middle East, to gnaw up under more weapons use and undermine the possibilities of having political talks. There are no simple or quick solutions, but military power is not the answer. Political dialogue must solve the fundamental problem of the Israeli-Palestinian conflict, and that is what will also, sooner or later, provide the basis for the resolution of the conflict itself in the Middle East.
ParlaMint-NO_2012-11-21.ana.ud530e532	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e535	Today, a prime minister, who, as far as the fight against poverty is concerned, has been very repatriated, with regard to fundamental ethical issues such as surrogati, has emerged as without meaning, and who now, on the issue of one of the most bloody conflicts the world has seen, and which has been going on for 21 months and has taken 30,000 lives, appears to be very, very passive. Yesterday, United Kingdom Secretary of State William Hague declared that the United Kingdom — one of Norway’s closest allies — considered the new coalition of opposition parties in Syria to be the only legitimate representative of the opposition. What does the British Government know, as Prime Minister Stoltenberg does not know, since he cannot join such a more active conclusion?
ParlaMint-NO_2012-11-21.ana.ud530e544	Firstly, I strongly disagree with the description by the representative of the Højbrätten of my position on, for example. the question of poverty. I have answered many questions, and I have shown that it is a big and very serious social problem that many people live with low income, live in poverty. I have shown many measures, including measures to strengthen and increase the standard of living and the income of those who are struggling in Norway: work, integration, psychiatry, labour market measures and increases in some social benefits in terms of social security. As far as Syria is concerned, we say that the national coalition is one legitimate representative, while other countries say that it is the only legitimate representative. The difference in that is not dramatic, but our assessment has been that there is an uncertain situation in Syria. There are many opposition groups, and we think it is enough that we say that there is one legitimate representative, and not that we say that it is the only legitimate representative.
ParlaMint-NO_2012-11-21.ana.ud530e551	The time for the oral question procedure is running out, and then we go over to the ordinary question procedure.
ParlaMint-NO_2012-11-21.ana.ud530e563	There are no changes to the configured question list.
ParlaMint-NO_2012-11-21.ana.ud530e570	I would like to ask the Minister of Defence a question. ‘Avinor is planning a completely necessary expansion of Flesland airport. The aerodrome has much more traffic than it is dimensioned for, and it is urgent to develop it in the future. As part of the renewal process, you want to take over areas from the Defense that are no longer used by them. There has been considerable disagreement about the conditions for the acquisition, and the case has remained completely silent for 9 months. Will the Council of State take an initiative in resolving this matter?’
ParlaMint-NO_2012-11-21.ana.ud530e584	Norwegian aviation is largely built up by a close interaction between the Swedish Aviation Agency, later Avinor, and the Defence. Avinor AS and Defence have a close and close relationship with the operation of many of the country's airports. The defence has historically been owned by many airports in Norway, but the need for ownership has been significantly reduced. Large areas have therefore been set aside for disposal. Among other things, this applies to areas in Flesland, including so-called aviation critical areas, which it may be appropriate to transfer directly to Avinor AS. The disposal of property in state ownership shall be carried out on the authority of the Storting. The disposal instruction, given by kgl. Res. of 19 December 1997, sets out detailed guidelines for the disposal of State property. The main principle of the instruction is that disposal is made at market prices in the open market. The instruction does not contain explicit provisions on direct sales to state-owned limited liability companies. The Cooperation Agreement between Defence and Avinor AS, on Aerodrome and Air Navigation Activities, signed in February 2011, mentions inter alia: possible transfer of aviation-critical areas from the defence sector to Avinor AS. In the agreement, the parties agree that such areas ‘should be valued through legal contractual arrangements, if one of the parties so requires’. Such a legal contractual relationship, relating to the critical areas of the Flesland aviation sector, is reported to exist during 2013. When the contractual relationship is available, the government will consider the need to promote any direct sales case for the Stortinget. In the case of areas, which under that cooperation agreement are not aviation-critical, Avinor, as other commercial operators, has to compete in the market in order to gain access to them. The 2011 Cooperation Agreement represents an important milestone in the further development of the close interaction between Defence and Avinor AS. The more detailed follow-up to the agreement is labour-intensive. At the same time, in order to achieve full success, it is essential that the parties comply with agreed rules to seek clarification and consensus. That legal understanding is also an important part of this. Dispute resolution mechanisms are also established in the cooperation agreement.
ParlaMint-NO_2012-11-21.ana.ud530e599	State councils mention that Avinor ‘must compete in the market’, as it was said. Well, there aren't as many other players who have the opportunity to use the areas that an aerodrome actually consists of. In Norway we have organized ourselves so that it is Avinor who stands for the airports. That is why I doubt that interpretation. But what is more serious is that in the process you have a statement from Defence Buildings saying that there is a lack of understanding that makes them want to bring the matter before the department, and there the case has been. Then I demand political will from the state councils responsible for this, because that means that businesses and the population are suffering, and that the airport is not being expanded. And so the same government wants to cut down on the planning time. One year of unnecessary planning time and costs has been included here.
ParlaMint-NO_2012-11-21.ana.ud530e606	As I understand it, the parties have been discussing this for the nine months, among other things. work on the following issues: the preparation and conclusion of agreements on legal relations, documentation of what has been invested in Flesland over NATO’s infrastructure programme, interpretations of the previous cooperation agreement on NATO investments and questions relating to the form of taxiing. Then I assume that the representative Halleraker also agrees that we have to follow the rules of the game that Stortinget has made. It is very important that Avinor and Flesland Airport have access to the aviation critical areas that are actually needed to develop the airport, but at the same time this must be done in a way and in a form that also makes us comply with the disposal requirements set by the Storting.
ParlaMint-NO_2012-11-21.ana.ud530e613	Of course, we should follow the rules we have adopted ourselves, but as I said in my first follow-up question, there are elements in this that enable the Council of State to intervene and enforce these processes, for here it has become firm. It is also the case that significant resources are used on both sides over public budgets – totally unnecessary. I think most people have big problems seeing the state against the state delaying the necessary expansion of an airport. I would also say that the requirement of market rental for areas that no one else can exploit in the market, which is therefore three times higher than the one that Avinor himself gets from his other commercial tenants, is, to the most extent, unreasonable. So I again encourage the Council of State to use its influence and cut through, so that something is done about this matter.
ParlaMint-NO_2012-11-21.ana.ud530e622	I see very well the need for Flesland airport to evolve. Equally, it is true that there are large-scale tax programmes and many conditions that need to be put in place in connection with disposal, not least in order for us to meet the requirements of the Stortinge to dispose of, among other things. defence properties. It is also true that in order to meet the acute need for Flesland Airport and Avinor, a lease of 25 units of land has been concluded on Flesland. And of course, we're concerned that this has to happen as quickly and as well as possible, but it's also such that Avinor and the Defense agree that we should use this contractual relationship, and that it will happen in 2013.
ParlaMint-NO_2012-11-21.ana.ud530e633	‘This is the last time, for example: through the article in the Address Paper of 14 November 2012, several patients lose the offer of psychiatric treatment in the specialist healthcare system on the grounds that patients are treatment-resistant, i.e. for sick people to be offered treatment. The Council of State considers that such practices are professionally sound and within the framework of the legislation in force, and what will be done, if appropriate, to: The Council of State decides not to allow patients to experience this?’
ParlaMint-NO_2012-11-21.ana.ud530e640	The government is committed to ensuring that people in need of mental health care are offered the best possible range of services. Assessment of treatment and follow-up shall always be carried out on an individual basis and within the framework of professional soundness. The user’s wishes, needs and life situation shall be at the heart of these professional assessments. The specialist health service receives over one million referrals each year. According to the Patient Rights Act, the patient is entitled to healthcare from the specialist healthcare service when 1) the patient has a certain loss of prognosis if the healthcare is delayed, 2) the patient may have expected benefits from the healthcare, and 3) the expected costs are proportionate to the effectiveness of the treatment. All three of these conditions must be met in order for the patient to be entitled to priority treatment in the specialist healthcare service. So a course of diseases can have different phases. The health service is responsible for assessing the action to be taken when. Patients who have undergone specialised treatment programmes may no longer be able to benefit from treatment for a period of time. At that time, the specialist health service and the local health service have a common responsibility for planning, implementing and monitoring the patient’s assistance and care that provides security and life and health care at that stage. In such situations, it may be appropriate to provide services where treatment and care go side by side. It may be relief, support, help to master a difficult life situation or relief. Specialist health services and municipalities are jointly responsible for following up patients in need of health care. In addition, I now have a consultation proposal to strengthen patient rights. The Roadmap for Mental Health aims to develop services that facilitate, as far as possible, the mastery of most people’s lives. This means that patients with both mild and more severe psychiatric disorders should be treated more closely locally and outside hospitals. We have not yet achieved the objective of a comprehensive, easily accessible, local offer across the country tailored to the needs and wishes of users and relatives. There is therefore still a need to change mental health protection in order to expand local services. These are also leaders who are very clear from the World Health Organisation. The interaction reform also points in that direction, and that is right for patients. Let me therefore conclude that no one is too ill to receive treatment. But the treatment they receive must be adapted to the disease and the disease profile the patient has. Therefore, some are to be treated in the specialist health service and some are to be treated in the community health service. It is not always the case that patients and healthcare agree on what is proper treatment. I don't think we can ever get completely out of it. However, it is important that the dialogue between patients and health professionals supports, as far as possible, the existence of such assessments in order for patients to receive the best possible treatment. I mean, for example. the use of terms such as ‘treatment-resistant’ in dialogue with patients. It is a bad word because it should always be an offer of either treatment, care or other follow-up. But now I don't know if this is a word that has been used by healthcare, or if it is in the press.
ParlaMint-NO_2012-11-21.ana.ud530e657	I thank you for your answer. We need to understand that patients who go in and out of psychiatry, and their relatives, feel that it's hard to deal with such things, and that you often feel powerless. That's why we don't hear about such things so often either. But we've got feedback on more such events, and I think it's nice that Frida – as in this case – actually stands out with her story, and that it becomes known, to Frida, and patients like her, should not be met that way by the health care system. Patients who are motivated for treatment but who are described as treatment-resistant should also not experience falling between two chairs. Therefore, I would like to ask the question a little more specifically: what will the Minister of Health be doing actively to ensure that the term ‘treatment-resistant’ disappears from the healthcare system and is not used?
ParlaMint-NO_2012-11-21.ana.ud530e664	I ask for an understanding that I do not know the specific case to which it is referred, but I also perceive that the representative asks the question more in principle. It is also unclear to me whether ‘treatment resistance’ is an active word that is almost written into the patient’s journal. What I'm emphasising, and we're also coming back to it when it comes to the quality of health care, is that the user, the patient, should be more involved in the treatment and be closer to designing the offers, because the interaction between patients and those who treat is so important to the quality. And as I said in my post: I would say that the word ‘treatment-resistant’ should be quite foreign to Norwegian health services, because whether a treatment at this stage produces results and benefits is supported by what you have of knowledge. You can ask questions about this, but then there may be other offers the patient has. I think I should follow up on the question asked by the representative by looking into whether this is a term used, and what the consequences are if it is used in the specialist healthcare service.
ParlaMint-NO_2012-11-21.ana.ud530e675	We're taking it on a basic basis, precisely the fact that patients in the psychiatry who are sick are met with that term. It feels like a heavy load. For example, the mother said to the girl in this case – and I quote from the newspaper: ‘She was too sick to receive treatment now, perhaps it would be topical in a year or a half. But if Frida is to go home, it is not certain that she will survive for Christmas." In view of the fact that several people approached us about meeting them in the health service with ‘treatment-resistant’, we are pleased that the Minister of Health will look at how to prevent this from happening. If the Minister of Health could be more specific in what way he would follow up, it would have been very nice.
ParlaMint-NO_2012-11-21.ana.ud530e685	I think there may be cases where, in order to use a non-medical term, a patient can be too ill to receive a certain type of treatment, and that one must be in a certain type of condition to receive a certain type of treatment. There are, as I said in my answer, different stages in which this is happening. At the same time, I say that it indicates that you are not in dialogue with the patient – and it is important – if you use the word ‘treatment-resistant’, because if you are resistant, I think the association goes to being unresponsive to anything, and is almost isolated. You may be too sick to receive a type of treatment, but I think I'll do it so that I'll ask myself in my own department and system to know if this is a term used, and whether it has a consequence that it is used, as the representative has asked questions about.
ParlaMint-NO_2012-11-21.ana.ud530e696	‘Inhabitants in Health Nord with MS are in practice receiving consistent rejection of requests to participate in rehabilitation stays at the MS centre in Hakadal. This means that residents in a whole part of the country have been cut off from a specialised rehabilitation together with others who have the same disease experience. Does the Council of State mean that there should be such a difference between the regions?’
ParlaMint-NO_2012-11-21.ana.ud530e703	Good quality rehabilitation services are important both for individuals and for society and shall be accessible to all. There have been structural changes in the provision of services in recent years. In the specialist health service, rehabilitation services such as day-care and outpatient clinics are increasingly provided. Rehabilitation is also provided as an integral part of hospitalisation. Regional health enterprises have focused on strengthening the quality of the provision provided by the private training and rehabilitation institutions. This is one of the areas where there is a very good interaction between public hospitals and private institutions. Resources for the purchase of services from private training and rehabilitation institutions have increased, from about 996 million. DKK in 2005 to approximately 1525 million. kr in 2011. Rehabilitation involves processes involving many actors, including non-health care actors – such as the training seat and the Nav. Rehabilitation measures in the municipality are central and often require cooperation with specialist health services. The cooperation reform shall contribute to integrated and coordinated services. Of course, this is absolutely central to any rehabilitation process. Of course, the rehabilitation services provided by specialist health services to patients with MS need to be assessed on a case-by-case basis. Regional health businesses are responsible — and they all have — for ensuring that MS patients, like all other patients, receive a good and relevant offer. In Health Nord, the MS unit at the neurological department of UNN coordinates the provision of this patient group. MS patients are offered rehabilitation services at UNN, and in addition, agreements have been made with Valnesfjord Health Sports Centre and the North-Norges Kurbad rehabilitation centre for offering MS patients. Health regions are responsible for providing good and relevant services to the population of the region where they are responsible. This also applies to specialised rehabilitation. Therefore, the assessment of whether individual patients should be offered at the relevant centre, for which the representative questions – the MS centre in Hakadal – is a question that needs to be assessed by professionally competent personnel in the region. I want to take a closer look at today's practice. The Ministry of Health and Health will assess whether the right to free hospital choice should also be extended to private training and rehabilitation institutions that have agreements with regional health establishments. This will be done in the context of the consultation notes on changes in patient and user rights law and the implementation of the Patient Rights Directive. It is now at the hearing, and we are waiting for feedback on it when the consultation period is over.
ParlaMint-NO_2012-11-21.ana.ud530e718	Last week I received 3,741 signatures from an MS patient named Inger Martinussen. She's not just a MS patient, but she also has a doctorate in rehabilitation, and has herself been refused to travel to the MS centre in Hakadal. What you can see is that enterprises are increasingly trying to convert the rehabilitation into one rehabilitation that suits all patients, while some patients with diseases are deprived of the possibility of getting more specialised rehabilitation in institutions that have built up many years of competence — for example. The MS centre, which has 35 years of expertise in MS specifically. The second thing that it deprives the patient is the possibility of rehabilitation with many patients with similar life experience, who have a great added value. Will the Minister of Health take any steps to ensure that a person takes care of these specified rehabilitation institutions?
ParlaMint-NO_2012-11-21.ana.ud530e727	I think that with the work distribution we have, we should assume that the regional health company – here Health Nord – is assessing the professional resources available in the region. This does not prevent us from following up and asking questions about the assessments that have been made, in order to make sure, if necessary, that the public's concerns are understood and well-managed. But as I say, the region has given me a very clear response to the responsibilities of UNN and the hospital there, and the agreements they have with private rehabilitation institutions. I assume that they will then assume the responsibility they have by being able to offer individual, customised offers of rehabilitation to those who need it. It's also important with what's of patient exposure, which I have the impression that all the health regions are concerned about, but I don't want to stand out from the Storting's pulpit and decide with which individual institutions the region is going to conclude its agreements.
ParlaMint-NO_2012-11-21.ana.ud530e736	When these restrictions were introduced, the Nordlands Hospital argued that there were economic reasons for tightening this up and that there were no professional reasons. The user selection in Health Nord has also unanimously, in September, recommended that Health Nord again buy places on the MS centre in Hakadal, so that patients have the opportunity to travel there. Finally, however, in the main response, the Council of State said that one considered extending the free choice of hospitals to rehabilitation. I take that as a very positive signal. It is only when the patient is given the opportunity to choose between approved treatment institutions, that the patient’s own knowledge of both his or her own situation and of the treatment services available in the country is put at the centre, and that there is then the opportunity to become a leader. So here's a patient who has a doctorate in rehabilitation, and who probably knows a lot better than the hospital what's best for her.
ParlaMint-NO_2012-11-21.ana.ud530e745	The last thing I can't decide – who knows best. I put great emphasis on, as I said in the previous answer, the dialogue between healthcare and the patient. I think it needs to be strengthened in a lot of contexts in order for us to feel that we have security and participation in the treatment that benefits us. The patient rights note is being consulted. We get a lot of input into it. I believe, in principle, that the primary responsibility for prioritisation must lie in public health – must lie in the assessments, the overview that public health has. We know that there is a significant element of private, non-profit and volunteers in the field of training and rehabilitation. That's why they're good and important partners for us. Then I won't stand here and say that there are economic and non-professional reasons that underlie the difficult balances to be taken by those responsible for prioritizing, in a situation where you probably always wish you had more resources for good purposes than what you have. But I feel confident that there are also decisions in Health Nord here regarding priorities, which are overall the best thing for the patient.
ParlaMint-NO_2012-11-21.ana.ud530e758	‘The Ministry of Health has sent amendments to the provisions on criminal liability in the Biotechnology Act to be consulted. This applies, inter alia, to: questions about surrogati, but also all other key issues covered by the law. How does the Council of State feel that these changes can help prevent the exploitation of women and the violation of children’s rights and human dignity, and what signals does the Council of State think the consultation note provides for this?’
ParlaMint-NO_2012-11-21.ana.ud530e765	It is true, as the representative says, that the Ministry of Health and Welfare has sent a proposal to consult on the amendment of the criminal law on biotechnology. Let me say that we adjust and clarify it, this to clarify the scope of criminal liability and clarify the applicable law in this area. The proposal includes, inter alia: that private individuals seeking or using offers which are not permitted under the Biotechnology Act in Norway cannot be penalised in Norway. It shall continue to be a criminal offence to offer, or to carry out, various forms of assisted fertilisation, foetal diagnosis and the like that are not permitted by the Biotechnology Act. This is a clear signal for health professionals. I think it is unfortunate that there is a ambiguity related to the issue of criminal liability. A legal text must be clear about who can be punished. There have been some uncertainties about who can be punished for violations of the Biotechnology Act. As early as June 2010, this was pointed out by an inter-ministerial working group which recommended that criminal liability be assessed in the context of the evaluation of the Biotechnology Act. To clarify the criminal liability, we have therefore sent out this consultation proposal. The preparations for today’s law indicate that it was not the intention of the legislator to punish individuals who use offers that are not permitted under the Biotechnology Act in Norway. We want to clarify this in a new legal text. The Biotechnology Act only regulates what is happening in Norway. Although surrogati is not allowed in Norway, it does not prevent some from going abroad to use it. On its websites, the Ministry of Children, Gender Equality and Inclusion has published information on the risks of using surrogate mother abroad. This could be done, for example, by: be challenges related to the establishment of a parent. I think it would be unreasonable if these people were to be punished in addition. Persons who have used assisted conception are often in a vulnerable situation, with pregnancy or small children. The same may also be the case for persons using foetal diagnostics not authorised in Norway. As mentioned above, the proposal is for consultation. These are questions of many ethical dimensions and many difficult balances. I will go through the hearing answers carefully before I present a draft law to the Stortinge during the spring.
ParlaMint-NO_2012-11-21.ana.ud530e784	The Council of State says that there is a clarification of the law. Jusprofessor Erling Husbø concluded in our country last Thursday that it is something far more than this. The Christian People's Party would like to have a discussion about the mechanism of the criminal law of the biotechnology law. We have to assume that we're talking about a global market of services that only imagination sets limits for. Then the discussion of criminal law might have to reflect that. But the paradox here is that they say there are difficult balances. There is nothing in the consultation note that bears the impression that these are difficult balances. There is no indication that you do not want the Norwegians to avail themselves of those offers. Therefore, I have to repeat the question to the Council of State: How does the Council of State think that these changes can help prevent the exploitation of women and violations of children's rights and human dignity? What signals does the Council of State think the consultation note conveys about these questions?
ParlaMint-NO_2012-11-21.ana.ud530e791	I would like to quote from the preparatory work that was done when the law was created. There it was, among other things. said: ‘As demonstrated by the Ministry of Justice and Police’s assessment, the actions of health professionals in Norway may, in the circumstances, be criminal participation under the Biotechnology Act, even if the action it is involved is not punishable in the country in which it is carried out. This applies initially also to researchers.’ Here the responsibilities of health professionals are very clearly clarified. I don't want to judge myself over the choices that individuals in a large global world make in this area with the legislation we have today. As the representative knows, we will be discussing the evaluation of the Biotechnology Act for spring. There may be proposals for changes to the law, and then we get a good reason to discuss what is allowed, and what is not allowed in Norway, in this area. But it has not been our opinion that we should go into this with a clarification that makes it criminal for people who do things abroad that are not legal – according to the law – in Norway. The representative mentions surrogati, but this may also apply, for example: assisted fertilisation, which occurs for 700 women per year in our neighbouring country.
ParlaMint-NO_2012-11-21.ana.ud530e805	I thank you for your answer. I am still amazed at the total lack of reflection on what these different issues involve, what kind of market we are talking about in practice. The question that I have now asked twice is quite simple: does the government want any kind of signal about what is believed to be what Norwegian citizens travel into the world and move out into that market – which on the one hand can be about a well-organized industry, as we see in California, which provides surrogacy services, and on the other hand can be wild west in developing countries to get services that only fantasy sets limits on? There is no doubt that the boundaries between surrogati and trafficking in human beings are extremely unclear. Does the government have any idea of Norwegian citizens going into that market? Do you have any ethical considerations that you would like to take with you when considering the criminal provisions of the Biotechnology Act?
ParlaMint-NO_2012-11-21.ana.ud530e814	It could be tempting to ask the question back: What should be done to women who receive assisted fertilisation in Denmark, there are between 700 and 1000 of them this year, criminal when they return to Norway? It is the same issue, it is prohibited under Norwegian law, and it is done to a large extent. Are you going to jail, arrest and charge those women? For me, there are clear differences in that and surrogati, but no parts are law according to Norwegian law. Once we have adopted Norwegian law, we say something about what is happening in Norway. So it's a very strong norm signal. When surrogati is banned in Norway, it is a very strong norm signal from the Norwegian community. I believe that the social debate also sends out very clear signals about all the complexity around surrogati – many of the points that the representative also points to. But it is true that the legislator, by making this law, did not mean that criminal liability should go to the individual, but should go to the issue of participation – primarily directed at health professionals. We'll have a good opportunity to discuss this. The bill comes later and later to Stortinget. It's in consultation, and that's how we get good information and assessment in the Norwegian community.
ParlaMint-NO_2012-11-21.ana.ud530e827	‘The Covent AS company in Rogaland has marked the effects of the financial crisis in Europe and, as a result of market failures, has authorised nine employees. However, these have been refused Nav’s daily allowance on the grounds that market fluctuations are considered to be ordinary business risk. The company has complained about the decision, but the complaint has been rejected. Does the Council of State consider that this type of handling of outsourced staff is appropriate for Norwegian business and Norwegian work?’
ParlaMint-NO_2012-11-21.ana.ud530e834	In order to receive a daily allowance under leave, it is provided that the leave must be due to a lack of work or other conditions on which the employer cannot foresee or exercise influence. A number of enquiries from individuals, businesses and social partners in recent times may indicate that the Labour and Welfare Act practises the legislation on day-to-day pay during permitting more restrictively than in the past. A short time ago, I received a preliminary report on the practice of the Directorate of Labour and Welfare. This report is now being followed up by several measures. Firstly, the budget is reviewed by 1 January 2012 on all appeals for daily allowances. If errors are found in the decision which led to the improper rejection of applications, they may give rise to the case being remedied. Secondly, work has also been started on developing new guidelines for the treatment of daily pay and permitting issues by the agency. This work involves both the LO and the NHO together with the Directorate of Labour and Welfare. Thirdly, in order to deal with the issues before the revision of the circular is available, the Director of Labour and Welfare has also provided provisional treatment guidelines for the department. The review of the unit is now under way and must be resubmitted to the Ministry of Labour in a new report. I am committed to ensuring predictability for both workers and employers in matters of leave and daily allowance based on a proper practice within the framework of the People's Security Act. I trust that the measures I have now taken will contribute to this.
